X72n1441_001:0674b06	 法會錄序	 法 會 錄 序 
X72n1441_001:0676c08	曰。不識。只這不識二字。盡大地人不柰何。唯知有者。	曰 不 識 只 這 不 識 二 字 盡 大 地 人 不 柰 何 唯 知 有 者 
X72n1441_001:0676c09	默契于言外可也。	默 契 于 言 外 可 也 
X72n1441_001:0676c10	師云。臨濟一日上堂曰。有一無位真人。在諸人面門	師 云 臨 濟 一 日 上 堂 曰 有 一 無 位 真 人 在 諸 人 面 門 
X72n1441_001:0676c11	出入。未證據者看看。臨濟已貴買賤賣了也。若也搆	出 入 未 證 據 者 看 看 臨 濟 已 貴 買 賤 賣 了 也 若 也 搆 
X72n1441_001:0676c12	得。則知赤肉團上。壁立萬仞。更討甚麼生死。時有僧	得 則 知 赤 肉 團 上 壁 立 萬 仞 更 討 甚 麼 生 死 時 有 僧 
X72n1441_001:0676c13	出問。如何是無位真人。臨濟下禪床擒住曰。速道速	出 問 如 何 是 無 位 真 人 臨 濟 下 禪 床 擒 住 曰 速 道 速 
X72n1441_001:0676c14	道。可謂徹困婆心。恩大難酬。怎柰這僧不會。臨濟推	道 可 謂 徹 困 婆 心 恩 大 難 酬 怎 柰 這 僧 不 會 臨 濟 推 
X72n1441_001:0676c15	開曰。無位真人是甚麼乾屎橛。臨濟到這裏。又現出	開 曰 無 位 真 人 是 甚 麼 乾 屎 橛 臨 濟 到 這 裏 又 現 出 
X72n1441_001:0676c16	三頭六臂了也。誰人凑泊得他。古德云。若無後語。討	三 頭 六 臂 了 也 誰 人 凑 泊 得 他 古 德 云 若 無 後 語 討 
X72n1441_001:0676c17	什麼臨濟。知言哉。	什 麼 臨 濟 知 言 哉 
X72n1441_001:0676c18	師云。藥山一日在石上坐次。石頭問曰。汝在這裏作	師 云 藥 山 一 日 在 石 上 坐 次 石 頭 問 曰 汝 在 這 裏 作 
X72n1441_001:0676c19	麼。曰一物不為。頭曰。恁麼則閒坐也。曰若閒坐即為	麼 曰 一 物 不 為 頭 曰 恁 麼 則 閒 坐 也 曰 若 閒 坐 即 為 
X72n1441_001:0676c20	也。頭曰。汝道不為。不為箇甚麼。曰千聖亦不識。頭以	也 頭 曰 汝 道 不 為 不 為 箇 甚 麼 曰 千 聖 亦 不 識 頭 以 
X72n1441_001:0676c21	偈讚曰。從來共住不知名。任運相將祇麼行。自古上	偈 讚 曰 從 來 共 住 不 知 名 任 運 相 將 祇 麼 行 自 古 上 
X72n1441_001:0676c22	賢猶不識。造次凡流豈可明。師云。藥山只箇閒字亦	賢 猶 不 識 造 次 凡 流 豈 可 明 師 云 藥 山 只 箇 閒 字 亦 
X72n1441_001:0676c23	不肯受。坐斷凡聖路頭。直見根抵。石頭不得不讚之	不 肯 受 坐 斷 凡 聖 路 頭 直 見 根 抵 石 頭 不 得 不 讚 之 
X72n1441_001:0676c24	也。大眾若要知有。只須識得箇千聖不識底。只如千	也 大 眾 若 要 知 有 只 須 識 得 箇 千 聖 不 識 底 只 如 千 
X72n1441_001:0677a01	聖不識底作麼生識。不識不識。	聖 不 識 底 作 麼 生 識 不 識 不 識 
X72n1441_001:0677a02	師云。藥山坐次。有僧問。兀兀地。思量箇甚麼。山曰。思	師 云 藥 山 坐 次 有 僧 問 兀 兀 地 思 量 箇 甚 麼 山 曰 思 
X72n1441_001:0677a03	量箇不思量底。曰不思量底作麼生思量。曰非思量。	量 箇 不 思 量 底 曰 不 思 量 底 作 麼 生 思 量 曰 非 思 量 
X72n1441_001:0677a04	師曰。這箇便是古人參禪底捷徑工夫。凡夫終日在	師 曰 這 箇 便 是 古 人 參 禪 底 捷 徑 工 夫 凡 夫 終 日 在 
X72n1441_001:0677a05	思量裏過日。焉知得自己本有箇不思量底。若也知	思 量 裏 過 日 焉 知 得 自 己 本 有 箇 不 思 量 底 若 也 知 
X72n1441_001:0677a06	得。然後時時但思量那箇不思量底是何面目。思之。	得 然 後 時 時 但 思 量 那 箇 不 思 量 底 是 何 面 目 思 之 
X72n1441_001:0677a07	思之。又重思之。思之既久。豁然了悟。如雲開見月。始	思 之 又 重 思 之 思 之 既 久 豁 然 了 悟 如 雲 開 見 月 始 
X72n1441_001:0677a08	知這箇思量底。原非思量。如此。可謂善思量者矣。	知 這 箇 思 量 底 原 非 思 量 如 此 可 謂 善 思 量 者 矣 
X72n1441_001:0677a09	師云。南泉曰。三世諸佛不知有。白牯黧奴却知有。師	師 云 南 泉 曰 三世諸佛 不 知 有 白 牯 黧 奴 却 知 有 師 
X72n1441_001:0677a10	云。三世諸佛為什麼不知有。只為無有可知。白牯黧	云 三世諸佛 為 什 麼 不 知 有 只 為 無 有 可 知 白 牯 黧 
X72n1441_001:0677a11	奴為什麼却知有。為他不曾失。山僧分明道破矣。大	奴 為 什 麼 却 知 有 為 他 不 曾 失 山 僧 分 明 道 破 矣 大 
X72n1441_001:0677a12	家各自看取。	家 各 自 看 取 
X72n1441_001:0677a13	士雲居士問曰。佛法廣大。畢竟從何門而入。師云。從	士 雲 居 士 問 曰 佛 法 廣 大 畢 竟 從 何 門 而 入 師 云 從 
X72n1441_001:0677a14	信門而入。大智度論云。佛法大海。信為能入。智為能	信 門 而 入 大 智 度 論 云 佛 法 大 海 信 為 能 入 智 為 能 
X72n1441_001:0677a15	度。華嚴經云。信為道源功德母。宗門云。一入信門。便	度 華 嚴 經 云 信 為 道 源 功 德 母 宗 門 云 一 入 信 門 便 
X72n1441_001:0677a16	登祖位。世尊多生不妄語。感廣長舌相之報。每說法。	登 祖 位 世 尊 多 生 不 妄 語 感 廣長舌相 之 報 每 說 法 
X72n1441_001:0677a17	出舌示人。顯言可信。無虗妄也。故云佛言不信。何言	出 舌 示 人 顯 言 可 信 無 虗 妄 也 故 云 佛 言 不 信 何 言 
X72n1441_001:0677a18	可信。所謂信者。一信佛語。二信自心。忠國師云。禪宗	可 信 所 謂 信 者 一 信 佛 語 二 信 自 心 忠 國 師 云 禪 宗 
X72n1441_001:0677a19	學者。須信佛語。一乘了義。契自心源。不了義者。互不	學 者 須 信 佛 語 一 乘 了 義 契 自 心 源 不 了 義 者 互 不 
X72n1441_001:0677a20	相許。如師子身中虫。自食師子肉。今之不信佛語者。	相 許 如 師 子 身 中 虫 自 食 師 子 肉 今 之 不 信 佛 語 者 
X72n1441_001:0677a21	非不信佛語。是不信自心也。	非 不 信 佛 語 是 不 信 自 心 也 
X72n1441_001:0677a22	夢蘇居士問曰。苦空之理。請師開示。師曰。昔世尊臨	夢 蘇 居 士 問 曰 苦 空 之 理 請 師 開 示 師 曰 昔 世 尊 臨 
X72n1441_001:0677a23	滅度。阿難問佛。世尊涅槃後。我等依止何人。佛告阿	滅 度 阿 難 問 佛 世 尊 涅 槃 後 我 等 依 止 何 人 佛 告 阿 
X72n1441_001:0677a24	難。若今現在。若我過去。依止四念處。莫依止餘。四念	難 若 今 現 在 若 我 過 去 依 止 四 念 處 莫 依 止 餘 四 念 
X72n1441_001:0677b01	處者。謂身。受。心。法。一觀身不淨。不淨有五。一種子不	處 者 謂 身 受 心 法 一 觀 身 不 淨 不 淨 有 五 一 種 子 不 
X72n1441_001:0677b02	淨。謂父母赤白二點。二住處不淨。謂母腹中熟臟之	淨 謂 父 母 赤 白 二 點 二 住 處 不 淨 謂 母 腹 中 熟 臟 之 
X72n1441_001:0677b03	下。生臟之上。如處廁坑。三相不淨。謂九孔常流。四性	下 生 臟 之 上 如 處 廁 坑 三 相 不 淨 謂 九 孔 常 流 四 性 
X72n1441_001:0677b04	不淨。謂性是不淨。即洗至微塵。亦臭穢故。五究竟不	不 淨 謂 性 是 不 淨 即 洗 至 微 塵 亦 臭 穢 故 五 究 竟 不 
X72n1441_001:0677b05	淨。謂捐棄塚間。如朽敗木。二觀受是苦。受者。領納義。	淨 謂 捐 棄 塚 間 如 朽 敗 木 二 觀 受 是 苦 受 者 領 納 義 
X72n1441_001:0677b06	受有三種。一領違境。則生苦受。二領順境。則生樂受。	受 有 三 種 一 領 違 境 則 生 苦 受 二 領 順 境 則 生 樂 受 
X72n1441_001:0677b07	三領中庸境。則生捨受。三觀心無常。謂乍善乍惡。起	三 領 中 庸 境 則 生 捨 受 三 觀 心 無 常 謂 乍 善 乍 惡 起 
X72n1441_001:0677b08	滅不停。遺教經云。心之可畏。甚于毒蛇。惡獸。怨賊。大	滅 不 停 遺 教 經 云 心 之 可 畏 甚 于 毒 蛇 惡 獸 怨 賊 大 
X72n1441_001:0677b09	火越逸。未足喻也。古德云。當作心師。勿師於心。四觀	火 越 逸 未 足 喻 也 古 德 云 當 作 心 師 勿 師 於 心 四 觀 
X72n1441_001:0677b10	法無我。謂此身唯有四大。無有我者。身且無我。況身	法 無 我 謂 此 身 唯 有 四 大 無 有 我 者 身 且 無 我 況 身 
X72n1441_001:0677b11	外乎。此四念處。以智慧力。常勤觀察。勿令暫忘。除世	外 乎 此 四 念 處 以 智 慧 力 常 勤 觀 察 勿 令 暫 忘 除 世 
X72n1441_001:0677b12	貪愛。速證泥洹。	貪 愛 速 證 泥 洹 
X72n1441_001:0677b13	師云。旴江壽昌無明師翁。諱慧經。撫州崇仁裴氏子。	師 云 旴 江 壽 昌 無 明 師 翁 諱 慧 經 撫 州 崇 仁 裴 氏 子 
X72n1441_001:0677b14	嗣廩山忠和尚。閱傳燈。見僧問興善如何是道。善曰。	嗣 廩 山 忠 和 尚 閱 傳 燈 見 僧 問 興 善 如 何 是 道 善 曰 
X72n1441_001:0677b15	大好山。不諭其旨。遂致疑苦參。一日因舉石。豁然大	大 好 山 不 諭 其 旨 遂 致 疑 苦 參 一 日 因 舉 石 豁 然 大 
X72n1441_001:0677b16	悟。有偈曰。欲參無上菩提道。急急疏通大好山。知道	悟 有 偈 曰 欲 參 無上菩提 道 急 急 疏 通 大 好 山 知 道 
X72n1441_001:0677b17	始知山不好。翻身跳出祖師關。道霈甞頌曰。問道無	始 知 山 不 好 翻 身 跳 出 祖 師 關 道 霈 甞 頌 曰 問 道 無 
X72n1441_001:0677b18	端答好山。木人推倒出重關。而今拔地凌空起。依舊	端 答 好 山 木 人 推 倒 出 重 關 而 今 拔 地 凌 空 起 依 舊 
X72n1441_001:0677b19	蒼蒼薄霧間。	蒼 蒼 薄 霧 間 
X72n1441_001:0677b20	師云。博山無異師伯。諱元來。舒城沙氏子。一日覩上	師 云 博 山 無 異 師 伯 諱 元 來 舒 城 沙 氏 子 一 日 覩 上 
X72n1441_001:0677b21	樹人大悟。走見壽昌。昌問曰。近日如何。山曰。有一條	樹 人 大 悟 走 見 壽 昌 昌 問 曰 近 日 如 何 山 曰 有 一 條 
X72n1441_001:0677b22	活路。只是不許人知。昌曰。為什麼不知。山曰。不知不	活 路 只 是 不 許 人 知 昌 曰 為 什 麼 不 知 山 曰 不 知 不 
X72n1441_001:0677b23	知。道霈頌曰。一條活路滑如苔。捷足如飛不點埃。佛	知 道 霈 頌 曰 一 條 活 路 滑 如 苔 捷 足 如 飛 不 點 埃 佛 
X72n1441_001:0677b24	祖不傳真秘訣。黧奴自得笑盈顋。	祖 不 傳 真 秘 訣 黧 奴 自 得 笑 盈 顋 
X72n1441_001:0677c01	師云。先師永覺老人。諱元賢。建陽蔡氏。初聞南泉斬	師 云 先 師 永 覺 老 人 諱 元 賢 建 陽 蔡 氏 初 聞 南 泉 斬 
X72n1441_001:0677c02	貓話有省。作偈呈壽昌。昌令放下苦參。一日讀法華。	貓 話 有 省 作 偈 呈 壽 昌 昌 令 放 下 苦 參 一 日 讀 法 華 
X72n1441_001:0677c03	至寂寞無人處。讀誦此經典。我爾時為現。清淨光明	至 寂 寞 無 人 處 讀 誦 此 經 典 我 爾 時 為 現 清 淨 光 明 
X72n1441_001:0677c04	身。喜不自勝。遂問昌曰。如何是清淨光明身。昌挺身	身 喜 不 自 勝 遂 問 昌 曰 如 何 是 清 淨 光 明 身 昌 挺 身 
X72n1441_001:0677c05	而立。師曰。祇此更別有。昌遂行。師當下豁然。如釋重	而 立 師 曰 祇 此 更 別 有 昌 遂 行 師 當 下 豁 然 如 釋 重 
X72n1441_001:0677c06	負。隨入方丈通所得。昌遽棒之三曰。向後不得草草。	負 隨 入 方 丈 通 所 得 昌 遽 棒 之 三 曰 向 後 不 得 草 草 
X72n1441_001:0677c07	仍示偈曰。一回透入一回深。佛祖從來不許人。直饒	仍 示 偈 曰 一 回 透 入 一 回 深 佛 祖 從 來 不 許 人 直 饒 
X72n1441_001:0677c08	跨上金毛背。也教棒下自翻身。師猶疑。因甚更要棒	跨 上 金 毛 背 也 教 棒 下 自 翻 身 師 猶 疑 因 甚 更 要 棒 
X72n1441_001:0677c09	下翻身。越四載。因過延津。聞同行僧唱經云。一時謦	下 翻 身 越 四 載 因 過 延 津 聞 同 行 僧 唱 經 云 一 時 謦 
X72n1441_001:0677c10	欬。俱共彈指。是二音聲。徧至十方諸佛世界。廓然大	欬 俱 共 彈 指 是 二 音 聲 徧 至 十方諸佛 世 界 廓 然 大 
X72n1441_001:0677c11	悟。徹見壽昌用處。道霈頌曰。奇珍滿載泊延津。兩岸	悟 徹 見 壽 昌 用 處 道 霈 頌 曰 奇 珍 滿 載 泊 延 津 兩 岸 
X72n1441_001:0677c12	風光越樣新。一自釣船翻却後。瞿曇無地著閑身。	風 光 越 樣 新 一 自 釣 船 翻 却 後 瞿 曇 無 地 著 閑 身 
X72n1441_001:0677c13	師云。諸佛說法。有二種語。一者隨自意語。二者隨他	師 云 諸 佛 說 法 有 二 種 語 一 者 隨 自 意 語 二 者 隨 他 
X72n1441_001:0677c14	意語。隨自意語者。如來出世。無非為一大事因緣。所	意 語 隨 自 意 語 者 如 來 出 世 無 非 為 一 大 事 因 緣 所 
X72n1441_001:0677c15	謂欲令眾生開示悟入佛之知見。無柰眾生積習濃	謂 欲 令 眾 生 開 示 悟 入 佛 之 知 見 無 柰 眾 生 積 習 濃 
X72n1441_001:0677c16	厚。不能領荷。只得隨他意語。始于鹿野苑。為憍陳如	厚 不 能 領 荷 只 得 隨 他 意 語 始 于 鹿 野 苑 為 憍 陳 如 
X72n1441_001:0677c17	五比丘。三轉四諦法輪。四諦者。謂苦集滅道也。苦集	五 比 丘 三 轉 四 諦 法 輪 四 諦 者 謂 苦集滅道 也 苦 集 
X72n1441_001:0677c18	是世間果因。滅道是出世間果因。三轉者。謂示轉。勸	是 世 間 果 因 滅 道 是 出 世 間 果 因 三 轉 者 謂 示 轉 勸 
X72n1441_001:0677c19	轉。證轉。示轉者。謂此是苦。逼迫相欲界苦苦。色界壞	轉 證 轉 示 轉 者 謂 此 是 苦 逼 迫 相 欲 界 苦 苦 色 界 壞 
X72n1441_001:0677c20	苦。無色界行苦。是也。此是集。招感相。貪。嗔。痴。慢。疑。身。	苦 無 色 界 行 苦 是 也 此 是 集 招 感 相 貪 嗔 痴 慢 疑 身 
X72n1441_001:0677c21	見。邊見。戒取。戒禁取。邪見等。是也。此是滅。可證相。真	見 邊 見 戒 取 戒 禁 取 邪 見 等 是 也 此 是 滅 可 證 相 真 
X72n1441_001:0677c22	諦涅槃。離諸生滅。是也。此是道。可修相。三十七助道	諦 涅 槃 離 諸 生 滅 是 也 此 是 道 可 修 相 三 十 七 助 道 
X72n1441_001:0677c23	品等。是也。勸轉者。謂此是苦。汝應知。此是集。汝應斷。	品 等 是 也 勸 轉 者 謂 此 是 苦 汝 應 知 此 是 集 汝 應 斷 
X72n1441_001:0677c24	此是滅。汝應證。此是道。汝應修。證轉者。謂此是苦。我	此 是 滅 汝 應 證 此 是 道 汝 應 修 證 轉 者 謂 此 是 苦 我 
X72n1441_001:0678a01	已知。不復更知。此是集。我已斷。不復更斷。此是滅。我	已 知 不 復 更 知 此 是 集 我 已 斷 不 復 更 斷 此 是 滅 我 
X72n1441_001:0678a02	已證。不復更證。此是道。我已修。不復更修。陳如五比	已 證 不 復 更 證 此 是 道 我 已 修 不 復 更 修 陳 如 五 比 
X72n1441_001:0678a03	丘。聞佛法音。頓斷見思。證阿羅漢。是為聲聞乘也。緣	丘 聞 佛 法 音 頓 斷 見 思 證 阿 羅 漢 是 為 聲 聞 乘 也 緣 
X72n1441_001:0678a04	覺乘有二種。一者利根。出無佛世。是為獨覺。孤峯獨	覺 乘 有 二 種 一 者 利 根 出 無 佛 世 是 為 獨 覺 孤 峯 獨 
X72n1441_001:0678a05	宿。觀緣散滅。自悟無生。二者出有佛世。觀十二因緣	宿 觀 緣 散 滅 自 悟 無 生 二 者 出 有 佛 世 觀十二因緣 
X72n1441_001:0678a06	得道。名為緣覺。十二因緣者。一無明。(不了第一義諦。故名無明)二	得 道 名 為 緣 覺 十二因緣 者 一 無 明 不 了 第一義諦 故 名 無 明 二 
X72n1441_001:0678a07	無明緣行。(行。謂罪行。福行。不動行。此二支是因。屬過去)三行緣識。(識者。第八阿賴	無明緣行 行 謂 罪 行 福 行 不 動 行 此 二 支 是 因 屬 過 去 三 行 緣 識 識 者 第 八 阿 賴 
X72n1441_001:0678a08	耶識。為行牽引。最初投胎)四識緣名色。(與識共生四取蘊。為名色也。)五名色緣	耶 識 為 行 牽 引 最 初 投 胎 四 識 緣 名 色 與 識 共 生 四 取 蘊 為 名 色 也 五 名 色 緣 
X72n1441_001:0678a09	六入。(謂名色增長。為六八也。識名色六入三支。俱在胎位)六六入緣觸。(謂出胎之後。漸	六 入 謂 名 色 增 長 為 六 八 也 識 名 色 六 入 三 支 俱 在 胎 位 六 六 入 緣 觸 謂 出 胎 之 後 漸 
X72n1441_001:0678a10	至長大。根境識三事和合生觸)七觸緣受。(謂觸境領納為受也。識。名色。六入。觸。受。五支是果。屬	至 長 大 根 境 識 三事和合 生 觸 七 觸 緣 受 謂 觸 境 領 納 為 受 也 識 名 色 六 入 觸 受 五 支 是 果 屬 
X72n1441_001:0678a11	現在)八受緣愛。(於受染着生愛也)九愛緣取。(謂受增長是取也)十取緣	現 在 八 受 緣 愛 於 受 染 着 生 愛 也 九 愛 緣 取 謂 受 增 長 是 取 也 十 取 緣 
X72n1441_001:0678a12	有。(謂取所起有漏業為有也。愛取有三支。是未來因)十一有緣生。(謂從業起蘊為生)	有 謂 取 所 起 有 漏 業 為 有 也 愛 取 有 三 支 是 未 來 因 十 一 有 緣 生 謂 從 業 起 蘊 為 生 
X72n1441_001:0678a13	十二生緣老死憂悲苦惱。(謂蘊熟為老。蘊壞為死。意地為憂。涕泗咨嗟為悲。五	十 二 生 緣 老 死 憂 悲 苦 惱 謂 蘊 熟 為 老 蘊 壞 為 死 意 地 為 憂 涕 泗 咨 嗟 為 悲 五 
X72n1441_001:0678a14	根為苦。憂苦轉多為惱)已上十二因緣。三世流轉。此因緣故集。	根 為 苦 憂 苦 轉 多 為 惱 已 上 十二因緣 三 世 流 轉 此 因 緣 故 集 
X72n1441_001:0678a15	無有集者。無明滅則行滅。行滅則識滅。乃至有滅則	無 有 集 者 無 明 滅 則 行 滅 行 滅 則 識 滅 乃 至 有 滅 則 
X72n1441_001:0678a16	生老死憂悲苦惱滅。此因緣故滅。無有滅者。如是隨	生 老 死 憂 悲 苦 惱 滅 此 因 緣 故 滅 無 有 滅 者 如 是 隨 
X72n1441_001:0678a17	順觀察緣起之相。是緣覺乘也。菩薩乘修行六度。謂	順 觀 察 緣 起 之 相 是 緣 覺 乘 也 菩 薩 乘 修 行 六 度 謂 
X72n1441_001:0678a18	施戒忍進禪慧也。六度度六獘。謂布施度慳貪。持戒	施 戒 忍 進 禪 慧 也 六 度 度 六 獘 謂 布 施 度 慳 貪 持 戒 
X72n1441_001:0678a19	度毀犯。忍辱度嗔恚。精進度懈怠。禪定度散亂。智慧	度 毀 犯 忍 辱 度 嗔 恚 精 進 度 懈 怠 禪 定 度 散 亂 智 慧 
X72n1441_001:0678a20	度愚痴。是權乘菩薩事六度。若了知自性本無慳貪。	度 愚 痴 是 權 乘 菩 薩 事 六 度 若 了 知 自 性 本 無 慳 貪 
X72n1441_001:0678a21	隨順修行檀波羅蜜。了知自性本無毀犯。隨順修行	隨 順 修 行 檀 波 羅 蜜 了 知 自 性 本 無 毀 犯 隨 順 修 行 
X72n1441_001:0678a22	尸波羅蜜。了知自性本無嗔恚。隨順修行羼提波羅	尸 波 羅 蜜 了 知 自 性 本 無 嗔 恚 隨 順 修 行 羼 提 波 羅 
X72n1441_001:0678a23	蜜。了知自性本無懈怠。隨順修行毗離耶波羅蜜。了	蜜 了 知 自 性 本 無 懈 怠 隨 順 修 行 毗 離 耶 波 羅 蜜 了 
X72n1441_001:0678a24	知自性本無散亂。隨順修行禪定波羅蜜。了知自性	知 自 性 本 無 散 亂 隨 順 修 行 禪定波羅蜜 了 知 自 性 
X72n1441_001:0678b01	本無愚痴。隨順修行般若波羅蜜。度度皆是隨順自	本 無 愚 痴 隨 順 修 行 般 若 波 羅 蜜 度 度 皆 是 隨 順 自 
X72n1441_001:0678b02	性。非自性外別有六度可修。如是。則能優入圓頓。是	性 非 自 性 外 別 有 六 度 可 修 如 是 則 能 優 入 圓 頓 是 
X72n1441_001:0678b03	謂無作妙行。為菩薩乘也。	謂 無 作 妙 行 為 菩 薩 乘 也 
X72n1441_001:0678b04	師曰。三因佛性。應須知。三因者。一曰正因。二曰了因。	師 曰 三 因 佛 性 應 須 知 三 因 者 一 曰 正 因 二 曰 了 因 
X72n1441_001:0678b05	三曰緣因。正因者。即一切眾生本有靈覺之性。了因	三 曰 緣 因 正 因 者 即 一 切 眾 生 本 有 靈 覺 之 性 了 因 
X72n1441_001:0678b06	者。謂眾生雖有此性。無始劫來未曾了悟。須得了因	者 謂 眾 生 雖 有 此 性 無 始 劫 來 未 曾 了 悟 須 得 了 因 
X72n1441_001:0678b07	力。方能照見。所謂非生因之所生。惟了因之所了。是	力 方 能 照 見 所 謂 非 生 因 之 所 生 惟 了 因 之 所 了 是 
X72n1441_001:0678b08	也。緣因者。既了悟已。應稱性修行。六度萬行。自利利	也 緣 因 者 既 了 悟 已 應 稱 性 修 行 六 度 萬 行 自 利 利 
X72n1441_001:0678b09	他。福慧圓滿。成兩足尊。	他 福 慧 圓 滿 成 兩 足 尊 
X72n1441_001:0678b10	師曰。學道之士。先須究明萬法生起根本。根本若明。	師 曰 學 道 之 士 先 須 究 明 萬 法 生 起 根 本 根 本 若 明 
X72n1441_001:0678b11	入道自然無惑。昔世尊未出世。西天九十六種外道。	入 道 自 然 無 惑 昔 世 尊 未 出 世 西 天 九 十 六 種 外 道 
X72n1441_001:0678b12	各宗其宗。入主出奴。互相是非。猶如水火。總而言之。	各 宗 其 宗 入 主 出 奴 互 相 是 非 猶 如 水 火 總 而 言 之 
X72n1441_001:0678b13	不出無因邪因二種。無而忽有。是曰無因。所計虗謬。	不 出 無 因 邪 因 二 種 無 而 忽 有 是 曰 無 因 所 計 虗 謬 
X72n1441_001:0678b14	是曰邪因。有計萬物無因無緣。皆自然生。自然滅。如	是 曰 邪 因 有 計 萬 物 無 因 無 緣 皆 自 然 生 自 然 滅 如 
X72n1441_001:0678b15	烏色非染。鶴色自白。瑜伽論中有問曰。何因緣故。彼	烏 色 非 染 鶴 色 自 白 瑜 伽 論 中 有 問 曰 何 因 緣 故 彼 
X72n1441_001:0678b16	諸外道。起自然見。答。謂見世間。無有因緣。或時歘爾。	諸 外 道 起 自 然 見 答 謂 見 世 間 無 有 因 緣 或 時 歘 爾 
X72n1441_001:0678b17	大風卒起。或時一日。寂然止息。或時忽爾。暴沙瀰漫。	大 風 卒 起 或 時 一 日 寂 然 止 息 或 時 忽 爾 暴 沙 瀰 漫 
X72n1441_001:0678b18	於一時間。頓即空竭。或時鬱爾。果木敷榮。或一時間。	於 一 時 間 頓 即 空 竭 或 時 鬱 爾 果 木 敷 榮 或 一 時 間 
X72n1441_001:0678b19	颯然衰顇。由如是故。起如是見。立無因論。或計二十	颯 然 衰 顇 由 如 是 故 起 如 是 見 立 無 因 論 或 計 二 十 
X72n1441_001:0678b20	五諦從冥生等。或計六句。謂實。德。業。大有。同異。和合	五 諦 從 冥 生 等 或 計 六 句 謂 實 德 業 大 有 同 異 和 合 
X72n1441_001:0678b21	等生。或謂大梵天等生。或計時。方。微塵。虗空等。而為	等 生 或 謂 大 梵 天 等 生 或 計 時 方 微 塵 虗 空 等 而 為 
X72n1441_001:0678b22	世間及涅槃本。即是邪因也。如此方儒道二教。儒以	世 間 及 涅 槃 本 即 是 邪 因 也 如 此 方 儒 道 二 教 儒 以 
X72n1441_001:0678b23	大極為因。道以自然為因。道經云。人法地。地法天。天	大 極 為 因 道 以 自 然 為 因 道 經 云 人 法 地 地 法 天 天 
X72n1441_001:0678b24	法道。道法自然。周易云。易有太極。是生兩儀。兩儀生	法 道 道 法 自 然 周 易 云 易 有 太 極 是 生 兩 儀 兩 儀 生 
X72n1441_001:0678c01	四象。四象生八卦。八卦。定吉凶。吉凶生大業等。皆不	四 象 四 象 生 八 卦 八 卦 定 吉 凶 吉 凶 生 大 業 等 皆 不 
X72n1441_001:0678c02	出此。若謂無因。乃成大過。謂不應生物。則合常生。石	出 此 若 謂 無 因 乃 成 大 過 謂 不 應 生 物 則 合 常 生 石 
X72n1441_001:0678c03	女則應生兒。龜毛亦應生物。不修萬行。應得涅槃。則	女 則 應 生 兒 龜 毛 亦 應 生 物 不 修 萬 行 應 得 涅 槃 則 
X72n1441_001:0678c04	世出世法。一時俱壞。若計邪因。因雖不無。不達唯心。	世 出 世 法 一 時 俱 壞 若 計 邪 因 因 雖 不 無 不 達 唯 心 
X72n1441_001:0678c05	所計虗謬。其過亦等。世尊出世。立正因緣。諸計皆破。	所 計 虗 謬 其 過 亦 等 世 尊 出 世 立 正 因 緣 諸 計 皆 破 
X72n1441_001:0678c06	正因緣者。人天教中。謂三界六道。依正二報。皆從業	正 因 緣 者 人 天 教 中 謂 三 界 六 道 依 正 二 報 皆 從 業 
X72n1441_001:0678c07	因緣生。小乘教以六識三毒為世間根本。中論云。三	因 緣 生 小 乘 教 以 六 識 三 毒 為 世 間 根 本 中 論 云 三 
X72n1441_001:0678c08	毒因緣起于三業。(身口意)三業因緣起于三行。(謂罪行福行不	毒 因 緣 起 于 三 業 身 口 意 三 業 因 緣 起 于 三 行 謂 罪 行 福 行 不 
X72n1441_001:0678c09	動行)是故有一切法。大乘始教。說有八識。唯是生滅。建	動 行 是 故 有 一 切 法 大 乘 始 教 說 有 八 識 唯 是 生 滅 建 
X72n1441_001:0678c10	立生死。及涅槃因。故攝論云。無始時來界。一切法等	立 生 死 及 涅 槃 因 故 攝 論 云 無始時來 界 一 切 法 等 
X72n1441_001:0678c11	依。由此有諸趣。及涅槃證得。界即因義。謂種子識也。	依 由 此 有 諸 趣 及 涅 槃 證 得 界 即 因 義 謂 種 子 識 也 
X72n1441_001:0678c12	其所立識。唯業惑生。真如凝然。常恒不變。不許隨緣。	其 所 立 識 唯 業 惑 生 真 如 凝 然 常 恒 不 變 不 許 隨 緣 
X72n1441_001:0678c13	大乘終教。所立八識。通如來藏。隨緣成立。經云。佛說	大 乘 終 教 所 立 八 識 通 如 來 藏 隨 緣 成 立 經 云 佛 說 
X72n1441_001:0678c14	如來藏。以為阿賴耶。如金與指環。展轉無差別。一切	如 來 藏 以 為 阿 賴 耶 如 金 與 指 環 展 轉 無 差 別 一 切 
X72n1441_001:0678c15	眾生。平等一性。但是真如。隨緣成立。頓教總不說法	眾 生 平 等 一 性 但 是 真 如 隨 緣 成 立 頓 教 總 不 說 法 
X72n1441_001:0678c16	相。唯辨真性。亦無八識差別之相。一切所有。唯是妄	相 唯 辨 真 性 亦 無 八 識 差別之相 一 切 所 有 唯 是 妄 
X72n1441_001:0678c17	想。一切法界。唯是絕言。一乘圓教。所說唯是無盡法	想 一 切 法 界 唯 是 絕 言 一 乘 圓 教 所 說 唯 是 無 盡 法 
