T39n1789_001:0343a04	欽錄	欽 錄 
T39n1789_002:0366c04	　心量妄想	 心 量 妄 想 
T39n1789_002:0366c05	人相續陰者。人即是我。陰即五陰。此我陰	人 相 續 陰 者 人 即 是 我 陰 即 五 陰 此 我 陰 
T39n1789_002:0366c06	相續不斷者。外道計此之法從邪因緣與微	相續不斷 者 外 道 計 此 之 法 從 邪 因 緣 與 微 
T39n1789_002:0366c07	塵及勝自在天所作。作即生也。然彼不知此	塵 及 勝 自 在 天 所 作 作 即 生 也 然 彼 不 知 此 
T39n1789_002:0366c08	但心量妄想耳。	但 心 量 妄 想 耳 
T39n1789_002:0366c09	爾時大慧菩薩摩訶薩觀未來眾生。復請世	爾 時 大 慧 菩薩摩訶薩 觀 未 來 眾 生 復 請 世 
T39n1789_002:0366c10	尊。惟願為說修行無間如諸菩薩摩訶薩修	尊 惟 願 為 說 修 行 無 間 如 諸 菩薩摩訶薩 修 
T39n1789_002:0366c11	行者大方便　大慧既聞入三解脫門疾得菩	行 者 大 方 便 大 慧 既 聞 入 三解脫門 疾 得 菩 
T39n1789_002:0366c12	提。菩提是道果。果非因行莫成。行非方便莫	提 菩 提 是 道 果 果 非 因 行 莫 成 行 非 方 便 莫 
T39n1789_002:0366c13	進。故為來世之機。伸此請也。無間者。無間雜	進 故 為 來 世 之 機 伸 此 請 也 無 間 者 無 間 雜 
T39n1789_002:0366c14	間斷也。	間 斷 也 
T39n1789_002:0366c15	佛告大慧。菩薩摩訶薩成就四法得修行者	佛 告 大 慧 菩薩摩訶薩 成 就 四 法 得 修 行 者 
T39n1789_002:0366c16	大方便。云何為四。謂善分別自心現。觀外性	大 方 便 云 何 為 四 謂 善 分 別 自 心 現 觀 外 性 
T39n1789_002:0366c17	非性。離生住滅見。得自覺聖智善樂。是名菩	非 性 離 生 住 滅 見 得 自覺聖智 善 樂 是 名 菩 
T39n1789_002:0366c18	薩摩訶薩成就四法得修行者大方便　答中	薩 摩 訶 薩 成 就 四 法 得 修 行 者 大 方 便 答 中 
T39n1789_002:0366c19	言成就四法是大方便者。方便多門四法乃	言 成 就 四 法 是 大 方 便 者 方 便 多 門 四 法 乃 
T39n1789_002:0366c20	方便之大。故與其他方便不同。然此四者。不	方 便 之 大 故 與 其 他 方 便 不 同 然 此 四 者 不 
T39n1789_002:0366c21	出修性因果。謂全性起修從因至果也。四法	出 修 性 因 果 謂 全 性 起 修 從 因 至 果 也 四 法 
T39n1789_002:0366c22	義見下文。	義 見 下 文 
T39n1789_002:0366c23	云何菩薩摩訶薩善分別自心現。謂如是觀。	云 何 菩薩摩訶薩 善 分 別 自 心 現 謂 如 是 觀 
T39n1789_002:0366c24	三界唯心分齊。離我我所無動搖離去來。無	三界唯心 分 齊 離我我所 無 動 搖 離 去 來 無 
T39n1789_002:0366c25	始虛偽習氣所熏。三界種種色行繫縛身財	始 虛 偽 習 氣 所 熏 三 界 種 種 色 行 繫 縛 身 財 
T39n1789_002:0366c26	建立妄想隨入現。是名菩薩摩訶薩善分別	建 立 妄 想 隨 入 現 是 名 菩薩摩訶薩 善 分 別 
T39n1789_002:0366c27	自心現　釋分別自心現中。言觀三界唯心	自 心 現 釋 分 別 自 心 現 中 言 觀 三界唯心 
T39n1789_002:0366c28	分齊者。三界由妄想而起。妄想不出自心。分	分 齊 者 三 界 由 妄 想 而 起 妄 想 不 出 自 心 分 
T39n1789_002:0366c29	齊者。界限也。了知心外無法。則人法二執俱	齊 者 界 限 也 了 知 心 外 無 法 則 人 法 二 執 俱 
T39n1789_002:0367a01	離。復何動作去來之相。但由無始妄想熏故。	離 復 何 動 作 去 來 之 相 但 由 無 始 妄 想 熏 故 
T39n1789_002:0367a02	有三界種種五陰繫縛。言色行者。略舉五陰	有 三 界 種 種 五 陰 繫 縛 言 色 行 者 略 舉 五 陰 
T39n1789_002:0367a03	之二耳。由有五陰之身故。有資身財物建立。	之 二 耳 由 有 五 陰 之 身 故 有 資 身 財 物 建 立 
T39n1789_002:0367a04	如是諸法皆因自心妄想顯現。若知本來空	如 是 諸 法 皆 因 自 心 妄 想 顯 現 若 知 本 來 空 
T39n1789_002:0367a05	寂安有生滅。是為善分別也。	寂 安 有 生 滅 是 為 善 分 別 也 
T39n1789_002:0367a06	云何菩薩摩訶薩善觀外性非性。謂焰夢等	云 何 菩薩摩訶薩 善 觀 外 性 非 性 謂 焰 夢 等 
T39n1789_002:0367a07	一切性。所有境界如來藏門。大慧。未來現	一 切 性 所 有 境 界 如 來 藏 門 大 慧 未 來 現 
T39n1789_002:0367a08	在菩薩摩訶薩不應作我見計著　答中先約	在 菩薩摩訶薩 不 應 作 我 見 計 著 答 中 先 約 
T39n1789_002:0367a09	法判異。言我說如來藏初無我相。但為顯真	法 判 異 言 我 說 如 來 藏 初 無 我 相 但 為 顯 真 
T39n1789_002:0367a10	破妄故。說我與無我。不同外道妄計之我。言	破 妄 故 說 我 與 無 我 不 同 外 道 妄 計 之 我 言 
T39n1789_002:0367a11	空無相無願者。三空也。空是性空。無相是相	空無相無願 者 三 空 也 空 是 性 空 無 相 是 相 
T39n1789_002:0367a12	空。無願是性相俱空。無所願也。如實際是真	空 無 願 是 性 相 俱 空 無 所 願 也 如 實 際 是 真 
T39n1789_002:0367a13	如實際也。法性。法名軌則性名不改。法身者。	如 實 際 也 法 性 法 名 軌 則 性 名 不 改 法 身 者 
T39n1789_002:0367a14	師軌法性還以法性為身。涅槃者。滅度也。或	師 軌 法 性 還 以 法 性 為 身 涅 槃 者 滅 度 也 或 
T39n1789_002:0367a15	說離自性。或說不生不滅。或說本來寂靜。或	說 離 自 性 或 說 不生不滅 或 說 本來寂靜 或 
T39n1789_002:0367a16	說自性涅槃。如是諸句皆如來藏之異名。然	說 自性涅槃 如 是 諸 句 皆 如 來 藏 之 異 名 然 
T39n1789_002:0367a17	如來以種種名演說如來藏義。為令眾生離	如 來 以 種 種 名 演 說 如 來 藏 義 為 令 眾 生 離 
T39n1789_002:0367a18	我。但機樂不同。懼聞無我之名者。說離妄想	我 但 機 樂 不 同 懼 聞 無 我 之 名 者 說 離 妄 想 
T39n1789_002:0367a19	無所有境界。離妄即無我。是為如來藏門。門	無 所 有 境 界 離 妄 即 無 我 是 為 如 來 藏 門 門 
T39n1789_002:0367a20	者能通。欲眾生從此門而入。故戒云不應計	者 能 通 欲 眾 生 從 此 門 而 入 故 戒 云 不 應 計 
T39n1789_002:0367a21	著。	著 
T39n1789_002:0367a22	譬如陶家。於一泥聚以人工水木輪繩方便	譬 如 陶 家 於 一 泥 聚 以 人 工 水 木 輪 繩 方 便 
T39n1789_002:0367a23	作種種器。如來亦復如是。於法無我離一切	作 種 種 器 如 來 亦復如是 於 法 無 我 離 一 切 
T39n1789_002:0367a24	妄想相。以種種智慧善巧方便。或說如來	妄 想 相 以 種 種 智 慧 善巧方便 或 說 如 來 
T39n1789_002:0367a25	藏。或說無我。以是因緣故。說如來藏不同外	藏 或 說 無 我 以是因緣 故 說 如 來 藏 不 同 外 
T39n1789_002:0367a26	道所說之我。是名說如來藏開引計我諸外	道 所 說 之 我 是 名 說 如 來 藏 開 引 計 我 諸 外 
T39n1789_002:0367a27	道。故說如來藏令離不實我見妄想入三解	道 故 說 如 來 藏 令 離 不 實 我 見 妄 想 入 三 解 
T39n1789_002:0367a28	脫境界。希望疾得阿耨多羅三藐三菩提。是	脫 境 界 希 望 疾 得阿耨多羅三藐三菩提 是 
T39n1789_002:0367a29	故如來應供等正覺。作如是說。如來之藏。若	故 如 來 應 供 等 正 覺 作如是說 如 來 之 藏 若 
T39n1789_002:0367b01	不如是則同外道。是故大慧。為離外道見故。	不 如 是 則 同 外 道 是 故 大 慧 為 離 外 道 見 故 
T39n1789_002:0367b02	當依無我如來之藏　譬如下引喻結顯。泥	當 依 無 我 如 來 之 藏 譬 如 下 引 喻 結 顯 泥 
T39n1789_002:0367b03	聚一也。本無定器。陶家以作工方便故成種	聚 一 也 本 無 定 器 陶 家 以 作 工 方 便 故 成 種 
T39n1789_002:0367b04	種器。喻法無我亦一也。本無定名。以智慧方	種 器 喻 法 無 我 亦 一 也 本 無 定 名 以 智 慧 方 
T39n1789_002:0367b05	便說種種名。如前空無相至涅槃等是也。故	便 說 種 種 名 如 前 空 無 相 至 涅 槃 等 是 也 故 
T39n1789_002:0367b06	結云。或說如來藏。或說無我。名雖不同義則	結 云 或 說 如 來 藏 或 說 無 我 名 雖 不 同 義 則 
T39n1789_002:0367b07	是一。蓋開引著我外道說如來藏。本令離著	是 一 蓋 開 引 著 我 外 道 說 如 來 藏 本 令 離 著 
T39n1789_002:0367b08	入三脫門成等正覺。豈同外道神我之見邪。	入 三 脫 門 成等正覺 豈 同 外 道 神 我 之 見 邪 
T39n1789_002:0367b09	三解脫者。性淨解脫圓淨解脫方便淨解脫	三 解 脫 者 性 淨 解 脫 圓 淨 解 脫 方 便 淨 解 脫 
T39n1789_002:0367b10	也。	也 
T39n1789_002:0367b11	爾時世尊欲重宣此義而說偈言。	爾 時 世 尊 欲 重 宣 此 義 而 說 偈 言 
T39n1789_002:0367b12	無始虛偽妄想習。因觀一切性自性。菩薩摩	無 始 虛 偽 妄 想 習 因 觀 一 切 性 自 性 菩 薩 摩 
T39n1789_002:0367b13	訶薩作如是善觀外性非性。是名菩薩摩訶	訶 薩 作 如 是 善 觀 外 性 非 性 是 名 菩 薩 摩 訶 
T39n1789_002:0367b14	薩善觀外性非性　前觀內心此修外觀。此	薩 善 觀 外 性 非 性 前 觀 內 心 此 修 外 觀 此 
T39n1789_002:0367b15	之二觀修。乃隨宜未必俱用。言外性非性者。	之 二 觀 修 乃 隨 宜 未 必 俱 用 言 外 性 非 性 者 
T39n1789_002:0367b16	了外法之性。非自他等四性而生也。謂陽焰	了 外 法 之 性 非 自 他 等 四 性 而 生 也 謂 陽 焰 
T39n1789_002:0367b17	夢幻等性是也。此一切法由無始妄習為	夢 幻 等 性 是 也 此 一 切 法 由 無 始 妄 習 為 
T39n1789_002:0367b18	因。故皆不實如焰夢等。是為善觀外性非性	因 故 皆 不 實 如 焰 夢 等 是 為 善 觀 外 性 非 性 
T39n1789_002:0367b19	也。	也 
T39n1789_002:0367b20	云何菩薩摩訶薩善離生住滅見。謂如幻夢	云 何 菩薩摩訶薩 善 離 生 住 滅 見 謂 如 幻 夢 
T39n1789_002:0367b21	一切性。自他俱性不生。隨入自心分齊。故見	一 切 性 自 他 俱 性 不 生 隨 入 自 心 分 齊 故 見 
T39n1789_002:0367b22	外性非性。見識不生及緣不積聚。見妄想緣	外 性 非 性 見 識 不 生 及 緣 不 積 聚 見 妄 想 緣 
T39n1789_002:0367b23	生於三界。內外一切法不可得。見離自性生	生 於 三 界 內 外 一 切 法 不 可 得 見 離 自 性 生 
T39n1789_002:0367b24	見悉滅。知如幻等諸法自性。得無生法忍。得	見 悉 滅 知 如 幻 等 諸法自性 得無生法忍 得 
T39n1789_002:0367b25	無生法忍已。離生住滅見。是名菩薩摩訶薩	無生法忍 已 離 生 住 滅 見 是 名 菩薩摩訶薩 
T39n1789_002:0367b26	善分別離生住滅見　離生住滅見。謂如夢	善 分 別 離 生 住 滅 見 離 生 住 滅 見 謂 如 夢 
T39n1789_002:0367b27	等。牒前所觀也。見識不生下。正示離見。言	等 牒 前 所 觀 也 見 識 不 生 下 正 示 離 見 言 
T39n1789_002:0367b28	由前觀故。內見心識不生外緣塵不積聚。一	由 前 觀 故 內 見 心 識 不 生 外 緣 塵 不 積 聚 一 
T39n1789_002:0367b29	一推求性不可得故云不生。不生而生。以妄	一 推 求 性 不 可 得 故 云 不 生 不 生 而 生 以 妄 
T39n1789_002:0367c01	想緣生於三界。內外諸法均一理故。皆不可	想 緣 生 於 三 界 內 外 諸 法 均 一 理 故 皆 不 可 
T39n1789_002:0367c02	得則離自性。由離性故。緣生與見皆悉寂滅。	得 則 離 自 性 由 離 性 故 緣 生 與 見 皆 悉 寂 滅 
T39n1789_002:0367c03	如是證知諸法如幻。即是無生法忍。無生則	如 是 證 知 諸 法 如 幻 即 是 無生法忍 無 生 則 
T39n1789_002:0367c04	無滅故。生住滅之見無不離也。	無 滅 故 生 住 滅 之 見 無 不 離 也 
T39n1789_002:0367c05	云何菩薩摩訶薩得自覺聖智善樂。謂得無	云 何 菩薩摩訶薩 得 自覺聖智 善 樂 謂 得 無 
T39n1789_002:0367c06	生法忍。住第八菩薩地。得離心意意識五法	生 法 忍 住 第 八 菩 薩 地 得 離 心意意識 五 法 
T39n1789_002:0367c07	自性二無我相。得意生身　此自覺聖智。謂	自 性 二 無 我 相 得 意 生 身 此 自覺聖智 謂 
T39n1789_002:0367c08	得無生法忍者。初破無明顯法性也。言善樂	得無生法忍 者 初 破 無 明 顯 法 性 也 言 善 樂 
T39n1789_002:0367c09	者。既得無生以此為樂。又云。住第八菩薩地	者 既 得 無 生 以 此 為 樂 又 云 住 第 八 菩 薩 地 
T39n1789_002:0367c10	者。此乃通教第八地也。菩薩至此地。受接始	者 此 乃 通 教 第 八 地 也 菩 薩 至 此 地 受 接 始 
T39n1789_002:0367c11	證無生法忍。作餘教釋之不可也。離心意識	證 無生法忍 作 餘 教 釋 之 不 可 也 離 心 意 識 
T39n1789_002:0367c12	等既證無生。何法可離。乃非離而離。得意生	等 既 證 無 生 何 法 可 離 乃 非 離 而 離 得 意 生 
T39n1789_002:0367c13	身者。起用之本亦捨意得意之用也。	身 者 起 用 之 本 亦 捨 意 得 意 之 用 也 
T39n1789_002:0367c14	世尊。意生身者。何因緣。佛告大慧。意生身	世 尊 意 生 身 者 何 因 緣 佛 告 大 慧 意 生 身 
T39n1789_002:0367c15	者。譬如意去迅疾無礙故名意生。譬如意去	者 譬 如 意 去 迅 疾 無 礙 故 名 意 生 譬 如 意 去 
T39n1789_002:0367c16	石壁無礙於彼異方無量由延因先所見憶念	石 壁 無 礙 於 彼 異 方 無 量 由 延 因 先 所 見 憶 念 
T39n1789_002:0367c17	不忘自心流注不絕於身無障礙生。大慧。如	不 忘 自 心 流 注 不 絕 於 身 無 障 礙 生 大 慧 如 
T39n1789_002:0367c18	是意生身得一時俱。菩薩摩訶薩意生身。如	是 意 生 身 得 一 時 俱 菩薩摩訶薩 意 生 身 如 
T39n1789_002:0367c19	幻三昧力自在神通妙相莊嚴聖種類身一時	幻 三 昧 力 自 在 神 通 妙 相 莊 嚴 聖 種 類 身 一 時 
T39n1789_002:0367c20	俱生。猶如意生無有障礙。隨所憶念本願境	俱 生 猶 如 意 生 無有障礙 隨 所 憶 念 本 願 境 
T39n1789_002:0367c21	界。為成就眾生得自覺聖智善樂　意生身	界 為 成 就 眾 生 得 自覺聖智 善 樂 意 生 身 
T39n1789_002:0367c22	等者。意有三義。取以為喻。一迅疾二無礙。三	等 者 意 有 三 義 取 以 為 喻 一 迅 疾 二 無 礙 三 
T39n1789_002:0367c23	遍到。蓋言菩薩得如幻三昧現身攝生亦有	遍 到 蓋 言 菩 薩 得 如幻三昧 現 身 攝 生 亦 有 
T39n1789_002:0367c24	此三義也。凡夫意到而身不能到。身意俱到。	此 三 義 也 凡 夫 意 到 而 身 不 能 到 身 意 俱 到 
T39n1789_002:0367c25	惟聖及得通者能之。言如幻三昧自在神通	惟 聖 及 得 通 者 能 之 言 如幻三昧 自 在 神 通 
T39n1789_002:0367c26	者。能生之意也。妙相莊嚴聖種類身者。所生	者 能 生 之 意 也 妙 相 莊 嚴 聖 種 類 身 者 所 生 
T39n1789_002:0367c27	之身也。一時俱生猶如意生者。法喻泯合也。	之 身 也 一 時 俱 生 猶 如 意 生 者 法 喻 泯 合 也 
T39n1789_002:0367c28	成就眾生者。令其亦得善樂也。	成 就 眾 生 者 令 其 亦 得 善 樂 也 
T39n1789_002:0367c29	如是菩薩摩訶薩得無生法忍。住第八菩薩	如 是 菩薩摩訶薩 得無生法忍 住 第 八 菩 薩 
T39n1789_002:0368a01	地。轉捨心意意識五法自性二無我相身及	地 轉 捨 心意意識 五 法 自 性 二 無 我 相 身 及 
T39n1789_002:0368a02	得意生身。得自覺聖智善樂。是名菩薩摩訶	得 意 生 身 得 自覺聖智 善 樂 是 名 菩 薩 摩 訶 
T39n1789_002:0368a03	薩成就四法得修行者大方便。當如是學	薩 成 就 四 法 得 修 行 者 大 方 便 當 如 是 學 
T39n1789_002:0368a04	　菩薩依此四法修行。即得從因至果起用化	 菩 薩 依 此 四 法 修 行 即 得 從 因 至 果 起 用 化 
T39n1789_002:0368a05	他故。戒云。當如是學。	他 故 戒 云 當 如 是 學 
T39n1789_002:0368a06	爾時大慧菩薩摩訶薩復請世尊。惟願為說	爾 時 大 慧 菩薩摩訶薩 復 請 世 尊 惟 願 為 說 
T39n1789_002:0368a07	一切諸法因緣之相。以覺緣因相故。我及諸	一切諸法 因 緣 之 相 以 覺 緣 因 相 故 我 及 諸 
T39n1789_002:0368a08	菩薩離一切性有無妄見。無妄想見漸次俱	菩 薩 離 一 切 性 有 無 妄 見 無 妄 想 見 漸 次 俱 
T39n1789_002:0368a09	生　上言修行證無生忍。然無生之理未嘗	生 上 言 修 行 證 無 生 忍 然 無 生 之 理 未 嘗 
T39n1789_002:0368a10	離於因緣所生之法。若覺了斯旨。則能離諸	離 於 因緣所生 之 法 若 覺 了 斯 旨 則 能 離 諸 
T39n1789_002:0368a11	妄執。故大慧為眾而請。言漸次俱生者。謂	妄 執 故 大 慧 為 眾 而 請 言 漸 次 俱 生 者 謂 
T39n1789_002:0368a12	諸法漸生頓生此皆邪見。義見下文。	諸 法 漸 生 頓 生 此 皆 邪 見 義 見 下 文 
T39n1789_002:0368a13	佛告大慧。一切法二種緣相。謂外及內外緣	佛 告 大 慧 一 切 法 二 種 緣 相 謂 外 及 內 外 緣 
T39n1789_002:0368a14	者。謂泥團柱輪繩水木人工。諸方便緣有瓶	者 謂 泥 團 柱 輪 繩 水 木 人 工 諸 方 便 緣 有 瓶 
T39n1789_002:0368a15	生。如泥瓶縷疊草席種牙酪酥等方便緣生。	生 如 泥 瓶 縷 疊 草 席 種 牙 酪 酥 等 方 便 緣 生 
T39n1789_002:0368a16	亦復如是。是名外緣前後轉生　內外因緣	亦復如是 是 名 外 緣 前 後 轉 生 內 外 因 緣 
T39n1789_002:0368a17	皆有親疎之義。謂親生為因疎助為緣。外緣	皆 有 親 疎 之 義 謂 親 生 為 因 疎 助 為 緣 外 緣 
T39n1789_002:0368a18	者。合有因字。泥團為因柱輪等為緣和合為	者 合 有 因 字 泥 團 為 因 柱 輪 等 為 緣 和 合 為 
T39n1789_002:0368a19	瓶。瓶即所生法也。泥瓶因緣既然。例餘縷疊	瓶 瓶 即 所 生 法 也 泥 瓶 因 緣 既 然 例 餘 縷 疊 
T39n1789_002:0368a20	等四亦復然也。言前後轉生者。謂前因後緣	等 四 亦 復 然 也 言 前 後 轉 生 者 謂 前 因 後 緣 
T39n1789_002:0368a21	展轉而生也。	展 轉 而 生 也 
T39n1789_002:0368a22	云何內緣。謂無明愛業等法得緣名。從彼生	云 何 內 緣 謂 無 明 愛 業 等 法 得 緣 名 從 彼 生 
T39n1789_002:0368a23	陰界入法。得緣所起名彼無差別。而愚夫妄	陰 界 入 法 得 緣 所 起 名 彼 無 差 別 而 愚 夫 妄 
T39n1789_002:0368a24	想。是名內緣法　前言外者依報也。此言內	想 是 名 內 緣 法 前 言 外 者 依 報 也 此 言 內 
T39n1789_002:0368a25	者正報也。言無明業等生陰界入法者。此十	者 正 報 也 言 無 明 業 等 生 陰 界 入 法 者 此 十 
T39n1789_002:0368a26	二因緣也。由過去無明行。乃生現在陰界入。	二 因 緣 也 由 過 去 無 明 行 乃 生 現 在 陰 界 入 
T39n1789_002:0368a27	亦由現在愛業。生未來陰界入也。以是得名	亦 由 現 在 愛 業 生 未 來 陰 界 入 也 以 是 得 名 
T39n1789_002:0368a28	內緣起法。彼無差別者。謂本無漸生頓生差	內 緣 起 法 彼 無 差 別 者 謂 本 無 漸 生 頓 生 差 
T39n1789_002:0368a29	別。但是凡夫妄想分別耳。	別 但 是 凡 夫 妄想分別 耳 
T39n1789_002:0368b01	大慧。彼因者。有六種。謂當有因。相續因。相	大 慧 彼 因 者 有 六 種 謂 當 有 因 相 續 因 相 
T39n1789_002:0368b02	因。作因。顯示因。待因。當有因者。作因已內	因 作 因 顯 示 因 待 因 當 有 因 者 作 因 已 內 
T39n1789_002:0368b03	外法生。相續因者。作攀緣已。內外法生陰種	外 法 生 相 續 因 者 作 攀 緣 已 內 外 法 生 陰 種 
T39n1789_002:0368b04	子等。相因者。作無間相相續生。作因者。作增	子 等 相 因 者 作 無 間 相 相 續 生 作 因 者 作 增 
T39n1789_002:0368b05	上事如轉輪王。顯示因者。妄想事生已相現。	上 事 如 轉 輪 王 顯 示 因 者 妄 想 事 生 已 相 現 
T39n1789_002:0368b06	作所作如燈照色等。待因者。滅時作相續斷	作 所 作 如 燈 照 色 等 待 因 者 滅 時 作 相 續 斷 
T39n1789_002:0368b07	不妄想性生　當有因者。謂所作因乃根塵	不 妄 想 性 生 當 有 因 者 謂 所 作 因 乃 根 塵 
T39n1789_002:0368b08	所生法。是現在因。能招當來之果也。相續因	所 生 法 是 現 在 因 能 招 當 來 之 果 也 相 續 因 
T39n1789_002:0368b09	者謂攀緣根塵成善惡業。續生後陰種子。果	者 謂 攀 緣 根 塵 成 善 惡 業 續 生 後 陰 種 子 果 
T39n1789_002:0368b10	復為因也。相因者。謂作無間斷善惡業相。因	復 為 因 也 相 因 者 謂 作 無 間 斷 善 惡 業 相 因 
T39n1789_002:0368b11	果相續不斷也。作因者。謂於因上作因。如轉	果 相續不斷 也 作 因 者 謂 於 因 上 作 因 如 轉 
T39n1789_002:0368b12	輪王已獲勝報更作勝因。名增上也。顯示因	輪 王 已 獲 勝 報 更 作 勝 因 名 增 上 也 顯 示 因 
T39n1789_002:0368b13	者。謂凡妄想事生必有因。能作所作境相。加	者 謂 凡 妄 想 事 生 必 有 因 能 作 所 作 境 相 加 
T39n1789_002:0368b14	燈照物。顯然可見也。待因者。謂妄想滅時還	燈 照 物 顯 然 可 見 也 待 因 者 謂 妄 想 滅 時 還 
T39n1789_002:0368b15	作作時還滅。若相續念斷則不妄想性生。以	作 作 時 還 滅 若 相 續 念 斷 則 不 妄 想 性 生 以 
T39n1789_002:0368b16	妄待不妄。是為待因也。	妄 待 不 妄 是 為 待 因 也 
T39n1789_002:0368b17	大慧。彼自妄想相愚夫。不漸次生不俱生。所	大 慧 彼 自 妄 想 相 愚 夫 不 漸 次 生 不 俱 生 所 
T39n1789_002:0368b18	以者何。若復俱生者。作所作無分別。不得因	以 者 何 若 復 俱 生 者 作 所 作 無 分 別 不 得 因 
T39n1789_002:0368b19	相故。若漸次生者。不得相我。故漸次生不生	相 故 若 漸 次 生 者 不 得 相 我 故 漸 次 生 不 生 
T39n1789_002:0368b20	如不生子無父名　此言六因所生之法非二	如 不 生 子 無 父 名 此 言 六 因 所 生 之 法 非 二 
T39n1789_002:0368b21	種生相。但是凡夫妄想之所分別。故言不漸	種 生 相 但 是 凡 夫 妄 想 之 所 分 別 故 言 不 漸 
T39n1789_002:0368b22	次生不俱生也。所以者何下。徵結不生所以。	次 生 不 俱 生 也 所以者何 下 徵 結 不 生 所 以 
T39n1789_002:0368b23	若一切法頓生者。則能作之因所作之法。無	若 一 切 法 頓 生 者 則 能 作 之 因 所 作 之 法 無 
T39n1789_002:0368b24	有分別。求其因相不可得也。若一切法漸生	有 分 別 求 其 因 相 不 可 得 也 若 一 切 法 漸 生 
T39n1789_002:0368b25	者。求其體相亦不可得。故喻云如不生子安	者 求 其 體 相 亦 不 可 得 故 喻 云 如 不 生 子 安 
T39n1789_002:0368b26	有父名。	有 父 名 
T39n1789_002:0368b27	大慧漸次生相續方便不然。但妄想耳。因	大 慧 漸 次 生 相 續 方 便 不 然 但 妄 想 耳 因 
T39n1789_002:0368b28	攀緣次第增上緣等生所生故。大慧。漸次生	攀 緣 次 第 增 上 緣 等 生 所 生 故 大 慧 漸 次 生 
T39n1789_002:0368b29	不生。妄想自性計著相故。漸次俱不生。自心	不 生 妄 想 自 性 計 著 相 故 漸 次 俱 不 生 自 心 
T39n1789_002:0368b30	現受用故。自相共相外性非性。大慧。漸次俱	現 受 用 故 自相共相 外 性 非 性 大 慧 漸 次 俱 
T39n1789_002:0368c01	不生。除自心現不覺妄想故相生。是故因緣	不 生 除 自 心 現 不 覺 妄 想 故 相 生 是 故 因 緣 
T39n1789_002:0368c02	作事方便相。當離漸次俱見　漸次相續方	作 事 方 便 相 當 離 漸 次 俱 見 漸 次 相 續 方 
T39n1789_002:0368c03	便求其生相既不可得。故曰不然。但妄謂生	便 求 其 生 相 既 不 可 得 故 曰 不 然 但 妄 謂 生 
T39n1789_002:0368c04	耳。言因攀緣等者。謂四緣也。心緣塵境曰攀	耳 言 因 攀 緣 等 者 謂 四 緣 也 心 緣 塵 境 曰 攀 
T39n1789_002:0368c05	緣。亦名因緣也。心數法次第而生。曰次第緣	緣 亦 名 因 緣 也 心 數 法 次第而生 曰 次 第 緣 
T39n1789_002:0368c06	也。諸法生時。隨心所現不生障礙。曰增上緣	也 諸 法 生 時 隨 心 所 現 不 生 障 礙 曰 增 上 緣 
T39n1789_002:0368c07	也。心託緣生。如心識之生眼識。曰緣緣也。言	也 心 託 緣 生 如 心 識 之 生 眼 識 曰 緣 緣 也 言 
T39n1789_002:0368c08	等者。等於緣緣也。言生所生者。謂妄想從此	等 者 等 於 緣 緣 也 言 生 所 生 者 謂 妄 想 從 此 
T39n1789_002:0368c09	四緣而生。於中求之亦不可得。故云漸次生	四 緣 而 生 於 中 求 之 亦 不 可 得 故 云 漸 次 生 
T39n1789_002:0368c10	不生。蓋此四緣亦是妄計。故漸與頓皆不生	不 生 蓋 此 四 緣 亦 是 妄 計 故 漸 與 頓 皆 不 生 
T39n1789_002:0368c11	也。但自心現受用故。然於外性自相共相。推	也 但 自 心 現 受 用 故 然 於 外 性 自相共相 推 
T39n1789_002:0368c12	求亦無自性故也。惟除愚夫自生妄想。故戒	求 亦 無 自 性 故 也 惟 除 愚 夫 自 生 妄 想 故 戒 
T39n1789_002:0368c13	云。當離漸次俱見。	云 當 離 漸 次 俱 見 
T39n1789_002:0368c14	爾時世尊欲重宣此義而說偈言。	爾 時 世 尊 欲 重 宣 此 義 而 說 偈 言 
T39n1789_002:0368c15	　一切都無生　　亦非因緣滅	 一 切 都 無 生 亦 非 因 緣 滅 
T39n1789_002:0368c16	　於彼生滅中　　而起因緣想	 於 彼 生 滅 中 而 起 因 緣 想 
T39n1789_002:0368c17	　非遮滅復生　　相續因緣起	 非 遮 滅 復 生 相 續 因 緣 起 
T39n1789_002:0368c18	　唯為斷凡愚　　癡惑妄想緣	 唯 為 斷 凡 愚 癡 惑 妄 想 緣 
T39n1789_002:0368c19	　有無緣起法　　是悉無有生	 有 無 緣 起 法 是 悉 無 有 生 
T39n1789_002:0368c20	　習氣所迷轉　　從是三有現	 習 氣 所 迷 轉 從 是 三 有 現 
T39n1789_002:0368c21	一切都無生者。言一切法漸次與頓俱不生	一 切 都 無 生 者 言 一 切 法 漸 次 與 頓 俱 不 生 
T39n1789_002:0368c22	也。既云不生豈有滅乎。但以本迷而起生滅	也 既 云 不 生 豈 有 滅 乎 但 以 本 迷 而 起 生 滅 
T39n1789_002:0368c23	之想耳。非遮滅復生者。佛之所以說無生滅	之 想 耳 非 遮 滅 復 生 者 佛 之 所 以 說 無 生 滅 
T39n1789_002:0368c24	者。非謂實無生滅緣起。為斷凡愚妄計。作如	者 非 謂 實 無 生 滅 緣 起 為 斷 凡 愚 妄 計 作 如 
T39n1789_002:0368c25	是說。若究其本性。何生何滅。但無始習惑迷	是 說 若 究 其 本 性 何 生 何 滅 但 無 始 習 惑 迷 
