X26n0562_001:0905b03	心經解	心 經 解 
X26n0562_001:0907c20	菩提薩婆訶者。慈航無滯礙也。佛說此呪。天龍八	菩 提 薩 婆 訶 者 慈 航 無 滯 礙 也 佛 說 此 呪 天 龍 八 
X26n0562_001:0907c21	部等眾護持。此係密諦。夫非護善遮惡之意。呪者	部 等 眾 護 持 此 係 密 諦 夫 非 護 善 遮 惡 之 意 呪 者 
X26n0562_001:0907c22	願也。願諸眾生。皆如我之得成正覺也。○亦云。鬼	願 也 願 諸 眾 生 皆 如 我 之 得 成 正 覺 也 亦 云 鬼 
X26n0562_001:0907c23	神王之名號。此經亦具三分。觀自在菩薩至度一	神 王 之 名 號 此 經 亦 具 三 分 觀 自 在 菩 薩 至 度 一 
X26n0562_001:0907c24	切苦厄。屬序分。葢因菩薩而序起法門也。告舍利	切 苦 厄 屬 序 分 葢 因 菩 薩 而 序 起 法 門 也 告 舍 利 
X26n0562_001:0908a01	子。至般若是大神呪。屬正宗分。正以性空會心。與	子 至 般 若 是 大 神 呪 屬 正 宗 分 正 以 性 空 會 心 與 
X26n0562_001:0908a02	聲聞說也。後說呪文。意屬流通。葢此流通。非同他	聲 聞 說 也 後 說 呪 文 意 屬 流 通 葢 此 流 通 非 同 他 
X26n0562_001:0908a03	經。以無相般若。非可文言贊說弘持。直於無言無	經 以 無 相 般 若 非 可 文 言 贊 說 弘 持 直 於 無 言 無 
X26n0562_001:0908a04	說。無思無解。以默契於言先。領略於物表。是為真	說 無 思 無 解 以 默 契 於 言 先 領 略 於 物 表 是 為 真 
X26n0562_001:0908a05	弘通般若。真流傳正宗。故以密呪宣在經末。	弘 通 般 若 真 流 傳 正 宗 故 以 密 呪 宣 在 經 末 
X26n0562_001:0908a06	般若六百餘卷。獨此名心經者。以其不說枝葉。而	般 若 六 百 餘 卷 獨 此 名 心 經 者 以 其 不 說 枝 葉 而 
X26n0562_001:0908a07	單說根本也。奘師為性相二宗法主。其於相宗。集	單 說 根 本 也 奘 師 為 性 相 二 宗 法 主 其 於 相 宗 集 
X26n0562_001:0908a08	成百卷。獨譯此卷。掃盡諸相。單說真空。此是文殊	成 百 卷 獨 譯 此 卷 掃 盡 諸 相 單 說 真 空 此 是 文 殊 
X26n0562_001:0908a09	智門。却首舉觀自在者何。正以諸佛說法。單為眾	智 門 却 首 舉 觀 自 在 者 何 正 以 諸 佛 說 法 單 為 眾 
X26n0562_001:0908a10	生度苦。若不發大悲心。縱具根本智。自救不了。觀	生 度 苦 若 不 發 大 悲 心 縱 具 根 本 智 自 救 不 了 觀 
X26n0562_001:0908a11	音。是度苦厄大悲菩薩。故首舉之。以為真空妙智	音 是 度 苦 厄 大 悲 菩 薩 故 首 舉 之 以 為 真 空 妙 智 
X26n0562_001:0908a12	的榜樣。	的 榜 樣 
X26n0562_001:0908a13	此經凡六譯。一東晉姚秦鳩摩羅什譯。名摩訶般	此 經 凡 六 譯 一 東 晉 姚 秦 鳩 摩 羅 什 譯 名 摩 訶 般 
X26n0562_001:0908a14	若波羅蜜大明呪經。二唐玄奘譯。名般若波羅蜜	若 波 羅 蜜 大 明 呪 經 二 唐 玄 奘 譯 名 般 若 波 羅 蜜 
X26n0562_001:0908a15	多心經。三唐般若利言譯。名與奘師譯同。四宋法	多 心 經 三 唐 般 若 利 言 譯 名 與 奘 師 譯 同 四 宋 法 
X26n0562_001:0908a16	月譯。名普遍智藏般若波羅蜜多經。五宋施護譯。	月 譯 名 普 遍 智 藏 般 若 波羅蜜多 經 五 宋 施 護 譯 
X26n0562_001:0908a17	名佛說聖佛母般若波羅蜜多經。六元達里麻剌	名 佛 說 聖 佛 母 般 若 波羅蜜多 經 六 元 達 里 麻 剌 
X26n0562_001:0908a18	怛柰譯。名出有壞聖母智慧到彼岸心經。	怛 柰 譯 名 出 有 壞 聖 母 智 慧到彼岸 心 經 
X26n0562_001:0908a19	古傳奘師。至罽賓國。道險。宿空室中。忽有僧口授	古 傳 奘 師 至 罽 賓 國 道 險 宿 空 室 中 忽 有 僧 口 授 
X26n0562_001:0908a20	心經。遂得降伏虎豹。避遠魑魅。達西域。	心 經 遂 得 降 伏 虎 豹 避 遠 魑 魅 達 西 域 
X26n0562_001:0908a21	賢首。以此經為釋迦牟尼佛說。尋珠云。此觀自在	賢 首 以 此 經 為 釋 迦 牟 尼 佛 說 尋 珠 云 此 觀 自 在 
X26n0562_001:0908a22	菩薩所說也。施護本云。世尊在靈鷲山中。入甚深	菩 薩 所 說 也 施 護 本 云 世 尊 在 靈 鷲 山 中 入 甚 深 
X26n0562_001:0908a23	光明。宣說三摩提竟。舍利子。白觀自在菩薩言。若	光 明 宣 說 三 摩 提 竟 舍 利 子 白 觀 自 在 菩 薩 言 若 
X26n0562_001:0908a24	有人欲修學甚深般若法門者。當云何修學。而觀	有 人 欲 修 學 甚 深 般 若 法 門 者 當 云 何 修 學 而 觀 
X26n0562_001:0908b01	自在菩薩說此經。此經乃世尊所說大品般若之	自 在 菩 薩 說 此 經 此 經 乃 世 尊 所 說 大 品 般 若 之 
X26n0562_001:0908b02	精要。故知菩薩之說。即世尊之語也。觀自在。即觀	精 要 故 知 菩 薩 之 說 即 世 尊 之 語 也 觀 自 在 即 觀 
X26n0562_001:0908b03	世音。	世 音 
X26n0562_001:0908b04	一釋名。二辨體。三明宗。四論用。五判教相。今題以	一 釋 名 二 辨 體 三 明 宗 四 論 用 五 判 教 相 今 題 以 
X26n0562_001:0908b05	法喻為名。實相為體。觀照為宗。度苦為用。大乘為	法 喻 為 名 實 相 為 體 觀 照 為 宗 度 苦 為 用 大 乘 為 
X26n0562_001:0908b06	教相。	教 相 
X26n0562_001:0908b08	附楞嚴經七處徵心	附 楞 嚴 經 七 處 徵 心 
X26n0562_001:0908b09	先示三觀。為開佛知見之根本。	先 示 三 觀 為 開 佛 知 見 之 根 本 
X26n0562_001:0908b10	次破妄心不在內。而靈知之心。在六根門頭。明明	次 破 妄 心 不 在 內 而 靈 知 之 心 在 六 根 門 頭 明 明 
X26n0562_001:0908b11	不昧。了了常知。二掃除執心在外。	不 昧 了 了 常 知 二 掃 除 執 心 在 外 
X26n0562_001:0908b12	三破心不隨根。心見山河。亦應見眼。若使心能見	三 破 心 不 隨 根 心 見 山 河 亦 應 見 眼 若 使 心 能 見 
X26n0562_001:0908b13	眼。眼反為心所緣之境。不是能生之根。	眼 眼 反 為 心 所 緣 之 境 不 是 能 生 之 根 
X26n0562_001:0908b14	四破見暗不成見內。合眼見暗之時。名為反觀身	四 破 見 暗 不 成 見 內 合 眼 見 暗 之 時 名 為 反 觀 身 
X26n0562_001:0908b15	中。是則開眼見明之時。應反觀己面。若不見面。內	中 是 則 開 眼 見 明 之 時 應 反 觀 己 面 若 不 見 面 內 
X26n0562_001:0908b16	對不成。	對 不 成 
X26n0562_001:0908b17	五破心不隨合。謂法有定相。心無定體。既無定體。	五 破 心 不 隨 合 謂 法 有 定 相 心 無 定 體 既 無 定 體 
X26n0562_001:0908b18	則無合處。	則 無 合 處 
X26n0562_001:0908b19	六因執中間。先為審定中間在身在境。而後兩破	六 因 執 中 間 先 為 審 定 中 間 在 身 在 境 而 後 兩 破 
X26n0562_001:0908b20	其中。俱無定在。	其 中 俱 無 定 在 
X26n0562_001:0908b21	七破無著。世尊在般若會中。談無著真宗。不在內	七 破 無 著 世 尊 在 般 若 會 中 談 無 著 真 宗 不 在 內 
X26n0562_001:0908b22	外中間。正言心無處所。無處住心。不應復有所著。	外 中 間 正 言 心 無 處 所 無 處 住 心 不 應 復 有 所 著 
X26n0562_001:0908b23	法身無在。而無不在。始阿難計心在內在外潛根	法 身 無 在 而 無 不 在 始 阿 難 計 心 在 內 在 外 潛 根 
X26n0562_001:0908b24	雙計隨合中間。是以心為有在。故世尊以無在破	雙 計 隨 合 中 間 是 以 心 為 有 在 故 世 尊 以 無 在 破 
X26n0562_001:0908c01	之。及至第七。又計心為無在。世尊復以相有則在	之 及 至 第 七 又 計 心 為 無 在 世 尊 復 以 相 有 則 在 
X26n0562_001:0908c02	破之。總顯無在無不在之旨。	破 之 總 顯 無 在 無 不 在 之 旨 
X26n0562_001:0908c03	如來十大弟子	如 來 十 大 弟 子 
X26n0562_001:0908c04	迦葉頭陀。阿難多聞。舍利弗智慧。目連神通。羅睺	迦 葉 頭 陀 阿 難 多 聞 舍 利 弗 智 慧 目 連 神 通 羅 睺 
X26n0562_001:0908c05	羅密行。阿那律天眼。富樓那說法。迦旃延論義。優	羅 密 行 阿 那 律 天 眼 富 樓 那 說 法 迦 旃 延 論 義 優 
X26n0562_001:0908c06	波離持律。須菩提解空。皆稱第一。	波 離 持 律 須 菩 提 解 空 皆 稱 第 一 
X26n0562_001:0908c07	大千世界	大千世界 
X26n0562_001:0908c08	相傳以須彌山為中。分東西南北四大洲。南閻浮	相 傳 以 須 彌 山 為 中 分 東 西 南 北 四 大 洲 南 閻 浮 
X26n0562_001:0908c09	提。東弗于逮。西瞿耶尼。北鬱單越。一州分八所。又	提 東 弗 于 逮 西 瞿 耶 尼 北 鬱 單 越 一 州 分 八 所 又 
X26n0562_001:0908c10	有一中所。為三十三天。即謂忉利天成一小世界。	有 一 中 所 為 三十三天 即 謂 忉 利 天 成 一 小 世 界 
X26n0562_001:0908c11	如此一千小世界。曰小千。如此一千小千世界。曰	如 此 一 千 小 世 界 曰 小 千 如 此 一 千 小千世界 曰 
X26n0562_001:0908c12	中千。又如此一千中千世界。曰大千。三次言千。故	中 千 又 如 此 一 千 中千世界 曰 大 千 三 次 言 千 故 
X26n0562_001:0908c13	謂三千大千。至日月在此山半腰中。繞山而行。照	謂 三千大千 至 日 月 在 此 山 半 腰 中 繞 山 而 行 照 
X26n0562_001:0908c14	處為晝。背處為夜。	處 為 晝 背 處 為 夜 
X26n0562_001:0908c15	無餘涅槃	無餘涅槃 
X26n0562_001:0908c16	涅槃已登彼岸。超出輪迴。是修行極地。無餘有三。	涅 槃 已 登 彼 岸 超 出 輪 迴 是 修 行 極 地 無 餘 有 三 
X26n0562_001:0908c17	一煩惱餘。一業餘。一果報餘。非大乘最上乘未易	一 煩 惱 餘 一 業 餘 一 果 報 餘 非 大 乘 最 上 乘 未 易 
X26n0562_001:0908c18	臻此。	臻 此 
X26n0562_001:0908c19	三乘	三 乘 
X26n0562_001:0908c20	一聲聞乘。羅漢得道。全賴佛語指示。二緣覺乘。辟	一 聲 聞 乘 羅 漢 得 道 全 賴 佛 語 指 示 二 緣 覺 乘 辟 
X26n0562_001:0908c21	支佛得道。緣有感觸而心悟。三菩薩乘。不惟修行	支 佛 得 道 緣 有 感 觸 而 心 悟 三 菩 薩 乘 不 惟 修 行 
X26n0562_001:0908c22	六度。通修萬行。志在廣濟。是登大乘。	六 度 通 修 萬 行 志 在 廣 濟 是 登 大 乘 
X26n0562_001:0908c23	六度	六 度 
X26n0562_001:0908c24	一布施。為檀波羅蜜。二持戒。為尸羅波羅蜜。三忍	一 布 施 為 檀 波 羅 蜜 二 持 戒 為 尸 羅 波 羅 蜜 三 忍 
X26n0562_001:0909a01	辱。為羼提波羅蜜。四精進。為毘離耶波羅蜜。五禪	辱 為 羼 提 波 羅 蜜 四 精 進 為 毘 離 耶 波 羅 蜜 五 禪 
X26n0562_001:0909a02	定。為禪波羅蜜。六智慧。為般若波羅蜜。六者全則	定 為 禪 波 羅 蜜 六 智 慧 為 般 若 波 羅 蜜 六 者 全 則 
X26n0562_001:0909a03	登彼岸。故云六度。	登 彼 岸 故 云 六 度 
X26n0562_001:0909a04	十地	十 地 
X26n0562_001:0909a05	一歡喜地。達佛境界。一離垢地。同異性滅。一發光	一 歡 喜 地 達 佛 境 界 一 離 垢 地 同 異 性 滅 一 發 光 
X26n0562_001:0909a06	地。淨極明生。一現慧地。明極光滿。一現前地。同異	地 淨 極 明 生 一 現 慧 地 明 極 光 滿 一 現 前 地 同 異 
X26n0562_001:0909a07	不生。一難勝地。性淨明露。一遠行地。盡真如際。一	不 生 一 難 勝 地 性 淨 明 露 一 遠 行 地 盡 真 如 際 一 
X26n0562_001:0909a08	不動地。合真如心。一善慧地。發真如用。一慈雲地。	不 動 地 合 真 如 心 一 善 慧 地 發 真 如 用 一 慈 雲 地 
X26n0562_001:0909a09	覆涅槃海。	覆 涅 槃 海 
X26n0562_001:0909a14	般若心經句義一卷	般 若 心 經 句 義 一 卷 
X26n0562_001:0909a15	清　淨挺著	清 淨 挺 著 
