T85n2771_001:0364b27	維摩經疏	維 摩 經 疏 
T85n2771_001:0366c25	曰。若約小乘。得苦法忍時漸斷病因。至無學	曰 若 約 小 乘 得 苦 法 忍 時 漸 斷 病 因 至 無 學 
T85n2771_001:0366c26	位究竟方盡。病因既盡。果亦不生。若約大乘。	位 究 竟 方 盡 病 因 既 盡 果 亦 不 生 若 約 大 乘 
T85n2771_001:0366c27	十解初心斷發業惑。欲入初地斷潤生惑。此	十 解 初 心 斷 發 業 惑 欲 入 初 地 斷 潤 生 惑 此 
T85n2771_001:0366c28	時病因永滅不起。因既永滅。果更不生。據此	時 病 因 永 滅 不 起 因 既 永 滅 果 更 不 生 據 此 
T85n2771_001:0366c29	眾生一分病滅。菩薩大悲不復隨逐為之現	眾 生 一 分 病 滅 菩薩大悲 不 復 隨 逐 為 之 現 
T85n2771_001:0367a01	病。故言則我病滅。且據分段為論。變易准	病 故 言 則 我 病 滅 且 據 分 段 為 論 變 易 准 
T85n2771_001:0367a02	知。上來正答訖。自下釋譬合譬。文相易解並	知 上 來 正 答 訖 自 下 釋 譬 合 譬 文 相 易 解 並 
T85n2771_001:0367a03	悉先明病生後明病滅。先明病生。答上其生	悉 先 明 病 生 後 明 病 滅 先 明 病 生 答 上 其 生 
T85n2771_001:0367a04	久如。後明病滅。答上當云何滅也。又言是病	久 如 後 明 病 滅 答 上 當 云 何 滅 也 又 言 是 病 
T85n2771_001:0367a05	何所因起者却答第一問。去問辭稍遠。是故	何 所 因 起 者 却 答 第 一 問 去 問 辭 稍 遠 是 故 
T85n2771_001:0367a06	維摩重牒將來。牒上文殊言居士是病何所	維 摩 重 牒 將 來 牒 上 文 殊 言 居 士 是 病 何 所 
T85n2771_001:0367a07	因起問其病因。下出答。其菩薩病者以大悲	因 起 問 其 病 因 下 出 答 其 菩 薩 病 者 以 大 悲 
T85n2771_001:0367a08	起。此明答。大悲為因是以現病。上來三問顯	起 此 明 答 大 悲 為 因 是 以 現 病 上 來 三 問 顯 
T85n2771_001:0367a09	維摩大悲方便。	維 摩 大 悲 方 便 
T85n2771_001:0367a10	自下兩問顯出維摩大悲所依。悲依空成故	自 下 兩 問 顯 出 維 摩 大 悲 所 依 悲 依 空 成 故 
T85n2771_001:0367a11	問室空。悲隨有生故問無侍。亦可。上來三	問 室 空 悲 隨 有 生 故 問 無 侍 亦 可 上 來 三 
T85n2771_001:0367a12	問單明方便。自下兩問雙明實惠方便。問其	問 單 明 方 便 自 下 兩 問 雙 明 實 惠 方 便 問 其 
T85n2771_001:0367a13	室空即顯實惠。無侍即顯方便。文中先明文	室 空 即 顯 實 惠 無 侍 即 顯 方 便 文 中 先 明 文 
T85n2771_001:0367a14	殊問。第二維摩答。文殊師利言居士此室何	殊 問 第 二 維 摩 答 文 殊 師 利 言 居 士 此 室 何 
T85n2771_001:0367a15	以空無侍者問也。何以空一問問其室空。何	以 空 無 侍 者 問 也 何 以 空 一 問 問 其 室 空 何 
T85n2771_001:0367a16	以無侍兩問問其無侍。自下維摩答□□先	以 無 侍 兩 問 問 其 無 侍 自 下 維 摩 答 先 
T85n2771_001:0367a17	答室空後答無侍。維摩詰云諸佛國土亦復	答 室 空 後 答 無 侍 維 摩 詰 云 諸 佛 國 土 亦 復 
T85n2771_001:0367a18	皆空者。此正答也。一切十方諸佛國土悉皆	皆 空 者 此 正 答 也 一 切 十方諸佛 國 土 悉 皆 
T85n2771_001:0367a19	是空。我今此室國土之例。是故亦空。自下文	是 空 我 今 此 室 國 土 之 例 是 故 亦 空 自 下 文 
T85n2771_001:0367a20	殊進問維摩重答。又問何以為空者。文殊進	殊 進 問 維 摩 重 答 又 問 何 以 為 空 者 文 殊 進 
T85n2771_001:0367a21	問也。空有兩種。一者理空。二者事空。理空	問 也 空 有 兩 種 一 者 理 空 二 者 事 空 理 空 
T85n2771_001:0367a22	者。法界真如理體自空。事空者。除去所有事	者 法 界 真 如 理 體 自 空 事 空 者 除 去 所 有 事 
T85n2771_001:0367a23	中作空。問言居士室空為是理空為是事空。	中 作 空 問 言 居 士 室 空 為 是 理 空 為 是 事 空 
T85n2771_001:0367a24	故言以何為空。自下維摩答。以空空。我今室	故 言 以 何 為 空 自 下 維 摩 答 以 空 空 我 今 室 
T85n2771_001:0367a25	空是其理空。理體非一遍一切處故言空空。	空 是 其 理 空 理 體 非 一 遍 一 切 處 故 言 空 空 
T85n2771_001:0367a26	又復理空空却事空。故言空空。又復理空之	又 復 理 空 空 却 事 空 故 言 空 空 又 復 理 空 之 
T85n2771_001:0367a27	中有其二種。一者生空。二者法空。有二空故	中 有 其 二 種 一 者 生 空 二 者 法 空 有 二 空 故 
T85n2771_001:0367a28	故言空空。又復理中空之體自不可得。空亦	故 言 空 空 又 復 理 中 空 之 體 自 不 可 得 空 亦 
T85n2771_001:0367a29	空故故言空空。	空 故 故 言 空 空 
T85n2771_001:0367b01	自下文殊設兩關難。第一文殊執理徵事難。	自 下 文 殊 設 兩 關 難 第 一 文 殊 執 理 徵 事 難 
T85n2771_001:0367b02	維摩舉事顯理答第二文殊執理窮詮難。維	維 摩 舉 事 顯 理 答 第 二 文 殊 執 理 窮 詮 難 維 
T85n2771_001:0367b03	摩拂詮顯理答先明第一執理徵事難。又問	摩 拂 詮 顯 理 答 先 明 第 一 執 理 徵 事 難 又 問 
T85n2771_001:0367b04	空何用空又問空執理。何用空徵事。若使理	空 何 用 空 又 問 空 執 理 何 用 空 徵 事 若 使 理 
T85n2771_001:0367b05	體不是空。可許却物作事空。此室理體自是	體 不 是 空 可 許 却 物 作 事 空 此 室 理 體 自 是 
T85n2771_001:0367b06	空。何須除去室中物。自下明舉事顯理答。答	空 何 須 除 去 室 中 物 自 下 明 舉 事 顯 理 答 答 
T85n2771_001:0367b07	曰以無分別空故空。以無分別空者。眾生不	曰 以 無 分 別 空 故 空 以 無 分 別 空 者 眾 生 不 
T85n2771_001:0367b08	解理空故。言無分別空故空者。故作事空用	解 理 空 故 言 無 分 別 空 故 空 者 故 作 事 空 用 
T85n2771_001:0367b09	顯理空。令彼眾生尋事悟理。又復理空冥莫	顯 理 空 令 彼 眾 生 尋 事 悟 理 又 復 理 空 冥 莫 
T85n2771_001:0367b10	難知。非詮不顯故將事空為筌用顯理空。是	難 知 非 詮 不 顯 故 將 事 空 為 筌 用 顯 理 空 是 
T85n2771_001:0367b11	故除去室中物作事空也。自下第二執理窮	故 除 去 室 中 物 作 事 空 也 自 下 第 二 執 理 窮 
T85n2771_001:0367b12	筌難。維摩拂筌顯理答。先明執理窮筌。又	筌 難 維 摩 拂 筌 顯 理 答 先 明 執 理 窮 筌 又 
T85n2771_001:0367b13	問。空可分別耶。又問空執理可分別耶。窮	問 空 可 分 別 耶 又 問 空 執 理 可 分 別 耶 窮 
T85n2771_001:0367b14	筌。又問。理空可得以事空分別理空耶。若使	筌 又 問 理 空 可 得 以 事 空 分 別 理 空 耶 若 使 
T85n2771_001:0367b15	理空之外有事空。可許將事分別理空。理空	理 空 之 外 有 事 空 可 許 將 事 分 別 理 空 理 空 
T85n2771_001:0367b16	之外本無事。云何以事顯理空。自下拂筌顯	之 外 本 無 事 云 何 以 事 顯 理 空 自 下 拂 筌 顯 
T85n2771_001:0367b17	理。答曰分別亦空。能分別之事空亦是理空。	理 答 曰 分 別 亦 空 能 分 別 之 事 空 亦 是 理 空 
T85n2771_001:0367b18	眾生未解理空時。作彼事空分別理空若也。	眾 生 未 解 理 空 時 作 彼 事 空 分 別 理 空 若 也 
T85n2771_001:0367b19	解彼理空竟即知分別亦理空。上來難訖。	解 彼 理 空 竟 即 知 分 別 亦 理 空 上 來 難 訖 
T85n2771_001:0367b20	自下尋其空處。又問空當於何求者。問此理	自 下 尋 其 空 處 又 問 空 當 於 何 求 者 問 此 理 
T85n2771_001:0367b21	何處求證。答曰當於六十二見中求者。六十	何 處 求 證 答 曰 當 於 六 十 二 見 中 求 者 六 十 
T85n2771_001:0367b22	二見迷真。故起尋彼能迷得彼所迷。故於見	二 見 迷 真 故 起 尋 彼 能 迷 得 彼 所 迷 故 於 見 
T85n2771_001:0367b23	中求其空也。又復六十二見體即是空。以不	中 求 其 空 也 又 復 六 十 二 見 體 即 是 空 以 不 
T85n2771_001:0367b24	離真妄辯真故也。餘又例此可解。又仁所問	離 真 妄 辯 真 故 也 餘 又 例 此 可 解 又 仁 所 問 
T85n2771_001:0367b25	何無侍者答上第二問無侍者。去問遠故重	何 無 侍 者 答 上 第 二 問 無 侍 者 去 問 遠 故 重 
T85n2771_001:0367b26	牒將來。下明答辭。一切眾魔及諸外道皆吾	牒 將 來 下 明 答 辭 一 切 眾 魔 及 諸 外 道 皆 吾 
T85n2771_001:0367b27	侍也。此明直答。自下徵問解釋。所以者何	侍 也 此 明 直 答 自 下 徵 問 解 釋 所以者何 
T85n2771_001:0367b28	徵問也。菩薩侍者應是大童天子。所以乃說	徵 問 也 菩 薩 侍 者 應 是 大 童 天 子 所 以 乃 說 
T85n2771_001:0367b29	眾魔外道為侍者何。下明解釋。眾魔者樂生	眾 魔 外 道 為 侍 者 何 下 明 解 釋 眾 魔 者 樂 生 
T85n2771_001:0367c01	死菩薩於生死而不捨外道者樂諸見菩薩於	死 菩 薩 於 生 死 而 不 捨 外 道 者 樂 諸 見 菩 薩 於 
T85n2771_001:0367c02	諸見而不動者。解有兩義。第一義者。夫論侍	諸 見 而 不 動 者 解 有 兩 義 第 一 義 者 夫 論 侍 
T85n2771_001:0367c03	者之法。侍養師僧令師身體康利為義。菩薩	者 之 法 侍 養 師 僧 令 師 身 體 康 利 為 義 菩 薩 
T85n2771_001:0367c04	法身所以康盛。由此天魔及諸外道。良以菩	法 身 所 以 康 盛 由 此 天 魔 及 諸 外 道 良 以 菩 
T85n2771_001:0367c05	薩起大悲慈化此眾魔及以外道令其斷惡行	薩 起 大 悲 慈 化 此 眾 魔 及 以 外 道 令 其 斷 惡 行 
T85n2771_001:0367c06	善。菩薩大悲行成大悲成故法身休泰。故說	善 菩薩大悲 行 成 大 悲 成 故 法 身 休 泰 故 說 
T85n2771_001:0367c07	眾魔及諸外道皆吾侍也。第二義者。夫論侍	眾 魔 及 諸 外 道 皆 吾 侍 也 第 二 義 者 夫 論 侍 
T85n2771_001:0367c08	者。隨逐師僧不離為義。今此眾魔及以外道	者 隨 逐 師 僧 不 離 為 義 今 此 眾 魔 及 以 外 道 
T85n2771_001:0367c09	常為菩薩大慈悲心緣之攝化不相捨離。是	常 為 菩 薩 大慈悲心 緣 之 攝 化 不相捨離 是 
T85n2771_001:0367c10	故說之以為侍者。問曰。菩薩大悲緣念一切	故 說 之 以 為 侍 者 問 曰 菩薩大悲 緣 念 一 切 
T85n2771_001:0367c11	六道眾生。何故唯說天魔外道。答曰。解有兩	六 道 眾 生 何 故 唯 說 天 魔 外 道 答 曰 解 有 兩 
T85n2771_001:0367c12	義。第一義者。如涅槃經說。譬如長者生育七	義 第 一 義 者 如 涅 槃 經 說 譬 如 長 者 生 育 七 
T85n2771_001:0367c13	子。七子之中一子得病。長者於子非不平等。	子 七 子 之 中 一 子 得 病 長 者 於 子 非 不 平 等 
T85n2771_001:0367c14	然於病者心則偏憐。菩薩如是慈念眾生平	然 於 病 者 心 則 偏 憐 菩 薩 如 是 慈 念 眾 生 平 
T85n2771_001:0367c15	等如子。造過多者大悲偏緣。造過最多莫過	等 如 子 造 過 多 者 大 悲 偏 緣 造 過 最 多 莫 過 
T85n2771_001:0367c16	此二。是故說以為侍者。第二義者。今言魔及	此 二 是 故 說 以 為 侍 者 第 二 義 者 今 言 魔 及 
T85n2771_001:0367c17	外道者。唯取彼別行天魔別行外道通取一	外 道 者 唯 取 彼 別 行 天 魔 別 行 外 道 通 取 一 
T85n2771_001:0367c18	切眾生為論。一切凡夫約惑收之莫過二種。	切 眾 生 為 論 一 切 凡 夫 約 惑 收 之 莫 過 二 種 
T85n2771_001:0367c19	一者愛。二者見。愛惑多者攝為天魔。見惑	一 者 愛 二 者 見 愛 惑 多 者 攝 為 天 魔 見 惑 
T85n2771_001:0367c20	多者攝為外道。是故說此天魔及以外道攝	多 者 攝 為 外 道 是 故 說 此 天 魔 及 以 外 道 攝 
T85n2771_001:0367c21	彼眾生無不皆盡。故此文言眾魔者樂生死。	彼 眾 生 無 不 皆 盡 故 此 文 言 眾 魔 者 樂 生 死 
T85n2771_001:0367c22	外道者樂諸見蓋。應據此為義也。不捨者。不	外 道 者 樂 諸 見 蓋 應 據 此 為 義 也 不 捨 者 不 
T85n2771_001:0367c23	捨生死常隨教化。不動者。悲心堅固故言不	捨 生 死 常 隨 教 化 不 動 者 悲 心 堅 固 故 言 不 
T85n2771_001:0367c24	動。上來兩問答顯彼維摩大悲所依。亦即雙	動 上 來 兩 問 答 顯 彼 維 摩 大 悲 所 依 亦 即 雙 
T85n2771_001:0367c25	明實惠方便。	明 實 惠 方 便 
T85n2771_001:0367c26	自下三問顯彼維摩病應非真。亦可。得言單	自 下 三 問 顯 彼 維 摩 病 應 非 真 亦 可 得 言 單 
T85n2771_001:0367c27	明實惠。文中先問病相。次問所在。後問病	明 實 惠 文 中 先 問 病 相 次 問 所 在 後 問 病 
T85n2771_001:0367c28	體。文殊師利言居士所疾為何等相者問也。	體 文 殊 師 利 言 居 士 所 疾 為 何 等 相 者 問 也 
T85n2771_001:0367c29	居士所病軀狀如何。故言何相。自下維摩答	居 士 所 病 軀 狀 如 何 故 言 何 相 自 下 維 摩 答 
T85n2771_001:0368a01	言我病無形不見。釋有二意。一者若彰病	言 我 病 無 形 不 見 釋 有 二 意 一 者 若 彰 病 
T85n2771_001:0368a02	應有。言我本無病為眾生故假現有病。假病	應 有 言 我 本 無 病 為 眾 生 故 假 現 有 病 假 病 
T85n2771_001:0368a03	之病有何形相。二者若彰病實無。言我病本	之 病 有 何 形 相 二 者 若 彰 病 實 無 言 我 病 本 
T85n2771_001:0368a04	空何相可見也。自下文殊問病所在。又問此	空 何 相 可 見 也 自 下 文 殊 問 病 所 在 又 問 此 
T85n2771_001:0368a05	病身合耶心合耶者。為身痛耶為心痛乎。問	病 身 合 耶 心 合 耶 者 為 身 痛 耶 為 心 痛 乎 問 
T85n2771_001:0368a06	曰。維摩已言我病無形不可見。何須更問身	曰 維 摩 已 言 我 病 無 形 不 可 見 何 須 更 問 身 
T85n2771_001:0368a07	合心合。答曰。利根雖解能鈍根未悟。又復	合 心 合 答 曰 利 根 雖 解 能 鈍 根 未 悟 又 復 
T85n2771_001:0368a08	雖說無形何妨與身心合。故須更問。下亦例	雖 說 無 形 何 妨 與 身 心 合 故 須 更 問 下 亦 例 
T85n2771_001:0368a09	知。維摩答曰非身合身相離故亦非心合心	知 維 摩 答 曰 非 身 合 身 相 離 故 亦 非 心 合 心 
T85n2771_001:0368a10	如幻故。離者空也。身相本空何有病合。此以	如 幻 故 離 者 空 也 身 相 本 空 何 有 病 合 此 以 
T85n2771_001:0368a11	無相性答也。心本不有。似幻而生。何有病合。	無 相 性 答 也 心 本 不 有 似 幻 而 生 何 有 病 合 
T85n2771_001:0368a12	此以依他性答也。前言相離後言如幻者互	此 以 依 他 性 答 也 前 言 相 離 後 言 如 幻 者 互 
T85n2771_001:0368a13	為文也。亦可。身是分別性。是故一向言離。心	為 文 也 亦 可 身 是 分 別 性 是 故 一 向 言 離 心 
T85n2771_001:0368a14	是他依性。是以說如幻。故攝論云。幻等顯	是 他 依 性 是 以 說 如 幻 故 攝 論 云 幻 等 顯 
T85n2771_001:0368a15	依他說無顯分別。此即彰病實無也。復次亦	依 他 說 無 顯 分 別 此 即 彰 病 實 無 也 復 次 亦 
T85n2771_001:0368a16	明病應有。非身合身相離故者。身相理空病	明 病 應 有 非 身 合 身 相 離 故 者 身 相 理 空 病 
T85n2771_001:0368a17	體應有故非身合。亦非心合心如幻者。心同	體 應 有 故 非 身 合 亦 非 心 合 心 如 幻 者 心 同 
T85n2771_001:0368a18	幻無。病隨應有故非心合。此彰病有。自下	幻 無 病 隨 應 有 故 非 心 合 此 彰 病 有 自 下 
T85n2771_001:0368a19	問其病體。又問地大水大火大風大於此四	問 其 病 體 又 問 地 大 水 大 火 大 風 大 於 此 四 
T85n2771_001:0368a20	大何大之病者。自下維摩答言非地大亦不	大 何 大 之 病 者 自 下 維 摩 答 言 非 地 大 亦 不 
T85n2771_001:0368a21	離地大水火風大亦復如是。約理無性解者。	離 地 大 水 火 風 大 亦復如是 約 理 無 性 解 者 
T85n2771_001:0368a22	非地大明即大無病。亦不離地大者明離大	非 地 大 明 即 大 無 病 亦 不 離 地 大 者 明 離 大 
T85n2771_001:0368a23	亦無病。約應有解者。非地大明病實無。亦	亦 無 病 約 應 有 解 者 非 地 大 明 病 實 無 亦 
T85n2771_001:0368a24	不離地大彰病應有。水火風大亦復如是。而	不 離 地 大 彰 病 應 有 水 火 風 大 亦復如是 而 
T85n2771_001:0368a25	眾生病從四大起以其有病是故我病。解亦	眾 生 病 從 四 大 起 以 其 有 病 是 故 我 病 解 亦 
T85n2771_001:0368a26	有二。約理無解者。眾生之病從四大起以眾	有 二 約 理 無 解 者 眾 生 之 病 從 四 大 起 以 眾 
T85n2771_001:0368a27	生病故我現病。我應病故即大亦無離大亦	生 病 故 我 現 病 我 應 病 故 即 大 亦 無 離 大 亦 
T85n2771_001:0368a28	無。約應有解者。眾生之病從四大起我為眾	無 約 應 有 解 者 眾 生 之 病 從 四 大 起 我 為 眾 
T85n2771_001:0368a29	生所以現病是故我病。亦不離大也。上來八	生 所 以 現 病 是 故 我 病 亦 不 離 大 也 上 來 八 
T85n2771_001:0368b01	問問彼維摩身上事訖。	問 問 彼 維 摩 身 上 事 訖 
T85n2771_001:0368b02	自下兩問問彼維摩所化眾生。前問慰喻。後	自 下 兩 問 問 彼 維 摩 所 化 眾 生 前 問 慰 喻 後 
T85n2771_001:0368b03	問調伏。問曰。此之兩問有何差別。答。前問慰	問 調 伏 問 曰 此 之 兩 問 有何差別 答 前 問 慰 
T85n2771_001:0368b04	喻問彼十信已還成就有漏聞勳習已去箇中	喻 問 彼 十 信 已 還 成 就 有 漏 聞 勳 習 已 去 箇 中 
T85n2771_001:0368b05	有疾實病菩薩。維摩大悲既為現病。云何安	有 疾 實 病 菩 薩 維 摩 大 悲 既 為 現 病 云 何 安 
T85n2771_001:0368b06	慰其心令其修道除病。後問調伏者。問彼十	慰 其 心 令 其 修 道 除 病 後 問 調 伏 者 問 彼 十 
T85n2771_001:0368b07	解初心已去迴向終心已還實病菩薩。并問	解 初 心 已 去 迴 向 終 心 已 還 實 病 菩 薩 并 問 
T85n2771_001:0368b08	初地已上金剛已還箇中菩薩。云何調伏其	初 地 已 上 金 剛 已 還 箇 中 菩 薩 云 何 調 伏 其 
T85n2771_001:0368b09	生斷惡修善行菩薩行。道理言之。維摩現病	生 斷 惡 修 善 行 菩 薩 行 道 理 言 之 維 摩 現 病 
T85n2771_001:0368b10	但為教化地前已還有疾菩薩。初地已上不	但 為 教 化 地 前 已 還 有 疾 菩 薩 初 地 已 上 不 
T85n2771_001:0368b11	須現病。今約調伏為言。是故通說。前之慰喻	須 現 病 今 約 調 伏 為 言 是 故 通 說 前 之 慰 喻 
T85n2771_001:0368b12	即是波若經中善付囑菩薩。後之調伏即是	即 是 波 若 經 中 善 付 囑 菩 薩 後 之 調 伏 即 是 
T85n2771_001:0368b13	波若經中善護念菩薩也。問。差別義應如此。	波 若 經 中 善 護 念 菩 薩 也 問 差 別 義 應 如 此 
T85n2771_001:0368b14	文中先明慰喻。就慰喻中初問次答後結。爾	文 中 先 明 慰 喻 就 慰 喻 中 初 問 次 答 後 結 爾 
T85n2771_001:0368b15	時文殊師利問維摩詰言。菩薩云何慰喻有	時 文 殊 師 利 問 維 摩 詰 言 菩 薩 云 何 慰 喻 有 
T85n2771_001:0368b16	病菩薩者問也。菩薩維摩詰等諸大菩薩。云	病 菩 薩 者 問 也 菩 薩 維 摩 詰 等 諸 大 菩 薩 云 
T85n2771_001:0368b17	何慰喻有疾菩薩。此有菩薩者即是十住中	何 慰 喻 有 疾 菩 薩 此 有 菩 薩 者 即 是 十 住 中 
T85n2771_001:0368b18	實病菩薩。明維摩大悲既為現病。云何說法	實 病 菩 薩 明 維 摩 大 悲 既 為 現 病 云 何 說 法 
T85n2771_001:0368b19	安慰其心合其修行證理除病。問曰。維摩現	安 慰 其 心 合 其 修 行 證 理 除 病 問 曰 維 摩 現 
T85n2771_001:0368b20	病通為教化凡夫小乘。云何此中唯問菩薩。	病 通 為 教 化 凡 夫 小 乘 云 何 此 中 唯 問 菩 薩 
T85n2771_001:0368b21	答曰。現云意通為凡夫。然今維摩意欲令人	答 曰 現 云 意 通 為 凡 夫 然 今 維 摩 意 欲 令 人 
T85n2771_001:0368b22	宗趣大乘故。是以今時就勝處說。上來文殊	宗 趣 大 乘 故 是 以 今 時 就 勝 處 說 上 來 文 殊 
T85n2771_001:0368b23	問訖。自下維摩答。答中說菩薩行安慰其心。	問 訖 自 下 維 摩 答 答 中 說 菩 薩 行 安 慰 其 心 
T85n2771_001:0368b24	菩薩行者廣即無邊。要唯有二。一者自利。二	菩 薩 行 者 廣 即 無 邊 要 唯 有 二 一 者 自 利 二 
T85n2771_001:0368b25	者利他。論其自利即自療病。語其利他即療	者 利 他 論 其 自 利 即 自 療 病 語 其 利 他 即 療 
T85n2771_001:0368b26	他病。為說此法合成有漏聞勳習斷。塞四惡	他 病 為 說 此 法 合 成 有 漏 聞 勳 習 斷 塞 四 惡 
T85n2771_001:0368b27	道生引善道生。趣入無漏究竟除病。論意如	道 生 引 善 道 生 趣 入 無 漏 究 竟 除 病 論 意 如 
T85n2771_001:0368b28	此。文中三對明自利利他。初有六問。約就觀	此 文 中 三 對 明 自利利他 初 有 六 問 約 就 觀 
T85n2771_001:0368b29	解以明自利利他。次有兩句。約就善心以明	解 以 明 自利利他 次 有 兩 句 約 就 善 心 以 明 
T85n2771_001:0368c01	自利利他。後有三句。約就行修以明自利利	自利利他 後 有 三 句 約 就 行 修 以 明 自 利 利 
T85n2771_001:0368c02	他。就前第一觀解之中。初有五句。明其自	他 就 前 第 一 觀 解 之 中 初 有 五 句 明 其 自 
T85n2771_001:0368c03	利。末後一句顯其利他。前五句中初四句教	利 末 後 一 句 顯 其 利 他 前 五 句 中 初 四 句 教 
T85n2771_001:0368c04	觀煩惱明異聲聞。第五句教其觀業明異凡	觀 煩 惱 明 異 聲 聞 第 五 句 教 其 觀 業 明 異 凡 
T85n2771_001:0368c05	夫。前四句中初之三句教生空觀。後之一句	夫 前 四 句 中 初 之 三 句 教 生 空 觀 後 之 一 句 
T85n2771_001:0368c06	教法空觀。前生空觀中教其破有為四倒并	教 法 空 觀 前 生 空 觀 中 教 其 破 有 為 四 倒 并 
T85n2771_001:0368c07	亦遮防無為四倒。文中但舉三觀。不淨事觀	亦 遮 防 無 為 四 倒 文 中 但 舉 三 觀 不 淨 事 觀 
T85n2771_001:0368c08	故略不說也。維摩詰言說身無常不說厭離	故 略 不 說 也 維 摩 詰 言 說 身 無 常 不 說 厭 離 
T85n2771_001:0368c09	於身者。無常觀也。說身無常者破其常倒。不	於 身 者 無 常 觀 也 說 身 無 常 者 破 其 常 倒 不 
T85n2771_001:0368c10	說厭離於身者教異聲聞聲聞之人雖知無常	說 厭 離 於 身 者 教 異 聲 聞 聲 聞 之 人 雖 知 無 常 
T85n2771_001:0368c11	而厭而離身。今教菩薩知身無常不須厭離。	而 厭 而 離 身 今 教 菩 薩 知 身 無 常 不 須 厭 離 
T85n2771_001:0368c12	即是遮其無為倒也。餘句例然。說身有苦不	即 是 遮 其 無 為 倒 也 餘 句 例 然 說 身 有 苦 不 
T85n2771_001:0368c13	說樂於涅槃者。明苦觀也。說身有苦者。破其	說 樂 於 涅 槃 者 明 苦 觀 也 說 身 有 苦 者 破 其 
T85n2771_001:0368c14	樂倒也。不說樂於涅槃者。異聲聞也。聲聞之	樂 倒 也 不 說 樂 於 涅 槃 者 異 聲 聞 也 聲 聞 之 
T85n2771_001:0368c15	人見身有苦遂求涅槃不能外化故教異之。	人 見 身 有 苦 遂 求 涅 槃 不 能 外 化 故 教 異 之 
T85n2771_001:0368c16	說身無我而說教導眾生者。無我觀也。說身	說 身 無 我 而 說 教 導 眾 生 者 無 我 觀 也 說 身 
T85n2771_001:0368c17	無我者。破其我倒。而說教道眾生。異聲聞。聲	無 我 者 破 其 我 倒 而 說 教 道 眾 生 異 聲 聞 聲 
T85n2771_001:0368c18	聞之人知無我故捨化眾生故教異之。上來	聞 之 人 知 無 我 故 捨 化 眾 生 故 教 異 之 上 來 
T85n2771_001:0368c19	三句教生空觀訖。說身空寂不說畢竟寂滅	三 句 教 生 空 觀 訖 說 身 空 寂 不 說 畢 竟 寂 滅 
T85n2771_001:0368c20	者。此之一句教法空觀。說身空寂正明理無	者 此 之 一 句 教 法 空 觀 說 身 空 寂 正 明 理 無 
T85n2771_001:0368c21	陰體非有故身空寂。不說畢竟寂滅者還異	陰 體 非 有 故 身 空 寂 不 說 畢 竟 寂 滅 者 還 異 
T85n2771_001:0368c22	聲聞。聲聞之人身入涅槃謂為永滅。今教菩	聲 聞 聲 聞 之 人 身 入 涅 槃 謂 為 永 滅 今 教 菩 
T85n2771_001:0368c23	薩雖得涅槃不永滅度常隨三有教化眾生。	薩 雖 得 涅 槃 不 永 滅 度 常 隨 三 有 教 化 眾 生 
T85n2771_001:0368c24	上來四句觀煩惱訖。自下一句教其觀業。明	上 來 四 句 觀 煩 惱 訖 自 下 一 句 教 其 觀 業 明 
T85n2771_001:0368c25	異凡夫。說悔先罪而不說入於過去罪者摧	異 凡 夫 說 悔 先 罪 而 不 說 入 於 過 去 罪 者 摧 
T85n2771_001:0368c26	也。摧滅善法故名為罪。已作之愆稱曰先罪。	也 摧 滅 善 法 故 名 為 罪 已 作 之 愆 稱 曰 先 罪 
T85n2771_001:0368c27	追改不為故言說誨。而說入於過去者明異	追 改 不 為 故 言 說 誨 而 說 入 於 過 去 者 明 異 
T85n2771_001:0368c28	凡夫。凡夫之人雖亦懺悔見有罪體落謝過	凡 夫 凡 夫 之 人 雖 亦 懺 悔 見 有 罪 體 落 謝 過 
T85n2771_001:0368c29	去。今教異彼。故言不說入於過去。上來自	去 今 教 異 彼 故 言 不 說 入 於 過 去 上 來 自 
T85n2771_001:0369a01	利。自下一句明其利他。以已之疾愍於彼疾	利 自 下 一 句 明 其 利 他 以 已 之 疾 愍 於 彼 疾 
T85n2771_001:0369a02	者。明利他也。總名第一約就觀解明慰喻訖。	者 明 利 他 也 總 名 第 一 約 就 觀 解 明 慰 喻 訖 
T85n2771_001:0369a03	自下第二約就善心以明慰喻。文有兩句。初	自 下 第 二 約 就 善 心 以 明 慰 喻 文 有 兩 句 初 
T85n2771_001:0369a04	明自利。後明利他。當識宿世無數劫苦明自	明 自 利 後 明 利 他 當 識 宿 世 無 數 劫 苦 明 自 
T85n2771_001:0369a05	利也。當念饒益一切眾生明利他。自下第三	利 也 當 念 饒益一切 眾 生 明 利 他 自 下 第 三 
T85n2771_001:0369a06	約就行修以明慰喻。文中三句。前二自利。後	約 就 行 修 以 明 慰 喻 文 中 三 句 前 二 自 利 後 
T85n2771_001:0369a07	一利他。前二自利者。憶所修福念於淨命即	一 利 他 前 二 自 利 者 憶 所 修 福 念 於 淨 命 即 
T85n2771_001:0369a08	是以作之善。教其念將迴向勿生憂惱。常起	是 以 作 之 善 教 其 念 將 迴 向 勿 生 憂 惱 常 起 
T85n2771_001:0369a09	精進者即是未作之善。教其忍苦更修。自下	精 進 者 即 是 未 作 之 善 教 其 忍 苦 更 修 自 下 
T85n2771_001:0369a10	一句教其利他。當作醫王療治眾病者。明利	一 句 教 其 利 他 當 作 醫 王 療 治 眾 病 者 明 利 
