T45n1852_001:0001a03	三論玄義	三 論 玄 義 
T45n1852_001:0003a18	法耶。答智度論云。旃延弟子答龍樹云。我	法 耶 答 智 度 論 云 旃 延 弟 子 答 龍 樹 云 我 
T45n1852_001:0003a19	聞大乘心不都信。故外國執小乘者與學	聞 大 乘 心 不 都 信 故 外 國 執 小 乘 者 與 學 
T45n1852_001:0003a20	大乘人分河飲水。第七有偏執。大集經云。	大 乘 人 分 河 飲 水 第 七 有 偏 執 大 集 經 云 
T45n1852_001:0003a21	雖有五部。並不妨如來法界及大涅槃。而	雖 有 五 部 並 不 妨 如來法界 及 大 涅 槃 而 
T45n1852_001:0003a22	阿毘曇人保執自宗排斥他說。便違法界	阿 毘 曇 人 保 執 自 宗 排 斥 他 說 便 違 法 界 
T45n1852_001:0003a23	拒大涅槃。累障既深。宜須傷歎。第八非學	拒 大 涅 槃 累 障 既 深 宜 須 傷 歎 第 八 非 學 
T45n1852_001:0003a24	本。大品經云。欲知四緣。當學般若。外人	本 大 品 經 云 欲 知 四 緣 當 學 般 若 外 人 
T45n1852_001:0003a25	問龍樹云。欲學四緣。應學毘曇。云何乃	問 龍 樹 云 欲 學 四 緣 應 學 毘 曇 云 何 乃 
T45n1852_001:0003a26	學般若。論主答曰。初學毘曇似如可解。	學 般 若 論 主 答 曰 初 學 毘 曇 似 如 可 解 
T45n1852_001:0003a27	轉久推求則成邪見。問曰學毘曇云何乃	轉 久 推 求 則 成 邪 見 問 曰 學 毘 曇 云 何 乃 
T45n1852_001:0003a28	成邪見。答若言四緣生諸法者。誰復生於	成 邪 見 答 若 言 四 緣 生 諸 法 者 誰 復 生 於 
T45n1852_001:0003a29	四緣。若四緣更從他生。則他復從他。如是	四 緣 若 四 緣 更 從 他 生 則 他 復 從 他 如 是 
T45n1852_001:0003b01	無窮。若其四緣自然而有不從他生者。萬	無 窮 若 其 四 緣 自 然 而 有 不 從 他 生 者 萬 
T45n1852_001:0003b02	物亦應不由四緣。當墮無因。故從則無窮。	物 亦 應 不 由 四 緣 當 墮 無 因 故 從 則 無 窮 
T45n1852_001:0003b03	窮則無因。由此二門則不信因果。故久學	窮 則 無 因 由 此 二 門 則 不 信 因 果 故 久 學 
T45n1852_001:0003b04	毘曇成於邪見。第九弊真言。大集經云。甚	毘 曇 成 於 邪 見 第 九 弊 真 言 大 集 經 云 甚 
T45n1852_001:0003b05	深之義不可說。第一義諦無聲字。陳如比	深 之 義 不 可 說 第一義諦 無 聲 字 陳 如 比 
T45n1852_001:0003b06	丘於諸法獲得真實之知見。本起經云。頞	丘 於 諸 法 獲 得 真 實 之 知 見 本 起 經 云 頞 
T45n1852_001:0003b07	鞞沙門即五人之一。為身子說偈云。一切	鞞 沙 門 即 五 人 之 一 為 身 子 說 偈 云 一 切 
T45n1852_001:0003b08	諸法本。因緣空無主。息心達本源。故號為	諸 法 本 因 緣 空 無 主 息 心 達 本 源 故 號 為 
T45n1852_001:0003b09	沙門。身子聞之即得初果。尋大小二經。皆	沙 門 身 子 聞 之 即 得 初 果 尋 大 小 二 經 皆 
T45n1852_001:0003b10	明見空成聖。而阿毘曇謂觀有得道。故	明 見 空 成 聖 而 阿 毘 曇 謂 觀 有 得 道 故 
T45n1852_001:0003b11	隱覆真言。第十喪圓旨。涅槃經云。欲令眾	隱 覆 真 言 第 十 喪 圓 旨 涅 槃 經 云 欲 令 眾 
T45n1852_001:0003b12	生深識真諦。是故如來宣說於俗。若使眾	生 深 識 真 諦 是 故 如 來 宣 說 於 俗 若 使 眾 
T45n1852_001:0003b13	生不因俗諦而識真者。諸佛如來終不說	生 不 因 俗 諦 而 識 真 者 諸佛如來 終 不 說 
T45n1852_001:0003b14	俗。毘曇之流雖知俗有。不悟真空。既惑	俗 毘 曇 之 流 雖 知 俗 有 不 悟 真 空 既 惑 
T45n1852_001:0003b15	真空。亦迷俗有。是故真俗二俱並喪。	真 空 亦 迷 俗 有 是 故 真 俗 二 俱 並 喪 
T45n1852_001:0003b16	排成實第三。一立義。二破斥。有訶梨跋摩	排 成 實 第 三 一 立 義 二 破 斥 有 訶 梨 跋 摩 
T45n1852_001:0003b17	高足弟子。序其宗曰。成實論者。佛滅度後	高 足 弟 子 序 其 宗 曰 成 實 論 者 佛 滅 度 後 
T45n1852_001:0003b18	九百年內有訶梨跋摩。此云師子鎧之所	九 百 年 內 有 訶 梨 跋 摩 此 云 師 子 鎧 之 所 
T45n1852_001:0003b19	造也。其人本是薩婆多部鳩摩羅陀弟子。慨	造 也 其 人 本 是 薩 婆 多 部 鳩 摩 羅 陀 弟 子 慨 
T45n1852_001:0003b20	其所釋近在名相。遂徙轍僧祇大小兼學。	其 所 釋 近 在 名 相 遂 徙 轍 僧 祇 大 小 兼 學 
T45n1852_001:0003b21	鑽仰九經。澄汰五部。再卷邪霧。重舒慧	鑽 仰 九 經 澄 汰 五 部 再 卷 邪 霧 重 舒 慧 
T45n1852_001:0003b22	日。於是道振罽賓。聲流赤縣。成是能成之	日 於 是 道 振 罽 賓 聲 流 赤 縣 成 是 能 成 之 
T45n1852_001:0003b23	文。實謂所成之理。二百二品十六卷文。四諦	文 實 謂 所 成 之 理 二 百 二 品 十 六 卷 文 四 諦 
T45n1852_001:0003b24	建章。五聚明義。說既精巧。歸眾若林。問跋	建 章 五 聚 明 義 說 既 精 巧 歸 眾 若 林 問 跋 
T45n1852_001:0003b25	摩既排斥八犍。陶汰五部。成實之宗正依	摩 既 排 斥 八 犍 陶 汰 五 部 成 實 之 宗 正 依 
T45n1852_001:0003b26	何義。答有人言。擇善而從。有能必錄。棄	何 義 答 有 人 言 擇 善 而 從 有 能 必 錄 棄 
T45n1852_001:0003b27	眾師之短。取諸部之長。有人言。雖復斥排	眾 師 之 短 取 諸 部 之 長 有 人 言 雖 復 斥 排 
T45n1852_001:0003b28	群異。正用曇無德部。有人言。偏斥毘曇。專	群 異 正 用 曇 無 德 部 有 人 言 偏 斥 毘 曇 專 
T45n1852_001:0003b29	同譬喻。真諦三藏云。用經部義也。檢俱	同 譬 喻 真 諦 三 藏 云 用 經 部 義 也 檢 俱 
T45n1852_001:0003c01	舍論。經部之義多同成實。破斥第二。問成	舍 論 經 部 之 義 多 同 成 實 破 斥 第 二 問 成 
T45n1852_001:0003c02	實為是小乘之論。為是大乘。為含大小。答	實 為 是 小 乘 之 論 為 是 大 乘 為 含 大 小 答 
T45n1852_001:0003c03	有人言。是大乘也。有人言。是小乘。有人言。	有 人 言 是 大 乘 也 有 人 言 是 小 乘 有 人 言 
T45n1852_001:0003c04	探大乘意以釋小乘。具含大小。夫珉玉精	探 大 乘 意 以 釋 小 乘 具 含 大 小 夫 珉 玉 精 
T45n1852_001:0003c05	麁。蓋是耳目所覩。尚有昏明殊鏡。況妙道	麁 蓋 是 耳 目 所 覩 尚 有 昏 明 殊 鏡 況 妙 道 
T45n1852_001:0003c06	真偽言亡慮絕。豈易識哉。今以十義證。則	真 偽 言 亡 慮 絕 豈 易 識 哉 今 以 十 義 證 則 
T45n1852_001:0003c07	明是小乘非大乘矣。一舊序證。二依論徵。	明 是 小 乘 非 大 乘 矣 一 舊 序 證 二 依 論 徵 
T45n1852_001:0003c08	三無大文。四有條例。五迷本宗。六分大小。	三 無 大 文 四 有 條 例 五 迷 本 宗 六 分 大 小 
T45n1852_001:0003c09	七格優降。八無相即。九傷解行。十檢世人。	七 格 優 降 八 無 相 即 九 傷 解 行 十 檢 世 人 
T45n1852_001:0003c10	舊序證第一。昔羅什法師翻成實論竟。命	舊 序 證 第 一 昔 羅 什 法 師 翻 成 實 論 竟 命 
T45n1852_001:0003c11	僧叡講之。什師沒後。叡公錄其遺言。製論	僧 叡 講 之 什 師 沒 後 叡 公 錄 其 遺 言 製 論 
T45n1852_001:0003c12	序云。成實論者。佛滅度後八百九十年。罽賓	序 云 成 實 論 者 佛 滅 度 後 八 百 九 十 年 罽 賓 
T45n1852_001:0003c13	小乘學者之匠鳩摩羅陀上足弟子訶梨跋摩	小 乘 學 者 之 匠 鳩 摩 羅 陀 上 足 弟 子 訶 梨 跋 摩 
T45n1852_001:0003c14	之所造也。其論云。色香味觸實也。地水火風	之 所 造 也 其 論 云 色香味觸 實 也 地水火風 
T45n1852_001:0003c15	假也。精巧有餘。明實不足。推而究之。小乘	假 也 精 巧 有 餘 明 實 不 足 推 而 究 之 小 乘 
T45n1852_001:0003c16	內之實耳。比於大乘。雖復龍燭之於螢耀。	內 之 實 耳 比 於 大 乘 雖 復 龍 燭 之 於 螢 耀 
T45n1852_001:0003c17	未足喻其懸矣。或有人言。此論明於滅諦。	未 足 喻 其 懸 矣 或 有 人 言 此 論 明 於 滅 諦 
T45n1852_001:0003c18	與大乘均致。羅什聞而歎曰。秦人之無深	與 大 乘 均 致 羅 什 聞 而 歎 曰 秦 人 之 無 深 
T45n1852_001:0003c19	識。何乃至此乎。吾每疑其普信大乘者。當	識 何 乃 至 此 乎 吾 每 疑 其 普 信 大 乘 者 當 
T45n1852_001:0003c20	知悟不由中。而迷可識矣。成實是羅什所	知 悟 不 由 中 而 迷 可 識 矣 成 實 是 羅 什 所 
T45n1852_001:0003c21	翻。僧叡為講論之始。後學不應孤負前匠。	翻 僧 叡 為 講 論 之 始 後 學 不 應 孤 負 前 匠 
T45n1852_001:0003c22	依論徵第二。成實文云。諸比丘異論種種。佛	依 論 徵 第 二 成 實 文 云 諸 比 丘 異 論 種 種 佛 
T45n1852_001:0003c23	皆聽故。我欲正論三藏內實義。訶梨自云	皆 聽 故 我 欲 正 論 三 藏 內 實 義 訶 梨 自 云 
T45n1852_001:0003c24	正論三藏。故知成實理是小乘。若言斯論亦	正 論 三 藏 故 知 成 實 理 是 小 乘 若 言 斯 論 亦 
T45n1852_001:0003c25	明大者。過在門人。非跋摩之咎。問何以知	明 大 者 過 在 門 人 非 跋 摩 之 咎 問 何 以 知 
T45n1852_001:0003c26	三藏是小乘耶。答法華云。亦不親近小乘	三 藏 是 小 乘 耶 答 法 華 云 亦 不 親 近 小 乘 
T45n1852_001:0003c27	三藏學者。恐大照未圓小法容染故。智形	三藏學者 恐 大 照 未 圓 小 法 容 染 故 智 形 
T45n1852_001:0003c28	宜隔。行止勿共。誡於大士。勿親近小人。	宜 隔 行 止 勿 共 誡 於 大 士 勿 親 近 小 人 
T45n1852_001:0003c29	則知三藏非大乘矣。智度論云。迦葉阿難	則 知 三 藏 非 大 乘 矣 智 度 論 云 迦 葉 阿 難 
T45n1852_001:0004a01	結集三藏。文殊彌勒集大乘藏。外人問云。	結 集 三 藏 文 殊 彌 勒 集 大 乘 藏 外 人 問 云 
T45n1852_001:0004a02	何故不於三藏內集大乘耶。論主答云。小	何 故 不 於 三 藏 內 集 大 乘 耶 論 主 答 云 小 
T45n1852_001:0004a03	乘不受大。不應小內而集大。以此推之。	乘 不 受 大 不 應 小 內 而 集 大 以 此 推 之 
T45n1852_001:0004a04	但是小乘耳。無大文第三。原夫作論皆引佛	但 是 小 乘 耳 無 大 文 第 三 原 夫 作 論 皆 引 佛 
T45n1852_001:0004a05	言。如龍樹釋大。而還引大經。訶梨解小經。	言 如 龍 樹 釋 大 而 還 引 大 經 訶 梨 解 小 經 
T45n1852_001:0004a06	唯將小證。二百二品並探四阿含。十六卷文	唯 將 小 證 二 百 二 品 並 探 四 阿 含 十 六 卷 文 
T45n1852_001:0004a07	竟無方等。以此詳之。即可知矣。有條例	竟 無 方 等 以 此 詳 之 即 可 知 矣 有 條 例 
T45n1852_001:0004a08	第四。問若成實釋小不許兼明於大。亦應	第 四 問 若 成 實 釋 小 不 許 兼 明 於 大 亦 應 
T45n1852_001:0004a09	三論解大不應兼明於小。答義有條例。不	三 論 解 大 不 應 兼 明 於 小 答 義 有 條 例 不 
T45n1852_001:0004a10	應相濫。佛經有二。一者小乘。二者方等。若	應 相 濫 佛 經 有 二 一 者 小 乘 二 者 方 等 若 
T45n1852_001:0004a11	明大乘必兼辨小。若辨小乘不兼明大。	明 大 乘 必 兼 辨 小 若 辨 小 乘 不 兼 明 大 
T45n1852_001:0004a12	故大乘經初有小乘眾。小乘經首無菩薩僧。	故 大 乘 經 初 有 小 乘 眾 小 乘 經 首 無 菩 薩 僧 
T45n1852_001:0004a13	示大能包小。小不含大。佛經既爾。在論例	示 大 能 包 小 小 不 含 大 佛 經 既 爾 在 論 例 
T45n1852_001:0004a14	然。大乘之論兼明小乘。小乘之論不兼明	然 大 乘 之 論 兼 明 小 乘 小 乘 之 論 不 兼 明 
T45n1852_001:0004a15	大。若弟子之論探大釋小。如來之經義亦	大 若 弟 子 之 論 探 大 釋 小 如 來 之 經 義 亦 
T45n1852_001:0004a16	應然。則巨細互兼。何名大小。迷本宗第五。	應 然 則 巨 細 互 兼 何 名 大 小 迷 本 宗 第 五 
T45n1852_001:0004a17	問成實論文盛辨生法二空。與大品明四諦	問 成 實 論 文 盛 辨 生 法 二 空 與 大 品 明 四 諦 
T45n1852_001:0004a18	平等。義既無異。故知應是探大釋小。答四	平 等 義 既 無 異 故 知 應 是 探 大 釋 小 答 四 
T45n1852_001:0004a19	阿含教內有二空。論明二空。則還釋三藏。	阿 含 教 內 有 二 空 論 明 二 空 則 還 釋 三 藏 
T45n1852_001:0004a20	云何乃言探大解小。又身子毘曇亦辨二	云 何 乃 言 探 大 解 小 又 身 子 毘 曇 亦 辨 二 
T45n1852_001:0004a21	空。而是小非大。訶梨之論義亦應同。問身	空 而 是 小 非 大 訶 梨 之 論 義 亦 應 同 問 身 
T45n1852_001:0004a22	子毘曇亦探大釋小。與成實。例同。彼既探	子 毘 曇 亦 探 大 釋 小 與 成 實 例 同 彼 既 探 
T45n1852_001:0004a23	大。則此非專小。答身子所造還釋佛毘曇。	大 則 此 非 專 小 答 身 子 所 造 還 釋 佛 毘 曇 
T45n1852_001:0004a24	佛說既是小乘。彼論寧言探大。分大小第	佛 說 既 是 小 乘 彼 論 寧 言 探 大 分 大 小 第 
T45n1852_001:0004a25	六。問小明一空。大辨二空。可有差別。既同	六 問 小 明 一 空 大 辨 二 空 可 有 差 別 既 同 
T45n1852_001:0004a26	其二空。大小何異。答雖同辨二空。二空不	其 二 空 大 小 何 異 答 雖 同 辨 二 空 二 空 不 
T45n1852_001:0004a27	同。略明四種。一者小乘拆法明空。大乘本	同 略 明 四 種 一 者 小 乘 拆 法 明 空 大 乘 本 
T45n1852_001:0004a28	性空寂。二者小乘但明三界內人法二空。空	性 空 寂 二 者 小 乘 但 明 三 界 內 人 法 二 空 空 
T45n1852_001:0004a29	義即短。大乘明三界內外人法並空。空義即	義 即 短 大 乘 明 三 界 內 外 人 法 並 空 空 義 即 
T45n1852_001:0004b01	長。三者小乘但明於空未說不空。大乘明	長 三 者 小 乘 但 明 於 空 未 說 不 空 大 乘 明 
T45n1852_001:0004b02	空亦辨不空。故涅槃云。聲聞之人但見於	空 亦 辨 不 空 故 涅 槃 云 聲 聞 之 人 但 見 於 
T45n1852_001:0004b03	空不見不空。智者見空及以不空。空者一	空 不 見 不 空 智 者 見 空 及 以 不 空 空 者 一 
T45n1852_001:0004b04	切生死。不空者謂大涅槃。四者小乘名為但	切 生 死 不 空 者 謂 大 涅 槃 四 者 小 乘 名 為 但 
T45n1852_001:0004b05	空。謂但住於空。菩薩名不可得空。空亦不	空 謂 但 住 於 空 菩 薩 名 不可得空 空 亦 不 
T45n1852_001:0004b06	可得也。故知雖明二空。空義有異。故分大	可 得 也 故 知 雖 明 二 空 空 義 有 異 故 分 大 
T45n1852_001:0004b07	小。格優降第七。龍樹釋般若累教品云。善	小 格 優 降 第 七 龍 樹 釋 般 若 累 教 品 云 善 
T45n1852_001:0004b08	吉觀生法二空。欲比菩薩二空。譬如毛孔	吉 觀 生 法 二 空 欲 比 菩 薩 二 空 譬 如 毛 孔 
T45n1852_001:0004b09	之空比十方空。即小空為淺。大空為深。成	之 空 比 十 方 空 即 小 空 為 淺 大 空 為 深 成 
T45n1852_001:0004b10	實所明但是聲聞空。非大士所得耳。無相	實 所 明 但 是 聲 聞 空 非 大 士 所 得 耳 無 相 
T45n1852_001:0004b11	即第八。法華信解品云。四大聲聞自述所得	即 第 八 法 華 信 解 品 云 四 大 聲 聞 自 述 所 得 
T45n1852_001:0004b12	空云。我等長夜修習空法。無生無滅。無小	空 云 我 等 長 夜 修 習 空 法 無生無滅 無 小 
T45n1852_001:0004b13	無大。無漏無為。於佛智慧不生貪著。成實	無 大 無 漏 無 為 於 佛 智 慧 不 生 貪 著 成 實 
T45n1852_001:0004b14	所辨與此全同。故知非大也。問何以知然。	所 辨 與 此 全 同 故 知 非 大 也 問 何 以 知 然 
T45n1852_001:0004b15	答法華之文辨聲聞證空不能即空觀有	答 法 華 之 文 辨 聲 聞 證 空 不 能 即 空 觀 有 
T45n1852_001:0004b16	即有觀空。故無相即。成實所說亦無相即。	即 有 觀 空 故 無 相 即 成 實 所 說 亦 無 相 即 
T45n1852_001:0004b17	若明相即。應空有並觀。若空有並觀。與大	若 明 相 即 應 空 有 並 觀 若 空 有 並 觀 與 大 
T45n1852_001:0004b18	乘何別。問何以知小乘義無相即耶。答釋	乘 何 別 問 何 以 知 小 乘 義 無 相 即 耶 答 釋 
T45n1852_001:0004b19	論云。小乘內不明生死即畢竟空。唯大乘乃	論 云 小 乘 內 不 明 生 死 即 畢 竟 空 唯 大 乘 乃 
T45n1852_001:0004b20	說。故知爾也。傷解行第九。涅槃經云。若以	說 故 知 爾 也 傷 解 行 第 九 涅 槃 經 云 若 以 
T45n1852_001:0004b21	聲聞辟支佛心言無布施。是即名為破戒邪	聲 聞 辟 支 佛 心 言 無 布 施 是 即 名 為 破 戒 邪 
T45n1852_001:0004b22	見。小乘人入於空觀不見布施。破大乘	見 小 乘 人 入 於 空 觀 不 見 布 施 破 大 乘 
T45n1852_001:0004b23	行。故云破戒。破大乘解。故云邪見。而成實	行 故 云 破 戒 破 大 乘 解 故 云 邪 見 而 成 實 
T45n1852_001:0004b24	明不見布施是實法空。以為宗極。欲為	明 不 見 布 施 是 實 法 空 以 為 宗 極 欲 為 
T45n1852_001:0004b25	大乘。勿起小心也。檢世人第十。秦弘始七	大 乘 勿 起 小 心 也 檢 世 人 第 十 秦 弘 始 七 
T45n1852_001:0004b26	年。天竺有剎利。浮海至長安。聞羅什作大	年 天 竺 有 剎 利 浮 海 至 長 安 聞 羅 什 作 大 
T45n1852_001:0004b27	乘學。以正觀論等諮而驗之。什公為其敷	乘 學 以 正 觀 論 等 諮 而 驗 之 什 公 為 其 敷 
T45n1852_001:0004b28	折。為頂受絕歎不能已。已白什公曰。當	折 為 頂 受 絕 歎 不 能 已 已 白 什 公 曰 當 
T45n1852_001:0004b29	以此明震暉天竺。何由蘊此摩尼乃在邊	以 此 明 震 暉 天 竺 何 由 蘊 此 摩 尼 乃 在 邊 
T45n1852_001:0004c01	地。我在天竺。聞諸論師深怪罽賓小乘學	地 我 在 天 竺 聞 諸 論 師 深 怪 罽 賓 小 乘 學 
T45n1852_001:0004c02	者鳩摩羅陀自稱朗月之照。偏智小才非此	者 鳩 摩 羅 陀 自 稱 朗 月 之 照 偏 智 小 才 非 此 
T45n1852_001:0004c03	喻也。而訶梨惜其師。以才自傷。以智自病。	喻 也 而 訶 梨 惜 其 師 以 才 自 傷 以 智 自 病 
T45n1852_001:0004c04	故作此論。以辨有法之實。明其依實之假。	故 作 此 論 以 辨 有 法 之 實 明 其 依 實 之 假 
T45n1852_001:0004c05	故以成實為名。用天竺剎利之言驗之。跋	故 以 成 實 為 名 用 天 竺 剎 利 之 言 驗 之 跋 
T45n1852_001:0004c06	摩師資皆小乘學也。爰至齊司徒文宣王。誠	摩 師 資 皆 小 乘 學 也 爰 至 齊 司 徒 文 宣 王 誠 
T45n1852_001:0004c07	信三寶每感嘉瑞。以齊永明十年十月。延	信 三 寶 每 感 嘉 瑞 以 齊 永 明 十 年 十 月 延 
T45n1852_001:0004c08	請名德五百餘人。於普弘寺敷講。文宣王每	請 名 德 五 百 餘 人 於 普 弘 寺 敷 講 文 宣 王 每 
T45n1852_001:0004c09	以大乘經論。為履道之津涯正法之樞鍵。	以 大 乘 經 論 為 履 道 之 津 涯 正 法 之 樞 鍵 
T45n1852_001:0004c10	而後生棄本崇末。即請諸法師抄此成實	而 後 生 棄 本 崇 末 即 請 諸 法 師 抄 此 成 實 
T45n1852_001:0004c11	以為九卷。命周顒作序。恐專弘小論廢	以 為 九 卷 命 周 顒 作 序 恐 專 弘 小 論 廢 
T45n1852_001:0004c12	大乘業。自爾已後。爰至梁武。盛弘大乘排	大 乘 業 自 爾 已 後 爰 至 梁 武 盛 弘 大 乘 排 
T45n1852_001:0004c13	拆成實眾師。不可具記。問若以十義證成	拆 成 實 眾 師 不 可 具 記 問 若 以 十 義 證 成 
T45n1852_001:0004c14	實為小乘者。與毘曇優劣云何。答求那跋	實 為 小 乘 者 與 毘 曇 優 劣 云 何 答 求 那 跋 
T45n1852_001:0004c15	摩遺文偈云。諸論各異端。修行理無二。偏執	摩 遺 文 偈 云 諸 論 各 異 端 修 行 理 無 二 偏 執 
T45n1852_001:0004c16	有是非。達者無違諍。又釋論云。有四種門。	有 是 非 達 者 無 違 諍 又 釋 論 云 有 四 種 門 
T45n1852_001:0004c17	一者阿毘曇門。二者空門。三者昆勒門。此云	一 者 阿 毘 曇 門 二 者 空 門 三 者 昆 勒 門 此 云 
T45n1852_001:0004c18	篋藏。四者非空非有門。不得般若方便學	篋 藏 四 者 非 空 非 有 門 不 得 般 若 方 便 學 
T45n1852_001:0004c19	毘曇門。則墮有見。學於空門。則墮空見。學	毘 曇 門 則 墮 有 見 學 於 空 門 則 墮 空 見 學 
T45n1852_001:0004c20	昆勒門。則墮亦空亦有見學非空非有門。	昆 勒 門 則 墮 亦 空 亦 有 見 學 非 空 非 有 門 
T45n1852_001:0004c21	則墮愚癡論。若得般若心無染著。隨機適	則 墮 愚 癡 論 若 得 般 若 心 無 染 著 隨 機 適 
T45n1852_001:0004c22	化。通道利人。無相違背。而成實毘曇各執	化 通 道 利 人 無 相 違 背 而 成 實 毘 曇 各 執 
T45n1852_001:0004c23	空有。互相排斥。障道增見。皆失佛旨也。問	空 有 互 相 排 斥 障 道 增 見 皆 失 佛 旨 也 問 
T45n1852_001:0004c24	會空斷結方得道耳。鑒有之心何能隔凡。	會 空 斷 結 方 得 道 耳 鑒 有 之 心 何 能 隔 凡 
T45n1852_001:0004c25	故知毘曇乖宗。成實得理。答若言見空	故 知 毘 曇 乖 宗 成 實 得 理 答 若 言 見 空 
T45n1852_001:0004c26	成聖。有不隔凡。三藏教門應無得道。釋	成 聖 有 不 隔 凡 三 藏 教 門 應 無 得 道 釋 
T45n1852_001:0004c27	迦小乘一化徒然虛設。待成實後興方有大	迦 小 乘 一 化 徒 然 虛 設 待 成 實 後 興 方 有 大 
T45n1852_001:0004c28	利。豈可然乎。問毘曇但明人空。成實具明	利 豈 可 然 乎 問 毘 曇 但 明 人 空 成 實 具 明 
T45n1852_001:0004c29	二空。云何兩論無有優劣。答於小乘內分	二 空 云 何 兩 論 無 有 優 劣 答 於 小 乘 內 分 
T45n1852_001:0005a01	三品。一者俱不得二空。如犢子部云。四大	三 品 一 者 俱 不 得 二 空 如 犢 子 部 云 四 大 
T45n1852_001:0005a02	和合有於眼法。五陰和合別有人法。此下根	和 合 有 於 眼 法 五 陰 和 合 別 有 人 法 此 下 根 
T45n1852_001:0005a03	人也。二者薩衛之流。但得人空不得法空。	人 也 二 者 薩 衛 之 流 但 得 人 空 不 得 法 空 
T45n1852_001:0005a04	為次根人也。三者譬喻訶梨之流。具得二	為 次 根 人 也 三 者 譬 喻 訶 梨 之 流 具 得 二 
T45n1852_001:0005a05	空。為上根人也。約空義淺深。則毘曇為小	空 為 上 根 人 也 約 空 義 淺 深 則 毘 曇 為 小 
T45n1852_001:0005a06	乘之劣。成實為小內之勝也。問釋論云。佛	乘 之 劣 成 實 為 小 內 之 勝 也 問 釋 論 云 佛 
T45n1852_001:0005a07	滅度後分為二分。一但信人空不信法空。	滅 度 後 分 為 二 分 一 但 信 人 空 不 信 法 空 
T45n1852_001:0005a08	二俱信人法二空。但應有二。何得分三。答	二 俱 信 人 法 二 空 但 應 有 二 何 得 分 三 答 
T45n1852_001:0005a09	犢子入真觀故則見我空。出於俗諦別有	犢 子 入 真 觀 故 則 見 我 空 出 於 俗 諦 別 有 
T45n1852_001:0005a10	人體。龍樹約其入觀義邊。故但分二也。問	人 體 龍 樹 約 其 入 觀 義 邊 故 但 分 二 也 問 
T45n1852_001:0005a11	三論斥外道毘曇。斯事可爾。而龍樹前興。	三 論 斥 外 道 毘 曇 斯 事 可 爾 而 龍 樹 前 興 
T45n1852_001:0005a12	訶梨後出。時節遙隔。何由相破。答俱令執	訶 梨 後 出 時 節 遙 隔 何 由 相 破 答 俱 令 執 
T45n1852_001:0005a13	著即便被破。何論前後。若前論不破後迷。	著 即 便 被 破 何 論 前 後 若 前 論 不 破 後 迷 
T45n1852_001:0005a14	亦應古方不治今病。扁鵲之術末世無益	亦 應 古 方 不 治 今 病 扁 鵲 之 術 末 世 無 益 
T45n1852_001:0005a15	矣。問若法勝訶梨著小論以通三藏。馬鳴	矣 問 若 法 勝 訶 梨 著 小 論 以 通 三 藏 馬 鳴 
T45n1852_001:0005a16	龍樹作大教以弘方等。巨細分流。何俟相	龍 樹 作 大 教 以 弘 方 等 巨 細 分 流 何 俟 相 
T45n1852_001:0005a17	破。答佛說小乘。本為詮大。保冥之徒守指	破 答 佛 說 小 乘 本 為 詮 大 保 冥 之 徒 守 指 
T45n1852_001:0005a18	忘月。經自斥之。故論主依佛。問有人言。	忘 月 經 自 斥 之 故 論 主 依 佛 問 有 人 言 
T45n1852_001:0005a19	成實論探大釋小。此有何過。答上已明之。	成 實 論 探 大 釋 小 此 有 何 過 答 上 已 明 之 
T45n1852_001:0005a20	必有此迷。今當更述。探大釋小。則小大	必 有 此 迷 今 當 更 述 探 大 釋 小 則 小 大 
T45n1852_001:0005a21	不收。進不馳於白牛。退失駕於羊鹿。騾論	不 收 進 不 馳 於 白 牛 退 失 駕 於 羊 鹿 騾 論 
T45n1852_001:0005a22	之言驗之久矣。	之 言 驗 之 久 矣 
T45n1852_001:0005a23	呵大執第四。初立宗。次破斥。有大乘師	呵 大 執 第 四 初 立 宗 次 破 斥 有 大 乘 師 
T45n1852_001:0005a24	曰。四術三玄並為外教。毘曇成實蓋是小	曰 四 術 三 玄 並 為 外 教 毘 曇 成 實 蓋 是 小 
T45n1852_001:0005a25	乘。明理不周。在文不足。既障大乘。理宜	乘 明 理 不 周 在 文 不 足 既 障 大 乘 理 宜 
T45n1852_001:0005a26	須破。自方等紘宗眾聖軌轍。教稱滿字。理	須 破 自 方 等 紘 宗 眾 聖 軌 轍 教 稱 滿 字 理 
T45n1852_001:0005a27	曰無餘。信之則獲福無邊。毀謗招莫大之	曰 無 餘 信 之 則 獲 福 無 邊 毀 謗 招 莫 大 之 
T45n1852_001:0005a28	罪。但須伏膺甘露頂戴法橋。不應破矣。	罪 但 須 伏 膺 甘 露 頂 戴 法 橋 不 應 破 矣 
T45n1852_001:0005a29	問必是夜光。宜應頂受止恐多雜偽寶。須	問 必 是 夜 光 宜 應 頂 受 止 恐 多 雜 偽 寶 須 
T45n1852_001:0005b01	陶汰之。若謂無瑕。可陳其要。答大乘博奧。	陶 汰 之 若 謂 無 瑕 可 陳 其 要 答 大 乘 博 奧 
T45n1852_001:0005b02	不可具明。統其樞鍵。略標二意。一者辨教	不 可 具 明 統 其 樞 鍵 略 標 二 意 一 者 辨 教 
T45n1852_001:0005b03	莫出五時。二者隔凡宗歸二諦。言五時者。	莫 出 五 時 二 者 隔 凡 宗 歸 二 諦 言 五 時 者 
