X88n1641_001:0022b06	見聞錄	見 聞 錄 
X88n1641_001:0024b22	舍已生一猪。民復疑猪所直不止三分。未幾猪墮圊	舍 已 生 一 猪 民 復 疑 猪 所 直 不 止 三 分 未 幾 猪 墮 圊 
X88n1641_001:0024b23	死。竟有一人以三分銀買之。民疑乃解。	死 竟 有 一 人 以 三 分 銀 買 之 民 疑 乃 解 
X88n1641_001:0024b24	孝豐靈巖寺釋自謙。未出家時有友勞振宇。係江右	孝 豐 靈 巖 寺 釋 自 謙 未 出 家 時 有 友 勞 振 宇 係 江 右 
X88n1641_001:0024c01	人。在遞舖灘賣鱔麵。歲殺鱔數千斤。後移居德清縣。	人 在 遞 舖 灘 賣 鱔 麵 歲 殺 鱔 數 千 斤 後 移 居 德 清 縣 
X88n1641_001:0024c02	仍習前業。一日以滾湯煑鱔。若有人執其手。不能蓋	仍 習 前 業 一 日 以 滾 湯 煑 鱔 若 有 人 執 其 手 不 能 蓋 
X88n1641_001:0024c03	鍋。羣鱔帶沸湯跳起。攢頭匝面咬定不放。振宇號慟	鍋 羣 鱔 帶 沸 湯 跳 起 攢 頭 匝 面 咬 定 不 放 振 宇 號 慟 
X88n1641_001:0024c04	萬狀。須臾鱔死方脫。不十日。振宇尋死。	萬 狀 須 臾 鱔 死 方 脫 不 十 日 振 宇 尋 死 
X88n1641_001:0024c05	釋性戒。俗姓萬。有弟萬七。不事他業。專用繩索弔諸	釋 性 戒 俗 姓 萬 有 弟 萬 七 不 事 他 業 專 用 繩 索 弔 諸 
X88n1641_001:0024c06	鳥雀及狐狸兔犬之類。屢勸改業不從。凡十餘年。後	鳥 雀 及 狐 狸 兔 犬 之 類 屢 勸 改 業 不 從 凡 十 餘 年 後 
X88n1641_001:0024c07	一夜臥牀上以朽繩自纏頸。人莫知之。次早不起。方	一 夜 臥 牀 上 以 朽 繩 自 纏 頸 人 莫 知 之 次 早 不 起 方 
X88n1641_001:0024c08	啟戶視之。已自斃矣。	啟 戶 視 之 已 自 斃 矣 
X88n1641_001:0024c09	神宗時應天巡撫周孔教。以新陞侍郎過家中。有屬	神 宗 時 應 天 巡 撫 周 孔 教 以 新 陞 侍 郎 過 家 中 有 屬 
X88n1641_001:0024c10	官數人。皆修書差隷往謝舉薦。隷在其門候未得。即	官 數 人 皆 修 書 差 隷 往 謝 舉 薦 隷 在 其 門 候 未 得 即 
X88n1641_001:0024c11	通。忽見一承差持單。紅帖有侍生石星拜五字。門者	通 忽 見 一 承 差 持 單 紅 帖 有 侍 生 石 星 拜 五 字 門 者 
X88n1641_001:0024c12	急為傳進。周方晏坐。見之大驚。已而帖及承差俱不	急 為 傳 進 周 方 晏 坐 見 之 大 驚 已 而 帖 及 承 差 俱 不 
X88n1641_001:0024c13	見。周遂病劇。子孫環立。又見白布包首者三十餘人。	見 周 遂 病 劇 子 孫 環 立 又 見 白 布 包 首 者 三 十 餘 人 
X88n1641_001:0024c14	突入臥室訶之。則各以手持己頭。示人蓋斷頭鬼也。	突 入 臥 室 訶 之 則 各 以 手 持 己 頭 示 人 蓋 斷 頭 鬼 也 
X88n1641_001:0024c15	周遂卒。考其故。石向為兵部尚書時。周為御史。劾之	周 遂 卒 考 其 故 石 向 為 兵 部 尚 書 時 周 為 御 史 劾 之 
X88n1641_001:0024c16	下獄論死。而三十餘人。皆周為巡撫時以賊情誤殺	下 獄 論 死 而 三 十 餘 人 皆 周 為 巡 撫 時 以 賊 情 誤 殺 
X88n1641_001:0024c17	者也。	者 也 
X88n1641_001:0024c18	台州府松門衛有一居民。於崇禎辛未年五月盜檀	台 州 府 松 門 衛 有 一 居 民 於 崇 禎 辛 未 年 五 月 盜 檀 
X88n1641_001:0024c19	香大士像一軀。至天台縣欲售於鄉紳張大素。張許	香 大 士 像 一 軀 至 天 台 縣 欲 售 於 鄉 紳 張 大 素 張 許 
X88n1641_001:0024c20	價六金。民嫌其少。遂欲劈像作香鬻之。時一皂役先	價 六 金 民 嫌 其 少 遂 欲 劈 像 作 香 鬻 之 時 一 皂 役 先 
X88n1641_001:0024c21	一夜得夢女人稱苦求救。彼正妻死未久。疑是索薦。	一 夜 得 夢 女 人 稱 苦 求 救 彼 正 妻 死 未 久 疑 是 索 薦 
X88n1641_001:0024c22	乃往西門店中買祭物。忽聞店內劈像聲。急趨入視	乃 往 西 門 店 中 買 祭 物 忽 聞 店 內 劈 像 聲 急 趨 入 視 
X88n1641_001:0024c23	之。恍悟前夢。因扭解至捕官所。其房亦於先一夜得	之 恍 悟 前 夢 因 扭 解 至 捕 官 所 其 房 亦 於 先 一 夜 得 
X88n1641_001:0024c24	夢。遂苦鞫之。自首從松門盜來。即申之縣令。以像歸	夢 遂 苦 鞫 之 自 首 從 松 門 盜 來 即 申 之 縣 令 以 像 歸 
X88n1641_001:0025a01	張宅修理供養。其人未幾死於獄中。	張 宅 修 理 供 養 其 人 未 幾 死 於 獄 中 
X88n1641_001:0025a02	高明寺沙彌岳弘。管庫事。侵尅大眾無所不至。每於	高 明 寺 沙 彌 岳 弘 管 庫 事 侵 尅 大 眾 無 所 不 至 每 於 
X88n1641_001:0025a03	庫中私造飲食。偏眾獨享。并偷常住豆米等以供己	庫 中 私 造 飲 食 偏 眾 獨 享 并 偷 常 住 豆 米 等 以 供 己 
X88n1641_001:0025a04	用。甫及一年。於元旦夜夢關帝割其舌去。至初四即	用 甫 及 一 年 於 元 旦 夜 夢 關 帝 割 其 舌 去 至 初 四 即 
X88n1641_001:0025a05	大病濵死。乃惶怖無地。盡賣衣單求眾懺悔。告辭庫	大 病 濵 死 乃 惶 怖 無 地 盡 賣 衣 單 求 眾 懺 悔 告 辭 庫 
X88n1641_001:0025a06	司。病始漸愈。	司 病 始 漸 愈 
X88n1641_001:0025a07	高明寺又一沙彌靈灝。素不持戒。有瑞光上座率清	高 明 寺 又 一 沙 彌 靈 灝 素 不 持 戒 有 瑞 光 上 座 率 清 
X88n1641_001:0025a08	眾各出己資。結大悲懺期。灝亦預焉。正在期中。仍私	眾 各 出 己 資 結 大 悲 懺 期 灝 亦 預 焉 正 在 期 中 仍 私 
X88n1641_001:0025a09	行不軌。遂夢關帝截其首去。次日即嘔血不已。重病	行 不 軌 遂 夢 關 帝 截 其 首 去 次 日 即 嘔 血 不 已 重 病 
X88n1641_001:0025a10	數月而死。	數 月 而 死 
X88n1641_001:0025a11	佛日寺釋實相。中年出家。惟勤修苦行。炤管常住為	佛 日 寺 釋 實 相 中 年 出 家 惟 勤 修 苦 行 炤 管 常 住 為 
X88n1641_001:0025a12	事。隨作務隨念佛。所得即施不留餘貲。不與人諍亦	事 隨 作 務 隨 念 佛 所 得 即 施 不 留 餘 貲 不 與 人 諍 亦 
X88n1641_001:0025a13	無怒容。壬申秋忽一日語人曰。吾明日當西逝。乃借	無 怒 容 壬 申 秋 忽 一 日 語 人 曰 吾 明 日 當 西 逝 乃 借 
X88n1641_001:0025a14	雲棲一老人坐龕。次日洗浴剃髮髮未竟。已坐脫矣。	雲 棲 一 老 人 坐 龕 次 日 洗 浴 剃 髮 髮 未 竟 已 坐 脫 矣 
X88n1641_001:0025a15	安吉州龍溪菴釋了空。延覺海法主講法華經。因迎	安 吉 州 龍 溪 菴 釋 了 空 延 覺 海 法 主 講 法 華 經 因 迎 
X88n1641_001:0025a16	送之禮殷重。里人妬之。誘一無賴莫姓者。打法主一	送 之 禮 殷 重 里 人 妬 之 誘 一 無 賴 莫 姓 者 打 法 主 一 
X88n1641_001:0025a17	拳。眾僧忿甚熟打。莫濵絕。里人乘機欲詐菴中。鳴官	拳 眾 僧 忿 甚 熟 打 莫 濵 絕 里 人 乘 機 欲 詐 菴 中 鳴 官 
X88n1641_001:0025a18	看驗。身無小傷需食更甚。官遂不能擬罪。逮輿歸俗	看 驗 身 無 小 傷 需 食 更 甚 官 遂 不 能 擬 罪 逮 輿 歸 俗 
X88n1641_001:0025a19	舍則徧身皆損。飲食俱廢。半年後脇下尚流膿血。久	舍 則 徧 身 皆 損 飲 食 俱 廢 半 年 後 脇 下 尚 流 膿 血 久 
X88n1641_001:0025a20	久方愈。信伽藍護法之力不可思議云。癸酉春日過	久 方 愈 信 伽 藍 護 法 之 力 不可思議 云 癸 酉 春 日 過 
X88n1641_001:0025a21	菴中。釋隱空親說。	菴 中 釋 隱 空 親 說 
X88n1641_001:0025a22	世廟時吳城鄉紳陸俸。貪洞庭山西湖寺風水之勝。	世 廟 時 吳 城 鄉 紳 陸 俸 貪 洞 庭 山 西 湖 寺 風 水 之 勝 
X88n1641_001:0025a23	力謀吞噬。因本山鄒陸二氏極相抗訟。不遂厥志。乃	力 謀 吞 噬 因 本 山 鄒 陸 二 氏 極 相 抗 訟 不 遂 厥 志 乃 
X88n1641_001:0025a24	放火焚殿。殿有古沉香觀音像。焚時香氣遠徹。後俸	放 火 焚 殿 殿 有 古 沉 香 觀 音 像 焚 時 香 氣 遠 徹 後 俸 
X88n1641_001:0025b01	得奇疾。渾身癢發。滾水灌之。次第爛盡乃斃。同謀諸	得 奇 疾 渾 身 癢 發 滾 水 灌 之 次 第 爛 盡 乃 斃 同 謀 諸 
X88n1641_001:0025b02	人並感惡報。	人 並 感 惡 報 
X88n1641_001:0025b03	神廟時吳城鄉紳毛堪。侵天池寺作墓。將毀石佛殿	神 廟 時 吳 城 鄉 紳 毛 堪 侵 天 池 寺 作 墓 將 毀 石 佛 殿 
X88n1641_001:0025b04	為穴。天正晴朗。忽發厲雷。擊碎牌樓。堪懼因不毀此	為 穴 天 正 晴 朗 忽 發 厲 雷 擊 碎 牌 樓 堪 懼 因 不 毀 此 
X88n1641_001:0025b05	殿。留一二香火僧居之。然大剎已廢。其年。子女孫媳	殿 留 一 二 香 火 僧 居 之 然 大 剎 已 廢 其 年 子 女 孫 媳 
X88n1641_001:0025b06	等俱死。後竟絕嗣。	等 俱 死 後 竟 絕 嗣 
X88n1641_001:0025b07	楓橋有一豪民。素行無賴。恐被按院訪察。乃詐現善	楓 橋 有 一 豪 民 素 行 無 賴 恐 被 按 院 訪 察 乃 詐 現 善 
X88n1641_001:0025b08	相。持珠念佛。戒酒斷牌。諸惡黨亦翕然從化。稱之為	相 持 珠 念 佛 戒 酒 斷 牌 諸 惡 黨 亦 翕 然 從 化 稱 之 為 
X88n1641_001:0025b09	師。而實私行非法。仍造眾惡。但所言禍福皆悉靈驗。	師 而 實 私 行 非 法 仍 造 眾 惡 但 所 言 禍 福 皆 悉 靈 驗 
X88n1641_001:0025b10	利養日盛。如此年餘。忽自思曰。我本無真心修行。尚	利 養 日 盛 如 此 年 餘 忽 自 思 曰 我 本 無 真 心 修 行 尚 
X88n1641_001:0025b11	感此善報。信是佛法不虗。因發真心。覓一好師。受三	感 此 善 報 信 是 佛 法 不 虗 因 發 真 心 覓 一 好 師 受 三 
X88n1641_001:0025b12	歸五戒。是後所言禍福百無一驗。利養遂絕。出怨聲	歸 五 戒 是 後 所 言 禍 福 百 無 一 驗 利 養 遂 絕 出 怨 聲 
X88n1641_001:0025b13	曰。我向以詐偽修行。反多利養。今真心學道。更見坎	曰 我 向 以 詐 偽 修 行 反 多 利 養 今 真 心 學 道 更 見 坎 
X88n1641_001:0025b14	坷。佛法豈有實效哉。悶而假寐見。有人告之曰。汝莫	坷 佛 法 豈 有 實 效 哉 悶 而 假 寐 見 有 人 告 之 曰 汝 莫 
X88n1641_001:0025b15	怪我。汝向來詐偽虗誑妄談禍福。我輩得以互相佐	怪 我 汝 向 來 詐 偽 虗 誑 妄 談 禍 福 我 輩 得 以 互 相 佐 
X88n1641_001:0025b16	助。今汝返邪歸正。我輩不復能相親近。故令汝無聊	助 今 汝 返 邪 歸 正 我 輩 不 復 能 相 親 近 故 令 汝 無 聊 
X88n1641_001:0025b17	耳。	耳 
X88n1641_001:0025b18	釋慈含與六湛遊野池畔。見二水蛭。次第變作青蜓。	釋 慈 含 與 六 湛 遊 野 池 畔 見 二 水 蛭 次 第 變 作 青 蜓 
X88n1641_001:0025b19	至第三水蛭出。六湛以草阻之。連阻三次。忽變作蜈	至 第 三 水 蛭 出 六 湛 以 草 阻 之 連 阻 三 次 忽 變 作 蜈 
X88n1641_001:0025b20	蚣。	蚣 
X88n1641_001:0025b21	吳城陸湛源居士。至洞庭東山吳鳳林家。其家為營	吳 城 陸 湛 源 居 士 至 洞 庭 東 山 吳 鳳 林 家 其 家 為 營 
X88n1641_001:0025b22	素供。吳母時年九十四歲。偶至厨下因問。為何營此	素 供 吳 母 時 年 九 十 四 歲 偶 至 厨 下 因 問 為 何 營 此 
X88n1641_001:0025b23	素供。婢云請陸相公。又問陸相公年幾何。婢云年五	素 供 婢 云 請 陸 相 公 又 問 陸 相 公 年 幾 何 婢 云 年 五 
X88n1641_001:0025b24	十四。母驚歎曰。渠年五十四便已茹素。吾年九十四	十 四 母 驚 歎 曰 渠 年 五 十 四 便 已 茹 素 吾 年 九 十 四 
X88n1641_001:0025c01	乃不斷腪耶。從今日即當永斷。子媳輩力阻之。俱不	乃 不 斷 腪 耶 從 今 日 即 當 永 斷 子 媳 輩 力 阻 之 俱 不 
X88n1641_001:0025c02	聽。仍設香燭請陸居士作證。越三年於臘月間。忽謂	聽 仍 設 香 燭 請 陸 居 士 作 證 越 三 年 於 臘 月 間 忽 謂 
X88n1641_001:0025c03	子曰。為我請陸先生來。子訝。問其故。答曰。吾將遠行。	子 曰 為 我 請 陸 先 生 來 子 訝 問 其 故 答 曰 吾 將 遠 行 
X88n1641_001:0025c04	子問何往。答曰。兒何太癡。吾已九十七歲。安得無去。	子 問 何 往 答 曰 兒 何 太 癡 吾 已 九 十 七 歲 安 得 無 去 
X88n1641_001:0025c05	遂徧集子孫輩言別。擇次日去。次日大雪。則云且俟	遂 徧 集 子 孫 輩 言 別 擇 次 日 去 次 日 大 雪 則 云 且 俟 
X88n1641_001:0025c06	天好方去。次日又問天好否。婢謬答云今日雪更甚。	天 好 方 去 次 日 又 問 天 好 否 婢 謬 答 云 今 日 雪 更 甚 
X88n1641_001:0025c07	則云更俟天晴。未幾見日光炤室。乃曰。汝等詒我。速	則 云 更 俟 天 晴 未 幾 見 日 光 炤 室 乃 曰 汝 等 詒 我 速 
X88n1641_001:0025c08	取我淨衣及取香水來。遂起梳洗更衣禮佛。并遙禮	取 我 淨 衣 及 取 香 水 來 遂 起 梳 洗 更 衣 禮 佛 并 遙 禮 
X88n1641_001:0025c09	湛源居士。馮几端坐。命眷屬同時輕聲念佛以送之。	湛 源 居 士 馮 几 端 坐 命 眷 屬 同 時 輕 聲 念 佛 以 送 之 
X88n1641_001:0025c10	許久媳進茶湯。則已逝矣。	許 久 媳 進 茶 湯 則 已 逝 矣 
X88n1641_001:0025c11	姑蘇神堂巷潘奉巖親家。渾名盛老鼠。有一外甥居	姑 蘇 神 堂 巷 潘 奉 巖 親 家 渾 名 盛 老 鼠 有 一 外 甥 居 
X88n1641_001:0025c12	鄉間。盛往探之。甥欲割鷄為饌。力阻乃免。夜夢亡媳	鄉 間 盛 往 探 之 甥 欲 割 鷄 為 饌 力 阻 乃 免 夜 夢 亡 媳 
X88n1641_001:0025c13	謝曰。雞即我後身也。吾因不敬三寶。墮此異類。賴翁	謝 曰 雞 即 我 後 身 也 吾 因 不 敬 三 寶 墮 此 異 類 賴 翁 
X88n1641_001:0025c14	慈力。昨免刀砧。吾七年前曾失一簪在竹筧內。可令	慈 力 昨 免 刀 砧 吾 七 年 前 曾 失 一 簪 在 竹 筧 內 可 令 
X88n1641_001:0025c15	姑取之。盛既醒。遂索此雞歸家。果於竹筧中尋得舊	姑 取 之 盛 既 醒 遂 索 此 雞 歸 家 果 於 竹 筧 中 尋 得 舊 
X88n1641_001:0025c16	簪。夫妻皆大感發。同出家於普陀山。後其妻坐逝。夫	簪 夫 妻 皆 大 感 發 同 出 家 於 普 陀 山 後 其 妻 坐 逝 夫 
X88n1641_001:0025c17	亦善終。	亦 善 終 
X88n1641_001:0025c18	姑蘇周致和。賣藥為業。有一次媳。歿後附於妹身言	姑 蘇 周 致 和 賣 藥 為 業 有 一 次 媳 歿 後 附 於 妹 身 言 
X88n1641_001:0025c19	曰。吾不敬三寶。罰作狗身。日被厨下人打。苦不可言。	曰 吾 不 敬 三 寶 罰 作 狗 身 日 被 厨 下 人 打 苦 不 可 言 
X88n1641_001:0025c20	幸速救我。父母問曰。吾為汝禮慈悲懺法。汝得益否。	幸 速 救 我 父 母 問 曰 吾 為 汝 禮 慈 悲 懺 法 汝 得 益 否 
X88n1641_001:0025c21	答曰。正仗懺力。將脫難矣。父母乃從周家取狗以歸。	答 曰 正 仗 懺 力 將 脫 難 矣 父 母 乃 從 周 家 取 狗 以 歸 
X88n1641_001:0025c22	三日而死。	三 日 而 死 
X88n1641_001:0025c23	姑蘇金龍川有一妻弟。於南濠開麵坊。家人打驢。驢	姑 蘇 金 龍 川 有 一 妻 弟 於 南 濠 開 麵 坊 家 人 打 驢 驢 
X88n1641_001:0025c24	忽作人語。吾欠汝老主人五金。故來効力。汝何得鞭	忽 作 人 語 吾 欠 汝 老 主 人 五 金 故 來 効 力 汝 何 得 鞭 
X88n1641_001:0026a01	我。家人大驚。以語厥主。主取父舊帳簡之。果得五金	我 家 人 大 驚 以 語 厥 主 主 取 父 舊 帳 簡 之 果 得 五 金 
X88n1641_001:0026a02	借票一紙。因取向驢前碎之。語曰。吾已免汝。驢遂躑	借 票 一 紙 因 取 向 驢 前 碎 之 語 曰 吾 已 免 汝 驢 遂 躑 
X88n1641_001:0026a03	躅而斃。	躅 而 斃 
X88n1641_001:0026a04	金龍川又一表弟。住滸墅關。生一子常病。偶父子同	金 龍 川 又 一 表 弟 住 滸 墅 關 生 一 子 常 病 偶 父 子 同 
X88n1641_001:0026a05	臥頃。有鬼攝父魂至冥府。冥官責云。汝欠某人債若	臥 頃 有 鬼 攝 父 魂 至 冥 府 冥 官 責 云 汝 欠 某 人 債 若 
X88n1641_001:0026a06	干。何久不還。父答云。我不識渠。因喚出相認。即其子	干 何 久 不 還 父 答 云 我 不 識 渠 因 喚 出 相 認 即 其 子 
X88n1641_001:0026a07	也。遂憶前世曾欠債事。冥官命曰。汝速於三寶中為	也 遂 憶 前 世 曾 欠 債 事 冥 官 命 曰 汝 速 於 三 寶 中 為 
X88n1641_001:0026a08	渠還却。一諾而醒。其子宛然在牀。心倍醒悟。後為作	渠 還 却 一 諾 而 醒 其 子 宛 然 在 牀 心 倍 醒 悟 後 為 作 
X88n1641_001:0026a09	福延醫等事。計滿本數。子隨去世。母慟哭之。父曰。不	福 延 醫 等 事 計 滿 本 數 子 隨 去 世 母 慟 哭 之 父 曰 不 
X88n1641_001:0026a10	須哭也。此是索舊債者耳。備述前夢。因相與奉戒修	須 哭 也 此 是 索 舊 債 者 耳 備 述 前 夢 因 相 與 奉 戒 修 
X88n1641_001:0026a11	道。至今尚存。	道 至 今 尚 存 
X88n1641_001:0026a12	湖州府武康縣公差。忘其名。路值一男二女尾其後	湖 州 府 武 康 縣 公 差 忘 其 名 路 值 一 男 二 女 尾 其 後 
X88n1641_001:0026a13	行。到鄉宦駱家。見三人直入駱門。心異之。因待至暮	行 到 鄉 宦 駱 家 見 三 人 直 入 駱 門 心 異 之 因 待 至 暮 
X88n1641_001:0026a14	不出。遂問守門者索人。守門人以為誣妄。諍打不已。	不 出 遂 問 守 門 者 索 人 守 門 人 以 為 誣 妄 諍 打 不 已 
X88n1641_001:0026a15	聞於主翁。翁悟其意。命各房查生產事。乃見牸牛新	聞 於 主 翁 翁 悟 其 意 命 各 房 查 生 產 事 乃 見 牸 牛 新 
X88n1641_001:0026a16	生三牡。一壯二牝。即喚分差視之。三牛毛色與所見	生 三 牡 一 壯 二 牝 即 喚 分 差 視 之 三 牛 毛 色 與 所 見 
X88n1641_001:0026a17	三人服色不異。方知三人已為牛矣。復查其姓名。皆	三 人 服 色 不 異 方 知 三 人 已 為 牛 矣 復 查 其 姓 名 皆 
X88n1641_001:0026a18	欠駱家租米者也。後三牛既大。力有強弱。債多者強。	欠 駱 家 租 米 者 也 後 三 牛 既 大 力 有 強 弱 債 多 者 強 
X88n1641_001:0026a19	債少者弱。分毫無爽焉。	債 少 者 弱 分 毫 無 爽 焉 
X88n1641_001:0026a20	吳城婁門內有姓蔣者。自幼喜毀神像。崇禎癸酉年	吳 城 婁 門 內 有 姓 蔣 者 自 幼 喜 毀 神 像 崇 禎 癸 酉 年 
X88n1641_001:0026a21	拆其父所造火神殿為門房。毀神像以為薪然之。冬	拆 其 父 所 造 火 神 殿 為 門 房 毀 神 像 以 為 薪 然 之 冬 
X88n1641_001:0026a22	忽頭痛。命家人鳴囉集眾。眾既集。眼珠忽迸出垂於	忽 頭 痛 命 家 人 鳴 囉 集 眾 眾 既 集 眼 珠 忽 迸 出 垂 於 
X88n1641_001:0026a23	鼻間。死而復甦。甦而復死。口唱冥府所歷諸苦。共經	鼻 間 死 而 復 甦 甦 而 復 死 口 唱 冥 府 所 歷 諸 苦 共 經 
X88n1641_001:0026a24	四十二日乃絕。合城人無不見聞。	四 十 二 日 乃 絕 合 城 人 無 不 見 聞 
X88n1641_001:0026b01	寧國府涇縣水東鄉民。忘其姓名。居常修善。齋僧布	寧 國 府 涇 縣 水 東 鄉 民 忘 其 姓 名 居 常 修 善 齋 僧 布 
X88n1641_001:0026b02	施無虗日。偶因病暴卒。至冥府。冥王稽其陽算未盡。	施 無 虗 日 偶 因 病 暴 卒 至 冥 府 冥 王 稽 其 陽 算 未 盡 
X88n1641_001:0026b03	遣還。民乞曰。為人多苦。不欲更還。如是再三。王乃問	遣 還 民 乞 曰 為 人 多 苦 不 欲 更 還 如 是 再 三 王 乃 問 
X88n1641_001:0026b04	欲作何等。答曰願預僧流。王驚曰。汝福幾何。望此高	欲 作 何 等 答 曰 願 預 僧 流 王 驚 曰 汝 福 幾 何 望 此 高 
X88n1641_001:0026b05	位。計汝生平福力。祗可作一百戶耳。民又固乞。設不	位 計 汝 生 平 福 力 祗 可 作 一 百 戶 耳 民 又 固 乞 設 不 
X88n1641_001:0026b06	能為名德沙門。求作一燒火僧足矣。王曰。燒火僧亦	能 為 名 德 沙 門 求 作 一 燒 火 僧 足 矣 王 曰 燒 火 僧 亦 
X88n1641_001:0026b07	萬萬不易作。且與汝作一千戶何如。民又不欲。王曰。	萬 萬 不 易 作 且 與 汝 作 一 千 戶 何 如 民 又 不 欲 王 曰 
X88n1641_001:0026b08	必欲作燒火僧。且回陽間。盡其形壽極力修福。或可	必 欲 作 燒 火 僧 且 回 陽 間 盡 其 形 壽 極 力 修 福 或 可 
X88n1641_001:0026b09	冀耳。民遂復甦。作福倍前。數年乃逝(九華空如老人說)。	冀 耳 民 遂 復 甦 作 福 倍 前 數 年 乃 逝 九 華 空 如 老 人 說 
X88n1641_001:0026b10	世廟時休邑大傅瀛。有童子名程鎡。與同族弟兄捉	世 廟 時 休 邑 大 傅 瀛 有 童 子 名 程 鎡 與 同 族 弟 兄 捉 
X88n1641_001:0026b11	樹上鵓鳩。議定上樹者得其二。在樹下者得其一。及	樹 上 鵓 鳩 議 定 上 樹 者 得 其 二 在 樹 下 者 得 其 一 及 
X88n1641_001:0026b12	上樹取得三鳩。則樹下者皆取去。鎡追奪不肯還。遂	上 樹 取 得 三 鳩 則 樹 下 者 皆 取 去 鎡 追 奪 不 肯 還 遂 
X88n1641_001:0026b13	併取擲殺之。夜夢二青衣執牌來捉云。有人命事。鎡	併 取 擲 殺 之 夜 夢 二 青 衣 執 牌 來 捉 云 有 人 命 事 鎡 
X88n1641_001:0026b14	避走約二里許。竄入觀音大士殿中。見大士儼然在	避 走 約 二 里 許 竄 入 觀 音 大 士 殿 中 見 大 士 儼 然 在 
X88n1641_001:0026b15	焉。二青衣亦追至。鎡訴於大士曰。我未甞殺人。何為	焉 二 青 衣 亦 追 至 鎡 訴 於 大 士 曰 我 未 甞 殺 人 何 為 
X88n1641_001:0026b16	捉我。二青衣出牌示曰。是三鵓鳩相告。今須同去理	捉 我 二 青 衣 出 牌 示 曰 是 三 鵓 鳩 相 告 今 須 同 去 理 
X88n1641_001:0026b17	會。鎡辯曰。鵓鳩不過小禽。何足償命。況我本與彼約。	會 鎡 辯 曰 鵓 鳩 不 過 小 禽 何 足 償 命 況 我 本 與 彼 約 
X88n1641_001:0026b18	彼人負約。致我生忿而擲殺之。則罪不獨在我也。大	彼 人 負 約 致 我 生 忿 而 擲 殺 之 則 罪 不 獨 在 我 也 大 
X88n1641_001:0026b19	士曰。鵓鳩若大。損犯禾苗。則汝殺之其罪稍輕。今既	士 曰 鵓 鳩 若 大 損 犯 禾 苗 則 汝 殺 之 其 罪 稍 輕 今 既 
X88n1641_001:0026b20	初生未甞有過。汝今殺之理須償命。況彼人雖負約。	初 生 未 甞 有 過 汝 今 殺 之 理 須 償 命 況 彼 人 雖 負 約 
X88n1641_001:0026b21	而致之死地者實汝罪也。但念汝年幼未有成立。因	而 致 之 死 地 者 實 汝 罪 也 但 念 汝 年 幼 未 有 成 立 因 
X88n1641_001:0026b22	命二青衣寬其限至十二年後。某日某時再來追之。	命 二 青 衣 寬 其 限 至 十 二 年 後 某 日 某 時 再 來 追 之 
X88n1641_001:0026b23	二青衣奉大士命而散。鎡亦遂寤。至十二年後。鎡商	二 青 衣 奉 大 士 命 而 散 鎡 亦 遂 寤 至 十 二 年 後 鎡 商 
X88n1641_001:0026b24	於淞江。至期忽自立于秀野橋下而斃。	於 淞 江 至 期 忽 自 立 于 秀 野 橋 下 而 斃 
X88n1641_001:0026c01	大傅瀛程玄偉。生一子。名本大。習儒業。費其家產略	大 傅 瀛 程 玄 偉 生 一 子 名 本 大 習 儒 業 費 其 家 產 略 
X88n1641_001:0026c02	盡。于崇禎辛巳同族兄程天明往姑蘇。將本處祖屋	盡 于 崇 禎 辛 巳 同 族 兄 程 天 明 往 姑 蘇 將 本 處 祖 屋 
X88n1641_001:0026c03	賣與其姪。得價僅數十金。俱被天明扣去。空手而回。	賣 與 其 姪 得 價 僅 數 十 金 俱 被 天 明 扣 去 空 手 而 回 
X88n1641_001:0026c04	不數日遂抱鬱死。止存一女已嫁商山吳宅。女歸送	不 數 日 遂 抱 鬱 死 止 存 一 女 已 嫁 商 山 吳 宅 女 歸 送 
X88n1641_001:0026c05	殮。竟于途中見乃父魂。因附其身而歸罵曰。天明甚	殮 竟 于 途 中 見 乃 父 魂 因 附 其 身 而 歸 罵 曰 天 明 甚 
X88n1641_001:0026c06	無情誼。令我抑鬱而死。今已訴于冥王。兼告鄉約程	無 情 誼 令 我 抑 鬱 而 死 今 已 訴 于 冥 王 兼 告 鄉 約 程 
X88n1641_001:0026c07	宗涵作證矣。我又于抗州江干遇故姪程寬。寄我要	宗 涵 作 證 矣 我 又 于 抗 州 江 干 遇 故 姪 程 寬 寄 我 要 
X88n1641_001:0026c08	打姪婦吳氏十掌云。我止有一子。汝何不肯撫養。乃	打 姪 婦 吳 氏 十 掌 云 我 止 有 一 子 汝 何 不 肯 撫 養 乃 
X88n1641_001:0026c09	起異心耶。玄偉聞而訶曰。汝在生時。破吾家事殆盡。	起 異 心 耶 玄 偉 聞 而 訶 曰 汝 在 生 時 破 吾 家 事 殆 盡 
X88n1641_001:0026c10	今既死去。何故尚來作祟。答曰。吾前世本為商人。汝	今 既 死 去 何 故 尚 來 作 祟 答 曰 吾 前 世 本 為 商 人 汝 
X88n1641_001:0026c11	為店主。見我財寶謀奪我命。我今特來索債。但因汝	為 店 主 見 我 財 寶 謀 奪 我 命 我 今 特 來 索 債 但 因 汝 
X88n1641_001:0026c12	任我揮霍。頗快我心。故恕汝命耳。何得以父禮責我	任 我 揮 霍 頗 快 我 心 故 恕 汝 命 耳 何 得 以 父 禮 責 我 
X88n1641_001:0026c13	哉。	哉 
