X73n1447_001:0042c06	 前序	 前 序 
X73n1447_001:0045a12	麼生說箇親見底道理。會麼。除是通人達士。方可證	麼 生 說 箇 親 見 底 道 理 會 麼 除 是 通 人 達 士 方 可 證 
X73n1447_001:0045a13	明。眇劣之徒。心生疑謗定矣。見得者不在言之。未見	明 眇 劣 之 徒 心 生 疑 謗 定 矣 見 得 者 不 在 言 之 未 見 
X73n1447_001:0045a14	者如今看取。不請久立珍重。	者 如 今 看 取 不 請 久 立 珍 重 
X73n1447_001:0045a15	上堂。大眾朝晚雖然聚集。且無言句。教諸人領解。亦	上 堂 大 眾 朝 晚 雖 然 聚 集 且 無 言 句 教 諸 人 領 解 亦 
X73n1447_001:0045a16	無言句教諸人參。亦無門風教諸人施設。只是與諸	無 言 句 教 諸 人 參 亦 無 門 風 教 諸 人 施 設 只 是 與 諸 
X73n1447_001:0045a17	人揀擇邪正。免諸人取次承當。未得謂得。緣祖道門	人 揀 擇 邪 正 免 諸 人 取 次 承 當 未 得 謂 得 緣 祖 道 門 
X73n1447_001:0045a18	中。沒量大人容易領解。且如往日親見雲門尊宿。具	中 沒 量 大 人 容 易 領 解 且 如 往 日 親 見 雲 門 尊 宿 具 
X73n1447_001:0045a19	大聲價。莫若德山密。洞山初。智門寬。巴陵鑒。佗雖親	大 聲 價 莫 若 德 山 密 洞 山 初 智 門 寬 巴 陵 鑒 佗 雖 親 
X73n1447_001:0045a20	見雲門。只悟得雲門言教。要且不悟道見性。何以知	見 雲 門 只 悟 得 雲 門 言 教 要 且 不 悟 道 見 性 何 以 知 
X73n1447_001:0045a21	之。且如僧問鑒和尚云。如何是提婆宗。鑒云。銀盌裡	之 且 如 僧 問 鑒 和 尚 云 如 何 是 提 婆 宗 鑒 云 銀 盌 裡 
X73n1447_001:0045a22	盛雪。又問如何是吹毛劒。鑒云。珊瑚枝枝撑著月。又	盛 雪 又 問 如 何 是 吹 毛 劒 鑒 云 珊 瑚 枝 枝 撑 著 月 又 
X73n1447_001:0045a23	問佛教祖教是同是別。鑒云。雞寒上樹。鴨寒下水。鑒	問 佛 教 祖 教 是 同 是 別 鑒 云 雞 寒 上 樹 鴨 寒 下 水 鑒 
X73n1447_001:0045a24	和尚云。我下此三轉語。已報雲門恩了也。後來更不	和 尚 云 我 下 此 三 轉 語 已 報 雲 門 恩 了 也 後 來 更 不 
X73n1447_001:0045b01	與雲門設忌齋。大眾。雲門分明道。此事若在言句。一	與 雲 門 設 忌 齋 大 眾 雲 門 分 明 道 此 事 若 在 言 句 一 
X73n1447_001:0045b02	大藏教。豈無言句。又云。饒你問得答得。只贏得口滑。	大 藏 教 豈 無 言 句 又 云 饒 你 問 得 答 得 只 贏 得 口 滑 
X73n1447_001:0045b03	去道轉遠。作麼生下三轉語。便道。我報雲門恩了也。	去 道 轉 遠 作 麼 生 下 三 轉 語 便 道 我 報 雲 門 恩 了 也 
X73n1447_001:0045b04	可謂埋沒上祖。錯指後人。遂使兒孫承空接險。從錯	可 謂 埋 沒 上 祖 錯 指 後 人 遂 使 兒 孫 承 空 接 險 從 錯 
X73n1447_001:0045b05	至錯。例皆稱提言句。以為向上極則事。大眾。若據言	至 錯 例 皆 稱 提 言 句 以 為 向 上 極 則 事 大 眾 若 據 言 
X73n1447_001:0045b06	句中事。如螢火之光。諸人分上如百千日月。大眾。曾	句 中 事 如 螢 火 之 光 諸 人 分 上 如 百 千 日 月 大 眾 曾 
X73n1447_001:0045b07	於言句中得入者。快須吐却。於自己分上點撿看。是	於 言 句 中 得 入 者 快 須 吐 却 於 自 己 分 上 點 撿 看 是 
X73n1447_001:0045b08	何道理。珍重。	何 道 理 珍 重 
X73n1447_001:0045b09	上堂云。瘥病不假驢駝藥。便下座。	上 堂 云 瘥 病 不 假 驢 駝 藥 便 下 座 
X73n1447_001:0045b10	上堂。彼此出家人。且作麼生是出家眼。如未具出家	上 堂 彼 此 出 家 人 且 作 麼 生 是 出 家 眼 如 未 具 出 家 
X73n1447_001:0045b11	眼。且依佛了義教。莫依不了義教。如何是不了義教。	眼 且 依 佛 了 義 教 莫 依 不 了 義 教 如 何 是 不 了 義 教 
X73n1447_001:0045b12	談因說果。有聖有凡。福慧二嚴。闕一不可。此為對盲	談 因 說 果 有 聖 有 凡 福 慧 二 嚴 闕 一 不 可 此 為 對 盲 
X73n1447_001:0045b13	俗說。為佗不知有出世之道。且令修禪學慧。免佗失	俗 說 為 佗 不 知 有 出 世 之 道 且 令 修 禪 學 慧 免 佗 失 
X73n1447_001:0045b14	却人天二路。若是我沙門釋子。不可依從。被福慧繫	却 人 天 二 路 若 是 我 沙 門 釋 子 不 可 依 從 被 福 慧 繫 
X73n1447_001:0045b15	在生死界中。如長繩繫鳥足。無有脫期。如何是了義	在 生 死 界 中 如 長 繩 繫 鳥 足 無 有 脫 期 如 何 是 了 義 
X73n1447_001:0045b16	教。福不可作。慧不可修。只要諸人見性悟道。若要見	教 福 不 可 作 慧 不 可 修 只 要 諸 人 見 性 悟 道 若 要 見 
X73n1447_001:0045b17	性悟道。一切佛法不可學。三乘聖行不可修。福不可	性 悟 道 一切佛法 不 可 學 三 乘 聖 行 不 可 修 福 不 可 
X73n1447_001:0045b18	作。慧不可學。所以道。一切無心道合同自己一身解	作 慧 不 可 學 所 以 道 一 切 無 心 道 合 同 自 己 一 身 解 
X73n1447_001:0045b19	脫猶閑。法界有情。齊成正覺。亦能攪長河為酥酪。變	脫 猶 閑 法 界 有 情 齊 成 正 覺 亦 能 攪 長 河 為 酥 酪 變 
X73n1447_001:0045b20	大地作黃金。乃至十方世界。皆成珍寶也則不難。何	大 地 作 黃 金 乃 至 十方世界 皆 成 珍 寶 也 則 不 難 何 
X73n1447_001:0045b21	必勞神結緣作福。莫怪說如此事。山僧早年行脚。所	必 勞 神 結 緣 作 福 莫 怪 說 如 此 事 山 僧 早 年 行 脚 所 
X73n1447_001:0045b22	見尊宿皆言。我不答話。純說乾曝嚗地禪。又云。福慧	見 尊 宿 皆 言 我 不 答 話 純 說 乾 曝 嚗 地 禪 又 云 福 慧 
X73n1447_001:0045b23	不可闕。後來覷得破了。洎合被佗賺過一生。所以山	不 可 闕 後 來 覷 得 破 了 洎 合 被 佗 賺 過 一 生 所 以 山 
X73n1447_001:0045b24	僧在眾裡。不教人學佛學法。不教人作福結緣。然雖	僧 在 眾 裡 不 教 人 學 佛 學 法 不 教 人 作 福 結 緣 然 雖 
X73n1447_001:0045c01	如此。百千人中。無一人肯信。為佗無出家眼。根器淺	如 此 百 千 人 中 無 一 人 肯 信 為 佗 無 出 家 眼 根 器 淺 
X73n1447_001:0045c02	薄。信之不及。所以佛云。薄福尠德人。不堪受是法。聞	薄 信 之 不 及 所 以 佛 云 薄 福 尠 德 人 不 堪 受 是 法 聞 
X73n1447_001:0045c03	必不敬信。若信得及。紹隆得三寶。一切眾生。皆有解	必 不 敬 信 若 信 得 及 紹 隆 得 三 寶 一 切 眾 生 皆 有 解 
X73n1447_001:0045c04	脫之期。若信不及。永劫受殃。莫言不道。珍重。	脫 之 期 若 信 不 及 永 劫 受 殃 莫 言 不 道 珍 重 
X73n1447_001:0045c05	上堂。初心後學。還得出家也未。若也未得出家。且須	上 堂 初 心 後 學 還 得 出 家 也 未 若 也 未 得 出 家 且 須 
X73n1447_001:0045c06	持取齋戒。如何是持齋戒。擬心是破戒。得味是破齋。	持 取 齋 戒 如 何 是 持 齋 戒 擬 心 是 破 戒 得 味 是 破 齋 
X73n1447_001:0045c07	剎那闕漏。大難出家。珍重。	剎 那 闕 漏 大 難 出 家 珍 重 
X73n1447_001:0045c08	上堂。三世諸佛出現世間。讚歎諸人不及。山僧若更	上 堂 三世諸佛 出 現 世 間 讚 歎 諸 人 不 及 山 僧 若 更 
X73n1447_001:0045c09	開示指南。大似壓良為賤。然雖恁麼道。只如大眾有	開 示 指 南 大 似 壓 良 為 賤 然 雖 恁 麼 道 只 如 大 眾 有 
X73n1447_001:0045c10	甚麼長處。知得麼。撿點看。不請久立。珍重。	甚 麼 長 處 知 得 麼 撿 點 看 不 請 久 立 珍 重 
X73n1447_001:0045c11	上堂。行脚人面前。說箇甚麼即得。何以。十語九中。不	上 堂 行 脚 人 面 前 說 箇 甚 麼 即 得 何 以 十 語 九 中 不 
X73n1447_001:0045c12	如一默。然雖恁麼道。大似斧斫了手摩抄。若更待山	如 一 默 然 雖 恁 麼 道 大 似 斧 斫 了 手 摩 抄 若 更 待 山 
X73n1447_001:0045c13	僧開口。可謂灸瘡瘢上。更著艾炷。各自下去。	僧 開 口 可 謂 灸 瘡 瘢 上 更 著 艾 炷 各 自 下 去 
X73n1447_001:0045c14	上堂。曹溪路上即不問。且道。兜率內院慈氏如來。共	上 堂 曹 溪 路 上 即 不 問 且 道 兜 率 內 院 慈 氏 如 來 共 
X73n1447_001:0045c15	文殊對談何事。還見麼。還聞麼。直饒親見親聞。猶是	文 殊 對 談 何 事 還 見 麼 還 聞 麼 直 饒 親 見 親 聞 猶 是 
X73n1447_001:0045c16	兜率內院事。且道。曹溪路上作麼生。試道看。莫道是	兜 率 內 院 事 且 道 曹 溪 路 上 作 麼 生 試 道 看 莫 道 是 
X73n1447_001:0045c17	久雨蔞蒿長。莫道春來草自生。若據如此。正是鳥道	久 雨 蔞 蒿 長 莫 道 春 來 草 自 生 若 據 如 此 正 是 鳥 道 
X73n1447_001:0045c18	羊腸。未夢見曹溪路上在。久參先德不在形言。後學	羊 腸 未 夢 見 曹 溪 路 上 在 久 參 先 德 不 在 形 言 後 學 
X73n1447_001:0045c19	初機切須子細。不請久立珍重。	初 機 切 須 子 細 不 請 久 立 珍 重 
X73n1447_001:0045c20	施主設齋上堂。欲知佛性義。當觀明節因緣。且如今	施 主 設 齋 上 堂 欲 知 佛 性 義 當 觀 明 節 因 緣 且 如 今 
X73n1447_001:0045c21	日勝會。是事摐然。一切成現。且道成得箇甚麼邊事。	日 勝 會 是 事 摐 然 一 切 成 現 且 道 成 得 箇 甚 麼 邊 事 
X73n1447_001:0045c22	要會麼。法本不然。豈其然乎。於斯了得。便是海印發	要 會 麼 法 本 不 然 豈 其 然 乎 於 斯 了 得 便 是 海 印 發 
X73n1447_001:0045c23	光。到此不明。可謂塵勞先起。奈何法本無私。見有差	光 到 此 不 明 可 謂 塵 勞 先 起 奈 何 法 本 無 私 見 有 差 
X73n1447_001:0045c24	別。譬如諸天共寶器食。隨其福德飯色有異。仁者見	別 譬 如 諸 天 共 寶 器 食 隨 其 福 德 飯 色 有 異 仁 者 見 
X73n1447_001:0046a01	之謂之仁。智者見之謂之智。出家人見之是箇甚麼。	之 謂 之 仁 智 者 見 之 謂 之 智 出 家 人 見 之 是 箇 甚 麼 
X73n1447_001:0046a02	儻明此理。乃可取食。若昧斯宗。難為消受。已得者不	儻 明 此 理 乃 可 取 食 若 昧 斯 宗 難 為 消 受 已 得 者 不 
X73n1447_001:0046a03	在言之。未得者快須了取。珍重。	在 言 之 未 得 者 快 須 了 取 珍 重 
X73n1447_001:0046a04	上堂。大眾。諸人從無始以來。至于今日。有箇甚麼事。	上 堂 大 眾 諸 人 從 無 始 以 來 至 于 今 日 有 箇 甚 麼 事 
X73n1447_001:0046a05	還知麼。三世諸佛。向十方世界。覔諸人不得。六道四	還 知 麼 三世諸佛 向 十方世界 覔 諸 人 不 得 六 道 四 
X73n1447_001:0046a06	生。亦覔諸人不得。三乘聖位。尚亦覔諸人不得。擬喚	生 亦 覔 諸 人 不 得 三 乘 聖 位 尚 亦 覔 諸 人 不 得 擬 喚 
X73n1447_001:0046a07	作一物又不堪。說似一物又不得不禁何了道不可	作 一 物 又 不 堪 說 似 一 物 又 不 得 不 禁 何 了 道 不 可 
X73n1447_001:0046a08	以智知不可以識識。然雖如此。亦是名邈彫[金*嶲]。與諸	以 智 知 不 可 以 識 識 然 雖 如 此 亦 是 名 邈 彫 [金嶲] 與 諸 
X73n1447_001:0046a09	人分上天地懸隔。諸人既若此此。何用參請。何假修	人 分 上 天 地 懸 隔 諸 人 既 若 此 此 何 用 參 請 何 假 修 
X73n1447_001:0046a10	行。當下便休。猶是鈍漢。若是擬議。□□自欺。珍重。	行 當 下 便 休 猶 是 鈍 漢 若 是 擬 議 自 欺 珍 重 
X73n1447_001:0046a11	上堂。大凡參學。但且扣己而參。體取本來無一物。體	上 堂 大 凡 參 學 但 且 扣 己 而 參 體 取 本 來 無 一 物 體 
X73n1447_001:0046a12	取目前亦無一物。一一體取了。表裏盡情。己見亦亡。	取 目 前 亦 無 一 物 一 一 體 取 了 表 裏 盡 情 己 見 亦 亡 
X73n1447_001:0046a13	便謂之忘己之士。所以古人道。而今天下忘心能幾	便 謂 之 忘 己 之 士 所 以 古 人 道 而 今 天 下 忘 心 能 幾 
X73n1447_001:0046a14	人。如此之人最難得。千人萬人學。無一人兩人得。未	人 如 此 之 人 最 難 得 千 人 萬 人 學 無 一 人 兩 人 得 未 
X73n1447_001:0046a15	得如此。但且忘心息見。如愚如癡。一二十年。守取一	得 如 此 但 且 忘 心 息 見 如 愚 如 癡 一 二 十 年 守 取 一 
X73n1447_001:0046a16	悟。珍重。	悟 珍 重 
X73n1447_001:0046a17	上堂。出家人。論實不論虗。所以佛云。既得出家。如囚	上 堂 出 家 人 論 實 不 論 虗 所 以 佛 云 既 得 出 家 如 囚 
X73n1447_001:0046a18	免獄。少欲知足。勿貪世榮。忍飢耐渴志存無別事也。	免 獄 少欲知足 勿 貪 世 榮 忍 飢 耐 渴 志 存 無 別 事 也 
X73n1447_001:0046a19	珍重。	珍 重 
X73n1447_001:0046a20	上堂。道泰不傳天子令。時清休唱太平歌。珍重。	上 堂 道 泰 不 傳 天 子 令 時 清 休 唱 太 平 歌 珍 重 
X73n1447_001:0046a21	上堂。去去西天路。迢迢十萬餘。珍重	上 堂 去 去 西 天 路 迢 迢 十 萬 餘 珍 重 
X73n1447_001:0046a22	上堂。衲僧面前。有甚麼相瞞處。直饒說得天花亂墜。	上 堂 衲 僧 面 前 有 甚 麼 相 瞞 處 直 饒 說 得 天 花 亂 墜 
X73n1447_001:0046a23	爭似靈龜未兆時。設使釋迦掩室於摩竭。葢為下根	爭 似 靈 龜 未 兆 時 設 使 釋 迦 掩 室 於 摩 竭 葢 為 下 根 
X73n1447_001:0046a24	下器。淨名杜口於毗耶。□□不肯。直饒不肯。也是狐	下 器 淨 名 杜 口 於 毗 耶 不 肯 直 饒 不 肯 也 是 狐 
X73n1447_001:0046b01	假虎威。下座。	假 虎 威 下 座 
X73n1447_001:0046b02	上堂。大眾。山僧今日將三世諸佛所說之法。一時舉	上 堂 大 眾 山 僧 今 日 將 三世諸佛 所 說 之 法 一 時 舉 
X73n1447_001:0046b03	似大眾了也。更不欠少一字。不得嫌山僧急性。葢緣	似 大 眾 了 也 更 不 欠 少 一 字 不 得 嫌 山 僧 急 性 葢 緣 
X73n1447_001:0046b04	俯為下機。直饒仁者於一言下得諦當分明。說得如	俯 為 下 機 直 饒 仁 者 於 一 言 下 得 諦 當 分 明 說 得 如 
X73n1447_001:0046b05	雲如雨。咄。這喫野狐唌唾底餓鬼。莫向衲僧門下過。	雲 如 雨 咄 這 喫 野 狐 唌 唾 底 餓 鬼 莫 向 衲 僧 門 下 過 
X73n1447_001:0046b06	打公腰折。莫言不道。下座。	打 公 腰 折 莫 言 不 道 下 座 
X73n1447_001:0046b07	上堂。諸仁者。一等參學。且須辨取是非。若也取次承	上 堂 諸 仁 者 一 等 參 學 且 須 辨 取 是 非 若 也 取 次 承 
X73n1447_001:0046b08	當。便是一生虗過。近來行脚人。例皆以天台華頂南	當 便 是 一 生 虗 過 近 來 行 脚 人 例 皆 以 天 台 華 頂 南 
X73n1447_001:0046b09	嶽石橋。將為向上一路。多少錯認。此是暫時行履處。	嶽 石 橋 將 為 向 上 一 路 多 少 錯 認 此 是 暫 時 行 履 處 
X73n1447_001:0046b10	非究竟安身立命之地。又說徐州麥飯。鎮州大蘿蔔	非 究 竟 安 身 立 命 之 地 又 說 徐 州 麥 飯 鎮 州 大 蘿 蔔 
X73n1447_001:0046b11	頭。以為灑灑地衲僧。千足萬足。莫錯承當。此是非時	頭 以 為 灑 灑 地 衲 僧 千 足 萬 足 莫 錯 承 當 此 是 非 時 
X73n1447_001:0046b12	之食。誘引童蒙止啼之義。在衲僧分上。謂之雜毒食。	之 食 誘 引 童 蒙 止 啼 之 義 在 衲 僧 分 上 謂 之 雜 毒 食 
X73n1447_001:0046b13	若也未得其趣。更莫沾唇。若已得其趣快須盡底吐	若 也 未 得 其 趣 更 莫 沾 唇 若 已 得 其 趣 快 須 盡 底 吐 
X73n1447_001:0046b14	却。儻有纖毫在心。便是虗生浪死珍重。	却 儻 有 纖 毫 在 心 便 是 虗 生 浪 死 珍 重 
X73n1447_001:0046b15	上堂。除非休去便休去。若覔了期無了期參。	上 堂 除 非 休 去 便 休 去 若 覔 了 期 無 了 期 參 
X73n1447_001:0046b16	上堂。諸上座行脚。當為何事。若要知見明白。了達世	上 堂 諸 上 座 行 脚 當 為 何 事 若 要 知 見 明 白 了 達 世 
X73n1447_001:0046b17	出世法。多知解會問答。與天地同根萬法一體。認得	出 世 法 多 知 解 會 問 答 與 天 地 同 根 萬 法 一 體 認 得 
X73n1447_001:0046b18	法身法性。速往諸方學取。若要透過法身。會得向上	法 身 法 性 速 往 諸 方 學 取 若 要 透 過 法 身 會 得 向 上 
X73n1447_001:0046b19	關棙。言無展事。語不投機。凡有問來更不答話。做箇	關 棙 言 無 展 事 語 不 投 機 凡 有 問 來 更 不 答 話 做 箇 
X73n1447_001:0046b20	灑灑地衲僧。不依倚一物。亦請速往諸方學取。直饒	灑 灑 地 衲 僧 不 依 倚 一 物 亦 請 速 往 諸 方 學 取 直 饒 
X73n1447_001:0046b21	一一見得。與諸人本分事。了無交涉。所以老僧只以	一 一 見 得 與 諸 人 本 分 事 了 無 交 涉 所 以 老 僧 只 以 
X73n1447_001:0046b22	本分事接人。若是諸方有語句文字教諸人用心學	本 分 事 接 人 若 是 諸 方 有 語 句 文 字 教 諸 人 用 心 學 
X73n1447_001:0046b23	得。若是山僧此間不立文字語句用心學不得。無你	得 若 是 山 僧 此 間 不 立 文 字 語 句 用 心 學 不 得 無 你 
X73n1447_001:0046b24	捿泊處。四方學者望涯而退。若要見本分事。便須一	捿 泊 處 四 方 學 者 望 涯 而 退 若 要 見 本 分 事 便 須 一 
X73n1447_001:0046c01	切佛法不用學。一切言句不要參。罷却學心。忘却知	切 佛 法 不 用 學 一 切 言 句 不 要 參 罷 却 學 心 忘 却 知 
X73n1447_001:0046c02	見。如枯木石頭。有少相應之分。若不如是。與道懸殊。	見 如 枯 木 石 頭 有 少 相 應 之 分 若 不 如 是 與 道 懸 殊 
X73n1447_001:0046c03	珍重。	珍 重 
X73n1447_001:0046c04	上堂良久云。劒去遠矣。徒勞刻舟。珍重。	上 堂 良 久 云 劒 去 遠 矣 徒 勞 刻 舟 珍 重 
X73n1447_001:0046c05	上堂。三世諸佛。仰望不及。天下祖師。結舌有分。知有	上 堂 三世諸佛 仰 望 不 及 天 下 祖 師 結 舌 有 分 知 有 
X73n1447_001:0046c06	者善自保任。未知有者。不休何待。參。	者 善 自 保 任 未 知 有 者 不 休 何 待 參 
X73n1447_001:0046c07	上堂。丈夫各有冲天氣。莫向如來行處行。向甚麼處	上 堂 丈 夫 各 有 冲 天 氣 莫 向 如 來 行 處 行 向 甚 麼 處 
X73n1447_001:0046c08	行即是。諸仁者。出來對眾道看。莫道是趙州南石橋	行 即 是 諸 仁 者 出 來 對 眾 道 看 莫 道 是 趙 州 南 石 橋 
X73n1447_001:0046c09	北。莫道是天台華頂。華嶽三峯。莫道是人無遠慮。必	北 莫 道 是 天 台 華 頂 華 嶽 三 峯 莫 道 是 人 無 遠 慮 必 
X73n1447_001:0046c10	有近憂。若據如此見解。大似猛虎入穽。俊鷂投籠。自	有 近 憂 若 據 如 此 見 解 大 似 猛 虎 入 穽 俊 鷂 投 籠 自 
X73n1447_001:0046c11	取滅亡。非佗人咎。且道。作麼生是衲僧行處。珍重。	取 滅 亡 非 佗 人 咎 且 道 作 麼 生 是 衲 僧 行 處 珍 重 
X73n1447_001:0046c12	上堂。大眾。昨日施主齋會。僧道威儀濟濟。俗士禮樂	上 堂 大 眾 昨 日 施 主 齋 會 僧 道 威 儀 濟 濟 俗 士 禮 樂 
X73n1447_001:0046c13	鎗鎗。供養摐然。香花羅列。如此一筵勝事。且道。今日	鎗 鎗 供 養 摐 然 香 花 羅 列 如 此 一 筵 勝 事 且 道 今 日 
X73n1447_001:0046c14	甚麼處去也。若知得來處。即知去處。方不被因果所	甚 麼 處 去 也 若 知 得 來 處 即 知 去 處 方 不 被 因 果 所 
X73n1447_001:0046c15	拘。於諸法中而得自在。汝若向刀山。刀山自摧折。汝	拘 於 諸 法 中 而 得 自 在 汝 若 向 刀 山 刀 山 自 摧 折 汝 
X73n1447_001:0046c16	若向火湯。火湯自消滅。方能放蕩逍遙。有何罣礙。若	若 向 火 湯 火 湯 自 消 滅 方 能 放 蕩 逍 遙 有 何 罣 礙 若 
X73n1447_001:0046c17	也未了。萬法所拘。無由解脫。可謂業識忙忙。觸途成	也 未 了 萬 法 所 拘 無 由 解 脫 可 謂 業 識 忙 忙 觸 途 成 
X73n1447_001:0046c18	滯。若遇惡境現前。如何消遣。古人道努力今生須了	滯 若 遇 惡 境 現 前 如 何 消 遣 古 人 道 努 力 今 生 須 了 
X73n1447_001:0046c19	却。莫教永劫受餘殃。珍重。	却 莫 教 永 劫 受 餘 殃 珍 重 
X73n1447_001:0046c20	上堂。良久。大眾不散。師云。做甚麼。不可須待惡水潑	上 堂 良 久 大 眾 不 散 師 云 做 甚 麼 不 可 須 待 惡 水 潑 
X73n1447_001:0046c21	那。下去。	那 下 去 
X73n1447_001:0046c22	上堂。舉百丈恒和尚有時上堂。眾纔集。云喫茶便下	上 堂 舉 百 丈 恒 和 尚 有 時 上 堂 眾 纔 集 云 喫 茶 便 下 
X73n1447_001:0046c23	座。有時上堂。眾纔集。云珍重便下座。有時上堂。眾纔	座 有 時 上 堂 眾 纔 集 云 珍 重 便 下 座 有 時 上 堂 眾 纔 
X73n1447_001:0046c24	集。云歇。便下座。往往常用此時節因緣。眾人罔測津	集 云 歇 便 下 座 往 往 常 用 此 時 節 因 緣 眾 人 罔 測 津 
X73n1447_001:0047a01	涯。後來恒和尚作一頌。頌此三轉因緣云。百丈有三	涯 後 來 恒 和 尚 作 一 頌 頌 此 三 轉 因 緣 云 百 丈 有 三 
X73n1447_001:0047a02	訣。喫茶珍重歇。直下便承當。敢保君未徹。師云。大眾。	訣 喫 茶 珍 重 歇 直 下 便 承 當 敢 保 君 未 徹 師 云 大 眾 
X73n1447_001:0047a03	只如恒和尚作此一頌。且道見處如何。還知得失否。	只 如 恒 和 尚 作 此 一 頌 且 道 見 處 如 何 還 知 得 失 否 
X73n1447_001:0047a04	要會麼。據它三度上堂時節。恰似箇好人。後來作此	要 會 麼 據 它 三 度 上 堂 時 節 恰 似 箇 好 人 後 來 作 此 
X73n1447_001:0047a05	一頌。恰如面上雕兩行文字。若是通人達士。舉起便	一 頌 恰 如 面 上 雕 兩 行 文 字 若 是 通 人 達 士 舉 起 便 
X73n1447_001:0047a06	知。後學初機。難為揀辨。老僧與汝從頭註出。百丈有	知 後 學 初 機 難 為 揀 辨 老 僧 與 汝 從 頭 註 出 百 丈 有 
X73n1447_001:0047a07	三訣。賊身已露。喫茶珍重歇。贓物出來。直下便承當。	三 訣 賊 身 已 露 喫 茶 珍 重 歇 贓 物 出 來 直 下 便 承 當 
X73n1447_001:0047a08	敢保君未徹。大似抱贓判事。然雖如此。諸仁者若具	敢 保 君 未 徹 大 似 抱 贓 判 事 然 雖 如 此 諸 仁 者 若 具 
X73n1447_001:0047a09	擇法眼。方能證明。如或邪正不分。可謂瞞頇佛性。更	擇 法 眼 方 能 證 明 如 或 邪 正 不 分 可 謂 瞞 頇 佛 性 更 
X73n1447_001:0047a10	須博問賢良。可惜虗生浪死。珍重。	須 博 問 賢 良 可 惜 虗 生 浪 死 珍 重 
X73n1447_001:0047a11	因臻和尚大祥齋次上堂。古人道。相識滿天下。知心	因 臻 和 尚 大 祥 齋 次 上 堂 古 人 道 相 識 滿 天 下 知 心 
X73n1447_001:0047a12	能幾人。知心且置。還端的識得天下人也無。如臻和	能 幾 人 知 心 且 置 還 端 的 識 得 天 下 人 也 無 如 臻 和 
X73n1447_001:0047a13	尚遷化。已得二年。我道如今現在。識得麼。若也識得	尚 遷 化 已 得 二 年 我 道 如 今 現 在 識 得 麼 若 也 識 得 
X73n1447_001:0047a14	臻和尚。非但天下。乃至三世諸佛。一切賢聖。只向這	臻 和 尚 非 但 天 下 乃 至 三世諸佛 一 切 賢 聖 只 向 這 
X73n1447_001:0047a15	裡。一時識得見得。還見得麼。直饒一時見得識得。在	裡 一 時 識 得 見 得 還 見 得 麼 直 饒 一 時 見 得 識 得 在 
X73n1447_001:0047a16	衲僧分上。也只是螢火之光。然雖如是。亦須是見到	衲 僧 分 上 也 只 是 螢 火 之 光 然 雖 如 是 亦 須 是 見 到 
X73n1447_001:0047a17	始得。何以。若也不明此旨。便有聚散離別之憂。生滅	始 得 何 以 若 也 不 明 此 旨 便 有 聚 散 離 別 之 憂 生 滅 
X73n1447_001:0047a18	斷常之見。珍重。	斷 常 之 見 珍 重 
X73n1447_001:0047a19	上堂。古人道。無邊剎境。自佗不隔於毫端。十世古今。	上 堂 古 人 道 無 邊 剎 境 自 佗 不 隔 於 毫 端 十 世 古 今 
X73n1447_001:0047a20	始終不離於當念。只如山僧恁麼道。廬山五老峯。還	始 終 不 離 於 當 念 只 如 山 僧 恁 麼 道 廬 山 五 老 峯 還 
X73n1447_001:0047a21	聞也無。趙州石橋。何不出來通箇消息。直饒你出頭	聞 也 無 趙 州 石 橋 何 不 出 來 通 箇 消 息 直 饒 你 出 頭 
X73n1447_001:0047a22	來。也是猢猻繫露柱。不請久立。珍重。	來 也 是 猢 猻 繫 露 柱 不 請 久 立 珍 重 
X73n1447_001:0047a23	上堂。三世諸佛亦如是。一切聖賢亦如是。大眾亦如	上 堂 三世諸佛 亦 如 是 一 切 聖 賢 亦 如 是 大 眾 亦 如 
X73n1447_001:0047a24	是。山僧亦如是。且道。是箇甚麼。只有照壁月。更無吹	是 山 僧 亦 如 是 且 道 是 箇 甚 麼 只 有 照 壁 月 更 無 吹 
X73n1447_001:0047b01	葉風。珍重。	葉 風 珍 重 
X73n1447_001:0047b02	上堂。祖師門下。故是不容。衲僧面前。是何道理。然雖	上 堂 祖 師 門 下 故 是 不 容 衲 僧 面 前 是 何 道 理 然 雖 
X73n1447_001:0047b03	如是。知恩者少。負恩者多。參。	如 是 知 恩 者 少 負 恩 者 多 參 
X73n1447_001:0047b04	上堂。大陽門下。不假然燈。衲僧面前。那堪開口。所以	上 堂 大 陽 門 下 不 假 然 燈 衲 僧 面 前 那 堪 開 口 所 以 
X73n1447_001:0047b05	釋迦掩室。達磨緘言。若到薦福門下。放過則不可。扣	釋 迦 掩 室 達 磨 緘 言 若 到 薦 福 門 下 放 過 則 不 可 扣 
X73n1447_001:0047b06	禪床一下。參。	禪 床 一 下 參 
X73n1447_001:0047b07	上堂。焉敢觸忤上流。葢緣曲為下機。然雖如是。圖佗	上 堂 焉 敢 觸 忤 上 流 葢 緣 曲 為 下 機 然 雖 如 是 圖 佗 
X73n1447_001:0047b08	一粒米。失却半年糧。參。	一 粒 米 失 却 半 年 糧 參 
X73n1447_001:0047b09	上堂。虗空無內外。心法亦復爾。若了虗空故。是達真	上 堂 虗 空 無 內 外 心 法 亦 復 爾 若 了 虗 空 故 是 達 真 
