X60n1112_001:0080a03	蓬折箴	蓬 折 箴 
X60n1112_001:0082a23	未充大行難行終成退墮所以深鑒機宜用大乘心	未 充 大 行 難 行 終 成 退 墮 所 以 深 鑒 機 宜 用 大 乘 心 
X60n1112_001:0082a24	受聲聞戒非令數寶實使成功進大有由不致中輟	受 聲 聞 戒 非 令 數 寶 實 使 成 功 進 大 有 由 不 致 中 輟 
X60n1112_001:0082b01	漸漸修學成佛有期若非究竟我祖乘願信投無地	漸 漸 修 學 成 佛 有 期 若 非 究 竟 我 祖 乘 願 信 投 無 地 
X60n1112_001:0082b02	窮理盡性唯在世尊始自鹿野苑中歷於方等般若	窮 理 盡 性 唯 在 世 尊 始 自 鹿 野 苑 中 歷 於 方 等 般 若 
X60n1112_001:0082b03	大機既發開顯是時斷送聲聞入大人境界却云即	大 機 既 發 開 顯 是 時 斷 送 聲 聞 入 大 人 境 界 却 云 即 
X60n1112_001:0082b04	此便是更不須受既發大心期向深遠既納小戒戒	此 便 是 更 不 須 受 既 發 大 心 期 向 深 遠 既 納 小 戒 戒 
X60n1112_001:0082b05	行易成大小相資終成佛道非獨終南聖師亦出法	行 易 成 大 小 相 資 終 成 佛 道 非 獨 終 南 聖 師 亦 出 法 
X60n1112_001:0082b06	正部主權實二智本起佛心巧說發門曲被我等不	正 部 主 權 實 二 智 本 起 佛 心 巧 說 發 門 曲 被 我 等 不 
X60n1112_001:0082b07	窮佛祖妄鑿愚情如此狂迷何稱善解折蓬破顯乃	窮 佛 祖 妄 鑿 愚 情 如 此 狂 迷 何 稱 善 解 折 蓬 破 顯 乃 
X60n1112_001:0082b08	至一非文意(依律立法之意)二共圓旨既虧斯二言何所憑	至 一 非 文 意 依 律 立 法 之 意 二 共 圓 旨 既 虧 斯 二 言 何 所 憑 
X60n1112_001:0082b09	觀此文意欲自作崖岸令人信重不知返彰醜拙起	觀 此 文 意 欲 自 作 崖 岸 令 人 信 重 不 知 返 彰 醜 拙 起 
X60n1112_001:0082b10	他輕誚。	他 輕 誚 
X60n1112_001:0082b11	蓬云議論非一日矣撿文非不明矣思慮非不細如	蓬 云 議 論 非 一 日 矣 撿 文 非 不 明 矣 思 慮 非 不 細 如 
X60n1112_001:0082b12	是留心技止此耳若使議論之不文撿文之不明思	是 留 心 技 止 此 耳 若 使 議 論 之 不 文 撿 文 之 不 明 思 
X60n1112_001:0082b13	慮之不細又復何如彼云古今傳習之妄謂依善戒	慮 之 不 細 又 復 何 如 彼 云 古 今 傳 習 之 妄 謂 依 善 戒 
X60n1112_001:0082b14	而受輙以四樓巧資唇舌甚乖本趣且善戒四重樓	而 受 輙 以 四 樓 巧 資 唇 舌 甚 乖 本 趣 且 善 戒 四 重 樓 
X60n1112_001:0082b15	閣乃屬經藏自出佛心通明受戒進趣等級誰謂祖	閣 乃 屬 經 藏 自 出 佛 心 通 明 受 戒 進 趣 等 級 誰 謂 祖 
X60n1112_001:0082b16	師依彼立法而受具戒誰謂進趣不由期道莊人之	師 依 彼 立 法 而 受 具 戒 誰 謂 進 趣 不 由 期 道 莊 人 之 
X60n1112_001:0082b17	共談己之短下文節節云他依經立法受具吾祖所	共 談 己 之 短 下 文 節 節 云 他 依 經 立 法 受 具 吾 祖 所 
X60n1112_001:0082b18	宗自是四分準建立法受具足戒何涉彼經云非文	宗 自 是 四 分 準 建 立 法 受具足戒 何 涉 彼 經 云 非 文 
X60n1112_001:0082b19	意縱使說者能引彼文證今而受四戒次第有何不	意 縱 使 說 者 能 引 彼 文 證 今 而 受 四 戒 次 第 有 何 不 
X60n1112_001:0082b20	可今家所行先五次十方堪進具與彼何別若謂今	可 今 家 所 行 先 五 次 十 方 堪 進 具 與 彼 何 別 若 謂 今 
X60n1112_001:0082b21	依法美開顯白四預大何須依文先受亦戒重非次	依 法 美 開 顯 白 四 預 大 何 須 依 文 先 受 亦 戒 重 非 次 
X60n1112_001:0082b22	第或言始從五戒終吾白四無非圓受第四進大圓	第 或 言 始 從 五 戒 終 吾 白 四 無 非 圓 受 第 四 進 大 圓 
X60n1112_001:0082b23	受何始豈非佛意何失圓旨善戒四重伏自往古諸	受 何 始 豈 非 佛 意 何 失 圓 旨 善 戒 四 重 伏 自 往 古 諸 
X60n1112_001:0082b24	佛至今釋迦世尊唯除美嚴通漸通頓泊乎鹿苑小	佛 至 今 釋 迦 世 尊 唯 除 美 嚴 通 漸 通 頓 泊 乎 鹿 苑 小 
X60n1112_001:0082c01	而來終至法花皆是倒受次則四戒皆次圓則四戒	而 來 終 至 法 花 皆 是 倒 受 次 則 四 戒 皆 次 圓 則 四 戒 
X60n1112_001:0082c02	皆圓通為一乘而作弄引若圓若次皆不可逃四重	皆 圓 通 為 一 乘 而 作 弄 引 若 圓 若 次 皆 不 可 逃 四 重 
X60n1112_001:0082c03	進趣又復須知圓不礙次次不礙圓若據佛意始終	進 趣 又 復 須 知 圓 不 礙 次 次 不 礙 圓 若 據 佛 意 始 終 
X60n1112_001:0082c04	在圓但以機緣未了故以三戒迭為方便令歸大乘	在 圓 但 以 機 緣 未 了 故 以 三 戒 迭 為 方 便 令 歸 大 乘 
X60n1112_001:0082c05	只以今家建立家初便令發大慈心其在此故疏云	只 以 今 家 建 立 家 初 便 令 發 大 慈 心 其 在 此 故 疏 云 
X60n1112_001:0082c06	向不緣慈如何容大意在後也此是佛意經亦如之	向 不 緣 慈 如 何 容 大 意 在 後 也 此 是 佛 意 經 亦 如 之 
X60n1112_001:0082c07	進趣當然豈容別儀法花開顯正緣定性聲聞及退	進 趣 當 然 豈 容 別 儀 法 花 開 顯 正 緣 定 性 聲 聞 及 退 
X60n1112_001:0082c08	大者保任既重乖難難入大如來方便調停到此有	大 者 保 任 既 重 乖 難 難 入 大 如 來 方 便 調 停 到 此 有 
X60n1112_001:0082c09	可開義故說三周開權顯實總使三乘同入一乘豈	可 開 義 故 說 三 周 開 權 顯 實 總 使 三 乘 同 入 一 乘 豈 
X60n1112_001:0082c10	唯法華是今所依善戒為今所癈說主自云善戒四	唯 法 華 是 今 所 依 善 戒 為 今 所 癈 說 主 自 云 善 戒 四 
X60n1112_001:0082c11	重即法花部從漸受也(文)汝謂今家癈善戒者癈在	重 即 法 花 部 從 漸 受 也 文 汝 謂 今 家 癈 善 戒 者 癈 在 
X60n1112_001:0082c12	何文若據濟緣梵網斥二乘為絕見善戒指小法為	何 文 若 據 濟 緣 梵 網 斥 二 乘 為 絕 見 善 戒 指 小 法 為 
X60n1112_001:0082c13	方便等句自是引據今家立圓宗之意故將二部對	方 便 等 句 自 是 引 據 今 家 立 圓 宗 之 意 故 將 二 部 對 
X60n1112_001:0082c14	挍須漸善戒漸機受之皆次圓機受之皆圓但不同	挍 須 漸 善 戒 漸 機 受 之 皆 次 圓 機 受 之 皆 圓 但 不 同 
X60n1112_001:0082c15	法花涅槃能圓獨妙大小圓融故引二經為今圓宗	法 花 涅 槃 能 圓 獨 妙 大 小 圓 融 故 引 二 經 為 今 圓 宗 
X60n1112_001:0082c16	用大受小而為亦據豈癈彼耶不分只是一乘妙戒	用 大 受 小 而 為 亦 據 豈 癈 彼 耶 不 分 只 是 一 乘 妙 戒 
X60n1112_001:0082c17	濟緣乃云是知如來唯有一乘圓極妙戒華嚴直與	濟 緣 乃 云 是 知 如 來 唯 有 一 乘 圓 極 妙 戒 華 嚴 直 與 
X60n1112_001:0082c18	鹿苑曲三世十方莫不皆爾若據法華開顯正是開	鹿 苑 曲 三 世 十 方 莫 不 皆 爾 若 據 法 華 開 顯 正 是 開 
X60n1112_001:0082c19	此漸機諸大聲聞從鹿苑來非漸是何但由法花已	此 漸 機 諸 大 聲 聞 從 鹿 苑 來 非 漸 是 何 但 由 法 花 已 
X60n1112_001:0082c20	前未盡顯說聲聞作佛有乖圓宗點小即大之義故	前 未 盡 顯 說 聲 聞 作 佛 有 乖 圓 宗 點 小 即 大 之 義 故 
X60n1112_001:0082c21	揀善戒非今亦據何是持癈台宗自謂法花非漸非	揀 善 戒 非 今 亦 據 何 是 持 癈 台 宗 自 謂 法 花 非 漸 非 
X60n1112_001:0082c22	頓亦不書云不用受大便為菩薩經中雖云汝等所	頓 亦 不 書 云 不 用 受 大 便 為 菩 薩 經 中 雖 云 汝 等 所 
X60n1112_001:0082c23	行是菩薩道乃點化保證引進之意經云舍利弗汝	行 是 菩 薩 道 乃 點 化 保 證 引 進 之 意 經 云 舍 利 弗 汝 
X60n1112_001:0082c24	於未來世遇無量無邊不可思議劫奉持正法具足	於未來世 遇 無量無邊 不可思議 劫 奉 持 正 法 具 足 
X60n1112_001:0083a01	菩薩所行之道當得作佛記家前明法體云於菩薩	菩薩所行之道 當 得 作 佛 記 家 前 明 法 體 云 於 菩 薩 
X60n1112_001:0083a02	戒中摘取小分以為五八十具後既開顯盡用付之	戒 中 摘 取 小 分 以 為 五 八 十 具 後 既 開 顯 盡 用 付 之 
X60n1112_001:0083a03	付之盡在何時又云殺盜已制不復重明重明之言	付 之 盡 在 何 時 又 云 殺 盜 已 制 不 復 重 明 重 明 之 言 
X60n1112_001:0083a04	為指何處觀後結文其意自見若如汝說唯是白四	為 指 何 處 觀 後 結 文 其 意 自 見 若 如 汝 說 唯 是 白 四 
X60n1112_001:0083a05	得受大戒今梵網經亦不可用無稽妄說如何可依	得 受 大 戒 今 梵 網 經 亦 不 可 用 無 稽 妄 說 如 何 可 依 
X60n1112_001:0083a06	(梵網付為邪見亦是要令入大之意)。	 梵 網 付 為 邪 見 亦 是 要 令 入 大 之 意 
X60n1112_001:0083a07	蓬云五六百年發門抑塞乃至又缺涅尋何能釋然	蓬 云 五 六 百 年 發 門 抑 塞 乃 至 又 缺 涅 尋 何 能 釋 然 
X60n1112_001:0083a08	且大智律師中興發觀正是間生誰不尅伏彰汝之	且 大 智 律 師 中 興 發 觀 正 是 間 生 誰 不 尅 伏 彰 汝 之 
X60n1112_001:0083a09	勝抑彼之長欲使愚徒稽首加嘆子路賢於仲尼欺	勝 抑 彼 之 長 欲 使 愚 徒 稽 首 加 嘆 子 路 賢 於 仲 尼 欺 
X60n1112_001:0083a10	罔不小若非此意何出此言說主一出圓宗發旨湛	罔 不 小 若 非 此 意 何 出 此 言 說 主 一 出 圓 宗 發 旨 湛 
X60n1112_001:0083a11	然明白代不立賢主今無昧只如竹溪先祖拙菴宗	然 明 白 代 不 立 賢 主 今 無 昧 只 如 竹 溪 先 祖 拙 菴 宗 
X60n1112_001:0083a12	匠較汝淺陋天地懸殊說妙談玄異稱美汝何輕消	匠 較 汝 淺 陋 天 地 懸 殊 說 妙 談 玄 異 稱 美 汝 何 輕 消 
X60n1112_001:0083a13	謂缺溫尋誑妄來蒙敢此逾分只知開口不覺舌頭	謂 缺 溫 尋 誑 妄 來 蒙 敢 此 逾 分 只 知 開 口 不 覺 舌 頭 
X60n1112_001:0083a14	長。	長 
X60n1112_001:0083a15	蓬云余於他文說之頗譯由是知彼說謬傳誑愚人	蓬 云 余 於 他 文 說 之 頗 譯 由 是 知 彼 說 謬 傳 誑 愚 人 
X60n1112_001:0083a16	久矣豈止今日又云未審曾看彼經否彼經依經建	久 矣 豈 止 今 日 又 云 未 審 曾 看 彼 經 否 彼 經 依 經 建 
X60n1112_001:0083a17	立受法為戒何事首引多論起慈心為成何法疏釋	立 受 法 為 戒 何 事 首 引 多 論 起 慈 心 為 成 何 法 疏 釋 
X60n1112_001:0083a18	此文乃云此之戒法者於何戒耶定難容納何時納	此 文 乃 云 此 之 戒 法 者 於 何 戒 耶 定 難 容 納 何 時 納 
X60n1112_001:0083a19	耶此之四端皆為受具誰不知之料彼曲見即此小	耶 此 之 四 端 皆 為 受 具 誰 不 知 之 料 彼 曲 見 即 此 小 
X60n1112_001:0083a20	受便為納大自謂得意強設難疑所以下文白四受	受 便 為 納 大 自 謂 得 意 強 設 難 疑 所 以 下 文 白 四 受 
X60n1112_001:0083a21	大無稽橫議混亂發門勝鬘經中三乘初業不愚於	大 無 稽 橫 議 混 亂 發 門 勝 鬘 經 中 三 乘 初 業 不 愚 於 
X60n1112_001:0083a22	法非彼所知平年始學及至而今不曉發門不分化	法 非 彼 所 知 平 年 始 學 及 至 而 今 不 曉 發 門 不 分 化 
X60n1112_001:0083a23	制不明受隨不識因果圓是理體大屬發門白四納	制 不 明 受 隨 不 識 因 果 圓 是 理 體 大 屬 發 門 白 四 納 
X60n1112_001:0083a24	大大小混亂記釋鈔中發心受戒謂即今所受比丘	大 大 小 混 亂 記 釋 鈔 中 發 心 受 戒 謂 即 今 所 受 比 丘 
X60n1112_001:0083b01	戒也又釋疏中當思此行謂白四所受聲聞戒也除	戒 也 又 釋 疏 中 當 思 此 行 謂 白 四 所 受 聲 聞 戒 也 除 
X60n1112_001:0083b02	體發門何曾言大圓實理體化制難分不識義具便	體 發 門 何 曾 言 大 圓 實 理 體 化 制 難 分 不 識 義 具 便 
X60n1112_001:0083b03	為三聚記中因釋徹縱瞥爾制業分之則無有濫資	為 三 聚 記 中 因 釋 徹 縱 瞥 爾 制 業 分 之 則 無 有 濫 資 
X60n1112_001:0083b04	持又問今此所受為即三聚為非三聚若云即者後	持 又 問 今 此 所 受 為 即 三 聚 為 非 三 聚 若 云 即 者 後 
X60n1112_001:0083b05	須更受菩薩戒否又復大小混亂如何分別若云非	須 更 受 菩 薩 戒 否 又 復 大 小 混 亂 如 何 分 別 若 云 非 
X60n1112_001:0083b06	者戒從心發既發此心那非此戒大見錯解使自求	者 戒 從 心 發 既 發 此 心 那 非 此 戒 大 見 錯 解 使 自 求 
X60n1112_001:0083b07	之彼不自求故致錯解何不詳究云即者以下諸句	之 彼 不 自 求 故 致 錯 解 何 不 詳 究 云 即 者 以 下 諸 句 
X60n1112_001:0083b08	却若云非下之言而成迷悞受是願體即行用大乘	却 若 云 非 下 之 言 而 成 迷 悞 受 是 願 體 即 行 用 大 乘 
X60n1112_001:0083b09	因果自行化他要誓深遠業體圓具當於隨行當思	因 果 自 行 化 他 要 誓 深 遠 業 體 圓 具 當 於 隨 行 當 思 
X60n1112_001:0083b10	修頭遠期進受大乘三聚趣三解脫自行化他同歸	修 頭 遠 期 進 受 大 乘 三 聚 趣 三 解 脫 自 行 化 他 同 歸 
X60n1112_001:0083b11	究竟受隨交混直成妄執大乘因者諸法實相大乘	究 竟 受 隨 交 混 直 成 妄 執 大 乘 因 者 諸法實相 大 乘 
X60n1112_001:0083b12	果者諸法實相受大方是真因是以法花受聲聞記	果 者 諸法實相 受 大 方 是 真 因 是 以 法 花 受 聲 聞 記 
X60n1112_001:0083b13	令無量無數不思議劫行菩薩行當得成佛白四言	令 無量無數 不 思 議 劫 行 菩 薩 行 當 得 成 佛 白 四 言 
X60n1112_001:0083b14	下三聚究竟彼說因果輕易若此因不識此四種之	下 三 聚 究 竟 彼 說 因 果 輕 易 若 此 因 不 識 此 四 種 之 
X60n1112_001:0083b15	法是故始終顛倒無歸出家本務慕果修圓自行化	法 是 故 始 終 顛 倒 無 歸 出 家 本 務 慕 果 修 圓 自 行 化 
X60n1112_001:0083b16	他城心有處要在初步因誓發心一時圓具業作無	他 城 心 有 處 要 在 初 步 因 誓 發 心 一 時 圓 具 業 作 無 
X60n1112_001:0083b17	作為善種子如是立誓猶屬妄念故事鈔中如此發	作 為 善 種 子 如 是 立 誓 猶 屬 妄 念 故 事 鈔 中 如 此 發 
X60n1112_001:0083b18	心尚是部堪引智論云始學凡夫部心中悟解心既	心 尚 是 部 堪 引 智 論 云 始 學 凡 夫 部 心 中 悟 解 心 既 
X60n1112_001:0083b19	妙能契實理實理色容無法不具濟緣得意故會三	妙 能 契 實 理 實 理 色 容 無 法 不 具 濟 緣 得 意 故 會 三 
X60n1112_001:0083b20	誓三戒三行三脫三佛三悳在乎一念隨舉一法即	誓 三 戒 三 行 三 脫 三 佛 三 悳 在 乎 一 念 隨 舉 一 法 即 
X60n1112_001:0083b21	具一切言有前後理無各別如是心受即發圓體如	具 一 切 言 有 前 後 理 無 各 別 如 是 心 受 即 發 圓 體 如 
X60n1112_001:0083b22	是心持即成圓行圓頓之義豈過於此華嚴無上菩	是 心 持 即 成 圓 行 圓 頓 之 義 豈 過 於 此 華 嚴 無 上 菩 
X60n1112_001:0083b23	提本淨各能如是者是名奉律涅槃欲見佛性證大	提 本 淨 各 能 如 是 者 是 名 奉 律 涅 槃 欲 見 佛 性 證 大 
X60n1112_001:0083b24	涅槃必須深心修持淨戒皆此意也下文又云欲正	涅 槃 必 須 深 心 修 持 淨 戒 皆 此 意 也 下 文 又 云 欲 正 
X60n1112_001:0083c01	受時遍緣法界留力發三誓翻業三障由心業力結	受 時 遍 緣 法 界 留 力 發 三 誓 翻 業 三 障 由 心 業 力 結 
X60n1112_001:0083c02	成種子自為戒體濟緣正恐執此圓義不分大小故	成 種 子 自 為 戒 體 濟 緣 正 恐 執 此 圓 義 不 分 大 小 故 
X60n1112_001:0083c03	乃問云發有分齊何須此示答云為成本宗分通義	乃 問 云 發 有 分 齊 何 須 此 示 答 云 為 成 本 宗 分 通 義 
X60n1112_001:0083c04	故乃至扶通深之部意為稟大之先容鈔敘發心為	故 乃 至 扶 通 深 之 部 意 為 稟 大 之 先 容 鈔 敘 發 心 為 
X60n1112_001:0083c05	成三聚此明隨行次對三身願行相扶彼此交映彼	成 三 聚 此 明 隨 行 次 對 三 身 願 行 相 扶 彼 此 交 映 彼 
X60n1112_001:0083c06	則期心後受此乃即行前修方見圓宗深有來致彼	則 期 心 後 受 此 乃 即 行 前 修 方 見 圓 宗 深 有 來 致 彼 
X60n1112_001:0083c07	云引余已決之文而生詰難未審此蓬為如何決又	云 引 余 已 決 之 文 而 生 詰 難 未 審 此 蓬 為 如 何 決 又 
X60n1112_001:0083c08	云為見講學蓬心曲見埋沒祖乘蓬心埋沒正是等	云 為 見 講 學 蓬 心 曲 見 埋 沒 祖 乘 蓬 心 埋 沒 正 是 等 
X60n1112_001:0083c09	汝何推講學汝之所說都是曲巧妄生穿鑿全非正	汝 何 推 講 學 汝 之 所 說 都 是 曲 巧 妄 生 穿 鑿 全 非 正 
X60n1112_001:0083c10	義記云即行前修汝謂白四納大既已納大如何論	義 記 云 即 行 前 修 汝 謂 白 四 納 大 既 已 納 大 如 何 論 
X60n1112_001:0083c11	即疏曰意在後也若非後受望誰為前是則無聚可	即 疏 曰 意 在 後 也 若 非 後 受 望 誰 為 前 是 則 無 聚 可 
X60n1112_001:0083c12	成無身可對若謂望果又且無因或云點小即大復	成 無 身 可 對 若 謂 望 果 又 且 無 因 或 云 點 小 即 大 復 
X60n1112_001:0083c13	自無小可點無小無大如何論即然如之即正是鼠	自 無 小 可 點 無 小 無 大 如 何 論 即 然 如 之 即 正 是 鼠 
X60n1112_001:0083c14	即但聞即名不識即義常思此行即是小行此即有	即 但 聞 即 名 不 識 即 義 常 思 此 行 即 是 小 行 此 即 有 
X60n1112_001:0083c15	小即是三聚即是大行此則有大在小思大妙行圓	小 即 是 三 聚 即 是 大 行 此 則 有 大 在 小 思 大 妙 行 圓 
X60n1112_001:0083c16	融與大相應然後納大正是祖意豈容妄說記云即	融 與 大 相 應 然 後 納 大 正 是 祖 意 豈 容 妄 說 記 云 即 
X60n1112_001:0083c17	行前修斯言在此下文之云當知即是發菩提修大	行 前 修 斯 言 在 此 下 文 之 云 當 知 即 是 發 菩 提 修 大 
X60n1112_001:0083c18	慈行求無上果此名實道此即大乘(當知即是此即大乘及諸此字	慈 行 求 無 上 果 此 名 實 道 此 即 大 乘 當 知 即 是 此 即 大 乘 及 諸 此 字 
X60n1112_001:0083c19	畢竟指誰)三世如來十方諸佛示生唱滅須開漸誘百千	畢 竟 指 誰 三 世 如 來 十方諸佛 示 生 唱 滅 須 開 漸 誘 百 千 
X60n1112_001:0083c20	方便無量法門種種施為莫不由此。	方 便 無 量 法 門 種 種 施 為 莫 不 由 此 
X60n1112_001:0083c21	又問云三聚三身為同為別語異義一三身即是三	又 問 云 三 聚 三 身 為 同 為 別 語 異 義 一 三 身 即 是 三 
X60n1112_001:0083c22	聚三誓心佛無差因果不二能如此者始名圓戒是	聚 三 誓 心 佛 無 差 因 果 不 二 能 如 此 者 始 名 圓 戒 是 
X60n1112_001:0083c23	波羅蜜即究竟木叉是知行人若發此心若獲此體	波 羅 蜜 即 究 竟 木 叉 是 知 行 人 若 發 此 心 若 獲 此 體 
X60n1112_001:0083c24	即是三世佛種如上記文若因若果自行化他皆是	即 是 三 世 佛 種 如 上 記 文 若 因 若 果 自 行 化 他 皆 是 
X60n1112_001:0084a01	願體具上諸法如地具桃李雖未出土枝葉婆娑何	願 體 具 上 諸 法 如 地 具 桃 李 雖 未 出 土 枝 葉 婆 娑 何 
X60n1112_001:0084a02	分修性善種子者即是此義斯乃直顯心業圓具之	分 修 性 善 種 子 者 即 是 此 義 斯 乃 直 顯 心 業 圓 具 之 
X60n1112_001:0084a03	相如何將為已成三聚若使即是究竟三聚亦須即	相 如 何 將 為 已 成 三 聚 若 使 即 是 究 竟 三 聚 亦 須 即 
X60n1112_001:0084a04	是究竟三佛無量法門皆悉現前是則天然彌勒自	是 究 竟 三 佛 無 量 法 門 皆 悉 現 前 是 則 天 然 彌 勒 自 
X60n1112_001:0084a05	然釋迦何故祖師下云修顯名法身佛豈以所發戒	然 釋 迦 何 故 祖 師 下 云 修 顯 名 法 身 佛 豈 以 所 發 戒 
X60n1112_001:0084a06	體為已成因果是以疏家恣妄此體約具明即囑令	體 為 已 成 因 果 是 以 疏 家 恣 妄 此 體 約 具 明 即 囑 令 
X60n1112_001:0084a07	常思記主云此行即白四所發聲聞戒也由契圓理	常 思 記 主 云 此 行 即 白 四 所 發 聲 聞 戒 也 由 契 圓 理 
X60n1112_001:0084a08	立誓稟受故此願體能具諸法前發戒緣中云此之	立 誓 稟 受 故 此 願 體 能 具 諸 法 前 發 戒 緣 中 云 此 之 
X60n1112_001:0084a09	戒法出家本務素非懷大定難容納深有由矣又又	戒 法 出 家 本 務 素 非 懷 大 定 難 容 納 深 有 由 矣 又 又 
X60n1112_001:0084a10	向不緣慈如何容大意在後也後結指云今識前緣	向 不 緣 慈 如 何 容 大 意 在 後 也 後 結 指 云 今 識 前 緣 
X60n1112_001:0084a11	修歸大乘城心於處故知祖師一部文始終在此約	修 歸 大 乘 城 心 於 處 故 知 祖 師 一 部 文 始 終 在 此 約 
X60n1112_001:0084a12	受約隨建立圓宗成就此行正為受大先容欲成三	受 約 隨 建 立 圓 宗 成 就 此 行 正 為 受 大 先 容 欲 成 三 
X60n1112_001:0084a13	聚妙戒全不能體佛法大意過過只欲白四受大癈	聚 妙 戒 全 不 能 體 佛 法 大 意 過 過 只 欲 白 四 受 大 癈 
X60n1112_001:0084a14	善戒四重彼云白四竟時思願滿足暢遂所期三聚	善 戒 四 重 彼 云 白 四 竟 時 思 願 滿 足 暢 遂 所 期 三 聚 
X60n1112_001:0084a15	究竟豈非上品受大成就之處。	究 竟 豈 非 上 品 受 大 成 就 之 處 
X60n1112_001:0084a16	問正白四時用緣慈否答不用緣無作業體從何而	問 正 白 四 時 用 緣 慈 否 答 不 用 緣 無 作 業 體 從 何 而 
X60n1112_001:0084a17	發若用緣者祖師疏中何言為向若在此時正為納	發 若 用 緣 者 祖 師 疏 中 何 言 為 向 若 在 此 時 正 為 納 
X60n1112_001:0084a18	大祖師何云意在後也今論受戒所立之誓不獨新	大 祖 師 何 云 意 在 後 也 今 論 受 戒 所 立 之 誓 不 獨 新 
X60n1112_001:0084a19	惡所發之戒不但律儀所行之行不專為己所成之	惡 所 發 之 戒 不 但 律 儀 所 行 之 行 不 專 為 己 所 成 之 
X60n1112_001:0084a20	果不住無學成此圓機堪受大鈔云為成三聚其意	果 不 住 無 學 成 此 圓 機 堪 受 大 鈔 云 為 成 三 聚 其 意 
X60n1112_001:0084a21	在豈不須受即便是耶如昔先師全以四分為大乘	在 豈 不 須 受 即 便 是 耶 如 昔 先 師 全 以 四 分 為 大 乘 
X60n1112_001:0084a22	故資持破云四分是大時何為小即應梵網體行全	故 資 持 破 云 四 分 是 大 時 何 為 小 即 應 梵 網 體 行 全 
X60n1112_001:0084a23	同菩薩聲聞二戒無別定知不爾是以祖師語意從	同 菩 薩 聲 聞 二 戒 無 別 定 知 不 爾 是 以 祖 師 語 意 從 
X60n1112_001:0084a24	容義當分通深扶發旨。	容 義 當 分 通 深 扶 發 旨 
X60n1112_001:0084b01	又問上品心者為全是大為分通耶答扶成本宗分	又 問 上 品 心 者 為 全 是 大 為 分 通 耶 答 扶 成 本 宗 分 
X60n1112_001:0084b02	通義耳今彼乃云上品受大雖本分通終為發局立	通 義 耳 今 彼 乃 云 上 品 受 大 雖 本 分 通 終 為 發 局 立 
X60n1112_001:0084b03	圓決發成於分通上品受小何云受大上品發心是	圓 決 發 成 於 分 通 上 品 受 小 何 云 受 大 上 品 發 心 是 
X60n1112_001:0084b04	圓義何云雖本分通更立圓決須知上品圓受正是要	圓 義 何 云 雖 本 分 通 更 立 圓 決 須 知 上 品 圓 受 正 是 要 
X60n1112_001:0084b05	顯本宗分通是則圓宗上品即是分通三無差別若	顯 本 宗 分 通 是 則 圓 宗 上 品 即 是 分 通 三無差別 若 
X60n1112_001:0084b06	大乘三聚本來自圓亦何須立只緣此大在小故由	大 乘 三 聚 本 來 自 圓 亦 何 須 立 只 緣 此 大 在 小 故 由 
X60n1112_001:0084b07	分通若使決得成大則亦不用別立故濟緣云既分	分 通 若 使 決 得 成 大 則 亦 不 用 別 立 故 濟 緣 云 既 分 
X60n1112_001:0084b08	通何須別立答義雖通大發終局小不可濫通故須	通 何 須 別 立 答 義 雖 通 大 發 終 局 小 不 可 濫 通 故 須 
X60n1112_001:0084b09	別立今詳彼說有三不可一則上品圓受為小非大	別 立 今 詳 彼 說 有 三 不 可 一 則 上 品 圓 受 為 小 非 大 
X60n1112_001:0084b10	二乃上品即圓不可分二三正決義通何云決發記	二 乃 上 品 即 圓 不 可 分 二 三 正 決 義 通 何 云 決 發 記 
X60n1112_001:0084b11	云發中局小可不明乎故知上品圓受舒之則包大	云 發 中 局 小 可 不 明 乎 故 知 上 品 圓 受 舒 之 則 包 大 
X60n1112_001:0084b12	小捲之則唯四分鈔云我今受戒為成三聚戒故三	小 捲 之 則 唯 四 分 鈔 云 我 今 受 戒 為 成 三 聚 戒 故 三 
X60n1112_001:0084b13	聚戒者是何法相於瓔珞經云菩薩三聚攝行斯盡	聚 戒 者 是 何 法 相 於 瓔 珞 經 云 菩 薩 三 聚 攝 行 斯 盡 
X60n1112_001:0084b14	攝律儀者律儀禁惡結業煩惱究竟斷故攝善法者	攝 律 儀 者 律 儀 禁 惡 結 業 煩 惱 究 竟 斷 故 攝 善 法 者 
X60n1112_001:0084b15	世出世間大小修證究竟修故攝眾生者一切含識	世出世間 大 小 修 證 究 竟 修 故 攝 眾 生 者 一 切 含 識 
X60n1112_001:0084b16	究竟度故若但因誓發心不曾依經稟細但是虗發	究 竟 度 故 若 但 因 誓 發 心 不 曾 依 經 稟 細 但 是 虗 發 
X60n1112_001:0084b17	解誓不成大戒持犯經令千里求師豈容變易今是	解 誓 不 成 大 戒 持 犯 經 令 千 里 求 師 豈 容 變 易 今 是 
X60n1112_001:0084b18	凡夫果證未有戒行亦虧雖一心要須力進古人所	凡 夫 果 證 未 有 戒 行 亦 虧 雖 一 心 要 須 力 進 古 人 所 
X60n1112_001:0084b19	謂解容圓發行為漸修。	謂 解 容 圓 發 行 為 漸 修 
X60n1112_001:0084b20	問既須漸修恐妨圓義答終日漸修終日圓進若不	問 既 須 漸 修 恐 妨 圓 義 答 終 日 漸 修 終 日 圓 進 若 不 
X60n1112_001:0084b21	爾者初住圓人尚有四十品無明未破還須漸斷豈	爾 者 初 住 圓 人 尚 有 四 十 品 無 明 未 破 還 須 漸 斷 豈 
