T14n0450_001:0404c11	  [  ; 灌頂經卷第十二]	 [灌頂經卷第十二] 
T14n0450_001:0407a06	反亂；憶念恭敬彼如來者，亦皆解脫。	反 亂 憶 念 恭 敬 彼 如 來 者 亦 皆 解 脫 
T14n0450_001:0407a07	「復次，曼殊室利！若有淨信善男子、善女人等，	 復 次 曼 殊 室 利 若 有 淨 信 善 男 子 善 女 人 等 
T14n0450_001:0407a08	乃至盡形不事餘天，惟當一心歸佛、法、	乃 至 盡 形 不 事 餘 天 惟 當 一 心 歸 佛 法 
T14n0450_001:0407a09	僧，受持禁戒，若五戒、十戒、菩薩四百戒、苾芻	僧 受 持 禁 戒 若 五 戒 十 戒 菩 薩 四 百 戒 苾 芻 
T14n0450_001:0407a10	二百五十戒、苾芻尼五百戒，於所受中或有	二百五十戒 苾 芻 尼 五 百 戒 於 所 受 中 或 有 
T14n0450_001:0407a11	毀犯，怖墮惡趣，若能專念彼佛名號，恭敬	毀 犯 怖 墮 惡 趣 若 能 專 念 彼 佛 名 號 恭 敬 
T14n0450_001:0407a12	供養者，必定不受三惡趣生。或有女人，臨	供 養 者 必 定 不 受 三 惡 趣 生 或 有 女 人 臨 
T14n0450_001:0407a13	當產時，受於極苦；若能至心稱名禮讚，恭	當 產 時 受 於 極 苦 若 能 至 心 稱 名 禮 讚 恭 
T14n0450_001:0407a14	敬供養彼如來者，眾苦皆除。所生之子，身分	敬 供 養 彼 如 來 者 眾 苦 皆 除 所 生 之 子 身 分 
T14n0450_001:0407a15	具足，形色端正，見者歡喜，利根聰明，安隱少	具 足 形 色 端 正 見 者 歡 喜 利 根 聰 明 安 隱 少 
T14n0450_001:0407a16	病，無有非人，奪其精氣。」	病 無 有 非 人 奪其精氣 
T14n0450_001:0407a17	爾時，世尊告阿難言：「如我稱揚彼佛世尊	爾 時 世 尊 告 阿 難 言 如 我 稱 揚 彼 佛 世 尊 
T14n0450_001:0407a18	藥師琉璃光如來所有功德，此是諸佛甚深	藥師琉璃光 如 來 所 有 功 德 此 是 諸 佛 甚 深 
T14n0450_001:0407a19	行處，難可解了，汝為信不？」阿難白言：「大德	行 處 難 可 解 了 汝 為 信 不 阿 難 白 言 大 德 
T14n0450_001:0407a20	世尊！我於如來所說契經，不生疑惑；所以	世 尊 我 於 如 來 所 說 契 經 不 生 疑 惑 所 以 
T14n0450_001:0407a21	者何？一切如來身語意業，無不清淨。世尊！	者 何 一 切 如 來 身語意業 無 不 清 淨 世 尊 
T14n0450_001:0407a22	此日月輪，可令墮落；妙高山王，可使傾動，	此 日 月 輪 可 令 墮 落 妙 高 山 王 可 使 傾 動 
T14n0450_001:0407a23	諸佛所言，無有異也。世尊！有諸眾生，信根	諸 佛 所 言 無 有 異 也 世 尊 有 諸 眾 生 信 根 
T14n0450_001:0407a24	不具，聞說諸佛甚深行處，作是思惟：云何	不 具 聞 說 諸 佛 甚 深 行 處 作是思惟 云 何 
T14n0450_001:0407a25	但念藥師琉璃光如來一佛名號，便獲爾所	但 念 藥師琉璃光 如 來 一 佛 名 號 便 獲 爾 所 
T14n0450_001:0407a26	功德勝利？由此不信，反生誹謗；彼於長	功 德 勝 利 由 此 不 信 反 生 誹 謗 彼 於 長 
T14n0450_001:0407a27	夜，失大利樂，墮諸惡趣，流轉無窮。」佛告阿	夜 失 大 利 樂 墮諸惡趣 流 轉 無 窮 佛 告 阿 
T14n0450_001:0407a28	難：「是諸有情，若聞世尊藥師琉璃光如來名	難 是 諸 有 情 若 聞 世 尊 藥師琉璃光 如 來 名 
T14n0450_001:0407a29	號，至心受持，不生疑惑，墮惡趣者，無有是	號 至 心 受 持 不 生 疑 惑 墮 惡 趣 者 無 有 是 
T14n0450_001:0407b01	處。阿難！此是諸佛甚深所行，難可信解；汝	處 阿 難 此 是 諸 佛 甚 深 所 行 難 可 信 解 汝 
T14n0450_001:0407b02	今能受，當知皆是如來威力。阿難！一切聲聞、	今 能 受 當 知 皆 是 如 來 威 力 阿 難 一 切 聲 聞 
T14n0450_001:0407b03	獨覺，及未登地諸菩薩等，皆悉不能如實信	獨 覺 及 未 登 地 諸 菩 薩 等 皆 悉 不 能 如 實 信 
T14n0450_001:0407b04	解；惟除一生所繫菩薩。阿難！人身難得，於	解 惟 除 一生所繫 菩 薩 阿 難 人 身 難 得 於 
T14n0450_001:0407b05	三寶中，信敬尊重，亦難可得；得聞世尊藥	三 寶 中 信 敬 尊 重 亦 難 可 得 得 聞 世 尊 藥 
T14n0450_001:0407b06	師琉璃光如來名號，復難於是。阿難！彼藥師	師 琉 璃 光 如 來 名 號 復 難 於 是 阿 難 彼 藥 師 
T14n0450_001:0407b07	琉璃光如來，無量菩薩行；無量善巧方便；無	琉 璃 光 如 來 無 量 菩 薩 行 無 量 善巧方便 無 
T14n0450_001:0407b08	量廣大願；我若一劫，若一劫餘而廣說者，劫	量 廣 大 願 我 若 一 劫 若 一 劫 餘 而 廣 說 者 劫 
T14n0450_001:0407b09	可速盡，彼佛行願，善巧方便，無有盡也。」	可 速 盡 彼 佛 行 願 善巧方便 無 有 盡 也 
T14n0450_001:0407b10	爾時，眾中有一菩薩摩訶薩，名曰救脫，即從	爾 時 眾 中 有 一 菩薩摩訶薩 名 曰 救 脫 即 從 
T14n0450_001:0407b11	座起，偏袒右肩，右膝著地，曲躬合掌而	座 起 偏袒右肩 右膝著地 曲 躬 合 掌 而 
T14n0450_001:0407b12	白佛言：「大德世尊！像法轉時，有諸眾生，為	白 佛 言 大 德 世 尊 像 法 轉 時 有 諸 眾 生 為 
T14n0450_001:0407b13	種種患之所困厄，長病羸瘦，不能飲食，喉	種 種 患 之 所 困 厄 長 病 羸 瘦 不 能 飲 食 喉 
T14n0450_001:0407b14	脣乾燥，見諸方暗，死相現前；父母、親屬、朋	脣 乾 燥 見 諸 方 暗 死 相 現 前 父 母 親 屬 朋 
T14n0450_001:0407b15	友、知識，啼泣圍繞。然彼自身，臥在本處，見	友 知 識 啼 泣 圍 繞 然 彼 自 身 臥 在 本 處 見 
T14n0450_001:0407b16	琰魔使，引其神識，至于琰魔法王之前；然	琰 魔 使 引 其 神 識 至 于 琰 魔 法 王 之 前 然 
T14n0450_001:0407b17	諸有情，有俱生神，隨其所作，若罪若福，皆具	諸 有 情 有 俱 生 神 隨 其 所 作 若 罪 若 福 皆 具 
T14n0450_001:0407b18	書之，盡持授與琰魔法王。爾時，彼王推問	書 之 盡 持 授 與 琰 魔 法 王 爾 時 彼 王 推 問 
T14n0450_001:0407b19	其人，算計所作，隨其罪福而處斷之。時，	其 人 算 計 所 作 隨 其 罪 福 而 處 斷 之 時 
T14n0450_001:0407b20	彼病人親屬、知識，若能為彼歸依世尊藥師	彼 病 人 親 屬 知 識 若 能 為 彼 歸 依 世 尊 藥 師 
T14n0450_001:0407b21	琉璃光如來，請諸眾僧，轉讀此經，然七層	琉 璃 光 如 來 請 諸 眾 僧 轉 讀 此 經 然 七 層 
T14n0450_001:0407b22	之燈，懸五色續命神幡，或有是處，彼識得	之 燈 懸 五 色 續 命 神 幡 或 有 是 處 彼 識 得 
T14n0450_001:0407b23	還。如在夢中，明了自見；或經七日，或二十	還 如 在 夢 中 明 了 自 見 或 經 七 日 或 二 十 
T14n0450_001:0407b24	一日，或三十五日，或四十九日，彼識還時，如	一 日 或 三 十 五 日 或 四 十 九 日 彼 識 還 時 如 
T14n0450_001:0407b25	從夢覺，皆自憶知善不善業所得果報。由	從 夢 覺 皆 自 憶 知 善不善業 所 得 果 報 由 
T14n0450_001:0407b26	自證見業果報故，乃至命難，亦不造作諸	自 證 見 業 果 報 故 乃 至 命 難 亦 不 造 作 諸 
T14n0450_001:0407b27	惡之業。是故，淨信善男子、善女人等，皆應	惡 之 業 是 故 淨 信 善 男 子 善 女 人 等 皆 應 
T14n0450_001:0407b28	受持藥師琉璃光如來名號，隨力所能，恭敬	受 持 藥師琉璃光 如 來 名 號 隨力所能 恭 敬 
T14n0450_001:0407b29	供養。」	供 養 
T14n0450_001:0407c01	爾時，阿難問救脫菩薩曰：「善男子！應云何	爾 時 阿 難 問 救 脫 菩 薩 曰 善 男 子 應 云 何 
T14n0450_001:0407c02	恭敬供養彼世尊藥師琉璃光如來續命幡	恭敬供養 彼 世 尊 藥師琉璃光 如 來 續 命 幡 
T14n0450_001:0407c03	燈，復云何造？」救脫菩薩言：「大德！若有病人，	燈 復 云 何 造 救 脫 菩 薩 言 大 德 若 有 病 人 
T14n0450_001:0407c04	欲脫病苦，當為其人，七日七夜，受持八分	欲 脫 病 苦 當 為 其 人 七日七夜 受 持 八 分 
T14n0450_001:0407c05	齋戒，應以飲食及餘資具，隨力所辦，供養	齋 戒 應 以 飲 食 及 餘 資 具 隨 力 所 辦 供 養 
T14n0450_001:0407c06	苾芻僧；晝夜六時，禮拜供養彼世尊藥師琉	苾 芻 僧 晝 夜 六 時 禮拜供養 彼 世 尊 藥 師 琉 
T14n0450_001:0407c07	璃光如來；讀誦此經四十九遍；然四十九	璃 光 如 來 讀 誦 此 經 四 十 九 遍 然 四 十 九 
T14n0450_001:0407c08	燈；造彼如來形像七軀，一一像前各置七	燈 造 彼 如 來 形 像 七 軀 一 一 像 前 各 置 七 
T14n0450_001:0407c09	燈，一一燈量大如車輪，乃至四十九日，光明	燈 一 一 燈 量 大 如 車 輪 乃 至 四 十 九 日 光 明 
T14n0450_001:0407c10	不絕；造五色綵幡，長四十九搩手，應放	不 絕 造 五 色 綵 幡 長 四 十 九 搩 手 應 放 
T14n0450_001:0407c11	雜類眾生至四十九；可得過度危厄之難，	雜 類 眾 生 至 四 十 九 可 得 過 度 危 厄 之 難 
T14n0450_001:0407c12	不為諸橫惡鬼所持。	不 為 諸 橫 惡 鬼 所 持 
T14n0450_001:0407c13	「復次，阿難！若剎帝利灌頂王等，災難起時，所	 復 次 阿 難 若 剎 帝 利 灌 頂 王 等 災 難 起 時 所 
T14n0450_001:0407c14	謂人眾疾疫難，他國侵逼難，自界叛逆難，星	謂 人 眾 疾 疫 難 他 國 侵 逼 難 自 界 叛 逆 難 星 
T14n0450_001:0407c15	宿變怪難，日月薄蝕難，非時風雨難，過時	宿 變 怪 難 日 月 薄 蝕 難 非 時 風 雨 難 過 時 
T14n0450_001:0407c16	不雨難。彼剎帝利灌頂王等，爾時應於一	不 雨 難 彼 剎 帝 利 灌 頂 王 等 爾 時 應 於 一 
T14n0450_001:0407c17	切有情起慈悲心，赦諸繫閉；依前所說供	切 有 情 起 慈 悲 心 赦 諸 繫 閉 依 前 所 說 供 
T14n0450_001:0407c18	養之法，供養彼世尊藥師琉璃光如來。由此	養 之 法 供 養 彼 世 尊 藥師琉璃光 如 來 由 此 
T14n0450_001:0407c19	善根，及彼如來本願力故，令其國界即得安	善 根 及 彼 如 來 本 願 力 故 令 其 國 界 即 得 安 
T14n0450_001:0407c20	隱：風雨順時，穀稼成熟；一切有情無病歡樂；	隱 風 雨 順 時 穀 稼 成 熟 一切有情 無 病 歡 樂 
T14n0450_001:0407c21	於其國中，無有暴虐藥叉等神惱有情	於 其 國 中 無 有 暴 虐 藥 叉 等 神 惱 有 情 
T14n0450_001:0407c22	者；一切惡相，皆即隱沒；而剎帝利灌頂王等，	者 一 切 惡 相 皆 即 隱 沒 而 剎 帝 利 灌 頂 王 等 
T14n0450_001:0407c23	壽命色力，無病自在，皆得增益。阿難！若帝后、	壽 命 色 力 無 病 自 在 皆 得 增 益 阿 難 若 帝 后 
T14n0450_001:0407c24	妃主、儲君、王子、大臣、輔相、中宮婇女、百官、黎	妃 主 儲 君 王 子 大 臣 輔 相 中 宮 婇 女 百 官 黎 
T14n0450_001:0407c25	庶，為病所苦，及餘厄難；亦應造立五色神	庶 為 病 所 苦 及 餘 厄 難 亦 應 造 立 五 色 神 
T14n0450_001:0407c26	幡，然燈續明，放諸生命，散雜色華，燒眾	幡 然 燈 續 明 放 諸 生 命 散 雜 色 華 燒 眾 
T14n0450_001:0407c27	名香，病得除愈，眾難解脫。」	名 香 病 得 除 愈 眾 難 解 脫 
T14n0450_001:0407c28	爾時，阿難問救脫菩薩言：「善男子！云何已	爾 時 阿 難 問 救 脫 菩 薩 言 善 男 子 云 何 已 
T14n0450_001:0407c29	盡之命而可增益？」救脫菩薩言：「大德！汝豈	盡 之 命 而 可 增 益 救 脫 菩 薩 言 大 德 汝 豈 
T14n0450_001:0408a01	不聞如來說有九橫死耶？是故勸造續	不 聞 如 來 說 有 九 橫 死 耶 是 故 勸 造 續 
T14n0450_001:0408a02	命幡燈，修諸福德；以修福故，盡其壽命，	命 幡 燈 修 諸 福 德 以 修 福 故 盡 其 壽 命 
T14n0450_001:0408a03	不經苦患。」阿難問言：「九橫云何？」救脫菩薩	不 經 苦 患 阿 難 問 言 九 橫 云 何 救 脫 菩 薩 
T14n0450_001:0408a04	言：「若諸有情，得病雖輕，然無醫藥及看病	言 若 諸 有 情 得 病 雖 輕 然 無 醫 藥 及 看 病 
T14n0450_001:0408a05	者，設復遇醫，授以非藥，實不應死而便	者 設 復 遇 醫 授 以 非 藥 實 不 應 死 而 便 
T14n0450_001:0408a06	橫死。又信世間邪魔、外道、妖[卄/(阿可+辛)/女]之師，妄說	橫 死 又 信 世 間 邪 魔 外 道 妖 [卄阿可辛女] 之 師 妄 說 
T14n0450_001:0408a07	禍福，便生恐動，心不自正，卜問覓禍，殺種	禍 福 便 生 恐 動 心 不 自 正 卜 問 覓 禍 殺 種 
T14n0450_001:0408a08	種眾生，解奏神明，呼諸魍魎，請乞福祐，欲	種 眾 生 解 奏 神 明 呼 諸 魍 魎 請 乞 福 祐 欲 
T14n0450_001:0408a09	冀延年，終不能得；愚癡迷惑，信邪倒見，遂	冀 延 年 終 不 能 得 愚 癡 迷 惑 信 邪 倒 見 遂 
T14n0450_001:0408a10	令橫死，入於地獄，無有出期，是名初橫。二	令 橫 死 入 於 地 獄 無 有 出 期 是 名 初 橫 二 
T14n0450_001:0408a11	者，橫被王法之所誅戮。三者，畋獵嬉戲，耽	者 橫 被 王 法 之 所 誅 戮 三 者 畋 獵 嬉 戲 耽 
T14n0450_001:0408a12	婬嗜酒，放逸無度，橫為非人奪其精氣。	婬 嗜 酒 放 逸 無 度 橫 為 非 人 奪其精氣 
T14n0450_001:0408a13	四者，橫為火焚。五者，橫為水溺。六者，橫為	四 者 橫 為 火 焚 五 者 橫 為 水 溺 六 者 橫 為 
T14n0450_001:0408a14	種種惡獸所噉。七者，橫墮山崖。八者，橫為毒	種 種 惡 獸 所 噉 七 者 橫 墮 山 崖 八 者 橫 為 毒 
T14n0450_001:0408a15	藥、厭禱、呪詛、起屍鬼等之所中害。九者，飢渴	藥 厭 禱 呪 詛 起 屍 鬼 等 之 所 中 害 九 者 飢 渴 
T14n0450_001:0408a16	所困，不得飲食而便橫死。是為如來略說	所 困 不 得 飲 食 而 便 橫 死 是 為 如 來 略 說 
T14n0450_001:0408a17	橫死，有此九種。其餘復有無量諸橫，難可	橫 死 有 此 九 種 其 餘 復 有 無 量 諸 橫 難 可 
T14n0450_001:0408a18	具說。	具 說 
T14n0450_001:0408a19	「復次，阿難！彼琰魔王主領世間名籍之記。若	 復 次 阿 難 彼 琰 魔 王 主 領 世 間 名 籍 之 記 若 
T14n0450_001:0408a20	諸有情，不孝五逆，破辱三寶，壞君臣法，毀	諸 有 情 不 孝 五 逆 破 辱 三 寶 壞 君 臣 法 毀 
T14n0450_001:0408a21	於信戒，琰魔法王，隨罪輕重，考而罰之。是	於 信 戒 琰 魔 法 王 隨 罪 輕 重 考 而 罰 之 是 
T14n0450_001:0408a22	故我今勸諸有情，然燈造幡，放生修福，	故 我 今 勸 諸 有 情 然 燈 造 幡 放 生 修 福 
T14n0450_001:0408a23	令度苦厄，不遭眾難。」	令 度 苦 厄 不 遭 眾 難 
T14n0450_001:0408a24	爾時，眾中有十二藥叉大將，俱在會坐，所謂：	爾 時 眾 中 有 十 二 藥 叉 大 將 俱 在 會 坐 所 謂 
T14n0450_001:0408a25	　宮毘羅大將，　　伐折羅大將，	 宮 毘 羅 大 將 伐 折 羅 大 將 
T14n0450_001:0408a26	　迷企羅大將，　　安底羅大將，	 迷 企 羅 大 將 安 底 羅 大 將 
T14n0450_001:0408a27	　頞儞羅大將，　　珊底羅大將，	 頞 儞 羅 大 將 珊 底 羅 大 將 
T14n0450_001:0408a28	　因達羅大將，　　波夷羅大將，	 因 達 羅 大 將 波 夷 羅 大 將 
T14n0450_001:0408a29	　摩虎羅大將，　　真達羅大將，	 摩 虎 羅 大 將 真 達 羅 大 將 
T14n0450_001:0408b01	　招杜羅大將，　　毘羯羅大將。	 招 杜 羅 大 將 毘 羯 羅 大 將 
T14n0450_001:0408b02	此十二藥叉大將，一一各有七千藥叉以為	此 十 二 藥 叉 大 將 一 一 各 有 七 千 藥 叉 以 為 
T14n0450_001:0408b03	眷屬，同時舉聲白佛言：「世尊！我等今者，蒙	眷 屬 同 時 舉 聲 白 佛 言 世 尊 我 等 今 者 蒙 
T14n0450_001:0408b04	佛威力，得聞世尊藥師琉璃光如來名號，不	佛 威 力 得 聞 世 尊 藥師琉璃光 如 來 名 號 不 
T14n0450_001:0408b05	復更有惡趣之怖。我等相率，皆同一心，乃	復 更 有 惡 趣 之 怖 我 等 相 率 皆 同 一 心 乃 
T14n0450_001:0408b06	至盡形歸佛法僧，誓當荷負一切有情，為	至 盡 形 歸 佛 法 僧 誓 當 荷 負 一切有情 為 
T14n0450_001:0408b07	作義利饒益安樂。隨於何等村城、國邑、空閑	作 義 利 饒 益 安 樂 隨 於 何 等 村 城 國 邑 空 閑 
T14n0450_001:0408b08	林中，若有流布此經，或復受持藥師琉璃	林 中 若 有 流 布 此 經 或 復 受 持 藥 師 琉 璃 
T14n0450_001:0408b09	光如來名號，恭敬供養者，我等眷屬衛護是	光 如 來 名 號 恭敬供養 者 我 等 眷 屬 衛 護 是 
T14n0450_001:0408b10	人，皆使解脫一切苦難；諸有願求，悉令滿	人 皆 使 解 脫 一 切 苦 難 諸 有 願 求 悉 令 滿 
T14n0450_001:0408b11	足。或有疾厄求度脫者，亦應讀誦此	足 或 有 疾 厄 求 度 脫 者 亦 應 讀 誦 此 
T14n0450_001:0408b12	經，以五色縷，結我名字，得如願已，然後解	經 以 五 色 縷 結 我 名 字 得 如 願 已 然 後 解 
T14n0450_001:0408b13	結。」	結 
T14n0450_001:0408b14	爾時，世尊讚諸藥叉大將言：「善哉！善哉！大藥	爾 時 世 尊 讚 諸 藥 叉 大 將 言 善 哉 善 哉 大 藥 
T14n0450_001:0408b15	叉將！汝等念報世尊藥師琉璃光如來恩德	叉 將 汝 等 念 報 世 尊 藥師琉璃光 如 來 恩 德 
T14n0450_001:0408b16	者，常應如是利益安樂一切有情。」	者 常 應 如 是 利益安樂 一切有情 
T14n0450_001:0408b17	爾時，阿難白佛言：「世尊！當何名此法門？我	爾 時 阿 難 白 佛 言 世 尊 當 何 名 此 法 門 我 
T14n0450_001:0408b18	等云何奉持？」佛告阿難：「此法門名說藥師琉	等 云 何 奉 持 佛 告 阿 難 此 法 門 名 說 藥 師 琉 
T14n0450_001:0408b19	璃光如來本願功德；亦名說十二神將饒益	璃 光 如 來 本 願 功 德 亦 名 說 十 二 神 將 饒 益 
T14n0450_001:0408b20	有情結願神呪；亦名拔除一切業障；應如是	有 情 結 願 神 呪 亦 名 拔 除 一 切 業 障 應 如 是 
T14n0450_001:0408b21	持。」時薄伽梵說是語已，諸菩薩摩訶薩，及大	持 時 薄 伽 梵 說 是 語 已 諸 菩薩摩訶薩 及 大 
T14n0450_001:0408b22	聲聞，國王、大臣、婆羅門、居士，天、龍、藥叉、揵	聲 聞 國 王 大 臣 婆 羅 門 居 士 天 龍 藥 叉 揵 
T14n0450_001:0408b23	達縛、阿素洛、揭路荼、緊捺洛、莫呼洛伽，人、非人	達 縛 阿 素 洛 揭 路 荼 緊 捺 洛 莫呼洛伽 人 非 人 
T14n0450_001:0408b24	等，一切大眾，聞佛所說，皆大歡喜，信受奉行。	等 一 切 大 眾 聞 佛 所 說 皆大歡喜 信受奉行 
T14n0450_001:0408b25	藥師琉璃光如來本願功德經	藥師琉璃光 如 來 本 願 功 德 經 
