T85n2789_001:0644c17	律戒本疏	律 戒 本 疏 
T85n2789_001:0647a18	欲明此人有此重病都不自憶。是比丘是故	欲 明 此 人 有 此 重 病 都 不 自 憶 是 比 丘 是 故 
T85n2789_001:0647a19	不犯。無主物作有主人想取五錢。犯方便重	不 犯 無 主 物 作 有 主 人 想 取 五 錢 犯 方 便 重 
T85n2789_001:0647a20	偷蘭罪。起由心故重。有主物疑無主物。此二	偷 蘭 罪 起 由 心 故 重 有 主 物 疑 無 主 物 此 二 
T85n2789_001:0647a21	得五錢。犯方便輕偷蘭。由心疑故輕。若有主	得 五 錢 犯 方 便 輕 偷 蘭 由 心 疑 故 輕 若 有 主 
T85n2789_001:0647a22	物剋心得四錢。犯究竟重偷蘭。若減四錢犯	物 剋 心 得 四 錢 犯 究 竟 重 偷 蘭 若 減 四 錢 犯 
T85n2789_001:0647a23	究竟輕偷蘭。若無主作主想。取減五錢犯方	究 竟 輕 偷 蘭 若 無 主 作 主 想 取 減 五 錢 犯 方 
T85n2789_001:0647a24	便重究竟突吉羅罪。若有主物疑。若無主物	便 重 究 竟 突 吉 羅 罪 若 有 主 物 疑 若 無 主 物 
T85n2789_001:0647a25	疑。此二物取減五錢。犯方便輕突吉羅。雖輕	疑 此 二 物 取 減 五 錢 犯 方 便 輕 突 吉 羅 雖 輕 
T85n2789_001:0647a26	亦應對手三悔。若非人物作非人物想盜得	亦 應 對 手 三 悔 若 非 人 物 作 非 人 物 想 盜 得 
T85n2789_001:0647a27	五錢。犯究竟偷蘭少輕。盜人四錢。若實是糞	五 錢 犯 究 竟 偷 蘭 少 輕 盜 人 四 錢 若 實 是 糞 
T85n2789_001:0647a28	掃物作非人物想取得五錢。犯方便重突吉	掃 物 作 非 人 物 想 取 得 五 錢 犯 方 便 重 突 吉 
T85n2789_001:0647a29	羅三悔。若非人物疑無主物疑。此二盜得五	羅 三 悔 若 非 人 物 疑 無 主 物 疑 此 二 盜 得 五 
T85n2789_001:0647b01	錢。犯方便突吉羅少輕。若非人物作非人物	錢 犯 方 便 突 吉 羅 少 輕 若 非 人 物 作 非 人 物 
T85n2789_001:0647b02	想。剋心盜得四錢。犯究竟重突吉羅一悔。取	想 剋 心 盜 得 四 錢 犯 究 竟 重 突 吉 羅 一 悔 取 
T85n2789_001:0647b03	得減四錢以下。犯輕突吉羅亦一悔。若無主	得 減 四 錢 以 下 犯 輕 突 吉 羅 亦 一 悔 若 無 主 
T85n2789_001:0647b04	物作非人想。取減五錢。若非人物疑無主物	物 作 非 人 想 取 減 五 錢 若 非 人 物 疑 無 主 物 
T85n2789_001:0647b05	疑。此三悉犯方便輕突吉。若盜畜生物滿五	疑 此 三 悉 犯 方 便 輕 突 吉 若 盜 畜 生 物 滿 五 
T85n2789_001:0647b06	錢。犯究竟吉羅一悔。取減五錢亦一悔。雖	錢 犯 究 竟 吉 羅 一 悔 取 減 五 錢 亦 一 悔 雖 
T85n2789_001:0647b07	有異突吉羅是極下之罪。更無異悔法故耳。	有 異 突 吉 羅 是 極 下 之 罪 更 無 異 悔 法 故 耳 
T85n2789_001:0647b08	正似盜人五錢犯滅擯。乃至一主物百千豈	正 似 盜 人 五 錢 犯 滅 擯 乃 至 一 主 物 百 千 豈 
T85n2789_001:0647b09	可非重亦因滅擯以上。更無治罪法故。盜取	可 非 重 亦 因 滅 擯 以 上 更 無 治 罪 法 故 盜 取 
T85n2789_001:0647b10	人非人畜生三種物。皆具五緣成罪得知。皆	人 非 人 畜 生 三 種 物 皆 具 五 緣 成 罪 得 知 皆 
T85n2789_001:0647b11	因究竟。	因 究 竟 
T85n2789_001:0647b12	殺戒第三　就此戒中亦有五段文。第一從	殺 戒 第 三 就 此 戒 中 亦 有 五 段 文 第 一 從 
T85n2789_001:0647b13	初訖正法久住已來。明起過因緣。第二從欲	初 訖 正法久住 已 來 明 起 過 因 緣 第 二 從 欲 
T85n2789_001:0647b14	戒者以下訖不共住已來。明正制戒本。第三	戒 者 以 下 訖 不 共 住 已 來 明 正 制 戒 本 第 三 
T85n2789_001:0647b15	從比丘義如上以下訖非人疑偷蘭遮已來。	從 比 丘 義 如 上 以 下 訖 非 人 疑 偷 蘭 遮 已 來 
T85n2789_001:0647b16	明廣解。第四從比丘尼以下訖足謂為犯已	明 廣 解 第 四 從 比 丘 尼 以 下 訖 足 謂 為 犯 已 
T85n2789_001:0647b17	來。明通結五眾。第五從不犯者以下訖未。明	來 明 通 結 五 眾 第 五 從 不 犯 者 以 下 訖 未 明 
T85n2789_001:0647b18	開聽不犯。就因緣中有二。第一從初訖歎思	開 聽 不 犯 就 因 緣 中 有 二 第 一 從 初 訖 歎 思 
T85n2789_001:0647b19	惟不淨行已來。明如來說不淨觀能除其患。	惟 不 淨 行 已 來 明 如 來 說 不 淨 觀 能 除 其 患 
T85n2789_001:0647b20	第二從諸比丘作是念以下因緣盡已來。明	第 二 從 諸 比 丘 作 是 念 以 下 因 緣 盡 已 來 明 
T85n2789_001:0647b21	諸比丘順教修行。又說不淨行者直說不淨	諸 比 丘 順 教 修 行 又 說 不 淨 行 者 直 說 不 淨 
T85n2789_001:0647b22	體狀貌。明不淨有四種。一因不淨。過去無明	體 狀 貌 明 不 淨 有 四 種 一 因 不 淨 過 去 無 明 
T85n2789_001:0647b23	行是。二種子不淨。父母精血是。三所依處不	行 是 二 種 子 不 淨 父 母 精 血 是 三 所 依 處 不 
T85n2789_001:0647b24	淨者。依在生熟二藏中間是。四體不淨。三十	淨 者 依 在 生 熟 二 藏 中 間 是 四 體 不 淨 三 十 
T85n2789_001:0647b25	六物是。歎不淨行者。歎不淨理能除或到。歎	六 物 是 歎 不 淨 行 者 歎 不 淨 理 能 除 或 到 歎 
T85n2789_001:0647b26	思惟不淨者。此歎能行不淨觀人。就第二順	思 惟 不 淨 者 此 歎 能 行 不 淨 觀 人 就 第 二 順 
T85n2789_001:0647b27	教修行中有三。第一初說不復往返已來。明	教 修 行 中 有 三 第 一 初 說 不 復 往 返 已 來 明 
T85n2789_001:0647b28	修不淨觀因緣。第二從爾時毘舍離以下訖	修不淨觀 因 緣 第 二 從 爾 時 毘 舍 離 以 下 訖 
T85n2789_001:0647b29	住於果證已來。明眾僧集會因緣。第三從	住 於 果 證 已 來 明 眾 僧 集 會 因 緣 第 三 從 
T85n2789_001:0647c01	爾時世尊已此因緣以下訖正法久住已來。	爾 時 世 尊 已 此 因 緣 以 下 訖 正法久住 已 來 
T85n2789_001:0647c02	明舉過呵嘖。就第一修不淨觀中有三子句。	明 舉 過 呵 嘖 就 第 一 修不淨觀 中 有 三 子 句 
T85n2789_001:0647c03	第一從諸比丘作是念以下訖歎死勸死講死	第 一 從 諸 比 丘 作 是 念 以 下 訖 歎 死 勸 死 講 死 
T85n2789_001:0647c04	已來。明順教修行便生厭患身命。第二從時	已 來 明 順 教 修 行 便 生 厭 患 身 命 第 二 從 時 
T85n2789_001:0647c05	有比丘字未力伽難提以下訖狀若塚間已	有 比 丘 字 未 力 伽 難 提 以 下 訖 狀 若 塚 間 已 
T85n2789_001:0647c06	來。正明起過。第三從有諸居士以下訖不復	來 正 明 起 過 第 三 從 有 諸 居 士 以 下 訖 不 復 
T85n2789_001:0647c07	往返已來。明俗人譏嫌。因不淨觀六十人捨	往 返 已 來 明 俗 人 譏 嫌 因 不 淨 觀 六 十 人 捨 
T85n2789_001:0647c08	身者。欲明此人過去時有其誓願。要因此觀	身 者 欲 明 此 人 過 去 時 有 其 誓 願 要 因 此 觀 
T85n2789_001:0647c09	得道而復捨身。是故今日受其昔願。就第二	得 道 而 復 捨 身 是 故 今 日 受 其 昔 願 就 第 二 
T85n2789_001:0647c10	集會中有四子句。第一從初訖皆不復見已	集 會 中 有 四 子 句 第 一 從 初 訖 皆 不 復 見 已 
T85n2789_001:0647c11	來。明大眾集會。第二從爾時世尊知而故問	來 明 大 眾 集 會 第 二 從 爾 時 世 尊 知 而 故 問 
T85n2789_001:0647c12	以下訖皆不見已來。明如來問眾僧所以減	以 下 訖 皆 不 見 已 來 明 如 來 問 眾 僧 所 以 減 
T85n2789_001:0647c13	少。第三從時阿難以下訖是已少耳已來。明	少 第 三 從 時 阿 難 以 下 訖 是 已 少 耳 已 來 明 
T85n2789_001:0647c14	阿難具答如來眾少之所由。第四從唯願世尊	阿 難 具 答 如 來 眾 少 之 所 由 第 四 從 唯 願 世 尊 
T85n2789_001:0647c15	以下訖末。明請如來轉觀。就轉觀中有四子	以 下 訖 末 明 請 如 來 轉 觀 就 轉 觀 中 有 四 子 
T85n2789_001:0647c16	句。第從唯願以下訖永無疑或已來。明請轉	句 第 從 唯 願 以 下 訖 永 無 疑 或 已 來 明 請 轉 
T85n2789_001:0647c17	觀。第二從佛告阿難以下訖願聖知時已來。	觀 第 二 從 佛 告 阿 難 以 下 訖 願 聖 知 時 已 來 
T85n2789_001:0647c18	明遂其請勅眾集會講堂。第三從爾時世尊	明 遂 其 請 勅 眾 集 會 講 堂 第 三 從 爾 時 世 尊 
T85n2789_001:0647c19	即詣講堂以下訖歎修阿那般那三昧已來。	即 詣 講 堂 以 下 訖 歎 修 阿那般那 三 昧 已 來 
T85n2789_001:0647c20	正明轉觀。第四從彼諸比丘以下訖住於果	正 明 轉 觀 第 四 從 彼 諸 比 丘 以 下 訖 住 於 果 
T85n2789_001:0647c21	證已來。明諸比丘順教修行得於果證。從初	證 已 來 明 諸 比 丘 順 教 修 行 得 於 果 證 從 初 
T85n2789_001:0647c22	識至後識者。始託父母時是初識。終盡一念	識 至 後 識 者 始 託 父 母 時 是 初 識 終 盡 一 念 
T85n2789_001:0647c23	是後識。中間相續不斷故稱一者。斷此相續	是 後 識 中 間 相續不斷 故 稱 一 者 斷 此 相 續 
T85n2789_001:0647c24	故稱為殺。若殺天得偷蘭罪者。明天難可得	故 稱 為 殺 若 殺 天 得 偷 蘭 罪 者 明 天 難 可 得 
T85n2789_001:0647c25	殺故不犯重。人非人想偷蘭遮者。此文悟應	殺 故 不 犯 重 人 非 人 想 偷 蘭 遮 者 此 文 悟 應 
T85n2789_001:0647c26	得突吉羅。何以知之。此罪不於人邊得。從	得 突 吉 羅 何 以 知 之 此 罪 不 於 人 邊 得 從 
T85n2789_001:0647c27	非人邊取想。而不斷命。但有方便欲作殺心	非 人 邊 取 想 而 不 斷 命 但 有 方 便 欲 作 殺 心 
T85n2789_001:0647c28	得突吉羅。於人邊無殺心。不應得偷蘭遮罪。	得 突 吉 羅 於 人 邊 無 殺 心 不 應 得 偷 蘭 遮 罪 
T85n2789_001:0647c29	人作非人想殺。應犯方便突吉羅。非人作人	人 作 非 人 想 殺 應 犯 方 便 突 吉 羅 非 人 作 人 
T85n2789_001:0648a01	想若殺。犯方便重偷蘭。若人非人生疑若殺。	想 若 殺 犯 方 便 重 偷 蘭 若 人 非 人 生 疑 若 殺 
T85n2789_001:0648a02	犯方便輕偷蘭。若非人作非人想若殺。犯究	犯 方 便 輕 偷 蘭 若 非 人 作 非 人 想 若 殺 犯 究 
T85n2789_001:0648a03	竟重偷蘭。若殺人非人畜生各具四緣。四緣	竟 重 偷 蘭 若 殺 人 非 人 畜 生 各 具 四 緣 四 緣 
T85n2789_001:0648a04	成罪得知。皆犯究竟也。	成 罪 得 知 皆 犯 究 竟 也 
T85n2789_001:0648a05	妄語戒第四　聖人身證境法境心俱實。得	妄 語 戒 第 四 聖 人 身 證 境 法 境 心 俱 實 得 
T85n2789_001:0648a06	作第一大實語。凡夫身不證法自知境心俱	作 第 一 大 實 語 凡 夫 身 不 證 法 自 知 境 心 俱 
T85n2789_001:0648a07	虛。妄稱得聖得作第一妄語。可有五種料簡。	虛 妄 稱 得 聖 得 作 第 一 妄 語 可 有 五 種 料 簡 
T85n2789_001:0648a08	第一列妄語有五種。并配謗人犯罪作不一	第 一 列 妄 語 有 五 種 并 配 謗 人 犯 罪 作 不 一 
T85n2789_001:0648a09	類。第二明聖人有兩種實語故。則無五種妄	類 第 二 明 聖 人 有 兩 種 實 語 故 則 無 五 種 妄 
T85n2789_001:0648a10	語之罪。第三解五種妄語中。初偏妄語并誑	語 之 罪 第 三 解 五 種 妄 語 中 初 偏 妄 語 并 誑 
T85n2789_001:0648a11	非人得聖。此二妄語要是境心俱虛成妄語。	非 人 得 聖 此 二 妄 語 要 是 境 心 俱 虛 成 妄 語 
T85n2789_001:0648a12	餘之三種妄語但取心虛。不驗境之虛實。第	餘 之 三 種 妄 語 但 取 心 虛 不 驗 境 之 虛 實 第 
T85n2789_001:0648a13	四解妄語。誑人不待前人生信則成妄語。第	四 解 妄 語 誑 人 不 待 前 人 生 信 則 成 妄 語 第 
T85n2789_001:0648a14	五解自稱得聖無根謗人犯重。此二戒本中。	五 解 自 稱 得 聖 無 根 謗 人 犯 重 此 二 戒 本 中 
T85n2789_001:0648a15	安自言。引虛餘戒之本闕不安之。第一列妄	安 自 言 引 虛 餘 戒 之 本 闕 不 安 之 第 一 列 妄 
T85n2789_001:0648a16	語有五種。并列謗人之罪配遍有不相似。初	語 有 五 種 并 列 謗 人 之 罪 配 遍 有 不 相 似 初 
T85n2789_001:0648a17	妄語波羅夷。誑人得聖是。第二妄語僧殘。無	妄 語 波 羅 夷 誑 人 得 聖 是 第 二 妄 語 僧 殘 無 
T85n2789_001:0648a18	根謗人犯初遍是。第三妄語偷蘭。誑非人得	根 謗 人 犯 初 遍 是 第 三 妄 語 偷 蘭 誑 非 人 得 
T85n2789_001:0648a19	聖是。第四妄語波夜提。九十事初故妄語等	聖 是 第 四 妄 語 波 夜 提 九 十 事 初 故 妄 語 等 
T85n2789_001:0648a20	謗人第二遍是。第五戲咲妄語并謗人犯。下	謗 人 第 二 遍 是 第 五 戲 咲 妄 語 并 謗 人 犯 下 
T85n2789_001:0648a21	三遍犯突吉羅是。雖同謗人犯罪輕重。配遍	三 遍 犯 突 吉 羅 是 雖 同 謗 人 犯 罪 輕 重 配 遍 
T85n2789_001:0648a22	不同者。各有其意旨。不得相決。謗人初遍舉	不 同 者 各 有 其 意 旨 不 得 相 決 謗 人 初 遍 舉 
T85n2789_001:0648a23	滅擯事重。是故犯罪雖復可悔。但可悔中最	滅 擯 事 重 是 故 犯 罪 雖 復 可 悔 但 可 悔 中 最 
T85n2789_001:0648a24	重。是故即得作。第二遍謗人。第二遍罪犯	重 是 故 即 得 作 第 二 遍 謗 人 第 二 遍 罪 犯 
T85n2789_001:0648a25	第三遍罪。雖可悔但悔過中輕重殊自不同	第 三 遍 罪 雖 可 悔 但 悔 過 中 輕 重 殊 自 不 同 
T85n2789_001:0648a26	亦是諸他事重。是故次第列之得作第三遍。	亦 是 諸 他 事 重 是 故 次 第 列 之 得 作 第 三 遍 
T85n2789_001:0648a27	此是次第輕重相類謗第三遍。而犯第五遍	此 是 次 第 輕 重 相 類 謗 第 三 遍 而 犯 第 五 遍 
T85n2789_001:0648a28	者。即是不類但同是威儀。皆是對手懺悔治	者 即 是 不 類 但 同 是 威 儀 皆 是 對 手 懺 悔 治 
T85n2789_001:0648a29	罪。輕重不多皆降。是故不得次第即作。第	罪 輕 重 不 多 皆 降 是 故 不 得 次 第 即 作 第 
T85n2789_001:0648b01	四遍依始謗上二遍。次第治罪。輕重皆降。謗	四 遍 依 始 謗 上 二 遍 次 第 治 罪 輕 重 皆 降 謗 
T85n2789_001:0648b02	人犯第三遍。犯罪已輕不得即作第四遍正	人 犯 第 三 遍 犯 罪 已 輕 不 得 即 作 第 四 遍 正 
T85n2789_001:0648b03	合第五遍。若謗人第四遍洛在第五遍謗人。	合 第 五 遍 若 謗 人 第 四 遍 洛 在 第 五 遍 謗 人 
T85n2789_001:0648b04	第五遍更無別罪名。亦是獨頭。但犯罪雖輕	第 五 遍 更 無 別 罪 名 亦 是 獨 頭 但 犯 罪 雖 輕 
T85n2789_001:0648b05	故洛在第五遍中。第二解聖人有兩種實語	故 洛 在 第 五 遍 中 第 二 解 聖 人 有 兩 種 實 語 
T85n2789_001:0648b06	故。則無五種妄語。二種實語是何。聖人身	故 則 無 五 種 妄 語 二 種 實 語 是 何 聖 人 身 
T85n2789_001:0648b07	心證法境心俱實出觀。何人說是第一實語。	心 證 法 境 心 俱 實 出 觀 何 人 說 是 第 一 實 語 
T85n2789_001:0648b08	第二隨心想說境。不必是如目連記七日。當	第 二 隨 心 想 說 境 不 必 是 如 目 連 記 七 日 當 
T85n2789_001:0648b09	兩而竟不兩亦得作實語也。凡夫之人無其	兩 而 竟 不 兩 亦 得 作 實 語 也 凡 夫 之 人 無 其 
T85n2789_001:0648b10	第一身證法實語。故有五種妄語之罪。凡夫	第 一 身 證 法 實 語 故 有 五 種 妄 語 之 罪 凡 夫 
T85n2789_001:0648b11	得有隨想心實語。非是身證故不能斷其妄	得 有 隨 想 心 實 語 非 是 身 證 故 不 能 斷 其 妄 
T85n2789_001:0648b12	語。凡夫亦有少分身心實語。如人患四大苦	語 凡 夫 亦 有 少 分 身 心 實 語 如 人 患 四 大 苦 
T85n2789_001:0648b13	痛患。內心愚鈍。常懷憂苦。但此非聖法。不能	痛 患 內 心 愚 鈍 常 懷 憂 苦 但 此 非 聖 法 不 能 
T85n2789_001:0648b14	斷五種妄語。又復此憂苦境界。或實或虛。此	斷 五 種 妄 語 又 復 此 憂 苦 境 界 或 實 或 虛 此 
T85n2789_001:0648b15	憂境在內。事實易知此憂境。或在他方。雖生	憂 境 在 內 事 實 易 知 此 憂 境 或 在 他 方 雖 生 
T85n2789_001:0648b16	憂苦不必定實。不同聖人身證法也。第三解	憂 苦 不 必 定 實 不 同 聖 人 身 證 法 也 第 三 解 
T85n2789_001:0648b17	五種妄語中。初遍妄語并誑非人得聖。此二	五 種 妄 語 中 初 遍 妄 語 并 誑 非 人 得 聖 此 二 
T85n2789_001:0648b18	妄語要取境心但虛則成妄語。所以爾者。此	妄 語 要 取 境 心 但 虛 則 成 妄 語 所 以 爾 者 此 
T85n2789_001:0648b19	二妄語境心俱在其內。驗虛實自知。是故要	二 妄 語 境 心 俱 在 其 內 驗 虛 實 自 知 是 故 要 
T85n2789_001:0648b20	取境心俱虛結成妄語。餘之三種妄語境界	取 境 心 俱 虛 結 成 妄 語 餘 之 三 種 妄 語 境 界 
T85n2789_001:0648b21	在外。難可驗知虛實。是故但心虛結成妄語。	在 外 難 可 驗 知 虛 實 是 故 但 心 虛 結 成 妄 語 
T85n2789_001:0648b22	不驗境也。第四凡妄語法本欲使前人生信。	不 驗 境 也 第 四 凡 妄 語 法 本 欲 使 前 人 生 信 
T85n2789_001:0648b23	然今妄語成罪都不待前人生信。便成不信	然 今 妄 語 成 罪 都 不 待 前 人 生 信 便 成 不 信 
T85n2789_001:0648b24	不成。所以然者。前人信以不信難可驗知。是	不 成 所 以 然 者 前 人 信 以 不 信 難 可 驗 知 是 
T85n2789_001:0648b25	故不待前人生信。第五料簡五種妄語中。自	故 不 待 前 人 生 信 第 五 料 簡 五 種 妄 語 中 自 
T85n2789_001:0648b26	稱得聖無根謗人犯重。此二戒本中遍安自	稱 得 聖 無 根 謗 人 犯 重 此 二 戒 本 中 遍 安 自 
T85n2789_001:0648b27	言引虛。餘戒本則闕。計聖人制戒。一切戒本	言 引 虛 餘 戒 本 則 闕 計 聖 人 制 戒 一 切 戒 本 
T85n2789_001:0648b28	皆應安自言引虛。而今闕之。此二戒本所以	皆 應 安 自 言 引 虛 而 今 闕 之 此 二 戒 本 所 以 
T85n2789_001:0648b29	獨頭者量有其意若犯餘戒前境事麁顯易驗	獨 頭 者 量 有 其 意 若 犯 餘 戒 前 境 事 麁 顯 易 驗 
T85n2789_001:0648c01	可知。不必要假前人自言引犯。是故闕之。若	可 知 不 必 要 假 前 人 自 言 引 犯 是 故 闕 之 若 
T85n2789_001:0648c02	自稱得聖無根謗人犯重。此二戒若不著自	自 稱 得 聖 無 根 謗 人 犯 重 此 二 戒 若 不 著 自 
T85n2789_001:0648c03	言。引已不虛。不引無根。前人境事何由可驗。	言 引 已 不 虛 不 引 無 根 前 人 境 事 何 由 可 驗 
T85n2789_001:0648c04	如自稱得聖境據其內。若不著自言引虛。直	如 自 稱 得 聖 境 據 其 內 若 不 著 自 言 引 虛 直 
T85n2789_001:0648c05	取外相境驗。何由可知。所以爾者。自稱得聖。	取 外 相 境 驗 何 由 可 知 所 以 爾 者 自 稱 得 聖 
T85n2789_001:0648c06	或有實或有虛。若不著自言引虛。此二言何	或 有 實 或 有 虛 若 不 著 自 言 引 虛 此 二 言 何 
T85n2789_001:0648c07	由可識。是故須自言引虛。使異實得道者制	由 可 識 是 故 須 自 言 引 虛 使 異 實 得 道 者 制 
T85n2789_001:0648c08	戒不謬。謗戒亦爾。前人淨穢何由可測謗。無	戒 不 謬 謗 戒 亦 爾 前 人 淨 穢 何 由 可 測 謗 無 
T85n2789_001:0648c09	根有根舉罪。此二復不可知。是故戒文中言	根 有 根 舉 罪 此 二 復 不 可 知 是 故 戒 文 中 言 
T85n2789_001:0648c10	引無根。然後結罪不謬。謗人犯第二遍。所以	引 無 根 然 後 結 罪 不 謬 謗 人 犯 第 二 遍 所 以 
T85n2789_001:0648c11	不著自言引無根者。前人客有僧中自引懺	不 著 自 言 引 無 根 者 前 人 客 有 僧 中 自 引 懺 
T85n2789_001:0648c12	悔之義。以表知前人有根無根。故戒本中闕。	悔 之 義 以 表 知 前 人 有 根 無 根 故 戒 本 中 闕 
T85n2789_001:0648c13	不著。自言引無根不同舉他初遍。初遍前人	不 著 自 言 引 無 根 不 同 舉 他 初 遍 初 遍 前 人 
T85n2789_001:0648c14	無有僧中自引悔過之義是故前謗者須自言	無 有 僧 中 自 引 悔 過 之 義 是 故 前 謗 者 須 自 言 
T85n2789_001:0648c15	引無根得成謗罪。若彼此都無自言清濁不	引 無 根 得 成 謗 罪 若 彼 此 都 無 自 言 清 濁 不 
T85n2789_001:0648c16	別。此戒本永不可制。是故須安自言第三故	別 此 戒 本 永 不 可 制 是 故 須 安 自 言 第 三 故 
T85n2789_001:0648c17	妄語戒。境界雖復虛實難知。容有不侍前人	妄 語 戒 境 界 雖 復 虛 實 難 知 容 有 不 侍 前 人 
T85n2789_001:0648c18	自言引虛直驗可知。且旨一事如有一人。先	自 言 引 虛 直 驗 可 知 且 旨 一 事 如 有 一 人 先 
T85n2789_001:0648c19	在水惻實知水深淺。後人來問水之深淺。水	在 水 惻 實 知 水 深 淺 後 人 來 問 水 之 深 淺 水 
T85n2789_001:0648c20	實深言淺。實淺言深。前人入水則知前人語	實 深 言 淺 實 淺 言 深 前 人 入 水 則 知 前 人 語 
T85n2789_001:0648c21	之虛實。何假前人自言引虛。是故戒文中闕	之 虛 實 何 假 前 人 自 言 引 虛 是 故 戒 文 中 闕 
T85n2789_001:0648c22	不著也。就此戒中有五段就因緣中三子段。	不 著 也 就 此 戒 中 有 五 段 就 因 緣 中 三 子 段 
T85n2789_001:0648c23	第一從初訖唯聖知時已來。明勅諸比丘集會	第 一 從 初 訖 唯 聖 知 時 已 來 明 勅 諸 比 丘 集 會 
T85n2789_001:0648c24	講堂。第二從爾時世尊即詣講堂以下訖令	講 堂 第 二 從 爾 時 世 尊 即 詣 講 堂 以 下 訖 令 
T85n2789_001:0648c25	眾疲苦已來。明以勅諸比丘隨所宜安居。第	眾 疲 苦 已 來 明 以 勅 諸 比 丘 隨 所 宜 安 居 第 
T85n2789_001:0648c26	三從時諸比丘聞世尊教已下訖未。明諸比	三 從 時 諸 比 丘 聞 世 尊 教 已 下 訖 未 明 諸 比 
T85n2789_001:0648c27	丘順其所勅安居。就第三正明安居中復有二	丘 順 其 所 勅 安 居 就 第 三 正 明 安 居 中 復 有 二 
T85n2789_001:0648c28	子句。第一從初訖至氣力充足以來。明二處	子 句 第 一 從 初 訖 至 氣 力 充 足 以 來 明 二 處 
T85n2789_001:0648c29	安居。第二從諸餘比丘以下訖因緣盡已來。	安 居 第 二 從 諸 餘 比 丘 以 下 訖 因 緣 盡 已 來 
T85n2789_001:0649a01	明二處安居。僧問訊世尊。就婆裘河安居中	明 二 處 安 居 僧 問 訊 世 尊 就 婆 裘 河 安 居 中 
T85n2789_001:0649a02	有二子句。第一從時有眾多比丘以下訖不	有 二 子 句 第 一 從 時 有 眾 多 比 丘 以 下 訖 不 
T85n2789_001:0649a03	為乞食所苦已來。明說妄語計。第二從爾時	為 乞 食 所 苦 已 來 明 說 妄 語 計 第 二 從 爾 時 
T85n2789_001:0649a04	婆裘河邊以下訖氣力充足已來。正明妄語。	婆 裘 河 邊 以 下 訖 氣 力 充 足 已 來 正 明 妄 語 
T85n2789_001:0649a05	就婆裘河邊諸比丘問訊世尊中有四子句。	就 婆 裘 河 邊 諸 比 丘 問 訊 世 尊 中 有 四 子 句 
T85n2789_001:0649a06	第一從在婆裘河邊以下訖或有實或無實已	第 一 從 在 婆 裘 河 邊 以 下 訖 或 有 實 或 無 實 已 
T85n2789_001:0649a07	來。明三對六句。問其虛實。第二從佛告諸	來 明 三 對 六 句 問 其 虛 實 第 二 從 佛 告 諸 
T85n2789_001:0649a08	比丘以下訖以盜受人飲食故已來。明如來	比 丘 以 下 訖 以 盜 受 人 飲 食 故 已 來 明 如 來 
T85n2789_001:0649a09	說二種大賊。第三時世尊已無數方便以下	說 二 種 大 賊 第 三 時 世 尊 已 無數方便 以 下 
T85n2789_001:0649a10	訖不共住已來。明如來舉過呵嘖制戒。第四	訖 不 共 住 已 來 明 如 來 舉 過 呵 嘖 制 戒 第 四 
T85n2789_001:0649a11	從如是世尊以下訖增上慢人不犯以來。明	從 如 是 世 尊 以 下 訖 增上慢人 不 犯 以 來 明 
T85n2789_001:0649a12	開增上慢人不犯。前三戒名小賊後戒名大	開 增上慢人 不 犯 前 三 戒 名 小 賊 後 戒 名 大 
T85n2789_001:0649a13	賊者。欲明前三戒但是自害。謂之小賊犯。後	賊 者 欲 明 前 三 戒 但 是 自 害 謂 之 小 賊 犯 後 
T85n2789_001:0649a14	戒自害害彼故曰大賊。說已修行即是自害。	戒 自 害 害 彼 故 曰 大 賊 說 已 修 行 即 是 自 害 
T85n2789_001:0649a15	前人謂實信語修行即是害彼。後復犯前三	前 人 謂 實 信 語 修 行 即 是 害 彼 後 復 犯 前 三 
T85n2789_001:0649a16	戒。但當體有罪。自說淨行犯其二戒。說已淨	戒 但 當 體 有 罪 自 說 淨 行 犯 其 二 戒 說 已 淨 
T85n2789_001:0649a17	行犯妄語戒。誑他得財復犯盜戒。是故得作	行 犯 妄 語 戒 誑 他 得 財 復 犯 盜 戒 是 故 得 作 
T85n2789_001:0649a18	大賊。增上慢者。無漏聖道為人心怖仰故曰	大 賊 增上慢者 無漏聖道 為 人 心 怖 仰 故 曰 
T85n2789_001:0649a19	增。出過三有故曰上。計我者皆是自大故曰	增 出 過 三 有 故 曰 上 計 我 者 皆 是 自 大 故 曰 
T85n2789_001:0649a20	慢也。悟其性空淨心不懷故曰有信不懷。禁	慢 也 悟 其 性 空 淨 心 不 懷 故 曰 有 信 不 懷 禁 
T85n2789_001:0649a21	非故曰戒。悟空除貪故曰施。解心從師而	非 故 曰 戒 悟 空 除 貪 故 曰 施 解 心 從 師 而 
T85n2789_001:0649a22	來故曰聞。照達理空故曰智慧。於理無滯謂	來 故 曰 聞 照 達 理 空 故 曰 智 慧 於 理 無 滯 謂 
T85n2789_001:0649a23	之辨才。人法者人是假名陰界入。此三成人	之 辨 才 人 法 者 人 是 假 名 陰 界 入 此 三 成 人 
T85n2789_001:0649a24	之軌故曰人法。說已所得出過陰界故曰過	之 軌 故 曰 人 法 說 已 所 得 出 過 陰 界 故 曰 過 
T85n2789_001:0649a25	人法。法悟解能過相情。除其惑倒故曰離。理	人 法 法 悟 解 能 過 相 情 除 其 惑 倒 故 曰 離 理 
