T52n2113_001:0573a04	北山錄序	北 山 錄 序 
T52n2113_001:0577c21	物。而不得行乎天性矣(父子之道天性也。佛雖以應現化生之身而本在	物 而 不 得 行 乎 天 性 矣 父 子 之 道 天 性 也 佛 雖 以 應 現 化 生 之 身 而 本 在 
T52n2113_001:0577c22	濟物。濟物之行必假道成。道成不可在於愛欲。是以不得不行乎本意之事也)父王遲其不	濟 物 濟 物 之 行 必 假 道 成 道 成 不 可 在 於 愛 欲 是 以 不 得 不 行 乎 本 意 之 事 也 父 王 遲 其 不 
T52n2113_001:0577c23	歸宮室曖而無輝(曖暗也)顧彼山林悠然長往。	歸 宮 室 曖 而 無 輝 曖 暗 也 顧 彼 山 林 悠 然 長 往 
T52n2113_001:0577c24	涕泣漣洏。詔族父洎伯舅氏五人而往求之	涕 泣 漣 洏 詔 族 父 洎 伯 舅 氏 五 人 而 往 求 之 
T52n2113_001:0577c25	(即俱倫五人等皆太子族也。令入山求而伴之也)令候其暄涼遂其行藏無	 即 俱 倫 五 人 等 皆 太 子 族 也 令 入 山 求 而 伴 之 也 令 候 其 暄 涼 遂 其 行 藏 無 
T52n2113_001:0577c26	咈太子之欲(咈違戾也)過六載載省載悟。枯餒之	咈 太 子 之 欲 咈 違 戾 也 過 六 載 載 省 載 悟 枯 餒 之 
T52n2113_001:0577c27	行不為功德。乃以腴腸實腹為至道之器(大載日餐	行 不 為 功 德 乃 以 腴 腸 實 腹 為 至 道 之 器 大 載 日 餐 
T52n2113_001:0578a01	麻麥。為降外道。乃云吾有一法世莫能知。一切眾生皆依食住。遂受乳糜六斗四升而餐之。乃成道也)以是	麻 麥 為 降 外 道 乃 云 吾 有 一 法 世 莫 能 知 一 切 眾 生 皆 依 食 住 遂 受 乳 糜 六 斗 四 升 而 餐 之 乃 成 道 也 以 是 
T52n2113_001:0578a02	月以是日以是夜夜何其銀漢已轉。群動已	月 以 是 日 以 是 夜 夜 何 其 銀 漢 已 轉 群 動 已 
T52n2113_001:0578a03	息。據金剛座。如龍蟠結。戡剪大難。萬德來	息 據 金 剛 座 如 龍 蟠 結 戡 剪 大 難 萬 德 來 
T52n2113_001:0578a04	朝。巍巍乎浩劫鴻勳。爰[車*胥]于箭漏之間耳(以十	朝 巍 巍 乎 浩 劫 鴻 勳 爰 [車胥] 于 箭 漏 之 間 耳 以 十 
T52n2113_001:0578a05	二月八日食乳糜已。尼連沐浴。於金剛座入定。示將三界九地諸惑斷之。以三十四心而成正覺也)夫天	二 月 八 日 食 乳 糜 已 尼 連 沐 浴 於 金 剛 座 入 定 示 將 三界九地 諸 惑 斷 之 以 三 十 四 心 而 成 正 覺 也 夫 天 
T52n2113_001:0578a06	期昭昭之多。地一撮土之多。山一拳石之多。	期 昭 昭 之 多 地 一 撮 土 之 多 山 一 拳 石 之 多 
T52n2113_001:0578a07	海一勺水之多(昭昭耿光也。天以積小明而成。地以積撮土而成。山以積石而成。海以積	海 一 勺 水 之 多 昭 昭 耿 光 也 天 以 積 小 明 而 成 地 以 積 撮 土 而 成 山 以 積 石 而 成 海 以 積 
T52n2113_001:0578a08	勺水而成也。並中庸篇文也)故積而為大能致大用。大士往修	勺 水 而 成 也 並 中 庸 篇 文 也 故 積 而 為 大 能 致 大 用 大 士 往 修 
T52n2113_001:0578a09	大行舉善無遺。以普賢願普入一切(普賢行願如華嚴經)故	大 行 舉 善 無 遺 以 普 賢 願 普 入 一 切 普 賢 行 願 如 華 嚴 經 故 
T52n2113_001:0578a10	於茲辰。其身遍坐一切道場。而小智觀之以丈	於 茲 辰 其 身 遍 坐 一 切 道 場 而 小 智 觀 之 以 丈 
T52n2113_001:0578a11	六。大士觀之以遠大。遠大則該乎報體。丈六	六 大 士 觀 之 以 遠 大 遠 大 則 該 乎 報 體 丈 六 
T52n2113_001:0578a12	則專乎化軀。其猶自牖而窺於天道。隨隟而	則 專 乎 化 軀 其 猶 自 牖 而 窺 於 天 道 隨 隟 而 
T52n2113_001:0578a13	見乎多少爾(雖以丈六之身於伽耶畔金剛座上成等正覺而。實量無齊等。非屬三界)悲	見 乎 多 少 爾 雖 以 丈 六 之 身 於 伽 耶 畔 金 剛 座 上 成等正覺 而 實 量 無 齊 等 非 屬 三 界 悲 
T52n2113_001:0578a14	夫。苦海混淪。瀑流洄澓。疇先觸涯俟濟。吾必	夫 苦 海 混 淪 瀑 流 洄 澓 疇 先 觸 涯 俟 濟 吾 必 
T52n2113_001:0578a15	津之以道焉(疇誰也。涯岸也。俟待也。濟度也。津濟也。誰先觸涯岸求渡苦海者。吾當濟之)由	津 之 以 道 焉 疇 誰 也 涯 岸 也 俟 待 也 濟 度 也 津 濟 也 誰 先 觸 涯 岸 求 渡 苦 海 者 吾 當 濟 之 由 
T52n2113_001:0578a16	是。四顧躊躇。經三七日。乃朝步造乎施鹿林。	是 四 顧 躊 躇 經 三 七 日 乃 朝 步 造 乎 施 鹿 林 
T52n2113_001:0578a17	施鹿林者古佛前化(林在波羅奈國。昔王有千鹿將盡殺之。如來提婆達多俱為鹿	施 鹿 林 者 古 佛 前 化 林 在 波 羅 奈 國 昔 王 有 千 鹿 將 盡 殺 之 如 來 提 婆 達 多 俱 為 鹿 
T52n2113_001:0578a18	王。各領五百。遂告王曰。許日供一鹿。供次者身有孕。鹿王乃代往。王感其仁慈。遂盡免其鹿。即以此園施鹿。遂	王 各 領 五 百 遂 告 王 曰 許 日 供 一 鹿 供 次 者 身 有 孕 鹿 王 乃 代 往 王 感 其 仁 慈 遂 盡 免 其 鹿 即 以 此 園 施 鹿 遂 
T52n2113_001:0578a19	號施鹿園也)今獲五人於此地(即五俱倫也。一者憍陳如。二者十力迦葉。三頞鞞即	號 施 鹿 園 也 今 獲 五 人 於 此 地 即 五 俱 倫 也 一 者 憍 陳 如 二 者 十力迦葉 三 頞 鞞 即 
T52n2113_001:0578a20	馬勝也四者跋提。五者摩訶男也)符其往事矣。殆微言三轉(所謂	馬 勝 也 四 者 跋 提 五 者 摩 訶 男 也 符 其 往 事 矣 殆 微 言 三 轉 所 謂 
T52n2113_001:0578a21	見道。脩道。無學道。三轉法輪。唯大器前悟也)餘則末吾知也(殆及也。末莫也。雖云初談	見 道 脩 道 無 學 道 三轉法輪 唯 大 器 前 悟 也 餘 則 末 吾 知 也 殆 及 也 末 莫 也 雖 云 初 談 
T52n2113_001:0578a22	四諦。而其間悟入不同)是時地祇興聲。百神咸和。上暢于	四 諦 而 其 間 悟 入 不 同 是 時 地 祇 興 聲 百 神 咸 和 上 暢 于 
T52n2113_001:0578a23	九天(云天初禪三天共九天有耳識也)下遍于黃輿(黃輿地也。淮南子云。地形如車輿)	九 天 云 天 初禪三天 共 九 天 有 耳 識 也 下 遍 于 黃 輿 黃 輿 地 也 淮 南 子 云 地 形 如 車 輿 
T52n2113_001:0578a24	旁流于八方。人天交慶。日月貞照。莫不踊	旁 流 于 八 方 人 天 交 慶 日 月 貞 照 莫 不 踊 
T52n2113_001:0578a25	躍。莫不抃呼。群靈熙熙于胥樂乎(熙熙和也。胥相也)	躍 莫 不 抃 呼 群 靈 熙 熙 于 胥 樂 乎 熙 熙 和 也 胥 相 也 
T52n2113_001:0578a26	萬聖樂推以大覺為法王者也。穆王時。西極	萬 聖 樂 推 以 大 覺 為 法 王 者 也 穆 王 時 西 極 
T52n2113_001:0578a27	之國有化人來。入水火。貫金石。返山川。移城	之 國 有 化 人 來 入 水 火 貫 金 石 返 山 川 移 城 
T52n2113_001:0578a28	邑。乘虛不墜。觸實不礙。千變萬化不可窮	邑 乘 虛 不 墜 觸 實 不 礙 千 變 萬 化 不 可 窮 
T52n2113_001:0578b01	極(當周穆王時。已有化人來至。但群生感應未興故也)既以變物之形。又且	極 當 周 穆 王 時 已 有 化 人 來 至 但 群 生 感 應 未 興 故 也 既 以 變 物 之 形 又 且 
T52n2113_001:0578b02	易人之慮(既能現神通。又能化人心慮也)穆王敬之若神。事之	易 人 之 慮 既 能 現 神 通 又 能 化 人 心 慮 也 穆 王 敬 之 若 神 事 之 
T52n2113_001:0578b03	若君。化人無何。謁王同遊。王執化人之袪。騰	若 君 化 人 無 何 謁 王 同 遊 王 執 化 人 之 袪 騰 
T52n2113_001:0578b04	而上者中天乃止(謁請也。袪衣袖)乃暨化人之宮。搆	而 上 者 中 天 乃 止 謁 請 也 袪 衣 袖 乃 暨 化 人 之 宮 搆 
T52n2113_001:0578b05	以金銀。絡以珠玉。出雲雨之上。而不知下之	以 金 銀 絡 以 珠 玉 出 雲 雨 之 上 而 不 知 下 之 
T52n2113_001:0578b06	所據。望之若屯雲焉。王自以為居。數千年	所 據 望 之 若 屯 雲 焉 王 自 以 為 居 數 千 年 
T52n2113_001:0578b07	不思其國(王居化境。不思返國)化人復謁王同遊。所返	不 思 其 國 王 居 化 境 不 思 返 國 化 人 復 謁 王 同 遊 所 返 
T52n2113_001:0578b08	之處。仰不見日月。俯不見河海。光彩所照。	之 處 仰 不 見 日 月 俯 不 見 河 海 光 彩 所 照 
T52n2113_001:0578b09	目眩不能得視。音響所來。耳亂不能得聽	目 眩 不 能 得 視 音 響 所 來 耳 亂 不 能 得 聽 
T52n2113_001:0578b10	(此乃化人與穆王遊入諸佛淨土也)王請化人求還。化人移之。王	 此 乃 化 人 與 穆 王 遊 入 諸 佛 淨 土 也 王 請 化 人 求 還 化 人 移 之 王 
T52n2113_001:0578b11	若墜虛焉。既悟所坐猶向者之處。王問所從	若 墜 虛 焉 既 悟 所 坐 猶 向 者 之 處 王 問 所 從 
T52n2113_001:0578b12	來。左右曰。王默存耳(左右見王默坐。而王與化人神遊淨土耳)王自	來 左 右 曰 王 默 存 耳 左 右 見 王 默 坐 而 王 與 化 人 神 遊 淨 土 耳 王 自 
T52n2113_001:0578b13	三月不復。更問化人。化人曰。吾與王神遊也。	三 月 不 復 更 問 化 人 化 人 曰 吾 與 王 神 遊 也 
T52n2113_001:0578b14	形奚動哉且曩之所居。奚異王之宮。曩之所	形 奚 動 哉 且 曩 之 所 居 奚 異 王 之 宮 曩 之 所 
T52n2113_001:0578b15	遊。何異王之囿。王大悅。竊思被所遇者佛矣	遊 何 異 王 之 囿 王 大 悅 竊 思 被 所 遇 者 佛 矣 
T52n2113_001:0578b16	(如來在世雖聲教未被於此。而佛亦曾來矣)而未悟是佛也。惜哉胡獲	 如 來 在 世 雖 聲 教 未 被 於 此 而 佛 亦 曾 來 矣 而 未 悟 是 佛 也 惜 哉 胡 獲 
T52n2113_001:0578b17	焉。君陳曰。凡人未見聖若不克見。既見聖亦	焉 君 陳 曰 凡 人 未 見 聖 若 不 克 見 既 見 聖 亦 
T52n2113_001:0578b18	不克由聖。誠在此矣(此乃周書之文。孔氏注云。凡人有初無終。未見道如不能	不 克 由 聖 誠 在 此 矣 此 乃 周 書 之 文 孔 氏 注 云 凡 人 有 初 無 終 未 見 道 如 不 能 
T52n2113_001:0578b19	得見。已見聖道亦不能用之。所以無成也。今穆王見聖而不能求趣聖。信為惜哉)其菩提樹凝	得 見 已 見 聖 道 亦 不 能 用 之 所 以 無 成 也 今 穆 王 見 聖 而 不 能 求 趣 聖 信 為 惜 哉 其 菩 提 樹 凝 
T52n2113_001:0578b20	陰厚也。金剛座無傾動也(在摩竭陀國伽耶山西南十四五里。即畢鉢羅樹	陰 厚 也 金 剛 座 無 傾 動 也 在 摩 竭 陀 國 伽 耶 山 西 南 十 四 五 里 即 畢 鉢 羅 樹 
T52n2113_001:0578b21	也。莖幹黃白枝葉青翠。冬夏不凋。光鮮無變。高數百尺。金剛座居其下。菩薩證聖之所。亦曰道場。大地震動。獨	也 莖 幹 黃 白 枝 葉 青 翠 冬 夏 不 凋 光 鮮 無 變 高 數 百 尺 金 剛 座 居 其 下 菩 薩 證 聖 之 所 亦 曰 道 場 大 地 震 動 獨 
T52n2113_001:0578b22	無傾搖也)樹為座之表。居其座則蔭其樹。樹宜勿	無 傾 搖 也 樹 為 座 之 表 居 其 座 則 蔭 其 樹 樹 宜 勿 
T52n2113_001:0578b23	剪勿伐之美也。座當不騫不崩之固也(皆邵伯之詩也)	剪 勿 伐 之 美 也 座 當 不 騫 不 崩 之 固 也 皆 邵 伯 之 詩 也 
T52n2113_001:0578b24	聖人之道成而德重天下。其不在茲餘所弗	聖 人 之 道 成 而 德 重 天 下 其 不 在 茲 餘 所 弗 
T52n2113_001:0578b25	堪也(宜存其舊物以表聖跡也)故外國先王鍥石為像。南北	堪 也 宜 存 其 舊 物 以 表 聖 跡 也 故 外 國 先 王 鍥 石 為 像 南 北 
T52n2113_001:0578b26	標志以觀遺化也(鍥刻也。於金剛座菩提樹下刻二大石菩薩。後世佛法若減菩薩沒地。	標 志 以 觀 遺 化 也 鍥 刻 也 於 金 剛 座 菩提樹下 刻 二 大 石 菩 薩 後 世 佛 法 若 減 菩 薩 沒 地 
T52n2113_001:0578b27	奘公去日已至胷也)老氏生于定王(老子周定王三年九月十四日生于楚國陳郡賴鄉曲仁	奘 公 去 日 已 至 胷 也 老 氏 生 于 定 王 老 子 周 定 王 三 年 九 月 十 四 日 生 于 楚 國 陳 郡 賴 鄉 曲 仁 
T52n2113_001:0578b28	里。姓李。名耳。字伯陽。諡聃也)仲尼生於魯襄(仲尼以魯襄公二十一年冬生于魯國平鄉也)	里 姓 李 名 耳 字 伯 陽 諡 聃 也 仲 尼 生 於 魯 襄 仲 尼 以 魯 襄 公 二 十 一 年 冬 生 于 魯 國 平 鄉 也 
T52n2113_001:0578c01	老氏默識於能仁。仲尼問禮於伯陽。清淨法	老 氏 默 識 於 能 仁 仲 尼 問 禮 於 伯 陽 清 淨 法 
T52n2113_001:0578c02	行經。以大迦葉為老耼。以儒童菩薩為孔丘。	行 經 以 大 迦 葉 為 老 耼 以 儒 童 菩 薩 為 孔 丘 
T52n2113_001:0578c03	西昇經云(道經也)吾師化遊天竺。善入泥洹(此乃	西 昇 經 云 道 經 也 吾 師 化 遊 天 竺 善 入 泥 洹 此 乃 
T52n2113_001:0578c04	老氏默識能仁也)斯守雌保弱之道也。不敢為天下先	老 氏 默 識 能 仁 也 斯 守 雌 保 弱 之 道 也 不 敢 為 天 下 先 
T52n2113_001:0578c05	之訓也。老氏之德全於是乎。詩云。無競維烈	之 訓 也 老 氏 之 德 全 於 是 乎 詩 云 無 競 維 烈 
T52n2113_001:0578c06	老氏有焉(此毛詩清廟之什競強也。無競競也此詩美武王有伐紂之功。烈業也。能強其功業。如	老 氏 有 焉 此 毛 詩 清 廟 之 什 競 強 也 無 競 競 也 此 詩 美 武 王 有 伐 紂 之 功 烈 業 也 能 強 其 功 業 如 
T52n2113_001:0578c07	老子有道德不為天下先也)符子云。老子之師名釋迦文(符朗。字元達	老 子 有 道 德 不 為 天 下 先 也 符 子 云 老 子 之 師 名 釋 迦 文 符 朗 字 元 達 
T52n2113_001:0578c08	符堅從弟。為青州牧。為謝玄所降歸。晉後為王國寶　譖而殺之。有識度善別味著書數篇號符子)此或	符 堅 從 弟 為 青 州 牧 為 謝 玄 所 降 歸 晉 後 為 王 國 寶 譖 而 殺 之 有 識 度 善 別 味 著 書 數 篇 號 符 子 此 或 
T52n2113_001:0578c09	追老氏之言也。昔商太宰嚭(則吳太宰伯嚭也)問於孔子	追 老 氏 之 言 也 昔 商 太 宰 嚭 則 吳 太 宰 伯 嚭 也 問 於 孔 子 
T52n2113_001:0578c10	曰。夫子聖者歟。曰丘博識強記非聖人也。三	曰 夫 子 聖 者 歟 曰 丘 博 識 強 記 非 聖 人 也 三 
T52n2113_001:0578c11	王聖者歟(夏禹文命。湯王履。周武王發。為三王也)曰三王善用智	王 聖 者 歟 夏 禹 文 命 湯 王 履 周 武 王 發 為 三 王 也 曰 三 王 善 用 智 
T52n2113_001:0578c12	勇。聖非丘所知。五帝聖者歟(少昊．顓頊．高辛堯．舜．為五帝也)	勇 聖 非 丘 所 知 五 帝 聖 者 歟 少 昊 顓 頊 高 辛 堯 舜 為 五 帝 也 
T52n2113_001:0578c13	曰五帝善用仁信。聖非丘所知。三皇聖者歟	曰 五 帝 善 用 仁 信 聖 非 丘 所 知 三 皇 聖 者 歟 
T52n2113_001:0578c14	(伏犧神農黃帝謂之三皇也)曰三皇善用時政。聖非丘所知。	 伏 犧 神 農 黃 帝 謂 之 三 皇 也 曰 三 皇 善 用 時 政 聖 非 丘 所 知 
T52n2113_001:0578c15	太宰大駭曰。然則孰為聖人乎(應言上古皆非聖者。太宰所以大	太 宰 大 駭 曰 然 則 孰 為 聖 人 乎 應 言 上 古 皆 非 聖 者 太 宰 所 以 大 
T52n2113_001:0578c16	驚也)夫子有閒動容而對曰。西方有聖者焉不	驚 也 夫 子 有 閒 動 容 而 對 曰 西 方 有 聖 者 焉 不 
T52n2113_001:0578c17	治而不亂。不言而自信。不化而自行(不以干戈刑憲。而	治 而 不 亂 不 言 而 自 信 不 化 而 自 行 不 以 干 戈 刑 憲 而 
T52n2113_001:0578c18	法界之內率服。得不治而不亂乎。不以號今誓約而龍天莫不圍繞。得非不言而自信乎。蠢識信向物類知歸。得非	法 界 之 內 率 服 得 不 治 而 不 亂 乎 不 以 號 今 誓 約 而 龍 天 莫 不 圍 繞 得 非 不 言 而 自 信 乎 蠢 識 信 向 物 類 知 歸 得 非 
T52n2113_001:0578c19	不化而自行乎)蕩蕩乎人無能名焉(此乃仲尼以知西方有佛。故此答太宰也)	不 化 而 自 行 乎 蕩 蕩 乎 人 無 能 名 焉 此 乃 仲 尼 以 知 西 方 有 佛 故 此 答 太 宰 也 
T52n2113_001:0578c20	是知儒道昭融如日在天。而能謙虛若此。蓋	是 知 儒 道 昭 融 如 日 在 天 而 能 謙 虛 若 此 蓋 
T52n2113_001:0578c21	釋師之黨潛化著矣。三教玄同彛倫克諧。但	釋 師 之 黨 潛 化 著 矣 三 教 玄 同 彛 倫 克 諧 但 
T52n2113_001:0578c22	法被乎多方。經籍出乎多門。釋宗以因果。	法 被 乎 多 方 經 籍 出 乎 多 門 釋 宗 以 因 果 
T52n2113_001:0578c23	老氏以虛無。仲尼以禮樂。沿淺以洎深。籍微	老 氏 以 虛 無 仲 尼 以 禮 樂 沿 淺 以 洎 深 籍 微 
T52n2113_001:0578c24	而為著。各適當時之器。相資為美。其猶天	而 為 著 各 適 當 時 之 器 相 資 為 美 其 猶 天 
T52n2113_001:0578c25	地四時不以麰薺故不春(麰大麥也。薺甘菜也)菱苕故不	地 四 時 不 以 麰 薺 故 不 春 麰 大 麥 也 薺 甘 菜 也 菱 苕 故 不 
T52n2113_001:0578c26	秋(菱苕草屬也)故儒教漸至也。殷湯改祝。孔釣不	秋 菱 苕 草 屬 也 故 儒 教 漸 至 也 殷 湯 改 祝 孔 釣 不 
T52n2113_001:0578c27	綱(桀君無道。置網祝日。從天地四方來者皆入吾此網。殷湯除其三面。唯開一面改祝日。請負命者投吾此	綱 桀 君 無 道 置 網 祝 日 從 天 地 四 方 來 者 皆 入 吾 此 網 殷 湯 除 其 三 面 唯 開 一 面 改 祝 日 請 負 命 者 投 吾 此 
T52n2113_001:0578c28	網。論語云。子釣而不網。但以一釣取之。雖殺不多。此皆儒教漸行不殺之文也)老教中至	網 論 語 云 子 釣 而 不 網 但 以 一 釣 取 之 雖 殺 不 多 此 皆 儒 教 漸 行 不 殺 之 文 也 老 教 中 至 
T52n2113_001:0579a01	也。一曰慈。二曰儉。三曰不敢為天下先(此道教謂	也 一 曰 慈 二 曰 儉 三 曰 不 敢 為 天 下 先 此 道 教 謂 
T52n2113_001:0579a02	之三寶也)釋教極至也。自鳥獸芻土違而必懲(律文之誡也)	之 三 寶 也 釋 教 極 至 也 自 鳥 獸 芻 土 違 而 必 懲 律 文 之 誡 也 
T52n2113_001:0579a03	如有用釋教者。使人居乎漏盡。如有用老教	如 有 用 釋 教 者 使 人 居 乎 漏 盡 如 有 用 老 教 
T52n2113_001:0579a04	者。使民至於冲和。如有用孔教者。使民登乎	者 使 民 至 於 冲 和 如 有 用 孔 教 者 使 民 登 乎 
T52n2113_001:0579a05	仁壽。是以大聖生于盛王(謂周昭之代)五天之人。	仁 壽 是 以 大 聖 生 于 盛 王 謂 周 昭 之 代 五 天 之 人 
T52n2113_001:0579a06	千乘之邑。百乘之君。階于聖智者也(千乘之邑。百	千 乘 之 邑 百 乘 之 君 階 于 聖 智 者 也 千 乘 之 邑 百 
T52n2113_001:0579a07	乘之君。謂淨飯王之諸侯也。以佛生之世國皆證果齊聖者也)二教生乎衰世。而	乘 之 君 謂 淨 飯 王 之 諸 侯 也 以 佛 生 之 世 國 皆 證 果 齊 聖 者 也 二 教 生 乎 衰 世 而 
T52n2113_001:0579a08	大道躓于陵夷(自周第十二主幽王寵褒姒。失御天下。平王遷都洛邑。諸侯專征禮樂崩	大 道 躓 于 陵 夷 自 周 第 十 二 主 幽 王 寵 褒 姒 失 御 天 下 平 王 遷 都 洛 邑 諸 侯 專 征 禮 樂 崩 
T52n2113_001:0579a09	壞。謂之衰周也)故老聖潛其龍德隱於柱下。紫氣浮	壞 謂 之 衰 周 也 故 老 聖 潛 其 龍 德 隱 於 柱 下 紫 氣 浮 
T52n2113_001:0579a10	關邁于流沙(老子為周柱下史見周德凌遲。遂出關往流沙。因為關令尹喜說道德二篇也)仲	關 邁 于 流 沙 老 子 為 周 柱 下 史 見 周 德 凌 遲 遂 出 關 往 流 沙 因 為 關 令 尹 喜 說 道 德 二 篇 也 仲 
T52n2113_001:0579a11	尼祖述堯舜。憲章文武。自衛返魯而修春秋。	尼 祖 述 堯 舜 憲 章 文 武 自 衛 返 魯 而 修 春 秋 
T52n2113_001:0579a12	感其靈應。反袂拭面。稱吾道窮。皆非其志也	感 其 靈 應 反 袂 拭 面 稱 吾 道 窮 皆 非 其 志 也 
T52n2113_001:0579a13	(仲尼以魯哀公十一年自衛返魯。十四年西狩獲麟而修春秋也)而知道者關尹也。	 仲 尼 以 魯 哀 公 十 一 年 自 衛 返 魯 十 四 年 西 狩 獲 麟 而 修 春 秋 也 而 知 道 者 關 尹 也 
T52n2113_001:0579a14	知儒道者顏回也。行二教者百王也。老氏為	知 儒 道 者 顏 回 也 行 二 教 者 百 王 也 老 氏 為 
T52n2113_001:0579a15	高仙。仲尼為素王。聖謀洋洋與天地而無窮	高 仙 仲 尼 為 素 王 聖 謀 洋 洋 與 天 地 而 無 窮 
T52n2113_001:0579a16	者也。時有慍見者曰(此乃假賔主問)若不貶二教已甚	者 也 時 有 慍 見 者 曰 此 乃 假 賔 主 問 若 不 貶 二 教 已 甚 
T52n2113_001:0579a17	矣而胡德之歟(胡何也。乃可教而何德之有)余謂彼不知矛楯	矣 而 胡 德 之 歟 胡 何 也 乃 可 教 而 何 德 之 有 余 謂 彼 不 知 矛 楯 
T52n2113_001:0579a18	者也(昔有賣矛楯者。雙誇其功。言楯則矛刺不入。言矛則能穿十楯。或云賣汝矛而穿汝楯。如何彼無詞矣)	者 也 昔 有 賣 矛 楯 者 雙 誇 其 功 言 楯 則 矛 刺 不 入 言 矛 則 能 穿 十 楯 或 云 賣 汝 矛 而 穿 汝 楯 如 何 彼 無 詞 矣 
T52n2113_001:0579a19	吾經以二士為至化今鄙之(為迦葉為老子。儒童為仲尼也)則何	吾 經 以 二 士 為 至 化 今 鄙 之 為 迦 葉 為 老 子 儒 童 為 仲 尼 也 則 何 
T52n2113_001:0579a20	反其義哉。穆王五十二年壬申二月十五日	反 其 義 哉 穆 王 五 十 二 年 壬 申 二 月十五日 
T52n2113_001:0579a21	大聖示滅焉。是日也黑雲四起。大風動地。西	大 聖 示 滅 焉 是 日 也 黑 雲 四 起 大 風 動 地 西 
T52n2113_001:0579a22	方有白虹十二道。南北通貫。連夜不滅。王	方 有 白 虹 十 二 道 南 北 通 貫 連 夜 不 滅 王 
T52n2113_001:0579a23	問太史扈多。扈多曰。西方有大聖人滅。是其	問 太 史 扈 多 扈 多 曰 西 方 有 大 聖 人 滅 是 其 
T52n2113_001:0579a24	衰相耳。初穆王聞西方有聖人。又亟覩光氣	衰 相 耳 初 穆 王 聞 西 方 有 聖 人 又 亟 覩 光 氣 
T52n2113_001:0579a25	(亟數也)慮非周道所宜(慮其聖人來侵土墳也)命呂侯會諸侯	 亟 數 也 慮 非 周 道 所 宜 慮 其 聖 人 來 侵 土 墳 也 命 呂 侯 會 諸 侯 
T52n2113_001:0579a26	於塗山(塗山在會稽吳越分野呂侯呂級也)以備其變至。是靡不	於 塗 山 塗 山 在 會 稽 吳 越 分 野 呂 侯 呂 級 也 以 備 其 變 至 是 靡 不 
T52n2113_001:0579a27	大啟沃也(今聞西方聖人滅無不慶悅也)昔大聖顧託大龜氏法	大 啟 沃 也 今 聞 西 方 聖 人 滅 無 不 慶 悅 也 昔 大 聖 顧 託 大 龜 氏 法 
T52n2113_001:0579b01	藏(大龜氏則大迦葉姓。受如來之顧命也)事畢詣于雙林道場(即俱尸那城跋	藏 大 龜 氏 則 大 迦 葉 姓 受 如 來 之 顧 命 也 事 畢 詣 于 雙 林 道 場 即 俱 尸 那 城 跋 
T52n2113_001:0579b02	提河畔也)末命七寶床上。北首而臥。於靜夜中寂	提 河 畔 也 末 命 七 寶 床 上 北 首 而 臥 於 靜 夜 中 寂 
T52n2113_001:0579b03	然無聲。正遍知月隱于大涅槃山(佛身喻月。圓寂喻山)萬	然 無 聲 正 遍 知 月 隱 于 大 涅 槃 山 佛 身 喻 月 圓 寂 喻 山 萬 
T52n2113_001:0579b04	彙號慟。泉填岳墜。惡星驟墮。諸河返流。阿	彙 號 慟 泉 填 岳 墜 惡 星 驟 墮 諸 河 返 流 阿 
T52n2113_001:0579b05	難心沒憂海。羅睺羅但觀無常。有學無學愴	難 心 沒 憂 海 羅 睺 羅 但 觀 無 常 有 學 無 學 愴 
T52n2113_001:0579b06	然悠逝。諸天稱曰。苦哉其娑羅林(梵云娑羅。此云堅固。	然 悠 逝 諸 天 稱 曰 苦 哉 其 娑 羅 林 梵 云 娑 羅 此 云 堅 固 
T52n2113_001:0579b07	凌冬不凋也)四雙八隻合為二樹。垂條下掩。離離皓	凌 冬 不 凋 也 四 雙 八 隻 合 為 二 樹 垂 條 下 掩 離 離 皓 
T52n2113_001:0579b08	素如白鶴色。以是謂之鶴樹也。勁葉含霜凌	素 如 白 鶴 色 以 是 謂 之 鶴 樹 也 勁 葉 含 霜 凌 
T52n2113_001:0579b09	冬不凋。故謂之堅固林也。初大聖將復乎無	冬 不 凋 故 謂 之 堅 固 林 也 初 大 聖 將 復 乎 無 
T52n2113_001:0579b10	為(則未滅前)發毘舍離至于南河岸上。履大方石。	為 則 未 滅 前 發 毘 舍 離 至 于 南 河 岸 上 履 大 方 石 
T52n2113_001:0579b11	顧阿難曰。此吾最後望金剛座及王舍城。所	顧 阿 難 曰 此 吾 最 後 望 金 剛 座 及 王 舍 城 所 
T52n2113_001:0579b12	留之跡也(毘舍離國在恒河南中天竺界七百里。賢聖於中結集處。即毘耶離國也)故今	留 之 跡 也 毘 舍 離 國 在 恒 河 南 中 天 竺 界 七 百 里 賢 聖 於 中 結 集 處 即 毘 耶 離 國 也 故 今 
T52n2113_001:0579b13	石上有佛雙趾。長尺有咫(一尺八寸也)廣三之一	石 上 有 佛 雙 趾 長 尺 有 咫 一 尺 八 寸 也 廣 三 之 一 
T52n2113_001:0579b14	(闊六寸也)下有千輻輪相。指端萬字花文及瓶魚	 闊 六 寸 也 下 有 千輻輪相 指 端 萬 字 花 文 及 瓶 魚 
T52n2113_001:0579b15	等。光爛爛焉(至今石上有此文見)自古邪徒毀而還復原。	等 光 爛 爛 焉 至 今 石 上 有 此 文 見 自 古 邪 徒 毀 而 還 復 原 
T52n2113_001:0579b16	茲聖人寄跡以表教。教存而跡不亡。觀者泣	茲 聖 人 寄 跡 以 表 教 教 存 而 跡 不 亡 觀 者 泣 
