T85n2751_001:0194c05	法華經疏	法 華 經 疏 
T85n2751_001:0196c24	初已下。訖名觀世音制其名稱也　第二從	初 已 下 訖 名 觀 世 音 制 其 名 稱 也 第 二 從 
T85n2751_001:0196c25	若復有人已下。訖巍巍如是。欲明觀音於此	若 復 有 人 已 下 訖 巍 巍 如 是 欲 明 觀 音 於 此 
T85n2751_001:0196c26	世界名中益物最是其大。拔苦濟厄利中超	世 界 名 中 益 物 最 是 其 大 拔 苦 濟 厄 利 中 超 
T85n2751_001:0196c27	勝故。下經言巍巍如是　第三從若有眾生	勝 故 下 經 言 巍 巍 如 是 第 三 從 若 有 眾 生 
T85n2751_001:0196c28	已下。訖福德之利。此噵觀音亦名觀音亦名	已 下 訖 福 德 之 利 此 噵 觀 音 亦 名 觀 音 亦 名 
T85n2751_001:0196c29	觀念亦名觀形。但此土名益處亦勝其形心。	觀 念 亦 名 觀 形 但 此 土 名 益 處 亦 勝 其 形 心 
T85n2751_001:0197a01	從是故已下。結其名勝勸人。受持觀者名也。	從 是 故 已 下 結 其 名 勝 勸 人 受 持 觀 者 名 也 
T85n2751_001:0197a02	從若有人已下。格量名益勝於餘者。所以道	從 若 有 人 已 下 格 量 名 益 勝 於 餘 者 所 以 道 
T85n2751_001:0197a03	受六十二億餘菩薩名不如受持觀世音名	受 六 十 二 億 餘 菩 薩 名 不 如 受 持 觀 世 音 名 
T85n2751_001:0197a04	者。欲明觀音此少化緣勝餘菩薩。即是眾生	者 欲 明 觀 音 此 少 化 緣 勝 餘 菩 薩 即 是 眾 生 
T85n2751_001:0197a05	持人漏盡　第四從無盡意白佛言已下。訖	持 人 漏 盡 第 四 從 無 盡 意 白 佛 言 已 下 訖 
T85n2751_001:0197a06	執金剛神解普門義。廣明其德無盡。此中凡	執金剛神 解 普 門 義 廣 明 其 德 無 盡 此 中 凡 
T85n2751_001:0197a07	作三問。云何遊於娑婆世界。問形方便作何	作 三 問 云 何 遊 於 娑婆世界 問 形 方 便 作 何 
T85n2751_001:0197a08	等形。凡益群生云何而為眾生說法。問言方	等 形 凡 益 群 生 云 何 而 為 眾 生 說 法 問 言 方 
T85n2751_001:0197a09	便說何等法。化於眾生方便之力其事云何	便 說 何 等 法 化 於 眾 生 方 便 之 力 其 事 云 何 
T85n2751_001:0197a10	者。總舉前二義形。言方便事竟云何如來下	者 總 舉 前 二 義 形 言 方 便 事 竟 云 何 如 來 下 
T85n2751_001:0197a11	益應見佛身而為得益者現佛身也。欲明聖	益 應 見 佛 身 而 為 得 益 者 現 佛 身 也 欲 明 聖 
T85n2751_001:0197a12	應殊形六道隨物感見。若形方便而為說法	應 殊 形 六 道 隨 物 感 見 若 形 方 便 而 為 說 法 
T85n2751_001:0197a13	者。隨其根性說法不同。答言方便通答第二	者 隨 其 根 性 說 法 不 同 答 言 方 便 通 答 第 二 
T85n2751_001:0197a14	更無別文　第五從無盡意觀世音成就如是	更 無 別 文 第 五 從 無 盡 意 觀 世 音 成 就 如 是 
T85n2751_001:0197a15	已下。訖於遊娑婆世界。欲明觀音於人有恩	已 下 訖 於 遊 娑婆世界 欲 明 觀 音 於 人 有 恩 
T85n2751_001:0197a16	勸人供養。是故者是以觀音垂形六通答無	勸 人 供 養 是 故 者 是 以 觀 音 垂 形 六 通 答 無 
T85n2751_001:0197a17	量故。應當盡受與供養也。能施無畏者。四種	量 故 應 當 盡 受 與 供 養 也 能 施 無 畏 者 四 種 
T85n2751_001:0197a18	施中無畏最上。何者為四。一是財施二施小	施 中 無 畏 最 上 何 者 為 四 一 是 財 施 二 施 小 
T85n2751_001:0197a19	乘。三施大乘。四者無畏施。中最勝故應供	乘 三 施 大 乘 四 者 無 畏 施 中 最 勝 故 應 供 
T85n2751_001:0197a20	養故曰五名名施無畏者。自此已下無盡意	養 故 曰 五 名 名 施 無 畏 者 自 此 已 下 無 盡 意 
T85n2751_001:0197a21	仰奉佛教與供養也。珍寶是財。云何而言受	仰 奉 佛 教 與 供 養 也 珍 寶 是 財 云 何 而 言 受 
T85n2751_001:0197a22	此法施者。欲明無盡意欲使因財以通法也。	此 法 施 者 欲 明 無 盡 意 欲 使 因 財 以 通 法 也 
T85n2751_001:0197a23	觀音初時所以不受凡有二意。一欲使生愍	觀 音 初 時 所 以 不 受 凡 有 二 意 一 欲 使 生 愍 
T85n2751_001:0197a24	懃之心。二表大聖於財無著。後所以受者。知	懃 之 心 二 表 大 聖 於 財 無 著 後 所 以 受 者 知 
T85n2751_001:0197a25	此時會因受迴奉便能解一乘法身故受之。	此 時 會 因 受 迴 奉 便 能 解 一 乘 法 身 故 受 之 
T85n2751_001:0197a26	所以分作二施。二佛者欲明佛至極之果。正	所 以 分 作 二 施 二 佛 者 欲 明 佛 至 極 之 果 正 
T85n2751_001:0197a27	明萬善同歸妙果理無異趣。此表一乘義。二	明 萬 善 同 歸 妙 果 理 無 異 趣 此 表 一 乘 義 二 
T85n2751_001:0197a28	者欲明一分施佛一分施生佛欲表生滅斯皆	者 欲 明 一 分 施 佛 一 分 施 生 佛 欲 表 生 滅 斯 皆 
T85n2751_001:0197a29	是權。准有法身是其真實流通法華正在此	是 權 准 有 法 身 是 其 真 實 流 通 法 華 正 在 此 
T85n2751_001:0197b01	文　第六從爾時持地已下。訖品當時之益	文 第 六 從 爾 時 持 地 已 下 訖 品 當 時 之 益 
T85n2751_001:0197b02	皆發無等等者。菩提妙絕故云無等。諸佛有	皆 發 無 等 等 者 菩 提 妙 絕 故 云 無 等 諸 佛 有 
T85n2751_001:0197b03	證名為等也。	證 名 為 等 也 
T85n2751_001:0197b04	陀羅尼品	陀 羅 尼 品 
T85n2751_001:0197b05	從此下文所以而與猶明方軌末代之中多有	從 此 下 文 所 以 而 與 猶 明 方 軌 末 代 之 中 多 有 
T85n2751_001:0197b06	流礙。若不加護化道則難欲令化流須呪防	流 礙 若 不 加 護 化 道 則 難 欲 令 化 流 須 呪 防 
T85n2751_001:0197b07	護故有此文。二依大士積德遐劫其行深高。	護 故 有 此 文 二 依 大 士 積 德 遐 劫 其 行 深 高 
T85n2751_001:0197b08	內外累亡惡世宣通何待防護令言護者。聽	內 外 累 亡 惡 世 宣 通 何 待 防 護 令 言 護 者 聽 
T85n2751_001:0197b09	法弟子解不堅信。若不既護心則須動化功	法 弟 子 解 不 堅 信 若 不 既 護 心 則 須 動 化 功 
T85n2751_001:0197b10	虛設。由護弟子化道得宜即護法師也。就此	虛 設 由 護 弟 子 化 道 得 宜 即 護 法 師 也 就 此 
T85n2751_001:0197b11	品中凡有四文　第一從初已下。訖得幾所	品 中 凡 有 四 文 第 一 從 初 已 下 訖 得 幾 所 
T85n2751_001:0197b12	福。問弘經人功德多少　第二從佛告已下。	福 問 弘 經 人 功 德 多 少 第 二 從 佛 告 已 下 
T85n2751_001:0197b13	訖功德甚多如來。正為□量持經之人功德	訖 功 德 甚 多 如 來 正 為 量 持 經 之 人 功 德 
T85n2751_001:0197b14	無量。供養諸佛有□散善是其福業。豈況持	無 量 供 養 諸 佛 有 散 善 是 其 福 業 豈 況 持 
T85n2751_001:0197b15	經理中尊淨三相之時解此是惠業俱然高	經 理 中 尊 淨 三 相 之 時 解 此 是 惠 業 俱 然 高 
T85n2751_001:0197b16	勝。此即出下依功德所以俱言一四句偈者。	勝 此 即 出 下 依 功 德 所 以 俱 言 一四句偈 者 
T85n2751_001:0197b17	具欲彰下依得理處少不如上依功德猶常甚	具 欲 彰 下 依 得 理 處 少 不 如 上 依 功 德 猶 常 甚 
T85n2751_001:0197b18	多。況復上依俱然。無量所以出此二依。德	多 況 復 上 依 俱 然 無 量 所 以 出 此 二 依 德 
T85n2751_001:0197b19	者起下況文　第三從爾時藥王菩薩白佛言	者 起 下 況 文 第 三 從 爾 時 藥 王 菩 薩 白 佛 言 
T85n2751_001:0197b20	已下。訖應當擁護如是法師。正明諸人說呪	已 下 訖 應 當 擁 護 如 是 法 師 正 明 諸 人 說 呪 
T85n2751_001:0197b21	加護。就說呪中。第一藥王第二勇施。此之□	加 護 就 說 呪 中 第 一 藥 王 第 二 勇 施 此 之 
T85n2751_001:0197b22	單以呪護。第三毘沙門天王人呪等護。第四	單 以 呪 護 第 三 毘 沙 門 天 王 人 呪 等 護 第 四 
T85n2751_001:0197b23	持國天王二單呪護。第五羅剎女亦身呪兩	持 國 天 王 二 單 呪 護 第 五 羅 剎 女 亦 身 呪 兩 
T85n2751_001:0197b24	護。從佛告諸羅剎女已下。如來述嘆護功無	護 從 佛 告 諸 羅 剎 女 已 下 如 來 述 嘆 護 功 無 
T85n2751_001:0197b25	量。汝等但護四依弟子使經名指尚無量何	量 汝 等 但 護 四 依 弟 子 使 經 名 指 尚 無 量 何 
T85n2751_001:0197b26	呪擁護具足受持者呪護法師。今得流通化	呪 擁 護 具 足 受 持 者 呪 護 法 師 今 得 流 通 化 
T85n2751_001:0197b27	功不綴福德俱然。不可測量　第四說此陀	功 不 綴 福 德 俱 然 不 可 測 量 第 四 說 此 陀 
T85n2751_001:0197b28	羅尼品已下。明當時之益。	羅 尼 品 已 下 明 當 時 之 益 
T85n2751_001:0197b29	妙莊嚴王品	妙 莊 嚴 王 品 
T85n2751_001:0197c01	從已下欲教眾生未來應當藉善知識應如妙	從 已 下 欲 教 眾 生 未 來 應 當 藉 善 知 識 應 如 妙 
T85n2751_001:0197c02	莊嚴王。二依人作善知識應當如彼淨藏淨	莊 嚴 王 二 依 人 作 善 知 識 應 當 如 彼 淨 藏 淨 
T85n2751_001:0197c03	眼淨德夫人。就此品中凡有五文第一從初	眼 淨 德 夫 人 就 此 品 中 凡 有 五 文 第 一 從 初 
T85n2751_001:0197c04	已下訖劫名喜見。明妙莊嚴藉善知識處	已 下 訖 劫 名 喜 見 明 妙 莊 嚴 藉 善 知 識 處 
T85n2751_001:0197c05	　第二從佛法已下訖好樂佛法。正明三聖同	 第 二 從 佛 法 已 下 訖 好 樂 佛 法 正 明 三 聖 同 
T85n2751_001:0197c06	化邪王令生令正見將明化益。先出聽說兩	化 邪 王 令 生 令 正 見 將 明 化 益 先 出 聽 說 兩 
T85n2751_001:0197c07	人字也。從是二子有大神力已下。廣嘆二子	人 字 也 從 是 二 子 有 大 神 力 已 下 廣 嘆 二 子 
T85n2751_001:0197c08	有其高德必能化邪以生正信。文略不嘆夫	有 其 高 德 必 能 化 邪 以 生 正 信 文 略 不 嘆 夫 
T85n2751_001:0197c09	人德也。從爾時彼佛欲引導說法華經上出	人 德 也 從 爾 時 彼 佛 欲 引 導 說 法 華 經 上 出 
T85n2751_001:0197c10	其人令出法藥。所以上子白汝共詣佛所者。	其 人 令 出 法 藥 所 以 上 子 白 汝 共 詣 佛 所 者 
T85n2751_001:0197c11	欲同與邪王作其化緣。應往任父與共去者。	欲 同 與 邪 王 作 其 化 緣 應 往 任 父 與 共 去 者 
T85n2751_001:0197c12	明能化之緣。彼及所化人也。令其文父母心	明 能 化 之 緣 彼 及 所 化 人 也 令 其 文 父 母 心 
T85n2751_001:0197c13	淨信者。既覩神變。背邪歸正道根感發也	淨 信 者 既 覩 神 變 背 邪 歸 正 道 根 感 發 也 
T85n2751_001:0197c14	　第三從於是妙莊嚴王已下訖其國手正功德	 第 三 從 於 是 妙 莊 嚴 王 已 下 訖 其 國 手 正 功 德 
T85n2751_001:0197c15	如是。明妙莊嚴既蒙三聖方便。引化迴邪入	如 是 明 妙 莊 嚴 既 蒙 三 聖 方 便 引 化 迴 邪 入 
T85n2751_001:0197c16	正。諸佛聽法解生或滅。如來即為記其功果	正 諸 佛 聽 法 解 生 或 滅 如 來 即 為 記 其 功 果 
T85n2751_001:0197c17	　第四從其王即時以國付弟已下。訖亦應	 第 四 從 其 王 即 時 以 國 付 弟 已 下 訖 亦 應 
T85n2751_001:0197c18	禮拜。明此邪王既聞授。即便領解歡喜讚嘆	禮 拜 明 此 邪 王 既 聞 授 即 便 領 解 歡 喜 讚 嘆 
T85n2751_001:0197c19	　第五從說是妙莊嚴王本事品已下盡品。	 第 五 從 說 是 妙 莊 嚴 王 本 事 品 已 下 盡 品 
T85n2751_001:0197c20	明當時之益也。	明 當 時 之 益 也 
T85n2751_001:0197c21	普賢品	普 賢 品 
T85n2751_001:0197c22	此人乃是身法大士。妙音一流奪應東方。此	此 人 乃 是 身 法 大 士 妙 音 一 流 奪 應 東 方 此 
T85n2751_001:0197c23	去有緣隨感到此。同與娑婆作受道緣。就此	去 有 緣 隨 感 到 此 同 與 娑 婆 作 受 道 緣 就 此 
T85n2751_001:0197c24	品中凡有二文　第一從初已下訖當為說	品 中 凡 有 二 文 第 一 從 初 已 下 訖 當 為 說 
T85n2751_001:0197c25	之。此是普賢現在之世仰勸如來說於法華。	之 此 是 普 賢 現 在 之 世 仰 勸 如 來 說 於 法 華 
T85n2751_001:0197c26	此之勸諸與身子請一時之事　第二從若善	此 之 勸 諸 與 身 子 請 一 時 之 事 第 二 從 若 善 
T85n2751_001:0197c27	男子已下訖於品末。此明普賢勸其二依及	男 子 已 下 訖 於 品 末 此 明 普 賢 勸 其 二 依 及 
T85n2751_001:0197c28	三品弟子。未來應當受持流通。就初段中復	三 品 弟 子 未 來 應 當 受 持 流 通 就 初 段 中 復 
T85n2751_001:0197c29	有二文　第一從初已下。訖其達已通此經	有 二 文 第 一 從 初 已 下 訖 其 達 已 通 此 經 
T85n2751_001:0198a01	家序列普賢將來之相　第二從佛言已下。	家 序 列 普 賢 將 來 之 相 第 二 從 佛 言 已 下 
T85n2751_001:0198a02	正明普賢勸如來說。遙聞說法華者。聞其略	正 明 普 賢 勸 如 來 說 遙 聞 說 法 華 者 聞 其 略 
T85n2751_001:0198a03	說。唯願說之召請其廣說。就第二後世勸中	說 唯 願 說 之 召 請 其 廣 說 就 第 二 後 世 勸 中 
T85n2751_001:0198a04	復有六文　第一初已下訖必得是經。將明	復 有 六 文 第 一 初 已 下 訖 必 得 是 經 將 明 
T85n2751_001:0198a05	二依未來流通。先出二依體相拔根。此中自	二 依 未 來 流 通 先 出 二 依 體 相 拔 根 此 中 自 
T85n2751_001:0198a06	出下依體根。略不明其上依相也　第二從	出 下 依 體 根 略 不 明 其 上 依 相 也 第 二 從 
T85n2751_001:0198a07	爾時普賢白佛言世尊後五百歲已下。訖皆	爾 時 普 賢 白 佛 言 世 尊 後 五 百 歲 已 下 訖 皆 
T85n2751_001:0198a08	是普賢威神之力。正明普賢勸三品弟子。於	是 普 賢 威 神 之 力 正 明 普 賢 勸 三 品 弟 子 於 
T85n2751_001:0198a09	未來世堅於信受　第三從若有受持讀誦正	未 來 世 堅 於 信 受 第 三 從 若 有 受持讀誦 正 
T85n2751_001:0198a10	憶念已下。訖使不斷絕。正明普賢勸上下二	憶 念 已 下 訖 使 不 斷 絕 正 明 普 賢 勸 上 下 二 
T85n2751_001:0198a11	依。未來若能流通此經功德於益處大不得	依 未 來 若 能 流 通 此 經 功 德 於 益 處 大 不 得 
T85n2751_001:0198a12	不說　第四從爾時釋迦讚言善哉已下。訖	不 說 第 四 從 爾 時 釋 迦 讚 言 善 哉 已 下 訖 
T85n2751_001:0198a13	能修普賢之行。此明如來述其普賢勸於二	能 修 普 賢 之 行 此 明 如 來 述 其 普 賢 勸 於 二 
T85n2751_001:0198a14	依。未來弘經功德處大　第五從普賢勸三	依 未 來 弘 經 功 德 處 大 第 五 從 普 賢 勸 三 
T85n2751_001:0198a15	品弟子。未來受持功德處大　第六從說是	品 弟 子 未 來 受 持 功 德 處 大 第 六 從 說 是 
T85n2751_001:0198a16	品時已下訖於品末。來明當時之益男子女	品 時 已 下 訖 於 品 末 來 明 當 時 之 益 男 子 女 
T85n2751_001:0198a17	人如來滅後云何能說於此經者。欲令如來	人 如來滅後 云 何 能 說 於 此 經 者 欲 令 如 來 
T85n2751_001:0198a18	出下依相。普賢先問具何等行而能惡世弘	出 下 依 相 普 賢 先 問 具 何 等 行 而 能 惡 世 弘 
T85n2751_001:0198a19	通經也。即請未來流通之行。正應直問下依	通 經 也 即 請 未 來 流 通 之 行 正 應 直 問 下 依 
T85n2751_001:0198a20	之人有何等相。如來下答修其四行便能流	之 人 有 何 等 相 如 來 下 答 修 其 四 行 便 能 流 
T85n2751_001:0198a21	通。即下依相。成就四法如來滅後當得是經	通 即 下 依 相 成 就 四 法 如來滅後 當 得 是 經 
T85n2751_001:0198a22	者。當流通經也。四行是何一者為諸佛護念	者 當 流 通 經 也 四 行 是 何 一 者 為 諸 佛 護 念 
T85n2751_001:0198a23	者。既連習種。亦為護念未得深理。不同佛	者 既 連 習 種 亦 為 護 念 未 得 深 理 不 同 佛 
T85n2751_001:0198a24	解　猶有退沒。不與護名。性種已上得埋處深	解 猶 有 退 沒 不 與 護 名 性 種 已 上 得 埋 處 深 
T85n2751_001:0198a25	解同如來。必固不退福與護名　第二殖眾	解 同 如 來 必 固 不 退 福 與 護 名 第 二 殖 眾 
T85n2751_001:0198a26	德本者。初依大士五恒行道廣積萬行。故云	德 本 者 初 依 大 士 五 恒 行 道 廣 積 萬 行 故 云 
T85n2751_001:0198a27	殖眾德本。亦可能解。一乘法身之理。能生萬	殖 眾 德 本 亦 可 能 解 一 乘 法 身 之 理 能 生 萬 
T85n2751_001:0198a28	德名為本也。又復一解五恒行道是本也。今	德 名 為 本 也 又 復 一 解 五 恒 行 道 是 本 也 今 
T85n2751_001:0198a29	能流通即是其德　第三入正定聚者。外凡	能 流 通 即 是 其 德 第 三 入正定聚 者 外 凡 
T85n2751_001:0198b01	夫人名為邪定。性種人名為不定。一得性地	夫 人 名 為 邪 定 性 種 人 名 為 不 定 一 得 性 地 
T85n2751_001:0198b02	永不退失名為正定　第四發救眾生心者。	永 不 退 失 名 為 正 定 第 四 發 救 眾 生 心 者 
T85n2751_001:0198b03	初依大士善識機性慈悲應根授法。必能流	初 依 大 士 善 識 機 性 慈 悲 應 根 授 法 必 能 流 
T85n2751_001:0198b04	通此經也。此總舉結句也　從爾時普賢已	通 此 經 也 此 總 舉 結 句 也 從 爾 時 普 賢 已 
T85n2751_001:0198b05	下第二文也。勸三品弟子。若能未來。從二依	下 第 二 文 也 勸 三 品 弟 子 若 能 未 來 從 二 依 
T85n2751_001:0198b06	所聞法受持者。我當設汝護中有二。一以神	所 聞 法 受 持 者 我 當 設 汝 護 中 有 二 一 以 神 
T85n2751_001:0198b07	力護之。二以呪護。從初已下訖亦為供養法	力 護 之 二 以 呪 護 從 初 已 下 訖 亦 為 供 養 法 
T85n2751_001:0198b08	華經故。明下品弟子能聽受者我即護之。除	華 經 故 明 下 品 弟 子 能 聽 受 者 我 即 護 之 除 
T85n2751_001:0198b09	其裏患使得寧心受持經也。故云令得安穩	其 裏 患 使 得 寧 心 受 持 經 也 故 云 令 得 安 穩 
T85n2751_001:0198b10	外惡不干言無伺求得其也。若魔已下出裏	外 惡 不 干 言 無 伺 求 得 其 也 若 魔 已 下 出 裏 
T85n2751_001:0198b11	想事。是人者下品弟子人也。乘六牙白象者。	想 事 是 人 者 下 品 弟 子 人 也 乘 六牙白象 者 
T85n2751_001:0198b12	法身大士。豈可假運而行正欲寄事以明義	法身大士 豈 可 假 運 而 行 正 欲 寄 事 以 明 義 
T85n2751_001:0198b13	耳。欲明大士唯有萬行化物中要莫通六度	耳 欲 明 大 士 唯 有 萬 行 化 物 中 要 莫 通 六 度 
T85n2751_001:0198b14	故乘六牙。大乘之理其體光潔稱之白。運物	故 乘 六 牙 大 乘 之 理 其 體 光 潔 稱 之 白 運 物 
T85n2751_001:0198b15	出苦名為象也。舉剛攝因就此事以為況耳。	出 苦 名 為 象 也 舉 剛 攝 因 就 此 事 以 為 況 耳 
T85n2751_001:0198b16	供養守護者供養三品人也。所以而然敬法	供 養 守 護 者 供 養 三 品 人 也 所 以 而 然 敬 法 
T85n2751_001:0198b17	故也。下言亦為供養供養經也。此品下品弟	故 也 下 言 亦 為 供 養 供 養 經 也 此 品 下 品 弟 
T85n2751_001:0198b18	子。但生聞惠。從是人若坐思惟已下。訖得如	子 但 生 聞 惠 從 是 人 若 坐 思 惟 已 下 訖 得 如 
T85n2751_001:0198b19	是等陀羅尼。明中品弟子。上明下品直云	是 等 陀 羅 尼 明 中 品 弟 子 上 明 下 品 直 云 
T85n2751_001:0198b20	持。此能思惟即是思惠已勝。於前明知中品。	持 此 能 思 惟 即 是 思 惠 已 勝 於 前 明 知 中 品 
T85n2751_001:0198b21	復乘白象現其前者。應現故也。若於法華為	復 乘 白 象 現 其 前 者 應 現 故 也 若 於 法 華 為 
T85n2751_001:0198b22	所忘失者。此中品人。推生思解過緣還退隨	所 忘 失 者 此 中 品 人 推 生 思 解 過 緣 還 退 隨 
T85n2751_001:0198b23	時為說使伏本解故。我述為說令通利也。大	時 為 說 使 伏 本 解 故 我 述 為 說 令 通 利 也 大 
T85n2751_001:0198b24	士隨機形言噵益處沾彌懃情無有已故。言	士 隨 機 形 言 噵 益 處 沾 彌 懃 情 無 有 已 故 言 
T85n2751_001:0198b25	得□□甚大歡喜轉復精進也。從以見我故	得 甚 大 歡 喜 轉 復 精 進 也 從 以 見 我 故 
T85n2751_001:0198b26	已下出其所得。前下品弟子中准明所除。此	已 下 出 其 所 得 前 下 品 弟 子 中 准 明 所 除 此 
T85n2751_001:0198b27	中恒明所得故。云即得三昧及陀羅尼也。綺	中 恒 明 所 得 故 云 即 得 三 昧 及 陀 羅 尼 也 綺 
T85n2751_001:0198b28	文說也。後五百歲為惠惡世中已下。訖我身	文 說 也 後 五 百 歲 為 惠 惡 世 中 已 下 訖 我 身 
T85n2751_001:0198b29	亦自常護是人。明上弟子。上之二人但生聞	亦 自 常 護 是 人 明 上 弟 子 上 之 二 人 但 生 聞 
T85n2751_001:0198c01	思。此言修習即是修惠。此中亦略不明所得	思 此 言 修 習 即 是 修 惠 此 中 亦 略 不 明 所 得 
T85n2751_001:0198c02	但明所除。從於三七日已下。欲教行人修行	但 明 所 除 從 於 三 七 日 已 下 欲 教 行 人 修 行 
T85n2751_001:0198c03	方法。精進者教明修定。若閑房淨室是下品	方 法 精 進 者 教 明 修 定 若 閑 房 淨 室 是 下 品 
T85n2751_001:0198c04	定形□心攝上品定也。從無有非人已下。正	定 形 心 攝 上 品 定 也 從 無 有 非 人 已 下 正 
T85n2751_001:0198c05	出所除身護三處皆經文。從准願世已下尊	出 所 除 身 護 三 處 皆 經 文 從 准 願 世 已 下 尊 
T85n2751_001:0198c06	說呪總護三品弟子。從有受持讀誦已下第	說 呪 總 護 三 品 弟 子 從 有 受持讀誦 已 下 第 
T85n2751_001:0198c07	三文勸於二依。未來弘經果報則大。經益既	三 文 勸 於 二 依 未 來 弘 經 果 報 則 大 經 益 既 
T85n2751_001:0198c08	大。未來何得不說被於未聞。就中子分復有	大 未 來 何 得 不 說 被 於 未 聞 就 中 子 分 復 有 
T85n2751_001:0198c09	四文　第一從初已下訖手摩其頭。正明普	四 文 第 一 從 初 已 下 訖 手 摩 其 頭 正 明 普 
T85n2751_001:0198c10	賢勸於下依。流通此經功德彌大。當知是人	賢 勸 於 下 依 流 通 此 經 功 德 彌 大 當 知 是 人 
T85n2751_001:0198c11	行普賢行者。普賢正以隨根赴感惡世。宣通	行 普 賢 行 者 普 賢 正 以 隨 根 赴 感 惡 世 宣 通 
T85n2751_001:0198c12	光揚大乘是普賢行。此人流通功同普賢故	光 揚 大 乘 是 普 賢 行 此 人 流 通 功 同 普 賢 故 
T85n2751_001:0198c13	云何行也。初依大士深達乘理善識群機故。	云 何 行 也 初 依 大 士 深 達 乘 理 善 識 群 機 故 
T85n2751_001:0198c14	為如來摩頂付囑　第二從若但書寫已下訖	為 如 來 摩 頂 付 囑 第 二 從 若 但 書 寫 已 下 訖 
T85n2751_001:0198c15	娛樂快。此是習種性中上品人也。所以舉者。	娛 樂 快 此 是 習 種 性 中 上 品 人 也 所 以 舉 者 
T85n2751_001:0198c16	正欲況出上依法師明弟子持經功德尚多。	正 欲 況 出 上 依 法 師 明 弟 子 持 經 功 德 尚 多 
T85n2751_001:0198c17	何況上依惡世通經故。自已言是以命終生	何 況 上 依 惡 世 通 經 故 自 已 言 是 以 命 終 生 
T85n2751_001:0198c18	忉利天者。此已□報驗有內德　第三從何	忉 利 天 者 此 已 報 驗 有 內 德 第 三 從 何 
T85n2751_001:0198c19	況已下訖功德利益。正勸上依末世弘經功	況 已 下 訖 功德利益 正 勸 上 依 末 世 弘 經 功 
T85n2751_001:0198c20	德無量。既有大益不得不說。下就應中明其	德 無 量 既 有 大 益 不 得 不 說 下 就 應 中 明 其 
T85n2751_001:0198c21	弘經所感果報。是人命終者感盡故。千遷前	弘 經 所 感 果 報 是 人 命 終 者 感 盡 故 千 遷 前 
T85n2751_001:0198c22	言命終者報盡終也。與彌勒等同生兜率得	言 命 終 者 報 盡 終 也 與 彌 勒 等 同 生 兜 率 得 
T85n2751_001:0198c23	豫清□故知德大　第四從是故已下訖不斷	豫 清 故 知 德 大 第 四 從 是 故 已 下 訖 不 斷 
T85n2751_001:0198c24	絕。正明普賢結勸。二依智者若能宣通功德	絕 正 明 普 賢 結 勸 二 依 智 者 若 能 宣 通 功 德 
T85n2751_001:0198c25	無量如上所說也。故云應當一心自書使人	無 量 如上所說 也 故 云 應 當 一 心 自 書 使 人 
T85n2751_001:0198c26	書乃至如說修行也。能通化者我要當以身	書 乃 至 如說修行 也 能 通 化 者 我 要 當 以 身 
T85n2751_001:0198c27	況二力加護於汝。外于不干流通大法令不	況 二 力 加 護 於 汝 外 于 不 干 流 通 大 法 令 不 
T85n2751_001:0198c28	隧沒故。以神力通守護。是經閻浮流布使不	隧 沒 故 以 神 力 通 守 護 是 經 閻 浮 流 布 使 不 
T85n2751_001:0198c29	斷絕。從釋迦讚言已下。大段第四如來述其	斷 絕 從 釋 迦 讚 言 已 下 大 段 第 四 如 來 述 其 
T85n2751_001:0199a01	普賢上依未來流通功德是大。就中復有二	普 賢 上 依 未 來 流 通 功 德 是 大 就 中 復 有 二 
T85n2751_001:0199a02	文　第一從初已下訖守護是經將述普賢有	文 第 一 從 初 已 下 訖 守 護 是 經 將 述 普 賢 有 
T85n2751_001:0199a03	其高德　第二從我當以神通力已下。正述	其 高 德 第 二 從 我 當 以 神 通 力 已 下 正 述 
T85n2751_001:0199a04	普賢勸其二依　來世弘經功德甚大。我當	普 賢 勸 其 二 依 來 世 弘 經 功 德 甚 大 我 當 
T85n2751_001:0199a05	以神通力守護能持普賢名。今如來還題說	以 神 通 力 守 護 能 持 普 賢 名 今 如 來 還 題 說 
T85n2751_001:0199a06	普賢勸三品弟子之言。下品中噵其有受持	普 賢 勸 三 品 弟 子 之 言 下 品 中 噵 其 有 受 持 
T85n2751_001:0199a07	是經典者。我當守護除其變患。乃至上品噵	是 經 典 者 我 當 守 護 除 其 變 患 乃 至 上 品 噵 
T85n2751_001:0199a08	我亦自常護是人。受持普賢名者。其受持法	我 亦 自 常 護 是 人 受 持 普 賢 名 者 其 受 持 法 
T85n2751_001:0199a09	華等名也。明弟子持經功德尚大。況復二依	華 等 名 也 明 弟 子 持 經 功 德 尚 大 況 復 二 依 
T85n2751_001:0199a10	未述弟子下別有文。從若有受持不題上普	未 述 弟 子 下 別 有 文 從 若 有 受 持 不 題 上 普 
T85n2751_001:0199a11	賢勸二依之言汝上噵言二依未來流通此經	賢 勸 二 依 之 言 汝 上 噵 言 二 依 未 來 流 通 此 經 
