X22n0432_001:0898b06	修西定課	修 西 定 課 
X22n0432_001:0901a15	佛告者。悲心轉切。故不待問也。	佛 告 者 悲 心 轉 切 故 不 待 問 也 
X22n0432_001:0901a16	從是西方。	從 是 西 方 
X22n0432_001:0901a17	從。由也。是。概指此娑婆世界也。西方者。向西方去	從 由 也 是 概 指 此 娑婆世界 也 西 方 者 向 西 方 去 
X22n0432_001:0901a18	也。單指一方者。定於一方。神志專寂。方能發起修	也 單 指 一 方 者 定 於 一 方 神 志 專 寂 方 能 發 起 修 
X22n0432_001:0901a19	行功用而成就也。必云西者。以娑婆適在極樂之	行 功 用 而 成 就 也 必 云 西 者 以 娑 婆 適 在 極 樂 之 
X22n0432_001:0901a20	東耳。無他義也。	東 耳 無 他 義 也 
X22n0432_001:0901a21	過十萬億佛土。	過 十 萬 億 佛 土 
X22n0432_001:0901a22	千萬為億。或曰十萬為億。佛土。一大千土也。一大	千 萬 為 億 或 曰 十 萬 為 億 佛 土 一 大 千 土 也 一 大 
X22n0432_001:0901a23	千中。一佛主化。	千 中 一 佛 主 化 
X22n0432_001:0901a24	有世界。	有 世 界 
X22n0432_001:0901b01	世者時分。謂過去現在未來也。界者地分。謂八方	世 者 時 分 謂 過去現在未來 也 界 者 地 分 謂 八 方 
X22n0432_001:0901b02	上下也。於一片心光中而現虗空。於虗空中而現	上 下 也 於 一 片 心 光 中 而 現 虗 空 於 虗 空 中 而 現 
X22n0432_001:0901b03	風輪。於風輪中而現地界。地分既立。時分隨起。故	風 輪 於 風 輪 中 而 現 地 界 地 分 既 立 時 分 隨 起 故 
X22n0432_001:0901b04	稱世界矣。心光無量。虗空無量。一切世界亦復無	稱 世 界 矣 心 光 無 量 虗 空 無 量 一切世界 亦 復 無 
X22n0432_001:0901b05	量。故有西方極樂世界。及極樂之西方種種世界。	量 故 有 西方極樂 世 界 及 極 樂 之 西 方 種 種 世 界 
X22n0432_001:0901b06	有東方娑婆世界。及娑婆之東方種種世界。上方	有 東 方 娑婆世界 及 娑 婆 之 東 方 種 種 世 界 上 方 
X22n0432_001:0901b07	之上。下方之下。南方之南。北方之北。無不各有種	之 上 下 方 之 下 南 方 之 南 北 方 之 北 無 不 各 有 種 
X22n0432_001:0901b08	種世界焉。我輩所居。名曰娑婆。娑婆。堪忍也。言眾	種 世 界 焉 我 輩 所 居 名 曰 娑 婆 娑 婆 堪 忍 也 言 眾 
X22n0432_001:0901b09	生忍苦也。佛大慈悲。故對此苦眾生而說十萬億	生 忍 苦 也 佛 大 慈 悲 故 對 此 苦 眾 生 而 說 十 萬 億 
X22n0432_001:0901b10	剎外之世界。欲眾生以一念飛心而橫出此娑婆	剎 外 之 世 界 欲 眾 生 以 一 念 飛 心 而 橫 出 此 娑 婆 
X22n0432_001:0901b11	也。○二乘不出大千。梵世或拘中小。天福所限。在	也 二 乘 不 出 大 千 梵 世 或 拘 中 小 天 福 所 限 在 
X22n0432_001:0901b12	一界中。神仙丹力。在欲界內。平心思之。卑小不足	一 界 中 神 仙 丹 力 在 欲 界 內 平 心 思 之 卑 小 不 足 
X22n0432_001:0901b13	言也。佛乃於眾生大夢中。呼而告之曰。過十萬億	言 也 佛 乃 於 眾 生 大 夢 中 呼 而 告 之 曰 過 十 萬 億 
X22n0432_001:0901b14	土有世界。嗚呼。方知別有乾坤矣。○心性輪。即人	土 有 世 界 嗚 呼 方 知 別 有 乾 坤 矣 心 性 輪 即 人 
X22n0432_001:0901b15	之一念也。心性輪中現虗空輪。虗空輪中現無量	之 一 念 也 心 性 輪 中 現 虗 空 輪 虗 空 輪 中 現 無 量 
X22n0432_001:0901b16	風輪。一風輪中現一金輪。即地輪之下面也。金輪	風 輪 一 風 輪 中 現 一 金 輪 即 地 輪 之 下 面 也 金 輪 
X22n0432_001:0901b17	上現火輪。火輪上現水輪。水輪上露出種種山種	上 現 火 輪 火 輪 上 現 水 輪 水 輪 上 露 出 種 種 山 種 
X22n0432_001:0901b18	種洲。即地輪之上面也。居中最妙而高者須彌山。	種 洲 即 地 輪 之 上 面 也 居 中 最 妙 而 高 者 須 彌 山 
X22n0432_001:0901b19	山腰中。一日一月。回環而來往。地輪低處。名曰地	山 腰 中 一 日 一 月 回 環 而 來 往 地 輪 低 處 名 曰 地 
X22n0432_001:0901b20	獄。地輪高處。須彌頂須彌埵。皆曰天宮。過須彌頂	獄 地 輪 高 處 須 彌 頂 須 彌 埵 皆 曰 天 宮 過 須 彌 頂 
X22n0432_001:0901b21	依空而住之四種天。連須彌頂忉利天須彌埵四	依 空 而 住 之 四 種 天 連 須 彌 頂 忉 利 天 須 彌 埵 四 
X22n0432_001:0901b22	王天。名六欲天。再上有三層天。名曰初禪。如是初	王 天 名 六 欲 天 再 上 有 三 層 天 名 曰 初 禪 如 是 初 
X22n0432_001:0901b23	禪至於地獄。名為小世界也。積一千個小世界。名	禪 至 於 地 獄 名 為 小 世 界 也 積 一 千 個 小 世 界 名 
X22n0432_001:0901b24	曰小千。有二禪天王主之。積一千個小千世界。名	曰 小 千 有 二 禪 天 王 主 之 積 一 千 個 小千世界 名 
X22n0432_001:0901c01	曰中千。有三禪天王主之。積一千個中千世界。名	曰 中 千 有 三 禪 天 王 主 之 積 一 千 個 中千世界 名 
X22n0432_001:0901c02	曰大千。有四禪天王主之。四禪天中。有無想天五	曰 大 千 有 四 禪 天 王 主 之 四 禪 天 中 有 無 想 天 五 
X22n0432_001:0901c03	不還天寄居焉。天王不見不知也。四禪以上。名曰	不 還 天 寄 居 焉 天 王 不 見 不 知 也 四 禪 以 上 名 曰 
X22n0432_001:0901c04	空天。魂識雖存。身相消滅。亦在大千中也。如是大	空 天 魂 識 雖 存 身 相 消 滅 亦 在 大 千 中 也 如 是 大 
X22n0432_001:0901c05	千。名一佛土。○彌陀之極樂。一大千也。釋迦之娑	千 名 一 佛 土 彌 陀 之 極 樂 一 大 千 也 釋 迦 之 娑 
X22n0432_001:0901c06	婆。亦一大千也。一大千中。現百億日月。現百億化	婆 亦 一 大 千 也 一 大 千 中 現 百 億 日 月 現 百 億 化 
X22n0432_001:0901c07	佛。淨穢短長。隱顯出沒。彼此輝映而成文。如雲中	佛 淨 穢 短 長 隱 顯 出 沒 彼 此 輝 映 而 成 文 如 雲 中 
X22n0432_001:0901c08	燈。如水中月。○世界相疊。名世界海。世界海重重	燈 如水中月 世 界 相 疊 名 世 界 海 世 界 海 重 重 
X22n0432_001:0901c09	無盡。出於世界種。世界種重重無盡。出於蓮花香	無 盡 出 於 世 界 種 世 界 種 重 重 無 盡 出 於 蓮 花 香 
X22n0432_001:0901c10	水海中。此花藏中。種種莊嚴。名花嚴也。蓮花則一。	水 海 中 此 花 藏 中 種 種 莊 嚴 名 花 嚴 也 蓮 花 則 一 
X22n0432_001:0901c11	譬如真心。世界則多。譬如妄想。然即此蓮花。非真	譬 如 真 心 世 界 則 多 譬 如 妄 想 然 即 此 蓮 花 非 真 
X22n0432_001:0901c12	非妄也。	非 妄 也 
X22n0432_001:0901c13	名曰極樂。	名 曰 極 樂 
X22n0432_001:0901c14	統指西方。則世界甚多。好醜不一。標明極樂。則專	統 指 西 方 則 世 界 甚 多 好 醜 不 一 標 明 極 樂 則 專 
X22n0432_001:0901c15	誠決定。更無歧誤之憂矣。○世人以西天作西方	誠 決 定 更 無 歧 誤 之 憂 矣 世 人 以 西 天 作 西 方 
X22n0432_001:0901c16	淨土。非也。西天乃天竺國。是娑婆內之西方。非娑	淨 土 非 也 西 天 乃 天 竺 國 是 娑 婆 內 之 西 方 非 娑 
X22n0432_001:0901c17	婆外之西方。不可錯會。○人間天上之樂。不及彌	婆 外 之 西 方 不 可 錯 會 人 間 天 上 之 樂 不 及 彌 
X22n0432_001:0901c18	陀國土。二乘禪定之樂。不及彌陀國土。一切諸佛	陀 國 土 二 乘 禪 定 之 樂 不 及 彌 陀 國 土 一切諸佛 
X22n0432_001:0901c19	剎中。有因緣未符。有功修帶退。雖有種種之樂。亦	剎 中 有 因 緣 未 符 有 功 修 帶 退 雖 有 種 種 之 樂 亦 
X22n0432_001:0901c20	不及彌陀國土。生彌陀國土者。自然花開。自然見	不 及 彌 陀 國 土 生 彌 陀 國 土 者 自 然 花 開 自 然 見 
X22n0432_001:0901c21	佛。自然聞妙法。自然發神通。自然度生。自然成道。	佛 自 然 聞 妙 法 自 然 發 神 通 自 然 度 生 自 然 成 道 
X22n0432_001:0901c22	靈氣蕭然。更無餘累。圓融一鏡。方是樂矣。	靈 氣 蕭 然 更 無 餘 累 圓 融 一 鏡 方 是 樂 矣 
X22n0432_001:0901c23	其土有佛。號阿彌陀。	其 土 有 佛 號 阿 彌 陀 
X22n0432_001:0901c24	佛為一世界中教化之主。故首標之。又阿彌陀佛。	佛 為 一 世 界 中 教 化 之 主 故 首 標 之 又 阿 彌 陀 佛 
X22n0432_001:0902a01	專以名號教人持念而得往生。故急標之。阿者無	專 以 名 號 教 人 持 念 而 得 往 生 故 急 標 之 阿 者 無 
X22n0432_001:0902a02	也。彌陀者量也。佛者覺也。覺者心之光明也。阿彌	也 彌 陀 者 量 也 佛 者 覺 也 覺 者 心 之 光 明 也 阿 彌 
X22n0432_001:0902a03	陀佛以無量心光而成佛。我輩亦以無量心光而	陀 佛 以 無 量 心 光 而 成 佛 我 輩 亦 以 無 量 心 光 而 
X22n0432_001:0902a04	念佛。以阿彌陀念阿彌陀。念念皆歸無量也。○心	念 佛 以 阿 彌 陀 念 阿 彌 陀 念 念 皆 歸 無 量 也 心 
X22n0432_001:0902a05	之光明。如一大圓鏡。周滿虗空。無彼無此。我取之	之 光 明 如 一 大 圓 鏡 周 滿 虗 空 無 彼 無 此 我 取 之 
X22n0432_001:0902a06	則全是我鏡也。佛契之則全是佛鏡也。以佛鏡中	則 全 是 我 鏡 也 佛 契 之 則 全 是 佛 鏡 也 以 佛 鏡 中 
X22n0432_001:0902a07	之我。念我鏡中之佛。以我鏡中之佛。度佛鏡中之	之 我 念 我 鏡 中 之 佛 以 我 鏡 中 之 佛 度 佛 鏡 中 之 
X22n0432_001:0902a08	我。	我 
X22n0432_001:0902a09	今現在說法。	今 現 在 說 法 
X22n0432_001:0902a10	現在者。非如釋迦住世八十餘年。俄成過去也。非	現 在 者 非 如 釋 迦 住 世 八 十 餘 年 俄 成 過 去 也 非 
X22n0432_001:0902a11	如彌勒歷千萬年下降。方在未來也。眾生今日不	如 彌 勒 歷 千 萬 年 下 降 方 在 未 來 也 眾 生 今 日 不 
X22n0432_001:0902a12	得解脫。眾生今日急求解脫。說法於今日。非今日	得 解 脫 眾 生 今 日 急 求 解 脫 說 法 於 今 日 非 今 日 
X22n0432_001:0902a13	之救急神方乎。雖曰十萬億。但是一心光。心念動	之 救 急 神 方 乎 雖 曰 十 萬 億 但是一心 光 心 念 動 
X22n0432_001:0902a14	處。即能於心鏡中而成感應。○諸佛心光。融通三	處 即 能 於 心 鏡 中 而 成 感 應 諸 佛 心 光 融 通 三 
X22n0432_001:0902a15	世。眾生不悟。且滯於今。即所滯而成通。無上醫王	世 眾 生 不 悟 且 滯 於 今 即 所 滯 而 成 通 無 上 醫 王 
X22n0432_001:0902a16	之妙用也。後文云。成佛以來。於今十劫。又曰。今發	之 妙 用 也 後 文 云 成 佛 以 來 於 今 十 劫 又 曰 今 發 
X22n0432_001:0902a17	願。若今生。嗚呼。錯過而今。必一誤而生百誤。人命	願 若 今 生 嗚 呼 錯 過 而 今 必 一 誤 而 生 百 誤 人 命 
X22n0432_001:0902a18	在呼吸。宜各自勉之。	在 呼 吸 宜 各 自 勉 之 
X22n0432_001:0902a19	舍利弗。	舍 利 弗 
X22n0432_001:0902a20	前之我聞。是即阿難之我。而顯一切誦經者之我。	前 之 我 聞 是 即 阿 難 之 我 而 顯 一 切 誦 經 者 之 我 
X22n0432_001:0902a21	此之舍利弗。是即舍利弗之心。而喚醒一切眾生	此 之 舍 利 弗 是 即 舍 利 弗 之 心 而 喚 醒 一 切 眾 生 
X22n0432_001:0902a22	之心。故頻呼頻喚也。嗚呼。一月千江。理通凡聖。我	之 心 故 頻 呼 頻 喚 也 嗚 呼 一 月 千 江 理 通 凡 聖 我 
X22n0432_001:0902a23	輩若明佛用。安得不感激涕零。而思所以報佛恩	輩 若 明 佛 用 安 得 不 感 激 涕 零 而 思 所 以 報 佛 恩 
X22n0432_001:0902a24	乎。	乎 
X22n0432_001:0902b01	彼土何故名為極樂。其國眾生。無有眾苦。但受諸樂。	彼 土 何 故 名 為 極 樂 其 國 眾 生 無 有 眾 苦 但 受 諸 樂 
X22n0432_001:0902b02	故名極樂。	故 名 極 樂 
X22n0432_001:0902b03	眾生者。合眾陰而有生者也。眾陰。五陰也。色之一	眾 生 者 合 眾 陰 而 有 生 者 也 眾 陰 五 陰 也 色 之 一 
X22n0432_001:0902b04	陰。名曰外法。受想行識。名曰內心。為五陰所拘牽。	陰 名 曰 外 法 受 想 行 識 名 曰 內 心 為 五 陰 所 拘 牽 
X22n0432_001:0902b05	即佛體而成眾生。不為五陰所拘牽。即眾生而證	即 佛 體 而 成 眾 生 不 為 五 陰 所 拘 牽 即 眾 生 而 證 
X22n0432_001:0902b06	佛體。眾苦者。三苦五苦八苦也。苦時名苦苦。樂時	佛 體 眾 苦 者 三 苦 五 苦 八 苦 也 苦 時 名 苦 苦 樂 時 
X22n0432_001:0902b07	不堅名壞苦。中等境界不可住名行苦。此三苦也。	不 堅 名 壞 苦 中 等 境 界 不 可 住 名 行 苦 此 三 苦 也 
X22n0432_001:0902b08	生時苦。昏濁甚也。老時苦。疲癃極也。病時苦。痛癢	生 時 苦 昏 濁 甚 也 老 時 苦 疲 癃 極 也 病 時 苦 痛 癢 
X22n0432_001:0902b09	深也。死時苦。神脈亂也。苦時苦。境界違也。此五苦	深 也 死 時 苦 神 脈 亂 也 苦 時 苦 境 界 違 也 此 五 苦 
X22n0432_001:0902b10	也。將一苦苦開之為四。便成八苦。所謂求不得苦。	也 將 一 苦 苦 開 之 為 四 便 成 八 苦 所 謂 求不得苦 
X22n0432_001:0902b11	愛別離苦。怨憎會苦。五陰盛苦。諸樂者。兼世間樂	愛別離苦 怨憎會苦 五 陰 盛 苦 諸 樂 者 兼 世 間 樂 
X22n0432_001:0902b12	出世間樂言之也。七寶光明。飛行來往。世間樂也。	出 世 間 樂 言 之 也 七 寶 光 明 飛 行 來 往 世 間 樂 也 
X22n0432_001:0902b13	念佛法僧。與上善聚。出世間樂也。不退菩提。證入	念 佛 法 僧 與 上 善 聚 出 世 間 樂 也 不 退 菩 提 證 入 
X22n0432_001:0902b14	補處。出世間上上樂也。至於此。受無所受。名曰正	補 處 出 世 間 上 上 樂 也 至 於 此 受 無 所 受 名 曰 正 
X22n0432_001:0902b15	受。○受無所受。是悟境。受有所受。是未悟境。極樂	受 受 無 所 受 是 悟 境 受 有 所 受 是 未 悟 境 極 樂 
X22n0432_001:0902b16	世界。兼而有之。常寂光土。即在同居。即聖即凡。三	世 界 兼 而 有 之 常 寂 光 土 即 在 同 居 即 聖 即 凡 三 
X22n0432_001:0902b17	根並往。佛無不引手而援之也。	根 並 往 佛 無 不 引 手 而 援 之 也 
X22n0432_001:0902b18	又舍利弗。極樂國土。七重欄楯。七重羅網。七重行樹。	又 舍 利 弗 極樂國土 七 重 欄 楯 七 重 羅 網 七重行樹 
X22n0432_001:0902b19	皆是四寶周帀圍繞。	皆 是 四 寶 周 帀 圍 繞 
X22n0432_001:0902b20	他世界以鐵圍為障。極樂世界。以寶欄寶網寶樹	他 世 界 以 鐵 圍 為 障 極樂世界 以 寶 欄 寶 網 寶 樹 
X22n0432_001:0902b21	標其疆界。備剎土之儀式而已。四寶。金銀琉璃玻	標 其 疆 界 備 剎 土 之 儀 式 而 已 四 寶 金 銀 琉 璃 玻 
X22n0432_001:0902b22	瓈也。	瓈 也 
X22n0432_001:0902b23	是故彼國名為極樂。	是 故 彼 國 名 為 極 樂 
X22n0432_001:0902b24	纔入西方。先見重重寶聚光明。頓悟爾界此疆。皆	纔 入 西 方 先 見 重 重 寶 聚 光 明 頓 悟 爾 界 此 疆 皆 
X22n0432_001:0902c01	如影現。此生平未見之第一樂也。	如 影 現 此 生 平 未 見 之 第 一 樂 也 
X22n0432_001:0902c02	又舍利弗。極樂國土。有七寶池。	又 舍 利 弗 極樂國土 有 七 寶 池 
X22n0432_001:0902c03	淨業所感。平直光明。故無山海之險也。但以寶池	淨 業 所 感 平 直 光 明 故 無 山 海 之 險 也 但 以 寶 池 
X22n0432_001:0902c04	樓閣。光華映帶而已。七寶池者。七處寶池也。	樓 閣 光 華 映 帶 而 已 七 寶 池 者 七 處 寶 池 也 
X22n0432_001:0902c05	八功德水。充滿其中。	八功德水 充 滿 其 中 
X22n0432_001:0902c06	八功德者。一澄淨。二清冷。三甘美。四輕輭。五潤澤。	八 功 德 者 一 澄 淨 二 清 冷 三 甘 美 四 輕 輭 五 潤 澤 
X22n0432_001:0902c07	六安和。七除饑渴。八長養諸根也。	六 安 和 七 除 饑 渴 八 長 養 諸 根 也 
X22n0432_001:0902c08	池底純以金沙布地。	池 底 純 以 金 沙 布 地 
X22n0432_001:0902c09	泥沙者。惡業所感也。神明清發。善業堅純。故感現	泥 沙 者 惡 業 所 感 也 神 明 清 發 善 業 堅 純 故 感 現 
X22n0432_001:0902c10	金沙矣。	金 沙 矣 
X22n0432_001:0902c11	四邊階道。金銀琉璃玻瓈合成。上有樓閣。亦以金銀	四 邊 階 道 金 銀 琉 璃 玻 瓈 合 成 上 有 樓 閣 亦 以 金 銀 
X22n0432_001:0902c12	琉璃玻瓈硨磲赤珠瑪瑙而嚴飾之。	琉 璃 玻 瓈 硨 磲 赤 珠 瑪 瑙 而 嚴 飾 之 
X22n0432_001:0902c13	琉璃。非石汁也。玻瓈。非礦脂也。硨磲。非紋石也。赤	琉 璃 非 石 汁 也 玻 瓈 非 礦 脂 也 硨 磲 非 紋 石 也 赤 
X22n0432_001:0902c14	珠。非蚌精也。以此土之物名。顯彼土之物相。彼土	珠 非 蚌 精 也 以 此 土 之 物 名 顯 彼 土 之 物 相 彼 土 
X22n0432_001:0902c15	之物。實非此土之可比也。	之 物 實 非 此 土 之 可 比 也 
X22n0432_001:0902c16	池中蓮華。大如車輪。青色青光。黃色黃光。赤色赤光。	池 中 蓮 華 大 如 車 輪 青 色 青 光 黃 色 黃 光 赤 色 赤 光 
X22n0432_001:0902c17	白色白光。微妙香潔。	白 色 白 光 微 妙 香 潔 
X22n0432_001:0902c18	生彼土者。以蓮花為父母。故詳讚之。極樂世界。並	生 彼 土 者 以 蓮 花 為 父 母 故 詳 讚 之 極樂世界 並 
X22n0432_001:0902c19	無女人。女人往生。皆成男子。故人皆生於蓮花中	無 女 人 女 人 往 生 皆 成 男 子 故 人 皆 生 於 蓮 花 中 
X22n0432_001:0902c20	也。濁世血肉之胎。重麤臭穢。故人之福慧光明。在	也 濁 世 血 肉 之 胎 重 麤 臭 穢 故 人 之 福 慧 光 明 在 
X22n0432_001:0902c21	母腹中全然亡失。及其生而轉轉不靈也。淨土蓮	母 腹 中 全 然 亡 失 及 其 生 而 轉 轉 不 靈 也 淨 土 蓮 
X22n0432_001:0902c22	花之胎。微妙香潔。故人之福慧光明。在佛性中一	花 之 胎 微 妙 香 潔 故 人 之 福 慧 光 明 在 佛 性 中 一 
X22n0432_001:0902c23	時炳現。及其生而運運全超也。○諸天宮中。亦有	時 炳 現 及 其 生 而 運 運 全 超 也 諸 天 宮 中 亦 有 
X22n0432_001:0902c24	蓮華。然但因福報。並無了緣。是有量非無量也。若	蓮 華 然 但 因 福 報 並 無 了 緣 是 有 量 非 無 量 也 若 
X22n0432_001:0903a01	以一念念佛影子。落於阿彌陀佛心鏡之中。神明	以 一 念 念 佛 影 子 落 於 阿 彌 陀 佛 心 鏡 之 中 神 明 
X22n0432_001:0903a02	發而因果皆靈。自能永永玲瓏。優入聖位。○蓮花	發 而 因 果 皆 靈 自 能 永 永 玲 瓏 優 入 聖 位 蓮 花 
X22n0432_001:0903a03	從心化出。凡人發一念願往之時。西方七寶池中。	從 心 化 出 凡 人 發 一 念 願 往 之 時 西 方 七 寶 池 中 
X22n0432_001:0903a04	便生蓮萼一朵。若能念念熏修。則寶脈深涵。香風	便 生 蓮 萼 一 朵 若 能 念 念 熏 修 則 寶 脈 深 涵 香 風 
X22n0432_001:0903a05	茂著矣。○大如車輪。言與身相稱也。若諸天龍。身	茂 著 矣 大 如 車 輪 言 與 身 相 稱 也 若 諸 天 龍 身 
X22n0432_001:0903a06	長數百里。往生花輪。必不能反縮小也。淨土菩薩。	長 數 百 里 往 生 花 輪 必 不 能 反 縮 小 也 淨 土 菩 薩 
X22n0432_001:0903a07	身量廣長。不可思議。豈拘拘於數尺以為輪乎。當	身 量 廣 長 不可思議 豈 拘 拘 於 數 尺 以 為 輪 乎 當 
X22n0432_001:0903a08	知一切諸法。從心量而不同。神明自召。非如來之	知 一切諸法 從 心 量 而 不 同 神 明 自 召 非 如 來 之 
X22n0432_001:0903a09	有以限人也。○念心靈發。光明相交。即心即花。凝	有 以 限 人 也 念 心 靈 發 光 明 相 交 即 心 即 花 凝 
X22n0432_001:0903a10	然一際。故身未往。而神明已住花中矣。	然 一 際 故 身 未 往 而 神 明 已 住 花 中 矣 
X22n0432_001:0903a11	舍利弗。極樂國土。成就如是功德莊嚴。	舍 利 弗 極樂國土 成 就 如 是 功德莊嚴 
X22n0432_001:0903a12	此是國土疆界寶池蓮萼之莊嚴也。	此 是 國 土 疆 界 寶 池 蓮 萼 之 莊 嚴 也 
X22n0432_001:0903a13	又舍利弗。彼佛國土。常作天樂。	又 舍 利 弗 彼 佛 國 土 常 作 天 樂 
X22n0432_001:0903a14	西方音樂。不扣自鳴。此以寶音聲莊嚴於上也。	西 方 音 樂 不 扣 自 鳴 此 以 寶 音 聲 莊 嚴 於 上 也 
X22n0432_001:0903a15	黃金為地。	黃 金 為 地 
X22n0432_001:0903a16	此以寶光明莊嚴於下也。	此 以 寶 光明莊嚴 於 下 也 
X22n0432_001:0903a17	晝夜六時。雨天曼陀羅華。	晝 夜 六 時 雨 天曼陀羅華 
X22n0432_001:0903a18	戌子寅為夜三時。辰午申為晝三時。修行者候之	戌 子 寅 為 夜 三 時 辰 午 申 為 晝 三 時 修 行 者 候 之 
X22n0432_001:0903a19	以為節。夫極樂國土。純是光明境界。豈借日月以	以 為 節 夫 極樂國土 純 是 光 明 境 界 豈 借 日 月 以 
X22n0432_001:0903a20	分晝夜。但是蓮花開合而已。雨。降也。曼陀羅。白色	分 晝 夜 但 是 蓮 花 開 合 而 已 雨 降 也 曼 陀 羅 白 色 
X22n0432_001:0903a21	也。前以聲光莊嚴界分。此以香光莊嚴時分。縱橫	也 前 以 聲 光 莊 嚴 界 分 此 以 香 光 莊 嚴 時 分 縱 橫 
X22n0432_001:0903a22	自在。全現寶心。	自 在 全 現 寶 心 
X22n0432_001:0903a23	其土眾生。	其 土 眾 生 
X22n0432_001:0903a24	名為眾生。實菩薩也。	名 為 眾 生 實 菩 薩 也 
X22n0432_001:0903b01	常以清旦。	常 以 清 旦 
X22n0432_001:0903b02	初日分也。	初 日 分 也 
X22n0432_001:0903b03	各以衣裓。盛眾妙華。供養他方十萬億佛(裓音革)。	各 以 衣 裓 盛 眾 妙 華 供 養 他 方 十 萬 億 佛 裓 音 革 
X22n0432_001:0903b04	往生之時。飛心妙出十萬億佛土。往生之後。飛身	往 生 之 時 飛 心 妙 出 十 萬 億 佛 土 往 生 之 後 飛 身 
X22n0432_001:0903b05	妙入十萬億佛土。衣裓。衣襟也。分身靈變。普到佛	妙 入 十 萬 億 佛 土 衣 裓 衣 襟 也 分 身 靈 變 普 到 佛 
X22n0432_001:0903b06	前。故能一晨朝而徧供十萬億也。	前 故 能 一 晨 朝 而 徧 供 十 萬 億 也 
X22n0432_001:0903b07	即以食時。還到本國。	即 以 食 時 還 到 本 國 
X22n0432_001:0903b08	辰去已還。玲瓏影現。多寡遠近。固不足以累其心	辰 去 已 還 玲 瓏 影 現 多 寡 遠 近 固 不 足 以 累 其 心 
X22n0432_001:0903b09	也。	也 
X22n0432_001:0903b10	飯食經行。	飯 食 經 行 
X22n0432_001:0903b11	有以禪悅為食者。有以見色聞香為食者。有食變	有 以 禪 悅 為 食 者 有 以 見 色 聞 香 為 食 者 有 食 變 
X22n0432_001:0903b12	化飲食者。食後經行。動靜皆入佛機也。	化 飲 食 者 食 後 經 行 動 靜 皆 入 佛 機 也 
X22n0432_001:0903b13	舍利弗。極樂國土。成就如是功德莊嚴。	舍 利 弗 極樂國土 成 就 如 是 功德莊嚴 
X22n0432_001:0903b14	此是佛我身心自在供養之莊嚴也。	此 是 佛 我 身 心 自 在 供 養 之 莊 嚴 也 
X22n0432_001:0903b15	復次。	復 次 
X22n0432_001:0903b16	再言也。	再 言 也 
X22n0432_001:0903b17	舍利弗。彼國常有種種奇妙雜色之鳥。	舍 利 弗 彼 國 常 有 種 種 奇 妙 雜 色 之 鳥 
X22n0432_001:0903b18	以下鳥名。多是比例。彼國眾鳥。本無定形。不可以	以 下 鳥 名 多 是 比 例 彼 國 眾 鳥 本 無 定 形 不 可 以 
X22n0432_001:0903b19	大小濃淡思也。	大 小 濃 淡 思 也 
X22n0432_001:0903b20	白鶴孔雀。鸚鵡舍利。迦陵頻伽。共命之鳥。	白 鶴 孔 雀 鸚 鵡 舍 利 迦陵頻伽 共 命 之 鳥 
X22n0432_001:0903b21	舍利。鶖鷺之類也。迦陵頻伽。妙音神鳥也。共命鳥。	舍 利 鶖 鷺 之 類 也 迦陵頻伽 妙 音 神 鳥 也 共 命 鳥 
X22n0432_001:0903b22	一足一翼。相並則生。相分則死。爾雅謂之比翼。世	一 足 一 翼 相 並 則 生 相 分 則 死 爾 雅 謂 之 比 翼 世 
X22n0432_001:0903b23	俗號曰雙頭。恩愛苦纏。報成此鳥。彼土化現。若同	俗 號 曰 雙 頭 恩 愛 苦 纏 報 成 此 鳥 彼 土 化 現 若 同 
X22n0432_001:0903b24	此形也。	此 形 也 
X22n0432_001:0903c01	是諸眾鳥。晝夜六時。出和雅音。其音演暢五根五力。	是 諸 眾 鳥 晝 夜 六 時 出 和 雅 音 其 音 演 暢 五 根 五 力 
X22n0432_001:0903c02	七菩提分。八聖道分。如是等法。	七菩提分 八 聖 道 分 如 是 等 法 
X22n0432_001:0903c03	有三十七助道品。四意止。四正勤。四神足。及根力	有 三 十 七 助 道 品 四 意 止 四 正 勤 四 神 足 及 根 力 
X22n0432_001:0903c04	覺道也。五根者。信進念定慧也。五力者。根所發也。	覺 道 也 五 根 者 信 進 念 定 慧 也 五 力 者 根 所 發 也 
X22n0432_001:0903c05	七覺者。一擇法。二精進。三喜。四除。五捨。六定。七念	七 覺 者 一 擇 法 二 精 進 三 喜 四 除 五 捨 六 定 七 念 
X22n0432_001:0903c06	也。八道者。正見。正思惟。正語。正業。正命。正精進。正	也 八 道 者 正 見 正 思 惟 正 語 正 業 正 命 正 精 進 正 
X22n0432_001:0903c07	念。正定也。	念 正 定 也 
X22n0432_001:0903c08	其土眾生。聞是音已。皆悉念佛念法念僧。	其 土 眾 生 聞 是 音 已 皆 悉 念 佛 念 法 念 僧 
X22n0432_001:0903c09	故善用其所聞者。一切音皆是佛音也。法者。佛之	故 善 用 其 所 聞 者 一 切 音 皆 是 佛 音 也 法 者 佛 之 
X22n0432_001:0903c10	所以成佛者也。僧者。菩薩聲聞也。	所 以 成 佛 者 也 僧 者 菩 薩 聲 聞 也 
X22n0432_001:0903c11	舍利弗。汝勿謂此鳥。實是罪報所生。所以者何。彼佛	舍 利 弗 汝 勿 謂 此 鳥 實 是 罪 報 所 生 所以者何 彼 佛 
X22n0432_001:0903c12	國土。無三惡道。	國 土 無 三 惡 道 
