T51n2089_001:0975a09	遊方記抄	遊 方 記 抄 
T51n2089_001:0979b12	于闐有一漢寺。名龍興寺。有一漢僧。名□□。	于 闐 有 一 漢 寺 名 龍 興 寺 有 一 漢 僧 名 
T51n2089_001:0979b13	是彼寺主。大好住持。彼僧是河北冀州人士	是 彼 寺 主 大 好 住 持 彼 僧 是 河 北 冀 州 人 士 
T51n2089_001:0979b14	疎勒亦有漢大雲寺。有一漢僧住持。即是	疎 勒 亦 有 漢 大 雲 寺 有 一 漢 僧 住 持 即 是 
T51n2089_001:0979b15	崏州人士　又從安西東行□□至烏耆國。	崏 州 人 士 又 從 安 西 東 行 至 烏 耆 國 
T51n2089_001:0979b16	是漢軍兵□領押。有王。百姓是胡。足寺足僧。	是 漢 軍 兵 領 押 有 王 百 姓 是 胡 足 寺 足 僧 
T51n2089_001:0979b17	行小乘法。	行 小 乘 法 
T51n2089_001:0979b18	□□□□□此即安西四鎮名□。	 此 即 安 西 四 鎮 名 
T51n2089_001:0979b19	一安西　二于闐　三疎勒　四烏耆(下缺)	一 安 西 二 于 闐 三 疎 勒 四 烏 耆 下 缺 
T51n2089_001:0979b20	(上缺)依漢法裹頭著裙(下缺)。	 上 缺 依 漢 法 裹 頭 著 裙 下 缺 
T51n2089_001:0979b21	慧超往五天竺國傳	慧 超 往 五 天 竺 國 傳 
T51n2089_001:0979b24	悟空入竺記(大唐貞元新譯十地等經記圓照撰（十力經序）)	悟 空 入 竺 記 大 唐 貞 元 新 譯 十 地 等 經 記 圓 照 撰 十 力 經 序 
T51n2089_001:0979b26	新譯十地經及迴向輪經十力經等者。即上	新 譯 十 地 經 及 迴 向 輪 經 十 力 經 等 者 即 上 
T51n2089_001:0979b27	都章敬寺沙門悟空本名法界。因使罽賓。於	都 章 敬 寺 沙 門 悟 空 本 名 法 界 因 使 罽 賓 於 
T51n2089_001:0979b28	中天竺國之所得也。師本京兆雲陽人也。鄉	中 天 竺 國 之 所 得 也 師 本 京 兆 雲 陽 人 也 鄉 
T51n2089_001:0979b29	號青龍。里名嚮義。俗姓車氏。字曰奉朝。後	號 青 龍 里 名 嚮 義 俗 姓 車 氏 字 曰 奉 朝 後 
T51n2089_001:0979c01	魏拓拔之胤裔也。天假聰敏。志尚典墳。孝悌	魏 拓 拔 之 胤 裔 也 天 假 聰 敏 志 尚 典 墳 孝 悌 
T51n2089_001:0979c02	居家。忠貞奉國。遇玄宗至道大聖大明孝皇	居 家 忠 貞 奉 國 遇 玄 宗 至 道 大 聖 大 明 孝 皇 
T51n2089_001:0979c03	帝。孝理天下。萬國歡心。八表稱臣。四夷欽化。	帝 孝 理 天 下 萬 國 歡 心 八 表 稱 臣 四 夷 欽 化 
T51n2089_001:0979c04	時罽賓國。願附聖唐。使大首領薩波達幹與	時 罽 賓 國 願 附 聖 唐 使 大 首 領 薩 波 達 幹 與 
T51n2089_001:0979c05	本國三藏舍利越魔。天寶九載庚寅之歲。來	本 國 三 藏 舍 利 越 魔 天 寶 九 載 庚 寅 之 歲 來 
T51n2089_001:0979c06	詣闕庭。獻欵求和。請使巡按。次於明年辛卯	詣 闕 庭 獻 欵 求 和 請 使 巡 按 次 於 明 年 辛 卯 
T51n2089_001:0979c07	之祀。玄宗皇帝勅中使內侍省內寺伯賜緋	之 祀 玄 宗 皇 帝 勅 中 使 內 侍 省 內 寺 伯 賜 緋 
T51n2089_001:0979c08	魚袋張韜光。將國信物行。官奉傔四十餘人。	魚 袋 張 韜 光 將 國 信 物 行 官 奉 傔 四 十 餘 人 
T51n2089_001:0979c09	蒙恩授奉朝左衛涇州四門府別將員外置同	蒙 恩 授 奉 朝 左 衛 涇 州 四 門 府 別 將 員 外 置 同 
T51n2089_001:0979c10	正員。令隨使臣。取安西路。次疎勒國。次度葱	正 員 令 隨 使 臣 取 安 西 路 次 疎 勒 國 次 度 葱 
T51n2089_001:0979c11	山。至楊興嶺及播蜜川五赤匿國(亦云式匿)次護	山 至 楊 興 嶺 及 播 蜜 川 五 赤 匿 國 亦 云 式 匿 次 護 
T51n2089_001:0979c12	密國。次拘緯國。次葛藍國。次藍婆國。次孽和	密 國 次 拘 緯 國 次 葛 藍 國 次 藍 婆 國 次 孽 和 
T51n2089_001:0979c13	國。次烏仗那國(亦云烏長及烏纏國)茫誐(平聲呼虐伽反)勃國。	國 次 烏 仗 那 國 亦 云 烏 長 及 烏 纏 國 茫 誐 平 聲 呼 虐 伽 反 勃 國 
T51n2089_001:0979c14	及高頭城。次摩但國。次信度城(近信度河也。亦云信圖或云辛	及 高 頭 城 次 摩 但 國 次 信 度 城 近 信 度 河 也 亦 云 信 圖 或 云 辛 
T51n2089_001:0979c15	頭城)至十二載癸巳二月二十一日。至乾陀羅國	頭 城 至 十 二 載 癸 巳 二 月 二 十 一 日 至 乾 陀 羅 國 
T51n2089_001:0979c16	(梵音正曰健駄邏國)此即罽賓東都城也。王者冬居此地。	 梵 音 正 曰 健 駄 邏 國 此 即 罽 賓 東 都 城 也 王 者 冬 居 此 地 
T51n2089_001:0979c17	夏處罽賓。隨其暄涼。以順其性。時王極垂禮	夏 處 罽 賓 隨 其 暄 涼 以 順 其 性 時 王 極 垂 禮 
T51n2089_001:0979c18	接。祇奉國恩。使還對辭并得信物。獻欵進奉	接 祇 奉 國 恩 使 還 對 辭 并 得 信 物 獻 欵 進 奉 
T51n2089_001:0979c19	旋歸大唐。	旋 歸 大 唐 
T51n2089_001:0979c20	奉朝當為重患。纏綿不堪勝致。留寄健馱邏	奉 朝 當 為 重 患 纏 綿 不 堪 勝 致 留 寄 健 馱 邏 
T51n2089_001:0979c21	國。中使歸朝後漸痊平。誓心歸佛。遂投舍利	國 中 使 歸 朝 後 漸 痊 平 誓 心 歸 佛 遂 投 舍 利 
T51n2089_001:0979c22	越魔三藏。落髮披緇。願早還鄉對見明主。侍	越 魔 三 藏 落 髮 披 緇 願 早 還 鄉 對 見 明 主 侍 
T51n2089_001:0979c23	覲父母忠孝兩全。時蒙三藏賜與法號。梵云	覲 父 母 忠 孝 兩 全 時 蒙 三 藏 賜 與 法 號 梵 云 
T51n2089_001:0979c24	達摩馱都。唐言以翻名為法界。時年二十有	達 摩 馱 都 唐 言 以 翻 名 為 法 界 時 年 二 十 有 
T51n2089_001:0979c25	七方得出家。即當肅宗文明武德大聖大宣	七 方 得 出 家 即 當 肅 宗 文 明 武 德 大 聖 大 宣 
T51n2089_001:0979c26	孝皇帝至德二載丁酉歲也。洎二十九。於迦	孝 皇 帝 至 德 二 載 丁 酉 歲 也 洎 二 十 九 於 迦 
T51n2089_001:0979c27	濕彌羅國進受近圓。請文殊矢涅地(地移反。平聲呼。唐言	濕 彌 羅 國 進 受 近 圓 請 文 殊 矢 涅 地 地 移 反 平 聲 呼 唐 言 
T51n2089_001:0979c28	翻為正智)為鄔波[亭*也]耶(唐言親教師安西云和上)鄔不羼提(唐言闕)為	翻 為 正 智 為 鄔 波 [亭也] 耶 唐 言 親 教 師 安 西 云 和 上 鄔 不 羼 提 唐 言 闕 為 
T51n2089_001:0979c29	羯磨阿遮利耶(唐言軌範師若至四鎮安西云阿闍梨訛略耳)馱里魏(巍屈	羯 磨 阿遮利耶 唐 言 軌 範 師 若 至 四 鎮 安 西 云 阿 闍 梨 訛 略 耳 馱 里 魏 巍 屈 
T51n2089_001:0980a01	反入聲呼)地(平聲同上唐言闕)為教授阿遮利耶(同上)三師七證	反 入 聲 呼 地 平 聲 同 上 唐 言 闕 為 教 授 阿遮利耶 同 上 三 師 七 證 
T51n2089_001:0980a02	授以律儀。於蒙鞮寺諷聲聞戒。諷畢聽習根	授 以 律 儀 於 蒙 鞮 寺 諷 聲 聞 戒 諷 畢 聽 習 根 
T51n2089_001:0980a03	本律儀。然於北天竺國皆薩婆多學也(唐言根本說一切有)	本 律 儀 然 於 北 天 竺 國 皆 薩 婆 多 學 也 唐 言 根 本 說 一 切 有 
T51n2089_001:0980a04	然此蒙鞮寺者北天竺王踐位後建茲寺矣。	然 此 蒙 鞮 寺 者 北 天 竺 王 踐 位 後 建 茲 寺 矣 
T51n2089_001:0980a05	梵云蒙鞮微賀羅。微賀羅者唐言住處。住處	梵 云 蒙 鞮 微 賀 羅 微 賀 羅 者 唐 言 住 處 住 處 
T51n2089_001:0980a06	即寺也。次有阿彌陀婆挽(免煩反平聲呼)寺。次有阿難	即 寺 也 次 有 阿 彌 陀 婆 挽 免 煩 反 平 聲 呼 寺 次 有 阿 難 
T51n2089_001:0980a07	儀寺。次有繼者岑寺。次有惱也羅寺。次有惹	儀 寺 次 有 繼 者 岑 寺 次 有 惱 也 羅 寺 次 有 惹 
T51n2089_001:0980a08	惹(而者反)寺。次有將軍寺。次有也里特勒寺。突	惹 而 者 反 寺 次 有 將 軍 寺 次 有 也 里 特 勒 寺 突 
T51n2089_001:0980a09	厥王子置也。次有可敦寺。突厥皇后置也。此	厥 王 子 置 也 次 有 可 敦 寺 突 厥 皇 后 置 也 此 
T51n2089_001:0980a10	國伽藍三百餘所。靈塔瑞像其數頗多。或阿	國 伽 藍 三 百 餘 所 靈 塔 瑞 像 其 數 頗 多 或 阿 
T51n2089_001:0980a11	育王及五百阿羅漢之所建立也。	育 王 及 五 百 阿 羅 漢 之 所 建 立 也 
T51n2089_001:0980a12	如是巡禮兼習梵語。經遊四年。夙夜虔心。未	如 是 巡 禮 兼 習 梵 語 經 遊 四 年 夙 夜 虔 心 未 
T51n2089_001:0980a13	曾暫捨。其國四周山為外郭。總開三路以設	曾 暫 捨 其 國 四 周 山 為 外 郭 總 開 三 路 以 設 
T51n2089_001:0980a14	關防。東接吐蕃北通勃律。西門一路通乾陀	關 防 東 接 吐 蕃 北 通 勃 律 西 門 一 路 通 乾 陀 
T51n2089_001:0980a15	羅。別有一途常時禁斷。天軍行幸方得暫開。	羅 別 有 一 途 常 時 禁 斷 天 軍 行 幸 方 得 暫 開 
T51n2089_001:0980a16	法界至於第四年後。出迦濕密國入乾陀羅	法 界 至 於 第 四 年 後 出 迦 濕 密 國 入 乾 陀 羅 
T51n2089_001:0980a17	城。於如羅灑王寺中安置。其寺王所建立。從	城 於 如 羅 灑 王 寺 中 安 置 其 寺 王 所 建 立 從 
T51n2089_001:0980a18	王為名。王即上古罽膩吒王之胄胤也。次有	王 為 名 王 即 上 古 罽 膩 吒 王 之 胄 胤 也 次 有 
T51n2089_001:0980a19	可忽哩寺王子名也。繽芝寺王女名也。復有	可 忽 哩 寺 王 子 名 也 繽 芝 寺 王 女 名 也 復 有 
T51n2089_001:0980a20	栴檀忽哩寺王弟名也。此皆隨人建立。從彼	栴 檀 忽 哩 寺 王 弟 名 也 此 皆 隨 人 建 立 從 彼 
T51n2089_001:0980a21	受名。次有特勤灑寺突厥王子造也。可敦寺	受 名 次 有 特 勤 灑 寺 突 厥 王 子 造 也 可 敦 寺 
T51n2089_001:0980a22	突厥皇后造也。復有阿瑟吒寺。薩緊忽哩寺。	突 厥 皇 后 造 也 復 有 阿 瑟 吒 寺 薩 緊 忽 哩 寺 
T51n2089_001:0980a23	罽膩吒王聖塔寺。罽膩吒王演提灑寺。此寺	罽 膩 吒 王 聖 塔 寺 罽 膩 吒 王 演 提 灑 寺 此 寺 
T51n2089_001:0980a24	復有釋迦如來頂骨舍利。有罽膩吒王伐	復 有 釋 迦 如 來 頂 骨 舍 利 有 罽 膩 吒 王 伐 
T51n2089_001:0980a25	龍官沙彌寺。	龍 官 沙 彌 寺 
T51n2089_001:0980a26	如是巡禮又經二年。即當代宗眷文孝武皇	如 是 巡 禮 又 經 二 年 即 當 代 宗 眷 文 孝 武 皇 
T51n2089_001:0980a27	帝廣德二年甲辰歲也。從此南遊中天竺國。	帝 廣 德 二 年 甲 辰 歲 也 從 此 南 遊 中 天 竺 國 
T51n2089_001:0980a28	親禮八塔。往迦毘羅伐窣覩城。佛降生處	親 禮 八 塔 往 迦 毘 羅 伐 窣 覩 城 佛 降 生 處 
T51n2089_001:0980a29	塔。次摩竭提國。菩提道場成佛處塔。於菩提	塔 次 摩 竭 提 國 菩提道場 成 佛 處 塔 於 菩 提 
T51n2089_001:0980b01	寺。夏坐安居。次波羅泥斯城仙人鹿野苑中	寺 夏 坐 安 居 次 波 羅 泥 斯 城 仙 人 鹿 野 苑 中 
T51n2089_001:0980b02	轉法輪處塔。次鷲峯山。說法華等經處塔。次	轉 法 輪 處 塔 次 鷲 峯 山 說 法 華 等 經 處 塔 次 
T51n2089_001:0980b03	廣嚴城。現不思議處塔。次泥嚩襪多城。從天	廣 嚴 城 現 不 思 議 處 塔 次 泥 嚩 襪 多 城 從 天 
T51n2089_001:0980b04	降下三道寶階塔(亦云寶橋)次室羅伐城逝多林給	降 下 三 道 寶 階 塔 亦 云 寶 橋 次 室 羅 伐 城 逝 多 林 給 
T51n2089_001:0980b05	孤獨園。說摩訶般若波羅蜜多度諸外道處	孤 獨 園 說 摩訶般若波羅蜜 多 度 諸 外 道 處 
T51n2089_001:0980b06	塔。次拘尸那城娑羅雙林。現入涅槃處塔。如	塔 次 拘 尸 那 城 娑 羅 雙 林 現 入 涅 槃 處 塔 如 
T51n2089_001:0980b07	是八塔右遶供養。膽禮略周。次於那爛陀寺	是 八 塔 右 遶 供 養 膽 禮 略 周 次 於 那 爛 陀 寺 
T51n2089_001:0980b08	中住經三載。又至烏仗那國尋禮聖蹤住茫	中 住 經 三 載 又 至 烏 仗 那 國 尋 禮 聖 蹤 住 茫 
T51n2089_001:0980b09	誐(平聲呼虐迦反)勃寺。復有蘇訶拔提寺(唐言日宮寺也)鉢茫	誐 平 聲 呼 虐 迦 反 勃 寺 復 有 蘇 訶 拔 提 寺 唐 言 日 宮 寺 也 鉢 茫 
T51n2089_001:0980b10	拔提寺(唐言蓮華寺)。	拔 提 寺 唐 言 蓮 華 寺 
T51n2089_001:0980b11	如是往來遍尋聖跡。與大唐西域記說無少	如 是 往 來 遍 尋 聖 跡 與 大 唐 西 域 記 說 無 少 
T51n2089_001:0980b12	差殊。思戀聖朝本生父母內外戚屬。焚灼其	差 殊 思 戀 聖 朝 本 生 父 母 內 外 戚 屬 焚 灼 其 
T51n2089_001:0980b13	心念鞠育恩深昊天罔極。發願歸國瞻覲君	心 念 鞠 育 恩 深 昊 天 罔 極 發 願 歸 國 瞻 覲 君 
T51n2089_001:0980b14	親。稽首諮詢越魔三藏三藏初聞至意不許。	親 稽 首 諮 詢 越 魔 三 藏 三 藏 初 聞 至 意 不 許 
T51n2089_001:0980b15	法界以理懇請于再三。三藏已於天寶九年。	法 界 以 理 懇 請 于 再 三 三 藏 已 於 天 寶 九 年 
T51n2089_001:0980b16	曾至唐國。日常讚慕摩訶支那。既見懇誠方	曾 至 唐 國 日 常 讚 慕 摩 訶 支 那 既 見 懇 誠 方 
T51n2089_001:0980b17	遂所請。乃手授梵本十地經及迴向輪經并	遂 所 請 乃 手 授 梵 本 十 地 經 及 迴 向 輪 經 并 
T51n2089_001:0980b18	十力經。共同一夾并大聖釋迦牟尼佛一牙	十 力 經 共 同 一 夾 并 大 聖 釋 迦 牟 尼 佛 一 牙 
T51n2089_001:0980b19	舍利。皆頂戴慇懃悲淚而授。將為信物奉獻	舍 利 皆 頂 戴 慇 懃 悲 淚 而 授 將 為 信 物 奉 獻 
T51n2089_001:0980b20	聖皇。伏願漢地傳揚廣利群品。法界頂跪拜	聖 皇 伏 願 漢 地 傳 揚 廣 利 群 品 法 界 頂 跪 拜 
T51n2089_001:0980b21	受悲淚禮辭。當欲汎海而歸。又慮滄波險阻。	受 悲 淚 禮 辭 當 欲 汎 海 而 歸 又 慮 滄 波 險 阻 
T51n2089_001:0980b22	乃却取北路還歸帝鄉。	乃 却 取 北 路 還 歸 帝 鄉 
T51n2089_001:0980b23	我聖神文武皇帝。聖德遠被。聲震五天。道邁	我 聖 神 文 武 皇 帝 聖 德 遠 被 聲 震 五 天 道 邁 
T51n2089_001:0980b24	羲軒。威加八表。慕仰三寶。信重一乘。異域	羲 軒 威 加 八 表 慕 仰 三 寶 信 重 一 乘 異 域 
T51n2089_001:0980b25	輸金。重譯來貢。法界所將舍利及梵本經。自	輸 金 重 譯 來 貢 法 界 所 將 舍 利 及 梵 本 經 自 
T51n2089_001:0980b26	彼中天來至漢界。凡所經歷。覩貨羅國五十	彼 中 天 來 至 漢 界 凡 所 經 歷 覩 貨 羅 國 五 十 
T51n2089_001:0980b27	七番中。有一城號骨咄國。城東不遠有一小	七 番 中 有 一 城 號 骨 咄 國 城 東 不 遠 有 一 小 
T51n2089_001:0980b28	海。其水極深。當持牙經南岸而過。時彼龍神	海 其 水 極 深 當 持 牙 經 南 岸 而 過 時 彼 龍 神 
T51n2089_001:0980b29	知有舍利。地土搖動。玄雲揜興。霹靂震雷。	知 有 舍 利 地 土 搖 動 玄 雲 揜 興 霹 靂 震 雷 
T51n2089_001:0980c01	雹雨驟墮。有一大樹不遠海邊。時與眾商投	雹 雨 驟 墮 有 一 大 樹 不 遠 海 邊 時 與 眾 商 投 
T51n2089_001:0980c02	於樹下。枝葉摧落。空心火燃。時首領商普告	於 樹 下 枝 葉 摧 落 空 心 火 燃 時 首 領 商 普 告 
T51n2089_001:0980c03	眾曰。誰將舍利異寶殊珍。不爾龍神何斯拗	眾 曰 誰 將 舍 利 異 寶 殊 珍 不 爾 龍 神 何 斯 拗 
T51n2089_001:0980c04	怒。有即持出投入海中。無令眾人受茲惶怖。	怒 有 即 持 出 投 入 海 中 無 令 眾 人 受 茲 惶 怖 
T51n2089_001:0980c05	法界是時懇心祈願。放達本國利濟邦家。所	法 界 是 時 懇 心 祈 願 放 達 本 國 利 濟 邦 家 所 
T51n2089_001:0980c06	獲福因用資龍力。從日出後洎于申時。祈祝	獲 福 因 用 資 龍 力 從 日 出 後 洎 于 申 時 祈 祝 
T51n2089_001:0980c07	至誠雲收雨霽。僅全草命。漸次前至行拘密	至 誠 雲 收 雨 霽 僅 全 草 命 漸 次 前 至 行 拘 密 
T51n2089_001:0980c08	支國。王名頓散灑。次惹瑟知國王名黑未梅。	支 國 王 名 頓 散 灑 次 惹 瑟 知 國 王 名 黑 未 梅 
T51n2089_001:0980c09	次至式匿國。	次 至 式 匿 國 
T51n2089_001:0980c10	如是行李經歷三年。備涉艱難。捐軀委命。誓	如 是 行 李 經 歷 三 年 備 涉 艱 難 捐 軀 委 命 誓 
T51n2089_001:0980c11	心報國。願奉君親聖慈曲臨。漸屆疎勒(一名沙勒)時	心 報 國 願 奉 君 親 聖 慈 曲 臨 漸 屆 疎 勒 一 名 沙 勒 時 
T51n2089_001:0980c12	王裴冷冷。鎮守使魯陽。留住五月。次至于	王 裴 冷 冷 鎮 守 使 魯 陽 留 住 五 月 次 至 于 
T51n2089_001:0980c13	闐(亦云于遁或云豁丹)梵云瞿薩怛那(唐言地乳國)王尉遲曜。鎮	闐 亦 云 于 遁 或 云 豁 丹 梵 云 瞿 薩 怛 那 唐 言 地 乳 國 王 尉 遲 曜 鎮 
T51n2089_001:0980c14	守使鄭據。延住六月。次威戎城亦名鉢浣國。	守 使 鄭 據 延 住 六 月 次 威 戎 城 亦 名 鉢 浣 國 
T51n2089_001:0980c15	正曰怖汗國。鎮守使蘇岑。次據瑟得城使賣	正 曰 怖 汗 國 鎮 守 使 蘇 岑 次 據 瑟 得 城 使 賣 
T51n2089_001:0980c16	詮。次至安西。四鎮節度使開府儀同三司撿	詮 次 至 安 西 四 鎮 節 度 使 開 府 儀 同 三 司 撿 
T51n2089_001:0980c17	校右散騎常侍安西副大都護兼御史大夫郭	校 右 散 騎 常 侍 安 西 副 大 都 護 兼 御 史 大 夫 郭 
T51n2089_001:0980c18	昕。	昕 
T51n2089_001:0980c19	龜茲國王白環(亦云丘茲)正曰屈支城。西門外有蓮	龜 茲 國 王 白 環 亦 云 丘 茲 正 曰 屈 支 城 西 門 外 有 蓮 
T51n2089_001:0980c20	花寺。有三藏沙門名勿提提犀魚(唐云蓮花精	花 寺 有 三 藏 沙 門 名 勿 提 提 犀 魚 唐 云 蓮 花 精 
T51n2089_001:0980c21	進)。至誠祈請譯出十力經。可三紙許以成一	進 至 誠 祈 請 譯 出 十 力 經 可 三 紙 許 以 成 一 
T51n2089_001:0980c22	卷。三藏語通四鎮梵漢兼明。此十力經。佛在	卷 三 藏 語 通 四 鎮 梵 漢 兼 明 此 十 力 經 佛 在 
T51n2089_001:0980c23	舍衛國說。安西境內有前踐山。前踐寺復有	舍 衛 國 說 安 西 境 內 有 前 踐 山 前 踐 寺 復 有 
T51n2089_001:0980c24	耶婆瑟鷄山。此山有水滴霤成音。每歲一時	耶 婆 瑟 鷄 山 此 山 有 水 滴 霤 成 音 每 歲 一 時 
T51n2089_001:0980c25	採以為曲。故有耶婆瑟鷄寺。東西。拓厥寺。阿	採 以 為 曲 故 有 耶 婆 瑟 鷄 寺 東 西 拓 厥 寺 阿 
T51n2089_001:0980c26	遮哩貳寺。於此城住一年有餘。次至烏耆國	遮 哩 貳 寺 於 此 城 住 一 年 有 餘 次 至 烏 耆 國 
T51n2089_001:0980c27	王龍如林。鎮守使揚日祐。延留三月。從此又	王 龍 如 林 鎮 守 使 揚 日 祐 延 留 三 月 從 此 又 
T51n2089_001:0980c28	發至北庭州本道節度使御史大夫楊襲古。	發 至 北 庭 州 本 道 節 度 使 御 史 大 夫 楊 襲 古 
T51n2089_001:0980c29	與龍興寺僧。請于闐國三藏沙門尸羅達摩	與 龍 興 寺 僧 請 于 闐 國 三 藏 沙 門 尸 羅 達 摩 
T51n2089_001:0981a01	(唐言戒法)譯十地經。三藏讀梵文并譯語。沙門大震	 唐 言 戒 法 譯 十 地 經 三 藏 讀 梵 文 并 譯 語 沙 門 大 震 
T51n2089_001:0981a02	筆授。沙門法超潤文。沙門善信證義。沙門法	筆 授 沙 門 法 超 潤 文 沙 門 善 信 證 義 沙 門 法 
T51n2089_001:0981a03	界證梵文并譯語。迴向輪經翻譯准此。翻經	界 證 梵 文 并 譯 語 迴 向 輪 經 翻 譯 准 此 翻 經 
T51n2089_001:0981a04	既畢。繕寫欲終。	既 畢 繕 寫 欲 終 
T51n2089_001:0981a05	時逢聖朝四鎮北庭宣慰使中使段明秀來至	時 逢 聖 朝 四 鎮 北 庭 宣 慰 使 中 使 段 明 秀 來 至 
T51n2089_001:0981a06	北庭。洎貞元五年己巳之歲九月十三日。與	北 庭 洎 貞 元 五 年 己 巳 之 歲 九 月 十 三 日 與 
T51n2089_001:0981a07	本道奏事官節度押衙牛昕。安西道奏事官	本 道 奏 事 官 節 度 押 衙 牛 昕 安 西 道 奏 事 官 
T51n2089_001:0981a08	程鍔等。隨使入朝。當為沙河不通取回鶻路。	程 鍔 等 隨 使 入 朝 當 為 沙 河 不 通 取 回 鶻 路 
T51n2089_001:0981a09	又為單于不信佛法。所齎梵夾不敢持來。留	又 為 單 于 不 信 佛 法 所 齎 梵 夾 不 敢 持 來 留 
T51n2089_001:0981a10	在北庭龍興寺藏所譯漢本隨使入都。六年	在 北 庭 龍 興 寺 藏 所 譯 漢 本 隨 使 入 都 六 年 
T51n2089_001:0981a11	二月來到上京。有勅令於躍龍門使院安置。	二 月 來 到 上 京 有 勅 令 於 躍 龍 門 使 院 安 置 
T51n2089_001:0981a12	中使段明秀。遂將釋迦真身一牙舍利及所	中 使 段 明 秀 遂 將 釋 迦 真 身 一 牙 舍 利 及 所 
T51n2089_001:0981a13	譯經。進奉入內。天恩宣付左神策軍。令寫此	譯 經 進 奉 入 內 天 恩 宣 付 左 神 策 軍 令 寫 此 
T51n2089_001:0981a14	經本。與佛牙舍利一時進來。時左街功德使	經 本 與 佛 牙 舍 利 一 時 進 來 時 左 街 功 德 使 
T51n2089_001:0981a15	竇文場。准勅裝寫進奉闕庭兼奏。從安西	竇 文 場 准 勅 裝 寫 進 奉 闕 庭 兼 奏 從 安 西 
T51n2089_001:0981a16	來無名僧悟空。年六十舊名法界。俗姓車。名	來 無 名 僧 悟 空 年 六 十 舊 名 法 界 俗 姓 車 名 
T51n2089_001:0981a17	奉朝請住章敬寺。其年二月二十五日。奉勅	奉 朝 請 住 章 敬 寺 其 年 二 月 二 十 五 日 奉 勅 
T51n2089_001:0981a18	宣與正度餘依。又本道節度奏事官。以俗姓	宣 與 正 度 餘 依 又 本 道 節 度 奏 事 官 以 俗 姓 
T51n2089_001:0981a19	車奉朝名銜奏。至五月十五日。勅授壯武將	車 奉 朝 名 銜 奏 至 五 月十五日 勅 授 壯 武 將 
T51n2089_001:0981a20	軍守左金吾衛大將軍員外置同正員兼試太	軍 守 左 金 吾 衛 大 將 軍 員 外 置 同 正 員 兼 試 太 
T51n2089_001:0981a21	常卿爰有制日。勅伊西庭節度奏事官節度	常 卿 爰 有 制 日 勅 伊 西 庭 節 度 奏 事 官 節 度 
T51n2089_001:0981a22	押衙同節度副使雲麾將軍守左金吾衛大將	押 衙 同 節 度 副 使 雲 麾 將 軍 守 左 金 吾 衛 大 將 
T51n2089_001:0981a23	軍員外置同正員牛昕等。竝越自流沙涉于	軍 員 外 置 同 正 員 牛 昕 等 竝 越 自 流 沙 涉 于 
T51n2089_001:0981a24	陰國。奉三軍向化之慕。申萬里戀闕之誠。雨	陰 國 奉 三 軍 向 化 之 慕 申 萬 里 戀 闕 之 誠 雨 
T51n2089_001:0981a25	雪載霏。行邁無已。方貢善達。復命言旋。舉范	雪 載 霏 行 邁 無 已 方 貢 善 達 復 命 言 旋 舉 范 
T51n2089_001:0981a26	羗入計之勞。慰斑超出遠之思。俾昇崇祑。	羗 入 計 之 勞 慰 斑 超 出 遠 之 思 俾 昇 崇 祑 
T51n2089_001:0981a27	以勸使臣可依前件。	以 勸 使 臣 可 依 前 件 
T51n2089_001:0981a28	是歲也天恩正名。冠冕兼履。昔名法界。今字	是 歲 也 天 恩 正 名 冠 冕 兼 履 昔 名 法 界 今 字 
T51n2089_001:0981a29	悟空。捧戴慚惶不任感懼。乃歸章敬次及鄉	悟 空 捧 戴 慚 惶 不 任 感 懼 乃 歸 章 敬 次 及 鄉 
T51n2089_001:0981b01	園。訪問二親墳樹已拱。兄弟子姪家無一人。	園 訪 問 二 親 墳 樹 已 拱 兄 弟 子 姪 家 無 一 人 
T51n2089_001:0981b02	疎遠諸房少得聞見。凡所來往經四十年。辛	疎 遠 諸 房 少 得 聞 見 凡 所 來 往 經 四 十 年 辛 
T51n2089_001:0981b03	卯西征于今庚午。悲不奉養。喜遇明時。所進	卯 西 征 于 今 庚 午 悲 不 奉 養 喜 遇 明 時 所 進 
T51n2089_001:0981b04	牙經願資聖壽。其所進十地經。依常途寫一	牙 經 願 資 聖 壽 其 所 進 十 地 經 依 常 途 寫 一 
T51n2089_001:0981b05	百二十一紙成部勒為九卷。此經佛初成正	百 二 十 一 紙 成 部 勒 為 九 卷 此 經 佛 初 成 正 
T51n2089_001:0981b06	覺已經二七日。住他化自在天宮摩尼寶藏	覺 已 經 二 七 日 住 他化自在天 宮 摩 尼 寶 藏 
T51n2089_001:0981b07	殿說。迴向輪經。佛在金剛摩尼寶山峯中。與	殿 說 迴 向 輪 經 佛 在 金 剛 摩 尼 寶 山 峯 中 與 
T51n2089_001:0981b08	大菩薩說。譯成三紙半以為一卷。其十力經	大 菩 薩 說 譯 成 三 紙 半 以 為 一 卷 其 十 力 經 
T51n2089_001:0981b09	如前所說。譯成三紙復為一卷。三部都計一	如前所說 譯 成 三 紙 復 為 一 卷 三 部 都 計 一 
T51n2089_001:0981b10	百二十九紙。總十一卷同為一帙。然為斯經	百 二 十 九 紙 總 十 一 卷 同 為 一 帙 然 為 斯 經 
T51n2089_001:0981b11	未入目錄。伏恐年月深遠人疑偽經。今請編	未 入 目 錄 伏 恐 年 月 深 遠 人 疑 偽 經 今 請 編 
