X24n0459_001:0517a07	 金剛般若波羅蜜經序	 金 剛 般若波羅蜜經 序 
X24n0459_001:0519c05	惡業。若不斷除。終不得解脫。故言如是滅度無量	惡 業 若 不 斷 除 終 不得解脫 故 言 如 是 滅 度 無 量 
X24n0459_001:0519c06	無數無邊眾生。一切迷人。悟得自性。始知佛不見	無 數 無 邊 眾 生 一 切 迷 人 悟 得 自 性 始 知 佛 不 見 
X24n0459_001:0519c07	自相。不有自智。何曾度眾生。祗為凡夫不見自本	自 相 不 有 自 智 何 曾 度 眾 生 祗 為 凡 夫 不 見 自 本 
X24n0459_001:0519c08	心。不識佛意。執著諸相。不達無為之理。我人不除。	心 不 識 佛 意 執 著 諸 相 不 達 無 為 之 理 我 人 不 除 
X24n0459_001:0519c09	是名眾生。若離此病。實無眾生得滅度者。故言妄	是 名 眾 生 若 離 此 病 實 無 眾 生 得滅度者 故 言 妄 
X24n0459_001:0519c10	心無處即菩提。生死涅槃本平等。何滅度之有。	心 無 處 即 菩 提 生死涅槃 本 平 等 何 滅 度 之 有 
X24n0459_001:0519c11	何以故。須菩提。若菩薩有我相人相眾生相壽者相。	何 以 故 須 菩 提 若 菩 薩 有 我 相 人 相 眾 生 相 壽 者 相 
X24n0459_001:0519c12	即非菩薩。	即 非 菩 薩 
X24n0459_001:0519c13	眾生佛性本無有異。緣有四相。不入無餘涅槃。有	眾 生 佛 性 本 無 有 異 緣 有 四 相 不 入無餘涅槃 有 
X24n0459_001:0519c14	四相即是眾生。無四相即是佛。迷即佛是眾生。悟	四 相 即 是 眾 生 無 四 相 即 是 佛 迷 即 佛 是 眾 生 悟 
X24n0459_001:0519c15	即眾生是佛。迷人恃有財寶學問族姓。輕慢一切	即 眾 生 是 佛 迷 人 恃 有 財 寶 學 問 族 姓 輕 慢 一 切 
X24n0459_001:0519c16	人。名我相。雖行仁義禮智信。而意高自負。不行普	人 名 我 相 雖 行 仁 義 禮 智 信 而 意 高 自 負 不 行 普 
X24n0459_001:0519c17	敬。言我解行仁義禮智信。不合敬爾。名人相。好事	敬 言 我 解 行 仁 義 禮 智 信 不 合 敬 爾 名 人 相 好 事 
X24n0459_001:0519c18	皈己。惡事施於人。名眾生相。對境取捨分別。名壽	皈 己 惡 事 施 於 人 名 眾 生 相 對 境 取 捨 分 別 名 壽 
X24n0459_001:0519c19	者相。是謂凡夫四相。修行人亦有四相。心有能所。	者 相 是 謂 凡 夫 四 相 修 行 人 亦 有 四 相 心 有 能 所 
X24n0459_001:0519c20	輕慢眾生。名我相。自恃持戒。輕破戒者。名人相。厭	輕 慢 眾 生 名 我 相 自 恃 持 戒 輕 破 戒 者 名 人 相 厭 
X24n0459_001:0519c21	三塗苦。願生諸天。是眾生相。心愛長年。而勤修福	三 塗 苦 願 生 諸 天 是 眾 生 相 心 愛 長 年 而 勤 修 福 
X24n0459_001:0519c22	業。諸執不忘。是壽者相。有四相即是眾生。無四相	業 諸 執 不 忘 是 壽 者 相 有 四 相 即 是 眾 生 無 四 相 
X24n0459_001:0519c23	即是佛。	即 是 佛 
X24n0459_001:0519c24	○妙行無住分第四	 妙 行 無 住 分 第 四 
X24n0459_001:0520a01	復次。須菩提。菩薩於法。應無所住行於布施。所謂不	復 次 須 菩 提 菩 薩 於 法 應 無 所 住 行 於 布 施 所 謂 不 
X24n0459_001:0520a02	住色布施。不住聲香味觸法布施。	住 色 布 施 不 住 聲香味觸 法 布 施 
X24n0459_001:0520a03	凡夫布施。祗求身相端嚴。五欲快樂。故報盡却墮	凡 夫 布 施 祗 求 身 相 端 嚴 五 欲 快 樂 故 報 盡 却 墮 
X24n0459_001:0520a04	三塗。世尊大慈。教行無相布施者。不求身相端嚴。	三 塗 世 尊 大 慈 教 行 無 相 布 施 者 不 求 身 相 端 嚴 
X24n0459_001:0520a05	五欲快樂。但令內破慳心。外利益一切眾生。如是	五 欲 快 樂 但 令 內 破 慳 心 外 利 益 一 切 眾 生 如 是 
X24n0459_001:0520a06	相應。名不住色布施。	相 應 名 不 住 色 布 施 
X24n0459_001:0520a07	須菩提。菩薩應如是布施。不住於相。	須 菩 提 菩 薩 應 如 是 布 施 不 住 於 相 
X24n0459_001:0520a08	應如無相心布施者。為無能施之心。不見有施之	應 如 無 相 心 布 施 者 為 無 能 施 之 心 不 見 有 施 之 
X24n0459_001:0520a09	物。不分別受施之人。是名不住相布施也。	物 不 分 別 受 施 之 人 是 名 不 住 相 布 施 也 
X24n0459_001:0520a10	何以故。若菩薩不住相布施。其福德不可思量。	何 以 故 若 菩 薩 不 住 相 布 施 其 福 德 不 可 思 量 
X24n0459_001:0520a11	菩薩行施。心無所希求。其所獲福德。如十方虗空。	菩 薩 行 施 心 無所希求 其 所 獲 福 德 如 十 方 虗 空 
X24n0459_001:0520a12	不可較量。言復次者。連前起後之辭。一說布者普	不 可 較 量 言 復 次 者 連 前 起 後 之 辭 一 說 布 者 普 
X24n0459_001:0520a13	也。施者散也。能普散盡心中妄念習氣煩惱。四相	也 施 者 散 也 能 普 散 盡 心 中 妄 念 習 氣 煩 惱 四 相 
X24n0459_001:0520a14	泯絕。無所蘊積。是真布施。又說布施者。由不住六	泯 絕 無 所 蘊 積 是 真 布 施 又 說 布 施 者 由 不 住 六 
X24n0459_001:0520a15	塵境界。又不有漏分別。惟當返皈清淨。了萬法空	塵 境 界 又 不 有 漏 分 別 惟 當 返 皈 清 淨 了 萬 法 空 
X24n0459_001:0520a16	寂。若不了此意。惟增諸業。故須內除貪愛。外行布	寂 若 不 了 此 意 惟 增 諸 業 故 須 內 除 貪 愛 外 行 布 
X24n0459_001:0520a17	施。內外相應。獲福無量。見人作惡。不見其過。自性	施 內 外 相 應 獲 福 無 量 見 人 作 惡 不 見 其 過 自 性 
X24n0459_001:0520a18	不生分別。是名離相。依教修行。心無能所。即是善	不 生 分 別 是 名 離 相 依 教 修 行 心 無 能 所 即 是 善 
X24n0459_001:0520a19	法。修行人心有能所。不名善法。能所心不滅。終未	法 修 行 人 心 有 能 所 不 名 善 法 能 所 心 不 滅 終 未 
X24n0459_001:0520a20	得解脫。念念常行般若智。其福無量無邊。依如是	得 解 脫 念 念 常 行 般 若 智 其 福 無量無邊 依 如 是 
X24n0459_001:0520a21	修行。感得一切天人恭敬供養。是名為福德。常行	修 行 感 得 一 切 天 人 恭敬供養 是 名 為 福 德 常 行 
X24n0459_001:0520a22	不住相布施。普敬一切含生。其功德無有邊際。不	不 住 相 布 施 普 敬 一 切 含 生 其 功 德 無有邊際 不 
X24n0459_001:0520a23	可稱計。	可 稱 計 
X24n0459_001:0520a24	須菩提。於意云何。東方虗空可思量不。不也。世尊。	須 菩 提 於意云何 東 方 虗 空 可 思 量 不 不 也 世 尊 
X24n0459_001:0520b01	緣不住相布施。所得功德。不可稱量。佛以東方虗	緣 不 住 相 布 施 所得功德 不可稱量 佛 以 東 方 虗 
X24n0459_001:0520b02	空為譬喻。故問須菩提。東方虗空可思量不。不也。	空 為 譬 喻 故 問 須 菩 提 東 方 虗 空 可 思 量 不 不 也 
X24n0459_001:0520b03	世尊者。須菩提言。東方虗空不可思量也。	世 尊 者 須 菩 提 言 東 方 虗 空 不 可 思 量 也 
X24n0459_001:0520b04	須菩提。南西北方。四維上下虗空。可思量不。不也。世	須 菩 提 南 西 北 方 四 維 上 下 虗 空 可 思 量 不 不 也 世 
X24n0459_001:0520b05	尊。須菩提。菩薩無住相布施。福德亦復如是。不可思	尊 須 菩 提 菩 薩 無 住 相 布 施 福 德 亦復如是 不 可 思 
X24n0459_001:0520b06	量。	量 
X24n0459_001:0520b07	佛言虗空無有邊際。不可度量。菩薩無住相布施。	佛 言 虗 空 無有邊際 不 可 度 量 菩 薩 無 住 相 布 施 
X24n0459_001:0520b08	所得功德亦如虗空。不可度量。無邊際也。世界中	所得功德 亦 如 虗 空 不 可 度 量 無 邊 際 也 世 界 中 
X24n0459_001:0520b09	大者莫過虗空。一切性中大者莫過佛性。何以故。	大 者 莫 過 虗 空 一 切 性 中 大 者 莫 過 佛 性 何 以 故 
X24n0459_001:0520b10	凡有形相者。不得名為大。虗空無形相。故得名為	凡 有 形 相 者 不 得 名 為 大 虗 空 無 形 相 故 得 名 為 
X24n0459_001:0520b11	大。一切諸性。皆有限量。不得名為大。佛性無有限	大 一 切 諸 性 皆 有 限 量 不 得 名 為 大 佛 性 無 有 限 
X24n0459_001:0520b12	量。故名為大。此虗空中本無東西南北。若見東西	量 故 名 為 大 此 虗 空 中 本 無 東 西 南 北 若 見 東 西 
X24n0459_001:0520b13	南北。亦是住相。不得解脫。佛性本無我人眾生壽	南 北 亦 是 住 相 不得解脫 佛 性 本 無 我 人 眾 生 壽 
X24n0459_001:0520b14	者。若有此四相可見。即是眾生性。不名佛性。亦所	者 若 有 此 四 相 可 見 即 是 眾 生 性 不 名 佛 性 亦 所 
X24n0459_001:0520b15	謂住相布施也。雖於妄心中說有東西南北。在理	謂 住 相 布 施 也 雖 於 妄 心 中 說 有 東 西 南 北 在 理 
X24n0459_001:0520b16	則何有。所謂東西不真。南北曷異。自性本來空寂	則 何 有 所 謂 東 西 不 真 南 北 曷 異 自 性 本 來 空 寂 
X24n0459_001:0520b17	混融。無所分別。故如來深讚不生分別也。	混 融 無所分別 故 如 來 深 讚 不 生 分 別 也 
X24n0459_001:0520b18	須菩提。菩薩但應如所教住。	須 菩 提 菩 薩 但 應 如 所 教 住 
X24n0459_001:0520b19	應者唯也。但唯如上所說之教。住無相布施。即是	應 者 唯 也 但 唯 如上所說 之 教 住 無 相 布 施 即 是 
X24n0459_001:0520b20	菩薩也。	菩 薩 也 
X24n0459_001:0520b21	○如理實見分第五	 如 理 實 見 分 第 五 
X24n0459_001:0520b22	須菩提。於意云何。可以身相見如來不。不也。世尊。不	須 菩 提 於意云何 可 以 身 相 見 如 來 不 不 也 世 尊 不 
X24n0459_001:0520b23	可以身相。得見如來。	可 以 身 相 得 見 如 來 
X24n0459_001:0520b24	色身即有相。法身即無相。色身者。四大和合。父母	色 身 即 有 相 法 身 即 無 相 色 身 者 四 大 和 合 父 母 
X24n0459_001:0520c01	所生。肉眼所見。法身者。無有形段。非有青黃赤白。	所 生 肉 眼 所 見 法 身 者 無 有 形 段 非 有 青 黃 赤 白 
X24n0459_001:0520c02	無一切相貌。非肉眼能見。慧眼乃能見之。凡夫但	無 一 切 相 貌 非 肉 眼 能 見 慧 眼 乃 能 見 之 凡 夫 但 
X24n0459_001:0520c03	見色身如來。不見法身如來。法身量等虗空。是故	見 色 身 如 來 不 見 法 身 如 來 法 身 量 等 虗 空 是 故 
X24n0459_001:0520c04	佛問須菩提。可以身相見如來不。須菩提知凡夫	佛 問 須 菩 提 可 以 身 相 見 如 來 不 須 菩 提 知 凡 夫 
X24n0459_001:0520c05	但見色身如來。不見法身如來。故言不也。世尊。不	但 見 色 身 如 來 不 見 法 身 如 來 故 言 不 也 世 尊 不 
X24n0459_001:0520c06	可以身相得見如來。	可 以 身 相 得 見 如 來 
X24n0459_001:0520c07	何以故。如來所說身相。即非身相。	何 以 故 如 來 所 說 身 相 即 非 身 相 
X24n0459_001:0520c08	色身是相。法身是性。一切善惡。盡由法身。不由色	色 身 是 相 法 身 是 性 一 切 善 惡 盡 由 法 身 不 由 色 
X24n0459_001:0520c09	身。法身若作惡。色身不生善處。法身作善。色身不	身 法 身 若 作 惡 色 身 不 生 善 處 法 身 作 善 色 身 不 
X24n0459_001:0520c10	墮惡處。凡夫唯見色身。不見法身。不能行無住相	墮 惡 處 凡 夫 唯 見 色 身 不 見 法 身 不 能 行 無 住 相 
X24n0459_001:0520c11	布施。不能於一切處行平等行。不能普敬一切眾	布 施 不 能 於 一 切 處 行 平 等 行 不 能 普 敬 一 切 眾 
X24n0459_001:0520c12	生。見法身者。即能行無住相布施。即能普敬一切	生 見 法 身 者 即 能 行 無 住 相 布 施 即 能 普 敬 一 切 
X24n0459_001:0520c13	眾生。即能修般若波羅蜜行。方信一切眾生。同一	眾 生 即 能 修 般 若 波 羅 蜜 行 方 信 一 切 眾 生 同 一 
X24n0459_001:0520c14	真性。本來清淨。無有垢穢。具足恒河妙用。	真 性 本 來 清 淨 無 有 垢 穢 具 足 恒 河 妙 用 
X24n0459_001:0520c15	佛告須菩提。凡所有相。皆是虗妄。若見諸相非相。即	佛 告 須 菩 提 凡 所 有 相 皆 是 虗 妄 若 見 諸 相 非 相 即 
X24n0459_001:0520c16	見如來。	見 如 來 
X24n0459_001:0520c17	如來欲顯法身。故說一切諸相皆是虗妄。若見一	如 來 欲 顯 法 身 故 說 一 切 諸 相 皆 是 虗 妄 若 見 一 
X24n0459_001:0520c18	切諸相虗妄不實。即見如來無相之理也。	切 諸 相 虗 妄 不 實 即 見 如 來 無 相 之 理 也 
X24n0459_001:0520c19	○正信希有分第六	 正 信 希 有 分 第 六 
X24n0459_001:0520c20	須菩提白佛言。世尊。頗有眾生。得聞如是言說章句。	須 菩 提 白 佛 言 世 尊 頗 有 眾 生 得 聞 如 是 言 說 章 句 
X24n0459_001:0520c21	生實信不。	生 實 信 不 
X24n0459_001:0520c22	須菩提問。此法甚深難信難解。末世凡夫智慧微	須 菩 提 問 此 法 甚 深 難 信 難 解 末 世 凡 夫 智 慧 微 
X24n0459_001:0520c23	劣。云何信入。佛答在次下。	劣 云 何 信 入 佛 答 在 次 下 
X24n0459_001:0520c24	佛告須菩提。莫作是說。如來滅後。後五百歲。有持戒	佛 告 須 菩 提 莫 作 是 說 如來滅後 後 五 百 歲 有 持 戒 
X24n0459_001:0521a01	修福者。於此章句。能生信心。以此為實。當知是人。不	修 福 者 於 此 章 句 能 生 信 心 以 此 為 實 當 知 是 人 不 
X24n0459_001:0521a02	於一佛二佛三四五佛。而種善根。已於無量千萬佛	於 一 佛 二 佛 三 四 五 佛 而 種 善 根 已 於 無 量 千 萬 佛 
X24n0459_001:0521a03	所。種諸善根。聞是章句。乃至一念。生淨信者。	所 種 諸 善 根 聞 是 章 句 乃 至 一 念 生 淨 信 者 
X24n0459_001:0521a04	於我滅後。後五百歲。若復有人。能持大乘無相戒。	於 我 滅 後 後 五 百 歲 若 復 有 人 能 持 大 乘 無 相 戒 
X24n0459_001:0521a05	不妄取諸相。不造生死業。一切時中。心常空寂。不	不 妄 取 諸 相 不 造 生 死 業 一 切 時 中 心 常 空 寂 不 
X24n0459_001:0521a06	被諸相所縛。即是無所住心。於如來深法。心能信	被 諸 相 所 縛 即 是 無 所 住 心 於 如 來 深 法 心 能 信 
X24n0459_001:0521a07	入。此人所謂言說。真實可信。何以故。此人不於一	入 此 人 所 謂 言 說 真 實 可 信 何 以 故 此 人 不 於 一 
X24n0459_001:0521a08	劫二劫三四五劫而種善根。已於無量千萬億劫。	劫 二 劫 三 四 五 劫 而 種 善 根 已 於 無 量 千 萬 億 劫 
X24n0459_001:0521a09	種諸善根。是故如來說。我滅後。後五百歲。有能離	種 諸 善 根 是 故 如 來 說 我 滅 後 後 五 百 歲 有 能 離 
X24n0459_001:0521a10	相修行者。當知是人。不於一二三四五佛。種諸善	相 修 行 者 當 知 是 人 不 於 一 二 三 四 五 佛 種 諸 善 
X24n0459_001:0521a11	根。何名種諸善根。略述次下。所謂於諸佛所。一心	根 何 名 種 諸 善 根 略 述 次 下 所 謂 於 諸 佛 所 一 心 
X24n0459_001:0521a12	供養。隨順教法。於諸菩薩善知識師僧父母。耆年	供 養 隨 順 教 法 於 諸 菩 薩 善 知 識 師 僧 父 母 耆 年 
X24n0459_001:0521a13	宿德尊長之處。常行恭敬供養。承順教命。不違其	宿 德 尊 長 之 處 常 行 恭敬供養 承 順 教 命 不 違 其 
X24n0459_001:0521a14	意。是名種諸善根。於一切貧苦眾生。起慈愍心。不	意 是 名 種 諸 善 根 於 一 切 貧 苦 眾 生 起 慈 愍 心 不 
X24n0459_001:0521a15	生輕厭。有所須求。隨力惠施。是名種諸善根。於一	生 輕 厭 有 所 須 求 隨 力 惠 施 是 名 種 諸 善 根 於 一 
X24n0459_001:0521a16	切惡類。自行和柔忍辱。歡喜逢迎。不逆其意。令彼	切 惡 類 自 行 和 柔 忍 辱 歡 喜 逢 迎 不 逆 其 意 令 彼 
X24n0459_001:0521a17	發歡喜心。息剛戾心。是名種諸善根。於六道眾生。	發歡喜心 息 剛 戾 心 是 名 種 諸 善 根 於 六 道 眾 生 
X24n0459_001:0521a18	不加殺害。不欺不賤。不毀不辱。不騎不箠。不食其	不 加 殺 害 不 欺 不 賤 不 毀 不 辱 不 騎 不 箠 不 食 其 
X24n0459_001:0521a19	肉。常行饒益。是名種諸善根。信心者。信般若波羅	肉 常 行 饒 益 是 名 種 諸 善 根 信 心 者 信 般 若 波 羅 
X24n0459_001:0521a20	蜜能除一切煩惱。信般若波羅蜜能成就一切出	蜜 能 除一切煩惱 信 般 若 波 羅 蜜 能 成 就 一 切 出 
X24n0459_001:0521a21	此功德。信般若波羅蜜能出生一切諸佛。信自身	此 功 德 信 般 若 波 羅 蜜 能 出 生 一切諸佛 信 自 身 
X24n0459_001:0521a22	中佛性本來清淨。無有染污。與諸佛性平等無二。	中 佛 性 本 來 清 淨 無 有 染 污 與 諸 佛 性 平 等 無 二 
X24n0459_001:0521a23	信六道眾生本來無相。信一切眾生盡能成佛。是	信 六 道 眾 生 本 來 無 相 信 一 切 眾 生 盡 能 成 佛 是 
X24n0459_001:0521a24	名清淨信心也。	名 清 淨 信 心 也 
X24n0459_001:0521b01	須菩提。如來悉知悉見是諸眾生。得如是無量福德。	須 菩 提 如 來 悉 知 悉 見 是 諸 眾 生 得 如 是 無量福德 
X24n0459_001:0521b02	何以故。是諸眾生。無復我相人相眾生相壽者相。無	何 以 故 是 諸 眾 生 無 復 我 相 人 相 眾 生 相 壽 者 相 無 
X24n0459_001:0521b03	法相亦無非法相。	法 相 亦 無 非 法 相 
X24n0459_001:0521b04	若有人於如來滅後。發般若波羅蜜心。行般若波	若 有 人 於 如來滅後 發 般 若 波 羅 蜜 心 行 般 若 波 
X24n0459_001:0521b05	羅蜜行。修習悟解。得佛深意者。諸佛無不知之。若	羅 蜜 行 修 習 悟 解 得 佛 深 意 者 諸 佛 無 不 知 之 若 
X24n0459_001:0521b06	有人聞上乘法。一心受持。即能行般若波羅蜜無	有 人 聞 上 乘 法 一 心 受 持 即 能 行 般 若 波 羅 蜜 無 
X24n0459_001:0521b07	相無著之行。了無我人眾生壽者四相。無我者。無	相 無 著 之 行 了 無 我 人 眾 生 壽 者 四 相 無 我 者 無 
X24n0459_001:0521b08	色受想行識也。無人者。了四大不實。終歸地水火	色 受 想 行 識 也 無 人 者 了 四 大 不 實 終 歸 地 水 火 
X24n0459_001:0521b09	風也。無眾生者。無生滅心也。無壽者。我身本無。寧	風 也 無 眾 生 者 無 生 滅 心 也 無 壽 者 我 身 本 無 寧 
X24n0459_001:0521b10	有壽者。四相既亡。即法眼明徹。不著有無。遠離二	有 壽 者 四 相 既 亡 即 法 眼 明 徹 不 著 有 無 遠 離 二 
X24n0459_001:0521b11	邊。自心如來。自悟自覺。永離塵勞妄念。自然得福	邊 自 心 如 來 自 悟 自 覺 永 離 塵 勞 妄 念 自 然 得 福 
X24n0459_001:0521b12	無邊。無法相者。離名絕相。不拘文字也。亦無非法	無 邊 無 法 相 者 離 名 絕 相 不 拘 文 字 也 亦 無 非 法 
X24n0459_001:0521b13	相者。不得言無般若波羅蜜法。若言無般若波羅	相 者 不 得 言 無 般 若 波 羅 蜜 法 若 言 無 般 若 波 羅 
X24n0459_001:0521b14	蜜法者。即是謗法。	蜜 法 者 即 是 謗 法 
X24n0459_001:0521b15	何以故。是諸眾生。若心取相。則為著我人眾生壽者。	何 以 故 是 諸 眾 生 若 心 取 相 則 為 著 我 人 眾 生 壽 者 
X24n0459_001:0521b16	若取法相。即著我人眾生壽者。何以故。若取非法相。	若 取 法 相 即 著 我 人 眾 生 壽 者 何 以 故 若 取 非 法 相 
X24n0459_001:0521b17	即著我人眾生壽者。	即 著 我 人 眾 生 壽 者 
X24n0459_001:0521b18	取此三相。並著邪見。盡是迷人。不悟經意。故修行	取 此 三 相 並 著 邪 見 盡 是 迷 人 不 悟 經 意 故 修 行 
X24n0459_001:0521b19	人不得愛著如來三十二相。不得言我解般若波	人 不 得 愛 著 如 來 三十二相 不 得 言 我 解 般 若 波 
X24n0459_001:0521b20	羅蜜法。亦不得言不行般若波羅蜜行。而得成佛。	羅 蜜 法 亦 不 得 言 不 行 般 若 波 羅 蜜 行 而 得 成 佛 
X24n0459_001:0521b21	是故不應取法。不應取非法。以是義故。如來常說。汝	是 故 不 應 取 法 不 應 取 非 法 以是義故 如 來 常 說 汝 
X24n0459_001:0521b22	等比丘。知我說法。如筏喻者。法尚應捨。何況非法。	等 比 丘 知 我 說 法 如 筏 喻 者 法 尚 應 捨 何 況 非 法 
X24n0459_001:0521b23	法者。是般若波羅蜜法。非法者。生天等法。般若波	法 者 是 般 若 波 羅 蜜 法 非 法 者 生 天 等 法 般 若 波 
X24n0459_001:0521b24	羅蜜法。能令一切眾生過生死大海。既得過已。尚	羅 蜜 法 能 令 一 切 眾 生 過 生 死 大 海 既 得 過 已 尚 
X24n0459_001:0521c01	不應住。何況生天等法。而得樂著。	不 應 住 何 況 生 天 等 法 而 得 樂 著 
X24n0459_001:0521c02	○無得無說分第七	 無 得 無 說 分 第 七 
X24n0459_001:0521c03	須菩提。於意云何。如來得阿耨多羅三藐三菩提耶。	須 菩 提 於意云何 如 來 得阿耨多羅三藐三菩提 耶 
X24n0459_001:0521c04	如來有所說法耶。須菩提言。如我解佛所說義。無有	如 來 有 所 說 法 耶 須 菩 提 言 如 我 解 佛 所 說 義 無 有 
X24n0459_001:0521c05	定法。名阿耨多羅三藐三菩提。亦無有定法如來可	定 法 名 阿耨多羅三藐三菩提 亦 無 有 定 法 如 來 可 
X24n0459_001:0521c06	說。	說 
X24n0459_001:0521c07	阿耨多羅。非從外得。但心無我所即是也。秪緣對	阿 耨 多 羅 非 從 外 得 但 心 無 我 所 即 是 也 秪 緣 對 
X24n0459_001:0521c08	病設藥。隨宜為說。何有定法乎。如來說無上正法。	病 設 藥 隨 宜 為 說 何 有 定 法 乎 如 來 說 無 上 正 法 
X24n0459_001:0521c09	心本無得。亦不言不得。但為眾生所見不同。如來	心 本 無 得 亦 不 言 不 得 但 為 眾 生 所 見 不 同 如 來 
X24n0459_001:0521c10	應彼根性。種種方便。開誘化導。俾其離諸執著。指	應 彼 根 性 種 種 方 便 開 誘 化 導 俾 其 離 諸 執 著 指 
X24n0459_001:0521c11	示一切眾生。妄心生滅不停。逐境界動。前念瞥起。	示 一 切 眾 生 妄 心 生 滅 不 停 逐 境 界 動 前 念 瞥 起 
X24n0459_001:0521c12	後念應覺。覺既不住。見亦不存。若爾。豈有定法為	後 念 應 覺 覺 既 不 住 見 亦 不 存 若 爾 豈 有 定 法 為 
X24n0459_001:0521c13	如來可說也。阿者。心無妄念。耨多羅者。心無驕慢。	如 來 可 說 也 阿 者 心 無 妄 念 耨 多 羅 者 心 無 驕 慢 
X24n0459_001:0521c14	三者。心常在正定。藐者。心常在正慧。三菩提者。心	三 者 心 常 在 正 定 藐 者 心 常 在 正 慧 三 菩 提 者 心 
X24n0459_001:0521c15	常空寂。一念凡心頓除。即見佛性。	常 空 寂 一 念 凡 心 頓 除 即 見 佛 性 
X24n0459_001:0521c16	何以故。如來所說法。皆不可取。不可說。非法非非法。	何 以 故 如 來 所 說 法 皆 不 可 取 不 可 說 非 法 非 非 法 
X24n0459_001:0521c17	恐人執著如來所說文字章句。不悟無相之理。妄	恐 人 執 著 如 來 所 說 文 字 章 句 不 悟 無 相 之 理 妄 
X24n0459_001:0521c18	生知解。故言不可取。如來為化種種眾生。應機隨	生 知 解 故 言 不 可 取 如 來 為 化 種 種 眾 生 應 機 隨 
X24n0459_001:0521c19	量。所有言說。亦何有定乎。學人不解如來深意。但	量 所 有 言 說 亦 何 有 定 乎 學 人 不 解 如 來 深 意 但 
X24n0459_001:0521c20	誦如來所說教法。不了本心。不了本心終不成佛。	誦 如 來 所 說 教 法 不 了 本 心 不 了 本 心 終 不 成 佛 
X24n0459_001:0521c21	故言不可說也。口誦心不行即非法。口誦心行。了	故 言 不 可 說 也 口 誦 心 不 行 即 非 法 口 誦 心 行 了 
X24n0459_001:0521c22	無所得。即非非法。	無 所 得 即 非 非 法 
X24n0459_001:0521c23	所以者何。一切賢聖。皆以無為法而有差別。	所以者何 一 切 賢 聖 皆 以 無 為 法 而有差別 
X24n0459_001:0521c24	三乘根性。所解不同。見有深淺。故言差別。佛說無	三 乘 根 性 所 解 不 同 見 有 深 淺 故 言 差 別 佛 說 無 
X24n0459_001:0522a01	為法者。即是無住。無住即是無相。無相即無起。無	為 法 者 即 是 無 住 無 住 即 是 無 相 無 相 即 無 起 無 
X24n0459_001:0522a02	起即無滅。蕩然空寂。照用齊收。鑒覺無礙。乃真是	起 即 無 滅 蕩 然 空 寂 照 用 齊 收 鑒 覺 無 礙 乃 真 是 
X24n0459_001:0522a03	解脫佛性。佛即是覺。覺即是觀照。觀照即是智慧。	解 脫 佛 性 佛 即 是 覺 覺 即 是 觀 照 觀 照 即 是 智 慧 
X24n0459_001:0522a04	智慧即是般若波羅蜜多。又本云聖賢說法。具一	智 慧 即 是 般 若 波羅蜜多 又 本 云 聖 賢 說 法 具 一 
X24n0459_001:0522a05	切智。萬法在性。隨問差別。令人心開。各自見性。	切 智 萬 法 在 性 隨 問 差 別 令 人 心 開 各 自 見 性 
X24n0459_001:0522a06	○依法出生分第八	 依 法 出 生 分 第 八 
X24n0459_001:0522a07	須菩提。於意云何。若人滿三千大千世界七寶。以用	須 菩 提 於意云何 若 人 滿 三千大千世界 七 寶 以 用 
X24n0459_001:0522a08	布施。是人所得福德。寧為多不。須菩提言。甚多。世尊。	布 施 是 人 所 得 福 德 寧 為 多 不 須 菩 提 言 甚 多 世 尊 
X24n0459_001:0522a09	何以故。是福德即非福德性。是故如來說福德多。	何 以 故 是 福 德 即 非 福 德 性 是 故 如 來 說 福 德 多 
X24n0459_001:0522a10	三千大千世界七寶以用布施。得福雖多。於性上	三千大千世界 七 寶 以用布施 得 福 雖 多 於 性 上 
X24n0459_001:0522a11	一無利益。依摩訶般若波羅蜜多修行。令自性不	一 無 利 益 依 摩訶般若波羅蜜 多 修 行 令 自 性 不 
X24n0459_001:0522a12	墮諸有。是名福德性。心有能所。即非福德性。能所	墮 諸 有 是 名 福 德 性 心 有 能 所 即 非 福 德 性 能 所 
X24n0459_001:0522a13	心滅。是名福德性。心依佛教。行同佛行。是名福德	心 滅 是 名 福 德 性 心 依 佛 教 行 同 佛 行 是 名 福 德 
X24n0459_001:0522a14	性。不依佛教。不能踐履佛行。即非福德性。	性 不 依 佛 教 不 能 踐 履 佛 行 即 非 福 德 性 
X24n0459_001:0522a15	若復有人。於此經中。受持乃至四句等偈。為佗人說。	若 復 有 人 於 此 經 中 受 持 乃 至 四 句 等 偈 為 佗 人 說 
X24n0459_001:0522a16	其福勝彼。	其 福 勝 彼 
X24n0459_001:0522a17	十二部教。大意盡在四句之中。何以知其然。以諸	十 二 部 教 大 意 盡 在 四 句 之 中 何 以 知 其 然 以 諸 
X24n0459_001:0522a18	經中讚嘆。四句偈即是摩訶般若波羅蜜多。以摩	經 中 讚 嘆 四 句 偈 即 是 摩訶般若波羅蜜 多 以 摩 
X24n0459_001:0522a19	訶般若為諸佛母。三世諸佛。皆依此經修行。方得	訶 般 若 為 諸 佛 母 三世諸佛 皆 依 此 經 修 行 方 得 
X24n0459_001:0522a20	成佛。般若心經云。三世諸佛。依般若波羅蜜多。故	成 佛 般 若 心 經 云 三世諸佛 依 般 若 波羅蜜多 故 
