X56n0949_001:0865a03	 閑居編序	 閑 居 編 序 
X56n0949_005:0875b05	也思過半矣鈔文一卷止盡玄義餘則未暇也聖宋	也 思 過 半 矣 鈔 文 一 卷 止 盡 玄 義 餘 則 未 暇 也 聖 宋 
X56n0949_005:0875b06	天禧四年庚申仲春二十有七日於瑪瑙坡錦繡亭	天 禧 四 年 庚 申 仲 春 二 十 有 七 日 於 瑪 瑙 坡 錦 繡 亭 
X56n0949_005:0875b07	序越明年春續之成五卷。	序 越 明 年 春 續 之 成 五 卷 
X56n0949_005:0875b09	閑居編第五	閑 居 編 第 五 
X56n0949_006:0875b12	閑居編第六	閑 居 編 第 六 
X56n0949_006:0875b14	宋孤山沙門　智圓　著	宋 孤 山 沙 門 智 圓 著 
X56n0949_006:0875b15	涅槃百非鈔序	涅 槃 百 非 鈔 序 
X56n0949_006:0875b16	金剛身品百非之文古來人師但解非身是身一句	金 剛 身 品 百 非 之 文 古 來 人 師 但 解 非 身 是 身 一 句 
X56n0949_006:0875b17	而已章安疏主雖以三諦分文亦不委消名相豈非	而 已 章 安 疏 主 雖 以 三 諦 分 文 亦 不 委 消 名 相 豈 非 
X56n0949_006:0875b18	佛旨淵深聖言祕妙既思議難及故諸德置而不論	佛 旨 淵 深 聖 言 祕 妙 既 思 議 難 及 故 諸 德 置 而 不 論 
X56n0949_006:0875b19	耶予先撰三德指歸申明經疏至於此義亦乃闕如	耶 予 先 撰 三 德 指 歸 申 明 經 疏 至 於 此 義 亦 乃 闕 如 
X56n0949_006:0875b20	適因講次隨文粗釋諸來學者請形筆墨因是輒陳	適 因 講 次 隨 文 粗 釋 諸 來 學 者 請 形 筆 墨 因 是 輒 陳 
X56n0949_006:0875b21	管見略為疏出竊慮加水之乳有誤後昆其有智者	管 見 略 為 疏 出 竊 慮 加 水 之 乳 有 誤 後 昆 其 有 智 者 
X56n0949_006:0875b22	宜自詳擇時大宋大中祥符七年龍集甲寅九月二	宜 自 詳 擇 時 大 宋 大 中 祥 符 七 年 龍 集 甲 寅 九 月 二 
X56n0949_006:0875b23	十七日於西湖崇福寺講院序。	十 七 日 於 西 湖 崇 福 寺 講 院 序 
X56n0949_006:0875b24	涅槃經疏三德指歸序	涅 槃 經 疏 三 德 指 歸 序 
X56n0949_006:0875c01	涅槃疏者實吾祖章安法師約龍樹宗旨用智者法	涅 槃 疏 者 實 吾 祖 章 安 法 師 約 龍 樹 宗 旨 用 智 者 法 
X56n0949_006:0875c02	門依經辨理大明乎三德之妙義也既而章安師沒	門 依 經 辨 理 大 明 乎 三 德 之 妙 義 也 既 而 章 安 師 沒 
X56n0949_006:0875c03	荊溪師作筆削斯文再治再定抑又因舊章見新意	荊 溪 師 作 筆 削 斯 文 再 治 再 定 抑 又 因 舊 章 見 新 意 
X56n0949_006:0875c04	如諸文之下或加私謂文句之題改之曰疏是也然	如 諸 文 之 下 或 加 私 謂 文 句 之 題 改 之 曰 疏 是 也 然 
X56n0949_006:0875c05	後得盡善矣邇世空文僅存莫有傳者錢唐沙門釋	後 得 盡 善 矣 邇 世 空 文 僅 存 莫 有 傳 者 錢 唐 沙 門 釋 
X56n0949_006:0875c06	智圓字無外其荊溪十世之法孫也痛微言之將墜	智 圓 字 無 外 其 荊 溪 十 世 之 法 孫 也 痛 微 言 之 將 墜 
X56n0949_006:0875c07	憫後學之不聞於是撰記以申明之勒成二十卷號	憫 後 學 之 不 聞 於 是 撰 記 以 申 明 之 勒 成 二 十 卷 號 
X56n0949_006:0875c08	三德指歸凡於文高旨遠言約義微之處而皆離堅	三 德 指 歸 凡 於 文 高 旨 遠 言 約 義 微 之 處 而 皆 離 堅 
X56n0949_006:0875c09	合異派深析重指而歸之俾夫來者識經之所詮疏	合 異 派 深 析 重 指 而 歸 之 俾 夫 來 者 識 經 之 所 詮 疏 
X56n0949_006:0875c10	之立義盡在於生佛無差一心三德之理也無奔走	之 立 義 盡 在 於 生 佛 無 差 一 心 三 德 之 理 也 無 奔 走 
X56n0949_006:0875c11	於迷途姑務於理觀講授矣惟懷道者知我志乎大	於 迷 途 姑 務 於 理 觀 講 授 矣 惟 懷 道 者 知 我 志 乎 大 
X56n0949_006:0875c12	宋大中祥符四年歲次辛亥八月既望於錢唐西湖	宋 大 中 祥 符 四 年 歲 次 辛 亥 八 月 既 望 於 錢 唐 西 湖 
X56n0949_006:0875c13	崇福寺講堂首事筆削越六年癸丑九月二十六日	崇 福 寺 講 堂 首 事 筆 削 越 六 年 癸 丑 九 月 二 十 六 日 
X56n0949_006:0875c14	於大慈山崇法寺方丈功畢序云。	於 大 慈 山 崇 法 寺 方 丈 功 畢 序 云 
X56n0949_006:0875c15	阿彌陀經疏西資鈔序	阿 彌 陀 經 疏 西 資 鈔 序 
X56n0949_006:0875c16	夫疏之有記鈔者蓋後學之曹記錄要義抄寫格言	夫 疏 之 有 記 鈔 者 蓋 後 學 之 曹 記 錄 要 義 抄 寫 格 言 
X56n0949_006:0875c17	以輔翼其疏防乎傳授之謬誤討尋之忽忘耳吾所	以 輔 翼 其 疏 防 乎 傳 授 之 謬 誤 討 尋 之 忽 忘 耳 吾 所 
X56n0949_006:0875c18	撰十疏者乃始於文殊般若而終於阿彌陀經也雖	撰 十 疏 者 乃 始 於 文 殊 般 若 而 終 於 阿 彌 陀 經 也 雖 
X56n0949_006:0875c19	皆乘興偶然而作及論其次第似有旨乎得非始以	皆 乘 興 偶 然 而 作 及 論 其 次 第 似 有 旨 乎 得 非 始 以 
X56n0949_006:0875c20	般若真空蕩擊著於前終依淨土行門求往生於後	般 若 真 空 蕩 擊 著 於 前 終 依 淨 土 行 門 求 往 生 於 後 
X56n0949_006:0875c21	邪噫以無所得心而修佛國行者不亦宜乎抑又念	邪 噫 以 無 所 得 心 而 修 佛 國 行 者 不 亦 宜 乎 抑 又 念 
X56n0949_006:0875c22	涅槃有言騾之懷胎竹之結實人之抱疾斯三者諒	涅 槃 有 言 騾 之 懷 胎 竹 之 結 實 人 之 抱 疾 斯 三 者 諒 
X56n0949_006:0875c23	必死之非久矣矧吾有深固之疾而困躓臞瘠亦已	必 死 之 非 久 矣 矧 吾 有 深 固 之 疾 而 困 躓 臞 瘠 亦 已 
X56n0949_006:0875c24	甚乎豈能久留於世邪遂亟欲口授其義旨于來學	甚 乎 豈 能 久 留 於 世 邪 遂 亟 欲 口 授 其 義 旨 于 來 學 
X56n0949_006:0876a01	輩俾廣淨土之道也門弟子有願書吾言於紙以為	輩 俾 廣 淨 土 之 道 也 門 弟 子 有 願 書 吾 言 於 紙 以 為 
X56n0949_006:0876a02	記抄庶逃謬誤忽忘之咎焉吾乃許之遂隱几口占	記 抄 庶 逃 謬 誤 忽 忘 之 咎 焉 吾 乃 許 之 遂 隱 几 口 占 
X56n0949_006:0876a03	使門徒曰惟雅者筆之成一卷凡十餘紙吾自顧而	使 門 徒 曰 惟 雅 者 筆 之 成 一 卷 凡 十 餘 紙 吾 自 顧 而 
X56n0949_006:0876a04	笑曰我為經作疏已多言矣況又為疏作鈔邪雖然	笑 曰 我 為 經 作 疏 已 多 言 矣 況 又 為 疏 作 鈔 邪 雖 然 
X56n0949_006:0876a05	無名相中假名相說得夫魚兔者筌蹄也言可棄乎	無 名 相 中 假 名 相 說 得 夫 魚 兔 者 筌 蹄 也 言 可 棄 乎 
X56n0949_006:0876a06	且使夫後昆傳無盡之燈益無窮之機使信釋迦之	且 使 夫 後 昆 傳 無 盡 之 燈 益 無 窮 之 機 使 信 釋 迦 之 
X56n0949_006:0876a07	勸讚荷諸佛之護念入彌陀大願海中者可不由於	勸 讚 荷 諸 佛 之 護 念 入 彌 陀 大 願 海 中 者 可 不 由 於 
X56n0949_006:0876a08	斯文歟夫如是則斯言足可為吾西歸淨剎之資粮	斯 文 歟 夫 如 是 則 斯 言 足 可 為 吾 西 歸 淨 剎 之 資 粮 
X56n0949_006:0876a09	也可號之曰西資鈔焉小子識之門人曰唯唯既聞	也 可 號 之 曰 西 資 鈔 焉 小 子 識 之 門 人 曰 唯 唯 既 聞 
X56n0949_006:0876a10	命矣作禮而出是時巨宋天禧五年倉龍辛酉冬十	命 矣 作 禮 而 出 是 時 巨 宋 天 禧 五 年 倉 龍 辛 酉 冬 十 
X56n0949_006:0876a11	一月七日午後首事染毫翌日初夜分絕筆序云。	一 月 七 日 午 後 首 事 染 毫 翌 日 初 夜 分 絕 筆 序 云 
X56n0949_006:0876a12	金剛錍顯性錄序	金 剛 錍 顯 性 錄 序 
X56n0949_006:0876a13	金剛錍者荊溪大師宗圓頓教所著論也發揮佛旨	金 剛 錍 者 荊 溪 大 師 宗 圓 頓 教 所 著 論 也 發 揮 佛 旨 
X56n0949_006:0876a14	擬議圓宗融萬法於一心息異論於千古抑又開後	擬 議 圓 宗 融 萬 法 於 一 心 息 異 論 於 千 古 抑 又 開 後 
X56n0949_006:0876a15	昆之智眼喻金錍以立名敘前代之權疑寄野客而	昆 之 智 眼 喻 金 錍 以 立 名 敘 前 代 之 權 疑 寄 野 客 而 
X56n0949_006:0876a16	興問其道甚大嘉言孔彰俾佛性昭昭無為昏情所	興 問 其 道 甚 大 嘉 言 孔 彰 俾 佛 性 昭 昭 無 為 昏 情 所 
X56n0949_006:0876a17	隱者其此論矣圓躭味沈翫有年數焉於是採摭群	隱 者 其 此 論 矣 圓 躭 味 沈 翫 有 年 數 焉 於 是 採 摭 群 
X56n0949_006:0876a18	言敷暢厥旨所期自照敢貽他人既錄本宗要文顯	言 敷 暢 厥 旨 所 期 自 照 敢 貽 他 人 既 錄 本 宗 要 文 顯 
X56n0949_006:0876a19	此佛性妙義因命為顯性錄也時皇宋景德三年歲	此 佛 性 妙 義 因 命 為 顯 性 錄 也 時 皇 宋 景 德 三 年 歲 
X56n0949_006:0876a20	次丙午中秋望日序。	次 丙 午 中 秋 望 日 序 
X56n0949_006:0876a22	閑居編第六	閑 居 編 第 六 
X56n0949_007:0876b01	閑居編第七	閑 居 編 第 七 
X56n0949_007:0876b02	宋孤山沙門　智圓　著	宋 孤 山 沙 門 智 圓 著 
X56n0949_007:0876b03	觀音行門統攝眾行論	觀 音 行 門 統 攝 眾 行 論 
X56n0949_007:0876b04	或曰佛經無量行門不一諸聖偏讚蘭菊各美今滅	或 曰 佛 經 無 量 行 門 不 一 諸 聖 偏 讚 蘭 菊 各 美 今 滅 
X56n0949_007:0876b05	後行人的依何門修證而獲趣菩提邪對曰經雖無	後 行 人 的 依 何 門 修 證 而 獲 趣 菩 提 邪 對 曰 經 雖 無 
X56n0949_007:0876b06	量門雖不同皆佛世利根得悟者爾洎乎滅後聖意	量 門 雖 不 同 皆 佛 世 利 根 得 悟 者 爾 洎 乎 滅 後 聖 意 
X56n0949_007:0876b07	有歸唯當依言教思修能至菩提也是故楞嚴一經	有 歸 唯 當 依 言 教 思 修 能 至 菩 提 也 是 故 楞 嚴 一 經 
X56n0949_007:0876b08	為付囑之前陣涅槃之先容所以假阿難發起請示	為 付 囑 之 前 陣 涅 槃 之 先 容 所 以 假 阿 難 發 起 請 示 
X56n0949_007:0876b09	行門然後如來敕二十五聖各談所證而令文殊料	行 門 然 後 如 來 敕 二 十 五 聖 各 談 所 證 而 令 文 殊 料 
X56n0949_007:0876b10	簡否臧而但以觀音為第一也豈非觀音於耳根悟	簡 否 臧 而 但 以 觀 音 為 第 一 也 豈 非 觀 音 於 耳 根 悟 
X56n0949_007:0876b11	道以聲塵為教依而思修至于無生乎故曰從聞思	道 以 聲 塵 為 教 依 而 思 修 至 于 無 生 乎 故 曰 從 聞 思 
X56n0949_007:0876b12	修入三摩地當知諸經所說一切行門悉人觀音門	修 入 三 摩 地 當 知 諸 經 所 說 一 切 行 門 悉 人 觀 音 門 
X56n0949_007:0876b13	中也以悉皆憑教故故至涅槃如來更勤勤誡囑當	中 也 以 悉 皆 憑 教 故 故 至 涅 槃 如 來 更 勤 勤 誡 囑 當 
X56n0949_007:0876b14	依四法則涅槃可得焉四法者何耶一近善知識二	依 四 法 則 涅 槃 可 得 焉 四 法 者 何 耶 一 近 善 知 識 二 
X56n0949_007:0876b15	聽聞正法三思惟其義四如說修行是也或者曰佛	聽聞正法 三 思 惟 其 義 四 如說修行 是 也 或 者 曰 佛 
X56n0949_007:0876b16	世既有於餘根得悟者滅後安得無之若也自當於	世 既 有 於 餘 根 得 悟 者 滅 後 安 得 無 之 若 也 自 當 於 
X56n0949_007:0876b17	餘根開悟抑令從耳根者豈契合機緣乎對曰實有	餘 根 開 悟 抑 令 從 耳 根 者 豈 契 合 機 緣 乎 對 曰 實 有 
X56n0949_007:0876b18	於餘根開悟者更令依憑言教如膏助火則轉加其	於 餘 根 開 悟 者 更 令 依 憑 言 教 如 膏 助 火 則 轉 加 其 
X56n0949_007:0876b19	明雖曰抑之其實揚之也其或本無餘根開悟之機	明 雖 曰 抑 之 其 實 揚 之 也 其 或 本 無 餘 根 開 悟 之 機 
X56n0949_007:0876b20	妄託高蹤蔑棄言教自言頓了不假筌蹄及驗其所	妄 託 高 蹤 蔑 棄 言 教 自 言 頓 了 不 假 筌 蹄 及 驗 其 所 
X56n0949_007:0876b21	證則全同上慢而自墜塗炭如是之流雖聖言大為	證 則 全 同 上 慢 而 自 墜 塗 炭 如 是 之 流 雖 聖 言 大 為 
X56n0949_007:0876b22	之防而比比有之當尋此意自曉觀音門之總攝也	之 防 而 比 比 有 之 當 尋 此 意 自 曉 觀 音 門 之 總 攝 也 
X56n0949_007:0876b23	故楞嚴曰十方薄伽梵一路涅槃門蓋取十方盡於	故 楞 嚴 曰 十 方 薄 伽 梵 一 路 涅 槃 門 蓋 取 十 方 盡 於 
X56n0949_007:0876b24	耳根悟道者說耳於十方界豈無獨於餘法悟道者	耳 根 悟 道 者 說 耳 於 十 方 界 豈 無 獨 於 餘 法 悟 道 者 
X56n0949_007:0876c01	耶楞嚴證其同於耳根之悟餘法且隱而不彰也淨	耶 楞 嚴 證 其 同 於 耳 根 之 悟 餘 法 且 隱 而 不 彰 也 淨 
X56n0949_007:0876c02	名經詳之矣或者曰聞思修之三慧楞嚴已前諸經	名 經 詳 之 矣 或 者 曰 聞 思 修 之 三 慧 楞 嚴 已 前 諸 經 
X56n0949_007:0876c03	說者亦眾矣何言止在楞嚴耶對曰諸經覆相而談	說 者 亦 眾 矣 何 言 止 在 楞 嚴 耶 對 曰 諸 經 覆 相 而 談 
X56n0949_007:0876c04	未的簡示若論此土既以音聲為佛事又豈踰聞思	未 的 簡 示 若 論 此 土 既 以 音 聲 為 佛 事 又 豈 踰 聞 思 
X56n0949_007:0876c05	修乎故諸經三乘弟子凡有諮問如來許說必先誡	修 乎 故 諸 經 三 乘 弟 子 凡 有 諮 問 如 來 許 說 必 先 誡 
X56n0949_007:0876c06	之曰諦聽諦聽善思念之既云諦聽豈非聞慧乎既	之 曰 諦 聽 諦 聽 善思念之 既 云 諦 聽 豈 非 聞 慧 乎 既 
X56n0949_007:0876c07	云善思豈非思慧乎既云念之豈非修慧乎但此旨	云 善 思 豈 非 思 慧 乎 既 云 念 之 豈 非 修 慧 乎 但 此 旨 
X56n0949_007:0876c08	粲然在乎諸經而人惑不知故昧總而認別爾復云	粲 然 在 乎 諸 經 而 人 惑 不 知 故 昧 總 而 認 別 爾 復 云 
X56n0949_007:0876c09	何以觀音之總貫諸行之別耶對曰至如普賢安樂	何 以 觀 音 之 總 貫 諸 行 之 別 耶 對 曰 至 如 普 賢 安 樂 
X56n0949_007:0876c10	之行般舟念佛之門方等但持文殊專坐上生則求	之 行 般舟念佛 之 門 方 等 但 持 文 殊 專 坐 上 生 則 求 
X56n0949_007:0876c11	往知足彌陀則專趣淨方六度萬行各有偏讚如是	往 知 足 彌 陀 則 專 趣 淨 方 六 度 萬 行 各 有 偏 讚 如 是 
X56n0949_007:0876c12	等經莫不皆由言說乎故曰觀音之總能貫諸行之	等 經 莫 不 皆 由 言 說 乎 故 曰 觀 音 之 總 能 貫 諸 行 之 
X56n0949_007:0876c13	別也若不依教則成邪倒故諸經結觀皆言作是觀	別 也 若 不 依 教 則 成 邪 倒 故 諸 經 結 觀 皆 言 作 是 觀 
X56n0949_007:0876c14	者名為正觀若他觀者名為邪觀其是之謂乎或者	者 名 為 正 觀 若 他 觀 者 名 為 邪 觀 其 是 之 謂 乎 或 者 
X56n0949_007:0876c15	曰若然者則觀音所說三慧開悟之門既總能攝眾	曰 若 然 者 則 觀 音 所 說 三 慧 開 悟 之 門 既 總 能 攝 眾 
X56n0949_007:0876c16	行則應無自體矣果於何法而開悟耶對曰子之惑	行 則 應 無 自 體 矣 果 於 何 法 而 開 悟 耶 對 曰 子 之 惑 
X56n0949_007:0876c17	深也豈不知總攝之中而有兩異耶一則專在耳根	深 也 豈 不 知 總 攝 之 中 而 有 兩 異 耶 一 則 專 在 耳 根 
X56n0949_007:0876c18	非從餘法一則觀理直入者謂聞常住真心也然後	非 從 餘 法 一 則 觀 理 直 入 者 謂 聞 常 住 真 心 也 然 後 
X56n0949_007:0876c19	生滅既滅寂滅現前故曰從聞思修入三摩地也又	生 滅 既 滅 寂 滅 現 前 故 曰 從 聞 思 修 入 三 摩 地 也 又 
X56n0949_007:0876c20	曰何藉卒勤肯綮修證乎若兼所攝帶事兼修也然	曰 何 藉 卒 勤 肯 綮 修 證 乎 若 兼 所 攝 帶 事 兼 修 也 然 
X56n0949_007:0876c21	則楞嚴開顯咸歸心性心性無外攝無不周若達此	則 楞 嚴 開 顯 咸 歸 心 性 心 性 無 外 攝 無 不 周 若 達 此 
X56n0949_007:0876c22	旨雖修偏心亦成楞嚴之大定也雖是麤心還成妙	旨 雖 修 偏 心 亦 成 楞 嚴 之 大 定 也 雖 是 麤 心 還 成 妙 
X56n0949_007:0876c23	境扶律談常事即理故天台智者言正助合行者其	境 扶 律 談 常 事 即 理 故 天 台 智 者 言 正 助 合 行 者 其 
X56n0949_007:0876c24	是之謂乎惑者曰既聞命矣復有餘疑更請開決且	是 之 謂 乎 惑 者 曰 既 聞 命 矣 復 有 餘 疑 更 請 開 決 且 
X56n0949_007:0877a01	如此方同迷本性何至開悟而惟在耳根耶對曰所	如 此 方 同 迷 本 性 何 至 開 悟 而 惟 在 耳 根 耶 對 曰 所 
X56n0949_007:0877a02	迷心性雖同而能迷根塵有異故十方國土於諸根	迷 心 性 雖 同 而 能 迷 根 塵 有 異 故 十 方 國 土 於 諸 根 
X56n0949_007:0877a03	塵各有極利者至如此方但強分在於耳根豈餘根	塵 各 有 極 利 者 至 如 此 方 但 強 分 在 於 耳 根 豈 餘 根 
X56n0949_007:0877a04	餘法全無悟者耶楞嚴二十四聖非其人耶雖然終	餘 法 全 無 悟 者 耶 楞 嚴 二 十 四 聖 非 其 人 耶 雖 然 終 
X56n0949_007:0877a05	成依聲教得悟爾但是少聞聲教而能多思諸法故	成 依 聲 教 得 悟 爾 但 是 少 聞 聲 教 而 能 多 思 諸 法 故 
X56n0949_007:0877a06	受別名且如信法兩行豈可法行全不聞耶惑者曰	受 別 名 且 如 信 法 兩 行 豈 可 法 行 全 不 聞 耶 惑 者 曰 
X56n0949_007:0877a07	此方達本之人以心傳心不立文字又豈從聲教耳	此 方 達 本 之 人 以 心 傳 心 不 立 文 字 又 豈 從 聲 教 耳 
X56n0949_007:0877a08	根乎對曰夫達磨之來也將解此方言教之滯縛故	根 乎 對 曰 夫 達 磨 之 來 也 將 解 此 方 言 教 之 滯 縛 故 
X56n0949_007:0877a09	曰以心傳心不立文字心如可傳則當一皆證聖則	曰 以 心 傳 心 不 立 文 字 心 如 可 傳 則 當 一 皆 證 聖 則 
X56n0949_007:0877a10	不合有纔聞即悟久習無成者也既其兩異豈非祖	不 合 有 纔 聞 即 悟 久 習 無 成 者 也 既 其 兩 異 豈 非 祖 
X56n0949_007:0877a11	師依心以立言學者體言而了心又了之有明昧故	師 依 心 以 立 言 學 者 體 言 而 了 心 又 了 之 有 明 昧 故 
X56n0949_007:0877a12	悟之有前後也何言不立文字耶今之舉揚假言句	悟 之 有 前 後 也 何 言 不 立 文 字 耶 今 之 舉 揚 假 言 句 
X56n0949_007:0877a13	以詮心是非譬諸因其苗以辨地之肥瘠也故禪者	以 詮 心 是 非 譬 諸 因 其 苗 以 辨 地 之 肥 瘠 也 故 禪 者 
X56n0949_007:0877a14	以舉揚言句為苗稼焉請以此觀之達磨之來豈離	以 舉 揚 言 句 為 苗 稼 焉 請 以 此 觀 之 達 磨 之 來 豈 離 
X56n0949_007:0877a15	聲教耳根乎但令達文字即解脫故言不立文字爾	聲 教 耳 根 乎 但 令 達 文 字 即 解 脫 故 言 不 立 文 字 爾 
X56n0949_007:0877a16	惑者欣然再拜僕也而今而後請從事於斯矣不亡	惑 者 欣 然 再 拜 僕 也 而 今 而 後 請 從 事 於 斯 矣 不 亡 
X56n0949_007:0877a17	羊於岐道矣欲報之恩浩劫難詶對曰噫經有言曰	羊 於 岐 道 矣 欲 報 之 恩 浩 劫 難 詶 對 曰 噫 經 有 言 曰 
X56n0949_007:0877a18	如為一人眾多亦然故吾之說也不獨在於子之一	如 為 一 人 眾 多 亦 然 故 吾 之 說 也 不 獨 在 於 子 之 一 
X56n0949_007:0877a19	人焉將欲使於如來末法之中一切有緣知乎一切	人 焉 將 欲 使 於 如 來 末 法 之 中 一 切 有 緣 知 乎 一 切 
X56n0949_007:0877a20	行門一切諸經無不為觀音所攝也子宜命之曰觀	行 門 一 切 諸 經 無 不 為 觀 音 所 攝 也 子 宜 命 之 曰 觀 
X56n0949_007:0877a21	音行門統攝眾行論可也有以見觀音於二十五聖	音 行 門 統 攝 眾 行 論 可 也 有 以 見 觀 音 於 二 十 五 聖 
X56n0949_007:0877a22	中圓通最為第一也又知禮覲供養其福與六十二	中 圓 通 最 為 第 一 也 又 知 禮 覲 供 養 其 福 與 六 十 二 
X56n0949_007:0877a23	億河沙菩薩正等良由娑婆修法垂範導利有緣凡	億 河 沙 菩 薩 正 等 良 由 娑 婆 修 法 垂 範 導 利 有 緣 凡 
X56n0949_007:0877a24	六十二億而諸大士皆於餘法開悟不在耳根及其	六 十 二 億 而 諸 大 士 皆 於 餘 法 開 悟 不 在 耳 根 及 其 
X56n0949_007:0877b01	化人還談所證以約化它之多少利物之淺深是故	化 人 還 談 所 證 以 約 化 它 之 多 少 利 物 之 淺 深 是 故 
X56n0949_007:0877b02	觀音之一乃敵諸聖之多也故知法華六十二億皆	觀 音 之 一 乃 敵 諸 聖 之 多 也 故 知 法 華 六 十 二 億 皆 
X56n0949_007:0877b03	楞嚴二十四聖之流類焉論其所證一體無殊故經	楞 嚴 二 十 四 聖 之 流 類 焉 論 其 所 證 一 體 無 殊 故 經 
X56n0949_007:0877b04	曰歸元性無二方便有多門又見娑婆一切眾生咸	曰 歸 元 性 無 二 方 便 有 多 門 又 見 娑 婆 一 切 眾 生 咸 
X56n0949_007:0877b05	稱念於觀世音者猶其根性同故觀音總攝眾行其	稱 念 於 觀 世 音 者 猶 其 根 性 同 故 觀 音 總 攝 眾 行 其 
X56n0949_007:0877b06	昭昭乎其昭昭乎無致惑也常如是流通之使夫一	昭 昭 乎 其 昭 昭 乎 無 致 惑 也 常 如 是 流 通 之 使 夫 一 
X56n0949_007:0877b07	切眾生從聞思修入三摩地者則我願畢矣惑者曰	切 眾 生 從 聞 思 修 入 三 摩 地 者 則 我 願 畢 矣 惑 者 曰 
X56n0949_007:0877b08	唯唯受教庶斯達焉誓分光於無盡也再拜于堂下	唯 唯 受 教 庶 斯 達 焉 誓 分 光 於 無 盡 也 再 拜 于 堂 下 
X56n0949_007:0877b09	循墻而出。	循 墻 而 出 
X56n0949_007:0877b10	思益十誡(并序)	思 益 十 誡 并 序 
X56n0949_007:0877b11	東方有梵天曰思益者欲來娑婆彼佛以十法誡之	東 方 有 梵 天 曰 思 益 者 欲 來 娑 婆 彼 佛 以 十 法 誡 之 
X56n0949_007:0877b12	蓋寄聖以訓凡也吾甞命為思益十誡書之座右以	蓋 寄 聖 以 訓 凡 也 吾 甞 命 為 思 益 十 誡 書 之 座 右 以 
X56n0949_007:0877b13	自勉復欲後學知之遂章句出焉亟命剞劂以工庶	自 勉 復 欲 後 學 知 之 遂 章 句 出 焉 亟 命 剞 劂 以 工 庶 
X56n0949_007:0877b14	有益於代也。	有 益 於 代 也 
X56n0949_007:0877b15	思益經曰東方之國佛號日月光有菩薩梵天曰思	思 益 經 曰 東 方 之 國 佛 號 日 月 光 有 菩 薩 梵 天 曰 思 
X56n0949_007:0877b16	益白佛我欲詣娑婆世界佛言便往汝應以十法遊	益 白 佛 我 欲 詣 娑婆世界 佛 言 便 往 汝 應 以 十 法 遊 
X56n0949_007:0877b17	於彼土於毀於譽心無增減(聞毀而怒則采讒聞讚而喜則招佞君子用心	於 彼 土 於 毀 於 譽 心 無 增 減 聞 毀 而 怒 則 采 讒 聞 讚 而 喜 則 招 佞 君 子 用 心 
X56n0949_007:0877b18	尚須深戒況乎大士達法本空豈由毀讚而增減其心耶)聞善聞惡心無分別(彼善	尚 須 深 戒 況 乎 大 士 達 法 本 空 豈 由 毀 讚 而 增 減 其 心 耶 聞 善 聞 惡 心 無 分 別 彼 善 
X56n0949_007:0877b19	彼惡由彼心起復由我心計彼異相心本自無從心所現一切不實以此觀之豈有分別)於諸愚	彼 惡 由 彼 心 起 復 由 我 心 計 彼 異 相 心 本 自 無 從 心 所 現 一 切 不 實 以 此 觀 之 豈 有 分 別 於 諸 愚 
X56n0949_007:0877b20	智等以悲心(不重智而偏與不輕愚而不救等以悲心皆救其苦)於上中下眾	智 等 以 悲 心 不 重 智 而 偏 與 不 輕 愚 而 不 救 等 以 悲 心 皆 救 其 苦 於 上 中 下 眾 
X56n0949_007:0877b21	生之類(冤親各有三類)心常平等於輕毀供養心無有二於	生 之 類 冤 親 各 有 三 類 心 常 平 等 於 輕 毀 供 養 心 無 有 二 於 
X56n0949_007:0877b22	他闕失莫見其過(無求備於一人也矧一切眾生皆有佛性不可以過怒而輕之雖或	他 闕 失 莫 見 其 過 無 求 備 於 一 人 也 矧 一 切 眾 生 皆 有 佛 性 不 可 以 過 怒 而 輕 之 雖 或 
X56n0949_007:0877b23	加折伏必以慈濟為心與)見種種乘皆是一乘(大小雖殊同歸心性不黨己學而蔑	加 折 伏 必 以 慈 濟 為 心 與 見 種 種 乘 皆 是 一 乘 大 小 雖 殊 同 歸 心 性 不 黨 己 學 而 蔑 
X56n0949_007:0877b24	彼宗大論偈云自法愛染故毀訾他人法雖持戒行人不脫地獄苦)聞三惡道亦莫驚	彼 宗 大 論 偈 云 自 法 愛 染 故 毀 訾 他 人 法 雖 持 戒 行 人 不 脫 地 獄 苦 聞 三 惡 道 亦 莫 驚 
X56n0949_007:0877c01	畏(雖五無間皆解脫相心苟無瑕何憂何懼)於諸菩薩生如來想(敬仞學如極果)	畏 雖 五 無 間 皆 解 脫 相 心 苟 無 瑕 何 憂 何 懼 於 諸 菩 薩 生 如 來 想 敬 仞 學 如 極 果 
X56n0949_007:0877c02	佛出五濁生希有想梵天當以十法遊彼世界時有	佛 出 五 濁 生 希 有 想 梵 天 當 以 十 法 遊 彼 世 界 時 有 
X56n0949_007:0877c03	菩薩白佛我得大利不生如是惡眾生中佛言勿作	菩 薩 白 佛 我 得 大 利 不 生 如 是 惡 眾 生 中 佛 言 勿 作 
X56n0949_007:0877c04	是語所以者何於此國中百千劫修梵行不如彼土	是 語 所以者何 於 此 國 中 百 千 劫 修 梵 行 不 如 彼 土 
X56n0949_007:0877c05	從旦至食無瞋礙心。	從 旦 至 食 無 瞋 礙 心 
X56n0949_007:0877c07	閑居編第七	閑 居 編 第 七 
X56n0949_008:0877c10	閑居編第八	閑 居 編 第 八 
X56n0949_008:0877c12	宋孤山沙門　智圓　著	宋 孤 山 沙 門 智 圓 著 
