X48n0802_001:0308a06	百法論義	百 法 論 義 
X48n0802_001:0310b12	不定四者。謂悔．眠．尋．伺。論曰。不定謂悔眠。尋伺二各	不 定 四 者 謂 悔 眠 尋 伺 論 曰 不 定 謂 悔 眠 尋 伺 二 各 
X48n0802_001:0310b13	二。謂此二二。各具善惡二法。故不定於一。以不同	二 謂 此 二 二 各 具 善 惡 二 法 故 不 定 於 一 以 不 同 
X48n0802_001:0310b14	前五位心所。定徧八識三性一切時一切地。此心	前 五 位 心 所 定 徧 八 識 三 性 一 切 時 一 切 地 此 心 
X48n0802_001:0310b15	所之差別也。悔不定者。如作惡之人。改悔為善。悔	所 之 差 別 也 悔 不 定 者 如 作 惡 之 人 改 悔 為 善 悔 
X48n0802_001:0310b16	前惡行。如作惡之人。悔前惡事不作。故不定耳。眠	前 惡 行 如 作 惡 之 人 悔 前 惡 事 不 作 故 不 定 耳 眠 
X48n0802_001:0310b17	謂睡眠。則令身不自在。心極暗昧。此非善惡。故名	謂 睡 眠 則 令 身 不 自 在 心 極 暗 昧 此 非 善 惡 故 名 
X48n0802_001:0310b18	不定。即眠中作夢。亦不定善惡。論說眠能障觀。以	不 定 即 眠 中 作 夢 亦 不 定 善 惡 論 說 眠 能 障 觀 以 
X48n0802_001:0310b19	眠為心所者。能令身心昏重之用。但非一定善惡	眠 為 心 所 者 能 令 身 心 昏 重 之 用 但 非 一 定 善 惡 
X48n0802_001:0310b20	耳。言尋伺者。乃作善作惡之心。將作之時。必返求	耳 言 尋 伺 者 乃 作 善 作 惡 之 心 將 作 之 時 必 返 求 
X48n0802_001:0310b21	於心。意言籌量。麤轉為尋。入細為伺。所謂麤細發	於 心 意 言 籌 量 麤 轉 為 尋 入 細 為 伺 所 謂 麤 細 發 
X48n0802_001:0310b22	言。言不定者。如讚佛菩薩。初尋後伺。方得妙辭。如	言 言 不 定 者 如 讚 佛 菩 薩 初 尋 後 伺 方 得 妙 辭 如 
X48n0802_001:0310b23	刁訟之人。亦由尋入伺。方得成筭。故此二法為不	刁 訟 之 人 亦 由 尋 入 伺 方 得 成 筭 故 此 二 法 為 不 
X48n0802_001:0310b24	定耳。如上五十一法名心所者。乃心家所有之法	定 耳 如 上 五 十 一 法 名 心 所 者 乃 心 家 所 有 之 法 
X48n0802_001:0310c01	也。然八識心王不會造業。其造業者乃心所為之。	也 然 八 識 心 王 不 會 造 業 其 造 業 者 乃 心 所 為 之 
X48n0802_001:0310c02	以此與心相應故同時起耳。此心所法。又名心數。	以 此 與 心 相 應 故 同 時 起 耳 此 心 所 法 又 名 心 數 
X48n0802_001:0310c03	亦名心迹。亦名心路。謂心行處總名妄想。又名客	亦 名 心 迹 亦 名 心 路 謂 心 行 處 總 名 妄 想 又 名 客 
X48n0802_001:0310c04	塵。又名染心。又名煩惱。煩者擾也。惱者亂也。有此	塵 又 名 染 心 又 名 煩 惱 煩 者 擾 也 惱 者 亂 也 有 此 
X48n0802_001:0310c05	心所。擾亂自心。然清淨心中本無此事。如清冷水	心 所 擾 亂 自 心 然 清 淨 心 中 本 無 此 事 如 清 冷 水 
X48n0802_001:0310c06	投以沙土。則土失留礙。水亡清潔。自然渾濁。名煩	投 以 沙 土 則 土 失 留 礙 水 亡 清 潔 自 然 渾 濁 名 煩 
X48n0802_001:0310c07	惱濁。今修行人專要斷此煩惱。方為真修。楞嚴經	惱 濁 今 修 行 人 專 要 斷 此 煩 惱 方 為 真 修 楞 嚴 經 
X48n0802_001:0310c08	云。如澄濁水。沙土自沉。清水現前。名為初伏客塵	云 如 澄 濁 水 沙 土 自 沉 清 水 現 前 名 為 初 伏 客 塵 
X48n0802_001:0310c09	煩惱。去泥純水。名為永斷根本無明。故修行人縱	煩 惱 去 泥 純 水 名 為 永 斷 根本無明 故 修 行 人 縱 
X48n0802_001:0310c10	得禪定。未斷煩惱。但名清水現前。而沙土沉底。攪	得 禪 定 未 斷 煩 惱 但 名 清 水 現 前 而 沙 土 沉 底 攪 
X48n0802_001:0310c11	之又濁。況未得禪定而便自為悟道乎。如阿難蒙	之 又 濁 況 未 得 禪 定 而 便 自 為 悟 道 乎 如 阿 難 蒙 
X48n0802_001:0310c12	佛開示如來藏性。徹底分明。而自述所悟。但曰心	佛 開 示 如 來 藏 性 徹 底 分 明 而 自 述 所 悟 但 曰 心 
X48n0802_001:0310c13	迹圓明。以向來都是妄想用事。全不知不見。今日	迹 圓 明 以 向 來 都 是 妄 想 用 事 全 不 知 不 見 今 日 
X48n0802_001:0310c14	乃見此是煩惱。方得圓明了了耳。今人以妄想為	乃 見 此 是 煩 惱 方 得 圓 明 了 了 耳 今 人 以 妄 想 為 
X48n0802_001:0310c15	悟心。豈非自顢耶。然此心所。名雖相宗。要人識破	悟 心 豈 非 自 顢 耶 然 此 心 所 名 雖 相 宗 要 人 識 破 
X48n0802_001:0310c16	此妄想相。則容易妙悟本有真心矣。豈直專數名	此 妄 想 相 則 容 易 妙 悟 本 有 真 心 矣 豈 直 專 數 名 
X48n0802_001:0310c17	相而已哉。	相 而 已 哉 
X48n0802_001:0310c18	已上雖分王所。總屬八識之見分。	已 上 雖 分 王 所 總 屬 八 識 之 見 分 
X48n0802_001:0310c19	十一色法者。謂眼．耳．鼻．舌．身五根。色．聲．香．味．觸．法六	十 一 色 法 者 謂 眼 耳 鼻 舌 身 五 根 色 聲 香 味 觸 法 六 
X48n0802_001:0310c20	塵。此五根乃八識攬地水火風四大所成內身。為	塵 此 五 根 乃 八 識 攬 地水火風 四 大 所 成 內 身 為 
X48n0802_001:0310c21	識所依之根。五塵亦是四大能所八法所造。為所	識 所 依 之 根 五 塵 亦 是 四 大 能 所 八 法 所 造 為 所 
X48n0802_001:0310c22	受用境。其法塵乃外五塵落謝影子。屬六識所變。	受 用 境 其 法 塵 乃 外 五 塵 落 謝 影 子 屬 六 識 所 變 
X48n0802_001:0310c23	一半屬心。一半屬境。此十一法。通屬八識相分境。	一 半 屬 心 一 半 屬 境 此 十 一 法 通 屬 八 識 相 分 境 
X48n0802_001:0310c24	以唯識所現故。	以 唯 識 所 現 故 
X48n0802_001:0311a01	問曰。此五根身。乃眾生之內身。言攬四大所成。此	問 曰 此 五 根 身 乃 眾 生 之 內 身 言 攬 四 大 所 成 此 
X48n0802_001:0311a02	義云何。	義 云 何 
X48n0802_001:0311a03	答曰。楞嚴經云。迷妄有虗空。依空立世界。想澄成	答 曰 楞 嚴 經 云 迷 妄 有 虗 空 依 空 立 世 界 想 澄 成 
X48n0802_001:0311a04	國土。知覺乃眾生。此言因迷一心。轉成阿賴耶識。	國 土 知 覺 乃 眾 生 此 言 因 迷 一 心 轉 成 阿賴耶識 
X48n0802_001:0311a05	則靈明真空。變為頑空。於頑空中。無明凝結成四	則 靈 明 真 空 變 為 頑 空 於 頑 空 中 無 明 凝 結 成 四 
X48n0802_001:0311a06	大妄色。故云依空立世界。乃妄想澄凝所成之國	大 妄 色 故 云 依 空 立 世 界 乃 妄 想 澄 凝 所 成 之 國 
X48n0802_001:0311a07	土耳。由有四大妄色。則本有之智光。轉為妄見。以	土 耳 由 有 四 大 妄 色 則 本 有 之 智 光 轉 為 妄 見 以 
X48n0802_001:0311a08	彼妄色為所見之境。妄見既久。則搏取四大少分	彼 妄 色 為 所 見 之 境 妄 見 既 久 則 搏 取 四 大 少 分 
X48n0802_001:0311a09	為我。而妄見托彼四大以為我身。故四大本是無	為 我 而 妄 見 托 彼 四 大 以 為 我 身 故 四 大 本 是 無 
X48n0802_001:0311a10	知。因妄見執受而有知。真心無量。今被無明封固。	知 因 妄 見 執 受 而 有 知 真 心 無 量 今 被 無 明 封 固 
X48n0802_001:0311a11	潛入四大以為心。所謂色雜妄想。想相為身。故云	潛 入 四 大 以 為 心 所 謂 色 雜 妄 想 想 相 為 身 故 云 
X48n0802_001:0311a12	知覺乃眾生。是為五蘊之眾生耳。故內五根外六	知 覺 乃 眾 生 是 為 五 蘊 之 眾 生 耳 故 內 五 根 外 六 
X48n0802_001:0311a13	塵通屬八識之相分。故參禪必先內脫身心外遺	塵 通 屬 八 識 之 相 分 故 參 禪 必 先 內 脫 身 心 外 遺 
X48n0802_001:0311a14	世界者。正要泯此相見二分。單究八識無明本體。	世 界 者 正 要 泯 此 相 見 二 分 單 究 八 識 無 明 本 體 
X48n0802_001:0311a15	故身心世界不消。總是生死之障礙耳。所言分別	故 身 心 世 界 不 消 總 是 生 死 之 障 礙 耳 所 言 分 別 
X48n0802_001:0311a16	我法二執者。以執身為我執。根塵為法執。二乘修	我 法 二 執 者 以 執 身 為 我 執 根 塵 為 法 執 二 乘 修 
X48n0802_001:0311a17	行。但破身見。則出分段生死。其分別法執。從初信	行 但 破 身 見 則 出 分段生死 其 分 別 法 執 從 初 信 
X48n0802_001:0311a18	心。歷三賢位。直至初地。方破此執。豈易易哉。	心 歷 三 賢 位 直 至 初 地 方 破 此 執 豈 易 易 哉 
X48n0802_001:0311a19	二十四種不相應者。此乃色心分位。葢依前三法上	二 十 四 種 不 相 應 者 此 乃 色 心 分 位 葢 依 前 三 法 上 
X48n0802_001:0311a20	一分一位假立得等之名。揀非心心所色等。故名	一 分 一 位 假 立 得 等 之 名 揀 非 心 心 所 色 等 故 名 
X48n0802_001:0311a21	不相應。以不與心王相應。以不能作善作惡。故非	不 相 應 以 不 與 心 王 相 應 以 不 能 作 善 作 惡 故 非 
X48n0802_001:0311a22	心所。但係唯識所計分位差別。以是我所執之法。	心 所 但 係 唯 識 所 計 分位差別 以 是 我 所 執 之 法 
X48n0802_001:0311a23	故亦列在有為法數。義有多解。非所急務。故不必	故 亦 列 在 有 為 法 數 義 有 多 解 非 所 急 務 故 不 必 
X48n0802_001:0311a24	一一。恐妨正行耳。	一 一 恐 妨 正 行 耳 
X48n0802_001:0311b01	此上九十四種名有為法。以是眾生生死之法。乃	此 上 九 十 四 種 名 有 為 法 以 是 眾 生 生 死 之 法 乃 
X48n0802_001:0311b02	妄識所計。有造作故。故名有為。名世間法。下六無	妄 識 所 計 有 造 作 故 故 名 有 為 名 世 間 法 下 六 無 
X48n0802_001:0311b03	為。乃出世法。	為 乃 出 世 法 
X48n0802_001:0311b04	無為法有六種者。謂虗空無為．擇滅無為．非擇滅無	無 為 法 有 六 種 者 謂 虗 空 無 為 擇 滅 無 為 非 擇 滅 無 
X48n0802_001:0311b05	為．不動無為．受想滅無為．真如無為。此六種法。揀	為 不 動 無 為 受 想 滅 無 為 真 如 無 為 此 六 種 法 揀 
X48n0802_001:0311b06	異有為。故立無為名。雖云出世法。實通小乘。以不	異 有 為 故 立 無 為 名 雖 云 出 世 法 實 通 小 乘 以 不 
X48n0802_001:0311b07	動乃三果那含。受想滅乃滅盡定耳。虗空無為者。	動 乃 三 果 那 含 受 想 滅 乃 滅 盡 定 耳 虗 空 無 為 者 
X48n0802_001:0311b08	從喻得名。謂無為法。體若虗空。無所造作。下五無	從 喻 得 名 謂 無 為 法 體 若 虗 空 無 所 造 作 下 五 無 
X48n0802_001:0311b09	為。通以此喻。然此虛空喻。有大小不同。如華嚴云。	為 通 以 此 喻 然 此 虛 空 喻 有 大 小 不 同 如 華 嚴 云 
X48n0802_001:0311b10	若人欲識佛境界。當淨其意如虗空。遠離妄想及	若 人 欲 識 佛 境 界 當 淨 其 意 如 虗 空 遠 離 妄 想 及 
X48n0802_001:0311b11	諸取。令心所向皆無礙。又云。清淨法身。猶若虗空。	諸 取 令 心 所 向 皆 無 礙 又 云 清 淨 法 身 猶 若 虗 空 
X48n0802_001:0311b12	此則直指法界性空。即起信所云。如實空鏡。以體	此 則 直 指 法 界 性 空 即 起 信 所 云 如 實 空 鏡 以 體 
X48n0802_001:0311b13	絕妄染。故如虗空。此乃大乘法性真空。實一心之	絕 妄 染 故 如 虗 空 此 乃 大 乘 法 性 真 空 實 一 心 之 
X48n0802_001:0311b14	別稱也。此中虗空。義通大小。正取虗豁無有造作。	別 稱 也 此 中 虗 空 義 通 大 小 正 取 虗 豁 無 有 造 作 
X48n0802_001:0311b15	以作下五無為真諦之喻耳。擇滅無為者。擇謂揀	以 作 下 五 無 為 真 諦 之 喻 耳 擇 滅 無 為 者 擇 謂 揀 
X48n0802_001:0311b16	擇。滅謂斷滅。由無漏智。斷諸障染。所顯真理。故立	擇 滅 謂 斷 滅 由 無 漏 智 斷 諸 障 染 所 顯 真 理 故 立 
X48n0802_001:0311b17	斯名。此在權教菩薩分斷分證。及二乘所證涅槃	斯 名 此 在 權 教 菩 薩 分 斷 分 證 及 二 乘 所 證 涅 槃 
X48n0802_001:0311b18	空法。正屬擇滅。故曰證滅高證無為。實在二乘。非	空 法 正 屬 擇 滅 故 曰 證 滅 高 證 無 為 實 在 二 乘 非 
X48n0802_001:0311b19	擇滅者。謂不由擇力。緣缺所顯。即實教菩薩以如	擇 滅 者 謂 不 由 擇 力 緣 缺 所 顯 即 實 教 菩 薩 以 如 
X48n0802_001:0311b20	實觀。觀諸法性本自寂滅。以立此名。不動無為者。	實 觀 觀 諸 法 性 本 自 寂 滅 以 立 此 名 不 動 無 為 者 
X48n0802_001:0311b21	謂第四禪。離前三定。三災不至。無喜樂等動搖身	謂 第 四 禪 離 前 三 定 三 災 不 至 無 喜 樂 等 動 搖 身 
X48n0802_001:0311b22	心。得不動名。即五那含定。受想滅無為者。無所有	心 得 不 動 名 即 五 那 含 定 受 想 滅 無 為 者 無 所 有 
X48n0802_001:0311b23	處。想受不行。名受想滅無為。通滅盡定。此與不動	處 想 受 不 行 名 受 想 滅 無 為 通 滅 盡 定 此 與 不 動 
X48n0802_001:0311b24	皆屬二乘。真如無為者。理非倒妄。不妄不變。名為	皆 屬 二 乘 真 如 無 為 者 理 非 倒 妄 不 妄 不 變 名 為 
X48n0802_001:0311c01	真如。以遠離依他徧計。此正唯識所證十種真如。	真 如 以 遠 離 依 他 徧 計 此 正 唯 識 所 證 十 種 真 如 
X48n0802_001:0311c02	若依起信。正是八識體中本覺。及真如門。乃對生	若 依 起 信 正 是 八 識 體 中 本 覺 及 真 如 門 乃 對 生 
X48n0802_001:0311c03	滅之真如。未盡一心。故是相宗之極則。此上百法。	滅 之 真 如 未 盡 一 心 故 是 相 宗 之 極 則 此 上 百 法 
X48n0802_001:0311c04	乃總答云何一切法也。下答云何為無我。	乃 總 答 云 何 一 切 法 也 下 答 云 何 為 無 我 
X48n0802_001:0311c05	言無我者。略有二種。一補特伽羅無我。二法無我。此	言 無 我 者 略有二種 一 補特伽羅無我 二 法 無 我 此 
X48n0802_001:0311c06	二無我。直顯一心之源也。葢我法二執。有麤有細。	二 無 我 直 顯 一 心 之 源 也 葢 我 法 二 執 有 麤 有 細 
X48n0802_001:0311c07	麤者名分別我法二執。細者名俱生我法二執。此	麤 者 名 分 別 我 法 二 執 細 者 名 俱 生 我 法 二 執 此 
X48n0802_001:0311c08	二種執。始從凡夫外道二乘。歷三賢十聖。直至等	二 種 執 始 從 凡 夫 外 道 二 乘 歷 三 賢 十 聖 直 至 等 
X48n0802_001:0311c09	覺。方纔破盡。破此二執。即證一心。是名為佛。今此	覺 方 纔 破 盡 破 此 二 執 即 證 一 心 是 名 為 佛 今 此 
X48n0802_001:0311c10	二無我。則麤細二執皆在此中。言補特伽羅。云數	二 無 我 則 麤 細 二 執 皆 在 此 中 言 補 特 伽 羅 云 數 
X48n0802_001:0311c11	取趣。謂諸有情數數起惑造業。名為能取。當來五	取 趣 謂 諸 有 情 數 數 起 惑 造 業 名 為 能 取 當 來 五 
X48n0802_001:0311c12	趣。名為所取。此葢就凡夫所執分別五蘊假我及	趣 名 為 所 取 此 葢 就 凡 夫 所 執 分 別 五 蘊 假 我 及 
X48n0802_001:0311c13	外道所執之神我以取分段生死之苦者而言也。	外 道 所 執 之 神 我 以 取 分段生死 之 苦 者 而 言 也 
X48n0802_001:0311c14	其實二乘所執蘊即離我。及涅槃我。與地上菩薩	其 實 二 乘 所 執 蘊 即 離 我 及 涅 槃 我 與 地 上 菩 薩 
X48n0802_001:0311c15	未破藏識。七地已前俱未離俱生我執。以取變易	未 破 藏 識 七 地 已 前 俱 未 離 俱 生 我 執 以 取 變 易 
X48n0802_001:0311c16	生死之微苦者。今論中但說凡夫分別之我。未及	生 死 之 微 苦 者 今 論 中 但 說 凡 夫 分 別 之 我 未 及 
X48n0802_001:0311c17	聖人。葢就相宗一往所談耳。其實佛意以聖教量	聖 人 葢 就 相 宗 一 往 所 談 耳 其 實 佛 意 以 聖 教 量 
X48n0802_001:0311c18	盡皆破之。方極大乘之義也。法無我者。謂我所執	盡 皆 破 之 方 極 大 乘 之 義 也 法 無 我 者 謂 我 所 執 
X48n0802_001:0311c19	之法也。凡夫法執。即身心世界六塵依報。外道所	之 法 也 凡 夫 法 執 即 身 心 世 界 六 塵 依 報 外 道 所 
X48n0802_001:0311c20	執妄想涅槃。二乘所執偏空涅槃。菩薩所執取證	執 妄 想 涅 槃 二 乘 所 執 偏 空 涅 槃 菩 薩 所 執 取 證 
X48n0802_001:0311c21	真如。論云。現前立少物。謂是唯識性。以有所得故。	真 如 論 云 現 前 立 少 物 謂 是 唯 識 性 以 有 所 得 故 
X48n0802_001:0311c22	非實住唯識。以有證得。是為微細法執。所謂存我	非 實 住 唯 識 以 有 證 得 是 為 微 細 法 執 所 謂 存 我 
X48n0802_001:0311c23	覺我。俱名障礙。故八地菩薩已證平等真如。尚起	覺 我 俱 名 障 礙 故 八 地 菩 薩 已 證 平 等 真 如 尚 起 
X48n0802_001:0311c24	貪著。是謂微細法執。此執未空。故未盡異熟。尚屬	貪 著 是 謂 微 細 法 執 此 執 未 空 故 未 盡 異 熟 尚 屬 
X48n0802_001:0312a01	因果。直至金剛道後異熟空時。即入果海。即起信	因 果 直 至 金 剛 道 後 異 熟 空 時 即 入 果 海 即 起 信 
X48n0802_001:0312a02	云。菩薩地盡。覺心初起。心無初相。遠離微細念故。	云 菩 薩 地 盡 覺 心 初 起 心 無 初 相 遠 離 微 細 念 故 
X48n0802_001:0312a03	得見心性。名究竟覺。是則按此百法。前九十四。乃	得 見 心 性 名 究 竟 覺 是 則 按 此 百 法 前 九 十 四 乃 
X48n0802_001:0312a04	凡夫所執人法二我。六種無為。乃二乘菩薩所執	凡 夫 所 執 人 法 二 我 六 種 無 為 乃 二 乘 菩 薩 所 執 
X48n0802_001:0312a05	人法二我。以雖證真如。猶屬迷悟對待。總屬生滅	人 法 二 我 以 雖 證 真 如 猶 屬 迷 悟 對 待 總 屬 生 滅 
X48n0802_001:0312a06	邊收。故今生滅情忘聖凡不立。方極一心之源。故	邊 收 故 今 生 滅 情 忘 聖 凡 不 立 方 極 一 心 之 源 故 
X48n0802_001:0312a07	皆無之。此實即相歸性之極則也。嗟今學者。但只	皆 無 之 此 實 即 相 歸 性 之 極 則 也 嗟 今 學 者 但 只 
X48n0802_001:0312a08	分別名相。不達即相即性歸源之旨。致使聖教不	分 別 名 相 不 達 即 相 即 性 歸 源 之 旨 致 使 聖 教 不 
X48n0802_001:0312a09	明。而有志參禪者。欲得正修行路。可不敬哉。	明 而 有 志 參 禪 者 欲 得 正 修 行 路 可 不 敬 哉 
X48n0802_001:0312a11	百法論義(終)	百 法 論 義 終 
