X87n1618_001:0144c06	 自序	 自 序 
X87n1618_001:0150b05	寶山。常出智慧泉。回為真法味。能度諸有緣。毱多尊	寶 山 常 出 智 慧 泉 回 為 真 法 味 能 度 諸 有 緣 毱 多 尊 
X87n1618_001:0150b06	者。亦說偈曰。我法傳於汝。當現大智慧。金日從屋出。	者 亦 說 偈 曰 我 法 傳 於 汝 當 現 大 智 慧 金 日 從 屋 出 
X87n1618_001:0150b07	照耀於天地。尊者聞偈。設禮奉持(本法豈繇傳。繇傳本法傳。今傳傳本	照 耀 於 天 地 尊 者 聞 偈 設 禮 奉 持 本 法 豈 繇 傳 繇 傳 本 法 傳 今 傳 傳 本 
X87n1618_001:0150b08	法。本法本誰傳)。後至中印度。彼國有八千大仙。彌遮迦為	法 本 法 本 誰 傳 後 至 中 印 度 彼 國 有 八 千 大 仙 彌 遮 迦 為 
X87n1618_001:0150b09	首。聞尊者至。率眾瞻禮。謂尊者曰。昔與師同生梵天。	首 聞 尊 者 至 率 眾 瞻 禮 謂 尊 者 曰 昔 與 師 同 生 梵 天 
X87n1618_001:0150b10	我遇阿私陀仙。授我仙法。師逢十力弟子。修習禪那。	我 遇 阿 私 陀 仙 授 我 仙 法 師 逢 十 力 弟 子 修 習 禪 那 
X87n1618_001:0150b11	自此報分殊途。已經六劫。者曰。支離累劫。誠哉不虗。	自 此 報 分 殊 途 已 經 六 劫 者 曰 支 離 累 劫 誠 哉 不 虗 
X87n1618_001:0150b12	今可捨邪歸正。以入佛乘。彌遮迦曰。昔阿私陀仙人。	今 可 捨 邪 歸 正 以 入 佛 乘 彌 遮 迦 曰 昔 阿 私 陀 仙 人 
X87n1618_001:0150b13	授我記云。汝却後六劫。當遇同學。獲無漏果。今也相	授 我 記 云 汝 却 後 六 劫 當 遇 同 學 獲 無 漏 果 今 也 相 
X87n1618_001:0150b14	遇。非夙緣耶。願師慈悲。令我解脫。者即度出家。命諸	遇 非 夙 緣 耶 願 師 慈 悲 令 我 解 脫 者 即 度 出 家 命 諸 
X87n1618_001:0150b15	聖授戒。其餘仙眾。始生我慢。尊者示大神通。於是俱	聖 授 戒 其 餘 仙 眾 始 生 我 慢 尊 者 示 大 神 通 於 是 俱 
X87n1618_001:0150b16	發菩提心。一時出家。者乃告彌遮迦曰。昔如來以大	發菩提心 一 時 出 家 者 乃 告 彌 遮 迦 曰 昔 如 來 以 大 
X87n1618_001:0150b17	法眼藏。密付迦葉。展轉相授。而至於我。我今付汝。當	法 眼 藏 密 付 迦 葉 展 轉 相 授 而 至 於 我 我 今 付 汝 當 
X87n1618_001:0150b18	護念之。乃說偈曰。通達本法心。無法無非法。悟了同	護 念 之 乃 說 偈 曰 通 達 本 法 心 無 法 無 非 法 悟 了 同 
X87n1618_001:0150b19	未悟。無心亦無法。	未 悟 無 心 亦 無 法 
X87n1618_001:0150b20	六祖彌遮迦尊者中印度人。既傳法已。遊化至北天	六 祖 彌 遮 迦 尊 者 中 印 度 人 既 傳 法 已 遊 化 至 北 天 
X87n1618_001:0150b21	竺國。見雉堞上。有金色祥雲。歎曰。斯道人氣也。必有	竺 國 見 雉 堞 上 有 金 色 祥 雲 歎 曰 斯 道 人 氣 也 必 有 
X87n1618_001:0150b22	大士為吾嗣。乃入城。於闤闠間。有一人。手持酒器。逆	大 士 為 吾 嗣 乃 入 城 於 闤 闠 間 有 一 人 手 持 酒 器 逆 
X87n1618_001:0150b23	而問曰。師何方來。欲往何所。祖曰。從自心來。欲往無	而 問 曰 師 何 方 來 欲 往 何 所 祖 曰 從 自 心 來 欲 往 無 
X87n1618_001:0150b24	處。曰識我手中物否。祖曰。此是觸器而負淨者。曰師	處 曰 識 我 手 中 物 否 祖 曰 此 是 觸 器 而 負 淨 者 曰 師 
X87n1618_001:0150c01	識我否。祖曰。我即不識。識即非我。復謂之曰。汝試自	識 我 否 祖 曰 我 即 不 識 識 即 非 我 復 謂 之 曰 汝 試 自 
X87n1618_001:0150c02	稱名氏。吾當示汝本因。彼說偈答曰。我從無量劫。至	稱 名 氏 吾 當 示 汝 本 因 彼 說 偈 答 曰 我 從 無 量 劫 至 
X87n1618_001:0150c03	於生此國。本姓頗羅墮。名字婆須密。祖曰。我師提多	於 生 此 國 本 姓 頗 羅 墮 名 字 婆 須 密 祖 曰 我 師 提 多 
X87n1618_001:0150c04	迦說。世尊昔遊北印度。語阿難言。此國中。吾滅度後	迦 說 世 尊 昔 遊 北 印 度 語 阿 難 言 此 國 中 吾 滅 度 後 
X87n1618_001:0150c05	三百年。有一聖人。姓頗羅墮。名婆須密。而於禪祖當	三 百 年 有 一 聖 人 姓 頗 羅 墮 名 婆 須 密 而 於 禪 祖 當 
X87n1618_001:0150c06	獲第七。世尊記汝。汝應出家。彼乃置器禮師。側立而	獲 第 七 世 尊 記 汝 汝 應 出 家 彼 乃 置 器 禮 師 側 立 而 
X87n1618_001:0150c07	言曰。我思往劫。甞作檀那。獻一如來寶座。彼佛記我	言 曰 我 思 往 劫 甞 作 檀 那 獻 一 如 來 寶 座 彼 佛 記 我 
X87n1618_001:0150c08	曰。汝於賢劫釋迦法中。宣傳至教。今符師說。願加度	曰 汝 於 賢 劫 釋 迦 法 中 宣 傳 至 教 今 符 師 說 願 加 度 
X87n1618_001:0150c09	脫。祖即與披剃。復圓戒相。乃告之曰。正法眼藏。今付	脫 祖 即 與 披 剃 復 圓 戒 相 乃 告 之 曰 正 法 眼 藏 今 付 
X87n1618_001:0150c10	於汝。勿令斷絕。乃說偈曰。無心無可得。說得不名法。	於 汝 勿 令 斷 絕 乃 說 偈 曰 無 心 無 可 得 說 得 不 名 法 
X87n1618_001:0150c11	若了心非心。始解心心法。	若 了 心 非 心 始 解 心 心 法 
X87n1618_001:0150c12	七祖婆須密尊者北天竺國人。甞服淨衣。執酒器。遊	七 祖 婆 須 密 尊 者 北 天 竺 國 人 甞 服 淨 衣 執 酒 器 遊 
X87n1618_001:0150c13	行里閈。或吟或嘯。人謂之狂。及遇彌遮迦尊者。宣如	行 里 閈 或 吟 或 嘯 人 謂 之 狂 及 遇 彌 遮 迦 尊 者 宣 如 
X87n1618_001:0150c14	來往誌。自省前緣。投器出家受法。行化至迦摩羅國。	來 往 誌 自 省 前 緣 投 器 出 家 受 法 行 化 至 迦 摩 羅 國 
X87n1618_001:0150c15	廣興佛事。於法座前。忽有智者。自稱我名佛陀難提。	廣 興 佛 事 於 法 座 前 忽 有 智 者 自 稱 我 名 佛 陀 難 提 
X87n1618_001:0150c16	今與師論義。祖曰。仁者論即不義。義即不論。若擬論	今 與 師 論 義 祖 曰 仁 者 論 即 不 義 義 即 不 論 若 擬 論 
X87n1618_001:0150c17	義。終非義論。難提知師義勝。心即欽服。曰我願求道。	義 終 非 義 論 難 提 知 師 義 勝 心 即 欽 服 曰 我 願 求 道 
X87n1618_001:0150c18	[雨/活]甘露味。祖遂與剃度而授具戒。復告之曰。如來正	[雨活] 甘 露 味 祖 遂 與 剃 度 而 授 具 戒 復 告 之 曰 如 來 正 
X87n1618_001:0150c19	法眼藏。我今付汝。汝當護持。乃說偈曰。心同虗空界。	法 眼 藏 我 今 付 汝 汝 當 護 持 乃 說 偈 曰 心 同 虗 空 界 
X87n1618_001:0150c20	示等虗空法。證得虗空時。無是無非法。時梵王帝	示 等 虗 空 法 證 得 虗 空 時 無 是 無 非 法 時 梵 王 帝 
X87n1618_001:0150c21	釋。及諸天眾。俱來作禮。而說偈言。賢劫眾聖祖。而當	釋 及 諸 天 眾 俱 來 作 禮 而 說 偈 言 賢 劫 眾 聖 祖 而 當 
X87n1618_001:0150c22	第七位。尊者哀念我。請為宣佛地。尊者從三昧起。示	第 七 位 尊 者 哀 念 我 請 為 宣 佛 地 尊 者 從 三 昧 起 示 
X87n1618_001:0150c23	眾曰。我所得法而非有故。若說佛地。離有無故。語已。	眾 曰 我 所 得 法 而 非 有 故 若 說 佛 地 離 有 無 故 語 已 
X87n1618_001:0150c24	還入三昧。示涅槃相。難提即於座起七寶塔。以塟全	還 入 三 昧 示 涅 槃 相 難 提 即 於 座 起 七 寶 塔 以 塟 全 
X87n1618_001:0151a01	身。是定王十九年辛未歲也。	身 是 定 王 十 九 年 辛 未 歲 也 
X87n1618_001:0151a02	八祖佛陀難提尊者迦摩羅國人。姓瞿曇氏。頂有肉	八 祖 佛 陀 難 提 尊 者 迦 摩 羅 國 人 姓 瞿 曇 氏 頂 有 肉 
X87n1618_001:0151a03	髻。辨捷無礙。受婆須蜜尊者法。行化至提伽國。毗舍	髻 辨 捷 無 礙 受 婆 須 蜜 尊 者 法 行 化 至 提 伽 國 毗 舍 
X87n1618_001:0151a04	羅家。見舍上有白光上騰。謂其徒曰。此家有聖人。口	羅 家 見 舍 上 有 白 光 上 騰 謂 其 徒 曰 此 家 有 聖 人 口 
X87n1618_001:0151a05	無言說。真大乘器。不行四衢。知觸穢耳。長者出致禮。	無 言 說 真 大 乘 器 不 行 四 衢 知 觸 穢 耳 長 者 出 致 禮 
X87n1618_001:0151a06	問何所須。祖曰。我求侍者。長者曰。我有一子。名伏馱	問 何 所 須 祖 曰 我 求 侍 者 長 者 曰 我 有 一 子 名 伏 馱 
X87n1618_001:0151a07	蜜多。年已五十。口未曾言。足未曾履。祖曰。如汝所說。	蜜 多 年 已 五 十 口 未 曾 言 足 未 曾 履 祖 曰 如 汝 所 說 
X87n1618_001:0151a08	真吾弟子。伏馱聞之。遽起禮拜。而說偈曰。父母非我	真 吾 弟 子 伏 馱 聞 之 遽 起 禮 拜 而 說 偈 曰 父 母 非 我 
X87n1618_001:0151a09	親。誰是最親者。諸佛非我道。誰是最道者。祖以偈答	親 誰 是 最 親 者 諸 佛 非 我 道 誰 是 最 道 者 祖 以 偈 答 
X87n1618_001:0151a10	曰。汝言與心親。父母非可比。汝行與道合。諸佛心即	曰 汝 言 與 心 親 父 母 非 可 比 汝 行 與 道 合 諸 佛 心 即 
X87n1618_001:0151a11	是。外求有相佛。與汝不相似。欲識汝本心。非合亦非	是 外 求 有 相 佛 與 汝 不 相 似 欲 識 汝 本 心 非 合 亦 非 
X87n1618_001:0151a12	離。伏馱聞偈已。便行七步。祖曰。此子昔曾值佛。悲願	離 伏 馱 聞 偈 已 便 行 七 步 祖 曰 此 子 昔 曾 值 佛 悲 願 
X87n1618_001:0151a13	廣大。慮父母愛情難捨。故不言不履耳。長者遂捨令	廣 大 慮 父 母 愛 情 難 捨 故 不 言 不 履 耳 長 者 遂 捨 令 
X87n1618_001:0151a14	出家。祖尋授具戒。付法說偈曰。虗空無內外。心法亦	出 家 祖 尋 授 具 戒 付 法 說 偈 曰 虗 空 無 內 外 心 法 亦 
X87n1618_001:0151a15	如此。若了虗空故。是達真如理(一語便知歸。不負生來肉髻)。	如 此 若 了 虗 空 故 是 達 真 如 理 一 語 便 知 歸 不 負 生 來 肉 髻 
X87n1618_001:0151a16	九祖伏馱蜜多尊者提伽國人。姓毗舍羅。行化至中	九 祖 伏 馱 蜜 多 尊 者 提 伽 國 人 姓 毗 舍 羅 行 化 至 中 
X87n1618_001:0151a17	印度。有長者香葢。携一子而來。瞻禮曰。此子處胎六	印 度 有 長 者 香 葢 携 一 子 而 來 瞻 禮 曰 此 子 處 胎 六 
X87n1618_001:0151a18	十歲。(正宗作十六)甞有一仙。謂此兒骨相非甞。今遇尊者。	十 歲 正 宗 作 十 六 甞 有 一 仙 謂 此 兒 骨 相 非 甞 今 遇 尊 者 
X87n1618_001:0151a19	可捨令出家。祖即與落髮。羯磨之際。祥光燭座。感舍	可 捨 令 出 家 祖 即 與 落 髮 羯 磨 之 際 祥 光 燭 座 感 舍 
X87n1618_001:0151a20	利三十粒現前。自此精進忘疲。未幾祖遂付法。說偈	利 三 十 粒 現 前 自 此 精 進 忘 疲 未 幾 祖 遂 付 法 說 偈 
X87n1618_001:0151a21	曰。真理本無名。應名顯真理。受得真實法。非真亦非	曰 真 理 本 無 名 應 名 顯 真 理 受 得 真 實 法 非 真 亦 非 
X87n1618_001:0151a22	偽。付法已。即入滅盡三昧。而般涅槃。眾以香油旃檀	偽 付 法 已 即 入 滅 盡 三 昧 而 般 涅 槃 眾 以 香 油 旃 檀 
X87n1618_001:0151a23	闍維。收舍利。建塔于那爛陀寺。即敬王甲寅歲。	闍 維 收 舍 利 建 塔 于 那 爛 陀 寺 即 敬 王 甲 寅 歲 
X87n1618_001:0151a24	十祖脇尊者中印度人。姓氏未詳。處胎六十年。將誕	十 祖 脇 尊 者 中 印 度 人 姓 氏 未 詳 處 胎 六 十 年 將 誕 
X87n1618_001:0151b01	之夕。母夢白象。載一寶座。座置一明珠入門。乃生。生	之 夕 母 夢 白 象 載 一 寶 座 座 置 一 明 珠 入 門 乃 生 生 
X87n1618_001:0151b02	而神光燭室。體有奇香。及長。雖穀食。絕無穢滓。本名	而 神 光 燭 室 體 有 奇 香 及 長 雖 穀 食 絕 無 穢 滓 本 名 
X87n1618_001:0151b03	難生。後侍九祖。執侍左右。未甞睡眠。謂其脇不至席。	難 生 後 侍 九 祖 執 侍 左 右 未 甞 睡 眠 謂 其 脇 不 至 席 
X87n1618_001:0151b04	遂號脇尊者。初至華氏國。憩一樹下。右手指地而告	遂 號 脇 尊 者 初 至 華 氏 國 憩 一 樹 下 右 手 指 地 而 告 
X87n1618_001:0151b05	眾曰。此地變金色。當有聖人入會。言訖。即變金色。時	眾 曰 此 地 變 金 色 當 有 聖 人 入 會 言 訖 即 變 金 色 時 
X87n1618_001:0151b06	有長者子。富那夜奢。合掌前立。祖問曰。汝從何來。曰	有 長 者 子 富 那 夜 奢 合 掌 前 立 祖 問 曰 汝 從 何 來 曰 
X87n1618_001:0151b07	我心非往。祖曰。汝何處住。曰我心非止。祖曰。汝不定	我 心 非 往 祖 曰 汝 何 處 住 曰 我 心 非 止 祖 曰 汝 不 定 
X87n1618_001:0151b08	耶。曰諸佛亦然。祖曰。汝非諸佛。曰諸佛亦非。祖即度	耶 曰 諸 佛 亦 然 祖 曰 汝 非 諸 佛 曰 諸 佛 亦 非 祖 即 度 
X87n1618_001:0151b09	出家。復具戒品。而付法說偈曰。真體自然真。因真說	出 家 復 具 戒 品 而 付 法 說 偈 曰 真 體 自 然 真 因 真 說 
X87n1618_001:0151b10	有理。領得真真法。無行亦無止。付法已。即現神變而	有 理 領 得 真 真 法 無 行 亦 無 止 付 法 已 即 現 神 變 而 
X87n1618_001:0151b11	入涅槃。化火自焚。四眾各以衣裓盛舍利。隨處建塔	入 涅 槃 化 火 自 焚 四 眾 各 以 衣 裓 盛 舍 利 隨 處 建 塔 
X87n1618_001:0151b12	(脇不至席。脊梁鐵鑄。踏翻金色地。覰破佛祖機)。	 脇 不 至 席 脊 梁 鐵 鑄 踏 翻 金 色 地 覰 破 佛 祖 機 
X87n1618_001:0151b13	十一祖富那夜奢尊者華氏國人。姓瞿曇氏。遇脇尊	十 一 祖 富 那 夜 奢 尊 者 華 氏 國 人 姓 瞿 曇 氏 遇 脇 尊 
X87n1618_001:0151b14	者。遂授法。祖教被無量。得果者。且五百矣。後至波羅	者 遂 授 法 祖 教 被 無 量 得 果 者 且 五 百 矣 後 至 波 羅 
X87n1618_001:0151b15	柰國。有一長者。來趣其會。祖謂眾曰。汝等識此來者	柰 國 有 一 長 者 來 趣 其 會 祖 謂 眾 曰 汝 等 識 此 來 者 
X87n1618_001:0151b16	耶。佛記聖者馬鳴。紹吾法者也。於是馬鳴致禮問曰。	耶 佛 記 聖 者 馬 鳴 紹 吾 法 者 也 於 是 馬 鳴 致 禮 問 曰 
X87n1618_001:0151b17	我欲識佛。何者即是。祖曰。汝欲識佛。不識者是。彼曰。	我 欲 識 佛 何 者 即 是 祖 曰 汝 欲 識 佛 不 識 者 是 彼 曰 
X87n1618_001:0151b18	佛既不識。焉知是乎。祖曰。既不識佛。焉知不是。曰此	佛 既 不 識 焉 知 是 乎 祖 曰 既 不 識 佛 焉 知 不 是 曰 此 
X87n1618_001:0151b19	是鋸義。祖曰。彼是木義。祖問鋸義者何。曰與師平出。	是 鋸 義 祖 曰 彼 是 木 義 祖 問 鋸 義 者 何 曰 與 師 平 出 
X87n1618_001:0151b20	馬鳴却問木義者何。祖曰。汝被我解。馬鳴豁然省悟。	馬 鳴 却 問 木 義 者 何 祖 曰 汝 被 我 解 馬 鳴 豁 然 省 悟 
X87n1618_001:0151b21	遂求剃度。祖謂眾曰。此大士者。昔為毗舍利國王。以	遂 求 剃 度 祖 謂 眾 曰 此 大 士 者 昔 為 毗 舍 利 國 王 以 
X87n1618_001:0151b22	其國有一類裸人。如馬裸露。王遂運神通。分身為蠶。	其 國 有 一 類 裸 人 如 馬 裸 露 王 遂 運 神 通 分 身 為 蠶 
X87n1618_001:0151b23	以衣之。後生中印度。馬人感戀悲鳴。故號馬鳴。如來	以 衣 之 後 生 中 印 度 馬 人 感 戀 悲 鳴 故 號 馬 鳴 如 來 
X87n1618_001:0151b24	懸記。滅度後六百年。馬鳴當于波羅柰國。摧伏異道。	懸 記 滅 度 後 六 百 年 馬 鳴 當 于 波 羅 柰 國 摧 伏 異 道 
X87n1618_001:0151c01	度人無量。今正是時。遂付法偈曰。迷悟如隱顯。明暗	度 人 無 量 今正是時 遂 付 法 偈 曰 迷 悟 如 隱 顯 明 暗 
X87n1618_001:0151c02	不相離。今付隱顯法。非一亦非二(寔義熾然。無錯無悞。說甚麼感戀悲	不 相 離 今 付 隱 顯 法 非 一 亦 非 二 寔 義 熾 然 無 錯 無 悞 說 甚 麼 感 戀 悲 
X87n1618_001:0151c03	鳴。二與非二)。	鳴 二 與 非 二 
X87n1618_001:0151c04	十二祖馬鳴大士者波羅柰國人也。亦名功勝。以有	十 二 祖 馬 鳴 大 士 者 波 羅 柰 國 人 也 亦 名 功 勝 以 有 
X87n1618_001:0151c05	作無作諸功德。最為殊勝。故名焉。既受法于夜奢尊	作 無 作 諸 功 德 最 為 殊 勝 故 名 焉 既 受 法 于 夜 奢 尊 
X87n1618_001:0151c06	者。後于華氏國。轉妙法輪。忽有老人。座前仆地。祖謂	者 後 于 華 氏 國 轉 妙 法 輪 忽 有 老 人 座 前 仆 地 祖 謂 
X87n1618_001:0151c07	眾曰。此非庸流。當有異相。言訖不見。俄從地湧出一	眾 曰 此 非 庸 流 當 有 異 相 言 訖 不 見 俄 從 地 湧 出 一 
X87n1618_001:0151c08	金色人。復化為女子。右手指祖而說偈曰。稽首長老	金 色 人 復 化 為 女 子 右 手 指 祖 而 說 偈 曰 稽 首 長 老 
X87n1618_001:0151c09	尊。當受如來記。今於此地上。宣通第一義。說偈已。瞥	尊 當 受 如 來 記 今 於 此 地 上 宣 通 第 一 義 說 偈 已 瞥 
X87n1618_001:0151c10	然不見。祖曰。將有魔來。與吾較力。有頃。風雨暴至。天	然 不 見 祖 曰 將 有 魔 來 與 吾 較 力 有 頃 風 雨 暴 至 天 
X87n1618_001:0151c11	地晦冥。祖曰。魔之來信矣。吾當除之。即指空中。現一	地 晦 冥 祖 曰 魔 之 來 信 矣 吾 當 除 之 即 指 空 中 現 一 
X87n1618_001:0151c12	大金龍。奮發威神。震動山嶽。祖儼然於座。魔事隨滅。	大 金 龍 奮 發 威 神 震 動 山 嶽 祖 儼 然 於 座 魔 事 隨 滅 
X87n1618_001:0151c13	經七日。有一小蟲。大若蟭螟。潛形座下。祖以手取之。	經 七 日 有 一 小 蟲 大 若 蟭 螟 潛 形 座 下 祖 以 手 取 之 
X87n1618_001:0151c14	示眾曰。斯乃魔之所變。盜聽吾法耳。放之令去。魔不	示 眾 曰 斯 乃 魔 之 所 變 盜 聽 吾 法 耳 放 之 令 去 魔 不 
X87n1618_001:0151c15	能動。祖告之曰。汝但歸依三寶。即得神通。遂復本形。	能 動 祖 告 之 曰 汝 但 歸 依 三 寶 即 得 神 通 遂 復 本 形 
X87n1618_001:0151c16	作禮懺悔。祖問曰。汝名誰耶眷屬多少。曰我名迦毗	作 禮 懺 悔 祖 問 曰 汝 名 誰 耶 眷 屬 多 少 曰 我 名 迦 毗 
X87n1618_001:0151c17	摩羅。有三千眷屬。祖曰。盡汝神力。變化若何。曰我化	摩 羅 有 三 千 眷 屬 祖 曰 盡 汝 神 力 變 化 若 何 曰 我 化 
X87n1618_001:0151c18	巨海。極為小事。祖曰。汝化性海得否。曰何為性海。我	巨 海 極 為 小 事 祖 曰 汝 化 性 海 得 否 曰 何 為 性 海 我 
X87n1618_001:0151c19	未甞知。祖即為說性海曰。山河大地。皆依建立。三昧	未 甞 知 祖 即 為 說 性 海 曰 山 河 大 地 皆 依 建 立 三 昧 
X87n1618_001:0151c20	六通。由茲發現。迦毗摩羅聞言。遂發信心。與徒眾三	六 通 由 茲 發 現 迦 毗 摩 羅 聞 言 遂 發 信 心 與 徒 眾 三 
X87n1618_001:0151c21	千。俱求剃度。祖乃召五百羅漢。與授具戒。復告之曰。	千 俱 求 剃 度 祖 乃 召 五 百 羅 漢 與 授 具 戒 復 告 之 曰 
X87n1618_001:0151c22	如來大法眼藏。今當付汝。汝聽偈言。隱顯即本法。明	如 來 大 法 眼 藏 今 當 付 汝 汝 聽 偈 言 隱 顯 即 本 法 明 
X87n1618_001:0151c23	暗元不二。今付悟了法。非取亦非離(露出空中爪牙。摧伏大幻冤敵。	暗 元 不 二 今 付 悟 了 法 非 取 亦 非 離 露 出 空 中 爪 牙 摧 伏 大 幻 冤 敵 
X87n1618_001:0151c24	藉得一番神通。魔佛到此皆息)。	藉 得 一 番 神 通 魔 佛 到 此 皆 息 
X87n1618_001:0152a01	十三祖迦毗摩羅尊者華氏國人也。初為外道。有徒	十 三 祖 迦 毗 摩 羅 尊 者 華 氏 國 人 也 初 為 外 道 有 徒 
X87n1618_001:0152a02	三千。通諸異論。後于馬鳴尊者得法。領徒至西印度。	三 千 通 諸 異 論 後 于 馬 鳴 尊 者 得 法 領 徒 至 西 印 度 
X87n1618_001:0152a03	彼有太子。名雲自在。仰尊者名。請于宮中供養。祖曰。	彼 有 太 子 名 雲 自 在 仰 尊 者 名 請 于 宮 中 供 養 祖 曰 
X87n1618_001:0152a04	如來有教。沙門不得親近國王大臣。有勢之家。太子	如 來 有 教 沙 門 不 得 親 近 國 王 大 臣 有 勢 之 家 太 子 
X87n1618_001:0152a05	曰。今我國城之北。有大山焉。山有一石窟。可禪寂於	曰 今 我 國 城 之 北 有 大 山 焉 山 有 一 石 窟 可 禪 寂 於 
X87n1618_001:0152a06	此否。祖曰諾。即入彼山。行數里。逢一大蠎。祖直前不	此 否 祖 曰 諾 即 入 彼 山 行 數 里 逢 一 大 蠎 祖 直 前 不 
X87n1618_001:0152a07	顧。盤繞祖身。祖因與授三歸依。蠎聽訖而去。祖將至	顧 盤 繞 祖 身 祖 因 與 授 三 歸 依 蠎 聽 訖 而 去 祖 將 至 
X87n1618_001:0152a08	石窟。復有一老人。素服而出。合掌問訊。祖曰。汝何所	石 窟 復 有 一 老 人 素 服 而 出 合 掌 問 訊 祖 曰 汝 何 所 
X87n1618_001:0152a09	止。答曰。我昔甞為比丘。多樂寂靜。有初學比丘。數來	止 答 曰 我 昔 甞 為 比 丘 多 樂 寂 靜 有 初 學 比 丘 數 來 
X87n1618_001:0152a10	請益。而我煩于應答。起嗔恨想。命終墮為蠎身。住是	請 益 而 我 煩 于 應 答 起 嗔 恨 想 命 終 墮 為 蠎 身 住 是 
X87n1618_001:0152a11	窟中。今已千載。適遇尊者。獲聞戒法。故來謝耳。祖問	窟 中 今 已 千 載 適 遇 尊 者 獲 聞 戒 法 故 來 謝 耳 祖 問 
X87n1618_001:0152a12	曰。此山更有何人居止。曰此去十里。有大樹。蔭覆五	曰 此 山 更 有 何 人 居 止 曰 此 去 十 里 有 大 樹 蔭 覆 五 
X87n1618_001:0152a13	百大龍。其樹王名龍樹。甞為龍眾說法。我亦聽受耳。	百 大 龍 其 樹 王 名 龍 樹 甞 為 龍 眾 說 法 我 亦 聽 受 耳 
X87n1618_001:0152a14	祖遂與徒眾詣彼。龍樹出迎。曰深山孤寂。龍蠎所居。	祖 遂 與 徒 眾 詣 彼 龍 樹 出 迎 曰 深 山 孤 寂 龍 蠎 所 居 
X87n1618_001:0152a15	大德至尊。何枉神足。祖曰。吾非至尊。來訪賢者。龍樹	大 德 至 尊 何 枉 神 足 祖 曰 吾 非 至 尊 來 訪 賢 者 龍 樹 
X87n1618_001:0152a16	默念曰。此師得決定性。明道眼否。是大聖。繼真乘否。	默 念 曰 此 師 得 決 定 性 明 道 眼 否 是 大 聖 繼 真 乘 否 
X87n1618_001:0152a17	祖曰。汝雖心語。我已意知。但辦出家。何慮吾之不聖。	祖 曰 汝 雖 心 語 我 已 意 知 但 辦 出 家 何 慮 吾 之 不 聖 
X87n1618_001:0152a18	龍樹聞已悔謝。祖即與度脫。及五百龍眾。俱受具戒。	龍 樹 聞 已 悔 謝 祖 即 與 度 脫 及 五 百 龍 眾 俱 受 具 戒 
X87n1618_001:0152a19	復告曰。如來大法眼藏。今付囑汝。諦聽偈言。非隱非	復 告 曰 如 來 大 法 眼 藏 今 付 囑 汝 諦 聽 偈 言 非 隱 非 
X87n1618_001:0152a20	顯法。說是真實際。悟此隱顯法。非愚亦非智(巨蟒皈依毒龍	顯 法 說 是 真 實 際 悟 此 隱 顯 法 非 愚 亦 非 智 巨 蟒 皈 依 毒 龍 
X87n1618_001:0152a21	受戒。神通智力則不無。非隱非顯法。未夢見在)。	受 戒 神 通 智 力 則 不 無 非 隱 非 顯 法 未 夢 見 在 
X87n1618_001:0152a22	十四祖龍樹尊者亦名龍勝。少則能誦四韋陀。長而	十 四 祖 龍 樹 尊 者 亦 名 龍 勝 少 則 能 誦 四 韋 陀 長 而 
X87n1618_001:0152a23	善知眾藝。才辯神明。出家入石窟。棲止龍樹。為龍眾	善 知 眾 藝 才 辯 神 明 出 家 入 石 窟 棲 止 龍 樹 為 龍 眾 
X87n1618_001:0152a24	所歸。遇摩羅尊者付法。後至南印度。彼國之人。多信	所 歸 遇 摩 羅 尊 者 付 法 後 至 南 印 度 彼 國 之 人 多 信 
X87n1618_001:0152b01	福業。祖為說法。[這言+(虎儿+几)]相謂曰。人有福業。世間第一。徒言	福 業 祖 為 說 法 [這言虎儿几] 相 謂 曰 人 有 福 業 世 間 第 一 徒 言 
X87n1618_001:0152b02	佛性。誰能覩之。祖曰。汝欲見佛性。先須除我慢。彼人	佛 性 誰 能 覩 之 祖 曰 汝 欲 見 佛 性 先 須 除 我 慢 彼 人 
X87n1618_001:0152b03	曰。佛性大小。祖曰。非大非小。非廣非狹。無福無報。不	曰 佛 性 大 小 祖 曰 非 大 非 小 非 廣 非 狹 無 福 無 報 不 
X87n1618_001:0152b04	死不生。彼聞理勝。悉回初心。祖復於座上現自在身。	死 不 生 彼 聞 理 勝 悉 回 初 心 祖 復 於 座 上 現 自 在 身 
X87n1618_001:0152b05	如滿月輪。一切眾。惟聞法音。不覩祖相。彼眾中有長	如 滿 月 輪 一 切 眾 惟 聞 法 音 不 覩 祖 相 彼 眾 中 有 長 
X87n1618_001:0152b06	者子。名迦那提婆。謂眾曰。識此相否。眾曰。目所未覩。	者 子 名 迦 那 提 婆 謂 眾 曰 識 此 相 否 眾 曰 目 所 未 覩 
X87n1618_001:0152b07	安能辨識。提婆曰。此是尊者現佛性體相。以示我等。	安 能 辨 識 提 婆 曰 此 是 尊 者 現 佛 性 體 相 以 示 我 等 
X87n1618_001:0152b08	何以知之。葢以無相三昧。形如滿月。佛性之義。廓然	何 以 知 之 葢 以 無相三昧 形 如 滿 月 佛 性 之 義 廓 然 
X87n1618_001:0152b09	虗明。言訖。輪相即隱。復居本座。而說偈言。身現圓月	虗 明 言 訖 輪 相 即 隱 復 居 本 座 而 說 偈 言 身 現 圓 月 
