T85n2762_001:0261c03	勝鬘經疏	勝 鬘 經 疏 
T85n2762_001:0265c27	人得此奇特希有功德。故知喻弟子得法也。	人 得 此 奇 特 希 有 功 德 故 知 喻 弟 子 得 法 也 
T85n2762_001:0265c28	此中諸喻次第相生。初明劫初龍氣普覆三	此 中 諸 喻 次 第 相 生 初 明 劫 初 龍 氣 普 覆 三 
T85n2762_001:0265c29	千故取雲為譬。第二雲滅雨息故取水聚為	千 故 取 雲 為 譬 第 二 雲 滅 雨 息 故 取 水 聚 為 
T85n2762_001:0266a01	況。第三大水枯竭故就大地為譬。第四地中	況 第 三 大 水 枯 竭 故 就 大 地 為 譬 第 四 地 中 
T85n2762_001:0266a02	有其金銀故。就寶藏為喻耳。又如大地者。喻	有 其 金 銀 故 就 寶 藏 為 喻 耳 又 如 大 地 者 喻 
T85n2762_001:0266a03	行願菩薩也。種寶藏者。喻四因果也。無賈者	行 願 菩 薩 也 種 寶 藏 者 喻 四 因 果 也 無 賈 者 
T85n2762_001:0266a04	喻菩薩乘。上賈緣覺。中賈聲聞。下賈人天乘	喻 菩 薩 乘 上 賈 緣 覺 中 賈 聲 聞 下 賈 人 天 乘 
T85n2762_001:0266a05	也。如是攝受正法善男子女人以下。合大地	也 如 是 攝受正法 善 男 子 女 人 以 下 合 大 地 
T85n2762_001:0266a06	喻。得眾生四種者。菩薩廣利群生。化物之善	喻 得 眾 生 四 種 者 菩 薩 廣 利 群 生 化 物 之 善 
T85n2762_001:0266a07	功歸化主故。言得眾生四種寶。正由化眾生	功 歸 化 主 故 言 得 眾 生 四 種 寶 正 由 化 眾 生 
T85n2762_001:0266a08	而得也。亦可胡音到耳。無聞非法以下合下	而 得 也 亦 可 胡 音 到 耳 無 聞 非 法 以 下 合 下 
T85n2762_001:0266a09	賈。亦聲聞乘合中賈。緣覺乘合上賈。菩薩乘	賈 亦 聲 聞 乘 合 中 賈 緣 覺 乘 合 上 賈 菩 薩 乘 
T85n2762_001:0266a10	合無賈。如是得大寶眾生以下。正明弟子得	合 無 賈 如 是 得 大 寶 眾 生 以 下 正 明 弟 子 得 
T85n2762_001:0266a11	法功。由然師世尊以下結句。即是攝受正法	法 功 由 然 師 世 尊 以 下 結 句 即 是 攝受正法 
T85n2762_001:0266a12	者略結本也。應言即是善男子女人也。上來	者 略 結 本 也 應 言 即 是 善 男 子 女 人 也 上 來 
T85n2762_001:0266a13	就萬善之中行願兩分未明。行願生成有其	就 萬 善 之 中 行 願 兩 分 未 明 行 願 生 成 有 其 
T85n2762_001:0266a14	親疏二別故。從世尊以下第五名明疏生名	親 疏 二 別 故 從 世 尊 以 下 第 五 名 明 疏 生 名 
T85n2762_001:0266a15	緣。就法法相即中論也。親生名因。第六人法	緣 就 法 法 相 即 中 論 也 親 生 名 因 第 六 人 法 
T85n2762_001:0266a16	相即中說。前雖明攝受正法未解其義。今從	相 即 中 說 前 雖 明 攝受正法 未 解 其 義 今 從 
T85n2762_001:0266a17	此以下。正其名釋其義使若修行惡捨離欲	此 以 下 正 其 名 釋 其 義 使 若 修 行 惡 捨 離 欲 
T85n2762_001:0266a18	明六度正法之上雖有攝受波羅蜜二名橫生	明 六 度 正 法 之 上 雖 有 攝 受 波 羅 蜜 二 名 橫 生 
T85n2762_001:0266a19	論體無別狀也。今解師之六度。能生人善名	論 體 無 別 狀 也 今 解 師 之 六 度 能 生 人 善 名 
T85n2762_001:0266a20	之為攝。可納之在懷稱之為受。即體非耶可	之 為 攝 可 納 之 在 懷 稱 之 為 受 即 體 非 耶 可 
T85n2762_001:0266a21	軌目為爾法生善究竟即名波羅蜜。若爾名	軌 目 為 爾 法 生 善 究 竟 即 名 波 羅 蜜 若 爾 名 
T85n2762_001:0266a22	雖有殊。論體無二故。從世尊以下解法法相	雖 有 殊 論 體 無 二 故 從 世 尊 以 下 解 法 法 相 
T85n2762_001:0266a23	即也。此明師之正法能生弟子六度。即是雲	即 也 此 明 師 之 正 法 能 生 弟 子 六 度 即 是 雲 
T85n2762_001:0266a24	水二譬中明法出生也。遠應三大願中弟子	水 二 譬 中 明 法 出 生 也 遠 應 三 大 願 中 弟 子 
T85n2762_001:0266a25	二外化願。前明以無戢心為眾生說。今明由	二 外 化 願 前 明 以 無 戢 心 為 眾 生 說 今 明 由 
T85n2762_001:0266a26	說由故能生人善。其義不異也。就此中解凡	說 由 故 能 生 人 善 其 義 不 異 也 就 此 中 解 凡 
T85n2762_001:0266a27	有五句。第一世尊攝受正法。此道攝受也。第	有 五 句 第 一 世 尊 攝受正法 此 道 攝 受 也 第 
T85n2762_001:0266a28	二句言攝受正法者。此舉攝受正法名者其	二 句 言 攝受正法 者 此 舉 攝受正法 名 者 其 
T85n2762_001:0266a29	體為欲道。第三句無異正法也。第四還以正	體 為 欲 道 第 三 句 無 異 正 法 也 第 四 還 以 正 
T85n2762_001:0266b01	法不異攝受。欲明六度能生餘善名曰攝受。	法 不 異 攝 受 欲 明 六 度 能 生 餘 善 名 曰 攝 受 
T85n2762_001:0266b02	即攝受不耶可執為正法故。言無異攝受正	即 攝 受 不 耶 可 執 為 正 法 故 言 無 異 攝 受 正 
T85n2762_001:0266b03	法也。無異正法也。雖能不異未釋體無別狀	法 也 無 異 正 法 也 雖 能 不 異 未 釋 體 無 別 狀 
T85n2762_001:0266b04	故。第五句言即是攝受正法也。上來明攝受	故 第 五 句 言 即 是 攝受正法 也 上 來 明 攝 受 
T85n2762_001:0266b05	正法不異。即是未解攝生及事辯。更有異名	正 法 不 異 即 是 未 解 攝 生 及 事 辯 更 有 異 名 
T85n2762_001:0266b06	體正是一故。言世尊無異也。波羅蜜攝事竟	體 正 是 一 故 言 世 尊 無 異 也 波 羅 蜜 攝 事 竟 
T85n2762_001:0266b07	法者當體非耶可執故言無異攝受正法。雖	法 者 當 體 非 耶 可 執 故 言 無 異 攝受正法 雖 
T85n2762_001:0266b08	言不異何妨體別。故言攝受正法即是波羅	言 不 異 何 妨 體 別 故 言 攝受正法 即 是 波 羅 
T85n2762_001:0266b09	蜜也。自下度就六度解不異所由。即是所以	蜜 也 自 下 度 就 六 度 解 不 異 所 由 即 是 所 以 
T85n2762_001:0266b10	何以故攝受正法乃至波羅蜜名異體一也。	何 以 故 攝受正法 乃 至 波 羅 蜜 名 異 體 一 也 
T85n2762_001:0266b11	下言善男子女人應以菩薩行施而修學成就	下 言 善 男 子 女 人 應 以 菩 薩 行 施 而 修 學 成 就 
T85n2762_001:0266b12	檀度者。菩薩即以施成熟。此解正法之名也。	檀 度 者 菩 薩 即 以 施 成 熟 此 解 正 法 之 名 也 
T85n2762_001:0266b13	捨身身乃至支節者。此言有間故。言乃至將	捨 身 身 乃 至 支 節 者 此 言 有 間 故 言 乃 至 將 
T85n2762_001:0266b14	護彼意而成熟之者。此解攝受之目。彼所成	護 彼 意 而 成 熟 之 者 此 解 攝 受 之 目 彼 所 成 
T85n2762_001:0266b15	熟眾生以下。解波羅蜜之稱。彼者單論其師。	熟 眾 生 以 下 解 波 羅 蜜 之 稱 彼 者 單 論 其 師 
T85n2762_001:0266b16	所成就眾生建立正法者。獨導弟子行滿也。	所 成 就 眾 生 建 立 正 法 者 獨 導 弟 子 行 滿 也 
T85n2762_001:0266b17	是檀波羅蜜者。師化功滿足故。結事竟與師	是 檀 波 羅 蜜 者 師 化 功 滿 足 故 結 事 竟 與 師 
T85n2762_001:0266b18	言波羅蜜也。餘即可解。應以戒成熟者。此以	言 波 羅 蜜 也 餘 即 可 解 應 以 戒 成 熟 者 此 以 
T85n2762_001:0266b19	下解正法。以守護六根不造惡故。三業淨身	下 解 正 法 以 守 護 六 根 不 造 惡 故 三 業 淨 身 
T85n2762_001:0266b20	口略[標*寸]最後故。言乃至正四威儀也。將護彼	口 略 [標寸] 最 後 故 言 乃 至 正 四 威 儀 也 將 護 彼 
T85n2762_001:0266b21	意以下解攝受之目。彼所成熟眾生以下。釋	意 以 下 解 攝 受 之 目 彼 所 成 熟 眾 生 以 下 釋 
T85n2762_001:0266b22	波羅蜜之稱。彼者單道其師。所成熟眾生建	波 羅 蜜 之 稱 彼 者 單 道 其 師 所 成 熟 眾 生 建 
T85n2762_001:0266b23	立正法者。獨說弟子行滿。是名尸波羅蜜結	立 正 法 者 獨 說 弟 子 行 滿 是 名 尸 波 羅 蜜 結 
T85n2762_001:0266b24	與師。第三應以忍成熟者。此明正法也。若	與 師 第 三 應 以 忍 成 熟 者 此 明 正 法 也 若 
T85n2762_001:0266b25	彼眾生罵詈者。口業不善。恐怖者身業為惡	彼 眾 生 罵 詈 者 口 業 不 善 恐 怖 者 身 業 為 惡 
T85n2762_001:0266b26	也。以無恚第一忍力者。無相空解也。乃至顏	也 以 無 恚 第 一 忍 力 者 無 相 空 解 也 乃 至 顏 
T85n2762_001:0266b27	色不變。此言有間故。言乃至此中將欲明能	色 不 變 此 言 有 間 故 言 乃 至 此 中 將 欲 明 能 
T85n2762_001:0266b28	忍。先解所辱之事。自下可知。應以精進以下	忍 先 解 所 辱 之 事 自 下 可 知 應 以 精 進 以 下 
T85n2762_001:0266b29	第四度。若彼眾生應見菩薩精進放而修善	第 四 度 若 彼 眾 生 應 見 菩 薩 精 進 放 而 修 善 
T85n2762_001:0266c01	者。菩薩廣修眾善悕求佛果故。言生大欲心	者 菩 薩 廣 修 眾 善 悕 求 佛 果 故 言 生 大 欲 心 
T85n2762_001:0266c02	忘相萬行故。言第一精進也。第五禪度安心	忘 相 萬 行 故 言 第 一 精 進 也 第 五 禪 度 安 心 
T85n2762_001:0266c03	一境故言不亂。亦可不為覺觀動發名為不	一 境 故 言 不 亂 亦 可 不 為 覺 觀 動 發 名 為 不 
T85n2762_001:0266c04	亂心也。不馳駛六塵故言不外向心。性定真	亂 心 也 不 馳 駛 六 塵 故 言 不 外 向 心 性 定 真 
T85n2762_001:0266c05	清實心一緣故言第一正念。久時所作者身	清 實 心 一 緣 故 言 第 一 正 念 久 時 所 作 者 身 
T85n2762_001:0266c06	業營為口業動發故。言久時所說也。應以智	業 營 為 口 業 動 發 故 言 久 時 所 說 也 應 以 智 
T85n2762_001:0266c07	慧以下。第六明波若度。前五皆有體根。今此	慧 以 下 第 六 明 波 若 度 前 五 皆 有 體 根 今 此 
T85n2762_001:0266c08	智慧虛非淺情所測故。欲知其體驗其同也。	智 慧 虛 非 淺 情 所 測 故 欲 知 其 體 驗 其 同 也 
T85n2762_001:0266c09	若彼眾生得一切義者。菩薩萬法朗然敷演	若 彼 眾 生 得 一 切 義 者 菩 薩 萬 法 朗 然 敷 演 
T85n2762_001:0266c10	其理故。言無畏心而演說一切論五明論也。	其 理 故 言 無 畏 心 而 演 說 一 切 論 五 明 論 也 
T85n2762_001:0266c11	第一賓主住復實其佛法故言內論。廣說外	第 一 賓 主 住 復 實 其 佛 法 故 言 內 論 廣 說 外 
T85n2762_001:0266c12	道興藉名外明論。二家言下所以不或其宗	道 興 藉 名 外 明 論 二 家 言 下 所 以 不 或 其 宗 
T85n2762_001:0266c13	致故言因論。起聲長短善識其狀故言聲明	致 故 言 因 論 起 聲 長 短 善 識 其 狀 故 言 聲 明 
T85n2762_001:0266c14	論。除此以外醫方鎮戢乃至日月博蝕碑文	論 除 此 以 外 醫 方 鎮 戢 乃 至 日 月 博 蝕 碑 文 
T85n2762_001:0266c15	石性等皆名功巧。理極故言究竟。解興或惡	石 性 等 皆 名 功 巧 理 極 故 言 究 竟 解 興 或 惡 
T85n2762_001:0266c16	故言明處。自初以來明正法。乃至功巧以下	故 言 明 處 自 初 以 來 明 正 法 乃 至 功 巧 以 下 
T85n2762_001:0266c17	攝受也。彼所成熟以下還解波羅蜜也。以是	攝 受 也 彼 所 成 熟 以 下 還 解 波 羅 蜜 也 以 是 
T85n2762_001:0266c18	上來所明義故世尊無異波羅蜜無畏攝受	上 來 所 明 義 故 世 尊 無 異 波 羅 蜜 無 畏 攝 受 
T85n2762_001:0266c19	正法。乃至即是波羅蜜也。	正 法 乃 至 即 是 波 羅 蜜 也 
T85n2762_001:0266c20	世尊我今承佛威神以下。第六就人法相即	世 尊 我 今 承佛威神 以 下 第 六 就 人 法 相 即 
T85n2762_001:0266c21	明因攝。此文從前地藏二譬中來。何以知然。	明 因 攝 此 文 從 前 地 藏 二 譬 中 來 何 以 知 然 
T85n2762_001:0266c22	前二譬人能生善長修萬行。今明人為善成	前 二 譬 人 能 生 善 長 修 萬 行 今 明 人 為 善 成 
T85n2762_001:0266c23	善外更無別人求善為人也。亦可明人能益	善 外 更 無 別 人 求 善 為 人 也 亦 可 明 人 能 益 
T85n2762_001:0266c24	物名為善人。即明人外更無朝然別人善也。	物 名 為 善 人 即 明 人 外 更 無 朝 然 別 人 善 也 
T85n2762_001:0266c25	遠應三願中第一願。前明自行萬善。今明因	遠 應 三 願 中 第 一 願 前 明 自 行 萬 善 今 明 因 
T85n2762_001:0266c26	中行備護。彼常果其義不殊也。更說大義者。	中 行 備 護 彼 常 果 其 義 不 殊 也 更 說 大 義 者 
T85n2762_001:0266c27	因攝所以理中莫過故言大義也。此中言攝	因 攝 所 以 理 中 莫 過 故 言 大 義 也 此 中 言 攝 
T85n2762_001:0266c28	受正法第一句。但論其法。第二言攝受正法	受 正 法 第 一 句 但 論 其 法 第 二 言 攝受正法 
T85n2762_001:0266c29	者。此舉人來欲明。第三不異於法也。第四句	者 此 舉 人 來 欲 明 第 三 不 異 於 法 也 第 四 句 
T85n2762_001:0267a01	還以正法無異於人也。善男子善女人以下	還 以 正 法 無 異 於 人 也 善 男 子 善 女 人 以 下 
T85n2762_001:0267a02	還解即是之義也。何以故以下廣解因攝。但	還 解 即 是 之 義 也 何 以 故 以 下 廣 解 因 攝 但 
T85n2762_001:0267a03	就布施以明因攝。何以故。前緣攝門中。廣	就 布 施 以 明 因 攝 何 以 故 前 緣 攝 門 中 廣 
T85n2762_001:0267a04	六度事相外明不畏迷謬故。但就檀度以解	六 度 事 相 外 明 不 畏 迷 謬 故 但 就 檀 度 以 解 
T85n2762_001:0267a05	因攝也。善男子女為攝常住佛果正法故因	因 攝 也 善 男 子 女 為 攝 常 住 佛 果 正 法 故 因 
T85n2762_001:0267a06	中捨三種外也。何等為三。別釋其義。解捨身	中 捨 三 種 外 也 何 等 為 三 別 釋 其 義 解 捨 身 
T85n2762_001:0267a07	者。因中捨此無常之身濟於窮乏故。未來獲	者 因 中 捨 此 無 常 之 身 濟 於 窮 乏 故 未 來 獲 
T85n2762_001:0267a08	得常住之果也。生死緣後際者。金剛三昧能	得 常 住 之 果 也 生 死 緣 後 際 者 金 剛 三 昧 能 
T85n2762_001:0267a09	永斷無常窮因之畔故。言生死後際也。等者	永 斷 無 常 窮 因 之 畔 故 言 生 死 後 際 也 等 者 
T85n2762_001:0267a10	隣於佛果故言等也。離老□死者。明其所	隣 於 佛 果 故 言 等 也 離 老 死 者 明 其 所 
T85n2762_001:0267a11	除不壞常住者。出□彼所得也。無有變易以	除 不 壞 常 住 者 出 彼 所 得 也 無 有 變 易 以 
T85n2762_001:0267a12	下。前明超過分段。此下能越於變易生死也。	下 前 明 超 過 分 段 此 下 能 越 於 變易生死 也 
T85n2762_001:0267a13	得不思議功德者。前對分段明常。今明對於	得 不 思 議 功 德 者 前 對 分 段 明 常 今 明 對 於 
T85n2762_001:0267a14	變易說其不遷義也。第二捨命者生死後際	變 易 說 其 不 遷 義 也 第 二 捨 命 者 生 死 後 際 
T85n2762_001:0267a15	畢竟離死者。明其所除也。無邊常住亦解其	畢 竟 離 死 者 明 其 所 除 也 無 邊 常 住 亦 解 其 
T85n2762_001:0267a16	所得也。通達一切佛法。對因中之命故說智	所 得 也 通 達 一切佛法 對 因 中 之 命 故 說 智 
T85n2762_001:0267a17	慧。所以然者。欲明佛果體無別狀智慧不斷。	慧 所 以 然 者 欲 明 佛 果 體 無 別 狀 智 慧 不 斷 
T85n2762_001:0267a18	說之為命。故言通達甚深佛法也。捨財者。因	說 之 為 命 故 言 通 達 甚 深 佛 法 也 捨 財 者 因 
T85n2762_001:0267a19	中布施身命。以外自餘萬法皆名為財。得不	中 布 施 身 命 以 外 自 餘 萬 法 皆 名 為 財 得 不 
T85n2762_001:0267a20	共眾生殊勝供養者。更無別法。正由萬善滿	共 眾 生 殊 勝 供 養 者 更 無 別 法 正 由 萬 善 滿 
T85n2762_001:0267a21	足果體常住故言供養。自下如是善男子女	足 果 體 常 住 故 言 供 養 自 下 如 是 善 男 子 女 
T85n2762_001:0267a22	人攝受正法。功高道備故。上為諸佛所記。下	人 攝受正法 功 高 道 備 故 上 為 諸 佛 所 記 下 
T85n2762_001:0267a23	為一切眾生瞻仰也。從世尊以下第七明護	為 一 切 眾 生 瞻 仰 也 從 世 尊 以 下 第 七 明 護 
T85n2762_001:0267a24	法。遠應三願中第三願。前明護法。此明護法	法 遠 應 三 願 中 第 三 願 前 明 護 法 此 明 護 法 
T85n2762_001:0267a25	時節。護法之功在於來世。要當大聖隱輝四	時 節 護 法 之 功 在 於 來 世 要 當 大 聖 隱 輝 四 
T85n2762_001:0267a26	依潛沒。當爾之時自行不通化人。道擁大士	依 潛 沒 當 爾 之 時 自 行 不 通 化 人 道 擁 大 士 
T85n2762_001:0267a27	忘身捨命興顯大士法。使自行得通萬善滿	忘 身 捨 命 興 顯 大 士 法 使 自 行 得 通 萬 善 滿 
T85n2762_001:0267a28	足化人暢塵沙蒙益故言護法也。又善男子以	足 化 人 暢 塵 沙 蒙 益 故 言 護 法 也 又 善 男 子 以 
T85n2762_001:0267a29	下正明護法時節。比丘乃至優婆夷。此是四	下 正 明 護 法 時 節 比 丘 乃 至 優 婆 夷 此 是 四 
T85n2762_001:0267b01	眾。斯等諸人受行大乘名為法住。人不流通	眾 斯 等 諸 人 受 行 大 乘 名 為 法 住 人 不 流 通 
T85n2762_001:0267b02	名為法滅。明當諍訟者。受行大乘者欲得彌	名 為 法 滅 明 當 諍 訟 者 受 行 大 乘 者 欲 得 彌 
T85n2762_001:0267b03	滅。於小修覺小乘者復欲除。捨於大故明大	滅 於 小 修 覺 小 乘 者 復 欲 除 捨 於 大 故 明 大 
T85n2762_001:0267b04	乘。黨於常住明小乘。黨於小乘兩眾忿諍。爾	乘 黨 於 常 住 明 小 乘 黨 於 小 乘 兩 眾 忿 諍 爾 
T85n2762_001:0267b05	時要須計人多大者。敬而修行菩薩。爾時破	時 要 須 計 人 多 大 者 敬 而 修 行 菩 薩 爾 時 破 
T85n2762_001:0267b06	壞朋黨之徒離散諍訟之眾。使心實常住無	壞 朋 黨 之 徒 離 散 諍 訟 之 眾 使 心 實 常 住 無 
T85n2762_001:0267b07	有諂曲諸惡。令有愛樂大乘之心。先明斷惡	有 諂 曲 諸 惡 令 有 愛 樂 大 乘 之 心 先 明 斷 惡 
T85n2762_001:0267b08	後能生善。不諂曲者。奸心作善名為諂曲。口	後 能 生 善 不 諂 曲 者 奸 心 作 善 名 為 諂 曲 口 
T85n2762_001:0267b09	與情返稱白欺誑。誑或人心名曰幻。為令彼	與 情 返 稱 白 欺 誑 誑 或 人 心 名 曰 幻 為 令 彼 
T85n2762_001:0267b10	前人除諂曲虛為斷滅。欺誑筫直滿故愛樂	前 人 除 諂 曲 虛 為 斷 滅 欺 誑 筫 直 滿 故 愛 樂 
T85n2762_001:0267b11	正法。為欲愛正法故。來入大乘眾中。入法	正 法 為 欲 愛 正 法 故 來 入 大 乘 眾 中 入 法 
T85n2762_001:0267b12	朋中。以為諸佛之所受記。何況菩薩化功彌	朋 中 以 為 諸 佛 之 所 受 記 何 況 菩 薩 化 功 彌 
T85n2762_001:0267b13	博。世尊我見攝受正法如是大力佛為實眼	博 世 尊 我 見 攝受正法 如 是 大 力 佛 為 實 眼 
T85n2762_001:0267b14	實智者。觀境明白無染之稱解之曰智匠化群	實 智 者 觀 境 明 白 無 染 之 稱 解 之 曰 智 匠 化 群 
T85n2762_001:0267b15	或名為法根本。開悟眾生令修行善故言為	或 名 為 法 根 本 開 悟 眾 生 令 修 行 善 故 言 為 
T85n2762_001:0267b16	通達法。慈蔭三有故云為正法依。亦悉智見	通 達 法 慈 蔭 三 有 故 云 為 正 法 依 亦 悉 智 見 
T85n2762_001:0267b17	攝受正法如此大力也。	攝受正法 如 此 大 力 也 
T85n2762_001:0267b18	從爾時世尊以下第八段。上勝鬘說攝受正	從 爾 時 世 尊 以 下 第 八 段 上 勝 鬘 說 攝 受 正 
T85n2762_001:0267b19	法。理由相一緣之攝行願出生善得其宜故。	法 理 由 相 一 緣 之 攝 行 願 出 生 善 得 其 宜 故 
T85n2762_001:0267b20	如來述成也。爾時世尊。於勝鬘所說攝受正	如 來 述 成 也 爾 時 世 尊 於 勝 鬘 所 說 攝 受 正 
T85n2762_001:0267b21	法。理由相徵妙曰精。上昇趣於佛果日進。殖	法 理 由 相 徵 妙 曰 精 上 昇 趣 於 佛 果 日 進 殖 
T85n2762_001:0267b22	而生喜躍之心也。如是勝鬘以下凡三喻。初	而 生 喜 躍 之 心 也 如 是 勝 鬘 以 下 凡 三 喻 初 
T85n2762_001:0267b23	越於魔境。第二牛王喻超過二乘。第三須彌	越 於 魔 境 第 二 牛 王 喻 超 過 二 乘 第 三 須 彌 
T85n2762_001:0267b24	山王喻明勝於大乘性也。如汝所說攝受正	山 王 喻 明 勝 於 大 乘 性 也 如 汝 所 說 攝 受 正 
T85n2762_001:0267b25	法大精進力如大力士者。喻於行願。少身貧	法 大 精 進 力 如 大 力 士 者 喻 於 行 願 少 身 貧 
T85n2762_001:0267b26	者喻一檀度。如彼力士以節少分單一羸夫	者 喻 一 檀 度 如 彼 力 士 以 節 少 分 單 一 羸 夫 
T85n2762_001:0267b27	分。令彼人生大苦惱者。喻彼菩薩一檀之力。	分 令 彼 人 生 大 苦 惱 者 喻 彼 菩 薩 一 檀 之 力 
T85n2762_001:0267b28	能使魔王生大苦痛也。自下含喻。如是勝鬘	能 使 魔 王 生 大 苦 痛 也 自 下 含 喻 如 是 勝 鬘 
T85n2762_001:0267b29	者。合於力士。少攝受正法合少單身分。令	者 合 於 力 士 少 攝受正法 合 少 單 身 分 令 
T85n2762_001:0267c01	魔苦惱合前羸夫生大苦惱也。不見餘一善	魔 苦 惱 合 前 羸 夫 生 大 苦 惱 也 不 見 餘 一 善 
T85n2762_001:0267c02	法者。少乘無常是大乘少分名之為餘我。不	法 者 少 乘 無 常 是 大 乘 少 分 名 之 為 餘 我 不 
T85n2762_001:0267c03	見小乘善法令魔憂苦。如少攝受正法。何故	見 小 乘 善 法 令 魔 憂 苦 如 少 攝受正法 何 故 
T85n2762_001:0267c04	言少。十住之中但論初住地一行施萬行之	言 少 十 住 之 中 但 論 初 住 地 一 行 施 萬 行 之 
T85n2762_001:0267c05	中略[標*寸]其一故言少也。三乘生苦則輕。今令	中 略 [標寸] 其 一 故 言 少 也 三 乘 生 苦 則 輕 今 令 
T85n2762_001:0267c06	魔苦痛則重。何以而然。小乘中佛雖適魔境	魔 苦 痛 則 重 何 以 而 然 小 乘 中 佛 雖 適 魔 境 
T85n2762_001:0267c07	體是無常。魔本樂於生死邊情。處淺暨其涅	體 是 無 常 魔 本 樂 於 生 死 邊 情 處 淺 暨 其 涅 
T85n2762_001:0267c08	槃洎然無為故。令魔苦痛則輕。今此大乘常	槃 洎 然 無 為 故 令 魔 苦 痛 則 輕 今 此 大 乘 常 
T85n2762_001:0267c09	住之佛。超絕魔境魔體。性空佛果妙有。魔	住 之 佛 超 絕 魔 境 魔 體 性 空 佛 果 妙 有 魔 
T85n2762_001:0267c10	身無常生滅。佛果凝然常住故。令彼眾悽愴	身 無 常 生 滅 佛 果 凝 然 常 住 故 令 彼 眾 悽 愴 
T85n2762_001:0267c11	情愍生苦心重故。言不見餘一善令魔苦惱	情 愍 生 苦 心 重 故 言 不 見 餘 一 善 令 魔 苦 惱 
T85n2762_001:0267c12	如少攝受正法也。又如牛王者。譬攝受正法。	如 少 攝受正法 也 又 如 牛 王 者 譬 攝受正法 
T85n2762_001:0267c13	形色無比者。喻其力用。勝一切牛者。喻過於	形 色 無 比 者 喻 其 力 用 勝 一 切 牛 者 喻 過 於 
T85n2762_001:0267c14	二乘也。如是大乘少攝受正法者。今前牛王。	二 乘 也 如 是 大 乘 少 攝受正法 者 今 前 牛 王 
T85n2762_001:0267c15	勝於一切二乘善根者。合勝一切牛。何以然	勝 於 一 切 二 乘 善 根 者 合 勝 一 切 牛 何 以 然 
T85n2762_001:0267c16	者。下言以廣大故也。如須彌山王者。譬攝受	者 下 言 以 廣 大 故 也 如須彌山 王 者 譬 攝 受 
T85n2762_001:0267c17	正法。端嚴殊特者。語其力用。勝於眾山者。喻	正 法 端 嚴 殊 特 者 語 其 力 用 勝 於 眾 山 者 喻 
T85n2762_001:0267c18	過於大乘性地也。如是大乘者。合上山王。捨	過 於 大 乘 性 地 也 如 是 大 乘 者 合 上 山 王 捨 
T85n2762_001:0267c19	身命財者。以下合其力用也捨身命者。修道	身 命 財 者 以 下 合 其 力 用 也 捨 身 命 者 修 道 
T85n2762_001:0267c20	行攝也。以攝取心者。但論願攝也。攝受正法。	行 攝 也 以 攝 取 心 者 但 論 願 攝 也 攝受正法 
T85n2762_001:0267c21	總結行願也。勝不捨身命財。初住大乘。合上	總 結 行 願 也 勝 不 捨 身 命 財 初 住 大 乘 合 上 
T85n2762_001:0267c22	勝於眾山也。性地為師。二乘是弟子。性地菩	勝 於 眾 山 也 性 地 為 師 二 乘 是 弟 子 性 地 菩 
T85n2762_001:0267c23	薩功德高勝由苦不如何。況二乘功德尠薄。	薩 功 德 高 勝 由 苦 不 如 何 況 二 乘 功 德 尠 薄 
T85n2762_001:0267c24	以攝受正法廣大故也。自下舉勸勝鬘流通	以 攝受正法 廣 大 故 也 自 下 舉 勸 勝 鬘 流 通 
T85n2762_001:0267c25	大乘。以是義故。勝鬘黨以攝受正法開示教	大 乘 以是義故 勝 鬘 黨 以 攝受正法 開 示 教 
T85n2762_001:0267c26	化建立眾生也。一住發唱名為開示。曲尺辨	化 建 立 眾 生 也 一 住 發 唱 名 為 開 示 曲 尺 辨 
T85n2762_001:0267c27	章稱為教化。令彼行成故名建立也。自下出	章 稱 為 教 化 令 彼 行 成 故 名 建 立 也 自 下 出 
T85n2762_001:0267c28	其功。勝鬘攝受正法如是大利者。怗前力士	其 功 勝 鬘 攝受正法 如 是 大 利 者 怗 前 力 士 
T85n2762_001:0267c29	喻。前明出過魔境眾魔能為人功德捐人善	喻 前 明 出 過 魔 境 眾 魔 能 為 人 功 德 捐 人 善 
T85n2762_001:0268a01	法。今對彼衰捐故言如是大利也。如是大福	法 今 對 彼 衰 捐 故 言 如 是 大 利 也 如 是 大 福 
T85n2762_001:0268a02	者。怗前牛王喻。勝於二乘故言大福也。如是	者 怗 前 牛 王 喻 勝 於 二 乘 故 言 大 福 也 如 是 
T85n2762_001:0268a03	大果者。怗前山王喻。前言勝於性地。今住前	大 果 者 怗 前 山 王 喻 前 言 勝 於 性 地 今 住 前 
T85n2762_001:0268a04	為因。初住為歎故。言如是大果也。亦可如是	為 因 初 住 為 歎 故 言 如 是 大 果 也 亦 可 如 是 
T85n2762_001:0268a05	大利者。結於外化之功。如是大福。結於自行	大 利 者 結 於 外 化 之 功 如 是 大 福 結 於 自 行 
T85n2762_001:0268a06	之德。如是大果者。總結自行外化之歎。勝鬘	之 德 如 是 大 果 者 總 結 自 行 外 化 之 歎 勝 鬘 
T85n2762_001:0268a07	我於阿僧祇以下勸也。	我 於 阿 僧 祇 以 下 勸 也 
T85n2762_001:0268a08	佛告勝鬘以下第五一乘章。所以來者。上明	佛 告 勝 鬘 以 下 第 五 一 乘 章 所 以 來 者 上 明 
