X31n0612_001:0605a04	 妙法蓮華經序	 妙法蓮華 經 序 
X31n0612_001:0613c20	所以者何。以我此物。周給一國。猶尚不匱。何況諸子。	所以者何 以 我 此 物 周 給 一 國 猶 尚 不 匱 何 況 諸 子 
X31n0612_001:0613c21	(戒環曰。萬物皆徃資焉而不匱。此之謂也)。	 戒 環 曰 萬 物 皆 徃 資 焉 而 不 匱 此 之 謂 也 
X31n0612_001:0613c22	是時諸子各乘大車。得未曾有。非本所望。	是 時 諸 子 各 乘 大 車 得未曾有 非 本 所 望 
X31n0612_001:0613c23	(戒環曰。譬二乘得佛。過其所望)。	 戒 環 曰 譬 二 乘 得 佛 過 其 所 望 
X31n0612_001:0613c24	舍利弗。於汝意云何。是長者。等與諸子珍寶大車。寧	舍 利 弗 於汝意云何 是 長 者 等 與 諸 子 珍 寶 大 車 寧 
X31n0612_001:0613c25	有虗妄不。	有 虗 妄 不 
X31n0612_001:0613c26	(戒環曰。問許三而賜一。猶始權而終實。始終相違。涉	 戒 環 曰 問 許 三 而 賜 一 猶 始 權 而 終 實 始 終 相 違 涉 
X31n0612_001:0614a01	虗妄不)。	虗 妄 不 
X31n0612_001:0614a02	舍利弗言。不也。世尊。是長者但令諸子得免火難。全	舍 利 弗 言 不 也 世 尊 是 長 者 但 令 諸 子 得 免 火 難 全 
X31n0612_001:0614a03	其軀命。非為虗妄。何以故。若全身命。便為已得玩好	其 軀 命 非 為 虗 妄 何 以 故 若 全 身 命 便 為 已 得 玩 好 
X31n0612_001:0614a04	之具。況後方便。於彼火宅而拔濟之。	之 具 況 後 方 便 於 彼 火 宅 而 拔 濟 之 
X31n0612_001:0614a05	(戒環曰。身為道本。本全則道全。所以至人常遺物抱	 戒 環 曰 身 為 道 本 本 全 則 道 全 所 以 至 人 常 遺 物 抱 
X31n0612_001:0614a06	道。以全身養生。而火宅之人。唯物之玩。不自貴愛。故	道 以 全 身 養 生 而 火 宅 之 人 唯 物 之 玩 不 自 貴 愛 故 
X31n0612_001:0614a07	此警之耳)。	此 警 之 耳 
X31n0612_001:0614a08	戒環曰。以全身命為得玩好者。身之可玩。固甚於	戒 環 曰 以 全 身 命 為 得 玩 好 者 身 之 可 玩 固 甚 於 
X31n0612_001:0614a09	物。	物 
X31n0612_001:0614a10	世尊。若是長者。乃至不與最小一車。猶不虗妄。何以	世 尊 若 是 長 者 乃 至 不 與 最 小 一 車 猶 不 虗 妄 何 以 
X31n0612_001:0614a11	故。是長者先作是意。我以方便令子得出。以是因緣。	故 是 長 者 先 作 是 意 我 以 方 便 令 子 得 出 以是因緣 
X31n0612_001:0614a12	無虗妄也。何況長者。自知財富無量。欲饒益諸子。等	無 虗 妄 也 何 況 長 者 自 知 財 富 無 量 欲 饒 益 諸 子 等 
X31n0612_001:0614a13	與大車。佛告舍利弗。善哉善哉。如汝所言。	與 大 車 佛 告 舍 利 弗 善哉善哉 如 汝 所 言 
X31n0612_001:0614a14	(戒環曰。此結不妄之意)。	 戒 環 曰 此 結 不 妄 之 意 
X31n0612_001:0614a15	舍利弗。如來亦復如是。則為一切世間之父。於諸怖	舍 利 弗 如 來 亦復如是 則 為 一切世間 之 父 於 諸 怖 
X31n0612_001:0614a16	畏衰惱憂患。無明暗蔽。永盡無餘。	畏 衰 惱 憂 患 無 明 暗 蔽 永 盡 無 餘 
X31n0612_001:0614a17	(戒環曰。視四生如一子。等三界以同仁)。	 戒 環 曰 視 四 生 如 一 子 等 三 界 以 同 仁 
X31n0612_001:0614a18	戒環曰。怖畏惱患。即三戒苦相。無明暗蔽。即四生	戒 環 曰 怖 畏 惱 患 即 三 戒 苦 相 無 明 暗 蔽 即 四 生 
X31n0612_001:0614a19	苦本。於此永盡。即如如佛。	苦 本 於 此 永 盡 即 如 如 佛 
X31n0612_001:0614a20	而悉成就無量知見。力無所畏。有大神力。及智慧力。	而 悉 成 就 無 量 知 見 力 無 所 畏 有 大 神 力 及 智 慧 力 
X31n0612_001:0614a21	具足方便智慧波羅蜜。大慈大悲。常無懈倦。恒求善	具 足 方便智慧 波 羅 蜜 大慈大悲 常 無 懈 倦 恒 求 善 
X31n0612_001:0614a22	事。利益一切。	事 利 益 一 切 
X31n0612_001:0614a23	(戒環曰。知見力無畏。正智也。方便智度。權智也。神力	 戒 環 曰 知 見 力 無 畏 正 智 也 方 便 智 度 權 智 也 神 力 
X31n0612_001:0614a24	智力。所以資正智。慈悲無倦。所以運權智)。	智 力 所 以 資 正 智 慈 悲 無 倦 所 以 運 權 智 
X31n0612_001:0614a25	而生三界朽故火宅。為度眾生生老病死。憂悲苦惱。	而 生 三 界 朽 故 火 宅 為 度 眾 生 生老病死 憂 悲 苦 惱 
X31n0612_001:0614a26	愚癡暗蔽。三毒之火。教化令得阿耨多羅三藐三菩	愚 癡 暗 蔽 三 毒 之 火 教化令得 阿 耨 多 羅 三 藐 三 菩 
X31n0612_001:0614b01	提。見諸眾生。為生老病死憂悲苦惱之所燒煑。亦以	提 見 諸 眾 生 為 生老病死 憂 悲 苦 惱 之 所 燒 煑 亦 以 
X31n0612_001:0614b02	五欲財利故。受種種苦。又以貪著追求故。現受眾苦。	五 欲 財 利 故 受 種 種 苦 又 以 貪 著 追 求 故 現 受 眾 苦 
X31n0612_001:0614b03	貧窮困苦。愛別離苦。冤憎會苦。如是等種種諸苦。眾	貧窮困苦 愛別離苦 冤 憎 會 苦 如 是 等 種 種 諸 苦 眾 
X31n0612_001:0614b04	生沒在其中。歡喜遊戲。不覺不知。不驚不怖。亦不生	生 沒 在 其 中 歡 喜 遊 戲 不 覺 不 知 不驚不怖 亦 不 生 
X31n0612_001:0614b05	猒。不求解脫。於此三界火宅。東西馳走。雖遭大苦。不	猒 不 求 解 脫 於 此 三 界 火 宅 東 西 馳 走 雖 遭 大 苦 不 
X31n0612_001:0614b06	以為患。	以 為 患 
X31n0612_001:0614b07	(戒環曰。而生下。言由慈悲故。示生三界之家。濟度五	 戒 環 曰 而 生 下 言 由 慈 悲 故 示 生 三 界 之 家 濟 度 五 
X31n0612_001:0614b08	趣之眾。以自永盡無明暗蔽故。欲度眾生愚癡暗蔽。	趣 之 眾 以 自 永 盡 無 明 暗 蔽 故 欲 度 眾 生 愚 癡 暗 蔽 
X31n0612_001:0614b09	以自成就無量知見故。欲令眾生得大菩提。所謂欲	以 自 成 就 無 量 知 見 故 欲 令 眾 生 得大菩提 所 謂 欲 
X31n0612_001:0614b10	令一切眾如我等無異也。見諸眾生下。俻舉三界火	令 一 切 眾 如 我 等 無 異 也 見 諸 眾 生 下 俻 舉 三 界 火 
X31n0612_001:0614b11	毛苦狀。該三世六道因果也)。	毛 苦 狀 該 三 世 六 道 因 果 也 
X31n0612_001:0614b12	戒環曰。苦惱為果業。屬前因。五欲財利追求等苦	戒 環 曰 苦 惱 為 果 業 屬 前 因 五 欲 財 利 追 求 等 苦 
X31n0612_001:0614b13	為因業。屬後果。貧窮等苦。即緣上因果。成六道業。	為 因 業 屬 後 果 貧 窮 等 苦 即 緣 上 因 果 成 六 道 業 
X31n0612_001:0614b14	化為異類。淪替不停。實可驚怖。彼且喜而不猒。遭	化 為 異 類 淪 替 不 停 實 可 驚 怖 彼 且 喜 而 不 猒 遭 
X31n0612_001:0614b15	而不患。實癡暗所蔽也。	而 不 患 實 癡 暗 所 蔽 也 
X31n0612_001:0614b16	舍利弗。佛見此已。便作是念。我為眾生之父。應拔其	舍 利 弗 佛 見 此 已 便 作 是 念 我 為 眾 生 之 父 應 拔 其 
X31n0612_001:0614b17	苦難。與無量無邊佛智慧樂。令其遊戲。舍利弗。如來	苦 難 與 無量無邊 佛 智 慧 樂 令 其 遊 戲 舍 利 弗 如 來 
X31n0612_001:0614b18	復作是念。若我但以神力及智慧力。舍於方便。為諸	復 作 是 念 若 我 但 以 神 力 及 智 慧 力 舍 於 方 便 為 諸 
X31n0612_001:0614b19	眾生。讚如來知見力無所畏者。眾生不能以是得度。	眾 生 讚 如 來 知 見 力 無 所 畏 者 眾 生 不 能 以 是 得 度 
X31n0612_001:0614b20	(戒環曰。無邊佛慧樂。即一乘法樂。如來知見力無所	 戒 環 曰 無 邊 佛 慧 樂 即 一 乘 法 樂 如 來 知 見 力 無 所 
X31n0612_001:0614b21	畏。即一乘法體。雖足以拔苦。然非凡夫事。故不能以	畏 即 一 乘 法 體 雖 足 以 拔 苦 然 非 凡 夫 事 故 不 能 以 
X31n0612_001:0614b22	是得度)。	是 得 度 
X31n0612_001:0614b23	所以者何。是諸眾生。未免生老病死憂悲苦惱。而為	所以者何 是 諸 眾 生 未 免 生老病死 憂 悲 苦 惱 而 為 
X31n0612_001:0614b24	三界火宅所燒。何由能解佛之智慧。	三 界 火 宅 所 燒 何 由 能 解 佛 之 智 慧 
X31n0612_001:0614b25	(戒環曰。所以不能以是得度者。為眾苦所迷故)。	 戒 環 曰 所 以 不 能 以 是 得 度 者 為 眾 苦 所 迷 故 
X31n0612_001:0614b26	舍利弗。如彼長者。雖復身手有力。而不用之。但以殷	舍 利 弗 如 彼 長 者 雖 復 身 手 有 力 而 不 用 之 但 以 殷 
X31n0612_001:0614c01	勤方便。勉濟諸子火宅之難。然後各與珍寶大車。如	勤 方 便 勉 濟 諸 子 火 宅 之 難 然 後 各 與 珍 寶 大 車 如 
X31n0612_001:0614c02	來亦復如是。雖有力無所畏。而不用之。但以智慧方	來 亦復如是 雖 有 力 無 所 畏 而 不 用 之 但 以 智 慧 方 
X31n0612_001:0614c03	便。於三界火宅。拔濟眾生。為說三乘。聲聞辟支佛佛	便 於 三 界 火 宅 拔 濟 眾 生 為 說 三 乘 聲 聞 辟 支 佛 佛 
X31n0612_001:0614c04	乘。而作是言。汝等莫得樂住三界火宅。勿貪麤弊色	乘 而 作 是 言 汝 等 莫 得 樂 住 三 界 火 宅 勿 貪 麤 弊 色 
X31n0612_001:0614c05	聲香味觸也。若貪著生愛。則為所燒。	聲香味觸 也 若 貪 著 生 愛 則 為 所 燒 
X31n0612_001:0614c06	(戒環曰。此言善誘論力拔其苦也。色等五欲。俗以為	 戒 環 曰 此 言 善 誘 論 力 拔 其 苦 也 色 等 五 欲 俗 以 為 
X31n0612_001:0614c07	軟美。偏以為麤弊。為皆幻惑。濁惡能發業苦。實致火	軟 美 偏 以 為 麤 弊 為 皆 幻 惑 濁 惡 能 發 業 苦 實 致 火 
X31n0612_001:0614c08	之具也。故貪着生愛則為所燒)。	之 具 也 故 貪 着 生 愛 則 為 所 燒 
X31n0612_001:0614c09	汝速出三界。當得三乘聲聞辟支佛佛乘。我今為汝。	汝 速 出 三 界 當 得 三 乘 聲 聞 辟 支 佛 佛 乘 我 今 為 汝 
X31n0612_001:0614c10	保任此事。終不虗也。汝等但當勤修精進。如來以是	保 任 此 事 終 不 虗 也 汝 等 但 當 勤修精進 如 來 以 是 
X31n0612_001:0614c11	方便。誘進眾生。復作是言。汝等當知。此三乘法。皆是	方 便 誘 進 眾 生 復 作 是 言 汝 等 當 知 此 三 乘 法 皆 是 
X31n0612_001:0614c12	聖所稱歎。自在無繫。無所依求。乘是三乘。以無漏根	聖 所 稱 歎 自 在 無 繫 無 所 依 求 乘 是 三 乘 以 無 漏 根 
X31n0612_001:0614c13	力。覺道禪定。解脫三昧等。而自娛樂。便得無量安隱	力 覺 道 禪 定 解 脫 三 昧 等 而 自 娛 樂 便 得 無 量 安 隱 
X31n0612_001:0614c14	快樂。	快 樂 
X31n0612_001:0614c15	(此三乘法聖所稱歎者。諸佛共尊也。能離生死故自	 此 三 乘 法 聖 所 稱 歎 者 諸 佛 共 尊 也 能 離 生 死 故 自 
X31n0612_001:0614c16	在無繫。異有為法故無所依求。得是乘者。斯得無漏	在 無 繫 異 有 為 法 故 無 所 依 求 得 是 乘 者 斯 得 無 漏 
X31n0612_001:0614c17	五根五力七覺支八正道四禪九次第定八解脫諸	五 根 五 力 七 覺 支 八 正 道 四 禪 九次第定 八 解 脫 諸 
X31n0612_001:0614c18	三昧法。足以娛樂。脫三界苦)。	三 昧 法 足 以 娛 樂 脫 三 界 苦 
X31n0612_001:0614c19	戒環曰。示以三乘而讚其法。使向慕也。	戒 環 曰 示 以 三 乘 而 讚 其 法 使 向 慕 也 
X31n0612_001:0614c20	舍利弗。若有眾生。內有智性。從佛世尊。聞法信受。殷	舍 利 弗 若 有 眾 生 內 有 智 性 從 佛 世 尊 聞 法 信 受 殷 
X31n0612_001:0614c21	勤精進。欲速出三界。自求涅槃。是名聲聞乘。如彼諸	勤 精 進 欲 速 出 三 界 自 求 涅 槃 是 名 聲 聞 乘 如 彼 諸 
X31n0612_001:0614c22	子為求羊車出於火宅。	子 為 求 羊 車 出 於 火 宅 
X31n0612_001:0614c23	(此言初聲聞乘)。(戒環曰。此辨三乘根性不等。取果	 此 言 初 聲 聞 乘 戒 環 曰 此 辨 三 乘 根 性 不 等 取 果 
X31n0612_001:0614c24	有異。如彼諸子玩好不同)。	有 異 如 彼 諸 子 玩 好 不 同 
X31n0612_001:0614c25	戒環曰。內有智性者。謂正因信種。揀非闡提也。內	戒 環 曰 內 有 智 性 者 謂 正 因 信 種 揀 非 闡 提 也 內 
X31n0612_001:0614c26	有是因故。從佛為緣。觀四諦理。聞聲悞道。名聲聞	有 是 因 故 從 佛 為 緣 觀 四 諦 理 聞 聲 悞 道 名 聲 聞 
X31n0612_001:0614c27	乘。欲速機小。故譬羊車。	乘 欲 速 機 小 故 譬 羊 車 
X31n0612_001:0615a01	若有眾生。從佛世尊。聞法信受。殷勤精進。求自然慧。	若 有 眾 生 從 佛 世 尊 聞 法 信 受 殷 勤 精 進 求 自 然 慧 
X31n0612_001:0615a02	樂獨善寂。深知諸法因緣。是名辟支佛乘。如彼諸子	樂 獨 善 寂 深 知 諸 法 因 緣 是 名 辟 支 佛 乘 如 彼 諸 子 
X31n0612_001:0615a03	為求鹿車出於火宅。	為 求 鹿 車 出 於 火 宅 
X31n0612_001:0615a04	(及南曰。此言緣覺乘)。(此乘斷三界見思。與聲聞同	 及 南 曰 此 言 緣 覺 乘 此 乘 斷 三 界 見 思 與 聲 聞 同 
X31n0612_001:0615a05	更侵斷習氣。根性猛利。故居聲聞上。其機稍大。故譬	更 侵 斷 習 氣 根 性 猛 利 故 居 聲 聞 上 其 機 稍 大 故 譬 
X31n0612_001:0615a06	鹿車)。	鹿 車 
X31n0612_001:0615a07	戒環曰。辟支此云獨覺。亦通緣覺。出無佛世。觀物	戒 環 曰 辟 支 此 云 獨 覺 亦 通 緣 覺 出 無 佛 世 觀 物 
X31n0612_001:0615a08	變易。自覺無生。故號獨覺。觀十二緣。覺真諦理。故	變 易 自 覺 無 生 故 號 獨 覺 觀 十 二 緣 覺 真 諦 理 故 
X31n0612_001:0615a09	號緣覺。求自然慧樂獨善寂。即獨覺也。深知諸法	號 緣 覺 求 自 然 慧 樂 獨 善 寂 即 獨 覺 也 深 知 諸 法 
X31n0612_001:0615a10	因緣。即緣覺也。	因 緣 即 緣 覺 也 
X31n0612_001:0615a11	若有眾生。從佛世尊。聞法信受。勤修精進。求一切智。	若 有 眾 生 從 佛 世 尊 聞 法 信 受 勤修精進 求 一 切 智 
X31n0612_001:0615a12	佛智。自然智。無師智。如來知見。力無所畏。愍念安樂	佛 智 自 然 智 無 師 智 如 來 知 見 力 無 所 畏 愍 念 安 樂 
X31n0612_001:0615a13	無量眾生。利益天人。度脫一切。是名大乘。菩薩求此	無 量 眾 生 利 益 天 人 度 脫 一 切 是 名 大 乘 菩 薩 求 此 
X31n0612_001:0615a14	乘故。名為摩訶薩。如彼諸子為求牛車出於火宅。	乘 故 名 為 摩 訶 薩 如 彼 諸 子 為 求 牛 車 出 於 火 宅 
X31n0612_001:0615a15	(及南曰。此言菩薩乘)。(此兼三乘集眾智之大根也。	 及 南 曰 此 言 菩 薩 乘 此 兼 三 乘 集 眾 智 之 大 根 也 
X31n0612_001:0615a16	其機為最。故譬牛車)。	其 機 為 最 故 譬 牛 車 
X31n0612_001:0615a17	戒環曰。一切智即菩薩智也。佛智即一切種智也。	戒 環 曰 一 切 智 即 菩 薩 智 也 佛 智 即 一切種智 也 
X31n0612_001:0615a18	自然即離諸證取者。無師即不由他悟者。能求眾	自 然 即 離 諸 證 取 者 無 師 即 不由他悟 者 能 求 眾 
X31n0612_001:0615a19	智。及如來知見廣大德用。而愍安利度。所以為大	智 及 如 來 知 見 廣 大 德 用 而 愍 安 利 度 所 以 為 大 
X31n0612_001:0615a20	菩薩。	菩 薩 
X31n0612_001:0615a21	舍利弗如彼長者。見諸子等。安穩得出火宅。到無畏	舍 利 弗 如 彼 長 者 見 諸 子 等 安 穩 得 出 火 宅 到 無 畏 
X31n0612_001:0615a22	處。自惟財富無量。等以大車而賜諸子。	處 自 惟 財 富 無 量 等 以 大 車 而 賜 諸 子 
X31n0612_001:0615a23	(此牒見子得出露地而坐。自念財物無極。不與小車	 此 牒 見 子 得 出 露 地 而 坐 自 念 財 物 無 極 不 與 小 車 
X31n0612_001:0615a24	等文。次合)。	等 文 次 合 
X31n0612_001:0615a25	如來亦復如是。為一切眾生之父。若見無量億千眾	如 來 亦復如是 為 一 切 眾 生 之 父 若 見 無 量 億 千 眾 
X31n0612_001:0615a26	生。以佛教門。出三界苦怖畏險道。得涅槃樂。如來爾	生 以 佛 教 門 出 三 界 苦 怖 畏 險 道 得 涅 槃 樂 如 來 爾 
X31n0612_001:0615b01	時便作是念。我有無量無邊智慧力無畏等諸佛法	時 便 作 是 念 我 有 無量無邊 智 慧 力 無 畏 等 諸 佛 法 
X31n0612_001:0615b02	藏。是諸眾生。皆是我子。等與大乘。不令有人獨得滅	藏 是 諸 眾 生 皆 是 我 子 等 與 大 乘 不 令 有 人 獨 得 滅 
X31n0612_001:0615b03	度。皆以如來滅度而滅度之。	度 皆 以 如 來 滅 度 而 滅 度 之 
X31n0612_001:0615b04	(及南曰。合上可明出三界苦得涅槃樂。即權乘小果。	 及 南 曰 合 上 可 明 出 三 界 苦 得 涅 槃 樂 即 權 乘 小 果 
X31n0612_001:0615b05	如來滅度而滅度之。即大乘極果)。	如 來 滅 度 而 滅 度 之 即 大 乘 極 果 
X31n0612_001:0615b06	是諸眾生。脫三界者。悉與諸佛禪定解脫等娛樂之	是 諸 眾 生 脫 三 界 者 悉 與 諸 佛 禪 定 解 脫 等 娛 樂 之 
X31n0612_001:0615b07	具。皆是一相一種。聖所稱歎。能生淨妙第一之樂。舍	具 皆 是 一 相 一 種 聖 所 稱 歎 能 生 淨 妙 第 一 之 樂 舍 
X31n0612_001:0615b08	利弗。如彼長者初以三車誘引諸子。然後但與大車。	利 弗 如 彼 長 者 初 以 三 車 誘 引 諸 子 然 後 但 與 大 車 
X31n0612_001:0615b09	寶物莊嚴。安隱第一。然彼長者。無虗妄之咎。如來亦	寶 物 莊 嚴 安 隱 第 一 然 彼 長 者 無 虗 妄 之 咎 如 來 亦 
X31n0612_001:0615b10	復如是。無有虗妄。初說三乘引導眾生。然後但以大	復 如 是 無 有 虗 妄 初 說 三 乘 引 導 眾 生 然 後 但 以 大 
X31n0612_001:0615b11	乘而度脫之。何以故。如來有無量智慧。力無所畏。諸	乘 而 度 脫 之 何 以 故 如 來 有 無 量 智 慧 力 無 所 畏 諸 
X31n0612_001:0615b12	法之藏。能與一切眾生。大乘之法。但不能盡受。舍利	法 之 藏 能 與 一 切 眾 生 大 乘 之 法 但 不 能 盡 受 舍 利 
X31n0612_001:0615b13	弗。以是因緣。當知諸佛方便力故。於一佛乘。分別說三。	弗 以是因緣 當 知 諸 佛 方 便 力 故 於 一 佛 乘 分 別 說 三 
X31n0612_001:0615b14	(戒環曰。是諸眾生下。疏上等與大乘之意也。謂彼脫	 戒 環 曰 是 諸 眾 生 下 疏 上 等 與 大 乘 之 意 也 謂 彼 脫 
X31n0612_001:0615b15	三界者。雖得小乘禪定解脫。然猶厭有着空。非一相	三 界 者 雖 得 小 乘 禪 定 解 脫 然 猶 厭 有 着 空 非 一 相 
X31n0612_001:0615b16	也。裂為二乘。非一種也。執着未除。非淨也。空有未融。	也 裂 為 二 乘 非 一 種 也 執 着 未 除 非 淨 也 空 有 未 融 
X31n0612_001:0615b17	非妙也。故與之諸佛禪定解脫娛樂之具。一相一種	非 妙 也 故 與 之 諸 佛 禪 定 解 脫 娛 樂 之 具 一 相 一 種 
X31n0612_001:0615b18	淨妙之樂。如彼大車眾美具備。舍利弗下。總結前文	淨 妙 之 樂 如 彼 大 車 眾 美 具 備 舍 利 弗 下 總 結 前 文 
X31n0612_001:0615b19	也。不能盡受者。機不齊故)。	也 不 能 盡 受 者 機 不 齊 故 
X31n0612_001:0615b20	○信解品第四	 信 解 品 第 四 
X31n0612_001:0615b21	信解者。因間窮說。以信得入。悟解法要也。	信 解 者 因 間 窮 說 以 信 得 入 悟 解 法 要 也 
X31n0612_001:0615b22	爾時慧命須菩提。摩訶迦旃延。摩訶迦葉。摩訶目犍	爾 時 慧 命 須 菩 提 摩 訶 迦 旃 延 摩 訶 迦 葉 摩 訶 目 犍 
X31n0612_001:0615b23	連。從佛所聞未曾有法。世尊授舍利弗阿耨多羅三	連 從 佛 所 聞 未曾有法 世 尊 授 舍 利 弗 阿 耨 多 羅 三 
X31n0612_001:0615b24	藐三菩提記。發希有心。歡喜踊躍。	藐 三 菩 提 記 發 希 有 心 歡喜踊躍 
X31n0612_001:0615b25	(及南云。湏菩提解空第一。而聲聞但念偏空。於菩薩	 及 南 云 湏 菩 提 解 空 第 一 而 聲 聞 但 念 偏 空 於 菩 薩 
X31n0612_001:0615b26	法。心不喜樂。今乃捨空法證實道。故以解空人表敘)。	法 心 不 喜 樂 今 乃 捨 空 法 證 實 道 故 以 解 空 人 表 敘 
X31n0612_001:0615c01	戒環曰。須菩提年德高眾。故稱長老。或曰具壽。或	戒 環 曰 須 菩 提 年 德 高 眾 故 稱 長 老 或 曰 具 壽 或 
X31n0612_001:0615c02	曰慧命。或經云。是人佛法中能得智慧命。是也。合	曰 慧 命 或 經 云 是 人 佛 法 中 能 得 智 慧 命 是 也 合 
X31n0612_001:0615c03	先列大迦葉。而先須菩提者。亦當機故也。	先 列 大 迦 葉 而 先 須 菩 提 者 亦 當 機 故 也 
X31n0612_001:0615c04	世尊往昔說法既久。我時在座。身體疲懈。但念空無	世 尊 往 昔 說 法 既 久 我 時 在 座 身 體 疲 懈 但 念 空 無 
X31n0612_001:0615c05	相無作。於菩薩法。遊戲神通。淨佛國土。成就眾生。心	相 無 作 於 菩 薩 法 遊戲神通 淨佛國土 成 就 眾 生 心 
X31n0612_001:0615c06	不喜樂。	不 喜 樂 
X31n0612_001:0615c07	(智者謂。依四諦以觀諸法。無我我所名空。以空故。萬	 智 者 謂 依 四 諦 以 觀 諸 法 無我我所 名 空 以 空 故 萬 
X31n0612_001:0615c08	法一異等相。實不可得。名無相。知一切法無相不可	法 一 異 等 相 實 不 可 得 名 無 相 知一切法 無 相 不 可 
X31n0612_001:0615c09	得。即於三界無所願求。不復造作三有生死之業。名	得 即 於 三 界 無 所 願 求 不 復 造 作 三 有 生 死 之 業 名 
X31n0612_001:0615c10	無作。亦名無願)。	無 作 亦 名 無 願 
X31n0612_001:0615c11	戒環曰。說法既久。指四十年說小教時也。以疲懈	戒 環 曰 說 法 既 久 指 四 十 年 說 小 教 時 也 以 疲 懈 
X31n0612_001:0615c12	故。但念小乘空法。不復求進也。空無相無作。即小	故 但 念 小 乘 空 法 不 復 求 進 也 空 無 相 無 作 即 小 
X31n0612_001:0615c13	乘三解脫門也。菩薩法。即大乘法也。遊戲神通等。	乘 三解脫門 也 菩 薩 法 即 大 乘 法 也 遊戲神通 等 
X31n0612_001:0615c14	即大乘行也。彼唯樂小。沈空趣寂。故於大法大行。	即 大 乘 行 也 彼 唯 樂 小 沈 空 趣 寂 故 於 大 法 大 行 
X31n0612_001:0615c15	心不喜樂。	心 不 喜 樂 
X31n0612_001:0615c16	所以者何。世尊令我等出於三界。得涅槃證。又令我	所以者何 世 尊 令 我 等 出 於 三 界 得 涅 槃 證 又 令 我 
X31n0612_001:0615c17	等年已朽邁。於佛教化菩薩阿耨多羅三藐三菩提。	等 年 已 朽 邁 於 佛 教 化 菩 薩 阿耨多羅三藐三菩提 
X31n0612_001:0615c18	不生一念好樂之心。	不 生 一 念 好 樂 之 心 
X31n0612_001:0615c19	(戒環曰。釋上之失。為滯小故)。	 戒 環 曰 釋 上 之 失 為 滯 小 故 
X31n0612_001:0615c20	我等今於佛前。聞授聲聞阿耨多羅三藐三菩提記。	我 等 今 於 佛 前 聞 授 聲 聞 阿耨多羅三藐三菩提 記 
X31n0612_001:0615c21	心甚歡喜。得未聞有。不謂於今忽然得聞希有之法。	心甚歡喜 得 未 聞 有 不 謂 於 今 忽 然 得 聞 希 有 之 法 
X31n0612_001:0615c22	深自慶幸。獲大善利。無量珍寶。不自求得。	深 自 慶 幸 獲 大 善 利 無 量 珍 寶 不 自 求 得 
X31n0612_001:0615c23	(及南曰。此乃慶今所得也)。	 及 南 曰 此 乃 慶 今 所 得 也 
X31n0612_001:0615c24	世尊。我等今者樂說譬喻。以明斯義。譬若有人。年既	世 尊 我 等 今 者 樂 說 譬 喻 以 明 斯 義 譬 若 有 人 年 既 
X31n0612_001:0615c25	幼稚。捨父逃逝。久住他國。或十二十。至五十歲。	幼 稚 捨 父 逃 逝 久 住 他 國 或 十 二 十 至 五 十 歲 
X31n0612_001:0615c26	(行簡子曰。南華亦謂弱喪。正是此說)。	 行 簡 子 曰 南 華 亦 謂 弱 喪 正 是 此 說 
X31n0612_001:0616a01	戒環曰。幼稚譬專蒙無知。捨父譬棄背本覺。他國	戒 環 曰 幼 稚 譬 專 蒙 無 知 捨 父 譬 棄 背 本 覺 他 國 
X31n0612_001:0616a02	譬淪滯五道。故曰至五十歲。或十二十。譬次第而	譬 淪 滯 五 道 故 曰 至 五 十 歲 或 十 二 十 譬 次 第 而 
X31n0612_001:0616a03	淪也。	淪 也 
X31n0612_001:0616a04	年既長大。加復窮困。馳騁四方。以求衣食。漸漸遊行。	年 既 長 大 加 復 窮 困 馳 騁 四 方 以 求 衣 食 漸 漸 遊 行 
X31n0612_001:0616a05	遇向本國。	遇 向 本 國 
X31n0612_001:0616a06	(及南曰。遇向直方向之。且未能至也)。	 及 南 曰 遇 向 直 方 向 之 且 未 能 至 也 
X31n0612_001:0616a07	戒環曰。年長窮困。四方求食。譬困五道歷四生。以	戒 環 曰 年 長 窮 困 四 方 求 食 譬 困 五 道 歷 四 生 以 
X31n0612_001:0616a08	自活命。漸向本國。譬因遇佛教。遂能反省。	自 活 命 漸 向 本 國 譬 因 遇 佛 教 遂 能 反 省 
X31n0612_001:0616a09	其父先來求子不得。中止一城。其家大富。財寶無量。	其 父 先 來 求 子 不 得 中 止 一 城 其 家 大 富 財 寶 無 量 
X31n0612_001:0616a10	金銀琉璃。珊瑚琥珀。頗梨珠等。其諸倉庫。委皆盈溢。	金 銀 琉 璃 珊 瑚 琥 珀 頗 梨 珠 等 其 諸 倉 庫 委 皆 盈 溢 
X31n0612_001:0616a11	多有僮僕臣佐吏民。象馬車乘。牛羊無數。出入息利。	多 有 僮 僕 臣 佐 吏 民 象 馬 車 乘 牛 羊 無 數 出 入 息 利 
X31n0612_001:0616a12	乃遍他國。商估賈客。亦甚眾多。	乃 遍 他 國 商 估 賈 客 亦 甚 眾 多 
X31n0612_001:0616a13	(及南曰。倉盈法喜之食。庫溢諸法之財。僮僕所以自	 及 南 曰 倉 盈 法 喜 之 食 庫 溢 諸 法 之 財 僮 僕 所 以 自 
X31n0612_001:0616a14	奉。臣佐所以治民。譬自利利他事也。象馬牛羊。以譬	奉 臣 佐 所 以 治 民 譬 自利利他 事 也 象 馬 牛 羊 以 譬 
