T85n2768_001:0329a03	維摩義記	維 摩 義 記 
T85n2768_001:0331a23	言空。能解身心相空。方能有中翹懃也。以菩	言 空 能 解 身 心 相 空 方 能 有 中 翹 懃 也 以 菩 
T85n2768_001:0331a24	提相者。菩提體絕於眾相。能如此解一切法	提 相 者 菩 提 體 絕 於 眾 相 能 如 此 解 一 切 法 
T85n2768_001:0331a25	無性。方能有中行禪也。又解。[標*寸]菩提集禪定	無 性 方 能 有 中 行 禪 也 又 解 [標寸] 菩 提 集 禪 定 
T85n2768_001:0331a26	法以求菩提也。解空故能有中施化。無相者。	法 以 求 菩 提 也 解 空 故 能 有 中 施 化 無 相 者 
T85n2768_001:0331a27	何由能不捨有為法。正以深解無相故也。得	何 由 能 不 捨 有 為 法 正 以 深 解 無 相 故 也 得 
T85n2768_001:0331a28	無作空門能示現受生。護持正法者。弘理不	無 作 空 門 能 示 現 受 生 護持正法 者 弘 理 不 
T85n2768_001:0331a29	絕稱曰護持也。所以化物不捲。須有中方便	絕 稱 曰 護 持 也 所 以 化 物 不 捲 須 有 中 方 便 
T85n2768_001:0331b01	能通正法。行四攝不捨。能度眾生。自下隨情	能 通 正 法 行 四 攝 不 捨 能 度 眾 生 自 下 隨 情 
T85n2768_001:0331b02	消息也。又解。何謂法施之會。問法施之義也。	消 息 也 又 解 何 謂 法 施 之 會 問 法 施 之 義 也 
T85n2768_001:0331b03	何以名法施勝。自下解法施普同故所以勝	何 以 名 法 施 勝 自 下 解 法 施 普 同 故 所 以 勝 
T85n2768_001:0331b04	也。下何謂也問法施體。起喜心者。喜對於	也 下 何 謂 也 問 法 施 體 起 喜 心 者 喜 對 於 
T85n2768_001:0331b05	瞋得邪果。今除其瞋獲得正果也。六念者。念	瞋 得 邪 果 今 除 其 瞋 獲 得 正 果 也 六 念 者 念 
T85n2768_001:0331b06	三寶天戒施也。若六念成必由於思者。善思	三 寶 天 戒 施 也 若 六 念 成 必 由 於 思 者 善 思 
T85n2768_001:0331b07	惟也。六和敬者。三業無違戒見施同慕從隨	惟 也 六 和 敬 者 三 業 無 違 戒 見 施 同 慕 從 隨 
T85n2768_001:0331b08	順故言和也。敬行此六必以真心為本。敬行	順 故 言 和 也 敬 行 此 六 必 以 真 心 為 本 敬 行 
T85n2768_001:0331b09	邪曲莫能成記也。謟心濟己為邪命。質直養	邪 曲 莫 能 成 記 也 謟 心 濟 己 為 邪 命 質 直 養 
T85n2768_001:0331b10	形為正命。直心為命必招正善之果也。大施	形 為 正 命 直 心 為 命 必 招 正 善 之 果 也 大 施 
T85n2768_001:0331b11	主者。說大乘法為大。說三乘法為中。財施為	主 者 說 大 乘 法 為 大 說 三 乘 法 為 中 財 施 為 
T85n2768_001:0331b12	下。今云大者。說大乘法施也。善德所以解瓔	下 今 云 大 者 說 大 乘 法 施 也 善 德 所 以 解 瓔 
T85n2768_001:0331b13	以奉維摩者。有二意。所上來善德設財施。意	以 奉 維 摩 者 有 二 意 所 上 來 善 德 設 財 施 意 
T85n2768_001:0331b14	欲弘其法施之會。維摩應幾以弘法施。使	欲 弘 其 法 施 之 會 維 摩 應 幾 以 弘 法 施 使 
T85n2768_001:0331b15	二百人皆發菩提之心也。然時坐未知善德	二 百 人 皆 發 菩提之心 也 然 時 坐 未 知 善 德 
T85n2768_001:0331b16	法施之意。是以解瓔以奉維摩表己意在法	法 施 之 意 是 以 解 瓔 以 奉 維 摩 表 己 意 在 法 
T85n2768_001:0331b17	施也。二欲勵乞人之流發菩提心也。所以而	施 也 二 欲 勵 乞 人 之 流 發菩提心 也 所 以 而 
T85n2768_001:0331b18	然者。明維摩受瓔以一分奉難勝如來表己	然 者 明 維 摩 受 瓔 以 一 分 奉 難 勝 如 來 表 己 
T85n2768_001:0331b19	受敬之心一分與乞人表悲拔苦之極。是為	受 敬 之 心 一 分 與 乞 人 表 悲 拔 苦 之 極 是 為 
T85n2768_001:0331b20	敬上接下。其功齊矣。若其心平等。我等何為	敬 上 接 下 其 功 齊 矣 若 其 心 平 等 我 等 何 為 
T85n2768_001:0331b21	不發菩提心也。施一最下乞人。猶如如來福	不 發菩提心 也 施 一 最 下 乞 人 猶 如 如 來 福 
T85n2768_001:0331b22	田之相以下齊上無所分別。等於大悲者。以	田 之 相 以 下 齊 上 無所分別 等 於 大 悲 者 以 
T85n2768_001:0331b23	上齊下。不望果報者。釋維摩法施以下准上	上 齊 下 不 望 果 報 者 釋 維 摩 法 施 以 下 准 上 
T85n2768_001:0331b24	以上齊下者。明於彼上下皆不望果報故能	以 上 齊 下 者 明 於 彼 上 下 皆 不 望 果 報 故 能 
T85n2768_001:0331b25	爾也。皆發菩提心者。明不但乞人發心諸人	爾 也 皆 發菩提心 者 明 不 但 乞 人 發 心 諸 人 
T85n2768_001:0331b26	皆發。故言皆發菩提心也。	皆 發 故 言 皆 發菩提心 也 
T85n2768_001:0331b27	文殊品	文 殊 品 
T85n2768_001:0331b28	所以此品興者。明淨名垂跡患流別悟癡愛	所 以 此 品 興 者 明 淨 名 垂 跡 患 流 別 悟 癡 愛 
T85n2768_001:0331b29	德能致問故名為品也。群生根感時至故。命	德 能 致 問 故 名 為 品 也 群 生 根 感 時 至 故 命 
T85n2768_001:0331c01	文殊以問疾。二士對談揚化津澤非一。是故	文 殊 以 問 疾 二 士 對 談 揚 化 津 澤 非 一 是 故 
T85n2768_001:0331c02	如來命文殊以問疾也。初明來去之相。次辨	如 來 命 文 殊 以 問 疾 也 初 明 來 去 之 相 次 辨 
T85n2768_001:0331c03	病之所由。後明三惠化疾無方。初至且置是	病 之 所 由 後 明 三 惠 化 疾 無 方 初 至 且 置 是 
T85n2768_001:0331c04	事。此即三章之初明也。亦是遍嘆維摩之高	事 此 即 三 章 之 初 明 也 亦 是 遍 嘆 維 摩 之 高 
T85n2768_001:0331c05	德。夷蕩群情計來去之相也。	德 夷 蕩 群 情 計 來 去 之 相 也 
T85n2768_001:0331c06	即以神力空其室內者。空去父母妻子一切	即 以 神 力 空 其 室 內 者 空 去 父 母 妻 子 一 切 
T85n2768_001:0331c07	床坐侍者悉除。生下諸品之論端也。除去所	床 坐 侍 者 悉 除 生 下 諸 品 之 論 端 也 除 去 所 
T85n2768_001:0331c08	有及諸侍者。遍論除床坐弟子也。唯置一床	有 及 諸 侍 者 遍 論 除 床 坐 弟 子 也 唯 置 一 床 
T85n2768_001:0331c09	以疾而臥者。生下借坐燈王之論也。即入舍	以 疾 而 臥 者 生 下 借 坐 燈 王 之 論 也 即 入 舍 
T85n2768_001:0331c10	見其室空者。上侍者以列空其室。除侍者等。	見 其 室 空 者 上 侍 者 以 列 空 其 室 除 侍 者 等 
T85n2768_001:0331c11	所以復明。文殊見室內空者。明下夷去其患。	所 以 復 明 文 殊 見 室 內 空 者 明 下 夷 去 其 患 
T85n2768_001:0331c12	正除文殊共來之者。是以別列見也。文言善	正 除 文 殊 共 來 之 者 是 以 別 列 見 也 文 言 善 
T85n2768_001:0331c13	來者。必有其益故言善來。不來以下正夷去	來 者 必 有 其 益 故 言 善 來 不 來 以 下 正 夷 去 
T85n2768_001:0331c14	去來之心。不來相而來者。來者當運。自滅言	去 來 之 心 不 來 相 而 來 者 來 者 當 運 自 滅 言 
T85n2768_001:0331c15	不來。假名相續至於毘耶言其來。不見而見	不 來 假 名 相 續 至 於 毘 耶 言 其 來 不 見 而 見 
T85n2768_001:0331c16	義同之也。若來已更不來者。述維摩來去義	義 同 之 也 若 來 已 更 不 來 者 述 維 摩 來 去 義 
T85n2768_001:0331c17	同兩望為異。文殊增其去述前二種。毘耶望	同 兩 望 為 異 文 殊 增 其 去 述 前 二 種 毘 耶 望 
T85n2768_001:0331c18	菴羅為來。菴羅發向毘耶言去。若來已者。已	菴 羅 為 來 菴 羅 發 向 毘 耶 言 去 若 來 已 者 已 
T85n2768_001:0331c19	者滅也。更不來者。第二運言更當運自滅言	者 滅 也 更 不 來 者 第 二 運 言 更 當 運 自 滅 言 
T85n2768_001:0331c20	不來去見亦同之。所以者何釋時情疑。時情	不 來 去 見 亦 同 之 所以者何 釋 時 情 疑 時 情 
T85n2768_001:0331c21	謂。雖實中無於去來之者。何防定有所從來	謂 雖 實 中 無 於 去 來 之 者 何 防 定 有 所 從 來 
T85n2768_001:0331c22	處定有所至之處。是以今釋所以釋無決定	處 定 有 所 至 之 處 是 以 今 釋 所 以 釋 無 決 定 
T85n2768_001:0331c23	來去之處者。無所從來者。破定菴羅去。無所	來 去 之 處 者 無所從來 者 破 定 菴 羅 去 無 所 
T85n2768_001:0331c24	至者。破定毘耶所。可見者隨來也。且置是事	至 者 破 定 毘 耶 所 可 見 者 隨 來 也 且 置 是 事 
T85n2768_001:0331c25	者。遣來去之病。其義粗同故言且置是事也。	者 遣 來 去 之 病 其 義 粗 同 故 言 且 置 是 事 也 
T85n2768_001:0331c26	是疾寧可忍不以下凡有三門。文殊但受其	是 疾 寧 可 忍 不 以 下 凡 有 三 門 文 殊 但 受 其 
T85n2768_001:0331c27	使不受言有所勅。文殊玄騰聖意而問訊也。	使 不 受 言 有 所 勅 文 殊 玄 騰 聖 意 而 問 訊 也 
T85n2768_001:0331c28	寧可忍不者。眾生煩惱之病寧可忍不。第二	寧 可 忍 不 者 眾 生 煩 惱 之 病 寧 可 忍 不 第 二 
T85n2768_001:0331c29	問療治有損者。明煩惱之病可療治不也。第	問 療 治 有 損 者 明 煩 惱 之 病 可 療 治 不 也 第 
T85n2768_001:0332a01	三問不至增乎者。明煩惱之病不大熾盛不	三 問 不 至 增 乎 者 明 煩 惱 之 病 不 大 熾 盛 不 
T85n2768_001:0332a02	也。下淨名所以不答者。非佛之辭故不答也。	也 下 淨 名 所 以 不 答 者 非 佛 之 辭 故 不 答 也 
T85n2768_001:0332a03	慇懃致問無量者。毘有三問。廣便應多故言	慇 懃 致 問 無 量 者 毘 有 三 問 廣 便 應 多 故 言 
T85n2768_001:0332a04	致問無量也。是疾何所因起以下。明文殊傳	致 問 無 量 也 是 疾 何 所 因 起 以 下 明 文 殊 傳 
T85n2768_001:0332a05	佛語而問。從癡有愛則我病生者。答第二問。	佛 語 而 問 從 癡 有 愛 則 我 病 生 者 答 第 二 問 
T85n2768_001:0332a06	其生久如者。今明從眾生有癡愛病根感我	其 生 久 如 者 今 明 從 眾 生 有 癡 愛 病 根 感 我 
T85n2768_001:0332a07	來。莫問遠近。隨感則病生也。一切眾生得不	來 莫 問 遠 近 隨 感 則 病 生 也 一 切 眾 生 得 不 
T85n2768_001:0332a08	病以下。明感盡則病滅。答第三問。當云何	病 以 下 明 感 盡 則 病 滅 答 第 三 問 當 云 何 
T85n2768_001:0332a09	滅以大悲起者。答第一問。何所因起。明由大	滅 以 大 悲 起 者 答 第 一 問 何 所 因 起 明 由 大 
T85n2768_001:0332a10	悲故能現其病。故言因大悲起也。此室何以	悲 故 能 現 其 病 故 言 因 大 悲 起 也 此 室 何 以 
T85n2768_001:0332a11	空以下。非是論病之次第。應取下文所疾為	空 以 下 非 是 論 病 之 次 第 應 取 下 文 所 疾 為 
T85n2768_001:0332a12	何等相接此文也。所以中起此文者。由上佛	何 等 相 接 此 文 也 所 以 中 起 此 文 者 由 上 佛 
T85n2768_001:0332a13	國品中現於淨土。其土之中唯有大菩薩為	國 品 中 現 於 淨 土 其 土 之 中 唯 有 大 菩 薩 為 
T85n2768_001:0332a14	侍者。時坐而復著此二事。其心介然則受法	侍 者 時 坐 而 復 著 此 二 事 其 心 介 然 則 受 法 
T85n2768_001:0332a15	不濃。是以欲去此二患故起此文也。空何以	不 濃 是 以 欲 去 此 二 患 故 起 此 文 也 空 何 以 
T85n2768_001:0332a16	空者。明淨土空無。待者。問待者諸菩薩何以	空 者 明 淨 土 空 無 待 者 問 待 者 諸 菩 薩 何 以 
T85n2768_001:0332a17	空無也。諸佛國土亦復皆空者。正明國土空	空 無 也 諸 佛 國 土 亦 復 皆 空 者 正 明 國 土 空 
T85n2768_001:0332a18	以遣封情也。又以何為空者。國土為當本來	以 遣 封 情 也 又 以 何 為 空 者 國 土 為 當 本 來 
T85n2768_001:0332a19	無性故空。為當強用智觀作空也。答曰以空	無 性 故 空 為 當 強 用 智 觀 作 空 也 答 曰 以 空 
T85n2768_001:0332a20	空者。明本來空故空也。又問空何用空者。但	空 者 明 本 來 空 故 空 也 又 問 空 何 用 空 者 但 
T85n2768_001:0332a21	說一空。何用空空之名也。答曰以無分別空	說 一 空 何 用 空 空 之 名 也 答 曰 以 無 分 別 空 
T85n2768_001:0332a22	故空者。以眾生著空故我說空。復空故有二	故 空 者 以 眾 生 著 空 故 我 說 空 復 空 故 有 二 
T85n2768_001:0332a23	空之名也。又問空可分別耶。空體無殊。何	空 之 名 也 又 問 空 可 分 別 耶 空 體 無 殊 何 
T85n2768_001:0332a24	得分別。後空異前空耶。答曰分別亦空者。明	得 分 別 後 空 異 前 空 耶 答 曰 分 別 亦 空 者 明 
T85n2768_001:0332a25	後空遣前空故言空此空亦無故言分別亦空	後 空 遣 前 空 故 言 空 此 空 亦 無 故 言 分 別 亦 空 
T85n2768_001:0332a26	也。又問空當於何求者。上來明色陰空。自下	也 又 問 空 當 於 何 求 者 上 來 明 色 陰 空 自 下 
T85n2768_001:0332a27	明四陰空。空有其三。初明諸見空。次明佛解	明 四 陰 空 空 有 其 三 初 明 諸 見 空 次 明 佛 解 
T85n2768_001:0332a28	脫皆空。後明中間一切心行空也。當於何求	脫 皆 空 後 明 中 間 一 切 心 行 空 也 當 於 何 求 
T85n2768_001:0332a29	者。問求空之處在何。答曰以六十二見中也。	者 問 求 空 之 處 在 何 答 曰 以 六 十 二 見 中 也 
T85n2768_001:0332b01	又問諸見體空何處中求。答以解脫體上本	又 問 諸 見 體 空 何 處 中 求 答 以 解 脫 體 上 本 
T85n2768_001:0332b02	來無請見故言解脫中求也。何無侍以下。遣	來 無 請 見 故 言 解 脫 中 求 也 何 無 侍 以 下 遣 
T85n2768_001:0332b03	著菩薩之空。一切眾魔皆吾侍者。明眾魔體	著 菩 薩 之 空 一 切 眾 魔 皆 吾 侍 者 明 眾 魔 體 
T85n2768_001:0332b04	空能達其空。便能因緣之中化魔從教為弟	空 能 達 其 空 便 能 因 緣 之 中 化 魔 從 教 為 弟 
T85n2768_001:0332b05	子。即其侍者何獨菩薩貴也。得遣著心。外道	子 即 其 侍 者 何 獨 菩 薩 貴 也 得 遣 著 心 外 道 
T85n2768_001:0332b06	亦然也。此病為何等相以下。除其封著已竟。	亦 然 也 此 病 為 何 等 相 以 下 除 其 封 著 已 竟 
T85n2768_001:0332b07	今還論其病空也。我病無形者。明病體空。身	今 還 論 其 病 空 也 我 病 無 形 者 明 病 體 空 身 
T85n2768_001:0332b08	心合者。上雖言病無其形。可不與身心合也。	心 合 者 上 雖 言 病 無 其 形 可 不 與 身 心 合 也 
T85n2768_001:0332b09	答非身心合者。明身心空其病安在也。又問	答 非 身 心 合 者 明 身 心 空 其 病 安 在 也 又 問 
T85n2768_001:0332b10	地大水火以下。上明五陰無病故空。身下偏	地 大 水 火 以 下 上 明 五 陰 無 病 故 空 身 下 偏 
T85n2768_001:0332b11	就四大色陰以明。即離無病故空也。非地大	就 四 大 色 陰 以 明 即 離 無 病 故 空 也 非 地 大 
T85n2768_001:0332b12	者。明地大緣假無性故空。空故非即地大也。	者 明 地 大 緣 假 無 性 故 空 空 故 非 即 地 大 也 
T85n2768_001:0332b13	聞言非即便謂離大調然更有病體。亦不離	聞 言 非 即 便 謂 離 大 調 然 更 有 病 體 亦 不 離 
T85n2768_001:0332b14	者。破其計異也。而眾生病從四大起是故我	者 破 其 計 異 也 而 眾 生 病 從 四 大 起 是 故 我 
T85n2768_001:0332b15	病者。明眾生從四大有煩惱病根感於我。是	病 者 明 眾 生 從 四 大 有 煩 惱 病 根 感 於 我 是 
T85n2768_001:0332b16	故我病也。云何慰喻有疾菩薩者。明文殊是	故 我 病 也 云 何 慰 喻 有 疾 菩 薩 者 明 文 殊 是 
T85n2768_001:0332b17	問疾之人。所以返問維摩者。而上維摩言從	問 疾 之 人 所 以 返 問 維 摩 者 而 上 維 摩 言 從 
T85n2768_001:0332b18	眾生有癡愛根感於我故則病生。是為無病	眾 生 有 癡 愛 根 感 於 我 故 則 病 生 是 為 無 病 
T85n2768_001:0332b19	而現病。善達於病原。故返問也。說身無常以	而 現 病 善 達 於 病 原 故 返 問 也 說 身 無 常 以 
T85n2768_001:0332b20	下教菩薩慰喻之方。觀望此中教慰喻唯性	下 教 菩 薩 慰 喻 之 方 觀 望 此 中 教 慰 喻 唯 性 
T85n2768_001:0332b21	地以上。何以知然下。經文言當識宿世無數	地 以 上 何 以 知 然 下 經 文 言 當 識 宿 世 無 數 
T85n2768_001:0332b22	劫苦果。當識苦有限者。明知不退菩薩知其	劫 苦 果 當 識 苦 有 限 者 明 知 不退菩薩 知 其 
T85n2768_001:0332b23	有限也。若論習種性者。猶是其退。其苦無	有 限 也 若 論 習 種 性 者 猶 是 其 退 其 苦 無 
T85n2768_001:0332b24	邊。何能識苦有邊也。說身無常以下四句。皆	邊 何 能 識 苦 有 邊 也 說 身 無 常 以 下 四 句 皆 
T85n2768_001:0332b25	教彼菩薩作中道之觀。不同凡夫聲聞也。說	教 彼 菩 薩 作 中 道 之 觀 不 同 凡 夫 聲 聞 也 說 
T85n2768_001:0332b26	悔先罪而不說入於過者。明先作其罪感於	悔 先 罪 而 不 說 入 於 過 者 明 先 作 其 罪 感 於 
T85n2768_001:0332b27	當果。果未現故。言悔先罪。而不說入過去	當 果 果 未 現 故 言 悔 先 罪 而 不 說 入 過 去 
T85n2768_001:0332b28	者。明過去已滅非今猶在而悔滅也。當識無	者 明 過 去 已 滅 非 今 猶 在 而 悔 滅 也 當 識 無 
T85n2768_001:0332b29	數劫苦愍於彼病者。明教實病菩薩愍一切	數 劫 苦 愍 於 彼 病 者 明 教 實 病 菩 薩 愍 一 切 
T85n2768_001:0332c01	眾生煩惱之病也。當識無數劫苦者。識苦有	眾 生 煩 惱 之 病 也 當 識 無 數 劫 苦 者 識 苦 有 
T85n2768_001:0332c02	限以化眾生也。文言云何調伏其心以下。明	限 以 化 眾 生 也 文 言 云 何 調 伏 其 心 以 下 明 
T85n2768_001:0332c03	教習種菩薩作調伏之觀。猶是慰喻之人。但	教 習 種 菩 薩 作 調 伏 之 觀 猶 是 慰 喻 之 人 但 
T85n2768_001:0332c04	始者為慰喻轉明為調伏也。就此中大略有	始 者 為 慰 喻 轉 明 為 調 伏 也 就 此 中 大 略 有 
T85n2768_001:0332c05	二。從初盡不取證也。明自行調伏。第二從設	二 從 初 盡 不 取 證 也 明 自 行 調 伏 第 二 從 設 
T85n2768_001:0332c06	身有苦以下。明外化調伏就初段中有三。從	身 有 苦 以 下 明 外 化 調 伏 就 初 段 中 有 三 從 
T85n2768_001:0332c07	初盡不言我滅當起法相。第一明眾生空。第	初 盡 不 言 我 滅 當 起 法 相 第 一 明 眾 生 空 第 
T85n2768_001:0332c08	二從為滅法相應作是念以下盡得是平等。	二 從 為 滅 法 相 應 作 是 念 以 下 盡 得 是 平 等 
T85n2768_001:0332c09	明法空。第三從無餘病以下。明去相善亦除	明 法 空 第 三 從 無 餘 病 以 下 明 去 相 善 亦 除 
T85n2768_001:0332c10	空智也。就前眾生空中有二義。一從過去煩	空 智 也 就 前 眾 生 空 中 有 二 義 一 從 過 去 煩 
T85n2768_001:0332c11	惱得身。初至身亦無我是。第二從又此病起	惱 得 身 初 至 身 亦 無 我 是 第 二 從 又 此 病 起 
T85n2768_001:0332c12	以下。明現在起我之惑復得未來之身應當	以 下 明 現 在 起 我 之 惑 復 得 未 來 之 身 應 當 
T85n2768_001:0332c13	斷也。又一家解。就調伏有二。從初盡不言我	斷 也 又 一 家 解 就 調 伏 有 二 從 初 盡 不 言 我 
T85n2768_001:0332c14	滅。亦明眾生空。現在過去二義感果亦同。但	滅 亦 明 眾 生 空 現 在 過 去 二 義 感 果 亦 同 但 
T85n2768_001:0332c15	此中破即離我異。從初至當起法相。破離陰	此 中 破 即 離 我 異 從 初 至 當 起 法 相 破 離 陰 
T85n2768_001:0332c16	我。應作是念以下。明去即陰我。何以知之。起	我 應 作 是 念 以 下 明 去 即 陰 我 何 以 知 之 起 
T85n2768_001:0332c17	唯五陰滅唯五陰。是生滅法。有何我也。各不	唯 五 陰 滅 唯 五 陰 是 生 滅 法 有 何 我 也 各 不 
T85n2768_001:0332c18	相知以下。猶是破即陰我。但以各不相知為	相 知 以 下 猶 是 破 即 陰 我 但 以 各 不 相 知 為 
T85n2768_001:0332c19	異。為滅法相以下。破法空中患人常解得眾	異 為 滅 法 相 以 下 破 法 空 中 患 人 常 解 得 眾 
T85n2768_001:0332c20	生空去我不盡。復觀法遣之。名為法空。此亦	生 空 去 我 不 盡 復 觀 法 遣 之 名 為 法 空 此 亦 
T85n2768_001:0332c21	可爾。又時人解計五陰法為決定神我。亦是	可 爾 又 時 人 解 計 五 陰 法 為 決 定 神 我 亦 是 
T85n2768_001:0332c22	顛倒。今觀此法作空去法上或心故言法空。	顛 倒 今 觀 此 法 作 空 去 法 上 或 心 故 言 法 空 
T85n2768_001:0332c23	非謂去眾生我。不盡復觀法遣之名為法空。	非 謂 去 眾 生 我 不 盡 復 觀 法 遣 之 名 為 法 空 
T85n2768_001:0332c24	離我所者。正應明我所空。所以言我空者。要	離 我 所 者 正 應 明 我 所 空 所 以 言 我 空 者 要 
T85n2768_001:0332c25	得法空我患。斯盡是故明也。謂離二法者。非	得 法 空 我 患 斯 盡 是 故 明 也 謂 離 二 法 者 非 
T85n2768_001:0332c26	我之與所二法。橫計神我及出世涅槃此為	我 之 與 所 二 法 橫 計 神 我 及 出 世 涅 槃 此 為 
T85n2768_001:0332c27	二法。如此二法無決定性。所以空也。不念	二 法 如 此 二 法 無 決 定 性 所 以 空 也 不 念 
T85n2768_001:0332c28	內外者。三界身為內。出世涅槃為外。但以名	內 外 者 三 界 身 為 內 出 世 涅 槃 為 外 但 以 名 
T85n2768_001:0332c29	字者。但有計實之名字。推體無真實。故言空。	字 者 但 有 計 實 之 名 字 推 體 無 真 實 故 言 空 
T85n2768_001:0333a01	有此言也。無有餘病者。計法空患是眾生之	有 此 言 也 無 有 餘 病 者 計 法 空 患 是 眾 生 之 
T85n2768_001:0333a02	餘。今此二患俱亡故故言無餘也。唯有空病	餘 今 此 二 患 俱 亡 故 故 言 無 餘 也 唯 有 空 病 
T85n2768_001:0333a03	空病亦空者。空能生病。名空為病。此病亦空	空 病 亦 空 者 空 能 生 病 名 空 為 病 此 病 亦 空 
T85n2768_001:0333a04	故言空病亦空。又解。計空之心為空病。所緣	故 言 空 病 亦 空 又 解 計 空 之 心 為 空 病 所 緣 
T85n2768_001:0333a05	之空亦是空。病此空亦空也。以無所愛者。依	之 空 亦 是 空 病 此 空 亦 空 也 以 無 所 愛 者 依 
T85n2768_001:0333a06	前科判此猶在自行中。依於後解自此以下	前 科 判 此 猶 在 自 行 中 依 於 後 解 自 此 以 下 
T85n2768_001:0333a07	盡菩薩之謂。明調伏菩薩教彼外化調伏於	盡 菩 薩 之 謂 明 調 伏 菩 薩 教 彼 外 化 調 伏 於 
T85n2768_001:0333a08	後也。以無所受者。明得三種空故言無所受。	後 也 以 無 所 受 者 明 得 三 種 空 故 言 無 所 受 
T85n2768_001:0333a09	而受諸受者。明有中施化。所以爾者。明此菩	而 受 諸 受 者 明 有 中 施 化 所 以 爾 者 明 此 菩 
T85n2768_001:0333a10	薩未具佛法。必索空解乃能成就萬行。不如	薩 未 具 佛 法 必 索 空 解 乃 能 成 就 萬 行 不 如 
T85n2768_001:0333a11	聲聞宜取滅度證。設身有苦者。教實菩薩化	聲 聞 宜 取 滅 度 證 設 身 有 苦 者 教 實 菩 薩 化 
T85n2768_001:0333a12	前眾生。設身有苦亦悲愍眾生。我自除病亦	前 眾 生 設 身 有 苦 亦 悲 愍 眾 生 我 自 除 病 亦 
T85n2768_001:0333a13	除眾生也。但除其病者。除眾生惑心。而不除	除 眾 生 也 但 除 其 病 者 除 眾 生 惑 心 而 不 除 
T85n2768_001:0333a14	法者。本來我無其惑心。下實法可除。我心為	法 者 本 來 我 無 其 惑 心 下 實 法 可 除 我 心 為 
T85n2768_001:0333a15	病本。有我心故能為攀緣。謂之三界者。明攀	病 本 有 我 心 故 能 為 攀 緣 謂 之 三 界 者 明 攀 
T85n2768_001:0333a16	緣之心亦在三界外。但三界喜心起故謂之三	緣 之 心 亦 在 三 界 外 但 三 界 喜 心 起 故 謂 之 三 
T85n2768_001:0333a17	界也。三界內起為內見。計神我如來出三界	界 也 三 界 內 起 為 內 見 計 神 我 如 來 出 三 界 
T85n2768_001:0333a18	者為外見。此二體空故言無所得也。為斷老	者 為 外 見 此 二 體 空 故 言 無 所 得 也 為 斷 老 
T85n2768_001:0333a19	病者。為教眾生令斷老病。自亦能斷。是菩提	病 者 為 教 眾 生 令 斷 老 病 自 亦 能 斷 是 菩 提 
T85n2768_001:0333a20	者。亦可。是前所化菩薩菩提。亦可。由教化眾	者 亦 可 是 前 所 化 菩 薩 菩 提 亦 可 由 教 化 眾 
T85n2768_001:0333a21	生功來歸亡。是化主菩提。若不能化物。但自	生 功 來 歸 亡 是 化 主 菩 提 若 不 能 化 物 但 自 
T85n2768_001:0333a22	為己修治功德。為無惠利於眾生。亦無功來	為 己 修 治 功 德 為 無 惠 利 於 眾 生 亦 無 功 來 
T85n2768_001:0333a23	鍾已。勝怨者。自患能除復除他患。乃名為勇。	鍾 已 勝 怨 者 自 患 能 除 復 除 他 患 乃 名 為 勇 
T85n2768_001:0333a24	菩薩亦爾。自除老死亦為眾生也。復作是念	菩 薩 亦 爾 自 除 老 死 亦 為 眾 生 也 復 作 是 念 
T85n2768_001:0333a25	以下。上來總明生法二空。此中明相善亦	以 下 上 來 總 明 生 法 二 空 此 中 明 相 善 亦 
T85n2768_001:0333a26	除。猶是外化調伏中事。如我此病非實非有	除 猶 是 外 化 調 伏 中 事 如 我 此 病 非 實 非 有 
T85n2768_001:0333a27	者。明調伏菩薩病體空非真非有。眾生病亦	者 明 調 伏 菩 薩 病 體 空 非 真 非 有 眾 生 病 亦 
T85n2768_001:0333a28	非真非有者。所化眾生病體亦空。即應捨離	非 真 非 有 者 所 化 眾 生 病 體 亦 空 即 應 捨 離 
T85n2768_001:0333a29	者。明著之善應捨離也。所以者何者。所以捨	者 明 著 之 善 應 捨 離 也 所以者何 者 所 以 捨 
T85n2768_001:0333b01	愛見悲者何。斷客塵煩惱者。有二義。一明愛	愛 見 悲 者 何 斷 客塵煩惱 者 有 二 義 一 明 愛 
T85n2768_001:0333b02	見悲從客塵而生。二明愛見能生煩惱。有此	見 悲 從 客 塵 而 生 二 明 愛 見 能 生 煩 惱 有 此 
T85n2768_001:0333b03	二義。愛見悲即是客塵煩惱。是以應捨愛見	二 義 愛 見 悲 即 是 客塵煩惱 是 以 應 捨 愛 見 
T85n2768_001:0333b04	悲也。亦可。所以應捨愛見悲者何。菩薩斷	悲 也 亦 可 所 以 應 捨 愛 見 悲 者 何 菩 薩 斷 
T85n2768_001:0333b05	客煩惱時。欲起無相大悲故言而起大悲也。	客 煩 惱 時 欲 起 無 相 大 悲 故 言 而 起 大 悲 也 
T85n2768_001:0333b06	下釋愛見有疲厭也。無相厭無相厭故則處處	下 釋 愛 見 有 疲 厭 也 無 相 厭 無 相 厭 故 則 處 處 
T85n2768_001:0333b07	無帶。故言不為覆也。文言何謂縛何謂解者。	無 帶 故 言 不 為 覆 也 文 言 何 謂 縛 何 謂 解 者 
T85n2768_001:0333b08	含有多義。一意正是愛見不解。於空有中生	含 有 多 義 一 意 正 是 愛 見 不 解 於 空 有 中 生 
