X25n0506_001:0858b11	 金剛般若波羅蜜經注	 金 剛 般若波羅蜜經 注 
X25n0506_001:0860c21	陀洹名為入流。(須陀洹應如是住)而無所入。不入色聲香味	陀 洹 名 為 入 流 須 陀 洹 應 如 是 住 而 無 所 入 不 入 色 聲 香 味 
X25n0506_001:0860c22	觸法。(須陀洹應如是降伏)是名須陀洹。(所謂須陀洹法。即非須陀洹法。下文斯陀含也。	觸 法 須 陀 洹 應 如 是 降 伏 是 名 須 陀 洹 所 謂 須 陀 洹 法 即 非 須 陀 洹 法 下 文 斯 陀 含 也 
X25n0506_001:0860c23	阿那含也。均依此說之不具說也)須菩提。於意云何。斯陀含能作是	阿 那 含 也 均 依 此 說 之 不 具 說 也 須 菩 提 於意云何 斯 陀 含 能 作 是 
X25n0506_001:0860c24	念。我得斯陀含果不。須菩提言。不也世尊。何以故。斯	念 我 得 斯陀含果 不 須 菩 提 言 不 也 世 尊 何 以 故 斯 
X25n0506_001:0861a01	陀含名一往來。而實無往來。是名斯陀含。須菩提。於	陀 含 名 一 往 來 而 實 無 往 來 是 名 斯 陀 含 須 菩 提 於 
X25n0506_001:0861a02	意云何。那阿含能作是念。我得阿那含果不。須菩提	意 云 何 那 阿 含 能 作 是 念 我 得 阿那含果 不 須 菩 提 
X25n0506_001:0861a03	言。不也世尊。何以故。阿那含名為不來。而實無不來。	言 不 也 世 尊 何 以 故 阿 那 含 名 為 不 來 而 實 無 不 來 
X25n0506_001:0861a04	是名阿那含。須菩提。於意云何。阿羅漢能作是念。我	是 名 阿 那 含 須 菩 提 於意云何 阿 羅 漢 能 作 是 念 我 
X25n0506_001:0861a05	得阿羅漢道不。須菩提言。不也世尊。何以故。實無有	得阿羅漢 道 不 須 菩 提 言 不 也 世 尊 何 以 故 實 無 有 
X25n0506_001:0861a06	法名阿羅漢。(與上文互相備。實無有法。名阿羅漢。則亦實我有法名須陀洹斯陀含阿那含	法 名 阿 羅 漢 與 上 文 互 相 備 實 無 有 法 名 阿 羅 漢 則 亦 實 我 有 法 名 須陀洹斯陀含 阿 那 含 
X25n0506_001:0861a07	也)世尊。若阿羅漢作是念。我得阿羅漢道。即為著我	也 世 尊 若 阿 羅 漢 作 是 念 我 得阿羅漢 道 即 為 著 我 
X25n0506_001:0861a08	人眾生壽者。(阿那含以下亦然)世尊。佛說我得無諍三昧。人	人 眾 生 壽 者 阿 那 含 以 下 亦 然 世 尊 佛 說 我 得 無諍三昧 人 
X25n0506_001:0861a09	中最為第一。是第一離欲阿羅漢。我不作是念。我是	中 最 為 第 一 是 第 一 離 欲 阿 羅 漢 我 不 作 是 念 我 是 
X25n0506_001:0861a10	離欲阿羅漢。世尊。我若作是念我得阿羅漢道。世尊	離 欲 阿 羅 漢 世 尊 我 若 作 是 念 我 得阿羅漢 道 世 尊 
X25n0506_001:0861a11	則不說須菩提是樂阿蘭那行者。以須菩提實無所	則 不 說 須 菩 提 是 樂 阿 蘭 那 行 者 以 須 菩 提 實 無 所 
X25n0506_001:0861a12	行。而名須菩提是樂阿蘭那行。(此須菩提自明以無為法之義也)佛	行 而 名 須 菩 提 是 樂 阿 蘭 那 行 此 須 菩 提 自 明 以 無 為 法 之 義 也 佛 
X25n0506_001:0861a13	告須菩提。於意云何。如來昔在然燈佛所。於法有所	告 須 菩 提 於意云何 如 來 昔 在 然 燈 佛 所 於 法 有 所 
X25n0506_001:0861a14	得不。不也世尊。如來在然燈佛所。於法實無所得。(此又	得 不 不 也 世 尊 如 來 在 然 燈 佛 所 於 法 實 無 所 得 此 又 
X25n0506_001:0861a15	佛自以意啟發須菩提明以無為法之義。蓋自須陀洹至於佛。雖有差別。而同一以無為法也)須菩	佛 自 以 意 啟 發 須 菩 提 明 以 無 為 法 之 義 蓋 自 須 陀 洹 至 於 佛 雖 有 差 別 而 同 一 以 無 為 法 也 須 菩 
X25n0506_001:0861a16	提。於意云何。菩薩莊嚴佛土不。不也世尊。何以故。莊	提 於意云何 菩 薩 莊 嚴 佛 土 不 不 也 世 尊 何 以 故 莊 
X25n0506_001:0861a17	嚴佛土者。即非莊嚴。是名莊嚴。(苟知不莊嚴之為莊嚴。乃真莊嚴矣。言此	嚴 佛 土 者 即 非 莊 嚴 是 名 莊 嚴 苟 知 不 莊 嚴 之 為 莊 嚴 乃 真 莊 嚴 矣 言 此 
X25n0506_001:0861a18	以起下文清淨之意)是故須菩提。諸菩薩摩訶薩。應如是生清	以 起 下 文 清 淨 之 意 是 故 須 菩 提 諸 菩薩摩訶薩 應 如 是 生 清 
X25n0506_001:0861a19	淨心。(清淨者無之盡也)不應住色生心。不應住聲香味觸法	淨 心 清 淨 者 無 之 盡 也 不 應 住 色 生 心 不 應 住 聲香味觸 法 
X25n0506_001:0861a20	生心。應無所住而生其心(無則有矣)(右第五節)。	生 心 應 無 所 住 而 生 其 心 無 則 有 矣 右 第 五 節 
X25n0506_001:0861a21	此承上文法尚應捨。而進言之。見非獨應捨。且	此 承 上 文 法 尚 應 捨 而 進 言 之 見 非 獨 應 捨 且 
X25n0506_001:0861a22	亦無法。自須陀洹。以至成佛。皆是佛法。皆非佛	亦 無 法 自 須 陀 洹 以 至 成 佛 皆 是 佛 法 皆 非 佛 
X25n0506_001:0861a23	法。葢同一以無為法也。無之至則清淨矣。清淨	法 葢 同 一 以 無 為 法 也 無 之 至 則 清 淨 矣 清 淨 
X25n0506_001:0861a24	之至則湛然無物。而天下之理。皆從此出。是謂	之 至 則 湛 然 無 物 而 天 下 之 理 皆 從 此 出 是 謂 
X25n0506_001:0861b01	無所住而生其心。苟有所住。即不能生其心矣。	無 所 住 而 生 其 心 苟 有 所 住 即 不 能 生 其 心 矣 
X25n0506_001:0861b02	故即住而即降伏之要。在於無所住而生其心。	故 即 住 而 即 降 伏 之 要 在 於 無 所 住 而 生 其 心 
X25n0506_001:0861b03	然後可以成佛。然後可以滅度一切眾生。佛告	然 後 可 以 成 佛 然 後 可 以 滅 度 一 切 眾 生 佛 告 
X25n0506_001:0861b04	須菩提之大旨。略盡於此矣。	須 菩 提 之 大 旨 略 盡 於 此 矣 
X25n0506_001:0861b05	須菩提。譬如有人身如須彌山王。於意云何。是身為	須 菩 提 譬 如 有 人 身 如須彌山 王 於意云何 是 身 為 
X25n0506_001:0861b06	大不。須菩提言。甚大世尊。何以故。佛說非身。是名大	大 不 須 菩 提 言 甚 大 世 尊 何 以 故 佛 說 非 身 是 名 大 
X25n0506_001:0861b07	身(泥乎身而言。則雖[邱丘+(〦/中/文)]瞞巨無霸。不足為大也。身如須彌山王。則非身矣。故名大身也。此設喻以起下之無	身 泥 乎 身 而 言 則 雖 [邱丘〦中文] 瞞 巨 無 霸 不 足 為 大 也 身 如須彌山 王 則 非 身 矣 故 名 大 身 也 此 設 喻 以 起 下 之 無 
X25n0506_001:0861b08	深義)。	深 義 
X25n0506_001:0861b09	須菩提。如恒河中所有沙數。如是沙等恒河。於意	須 菩 提 如 恒 河 中 所 有 沙 數 如 是 沙 等 恒 河 於 意 
X25n0506_001:0861b10	云何。是諸恒河沙。寧為多不。須菩提言。甚多世尊。	云 何 是 諸 恒 河 沙 寧 為 多 不 須 菩 提 言 甚 多 世 尊 
X25n0506_001:0861b11	但諸恒河。尚多無數。何況其沙。須菩提。我今實言	但 諸 恒 河 尚 多 無 數 何 況 其 沙 須 菩 提 我 今 實 言 
X25n0506_001:0861b12	告汝。若有善男子善女人。以七寶滿爾所恒河沙	告 汝 若 有 善 男 子 善 女 人 以 七 寶 滿 爾 所 恒 河 沙 
X25n0506_001:0861b13	數三千大千世界。以用布施。得福多不。須菩提言。	數 三千大千世界 以用布施 得 福 多 不 須 菩 提 言 
X25n0506_001:0861b14	甚多世尊。佛告須菩提。若善男子善女人。於此經	甚 多 世 尊 佛 告 須 菩 提 若 善 男 子 善 女 人 於 此 經 
X25n0506_001:0861b15	中乃至受持四句偈等。為他人說。而此福德勝前	中 乃 至 受 持 四 句 偈 等 為 他 人 說 而 此 福 德 勝 前 
X25n0506_001:0861b16	福德。復次須菩提。隨說是經乃至四句偈等。當知	福 德 復 次 須 菩 提 隨 說 是 經 乃 至 四 句 偈 等 當 知 
X25n0506_001:0861b17	此處。一切世間天人阿修羅。皆應供養。如佛塔廟。	此 處 一切世間 天 人 阿 修 羅 皆 應 供 養 如 佛 塔 廟 
X25n0506_001:0861b18	何況有人盡能受持讀誦。須菩提。當知是人。成就	何 況 有 人 盡 能 受持讀誦 須 菩 提 當 知 是 人 成 就 
X25n0506_001:0861b19	最上第一希有之法。若是經典所在之處。則為有	最 上 第一希有 之 法 若 是 經 典 所 在 之 處 則 為 有 
X25n0506_001:0861b20	佛。若尊重弟子。爾時須菩提白佛言。世尊。當何名	佛 若 尊重弟子 爾 時 須 菩 提 白 佛 言 世 尊 當 何 名 
X25n0506_001:0861b21	此經。我等云何奉持。佛告須菩提。是經名為金剛	此 經 我 等 云 何 奉 持 佛 告 須 菩 提 是 經 名 為 金 剛 
X25n0506_001:0861b22	般若波羅蜜。以是名字。汝當奉持。	般 若 波 羅 蜜 以 是 名 字 汝 當 奉 持 
X25n0506_001:0861b23	所以者何。佛說般若波羅蜜。即非般若波羅蜜。(非法是法。	所以者何 佛 說 般 若 波 羅 蜜 即 非 般 若 波 羅 蜜 非 法 是 法 
X25n0506_001:0861b24	亦猶非身是身也。自此以下。皆申明佛法之非佛法)須菩提。於意云何。如來有	亦 猶 非 身 是 身 也 自 此 以 下 皆 申 明 佛 法 之 非 佛 法 須 菩 提 於意云何 如 來 有 
X25n0506_001:0861c01	所說法不。須菩提白佛言。世尊。如來無所說。(以離乎法為法。	所 說 法 不 須 菩 提 白 佛 言 世 尊 如 來 無 所 說 以 離 乎 法 為 法 
X25n0506_001:0861c02	則不得泥乎法以為說也)須菩提。於意云何。三千大千世界所有	則 不 得 泥 乎 法 以 為 說 也 須 菩 提 於意云何 三千大千世界 所 有 
X25n0506_001:0861c03	微塵。是為多不。須菩提言。甚多世尊。須菩提。諸微塵	微 塵 是 為 多 不 須 菩 提 言 甚 多 世 尊 須 菩 提 諸 微 塵 
X25n0506_001:0861c04	如來說非微塵。是名微塵。如來說世界非世界。是名	如 來 說 非 微 塵 是 名 微 塵 如 來 說 世 界 非 世 界 是 名 
X25n0506_001:0861c05	世界。(微塵至小也。世界至大也。然執小以為小。不足為小也。執大以為大。不足為小也。執大以為大。不足為大也。然則微塵非小。世	世 界 微 塵 至 小 也 世 界 至 大 也 然 執 小 以 為 小 不 足 為 小 也 執 大 以 為 大 不 足 為 小 也 執 大 以 為 大 不 足 為 大 也 然 則 微 塵 非 小 世 
X25n0506_001:0861c06	界乃小耳。是故非微塵名微塵。世界非大。微塵乃大耳。是故非世界名世界)須菩提。於意	界 乃 小 耳 是 故 非 微 塵 名 微 塵 世 界 非 大 微 塵 乃 大 耳 是 故 非 世 界 名 世 界 須 菩 提 於 意 
X25n0506_001:0861c07	云何。可以三十二相。見如來不。不也世尊。不可以三	云 何 可 以 三十二相 見 如 來 不 不 也 世 尊 不 可 以 三 
X25n0506_001:0861c08	十二相得見如來。何以故。如來說三十二相。即是非	十 二 相 得 見 如 來 何 以 故 如 來 說 三十二相 即 是 非 
X25n0506_001:0861c09	相。(色即是空)是名三十二相(空即是色)。	相 色 即 是 空 是 名 三十二相 空 即 是 色 
X25n0506_001:0861c10	須菩提。若有善男子善女人以恒河沙等身命布	須 菩 提 若 有 善 男 子 善 女 人 以 恒 河 沙 等 身 命 布 
X25n0506_001:0861c11	施。若復有人。於此經中。乃至受持四句偈等。為他	施 若 復 有 人 於 此 經 中 乃 至 受 持 四 句 偈 等 為 他 
X25n0506_001:0861c12	人說。其福甚多。爾時須菩提。聞說是經。深解義趣。	人 說 其 福 甚 多 爾 時 須 菩 提 聞 說 是 經 深 解 義 趣 
X25n0506_001:0861c13	涕淚悲泣。而白佛言。希有世尊。佛說如是甚深經	涕 淚 悲 泣 而 白 佛 言 希 有 世 尊 佛 說 如 是 甚 深 經 
X25n0506_001:0861c14	典。我從昔來所得慧眼。未曾得聞如是之經。世尊。	典 我 從 昔 來 所 得 慧 眼 未 曾 得 聞 如 是 之 經 世 尊 
X25n0506_001:0861c15	若復有人。得聞是經。	若 復 有 人 得 聞 是 經 
X25n0506_001:0861c16	信心清淨。則生實相(信心清淨空也。則生實相者。空即是色也)。	信 心 清 淨 則 生 實 相 信 心 清 淨 空 也 則 生 實 相 者 空 即 是 色 也 
X25n0506_001:0861c17	當知是人成就第一希有功德。	當 知 是 人 成 就 第一希有 功 德 
X25n0506_001:0861c18	世尊。是實相者即是非相。是故如來說名實相(虗靈不昧	世 尊 是 實 相 者 即 是 非 相 是 故 如 來 說 名 實 相 虗 靈 不 昧 
X25n0506_001:0861c19	之本體。非幻相也)。	之 本 體 非 幻 相 也 
X25n0506_001:0861c20	世尊。我今得聞如是經典。信解受持。不足為難。若	世 尊 我 今 得 聞 如 是 經 典 信 解 受 持 不 足 為 難 若 
X25n0506_001:0861c21	當來世。後五百歲。其有眾生。得聞是經。信解受持。	當 來 世 後 五 百 歲 其 有 眾 生 得 聞 是 經 信 解 受 持 
X25n0506_001:0861c22	是人則為第一希有。	是 人 則 為 第一希有 
X25n0506_001:0861c23	何以故。此人(二字衍)無我相人相眾生相壽者相。所以	何 以 故 此 人 二 字 衍 無 我 相 人 相 眾 生 相 壽 者 相 所 以 
X25n0506_001:0861c24	者何。我相即是非相。人相眾生相壽者相即是非相。	者 何 我 相 即 是 非 相 人 相 眾 生 相 壽 者 相 即 是 非 相 
X25n0506_001:0862a01	何以故。離一切諸相。則名諸佛。(世界也微塵也。以至佛之三十二相。皆未	何 以 故 離 一 切 諸 相 則 名 諸 佛 世 界 也 微 塵 也 以 至 佛 之 三十二相 皆 未 
X25n0506_001:0862a02	離乎相者也。皆非實相也。自大身一喻之後。皆發明此意。而以離一切相為歸宿)佛告須菩	離 乎 相 者 也 皆 非 實 相 也 自 大 身 一 喻 之 後 皆 發 明 此 意 而 以 離一切相 為 歸 宿 佛 告 須 菩 
X25n0506_001:0862a03	提。如是如是。	提 如是如是 
X25n0506_001:0862a04	若復有人得聞是經。不驚不怖不畏。當知是人甚	若 復 有 人 得 聞 是 經 不驚不怖 不 畏 當 知 是 人 甚 
X25n0506_001:0862a05	為希有。	為 希 有 
X25n0506_001:0862a06	何以故。如來說第一波羅蜜。即非第一波羅蜜。(非法)是	何 以 故 如 來 說 第 一 波 羅 蜜 即 非 第 一 波 羅 蜜 非 法 是 
X25n0506_001:0862a07	名第一波羅蜜。(非非法)須菩提。忍辱波羅蜜。如來說非	名 第 一 波 羅 蜜 非 非 法 須 菩 提 忍 辱 波 羅 蜜 如 來 說 非 
X25n0506_001:0862a08	忍辱波羅蜜。(因第一波羅蜜無可說故。以忍辱波羅蜜言之。以淺見深)何以故。須	忍 辱 波 羅 蜜 因 第 一 波 羅 蜜 無 可 說 故 以 忍 辱 波 羅 蜜 言 之 以 淺 見 深 何 以 故 須 
X25n0506_001:0862a09	菩提。如我昔為歌利王割截身體。我於爾時。無我相。	菩 提 如 我 昔 為 歌 利 王 割 截 身 體 我 於 爾 時 無 我 相 
X25n0506_001:0862a10	無人相。無眾生相。無壽者相。何以故。我於往昔節節	無 人 相 無 眾 生 相 無 壽 者 相 何 以 故 我 於 往 昔 節 節 
X25n0506_001:0862a11	支解時。若有我相人相眾生相壽者相。應生嗔恨。須	支 解 時 若 有 我 相 人 相 眾 生 相 壽 者 相 應 生 嗔 恨 須 
X25n0506_001:0862a12	菩提。又念過去。於五百世。作忍辱仙人。於爾所世。無	菩 提 又 念 過 去 於 五 百 世 作 忍 辱 仙 人 於 爾 所 世 無 
X25n0506_001:0862a13	我相。無人相。無眾生相。無壽者相。(就忍辱波羅蜜。證以此二事。明離相	我 相 無 人 相 無 眾 生 相 無 壽 者 相 就 忍 辱 波 羅 蜜 證 以 此 二 事 明 離 相 
X25n0506_001:0862a14	之功)是故須菩提。菩薩應離一切相。發阿耨多羅三藐	之 功 是 故 須 菩 提 菩 薩 應 離一切相 發 阿 耨 多 羅 三 藐 
X25n0506_001:0862a15	三菩提心。不應住色生心。不應住聲香味觸法生心。	三 菩 提 心 不 應 住 色 生 心 不 應 住 聲香味觸 法 生 心 
X25n0506_001:0862a16	應生無所住心(上言應無所住而生其心。由住而生也。此言應生無所住心。住即是生矣)	應 生 無 所 住 心 上 言 應 無 所 住 而 生 其 心 由 住 而 生 也 此 言 應 生 無 所 住 心 住 即 是 生 矣 
X25n0506_001:0862a17	(右第六節)。	 右 第 六 節 
X25n0506_001:0862a18	前因不住於相。而極言之。至於以無為法。所謂	前 因 不 住 於 相 而 極 言 之 至 於 以 無 為 法 所 謂 
X25n0506_001:0862a19	佛法皆非佛法。此又因佛法非法。而極言之。至	佛 法 皆 非 佛 法 此 又 因 佛 法 非 法 而 極 言 之 至 
X25n0506_001:0862a20	於離一切相。仍歸之於不住於相。迴環相生。總	於 離一切相 仍 歸 之 於 不 住 於 相 迴 環 相 生 總 
X25n0506_001:0862a21	見法相皆空。乃降伏之極功也。	見 法 相 皆 空 乃 降 伏 之 極 功 也 
X25n0506_001:0862a22	若心有住。則為非住。(佛以不住為住故。即住即降伏也。自此以下。皆約舉前文。以總	若 心 有 住 則 為 非 住 佛 以 不 住 為 住 故 即 住 即 降 伏 也 自 此 以 下 皆 約 舉 前 文 以 總 
X25n0506_001:0862a23	詰上篇)是故佛說菩薩心。不應住色生心。(不言聲香味觸法者。省文	詰 上 篇 是 故 佛 說 菩 薩 心 不 應 住 色 生 心 不 言 聲香味觸 法 者 省 文 
X25n0506_001:0862a24	也。俗解以為舉重而言非也)須菩提。菩薩為利益一切眾生。應如	也 俗 解 以 為 舉 重 而 言 非 也 須 菩 提 菩 薩 為 利 益 一 切 眾 生 應 如 
X25n0506_001:0862b01	是布施。如來說一切諸相。即是非相。(色非色)又說一切	是 布 施 如 來 說 一 切 諸 相 即 是 非 相 色 非 色 又 說 一 切 
X25n0506_001:0862b02	眾生。即非眾生。(形非形)須菩提。如來是真語者。實語者。	眾 生 即 非 眾 生 形 非 形 須 菩 提 如 來 是 真 語 者 實 語 者 
X25n0506_001:0862b03	如語者。不誑語者。不異語者。(如語即真語。實語亦即不誑語不異語。如其真	如 語 者 不 誑 語 者 不 異 語 者 如 語 即 真 語 實 語 亦 即 不 誑 語 不 異 語 如 其 真 
X25n0506_001:0862b04	如其實故。不誑不異也。佛以此告須菩提。明其言之可信。而真語實語。不誑不異。無非如語而已矣。如其義而	如 其 實 故 不 誑 不 異 也 佛 以 此 告 須 菩 提 明 其 言 之 可 信 而 真 語 實 語 不 誑 不 異 無 非 如 語 而 已 矣 如 其 義 而 
X25n0506_001:0862b05	語。有語亦無語也)須菩提。如來所得法。此法無實無虗。(無實者非	語 有 語 亦 無 語 也 須 菩 提 如 來 所 得 法 此 法 無 實 無 虗 無 實 者 非 
X25n0506_001:0862b06	法也。無虗者非非法也上言如來於法無所得。明無實也。此言如來所得法。明無虗也無實者降伏之功。無虗	法 也 無 虗 者 非 非 法 也 上 言 如 來 於 法 無 所 得 明 無 實 也 此 言 如 來 所 得 法 明 無 虗 也 無 實 者 降 伏 之 功 無 虗 
X25n0506_001:0862b07	者住之效。惟如來於法無所得。故為如來所得法。葢不住固不足以言降伏。而不降伏亦不足以住也。故曰。佛	者 住 之 效 惟 如 來 於 法 無 所 得 故 為 如 來 所 得 法 葢 不 住 固 不 足 以 言 降 伏 而 不 降 伏 亦 不 足 以 住 也 故 曰 佛 
X25n0506_001:0862b08	說般若波羅蜜。即非般若波羅蜜。即住即降伏。是為非法非非法。即為無實無虗。金剛經大旨盡此矣)須	說 般 若 波 羅 蜜 即 非 般 若 波 羅 蜜 即 住 即 降 伏 是 為 非 法 非 非 法 即 為 無 實 無 虗 金 剛 經 大 旨 盡 此 矣 須 
X25n0506_001:0862b09	菩提。若菩薩心住於法。而行布施。如人入闇。則無所	菩 提 若 菩 薩 心 住 於 法 而 行 布 施 如 人 入 闇 則 無 所 
X25n0506_001:0862b10	見。若菩薩心不住法。而行布施。如人有目。日光明照。	見 若 菩 薩 心 不 住 法 而 行 布 施 如 人 有 目 日 光 明 照 
X25n0506_001:0862b11	見種種色(反覆申明之。上篇止此)(右第七節)。	見 種 種 色 反 覆 申 明 之 上 篇 止 此 右 第 七 節 
X25n0506_001:0862b12	須菩提。當來之世。若有善男子善女人。能於此經	須 菩 提 當來之世 若 有 善 男 子 善 女 人 能 於 此 經 
X25n0506_001:0862b13	受持讀誦。則為如來以佛智慧。悉知是人。悉見是	受持讀誦 則 為 如 來 以 佛 智 慧 悉 知 是 人 悉 見 是 
X25n0506_001:0862b14	人。皆得成就無量無邊功德。須菩提。若有善男子	人 皆 得 成 就 無量無邊 功 德 須 菩 提 若 有 善 男 子 
X25n0506_001:0862b15	善女人。初日分。以恒河沙等身布施。中日分。復以	善 女 人 初 日 分 以 恒 河 沙 等 身 布 施 中 日 分 復 以 
X25n0506_001:0862b16	恒河沙等身布施。後日分。亦以恒河沙等身布施。	恒 河 沙 等 身 布 施 後 日 分 亦 以 恒 河 沙 等 身 布 施 
X25n0506_001:0862b17	如是無量百千萬億劫。以身布施。若復有人。聞此	如 是 無量百千萬億 劫 以 身 布 施 若 復 有 人 聞 此 
X25n0506_001:0862b18	經典。信心不逆。其福勝彼。何況書寫受持讀誦。為	經 典 信 心 不 逆 其 福 勝 彼 何 況 書 寫 受持讀誦 為 
X25n0506_001:0862b19	人解說。須菩提。以要言之。是經有不可思議不可	人 解 說 須 菩 提 以要言之 是 經 有 不可思議 不 可 
X25n0506_001:0862b20	稱量無邊功德。如來為發大乘者說。為發最上乘	稱 量 無 邊 功 德 如 來 為 發 大 乘 者 說 為 發 最 上 乘 
X25n0506_001:0862b21	者說。若有人能受持讀誦。廣為人說。如來悉知是	者 說 若 有 人 能 受持讀誦 廣 為 人 說 如 來 悉 知 是 
X25n0506_001:0862b22	人。悉見是人。皆得成就不可量不可稱無有邊不	人 悉 見 是 人 皆 得 成 就 不 可 量 不 可 稱 無 有 邊 不 
X25n0506_001:0862b23	可思議功德。如是人等。則為荷擔如來阿耨多羅	可 思 議 功 德 如 是 人 等 則 為 荷 擔 如 來 阿 耨 多 羅 
X25n0506_001:0862b24	三藐三菩提。何以故。須菩提。若樂小法者。著我見	三藐三菩提 何 以 故 須 菩 提 若 樂小法者 著 我 見 
X25n0506_001:0862c01	人見眾生見壽者見。則於此經。不能聽受讀誦。為	人 見 眾 生 見 壽 者 見 則 於 此 經 不 能 聽 受 讀 誦 為 
X25n0506_001:0862c02	人解說。須菩提。在在處處。若有此經。一切世間天	人 解 說 須 菩 提 在在處處 若 有 此 經 一切世間 天 
X25n0506_001:0862c03	人阿修羅。所應供養。當知此處則為是塔。皆應恭	人 阿 修 羅 所 應 供 養 當 知 此 處 則 為 是 塔 皆 應 恭 
X25n0506_001:0862c04	敬作禮圍繞。以諸華香。而散其處。復次須菩提。善	敬 作 禮 圍 繞 以 諸 華 香 而 散 其 處 復 次 須 菩 提 善 
X25n0506_001:0862c05	男子善女人受持讀誦此經。若為人輕賤。是人先	男 子 善 女 人 受持讀誦 此 經 若 為 人 輕 賤 是 人 先 
X25n0506_001:0862c06	世罪業。應墮惡道。以今世人輕賤故。先世罪業。則	世 罪 業 應 墮 惡 道 以 今 世 人 輕 賤 故 先 世 罪 業 則 
X25n0506_001:0862c07	為消滅。當得阿耨多羅三藐三菩提。須菩提。我念	為 消 滅 當 得阿耨多羅三藐三菩提 須 菩 提 我 念 
X25n0506_001:0862c08	過去無量阿僧祇劫。於然燈佛前。得值八百四千	過 去 無量阿僧祇劫 於 然 燈 佛 前 得 值 八 百 四 千 
X25n0506_001:0862c09	萬億那由他諸佛。悉皆供養承事。無空過者。若復	萬 億 那 由 他 諸 佛 悉 皆 供 養 承 事 無 空 過 者 若 復 
X25n0506_001:0862c10	有人。於後末世。能受持讀誦此經。所得功德。於我	有 人 於 後 末 世 能 受持讀誦 此 經 所得功德 於 我 
X25n0506_001:0862c11	所供養諸佛功德。百分不及一。千萬億分。乃至算	所 供 養 諸 佛 功 德 百 分 不 及 一 千萬億分 乃 至 算 
X25n0506_001:0862c12	數譬喻所不能及。須菩提。若善男子善女人。於後	數 譬 喻 所 不 能 及 須 菩 提 若 善 男 子 善 女 人 於 後 
X25n0506_001:0862c13	末世。有受持讀誦此經。所得功德。我若具說者。或	末 世 有 受持讀誦 此 經 所得功德 我 若 具 說 者 或 
X25n0506_001:0862c14	有人聞。心則狂亂。狐疑不信。須菩提。當知是經義	有 人 聞 心 則 狂 亂 狐 疑 不 信 須 菩 提 當 知 是 經 義 
X25n0506_002:0862c19	金剛般若波羅蜜經下篇	金 剛 般若波羅蜜經 下 篇 
X25n0506_002:0862c20	曲園居士　俞樾　注	曲 園 居 士 俞 樾 注 
X25n0506_002:0862c21	爾時須菩提白佛言。世尊。善男子善女人發阿耨多	爾 時 須 菩 提 白 佛 言 世 尊 善 男 子 善 女 人 發 阿 耨 多 
X25n0506_002:0862c22	羅三藐三菩提心。云何應住。云何降伏其心。佛告須	羅 三藐三菩提 心 云 何 應 住 云 何 降 伏 其 心 佛 告 須 
X25n0506_002:0862c23	菩提。善男子善女人發阿耨多羅三藐三菩提心者。	菩 提 善 男 子 善 女 人 發 阿耨多羅三藐三菩提 心 者 
X25n0506_002:0862c24	當生如是心。我應滅度一切眾生。滅度一切眾生已。	當 生如是心 我 應 滅 度 一 切 眾 生 滅 度 一 切 眾 生 已 
X25n0506_002:0863a01	而無有一眾生實滅度者。何以故。須菩提。若菩薩有	而 無 有 一 眾 生 實 滅 度 者 何 以 故 須 菩 提 若 菩 薩 有 
X25n0506_002:0863a02	我相人相眾生相壽者相。則非菩薩。(復舉上文。以起下篇)所以	我 相 人 相 眾 生 相 壽 者 相 則 非 菩 薩 復 舉 上 文 以 起 下 篇 所 以 
X25n0506_002:0863a03	者何。須菩提。實無有法發阿耨多羅三藐三菩提心	者 何 須 菩 提 實 無 有 法 發 阿耨多羅三藐三菩提 心 
X25n0506_002:0863a04	者。(無能生有。有不能生無也)須菩提。於意云何。如來於然燈佛所。	者 無 能 生 有 有 不 能 生 無 也 須 菩 提 於意云何 如 來 於 然 燈 佛 所 
X25n0506_002:0863a05	有法得阿耨多羅三藐三菩提不。不也世尊。如我解	有 法 得阿耨多羅三藐三菩提 不 不 也 世 尊 如 我 解 
X25n0506_002:0863a06	佛所說義。佛於然燈佛所。無有法得阿耨多羅三藐	佛 所 說 義 佛 於 然 燈 佛 所 無 有 法 得 阿 耨 多 羅 三 藐 
X25n0506_002:0863a07	三菩提。佛言如是如是。須菩提。實無有法如來得阿	三 菩 提 佛 言 如是如是 須 菩 提 實 無 有 法 如 來 得 阿 
X25n0506_002:0863a08	耨多羅三藐三菩提。(塵盡則鏡明。明固鏡之本體。非有以助其明。冰釋則水流。流固	耨 多 羅 三藐三菩提 塵 盡 則 鏡 明 明 固 鏡 之 本 體 非 有 以 助 其 明 冰 釋 則 水 流 流 固 
X25n0506_002:0863a09	水之本性。非有以益其流)須菩提。若有法如來得阿耨多羅三藐	水 之 本 性 非 有 以 益 其 流 須 菩 提 若 有 法 如 來 得 阿 耨 多 羅 三 藐 
X25n0506_002:0863a10	三菩提者。然燈佛則不與我授記。汝於來世。當得作	三 菩 提 者 然 燈 佛 則 不 與 我 授 記 汝 於 來 世 當 得 作 
X25n0506_002:0863a11	佛。號釋迦牟尼。以實無有法得阿耨多羅三藐三菩	佛 號 釋 迦 牟 尼 以 實 無 有 法 得 阿 耨 多 羅 三 藐 三 菩 
X25n0506_002:0863a12	提。是故然燈佛與我授記。作是言。汝於來世。當得作	提 是 故 然 燈 佛 與 我 授 記 作 是 言 汝 於 來 世 當 得 作 
