T48n2012A_001:0379b23	斷際心要	斷 際 心 要 
T48n2012A_001:0381c07	亦不來。死時性亦不去。湛然圓寂心境一如。	亦 不 來 死 時 性 亦 不 去 湛 然 圓 寂 心 境 一 如 
T48n2012A_001:0381c08	但能如是。直下頓了。不為三世所拘繫。便是	但 能 如 是 直 下 頓 了 不 為 三 世 所 拘 繫 便 是 
T48n2012A_001:0381c09	出世人也。切不得有分毫趣向。若見善相諸	出 世 人 也 切 不 得 有 分 毫 趣 向 若 見 善 相 諸 
T48n2012A_001:0381c10	佛來迎及種種現前。亦無心隨去。若見惡相	佛 來 迎 及 種 種 現 前 亦 無 心 隨 去 若 見 惡 相 
T48n2012A_001:0381c11	種種現前。亦無心怖畏。但自忘心。同於法界。	種 種 現 前 亦 無 心 怖 畏 但 自 忘 心 同 於 法 界 
T48n2012A_001:0381c12	便得自在。此即是要節也。	便 得 自 在 此 即 是 要 節 也 
T48n2012A_001:0381c13	十月八日。師謂休曰。言化城者。二乘及十地	十 月 八 日 師 謂 休 曰 言 化 城 者 二 乘 及 十 地 
T48n2012A_001:0381c14	等覺妙覺。皆是權立接引之教。並為化城。言	等 覺 妙 覺 皆 是 權 立 接 引 之 教 並 為 化 城 言 
T48n2012A_001:0381c15	寶所者。乃真心本佛自性之寶。此寶不屬情	寶 所 者 乃 真 心 本 佛 自 性 之 寶 此 寶 不 屬 情 
T48n2012A_001:0381c16	量。不可建立。無佛無眾生。無能無所。何處有	量 不 可 建 立 無 佛 無 眾 生 無 能 無 所 何 處 有 
T48n2012A_001:0381c17	城。若問此既是化城。何處為寶所。寶所不可	城 若 問 此 既 是 化 城 何 處 為 寶 所 寶 所 不 可 
T48n2012A_001:0381c18	指。指即有方所。非真寶所也。故云在近而已。	指 指 即 有 方 所 非 真 寶 所 也 故 云 在 近 而 已 
T48n2012A_001:0381c19	不可定量言之。但當體會契之即是。言闡提	不 可 定 量 言 之 但 當 體 會 契 之 即 是 言 闡 提 
T48n2012A_001:0381c20	者。信不具也。一切六道眾生乃至二乘不信	者 信 不 具 也 一 切 六 道 眾 生 乃 至 二 乘 不 信 
T48n2012A_001:0381c21	有佛果。皆謂之斷善根闡提。菩薩者。深信有	有 佛 果 皆 謂 之 斷 善 根 闡 提 菩 薩 者 深 信 有 
T48n2012A_001:0381c22	佛法。不見有大乘小乘。佛與眾生同一法性。	佛 法 不 見 有 大 乘 小 乘 佛 與 眾 生 同 一 法 性 
T48n2012A_001:0381c23	乃謂之善根闡提。大抵因聲教而悟者。謂之	乃 謂 之 善 根 闡 提 大 抵 因 聲 教 而 悟 者 謂 之 
T48n2012A_001:0381c24	聲聞。觀因緣而悟者。謂之緣覺。若不向自心	聲 聞 觀 因 緣 而 悟 者 謂 之 緣 覺 若 不 向 自 心 
T48n2012A_001:0381c25	中悟。雖至成佛。亦謂之聲聞佛。學道人多於	中 悟 雖 至 成 佛 亦 謂 之 聲 聞 佛 學 道 人 多 於 
T48n2012A_001:0381c26	教法上悟。不於心法上悟。雖歷劫修行。終	教 法 上 悟 不 於 心 法 上 悟 雖 歷 劫 修 行 終 
T48n2012A_001:0381c27	不是本佛。若不於心悟。乃至於教法上悟。即	不 是 本 佛 若 不 於 心 悟 乃 至 於 教 法 上 悟 即 
T48n2012A_001:0381c28	輕心重教。遂成逐塊忘於本心。故但契本心	輕 心 重 教 遂 成 逐 塊 忘 於 本 心 故 但 契 本 心 
T48n2012A_001:0381c29	不用求法。心即法也。凡人多為境礙心。事礙	不 用 求 法 心 即 法 也 凡 人 多 為 境 礙 心 事 礙 
T48n2012A_001:0382a01	理。常欲逃境以安心。屏事以存理。不知乃是	理 常 欲 逃 境 以 安 心 屏 事 以 存 理 不 知 乃 是 
T48n2012A_001:0382a02	心礙境理礙事。但令心空境自空。但令理寂	心 礙 境 理 礙 事 但 令 心 空 境 自 空 但 令 理 寂 
T48n2012A_001:0382a03	事自寂。勿倒用心也。凡人多不肯空心。恐落	事 自 寂 勿 倒 用 心 也 凡 人 多 不 肯 空 心 恐 落 
T48n2012A_001:0382a04	於空。不知自心本空。愚人除事不除心。智者	於 空 不 知 自 心 本 空 愚 人 除 事 不 除 心 智 者 
T48n2012A_001:0382a05	除心不除事。菩薩心如虛空。一切俱捨。所作	除 心 不 除 事 菩 薩 心 如 虛 空 一 切 俱 捨 所 作 
T48n2012A_001:0382a06	福德皆不貪著。然捨有三等。內外身心一切	福 德 皆 不 貪 著 然 捨 有 三 等 內 外 身 心 一 切 
T48n2012A_001:0382a07	俱捨。猶如虛空無所取著。然後隨方應物。能	俱 捨 猶如虛空 無 所 取 著 然 後 隨 方 應 物 能 
T48n2012A_001:0382a08	所皆忘。是為大捨。若一邊行道布德。一邊旋	所 皆 忘 是 為 大 捨 若 一 邊 行 道 布 德 一 邊 旋 
T48n2012A_001:0382a09	捨。無希望心。是為中捨。若廣修眾善有所希	捨 無 希 望 心 是 為 中 捨 若 廣 修 眾 善 有 所 希 
T48n2012A_001:0382a10	望。聞法知空。遂乃不著。是為小捨。大捨如	望 聞 法 知 空 遂 乃 不 著 是 為 小 捨 大 捨 如 
T48n2012A_001:0382a11	火燭在前。更無迷悟。中捨如火燭在傍。或明	火 燭 在 前 更 無 迷 悟 中 捨 如 火 燭 在 傍 或 明 
T48n2012A_001:0382a12	或暗。小捨如火燭在後。不見坑穽。故菩薩心	或 暗 小 捨 如 火 燭 在 後 不 見 坑 穽 故 菩 薩 心 
T48n2012A_001:0382a13	如虛空。一切俱捨。過去心不可得。是過去捨。	如 虛 空 一 切 俱 捨 過 去 心 不 可 得 是 過 去 捨 
T48n2012A_001:0382a14	現在心不可得。是現在捨。未來心不可得。是	現 在 心 不 可 得 是 現 在 捨 未來心不可得 是 
T48n2012A_001:0382a15	未來捨。所謂三世俱捨。自如來付法迦葉已	未 來 捨 所 謂 三 世 俱 捨 自 如 來 付 法 迦 葉 已 
T48n2012A_001:0382a16	來。以心印心。心心不異。印著空即印不成文。	來 以 心 印 心 心 心 不 異 印 著 空 即 印 不 成 文 
T48n2012A_001:0382a17	印著物即印不成法。故以心印心。心心不異。	印 著 物 即 印 不 成 法 故 以 心 印 心 心 心 不 異 
T48n2012A_001:0382a18	能印所印俱難契會。故得者少。然心即無心。	能 印 所 印 俱 難 契 會 故 得 者 少 然 心 即 無 心 
T48n2012A_001:0382a19	得即無得。佛有三身。法身說自性虛通法。報	得 即 無 得 佛 有 三 身 法 身 說 自 性 虛 通 法 報 
T48n2012A_001:0382a20	身說一切清淨法。化身說六度萬行法。法身	身 說 一 切 清 淨 法 化 身 說 六 度 萬 行 法 法 身 
T48n2012A_001:0382a21	說法。不可以言語音聲形相文字而求。無所	說 法 不 可 以 言 語 音 聲 形 相 文 字 而 求 無 所 
T48n2012A_001:0382a22	說無所證。自性虛通而已。故曰。無法可說是	說 無 所 證 自 性 虛 通 而 已 故 曰 無 法 可 說 是 
T48n2012A_001:0382a23	名說法。報身化身皆隨機感現。所說法亦隨	名 說 法 報 身 化 身 皆 隨 機 感 現 所 說 法 亦 隨 
T48n2012A_001:0382a24	事應根以為攝化。皆非真法。故曰。報化非真	事 應 根 以 為 攝 化 皆 非 真 法 故 曰 報 化 非 真 
T48n2012A_001:0382a25	佛。亦非說法者。所言同是一精明分為六和	佛 亦 非 說 法 者 所 言 同 是 一 精 明 分 為 六 和 
T48n2012A_001:0382a26	合。一精明者。一心也。六和合者。六根也。此	合 一 精 明 者 一 心 也 六 和 合 者 六 根 也 此 
T48n2012A_001:0382a27	六根各與塵合。眼與色合。耳與聲合。鼻與香	六 根 各 與 塵 合 眼 與 色 合 耳 與 聲 合 鼻 與 香 
T48n2012A_001:0382a28	合。舌與味合。身與觸合。意與法合。中間生六	合 舌 與 味 合 身 與 觸 合 意 與 法 合 中 間 生 六 
T48n2012A_001:0382a29	識為十八界。若了十八界無所有。束六和合	識 為 十 八 界 若 了 十 八 界 無 所 有 束 六 和 合 
T48n2012A_001:0382b01	為一精明。一精明者。即心也。學道人皆知此。	為 一 精 明 一 精 明 者 即 心 也 學 道 人 皆 知 此 
T48n2012A_001:0382b02	但不能免作一精明六和合解。遂被法縛不	但 不 能 免 作 一 精 明 六 和 合 解 遂 被 法 縛 不 
T48n2012A_001:0382b03	契本心。如來現世。欲說一乘真法則眾生不	契 本 心 如 來 現 世 欲 說 一 乘 真 法 則 眾 生 不 
T48n2012A_001:0382b04	信興謗。沒於苦海。若都不說。則墮慳貪。不為	信 興 謗 沒 於 苦 海 若 都 不 說 則 墮 慳 貪 不 為 
T48n2012A_001:0382b05	眾生溥捨妙道。遂設方便說有三乘。乘有大	眾 生 溥 捨 妙 道 遂 設 方 便 說 有 三 乘 乘 有 大 
T48n2012A_001:0382b06	小。得有淺深。皆非本法。故云。唯有一乘道餘	小 得 有 淺 深 皆 非 本 法 故 云 唯 有 一 乘 道 餘 
T48n2012A_001:0382b07	二則非真。然終未能顯一心法。故召迦葉同	二 則 非 真 然 終 未 能 顯 一 心 法 故 召 迦 葉 同 
T48n2012A_001:0382b08	法座別付一心。離言說法。此一枝法令別行。	法 座 別 付 一 心 離 言 說 法 此 一 枝 法 令 別 行 
T48n2012A_001:0382b09	若能契悟者。便至佛地矣。	若 能 契 悟 者 便 至 佛 地 矣 
T48n2012A_001:0382b10	問如何是道。如何修行。師云。道是何物。汝欲	問 如 何 是 道 如 何 修 行 師 云 道 是 何 物 汝 欲 
T48n2012A_001:0382b11	修行。問諸方宗師相承參禪學道如何。師云。	修 行 問 諸 方 宗 師 相 承 參 禪 學 道 如 何 師 云 
T48n2012A_001:0382b12	引接鈍根人語。未可依憑。云此即是引接	引 接 鈍 根 人 語 未 可 依 憑 云 此 即 是 引 接 
T48n2012A_001:0382b13	鈍根人語。未審接上根人復說何法。師云。若	鈍 根 人 語 未 審 接 上 根 人 復 說 何 法 師 云 若 
T48n2012A_001:0382b14	是上根人。何處更就人覓他。自己尚不可	是 上 根 人 何 處 更 就 人 覓 他 自 己 尚 不 可 
T48n2012A_001:0382b15	得。何況更別有法當情。不見教中云。法法何	得 何 況 更 別 有 法 當 情 不 見 教 中 云 法 法 何 
T48n2012A_001:0382b16	狀。云若如此。則都不要求覓也。師云。若與麼	狀 云 若 如 此 則 都 不 要 求 覓 也 師 云 若 與 麼 
T48n2012A_001:0382b17	則省心力。云如是則渾成斷絕不可是無也。	則 省 心 力 云 如 是 則 渾 成 斷 絕 不 可 是 無 也 
T48n2012A_001:0382b18	師云。阿誰教他無。他是阿誰。爾擬覓他。云既	師 云 阿 誰 教 他 無 他 是 阿 誰 爾 擬 覓 他 云 既 
T48n2012A_001:0382b19	不許覓。何故又言莫斷他。師云。若不覓便	不 許 覓 何 故 又 言 莫 斷 他 師 云 若 不 覓 便 
T48n2012A_001:0382b20	休。即誰教爾斷。爾見目前虛空作麼生斷	休 即 誰 教 爾 斷 爾 見 目 前 虛 空 作 麼 生 斷 
T48n2012A_001:0382b21	他。云此法可得便同虛空否。師云。虛空早晚	他 云 此 法 可 得 便 同 虛 空 否 師 云 虛 空 早 晚 
T48n2012A_001:0382b22	向爾道有同有異。我暫如此說。爾便向者	向 爾 道 有 同 有 異 我 暫 如 此 說 爾 便 向 者 
T48n2012A_001:0382b23	裏生解。云應是不與人生解耶。師云。我不曾	裏 生 解 云 應 是 不 與 人 生 解 耶 師 云 我 不 曾 
T48n2012A_001:0382b24	障爾。要且解屬於情。情生則智隔。云向者	障 爾 要 且 解 屬 於 情 情 生 則 智 隔 云 向 者 
T48n2012A_001:0382b25	裏莫生情是否。師云。若不生情。阿誰道是。	裏 莫 生 情 是 否 師 云 若 不 生 情 阿 誰 道 是 
T48n2012A_001:0382b26	問纔向和尚處發言。為甚麼便言話墮。師	問 纔 向 和 尚 處 發 言 為 甚 麼 便 言 話 墮 師 
T48n2012A_001:0382b27	云。汝自是不解語人。有甚麼墮負。	云 汝 自 是 不 解 語 人 有 甚 麼 墮 負 
T48n2012A_001:0382b28	問向來如許多言說皆是抵敵語。都未曾有	問 向 來 如 許 多 言 說 皆 是 抵 敵 語 都 未 曾 有 
T48n2012A_001:0382b29	實法指示於人。師云。實法無顛倒。汝今問處	實 法 指 示 於 人 師 云 實 法 無 顛 倒 汝 今 問 處 
T48n2012A_001:0382c01	自生顛倒。覓甚麼實法。云既是問處自生顛	自 生 顛 倒 覓 甚 麼 實 法 云 既 是 問 處 自 生 顛 
T48n2012A_001:0382c02	倒。和尚答處如何。師云。爾且將物照面看。莫	倒 和 尚 答 處 如 何 師 云 爾 且 將 物 照 面 看 莫 
T48n2012A_001:0382c03	管他人。又云。秖如箇癡狗相似。見物動處便	管 他 人 又 云 秖 如 箇 癡 狗 相 似 見 物 動 處 便 
T48n2012A_001:0382c04	吠。風吹草木也不別。又云。我此禪宗從上	吠 風 吹 草 木 也 不 別 又 云 我 此 禪 宗 從 上 
T48n2012A_001:0382c05	相承已來。不曾教人求知求解。只云學道早	相 承 已 來 不 曾 教 人 求 知 求 解 只 云 學 道 早 
T48n2012A_001:0382c06	是接引之詞。然道亦不可學。情存學解却成	是 接 引 之 詞 然 道 亦 不 可 學 情 存 學 解 却 成 
T48n2012A_001:0382c07	迷道。道無方所名大乘心。此心不在內外中	迷 道 道 無 方 所 名 大 乘 心 此 心 不 在 內 外 中 
T48n2012A_001:0382c08	間。實無方所。第一不得作知解。只是說汝如	間 實 無 方 所 第 一 不 得 作 知 解 只 是 說 汝 如 
T48n2012A_001:0382c09	今情量處。情量若盡心無方所。此道天真本	今 情 量 處 情 量 若 盡 心 無 方 所 此 道 天 真 本 
T48n2012A_001:0382c10	無名字。只為世人不識迷在情中。所以諸佛	無 名 字 只 為 世 人 不 識 迷 在 情 中 所 以 諸 佛 
T48n2012A_001:0382c11	出來說破此事。恐汝諸人不了。權立道名。不	出 來 說 破 此 事 恐 汝 諸 人 不 了 權 立 道 名 不 
T48n2012A_001:0382c12	可守名而生解。故云。得魚忘筌。身心自然達	可 守 名 而 生 解 故 云 得 魚 忘 筌 身 心 自 然 達 
T48n2012A_001:0382c13	道識心。達本源故號為沙門。沙門果者。息	道 識 心 達 本 源 故 號 為 沙 門 沙 門 果 者 息 
T48n2012A_001:0382c14	慮而成不從學得。汝如今將心求心。傍他家	慮 而 成 不 從 學 得 汝 如 今 將 心 求 心 傍 他 家 
T48n2012A_001:0382c15	舍秖擬學取。有甚麼得時。古人心利纔聞一	舍 秖 擬 學 取 有 甚 麼 得 時 古 人 心 利 纔 聞 一 
T48n2012A_001:0382c16	言便乃絕學。所以喚作絕學無為閒道人。今	言 便 乃 絕 學 所 以 喚 作 絕 學 無 為 閒 道 人 今 
T48n2012A_001:0382c17	時人只欲得多知多解。廣求文義。喚作修行。	時 人 只 欲 得 多 知 多 解 廣 求 文 義 喚 作 修 行 
T48n2012A_001:0382c18	不知多知多解翻成壅塞。唯知多與兒酥乳	不 知 多 知 多 解 翻 成 壅 塞 唯 知 多 與 兒 酥 乳 
T48n2012A_001:0382c19	喫。消與不消都總不知。三乘學道人皆是此	喫 消 與 不 消 都 總 不 知 三 乘 學 道 人 皆 是 此 
T48n2012A_001:0382c20	樣。盡名食不消者。所謂知解不消。皆為毒藥。	樣 盡 名 食 不 消 者 所 謂 知 解 不 消 皆 為 毒 藥 
T48n2012A_001:0382c21	盡向生滅中取。真如之中都無此事。故云。我	盡 向 生 滅 中 取 真 如 之 中 都 無 此 事 故 云 我 
T48n2012A_001:0382c22	王庫內無如是刀。從前所有一切解處。盡須	王 庫 內 無 如 是 刀 從 前 所有一切 解 處 盡 須 
T48n2012A_001:0382c23	併却令空。更無分別。即是空如來藏。如來	併 却 令 空 更 無 分 別 即 是 空 如 來 藏 如 來 
T48n2012A_001:0382c24	藏者。更無纖塵可有。即是破有法王出現世	藏 者 更 無 纖 塵 可 有 即 是 破 有 法 王 出 現 世 
T48n2012A_001:0382c25	間。亦云。我於然燈佛所。無少法可得。此語只	間 亦 云 我 於 然 燈 佛 所 無 少 法 可 得 此 語 只 
T48n2012A_001:0382c26	為空爾情量知解。但銷鎔表裏。情盡都無	為 空 爾 情 量 知 解 但 銷 鎔 表 裏 情 盡 都 無 
T48n2012A_001:0382c27	依執。是無事人。三乘教網。秖是應機之藥。隨	依 執 是 無 事 人 三 乘 教 網 秖 是 應 機 之 藥 隨 
T48n2012A_001:0382c28	宜所說臨時施設。各各不同。但能了知。即不	宜 所 說 臨 時 施 設 各各不同 但 能 了 知 即 不 
T48n2012A_001:0382c29	被惑。第一不得於一機一教邊守文作解。何	被 惑 第 一 不 得 於 一 機 一 教 邊 守 文 作 解 何 
T48n2012A_001:0383a01	以如此。實無有定法如來可說。我此宗門不	以 如 此 實 無 有 定 法 如 來 可 說 我 此 宗 門 不 
T48n2012A_001:0383a02	論此事。但知息心即休。更不用思前慮後。	論 此 事 但 知 息 心 即 休 更 不 用 思 前 慮 後 
T48n2012A_001:0383a03	問從上來皆云。即心是佛。未審即那箇心是	問 從 上 來 皆 云 即 心 是 佛 未 審 即 那 箇 心 是 
T48n2012A_001:0383a04	佛。師云。爾有幾箇心。云為復即凡心是佛。即	佛 師 云 爾 有 幾 箇 心 云 為 復 即 凡 心 是 佛 即 
T48n2012A_001:0383a05	聖心是佛。師云。爾何處有凡聖心耶。云即今	聖 心 是 佛 師 云 爾 何 處 有 凡 聖 心 耶 云 即 今 
T48n2012A_001:0383a06	三乘中說有凡聖。和尚何得言無。師云。三乘	三 乘 中 說 有 凡 聖 和 尚 何 得 言 無 師 云 三 乘 
T48n2012A_001:0383a07	中分明向爾道。凡聖心是妄。爾今不解。返執	中 分 明 向 爾 道 凡 聖 心 是 妄 爾 今 不 解 返 執 
T48n2012A_001:0383a08	為有。將空作實。豈不是妄。妄故迷心。汝但除	為 有 將 空 作 實 豈 不 是 妄 妄 故 迷 心 汝 但 除 
T48n2012A_001:0383a09	却凡情聖境。心外更無別佛。祖師西來直指	却 凡 情 聖 境 心 外 更 無 別 佛 祖 師 西 來 直 指 
T48n2012A_001:0383a10	一切人全體是佛。汝今不識。執凡執聖向外	一 切 人 全 體 是 佛 汝 今 不 識 執 凡 執 聖 向 外 
T48n2012A_001:0383a11	馳騁。還自迷心。所以向汝道。即心是佛。一念	馳 騁 還 自 迷 心 所 以 向 汝 道 即 心 是 佛 一 念 
T48n2012A_001:0383a12	情生即墮異趣。無始已來不異今日。無有異	情 生 即 墮 異 趣 無始已來 不 異 今 日 無 有 異 
T48n2012A_001:0383a13	法故名成等正覺。云和尚所言即者。是何道	法 故 名 成等正覺 云 和 尚 所 言 即 者 是 何 道 
T48n2012A_001:0383a14	理。師云。覓什麼道理。纔有道理便即心異。云	理 師 云 覓 什 麼 道 理 纔 有 道 理 便 即 心 異 云 
T48n2012A_001:0383a15	前言無始已來不異今日。此理如何。師云。秖	前 言 無始已來 不 異 今 日 此 理 如 何 師 云 秖 
T48n2012A_001:0383a16	為覓故。汝自異他。汝若不覓。何處有異。云既	為 覓 故 汝 自 異 他 汝 若 不 覓 何 處 有 異 云 既 
T48n2012A_001:0383a17	是不異。何更用說即。師云。汝若不信凡聖。	是 不 異 何 更 用 說 即 師 云 汝 若 不 信 凡 聖 
T48n2012A_001:0383a18	阿誰向汝道即。即若不即。心亦不心。可中心	阿 誰 向 汝 道 即 即 若 不 即 心 亦 不 心 可 中 心 
T48n2012A_001:0383a19	即俱忘。阿爾便擬向何處覓去。	即 俱 忘 阿 爾 便 擬 向 何 處 覓 去 
T48n2012A_001:0383a20	問妄能障自心。未審而今以何遣妄。師云。起	問 妄 能 障 自 心 未 審 而 今 以 何 遣 妄 師 云 起 
T48n2012A_001:0383a21	妄遣妄亦成妄。妄本無根。秖因分別而有。爾	妄 遣 妄 亦 成 妄 妄 本 無 根 秖 因 分 別 而 有 爾 
T48n2012A_001:0383a22	但於凡聖兩處情盡。自然無妄更擬。若為遣	但 於 凡 聖 兩 處 情 盡 自 然 無 妄 更 擬 若 為 遣 
T48n2012A_001:0383a23	他。都不得有纖毫依執。名為我捨兩臂必當	他 都 不 得 有 纖 毫 依 執 名 為 我 捨 兩 臂 必 當 
T48n2012A_001:0383a24	得佛。云既無依執。當何相承。師云。以心傳心。	得 佛 云 既 無 依 執 當 何 相 承 師 云 以 心 傳 心 
T48n2012A_001:0383a25	云若心相傳。云何言心亦無。師云。不得一法	云 若 心 相 傳 云 何 言 心 亦 無 師 云 不 得 一 法 
T48n2012A_001:0383a26	名為傳心。若了此心。即是無心無法。云若無	名 為 傳 心 若 了 此 心 即 是 無 心 無 法 云 若 無 
T48n2012A_001:0383a27	心無法云何名傳。師云。汝聞道傳心。將謂有	心 無 法 云 何 名 傳 師 云 汝 聞 道 傳 心 將 謂 有 
T48n2012A_001:0383a28	可得也。所以祖師云。認得心性時。可說不思	可 得 也 所 以 祖 師 云 認 得 心 性 時 可 說 不 思 
T48n2012A_001:0383a29	議了了無所得。得時不說知。此事若教汝	議 了 了 無 所 得 得 時 不 說 知 此 事 若 教 汝 
T48n2012A_001:0383b01	會。何堪也。	會 何 堪 也 
T48n2012A_001:0383b02	問秖如目前虛空。可不是境。豈無指境見心	問 秖 如 目 前 虛 空 可 不 是 境 豈 無 指 境 見 心 
T48n2012A_001:0383b03	乎。師云。甚麼心教汝向境上見。設汝見得。	乎 師 云 甚 麼 心 教 汝 向 境 上 見 設 汝 見 得 
T48n2012A_001:0383b04	只是個照境底心。如人以鏡照面。縱然得見	只 是 個 照 境 底 心 如 人 以 鏡 照 面 縱 然 得 見 
T48n2012A_001:0383b05	眉目分明。元來秖是影像。何關汝事。云若不	眉 目 分 明 元 來 秖 是 影 像 何 關 汝 事 云 若 不 
T48n2012A_001:0383b06	因照。何時得見。師云。若也涉因。常須假物。	因 照 何 時 得 見 師 云 若 也 涉 因 常 須 假 物 
T48n2012A_001:0383b07	有什麼了時。汝不見他向汝道。撒手似君無	有 什 麼 了 時 汝 不 見 他 向 汝 道 撒 手 似 君 無 
T48n2012A_001:0383b08	一物。徒勞謾說數千般。云他若識了照亦無	一 物 徒 勞 謾 說 數 千 般 云 他 若 識 了 照 亦 無 
T48n2012A_001:0383b09	物耶。師云。若是無物。更何用照。爾莫開眼寱	物 耶 師 云 若 是 無 物 更 何 用 照 爾 莫 開 眼 寱 
T48n2012A_001:0383b10	語去。	語 去 
T48n2012A_001:0383b11	上堂云百種多知。不如無求。最第一也。道人	上 堂 云 百 種 多 知 不 如 無 求 最 第 一 也 道 人 
T48n2012A_001:0383b12	是無事人。實無許多般心。亦無道理可說。無	是 無 事 人 實 無 許 多 般 心 亦 無 道 理 可 說 無 
T48n2012A_001:0383b13	事散去。	事 散 去 
T48n2012A_001:0383b14	問如何是世諦。師云。說葛藤作什麼。本來清	問 如 何 是 世 諦 師 云 說 葛 藤 作 什 麼 本 來 清 
T48n2012A_001:0383b15	淨何假言說問答。但無一切心即名無漏智。	淨 何 假 言 說 問 答 但 無 一 切 心 即 名 無 漏 智 
T48n2012A_001:0383b16	汝每日行住坐臥一切言語。但莫著有為法。	汝 每 日 行住坐臥 一 切 言 語 但 莫 著 有 為 法 
T48n2012A_001:0383b17	出言瞬目盡同無漏。如今末法向去。多是學	出 言 瞬 目 盡 同 無 漏 如 今 末 法 向 去 多 是 學 
T48n2012A_001:0383b18	禪道者皆著一切聲色。何不與我心心同虛	禪 道 者 皆 著 一 切 聲 色 何 不 與 我 心 心 同 虛 
T48n2012A_001:0383b19	空去。如枯木石頭去。如寒灰死火去。方有少	空 去 如 枯 木 石 頭 去 如 寒 灰 死 火 去 方 有 少 
T48n2012A_001:0383b20	分相應。若不如是。他日盡被閻老子拷爾	分 相 應 若 不 如 是 他 日 盡 被 閻 老 子 拷 爾 
T48n2012A_001:0383b21	在。爾但離却有無諸法。心如日輪常在虛空。	在 爾 但 離 却 有 無 諸 法 心 如 日 輪 常 在 虛 空 
T48n2012A_001:0383b22	光明自然不照而照。不是省力底事。到此之	光 明 自 然 不 照 而 照 不 是 省 力 底 事 到 此 之 
T48n2012A_001:0383b23	時無棲泊處。即是行諸佛行。便是應無所住	時 無 棲 泊 處 即 是 行 諸 佛 行 便 是 應 無 所 住 
T48n2012A_001:0383b24	而生其心。此是爾清淨法身。名為阿耨菩提。	而 生 其 心 此 是 爾 清 淨 法 身 名 為 阿耨菩提 
T48n2012A_001:0383b25	若不會此意。縱爾學得多知。勤苦修行。草衣	若 不 會 此 意 縱 爾 學 得 多 知 勤 苦 修 行 草 衣 
T48n2012A_001:0383b26	木食。不識自心盡名邪行。定作天魔眷屬。如	木 食 不 識 自 心 盡 名 邪 行 定 作 天 魔 眷 屬 如 
T48n2012A_001:0383b27	此修行。當復何益。志公云。佛本是自心作。	此 修 行 當 復 何 益 志 公 云 佛 本 是 自 心 作 
T48n2012A_001:0383b28	那得向文字中求。饒爾學得三賢四果十地	那 得 向 文 字 中 求 饒 爾 學 得 三 賢 四 果 十 地 
T48n2012A_001:0383b29	滿心。也秖是在凡聖內坐。不見道。諸行無常	滿 心 也 秖 是 在 凡 聖 內 坐 不 見 道 諸行無常 
T48n2012A_001:0383c01	是生滅法。勢力盡箭還墜。招得來生不如意。	是 生 滅 法 勢 力 盡 箭 還 墜 招 得 來 生 不 如 意 
T48n2012A_001:0383c02	爭似無為實相門。一超直入如來地。為爾不	爭 似 無 為 實 相 門 一 超 直 入如來地 為 爾 不 
T48n2012A_001:0383c03	是與麼人須要向古人建化門廣學知解。志	是 與 麼 人 須 要 向 古 人 建 化 門 廣 學 知 解 志 
T48n2012A_001:0383c04	公云。不逢出世明師。枉服大乘法藥。爾如	公 云 不 逢 出 世 明 師 枉 服 大 乘 法 藥 爾 如 
T48n2012A_001:0383c05	今一切時中行住坐臥。但學無心。久久須實	今 一 切 時 中 行住坐臥 但 學 無 心 久 久 須 實 
T48n2012A_001:0383c06	得。為爾力量小不能頓超。但得三年五年或	得 為 爾 力 量 小 不 能 頓 超 但 得 三 年 五 年 或 
T48n2012A_001:0383c07	十年。須得箇入頭處自然會去。為爾不能如	十 年 須 得 箇 入 頭 處 自 然 會 去 為 爾 不 能 如 
T48n2012A_001:0383c08	是。須要將心學禪學道。佛法有甚麼交涉。	是 須 要 將 心 學 禪 學 道 佛 法 有 甚 麼 交 涉 
T48n2012A_001:0383c09	故云。如來所說皆為化人。如將黃葉為金止	故 云 如 來 所 說 皆 為 化 人 如 將 黃 葉 為 金 止 
T48n2012A_001:0383c10	小兒啼。決定不實。若有實得。非我宗門下客。	小 兒 啼 決 定 不 實 若 有 實 得 非 我 宗 門 下 客 
T48n2012A_001:0383c11	且與爾本體有甚交涉。故經云。實無少法可	且 與 爾 本 體 有 甚 交 涉 故 經 云 實 無 少 法 可 
T48n2012A_001:0383c12	得。名為阿耨菩提。若也會得此意。方知佛道	得 名 為 阿耨菩提 若 也 會 得 此 意 方 知 佛 道 
T48n2012A_001:0383c13	魔道俱錯。本來清淨皎皎地。無方圓無大小	魔 道 俱 錯 本 來 清 淨 皎 皎 地 無 方 圓 無 大 小 
T48n2012A_001:0383c14	無長短等相。無漏無為無迷無悟。了了見無	無 長 短 等 相 無 漏 無 為 無 迷 無 悟 了 了 見 無 
T48n2012A_001:0383c15	一物。亦無人亦無佛。大千沙界海中漚。一切	一 物 亦 無 人 亦 無 佛 大 千 沙 界 海 中 漚 一 切 
T48n2012A_001:0383c16	聖賢如電拂。一切不如心真實法身。從古至	聖 賢 如 電 拂 一 切 不 如 心 真 實 法 身 從 古 至 
T48n2012A_001:0383c17	今與佛祖一般。何處欠少一毫毛。既會如是	今 與 佛 祖 一 般 何 處 欠 少 一 毫 毛 既 會 如 是 
T48n2012A_001:0383c18	意。大須努力盡今生去。出息不保入息。	意 大 須 努 力 盡 今 生 去 出 息 不 保 入 息 
