X60n1130_001:0697b06	八關齋法	八 關 齋 法 
X60n1130_001:0699c02	天宮。時在會眾。聞法已。各獲道果。莫不歡喜奉行。	天 宮 時 在 會 眾 聞 法 已 各 獲 道 果 莫 不 歡 喜 奉 行 
X60n1130_001:0699c03	(迦旃延。以天眼觀見此婢。餘有一夜命在。死即墮惡道。受無量苦。故徃度之)法句喻經	 迦 旃 延 以 天 眼 觀 見 此 婢 餘 有 一 夜 命 在 死 即 墮 惡 道 受 無 量 苦 故 徃 度 之 法 句 喻 經 
X60n1130_001:0699c04	云。東方有國。名鬱多羅波提。有婆羅門五百人。相	云 東 方 有 國 名 鬱 多 羅 波 提 有婆羅門 五 百 人 相 
X60n1130_001:0699c05	率欲詣恒水邊。詞祀神池。沐浴垢穢。裸形求仙。路	率 欲 詣 恒 水 邊 詞 祀 神 池 沐 浴 垢 穢 裸 形 求 仙 路 
X60n1130_001:0699c06	出大澤。迷不得過。中路乏糧。遙見一大樹。如有神	出 大 澤 迷 不 得 過 中 路 乏 糧 遙 見 一 大 樹 如 有 神 
X60n1130_001:0699c07	氣。想有人居。馳聚樹下。了無所見。舉聲大哭云。饑	氣 想 有 人 居 馳 聚 樹 下 了 無 所 見 舉 聲 大 哭 云 饑 
X60n1130_001:0699c08	渴委厄窮死斯澤矣。樹神現身問曰。道士那來。今	渴 委 厄 窮 死 斯 澤 矣 樹 神 現 身 問 曰 道 士 那 來 今 
X60n1130_001:0699c09	欲何行。同聲答曰。欲詣神池。澡浴求仙。今日饑渴。	欲 何 行 同 聲 答 曰 欲 詣 神 池 澡 浴 求 仙 今 日 饑 渴 
X60n1130_001:0699c10	幸哀矜濟。樹神舉手。百味飲食。從手流溢。給眾飲	幸 哀 矜 濟 樹 神 舉 手 百 味 飲 食 從 手 流 溢 給 眾 飲 
X60n1130_001:0699c11	食。皆得飽滿。其餘飲食。足供路糧。臨別詣神。請問	食 皆 得 飽 滿 其 餘 飲 食 足 供 路 糧 臨 別 詣 神 請 問 
X60n1130_001:0699c12	曰。本行何德。致此巍巍。神曰。吾本所居。在舍衛國。	曰 本 行 何 德 致 此 巍 巍 神 曰 吾 本 所 居 在 舍 衛 國 
X60n1130_001:0699c13	時國大臣。名曰須達。飯佛眾僧。於市買酪。無提酪	時 國 大 臣 名 曰 須 達 飯 佛 眾 僧 於 市 買 酪 無 提 酪 
X60n1130_001:0699c14	者。倩我提之。往到精舍。使我斟酌。訖。行澡水。儼然	者 倩 我 提 之 往 到 精 舍 使 我 斟 酌 訖 行 澡 水 儼 然 
X60n1130_001:0699c15	聽法。一切歡喜。稱善無量。時我奉齋。暮還不飡。婦	聽 法 一 切 歡 喜 稱 善 無 量 時 我 奉 齋 暮 還 不 飡 婦 
X60n1130_001:0699c16	怪問我。不審何恨。我曰。不恨也。見長者須達飯佛。	怪 問 我 不 審 何 恨 我 曰 不 恨 也 見 長 者 須 達 飯 佛 
X60n1130_001:0699c17	我奉戒齋。齋名八關。時婦瞋忿言曰。瞿曇亂俗。奚	我 奉 戒 齋 齋 名 八 關 時 婦 瞋 忿 言 曰 瞿 曇 亂 俗 奚 
X60n1130_001:0699c18	足採納。君毀遺則。禍從此興。踧迫不已。便共俱食。	足 採 納 君 毀 遺 則 禍 從 此 興 踧 迫 不 已 便 共 俱 食 
X60n1130_001:0699c19	時我壽盡。神來生此。為此愚婦。破我齋法。不卒其	時 我 壽 盡 神 來 生 此 為 此 愚 婦 破 我 齋 法 不 卒 其 
X60n1130_001:0699c20	業。來生斯澤。作此樹神。提酪之福。手出飲食。若全	業 來 生 斯 澤 作 此 樹 神 提 酪 之 福 手 出 飲 食 若 全 
X60n1130_001:0699c21	齋法。應生天上。封受自然。即為五百人。而說頌曰。	齋 法 應 生 天 上 封 受 自 然 即 為 五 百 人 而 說 頌 曰 
X60n1130_001:0699c22	祠祀種禍根。日夜長枝條。唐苦敗身本。法齋度世	祠 祀 種 禍 根 日 夜 長 枝 條 唐 苦 敗 身 本 法 齋 度 世 
X60n1130_001:0699c23	仙。按賢愚經。及百緣經云。昔迦葉佛滅度之後。遺	仙 按 賢 愚 經 及 百 緣 經 云 昔 迦 葉 佛 滅 度 之 後 遺 
X60n1130_001:0699c24	法垂末。有二梵志。到比丘邊。俱受八戒。一願生天。	法 垂 末 有 二 梵 志 到 比 丘 邊 俱 受 八 戒 一 願 生 天 
X60n1130_001:0700a01	一願作國王。願生天者歸家。婦呼共食。夫言。向受	一 願 作 國 王 願 生 天 者 歸 家 婦 呼 共 食 夫 言 向 受 
X60n1130_001:0700a02	佛齋。過中不食。婦曰。君是梵志。自有戒法。何緣乃	佛 齋 過 中 不 食 婦 曰 君 是 梵 志 自 有 戒 法 何 緣 乃 
X60n1130_001:0700a03	受異道之齋。今若相違不共我飯。當以斯事。語諸	受 異 道 之 齋 今 若 相 違 不 共 我 飯 當 以 斯 事 語 諸 
X60n1130_001:0700a04	梵志。擯汝不與同會。夫聞恐怖。便與婦非時而食。	梵 志 擯 汝 不 與 同 會 夫 聞 恐 怖 便 與 婦 非 時 而 食 
X60n1130_001:0700a05	由破齋故。後生龍中。其願作王者。持齋完具。得生	由 破 齋 故 後 生 龍 中 其 願 作 王 者 持 齋 完 具 得 生 
X60n1130_001:0700a06	王家。作大國王。時王園中。多有甘果。守園之人。日	王 家 作 大 國 王 時 王 園 中 多 有 甘 果 守 園 之 人 日 
X60n1130_001:0700a07	日奉送。其人後時。於園泉中。得一異柰。色香甚美。	日 奉 送 其 人 後 時 於 園 泉 中 得 一 異 柰 色 香 甚 美 
X60n1130_001:0700a08	便作是念。我每出入。常為門監所遮。當以此柰與	便 作 是 念 我 每 出 入 常 為 門 監 所 遮 當 以 此 柰 與 
X60n1130_001:0700a09	之。門監得已。奉貢黃門。黃門納竟。轉上夫人。夫人	之 門 監 得 已 奉 貢 黃 門 黃 門 納 竟 轉 上 夫 人 夫 人 
X60n1130_001:0700a10	得柰。復用獻王。王食此柰。甚覺甘美。便問夫人。展	得 柰 復 用 獻 王 王 食 此 柰 甚 覺 甘 美 便 問 夫 人 展 
X60n1130_001:0700a11	轉相推。到守園人。王即喚來。而責之曰。如此美柰。	轉 相 推 到 守 園 人 王 即 喚 來 而 責 之 曰 如 此 美 柰 
X60n1130_001:0700a12	何為不送。乃與他人。園人於是具陳本末。王瞋語	何 為 不 送 乃 與 他 人 園 人 於 是 具 陳 本 末 王 瞋 語 
X60n1130_001:0700a13	言。自今以後。常送斯柰。園監啟王。此柰無種。何由	言 自 今 以 後 常 送 斯 柰 園 監 啟 王 此 柰 無 種 何 由 
X60n1130_001:0700a14	可辦。王曰。若不能得。當斬汝身。其人還園。舉聲大	可 辦 王 曰 若 不 能 得 當 斬 汝 身 其 人 還 園 舉 聲 大 
X60n1130_001:0700a15	哭。其龍先身。與王共受齋故。生於王園泉中。時龍	哭 其 龍 先 身 與 王 共 受 齋 故 生 於 王 園 泉 中 時 龍 
X60n1130_001:0700a16	變身為人。從泉而出。問其哭由。園監具說。龍聞入	變 身 為 人 從 泉 而 出 問 其 哭 由 園 監 具 說 龍 聞 入 
X60n1130_001:0700a17	水。以金盤盛柰出泉。遣持奉王。并語吾意云。吾及	水 以 金 盤 盛 柰 出 泉 遣 持 奉 王 并 語 吾 意 云 吾 及 
X60n1130_001:0700a18	王。本是親友。昔在世時。俱為梵志。共受八戒。各求	王 本 是 親 友 昔 在 世 時 俱 為 梵 志 共 受 八 戒 各 求 
X60n1130_001:0700a19	所願。汝戒完具。得為人王。吾戒不全。故生龍中。今	所 願 汝 戒 完 具 得 為 人 王 吾 戒 不 全 故 生 龍 中 今 
X60n1130_001:0700a20	欲奉八關齋法。求捨此身。當為吾覓八關齋文。持	欲 奉 八 關 齋 法 求 捨 此 身 當 為 吾 覓 八 關 齋 文 持 
X60n1130_001:0700a21	來與我。若其相違。吾覆汝國用作大海。園監以柰	來 與 我 若 其 相 違 吾 覆 汝 國 用 作 大 海 園 監 以 柰 
X60n1130_001:0700a22	奉王。具說龍意。王聞甚憂。良由時世無佛。法又滅	奉 王 具 說 龍 意 王 聞 甚 憂 良 由 時 世 無 佛 法 又 滅 
X60n1130_001:0700a23	盡。齋文難得。有一大臣。王敕之曰。龍索齋法。仰卿	盡 齋 文 難 得 有 一 大 臣 王 敕 之 曰 龍 索 齋 法 仰 卿 
X60n1130_001:0700a24	得之。若不得者。吾當殺卿。大臣歸家。甚懷憂惱。臣	得 之 若 不 得 者 吾 當 殺 卿 大 臣 歸 家 甚 懷 憂 惱 臣 
X60n1130_001:0700b01	父見子。面色不悅。問知委由。其父語曰。吾家堂柱	父 見 子 面 色 不 悅 問 知 委 由 其 父 語 曰 吾 家 堂 柱 
X60n1130_001:0700b02	每放光明。試破看之。必有異事。尋即破之。得經二	每 放 光 明 試 破 看 之 必 有 異 事 尋 即 破 之 得 經 二 
X60n1130_001:0700b03	卷。一是十二因緣。二是八關齋文。得已。奉王。王得	卷 一 是 十二因緣 二 是 八 關 齋 文 得 已 奉 王 王 得 
X60n1130_001:0700b04	歡喜。自送與龍。龍得此經。便用好寶贈王。王及於	歡 喜 自 送 與 龍 龍 得 此 經 便 用 好 寶 贈 王 王 及 於 
X60n1130_001:0700b05	龍。重修八戒。壽盡生天。同共一處。至釋迦如來出	龍 重 修 八 戒 壽 盡 生 天 同 共 一 處 至 釋 迦 如 來 出 
X60n1130_001:0700b06	世。從天來下。至於佛所。佛為說法。時二天子。俱得	世 從 天 來 下 至 於 佛 所 佛 為 說 法 時 二 天 子 俱 得 
X60n1130_001:0700b07	須陀洹果。還歸天上。從是以往。畢得涅槃(按此八戒。無論	須陀洹果 還 歸 天 上 從 是 以 往 畢 得 涅 槃 按 此 八 戒 無 論 
X60n1130_001:0700b08	已受五戒。未受五戒。皆得受之。或六齋日。自誕日。或父母生日諱日等。皆可受持。以資福慧。為出世之基	已 受 五 戒 未 受 五 戒 皆 得 受 之 或 六 齋 日 自 誕 日 或 父 母 生 日 諱 日 等 皆 可 受 持 以 資 福 慧 為 出 世 之 基 
X60n1130_001:0700b09	也。若受戒已或遇破戒難緣相逼。寧可捨戒已。然後作之。不得犯戒罪。後還得受戒。欲捨戒時。無問出家	也 若 受 戒 已 或 遇 破 戒 難 緣 相 逼 寧 可 捨 戒 已 然 後 作 之 不 得 犯 戒 罪 後 還 得 受 戒 欲 捨 戒 時 無 問 出 家 
X60n1130_001:0700b10	在家人邊。但向一人言。我今捨八戒不持。一說。即成捨也)。餘詳歸戒集中。	在 家 人 邊 但 向 一 人 言 我 今 捨 八 戒 不 持 一 說 即 成 捨 也 餘 詳 歸 戒 集 中 
X60n1130_001:0700b12	附	附 
X60n1130_001:0700b13	吳王孫皓。拜沙門僧康會受戒。	吳 王 孫 皓 拜 沙 門 僧 康 會 受 戒 
X60n1130_001:0700b14	齊武帝。永平元年。帝幸華林園。設八關齋戒。帝微時。	齊 武 帝 永 平 元 年 帝 幸 華 林 園 設 八關齋戒 帝 微 時 
X60n1130_001:0700b15	避難揭陽山中。累石為浮圖。忽有一樹生其側。狀	避 難 揭 陽 山 中 累 石 為 浮 圖 忽 有 一 樹 生 其 側 狀 
X60n1130_001:0700b16	如華蓋。後帝不豫。詔諸沙門祈佛七日。天香滿殿。	如 華 蓋 後 帝 不 豫 詔 諸 沙 門 祈 佛 七 日 天 香 滿 殿 
X60n1130_001:0700b17	齊文宣帝。登祚受禪。於僧稠禪師受菩薩戒。畿內禁	齊 文 宣 帝 登 祚 受 禪 於 僧 稠 禪 師 受 菩 薩 戒 畿 內 禁 
X60n1130_001:0700b18	酒放鷹除網。又斷天下屠宰。年正五九月六齋日。	酒 放 鷹 除 網 又 斷 天 下 屠 宰 年 正 五 九 月 六 齋 日 
X60n1130_001:0700b19	勸民齋戒。公私葷辛悉除滅之。	勸 民 齋 戒 公 私 葷 辛 悉 除 滅 之 
X60n1130_001:0700b20	梁高祖武帝。造光宅同泰寺。國內普持六齋八戒。	梁 高 祖 武 帝 造 光 宅 同 泰 寺 國 內 普 持 六 齋 八 戒 
X60n1130_001:0700b21	周孝宣帝。重隆佛日。造素像四龕。一萬餘軀。寫般若	周 孝 宣 帝 重 隆 佛 日 造 素 像 四 龕 一 萬 餘 軀 寫 般 若 
X60n1130_001:0700b22	經二千卷。六齋八戒。常弘不絕。	經 二 千 卷 六 齋 八 戒 常 弘 不 絕 
X60n1130_001:0700b23	梁太宗簡文帝。造茲敬報恩二寺。刺血自寫般若經	梁 太 宗 簡 文 帝 造 茲 敬 報 恩 二 寺 刺 血 自 寫 般 若 經 
X60n1130_001:0700b24	十部。願忌日不食而齋。	十 部 願 忌 日 不 食 而 齋 
X60n1130_001:0700c01	魏孝武文帝。諱日上中興寺。建八關齋。中食竟。從臣	魏 孝 武 文 帝 諱 日 上 中 興 寺 建 八 關 齋 中 食 竟 從 臣 
X60n1130_001:0700c02	袁敏孫等。更進魚肉。帝怒。並與免官。詔六宮舍女。	袁 敏 孫 等 更 進 魚 肉 帝 怒 並 與 免 官 詔 六 宮 舍 女 
X60n1130_001:0700c03	皆持年三長齋。月六日齋戒。	皆 持 年 三 長 齋 月 六 日 齋 戒 
X60n1130_001:0700c04	陳皇太子淵。後主子也。至德四年。正月十五日。於崇	陳 皇 太 子 淵 後 主 子 也 至 德 四 年 正 月十五日 於 崇 
X60n1130_001:0700c05	正殿。設千僧齋。請智者大師授菩薩戒。百錄請戒	正 殿 設 千 僧 齋 請 智 者 大 師 授 菩 薩 戒 百 錄 請 戒 
X60n1130_001:0700c06	文名淵。南史名深。恐因請戒改此名。	文 名 淵 南 史 名 深 恐 因 請 戒 改 此 名 
X60n1130_001:0700c07	陳武帝。詔智者師大赴崇正殿。為皇太子授菩薩戒。	陳 武 帝 詔 智 者 師 大 赴 崇 正 殿 為 皇 太 子 授 菩 薩 戒 
X60n1130_001:0700c08	隋文帝。開皇十年歲旱。詔曇延法師率眾祈雨。雨不	隋 文 帝 開 皇 十 年 歲 旱 詔 曇 延 法 師 率 眾 祈 雨 雨 不 
X60n1130_001:0700c09	降。帝問何故。對曰。事由一二。帝遣京尹蘇成。問一	降 帝 問 何 故 對 曰 事 由 一 二 帝 遣 京 尹 蘇 成 問 一 
X60n1130_001:0700c10	二之意。延曰。陛下躬萬機之政。羣臣致股肱之力。	二 之 意 延 曰 陛 下 躬 萬 機 之 政 羣 臣 致 股 肱 之 力 
X60n1130_001:0700c11	雖通治體。然俱愆玄化。欲雨不雨。事由一二也。帝	雖 通 治 體 然 俱 愆 玄 化 欲 雨 不 雨 事 由 一 二 也 帝 
X60n1130_001:0700c12	識其意。敕有司擇日。於正殿設儀。請延升御座授	識 其 意 敕 有 司 擇 日 於 正 殿 設 儀 請 延 升 御 座 授 
X60n1130_001:0700c13	八戒。羣臣以次受訖。方炎如焚。而大雨沛然傾注。	八 戒 羣 臣 以 次 受 訖 方 炎 如 焚 而 大 雨 沛 然 傾 注 
X60n1130_001:0700c14	帝悅。自是延每入朝。必親手奉御饌供之。詔興法	帝 悅 自 是 延 每 入 朝 必 親 手 奉 御 饌 供 之 詔 興 法 
X60n1130_001:0700c15	師入太興殿。授菩薩戒。復詔天下正五九月。及六	師 入 太 興 殿 授 菩 薩 戒 復 詔 天 下 正 五 九 月 及 六 
X60n1130_001:0700c16	齋日。不得殺生命。	齋 日 不 得 殺 生 命 
X60n1130_001:0700c17	開皇十三年。冬十月。智者大師過岳州。為刺史王宣	開 皇 十 三 年 冬 十 月 智 者 大 師 過 岳 州 為 刺 史 王 宣 
X60n1130_001:0700c18	武授戒法。沙門曇捷等。請講金光明經。其俗聞法	武 授 戒 法 沙 門 曇 捷 等 請 講 金 光 明 經 其 俗 聞 法 
X60n1130_001:0700c19	感化。一郡五縣。一千餘所。咸捨漁捕。	感 化 一 郡 五 縣 一 千 餘 所 咸 捨 漁 捕 
X60n1130_001:0700c20	陳永陽王伯智。字策之。文帝第八子。至德初。出為東	陳 永 陽 王 伯 智 字 策 之 文 帝 第 八 子 至 德 初 出 為 東 
X60n1130_001:0700c21	陽刺史。請智者大師出鎮開講。致書至三。師遂往。	陽 刺 史 請 智 者 大 師 出 鎮 開 講 致 書 至 三 師 遂 往 
X60n1130_001:0700c22	王與子湛。家人。同稟菩薩戒。晝聆講說。夜習坐禪。	王 與 子 湛 家 人 同 稟 菩 薩 戒 晝 聆 講 說 夜 習 坐 禪 
X60n1130_001:0700c23	講事將解。立法名曰靜智。	講 事 將 解 立 法 名 曰 靜 智 
X60n1130_001:0700c24	晉簡文帝。有烏巢太極殿。召尼道容。授八關齋戒。烏	晉 簡 文 帝 有 烏 巢 太 極 殿 召 尼 道 容 授 八關齋戒 烏 
X60n1130_001:0701a01	運巢而去。	運 巢 而 去 
X60n1130_001:0701a02	晉王。迎智者大師至楊州。設千僧齋。授菩薩戒。	晉 王 迎 智 者 大 師 至 楊 州 設 千 僧 齋 授 菩 薩 戒 
X60n1130_001:0701a03	唐太宗。詔常法師入內殿。為皇后太子。授菩薩戒。	唐 太 宗 詔 常 法 師 入 內 殿 為 皇 后 太 子 授 菩 薩 戒 
X60n1130_001:0701a04	顯慶元年。十一月武后生皇太子。神光滿室。賜名佛	顯 慶 元 年 十 一 月 武 后 生 皇 太 子 神 光 滿 室 賜 名 佛 
X60n1130_001:0701a05	光王。即中宗也。踰月詔玄奘法師。送寺出家落髮。	光 王 即 中 宗 也 踰 月 詔 玄 奘 法 師 送 寺 出 家 落 髮 
X60n1130_001:0701a06	受三歸五戒。中宗。詔道岸律師入宮。為妃主受歸	受 三 歸 五 戒 中 宗 詔 道 岸 律 師 入 宮 為 妃 主 受 歸 
X60n1130_001:0701a07	戒。	戒 
X60n1130_001:0701a08	玄宗。日本國沙門榮睿。至陽州。請律師鑒真。與睿附	玄 宗 日 本 國 沙 門 榮 睿 至 陽 州 請 律 師 鑒 真 與 睿 附 
X60n1130_001:0701a09	舶而去。既至日本。王迎勞問。館于毗盧殿。請授歸	舶 而 去 既 至 日 本 王 迎 勞 問 館 于 毗 盧 殿 請 授 歸 
X60n1130_001:0701a10	戒。日本戒律始此。	戒 日 本 戒 律 始 此 
X60n1130_001:0701a11	侍郎白居易。字樂天。自號香山居士。嘗勸一百四十	侍 郎 白 居 易 字 樂 天 自 號 香 山 居 士 嘗 勸 一 百 四 十 
X60n1130_001:0701a12	八人。結上生會。在鉢塔寺。依如大師授八關齋戒	八 人 結 上 生 會 在 鉢 塔 寺 依 如 大 師 授 八關齋戒 
X60n1130_001:0701a13	九度。	九 度 
X60n1130_001:0701a15	音釋	音 釋 
X60n1130_001:0701a16	布薩此云淨住。又云天語淨住。人語或云精進。亦	布 薩 此 云 淨 住 又 云 天 語 淨 住 人 語 或 云 精 進 亦 
X60n1130_001:0701a17	云長養。通僧及俗。俱稟修行。所謂淨身口意。如戒	云 長 養 通 僧 及 俗 俱 稟 修 行 所 謂 淨 身 口 意 如 戒 
X60n1130_001:0701a18	而住也。	而 住 也 
X60n1130_001:0701a19	六齋日此以上半月。下半月。各三日言之。上半月	六 齋 日 此 以 上 半 月 下 半 月 各 三 日 言 之 上 半 月 
X60n1130_001:0701a20	三日。初八。十四。十五。下半月三日。二十三日。即上	三 日 初 八 十 四 十 五 下 半 月 三 日 二 十 三 日 即 上 
X60n1130_001:0701a21	半月初八日。二十九三十日。即上半月十四十五	半 月 初 八 日 二 十 九 三 十 日 即 上 半 月 十 四 十 五 
X60n1130_001:0701a22	日。	日 
X60n1130_001:0701a23	十齋日初一。初八。十四。十五。十八。二十三。二十四。	十 齋 日 初 一 初 八 十 四 十 五 十 八 二 十 三 二 十 四 
X60n1130_001:0701a24	二十八。二十九。三十。月小二十七日起。	二 十 八 二 十 九 三 十 月 小 二 十 七 日 起 
X60n1130_001:0701b01	五眾即出家五輩。一比丘。二比丘尼。三式叉摩那。	五 眾 即 出 家 五 輩 一 比 丘 二 比 丘 尼 三 式叉摩那 
X60n1130_001:0701b02	四沙彌。五沙彌尼。	四 沙 彌 五 沙 彌 尼 
X60n1130_001:0701b03	三惡八難三惡。即三惡道。八難者。前三即三惡道。	三 惡 八 難 三 惡 即 三 惡 道 八 難 者 前 三 即 三 惡 道 
X60n1130_001:0701b04	四長壽天。壽五百劫。外道得無想定。故生其處。五	四 長 壽 天 壽 五 百 劫 外 道 得 無 想 定 故 生 其 處 五 
X60n1130_001:0701b05	北俱盧洲。六盲聾瘖瘂。七世智辯聰。謂世人邪智	北 俱 盧 洲 六 盲 聾 瘖 瘂 七 世智辯聰 謂 世 人 邪 智 
X60n1130_001:0701b06	聰利。躭著外書。不信出世正法。八生在佛前佛後。	聰 利 躭 著 外 書 不 信 出 世 正 法 八 生 在 佛前佛後 
X60n1130_001:0701b07	此八者。皆不得見佛聞法。故稱為難也。	此 八 者 皆 不 得 見佛聞法 故 稱 為 難 也 
X60n1130_001:0701b08	輪王輪王有四。金輪王。化被四洲。銀輪王。則政隔	輪 王 輪 王 有 四 金 輪 王 化 被 四 洲 銀 輪 王 則 政 隔 
X60n1130_001:0701b09	北俱盧洲。銅輪王。則除北俱盧。及西牛貨洲。鐵輪	北 俱 盧 洲 銅 輪 王 則 除 北 俱 盧 及 西 牛 貨 洲 鐵 輪 
X60n1130_001:0701b10	王。則唯贍部洲。此四輪王。將即大位。隨福所感。有	王 則 唯 贍 部 洲 此 四 輪 王 將 即 大 位 隨 福 所 感 有 
X60n1130_001:0701b11	大輪寶。浮空來應。則感有金銀銅鐵之異。故為四	大 輪 寶 浮 空 來 應 則 感 有 金 銀 銅 鐵 之 異 故 為 四 
X60n1130_001:0701b12	焉。	焉 
X60n1130_001:0701b13	梵王居色界初禪二禪中間。統小千界。	梵 王 居 色 界 初 禪 二 禪 中 間 統 小 千 界 
X60n1130_001:0701b14	四恩一父母恩。二眾生恩。謂無始劫來。一切眾生。	四 恩 一 父 母 恩 二 眾 生 恩 謂 無 始 劫 來 一 切 眾 生 
X60n1130_001:0701b15	輪迴六道。於多生中。互為父母故。三國王恩。四三	輪 迴 六 道 於 多 生 中 互 為 父 母 故 三 國 王 恩 四 三 
X60n1130_001:0701b16	寶恩。三寶是良福田。能令眾生出生死苦。至涅槃	寶 恩 三 寶 是 良 福 田 能 令 眾 生 出 生 死 苦 至 涅 槃 
X60n1130_001:0701b17	樂。	樂 
X60n1130_001:0701b18	三有謂欲界。色界。無色界。眾生有生有死故也。	三 有 謂 欲 界 色 界 無 色 界 眾 生 有 生 有 死 故 也 
X60n1130_001:0701b19	六欲天一四王天。二忉利天。三夜摩天。四兜率天。	六 欲 天 一 四 王 天 二 忉 利 天 三 夜 摩 天 四 兜 率 天 
X60n1130_001:0701b20	五化樂天。六他化自在天。	五 化 樂 天 六 他化自在天 
X60n1130_001:0701b21	色無色界天色界。即四禪天。無色界。即四空天。	色無色界 天 色 界 即 四 禪 天 無 色 界 即 四 空 天 
X60n1130_001:0701b22	聲聞修四諦法。證得小乘四果。	聲 聞 修 四 諦 法 證 得 小 乘 四 果 
X60n1130_001:0701b23	緣覺梵名辟支佛。	緣 覺 梵 名 辟 支 佛 
X60n1130_001:0701b24	鬘音曼。貫華以嚴身首也。	鬘 音 曼 貫 華 以 嚴 身 首 也 
X60n1130_001:0701c01	五濁惡世一眾生濁。謂諸眾生。不畏惡業果報。不	五濁惡世 一 眾 生 濁 謂 諸 眾 生 不 畏 惡 業 果 報 不 
X60n1130_001:0701c02	修善法。二見濁。謂邪見增長。不修善道。三煩惱濁。	修 善 法 二 見 濁 謂 邪 見 增 長 不 修 善 道 三 煩 惱 濁 
X60n1130_001:0701c03	謂諸眾生。多諸愛欲。貪瞋癡盛。惱亂心神。四命濁。	謂 諸 眾 生 多 諸 愛 欲 貪 瞋 癡 盛 惱 亂 心 神 四 命 濁 
X60n1130_001:0701c04	謂人壽轉減。百歲者稀。以惡業增故。三十二十十	謂 人 壽 轉 減 百 歲 者 稀 以 惡 業 增 故 三 十 二 十 十 
X60n1130_001:0701c05	歲。壽數長短不定。五劫濁。謂刀兵。饑饉。疾疫。三災	歲 壽 數 長 短 不 定 五 劫 濁 謂 刀 兵 饑 饉 疾 疫 三 災 
X60n1130_001:0701c06	起時。眾生更相殺害也。	起 時 眾 生 更 相 殺 害 也 
X60n1130_001:0701c07	迦旃延此云文飾。亦云不定。	迦 旃 延 此 云 文 飾 亦 云 不 定 
X60n1130_001:0701c08	菩薩梵語具云。菩提薩埵。今人尚略。故云菩薩。菩	菩 薩 梵 語 具 云 菩 提 薩 埵 今 人 尚 略 故 云 菩 薩 菩 
X60n1130_001:0701c09	提。佛道也。薩埵。此云大心眾生。謂有大心入佛道	提 佛 道 也 薩 埵 此 云 大 心 眾 生 謂 有 大 心 入 佛 道 
X60n1130_001:0701c10	也。又薩埵名成眾生。謂用佛道。成就眾生也。	也 又 薩 埵 名 成 眾 生 謂 用 佛 道 成 就 眾 生 也 
X60n1130_001:0701c11	須陀洹此云入流。謂預入聖人之流。是初果聖人	須 陀 洹 此 云 入 流 謂 預 入 聖 人 之 流 是 初 果 聖 人 
X60n1130_001:0701c12	也。	也 
X60n1130_001:0701c13	四果一須陀洹。二斯陀含。三阿那含。四阿羅漢。	四 果 一 須 陀 洹 二 斯 陀 含 三 阿 那 含 四 阿 羅 漢 
X60n1130_001:0701c14	五辛葱。蒜。韭。薤。興渠也。[卄/糾]亦葱之一類。切不可食	五 辛 葱 蒜 韭 薤 興 渠 也 [卄糾] 亦 葱 之 一 類 切 不 可 食 
X60n1130_001:0701c15	也。	也 
X60n1130_001:0701c16	梵志此云淨行。如此方儒者。	梵 志 此 云 淨 行 如 此 方 儒 者 
X60n1130_001:0701c17	樗蒱上音樞。下音蒲。博奕戲也。	樗 蒱 上 音 樞 下 音 蒲 博 奕 戲 也 
X60n1130_001:0701c18	優婆塞此云近事男。優婆夷。此云近事女。謂受齋	優 婆 塞 此 云 近 事 男 優 婆 夷 此 云 近 事 女 謂 受 齋 
X60n1130_001:0701c19	戒。方能親近承事諸佛聖人也。亦云近住。謂近聖	戒 方 能 親 近 承 事 諸 佛 聖 人 也 亦 云 近 住 謂 近 聖 
X60n1130_001:0701c20	人住也。	人 住 也 
X60n1130_001:0701c21	涅槃此云圓寂。謂萬德俱圓。業障永寂。亦云不生	涅 槃 此 云 圓 寂 謂 萬 德 俱 圓 業 障 永 寂 亦 云 不 生 
X60n1130_001:0701c22	不滅。以障寂故。故不生滅也。	不 滅 以 障 寂 故 故 不 生 滅 也 
X60n1130_001:0701c23	[卄/糾]驕字去聲。音叫。似食蔥。而莖長。有稜。五辛中。凡	[卄糾] 驕 字 去 聲 音 叫 似 食 蔥 而 莖 長 有 稜 五 辛 中 凡 
X60n1130_001:0701c24	中空。皆屬蔥類。或作藠。草名。出廬山。非[卄/糾]也。有云。	中 空 皆 屬 蔥 類 或 作 藠 草 名 出 廬 山 非 [卄糾] 也 有 云 
X60n1130_001:0702a01	藠亦山薤之類。非也。[卄/糾][葸十+夕]。本草不載。以[卄/糾]屬蔥收。	藠 亦 山 薤 之 類 非 也 [卄糾][葸十夕]本草不載以[卄糾] 屬 蔥 收 
