T32n1652_001:0482a04	緣生論序	緣 生 論 序 
T32n1652_001:0484c07	津流果等。隨其數分二一一一。於此法中當	津 流 果 等 隨 其 數 分 二 一 一 一 於 此 法 中 當 
T32n1652_001:0484c08	與相應。於中渴愛取是熱惱果。有是貧乏果。	與 相 應 於 中 渴 愛 取 是 熱 惱 果 有 是 貧 乏 果 
T32n1652_001:0484c09	生是轉出果。老死是津流果。如是此等。則有	生 是 轉 出 果 老 死 是 津 流 果 如 是 此 等 則 有 
T32n1652_001:0484c10	八果。	八 果 
T32n1652_001:0484c11	　此有十二種　　等力緣自生	 此 有 十 二 種 等 力 緣 自 生 
T32n1652_001:0484c12	　無眾生無命　　無動以慧知	 無 眾 生 無 命 無 動 以 慧 知 
T32n1652_001:0484c13	如是無明為初。老死為邊。有十二分。平等勝	如 是 無 明 為 初 老 死 為 邊 有 十 二 分 平 等 勝 
T32n1652_001:0484c14	故。各各緣生。而無眾生無壽命無動作。以慧	故 各 各 緣 生 而 無 眾 生 無 壽 命 無 動 作 以 慧 
T32n1652_001:0484c15	應知。於中無眾生者。以不牢固故。無壽命者。	應 知 於 中 無 眾 生 者 以 不 牢 固 故 無 壽 命 者 
T32n1652_001:0484c16	以無我故。無動作者。以無作者故。	以 無 我 故 無 動 作 者 以 無 作 者 故 
T32n1652_001:0484c17	　無我無我所　　無我無我因	 無 我 無 我 所 無 我 無 我 因 
T32n1652_001:0484c18	　四種無智空　　餘分亦如是	 四 種 無 智 空 餘 分 亦 如 是 
T32n1652_001:0484c19	於無我中無智。無我所中無智。無我中無智。	於 無 我 中 無 智 無 我 所 中 無 智 無 我 中 無 智 
T32n1652_001:0484c20	無我因中無智。此中以無我故。四種無智空。	無 我 因 中 無 智 此 中 以 無 我 故 四 種 無 智 空 
T32n1652_001:0484c21	如四種次第無智空。如是行等餘分。亦皆是	如 四 種 次 第 無 智 空 如 是 行 等 餘 分 亦 皆 是 
T32n1652_001:0484c22	空。應當知之。	空 應 當 知 之 
T32n1652_001:0484c23	　斷常二邊離　　此即是中道	 斷 常 二 邊 離 此 即 是 中 道 
T32n1652_001:0484c24	　若覺已成就　　覺體是諸佛	 若 覺 已 成 就 覺 體 是 諸 佛 
T32n1652_001:0484c25	有是常攝。無是斷攝。如此二邊彼作緣彼處。	有 是 常 攝 無 是 斷 攝 如 此 二 邊 彼 作 緣 彼 處 
T32n1652_001:0484c26	彼處諸有轉生。離此二邊即是中道。若無智	彼 處 諸 有 轉 生 離 此 二 邊 即 是 中 道 若 無 智 
T32n1652_001:0484c27	諸外道則墮於邊。若已覺悟諸佛世尊。則為	諸 外 道 則 墮 於 邊 若 已 覺 悟 諸佛世尊 則 為 
T32n1652_001:0484c28	覺體。於此世間獨能成就。餘人悉無此義。	覺 體 於 此 世 間 獨 能 成 就 餘 人 悉 無 此 義 
T32n1652_001:0484c29	　覺已於眾中　　仙聖說無我	 覺 已 於 眾 中 仙 聖 說 無 我 
T32n1652_001:0485a01	　曾於城喻經　　導師說此義	 曾 於 城 喻 經 導 師 說 此 義 
T32n1652_001:0485a02	彼亦是此中道覺已。於諸眾中佛說無我。所	彼 亦 是 此 中 道 覺 已 於 諸 眾 中 佛 說 無 我 所 
T32n1652_001:0485a03	謂比丘。有我我所。小兒凡夫無聞之類。順墮	謂 比 丘 有 我 我 所 小 兒 凡 夫 無 聞 之 類 順 墮 
T32n1652_001:0485a04	假名。於中無復我及我所。比丘。生時但苦生。	假 名 於 中 無 復 我及我所 比 丘 生 時 但 苦 生 
T32n1652_001:0485a05	滅時但苦滅。如城喻經中。導師已說此義。又。	滅 時 但 苦 滅 如 城 喻 經 中 導 師 已 說 此 義 又 
T32n1652_001:0485a06	　迦栴延經說　　正見及空見	 迦 栴 延 經 說 正 見 及 空 見 
T32n1652_001:0485a07	　破邏具膩經(張宿名也)　　亦說殊勝空	 破 邏 具 膩 經 張 宿 名 也 亦 說 殊 勝 空 
T32n1652_001:0485a08	此等三經。及以餘處。如是之相。世尊已說。彼	此 等 三 經 及 以 餘 處 如 是 之 相 世 尊 已 說 彼 
T32n1652_001:0485a09	亦是此。	亦 是 此 
T32n1652_001:0485a10	　緣生若正知　　彼知空相應	 緣 生 若 正 知 彼 知 空 相 應 
T32n1652_001:0485a11	　緣生若不知　　亦不知彼空	 緣 生 若 不 知 亦 不 知 彼 空 
T32n1652_001:0485a12	於前所說緣生。若有正知彼知無異。彼復何	於 前 所 說 緣 生 若 有 正 知 彼 知 無 異 彼 復 何 
T32n1652_001:0485a13	知。謂知於空。緣生若不知亦不知彼空者。於	知 謂 知 於 空 緣 生 若 不 知 亦 不 知 彼 空 者 於 
T32n1652_001:0485a14	此緣生若其不知。亦於彼空不能解入。應當	此 緣 生 若 其 不 知 亦 於 彼 空 不 能 解 入 應 當 
T32n1652_001:0485a15	知之。	知 之 
T32n1652_001:0485a16	　於空若起慢　　則不厭受眾	 於 空 若 起 慢 則 不 厭 受 眾 
T32n1652_001:0485a17	　若有彼無見　　則迷緣生義	 若 有 彼 無 見 則 迷 緣 生 義 
T32n1652_001:0485a18	於空若起慢則不厭受眾者。若起空慢。則於	於 空 若 起 慢 則 不 厭 受 眾 者 若 起 空 慢 則 於 
T32n1652_001:0485a19	五受眾中。不生厭離。若有彼無見則迷緣生	五 受 眾 中 不 生 厭 離 若 有 彼 無 見 則 迷 緣 生 
T32n1652_001:0485a20	義者。若復由於無見迷此緣生義故。則於四	義 者 若 復 由 於 無 見 迷 此 緣 生 義 故 則 於 四 
T32n1652_001:0485a21	種見中。隨取何見。一者斷見。二者常見。三者	種 見 中 隨 取 何 見 一 者 斷 見 二 者 常 見 三 者 
T32n1652_001:0485a22	自在化語。四者唯依宿世所作。	自 在 化 語 四 者 唯 依 宿 世 所 作 
T32n1652_001:0485a23	　緣生不迷故　　離慢彼知空	 緣 生 不 迷 故 離 慢 彼 知 空 
T32n1652_001:0485a24	　及厭受眾故　　不迷業果合	 及 厭 受 眾 故 不 迷 業 果 合 
T32n1652_001:0485a25	緣生不迷故離慢彼知空者。於前所說各各	緣 生 不 迷 故 離 慢 彼 知 空 者 於 前 所 說 各 各 
T32n1652_001:0485a26	緣生中若無迷心。及於攝取我我所中。若得	緣 生 中 若 無 迷 心 及 於 攝 取 我 我 所 中 若 得 
T32n1652_001:0485a27	離慢。彼則如法能入於空。及厭受眾故不迷	離 慢 彼 則 如 法 能 入 於 空 及 厭 受 眾 故 不 迷 
T32n1652_001:0485a28	業果合者。五受眾中攝取我我所故。則遍世	業 果 合 者 五 受 眾 中 攝 取 我 我 所 故 則 遍 世 
T32n1652_001:0485a29	間輪轉不息。於彼受眾起厭離故。於此業果	間 輪 轉 不 息 於 彼 受 眾 起 厭 離 故 於 此 業 果 
T32n1652_001:0485b01	相續。則無顛倒。亦不迷惑。	相 續 則 無 顛 倒 亦 不 迷 惑 
T32n1652_001:0485b02	又問。此義云何。	又 問 此義云何 
T32n1652_001:0485b03	　業作緣續生　　亦非不緣此	 業 作 緣 續 生 亦 非 不 緣 此 
T32n1652_001:0485b04	　空緣當有此　　業報受用具	 空 緣 當 有 此 業 報 受 用 具 
T32n1652_001:0485b05	業作緣續生亦非不緣此者。煩惱業染如前	業 作 緣 續 生 亦 非 不 緣 此 者 煩 惱 業 染 如 前 
T32n1652_001:0485b06	所說。彼以如是淨不淨業。推遣眾生。傍及上	所 說 彼 以 如 是 淨不淨業 推 遣 眾 生 傍 及 上 
T32n1652_001:0485b07	下相續而生。若非此業則不作緣。若不然	下 相 續 而 生 若 非 此 業 則 不 作 緣 若 不 然 
T32n1652_001:0485b08	者。則未作竟而來。及已作竟而失(來謂業未作竟其果	者 則 未 作 竟 而 來 及 已 作 竟 而 失 來 謂 業 未 作 竟 其 果 
T32n1652_001:0485b09	即來失謂業已作竟其果便失)。空緣當有此業報受用具者。若	即 來 失 謂 業 已 作 竟 其 果 便 失 空 緣 當 有 此 業 報 受 用 具 者 若 
T32n1652_001:0485b10	由此等淨不淨業。有報受用。則自性是空。本	由 此 等 淨不淨業 有 報 受 用 則 自 性 是 空 本 
T32n1652_001:0485b11	無有我作緣發生。彼自性空亦應當知。彼義	無 有 我 作 緣 發 生 彼 自 性 空 亦 應 當 知 彼 義 
T32n1652_001:0485b12	今更略說。	今 更 略 說 
T32n1652_001:0485b13	　十二分差別　　前已說緣生	 十 二 分 差 別 前 已 說 緣 生 
T32n1652_001:0485b14	　彼煩惱業苦　　三中如法攝	 彼 煩 惱 業 苦 三 中 如 法 攝 
T32n1652_001:0485b15	無明為初。老死為邊。是十二分緣生差別。如	無 明 為 初 老 死 為 邊 是 十 二 分 緣 生 差 別 如 
T32n1652_001:0485b16	前所說。彼中三是煩惱。二是業。七是苦。皆已	前 所 說 彼 中 三 是 煩 惱 二 是 業 七 是 苦 皆 已 
T32n1652_001:0485b17	攝入。	攝 入 
T32n1652_001:0485b18	　三中生於二　　二中生於七	 三 中 生 於 二 二 中 生 於 七 
T32n1652_001:0485b19	　七中復生三　　有輪如是轉	 七 中 復 生 三 有 輪 如 是 轉 
T32n1652_001:0485b20	無明渴愛取三種所生。行有二種。彼二所生。	無 明 渴 愛 取 三 種 所 生 行 有 二 種 彼 二 所 生 
T32n1652_001:0485b21	識名色六入觸受生老死七分。彼七分中如	識 名 色 六 入 觸 受 生 老 死 七 分 彼 七 分 中 如 
T32n1652_001:0485b22	前所說。還生三種。彼三復二。其二更七。是故	前 所 說 還 生 三 種 彼 三 復 二 其 二 更 七 是 故 
T32n1652_001:0485b23	二種次第不斷。此之有輪如是普轉。	二 種 次 第 不 斷 此 之 有 輪 如 是 普 轉 
T32n1652_001:0485b24	　因果諸生世　　無別有眾生	 因 果 諸 生 世 無 別 有 眾 生 
T32n1652_001:0485b25	　唯是於空法　　還自生空法	 唯 是 於 空 法 還 自 生 空 法 
T32n1652_001:0485b26	因果諸生世無別有眾生者。無明行渴愛取	因 果 諸 生 世 無 別 有 眾 生 者 無 明 行 渴 愛 取 
T32n1652_001:0485b27	有五種名因。識名色六入觸受生老死七種	有 五 種 名 因 識 名 色 六 入 觸 受 生 老 死 七 種 
T32n1652_001:0485b28	名果。此等所有普遍世間。若我若眾生若壽	名 果 此 等 所 有 普 遍 世 間 若 我 若 眾 生 若 壽 
T32n1652_001:0485b29	若生者。若丈夫若人若作者。是等為首。次	若 生 者 若 丈 夫 若 人 若 作 者 是 等 為 首 次 
T32n1652_001:0485c01	第分別其唯虛誑。應當知之。彼云何生。唯是	第 分 別 其 唯 虛 誑 應 當 知 之 彼 云 何 生 唯 是 
T32n1652_001:0485c02	於空法還自生空法。謂自性空中假名煩惱	於 空 法 還 自 生 空 法 謂 自 性 空 中 假 名 煩 惱 
T32n1652_001:0485c03	業果。唯有別空假名。煩惱業果法生。此是其	業 果 唯 有 別 空 假 名 煩 惱 業 果 法 生 此 是 其 
T32n1652_001:0485c04	義。	義 
T32n1652_001:0485c05	　藉緣生煩惱　　藉緣亦生業	 藉 緣 生 煩 惱 藉 緣 亦 生 業 
T32n1652_001:0485c06	　藉緣亦生報　　無一不有緣	 藉 緣 亦 生 報 無 一 不 有 緣 
T32n1652_001:0485c07	若有煩惱。則有種種無量種業。及種種業所	若 有 煩 惱 則 有 種 種 無 量 種 業 及 種 種 業 所 
T32n1652_001:0485c08	生果報。彼皆共因共緣。應當知之。無有一處	生 果 報 彼 皆 共 因 共 緣 應 當 知 之 無 有 一 處 
T32n1652_001:0485c09	無因緣者。	無 因 緣 者 
T32n1652_001:0485c10	又為明彼義。今更說譬喻。	又 為 明 彼 義 今 更 說 譬 喻 
T32n1652_001:0485c11	　誦燈印鏡音　　日光種子酢	 誦 燈 印 鏡 音 日 光 種 子 酢 
T32n1652_001:0485c12	　眾續不超到　　智應觀彼二	 眾 續 不 超 到 智 應 觀 彼 二 
T32n1652_001:0485c13	如誦。有教誦者受誦者。所有教誦不到受誦。	如 誦 有 教 誦 者 受 誦 者 所 有 教 誦 不 到 受 誦 
T32n1652_001:0485c14	何以故。教誦者仍安住故。其教誦者亦不相	何 以 故 教 誦 者 仍 安 住 故 其 教 誦 者 亦 不 相 
T32n1652_001:0485c15	續。何以故。自不生故。如燈次第生非是初燈。	續 何 以 故 自 不 生 故 如 燈 次 第 生 非 是 初 燈 
T32n1652_001:0485c16	超到亦非第二。無因而生。如是印與像二種。	超 到 亦 非 第 二 無 因 而 生 如 是 印 與 像 二 種 
T32n1652_001:0485c17	面與鏡二種。音與響二種。日與火二種。種子	面 與 鏡 二 種 音 與 響 二 種 日 與 火 二 種 種 子 
T32n1652_001:0485c18	與芽二種。酢與舌涎二種。此等所有皆不超	與 芽 二 種 酢 與 舌 涎 二 種 此 等 所 有 皆 不 超 
T32n1652_001:0485c19	到。亦非不生。亦非無因。而生彼二種。五受眾	到 亦 非 不 生 亦 非 無 因 而 生 彼 二 種 五 受 眾 
T32n1652_001:0485c20	相續到時。非是初受眾。超到而第二受眾。亦	相 續 到 時 非 是 初 受 眾 超 到 而 第 二 受 眾 亦 
T32n1652_001:0485c21	非不生。亦非無因。而生智者。於此受眾相續	非 不 生 亦 非 無 因 而 生 智 者 於 此 受 眾 相 續 
T32n1652_001:0485c22	不超。而次第到。應當正觀。	不 超 而 次 第 到 應 當 正 觀 
T32n1652_001:0485c23	又外內受用。俱有十種。皆應當見。於中外十	又 外 內 受 用 俱 有 十 種 皆 應 當 見 於 中 外 十 
T32n1652_001:0485c24	種者。一者非常故。二者非斷故。三者不超到	種 者 一 者 非 常 故 二 者 非 斷 故 三 者 不 超 到 
T32n1652_001:0485c25	故。四者無中間故。五者非彼體故。六者非別	故 四 者 無 中 間 故 五 者 非 彼 體 故 六 者 非 別 
T32n1652_001:0485c26	異故。七者無作者故。八者非無因故。九者念	異 故 七 者 無 作 者 故 八 者 非 無 因 故 九 者 念 
T32n1652_001:0485c27	念空故。十者同類果相繫故。彼外所有種子	念 空 故 十 者 同 類 果 相 繫 故 彼 外 所 有 種 子 
T32n1652_001:0485c28	滅無餘故。非常芽出生故。非斷種子滅無餘	滅 無 餘 故 非 常 芽 出 生 故 非 斷 種 子 滅 無 餘 
T32n1652_001:0485c29	已。其芽本無今有生故不超到。彼所相續無	已 其 芽 本無今有 生 故 不 超 到 彼 所 相 續 無 
T32n1652_001:0486a01	有斷絕。因果相繫故無中間。種子芽差別故	有 斷 絕 因 果 相 繫 故 無 中 間 種 子 芽 差 別 故 
T32n1652_001:0486a02	非彼體。從彼出生故非別異。因緣和合故無	非 彼 體 從 彼 出 生 故 非 別 異 因緣和合 故 無 
T32n1652_001:0486a03	作者。種子為因故非無因。種子芽莖枝葉花	作 者 種 子 為 因 故 非 無 因 種 子 芽 莖 枝 葉 花 
T32n1652_001:0486a04	果等傳傳相生故念念空。甜酢醎苦辛澁隨	果 等 傳 傳 相 生 故 念 念 空 甜 酢 醎 苦 辛 澁 隨 
T32n1652_001:0486a05	因差別果轉出故。同類果相繫於中。內十種	因 差 別 果 轉 出 故 同 類 果 相 繫 於 中 內 十 種 
T32n1652_001:0486a06	者一者死邊受眾滅無餘故非常。二者得次	者 一 者 死 邊 受 眾 滅 無 餘 故 非 常 二 者 得 次 
T32n1652_001:0486a07	生分受眾故非斷。三者死邊受眾滅無餘已。	生 分 受 眾 故 非 斷 三 者 死 邊 受 眾 滅 無 餘 已 
T32n1652_001:0486a08	次生分受眾。本無今有生故不超到。四者受	次 生 分 受 眾 本無今有 生 故 不 超 到 四 者 受 
T32n1652_001:0486a09	眾相續無有斷絕。因果相繫故無中間。五者	眾 相 續 無 有 斷 絕 因 果 相 繫 故 無 中 間 五 者 
T32n1652_001:0486a10	死邊次生分受眾差別故非彼體。六者從彼	死 邊 次 生 分 受 眾 差 別 故 非 彼 體 六 者 從 彼 
T32n1652_001:0486a11	出生故非別異。七者因緣和合故無作者。八	出 生 故 非 別 異 七 者 因緣和合 故 無 作 者 八 
T32n1652_001:0486a12	者煩惱業為因故非無因。九者迦羅邏。頞浮	者 煩 惱 業 為 因 故 非 無 因 九 者 迦 羅 邏 頞 浮 
T32n1652_001:0486a13	陀箄尸。伽那奢佉。出胎。嬰孩。童子。少年。	陀 箄 尸 伽 那 奢 佉 出 胎 嬰 孩 童 子 少 年 
T32n1652_001:0486a14	長宿等。傳傳相生。故念念空。十者善不善熏。	長 宿 等 傳 傳 相 生 故 念 念 空 十 者 善 不 善 熏 
T32n1652_001:0486a15	隨因差別果轉出故。同類果相繫。	隨 因 差 別 果 轉 出 故 同 類 果 相 繫 
T32n1652_001:0486a16	又有三偈。	又 有 三 偈 
T32n1652_001:0486a17	　如燈炎轉生　　識身亦如是	 如 燈 炎 轉 生 識 身 亦 如 是 
T32n1652_001:0486a18	　先際與後際　　亦無有聚集	 先 際 與 後 際 亦 無 有 聚 集 
T32n1652_001:0486a19	　無生亦有生　　破壞無相著	 無 生 亦 有 生 破 壞 無 相 著 
T32n1652_001:0486a20	　生已亦無住　　而此作業轉	 生 已 亦 無 住 而 此 作 業 轉 
T32n1652_001:0486a21	　若於彼緣生　　而能觀知空	 若 於 彼 緣 生 而 能 觀 知 空 
T32n1652_001:0486a22	　為其施設教　　彼亦是中道	 為 其 施 設 教 彼 亦 是 中 道 
T32n1652_001:0486a23	於中無明行渴愛取有。是為集諦。識名色六	於 中 無 明 行 渴 愛 取 有 是 為 集 諦 識 名 色 六 
T32n1652_001:0486a24	入觸受生老死。是為苦諦。彼等十二分滅。是	入 觸 受 生 老 死 是 為 苦 諦 彼 等 十 二 分 滅 是 
T32n1652_001:0486a25	為滅諦。若於緣生如實能知。是為道諦。	為 滅 諦 若 於 緣 生 如 實 能 知 是 為 道 諦 
T32n1652_001:0486a26	緣生論	緣 生 論 
