X62n1205_001:0713c02	報恩論	報 恩 論 
X62n1205_001:0723a08	作三土因耳。故知淨土正究理菩薩所登境界。而	作 三 土 因 耳 故 知 淨 土 正 究 理 菩 薩 所 登 境 界 而 
X62n1205_001:0723a09	兼容悠悠眾生耳。又云圓機體道。是最上淨業。苟	兼 容 悠 悠 眾 生 耳 又 云 圓 機 體 道 是 最 上 淨 業 苟 
X62n1205_001:0723a10	加願以導之。即預優品。愚朴之輩。但稱佛發願者	加 願 以 導 之 即 預 優 品 愚 朴 之 輩 但 稱 佛 發 願 者 
X62n1205_001:0723a11	亦生。觀淨土一門。則聖人無棄物也。按所云正觀。	亦 生 觀 淨 土 一 門 則 聖 人 無 棄 物 也 按 所 云 正 觀 
X62n1205_001:0723a12	通乎上中。所云助行。通乎中下。又法師此論極善。	通 乎 上 中 所 云 助 行 通 乎 中 下 又 法 師 此 論 極 善 
X62n1205_001:0723a13	觀者毋忽(蓮師慎重引此。讀者亟宜著眼)。	觀 者 毋 忽 蓮 師 慎 重 引 此 讀 者 亟 宜 著 眼 
X62n1205_001:0723a14	觀無量壽佛經(劉宋畺良耶舍譯)云。欲生彼國者。當修三福。	觀 無 量 壽 佛 經 劉 宋 畺 良 耶 舍 譯 云 欲 生 彼 國 者 當 修 三 福 
X62n1205_001:0723a15	一者孝養父母。奉事師長。慈心不殺。修十善業。二者	一 者 孝 養 父 母 奉 事 師 長 慈 心 不 殺 修 十 善 業 二 者 
X62n1205_001:0723a16	受持三歸。具足眾戒。不犯威儀。三者發菩提心。深信	受 持 三 歸 具 足 眾 戒 不 犯 威 儀 三 者 發菩提心 深 信 
X62n1205_001:0723a17	因果。讀誦大乘。勸進行者。如此三事。名為淨業。佛告	因 果 讀 誦 大 乘 勸 進 行 者 如 此 三 事 名 為 淨 業 佛 告 
X62n1205_001:0723a18	韋提希。汝今知不。此三種業。過去未來現在三世諸	韋 提 希 汝 今 知 不 此 三 種 業 過去未來現在 三 世 諸 
X62n1205_001:0723a19	佛淨業正因。	佛 淨 業 正 因 
X62n1205_001:0723a20	謹按第一專指在家二眾。言父母師長。則包尊君	謹 按 第 一 專 指 在 家 二 眾 言 父 母 師 長 則 包 尊 君 
X62n1205_001:0723a21	親上可知。殺盜淫為身三惡。妄言綺語兩舌惡口	親 上 可 知 殺 盜 淫 為 身 三 惡 妄 言 綺 語 兩 舌 惡 口 
X62n1205_001:0723a22	為口四惡。貪瞋癡亦名邪見。名意三惡。反是十者	為 口 四 惡 貪 瞋 癡 亦 名 邪 見 名 意 三 惡 反 是 十 者 
X62n1205_001:0723a23	名十善業。不殺居十善之首。重言慈心不殺者。自	名 十 善 業 不 殺 居 十 善 之 首 重 言 慈 心 不 殺 者 自 
X62n1205_001:0723a24	求往生極樂。而令眾生劇苦橫死。則與本願大相	求 往 生 極 樂 而 令 眾 生 劇 苦 橫 死 則 與 本 願 大 相 
X62n1205_001:0723b01	反。故特提之。以見殺業最重。雖不持戒。亦不可犯	反 故 特 提 之 以 見 殺 業 最 重 雖 不 持 戒 亦 不 可 犯 
X62n1205_001:0723b02	也。第二兼在家出家大小乘戒。第三則專指大乘。	也 第 二 兼 在家出家 大 小 乘 戒 第 三 則 專 指 大 乘 
X62n1205_001:0723b03	凡後後皆兼前前。前則不兼後。就文自明。大本言	凡 後 後 皆 兼 前 前 前 則 不 兼 後 就 文 自 明 大 本 言 
X62n1205_001:0723b04	三輩皆發菩提心。此第一第二不言者。念佛即是	三 輩 皆 發菩提心 此 第 一 第 二 不 言 者 念 佛 即 是 
X62n1205_001:0723b05	菩提心。詳見上註。三輩兼論因果。故出家居首。此	菩 提 心 詳 見 上 註 三 輩 兼 論 因 果 故 出 家 居 首 此 
X62n1205_001:0723b06	專論因。故在家居首。十善業等。無非世間法。但受	專 論 因 故 在 家 居 首 十 善 業 等 無 非 世 間 法 但 受 
X62n1205_001:0723b07	人天福報。而為三世諸佛淨業正因者。華嚴十地	人 天 福 報 而 為 三世諸佛 淨 業 正 因 者 華 嚴 十 地 
X62n1205_001:0723b08	菩薩。皆不離念佛。又念佛三昧經。亦言三世諸佛。	菩 薩 皆 不 離 念 佛 又 念佛三昧 經 亦 言 三世諸佛 
X62n1205_001:0723b09	皆以念佛得度。則即轉人天因果為佛因果。可見	皆 以 念 佛 得 度 則 即 轉 人 天 因 果 為 佛 因 果 可 見 
X62n1205_001:0723b10	一切法門。無非念佛。又見一切佛法。不離世法矣。	一切法門 無 非 念 佛 又 見 一切佛法 不 離 世 法 矣 
X62n1205_001:0723b11	又云。佛告阿難及韋提希。下品上生者。或有眾生。作	又 云 佛 告 阿 難 及 韋 提 希 下 品 上 生 者 或 有 眾 生 作 
X62n1205_001:0723b12	眾惡業。雖不誹謗方等經典。如此愚人。多造惡法。無	眾 惡 業 雖 不 誹 謗 方 等 經 典 如 此 愚 人 多 造 惡 法 無 
X62n1205_001:0723b13	有慚愧。命欲終時。遇善知識。為說大乘十二部經首	有 慚 愧 命 欲 終 時 遇 善 知 識 為 說 大 乘 十二部經 首 
X62n1205_001:0723b14	題名字。以聞如是諸經名故。除却千劫極重惡業。智	題 名 字 以 聞 如 是 諸 經 名 故 除 却 千 劫 極 重 惡 業 智 
X62n1205_001:0723b15	者復教合掌叉手。稱南無阿彌陀佛。稱佛名故。除五	者 復 教 合 掌 叉 手 稱 南 無 阿 彌 陀 佛 稱 佛 名 故 除 五 
X62n1205_001:0723b16	十億劫生死之罪。爾時彼佛。即遣化佛化觀世音化	十 億 劫 生 死 之 罪 爾 時 彼 佛 即 遣 化 佛 化 觀 世 音 化 
X62n1205_001:0723b17	大勢至。至行者前。讚言善男子。汝稱佛名故。諸罪消	大 勢 至 至 行 者 前 讚 言 善 男 子 汝 稱 佛 名 故 諸 罪 消 
X62n1205_001:0723b18	滅。我來迎汝。作是語已。行者即見化佛光明。徧滿其	滅 我 來 迎 汝 作是語已 行 者 即 見 化 佛 光 明 徧 滿 其 
X62n1205_001:0723b19	室。見已歡喜。即便命終。乘寶蓮華。隨化佛後。生寶池	室 見 已 歡 喜 即 便 命 終 乘 寶 蓮 華 隨 化 佛 後 生 寶 池 
X62n1205_001:0723b20	中。	中 
X62n1205_001:0723b21	謹按阿彌陀佛四十八願中。有云十方眾生。欲生	謹 按 阿 彌 陀 佛 四 十 八 願 中 有 云 十 方 眾 生 欲 生 
X62n1205_001:0723b22	我國。至心信樂。乃至十念。若不生者。不取正覺。惟	我 國 至 心 信 樂 乃 至 十 念 若 不 生 者 不取正覺 惟 
X62n1205_001:0723b23	除五逆誹謗正法。故此品化佛來迎。不讚聞經功	除 五 逆 誹謗正法 故 此 品 化 佛 來 迎 不 讚 聞 經 功 
X62n1205_001:0723b24	德。但讚稱名。為其願力。與本願力相應也。	德 但 讚 稱 名 為 其 願 力 與 本 願 力 相 應 也 
X62n1205_001:0723c01	又云下品下生者。或有眾生。作不善業。五逆十惡。具	又 云 下 品 下 生 者 或 有 眾 生 作 不 善 業 五 逆 十 惡 具 
X62n1205_001:0723c02	諸不善。如此愚人。以惡逆故。應墮惡道。經歷多劫。受	諸 不 善 如 此 愚 人 以 惡 逆 故 應 墮 惡 道 經 歷 多 劫 受 
X62n1205_001:0723c03	苦無窮。如此愚人。臨命終時。遇善知識。種種安慰。為	苦 無 窮 如 此 愚 人 臨命終時 遇 善 知 識 種 種 安 慰 為 
X62n1205_001:0723c04	說妙法。教令念佛。此人苦逼。不遑念佛。善友告言。汝	說 妙 法 教 令 念 佛 此 人 苦 逼 不 遑 念 佛 善 友 告 言 汝 
X62n1205_001:0723c05	若不能念者。應稱無量壽佛名。如是至心。令聲不絕。	若 不 能 念 者 應 稱 無 量 壽 佛 名 如 是 至 心 令 聲 不 絕 
X62n1205_001:0723c06	具足十念。稱南無阿彌陀佛名故。於念念中。除八十	具 足 十 念 稱 南 無 阿 彌 陀 佛 名 故 於念念中 除 八 十 
X62n1205_001:0723c07	億劫生死之罪。命終之時。見金蓮花。猶如日輪。住其	億 劫 生 死 之 罪 命 終 之 時 見 金 蓮 花 猶 如 日 輪 住 其 
X62n1205_001:0723c08	人前。如一念頃。即得往生極樂世界。	人 前 如 一 念 頃 即 得 往 生 極樂世界 
X62n1205_001:0723c09	謹按念佛與觀佛異。觀佛須依經所說。光明相好。	謹 按 念 佛 與 觀 佛 異 觀 佛 須 依 經 所 說 光 明 相 好 
X62n1205_001:0723c10	了了分明。念則但凝神注想。如對佛前。此人苦逼	了 了 分 明 念 則 但 凝 神 注 想 如 對 佛 前 此 人 苦 逼 
X62n1205_001:0723c11	心亂。并此不能。故勸令出聲稱名。以助念力也。至	心 亂 并 此 不 能 故 勸 令 出 聲 稱 名 以 助 念 力 也 至 
X62n1205_001:0723c12	心者。猶言專心致志也。此章說九品生相。經文或	心 者 猶 言 專 心 致 志 也 此 章 說 九 品 生 相 經 文 或 
X62n1205_001:0723c13	此詳彼略。如上節言合掌叉手。此節言至心等三	此 詳 彼 略 如 上 節 言 合 掌 叉 手 此 節 言 至 心 等 三 
X62n1205_001:0723c14	句。實互相補備也。既言至心。又言令聲不絕。具足	句 實 互 相 補 備 也 既 言 至 心 又 言 令 聲 不 絕 具 足 
X62n1205_001:0723c15	十念者。正顯稱名威力之大。與佛本願相應。譬如	十 念 者 正 顯 稱 名 威 力 之 大 與 佛 本 願 相 應 譬 如 
X62n1205_001:0723c16	遇賊追殺。奔呼求捄。爾時佈急之極。或恐救遲。或	遇 賊 追 殺 奔 呼 求 捄 爾 時 佈 急 之 極 或 恐 救 遲 或 
X62n1205_001:0723c17	恐追近。襍念勢所必有。而要其呼求之心。仍自十	恐 追 近 襍 念 勢 所 必 有 而 要 其 呼 求 之 心 仍 自 十 
X62n1205_001:0723c18	分真切。昔人解此。為信力念力二俱勇決。可謂善	分 真 切 昔 人 解 此 為 信 力 念 力 二 俱 勇 決 可 謂 善 
X62n1205_001:0723c19	於體會矣。至五逆不得往生。此經與大本經相違。	於 體 會 矣 至 五 逆 不 得 往 生 此 經 與 大 本 經 相 違 
X62n1205_001:0723c20	乃時節因緣。論中已詳辨之。	乃 時 節 因 緣 論 中 已 詳 辨 之 
X62n1205_001:0723c21	又云。若念佛者。當知此人是人中分陀利華。觀世音	又 云 若 念 佛 者 當 知 此 人 是 人 中 分 陀 利 華 觀 世 音 
X62n1205_001:0723c22	菩薩大勢至菩薩為其勝友。當坐道場。生諸佛家。佛	菩 薩 大 勢 至 菩 薩 為 其 勝 友 當 坐 道 場 生 諸 佛 家 佛 
X62n1205_001:0723c23	告阿難。汝好持是語。持是語者。即是持無量壽佛名。	告 阿 難 汝 好 持 是 語 持 是 語 者 即 是 持 無 量 壽 佛 名 
X62n1205_001:0723c24	謹按此結語。可見本師先說大本小本。後說此本。	謹 按 此 結 語 可 見 本 師 先 說 大 本 小 本 後 說 此 本 
X62n1205_001:0724a01	可見淨宗本旨。專重持名。葢往生彼國。全賴彌陀	可 見 淨 宗 本 旨 專 重 持 名 葢 往 生 彼 國 全 賴 彌 陀 
X62n1205_001:0724a02	本願。以名接物。大力攝持。其為易行道者在此。其	本 願 以 名 接 物 大 力 攝 持 其 為 易 行 道 者 在 此 其 
X62n1205_001:0724a03	為難信法者亦在此。故此經特應韋提希之請。開	為 難 信 法 者 亦 在 此 故 此 經 特 應 韋 提 希 之 請 開 
X62n1205_001:0724a04	異方便。令當來眾生。現生親證。以堅正信。而仍結	異 方 便 令 當 來 眾 生 現 生 親 證 以 堅 正 信 而 仍 結 
X62n1205_001:0724a05	歸本旨。概稱念佛。又申結以即是持名者。以名可	歸 本 旨 概 稱 念 佛 又 申 結 以 即 是 持 名 者 以 名 可 
X62n1205_001:0724a06	賅相。舉名而一切功德莊嚴自在其中。如稱天而	賅 相 舉 名 而 一切功德 莊 嚴 自 在 其 中 如 稱 天 而 
X62n1205_001:0724a07	日月星辰在其中。稱地而山川原隰在其中。眾生	日 月 星 辰 在 其 中 稱 地 而 山 川 原 隰 在 其 中 眾 生 
X62n1205_001:0724a08	妄想分別。作觀難而稱名易。故特鄭重囑付。以顯	妄想分別 作 觀 難 而 稱 名 易 故 特 鄭 重 囑 付 以 顯 
X62n1205_001:0724a09	名號本願威力之大。稱名者。一一聲中。不啻親證	名 號 本 願 威 力 之 大 稱 名 者 一 一 聲 中 不 啻 親 證 
X62n1205_001:0724a10	一切依正功德莊嚴也。然則往生之重在佛名號	一 切 依 正 功德莊嚴 也 然 則 往 生 之 重 在 佛 名 號 
X62n1205_001:0724a11	力可知矣。而淨宗本旨之專念他佛。仗他力。並無	力 可 知 矣 而 淨 宗 本 旨 之 專 念 他 佛 仗 他 力 並 無 
X62n1205_001:0724a12	自佛自力之說。亦可知矣。善讀者曷審思之。	自 佛 自 力 之 說 亦 可 知 矣 善 讀 者 曷 審 思 之 
X62n1205_001:0724a13	大集賢護經(隋都那崛多譯)云。爾時阿彌陀佛。語是菩薩言。	大 集 賢 護 經 隋 都 那 崛 多 譯 云 爾 時 阿 彌 陀 佛 語 是 菩 薩 言 
X62n1205_001:0724a14	若人發心求生此者。常當繫心正念相續阿彌陀佛。	若 人 發 心 求 生 此 者 常 當 繫 心 正 念 相 續 阿 彌 陀 佛 
X62n1205_001:0724a15	便得生也。(節)阿彌陀如來。告彼人言。諸善男子。汝當	便 得 生 也 節 阿 彌 陀 如 來 告 彼 人 言 諸 善 男 子 汝 當 
X62n1205_001:0724a16	正念。精勤修習。發廣大心。必生此也。(節)阿彌陀佛復	正 念 精勤修習 發 廣 大 心 必 生 此 也 節 阿 彌 陀 佛 復 
X62n1205_001:0724a17	告彼言。諸善男子。若汝今欲正念佛者。當如是念。今	告 彼 言 諸 善 男 子 若 汝 今 欲 正 念 佛 者 當 如 是 念 今 
X62n1205_001:0724a18	者阿彌陀如來。具有如是三十二相。八十隨形好。身	者 阿 彌 陀 如 來 具 有 如 是 三十二相 八十隨形好 身 
X62n1205_001:0724a19	色光明。坐師子座沙門眾中。說如斯法。其所說者。謂	色 光 明 坐 師 子 座 沙 門 眾 中 說 如 斯 法 其 所 說 者 謂 
X62n1205_001:0724a20	一切法本來不壞。亦無壞者。如不壞色。乃至不壞識	一 切 法 本 來 不 壞 亦 無 壞 者 如 不 壞 色 乃 至 不 壞 識 
X62n1205_001:0724a21	等諸陰故。又如不壞地。乃至不壞風等諸大故。又不	等 諸 陰 故 又 如 不 壞 地 乃 至 不 壞 風 等 諸 大 故 又 不 
X62n1205_001:0724a22	壞色。乃至不壞觸等諸入故。又不壞梵。乃至不壞一	壞 色 乃 至 不 壞 觸 等 諸 入 故 又 不 壞 梵 乃 至 不 壞 一 
X62n1205_001:0724a23	切世主等(節)。	切 世 主 等 節 
X62n1205_001:0724a24	謹按千經萬論。處處指歸淨土。西方合論中。已略	謹 按 千 經 萬 論 處 處 指 歸 淨 土 西 方 合 論 中 已 略 
X62n1205_001:0724b01	具之。修淨業者。固當博觀全經。而阿彌陀佛說法。	具 之 修 淨 業 者 固 當 博 觀 全 經 而 阿 彌 陀 佛 說 法 
X62n1205_001:0724b02	惟見此經。(密部摩護壇中。徃徃有彌陀說法。然皆梵呪。故無可引)合論失載。	惟 見 此 經 密 部 摩 護 壇 中 徃 徃 有 彌 陀 說 法 然 皆 梵 呪 故 無 可 引 合 論 失 載 
X62n1205_001:0724b03	故特節錄於此。上云繫心正念相續。下云精勤修	故 特 節 錄 於 此 上 云 繫 心 正 念 相 續 下 云 精 勤 修 
X62n1205_001:0724b04	習。發廣大心者。葢即大本一向專念。萬行回向之	習 發 廣 大 心 者 葢 即 大 本 一 向 專 念 萬 行 回 向 之 
X62n1205_001:0724b05	意不壞色等者。不離根塵界處也。楞嚴二十五菩	意 不 壞 色 等 者 不 離 根 塵 界 處 也 楞 嚴 二 十 五 菩 
X62n1205_001:0724b06	薩。各說方便即其明證。不壞梵者不廢諸天業休	薩 各 說 方 便 即 其 明 證 不 壞 梵 者 不 廢 諸 天 業 休 
X62n1205_001:0724b07	咎祲祥等也。不壞一切世主者。不廢十方國土。王	咎 祲 祥 等 也 不 壞 一 切 世 主 者 不 廢 十 方 國 土 王 
X62n1205_001:0724b08	法人情等也。此之謂立處即真。此之謂當下即是。	法 人 情 等 也 此 之 謂 立 處 即 真 此 之 謂 當 下 即 是 
X62n1205_001:0724b09	此之謂唯此一身。身外無餘。此之謂是法住法位。	此 之 謂 唯 此 一 身 身 外 無 餘 此 之 謂 是 法 住 法 位 
X62n1205_001:0724b10	世間相常住。此之謂今現在說法。是故淨土法門。	世 間 相 常 住 此 之 謂 今 現 在 說 法 是 故 淨 土 法 門 
X62n1205_001:0724b11	但說事修。不說理性。極平極實。正是極圓極妙。而	但 說 事 修 不 說 理 性 極 平 極 實 正 是 極 圓 極 妙 而 
X62n1205_001:0724b12	不許說圓說妙。若必離平實而說圓妙。則早不圓	不 許 說 圓 說 妙 若 必 離 平 實 而 說 圓 妙 則 早 不 圓 
X62n1205_001:0724b13	妙矣。	妙 矣 
X62n1205_001:0724b14	謹按佛勸父淨飯王。歸心極樂淨土。而未嘗棄捨	謹 按 佛 勸 父 淨 飯 王 歸 心 極樂淨土 而 未 嘗 棄 捨 
X62n1205_001:0724b15	王位。七萬釋種。同奉佛教。亦未嘗勸令出家。佛豈	王 位 七 萬 釋 種 同 奉 佛 教 亦 未 嘗 勸 令 出 家 佛 豈 
X62n1205_001:0724b16	以其父與族黨。不足與語圓妙。而姑出於粗俗哉。	以 其 父 與 族 黨 不 足 與 語 圓 妙 而 姑 出 於 粗 俗 哉 
X62n1205_001:0724b17	試觀諸經。惟遺教專告比邱。(四十二章經。係彼土高僧譔集。故不論)	試 觀 諸 經 惟 遺 教 專 告 比 邱 四 十 二 章 經 係 彼 土 高 僧 譔 集 故 不 論 
X62n1205_001:0724b18	餘莫不稱善男子善女人。兼在家二眾言之。此理	餘 莫 不 稱 善 男 子 善 女 人 兼 在 家 二 眾 言 之 此 理 
X62n1205_001:0724b19	顯而易見。也教判五時。除第二鹿苑時。說阿含小	顯 而 易 見 也 教 判 五 時 除 第 二 鹿 苑 時 說 阿 含 小 
X62n1205_001:0724b20	部諸經不論外。其第一時。說華嚴部。末後以普賢	部 諸 經 不 論 外 其 第 一 時 說 華 嚴 部 末 後 以 普 賢 
X62n1205_001:0724b21	十大願王。導歸極樂。而善財五十三參善知識。在	十 大 願 王 導 歸 極 樂 而 善 財 五 十 三 參 善 知 識 在 
X62n1205_001:0724b22	家者居十之八九。童子如眾藝等。雜流如船師等。	家 者 居 十 之 八 九 童 子 如 眾 藝 等 雜 流 如 船 師 等 
X62n1205_001:0724b23	淫女如婆須密多等。外道如徧行等皆與焉。更何	淫 女 如 婆 須 密 多 等 外 道 如 徧 行 等 皆 與 焉 更 何 
X62n1205_001:0724b24	世法之可嫌也。淨土說在第三方等部。同部顯教。	世 法 之 可 嫌 也 淨 土 說 在 第 三 方 等 部 同 部 顯 教 
X62n1205_001:0724c01	諸經義類。固應相通。亦姑弗論。密部教分三部。金	諸 經 義 類 固 應 相 通 亦 姑 弗 論 密 部 教 分 三 部 金 
X62n1205_001:0724c02	剛部。以穢跡呪為總持。(此呪實說在涅槃時。以其同為密部。故備舉之)蓮	剛 部 以 穢 跡 呪 為 總 持 此 呪 實 說 在 涅 槃 時 以 其 同 為 密 部 故 備 舉 之 蓮 
X62n1205_001:0724c03	華部。以大悲呪為總持。瑜伽部。以準提為總持。三	華 部 以 大 悲 呪 為 總 持 瑜 伽 部 以 準 提 為 總 持 三 
X62n1205_001:0724c04	呪皆護持行人往生極樂。皆許呪水。治產難諸病。	呪 皆 護 持 行 人 往 生 極 樂 皆 許 呪 水 治 產 難 諸 病 
X62n1205_001:0724c05	準提並特開五葷不忌。尤為方便。則更何世法之	準 提 並 特 開 五 葷 不 忌 尤 為 方 便 則 更 何 世 法 之 
X62n1205_001:0724c06	拘礙也。第四時說般若部。般若為眾經母。大小乘	拘 礙 也 第 四 時 說 般 若 部 般 若 為 眾 經 母 大 小 乘 
X62n1205_001:0724c07	顯密諸教。無不從此流出。摩訶般若波羅密經六	顯 密 諸 教 無 不 從 此 流 出 摩訶般若 波 羅 密 經 六 
X62n1205_001:0724c08	百卷。窮元極妙。義富文繁。而天親菩薩造大智度	百 卷 窮 元 極 妙 義 富 文 繁 而 天 親 菩 薩 造 大 智 度 
X62n1205_001:0724c09	論釋之。謂佛說此經。欲令眾生修念佛三昧。得增	論 釋 之 謂 佛 說 此 經 欲 令 眾 生 修 念佛三昧 得 增 
X62n1205_001:0724c10	益故。(此念佛不必專指西方。而淨土持名法門。自在其中)且開卷先說六波	益 故 此 念 佛 不 必 專 指 西 方 而 淨 土 持 名 法 門 自 在 其 中 且 開 卷 先 說 六 波 
X62n1205_001:0724c11	羅密。包括萬善。其顯示般若。反覆開譬。不離根塵	羅 密 包 括 萬 善 其 顯 示 般 若 反 覆 開 譬 不 離 根 塵 
X62n1205_001:0724c12	界處。與賢護經阿彌陀佛所說一切不壞等。非異	界 處 與 賢 護 經 阿 彌 陀 佛 所 說 一 切 不 壞 等 非 異 
X62n1205_001:0724c13	非同。則平實之正是元妙。又何疑也。第五時說法	非 同 則 平 實 之 正 是 元 妙 又 何 疑 也 第 五 時 說 法 
X62n1205_001:0724c14	華涅槃部。法華通敘如來說教本末。開權顯實。大	華 涅 槃 部 法 華 通 敘 如 來 說 教 本 末 開 權 顯 實 大 
X62n1205_001:0724c15	暢本懷。授記現前大眾。皆得成佛。又特現女人受	暢 本 懷 授 記 現 前 大 眾 皆 得 成 佛 又 特 現 女 人 受 
X62n1205_001:0724c16	持斯經。往生極樂。以作當來榜樣。而其澈底開示。	持 斯 經 往 生 極 樂 以 作 當 來 榜 樣 而 其 澈 底 開 示 
X62n1205_001:0724c17	直曰若人散亂心。入於塔廟中。一稱南無佛。皆已	直 曰 若 人 散 亂 心 入 於 塔 廟 中 一 稱 南 無 佛 皆 已 
X62n1205_001:0724c18	成佛道。又曰治世語言。資生產業。皆與實相不相	成 佛 道 又 曰 治 世 語 言 資 生 產 業 皆 與 實 相 不 相 
X62n1205_001:0724c19	違背。然則一向專念之必成佛道。萬善回向之不	違 背 然 則 一 向 專 念 之 必 成 佛 道 萬 善 回 向 之 不 
X62n1205_001:0724c20	離世法。不背實相。較然可知。而又何擬議也。涅槃	離 世 法 不 背 實 相 較 然 可 知 而 又 何 擬 議 也 涅 槃 
X62n1205_001:0724c21	扶律談常。最為平實明顯。即以律藏論。一切諸戒。	扶 律 談 常 最 為 平 實 明 顯 即 以 律 藏 論 一 切 諸 戒 
X62n1205_001:0724c22	無不以在家五戒為根本。廣之為優婆塞戒。(大本言。無	無 不 以 在 家 五 戒 為 根 本 廣 之 為 優婆塞戒 大 本 言 無 
X62n1205_001:0724c23	尊無[(白日+田)/廾]。無富無貧。少長男女。共憂錢財云云。以近世人情觀之。可謂千古一轍。然即此可見佛法之圓融。	尊 無 [白日田廾] 無 富 無 貧 少 長 男 女 共 憂 錢 財 云 云 以 近 世 人 情 觀 之 可 謂 千 古 一 轍 然 即 此 可 見 佛 法 之 圓 融 
X62n1205_001:0724c24	其下文言何不棄世事。念道之自然者。正謂何必徒多膠擾煩惱。非謂當盡棄捐也。如優婆塞戒經言。善	其 下 文 言 何 不 棄 世 事 念 道 之 自 然 者 正 謂 何 必 徒 多 膠 擾 煩 惱 非 謂 當 盡 棄 捐 也 如 優婆塞戒 經 言 善 
X62n1205_001:0725a01	男子。受優婆塞戒。先學世事。既學通達。如法求財。一分應供父母妻子眷屬。二分應作如法販轉。留餘一	男 子 受 優婆塞戒 先 學 世 事 既 學 通 達 如 法 求 財 一 分 應 供 父 母 妻子眷屬 二 分 應 作 如 法 販 轉 留 餘 一 
X62n1205_001:0725a02	分。應積俟用。又言財物。不應寄付四處。一者老人。二者遠處。三者惡人。四者大力云云。然則依教奉行。不	分 應 積 俟 用 又 言 財 物 不 應 寄 付 四 處 一 者 老 人 二 者 遠 處 三 者 惡 人 四 者 大 力 云 云 然 則 依 教 奉 行 不 
X62n1205_001:0725a03	但無礙世法。且極精明。學者自誤會耳)又廣之為比邱二百五十戒。	但 無 礙 世 法 且 極 精 明 學 者 自 誤 會 耳 又 廣 之 為 比 邱 二百五十戒 
X62n1205_001:0725a04	無非就世法人情。加嚴加密。復約之為菩薩十重	無 非 就 世 法 人 情 加 嚴 加 密 復 約 之 為 菩 薩 十 重 
X62n1205_001:0725a05	四十八輕戒。統制出家在家七眾。其隨時隨地開	四 十 八 輕 戒 統 制 出 家 在 家 七 眾 其 隨 時 隨 地 開 
X62n1205_001:0725a06	遮持犯。無非圓融世法人情。使不障礙。非有別法	遮 持 犯 無 非 圓 融 世 法 人 情 使 不 障 礙 非 有 別 法 
X62n1205_001:0725a07	也。(詳見蓮池戒疏發隱。蕅益梵網合註。而合註為勝。發隱於殺戒中。內色外色一條。實誤。不可從)	也 詳 見 蓮 池 戒 疏 發 隱 蕅 益 梵 網 合 註 而 合 註 為 勝 發 隱 於 殺 戒 中 內 色 外 色 一 條 實 誤 不 可 從 
X62n1205_001:0725a08	是以大本三輩往生。在家居二。皆以專念為正行。	是 以 大 本 三 輩 往 生 在 家 居 二 皆 以 專 念 為 正 行 
X62n1205_001:0725a09	萬善為助行。其所謂善。自恭敬供養諸佛事外。不	萬 善 為 助 行 其 所 謂 善 自 恭敬供養 諸 佛 事 外 不 
X62n1205_001:0725a10	過就父子君臣夫婦昆弟朋友之間。勤修身三口	過 就 父 子 君 臣 夫 婦 昆 弟 朋 友 之 間 勤 修 身 三 口 
X62n1205_001:0725a11	四意三諸業。止惡進善。(五痛五燒章。節節唱言獨作諸善。即是翻上諸惡。文	四 意 三 諸 業 止 惡 進 善 五 痛 五 燒 章 節 節 唱 言 獨 作 諸 善 即 是 翻 上 諸 惡 文 
X62n1205_001:0725a12	理極明)再三申勸。全同小乘。乃經前列眾歎德。特創	理 極 明 再 三 申 勸 全 同 小 乘 乃 經 前 列 眾 歎 德 特 創 
X62n1205_001:0725a13	一切大乘妙典所未有。直據本師示現受生。示現	一切大乘 妙 典 所 未 有 直 據 本 師 示 現 受 生 示 現 
X62n1205_001:0725a14	苦行。以至十相成道等。(會疏備詳。其總結言如來出世本懷。頓圓上上妙典。	苦 行 以 至 十 相 成 道 等 會 疏 備 詳 其 總 結 言 如 來 出 世 本 懷 頓 圓 上 上 妙 典 
X62n1205_001:0725a15	在文明白。誰容擬議。味道君子。請深著眼云云。可謂知言)因源果海。引發當經。	在 文 明 白 誰 容 擬 議 味 道 君 子 請 深 著 眼 云 云 可 謂 知 言 因 源 果 海 引 發 當 經 
X62n1205_001:0725a16	(此段歎德。漢吳二譯無之。寶積經中無量壽會。唐譯本有之。大同小異。葢梵夾傳本。間有異同。諸經皆然。	 此 段 歎 德 漢 吳 二 譯 無 之 寶 積 經 中 無 量 壽 會 唐 譯 本 有 之 大 同 小 異 葢 梵 夾 傳 本 間 有 異 同 諸 經 皆 然 
X62n1205_001:0725a17	類如儒書。今古文家之別)葢結集者深達如來此會時節因緣。	類 如 儒 書 今 古 文 家 之 別 葢 結 集 者 深 達 如 來 此 會 時 節 因 緣 
X62n1205_001:0725a18	寄現前眾。表現在法。以見三世諸佛菩薩。歷劫修	寄 現 前 眾 表 現 在 法 以 見 三世諸佛 菩 薩 歷 劫 修 
X62n1205_001:0725a19	證。不離乎此。而眾生現前介爾一念念佛之心。直	證 不 離 乎 此 而 眾 生 現 前 介 爾 一 念 念 佛 之 心 直 
X62n1205_001:0725a20	可現生取辦。此其所以為易行道也。(龍樹菩薩語)所以	可 現 生 取 辦 此 其 所 以 為 易 行 道 也 龍 樹 菩 薩 語 所 以 
