T42n1824_001:0001a03	中論序疏	中 論 序 疏 
T42n1824_001:0005c27	發觀。故從所破受名故以目品。二者因緣義	發 觀 故 從 所 破 受 名 故 以 目 品 二 者 因 緣 義 
T42n1824_001:0005c28	總。故標在論初。以生死涅槃凡聖解惑皆是	總 故 標 在 論 初 以 生死涅槃 凡 聖 解 惑 皆 是 
T42n1824_001:0005c29	假名相待無有自性稱為因緣義。故因緣義	假 名 相 待 無 有 自 性 稱 為 因 緣 義 故 因 緣 義 
T42n1824_001:0006a01	總。又九十六種術非因緣義。以對外道非因	總 又 九 十 六 種 術 非 因 緣 義 以 對 外 道 非 因 
T42n1824_001:0006a02	緣義明一切佛法皆是因緣義因緣義總。問	緣 義 明 一切佛法 皆 是 因 緣 義 因 緣 義 總 問 
T42n1824_001:0006a03	何故辨此因緣耶。答亦為釋成八不義。以萬	何 故 辨 此 因 緣 耶 答 亦 為 釋 成 八 不 義 以 萬 
T42n1824_001:0006a04	法皆是因緣無有自性。以無自性是故不生。	法 皆 是 因 緣 無 有 自 性 以 無 自 性 是 故 不 生 
T42n1824_001:0006a05	顯於中實令因中發觀。是以建首辨通因緣。	顯 於 中 實 令 因 中 發 觀 是 以 建 首 辨 通 因 緣 
T42n1824_001:0006a06	三者此品觀十二因緣。故云觀因緣品。問何	三 者 此 品 觀十二因緣 故 云 觀 因 緣 品 問 何 
T42n1824_001:0006a07	以知觀十二因緣以目品耶。答凡有三證。一	以 知 觀十二因緣 以 目 品 耶 答 凡 有 三 證 一 
T42n1824_001:0006a08	者論主偈云。能說是因緣善滅諸戲論。能說	者 論 主 偈 云 能 說 是 因 緣 善 滅 諸 戲 論 能 說 
T42n1824_001:0006a09	是因緣者。謂說十二因緣不生不滅等。故知	是 因 緣 者 謂 說 十二因緣 不生不滅 等 故 知 
T42n1824_001:0006a10	是十二因緣。故青目釋云。前為聲聞人說十	是 十二因緣 故 青 目 釋 云 前 為 聲 聞 人 說 十 
T42n1824_001:0006a11	二因緣是生滅法。後為菩薩說十二因緣不	二 因 緣 是 生 滅 法 後 為 菩 薩 說 十二因緣 不 
T42n1824_001:0006a12	生不滅。二者論引大品經云。菩薩坐道場時	生 不 滅 二 者 論 引 大 品 經 云 菩 薩 坐 道 場 時 
T42n1824_001:0006a13	觀十二因緣如虛空不可盡。三者後小乘兩	觀十二因緣 如 虛 空 不 可 盡 三 者 後 小 乘 兩 
T42n1824_001:0006a14	品外人問云。前已聞大乘法入第一義。今欲	品 外 人 問 云 前 已 聞 大 乘 法 入 第 一 義 今 欲 
T42n1824_001:0006a15	聞聲聞法入第一義。論主還舉十二因緣答	聞 聲 聞 法 入 第 一 義 論 主 還 舉 十二因緣 答 
T42n1824_001:0006a16	之。小乘從十二生滅門入第一義。則知大乘	之 小 乘 從 十 二 生 滅 門 入 第 一 義 則 知 大 乘 
T42n1824_001:0006a17	悟十二無生滅門名入第一義。以三義推之。	悟 十 二 無 生 滅 門 名 入 第 一 義 以 三 義 推 之 
T42n1824_001:0006a18	故知觀十二因緣以目因緣品也。問何故從	故 知 觀十二因緣 以 目 因 緣 品 也 問 何 故 從 
T42n1824_001:0006a19	觀十二因緣立名不從破四緣受稱也。答略	觀十二因緣 立 名 不 從 破 四 緣 受 稱 也 答 略 
T42n1824_001:0006a20	明十義。一者十二因緣正明內法過患。菩薩	明 十 義 一 者 十二因緣 正 明 內 法 過 患 菩 薩 
T42n1824_001:0006a21	欲度十二因緣河。故觀於十二。四緣通有為	欲 度 十二因緣 河 故 觀 於 十 二 四 緣 通 有 為 
T42n1824_001:0006a22	無為。不正明內法過患。故菩薩不欲度於四	無 為 不 正 明 內 法 過 患 故 菩 薩 不 欲 度 於 四 
T42n1824_001:0006a23	緣河。故不就四緣以明觀行。但為外人不受	緣 河 故 不 就 四 緣 以 明 觀 行 但 為 外 人 不 受 
T42n1824_001:0006a24	十二無生故舉四緣生立有生義。今破四緣	十 二 無 生 故 舉 四 緣 生 立 有 生 義 今 破 四 緣 
T42n1824_001:0006a25	生還成十二無生義。所以觀十二緣也。二者	生 還 成 十 二 無 生 義 所 以 觀 十 二 緣 也 二 者 
T42n1824_001:0006a26	十二因緣通於得失苞含大小。是故觀之。如	十二因緣 通 於 得 失 苞 含 大 小 是 故 觀 之 如 
T42n1824_001:0006a27	不達因緣成於兩見。一邪因外道。二無因執	不 達 因 緣 成 於 兩 見 一 邪 因 外 道 二 無 因 執 
T42n1824_001:0006a28	計。舉此二迷則總收九十六種術。得於因緣	計 舉 此 二 迷 則 總 收 九 十 六 種 術 得 於 因 緣 
T42n1824_001:0006a29	亦有二人。一者聲聞。二者菩薩。是故十二	亦 有 二 人 一 者 聲 聞 二 者 菩 薩 是 故 十 二 
T42n1824_001:0006b01	該羅得失苞含大小。三者經言。三狩同度十	該 羅 得 失 苞 含 大 小 三 者 經 言 三 狩 同 度 十 
T42n1824_001:0006b02	二緣河。二乘未盡其原。猶如兔馬。大士方	二 緣 河 二 乘 未 盡 其 原 猶 如 兔 馬 大 士 方 
T42n1824_001:0006b03	徹其底類彼象王。此論欲明菩薩所行故觀	徹 其 底 類 彼 象 王 此 論 欲 明 菩薩所行 故 觀 
T42n1824_001:0006b04	於十二。四者經曰。凡夫順十二因緣故流轉	於 十 二 四 者 經 曰 凡 夫 順 十二因緣 故 流 轉 
T42n1824_001:0006b05	生死。二乘逆十二因緣沈彼涅槃。大士體此	生 死 二 乘 逆 十二因緣 沈 彼 涅 槃 大 士 體 此 
T42n1824_001:0006b06	因緣本自不生故不同凡夫之順。今亦不滅	因 緣 本 自 不 生 故 不 同 凡 夫 之 順 今 亦 不 滅 
T42n1824_001:0006b07	則異二乘之逆。故非凡夫行非賢聖行是菩	則 異 二 乘 之 逆 故 非 凡 夫 行 非 賢 聖 行 是 菩 
T42n1824_001:0006b08	薩行。此論欲申明菩薩所行故觀於十二。五	薩 行 此 論 欲 申 明 菩薩所行 故 觀 於 十 二 五 
T42n1824_001:0006b09	者此論引大品云。菩薩坐道場時。觀十二因	者 此 論 引 大 品 云 菩 薩 坐 道 場 時 觀 十 二 因 
T42n1824_001:0006b10	緣不生不滅如虛空不可盡。即具三種波若。	緣 不生不滅 如 虛 空 不 可 盡 即 具 三 種 波 若 
T42n1824_001:0006b11	十二因緣不生不滅即實相波若。由十二因	十二因緣 不生不滅 即 實 相 波 若 由 十 二 因 
T42n1824_001:0006b12	緣本無生無滅發生正觀即觀照波若。為眾	緣 本 無生無滅 發 生 正 觀 即 觀 照 波 若 為 眾 
T42n1824_001:0006b13	生故如實說之即文字波若。問觀因緣但是	生 故 如 實 說 之 即 文 字 波 若 問 觀 因 緣 但 是 
T42n1824_001:0006b14	般若亦是傴和不。答大士體因緣雖畢竟空	般 若 亦 是 傴 和 不 答 大 士 體 因 緣 雖 畢 竟 空 
T42n1824_001:0006b15	於六道眾生宛然而有。以照因緣有本來畢	於 六 道 眾 生 宛 然 而 有 以 照 因 緣 有 本 來 畢 
T42n1824_001:0006b16	竟空名為傴和般若。照畢竟空於眾生宛然	竟 空 名 為 傴 和 般 若 照 畢 竟 空 於 眾 生 宛 然 
T42n1824_001:0006b17	而有名般若傴和。以因緣能生權實兩慧為	而 有 名 般 若 傴 和 以 因 緣 能 生 權 實 兩 慧 為 
T42n1824_001:0006b18	法身父母。故命初觀之。六者大涅槃經明五	法 身 父 母 故 命 初 觀 之 六 者 大 涅 槃 經 明 五 
T42n1824_001:0006b19	種佛性。蓋是諸佛之祕藏萬流之宗極蘊在	種 佛 性 蓋 是 諸 佛 之 祕 藏 萬 流 之 宗 極 蘊 在 
T42n1824_001:0006b20	因緣之內。所以然者十二因緣不生不滅謂	因 緣 之 內 所 以 然 者 十二因緣 不生不滅 謂 
T42n1824_001:0006b21	境界佛性。由十二因緣本無生滅發生正觀	境 界 佛 性 由 十二因緣 本 無 生 滅 發 生 正 觀 
T42n1824_001:0006b22	即觀智佛性。斯觀明了即名菩提果佛性。正	即 觀 智 佛 性 斯 觀 明 了 即 名 菩 提 果 佛 性 正 
T42n1824_001:0006b23	觀既彰生死患累畢竟空永滅。即大涅槃果	觀 既 彰 生 死 患 累 畢 竟 空 永 滅 即 大 涅 槃 果 
T42n1824_001:0006b24	果佛性。然十二因緣本性寂滅未曾境智。亦	果 佛 性 然 十二因緣 本 性 寂 滅 未 曾 境 智 亦 
T42n1824_001:0006b25	非因果。不知何以目之強名正性。正性者五	非 因 果 不 知 何 以 目 之 強 名 正 性 正 性 者 五 
T42n1824_001:0006b26	性之本也。然此五性更無別體。但因緣一法	性 之 本 也 然 此 五 性 更 無 別 體 但 因 緣 一 法 
T42n1824_001:0006b27	轉而為五。因緣既具五性。是以命初即須論	轉 而 為 五 因 緣 既 具 五 性 是 以 命 初 即 須 論 
T42n1824_001:0006b28	之。七者涅槃經云。諸行無常是生滅法生滅	之 七 者 涅 槃 經 云 諸行無常 是 生 滅 法 生 滅 
T42n1824_001:0006b29	滅已寂滅為樂。雪山大士歎斯一偈為全如	滅 已 寂 滅 為 樂 雪 山 大 士 歎 斯 一 偈 為 全 如 
T42n1824_001:0006c01	意珠。為此半行偈棄捨身命。若住十二因緣	意 珠 為 此 半 行 偈 棄 捨 身 命 若 住 十二因緣 
T42n1824_001:0006c02	迴流生死。是則無有常樂我淨。此論觀彼十	迴 流 生 死 是 則 無 有 常樂我淨 此 論 觀 彼 十 
T42n1824_001:0006c03	二因緣本自不生今亦無滅。即生滅便息。生	二 因 緣 本 自 不 生 今 亦 無 滅 即 生 滅 便 息 生 
T42n1824_001:0006c04	滅既息是則為常。既其有常即具我樂淨。有	滅 既 息 是 則 為 常 既 其 有 常 即 具 我 樂 淨 有 
T42n1824_001:0006c05	斯大利故初觀因緣。八者此論雖無法不窮	斯 大 利 故 初 觀 因 緣 八 者 此 論 雖 無 法 不 窮 
T42n1824_001:0006c06	無言不盡。統其要歸會通二諦。然二諦隨處	無 言 不 盡 統 其 要 歸 會 通 二 諦 然 二 諦 隨 處 
T42n1824_001:0006c07	明之今就因緣辨。則其言顯易。因緣宛然常	明 之 今 就 因 緣 辨 則 其 言 顯 易 因 緣 宛 然 常 
T42n1824_001:0006c08	畢竟空名第一義。雖畢竟空而因緣宛然稱	畢 竟 空 名 第 一 義 雖 畢 竟 空 而 因 緣 宛 然 稱 
T42n1824_001:0006c09	為世諦。此論正申二諦。故觀因緣。九者欲	為 世 諦 此 論 正 申 二 諦 故 觀 因 緣 九 者 欲 
T42n1824_001:0006c10	釋中觀論三字。故明於因緣。十二因緣不生	釋 中 觀 論 三 字 故 明 於 因 緣 十二因緣 不 生 
T42n1824_001:0006c11	不滅具三種中道故稱中。發生三觀目之為	不 滅 具 三 種 中 道 故 稱 中 發 生 三 觀 目 之 為 
T42n1824_001:0006c12	觀。以觀辨於心論宣於口目之為論。一部始	觀 以 觀 辨 於 心 論 宣 於 口 目 之 為 論 一 部 始 
T42n1824_001:0006c13	終但釋三字。是以因緣建乎首篇。十者大明	終 但 釋 三 字 是 以 因 緣 建 乎 首 篇 十 者 大 明 
T42n1824_001:0006c14	物病不出二種。一者執性。二者迷假。此論	物 病 不 出 二 種 一 者 執 性 二 者 迷 假 此 論 
T42n1824_001:0006c15	正破性假二生悟入無生。故觀因緣。問云何	正 破 性 假 二 生 悟 入 無 生 故 觀 因 緣 問 云 何 
T42n1824_001:0006c16	破性假耶。答既稱因緣。即知假因託緣無有	破 性 假 耶 答 既 稱 因 緣 即 知 假 因 託 緣 無 有 
T42n1824_001:0006c17	自性。故性病便息。本對自性是故有假。在性	自 性 故 性 病 便 息 本 對 自 性 是 故 有 假 在 性 
T42n1824_001:0006c18	既無。假亦非有。性假若空便入實相。是故論	既 無 假 亦 非 有 性 假 若 空 便 入 實 相 是 故 論 
T42n1824_001:0006c19	云。因緣所生法是即無自性。若無有自性云	云 因緣所生 法 是 即 無 自 性 若 無 有 自 性 云 
T42n1824_001:0006c20	何有是法。問此論但應破洗迷執蕭焉無寄	何 有 是 法 問 此 論 但 應 破 洗 迷 執 蕭 焉 無 寄 
T42n1824_001:0006c21	玄道自通。何故乃解五種佛性及三種波若。	玄 道 自 通 何 故 乃 解 五 種 佛 性 及 三 種 波 若 
T42n1824_001:0006c22	答關內中論序云。其實既宣。其言既明。則	答 關 內 中 論 序 云 其 實 既 宣 其 言 既 明 則 
T42n1824_001:0006c23	於菩薩之行道場之照朗然懸解矣。菩薩之	於 菩 薩 之 行 道 場 之 照 朗 然 懸 解 矣 菩 薩 之 
T42n1824_001:0006c24	行為因。道場之照為果。內外迷執既盡大乘	行 為 因 道 場 之 照 為 果 內 外 迷 執 既 盡 大 乘 
T42n1824_001:0006c25	因果則成。斯乃總攝萬流。豈止乎十義。因緣	因 果 則 成 斯 乃 總 攝 萬 流 豈 止 乎 十 義 因 緣 
T42n1824_001:0006c26	一品既具此十門。自下諸文其義亦類。若精	一 品 既 具 此 十 門 自 下 諸 文 其 義 亦 類 若 精 
T42n1824_001:0006c27	鑒斯意則如白日朗其胸衿甘露流其四體	鑒 斯 意 則 如 白 日 朗 其 胸 衿 甘 露 流 其 四 體 
T42n1824_001:0006c28	矣。問三種釋因緣。正用何耶。答正用通因	矣 問 三 種 釋 因 緣 正 用 何 耶 答 正 用 通 因 
T42n1824_001:0006c29	緣。以通必攝別。十二門亦然。釋名門第三。問	緣 以 通 必 攝 別 十 二 門 亦 然 釋 名 門 第 三 問 
T42n1824_001:0007a01	云何名為因緣。答依下偈云。因緣所生法。我	云 何 名 為 因 緣 答 依 下 偈 云 因緣所生 法 我 
T42n1824_001:0007a02	說即是空。亦為是假名。亦是中道義。略明	說 即 是 空 亦 為 是 假 名 亦 是 中 道 義 略 明 
T42n1824_001:0007a03	因緣凡有三義。一者因緣是空義。以因緣所	因 緣 凡 有 三 義 一 者 因 緣 是 空 義 以 因 緣 所 
T42n1824_001:0007a04	生法即是寂滅性故知。因緣即是空義。二者	生 法 即 是 寂 滅 性 故 知 因 緣 即 是 空 義 二 者 
T42n1824_001:0007a05	因緣是假義。既無自性故不得言有。空亦復	因 緣 是 假 義 既 無 自 性 故 不 得 言 有 空 亦 復 
T42n1824_001:0007a06	空故不得言空。為化眾生故以假名說。故	空 故 不 得 言 空 為 化 眾 生 故 以 假 名 說 故 
T42n1824_001:0007a07	因緣是假義。三者因緣是中道義。即此因緣	因 緣 是 假 義 三 者 因 緣 是 中 道 義 即 此 因 緣 
T42n1824_001:0007a08	離於二邊。故名為中道。蓋是論文自以三義	離於二邊 故 名 為 中 道 蓋 是 論 文 自 以 三 義 
T42n1824_001:0007a09	釋之。四者依名釋義亦有三種。一者種子親	釋 之 四 者 依 名 釋 義 亦 有 三 種 一 者 種 子 親 
T42n1824_001:0007a10	而能生為因。水土疎而助發故為緣。二者本	而 能 生 為 因 水 土 疎 而 助 發 故 為 緣 二 者 本 
T42n1824_001:0007a11	無互體。辨之令有故稱為因。有可生之義假	無 互 體 辨 之 令 有 故 稱 為 因 有 可 生 之 義 假 
T42n1824_001:0007a12	緣助發。故目為緣。故互具有無二義種受因	緣 助 發 故 目 為 緣 故 互 具 有 無 二 義 種 受 因 
T42n1824_001:0007a13	緣兩名。故曰因緣。三者毘曇人云。攝因為	緣 兩 名 故 曰 因 緣 三 者 毘 曇 人 云 攝 因 為 
T42n1824_001:0007a14	緣故名因緣。又經有三說。一者但作因名。如	緣 故 名 因 緣 又 經 有 三 說 一 者 但 作 因 名 如 
T42n1824_001:0007a15	六因十因之例。六因如雜心說十因地持論	六 因 十 因 之 例 六 因 如 雜 心 說 十 因 地 持 論 
T42n1824_001:0007a16	明。二者但作緣名。如四緣十緣之流。四緣	明 二 者 但 作 緣 名 如 四 緣 十 緣 之 流 四 緣 
T42n1824_001:0007a17	經論皆備。十緣如舍利弗毘曇敘。三者因緣	經 論 皆 備 十 緣 如 舍 利 弗 毘 曇 敘 三 者 因 緣 
T42n1824_001:0007a18	兩說皆如十二因緣。此皆適化不同故立名	兩 說 皆 如 十二因緣 此 皆 適 化 不 同 故 立 名 
T42n1824_001:0007a19	非一也。破申門第四。問上云破因緣名因緣	非 一 也 破 申 門 第 四 問 上 云 破 因 緣 名 因 緣 
T42n1824_001:0007a20	品。破何等人耶。答異執乃多略標四種。一	品 破 何 等 人 耶 答 異 執 乃 多 略 標 四 種 一 
T42n1824_001:0007a21	摧外道。二折毘曇。三排成論。四呵大執。總	摧 外 道 二 折 毘 曇 三 排 成 論 四 呵 大 執 總 
T42n1824_001:0007a22	談外道凡有二計。一計邪因。二執無因。言邪	談 外 道 凡 有 二 計 一 計 邪 因 二 執 無 因 言 邪 
T42n1824_001:0007a23	因者略明三種。一者即一因外道。謂自在天	因 者 略 明 三 種 一 者 即 一 因 外 道 謂 自 在 天 
T42n1824_001:0007a24	等之一因緣能生萬類之果。二者宿作外道。	等 之 一 因 緣 能 生 萬 類 之 果 二 者 宿 作 外 道 
T42n1824_001:0007a25	謂萬法之果但由往業無有現緣。三者現緣	謂 萬 法 之 果 但 由 往 業 無 有 現 緣 三 者 現 緣 
T42n1824_001:0007a26	外道。謂四大和合能生外法。男女交會能生	外 道 謂 四 大 和 合 能 生 外 法 男 女 交 會 能 生 
T42n1824_001:0007a27	眾生。二者無因外道。謂萬法自然而生不從	眾 生 二 者 無 因 外 道 謂 萬 法 自 然 而 生 不 從 
T42n1824_001:0007a28	因生。所言毘曇因緣者本有果性。假六因四	因 生 所 言 毘 曇 因 緣 者 本 有 果 性 假 六 因 四 
T42n1824_001:0007a29	緣辨之令生。即二世有義。所言成實因緣者。	緣 辨 之 令 生 即 二 世 有 義 所 言 成 實 因 緣 者 
T42n1824_001:0007b01	雖不明因中本有果性但果有可生之理。故	雖 不 明 因 中 本 有 果 性 但 果 有 可 生 之 理 故 
T42n1824_001:0007b02	假三因四緣辨之得生。即二世無義。所言大	假 三 因 四 緣 辨 之 得 生 即 二 世 無 義 所 言 大 
T42n1824_001:0007b03	乘因緣者。如成論大乘明世諦有三假。假是	乘 因 緣 者 如 成 論 大 乘 明 世 諦 有 三 假 假 是 
T42n1824_001:0007b04	不自。而世諦三假名為因緣。如舊地論師等	不 自 而 世 諦 三 假 名 為 因 緣 如 舊 地 論 師 等 
T42n1824_001:0007b05	辨四宗義。謂毘曇云是因緣宗。成實為假名	辨 四 宗 義 謂 毘 曇 云 是 因 緣 宗 成 實 為 假 名 
T42n1824_001:0007b06	宗。波若教等為不真宗。涅槃教等名為真宗。	宗 波 若 教 等 為 不 真 宗 涅 槃 教 等 名 為 真 宗 
T42n1824_001:0007b07	如斯等類並是學於因緣而失因緣。故正因	如 斯 等 類 並 是 學 於 因 緣 而 失 因 緣 故 正 因 
T42n1824_001:0007b08	緣成邪因緣。如服甘露反成毒藥。亦如入水	緣 成 邪 因 緣 如 服 甘 露 反 成 毒 藥 亦 如 入 水 
T42n1824_001:0007b09	求珠謬持瓦礫。此論破洗如此因緣故云破	求 珠 謬 持 瓦 礫 此 論 破 洗 如 此 因 緣 故 云 破 
T42n1824_001:0007b10	因緣品。以破如此邪執因緣申明大乘無得	因 緣 品 以 破 如 此 邪 執 因 緣 申 明 大 乘 無 得 
T42n1824_001:0007b11	因緣。故以目品。問龍樹菩薩對緣云何。答有	因 緣 故 以 目 品 問 龍 樹 菩 薩 對 緣 云 何 答 有 
T42n1824_001:0007b12	四種人學因緣而失因緣。一者犢子云。因緣	四 種 人 學 因 緣 而 失 因 緣 一 者 犢 子 云 因 緣 
T42n1824_001:0007b13	謂性。五隱因緣別有人法生。四大因緣別有	謂 性 五 隱 因 緣 別 有 人 法 生 四 大 因 緣 別 有 
T42n1824_001:0007b14	眼法生。二者毘曇因緣。無有人法。而有眼	眼 法 生 二 者 毘 曇 因 緣 無 有 人 法 而 有 眼 
T42n1824_001:0007b15	法。三者成實因緣。明世諦因緣俱有假人法。	法 三 者 成 實 因 緣 明 世 諦 因 緣 俱 有 假 人 法 
T42n1824_001:0007b16	真諦即俱無。四者方廣云。都無世諦人法因	真 諦 即 俱 無 四 者 方 廣 云 都 無 世 諦 人 法 因 
T42n1824_001:0007b17	緣。如此四人並學因緣失因緣。故破此四人	緣 如 此 四 人 並 學 因 緣 失 因 緣 故 破 此 四 人 
T42n1824_001:0007b18	申正因緣。故以目品。同異門第五。問中論	申 正 因 緣 故 以 目 品 同 異 門 第 五 問 中 論 
T42n1824_001:0007b19	破因緣品與十二門論觀因緣門。此有何異。	破 因 緣 品 與 十 二 門 論 觀 因 緣 門 此 有 何 異 
T42n1824_001:0007b20	答破邪因緣申正因緣。其義大同。但文有廣	答 破 邪 因 緣 申 正 因 緣 其 義 大 同 但 文 有 廣 
T42n1824_001:0007b21	略離合為異。此論因緣一品攝彼三門。亦合	略 離 合 為 異 此 論 因 緣 一 品 攝 彼 三 門 亦 合 
T42n1824_001:0007b22	彼三門為今一品。如因緣門即是此品如諸	彼 三 門 為 今 一 品 如 因 緣 門 即 是 此 品 如 諸 
T42n1824_001:0007b23	法自性不在於緣中一偈。第二觀有果無果	法 自 性 不 在 於 緣 中 一 偈 第 二 觀 有 果 無 果 
T42n1824_001:0007b24	門是此品別破四緣初偈。第三觀緣門是此	門 是 此 品 別 破 四 緣 初 偈 第 三 觀 緣 門 是 此 
T42n1824_001:0007b25	品結破四緣偈。問何故離此一品為彼三門。	品 結 破 四 緣 偈 問 何 故 離 此 一 品 為 彼 三 門 
T42n1824_001:0007b26	答彼論欲示總別觀義。總謂因緣門。別謂因	答 彼 論 欲 示 總 別 觀 義 總 謂 因 緣 門 別 謂 因 
T42n1824_001:0007b27	門及以緣門。此論但明總觀不明於別觀。而	門 及 以 緣 門 此 論 但 明 總 觀 不 明 於 別 觀 而 
T42n1824_001:0007b28	文互有廣略義可知矣。第二明論章開合。尋	文 互 有 廣 略 義 可 知 矣 第 二 明 論 章 開 合 尋 
T42n1824_001:0007b29	天竺之與震旦著筆之與口傳敷經講論者凡	天 竺 之 與 震 旦 著 筆 之 與 口 傳 敷 經 講 論 者 凡 
T42n1824_001:0007c01	有二種。一者直解釋。二者科章門。如曇影	有 二 種 一 者 直 解 釋 二 者 科 章 門 如 曇 影 
T42n1824_001:0007c02	制疏明。此論文有四卷。品二十七。領其大宗	制 疏 明 此 論 文 有 四 卷 品 二 十 七 領 其 大 宗 
T42n1824_001:0007c03	為破眾生斷常之病申二諦中道。令因此中	為 破 眾 生 斷 常 之 病 申 二 諦 中 道 令 因 此 中 
T42n1824_001:0007c04	道發生正觀也。二者北立三論師明。此論文	道 發 生 正 觀 也 二 者 北 立 三 論 師 明 此 論 文 
T42n1824_001:0007c05	有四卷。大明三章。初有四偈。標論大宗。第	有 四 卷 大 明 三 章 初 有 四 偈 標 論 大 宗 第 
T42n1824_001:0007c06	二從破四緣以下竟邪見品破執顯宗。第三	二 從 破 四 緣 以 下 竟 邪 見 品 破 執 顯 宗 第 三 
T42n1824_001:0007c07	最後一偈推功歸佛。以初攝初故四偈標宗	最 後 一 偈 推 功 歸 佛 以 初 攝 初 故 四 偈 標 宗 
T42n1824_001:0007c08	在於初品。以後攝後故最後一偈推功歸佛	在 於 初 品 以 後 攝 後 故 最 後 一 偈 推 功 歸 佛 
T42n1824_001:0007c09	在後品也。師云夫適化無方陶誘非一。考聖	在 後 品 也 師 云 夫 適 化 無 方 陶 誘 非 一 考 聖 
T42n1824_001:0007c10	心以息病為主。緣教意以開道為宗。若因開	心 以 息 病 為 主 緣 教 意 以 開 道 為 宗 若 因 開 
T42n1824_001:0007c11	以受悟即聖教為之開。由合而受道則聖教	以 受 悟 即 聖 教 為 之 開 由 合 而 受 道 則 聖 教 
T42n1824_001:0007c12	為之合。如其兩曉並為甘露必也。雙迷俱成	為 之 合 如 其 兩 曉 並 為 甘 露 必 也 雙 迷 俱 成 
T42n1824_001:0007c13	毒藥。豈可偏守一途以壅多門者哉。具如法	毒 藥 豈 可 偏 守 一 途 以 壅 多 門 者 哉 具 如 法 
T42n1824_001:0007c14	華玄義以備斯意矣。但末世鈍根尋其長文不	華 玄 義 以 備 斯 意 矣 但 末 世 鈍 根 尋 其 長 文 不 
T42n1824_001:0007c15	見起盡。講經論者相與開之。問經有序正流	見 起 盡 講 經 論 者 相 與 開 之 問 經 有 序 正 流 
T42n1824_001:0007c16	通。論何故無耶。答大聖三達圓明鑒二世根	通 論 何 故 無 耶 答 大 聖 三 達 圓 明 鑒 二 世 根 
T42n1824_001:0007c17	性。故立通別兩序。弟子智猶未逮故不立之。	性 故 立 通 別 兩 序 弟 子 智 猶 未 逮 故 不 立 之 
T42n1824_001:0007c18	又群生不窮大悲無限。非止益當時。欲遠傳	又 群 生 不 窮 大 悲 無 限 非 止 益 當 時 欲 遠 傳 
T42n1824_001:0007c19	遐代故有流通。弟子造論但當時解益不敢	遐 代 故 有 流 通 弟 子 造 論 但 當 時 解 益 不 敢 
T42n1824_001:0007c20	傳通後世。故不立流通。二者造論本為通經。	傳 通 後 世 故 不 立 流 通 二 者 造 論 本 為 通 經 
T42n1824_001:0007c21	故不別立流通也。問餘論有正說餘勢。此論	故 不 別 立 流 通 也 問 餘 論 有 正 說 餘 勢 此 論 
T42n1824_001:0007c22	何故無耶。答無畏廣本故有。今即是略論故	何 故 無 耶 答 無 畏 廣 本 故 有 今 即 是 略 論 故 
T42n1824_001:0007c23	無。二者因事表理。正以略於初後故名中論。	無 二 者 因 事 表 理 正 以 略 於 初 後 故 名 中 論 
T42n1824_001:0007c24	自攝嶺相承分二十七品以為三段。初二十	自 攝 嶺 相 承 分 二 十 七 品 以 為 三 段 初 二 十 
T42n1824_001:0007c25	五品破大乘迷失明大乘觀行。次有兩品。破	五 品 破 大 乘 迷 失 明 大 乘 觀 行 次 有 兩 品 破 
T42n1824_001:0007c26	小乘迷執辨小乘觀行。第三重明大乘觀行	小 乘 迷 執 辨 小 乘 觀 行 第 三 重 明 大 乘 觀 行 
T42n1824_001:0007c27	推功歸佛。所以有此三段者正道未曾小大。	推 功 歸 佛 所 以 有 此 三 段 者 正 道 未 曾 小 大 
T42n1824_001:0007c28	赴大小根緣故說大小兩教。而佛在世時眾	赴 大 小 根 緣 故 說 大 小 兩 教 而 佛 在 世 時 眾 
T42n1824_001:0007c29	生福德利根稟斯兩教並皆迷失。論主破彼	生 福 德 利 根 稟 斯 兩 教 並 皆 迷 失 論 主 破 彼 
T42n1824_001:0008a01	二迷俱申兩教。是故有三段之文。又菩薩欲	二 迷 俱 申 兩 教 是 故 有 三 段 之 文 又 菩 薩 欲 
T42n1824_001:0008a02	遍學諸道。初已知大道。次須識小。則權實	遍 學 諸 道 初 已 知 大 道 次 須 識 小 則 權 實 
T42n1824_001:0008a03	洞明可得大小雙化也。問龍樹為何人雙破	洞 明 可 得 大 小 雙 化 也 問 龍 樹 為 何 人 雙 破 
T42n1824_001:0008a04	大小雙申兩教。答略為四緣。一者為學大失	大 小 雙 申 兩 教 答 略 為 四 緣 一 者 為 學 大 失 
T42n1824_001:0008a05	大故破大申大。何以知然。十二門論云末世	大 故 破 大 申 大 何 以 知 然 十 二 門 論 云 末 世 
T42n1824_001:0008a06	眾生薄福鈍根雖尋經文不能通了。我愍此	眾 生 薄 福 鈍 根 雖 尋 經 文 不 能 通 了 我 愍 此 
T42n1824_001:0008a07	等欲令開悟。即此論云。聞大乘法說畢竟空	等 欲 令 開 悟 即 此 論 云 聞 大 乘 法 說 畢 竟 空 
T42n1824_001:0008a08	不知何因緣故空。遂失二諦。故知。為破學	不 知 何 因 緣 故 空 遂 失 二 諦 故 知 為 破 學 
T42n1824_001:0008a09	大失大之緣申於大教也。又三世十方佛赴	大 失 大 之 緣 申 於 大 教 也 又 三 世 十 方 佛 赴 
