T85n2749_001:0180a03	法華經疏	法 華 經 疏 
T85n2749_001:0182a22	壽。雖復有始而無有終故。曰劫數長遠。然當	壽 雖 復 有 始 而 無 有 終 故 曰 劫 數 長 遠 然 當 
T85n2749_001:0182a23	受之壽巧曆所不知故言長。已受之壽心計	受 之 壽 巧 曆 所 不 知 故 言 長 已 受 之 壽 心 計 
T85n2749_001:0182a24	莫測故言遠。時會聞此深生信仰故得大饒	莫 測 故 言 遠 時 會 聞 此 深 生 信 仰 故 得 大 饒 
T85n2749_001:0182a25	益。	益 
T85n2749_001:0182a26	經曰。於時世尊至得無生法忍者。次別述也。	經 曰 於 時 世 尊 至 得無生法忍 者 次 別 述 也 
T85n2749_001:0182a27	經文有十三章。功德論主總為三門。一證二	經 文 有 十 三 章 功 德 論 主 總 為 三 門 一 證 二 
T85n2749_001:0182a28	信三供養。依論即為三別。初十一章明因聞	信 三 供 養 依 論 即 為 三 別 初 十 一 章 明 因 聞 
T85n2749_001:0182a29	得證。第十二章明因聞生信。第十三章明因	得 證 第 十 二 章 明 因 聞 生 信 第 十 三 章 明 因 
T85n2749_001:0182b01	聞供養。證是得果。信是發心。供是報德。初	聞 供 養 證 是 得 果 信 是 發 心 供 是 報 德 初 
T85n2749_001:0182b02	章兩重。初六章即現聞現證。後五章即現聞	章 兩 重 初 六 章 即 現 聞 現 證 後 五 章 即 現 聞 
T85n2749_001:0182b03	當證。現證即深行入法。當證即淺行受道。現	當 證 現 證 即 深 行 入 法 當 證 即 淺 行 受 道 現 
T85n2749_001:0182b04	證從淺至深。次第六階。當證從賒至促。次第	證 從 淺 至 深 次 第 六 階 當 證 從 賒 至 促 次 第 
T85n2749_001:0182b05	五階。合十一章。初六者。一無生二聞持三樂	五 階 合 十 一 章 初 六 者 一 無 生 二 聞 持 三 樂 
T85n2749_001:0182b06	說四捉持五不退六清淨。無生入見道。聞樂	說 四 捉 持 五 不 退 六 清 淨 無 生 入 見 道 聞 樂 
T85n2749_001:0182b07	捉三入修道。不退清淨入無功用道。無生忍	捉 三 入 修 道 不 退 清 淨 入 無 功 用 道 無 生 忍 
T85n2749_001:0182b08	者。若仁王五忍。地前為伏。初三地為信。四	者 若 仁 王 五 忍 地 前 為 伏 初 三 地 為 信 四 
T85n2749_001:0182b09	五六為順。七八九地為無生。第十地為寂滅。	五 六 為 順 七 八 九 地 為 無 生 第 十 地 為 寂 滅 
T85n2749_001:0182b10	信者證信無生。順者隨順七地無相無生七	信 者 證 信 無 生 順 者 隨 順 七 地 無 相 無 生 七 
T85n2749_001:0182b11	地功用無相。八地九地無功用無相。此明初	地 功 用 無 相 八 地 九 地 無 功 用 無 相 此 明 初 
T85n2749_001:0182b12	地始證法空無生解行終心聞說進入初地無	地 始 證 法 空 無 生 解 行 終 心 聞 說 進 入 初 地 無 
T85n2749_001:0182b13	生。聞持者。攝論云。三地菩薩得不退定大法	生 聞 持 者 攝 論 云 三 地 菩 薩 得 不 退 定 大 法 
T85n2749_001:0182b14	光明聞持陀羅尼以為依止。案三地證見法	光 明 聞持陀羅尼 以 為 依 止 案 三 地 證 見 法 
T85n2749_001:0182b15	界勝流始得聞持。樂說者。若約師位在第九。	界 勝 流 始 得 聞 持 樂 說 者 若 約 師 位 在 第 九 
T85n2749_001:0182b16	隨分在五六地。捉持者。七地證見法界無差	隨 分 在 五 六 地 捉 持 者 七 地 證 見 法 界 無 差 
T85n2749_001:0182b17	別功德功用心住無相無間故得義。持八地	別 功 德 功 用 心 住 無 相 無 間 故 得 義 持 八 地 
T85n2749_001:0182b18	證見法界不增減無功用心恒住無相有相有	證 見 法 界 不 增 減 無 功 用 心 恒 住 無 相 有 相 有 
T85n2749_001:0182b19	功用不能退轉。為他說此九地轉不退為勝。	功 用 不能退轉 為 他 說 此 九 地 轉 不 退 為 勝 
T85n2749_001:0182b20	從初為名清淨者。第十地因位究竟名清淨。	從 初 為 名 清 淨 者 第 十 地 因 位 究 竟 名 清 淨 
T85n2749_001:0182b21	為他說此名清淨。攝論云。初地名得清淨。至	為 他 說 此 名 清 淨 攝 論 云 初 地 名 得 清 淨 至 
T85n2749_001:0182b22	第十地究竟清淨。次現聞當證謂證初無生。	第 十 地 究 竟 清 淨 次 現 聞 當 證 謂 證 初 無 生 
T85n2749_001:0182b23	經曰。佛說是諸菩薩至供養大會者。自下第	經 曰 佛 說 是 諸 菩 薩 至 供 養 大 會 者 自 下 第 
T85n2749_001:0182b24	三因聞供養兩重。一諸天供養。二菩薩供養。	三 因 聞 供 養 兩 重 一 諸 天 供 養 二 菩 薩 供 養 
T85n2749_001:0182b25	諸天即祥瑞下羅。菩薩即神幡上列。諸天在	諸 天 即 祥 瑞 下 羅 菩 薩 即 神 幡 上 列 諸 天 在 
T85n2749_001:0182b26	上故向下呈祥。菩薩地居故浮空表瑞。初章	上 故 向 下 呈 祥 菩 薩 地 居 故 浮 空 表 瑞 初 章 
T85n2749_001:0182b27	天瑞有六。一雨花。二雨香。三鳴鼓四雨衣。	天 瑞 有 六 一 雨 花 二 雨 香 三 鳴 鼓 四 雨 衣 
T85n2749_001:0182b28	五垂瓔。六燒香。雨花香是見受用。鳴鼓是聞	五 垂 瓔 六 燒 香 雨 花 香 是 見 受 用 鳴 鼓 是 聞 
T85n2749_001:0182b29	受用。垂瓔是觸受用。	受 用 垂 瓔 是 觸 受 用 
T85n2749_001:0182c01	經曰。一一佛上至至于梵天者。次菩薩供養。	經 曰 一 一 佛 上 至 至 于 梵 天 者 次 菩 薩 供 養 
T85n2749_001:0182c02	一財二法。此財供養。	一 財 二 法 此 財 供 養 
T85n2749_001:0182c03	經曰。是諸菩薩至讚歎諸佛者。此法供養。次	經 曰 是 諸 菩 薩 至 讚 歎 諸 佛 者 此 法 供 養 次 
T85n2749_001:0182c04	頌說十九偈七重。初一偈頌聞法。次一偈頌	頌 說 十 九 偈 七 重 初 一 偈 頌 聞 法 次 一 偈 頌 
T85n2749_001:0182c05	總益。次七偈頌得證。次一偈頌得信。次一偈	總 益 次 七 偈 頌 得 證 次 一 偈 頌 得 信 次 一 偈 
T85n2749_001:0182c06	頌量福。次六偈頌供養。後兩偈總結歎。七偈	頌 量 福 次 六 偈 頌 供 養 後 兩 偈 總 結 歎 七 偈 
T85n2749_001:0182c07	頌得證兩重。初三偈頌現聞現證。後四偈頌	頌 得 證 兩 重 初 三 偈 頌 現 聞 現 證 後 四 偈 頌 
T85n2749_001:0182c08	現聞當證。現證三重。初偈頌四證。次偈頌不	現 聞 當 證 現 證 三 重 初 偈 頌 四 證 次 偈 頌 不 
T85n2749_001:0182c09	退。後偈頌清淨當證得信。量福並可解。六	退 後 偈 頌 清 淨 當 證 得 信 量 福 並 可 解 六 
T85n2749_001:0182c10	偈頌供養兩重。初四偈頌諸天供養。後兩偈	偈 頌 供 養 兩 重 初 四 偈 頌 諸 天 供 養 後 兩 偈 
T85n2749_001:0182c11	頌菩薩供養。諸天五重。初一偈頌雨華次一	頌 菩 薩 供 養 諸 天 五 重 初 一 偈 頌 雨 華 次 一 
T85n2749_001:0182c12	偈頌雨香。次半偈頌鳴鼓。次半偈頌雨衣。後	偈 頌 雨 香 次 半 偈 頌 鳴 鼓 次 半 偈 頌 雨 衣 後 
T85n2749_001:0182c13	一頌偈燒香頌。菩薩兩重。初一偈半頌財供	一 頌 偈 燒 香 頌 菩 薩 兩 重 初 一 偈 半 頌 財 供 
T85n2749_001:0182c14	養。後半偈頌法供養。	養 後 半 偈 頌 法 供 養 
T85n2749_001:0182c15	經曰。爾時佛告至無有限量者。次第二節明	經 曰 爾 時 佛 告 至 無 有 限 量 者 次 第 二 節 明 
T85n2749_001:0182c16	傳聞功德。由入道之徒通依五人而受法。一	傳 聞 功 德 由 入 道 之 徒 通 依 五 人 而 受 法 一 
T85n2749_001:0182c17	佛二弟子三諸天四變化五神仙。今依後四	佛 二 弟 子 三 諸 天 四 變 化 五 神 仙 今 依 後 四 
T85n2749_001:0182c18	人故是傳聞也。序說三重。一即信明功德。二	人 故 是 傳 聞 也 序 說 三 重 一 即 信 明 功 德 二 
T85n2749_001:0182c19	對行明功德。三望果明功德。即信五意。一	對 行 明 功 德 三 望 果 明 功 德 即 信 五 意 一 
T85n2749_001:0182c20	信人即其有眾生。二信境即聞佛壽命。三信	信 人 即 其 有 眾 生 二 信 境 即 聞 佛 壽 命 三 信 
T85n2749_001:0182c21	時即乃至一念。四信體即是信解。五信益即	時 即 乃 至 一 念 四 信 體 即 是 信 解 五 信 益 即 
T85n2749_001:0182c22	所得無限。此五中三劣而二勝。人劣時劣體	所 得 無 限 此 五 中 三 劣 而 二 勝 人 劣 時 劣 體 
T85n2749_001:0182c23	劣。由境勝故得福多也。	劣 由 境 勝 故 得 福 多 也 
T85n2749_001:0182c24	經曰。若有善男子至所不能知者。此對行明	經 曰 若 有 善 男 子 至 所 不 能 知 者 此 對 行 明 
T85n2749_001:0182c25	功德也。亦五意。一行人即善男善女。行境	功 德 也 亦 五 意 一 行 人 即 善 男 善 女 行 境 
T85n2749_001:0182c26	即阿耨菩提。三行時即那由他劫。四行體即	即 阿耨菩提 三 行 時 即 那 由 他 劫 四 行 體 即 
T85n2749_001:0182c27	五波羅蜜。五行果即得福無邊。此五中三勝	五波羅蜜 五 行 果 即 得 福 無 邊 此 五 中 三 勝 
T85n2749_001:0182c28	而二劣。人勝時勝境勝。但由體劣故得福少	而 二 劣 人 勝 時 勝 境 勝 但 由 體 劣 故 得 福 少 
T85n2749_001:0182c29	也。但明五度者。信解之心即般若也。次頌說	也 但 明 五 度 者 信 解 之 心 即 般 若 也 次 頌 說 
T85n2749_001:0183a01	十九偈半四重。初十一偈舉行體。次三偈量	十 九 偈 半 四 重 初 十 一 偈 舉 行 體 次 三 偈 量 
T85n2749_001:0183a02	信力。次四偈發信願。後一偈半獎信人。行體	信 力 次 四 偈 發 信 願 後 一 偈 半 獎 信 人 行 體 
T85n2749_001:0183a03	六重。初一偈頌慧行。次三偈頌檀行。次一	六 重 初 一 偈 頌 慧 行 次 三 偈 頌 檀 行 次 一 
T85n2749_001:0183a04	偈頌戒行。次兩偈頌忍行。次一偈頌進行。後	偈 頌 戒 行 次 兩 偈 頌 忍 行 次 一 偈 頌 進 行 後 
T85n2749_001:0183a05	三偈頌定行。檀行三偈。初一偈頌檀境。次	三 偈 頌 定 行 檀 行 三 偈 初 一 偈 頌 檀 境 次 
T85n2749_001:0183a06	一偈頌檀具。後一偈頌檀心。忍行兩偈。初一	一 偈 頌 檀 具 後 一 偈 頌 檀 心 忍 行 兩 偈 初 一 
T85n2749_001:0183a07	偈忍重惡。後一偈忍輕惡頌。定行三偈。初一	偈 忍 重 惡 後 一 偈 忍 輕 惡 頌 定 行 三 偈 初 一 
T85n2749_001:0183a08	偈離定障。次一偈出定體。後一偈起定願。次	偈 離 定 障 次 一 偈 出 定 體 後 一 偈 起 定 願 次 
T85n2749_001:0183a09	三偈量信力三重。初一偈牒行體。次一偈量	三 偈 量 信 力 三 重 初 一 偈 牒 行 體 次 一 偈 量 
T85n2749_001:0183a10	信力。後一偈結信成。次四偈頌信願四重。一	信 力 後 一 偈 結 信 成 次 四 偈 頌 信 願 四 重 一 
T85n2749_001:0183a11	偈歎信壽。一偈歎得壽。一偈歎比壽。一偈歎	偈 歎 信 壽 一 偈 歎 得 壽 一 偈 歎 比 壽 一 偈 歎 
T85n2749_001:0183a12	說壽。	說 壽 
T85n2749_001:0183a13	經曰。又阿逸多至天上之慧者。次第三明修	經 曰 又 阿 逸 多 至 天 上 之 慧 者 次 第 三 明 修 
T85n2749_001:0183a14	行功德。前明信而無行。今明行必有信。有信	行 功 德 前 明 信 而 無 行 今 明 行 必 有 信 有 信 
T85n2749_001:0183a15	無行得益則少。有信有行得益則多。從少至	無 行 得 益 則 少 有 信 有 行 得 益 則 多 從 少 至 
T85n2749_001:0183a16	多開化漸也。序說兩重。一分別現在修行功	多 開 化 漸 也 序 說 兩 重 一 分 別 現 在 修 行 功 
T85n2749_001:0183a17	德。二分別未來修行功德。現在三重。一行因	德 二 分 別 未 來 修 行 功 德 現 在 三 重 一 行 因 
T85n2749_001:0183a18	即聞信功德。二行體即弘法功德。三行果即	即 聞 信 功 德 二 行 體 即 弘 法 功 德 三 行 果 即 
T85n2749_001:0183a19	見佛功德。初即聞惠。次即思惠。後即修惠。	見 佛 功 德 初 即 聞 惠 次 即 思 惠 後 即 修 惠 
T85n2749_001:0183a20	此即行因也。	此 即 行 因 也 
T85n2749_001:0183a21	經曰。何況廣聞至一切種智者。此明行體也。	經 曰 何 況 廣 聞 至 一切種智 者 此 明 行 體 也 
T85n2749_001:0183a22	經曰。阿逸多至圍繞說法者。次明行果三重。	經 曰 阿 逸 多 至 圍 繞 說 法 者 次 明 行 果 三 重 
T85n2749_001:0183a23	一見常身。二見常土。三顯見力。此見常身也。	一 見 常 身 二 見 常 土 三 顯 見 力 此 見 常 身 也 
T85n2749_001:0183a24	經曰。又見此娑婆至咸處其中者。此見常土	經 曰 又 見 此 娑 婆 至 咸 處 其 中 者 此 見 常 土 
T85n2749_001:0183a25	也。	也 
T85n2749_001:0183a26	經曰。若有能如是至深信解相者。此顯見力	經 曰 若 有 能 如 是 至 深 信 解 相 者 此 顯 見 力 
T85n2749_001:0183a27	也。	也 
T85n2749_001:0183a28	經曰。又復如來至深信解者。自下第二分別	經 曰 又 復 如 來 至 深 信 解 者 自 下 第 二 分 別 
T85n2749_001:0183a29	未來修行功德。約三行分別。即為三重。一單	未 來 修 行 功 德 約 三 行 分 別 即 為 三 重 一 單 
T85n2749_001:0183b01	修弘法行。二兼修六度行。三兼修供養佛僧	修 弘 法 行 二 兼 修 六 度 行 三 兼 修 供 養 佛 僧 
T85n2749_001:0183b02	行。修一行者得福少。修二行者得福多。修三	行 修 一 行 者 得 福 少 修 二 行 者 得 福 多 修 三 
T85n2749_001:0183b03	行者得福極。此即初中後次第也。弘法行中	行 者 得 福 極 此 即 初 中 後 次 第 也 弘 法 行 中 
T85n2749_001:0183b04	八重。一本因。二出體。三顯力。四勸省。五釋	八 重 一 本 因 二 出 體 三 顯 力 四 勸 省 五 釋 
T85n2749_001:0183b05	意。六示相。七兼成。八結定。此即本因。	意 六 示 相 七 兼 成 八 結 定 此 即 本 因 
T85n2749_001:0183b06	經曰。何況讀誦受持者。此出體。	經 曰 何 況 讀 誦 受 持 者 此 出 體 
T85n2749_001:0183b07	經曰。斯人則為頂戴如來者。此顯力。	經 曰 斯 人 則 為 頂 戴 如 來 者 此 顯 力 
T85n2749_001:0183b08	經曰。阿逸多至供養眾僧者。此勸省。	經 曰 阿 逸 多 至 供 養 眾 僧 者 此 勸 省 
T85n2749_001:0183b09	經曰。所以者何至供養眾僧者。此釋意。	經 曰 所以者何 至 供 養 眾 僧 者 此 釋 意 
T85n2749_001:0183b10	經曰。則為以佛至供養是已者。此示相亦已	經 曰 則 為 以 佛 至 供 養 是 已 者 此 示 相 亦 已 
T85n2749_001:0183b11	供養佛。	供 養 佛 
T85n2749_001:0183b12	經曰。阿逸多至其數無量者。此兼成亦已供	經 曰 阿 逸 多 至 其 數 無 量 者 此 兼 成 亦 已 供 
T85n2749_001:0183b13	養僧。	養 僧 
T85n2749_001:0183b14	經曰。以此現前至供養眾僧者。此結定。	經 曰 以 此 現 前 至 供 養 眾 僧 者 此 結 定 
T85n2749_001:0183b15	經曰。況復有人至一心智惠者。次第二明兼	經 曰 況 復 有 人 至 一 心 智 惠 者 次 第 二 明 兼 
T85n2749_001:0183b16	修六度行三重。一明行漸多。二明福漸積。三	修 六 度 行 三 重 一 明 行 漸 多 二 明 福 漸 積 三 
T85n2749_001:0183b17	明力漸速。此明行漸多也。	明 力 漸 速 此 明 行 漸 多 也 
T85n2749_001:0183b18	經曰。其德最勝至亦復如是無量無邊者。此	經 曰 其 德 最 勝 至 亦復如是 無量無邊 者 此 
T85n2749_001:0183b19	明福漸積。	明 福 漸 積 
T85n2749_001:0183b20	經曰。疾至一切種智者。此明力漸速也。	經 曰 疾 至 一切種智 者 此 明 力 漸 速 也 
T85n2749_001:0183b21	經曰。若人讀誦至若教人書者。次第三兼修	經 曰 若 人 讀 誦 至 若 教 人 書 者 次 第 三 兼 修 
T85n2749_001:0183b22	供養行亦三重。一明行漸多。二明福漸積。三	供 養 行 亦 三 重 一 明 行 漸 多 二 明 福 漸 積 三 
T85n2749_001:0183b23	明力漸速。初章復三。一修弘法行。二修供養	明 力 漸 速 初 章 復 三 一 修 弘 法 行 二 修 供 養 
T85n2749_001:0183b24	行。三修六度行。此修弘法行也。	行 三 修 六 度 行 此 修 弘 法 行 也 
T85n2749_001:0183b25	經曰。復能起塔至菩薩功德者。此修供養行	經 曰 復 能 起 塔 至 菩 薩 功 德 者 此 修 供 養 行 
T85n2749_001:0183b26	也。	也 
T85n2749_001:0183b27	經曰。又為他人至善答問難者。次修六度行。	經 曰 又 為 他 人 至 善 答 問 難 者 次 修 六 度 行 
T85n2749_001:0183b28	解說此經者是法檀行。復能清淨持戒與柔	解 說 此 經 者 是 法 檀 行 復 能 清 淨 持 戒 與 柔 
T85n2749_001:0183b29	和者而共止者。是持戒行。忍辱無瞋志念堅	和 者 而 共 止 者 是 持 戒 行 忍 辱 無 瞋 志 念 堅 
T85n2749_001:0183c01	固者。是忍辱行。常貴坐禪得諸深定者。是禪	固 者 是 忍 辱 行 常 貴 坐 禪 得 諸 深 定 者 是 禪 
T85n2749_001:0183c02	定行。精進勇猛攝諸善法者。是精進行利根	定 行 精進勇猛 攝 諸 善 法 者 是 精 進 行 利 根 
T85n2749_001:0183c03	智惠善答問難者。是智惠行。	智 惠 善 答 問 難 者 是 智 惠 行 
T85n2749_001:0183c04	經曰。阿逸多至諸善功德者。此明福漸積。	經 曰 阿 逸 多 至 諸 善 功 德 者 此 明 福 漸 積 
T85n2749_001:0183c05	經曰。當知是人至坐道樹下者。次明力漸速	經 曰 當 知 是 人 至 坐 道 樹 下 者 次 明 力 漸 速 
T85n2749_001:0183c06	兩重。一令身尊。二令處貴。此令身尊由成佛	兩 重 一 令 身 尊 二 令 處 貴 此 令 身 尊 由 成 佛 
T85n2749_001:0183c07	故。	故 
T85n2749_001:0183c08	經曰。阿逸多至如佛之塔者。此令處貴也。次	經 曰 阿 逸 多 至 如 佛 之 塔 者 此 令 處 貴 也 次 
T85n2749_001:0183c09	頌說十九偈半轉勢頌未來功德三重。初四	頌 說 十 九 偈 半 轉 勢 頌 未 來 功 德 三 重 初 四 
T85n2749_001:0183c10	偈半頌兼修供養舍利行。次四偈頌兼修供	偈 半 頌 兼 修 供 養 舍 利 行 次 四 偈 頌 兼 修 供 
T85n2749_001:0183c11	養眾僧行。次十一偈頌兼修六波羅蜜行。初	養 眾 僧 行 次 十 一 偈 頌 兼 修 六波羅蜜 行 初 
T85n2749_001:0183c12	二章可解。後章三重。初三偈明修法。次三偈	二 章 可 解 後 章 三 重 初 三 偈 明 修 法 次 三 偈 
T85n2749_001:0183c13	明修度。後五偈明修力。修力三重。初一偈半	明 修 度 後 五 偈 明 修 力 修 力 三 重 初 一 偈 半 
T85n2749_001:0183c14	明得天敬。次一偈明速成道。後兩偈半令處	明 得 天 敬 次 一 偈 明 速 成 道 後 兩 偈 半 令 處 
T85n2749_001:0183c15	尊。	尊 
T85n2749_001:0183c16	隨喜功德品第十八	隨 喜 功 德 品 第 十 八 
T85n2749_001:0183c17	此品第二明方便益。隨以順從為義。喜以慶	此 品 第 二 明 方 便 益 隨 以 順 從 為 義 喜 以 慶 
T85n2749_001:0183c18	悅為名。所謂聞法順從心生慶悅故名隨喜。	悅 為 名 所 謂 聞 法 順 從 心 生 慶 悅 故 名 隨 喜 
T85n2749_001:0183c19	隨喜有兩。一自聞生憙。二勸聞生喜。自聞生	隨 喜 有 兩 一 自 聞 生 憙 二 勸 聞 生 喜 自 聞 生 
T85n2749_001:0183c20	喜即受他法施。勸聞生喜。即以法施他。受他	喜 即 受 他 法 施 勸 聞 生 喜 即 以 法 施 他 受 他 
T85n2749_001:0183c21	法施。明生自聞慧。以法施他。令他生聞慧。生	法 施 明 生 自 聞 慧 以 法 施 他 令 他 生 聞 慧 生 
T85n2749_001:0183c22	自聞慧。即自利行。生他聞惠。即利他行。如是	自 聞 慧 即 自 利 行 生 他 聞 惠 即 利 他 行 如 是 
T85n2749_001:0183c23	因聞隨喜生聞惠。因聞惠生思惠。因思慧生	因 聞 隨 喜 生 聞 惠 因 聞 惠 生 思 惠 因 思 慧 生 
T85n2749_001:0183c24	修惠。因修惠生證智。聞即熏。思即覺。修即	修 惠 因 修 惠 生 證 智 聞 即 熏 思 即 覺 修 即 
T85n2749_001:0183c25	寂。證即通。此四即以隨喜為本故。名隨喜品。	寂 證 即 通 此 四 即 以 隨 喜 為 本 故 名 隨 喜 品 
T85n2749_001:0183c26	品內兩序兩頌即為四重。一序問。二頌問。三	品 內 兩 序 兩 頌 即 為 四 重 一 序 問 二 頌 問 三 
T85n2749_001:0183c27	序答。四頌答。前二可解。	序 答 四 頌 答 前 二 可 解 
T85n2749_001:0183c28	經曰。爾時佛告至隨喜已者。次序答分別五	經 曰 爾 時 佛 告 至 隨 喜 已 者 次 序 答 分 別 五 
T85n2749_001:0183c29	人功德即為五重。一隨喜人。二往聽人。三分	人 功 德 即 為 五 重 一 隨 喜 人 二 往 聽 人 三 分 
T85n2749_001:0184a01	坐人。四勸聽人。五修行人。前後二人明因不	坐 人 四 勸 聽 人 五 修 行 人 前 後 二 人 明 因 不 
T85n2749_001:0184a02	明果。中間三人明果不明因。隱顯互論耳。初	明 果 中 間 三 人 明 果 不 明 因 隱 顯 互 論 耳 初 
T85n2749_001:0184a03	明隨喜有五十人。即十信十解十行十迴向	明 隨 喜 有 五 十 人 即 十 信 十 解 十 行 十 迴 向 
T85n2749_001:0184a04	十地為五十。此中從勝向劣而為次第故。以	十 地 為 五 十 此 中 從 勝 向 劣 而 為 次 第 故 以 
T85n2749_001:0184a05	法雲地為最初人。信心為最後人。初隨喜為	法 雲 地 為 最 初 人 信 心 為 最 後 人 初 隨 喜 為 
T85n2749_001:0184a06	最勝。後隨喜為最劣。是故數至五十不多不	最 勝 後 隨 喜 為 最 劣 是 故 數 至 五 十 不 多 不 
T85n2749_001:0184a07	少。文有六重。一立初二總轉三條後四對田	少 文 有 六 重 一 立 初 二 總 轉 三 條 後 四 對 田 
T85n2749_001:0184a08	五起行六量福。立初兩重。一喜聞二喜化。此	五 起 行 六 量 福 立 初 兩 重 一 喜 聞 二 喜 化 此 
T85n2749_001:0184a09	明喜聞三意。一喜時即如來滅後。二喜人即	明 喜 聞 三 意 一 喜 時 即 如來滅後 二 喜 人 即 
T85n2749_001:0184a10	道俗四眾。三喜事即聞經隨喜。	道 俗 四 眾 三 喜 事 即 聞 經 隨 喜 
T85n2749_001:0184a11	經曰。從法會出至隨力演說者。此喜化三意。	經 曰 從 法 會 出 至 隨 力 演 說 者 此 喜 化 三 意 
T85n2749_001:0184a12	一化處即僧坊等。二化境即父母等。三化事	一 化 處 即 僧 坊 等 二 化 境 即 父 母 等 三 化 事 
T85n2749_001:0184a13	即隨力演說。	即 隨 力 演 說 
T85n2749_001:0184a14	經曰。是諸人等至第五十者。第二總轉也。	經 曰 是 諸 人 等 至 第 五 十 者 第 二 總 轉 也 
T85n2749_001:0184a15	經曰。阿逸多至汝當善聽者。第三條後也。	經 曰 阿 逸 多 至 汝 當 善 聽 者 第 三 條 後 也 
T85n2749_001:0184a16	經曰。若四百萬億至眾生數者。第四對田也	經 曰 若 四 百 萬 億 至 眾 生 數 者 第 四 對 田 也 
T85n2749_001:0184a17	三意。一器多即四百萬億阿僧祇世界。二生	三 意 一 器 多 即 四 百 萬 億 阿 僧 祇 世 界 二 生 
T85n2749_001:0184a18	多即五類眾生。三結多即如是等在眾生數	多 即 五 類 眾 生 三 結 多 即 如 是 等 在 眾 生 數 
T85n2749_001:0184a19	也。五類者。一道類。二生類。三界類。四體類。	也 五 類 者 一 道 類 二 生 類 三 界 類 四 體 類 
T85n2749_001:0184a20	五相類。道類則六趣。如序品解。生類即四	五 相 類 道 類 則 六 趣 如 序 品 解 生 類 即 四 
T85n2749_001:0184a21	生。謂卵胎濕化生者新諸根起也。依[穀禾+卵]而生	生 謂 卵 胎 濕 化 生 者 新 諸 根 起 也 依 [穀禾卵] 而 生 
T85n2749_001:0184a22	曰卵。含藏而出曰胎。假潤而興曰濕。欻然而	曰 卵 含 藏 而 出 曰 胎 假 潤 而 興 曰 濕 欻 然 而 
T85n2749_001:0184a23	現曰化。卵生者孔雀鸚鵡等。胎生者象馬駝	現 曰 化 卵 生 者 孔 雀 鸚 鵡 等 胎 生 者 象 馬 駝 
T85n2749_001:0184a24	驢等。濕生者蚊蚋精蛉等。化生者地獄諸天	驢 等 濕 生 者 蚊 蚋 精 蛉 等 化 生 者 地 獄 諸 天 
T85n2749_001:0184a25	等。於五道中人畜具四生。地獄諸天但化生。	等 於 五 道 中 人 畜 具 四 生 地 獄 諸 天 但 化 生 
T85n2749_001:0184a26	鬼神二種化生胎生。人卵生者。如世羅優波	鬼 神 二 種 化 生 胎 生 人 卵 生 者 如 世 羅 優 波 
T85n2749_001:0184a27	世羅二比丘。從鶴卵中生。鶴鳥於山中生二	世 羅 二 比 丘 從 鶴 卵 中 生 鶴 鳥 於 山 中 生 二 
T85n2749_001:0184a28	卵卵出兩童子。人奪養之為立名字。一名大	卵 卵 出 兩 童 子 人 奪 養 之 為 立 名 字 一 名 大 
T85n2749_001:0184a29	山。二名小山。後出家得羅漢。世羅言山。優	山 二 名 小 山 後 出 家 得 羅 漢 世 羅 言 山 優 
T85n2749_001:0184b01	波世羅言小山。又如彌伽羅母毘舍佉夫人。	波 世 羅 言 小 山 又 如 彌 伽 羅 母 毘 舍 佉 夫 人 
T85n2749_001:0184b02	一時生三十二卵。卵出三十二子。值佛出家	一 時 生 三 十 二 卵 卵 出 三 十 二 子 值 佛 出 家 
T85n2749_001:0184b03	並得初果。又如般遮羅王生五百子。並是卵	並 得 初 果 又 如 般 遮 羅 王 生 五 百 子 並 是 卵 
T85n2749_001:0184b04	生。王及王子。後時並悟緣覺果。人胎生者如	生 王 及 王 子 後 時 並 悟 緣 覺 果 人 胎 生 者 如 
T85n2749_001:0184b05	今世人也。人濕生者。如頂生王遮婁王優波	今 世 人 也 人 濕 生 者 如 頂 生 王 遮 婁 王 優 波 
T85n2749_001:0184b06	遮婁王。劫初時布薩王頂生一胞。胞破生頂	遮 婁 王 劫 初 時 布 薩 王 頂 生 一 胞 胞 破 生 頂 
T85n2749_001:0184b07	生王。頂生王膝上生一胞。胞破生遮婁王。遮	生 王 頂 生 王 膝 上 生 一 胞 胞 破 生 遮 婁 王 遮 
T85n2749_001:0184b08	婁王[跳兆+專]上生一胞。胞破生優波遮婁王。此三	婁 王 [跳兆專] 上 生 一 胞 胞 破 生 優 波 遮 婁 王 此 三 
T85n2749_001:0184b09	即是祖父孫並登轉輪王位。又如耆婆母。從	即 是 祖 父 孫 並 登 轉輪王位 又 如 耆 婆 母 從 
T85n2749_001:0184b10	菴羅樹生。亦是濕生也。人化生者。如劫初時	菴 羅 樹 生 亦 是 濕 生 也 人 化 生 者 如 劫 初 時 
T85n2749_001:0184b11	人。一切化生。畜生四生者前三可見。唯龍	人 一 切 化 生 畜 生 四 生 者 前 三 可 見 唯 龍 
T85n2749_001:0184b12	及金翅鳥有化生不盡皆。然地獄諸天并中	及 金 翅 鳥 有 化 生 不 盡 皆 然 地 獄 諸 天 并 中 
T85n2749_001:0184b13	陰。此三處唯化生。鬼神多化生。而亦有胎生	陰 此 三 處 唯 化 生 鬼 神 多 化 生 而 亦 有 胎 生 
