X59n1084_001:0324b06	 纂要序	 纂 要 序 
X59n1084_001:0329a12	(用右手無名指。點取香水。彈洒曼丹。此曼丹作法成	 用 右 手 無 名 指 點 取 香 水 彈 洒 曼 丹 此 曼 丹 作 法 成 
X59n1084_001:0329a13	後。即名曼拏囉。洒水誦呪。亦加持義)。	後 即 名 曼 拏 囉 洒 水 誦 呪 亦 加 持 義 
X59n1084_001:0329a14	唵斡資囉(二合)烏怛葛啞吽	唵 斡 資 囉 二 合 烏 怛 葛 啞 吽 
X59n1084_001:0329a15	(仍用右手無名指。點取香水于曼丹上。右旋作一圓	 仍 用 右 手 無 名 指 點 取 香 水 于 曼 丹 上 右 旋 作 一 圓 
X59n1084_001:0329a16	相佛說大教王經明畵像壇儀云。時阿閻黎于曼拏	相 佛 說 大 教 王 經 明 畵 像 壇 儀 云 時 阿 閻 黎 于 曼 拏 
X59n1084_001:0329a17	囉地中間。以塗香作圓相。曼拏囉今手印壇亦準經	囉 地 中 間 以 塗 香 作 圓 相 曼 拏 囉 今 手 印 壇 亦 準 經 
X59n1084_001:0329a18	義。故以香水于曼丹上作此圓相。表曼拏囉也。佛說	義 故 以 香 水 于 曼 丹 上 作 此 圓 相 表 曼 拏 囉 也 佛 說 
X59n1084_001:0329a19	秘密相經云。當念誦時。應觀心月曼拏囉相。則知作	秘 密 相 經 云 當 念 誦 時 應 觀 心 月 曼 拏 囉 相 則 知 作 
X59n1084_001:0329a20	此圓相有二義。一則以事顯法。二乃觀想唯心。曼拏	此 圓 相 有 二 義 一 則 以 事 顯 法 二 乃 觀 想 唯 心 曼 拏 
X59n1084_001:0329a21	囉也。般若波羅密多理趣釋云。以事顯于理。故即事	囉 也 般 若 波羅密多 理 趣 釋 云 以 事 顯 于 理 故 即 事 
X59n1084_001:0329a22	即理。理事不相礙故)。	即 理 理 事 不 相 礙 故 
X59n1084_001:0329a23	(就念真言一遍。作圓相一匝。次加持花米。成光明	 就 念 真 言 一 遍 作 圓 相 一 匝 次 加 持 花 米 成 光 明 
X59n1084_001:0329a24	種。如用之時。悉成如意珍寶供具)。	種 如 用 之 時 悉 成 如 意 珍 寶 供 具 
X59n1084_001:0329a25	唵斡資囉(二合)[口*普]彌啞吽	唵 斡 資 囉 二 合 [口普] 彌 啞 吽 
X59n1084_001:0329b01	(念真言時。手持花米。右旋洒散曼丹。如空注雨)。	 念 真 言 時 手 持 花 米 右 旋 洒 散 曼 丹 如 空 注 雨 
X59n1084_001:0329b02	輪圍山　鐵圍山	輪 圍 山 鐵 圍 山 
X59n1084_001:0329b03	唵斡資囉(二合)哩契啞吽	唵 斡 資 囉 二 合 哩 契 啞 吽 
X59n1084_001:0329b04	(佛說金剛手菩薩。降伏一切部多大教王經云。告大	 佛 說 金剛手菩薩 降 伏 一 切 部 多 大 教 王 經 云 告 大 
X59n1084_001:0329b05	部多主無能勝言。所有四大洲界。閻浮提內一切眾	部 多 主 無 能 勝 言 所 有 四 大 洲 界 閻 浮 提 內 一 切 眾 
X59n1084_001:0329b06	生。作法誦持。悉令成就。今此亦用四洲為限。是故加	生 作 法 誦 持 悉 令 成 就 今 此 亦 用 四 洲 為 限 是 故 加 
X59n1084_001:0329b07	持。唱此二山為地界)。	持 唱 此 二 山 為 地 界 
X59n1084_001:0329b08	金剛地勝金剛地基吽 字而作擁護(佛說大教王經	金 剛 地 勝 金 剛 地 基 吽 字 而 作 擁 護 佛 說 大 教 王 經 
X59n1084_001:0329b09	云。復想曼拏囉地。即成金剛地。徧滿熾盛。時阿闍黎即稱己名。同誦吽字。大樂金剛不空理趣釋下	云 復 想 曼 拏 囉 地 即 成 金 剛 地 徧 滿 熾 盛 時 阿 闍 黎 即 稱 己 名 同 誦 吽 字 大 樂 金 剛 不 空 理 趣 釋 下 
X59n1084_001:0329b10	卷云。 字者。是因義。即一切如來菩提心。亦是一切如來不共真如妙體。恒沙功德。皆從此生)。	卷 云 字 者 是 因 義 即 一 切 如來菩提 心 亦 是 一 切 如 來 不 共 真 如 妙 體 恒 沙 功 德 皆 從 此 生 
X59n1084_001:0329b11	　誦一真言　　拈一花米	 誦 一 真 言 拈 一 花 米 
X59n1084_001:0329b12	　排列須彌　　等位如圖	 排 列 須 彌 等 位 如 圖 
X59n1084_001:0329c14	　南北東西四部洲　　百千剎土亦能酬	 南 北 東 西 四 部 洲 百 千 剎 土 亦 能 酬 
X59n1084_001:0329c15	　須彌頂上安宮殿　　大地孤魂脫苦坵	 須 彌 頂 上 安 宮 殿 大 地 孤 魂 脫 苦 坵 
X59n1084_001:0329c16	唵唅彌囉微捺麻(大須彌山)	唵 唅 彌 囉 微 捺 麻 大 須 彌 山 
X59n1084_001:0329c17	唵唅斯克徹(二合)麻彌囉微捺麻(小須彌山)	唵 唅 斯 克 徹 二 合 麻 彌 囉 微 捺 麻 小 須 彌 山 
X59n1084_001:0329c18	唵巖晡兒斡(二合)微的葛耶捺麻(東勝神洲)	唵 巖 晡 兒 斡 二 合 微 的 葛 耶 捺 麻 東 勝 神 洲 
X59n1084_001:0329c19	唵巖的葛耶捺麻(小勝神洲)	唵 巖 的 葛 耶 捺 麻 小 勝 神 洲 
X59n1084_001:0329c20	唵巖微的葛耶捺麻(勝勝神洲)	唵 巖 微 的 葛 耶 捺 麻 勝 勝 神 洲 
X59n1084_001:0329c21	唵囕咱晡的癹耶捺麻(南贍部洲)	唵 囕 咱 晡 的 癹 耶 捺 麻 南贍部洲 
X59n1084_001:0329c22	唵囕沙茶耶捺麻(諂勝洲)	唵 囕 沙 茶 耶 捺 麻 諂 勝 洲 
X59n1084_001:0329c23	唵囕烏答囉曼的哩(二合)尼耶捺麻(最勝洲)	唵 囕 烏 答 囉 曼 的 哩 二 合 尼 耶 捺 麻 最 勝 洲 
X59n1084_001:0329c24	唵[口*藍]啞咓囉孤答(二合)尼耶捺麻(西牛賀洲)	唵 [口藍] 啞 咓 囉 孤 答 二 合 尼 耶 捺 麻 西 牛 賀 洲 
X59n1084_001:0330a01	唵[口*藍]拶(二合)麻囉耶捺麻(小拂洲)	唵 [口藍] 拶 二 合 麻 囉 耶 捺 麻 小 拂 洲 
X59n1084_001:0330a02	唵[口*藍]斡囉拶(二合)麻囉耶捺麻(妙拂洲)	唵 [口藍] 斡 囉 拶 二 合 麻 囉 耶 捺 麻 妙 拂 洲 
X59n1084_001:0330a03	唵鑁烏答囉孤囉尼捺麻(北俱盧州)	唵 鑁 烏 答 囉 孤 囉 尼 捺 麻 北 俱 盧 州 
X59n1084_001:0330a04	唵鑁孤囉微捺麻(小行洲)	唵 鑁 孤 囉 微 捺 麻 小 行 洲 
X59n1084_001:0330a05	∴唵鑁葛囉斡(二合)耶捺麻(勝道行洲)	 唵 鑁 葛 囉 斡 二 合 耶 捺 麻 勝 道 行 洲 
X59n1084_001:0330a06	唵巖葛拶囉的捺(二合)耶捺麻(象寶)	唵 巖 葛 拶 囉 的 捺 二 合 耶 捺 麻 象 寶 
X59n1084_001:0330a07	唵囕[口*普]嚕沙囉唽的捺(二合)耶捺麻(主藏寶)	唵 囕 [口普] 嚕 沙 囉 唽 的 捺 二 合 耶 捺 麻 主 藏 寶 
X59n1084_001:0330a08	唵囕斡節囉的捺(二合)耶捺麻(馬寶)	唵 囕 斡 節 囉 的 捺 二 合 耶 捺 麻 馬 寶 
X59n1084_001:0330a09	唵鑁斯的哩(二合)囉的捺(二合)耶捺麻(女寶)	唵 鑁 斯 的 哩 二 合 囉 的 捺 二 合 耶 捺 麻 女 寶 
X59n1084_001:0330a10	唵巖葛吒葛(二合)囉的捺(二合)耶捺麻(將軍寶)	唵 巖 葛 吒 葛 二 合 囉 的 捺 二 合 耶 捺 麻 將 軍 寶 
X59n1084_001:0330a11	唵囕吒吃囉(二合)囉的捺(二合)耶捺麻(輪寶)	唵 囕 吒 吃 囉 二 合 囉 的 捺 二 合 耶 捺 麻 輪 寶 
X59n1084_001:0330a12	唵囕麻尼囉的捺(二合)耶捺麻(如意寶)	唵 囕 麻 尼 囉 的 捺 二 合 耶 捺 麻 如 意 寶 
X59n1084_001:0330a13	∴唵鑁麻曷聶塔捺耶捺麻(寶藏瓶)	 唵 鑁 麻 曷 聶 塔 捺 耶 捺 麻 寶 藏 瓶 
X59n1084_001:0330a14	唵啞斯哩(二合)牙耶捺麻(日宮)	唵 啞 斯 哩 二 合 牙 耶 捺 麻 日 宮 
X59n1084_001:0330a15	唵[口*藍]拶的囉耶捺麻(月宮)	唵 [口藍] 拶 的 囉 耶 捺 麻 月 宮 
X59n1084_001:0330a16	唵啞吽捺麻(眾寶傘)	唵 啞 吽 捺 麻 眾 寶 傘 
X59n1084_001:0330a17	∴唵薩哩斡(二合)囉的尼(二合)毗藥捺麻(尊勝幢)	 唵 薩 哩 斡 二 合 囉 的 尼 二 合 毗 藥 捺 麻 尊 勝 幢 
X59n1084_001:0330a18	唵室哩(二合)麻忒(二合)斡資囉(二合)孤嚕拶囉捺葛麻辣耶	唵 室 哩 二 合 麻 忒 二 合 斡 資 囉 二 合 孤 嚕 拶 囉 捺 葛 麻 辣 耶 
X59n1084_001:0330a19	三藐克答捺啞斡癹薩拏葛囉(二合)耶吽捺麻	三 藐 克 答 捺 啞 斡 癹 薩 拏 葛 囉 二 合 耶 吽 捺 麻 
X59n1084_001:0330a20	(大須彌。即四寶山小須彌。即七金山。象寶等。即佛說	 大 須 彌 即 四 寶 山 小 須 彌 即 七 金 山 象 寶 等 即 佛 說 
X59n1084_001:0330a21	大乘莊嚴寶王經。金輪七寶經云。七寶現時。其地悉	大 乘 莊 嚴 寶 王 經 金 輪 七 寶 經 云 七 寶 現 時 其 地 悉 
X59n1084_001:0330a22	皆變成金色。寶藏缾。與七俱胝佛母所說準提經。七	皆 變 成 金 色 寶 藏 缾 與 七 俱 胝 佛 母 所 說 準 提 經 七 
X59n1084_001:0330a23	寶賢瓶義同。眾寶傘。即妙吉祥大教王經。五傘之一。	寶 賢 瓶 義 同 眾 寶 傘 即 妙 吉 祥 大 教 王 經 五 傘 之 一 
X59n1084_001:0330a24	尊勝幢。是高顯摧邪義。一字金輪王佛頂要略念誦	尊 勝 幢 是 高 顯 摧 邪 義 一字金輪 王 佛 頂 要 略 念 誦 
X59n1084_001:0330a25	法云。想曼拏囉中有香水大海。于海中心。有妙高山。	法 云 想 曼 拏 囉 中 有 香 水 大 海 于 海 中 心 有 妙 高 山 
X59n1084_001:0330b01	七重金光。周匝圍繞。于妙高頂上。有八葉白色蓮花。	七 重 金 光 周匝圍繞 于 妙 高 頂 上 有 八 葉 白 色 蓮 花 
X59n1084_001:0330b02	於一一葉上。右旋布列輪王七寶。一切如來大秘密	於 一 一 葉 上 右 旋 布 列 輪 王 七 寶 一 切 如 來 大 秘 密 
X59n1084_001:0330b03	王未曾有最上微妙大曼拏囉經云。觀想四寶。金剛	王 未 曾 有 最 上 微 妙 大 曼 拏 囉 經 云 觀 想 四 寶 金 剛 
X59n1084_001:0330b04	山上有吽字。名徧現最上大金剛寶峯。其上有大寶	山 上 有 吽 字 名 徧 現 最 上 大 金 剛 寶 峯 其 上 有 大 寶 
X59n1084_001:0330b05	殿。以金剛寶柱等莊嚴。而彼殿中。有蓮花寶色如來	殿 以 金 剛 寶 柱 等 莊 嚴 而 彼 殿 中 有 蓮 花 寶 色 如 來 
X59n1084_001:0330b06	於中而住。此名三昧曼拏囉。則知此中。亦應觀想妙	於 中 而 住 此 名 三 昧 曼 拏 囉 則 知 此 中 亦 應 觀 想 妙 
X59n1084_001:0330b07	高峯頂有大寶殿。上師三寶于中安住。甘露軍茶利	高 峯 頂 有 大 寶 殿 上 師 三 寶 于 中 安 住 甘 露 軍 茶 利 
X59n1084_001:0330b08	儀軌云。誦密語時。思惟從印流出種種供養雲海。天	儀 軌 云 誦 密 語 時 思 惟 從 印 流 出 種種供養 雲 海 天 
X59n1084_001:0330b09	妙伎樂歌舞嬉戲衣服飲食燈明閼伽賢缾劫樹寶	妙 伎 樂 歌 舞 嬉 戲 衣 服 飲 食 燈 明 閼 伽 賢 缾 劫 樹 寶 
X59n1084_001:0330b10	幢旛盖諸寶等。一切人天所有受用之物。故云)。	幢 旛 盖 諸 寶 等 一 切 人 天 所 有 受 用 之 物 故 云 
X59n1084_001:0330b11	人天所有。種種供物。	人 天 所 有 種 種 供 物 
X59n1084_001:0330b12	(金剛頂蓮花部心念誦儀軌。明有七種。一花。二燒香。	 金 剛 頂 蓮 花 部 心 念 誦 儀 軌 明 有 七 種 一 花 二 燒 香 
X59n1084_001:0330b13	三塗香。四燈明。五寶。六嬉戲。七衣服資具。俱言人天	三 塗 香 四 燈 明 五 寶 六 嬉 戲 七 衣 服 資 具 俱 言 人 天 
X59n1084_001:0330b14	所有種種等。皆為供養佛。而作事業故。我今當奉獻。)。	所 有 種 種 等 皆 為 供 養 佛 而 作 事 業 故 我 今 當 奉 獻 
X59n1084_001:0330b15	奉獻呪	奉 獻 呪 
X59n1084_001:0330b16	唵薩哩斡(二合)答塔葛達囉的捺麻曷曼答囉(二合)布拶	唵 薩 哩 斡 二 合 答 塔 葛 達 囉 的 捺 麻 曷 曼 答 囉 二 合 布 拶 
X59n1084_001:0330b17	彌渴薩謨的囉(二合)斯癹囉納三麻耶啞吽	彌 渴 薩 謨 的 囉 二 合 斯 癹 囉 納 三 麻 耶 啞 吽 
X59n1084_001:0330b18	(金剛頂念誦注云。三麻耶。此呼供養初名)。	 金 剛 頂 念 誦 注 云 三 麻 耶 此 呼 供 養 初 名 
X59n1084_001:0330b19	唵薩哩斡(二合)答塔葛達薩叭哩咓囉(啞哩千巴　丹)巴囉	唵 薩 哩 斡 二 合 答 塔 葛 達 薩 叭 哩 咓 囉 啞 哩 千 巴 丹 巴 囉 
X59n1084_001:0330b20	(二合)諦拶耶莎訶	 二 合 諦 拶 耶 莎 訶 
X59n1084_001:0330b21	(一切如來大秘密王經云。復次金剛手。如是作曼拏	 一 切 如 來 大 秘 密 王 經 云 復 次 金 剛 手 如 是 作 曼 拏 
X59n1084_001:0330b22	囉已。其阿闍黎當須至心奉献花縵瓔珞。乃至妙香	囉 已 其 阿 闍 黎 當 須 至 心 奉 献 花 縵 瓔 珞 乃 至 妙 香 
X59n1084_001:0330b23	閼伽等。七俱胝佛母所說準提經。有閼伽印呪。須者	閼 伽 等 七 俱 胝 佛 母 所 說 準 提 經 有 閼 伽 印 呪 須 者 
X59n1084_001:0330b24	尋之)。	尋 之 
X59n1084_001:0330b25	五供養	五 供 養 
X59n1084_001:0330b26	唵薩哩斡(二合)答塔葛達薩叭哩咓囉	唵 薩 哩 斡 二 合 答 塔 葛 達 薩 叭 哩 咓 囉 
X59n1084_001:0330b27	唵斡資囉(二合)不思必啞吽	唵 斡 資 囉 二 合 不 思 必 啞 吽 
X59n1084_001:0330c01	唵斡資囉(二合)捨不荅布拶彌渴薩謨的囉(二合)斯癹囉	唵 斡 資 囉 二 合 捨 不 荅 布 拶 彌 渴 薩 謨 的 囉 二 合 斯 癹 囉 
X59n1084_001:0330c02	納三麻耶啞吽	納 三 麻 耶 啞 吽 
X59n1084_001:0330c03	(五字陀羅尼頌云。次以散花印。莊嚴諸世界。金剛縛	 五 字 陀 羅 尼 頌 云 次 以 散 花 印 莊 嚴 諸 世 界 金 剛 縛 
X59n1084_001:0330c04	上散。花網徧虗空)。(唵嚩日囉補瑟閉)	上 散 花 網 徧 虗 空 唵 嚩 日 囉 補 瑟 閉 
X59n1084_001:0330c05	唵薩哩斡(二合)答塔葛達薩叭哩咓囉	唵 薩 哩 斡 二 合 答 塔 葛 達 薩 叭 哩 咓 囉 
X59n1084_001:0330c06	唵斡資囉(二合)度必啞吽	唵 斡 資 囉 二 合 度 必 啞 吽 
X59n1084_001:0330c07	唵斡資囉(二合)捨不答布拶彌渴薩謨的囉(二合)斯癹囉	唵 斡 資 囉 二 合 捨 不 答 布 拶 彌 渴 薩 謨 的 囉 二 合 斯 癹 囉 
X59n1084_001:0330c08	納三麻耶啞吽	納 三 麻 耶 啞 吽 
X59n1084_001:0330c09	(次以焚香印。普熏諸世界。金剛縛下散。徧法界香雲。)。	 次 以 焚 香 印 普 熏 諸 世 界 金 剛 縛 下 散 徧 法 界 香 雲 
X59n1084_001:0330c10	(唵嚩日囉度閉)	 唵 嚩 日 囉 度 閉 
X59n1084_001:0330c11	唵薩哩斡(二合)答塔葛達薩叭哩咓囉	唵 薩 哩 斡 二 合 答 塔 葛 達 薩 叭 哩 咓 囉 
X59n1084_001:0330c12	唵斡資囉(二合)啞嚕吉啞吽	唵 斡 資 囉 二 合 啞 嚕 吉 啞 吽 
X59n1084_001:0330c13	唵斡資囉(二合)捨不答布拶彌渴薩謨的囉(二合)斯癹囉	唵 斡 資 囉 二 合 捨 不 答 布 拶 彌 渴 薩 謨 的 囉 二 合 斯 癹 囉 
X59n1084_001:0330c14	納三麻耶啞吽	納 三 麻 耶 啞 吽 
X59n1084_001:0330c15	(次献智燈印。普燎諸幽冥。禪智前相逼。普此智慧光。)。	 次 献 智 燈 印 普 燎 諸 幽 冥 禪 智 前 相 逼 普 此 智 慧 光 
X59n1084_001:0330c16	(唵嚩日囉魯計)	 唵 嚩 日 囉 魯 計 
X59n1084_001:0330c17	唵薩哩斡(二合)答塔葛達薩叭哩咓囉	唵 薩 哩 斡 二 合 答 塔 葛 達 薩 叭 哩 咓 囉 
X59n1084_001:0330c18	唵斡資囉(二合)干底啞吽	唵 斡 資 囉 二 合 干 底 啞 吽 
X59n1084_001:0330c19	唵斡資囉(二合)捨不答布拶彌渴薩謨的囉(二合)斯癹囉	唵 斡 資 囉 二 合 捨 不 答 布 拶 彌 渴 薩 謨 的 囉 二 合 斯 癹 囉 
X59n1084_001:0330c20	納三麻耶啞吽	納 三 麻 耶 啞 吽 
X59n1084_001:0330c21	(次献塗香印。當胷塗香勢。以解脫香雲。普淨眾生界。)。	 次 献 塗 香 印 當 胷 塗 香 勢 以 解 脫 香 雲 普 淨 眾 生 界 
X59n1084_001:0330c22	(唵嚩日囉巘提)	 唵 嚩 日 囉 巘 提 
X59n1084_001:0330c23	唵薩哩斡(二合)答塔葛達薩叭哩咓囉	唵 薩 哩 斡 二 合 答 塔 葛 達 薩 叭 哩 咓 囉 
X59n1084_001:0330c24	唵斡資囉(二合)你微的啞吽	唵 斡 資 囉 二 合 你 微 的 啞 吽 
X59n1084_001:0330c25	唵斡資囉(二合)捨不答布拶彌渴薩謨的囉(二合)斯癹囉	唵 斡 資 囉 二 合 捨 不 答 布 拶 彌 渴 薩 謨 的 囉 二 合 斯 癹 囉 
X59n1084_001:0330c26	納三麻耶啞吽	納 三 麻 耶 啞 吽 
X59n1084_001:0331a01	(大悲空智儀軌云)。(唵嚩日囉廼尾你阿吽)(其印準知)。	 大 悲 空 智 儀 軌 云 唵 嚩 日 囉 廼 尾 你 阿 吽 其 印 準 知 
X59n1084_001:0331a02	音樂呪	音 樂 呪 
X59n1084_001:0331a03	唵斡資囉(二合)看支夷囉納(二合)囉納(二合)不囉(二合)囉納不	唵 斡 資 囉 二 合 看 支 夷 囉 納 二 合 囉 納 二 合 不 囉 二 合 囉 納 不 
X59n1084_001:0331a04	囉(二合)囉納三不囉(二合)囉納三不囉(二合)囉納薩哩斡(二合)	囉 二 合 囉 納 三 不 囉 二 合 囉 納 三 不 囉 二 合 囉 納 薩 哩 斡 二 合 
X59n1084_001:0331a05	孛塔赤的囉(二合)不囉拶哩答麻曷不囉(二合)尼牙(二合)巴	孛 塔 赤 的 囉 二 合 不 囉 拶 哩 答 麻 曷 不 囉 二 合 尼 牙 二 合 巴 
X59n1084_001:0331a06	囉蔑答那達速巴微薩哩斡(二合)塔哩麻(二合)[口*紇]哩(二合)達	囉 蔑 答 那 達 速 巴 微 薩 哩 斡 二 合 塔 哩 麻 二 合 [口紇] 哩 二 合 達 
X59n1084_001:0331a07	耶傘多沙納葛哩吽吽和和啞龕沙訶	耶 傘 多 沙 納 葛 哩 吽 吽 和 和 啞 龕 沙 訶 
X59n1084_001:0331a08	(念呪將畢。手持鈴杵于曼丹上。緊搖一遍。置鈴于案。	 念 呪 將 畢 手 持 鈴 杵 于 曼 丹 上 緊 搖 一 遍 置 鈴 于 案 
X59n1084_001:0331a09	次攝授寶錯。左手持于寶錯。右手結三尖印。遣魔徧	次 攝 授 寶 錯 左 手 持 于 寶 錯 右 手 結 三 尖 印 遣 魔 徧 
X59n1084_001:0331a10	空。於空性中。自心月輪上。想成黃色得浪(二合) 字	空 於 空 性 中 自 心 月 輪 上 想 成 黃 色 得 浪 二 合 字 
X59n1084_001:0331a11	中放光。利益一切有情。光回得浪(二合) 字。一念變	中 放 光 利 益 一切有情 光 回 得 浪 二 合 字 一 念 變 
X59n1084_001:0331a12	成黃色寶生佛。手結施印。為一不二境。一念變成寶	成 黃 色 寶 生 佛 手 結 施 印 為 一 不 二 境 一 念 變 成 寶 
X59n1084_001:0331a13	錯。如用之時。而令錯之也)。	錯 如 用 之 時 而 令 錯 之 也 
X59n1084_001:0331a14	(瑜伽大教王經云。以香花燈塗等。殊妙供養。復用微	 瑜 伽 大 教 王 經 云 以 香 花 燈 塗 等 殊 妙 供 養 復 用 微 
X59n1084_001:0331a15	妙音樂。及吉祥偈贊。故有和和。啞龕)。	妙 音 樂 及 吉 祥 偈 贊 故 有 和 和 啞 龕 
X59n1084_001:0331a16	寶錯真言(念真言時。想寶錯內。出生無盡諸天如意珍寶。而奉献之)。	寶 錯 真 言 念 真 言 時 想 寶 錯 內 出 生 無 盡 諸 天 如 意 珍 寶 而 奉 献 之 
X59n1084_001:0331a17	唵斯嘛囉(二合)斯嘛囉(二合)密嘛曩斯葛囉摩訶拶葛囉	唵 斯 嘛 囉 二 合 斯 嘛 囉 二 合 密 嘛 曩 斯 葛 囉 摩 訶 拶 葛 囉 
X59n1084_001:0331a18	吽	吽 
X59n1084_001:0331a19	(準諸儀軌經。乃是降魔之具。即金剛枝。或金剛棒。右	 準 諸 儀 軌 經 乃 是 降 魔 之 具 即 金 剛 枝 或 金 剛 棒 右 
X59n1084_001:0331a20	有一日字。左有一月字。表二自性。金剛頂瑜伽他化	有 一 日 字 左 有 一 月 字 表 二 自 性 金 剛 頂 瑜 伽 他 化 
X59n1084_001:0331a21	自在天理趣會普賢修行念誦儀軌云。右日左成月。	自 在 天 理 趣 會 普 賢 修 行 念 誦 儀 軌 云 右 日 左 成 月 
X59n1084_001:0331a22	流散金剛光。入門而顧視。諸魔咸消散。地藏菩薩請	流 散 金 剛 光 入 門 而 顧 視 諸 魔 咸 消 散 地 藏 菩 薩 請 
X59n1084_001:0331a23	問法身贊云。以大力昇進。執持智慧棒。一切無明[穀禾+卵]。	問 法 身 贊 云 以 大 力 昇 進 執 持 智 慧 棒 一切無明 [穀禾卵] 
X59n1084_001:0331a24	普徧皆碎壞。錯。即交錯。謂前印呪觀想唯心變現事	普 徧 皆 碎 壞 錯 即 交 錯 謂 前 印 呪 觀 想 唯 心 變 現 事 
X59n1084_001:0331a25	相壇儀已。復欲融事相為真空。于空性中現起受用	相 壇 儀 已 復 欲 融 事 相 為 真 空 于 空 性 中 現 起 受 用 
X59n1084_001:0331a26	報土。成妙曼拏囉。則天魔等。恐其度生出界。心起嫉	報 土 成 妙 曼 拏 囉 則 天 魔 等 恐 其 度 生 出 界 心 起 嫉 
X59n1084_001:0331b01	妬。而來阻嬈。故即用此寶錯。撒花米。併三手印真言。	妬 而 來 阻 嬈 故 即 用 此 寶 錯 撒 花 米 併 三 手 印 真 言 
X59n1084_001:0331b02	而遣之也)。	而 遣 之 也 
X59n1084_001:0331b03	撒花米真言	撒 花 米 真 言 
X59n1084_001:0331b04	唵薩不答(二合)囉的捺吽	唵 薩 不 答 二 合 囉 的 捺 吽 
X59n1084_001:0331b05	遣魔真言(以二手作金剛拳。手背相靠。二小指相鈎。二頭指直竪。結印當	遣 魔 真 言 以 二 手 作 金 剛 拳 手 背 相 靠 二 小 指 相 鈎 二 頭 指 直 竪 結 印 當 
X59n1084_001:0331b06	胷。想手印出火光。而遣境界魔)。	胷 想 手 印 出 火 光 而 遣 境 界 魔 
X59n1084_001:0331b07	唵斡資囉(二合)啞彌哩達昆吒唎曷納曷納吽吽癹吒	唵 斡 資 囉 二 合 啞 彌 哩 達 昆 吒 唎 曷 納 曷 納 吽 吽 癹 吒 
X59n1084_001:0331b09	(此印呪出佛說大乘	 此 印 呪 出 佛 說 大 乘 
X59n1084_001:0331b10	觀想曼拏囉下卷。想	觀 想 曼 拏 囉 下 卷 想 
X59n1084_001:0331b11	手印上。出金剛焰。遣	手 印 上 出 金 剛 焰 遣 
X59n1084_001:0331b12	境界魔。金剛頂經修	境 界 魔 金 剛 頂 經 修 
X59n1084_001:0331b13	習毗盧遮那三摩地	習 毗 盧 遮 那 三 摩 地 
X59n1084_001:0331b14	法云。次以威怒降三世。淨治內外所生障。二羽交臂	法 云 次 以 威 怒 降 三 世 淨 治 內 外 所 生 障 二 羽 交 臂 
X59n1084_001:0331b15	金剛拳。檀慧相鈎進力竪。行者想身發威熖。八臂四	金 剛 拳 檀 慧 相 鈎 進 力 竪 行 者 想 身 發 威 熖 八 臂 四 
X59n1084_001:0331b16	面竪利牙。震吼吽字如雷音。頂右回旋成結界)。	面 竪 利 牙 震 吼 吽 字 如 雷 音 頂 右 回 旋 成 結 界 
X59n1084_001:0331b17	遣魔真言	遣 魔 真 言 
X59n1084_001:0331b18	唵斡資囉(二合)牙恰吽	唵 斡 資 囉 二 合 牙 恰 吽 
X59n1084_001:0331b20	(二手外相义。二頭	 二 手 外 相 义 二 頭 
X59n1084_001:0331b21	指直竪。結印當胷。	指 直 竪 結 印 當 胷 
X59n1084_001:0331b22	手動似扇。印出火	手 動 似 扇 印 出 火 
X59n1084_001:0331b23	光。而遣諸魔)。	光 而 遣 諸 魔 
X59n1084_001:0331b24	遣魔真言	遣 魔 真 言 
X59n1084_001:0331b25	唵斡資囉(二合)佐辣啞捺辣曷捺答曷巴拶麼塔班拶	唵 斡 資 囉 二 合 佐 辣 啞 捺 辣 曷 捺 答 曷 巴 拶 麼 塔 班 拶 
X59n1084_001:0331c01	囉納吽癹吒	囉 納 吽 癹 吒 
X59n1084_001:0331c03	(二手內相义。十指仰	 二 手 內 相 义 十 指 仰 
X59n1084_001:0331c04	上。結印當胷。想印中	上 結 印 當 胷 想 印 中 
X59n1084_001:0331c05	放出金剛焰。令諸魔	放 出 金 剛 焰 令 諸 魔 
X59n1084_001:0331c06	遠離)。	遠 離 
X59n1084_001:0331c07	真空呪印(二手內相义。進禪力智直竪念真言)。	真 空 呪 印 二 手 內 相 义 進 禪 力 智 直 竪 念 真 言 
X59n1084_001:0331c09	唵莎癹斡順牙(二合)薩哩斡(二合)答哩麻(二合)莎癹斡順牙	唵 莎 癹 斡 順 牙 二 合 薩 哩 斡 二 合 答 哩 麻 二 合 莎 癹 斡 順 牙 
X59n1084_001:0331c10	(二合)達(二合)	 二 合 達 二 合 
X59n1084_001:0331c11	(侍者白云)于空性中想	 侍 者 白 云 于 空 性 中 想 
X59n1084_001:0331c12	(阿闍黎觀想此梵書九字)[口*(隆一)][口*(隆一)]	 阿 闍 黎 觀 想 此 梵 書 九 字 [口隆一][口隆一] 
X59n1084_001:0331c13	(二合) [口*普][口*(隆一)](二合) [口*普]	 二 合 [口普][口隆一]二合[口普] 
X59n1084_001:0331c14	[口*(隆一)](二合) 啞啞啞 	[口隆一] 二 合 啞 啞 啞 
X59n1084_001:0331c15	吽吽 (此下眾和)吽而	吽 吽 此 下 眾 和 吽 而 
X59n1084_001:0331c16	成十方世界所有天妙曼怛啞哩干濯足花香燈塗	成 十方世界 所 有 天 妙 曼 怛 啞 哩 干 濯 足 花 香 燈 塗 
