T85n2819_001:1192c21	諸經要抄	諸 經 要 抄 
T85n2819_001:1195a14	髮是戒耶。著袈裟衣是戒耶。乞食是戒。正命	髮 是 戒 耶 著 袈 裟 衣 是 戒 耶 乞 食 是 戒 正 命 
T85n2819_001:1195a15	是戒耶。如是觀已於身無所取。於修無所著。	是 戒 耶 如 是 觀 已 於 身 無 所 取 於 修 無 所 著 
T85n2819_001:1195a16	於法無所住。過去已滅。未來未至。現在空寂。	於 法 無 所 住 過 去 已 滅 未 來 未 至 現 在 空 寂 
T85n2819_001:1195a17	無作業者。無受報者。此世不移動。彼世不改	無 作 業 者 無 受 報 者 此 世 不 移 動 彼 世 不 改 
T85n2819_001:1195a18	變。此中何法名為梵行。從何處來。誰之所有	變 此 中 何 法 名 為 梵 行 從 何 處 來 誰 之 所 有 
T85n2819_001:1195a19	體。為是誰由誰而作。為是有為是無。	體 為 是 誰 由 誰 而 作 為 是 有 為 是 無 
T85n2819_001:1195a20	真戒(一切眾生本來自有佛性。是持真戒者識心見性人。是見性之時想念不生。不起分別及有漏習。入無戒	真 戒 一 切 眾 生 本 來 自 有 佛 性 是 持 真 戒 者 識 心 見 性 人 是 見 性 之 時 想 念 不 生 不起分別 及 有 漏 習 入 無 戒 
T85n2819_001:1195a21	不自不他不垢不淨無我無人無念無分別無主無宰無悋無惜百無所須。諸欲永息等同虛空。同無情物身心不自。	不 自 不 他 不垢不淨 無 我 無 人 無 念 無 分 別 無 主 無 宰 無 悋 無 惜 百 無 所 須 諸 欲 永 息 等 同 虛 空 同 無 情 物 身 心 不 自 
T85n2819_001:1195a22	戒犯不二能。如是知者是真持戒人)。	戒 犯 不 二 能 如 是 知 者 是 真 持 戒 人 
T85n2819_001:1195a23	不淨說法。	不 淨 說 法 
T85n2819_001:1195a24	楞伽經云　未來世當有。身著於袈裟。妄說	楞 伽 經 云 未 來 世 當 有 身 著 於 袈 裟 妄 說 
T85n2819_001:1195a25	於有無。毀壞我正法。佛告大惠。彼愚癡人說	於 有 無 毀 壞 我 正 法 佛 告 大 惠 彼 愚 癡 人 說 
T85n2819_001:1195a26	有三乘。不說唯心無諸境界。一切癡外道。妄	有 三 乘 不 說 唯 心 無 諸 境 界 一 切 癡 外 道 妄 
T85n2819_001:1195a27	見作所作。悉著有無論。是故無解脫。涅槃離	見 作 所 作 悉 著 有 無 論 是 故 無 解 脫 涅 槃 離 
T85n2819_001:1195a28	心意。唯此一法實。藏識說為心。思量以為意。	心 意 唯 此 一 法 實 藏 識 說 為 心 思 量 以 為 意 
T85n2819_001:1195a29	心如白色衣。意識習為垢。垢習之所污。念心	心 如 白 色 衣 意 識 習 為 垢 垢 習 之 所 污 念 心 
T85n2819_001:1195b01	不顯現。若隨言取義。建立於諸法。以彼建立	不 顯 現 若 隨 言 取 義 建 立 於 諸 法 以 彼 建 立 
T85n2819_001:1195b02	故。死墮地獄中。	故 死 墮 地 獄 中 
T85n2819_001:1195b03	佛告大惠。彼人愚癡不知。言說是生是滅。義	佛 告 大 惠 彼 人 愚 癡 不 知 言 說 是 生 是 滅 義 
T85n2819_001:1195b04	不生滅。一切言說墮於文字。義則不墮。離有	不 生 滅 一 切 言 說 墮 於 文 字 義 則 不 墮 離 有 
T85n2819_001:1195b05	離無故。無生無體故。	離 無 故 無 生 無 體 故 
T85n2819_001:1195b06	淨說法。	淨 說 法 
T85n2819_001:1195b07	佛藏經云　舍利弗。是人又能清淨持戒。無	佛 藏 經 云 舍 利 弗 是 人 又 能 清 淨 持 戒 無 
T85n2819_001:1195b08	有瑕疵。不垢不淨。自在智者所讚能自具足。	有 瑕 疵 不垢不淨 自 在 智 者 所 讚 能 自 具 足 
T85n2819_001:1195b09	隨順禪定時樂坐禪。如是比丘我亦聽受供	隨 順 禪 定 時 樂 坐 禪 如 是 比 丘 我 亦 聽 受 供 
T85n2819_001:1195b10	養。舍利弗。身證法身無有疑悔。我聽是人	養 舍 利 弗 身 證 法 身 無 有 疑 悔 我 聽 是 人 
T85n2819_001:1195b11	高坐說法。雖見凡夫清淨持戒。心不貪著外	高 坐 說 法 雖 見 凡 夫 清 淨 持 戒 心 不 貪 著 外 
T85n2819_001:1195b12	道經義。一心懃求沙門上果。不貪利養善	道 經 義 一 心 懃 求 沙 門 上 果 不 貪 利 養 善 
T85n2819_001:1195b13	巧定說。多聞廣喻猶如大海。乃至失命猶不	巧 定 說 多 聞 廣 喻 猶 如 大 海 乃 至 失 命 猶 不 
T85n2819_001:1195b14	妄語。不樂諍訟自利利他。唯說清淨第一實	妄 語 不 樂 諍 訟 自利利他 唯 說 清 淨 第 一 實 
T85n2819_001:1195b15	義。所說如是。舍利弗。如是說者我聽說法。如	義 所 說 如 是 舍 利 弗 如 是 說 者 我 聽 說 法 如 
T85n2819_001:1195b16	來所說能使諸法不相違逆。為說戒定惠解	來 所 說 能 使 諸 法 不 相 違 逆 為 說 戒 定 惠 解 
T85n2819_001:1195b17	脫知見。舍利弗。求利比丘。為佛出家而破戒	脫 知 見 舍 利 弗 求 利 比 丘 為 佛 出 家 而 破 戒 
T85n2819_001:1195b18	品。何用說法。何以故。舍利弗。我經中說。若	品 何 用 說 法 何 以 故 舍 利 弗 我 經 中 說 若 
T85n2819_001:1195b19	人不自善寂不能護。法能令他人善寂自護。	人 不 自 善 寂 不 能 護 法 能 令 他 人 善 寂 自 護 
T85n2819_001:1195b20	無有是處。如人自沒污埿欲出他人。無有是	無 有 是 處 如 人 自 沒 污 埿 欲 出 他 人 無 有 是 
T85n2819_001:1195b21	處。若人自善寂。能出污埿欲出他人。則有是	處 若 人 自 善 寂 能 出 污 埿 欲 出 他 人 則 有 是 
T85n2819_001:1195b22	處。是故舍利弗。我今明了告汝。誹謗如來其	處 是 故 舍 利 弗 我 今 明 了 告 汝 誹 謗 如 來 其 
T85n2819_001:1195b23	罪不輕。實語比丘應聽說法。非妄語者持戒	罪 不 輕 實 語 比 丘 應 聽 說 法 非 妄 語 者 持 戒 
T85n2819_001:1195b24	比丘。則能法施。舍利弗。高坐說法決定斷疑。	比 丘 則 能 法 施 舍 利 弗 高 坐 說 法 決 定 斷 疑 
T85n2819_001:1195b25	最是上事。若持戒不淨著外道義。我則不聽。	最 是 上 事 若 持 戒 不 淨 著 外 道 義 我 則 不 聽 
T85n2819_001:1195b26	及妄諸者貴世樂者。求利者。樂諍訟者。我亦	及 妄 諸 者 貴 世 樂 者 求 利 者 樂 諍 訟 者 我 亦 
T85n2819_001:1195b27	不聽。我聽淨持戒者。質直心者。通達諸法	不 聽 我 聽 淨 持 戒 者 質 直 心 者 通 達 諸 法 
T85n2819_001:1195b28	實相者。高坐說法。舍利弗。破戒比丘寧當捨	實 相 者 高 坐 說 法 舍 利 弗 破 戒 比 丘 寧 當 捨 
T85n2819_001:1195b29	戒。不著聖人相袈裟覆藏罪垢。蜜作眾惡受	戒 不 著 聖 人 相 袈 裟 覆 藏 罪 垢 蜜 作 眾 惡 受 
T85n2819_001:1195c01	人信施。舍利弗。云何以小因緣。而於地獄	人 信 施 舍 利 弗 云 何 以 小 因 緣 而 於 地 獄 
T85n2819_001:1195c02	受久遠身。阿難。譬如惡賊於王大臣。不敢自	受 久 遠 身 阿 難 譬 如 惡 賊 於 王 大 臣 不 敢 自 
T85n2819_001:1195c03	現盜他物者。不自言賊。如是阿難。破戒比丘	現 盜 他 物 者 不 自 言 賊 如 是 阿 難 破 戒 比 丘 
T85n2819_001:1195c04	成就非沙門法。上不自言我是惡人。況能向	成 就 非 沙 門 法 上 不 自 言 我 是 惡 人 況 能 向 
T85n2819_001:1195c05	餘人說。自言罪人。阿難。如是經者。破戒比	餘 人 說 自 言 罪 人 阿 難 如 是 經 者 破 戒 比 
T85n2819_001:1195c06	丘。隨得聞時能自降伏則有慚愧。持戒比丘	丘 隨 得 聞 時 能 自 降 伏 則 有 慚 愧 持 戒 比 丘 
T85n2819_001:1195c07	得自增長。說是法時。九萬諸天於諸法中得	得 自 增 長 說 是 法 時 九 萬 諸 天 於 諸 法 中 得 
T85n2819_001:1195c08	法眼淨。	法 眼 淨 
T85n2819_001:1195c09	法華經云　我此九部法隨順眾生入大乘為	法 華 經 云 我 此 九 部 法 隨 順 眾 生 入 大 乘 為 
T85n2819_001:1195c10	本。	本 
T85n2819_001:1195c11	楞伽經云　爾時大惠復請佛言。唯願為說	楞 伽 經 云 爾 時 大 惠 復 請 佛 言 唯 願 為 說 
T85n2819_001:1195c12	宗趣之相。令我及諸菩薩善達此義。不隨一	宗 趣 之 相 令 我 及 諸 菩 薩 善 達 此 義 不 隨 一 
T85n2819_001:1195c13	切眾邪妄解。疾得阿耨多羅三藐三菩提。佛	切 眾 邪 妄 解 疾 得阿耨多羅三藐三菩提 佛 
T85n2819_001:1195c14	言。諦聽。當為汝說。大惠言唯。佛言。大惠一	言 諦 聽 當 為 汝 說 大 惠 言 唯 佛 言 大 惠 一 
T85n2819_001:1195c15	切二乘及諸菩薩。有二種宗法相。何等為二。	切 二 乘 及 諸 菩 薩 有 二 種 宗 法 相 何 等 為 二 
T85n2819_001:1195c16	為宗趣法相。言說法相。宗趣法相者。謂自所	為 宗 趣 法 相 言 說 法 相 宗 趣 法 相 者 謂 自 所 
T85n2819_001:1195c17	證殊勝之相。離於文字語言分別。入無漏界	證 殊 勝 之 相 離 於 文 字 語 言 分 別 入 無 漏 界 
T85n2819_001:1195c18	成自地行。超過一切不正思覺。伏魔外道生	成 自 地 行 超 過 一 切 不 正 思 覺 伏 魔 外 道 生 
T85n2819_001:1195c19	智惠光。是名宗趣法相。言說法相者。為說九	智 惠 光 是 名 宗 趣 法 相 言 說 法 相 者 為 說 九 
T85n2819_001:1195c20	部種種教法。離於一異有無等相。以巧方便	部 種 種 教 法 離 於 一 異 有 無 等 相 以巧方便 
T85n2819_001:1195c21	隨眾生心令入此法。是名言說法相。汝及諸	隨 眾 生 心 令 入 此 法 是 名 言 說 法 相 汝 及 諸 
T85n2819_001:1195c22	菩薩當懃修學。爾時世尊重說頌言　宗趣	菩 薩 當 懃 修 學 爾 時 世 尊 重 說 頌 言 宗 趣 
T85n2819_001:1195c23	與言說。自證及教法。若能善知見。不墮他	與 言 說 自 證 及 教 法 若 能 善 知 見 不 墮 他 
T85n2819_001:1195c24	妄解。	妄 解 
T85n2819_001:1195c25	佛告大惠言。第一義者。是聖智內自證境。非	佛 告 大 惠 言 第 一 義 者 是 聖 智 內 自 證 境 非 
T85n2819_001:1195c26	語言分別智境。語言分別不能顯示。大惠言。	語 言 分 別 智 境 語 言 分 別 不 能 顯 示 大 惠 言 
T85n2819_001:1195c27	說者生滅動搖展轉因緣生。若展轉緣生於	說 者 生 滅 動 搖 展 轉 因 緣 生 若 展 轉 緣 生 於 
T85n2819_001:1195c28	第一義則不能顯示。第一義者。無自他相。言	第 一 義 則 不 能 顯 示 第 一 義 者 無 自 他 相 言 
T85n2819_001:1195c29	語有相不能顯示。第一義者。但唯自心。種種	語 有 相 不 能 顯 示 第 一 義 者 但 唯 自 心 種 種 
T85n2819_001:1196a01	外相悉皆無有。言語分別不能顯示。是故大	外 相 悉 皆 無 有 言 語 分 別 不 能 顯 示 是 故 大 
T85n2819_001:1196a02	惠應當遠離語言分別佛分別。佛告。婆羅門	惠 應當遠離 語 言 分 別 佛 分 別 佛 告 婆 羅 門 
T85n2819_001:1196a03	乃至少有心識流動分別外境。皆是世論乃	乃 至 少 有 心 識 流 動 分 別 外 境 皆 是 世 論 乃 
T85n2819_001:1196a04	至心流動。是則為世論。分別不起者。是人見	至 心 流 動 是 則 為 世 論 分 別 不 起 者 是 人 見 
T85n2819_001:1196a05	自心。	自 心 
T85n2819_001:1196a06	佛告大惠。乃至少有言語分別生。即有常	佛 告 大 惠 乃 至 少 有 言 語 分 別 生 即 有 常 
T85n2819_001:1196a07	無過常。是故應除二分別覺勿令少在。	無 過 常 是 故 應 除 二 分 別 覺 勿 令 少 在 
T85n2819_001:1196a08	乃至有所立。一切皆錯亂。若見唯自心。是則	乃 至 有 所 立 一 切 皆 錯 亂 若 見 唯 自 心 是 則 
T85n2819_001:1196a09	無為諍。愚夫樂妄說。不聞真實惠。言說三苦	無 為 諍 愚 夫 樂 妄 說 不 聞 真 實 惠 言 說 三 苦 
T85n2819_001:1196a10	本。真實滅苦因。言說即變異。真實離文字。於	本 真 實 滅 苦 因 言 說 即 變 異 真 實 離 文 字 於 
T85n2819_001:1196a11	妄想心鏡。愚生二種見。不識心及緣。即起二	妄 想 心 鏡 愚 生 二 種 見 不 識 心 及 緣 即 起 二 
T85n2819_001:1196a12	妄想。了心及境界。妄想即不生。我無上大乘。	妄 想 了 心 及 境 界 妄 想 即 不 生 我 無 上 大 乘 
T85n2819_001:1196a13	超過於名言。其義甚明了。愚夫不覺知。內自	超 過 於 名 言 其 義 甚 明 了 愚 夫 不 覺 知 內 自 
T85n2819_001:1196a14	證不動。是無上大乘。	證 不 動 是 無 上 大 乘 
T85n2819_001:1196a15	思益經云　云何比丘隨佛教隨佛語。答言。	思 益 經 云 云 何 比 丘 隨 佛 教 隨 佛 語 答 言 
T85n2819_001:1196a16	稱讚毀辱其心不動。是名隨佛教。不隨文字	稱 讚 毀 辱 其 心 不 動 是 名 隨 佛 教 不 隨 文 字 
T85n2819_001:1196a17	語言是名隨佛語。又比丘滅一切諸相。是名	語 言 是 名 隨 佛 語 又 比 丘 滅 一 切 諸 相 是 名 
T85n2819_001:1196a18	隨佛教。又云。身無所起心無所起。是名第一	隨 佛 教 又 云 身 無 所 起 心 無 所 起 是 名 第 一 
T85n2819_001:1196a19	牢強精進。	牢 強 精 進 
T85n2819_001:1196a20	有諍法。	有 諍 法 
T85n2819_001:1196a21	思益經云　梵天言。云何比丘多諍訟。答言。	思 益 經 云 梵 天 言 云 何 比 丘 多 諍 訟 答 言 
T85n2819_001:1196a22	是好是惡此名諍訟。是理是非理此名諍訟。	是 好 是 惡 此 名 諍 訟 是 理 是 非 理 此 名 諍 訟 
T85n2819_001:1196a23	是垢是淨此名諍訟。是善是不善此名諍訟。	是 垢 是 淨 此 名 諍 訟 是 善 是 不 善 此 名 諍 訟 
T85n2819_001:1196a24	是戒是毀戒此名諍訟。是應作是不應作此	是 戒 是 毀 戒 此 名 諍 訟 是 應 作 是 不 應 作 此 
T85n2819_001:1196a25	名諍訟。以是法得道以是法得果此名諍訟。	名 諍 訟 以 是 法 得 道 以 是 法 得 果 此 名 諍 訟 
T85n2819_001:1196a26	梵天若於法中有高下心貪著取受。皆是諍	梵 天 若 於 法 中 有 高 下 心 貪 著 取 受 皆 是 諍 
T85n2819_001:1196a27	訟。樂諍訟者。無沙門法。樂沙門法者。無有妄	訟 樂 諍 訟 者 無 沙 門 法 樂 沙 門 法 者 無 有 妄 
T85n2819_001:1196a28	想貪著。梵天言。云何比丘親近於佛。答言。若	想 貪 著 梵 天 言 云 何 比 丘 親 近 於 佛 答 言 若 
T85n2819_001:1196a29	比丘於諸法中不見有法若近若遠。是名親	比 丘 於 諸 法 中 不 見 有 法 若 近 若 遠 是 名 親 
T85n2819_001:1196b01	近於佛。梵天言。云何比丘給侍於佛。答言。若	近 於 佛 梵 天 言 云 何 比 丘 給 侍 於 佛 答 言 若 
T85n2819_001:1196b02	比丘身口意無所作。是名給侍於佛。	比 丘 身 口 意 無 所 作 是 名 給 侍 於 佛 
T85n2819_001:1196b03	樂瓔珞莊嚴方便品(一部一卷成。亦名轉女身菩薩問答經)若其無	樂 瓔 珞 莊 嚴 方 便 品 一 部 一 卷 成 亦 名 轉 女 身 菩 薩 問 答 經 若 其 無 
T85n2819_001:1196b04	諍不可言說。以何等故說名無諍。須菩提言。	諍 不可言說 以 何 等 故 說 名 無 諍 須 菩 提 言 
T85n2819_001:1196b05	姊。如來世尊為聲聞弟子假名字說。女言。大	姊 如 來 世 尊 為 聲聞弟子 假 名 字 說 女 言 大 
T85n2819_001:1196b06	德須菩提。若有假名即有諍訟。若有諍訟即	德 須 菩 提 若 有 假 名 即 有 諍 訟 若 有 諍 訟 即 
T85n2819_001:1196b07	有顛倒。若有顛倒非沙門法。須菩提言。姊何	有 顛 倒 若 有 顛 倒 非 沙 門 法 須 菩 提 言 姊 何 
T85n2819_001:1196b08	等是沙門法。女言。大德須菩提。無有文字。無	等 是 沙 門 法 女 言 大 德 須 菩 提 無 有 文 字 無 
T85n2819_001:1196b09	有諍訟。無有顛倒。是沙門法。亦不分別是法。	有 諍 訟 無 有 顛 倒 是 沙 門 法 亦 不 分 別 是 法 
T85n2819_001:1196b10	是非法。是沙門法。又不分別憶想不憶想。是	是 非 法 是 沙 門 法 又 不 分 別 憶 想 不 憶 想 是 
T85n2819_001:1196b11	沙門法。離一切著。是沙門法。無心離意識。是	沙 門 法 離 一 切 著 是 沙 門 法 無 心 離 意 識 是 
T85n2819_001:1196b12	沙門法。知足是沙門法。離有為法。是沙門法。	沙 門 法 知 足 是 沙 門 法 離 有 為 法 是 沙 門 法 
T85n2819_001:1196b13	諸法如虛空。是沙門法。說是沙門法時。中	諸 法 如 虛 空 是 沙 門 法 說 是 沙 門 法 時 中 
T85n2819_001:1196b14	間所集聽法諸天。有四十天子。遠塵離垢得	間 所 集 聽 法 諸 天 有 四 十 天 子 遠塵離垢 得 
T85n2819_001:1196b15	法眼淨。	法 眼 淨 
T85n2819_001:1196b16	佛藏經云(佛弟子終有為著相。非沙門法)非沙門自稱沙門。不	佛 藏 經 云 佛 弟 子 終 有 為 著 相 非 沙 門 法 非 沙 門 自 稱 沙 門 不 
T85n2819_001:1196b17	應供養而受供養。名為常賊立憧相賊。名為	應 供 養 而 受 供 養 名 為 常 賊 立 憧 相 賊 名 為 
T85n2819_001:1196b18	自在殺害人賊。是人所食一口皆不淨。唯清	自 在 殺 害 人 賊 是 人 所 食 一 口 皆 不 淨 唯 清 
T85n2819_001:1196b19	有向道得道果者能消供養。舍利弗。我滅度	有 向 道 得 道 果 者 能 消 供 養 舍 利 弗 我 滅 度 
T85n2819_001:1196b20	後如是等人滿閻浮提。專行求利以自生活	後 如 是 等 人 滿 閻 浮 提 專 行 求 利 以 自 生 活 
T85n2819_001:1196b21	　有為法。	 有 為 法 
T85n2819_001:1196b22	金剛經云　一切有為法。如夢幻泡影。如露	金 剛 經 云 一 切 有 為 法 如 夢 幻 泡 影 如 露 
T85n2819_001:1196b23	亦如電。應作如是觀。	亦 如 電 應 作 如 是 觀 
T85n2819_001:1196b24	涅槃經云　有為功德多諸過患。	涅 槃 經 云 有 為 功 德 多 諸 過 患 
T85n2819_001:1196b25	佛藏經云　我所說諸法。隨順第一義。有為	佛 藏 經 云 我 所 說 諸 法 隨 順 第 一 義 有 為 
T85n2819_001:1196b26	不堅牢。如夢之所見。	不 堅 牢 如 夢 之 所 見 
T85n2819_001:1196b27	金剛三昧經云　於有為法如避火坑。	金 剛 三 昧 經 云 於 有 為 法 如 避 火 坑 
T85n2819_001:1196b28	楞伽經云　若依止少法而有少法起。若依	楞 伽 經 云 若 依 止 少 法 而 有 少 法 起 若 依 
T85n2819_001:1196b29	止於事此法即便壞。	止 於 事 此 法 即 便 壞 
T85n2819_001:1196c01	禪門經云　大乘妙義至理空曠。有為眾生	禪 門 經 云 大 乘 妙 義 至 理 空 曠 有 為 眾 生 
T85n2819_001:1196c02	而不能入。	而 不 能 入 
T85n2819_001:1196c03	大佛頂經云　圓滿菩提歸無所得。	大 佛 頂 經 云 圓 滿 菩 提 歸 無 所 得 
T85n2819_001:1196c04	般若子經云　無智亦無得。以無所得故即	般 若 子 經 云 無 智 亦 無 得 以 無 所 得 故 即 
T85n2819_001:1196c05	菩提薩埵。	菩 提 薩 埵 
T85n2819_001:1196c06	修多羅般若經云　佛告須菩提。若有善男	修 多 羅 般 若 經 云 佛 告 須 菩 提 若 有 善 男 
T85n2819_001:1196c07	子善女人。發菩提心有所得者。即是邪見。邪	子 善 女 人 發菩提心 有 所 得 者 即 是 邪 見 邪 
T85n2819_001:1196c08	見之人永不見佛。斷一切智名為佛智見。凡	見 之 人 永 不 見 佛 斷 一 切 智 名 為 佛 智 見 凡 
T85n2819_001:1196c09	夫有為。佛是無為。如是見者非平等見。見凡	夫 有 為 佛 是 無 為 如 是 見 者 非 平 等 見 見 凡 
T85n2819_001:1196c10	夫法空佛法亦空。如是見者是名正見。	夫 法 空 佛 法 亦 空 如 是 見 者 是 名 正 見 
T85n2819_001:1196c11	思益經云　世尊。云何具足六波羅蜜。梵天	思 益 經 云 世 尊 云 何 具 足 六波羅蜜 梵 天 
T85n2819_001:1196c12	若不念施。不依戒。不分別忍。不敢精進。不住	若 不 念 施 不 依 戒 不 分 別 忍 不 敢 精 進 不 住 
T85n2819_001:1196c13	禪定。不二於惠。是名具足六波羅蜜。	禪 定 不 二 於 惠 是 名 具 足 六波羅蜜 
T85n2819_001:1196c14	金剛三昧經云　空心不動具六波羅。	金 剛 三 昧 經 云 空 心 不 動 具 六 波 羅 
T85n2819_001:1196c15	此大乘頓教法門。為一切眾生本來自有佛	此 大 乘 頓 教 法 門 為 一 切 眾 生 本 來 自 有 佛 
T85n2819_001:1196c16	性。千經萬論大小乘教文字言說。只指眾生	性 千 經 萬 論 大 小 乘 教 文 字 言 說 只 指 眾 生 
T85n2819_001:1196c17	本性見成佛道。此法亦名反源。亦名反照。亦	本 性 見 成 佛 道 此 法 亦 名 反 源 亦 名 反 照 亦 
T85n2819_001:1196c18	名反流。亦名迴向。亦名無生。亦名無漏。亦名	名 反 流 亦 名 迴 向 亦 名 無 生 亦 名 無 漏 亦 名 
T85n2819_001:1196c19	不起。亦名法離見聞覺知。	不 起 亦 名 法 離 見聞覺知 
T85n2819_001:1196c20	楞伽經云　如水瀑流盡。波浪即不起。如是	楞 伽 經 云 如 水 瀑 流 盡 波 浪 即 不 起 如 是 
T85n2819_001:1196c21	意識滅。種種識不生。	意 識 滅 種 種 識 不 生 
T85n2819_001:1196c22	大佛頂經云　元是一精明。分為六和合。一	大 佛 頂 經 云 元 是 一 精 明 分 為 六 和 合 一 
T85n2819_001:1196c23	處成休復。六用皆不行。一根既反源。六根成	處 成 休 復 六 用 皆 不 行 一 根 既 反 源 六 根 成 
T85n2819_001:1196c24	解脫。反聞聞自性。性成無上道。反見見自心。	解 脫 反 聞 聞 自 性 性 成 無 上 道 反 見 見 自 心 
T85n2819_001:1196c25	見性成佛道。	見 性 成 佛 道 
T85n2819_001:1196c26	又云。若棄生滅守於真常。常光現時塵根識	又 云 若 棄 生 滅 守 於 真 常 常 光 現 時 塵 根 識 
T85n2819_001:1196c27	心應時消落。想相為塵。識情為垢。二俱遠離。	心 應 時 消 落 想 相 為 塵 識 情 為 垢 二 俱 遠 離 
T85n2819_001:1196c28	則汝法眼應時清明。云何不成無上知覺	則 汝 法 眼 應 時 清 明 云 何 不 成 無 上 知 覺 
T85n2819_001:1196c29	　佛告阿難。如是清淨持禁戒人心無貪婬。於	 佛 告 阿 難 如 是 清 淨 持 禁 戒 人 心 無 貪 婬 於 
T85n2819_001:1197a01	外六塵不多流溢。因不流溢旋源自歸。鹿	外 六 塵 不 多 流 溢 因 不 流 溢 旋 源 自 歸 鹿 
T85n2819_001:1197a02	既不緣根無所偶。反流全一六用不行。十方	既 不 緣 根 無 所 偶 反 流 全 一 六 用 不 行 十 方 
T85n2819_001:1197a03	國土皎然清淨。	國 土 皎 然 清 淨 
T85n2819_001:1197a04	楞伽經云　遠離於心識。亦離於五法。復離	楞 伽 經 云 遠 離 於 心 識 亦 離 於 五 法 復 離 
T85n2819_001:1197a05	於自性。是為佛種性。由依本識故。而有諸識	於 自 性 是 為 佛 種 性 由 依 本 識 故 而 有 諸 識 
T85n2819_001:1197a06	生。由依內識故。有似外影現。無智恒分別。有	生 由 依 內 識 故 有 似 外 影 現 無 智 恒 分 別 有 
T85n2819_001:1197a07	為及無為。□□□□□離質亦無影。藏識若	為 及 無 為 離 質 亦 無 影 藏 識 若 
T85n2819_001:1197a08	清淨。諸識浪不生。依法身有報。而起淨分別。	清 淨 諸 識 浪 不 生 依 法 身 有 報 而 起 淨 分 別 
T85n2819_001:1197a09	若不了無我。依教不依義。理教中求我。是妄	若 不 了 無 我 依 教 不 依 義 理 教 中 求 我 是 妄 
T85n2819_001:1197a10	垢惡見。不了故說有。唯妄取無餘。離聖教正	垢 惡 見 不 了 故 說 有 唯 妄 取 無 餘 離 聖 教 正 
T85n2819_001:1197a11	理。欲滅惑反增。是外道狂言。智者不應說。教	理 欲 滅 惑 反 增 是 外 道 狂 言 智 者 不 應 說 教 
T85n2819_001:1197a12	由理故顯。當依此教理。勿更餘分別。	由 理 故 顯 當 依 此 教 理 勿 更 餘 分 別 
T85n2819_001:1197a13	維摩經云　文殊師利菩薩從無住本立一切	維 摩 經 云 文 殊 師 利 菩 薩 從 無 住 本 立 一 切 
T85n2819_001:1197a14	法。	法 
T85n2819_001:1197a15	金剛經云　一切諸佛及諸佛阿耨多羅三藐	金 剛 經 云 一切諸佛 及 諸 佛 阿 耨 多 羅 三 藐 
T85n2819_001:1197a16	三菩提法。皆從此經出(此經者即此心。是不生不滅故。不垢不淨故。離有離無	三 菩 提 法 皆 從 此 經 出 此 經 者 即 此 心 是 不生不滅 故 不垢不淨 故 離有離無 
T85n2819_001:1197a17	故。影體俱離故。不依性相故。亦不順生。亦不依寂。亦不順有相。亦不依無相不沈不浮故)。	故 影 體 俱 離 故 不 依 性 相 故 亦 不 順 生 亦 不 依 寂 亦 不 順 有 相 亦 不 依 無 相 不 沈 不 浮 故 
T85n2819_001:1197a18	文殊行經云　復次舍利弗。若有人言。過去	文 殊 行 經 云 復 次 舍 利 弗 若 有 人 言 過 去 
T85n2819_001:1197a19	未來於實際中。說有依處說無依處者。當知。	未 來 於 實 際 中 說 有 依 處 說 無 依 處 者 當 知 
T85n2819_001:1197a20	彼輩誹謗如來獲大重罪。所以者何。彼真實	彼 輩 誹 謗 如 來 獲 大 重 罪 所以者何 彼 真 實 
T85n2819_001:1197a21	際無憶無念亦無墮落(無憶無念者即不順浮。亦無墮落者。即不沈空滯寂。此	際 無 憶 無 念 亦 無 墮 落 無 憶 無 念 者 即 不 順 浮 亦 無 墮 落 者 即 不 沈 空 滯 寂 此 
T85n2819_001:1197a22	法不順有心。不依無心。順有心者即是波浪。依無心者即是□□空見外道有無不二即是正見)。	法 不 順 有 心 不 依 無 心 順 有 心 者 即 是 波 浪 依 無 心 者 即 是 空 見 外 道 有 無 不 二 即 是 正 見 
T85n2819_001:1197a23	楞伽經云　天乘及梵乘。聲聞緣覺乘。諸佛	楞 伽 經 云 天 乘 及 梵 乘 聲 聞 緣 覺 乘 諸 佛 
T85n2819_001:1197a24	如來乘。諸乘我所說。乃至有心起。諸乘未究	如 來 乘 諸 乘 我 所 說 乃 至 有 心 起 諸 乘 未 究 
T85n2819_001:1197a25	境。彼心轉滅以。無乘及乘者。無有乘建立。我	境 彼 心 轉 滅 以 無 乘 及 乘 者 無 有 乘 建 立 我 
T85n2819_001:1197a26	說為大乘。	說 為 大 乘 
T85n2819_001:1197a27	天乘非乘。非名亦非字。非諦非解脫。	天 乘 非 乘 非 名 亦 非 字 非 諦 非 解 脫 
T85n2819_001:1197a28	我無上大乘超過於名言。其義甚明了。愚夫	我 無 上 大 乘 超 過 於 名 言 其 義 甚 明 了 愚 夫 
T85n2819_001:1197a29	不覺知。內自證不動。是無上大乘。	不 覺 知 內 自 證 不 動 是 無 上 大 乘 
T85n2819_001:1197b01	決定毘尼經云　見凡夫有為佛。是無為。如	決定毘尼 經 云 見 凡 夫 有 為 佛 是 無 為 如 
T85n2819_001:1197b02	是見者不平等見。見凡夫法空佛法亦空。如	是 見 者 不 平 等 見 見 凡 夫 法 空 佛 法 亦 空 如 
