T52n2118_001:0794b19	折疑論敘	折 疑 論 敘 
T52n2118_002:0801a05	力所堪能。蓋繁而不要也(言佛經。萬卷之廣。億數之多。不是一人用力可	力 所 堪 能 蓋 繁 而 不 要 也 言 佛 經 萬 卷 之 廣 億 數 之 多 不 是 一 人 用 力 可 
T52n2118_002:0801a06	觀覽者。蓋繁冗而不簡要也)。	觀 覽 者 蓋 繁 冗 而 不 簡 要 也 
T52n2118_002:0801a07	妙明曰。孟子云。江海異於行潦深廣也(行潦者。	妙 明 曰 孟 子 云 江 海 異 於 行 潦 深 廣 也 行 潦 者 
T52n2118_002:0801a08	雨水聚於道路無源水也。江海之水至深至廣。比行潦而殊異也)。	雨 水 聚 於 道 路 無 源 水 也 江 海 之 水 至 深 至 廣 比 行 潦 而 殊 異 也 
T52n2118_002:0801a09	泰山別於丘陵者高大也(丘者。土之聚也。陵者。大阜乃高土阜也。泰山東	泰 山 別 於 丘 陵 者 高 大 也 丘 者 土 之 聚 也 陵 者 大 阜 乃 高 土 阜 也 泰 山 東 
T52n2118_002:0801a10	嶽也。至高至大。比於丘陵。故有差別)。	嶽 也 至 高 至 大 比 於 丘 陵 故 有 差 別 
T52n2118_002:0801a11	若大深不異於行潦。則孺子浴其淵(孺子。說文乳子也。若	若 大 深 不 異 於 行 潦 則 孺 子 浴 其 淵 孺 子 說 文 乳 子 也 若 
T52n2118_002:0801a12	江之遠深海之廣闊。而不異於行潦。則食乳之子。亦可洗濯)。	江 之 遠 深 海 之 廣 闊 而 不 異 於 行 潦 則 食 乳 之 子 亦 可 洗 濯 
T52n2118_002:0801a13	高不出於丘陵。則跛羊陵其巔(上一陵字丘陵也。下一陵字侮	高 不 出 於 丘 陵 則 跛 羊 陵 其 巔 上 一 陵 字 丘 陵 也 下 一 陵 字 侮 
T52n2118_002:0801a14	也。意謂泰山之高大。而不過於丘陵。跛羊亦侮戲於巔頂)。	也 意 謂 泰 山 之 高 大 而 不 過 於 丘 陵 跛 羊 亦 侮 戲 於 巔 頂 
T52n2118_002:0801a15	摩天之翼。不居藿葦之莖(藿胡官反。摩天之翼。莊子逍遙篇。北溟有魚。其	摩 天 之 翼 不 居 藿 葦 之 莖 藿 胡 官 反 摩 天 之 翼 莊 子 逍 遙 篇 北 溟 有 魚 其 
T52n2118_002:0801a16	名為鯤。化而為鳥。其名為鵬。怒而飛。其翼若垂天之雲。閃翅則水擊三千里。搏扶搖而上者九萬里。藿葦細葦也。	名 為 鯤 化 而 為 鳥 其 名 為 鵬 怒 而 飛 其 翼 若 垂 天 之 雲 閃 翅 則 水 擊 三 千 里 搏 扶 搖 而 上 者 九 萬 里 藿 葦 細 葦 也 
T52n2118_002:0801a17	若大鵬摩天之翼。豈於細葦之上而居之哉)。	若 大 鵬 摩 天 之 翼 豈 於 細 葦 之 上 而 居 之 哉 
T52n2118_002:0801a18	吞舟之魚。不處谿塘之水(莊子。鯤魚大不知幾千里也。何難吞舟也豈隱	吞 舟 之 魚 不 處 谿 塘 之 水 莊 子 鯤 魚 大 不 知 幾 千 里 也 何 難 吞 舟 也 豈 隱 
T52n2118_002:0801a19	處於淺溪小塘)。	處 於 淺 溪 小 塘 
T52n2118_002:0801a20	剖蚌蛤之腹。求明月之珠(明月珠者。夜明珠也。唯驪龍頷下有之。照夜如	剖 蚌 蛤 之 腹 求 明 月 之 珠 明 月 珠 者 夜 明 珠 也 唯 驪 龍 頷 下 有 之 照 夜 如 
T52n2118_002:0801a21	晝。若剖破蚌蛤之肚腹。求取明月之珠。未之有也)。	晝 若 剖 破 蚌 蛤 之 肚 腹 求 取 明 月 之 珠 未 之 有 也 
T52n2118_002:0801a22	探枳棘之巢。求鸞鳳之卵(橘逾淮北而為枳棘者。棘鍼也。如枳棘上之鳥	探 枳 棘 之 巢 求 鸞 鳳 之 卵 橘 逾 淮 北 而 為 枳 棘 者 棘 鍼 也 如 枳 棘 上 之 鳥 
T52n2118_002:0801a23	巢。欲探取鸞鳳之卵。不亦難乎)。	巢 欲 探 取 鸞 鳳 之 卵 不 亦 難 乎 
T52n2118_002:0801a24	必難獲者何也(此結上引下之語)。	必 難 獲 者 何 也 此 結 上 引 下 之 語 
T52n2118_002:0801a25	蓋小不容於大。而大不處乎小也。故萬斛之	蓋 小 不 容 於 大 而 大 不 處 乎 小 也 故 萬 斛 之 
T52n2118_002:0801a26	鼎。不可滿以盂水(盛五斗曰斛。鼎者兩耳三足。言盛萬斛之鼎。豈可一鉢盂之水而能	鼎 不 可 滿 以 盂 水 盛 五 斗 曰 斛 鼎 者 兩 耳 三 足 言 盛 萬 斛 之 鼎 豈 可 一 鉢 盂 之 水 而 能 
T52n2118_002:0801a27	滿之)。	滿 之 
T52n2118_002:0801b01	一鈞之鍾。不可容於流泉(三十斤為一鈞。如三十斤鍾。欲容納於長流之	一 鈞 之 鍾 不 可 容 於 流 泉 三 十 斤 為 一 鈞 如 三 十 斤 鍾 欲 容 納 於 長 流 之 
T52n2118_002:0801b02	水者。無是可也)。	水 者 無 是 可 也 
T52n2118_002:0801b03	合抱之木。豈適用以茆茨(二人相圍曰合抱。茆茨茆草也。適相從之義。謂	合 抱 之 木 豈 適 用 以 茆 茨 二 人 相 圍 曰 合 抱 茆 茨 茆 草 也 適 相 從 之 義 謂 
T52n2118_002:0801b04	合抱之大木。豈適於茆茨而用之)。	合 抱 之 大 木 豈 適 於 茆 茨 而 用 之 
T52n2118_002:0801b05	尋尺之棘。安能負於廣廈(六尺曰尋。棘荊棘也。廣廈大屋也。言六尺之棘。	尋 尺 之 棘 安 能 負 於 廣 廈 六 尺 曰 尋 棘 荊 棘 也 廣 廈 大 屋 也 言 六 尺 之 棘 
T52n2118_002:0801b06	安能負荷廣大)。	安 能 負 荷 廣 大 
T52n2118_002:0801b07	故器有寬隘(器器皿也。結上文斛鼎鍾盂也)。	故 器 有 寬 隘 器 器 皿 也 結 上 文 斛 鼎 鍾 盂 也 
T52n2118_002:0801b08	量有巨細(亦結上文。斛鼎鍾盂。各有大小之量也)。	量 有 巨 細 亦 結 上 文 斛 鼎 鍾 盂 各 有 大 小 之 量 也 
T52n2118_002:0801b09	材有勝劣(亦結上文。合抱之木於茅茨。尋尺之棘及廣廈。故各有勝大劣小而不同也)。	材 有 勝 劣 亦 結 上 文 合 抱 之 木 於 茅 茨 尋 尺 之 棘 及 廣 廈 故 各 有 勝 大 劣 小 而 不 同 也 
T52n2118_002:0801b10	物有輕重(總結上文。意物之重者鼎木廈也。物之輕者鍾盂茨棘也)。	物 有 輕 重 總 結 上 文 意 物 之 重 者 鼎 木 廈 也 物 之 輕 者 鍾 盂 茨 棘 也 
T52n2118_002:0801b11	德有厚薄(已上數事。喻聖之德也。厚喻大乘。薄喻小乘)。	德 有 厚 薄 已 上 數 事 喻 聖 之 德 也 厚 喻 大 乘 薄 喻 小 乘 
T52n2118_002:0801b12	道有淺深(大聖之道故深。小聖之道故淺)。	道 有 淺 深 大 聖 之 道 故 深 小 聖 之 道 故 淺 
T52n2118_002:0801b13	法有權實(權為暫設實為真準)。	法 有 權 實 權 為 暫 設 實 為 真 準 
T52n2118_002:0801b14	機有小大(權實之教各有大小之機)。	機 有 小 大 權 實 之 教 各 有 大 小 之 機 
T52n2118_002:0801b15	所處之分。未有乖也(乖差於理也。復結上文意。意寬隘勝劣輕重厚薄淺深權實	所 處 之 分 未 有 乖 也 乖 差 於 理 也 復 結 上 文 意 意 寬 隘 勝 劣 輕 重 厚 薄 淺 深 權 實 
T52n2118_002:0801b16	大小等量。各處之分而不可乖違也)。	大 小 等 量 各 處 之 分 而 不 可 乖 違 也 
T52n2118_002:0801b17	且佛之經也(先以譬喻。然後形容經之大義)。	且 佛 之 經 也 先 以 譬 喻 然 後 形 容 經 之 大 義 
T52n2118_002:0801b18	前說億劫之事(如經云。過去千萬億劫之事也)。	前 說 億 劫 之 事 如 經 云 過 去 千 萬 億 劫 之 事 也 
T52n2118_002:0801b19	後道萬世之要(道言也。後言萬世之要妙)。	後 道 萬 世 之 要 道 言 也 後 言 萬 世 之 要 妙 
T52n2118_002:0801b20	至於五始未萌之前(列子天瑞篇曰。原天地未判之初。有太易太初太始太素太極。	至 於 五 始 未 萌 之 前 列 子 天 瑞 篇 曰 原 天 地 未 判 之 初 有 太 易 太 初 太 始 太 素 太 極 
T52n2118_002:0801b21	謂天地未分之前。五始混沌而未發萌時也)。	謂 天 地 未 分 之 前 五 始 混 沌 而 未 發 萌 時 也 
T52n2118_002:0801b22	二儀肇形之際(肇始也。易曰。太極生兩儀。謂始分之際)。	二 儀 肇 形 之 際 肇 始 也 易 曰 太 極 生 兩 儀 謂 始 分 之 際 
T52n2118_002:0801b23	其遠不可推(佛之所言。久遠劫數。不可推窮也)。	其 遠 不 可 推 佛 之 所 言 久 遠 劫 數 不 可 推 窮 也 
T52n2118_002:0801b24	其事不可紀(空劫已前之事迹。亦不可以紀記也)。	其 事 不 可 紀 空 劫 已 前 之 事 迹 亦 不 可 以 紀 記 也 
T52n2118_002:0801b25	其微不可握(老子云。摶之不得曰微故曰不可握也)。	其 微 不 可 握 老 子 云 摶 之 不 得 曰 微 故 曰 不 可 握 也 
T52n2118_002:0801b26	其纖不可入(其纖細微妙。不可窮入也)。	其 纖 不 可 入 其 纖 細 微 妙 不 可 窮 入 也 
T52n2118_002:0801c01	佛悉彌綸於廣大之外(悉盡也。彌遍也。綸理也結上文五始二儀不可推。不	佛 悉 彌 綸 於 廣 大 之 外 悉 盡 也 彌 遍 也 綸 理 也 結 上 文 五 始 二 儀 不 可 推 不 
T52n2118_002:0801c02	可紀。不可記不可握。不可入。其數事唯佛盡遍理於天地之外)。	可 紀 不 可 記 不 可 握 不 可 入 其 數 事 唯 佛 盡 遍 理 於 天 地 之 外 
T52n2118_002:0801c03	剖析其窈渺之內(剖析者分破也唯佛能剖破分析。於窈渺幽微之內)。	剖 析 其 窈 渺 之 內 剖 析 者 分 破 也 唯 佛 能 剖 破 分 析 於 窈 渺 幽 微 之 內 
T52n2118_002:0801c04	以至高天無極之上(上至非非想天)。	以 至 高 天 無 極 之 上 上 至 非 非 想 天 
T52n2118_002:0801c05	厚地無極之下(下至金輪水際)。	厚 地 無 極 之 下 下 至 金 輪 水 際 
T52n2118_002:0801c06	莫不示諸斯乎如指其掌也(示垂也。諸於也。斯此也。總結上文意。佛之	莫 不 示 諸 斯 乎 如 指 其 掌 也 示 垂 也 諸 於 也 斯 此 也 總 結 上 文 意 佛 之 
T52n2118_002:0801c07	妙用廣大之外。窈渺之內高天之上。厚地之下。凡有事理無不盡知。故謂垂示於此理。如指其手掌中之物也)。	妙 用 廣 大 之 外 窈 渺 之 內 高 天 之 上 厚 地 之 下 凡 有 事 理 無 不 盡 知 故 謂 垂 示 於 此 理 如 指 其 手 掌 中 之 物 也 
T52n2118_002:0801c08	所明既博文奚為繁(結前萬計億數之言。佛既明廣大無窮之事。其經文又何為繁	所 明 既 博 文 奚 為 繁 結 前 萬 計 億 數 之 言 佛 既 明 廣 大 無 窮 之 事 其 經 文 又 何 為 繁 
T52n2118_002:0801c09	也哉)。	也 哉 
T52n2118_002:0801c10	卷萬言億。亦未足為多(重標客言。卷萬億言。亦未足為多也)。	卷 萬 言 億 亦 未 足 為 多 重 標 客 言 卷 萬 億 言 亦 未 足 為 多 也 
T52n2118_002:0801c11	何不要之有耶(如上所明之事。何謂不簡要之有也耶)。	何 不 要 之 有 耶 如 上 所 明 之 事 何 謂 不 簡 要 之 有 也 耶 
T52n2118_002:0801c12	豈特以一人力所堪能。然後以為得矣(焉用一人之力	豈 特 以 一 人 力 所 堪 能 然 後 以 為 得 矣 焉 用 一 人 之 力 
T52n2118_002:0801c13	堪可能為然後稱為簡要所得者矣)。	堪 可 能 為 然 後 稱 為 簡 要 所 得 者 矣 
T52n2118_002:0801c14	譬如渴人飲海。飽而自足。焉知其餘哉(復結上文	譬 如 渴 人 飲 海 飽 而 自 足 焉 知 其 餘 哉 復 結 上 文 
T52n2118_002:0801c15	意。卷萬億數之義。譬如極渴之人飲大海之水。飽足則止。焉知其餘廣大)。	意 卷 萬 億 數 之 義 譬 如 極 渴 之 人 飲 大 海 之 水 飽 足 則 止 焉 知 其 餘 廣 大 
T52n2118_002:0801c16	宗師第五(此篇言古今帝主賢士皆所宗師之。故曰宗師)	宗 師 第 五 此 篇 言 古 今 帝 主 賢 士 皆 所 宗 師 之 故 曰 宗 師 
T52n2118_002:0801c17	客曰。子之行說。佛道崇虛至尊至大。二帝三	客 曰 子 之 行 說 佛 道 崇 虛 至 尊 至 大 二 帝 三 
T52n2118_002:0801c18	王曷不修之(既為佛之崇高清虛。至尊貴而廣大。二帝堯舜也。三王夏商周也。何不修佛之道)。	王 曷 不 修 之 既 為 佛 之 崇 高 清 虛 至 尊 貴 而 廣 大 二 帝 堯 舜 也 三 王 夏 商 周 也 何 不 修 佛 之 道 
T52n2118_002:0801c19	孔子老聃何不傳之(夫子老子何不傳佛之道)。	孔 子 老 聃 何 不 傳 之 夫 子 老 子 何 不 傳 佛 之 道 
T52n2118_002:0801c20	六經不載其辭(儒教書中。不見載佛之言辭)。	六 經 不 載 其 辭 儒 教 書 中 不 見 載 佛 之 言 辭 
T52n2118_002:0801c21	諸子不書其說(儒門諸子等籍。亦不見書經所說)。	諸 子 不 書 其 說 儒 門 諸 子 等 籍 亦 不 見 書 經 所 說 
T52n2118_002:0801c22	且先賢古哲未聞行其道者。而子獨好於異	且 先 賢 古 哲 未 聞 行 其 道 者 而 子 獨 好 於 異 
T52n2118_002:0801c23	耶(結上文。古之聖哲先賢等經。諸子等書。皆無所宗佛者。唯子獨好異端之教也耶)。	耶 結 上 文 古 之 聖 哲 先 賢 等 經 諸 子 等 書 皆 無 所 宗 佛 者 唯 子 獨 好 異 端 之 教 也 耶 
T52n2118_002:0801c24	妙明曰。子執之固也(子偏執之固蔽者也)。	妙 明 曰 子 執 之 固 也 子 偏 執 之 固 蔽 者 也 
T52n2118_002:0801c25	書不必孔丘之言。合義者從(丘孔子名。然孔聖之書。理微言極。有所	書 不 必 孔 丘 之 言 合 義 者 從 丘 孔 子 名 然 孔 聖 之 書 理 微 言 極 有 所 
T52n2118_002:0801c26	未達者。亦不可定用。但以合義者。亦皆從順者也)。	未 達 者 亦 不 可 定 用 但 以 合 義 者 亦 皆 從 順 者 也 
T52n2118_002:0801c27	藥不必扁鵲之方。愈病者良(名醫傳。扁鵲古之善醫者。曾療虢太子返	藥 不 必 扁 鵲 之 方 愈 病 者 良 名 醫 傳 扁 鵲 古 之 善 醫 者 曾 療 虢 太 子 返 
T52n2118_002:0802a01	魂。亦不必定用。但能痊愈其病者。亦良善也)。	魂 亦 不 必 定 用 但 能 痊 愈 其 病 者 亦 良 善 也 
T52n2118_002:0802a02	萬善殊途而同歸(然萬善為者不同一路。其善則一也)。	萬 善 殊 途 而 同 歸 然 萬 善 為 者 不 同 一 路 其 善 則 一 也 
T52n2118_002:0802a03	百慮一致而為善(百般思慮至。唯為一善也)。	百 慮 一 致 而 為 善 百 般 思 慮 至 唯 為 一 善 也 
T52n2118_002:0802a04	為善不同同歸于治(尚書云。為善故不一端而無不可之善。洎有所成則同名歸於	為 善 不 同 同 歸 于 治 尚 書 云 為 善 故 不 一 端 而 無 不 可 之 善 洎 有 所 成 則 同 名 歸 於 
T52n2118_002:0802a05	善治也)。	善 治 也 
T52n2118_002:0802a06	君子集眾善而輔其身(君子者。成德之士也。凡君子之所作為。惟集積眾善	君 子 集 眾 善 而 輔 其 身 君 子 者 成 德 之 士 也 凡 君 子 之 所 作 為 惟 集 積 眾 善 
T52n2118_002:0802a07	而以輔助於其身也)。	而 以 輔 助 於 其 身 也 
T52n2118_002:0802a08	而以何常師有耶(論語。公孫朝。即衛大夫問於子貢曰。仲尼焉學。子貢曰。文武之道	而 以 何 常 師 有 耶 論 語 公 孫 朝 即 衛 大 夫 問 於 子 貢 曰 仲 尼 焉 學 子 貢 曰 文 武 之 道 
T52n2118_002:0802a09	未墜於地。在人賢者識其大者。不賢者識其小者。莫不有文武之道焉。夫子焉不學。而	未 墜 於 地 在 人 賢 者 識 其 大 者 不 賢 者 識 其 小 者 莫 不 有 文 武 之 道 焉 夫 子 焉 不 學 而 
T52n2118_002:0802a10	亦何常師之有)。	亦 何 常 師 之 有 
T52n2118_002:0802a11	昔者虞舜師務成。唐堯師尹壽(予按老子列仙傳。化規實跡帝堯之	昔 者 虞 舜 師 務 成 唐 堯 師 尹 壽 予 按 老 子 列 仙 傳 化 規 實 跡 帝 堯 之 
T52n2118_002:0802a12	時為務成。帝舜之時為尹壽)。	時 為 務 成 帝 舜 之 時 為 尹 壽 
T52n2118_002:0802a13	漢文禮河上(漢文帝禮河上公。而求道德二篇也)。	漢 文 禮 河 上 漢 文 帝 禮 河 上 公 而 求 道 德 二 篇 也 
T52n2118_002:0802a14	黃帝拜廣成(黃帝於崆峒山拜求治身之道於廣成子)。	黃 帝 拜 廣 成 黃 帝 於 崆 峒 山 拜 求 治 身 之 道 於 廣 成 子 
T52n2118_002:0802a15	武丁納誨傅巖(傅巖即傅說也。武丁即商高宗。尚書說命篇曰。朝夕納誨。以輔台德也。	武 丁 納 誨 傅 巖 傅 巖 即 傅 說 也 武 丁 即 商 高 宗 尚 書 說 命 篇 曰 朝 夕 納 誨 以 輔 台 德 也 
T52n2118_002:0802a16	說音悅)。	說 音 悅 
T52n2118_002:0802a17	太甲投誠伊尹(尚書。太甲乃湯孫至昏者也。湯三聘伊尹為相。後以阿衡之任。放逐太甲	太 甲 投 誠 伊 尹 尚 書 太 甲 乃 湯 孫 至 昏 者 也 湯 三 聘 伊 尹 為 相 後 以 阿 衡 之 任 放 逐 太 甲 
T52n2118_002:0802a18	於桐宮。帝悔過修德。既成後立號太宗也)。	於 桐 宮 帝 悔 過 修 德 既 成 後 立 號 太 宗 也 
T52n2118_002:0802a19	文王尊呂望(史記。文王為西伯時。一日夢飛熊之兆卜之。於渭水之陽。將大德焉。天與汝師以	文 王 尊 呂 望 史 記 文 王 為 西 伯 時 一 日 夢 飛 熊 之 兆 卜 之 於 渭 水 之 陽 將 大 德 焉 天 與 汝 師 以 
T52n2118_002:0802a20	之佐昌齋三日。渭水果得呂望。勞而問之。乃載以歸。立為太公望)。	之 佐 昌 齋 三 日 渭 水 果 得 呂 望 勞 而 問 之 乃 載 以 歸 立 為 太 公 望 
T52n2118_002:0802a21	仲尼學老聃(家語適周篇。問禮於老聃。訪樂於萇弘。孔子將行。與南宮敬叔曰。吾師老聃。博	仲 尼 學 老 聃 家 語 適 周 篇 問 禮 於 老 聃 訪 樂 於 萇 弘 孔 子 將 行 與 南 宮 敬 叔 曰 吾 師 老 聃 博 
T52n2118_002:0802a22	古知今者也)。	古 知 今 者 也 
T52n2118_002:0802a23	豈但見載於六經。然後以從其學也(此標客言以結上文。意	豈 但 見 載 於 六 經 然 後 以 從 其 學 也 此 標 客 言 以 結 上 文 意 
T52n2118_002:0802a24	如上諸聖。皆有其師。豈直待載於六經。然後從而為學也)。	如 上 諸 聖 皆 有 其 師 豈 直 待 載 於 六 經 然 後 從 而 為 學 也 
T52n2118_002:0802a25	佛既生周昭王時。法化未來此土。暨漢明帝	佛 既 生 周 昭 王 時 法 化 未 來 此 土 暨 漢 明 帝 
T52n2118_002:0802a26	永平十年。聲教漸始流入中區(史記。後漢明帝永平三年四月八	永 平 十 年 聲 教 漸 始 流 入 中 區 史 記 後 漢 明 帝 永 平 三 年 四 月 八 
T52n2118_002:0802a27	日。夜夢金人長丈六放大光明。次日問群臣。丞相韓憲奏曰。此西方聖人也。周朝備云。千年之後。教來此土。帝悅	日 夜 夢 金 人 長 丈 六 放大光明 次 日 問 群 臣 丞 相 韓 憲 奏 曰 此 西 方 聖 人 也 周 朝 備 云 千 年 之 後 教 來 此 土 帝 悅 
T52n2118_002:0802b01	遣蔡愔等一十八人齎勅西國。尋訪聖典。至流沙遇摩騰竺法蘭白馬馱經箱。永平十年十月到於洛陽。帝大悅重	遣 蔡 愔 等 一 十 八 人 齎 勅 西 國 尋 訪 聖 典 至 流 沙 遇 摩 騰 竺 法 蘭 白 馬 馱 經 箱 永 平 十 年 十 月 到 於 洛 陽 帝 大 悅 重 
T52n2118_002:0802b02	賞譯經於時方流入中國)。	賞 譯 經 於 時 方 流 入 中 國 
T52n2118_002:0802b03	且二帝三王。時殊代異隔而不修(二帝三王與佛時世不同。遠	且 二 帝 三 王 時 殊 代 異 隔 而 不 修 二 帝 三 王 與 佛 時 世 不 同 遠 
T52n2118_002:0802b04	隔邦域。故不修佛道也)。	隔 邦 域 故 不 修 佛 道 也 
T52n2118_002:0802b05	仲尼伯陽。審無受器。知而不傳(仲尼夫子也。伯陽老子也。孔老	仲 尼 伯 陽 審 無 受 器 知 而 不 傳 仲 尼 夫 子 也 伯 陽 老 子 也 孔 老 
T52n2118_002:0802b06	二聖審無受道之器而無可傳者。故知而不傳也)。	二 聖 審 無 受 道 之 器 而 無 可 傳 者 故 知 而 不 傳 也 
T52n2118_002:0802b07	諸子未達豈敢言也(周秦之時。佛法未來。諸子豈敢妄傳)。	諸 子 未 達 豈 敢 言 也 周 秦 之 時 佛 法 未 來 諸 子 豈 敢 妄 傳 
T52n2118_002:0802b08	夫如是奚二帝三王孔子老聃傳習記載之有	夫 如 是 奚 二 帝 三 王 孔 子 老 聃 傳 習 記 載 之 有 
T52n2118_002:0802b09	耶(結上文意)。	耶 結 上 文 意 
T52n2118_002:0802b10	厥後白馬經來(厥者其也)。	厥 後 白 馬 經 來 厥 者 其 也 
T52n2118_002:0802b11	亦烏僧至(三國志。吳王赤烏四年。康居國沙門僧會至。顯大神異。王禮事之)。	亦 烏 僧 至 三 國 志 吳 王 赤 烏 四 年 康 居 國 沙 門 僧 會 至 顯 大 神 異 王 禮 事 之 
T52n2118_002:0802b12	蘭騰道揚於明帝(三寶錄云。漢明帝。摩騰竺法蘭。永平十四年五嶽道士楮善信等。上表	蘭 騰 道 揚 於 明 帝 三 寶 錄 云 漢 明 帝 摩 騰 竺 法 蘭 永 平 十 四 年 五 嶽 道 士 楮 善 信 等 上 表 
T52n2118_002:0802b13	滅佛帝命二教於白馬寺以二教經置於二臺。同時舉火。道教皆毀。唯佛典獨存。於時君臣愕然。愈加崇奉)。	滅 佛 帝 命 二 教 於 白 馬 寺 以 二 教 經 置 於 二 臺 同 時 舉 火 道 教 皆 毀 唯 佛 典 獨 存 於 時 君 臣 愕 然 愈 加 崇 奉 
T52n2118_002:0802b14	僧會德被於孫權(三國志。孫權吳王也。時康僧既至。廣陳如來之玄妙。王求舍利立壇祈	僧 會 德 被 於 孫 權 三 國 志 孫 權 吳 王 也 時 康 僧 既 至 廣 陳 如 來 之 玄 妙 王 求 舍 利 立 壇 祈 
T52n2118_002:0802b15	三七。乃至王試真偽。火焚砧鎚俱無所損。王遂建浮圖)。	三 七 乃 至 王 試 真 偽 火 焚 砧 鎚 俱 無 所 損 王 遂 建 浮 圖 
T52n2118_002:0802b16	隋文稽顙曇延(稽遲也。顙額也。隋史高僧傳。曇延去師中條山西宮寺僧。隋文帝同輦輿。	隋 文 稽 顙 曇 延 稽 遲 也 顙 額 也 隋 史 高 僧 傳 曇 延 去 師 中 條 山 西 宮 寺 僧 隋 文 帝 同 輦 輿 
T52n2118_002:0802b17	帝以師禮之拜。封為國師)。	帝 以 師 禮 之 拜 封 為 國 師 
T52n2118_002:0802b18	梁武投誠寶誌(梁史。僧寶。誌即誌公也。梁武帝投禮為師)。	梁 武 投 誠 寶 誌 梁 史 僧 寶 誌 即 誌 公 也 梁 武 帝 投 禮 為 師 
T52n2118_002:0802b19	李唐傾心玄奘(慈恩傳。唐太宗真觀年間法師西天求教回。親迎於儀鳳殿。對言。西域勝	李 唐 傾 心 玄 奘 慈 恩 傳 唐 太 宗 真 觀 年 間 法 師 西 天 求 教 回 親 迎 於 儀 鳳 殿 對 言 西 域 勝 
T52n2118_002:0802b20	境。奉詔於洪福寺譯經帝及公卿國戚。皆傾心禮也)。	境 奉 詔 於 洪 福 寺 譯 經 帝 及 公 卿 國 戚 皆 傾 心 禮 也 
T52n2118_002:0802b21	姚秦拜首羅什(釋氏通鑑。姚秦即姚興也。都長安。因討龜慈得羅什於終南山。賜立逍遙園	姚 秦 拜 首 羅 什 釋 氏 通 鑑 姚 秦 即 姚 興 也 都 長 安 因 討 龜 慈 得 羅 什 於 終 南 山 賜 立 逍 遙 園 
T52n2118_002:0802b22	翻譯眾經。乃以香華敬禮待之。合國王臣事禮也)。	翻 譯 眾 經 乃 以 香 華 敬 禮 待 之 合 國 王 臣 事 禮 也 
T52n2118_002:0802b23	苻堅禮敬道安(五代史僧寶傳。苻堅剋襄陽。得道安法師。同輦載歸為師禮之恩渥甚厚)。	苻 堅 禮 敬 道 安 五 代 史 僧 寶 傳 苻 堅 剋 襄 陽 得 道 安 法 師 同 輦 載 歸 為 師 禮 之 恩 渥 甚 厚 
T52n2118_002:0802b24	齊主師崇上統(齊史僧寶傳云。齊世祖武成帝。大寧三年。受上統法師。朝中大臣無不敬	齊 主 師 崇 上 統 齊 史 僧 寶 傳 云 齊 世 祖 武 成 帝 大 寧 三 年 受 上 統 法 師 朝 中 大 臣 無 不 敬 
T52n2118_002:0802b25	禮。剏報德寺請師居之)。	禮 剏 報 德 寺 請 師 居 之 
T52n2118_002:0802b26	裴相了心於黃蘗(傳燈。裴相諱休。字公美。京兆人。出刺使瑞州。詣高安寺因問黃蘗。	裴 相 了 心 於 黃 蘗 傳 燈 裴 相 諱 休 字 公 美 京 兆 人 出 刺 使 瑞 州 詣 高 安 寺 因 問 黃 蘗 
T52n2118_002:0802c01	壁間畫者何也。蘗曰。高僧真儀。休曰。真儀可觀。高僧何在。蘗高聲云。裴公。公諾曰。在甚麼處。休即有悟)。	壁 間 畫 者 何 也 蘗 曰 高 僧 真 儀 休 曰 真 儀 可 觀 高 僧 何 在 蘗 高 聲 云 裴 公 公 諾 曰 在 甚 麼 處 休 即 有 悟 
T52n2118_002:0802c02	昌黎求法於大顛(釋氏通鑑云。昌黎即韓愈。字退之。官拜為刑部侍郎。唐憲宗于鳳翔府	昌 黎 求 法 於 大 顛 釋 氏 通 鑑 云 昌 黎 即 韓 愈 字 退 之 官 拜 為 刑 部 侍 郎 唐 憲 宗 于 鳳 翔 府 
T52n2118_002:0802c03	護國寺。即今法門寺。迎佛骨於內宮供養。愈上表謗佛。帝欲誅之。裴度等諫。貶於潮州。聞大顛親詣求法云。弟	護 國 寺 即 今 法 門 寺 迎 佛 骨 於 內 宮 供 養 愈 上 表 謗 佛 帝 欲 誅 之 裴 度 等 諫 貶 於 潮 州 聞 大 顛 親 詣 求 法 云 弟 
T52n2118_002:0802c04	子軍州事繁。省要處乞師指示。良久愈罔措。侍者三平敲禪床一下。師云作麼。平云。先以定動。然後智拔。愈云。	子 軍 州 事 繁 省 要 處 乞 師 指 示 良 久 愈 罔 措 侍 者 三 平 敲 禪 床 一 下 師 云 作 麼 平 云 先 以 定 動 然 後 智 拔 愈 云 
T52n2118_002:0802c05	師門風高峻。於侍者處得箇入路)。	師 門 風 高 峻 於 侍 者 處 得 箇 入 路 
T52n2118_002:0802c06	李翱道問藥山(傳燈云。李翱字習之。唐賢臣。出守豐州。聞藥山惟儼禪師道風。一日謁見	李 翱 道 問 藥 山 傳 燈 云 李 翱 字 習 之 唐 賢 臣 出 守 豐 州 聞 藥 山 惟 儼 禪 師 道 風 一 日 謁 見 
