T85n2833_001:1270c08	觀心論	觀 心 論 
T85n2833_001:1272c15	莊嚴能除三毒無明垢穢。其七法者。一為淨	莊 嚴 能 除 三 毒 無 明 垢 穢 其 七 法 者 一 為 淨 
T85n2833_001:1272c16	戒洗蕩身心。如清淨水洗諸塵垢。二謂智惠	戒 洗 蕩 身 心 如 清 淨 水 洗 諸 塵 垢 二 謂 智 惠 
T85n2833_001:1272c17	觀察內外。猶如然火能溫其水。三謂分別簡	觀 察 內 外 猶 如 然 火 能 溫 其 水 三 謂 分 別 簡 
T85n2833_001:1272c18	棄。由如澡豆能除垢膩。四謂真實斷諸妄語。	棄 由 如 澡 豆 能 除 垢 膩 四 謂 真 實 斷 諸 妄 語 
T85n2833_001:1272c19	如嚼楊枝能消口氣。五謂正信決無疑慮。如	如 嚼 楊 枝 能 消 口 氣 五 謂 正 信 決 無 疑 慮 如 
T85n2833_001:1272c20	灰磨身能避諸風。六謂柔和諸剛強。由如蘇	灰 磨 身 能 避 諸 風 六 謂 柔 和 諸 剛 強 由 如 蘇 
T85n2833_001:1272c21	膏通潤皮膚。七謂慚愧悔諸惡業。由如內衣	膏 通 潤 皮 膚 七 謂 慚 愧 悔 諸 惡 業 由 如 內 衣 
T85n2833_001:1272c22	遮蔽醜形。如上七法並是經中祕密之義。如	遮 蔽 醜 形 如 上 七 法 並 是 經 中 祕 密 之 義 如 
T85n2833_001:1272c23	來當爾為諸大乘利根者。非為小智下劣凡	來 當 爾 為 諸 大 乘 利 根 者 非 為 小 智 下 劣 凡 
T85n2833_001:1272c24	夫。所以令人無能悟解。其溫室者。即身是也。	夫 所 以 令 人 無 能 悟 解 其 溫 室 者 即 身 是 也 
T85n2833_001:1272c25	所以然智慧火溫。淨戒湯洗蕩身中佛性受	所 以 然 智 慧 火 溫 淨 戒 湯 洗 蕩 身 中 佛 性 受 
T85n2833_001:1272c26	持七法以自莊嚴。當爾比丘聰明利智皆悟聖	持 七 法 以 自 莊 嚴 當 爾 比 丘 聰 明 利 智 皆 悟 聖 
T85n2833_001:1272c27	意。以此修行功德成就。但登聖果。今時眾生	意 以 此 修 行 功德成就 但 登 聖 果 今 時 眾 生 
T85n2833_001:1272c28	愚癡鈍根。莫測其事。將世間水洗質礙身。自	愚 癡 鈍 根 莫 測 其 事 將 世 間 水 洗 質 礙 身 自 
T85n2833_001:1272c29	謂依經。豈非悟也。且如佛性非是凡形。煩惱	謂 依 經 豈 非 悟 也 且 如 佛 性 非 是 凡 形 煩 惱 
T85n2833_001:1273a01	塵埃本來無相。豈可將有礙水洗無為身。事	塵 埃 本 來 無 相 豈 可 將 有 礙 水 洗 無 為 身 事 
T85n2833_001:1273a02	不相應。云何可得。若言礙身清淨。當觀此身	不 相 應 云 何 可 得 若 言 礙 身 清 淨 當 觀 此 身 
T85n2833_001:1273a03	無因貪欲不淨所生。臭穢駢闐。內外充滿。若	無 因 貪 欲 不 淨 所 生 臭 穢 駢 闐 內 外 充 滿 若 
T85n2833_001:1273a04	洗此身求於清淨者。猶如洗塹泥盡應停。以	洗 此 身 求 於 清 淨 者 猶 如 洗 塹 泥 盡 應 停 以 
T85n2833_001:1273a05	此驗之。明知外洗非佛說也　又問。經所說	此 驗 之 明 知 外 洗 非 佛 說 也 又 問 經 所 說 
T85n2833_001:1273a06	言至心念佛必得解脫　答曰。夫念佛者。當	言 至 心 念 佛 必 得 解 脫 答 曰 夫 念 佛 者 當 
T85n2833_001:1273a07	須正念為正。不了義即為邪。正念必得往生	須 正 念 為 正 不 了 義 即 為 邪 正 念 必 得 往 生 
T85n2833_001:1273a08	淨國。邪念云何達彼。佛者覺也。所為覺察	淨 國 邪 念 云 何 達 彼 佛 者 覺 也 所 為 覺 察 
T85n2833_001:1273a09	心源勿令起惡。念者憶也。謂堅持戒行不忘	心 源 勿 令 起 惡 念 者 憶 也 謂 堅 持 戒 行 不 忘 
T85n2833_001:1273a10	精懃了如來義。名為正念。故知念在於心不	精 懃 了 如 來 義 名 為 正 念 故 知 念 在 於 心 不 
T85n2833_001:1273a11	在於言。因筌求魚。得魚妄筌。因言求言。得意	在 於 言 因 筌 求 魚 得 魚 妄 筌 因 言 求 言 得 意 
T85n2833_001:1273a12	忘言。既稱念佛。云名須行念佛之體。若心無	忘 言 既 稱 念 佛 云 名 須 行 念 佛 之 體 若 心 無 
T85n2833_001:1273a13	實。口誦空言。徒念虛功。有何成益。且如誦	實 口 誦 空 言 徒 念 虛 功 有 何 成 益 且 如 誦 
T85n2833_001:1273a14	之與念。名義懸殊。在口曰誦。在心曰念。故	之 與 念 名 義 懸 殊 在 口 曰 誦 在 心 曰 念 故 
T85n2833_001:1273a15	知念從心起。名為覺行之門。誦在口中。即是	知 念 從 心 起 名 為 覺 行 之 門 誦 在 口 中 即 是 
T85n2833_001:1273a16	音聲之相。執相求福終無是乎。故經云。凡所	音 聲 之 相 執 相 求 福 終 無 是 乎 故 經 云 凡 所 
T85n2833_001:1273a17	有相皆是虛妄。又云。若以色見我。以音聲求	有 相 皆 是 虛 妄 又 云 若 以 色 見 我 以 音 聲 求 
T85n2833_001:1273a18	我。是人行邪道不能見如來。以此觀之。乃	我 是 人 行 邪 道 不 能 見 如 來 以 此 觀 之 乃 
T85n2833_001:1273a19	知事相非真正也。過去諸佛所修功德皆非	知 事 相 非 真 正 也 過去諸佛 所 修 功 德 皆 非 
T85n2833_001:1273a20	外說唯正論。心是眾善之源。是萬惡之主。涅	外 說 唯 正 論 心 是 眾 善 之 源 是 萬 惡 之 主 涅 
T85n2833_001:1273a21	槃經。常樂由自心生。三界輪迴六從心起。	槃 經 常 樂 由 自 心 生 三 界 輪 迴 六 從 心 起 
T85n2833_001:1273a22	心為出世之門戶。心是解脫之開津。知門戶	心 為 出 世 之 門 戶 心 是 解 脫 之 開 津 知 門 戶 
T85n2833_001:1273a23	者豈慮難成識。開津者何憂不達。竊見今時	者 豈 慮 難 成 識 開 津 者 何 憂 不 達 竊 見 今 時 
T85n2833_001:1273a24	淺識唯事見相為功。廣費財寶多積水陸。妄	淺 識 唯 事 見 相 為 功 廣 費 財 寶 多 積 水 陸 妄 
T85n2833_001:1273a25	營像塔虛役人夫。積木疊泥圖丹畫綠。傾心	營 像 塔 虛 役 人 夫 積 木 疊 泥 圖 丹 畫 綠 傾 心 
T85n2833_001:1273a26	盡力於己迷他。未解慚愧。何曾覺悟見有勤	盡 力 於 己 迷 他 未 解 慚 愧 何 曾 覺 悟 見 有 勤 
T85n2833_001:1273a27	勤執著說於無相兀兀如迷。但貪目下之小	勤 執 著 說 於 無 相 兀 兀 如 迷 但 貪 目 下 之 小 
T85n2833_001:1273a28	慈不覺當來入大苦。此之修學徒自疲勞。背	慈 不 覺 當 來 入 大 苦 此 之 修 學 徒 自 疲 勞 背 
T85n2833_001:1273a29	正歸邪詐言獲福。但能攝心內照覺觀常明。	正 歸 邪 詐 言 獲 福 但 能 攝 心 內 照 覺 觀 常 明 
T85n2833_001:1273b01	絕三毒永使消亡。六賊不令侵擾。自然恒沙	絕 三 毒 永 使 消 亡 六 賊 不 令 侵 擾 自 然 恒 沙 
T85n2833_001:1273b02	功德種種莊嚴。無數法門悉皆成就。超凡證	功 德 種 種 莊 嚴 無 數 法 門 悉 皆 成 就 超 凡 證 
T85n2833_001:1273b03	聖目擊非遙悟。在須臾何煩皓首。法門幽祕	聖 目 擊 非 遙 悟 在 須 臾 何 煩 皓 首 法 門 幽 祕 
T85n2833_001:1273b04	寧可具陳。略而論心詳其少分。	寧 可 具 陳 略 而 論 心 詳 其 少 分 
T85n2833_001:1273b05	觀心論一卷	觀 心 論 一 卷 
