T26n1520_001:0010c03	妙法蓮華經論優波提舍	妙法蓮華 經 論 優波提舍 
T26n1520_001:0013a16	人，多人欲聞生希有心，是故唯問文殊師利，	人 多 人 欲 聞 生希有心 是 故 唯 問 文 殊 師 利 
T26n1520_001:0013a17	如是示現世尊弟子隨順法不相違故。今佛	如 是 示 現 世 尊 弟 子 隨 順 法 不 相 違 故 今 佛 
T26n1520_001:0013a18	世尊現神變相者，為何等義？為現大相因	世 尊 現 神 變 相 者 為 何 等 義 為 現 大 相 因 
T26n1520_001:0013a19	故。為大相者，為說《妙法蓮華經》故現大瑞	故 為 大 相 者 為 說 妙法蓮華 經 故 現 大 瑞 
T26n1520_001:0013a20	相，為說所得妙法不可思議等文句故。有	相 為 說 所 得 妙 法 不可思議 等 文 句 故 有 
T26n1520_001:0013a21	二種法故推文殊師利：一者現見諸法；	二 種 法 故 推 文 殊 師 利 一 者 現 見 諸 法 
T26n1520_001:0013a22	二者離諸因緣，自心成就彼法故。示現種	二 者 離 諸 因 緣 自 心 成 就 彼 法 故 示 現 種 
T26n1520_001:0013a23	種瑞相者，示現彼彼事如彼事現沒住	種 瑞 相 者 示 現 彼 彼 事 如 彼 事 現 沒 住 
T26n1520_001:0013a24	滅應知，以文殊師利能記彼事故，以文殊師	滅 應 知 以 文 殊 師 利 能 記 彼 事 故 以 文 殊 師 
T26n1520_001:0013a25	利所作成就因果成就現見彼法故。所作成	利 所 作 成 就 因 果 成 就 現 見 彼 法 故 所 作 成 
T26n1520_001:0013a26	就者有二種：一者功德成就；二者智慧成	就 者 有 二 種 一 者 功德成就 二 者 智 慧 成 
T26n1520_001:0013a27	就。因成就者，一切智成就。因緣者，相也。果	就 因 成 就 者 一 切 智 成 就 因 緣 者 相 也 果 
T26n1520_001:0013a28	者，說大法。種種佛國土者，示現彼國土中	者 說 大 法 種 種 佛 國 土 者 示 現 彼 國 土 中 
T26n1520_001:0013a29	種種差別應知。淨妙國土者，無煩惱眾生住	種種差別 應 知 淨 妙 國 土 者 無 煩 惱 眾 生 住 
T26n1520_001:0013b01	處故。如經「照於東方萬八千世界，乃至悉見	處 故 如 經 照 於 東 方 萬 八 千 世 界 乃 至 悉 見 
T26n1520_001:0013b02	彼佛國界莊嚴」故。如來為上首者，諸菩薩等	彼 佛 國 界 莊 嚴 故 如 來 為 上 首 者 諸 菩 薩 等 
T26n1520_001:0013b03	依如來住故，以如來於彼國土一切大眾中	依 如 來 住 故 以 如 來 於 彼 國 土 一 切 大 眾 中 
T26n1520_001:0013b04	得自在故。如經「又見彼土現在諸佛」如是等	得 自 在 故 如 經 又 見 彼 土 現在諸佛 如 是 等 
T26n1520_001:0013b05	故。	故 
T26n1520_001:0013b06	自此以下明聖者文殊師利菩薩以宿命智	自 此 以 下 明 聖 者 文 殊 師 利 菩 薩 以 宿 命 智 
T26n1520_001:0013b07	現見過去因果相，成就十種事如現在前，是	現 見 過 去 因 果 相 成 就 十 種 事 如 現 在 前 是 
T26n1520_001:0013b08	故能答彌勒。現見過去因相者，自見己身	故 能 答 彌 勒 現 見 過 去 因 相 者 自 見 己 身 
T26n1520_001:0013b09	於彼諸佛國土中修種種行事故。現見	於 彼 諸 佛 國 土 中 修 種 種 行 事 故 現 見 
T26n1520_001:0013b10	過去果相者，文殊師利自見己身是過去妙	過 去 果 相 者 文 殊 師 利 自 見 己 身 是 過 去 妙 
T26n1520_001:0013b11	光菩薩，於彼佛所聞此法門為眾生說故。成	光 菩 薩 於 彼 佛 所 聞 此 法 門 為 眾 生 說 故 成 
T26n1520_001:0013b12	就十種事者，何等為十？一者現見大義因成	就 十 種 事 者 何 等 為 十 一 者 現 見 大 義 因 成 
T26n1520_001:0013b13	就；二者現見世間文字章句甚深意因成就；	就 二 者 現見世間 文 字 章 句 甚 深 意 因 成 就 
T26n1520_001:0013b14	三者現見希有因成就；四者現見勝妙因成	三 者 現 見 希 有 因 成 就 四 者 現 見 勝 妙 因 成 
T26n1520_001:0013b15	就；五者現見受用大因成就；六者現見攝取	就 五 者 現 見 受 用 大 因 成 就 六 者 現 見 攝 取 
T26n1520_001:0013b16	一切諸佛法輪因成就；七者現見善堅實如	一切諸佛 法 輪 因 成 就 七 者 現 見 善 堅 實 如 
T26n1520_001:0013b17	來法輪因成就；八者現見能進入因成就；九	來 法 輪 因 成 就 八 者 現 見 能 進 入 因 成 就 九 
T26n1520_001:0013b18	者現見憶念因成就；十者現見自身所經事因	者 現 見 憶 念 因 成 就 十 者 現 見 自 身 所 經 事 因 
T26n1520_001:0013b19	成就。大義因成就者，八句示現應知：一者欲	成 就 大 義 因 成 就 者 八 句 示 現 應 知 一 者 欲 
T26n1520_001:0013b20	轉大法輪；二者欲雨大法雨；三者欲擊大	轉 大 法 輪 二 者 欲 雨大法雨 三 者 欲 擊 大 
T26n1520_001:0013b21	法鼓；四者欲建大法幢；五者欲然大法燈；	法 鼓 四 者 欲 建 大 法 幢 五 者 欲 然 大 法 燈 
T26n1520_001:0013b22	六者欲吹大法蠡；七者欲不斷大法鼓；八者	六 者 欲 吹 大 法 蠡 七 者 欲 不 斷 大 法 鼓 八 者 
T26n1520_001:0013b23	欲說大法。此八句示現如來欲說大法等	欲 說 大 法 此 八 句 示 現 如 來 欲 說 大 法 等 
T26n1520_001:0013b24	故。何等為八種大義？謂疑者斷疑故，已	故 何 等 為 八 種 大 義 謂 疑 者 斷 疑 故 已 
T26n1520_001:0013b25	斷疑者增長淳熟智身故。根熟者為說二種	斷 疑 者 增 長 淳 熟 智 身 故 根 熟 者 為 說 二 種 
T26n1520_001:0013b26	密境界，謂聲聞密境界、菩薩密境界。大	密 境 界 謂 聲 聞 密 境 界 菩 薩 密 境 界 大 
T26n1520_001:0013b27	法鼓二句，示現以遠聞故。入密境界者，令進	法 鼓 二 句 示 現 以 遠 聞 故 入 密 境 界 者 令 進 
T26n1520_001:0013b28	取上上清淨義故。取上上清淨義者，進取	取 上 上 清 淨 義 故 取 上 上 清 淨 義 者 進 取 
T26n1520_001:0013b29	一切智現見故。取一切智現見者，為一切	一 切 智 現 見 故 取 一 切 智 現 見 者 為 一 切 
T26n1520_001:0013c01	法建立名字章句義故。建立名字章句義者，	法 建 立 名 字 章 句 義 故 建 立 名 字 章 句 義 者 
T26n1520_001:0013c02	令入不可說證智轉法輪故，現見世間名字	令 入 不 可 說 證 智 轉 法 輪 故 現見世間 名 字 
T26n1520_001:0013c03	章句意甚深因成就故。如經「我於過去諸佛	章 句 意 甚 深 因 成 就 故 如 經 我 於 過去諸佛 
T26n1520_001:0013c04	曾見此瑞，乃至故現斯瑞」故。現見希有因成	曾 見 此 瑞 乃 至 故 現 斯 瑞 故 現 見 希 有 因 成 
T26n1520_001:0013c05	就者，無量時不可得故。不可思議不可稱不	就 者 無 量 時 不 可 得 故 不可思議 不 可 稱 不 
T26n1520_001:0013c06	可量者，示現過彼阿僧祇劫不可得故。復示	可 量 者 示 現 過 彼 阿僧祇劫 不 可 得 故 復 示 
T26n1520_001:0013c07	現五種劫：一者夜；二者晝；三者月；四者時；	現 五 種 劫 一 者 夜 二 者 晝 三 者 月 四 者 時 
T26n1520_001:0013c08	五者年，示現彼無量無邊劫故。如經「如過	五 者 年 示 現 彼 無量無邊 劫 故 如 經 如 過 
T26n1520_001:0013c09	去無量無邊不可思議阿僧祇劫，爾時有佛	去 無量無邊 不可思議 阿僧祇劫 爾 時 有 佛 
T26n1520_001:0013c10	號日月燈明，乃至得阿耨多羅三藐三菩	號 日 月 燈 明 乃 至 得 阿 耨 多 羅 三 藐 三 菩 
T26n1520_001:0013c11	提，成一切種智」故。現見勝妙因成就者，以	提 成 一切種智 故 現 見 勝 妙 因 成 就 者 以 
T26n1520_001:0013c12	諸佛菩薩自受用示現故。如經「次復有佛	諸佛菩薩 自 受 用 示 現 故 如 經 次 復 有 佛 
T26n1520_001:0013c13	亦名日月燈明，乃至所可說法初中後善」故。	亦 名 日 月 燈 明 乃 至 所 可 說 法 初 中 後 善 故 
T26n1520_001:0013c14	現見受用大因成就者，是時王子受勝妙樂	現 見 受 用 大 因 成 就 者 是 時 王 子 受 勝 妙 樂 
T26n1520_001:0013c15	各捨出家，復彼大眾於爾許時不生疲惓心	各 捨 出 家 復 彼 大 眾 於 爾 許 時 不 生 疲 惓 心 
T26n1520_001:0013c16	故。如經「其最後佛未出家時，乃至佛授記已	故 如 經 其 最 後 佛 未 出 家 時 乃 至 佛 授 記 已 
T26n1520_001:0013c17	便於中夜入無餘涅槃」故。現見攝取一切諸	便 於 中 夜 入無餘涅槃 故 現 見 攝 取 一 切 諸 
T26n1520_001:0013c18	佛轉法輪因成就者，法輪不斷故。如經「佛滅	佛 轉 法 輪 因 成 就 者 法 輪 不 斷 故 如 經 佛 滅 
T26n1520_001:0014a01	度後妙光菩薩持妙法蓮華經，滿八十小劫	度 後 妙 光 菩 薩 持 妙法蓮華 經 滿 八 十 小 劫 
T26n1520_001:0014a02	為人演說」故。現見堅實如來法輪因成就者，	為 人 演 說 故 現 見 堅 實 如 來 法 輪 因 成 就 者 
T26n1520_001:0014a03	佛滅度後無量時說法故。如經「日月燈明佛	佛 滅 度 後 無 量 時 說 法 故 如 經 日 月 燈 明 佛 
T26n1520_001:0014a04	八子皆師妙光，乃至皆令其堅固阿耨多羅三	八 子 皆 師 妙 光 乃 至 皆 令 其 堅 固 阿 耨 多 羅 三 
T26n1520_001:0014a05	藐三菩提」故。現見進入因成就者，彼諸王子	藐 三 菩 提 故 現 見 進 入 因 成 就 者 彼 諸 王 子 
T26n1520_001:0014a06	得大菩提故。如經「是諸王子乃至皆成佛道」	得大菩提 故 如 經 是 諸 王 子 乃 至 皆 成 佛 道 
T26n1520_001:0014a07	故。現見憶念因成就者，為他說法利益他故。	故 現 見 憶 念 因 成 就 者 為 他 說 法 利 益 他 故 
T26n1520_001:0014a08	如經「其最後成佛者名曰然燈，乃至尊重讚	如 經 其 最 後 成 佛 者 名 曰 然 燈 乃 至 尊 重 讚 
T26n1520_001:0014a09	歎」故。現見自身所經事因成就者，以自身受	歎 故 現 見 自 身 所 經 事 因 成 就 者 以 自 身 受 
T26n1520_001:0014a10	勝妙樂故。如經「彌勒當知，乃至佛所護念」故。	勝 妙 樂 故 如 經 彌 勒 當 知 乃 至 佛 所 護 念 故 
T26n1520_001:0014a11	汝號求名者，示現知過去事故，復示現得彼	汝 號 求 名 者 示 現 知 過 去 事 故 復 示 現 得 彼 
T26n1520_001:0014a12	法具足故。	法 具 足 故 
T26n1520_001:0014a13	方便品第二	方 便 品 第 二 
T26n1520_001:0014a14	爾時世尊入甚深三昧正念不動，以如實智	爾 時 世 尊 入 甚 深 三 昧 正 念 不 動 以 如 實 智 
T26n1520_001:0014a15	觀從三昧安詳而起。起已告舍利弗：諸佛智	觀 從 三 昧 安 詳 而 起 起 已 告 舍 利 弗 諸 佛 智 
T26n1520_001:0014a16	慧甚深無量，其智慧門難見難覺難知難解	慧 甚 深 無 量 其 智 慧 門 難 見 難 覺 難 知 難 解 
T26n1520_001:0014a17	難入，如來所證一切聲聞辟支佛所不能知。	難 入 如 來 所 證 一 切 聲 聞 辟 支 佛 所 不 能 知 
T26n1520_001:0014a18	何以故？舍利弗！如來、應、正遍知已曾親近供	何 以 故 舍 利 弗 如 來 應 正 遍 知 已 曾 親 近 供 
T26n1520_001:0014a19	養無量百千萬億那由他佛，於諸佛所盡行	養 無量百千萬億 那 由 他 佛 於 諸 佛 所 盡 行 
T26n1520_001:0014a20	諸佛所修阿耨多羅三藐三菩提法。舍利弗！	諸 佛 所 修 阿耨多羅三藐三菩提 法 舍 利 弗 
T26n1520_001:0014a21	如來已於無量百千億那由他劫，勇猛精進	如 來 已 於 無 量 百 千 億 那 由 他 劫 勇猛精進 
T26n1520_001:0014a22	所作成就名稱普聞。舍利弗！如來畢竟成就	所 作 成 就 名稱普聞 舍 利 弗 如 來 畢 竟 成 就 
T26n1520_001:0014a23	希有之法。舍利弗！難解之法如來能知。舍利	希 有 之 法 舍 利 弗 難 解 之 法 如 來 能 知 舍 利 
T26n1520_001:0014a24	弗！難解法者，諸佛如來隨宜所說意趣難解，	弗 難 解 法 者 諸佛如來 隨 宜 所 說 意 趣 難 解 
T26n1520_001:0014a25	一切聲聞辟支佛所不能知。何以故？舍利弗！	一 切 聲 聞 辟 支 佛 所 不 能 知 何 以 故 舍 利 弗 
T26n1520_001:0014a26	諸佛如來自在說因成就故。舍利弗！如來成	諸佛如來 自 在 說 因 成 就 故 舍 利 弗 如 來 成 
T26n1520_001:0014a27	就種種方便、種種知見、種種念觀、種種言辭。	就 種 種 方 便 種 種 知 見 種 種 念 觀 種 種 言 辭 
T26n1520_001:0014a28	舍利弗！吾從成佛已來，於彼彼處廣演言教，	舍 利 弗 吾 從 成佛已來 於彼彼處 廣 演 言 教 
T26n1520_001:0014a29	無數方便引導眾生於諸著處令得解脫。舍	無數方便 引 導 眾 生 於 諸 著 處 令得解脫 舍 
T26n1520_001:0014b01	利弗！如來知見方便到於彼岸。舍利弗！如來	利 弗 如 來 知 見 方 便 到 於 彼 岸 舍 利 弗 如 來 
T26n1520_001:0014b02	知見廣大深遠，無障無礙，力、無畏、不共法、根、	知 見 廣 大 深 遠 無障無礙 力 無 畏 不 共 法 根 
T26n1520_001:0014b03	力、菩提分、禪定、解脫三昧三摩跋提皆已具	力 菩 提 分 禪 定 解 脫 三 昧 三 摩 跋 提 皆 已 具 
T26n1520_001:0014b04	足。舍利弗！諸佛如來深入無際，成就一切未	足 舍 利 弗 諸佛如來 深 入 無 際 成 就 一 切 未 
T26n1520_001:0014b05	曾有法。舍利弗！如來能種種分別巧說諸法，	曾 有 法 舍 利 弗 如 來 能 種 種 分 別 巧 說 諸 法 
T26n1520_001:0014b06	言辭柔軟悅可眾心。止舍利弗！不須復說。	言 辭 柔 軟 悅 可 眾 心 止 舍 利 弗 不 須 復 說 
T26n1520_001:0014b07	舍利弗！佛所成就第一希有難解之法。舍利	舍 利 弗 佛 所 成 就 第一希有 難 解 之 法 舍 利 
T26n1520_001:0014b08	弗！唯佛與佛說法，諸佛如來能知彼法究竟	弗 唯 佛 與 佛 說 法 諸佛如來 能 知 彼 法 究 竟 
T26n1520_001:0014b09	實相。舍利弗！唯佛如來知一切法。舍利弗！唯	實 相 舍 利 弗 唯 佛 如 來 知一切法 舍 利 弗 唯 
T26n1520_001:0014b10	佛如來能說一切法，何等法、云何法、何似法、	佛 如 來 能 說 一 切 法 何 等 法 云 何 法 何 似 法 
T26n1520_001:0014b11	何相法、何體法。何等、云何、何似、何相、何體，如	何 相 法 何 體 法 何 等 云 何 何 似 何 相 何 體 如 
T26n1520_001:0014b12	是等一切法，如來現見非不現見。	是 等 一 切 法 如 來 現 見 非 不 現 見 
T26n1520_001:0014b13	論曰：自此已下，示現所說法因果相應知。	論 曰 自 此 已 下 示 現 所 說 法 因 果 相 應 知 
T26n1520_001:0014b14	如經「爾時世尊入甚深三昧正念不動，以如	如 經 爾 時 世 尊 入 甚 深 三 昧 正 念 不 動 以 如 
T26n1520_001:0014b15	實智觀從三昧安詳而起，起已告舍利弗」者，	實 智 觀 從 三 昧 安 詳 而 起 起 已 告 舍 利 弗 者 
T26n1520_001:0014b16	示現如來得自在力故，如來入定無能驚寤	示 現 如 來 得 自 在 力 故 如 來 入 定 無 能 驚 寤 
T26n1520_001:0014b17	故。何故告舍利弗、不告餘聲聞等？隨深智	故 何 故 告 舍 利 弗 不 告 餘 聲 聞 等 隨 深 智 
T26n1520_001:0014b18	慧與如來相應故。何故不告諸菩薩？有五	慧 與 如 來 相 應 故 何 故 不 告 諸 菩 薩 有 五 
T26n1520_001:0014b19	種義：一者為諸聲聞所作事故；二者為令	種 義 一 者 為 諸 聲 聞 所 作 事 故 二 者 為 令 
T26n1520_001:0014b20	聲聞迴趣大菩提故；三者護諸聲聞恐怯弱	聲 聞 迴 趣 大 菩 提 故 三 者 護 諸 聲 聞 恐 怯 弱 
T26n1520_001:0014b21	故；四者為令餘人善思念故；五者為諸聲聞	故 四 者 為 令 餘 人 善 思 念 故 五 者 為 諸 聲 聞 
T26n1520_001:0014b22	不起所作已辦心故。諸佛智慧甚深無量者，	不 起 所 作 已 辦 心 故 諸 佛 智 慧 甚 深 無 量 者 
T26n1520_001:0014b23	為諸大眾生尊重心，畢竟欲聞如來說故。甚	為 諸 大 眾 生 尊 重 心 畢 竟 欲 聞 如 來 說 故 甚 
T26n1520_001:0014b24	深者，顯示二種甚深義應知。何等為二？一	深 者 顯 示 二 種 甚 深 義 應 知 何 等 為 二 一 
T26n1520_001:0014b25	者證甚深，謂諸佛智慧甚深無量故；二者阿	者 證 甚 深 謂 諸 佛 智 慧 甚 深 無 量 故 二 者 阿 
T26n1520_001:0014b26	含甚深，謂智慧門故。甚深者是總，餘者	含 甚 深 謂 智 慧 門 故 甚 深 者 是 總 餘 者 
T26n1520_001:0014b27	是別。證甚深者有五種：一者義甚深，依何	是 別 證 甚 深 者 有 五 種 一 者 義 甚 深 依 何 
T26n1520_001:0014b28	等義甚深故；二者實體甚深；三者內證甚深；	等 義 甚 深 故 二 者 實 體 甚 深 三 者 內 證 甚 深 
T26n1520_001:0014b29	四者依止甚深；五者無上甚深。甚深者，謂	四 者 依 止 甚 深 五 者 無 上 甚 深 甚 深 者 謂 
T26n1520_001:0014c01	大菩提故。大菩提者，如來所證阿耨多羅三	大 菩 提 故 大 菩 提 者 如 來 所 證 阿 耨 多 羅 三 
T26n1520_001:0014c02	藐三菩提故。又甚深者，一切聲聞辟支佛	藐 三 菩 提 故 又 甚 深 者 一 切 聲 聞 辟 支 佛 
T26n1520_001:0014c03	所不能知故。智慧者，謂一切種一切智智	所 不 能 知 故 智 慧 者 謂 一 切 種 一切智智 
T26n1520_001:0014c04	義故。如經「諸佛智慧甚深無量，其智慧門難	義 故 如 經 諸 佛 智 慧 甚 深 無 量 其 智 慧 門 難 
T26n1520_001:0014c05	見難覺難知難解難入，一切聲聞辟支佛所	見 難 覺 難 知 難解難入 一 切 聲 聞 辟 支 佛 所 
T26n1520_001:0014c06	不能知」故。智慧門者，謂說	不 能 知 故 智 慧 門 者 謂 說 
T26n1520_001:0014c07	阿含。義甚深者，示現有八種：一者受持讀	阿 含 義 甚 深 者 示 現 有 八 種 一 者 受 持 讀 
T26n1520_001:0014c08	誦甚深，如經「舍利弗！如來、應、正遍知已曾親	誦 甚 深 如 經 舍 利 弗 如 來 應 正 遍 知 已 曾 親 
T26n1520_001:0014c09	近供養無量百千萬億那由他佛」故。二者修	近 供 養 無量百千萬億 那 由 他 佛 故 二 者 修 
T26n1520_001:0014c10	行甚深，如經「於諸佛所盡行諸佛所修阿	行 甚 深 如 經 於 諸 佛 所 盡 行 諸 佛 所 修 阿 
T26n1520_001:0014c11	耨多羅三藐三菩提法」故。三者果行甚深，如	耨 多 羅 三藐三菩提 法 故 三 者 果 行 甚 深 如 
T26n1520_001:0014c12	經「舍利弗！如來已於無量百千億劫勇猛精	經 舍 利 弗 如 來 已 於 無 量 百 千 億 劫 勇 猛 精 
T26n1520_001:0014c13	進所作成就」故。四者增長功德心甚深，如經	進 所 作 成 就 故 四 者 增 長 功 德 心 甚 深 如 經 
T26n1520_001:0014c14	「名稱普聞」故。五者快妙事甚深，如經「成就	 名稱普聞 故 五 者 快 妙 事 甚 深 如 經 成 就 
T26n1520_001:0014c15	希有法」故。六者無上甚深，如經「舍利弗！難解	希 有 法 故 六 者 無 上 甚 深 如 經 舍 利 弗 難 解 
T26n1520_001:0014c16	之法如來能知」故。七者入甚深，入甚深者名	之 法 如 來 能 知 故 七 者 入 甚 深 入 甚 深 者 名 
T26n1520_001:0014c17	字章句意難得，自在住持不同外道，說因	字 章 句 意 難 得 自 在 住 持 不 同 外 道 說 因 
T26n1520_001:0014c18	緣法名為甚深。如經「舍利弗！難解法者，諸佛	緣 法 名 為 甚 深 如 經 舍 利 弗 難 解 法 者 諸 佛 
T26n1520_001:0014c19	如來隨宜所說，意趣難解」故。八者不共聲聞	如 來 隨 宜 所 說 意 趣 難 解 故 八 者 不 共 聲 聞 
T26n1520_001:0014c20	辟支佛所作，住持甚深，如經「一切聲聞辟支	辟 支 佛 所 作 住 持 甚 深 如 經 一 切 聲 聞 辟 支 
T26n1520_001:0014c21	佛所不能知」故。◎	佛 所 不 能 知 故 
T26n1520_001:0014c22	◎如是說妙法功德已，次說如來法師	 如 是 說 妙 法 功 德 已 次 說 如 來 法 師 
T26n1520_001:0015a01	功德成就應知。如經「何以故？諸佛如來自在	功德成就 應 知 如 經 何 以 故 諸佛如來 自 在 
T26n1520_001:0015a02	說因成就」故。如來成就四種功德故，能度眾	說 因 成 就 故 如 來 成 就 四 種 功 德 故 能 度 眾 
T26n1520_001:0015a03	生。何等為四？一者住成就，如經「如來成就	生 何 等 為 四 一 者 住 成 就 如 經 如 來 成 就 
T26n1520_001:0015a04	種種方便」故。種種方便者，從兜率天退，乃	種 種 方 便 故 種 種 方 便 者 從 兜 率 天 退 乃 
T26n1520_001:0015a05	至示現入涅槃故。二者教化成就，如經「種種	至 示 現 入 涅 槃 故 二 者 教 化 成 就 如 經 種 種 
T26n1520_001:0015a06	知見」故。種種知見者，示現染淨諸因故。三者	知 見 故 種 種 知 見 者 示 現 染 淨 諸 因 故 三 者 
T26n1520_001:0015a07	功德畢竟成就，如經「種種念觀」故。種種念觀	功 德 畢 竟 成 就 如 經 種 種 念 觀 故 種 種 念 觀 
T26n1520_001:0015a08	者，以說彼法成就因緣如法相應故。四者說	者 以 說 彼 法 成 就 因 緣 如 法 相 應 故 四 者 說 
T26n1520_001:0015a09	成就，如經「種種言辭」故。種種言辭者，以四無	成 就 如 經 種 種 言 辭 故 種 種 言 辭 者 以 四 無 
T26n1520_001:0015a10	礙，依何等何等名字章句，隨何等何等眾	礙 依 何 等 何 等 名 字 章 句 隨 何 等 何 等 眾 
T26n1520_001:0015a11	生能受為說故。復有義：種種方便者，示現	生 能 受 為 說 故 復 有 義 種 種 方 便 者 示 現 
T26n1520_001:0015a12	外道邪法如是如是種種過失故；示現諸	外 道 邪 法 如是如是 種 種 過 失 故 示 現 諸 
T26n1520_001:0015a13	佛正法，如是如是種種功德故。如經「吾從	佛 正 法 如是如是 種 種 功 德 故 如 經 吾 從 
T26n1520_001:0015a14	成佛已來，廣演言教，無數方便引導眾生於諸	成佛已來 廣 演 言 教 無數方便 引 導 眾 生 於 諸 
T26n1520_001:0015a15	著處令得解脫」故。復無數方便者，方便令入	著 處 令得解脫 故 復 無數方便 者 方 便 令 入 
T26n1520_001:0015a16	諸善法故。復方便者，斷諸疑故。復方便者，	諸 善 法 故 復 方 便 者 斷 諸 疑 故 復 方 便 者 
T26n1520_001:0015a17	令入增上勝智故。復方便者，依四攝法攝	令 入 增 上 勝 智 故 復 方 便 者 依 四 攝 法 攝 
T26n1520_001:0015a18	取眾生令得解脫故。諸著者，彼處處著，或	取 眾 生 令得解脫 故 諸 著 者 彼 處 處 著 或 
T26n1520_001:0015a19	著界、或著諸地、或著分、或著乘故。著界者，	著 界 或 著 諸 地 或 著 分 或 著 乘 故 著 界 者 
T26n1520_001:0015a20	著欲、色、無色界故。著地者，著戒取三昧初	著 欲 色 無 色 界 故 著 地 者 著 戒 取 三 昧 初 
T26n1520_001:0015a21	禪定地，乃至非非想及滅盡定地故。著	禪 定 地 乃 至 非 非 想 及 滅 盡 定 地 故 著 
T26n1520_001:0015a22	分者，著在家、出家分故。著在家分者，著	分 者 著 在 家 出 家 分 故 著 在 家 分 者 著 
T26n1520_001:0015a23	已同類作種種業邪見等故。著出家分者，著	已 同 類 作 種 種 業 邪 見 等 故 著 出 家 分 者 著 
T26n1520_001:0015a24	名聞利養種種諸覺煩惱等故。著乘者，著	名 聞 利 養 種 種 諸 覺 煩 惱 等 故 著 乘 者 著 
T26n1520_001:0015a25	聲聞乘、菩薩乘故。著聲聞乘者，樂持小乘戒，	聲 聞 乘 菩 薩 乘 故 著 聲 聞 乘 者 樂 持 小 乘 戒 
T26n1520_001:0015a26	求須陀洹、斯陀含、阿那含、阿羅漢等故。著大	求 須 陀 洹 斯 陀 含 阿 那 含 阿 羅 漢 等 故 著 大 
T26n1520_001:0015a27	乘者，著利養供養恭敬等，著分別觀種種	乘 者 著 利 養 供養恭敬 等 著 分 別 觀 種 種 
T26n1520_001:0015a28	法相乃至佛地故。復種種知見者，自身成就	法 相 乃 至 佛 地 故 復 種 種 知 見 者 自 身 成 就 
T26n1520_001:0015a29	不可思議境界，與聲聞菩薩故。如經「舍利	不可思議 境 界 與 聲 聞 菩 薩 故 如 經 舍 利 
T26n1520_001:0015b01	弗！如來知見方便到於彼岸」故。到彼岸者，勝	弗 如 來 知 見 方 便 到 於 彼 岸 故 到 彼 岸 者 勝 
T26n1520_001:0015b02	餘一切諸菩薩故。復種種念觀者，如經「舍利	餘 一切諸菩薩 故 復 種 種 念 觀 者 如 經 舍 利 
T26n1520_001:0015b03	弗！如來知見廣大深遠無障無礙，力、無畏、不	弗 如 來 知 見 廣 大 深 遠 無障無礙 力 無 畏 不 
T26n1520_001:0015b04	共法、根、力、菩提分、禪定、解脫三昧三摩跋提皆	共 法 根 力 菩 提 分 禪 定 解 脫 三 昧 三 摩 跋 提 皆 
T26n1520_001:0015b05	已具足」故。又第一成就可化眾生，依止善知	已 具 足 故 又 第 一 成 就 可 化 眾 生 依 止 善 知 
T26n1520_001:0015b06	識成就故。第二成就根熟眾生，令得解脫	識 成 就 故 第 二 成 就 根 熟 眾 生 令得解脫 
T26n1520_001:0015b07	故。第三成就力家，得自在淨降伏故。第四	故 第 三 成 就 力 家 得 自 在 淨 降 伏 故 第 四 
T26n1520_001:0015b08	說成就者有七種：一者種種成就，如經「舍	說 成 就 者 有 七 種 一 者 種 種 成 就 如 經 舍 
T26n1520_001:0015b09	利弗！諸佛如來深入無際，成就一切未曾有法」	利 弗 諸佛如來 深 入 無 際 成 就 一 切 未曾有法 
T26n1520_001:0015b10	故。二者言成就，得五種美妙音聲說法，	故 二 者 言 成 就 得 五 種 美 妙 音 聲 說 法 
T26n1520_001:0015b11	如經「如來能種種分別巧說諸法，言辭柔軟悅	如 經 如 來 能 種 種 分 別 巧 說 諸 法 言 辭 柔 軟 悅 
T26n1520_001:0015b12	可眾心」故。三者相成就，如經「止舍利弗！不須	可 眾 心 故 三 者 相 成 就 如 經 止 舍 利 弗 不 須 
T26n1520_001:0015b13	復說」故，有法器眾生心已滿足故。四者堪成	復 說 故 有 法 器 眾 生 心 已 滿 足 故 四 者 堪 成 
T26n1520_001:0015b14	就，一切可化眾生知如來成就第一希有	就 一 切 可 化 眾 生 知 如 來 成 就 第一希有 
T26n1520_001:0015b15	功德能說法故，如經「舍利弗！佛所成就第	功 德 能 說 法 故 如 經 舍 利 弗 佛 所 成 就 第 
T26n1520_001:0015b16	一希有難解之法」故。五者無量種成就，說不	一 希 有 難 解 之 法 故 五 者 無 量 種 成 就 說 不 
T26n1520_001:0015b17	可盡，如經「舍利弗！唯佛與佛說法，諸佛如來	可 盡 如 經 舍 利 弗 唯 佛 與 佛 說 法 諸佛如來 
T26n1520_001:0015b18	能知彼法究竟實相」故。實相者，謂如來藏法	能 知 彼 法 究 竟 實 相 故 實 相 者 謂 如 來 藏 法 
T26n1520_001:0015b19	身之體不變故。六者覺體成就，如來所說一	身 之 體 不 變 故 六 者 覺 體 成 就 如 來 所 說 一 
T26n1520_001:0015b20	切諸法，如來自證得故，如經「舍利弗！唯佛如	切 諸 法 如 來 自 證 得 故 如 經 舍 利 弗 唯 佛 如 
T26n1520_001:0015b21	來知一切法」故。七者隨順眾生意為說修行	來 知一切法 故 七 者 隨 順 眾 生 意 為 說 修 行 
