X54n0879_001:0912a06	 正量論序	 正 量 論 序 
X54n0879_001:0914b15	之向有。今非滅故無而不無。則不可謂之今無。又一	之 向 有 今 非 滅 故 無 而 不 無 則 不 可 謂 之 今 無 又 一 
X54n0879_001:0914b16	切法既同如矣。則有物即無物。無物即有物。一物即	切 法 既 同 如 矣 則 有 物 即 無 物 無 物 即 有 物 一 物 即 
X54n0879_001:0914b17	多物。多物即一物。今物即昔物。昔物即今物。蓋非滅	多 物 多 物 即 一 物 今 物 即 昔 物 昔 物 即 今 物 蓋 非 滅 
X54n0879_001:0914b18	有而為無。生無而為有。有無一質也。亦非離一而為	有 而 為 無 生 無 而 為 有 有 無 一 質 也 亦 非 離 一 而 為 
X54n0879_001:0914b19	多。合多而為一。一多一真也。亦非排今而入昔。遷昔	多 合 多 而 為 一 一 多 一 真 也 亦 非 排 今 而 入 昔 遷 昔 
X54n0879_001:0914b20	而來今。今昔一念也。是之謂物不遷。豈容以今昔有	而 來 今 今 昔 一 念 也 是 之 謂 物 不 遷 豈 容 以 今 昔 有 
X54n0879_001:0914b21	無分疎者哉。是則即一塵之物。前際莫得而生。後際	無 分 疎 者 哉 是 則 即 一 塵 之 物 前 際 莫 得 而 生 後 際 
X54n0879_001:0914b22	莫得而滅。厥外不見其表。厥微不見其內。如金剛王	莫 得 而 滅 厥 外 不 見 其 表 厥 微 不 見 其 內 如 金 剛 王 
X54n0879_001:0914b23	無動無壞。安得以去來生滅而遷之哉。故大品云。色	無 動 無 壞 安 得 以 去 來 生 滅 而 遷 之 哉 故 大 品 云 色 
X54n0879_001:0914b24	前際不可得。中際．後際俱不可得等。若見此理。則不	前 際 不 可 得 中 際 後 際 俱 不 可 得 等 若 見 此 理 則 不 
X54n0879_001:0914c01	得謂昔物自在昔。今物自在今也。觀國師以為濫同	得 謂 昔 物 自 在 昔 今 物 自 在 今 也 觀 國 師 以 為 濫 同 
X54n0879_001:0914c02	小乘者。然小乘以有為之法剎那滅。故不從此方遷	小 乘 者 然 小 乘 以 有 為 之 法 剎 那 滅 故 不 從 此 方 遷 
X54n0879_001:0914c03	至餘方。不違大乘空義。肇公以昔物不滅。性住於昔。	至 餘 方 不 違 大 乘 空 義 肇 公 以 昔 物 不 滅 性 住 於 昔 
X54n0879_001:0914c04	而說不遷。則於大乘性空之義背矣(謂物若生滅則無自性。無性則	而 說 不 遷 則 於 大 乘 性 空 之 義 背 矣 謂 物 若 生 滅 則 無 自 性 無 性 則 
X54n0879_001:0914c05	空。故涅槃羅剎偈云。諸行無常。是生滅法。雪山大士歎曰。此乃大乘空義也。肇公物各性住於一世而不化。便	空 故 涅 槃 羅 剎 偈 云 諸行無常 是 生 滅 法 雪 山 大 士 歎 曰 此 乃 大 乘 空 義 也 肇 公 物 各 性 住 於 一 世 而 不 化 便 
X54n0879_001:0914c06	有定物。故違空也)。故其言曰。是以如來功流萬世而常存。道	有 定 物 故 違 空 也 故 其 言 曰 是 以 如 來 功 流 萬 世 而 常 存 道 
X54n0879_001:0914c07	通百劫而彌固。成山假就於始簣。修途託至於初步。	通 百 劫 而 彌 固 成 山 假 就 於 始 簣 修 途 託 至 於 初 步 
X54n0879_001:0914c08	果以功業不可朽故也。故物雖在昔而不化。不化故	果 以 功 業 不 可 朽 故 也 故 物 雖 在 昔 而 不 化 不 化 故 
X54n0879_001:0914c09	不遷。又曰。果不俱因。因因而果。因因而果。因不昔滅。	不 遷 又 曰 果 不 俱 因 因 因 而 果 因 因 而 果 因 不 昔 滅 
X54n0879_001:0914c10	果不俱因。因不來今。不滅不來。不遷之致明矣。愚謂	果 不 俱 因 因 不 來 今 不 滅 不 來 不 遷 之 致 明 矣 愚 謂 
X54n0879_001:0914c11	若昔因不滅不化者。則眾生永無成佛之理。修因永	若 昔 因 不 滅 不 化 者 則 眾 生 永 無 成 佛 之 理 修 因 永 
X54n0879_001:0914c12	無得果之期。大小乘經俱無此說也。一切聖教皆言	無 得 果 之 期 大 小 乘 經 俱 無 此 說 也 一 切 聖 教 皆 言 
X54n0879_001:0914c13	因滅果生。種子爛壞果方熟。故涅槃(二十九)云。如日垂	因 滅 果 生 種 子 爛 壞 果 方 熟 故 涅 槃 二 十 九 云 如 日 垂 
X54n0879_001:0914c14	沒。山陵堆阜。影現東移。理無西逝。眾生業果。亦復如	沒 山 陵 堆 阜 影 現 東 移 理 無 西 逝 眾 生 業 果 亦 復 如 
X54n0879_001:0914c15	是。此陰滅時。彼陰續生。如燈生暗滅。燈滅暗生。又如	是 此 陰 滅 時 彼 陰 續 生 如 燈 生 暗 滅 燈 滅 暗 生 又 如 
X54n0879_001:0914c16	蠟印印泥。印與泥合。印滅文成。而是蠟印。不變在泥。	蠟 印 印 泥 印 與 泥 合 印 滅 文 成 而 是 蠟 印 不 變 在 泥 
X54n0879_001:0914c17	文非泥出。不餘處來。以印因緣。而生是文。現在陰滅。	文 非 泥 出 不 餘 處 來 以 印 因 緣 而 生 是 文 現 在 陰 滅 
X54n0879_001:0914c18	中陰陰生。中陰陰滅。後陰陰生。亦若是也。故四緣中	中 陰 陰 生 中 陰 陰 滅 後 陰 陰 生 亦 若 是 也 故 四 緣 中 
X54n0879_001:0914c19	有等無間緣。若前念不滅。後念決定不生。若謂如來	有 等無間緣 若 前 念 不 滅 後 念 決 定 不 生 若 謂 如 來 
X54n0879_001:0914c20	昔因不化。則常菩薩安能至佛果耶。以此乃知。肇師	昔 因 不 化 則 常 菩 薩 安 能 至 佛 果 耶 以 此 乃 知 肇 師 
X54n0879_001:0914c21	昔物不化之說有同常見矣。問曰。彼云因不滅故墮	昔 物 不 化 之 說 有 同 常 見 矣 問 曰 彼 云 因 不 滅 故 墮 
X54n0879_001:0914c22	常。今云因滅。豈不墮斷。答曰。今言因滅則果生。唯識	常 今 云 因 滅 豈 不 墮 斷 答 曰 今 言 因 滅 則 果 生 唯 識 
X54n0879_001:0914c23	云。因滅故非常。果生故非斷。肇公許果生。不許因滅。	云 因 滅 故 非 常 果 生 故 非 斷 肇 公 許 果 生 不 許 因 滅 
X54n0879_001:0914c24	故墮常也。因因而果。許果生也。因不昔滅。不許因滅	故 墮 常 也 因 因 而 果 許 果 生 也 因 不 昔 滅 不 許 因 滅 
X54n0879_001:0915a01	也。問曰。彼云成山假就於始簣。修途託至於初步。豈	也 問 曰 彼 云 成 山 假 就 於 始 簣 修 途 託 至 於 初 步 豈 
X54n0879_001:0915a02	非昔因不滅。集因成果耶。答曰。涅槃(十三)出外道常計	非 昔 因 不 滅 集 因 成 果 耶 答 曰 涅 槃 十 三 出 外 道 常 計 
X54n0879_001:0915a03	云。若筭數之法。從一至二以成百千。若無常者。初一	云 若 筭 數 之 法 從 一 至 二 以 成 百 千 若 無 常 者 初 一 
X54n0879_001:0915a04	應滅。一若滅者。誰復至二。乃至百千。以是義故。諸法	應 滅 一 若 滅 者 誰 復 至 二 乃 至 百 千 以是義故 諸 法 
X54n0879_001:0915a05	是常。正與此同。如來總舉異色異心無非無常。已破	是 常 正 與 此 同 如 來 總 舉 異 色 異 心 無 非 無 常 已 破 
X54n0879_001:0915a06	之矣。愚謂初步非後。後步非初。異作異時。是無常法。	之 矣 愚 謂 初 步 非 後 後 步 非 初 異 作 異 時 是 無 常 法 
X54n0879_001:0915a07	非不遷也。又初步不滅。常應在初。終不至二。況千里	非 不 遷 也 又 初 步 不 滅 常 應 在 初 終 不 至 二 況 千 里 
X54n0879_001:0915a08	耶。積簣例知。皆無常也。況佛金口所印。又何疑哉。問	耶 積 簣 例 知 皆 無 常 也 況 佛 金 口 所 印 又 何 疑 哉 問 
X54n0879_001:0915a09	曰。肇公引經云。三灾彌綸。業行湛然。非業因常耶。答	曰 肇 公 引 經 云 三 灾 彌 綸 業 行 湛 然 非 業 因 常 耶 答 
X54n0879_001:0915a10	曰。常有二義。一凝然常。真如不遷之義也。楞嚴云。性	曰 常 有 二 義 一 凝 然 常 真 如 不 遷 之 義 也 楞 嚴 云 性 
X54n0879_001:0915a11	真常中求於迷悟。生死去來了無所得。二相續常。業	真 常 中 求 於 迷 悟 生 死 去 來 了 無 所 得 二 相 續 常 業 
X54n0879_001:0915a12	果不失之謂也。華嚴云。因自相剎那壞而次第集果	果 不 失 之 謂 也 華 嚴 云 因 自 相 剎 那 壞 而 次 第 集 果 
X54n0879_001:0915a13	不失相。偈云。因壞果集皆能了。以八識藏中等無間	不 失 相 偈 云 因 壞 果 集 皆 能 了 以 八 識 藏 中 等 無 間 
X54n0879_001:0915a14	緣熏習力故。前念滅時熏起後念。雖劫火洞然而業	緣 熏 習 力 故 前 念 滅 時 熏 起 後 念 雖 劫 火 洞 然 而 業 
X54n0879_001:0915a15	果不失也。故謂之相續常。則雖曰湛然乃屬有為遷	果 不 失 也 故 謂 之 相 續 常 則 雖 曰 湛 然 乃 屬 有 為 遷 
X54n0879_001:0915a16	變之法。肇師以證真如不遷。於義左矣。問。若因滅者	變 之 法 肇 師 以 證 真 如 不 遷 於 義 左 矣 問 若 因 滅 者 
X54n0879_001:0915a17	云何善因得樂果。惡因得苦果耶。答曰。涅槃云。如燈	云 何 善 因 得 樂 果 惡 因 得 苦 果 耶 答 曰 涅 槃 云 如 燈 
X54n0879_001:0915a18	雖念念滅而光明破暗。食雖念念滅而能合饑得飽。	雖 念 念 滅 而 光 明 破 暗 食 雖 念 念 滅 而 能 合 饑 得 飽 
X54n0879_001:0915a19	藥雖念念滅而能愈病。日月光明雖念念滅亦能增	藥 雖 念 念 滅 而 能 愈 病 日 月 光 明 雖 念 念 滅 亦 能 增 
X54n0879_001:0915a20	長草木。是故因滅果得生也。請觀蠟印之喻。於理自	長 草 木 是 故 因 滅 果 得 生 也 請 觀 蠟 印 之 喻 於 理 自 
X54n0879_001:0915a21	明。謂印之高者厥文必下。印之下者厥文必高。雖印	明 謂 印 之 高 者 厥 文 必 下 印 之 下 者 厥 文 必 高 雖 印 
X54n0879_001:0915a22	不作文。而文常肖印。毫髮不爽。要待印滅而文始成	不 作 文 而 文 常 肖 印 毫 髮 不 爽 要 待 印 滅 而 文 始 成 
X54n0879_001:0915a23	也。善惡因果亦若是矣。謂因能熏果。因滅果生。雖因	也 善 惡 因 果 亦 若 是 矣 謂 因 能 熏 果 因 滅 果 生 雖 因 
X54n0879_001:0915a24	不至果。以熏習力故果常肖因。善惡苦樂毫髮不忒	不 至 果 以 熏 習 力 故 果 常 肖 因 善 惡 苦 樂 毫 髮 不 忒 
X54n0879_001:0915b01	也。涅槃又云。如人服甘露。甘露雖化。以其力故。能合	也 涅 槃 又 云 如 人 服 甘 露 甘 露 雖 化 以 其 力 故 能 合 
X54n0879_001:0915b02	不死。亦其義也。或問。昔物既化。如佛本生之事如何	不 死 亦 其 義 也 或 問 昔 物 既 化 如 佛 本 生 之 事 如 何 
X54n0879_001:0915b03	可說。答曰。以名字故可得說也。如人夢中見種種物。	可 說 答 曰 以 名 字 故 可 得 說 也 如 人 夢 中 見 種 種 物 
X54n0879_001:0915b04	覺已皆空。夢物雖滅。歷然可說也。若謂實有夢物住	覺 已 皆 空 夢 物 雖 滅 歷 然 可 說 也 若 謂 實 有 夢 物 住 
X54n0879_001:0915b05	於過去而不化者。則為愚執。中論云。若諸法滅時。是	於 過 去 而 不 化 者 則 為 愚 執 中 論 云 若 諸 法 滅 時 是 
X54n0879_001:0915b06	則不應住。法若不滅者。則無有是處。安得有物住於	則 不 應 住 法 若 不 滅 者 則 無 有 是 處 安 得 有 物 住 於 
X54n0879_001:0915b07	過去而不化哉。然縱使昔因不化致得今果。亦是無	過 去 而 不 化 哉 然 縱 使 昔 因 不 化 致 得 今 果 亦 是 無 
X54n0879_001:0915b08	常。非不遷也。故涅槃云。常住之法。無因無果。虗空常	常 非 不 遷 也 故 涅 槃 云 常 住 之 法 無 因 無 果 虗 空 常 
X54n0879_001:0915b09	故。無有因果。蓋凡有因果即是可作。空非可作。故無	故 無 有 因 果 蓋 凡 有 因 果 即 是 可 作 空 非 可 作 故 無 
X54n0879_001:0915b10	因果。肇師以可作證不遷。故違宗矣。問曰。肇師約俗	因 果 肇 師 以 可 作 證 不 遷 故 違 宗 矣 問 曰 肇 師 約 俗 
X54n0879_001:0915b11	物明不遷故即因果。涅槃約實性顯常住故簡因果。	物 明 不 遷 故 即 因 果 涅 槃 約 實 性 顯 常 住 故 簡 因 果 
X54n0879_001:0915b12	宗趨不同。不應為難。答曰。除諸法實相而以異因異	宗 趨 不 同 不 應 為 難 答 曰 除 諸法實相 而 以 異 因 異 
X54n0879_001:0915b13	果為常者。法王法中無是義也。故入楞伽云。大慧。妄	果 為 常 者 法 王 法 中 無 是 義 也 故 入 楞 伽 云 大 慧 妄 
X54n0879_001:0915b14	法是常。相不異故。非諸妄法有差別相。以分別故而	法 是 常 相 不 異 故 非 諸 妄 法 有 差 別 相 以 分 別 故 而 
X54n0879_001:0915b15	有別異。是故妄法其體是常。是以不異因成常住宗	有 別 異 是 故 妄 法 其 體 是 常 是 以 不 異 因 成 常 住 宗 
X54n0879_001:0915b16	也。涅槃亦云。一切異法皆無常故。所言異者謂因時	也 涅 槃 亦 云 一 切 異 法 皆 無 常 故 所 言 異 者 謂 因 時 
X54n0879_001:0915b17	非果。果時非因。因時非果果則先無。果時非因因則	非 果 果 時 非 因 因 時 非 果 果 則 先 無 果 時 非 因 因 則 
X54n0879_001:0915b18	後斷。涅槃云。本無今有。已有還無。是無常故。見不異	後 斷 涅 槃 云 本無今有 已 有 還 無 是 無 常 故 見 不 異 
X54n0879_001:0915b19	者。達性空也。因果性空體無二故。不二之體何可遷	者 達 性 空 也 因 果 性 空 體 無 二 故 不 二 之 體 何 可 遷 
X54n0879_001:0915b20	乎。今肇師以異因異果證不遷。是以無常之因欲成	乎 今 肇 師 以 異 因 異 果 證 不 遷 是 以 無 常 之 因 欲 成 
X54n0879_001:0915b21	常住之宗。豈可得耶(問曰。般若諸法無來去。涅槃常住非因果。如何會通。答曰。般若	常 住 之 宗 豈 可 得 耶 問 曰 般 若 諸 法 無 來 去 涅 槃 常 住 非 因 果 如 何 會 通 答 曰 般 若 
X54n0879_001:0915b22	蕩相名空。故說法無去來。謂求去來相不可得。故非謂顯常也。涅槃直示實性。故說常住非因果。故經云。無常	蕩 相 名 空 故 說 法 無 去 來 謂 求 去 來 相 不 可 得 故 非 謂 顯 常 也 涅 槃 直 示 實 性 故 說 常 住 非 因 果 故 經 云 無 常 
X54n0879_001:0915b23	者生死。常為大涅槃。空者生死。不空為大涅槃。此言有為因果是生死法。故皆無常。無常之法無有自性。徹底	者 生 死 常 為 大 涅 槃 空 者 生 死 不 空 為 大 涅 槃 此 言 有 為 因 果 是 生 死 法 故 皆 無 常 無 常 之 法 無 有 自 性 徹 底 
X54n0879_001:0915b24	唯空。是則無常即空。空即無常。無常與空一有為法。故皆屬生死。非涅槃佛性也。是則涅槃以因果為無常。即	唯 空 是 則 無 常 即 空 空 即 無 常 無 常 與 空 一 有 為 法 故 皆 屬 生 死 非 涅 槃 佛 性 也 是 則 涅 槃 以 因 果 為 無 常 即 
X54n0879_001:0915c01	般若諸法空義。般若法無去來即涅槃空者。謂生死也。其涅槃常住不空之體是如來藏佛性真我。堅凝不變。	般 若 諸 法 空 義 般 若 法 無 去 來 即 涅 槃 空 者 謂 生 死 也 其 涅 槃 常 住 不 空 之 體 是 如 來 藏 佛 性 真 我 堅 凝 不 變 
X54n0879_001:0915c02	則非無常。真實有體則非空也。般若經中言未及此。昧者以般若法無去來類涅槃實性常住。則二宗皆失矣)。	則 非 無 常 真 實 有 體 則 非 空 也 般 若 經 中 言 未 及 此 昧 者 以 般 若 法 無 去 來 類 涅 槃 實 性 常 住 則 二 宗 皆 失 矣 
X54n0879_001:0915c03	其曰。人謂少狀同體。百齡一質。徒知年往。不覺形隨。	其 曰 人 謂 少 狀 同 體 百 齡 一 質 徒 知 年 往 不 覺 形 隨 
X54n0879_001:0915c04	是以梵志出家白首而歸。鄰人見之曰。昔人尚存乎。	是 以 梵 志 出 家 白 首 而 歸 鄰 人 見 之 曰 昔 人 尚 存 乎 
X54n0879_001:0915c05	志曰。我猶昔人。非昔人也。鄰人愕然。非其言。此中梵	志 曰 我 猶 昔 人 非 昔 人 也 鄰 人 愕 然 非 其 言 此 中 梵 
X54n0879_001:0915c06	志意者。謂昔人少年也。今則白首。安得謂之昔人哉。	志 意 者 謂 昔 人 少 年 也 今 則 白 首 安 得 謂 之 昔 人 哉 
X54n0879_001:0915c07	故涅槃云。一切諸法。前滅後生。相似相續。凡夫見已。	故 涅 槃 云 一切諸法 前 滅 後 生 相 似 相 續 凡 夫 見 已 
X54n0879_001:0915c08	計以為常。實非常也。然少年因也。白首果也。雖依少	計 以 為 常 實 非 常 也 然 少 年 因 也 白 首 果 也 雖 依 少 
X54n0879_001:0915c09	年而得老狀。要待少顏既化老狀方現。若少壯不化	年 而 得 老 狀 要 待 少 顏 既 化 老 狀 方 現 若 少 壯 不 化 
X54n0879_001:0915c10	安得有白首人哉。以少顏既化老相始生而因果相	安 得 有 白 首 人 哉 以 少 顏 既 化 老 相 始 生 而 因 果 相 
X54n0879_001:0915c11	似。故曰吾猶昔人非昔人也。此正無常相續義。肇師	似 故 曰 吾 猶 昔 人 非 昔 人 也 此 正 無 常 相 續 義 肇 師 
X54n0879_001:0915c12	以證不遷。計亦左矣。然此中梵志．鄰人．肇師三人所	以 證 不 遷 計 亦 左 矣 然 此 中 梵 志 鄰 人 肇 師 三 人 所 
X54n0879_001:0915c13	見不同。學者應知。其梵志謂。昔人已化。不來於今。以	見 不 同 學 者 應 知 其 梵 志 謂 昔 人 已 化 不 來 於 今 以 
X54n0879_001:0915c14	有為法前滅後生。相似相續。故曰我猶昔人。非昔人	有 為 法 前 滅 後 生 相 似 相 續 故 曰 我 猶 昔 人 非 昔 人 
X54n0879_001:0915c15	也。此固合聖教正因緣義也。鄰人謂。昔人不滅不化。	也 此 固 合 聖 教 正 因 緣 義 也 鄰 人 謂 昔 人 不 滅 不 化 
X54n0879_001:0915c16	可以遷到今日。故曰昔人猶在。肇師謂。昔人不滅不	可 以 遷 到 今 日 故 曰 昔 人 猶 在 肇 師 謂 昔 人 不 滅 不 
X54n0879_001:0915c17	化。性住於昔。但不來今耳。今日之身原自住今。不從	化 性 住 於 昔 但 不 來 今 耳 今 日 之 身 原 自 住 今 不 從 
X54n0879_001:0915c18	昔來。此二俱是常見。但鄰人以今昔一質為常。故昔	昔 來 此 二 俱 是 常 見 但 鄰 人 以 今 昔 一 質 為 常 故 昔 
X54n0879_001:0915c19	日之身可到今日。肇師以今昔異質。各住本世。不動	日 之 身 可 到 今 日 肇 師 以 今 昔 異 質 各 住 本 世 不 動 
X54n0879_001:0915c20	為常。是則肇師與鄰人俱在梵志所破之中矣。問曰。	為 常 是 則 肇 師 與 鄰 人 俱 在 梵 志 所 破 之 中 矣 問 曰 
X54n0879_001:0915c21	世間可有自昔不滅不化之物至于今日者乎。曰。有。	世 間 可 有 自 昔 不 滅 不 化 之 物 至 于 今 日 者 乎 曰 有 
X54n0879_001:0915c22	何者是耶。曰。非剎那行者是也。何物非剎那耶。曰。金．	何 者 是 耶 曰 非 剎 那 行 者 是 也 何 物 非 剎 那 耶 曰 金 
X54n0879_001:0915c23	金剛佛舍利．虗空等是也。曰虗空是無為法。無剎那	金 剛 佛 舍 利 虗 空 等 是 也 曰 虗 空 是 無 為 法 無 剎 那 
X54n0879_001:0915c24	行。信矣。金剛舍利是有為法。何非剎那。曰。現量可見	行 信 矣 金 剛 舍 利 是 有 為 法 何 非 剎 那 曰 現 量 可 見 
X54n0879_001:0916a01	故。有聖言故。現見金銀之性經千萬年不變不殞故。	故 有 聖 言 故 現 見 金 銀 之 性 經 千 萬 年 不 變 不 殞 故 
X54n0879_001:0916a02	楞伽經云。復次。大慧。如金．金剛佛舍利。得奇特性。終	楞 伽 經 云 復 次 大 慧 如 金 金 剛 佛 舍 利 得 奇 特 性 終 
X54n0879_001:0916a03	不損壞。大慧。若得無間有剎那者。聖應非聖。而聖未	不 損 壞 大 慧 若 得 無 間 有 剎 那 者 聖 應 非 聖 而 聖 未 
X54n0879_001:0916a04	曾不聖。如金．金剛雖經劫數稱量不減。云何凡愚不	曾 不 聖 如 金 金 剛 雖 經 劫 數 稱 量 不 減 云 何 凡 愚 不 
X54n0879_001:0916a05	善於我隱覆之說。於一切法作剎那想。釋曰。此明聖	善 於 我 隱 覆 之 說 於一切法 作 剎 那 想 釋 曰 此 明 聖 
X54n0879_001:0916a06	人於無間道所證無為。非剎那行。不屬生滅。舉金剛	人 於 無 間 道 所 證 無 為 非 剎 那 行 不 屬 生 滅 舉 金 剛 
X54n0879_001:0916a07	佛舍利為類也。問曰。世間頗有一物性住於昔而不	佛 舍 利 為 類 也 問 曰 世 間 頗 有 一 物 性 住 於 昔 而 不 
X54n0879_001:0916a08	滅不來者乎。曰。未之有也。何則。世間諸法不出二類。	滅 不 來 者 乎 曰 未 之 有 也 何 則 世 間 諸 法 不 出 二 類 
X54n0879_001:0916a09	謂有剎那行者。前滅後生。非前不滅後得生故。有情	謂 有 剎 那 行 者 前 滅 後 生 非 前 不 滅 後 得 生 故 有 情 
X54n0879_001:0916a10	等是也。非剎那行者。昔時之質不變不易得至後時。	等 是 也 非 剎 那 行 者 昔 時 之 質 不 變 不 易 得 至 後 時 
X54n0879_001:0916a11	金剛佛舍利等是也。何有一法住於過去而不滅乎。	金 剛 佛 舍 利 等 是 也 何 有 一 法 住 於 過 去 而 不 滅 乎 
X54n0879_001:0916a12	是則世人之見。物或有之。肇師之見。物理皆無也。思	是 則 世 人 之 見 物 或 有 之 肇 師 之 見 物 理 皆 無 也 思 
X54n0879_001:0916a13	之。問。涅槃梵行廣說一切異色異心莫非無常。金與	之 問 涅 槃 梵 行 廣 說 一 切 異 色 異 心 莫 非 無 常 金 與 
X54n0879_001:0916a14	金剛佛舍利既有異形。那非無常。矧二經相違。如何	金 剛 佛 舍 利 既 有 異 形 那 非 無 常 矧 二 經 相 違 如 何 
X54n0879_001:0916a15	會通。曰。二皆聖言。實難通會。愚意思之。楞伽在先。是	會 通 曰 二 皆 聖 言 實 難 通 會 愚 意 思 之 楞 伽 在 先 是 
X54n0879_001:0916a16	有餘意。涅槃居後。是無餘意。譬如後勑能破前勑。況	有 餘 意 涅 槃 居 後 是 無 餘 意 譬 如 後 勑 能 破 前 勑 況 
X54n0879_001:0916a17	金剛寶等劫水所成。如來舍利熏鍊而有。本無今有。	金 剛 寶 等 劫 水 所 成 如 來 舍 利 熏 鍊 而 有 本無今有 
X54n0879_001:0916a18	故是無常。金與金剛可分析故。亦無自性。如來舍利	故 是 無 常 金 與 金 剛 可 分 析 故 亦 無 自 性 如 來 舍 利 
X54n0879_001:0916a19	應此人天劫國而有。劫盡界空。理應當盡。經約其長	應 此 人 天 劫 國 而 有 劫 盡 界 空 理 應 當 盡 經 約 其 長 
X54n0879_001:0916a20	時堅住。以為非剎那類耳。非畢竟不壞也。如來應化	時 堅 住 以 為 非 剎 那 類 耳 非 畢 竟 不 壞 也 如 來 應 化 
X54n0879_001:0916a21	有起盡故。唯真無為。性是剎那。際非是剎那。堅凝常	有 起 盡 故 唯 真 無 為 性 是 剎 那 際 非 是 剎 那 堅 凝 常 
X54n0879_001:0916a22	住畢竟不壞。然肇公不遷。所以總之。不出四計。謂有	住 畢 竟 不 壞 然 肇 公 不 遷 所 以 總 之 不 出 四 計 謂 有 
X54n0879_001:0916a23	無一異。求向物於向。於向未甞無。是有計。責向物於	無 一 異 求 向 物 於 向 於 向 未 甞 無 是 有 計 責 向 物 於 
X54n0879_001:0916a24	今。於今未甞有。是無計。昔物自在昔。今物自在今。是	今 於 今 未 甞 有 是 無 計 昔 物 自 在 昔 今 物 自 在 今 是 
X54n0879_001:0916b01	異計。唯闕一計耳。四計乃般若之大病。有一於此則	異 計 唯 闕 一 計 耳 四 計 乃 般 若 之 大 病 有 一 於 此 則 
X54n0879_001:0916b02	與般若之理背矣。尚何不遷哉。愚固所謂肇師不遷。	與 般 若 之 理 背 矣 尚 何 不 遷 哉 愚 固 所 謂 肇 師 不 遷 
X54n0879_001:0916b03	有宗而無因也。	有 宗 而 無 因 也 
X54n0879_001:0916b04	或問。竊觀肇公遷與不遷未嘗偏滯。今獨破其不遷	或 問 竊 觀 肇 公 遷 與 不 遷 未 嘗 偏 滯 今 獨 破 其 不 遷 
X54n0879_001:0916b05	何也。答曰。彼雖兩言。意成不遷耳。故以不遷為名。不	何 也 答 曰 彼 雖 兩 言 意 成 不 遷 耳 故 以 不 遷 為 名 不 
X54n0879_001:0916b06	遷一論之主也。其曰。言常而不住。稱去而不遷。雖靜	遷 一 論 之 主 也 其 曰 言 常 而 不 住 稱 去 而 不 遷 雖 靜 
X54n0879_001:0916b07	而常往。雖往而常靜。兩言一會。去住一致。可與神會	而 常 往 雖 往 而 常 靜 兩 言 一 會 去 住 一 致 可 與 神 會 
X54n0879_001:0916b08	難以事求等。是皆相似語。未可以判其是非。但看他	難 以 事 求 等 是 皆 相 似 語 未 可 以 判 其 是 非 但 看 他 
X54n0879_001:0916b09	徵釋所以處。秪是物各性住於一世。不相往來之意。	徵 釋 所 以 處 秪 是 物 各 性 住 於 一 世 不 相 往 來 之 意 
X54n0879_001:0916b10	更無異說。謂世雖遷去。物各住於本世未嘗動也。自	更 無 異 說 謂 世 雖 遷 去 物 各 住 於 本 世 未 嘗 動 也 自 
X54n0879_001:0916b11	世而觀物則雖動而常靜。自物而觀世則雖靜而常	世 而 觀 物 則 雖 動 而 常 靜 自 物 而 觀 世 則 雖 靜 而 常 
X54n0879_001:0916b12	動。如舟行千里而物不離舟。物靜舟動二不相離也。	動 如 舟 行 千 里 而 物 不 離 舟 物 靜 舟 動 二 不 相 離 也 
X54n0879_001:0916b13	故其言曰。人之所謂動者。以昔物不至今。我之所謂	故 其 言 曰 人 之 所 謂 動 者 以 昔 物 不 至 今 我 之 所 謂 
X54n0879_001:0916b14	靜者。亦以昔物不至今。意謂人謂昔物不至者。以隨	靜 者 亦 以 昔 物 不 至 今 意 謂 人 謂 昔 物 不 至 者 以 隨 
X54n0879_001:0916b15	世遷去。如物隨舟移。故曰動而非靜。我謂昔物不至	世 遷 去 如 物 隨 舟 移 故 曰 動 而 非 靜 我 謂 昔 物 不 至 
X54n0879_001:0916b16	今者。以物原住昔。如物原住舟。故靜而非動。俱知昔	今 者 以 物 原 住 昔 如 物 原 住 舟 故 靜 而 非 動 俱 知 昔 
X54n0879_001:0916b17	物不至今。故曰所造未嘗異。彼見物隨昔去。我見物	物 不 至 今 故 曰 所 造 未 嘗 異 彼 見 物 隨 昔 去 我 見 物 
X54n0879_001:0916b18	原在昔。故曰所見未嘗同。實則我所謂住即彼所謂	原 在 昔 故 曰 所 見 未 嘗 同 實 則 我 所 謂 住 即 彼 所 謂 
X54n0879_001:0916b19	去。彼所謂去即我所謂住。要之則三世遷流。物各住	去 彼 所 謂 去 即 我 所 謂 住 要 之 則 三 世 遷 流 物 各 住 
X54n0879_001:0916b20	於一世而不動。此肇師動靜不二之旨也。而吾般若	於 一 世 而 不 動 此 肇 師 動 靜 不 二 之 旨 也 而 吾 般 若 
X54n0879_001:0916b21	不遷之旨果如是乎。若果如是則佛不出世也。然肇	不 遷 之 旨 果 如 是 乎 若 果 如 是 則 佛 不 出 世 也 然 肇 
X54n0879_001:0916b22	公不遷雖引般若標本。其釋所以。皆自莊周夜壑負	公 不 遷 雖 引 般 若 標 本 其 釋 所 以 皆 自 莊 周 夜 壑 負 
X54n0879_001:0916b23	趨抽繹而出。卒以涉異焉。	趨 抽 繹 而 出 卒 以 涉 異 焉 
