X62n1178_001:0228a06	東海若解	東 海 若 解 
X62n1178_001:0230b04	無果。無修無證。無佛無眾生。皆無焉。吾何求也。	無 果 無 修 無 證 無 佛 無 眾 生 皆 無 焉 吾 何 求 也 
X62n1178_001:0230b05	此合上文之譬也。同是學佛。知見不同。故皆言為	此 合 上 文 之 譬 也 同 是 學 佛 知 見 不 同 故 皆 言 為 
X62n1178_001:0230b06	佛者。二人即信毀二機。毗盧遮那。此云徧一切處。	佛 者 二 人 即 信 毀 二 機 毗 盧 遮 那 此 云 徧一切處 
X62n1178_001:0230b07	是佛法身。亦名真如性海。此之法身。生佛同體。故	是 佛 法 身 亦 名 真 如 性 海 此 之 法 身 生 佛 同 體 故 
X62n1178_001:0230b08	言同出。五濁者。一劫濁。乃至五命濁。此五皆以染	言 同 出 五 濁 者 一 劫 濁 乃 至 五 命 濁 此 五 皆 以 染 
X62n1178_001:0230b09	污為義。故喻之如糞。三有。即三界。謂欲色無色隔	污 為 義 故 喻 之 如 糞 三 有 即 三 界 謂 欲色無色 隔 
X62n1178_001:0230b10	歷不同。故名界。因果不無。故稱有。三有區局眾生。	歷 不 同 故 名 界 因 果 不 無 故 稱 有 三 有 區 局 眾 生 
X62n1178_001:0230b11	故喻如瓠。四大區局六識。義亦如是。並得名焉。無	故 喻 如 瓠 四 大 區 局 六 識 義 亦 如 是 並 得 名 焉 無 
X62n1178_001:0230b12	明窒礙法性。故喻如石。十二類不離三界。如蟯蚘	明 窒 礙 法 性 故 喻 如 石 十 二 類 不 離 三 界 如 蟯 蚘 
X62n1178_001:0230b13	不離人腹。人有問焉。人即四依大士。一人即違教	不 離 人 腹 人 有 問 焉 人 即 四 依 大 士 一 人 即 違 教 
X62n1178_001:0230b14	執空之人。我佛也。合上我大海也。一切皆空。正是	執 空 之 人 我 佛 也 合 上 我 大 海 也 一切皆空 正 是 
X62n1178_001:0230b15	所執。五濁空。合上穢不足以害潔。三有空。合上狹	所 執 五 濁 空 合 上 穢 不 足 以 害 潔 三 有 空 合 上 狹 
X62n1178_001:0230b16	不足以害廣。無明十二類空。合上幽不足以害明。	不 足 以 害 廣 無 明 十 二 類 空 合 上 幽 不 足 以 害 明 
X62n1178_001:0230b17	善是人天。惡是三途。因果修證。通乎四聖。此執空	善 是 人 天 惡 是 三 途 因 果 修 證 通 乎 四 聖 此 執 空 
X62n1178_001:0230b18	之人。乃有兩種。一者心自開解。二者從他聞說。心	之 人 乃 有 兩 種 一 者 心 自 開 解 二 者 從 他 聞 說 心 
X62n1178_001:0230b19	自解者。病則難治。從他聞者。後或可醫。	自 解 者 病 則 難 治 從 他 聞 者 後 或 可 醫 
X62n1178_001:0230b20	問者曰。子之所言。性也。有事焉。夫性與事。一而二。二	問 者 曰 子 之 所 言 性 也 有 事 焉 夫 性 與 事 一 而 二 二 
X62n1178_001:0230b21	而一者也。若守一而定。則大患者至矣。其人曰。子去	而 一 者 也 若 守 一 而 定 則 大 患 者 至 矣 其 人 曰 子 去 
X62n1178_001:0230b22	矣。無亂我。	矣 無 亂 我 
X62n1178_001:0230b23	此示以正解。而使知過患也。言性有三義。謂空義。	此 示 以 正 解 而 使 知 過 患 也 言 性 有 三 義 謂 空 義 
X62n1178_001:0230b24	假義。中義。如向所陳。但得空義。不知中假。又空有	假 義 中 義 如 向 所 陳 但 得 空 義 不 知 中 假 又 空 有 
X62n1178_001:0230c01	三種謂偏空。斷空。真空。向論祇是偏空及以斷空。	三 種 謂 偏 空 斷 空 真 空 向 論 祇 是 偏 空 及 以 斷 空 
X62n1178_001:0230c02	尚未得真空之理。豈知性者哉。若悟真空。自不撥	尚 未 得 真 空 之 理 豈 知 性 者 哉 若 悟 真 空 自 不 撥 
X62n1178_001:0230c03	無萬法。是故知其未解也。有事焉以下。正是對病	無 萬 法 是 故 知 其 未 解 也 有 事 焉 以 下 正 是 對 病 
X62n1178_001:0230c04	發藥之語。性即理也。謂理與事。一而常二。二而常	發 藥 之 語 性 即 理 也 謂 理 與 事 一 而 常 二 二 而 常 
X62n1178_001:0230c05	一。圓融則大功斯立。守一則大患乃生。得失在人。	一 圓 融 則 大 功 斯 立 守 一 則 大 患 乃 生 得 失 在 人 
X62n1178_001:0230c06	非關佛法。問。何謂一而二。二而一。答。如祖師云。修	非 關 佛 法 問 何 謂 一 而 二 二 而 一 答 如 祖 師 云 修 
X62n1178_001:0230c07	證即不無。染污即不得。斯言是也。夫修證即不無。	證 即 不 無 染 污 即 不 得 斯 言 是 也 夫 修 證 即 不 無 
X62n1178_001:0230c08	事也。染污即不得。理也。二句義理。互具互融。不可	事 也 染 污 即 不 得 理 也 二 句 義 理 互 具 互 融 不 可 
X62n1178_001:0230c09	偏廢。上句具下義故。無修證而論修證。下句具上	偏 廢 上 句 具 下 義 故 無 修 證 而 論 修 證 下 句 具 上 
X62n1178_001:0230c10	義故。非染淨而說染淨。此事理不二之旨也。若單	義 故 非 染 淨 而 說 染 淨 此 事 理 不 二 之 旨 也 若 單 
X62n1178_001:0230c11	執有修證。即同二乘權教。單執無染污。即同自然	執 有 修 證 即 同 二 乘 權 教 單 執 無 染 污 即 同 自 然 
X62n1178_001:0230c12	外道。又同權教。則唯尚功勛。此過則淺。同外道則	外 道 又 同 權 教 則 唯 尚 功 勛 此 過 則 淺 同 外 道 則 
X62n1178_001:0230c13	撥無因果。此害乃深。故曰大患者至矣。現在則失	撥無因果 此 害 乃 深 故 曰 大 患 者 至 矣 現 在 則 失 
X62n1178_001:0230c14	進修之利。未來則招墮落之殃。可不懼哉。又祖師	進 修 之 利 未 來 則 招 墮 落 之 殃 可 不 懼 哉 又 祖 師 
X62n1178_001:0230c15	言句。有言偏意圓者。往往小慧之流。隨語生解。致	言 句 有 言 偏 意 圓 者 往 往 小 慧 之 流 隨 語 生 解 致 
X62n1178_001:0230c16	使醍醐反成毒藥。良可悲痛。問。云何名為言偏意	使 醍 醐 反 成 毒 藥 良 可 悲 痛 問 云 何 名 為 言 偏 意 
X62n1178_001:0230c17	圓。答。如誌公云。五欲貪嗔是佛。地獄即是天堂。智	圓 答 如 誌 公 云 五 欲 貪 嗔 是 佛 地 獄 即 是 天 堂 智 
X62n1178_001:0230c18	者知心是佛。愚人樂往西方。是則名為言偏意圓	者 知 心 是 佛 愚 人 樂 往 西 方 是 則 名 為 言 偏 意 圓 
X62n1178_001:0230c19	也。今當釋之。謂若人能觀五欲境界。及貪嗔癡。如	也 今 當 釋 之 謂 若 人 能 觀 五 欲 境 界 及 貪 嗔 癡 如 
X62n1178_001:0230c20	虗空華。不生分別。當知此人。即名為佛。故云五欲	虗 空 華 不 生 分 別 當 知 此 人 即 名 為 佛 故 云 五 欲 
X62n1178_001:0230c21	貪嗔是佛。又觀地獄天堂苦樂之相。如夢中事。不	貪 嗔 是 佛 又 觀 地 獄 天 堂 苦 樂 之 相 如 夢 中 事 不 
X62n1178_001:0230c22	於天堂而生愛著。不於地獄而生驚怖。二俱平等。	於 天 堂 而 生 愛 著 不 於 地 獄 而 生 驚 怖 二 俱 平 等 
X62n1178_001:0230c23	故云地獄即是天堂。智者知心是佛。愚人樂往西	故 云 地 獄 即 是 天 堂 智 者 知 心 是 佛 愚 人 樂 往 西 
X62n1178_001:0230c24	方。此二句重在知心二字。謂若知心是佛。此人念	方 此 二 句 重 在 知 心 二 字 謂 若 知 心 是 佛 此 人 念 
X62n1178_001:0231a01	佛。即是智者。不知。則雖樂往西方。亦是愚人。智者	佛 即 是 智 者 不 知 則 雖 樂 往 西 方 亦 是 愚 人 智 者 
X62n1178_001:0231a02	指上上品。愚人謂下下品。此二語與淨土之旨。初	指 上 上 品 愚 人 謂 下 下 品 此 二 語 與 淨 土 之 旨 初 
X62n1178_001:0231a03	無悖戾。而謬人執此。乃謂念佛是愚人所為。豈西	無 悖 戾 而 謬 人 執 此 乃 謂 念 佛 是 愚 人 所 為 豈 西 
X62n1178_001:0231a04	方只有下下品。而無上上品邪。又下品者其在此	方 只 有 下 下 品 而 無 上 上 品 邪 又 下 品 者 其 在 此 
X62n1178_001:0231a05	土。雖是愚人。若生淨土。則入不退地。便不可謂之	土 雖 是 愚 人 若 生 淨 土 則 入 不 退 地 便 不 可 謂 之 
X62n1178_001:0231a06	愚矣。不知己愚。反謂他愚。謂之何哉。故貴在得意。	愚 矣 不 知 己 愚 反 謂 他 愚 謂 之 何 哉 故 貴 在 得 意 
X62n1178_001:0231a07	忌在執文。舉一例諸。思之可見。	忌 在 執 文 舉 一 例 諸 思 之 可 見 
X62n1178_001:0231a08	其一人曰。嘻。吾毒之久矣。吾盡我力。而不足以去無	其 一 人 曰 嘻 吾 毒 之 久 矣 吾 盡 我 力 而 不 足 以 去 無 
X62n1178_001:0231a09	明。窮吾智。而不足以超三有離五濁。而異夫十二類	明 窮 吾 智 而 不 足 以 超 三 有 離 五 濁 而 異 夫 十 二 類 
X62n1178_001:0231a10	也。就能之其大小劫之多。不可知也。若之何。	也 就 能 之 其 大 小 劫 之 多 不 可 知 也 若 之 何 
X62n1178_001:0231a11	此明順教修行之士。知力不足。自審之辭也。時丁	此 明 順 教 修 行 之 士 知 力 不 足 自 審 之 辭 也 時 丁 
X62n1178_001:0231a12	末法。人根轉鈍。心膽轉粗。大概而論。有二種人。謂	末 法 人 根 轉 鈍 心 膽 轉 粗 大 概 而 論 有 二 種 人 謂 
X62n1178_001:0231a13	一愚。二狂。愚者茫然無解。固不待論矣。狂者妄意	一 愚 二 狂 愚 者 茫 然 無 解 固 不 待 論 矣 狂 者 妄 意 
X62n1178_001:0231a14	高遠。常欲躐等。視此念佛法門。不啻草芥。尚生鄙	高 遠 常 欲 躐 等 視 此 念 佛 法 門 不 啻 草 芥 尚 生 鄙 
X62n1178_001:0231a15	恥。況肯修行。此無他。不自知也。古人云。知人則智。	恥 況 肯 修 行 此 無 他 不 自 知 也 古 人 云 知 人 則 智 
X62n1178_001:0231a16	自知則明。蓋當今之世。自知者亦已鮮矣。文中合	自 知 則 明 蓋 當 今 之 世 自 知 者 亦 已 鮮 矣 文 中 合 
X62n1178_001:0231a17	譬。一一可知。言大小劫者。人壽一增一減為一小	譬 一 一 可 知 言 大 小 劫 者 人 壽 一 增 一 減 為 一 小 
X62n1178_001:0231a18	劫。積此小劫。至八十番。名一大劫。又積此大小劫。	劫 積 此 小 劫 至 八 十 番 名 一 大 劫 又 積 此 大 小 劫 
X62n1178_001:0231a19	至不可數。名一阿僧祇劫。言不可知。即是不可數。	至 不 可 數 名 一 阿僧祇劫 言 不 可 知 即 是 不 可 數 
X62n1178_001:0231a20	藏教菩薩。要經三無數劫修行。方得成佛。然退轉	藏 教 菩 薩 要 經 三無數劫 修 行 方 得 成 佛 然 退 轉 
X62n1178_001:0231a21	者多。增進者少。此明自力之難能也。蓋一切法門。	者 多 增 進 者 少 此 明 自 力 之 難 能 也 蓋 一切法門 
X62n1178_001:0231a22	皆自力出生死。故難。唯念佛一門。兼仗他力。故易。	皆 自 力 出 生 死 故 難 唯 念 佛 一 門 兼 仗 他 力 故 易 
X62n1178_001:0231a23	易故一生可辦。難故曠劫未成。利害得失。其機在	易 故 一 生 可 辦 難 故 曠 劫 未 成 利 害 得 失 其 機 在 
X62n1178_001:0231a24	此。是故知難易。則知利害。知利害。則知去取。否則	此 是 故 知 難 易 則 知 利 害 知 利 害 則 知 去 取 否 則 
X62n1178_001:0231b01	前途失足。錯路者多矣。正像之世。容有自力出生	前 途 失 足 錯 路 者 多 矣 正 像 之 世 容 有 自 力 出 生 
X62n1178_001:0231b02	死者。末法之世。罕聞此人。今既自力不能。欲求他	死 者 末 法 之 世 罕 聞 此 人 今 既 自 力 不 能 欲 求 他 
X62n1178_001:0231b03	力。故問若何。	力 故 問 若 何 
X62n1178_001:0231b04	問者乃為陳西方之事。使修念佛三昧。一空有之說。	問 者 乃 為 陳 西 方 之 事 使 修 念佛三昧 一 空 有 之 說 
X62n1178_001:0231b05	於是聖人憐之。接而致之。極樂之境而得以去羣惡。	於 是 聖 人 憐 之 接 而 致 之 極 樂 之 境 而 得 以 去 羣 惡 
X62n1178_001:0231b06	集萬行。居聖者之地。同佛知見矣。	集 萬 行 居 聖 者 之 地 同 佛 知 見 矣 
X62n1178_001:0231b07	此明念佛之利也。梵語三昧。此云正受。謂正念現	此 明 念 佛 之 利 也 梵 語 三 昧 此 云 正 受 謂 正 念 現 
X62n1178_001:0231b08	前不受諸受故。得此三昧者。現前當來決定見佛。	前 不 受 諸 受 故 得 此 三 昧 者 現 前 當 來 決 定 見 佛 
X62n1178_001:0231b09	一空有者。謂無念而念。無生而生也。問。空則一法	一 空 有 者 謂 無 念 而 念 無 生 而 生 也 問 空 則 一 法 
X62n1178_001:0231b10	不立。有則萬法紛然。二者乖角。云何名一。答昔天	不 立 有 則 萬 法 紛 然 二 者 乖 角 云 何 名 一 答 昔 天 
X62n1178_001:0231b11	衣懷禪師開示淨土。其言曰。生則決定生。去則實	衣 懷 禪 師 開 示 淨 土 其 言 曰 生 則 決 定 生 去 則 實 
X62n1178_001:0231b12	不去。此一空有之旨也。夫生則決定生。有也。去則	不 去 此 一 空 有 之 旨 也 夫 生 則 決 定 生 有 也 去 則 
X62n1178_001:0231b13	實不去。空也。言雖有二。意未嘗二也。師又曰。譬如	實 不 去 空 也 言 雖 有 二 意 未 嘗 二 也 師 又 曰 譬 如 
X62n1178_001:0231b14	鴈過長空。影沈寒水。鴈絕遺踪之意。水無留影之	鴈 過 長 空 影 沈 寒 水 鴈 絕 遺 踪 之 意 水 無 留 影 之 
X62n1178_001:0231b15	心。此自釋上文之辭也。請以此喻分解之意自明	心 此 自 釋 上 文 之 辭 也 請 以 此 喻 分 解 之 意 自 明 
X62n1178_001:0231b16	矣。夫行人五陰。名之為鴈。現前念佛之心。本自豎	矣 夫 行 人 五 陰 名 之 為 鴈 現 前 念 佛 之 心 本 自 豎 
X62n1178_001:0231b17	窮橫徧。故喻之以長空。一期之身。不久即滅。故稱	窮 橫 徧 故 喻 之 以 長 空 一 期 之 身 不 久 即 滅 故 稱 
X62n1178_001:0231b18	為過。幻質雖有生滅。念性元無生滅。故名鴈過長	為 過 幻 質 雖 有 生 滅 念 性 元 無 生 滅 故 名 鴈 過 長 
X62n1178_001:0231b19	空也。清涼國土。離諸熱惱。故名寒水。此方念佛。彼	空 也 清 涼 國 土 離 諸 熱 惱 故 名 寒 水 此 方 念 佛 彼 
X62n1178_001:0231b20	土華開。勤惰纔分。榮枯頓異。故曰影沈也。又此土	土 華 開 勤 惰 纔 分 榮 枯 頓 異 故 曰 影 沈 也 又 此 土 
X62n1178_001:0231b21	陰滅名鴈過。彼土陰生名影沈。此滅彼生。曾無前	陰 滅 名 鴈 過 彼 土 陰 生 名 影 沈 此 滅 彼 生 曾 無 前 
X62n1178_001:0231b22	後。故得以喻之。此二句。釋上生則決定生也。鴈絕	後 故 得 以 喻 之 此 二 句 釋 上 生 則 決 定 生 也 鴈 絕 
X62n1178_001:0231b23	遺踪之意。此明眾生不往。水無留影之心。此明諸	遺 踪 之 意 此 明 眾 生 不 往 水 無 留 影 之 心 此 明 諸 
X62n1178_001:0231b24	佛不來。何以故。若有去者。即有程途。有程途。即有	佛 不 來 何 以 故 若 有 去 者 即 有 程 途 有 程 途 即 有 
X62n1178_001:0231c01	時分。云何此滅。彼生。間不容髮。若有來者。即有足	時 分 云 何 此 滅 彼 生 間 不 容 髮 若 有 來 者 即 有 足 
X62n1178_001:0231c02	跡。有足跡。則此有彼無。不能周徧。云何十方應現。	跡 有 足 跡 則 此 有 彼 無 不 能 周 徧 云 何 十 方 應 現 
X62n1178_001:0231c03	接引同時。當知法性如是。非有非無。豈容思議於	接 引 同 時 當 知 法 性 如 是 非有非無 豈 容 思 議 於 
X62n1178_001:0231c04	其間哉。此二句。釋上云則實不去也。但法中單明	其 間 哉 此 二 句 釋 上 云 則 實 不 去 也 但 法 中 單 明 
X62n1178_001:0231c05	不去。喻中兼顯不來。是帶說耳。問。既云眾生不往。	不 去 喻 中 兼 顯 不 來 是 帶 說 耳 問 既 云 眾 生 不 往 
X62n1178_001:0231c06	又云諸佛不來。則生西方者。為復即在此處。為復	又 云 諸 佛 不 來 則 生 西 方 者 為 復 即 在 此 處 為 復 
X62n1178_001:0231c07	本無方所。得非如夢所見。非真實邪。答。不觀上影	本 無 方 所 得 非 如夢所見 非 真 實 邪 答 不 觀 上 影 
X62n1178_001:0231c08	沈寒水之句乎。言影沈寒水。則顯西方實有化生	沈 寒 水 之 句 乎 言 影 沈 寒 水 則 顯 西 方 實 有 化 生 
X62n1178_001:0231c09	之身。但以求其往來之相本不可得。故言不去不	之 身 但 以 求 其 往 來 之 相 本 不 可 得 故 言 不 去 不 
X62n1178_001:0231c10	來。子何迷悶之甚邪。去羣惡是斷德。集萬行。是智	來 子 何 迷 悶 之 甚 邪 去 羣 惡 是 斷 德 集 萬 行 是 智 
X62n1178_001:0231c11	德居聖地。是四十一位真因。同佛知見。是開示悟	德 居 聖 地 是 四 十 一 位 真 因 同 佛 知 見 是 開 示 悟 
X62n1178_001:0231c12	入之理。	入 之 理 
X62n1178_001:0231c13	向之一人者。終與十二類同而不變也。	向 之 一 人 者 終 與 十 二 類 同 而 不 變 也 
X62n1178_001:0231c14	此明不念佛之害。言十二類者。謂卵胎濕化。有色。	此 明 不 念 佛 之 害 言 十 二 類 者 謂 卵 胎 濕 化 有 色 
X62n1178_001:0231c15	無色。乃至非有想。非無想。如楞嚴所明。此之十二	無 色 乃 至 非 有 想 非 無 想 如 楞 嚴 所 明 此 之 十 二 
X62n1178_001:0231c16	皆眾生數攝。若證四果。出三界。則非十二類所能	皆 眾 生 數 攝 若 證 四 果 出 三 界 則 非 十 二 類 所 能 
X62n1178_001:0231c17	攝矣。問。參禪念佛。均之為了生死。吾人祗患心性	攝 矣 問 參 禪 念 佛 均 之 為 了 生 死 吾 人 祗 患 心 性 
X62n1178_001:0231c18	未明。心性苟明。則孰非淨土。三界本空。何出之有。	未 明 心 性 苟 明 則 孰 非 淨 土 三 界 本 空 何 出 之 有 
X62n1178_001:0231c19	十二類非實。何同之有。佛尚不可得。何況眾生。答。	十 二 類 非 實 何 同 之 有 佛 尚 不 可 得 何 況 眾 生 答 
X62n1178_001:0231c20	如汝所言皆有名無義。但取一時快論。並不知利	如 汝 所 言 皆 有 名 無 義 但 取 一 時 快 論 並 不 知 利 
X62n1178_001:0231c21	害也。吾試問子。汝證四果邪。曰。未也。曰。既未證四	害 也 吾 試 問 子 汝 證 四 果 邪 曰 未 也 曰 既 未 證 四 
X62n1178_001:0231c22	果。則是凡夫。盡此一生。必受後有。若受後有。不在	果 則 是 凡 夫 盡 此 一 生 必 受 後 有 若 受 後 有 不 在 
X62n1178_001:0231c23	人天。則在三途。終不出十二類。汝尚不能超欲界。	人 天 則 在 三 途 終 不 出 十 二 類 汝 尚 不 能 超 欲 界 
X62n1178_001:0231c24	何況能出色無色界。尚不能超三途。況能超佛問。	何 況 能 出 色無色界 尚 不 能 超 三 途 況 能 超 佛 問 
X62n1178_001:0232a01	聲聞證四果。此身尚在。豈非十二類攝。答。聲聞證	聲 聞 證 四 果 此 身 尚 在 豈 非 十 二 類 攝 答 聲 聞 證 
X62n1178_001:0232a02	四果。身雖未滅。不久即滅。滅則受法性身。居方便	四 果 身 雖 未 滅 不 久 即 滅 滅 則 受 法 性 身 居 方 便 
X62n1178_001:0232a03	土。出三界外。譬如旅舍寄客。不久出門。其家眷屬	土 出 三 界 外 譬 如 旅 舍 寄 客 不 久 出 門 其 家 眷 屬 
X62n1178_001:0232a04	不得以家人目之。聲聞暫寄三界。亦復如是。問諸	不 得 以 家 人 目 之 聲 聞 暫 寄 三 界 亦復如是 問 諸 
X62n1178_001:0232a05	佛菩薩有時化度眾生。示現世間。必假胞胎父母。	佛 菩 薩 有 時 化 度 眾 生 示 現 世 間 必 假 胞 胎 父 母 
X62n1178_001:0232a06	豈非亦是胎生。當何所攝。答。諸佛度生。示理胞胎	豈 非 亦 是 胎 生 當 何 所 攝 答 諸 佛 度 生 示 理 胞 胎 
X62n1178_001:0232a07	父母。既云示現。則雖有非實。豈得實判眾生。收歸	父 母 既 云 示 現 則 雖 有 非 實 豈 得 實 判 眾 生 收 歸 
X62n1178_001:0232a08	十二類邪。其寂光實報二土。是佛菩薩本所住處。	十 二 類 邪 其 寂 光 實 報 二 土 是 佛 菩 薩 本 所 住 處 
X62n1178_001:0232a09	此乃暫現耳。間若爾。何故經論中。十法界。總名眾	此 乃 暫 現 耳 間 若 爾 何 故 經 論 中 十 法 界 總 名 眾 
X62n1178_001:0232a10	生。答此乃通論。葢三乘人出三界。尚有變易生死。	生 答 此 乃 通 論 葢 三 乘 人 出 三 界 尚 有 變易生死 
X62n1178_001:0232a11	佛亦有常住五陰。故得名焉。今乃捨通從別。祇論	佛 亦 有 常 住 五 陰 故 得 名 焉 今 乃 捨 通 從 別 祇 論 
X62n1178_001:0232a12	分投主死。不論變易及以常住。故不可以彼難此	分 投 主 死 不 論 變 易 及 以 常 住 故 不 可 以 彼 難 此 
X62n1178_001:0232a13	問。西方淨土亦有化生。豈非十二類攝。答。淨土雖	問 西方淨土 亦 有 化 生 豈 非 十 二 類 攝 答 淨 土 雖 
X62n1178_001:0232a14	有化生。然身非分段。純一化生。故無十二類。(分是分限	有 化 生 然 身 非 分 段 純 一 化 生 故 無 十 二 類 分 是 分 限 
X62n1178_001:0232a15	段是形段以彼土壽命無量故無分限形體無方變化不一若有若無故非形段)況生彼	段 是 形 段 以 彼 土 壽 命 無 量 故 無 分 限 形 體 無 方 變 化 不 一 若有若無 故 非 形 段 況 生 彼 
X62n1178_001:0232a16	土。便入聖流。直至成佛更不受身。豈得名為十二	土 便 入 聖 流 直 至 成 佛 更 不 受 身 豈 得 名 為 十 二 
X62n1178_001:0232a17	類邪。問禪宗悟達之士。見性已徹。其于三界。不出	類 邪 問 禪 宗 悟 達 之 士 見 性 已 徹 其 于 三 界 不 出 
X62n1178_001:0232a18	不入。于十二類。不捨不受。隨緣寄寓方便度生。有	不 入 于 十 二 類 不 捨 不 受 隨 緣 寄 寓 方 便 度 生 有 
X62n1178_001:0232a19	何不可。答。悟達之士。雖有見地。不斷惑業。若生三	何 不 可 答 悟 達 之 士 雖 有 見 地 不 斷 惑 業 若 生 三 
X62n1178_001:0232a20	界。一入胞胎。便成隔陰。從前所悟尋復忘失。畢世	界 一 入 胞 胎 便 成 隔 陰 從 前 所 悟 尋 復 忘 失 畢 世 
X62n1178_001:0232a21	工夫。一朝唐喪。可不惜哉。更有業焉。牽入異類。汝	工 夫 一 朝 唐 喪 可 不 惜 哉 更 有 業 焉 牽 入 異 類 汝 
X62n1178_001:0232a22	又安能自主。而不被惡報之所障邪。若生彼土。親	又 安 能 自 主 而 不 被 惡 報 之 所 障 邪 若 生 彼 土 親 
X62n1178_001:0232a23	近導師。一入聖階。便登佛地。較之浮沈三界。出入	近 導 師 一 入 聖 階 便 登 佛 地 較 之 浮 沈 三 界 出 入 
X62n1178_001:0232a24	胞胎。孰得孰失。宜自思之。故知不悟則已。悟則求	胞 胎 孰 得 孰 失 宜 自 思 之 故 知 不 悟 則 已 悟 則 求 
X62n1178_001:0232b01	生西方。當愈急焉。如人得寶。須覔善地藏之。方得	生 西 方 當 愈 急 焉 如 人 得 寶 須 覔 善 地 藏 之 方 得 
X62n1178_001:0232b02	受用。否則終致散失。悟達往生。亦復如是。當知欲	受 用 否 則 終 致 散 失 悟 達 往 生 亦復如是 當 知 欲 
X62n1178_001:0232b03	超生死。無過淨土一門。若在此土而能出離。斷無	超 生 死 無 過 淨 土 一 門 若 在 此 土 而 能 出 離 斷 無 
X62n1178_001:0232b04	是處。願無爭口舌。幸平氣而思之。	是 處 願 無 爭 口 舌 幸 平 氣 而 思 之 
X62n1178_001:0232b05	夫二人之相違也。不若二瓠之水哉。今不知去一而	夫 二 人 之 相 違 也 不 若 二 瓠 之 水 哉 今 不 知 去 一 而 
X62n1178_001:0232b06	取一。甚矣(按下文當有其惑也三字)。	取 一 甚 矣 按 下 文 當 有 其 惑 也 三 字 
X62n1178_001:0232b07	此總結前文以明去取也。夫像季之世。豈唯宗教	此 總 結 前 文 以 明 去 取 也 夫 像 季 之 世 豈 唯 宗 教 
X62n1178_001:0232b08	之士宗趣相違。如二瓠之水。即同一法門。同一師	之 士 宗 趣 相 違 如 二 瓠 之 水 即 同 一 法 門 同 一 師 
X62n1178_001:0232b09	學。知見不同。其類非一。葢正見之難遇。邪徒之易	學 知 見 不 同 其 類 非 一 葢 正 見 之 難 遇 邪 徒 之 易 
X62n1178_001:0232b10	親。亦已久矣。今論去取。宜知利害。如上所陳。信毀	親 亦 已 久 矣 今 論 去 取 宜 知 利 害 如 上 所 陳 信 毀 
X62n1178_001:0232b11	得失。利害皎然。何有智者。而不知去取。嗚呼。今人	得 失 利 害 皎 然 何 有 智 者 而 不 知 去 取 嗚 呼 今 人 
X62n1178_001:0232b12	莫不求利。而常失利。亦莫不避害。而常遇害。何哉。	莫 不 求 利 而 常 失 利 亦 莫 不 避 害 而 常 遇 害 何 哉 
X62n1178_001:0232b13	大抵心不虗。行不實。知見不正故也。是故。修心之	大 抵 心 不 虗 行 不 實 知 見 不 正 故 也 是 故 修 心 之 
X62n1178_001:0232b14	士。務虗其心。實其行。端其知見。以聖教為明鏡。以	士 務 虗 其 心 實 其 行 端 其 知 見 以 聖 教 為 明 鏡 以 
X62n1178_001:0232b15	師友為鞭策。自始至終。戰兢惕勵。庶幾無大害矣。	師 友 為 鞭 策 自 始 至 終 戰 兢 惕 勵 庶 幾 無 大 害 矣 
X62n1178_001:0232b16	否則終身受害。恬然不知。及其將死。尚不自悟。以	否 則 終 身 受 害 恬 然 不 知 及 其 將 死 尚 不 自 悟 以 
X62n1178_001:0232b17	至空過一生。遺恨千古者多矣。是皆不知去取也。	至 空 過 一 生 遺 恨 千 古 者 多 矣 是 皆 不 知 去 取 也 
X62n1178_001:0232b18	甚矣。是責辭。言智不如歸海葫蘆之水也。可勝歎	甚 矣 是 責 辭 言 智 不 如 歸 海 葫 蘆 之 水 也 可 勝 歎 
X62n1178_001:0232b19	哉。	哉 
X62n1178_001:0232b21	東海若解(終)	東 海 若 解 終 
