T45n1857_001:0143b14	寶藏論	寶 藏 論 
T45n1857_001:0145b24	山。識物靈照。內外空然。寂寞難見。其號玄	山 識 物 靈 照 內 外 空 然 寂 寞 難 見 其 號 玄 
T45n1857_001:0145b25	玄。巧出紫微之表。用在虛無之間。端化不動。	玄 巧 出 紫 微 之 表 用 在 虛 無 之 間 端 化 不 動 
T45n1857_001:0145b26	獨而無雙。聲出妙響。色吐華容。窮覩無所。寄	獨 而 無 雙 聲 出 妙 響 色 吐 華 容 窮 覩 無 所 寄 
T45n1857_001:0145b27	號空空。唯留其聲。不見其形。唯留其功。不見	號 空 空 唯 留 其 聲 不 見 其 形 唯 留 其 功 不 見 
T45n1857_001:0145b28	其容。幽顯朗照。物理虛通。森羅寶印。萬象真	其 容 幽 顯 朗 照 物 理 虛 通 森 羅 寶 印 萬 象 真 
T45n1857_001:0145b29	宗。其為也形。其寂也冥。本淨非瑩。法爾圓	宗 其 為 也 形 其 寂 也 冥 本 淨 非 瑩 法 爾 圓 
T45n1857_001:0145c01	成。光超日月。德越太清。萬物無作。一切無	成 光 超 日 月 德 越 太 清 萬 物 無 作 一 切 無 
T45n1857_001:0145c02	名。轉變天地。自在縱橫。恒沙妙用。混沌而	名 轉 變 天 地 自 在 縱 橫 恒 沙 妙 用 混 沌 而 
T45n1857_001:0145c03	成。誰聞不喜。誰聞不驚。如何以無價之寶。隱	成 誰 聞 不 喜 誰 聞 不 驚 如 何 以 無 價 之 寶 隱 
T45n1857_001:0145c04	在陰入之坑。哀哉哀哉。其為自輕。悲哉悲	在 陰 入 之 坑 哀 哉 哀 哉 其 為 自 輕 悲 哉 悲 
T45n1857_001:0145c05	哉。晦何由明。其寶也煥煥煌煌。朗照十方。閴	哉 晦 何 由 明 其 寶 也 煥 煥 煌 煌 朗 照 十 方 閴 
T45n1857_001:0145c06	寂無動。應用堂堂。應聲應色。應陰應陽。奇特	寂 無 動 應 用 堂 堂 應 聲 應 色 應 陰 應 陽 奇 特 
T45n1857_001:0145c07	無根。虛湛常存。瞬目不見。側耳不聞。其本也	無 根 虛 湛 常 存 瞬 目 不 見 側 耳 不 聞 其 本 也 
T45n1857_001:0145c08	冥。其化也形。其為也聖。其用也靈。可謂大道	冥 其 化 也 形 其 為 也 聖 其 用 也 靈 可 謂 大 道 
T45n1857_001:0145c09	之精。其精甚真。萬物之因。凝然常住。與道同	之 精 其 精 甚 真 萬 物 之 因 凝 然 常 住 與 道 同 
T45n1857_001:0145c10	倫。故經云。隨其心淨。則佛土淨。任用森羅。	倫 故 經 云 隨 其 心 淨 則 佛 土 淨 任 用 森 羅 
T45n1857_001:0145c11	其名曰聖。	其 名 曰 聖 
T45n1857_001:0145c12	離微體淨品第二	離 微 體 淨 品 第 二 
T45n1857_001:0145c13	其入離。其出微。知入離外。塵無所依。知出微	其 入 離 其 出 微 知 入 離 外 塵 無 所 依 知 出 微 
T45n1857_001:0145c14	內。心無所為。內心無所為。諸見不能移。外塵	內 心 無 所 為 內 心 無 所 為 諸 見 不 能 移 外 塵 
T45n1857_001:0145c15	無所依。萬有不能羈。萬有不能羈。想慮不乘	無 所 依 萬 有 不 能 羈 萬 有 不 能 羈 想 慮 不 乘 
T45n1857_001:0145c16	馳。諸見不能移。寂滅不思議。可謂本淨體自	馳 諸 見 不 能 移 寂 滅 不 思 議 可 謂 本 淨 體 自 
T45n1857_001:0145c17	離微也。據入故名離。約用故名微。混而為一。	離 微 也 據 入 故 名 離 約 用 故 名 微 混 而 為 一 
T45n1857_001:0145c18	無離無微。體離不可染。無染故無淨。體微	無 離 無 微 體 離 不 可 染 無 染 故 無 淨 體 微 
T45n1857_001:0145c19	不可有。無有故無依。是以用而非有。寂而非	不 可 有 無 有 故 無 依 是 以 用 而 非 有 寂 而 非 
T45n1857_001:0145c20	無。非無故非斷。非有故非常。夫性離微者。非	無 非 無 故 非 斷 非 有 故 非 常 夫 性 離 微 者 非 
T45n1857_001:0145c21	取非捨。非修非學。非本無今有。非本有今無。	取 非 捨 非 修 非 學 非 本無今有 非 本 有 今 無 
T45n1857_001:0145c22	乃至一法不生。一法不滅。非三界所攝。非六	乃 至 一 法 不 生 一 法 不 滅 非 三 界 所 攝 非 六 
T45n1857_001:0145c23	趣所變。非愚智所改。非真妄所轉。平等普遍。	趣 所 變 非 愚 智 所 改 非 真 妄 所 轉 平 等 普 遍 
T45n1857_001:0145c24	一切圓滿。總為一大法界應化之靈宅。迷之	一 切 圓 滿 總 為 一 大 法 界 應 化 之 靈 宅 迷 之 
T45n1857_001:0145c25	者則歷劫而浪修。悟之者則當體而凝寂。夫	者 則 歷 劫 而 浪 修 悟 之 者 則 當 體 而 凝 寂 夫 
T45n1857_001:0145c26	妄有所欲者。不觀其離。妄有所作者。不觀其	妄 有 所 欲 者 不 觀 其 離 妄 有 所 作 者 不 觀 其 
T45n1857_001:0145c27	微。不觀其微者。即內興惡見。不觀其離者。即	微 不 觀 其 微 者 即 內 興 惡 見 不 觀 其 離 者 即 
T45n1857_001:0145c28	外起風塵。外起風塵故。外為魔境所亂。內興	外 起 風 塵 外 起 風 塵 故 外 為 魔 境 所 亂 內 興 
T45n1857_001:0145c29	惡見故。內為邪見所惑。既內外緣生。真一	惡 見 故 內 為 邪 見 所 惑 既 內 外 緣 生 真 一 
T45n1857_001:0146a01	宗隱。是以迷離妄染者。所謂凡夫。迷染妄離	宗 隱 是 以 迷 離 妄 染 者 所 謂 凡 夫 迷 染 妄 離 
T45n1857_001:0146a02	者。所謂二乘。達本性離者。所謂菩薩。了了見	者 所 謂 二 乘 達 本 性 離 者 所 謂 菩 薩 了 了 見 
T45n1857_001:0146a03	知三乘無異者。所謂平等真佛。然至理幽邃。	知 三 乘 無 異 者 所 謂 平 等 真 佛 然 至 理 幽 邃 
T45n1857_001:0146a04	非言說可顯。非相示可知。夫欲示其相。則迷	非 言 說 可 顯 非 相 示 可 知 夫 欲 示 其 相 則 迷 
T45n1857_001:0146a05	其無相。欲顯其說。則迷其無說。然欲不說不	其 無 相 欲 顯 其 說 則 迷 其 無 說 然 欲 不 說 不 
T45n1857_001:0146a06	示。復難以通其義。故玄道離微。至理難顯。夫	示 復 難 以 通 其 義 故 玄 道 離 微 至 理 難 顯 夫 
T45n1857_001:0146a07	所以言離者。體不與物合。亦不與物離。譬如	所 以 言 離 者 體 不 與 物 合 亦 不 與 物 離 譬 如 
T45n1857_001:0146a08	明鏡光映萬象。然彼明鏡不與影合。亦不與	明 鏡 光 映 萬 象 然 彼 明 鏡 不 與 影 合 亦 不 與 
T45n1857_001:0146a09	體離。又如虛空合入一切無所染著。五色不	體 離 又 如 虛 空 合 入 一 切 無所染著 五 色 不 
T45n1857_001:0146a10	能污。五音不能亂。萬物不能拘。森羅不能雜。	能 污 五 音 不 能 亂 萬 物 不 能 拘 森 羅 不 能 雜 
T45n1857_001:0146a11	故謂之離也。所以言微者。體妙無形。無色無	故 謂 之 離 也 所 以 言 微 者 體 妙 無 形 無 色 無 
T45n1857_001:0146a12	相。應用萬端。而不見其容。含藏百巧。而不顯	相 應 用 萬 端 而 不 見 其 容 含 藏 百 巧 而 不 顯 
T45n1857_001:0146a13	其功。視之不可見。聽之不可聞。然有恒沙	其 功 視 之 不 可 見 聽 之 不 可 聞 然 有 恒 沙 
T45n1857_001:0146a14	萬德。不常不斷。不離不散。故謂之微也。是以	萬 德 不 常 不 斷 不 離 不 散 故 謂 之 微 也 是 以 
T45n1857_001:0146a15	離微二字。蓋道之要也。六入無跡謂之離。萬	離 微 二 字 蓋 道 之 要 也 六 入 無 跡 謂 之 離 萬 
T45n1857_001:0146a16	用無我謂之微。微即離也。離即微也。但約彼	用 無 我 謂 之 微 微 即 離 也 離 即 微 也 但 約 彼 
T45n1857_001:0146a17	根事。而作兩名。其體一也。夫修道者。莫不斷	根 事 而 作 兩 名 其 體 一 也 夫 修 道 者 莫 不 斷 
T45n1857_001:0146a18	煩惱求菩提。棄小乘窺大用。然妙理之中。都	煩 惱 求 菩 提 棄 小 乘 窺 大 用 然 妙 理 之 中 都 
T45n1857_001:0146a19	無此事。體離者本無煩惱可斷。無小乘可棄。	無 此 事 體 離 者 本 無 煩 惱 可 斷 無 小 乘 可 棄 
T45n1857_001:0146a20	體微者無菩提可求。無大用可窺。何以故。無	體 微 者 無 菩 提 可 求 無 大 用 可 窺 何 以 故 無 
T45n1857_001:0146a21	一法可相應故。是以聖人。不斷妄。不證真。可	一 法 可 相 應 故 是 以 聖 人 不 斷 妄 不 證 真 可 
T45n1857_001:0146a22	謂萬用而自然矣。夫求法者。為無所求。故無	謂 萬 用 而 自 然 矣 夫 求 法 者 為 無 所 求 故 無 
T45n1857_001:0146a23	名之朴。亦將不欲。斯可謂之妙覺。夫離微者。	名 之 朴 亦 將 不 欲 斯 可 謂 之 妙 覺 夫 離 微 者 
T45n1857_001:0146a24	非妄識之所識。非邪智之所知。何謂妄識。為	非 妄 識 之 所 識 非 邪 智 之 所 知 何 謂 妄 識 為 
T45n1857_001:0146a25	六識也。何謂邪智。為二智也。是以體真一故。	六 識 也 何 謂 邪 智 為 二 智 也 是 以 體 真 一 故 
T45n1857_001:0146a26	非二智所知。體無物故。非六識所識。無有一	非 二 智 所 知 體 無 物 故 非 六 識 所 識 無 有 一 
T45n1857_001:0146a27	法從外而來。無有一法從內而出。又無少法	法 從 外 而 來 無 有 一 法 從 內 而 出 又 無 少 法 
T45n1857_001:0146a28	和合而生。可謂之太清。可謂之真精。體離一	和 合 而 生 可 謂 之 太 清 可 謂 之 真 精 體 離 一 
T45n1857_001:0146a29	切諸見。故不可以意度。體離一切限量。故不	切 諸 見 故 不 可 以 意 度 體 離 一 切 限 量 故 不 
T45n1857_001:0146b01	可以言約。是以維摩默然。如來寂寞。雖說種	可 以 言 約 是 以 維 摩 默 然 如 來 寂 寞 雖 說 種 
T45n1857_001:0146b02	種諸乘並是方便。開示悟入佛之知見。夫知	種 諸 乘 並 是 方 便 開 示 悟 入 佛 之 知 見 夫 知 
T45n1857_001:0146b03	者知離。見者見微。故經云。見微名為佛。知離	者 知 離 見 者 見 微 故 經 云 見 微 名 為 佛 知 離 
T45n1857_001:0146b04	名為法。以知離故。即不與一切煩惱合。以見	名 為 法 以 知 離 故 即 不 與 一切煩惱 合 以 見 
T45n1857_001:0146b05	微故。即不與一切虛妄俱。無虛妄故。即真	微 故 即 不 與 一 切 虛 妄 俱 無 虛 妄 故 即 真 
T45n1857_001:0146b06	一理顯。無煩惱故。即明瑩自然。夫離微之義。	一 理 顯 無 煩 惱 故 即 明 瑩 自 然 夫 離 微 之 義 
T45n1857_001:0146b07	非一非二。非以言說可顯。要以深心體解。朗	非 一 非 二 非 以 言 說 可 顯 要 以 深 心 體 解 朗 
T45n1857_001:0146b08	照現前。對境無心。逢緣不動。勿忘離微之道。	照 現 前 對 境 無 心 逢 緣 不 動 勿 忘 離 微 之 道 
T45n1857_001:0146b09	逐識星馳。口說心違。理將不寔。可謂無晝無	逐 識 星 馳 口 說 心 違 理 將 不 寔 可 謂 無 晝 無 
T45n1857_001:0146b10	夜。無靜無喧。專一不移。方乃契會。若妄有	夜 無 靜 無 喧 專 一 不 移 方 乃 契 會 若 妄 有 
T45n1857_001:0146b11	所取。妄有所捨。妄有所修。妄有所得者。皆不	所 取 妄 有 所 捨 妄 有 所 修 妄 有 所 得 者 皆 不 
T45n1857_001:0146b12	入真實。背離微之義。壞大道之法也。夫真者	入 真 實 背 離 微 之 義 壞 大 道 之 法 也 夫 真 者 
T45n1857_001:0146b13	所以不合求。為外無所得。夫實者所以不合	所 以 不 合 求 為 外 無 所 得 夫 實 者 所 以 不 合 
T45n1857_001:0146b14	修。為內無所證。但無妄想者。即離微之道顯	修 為 內 無 所 證 但 無 妄 想 者 即 離 微 之 道 顯 
T45n1857_001:0146b15	也。夫離者虛也。微者冲也。冲虛寂寞。故謂之	也 夫 離 者 虛 也 微 者 冲 也 冲 虛 寂 寞 故 謂 之 
T45n1857_001:0146b16	離微。夫聖人所以無妄想者。為達離也。所以	離 微 夫 聖 人 所 以 無 妄 想 者 為 達 離 也 所 以 
T45n1857_001:0146b17	有奇特之用者。為了微也。微故無心。離故	有 奇 特 之 用 者 為 了 微 也 微 故 無 心 離 故 
T45n1857_001:0146b18	無身。身心俱喪。靈智獨存。絕於有無之域。泯	無 身 身 心 俱 喪 靈 智 獨 存 絕 於 有 無 之 域 泯 
T45n1857_001:0146b19	於我所之居。法界自然。煌煌盛用。而無生也。	於 我 所 之 居 法 界 自 然 煌 煌 盛 用 而 無 生 也 
T45n1857_001:0146b20	故聖人處無為而化行。不言之教。冥理應合。	故 聖 人 處 無 為 而 化 行 不 言 之 教 冥 理 應 合 
T45n1857_001:0146b21	寂寞無人。是以含通大象。包入萬物。譬如虛	寂 寞 無 人 是 以 含 通 大 象 包 入 萬 物 譬 如 虛 
T45n1857_001:0146b22	空。普偏周備。夫迷者無我立我。則內生我倒。	空 普 偏 周 備 夫 迷 者 無 我 立 我 則 內 生 我 倒 
T45n1857_001:0146b23	內生我倒故。即聖理不通。聖理不通故。外有	內 生 我 倒 故 即 聖 理 不 通 聖 理 不 通 故 外 有 
T45n1857_001:0146b24	所立。外有所立。即內外生礙。內外生礙。即物	所 立 外 有 所 立 即 內 外 生 礙 內 外 生 礙 即 物 
T45n1857_001:0146b25	理不通。遂妄起諸流。混於疑照。萬象沈沒。	理 不 通 遂 妄 起 諸 流 混 於 疑 照 萬 象 沈 沒 
T45n1857_001:0146b26	真一宗亂。諸見競興。乃為流浪。故製離微之	真 一 宗 亂 諸 見 競 興 乃 為 流 浪 故 製 離 微 之 
T45n1857_001:0146b27	論。顯體幽玄。學者深思。可知虛實矣。夫色法	論 顯 體 幽 玄 學 者 深 思 可 知 虛 實 矣 夫 色 法 
T45n1857_001:0146b28	如影。聲法如響。但以影響指陳。未足封為真	如 影 聲 法 如 響 但 以 影 響 指 陳 未 足 封 為 真 
T45n1857_001:0146b29	實。故指非月也。言非道也。會道亡言。見月亡	實 故 指 非 月 也 言 非 道 也 會 道 亡 言 見 月 亡 
T45n1857_001:0146c01	指。是以迷離者。即為諸魔。愛取諸塵。樂著生	指 是 以 迷 離 者 即 為 諸 魔 愛 取 諸 塵 樂 著 生 
T45n1857_001:0146c02	死。夫迷微者。即為外道。非分推求。橫生諸	死 夫 迷 微 者 即 為 外 道 非 分 推 求 橫 生 諸 
T45n1857_001:0146c03	見。夫諸見根本者。莫越有無。何謂為有。謂	見 夫 諸 見 根 本 者 莫 越 有 無 何 謂 為 有 謂 
T45n1857_001:0146c04	妄有所作。何謂為無為。觀察無所得也。是以	妄 有 所 作 何 謂 為 無 為 觀 察 無 所 得 也 是 以 
T45n1857_001:0146c05	因有無二見。即起種種諸見。諸見既起。即邪	因 有無二見 即 起 種 種 諸 見 諸 見 既 起 即 邪 
T45n1857_001:0146c06	見不真。故名為外道。夫生死根本者。所謂存	見 不 真 故 名 為 外 道 夫 生 死 根 本 者 所 謂 存 
T45n1857_001:0146c07	亡。身存為生。身亡為滅。計著妄想。取外境	亡 身 存 為 生 身 亡 為 滅 計 著 妄 想 取 外 境 
T45n1857_001:0146c08	界。具足身見。愛彼未來殊勝生處。受妙果報。	界 具 足 身 見 愛 彼 未 來 殊 勝 生 處 受 妙 果 報 
T45n1857_001:0146c09	故謂之魔。若體解離者。一切不著。無所染愛。	故 謂 之 魔 若 體 解 離 者 一 切 不 著 無 所 染 愛 
T45n1857_001:0146c10	即超魔境界。若體解微者。一切寂靜。無有妄	即 超 魔 境 界 若 體 解 微 者 一 切 寂 靜 無 有 妄 
T45n1857_001:0146c11	想。即超外道種種邪見。故經云微妙甚深離	想 即 超 外 道 種 種 邪 見 故 經 云 微 妙 甚 深 離 
T45n1857_001:0146c12	自性也。是以微無有見。離無有著。無見無著。	自 性 也 是 以 微 無 有 見 離 無 有 著 無 見 無 著 
T45n1857_001:0146c13	寂滅為樂。何謂為苦。以不了微故。即內有所	寂 滅 為 樂 何 謂 為 苦 以 不 了 微 故 即 內 有 所 
T45n1857_001:0146c14	思。不了離故。即外有所依。外有所依故即貪。	思 不 了 離 故 即 外 有 所 依 外 有 所 依 故 即 貪 
T45n1857_001:0146c15	內有所思故即緣。緣貪既起。遂為魔境所使。	內 有 所 思 故 即 緣 緣 貪 既 起 遂 為 魔 境 所 使 
T45n1857_001:0146c16	晝夜煌煌。無有暫止。具受塵勞。故名為苦。何	晝 夜 煌 煌 無 有 暫 止 具 受 塵 勞 故 名 為 苦 何 
T45n1857_001:0146c17	謂為樂。為了微故。即內無所思。為了離故。即	謂 為 樂 為 了 微 故 即 內 無 所 思 為 了 離 故 即 
T45n1857_001:0146c18	外無所依。外無所依故即無貪。內無所思故	外 無 所 依 外 無 所 依 故 即 無 貪 內 無 所 思 故 
T45n1857_001:0146c19	即無緣。無緣故即不為萬有所拘。及諸塵勞	即 無 緣 無 緣 故 即 不 為 萬 有 所 拘 及 諸 塵 勞 
T45n1857_001:0146c20	所使。清虛寂寞。無所繫縛。自性解脫。故名為	所 使 清 虛 寂 寞 無 所 繫 縛 自性解脫 故 名 為 
T45n1857_001:0146c21	樂。夫離者理也。微者密也。何謂為理。不離一	樂 夫 離 者 理 也 微 者 密 也 何 謂 為 理 不 離 一 
T45n1857_001:0146c22	切物。何謂為密。顯用藏術。又離者空也。微者	切 物 何 謂 為 密 顯 用 藏 術 又 離 者 空 也 微 者 
T45n1857_001:0146c23	有也。空故無相有故形量。是以非有非空。萬	有 也 空 故 無 相 有 故 形 量 是 以 非 有 非 空 萬 
T45n1857_001:0146c24	法之宗。非空非有。萬物之母。出之無方。入之	法 之 宗 非 空 非 有 萬 物 之 母 出 之 無 方 入 之 
T45n1857_001:0146c25	無所。包舍萬有。而不為事。應化萬端。而不	無 所 包 舍 萬 有 而 不 為 事 應 化 萬 端 而 不 
T45n1857_001:0146c26	為主。是以小室寬容。一念多通。非心所測。非	為 主 是 以 小 室 寬 容 一 念 多 通 非 心 所 測 非 
T45n1857_001:0146c27	意所識。可謂住不思議解脫之力。何謂不思	意 所 識 可 謂 住 不思議解脫 之 力 何 謂 不 思 
T45n1857_001:0146c28	議為體離微。何謂解脫為無所羈。離者法也。	議 為 體 離 微 何 謂 解 脫 為 無 所 羈 離 者 法 也 
T45n1857_001:0146c29	微者佛也。和合不二名為僧也。故三名一體。	微 者 佛 也 和 合 不 二 名 為 僧 也 故 三 名 一 體 
T45n1857_001:0147a01	一體三名。混無分別。歸本無名。又離者容也。	一 體 三 名 混 無 分 別 歸 本 無 名 又 離 者 容 也 
T45n1857_001:0147a02	微者用也。容故含垢。用故無侶。無侶故即妙	微 者 用 也 容 故 含 垢 用 故 無 侶 無 侶 故 即 妙 
T45n1857_001:0147a03	化常行。含垢故即萬有能處。又無眼無耳謂	化 常 行 含 垢 故 即 萬 有 能 處 又 無 眼 無 耳 謂 
T45n1857_001:0147a04	之離。有見有聞謂之微。無我無造謂之離。有	之 離 有 見 有 聞 謂 之 微 無 我 無 造 謂 之 離 有 
T45n1857_001:0147a05	智有用謂之微。無心無意謂之離。有通有達	智 有 用 謂 之 微 無 心 無 意 謂 之 離 有 通 有 達 
T45n1857_001:0147a06	謂之微。又離者涅槃。微者般若。般若故繁興	謂 之 微 又 離 者 涅 槃 微 者 般 若 般 若 故 繁 興 
T45n1857_001:0147a07	大用。涅槃故寂滅無餘。無餘故煩惱永盡。大	大 用 涅 槃 故 寂 滅 無 餘 無 餘 故 煩 惱 永 盡 大 
T45n1857_001:0147a08	用故聖化無窮。若人不達離微者。雖復苦行	用 故 聖 化 無 窮 若 人 不 達 離 微 者 雖 復 苦 行 
T45n1857_001:0147a09	頭陀遠離塵境。斷貪恚癡伏忍成就。經無量	頭 陀 遠 離 塵 境 斷 貪 恚 癡 伏 忍 成 就 經 無 量 
T45n1857_001:0147a10	劫。終不入真寔。何以故。皆為依正所行住	劫 終 不 入 真 寔 何 以 故 皆 為 依 正 所 行 住 
T45n1857_001:0147a11	有所得故。不離顛倒夢想惡覺諸見。若復有	有 所 得 故 不 離 顛 倒 夢 想 惡 覺 諸 見 若 復 有 
T45n1857_001:0147a12	人體解離微者。雖近有妄想習氣及現行煩	人 體 解 離 微 者 雖 近 有 妄 想 習 氣 及 現 行 煩 
T45n1857_001:0147a13	惱。然數數覺知離微之義。此人不久。即入真	惱 然 數 數 覺 知 離 微 之 義 此 人 不 久 即 入 真 
T45n1857_001:0147a14	寔無上道也。何以故。為了正見根本故也。又	寔 無 上 道 也 何 以 故 為 了 正 見 根 本 故 也 又 
T45n1857_001:0147a15	所言離者對六入也。所言微者對六識也。若	所 言 離 者 對 六 入 也 所 言 微 者 對 六 識 也 若 
T45n1857_001:0147a16	混六為一寂靜無物。非五四三。非九八七。但	混 六 為 一 寂 靜 無 物 非 五 四 三 非 九 八 七 但 
T45n1857_001:0147a17	聖人應機設教對執不同。究竟理中都無名	聖 人 應 機 設 教 對 執 不 同 究 竟 理 中 都 無 名 
T45n1857_001:0147a18	字。譬如虛空離數非數離性非性。非一非異	字 譬 如 虛 空 離 數 非 數 離 性 非 性 非一非異 
T45n1857_001:0147a19	非境非離境。不可言說。過於文字出於心量。	非 境 非 離 境 不可言說 過 於 文 字 出 於 心 量 
T45n1857_001:0147a20	無有去來無有出入。夫經論者莫不就彼凡	無 有 去 來 無 有 出 入 夫 經 論 者 莫 不 就 彼 凡 
T45n1857_001:0147a21	情破彼根量。種種方便皆不住於形事者。若	情 破 彼 根 量 種 種 方 便 皆 不 住 於 形 事 者 若 
T45n1857_001:0147a22	不住形事即不須一切言說。及以離微之義。	不 住 形 事 即 不 須 一 切 言 說 及 以 離 微 之 義 
T45n1857_001:0147a23	故經云隨宜說法意趣難解。雖說種種諸乘。	故 經 云 隨宜說法 意 趣 難 解 雖 說 種 種 諸 乘 
T45n1857_001:0147a24	皆是權接方便助道之法也。然非究竟解脫	皆 是 權 接 方 便 助 道 之 法 也 然 非 究 竟 解 脫 
T45n1857_001:0147a25	涅槃。譬如有人於虛空中畫作種種色象。及	涅 槃 譬 如 有 人 於 虛 空 中 畫 作 種 種 色 象 及 
T45n1857_001:0147a26	作種種音聲。然彼虛空實無異相。亦無受入	作 種 種 音 聲 然 彼 虛 空 實 無 異 相 亦 無 受 入 
T45n1857_001:0147a27	變動。故知諸佛化身。及以說法亦復如是。於	變 動 故 知 諸 佛 化 身 及 以 說 法 亦復如是 於 
T45n1857_001:0147a28	實際中都無一異。是以天地含離虛空含微。	實 際 中 都 無 一 異 是 以 天 地 含 離 虛 空 含 微 
T45n1857_001:0147a29	萬物動作變化無為。夫神中有智智中有通。	萬 物 動 作 變 化 無 為 夫 神 中 有 智 智 中 有 通 
T45n1857_001:0147b01	通有五種。智有三種。何為五通。一曰道通。二	通 有 五 種 智 有 三 種 何 為 五 通 一 曰 道 通 二 
T45n1857_001:0147b02	曰神通。三曰依通。四曰報通。五曰妖通。何謂	曰 神 通 三 曰 依 通 四 曰 報 通 五 曰 妖 通 何 謂 
T45n1857_001:0147b03	妖通。狐狸老變木石之精。附傍人身聰慧奇	妖 通 狐 狸 老 變 木 石 之 精 附 傍 人 身 聰 慧 奇 
T45n1857_001:0147b04	特。此為妖通。何謂報通。鬼神逆知諸天變化。	特 此 為 妖 通 何 謂 報 通 鬼 神 逆 知 諸 天 變 化 
T45n1857_001:0147b05	中陰了生神龍變化。此為報通。何謂依通。約	中 陰 了 生 神 龍 變 化 此 為 報 通 何 謂 依 通 約 
T45n1857_001:0147b06	法而知緣身而用。乘符往來藥餌靈變。此為	法 而 知 緣 身 而 用 乘 符 往 來 藥 餌 靈 變 此 為 
T45n1857_001:0147b07	依通。何謂神通。靜心照物宿命既持。種種分	依 通 何 謂 神 通 靜 心 照 物 宿 命 既 持 種 種 分 
T45n1857_001:0147b08	別皆隨定力。此為神通。何謂道通。無心應物	別 皆 隨 定 力 此 為 神 通 何 謂 道 通 無 心 應 物 
T45n1857_001:0147b09	緣化萬有。水月空華影象無主。此為道通。何	緣 化 萬 有 水 月 空 華 影 象 無 主 此 為 道 通 何 
T45n1857_001:0147b10	謂三智。一曰真智。二曰內智。三曰外智。何謂	謂 三 智 一 曰 真 智 二 曰 內 智 三 曰 外 智 何 謂 
T45n1857_001:0147b11	外智。分別根門識了塵境。博覽古今該通俗	外 智 分 別 根 門 識 了 塵 境 博 覽 古 今 該 通 俗 
T45n1857_001:0147b12	事。此為外智。何謂內智。自覺無明斷割煩惱。	事 此 為 外 智 何 謂 內 智 自 覺 無 明 斷 割 煩 惱 
T45n1857_001:0147b13	心意寂靜滅有無餘。此為內智。何謂真智。體	心 意 寂 靜 滅 有 無 餘 此 為 內 智 何 謂 真 智 體 
T45n1857_001:0147b14	解無物本來寂靜。通達無涯淨穢無二。故名	解 無 物 本來寂靜 通 達 無 涯 淨 穢 無 二 故 名 
T45n1857_001:0147b15	真智。故真智道通不可名目。餘所有者皆是	真 智 故 真 智 道 通 不 可 名 目 餘 所 有 者 皆 是 
T45n1857_001:0147b16	邪偽。偽即不真邪即不正。惑亂心生迷於體	邪 偽 偽 即 不 真 邪 即 不 正 惑 亂 心 生 迷 於 體 
T45n1857_001:0147b17	性。是以深解離微達彼諸有。自性本真出於	性 是 以 深 解 離 微 達 彼 諸 有 自 性 本 真 出 於 
T45n1857_001:0147b18	群品。夫知有邪正通有真偽。若非法眼精明	群 品 夫 知 有 邪 正 通 有 真 偽 若 非 法 眼 精 明 
T45n1857_001:0147b19	難可辨也。是以俗間多信邪偽少信正真。大	難 可 辨 也 是 以 俗 間 多 信 邪 偽 少 信 正 真 大 
T45n1857_001:0147b20	教偃行小乘現用。故知妙理難顯也。夫離者	教 偃 行 小 乘 現 用 故 知 妙 理 難 顯 也 夫 離 者 
T45n1857_001:0147b21	無身微者無心。無身故大身無心故大心。大	無 身 微 者 無 心 無 身 故 大 身 無 心 故 大 心 大 
T45n1857_001:0147b22	心故即周萬物。大身故應備無窮。是以執身	心 故 即 周 萬 物 大 身 故 應 備 無 窮 是 以 執 身 
T45n1857_001:0147b23	為身者即失其大應。執心為心者即失其大	為 身 者 即 失 其 大 應 執 心 為 心 者 即 失 其 大 
T45n1857_001:0147b24	智。故千經萬論莫不說離身心。破彼執著乃	智 故 千 經 萬 論 莫 不 說 離 身 心 破 彼 執 著 乃 
T45n1857_001:0147b25	入真實。譬如金師銷鑛取金方為器用。若執	入 真 實 譬 如 金 師 銷 鑛 取 金 方 為 器 用 若 執 
T45n1857_001:0147b26	有身者即有身礙。身礙故即法身隱於形[穀禾+卵]	有 身 者 即 有 身 礙 身 礙 故 即 法 身 隱 於 形 [穀禾卵] 
T45n1857_001:0147b27	之中。若執有心者即有心礙。心礙故即真智	之 中 若 執 有 心 者 即 有 心 礙 心 礙 故 即 真 智 
T45n1857_001:0147b28	隱於念慮之中。故大道不通妙理沈隱。六神	隱 於 念 慮 之 中 故 大 道 不 通 妙 理 沈 隱 六 神 
T45n1857_001:0147b29	內亂六境外緣。晝夜惶惶未有休息。夫不觀	內 亂 六 境 外 緣 晝 夜 惶 惶 未 有 休 息 夫 不 觀 
T45n1857_001:0147c01	其心者不見其微。不觀其身者不見其離。若	其 心 者 不 見 其 微 不 觀 其 身 者 不 見 其 離 若 
T45n1857_001:0147c02	不見離微。則失其道要也。故經云佛說非身	不 見 離 微 則 失 其 道 要 也 故 經 云 佛 說 非 身 
T45n1857_001:0147c03	是名大身。亦復如是。此謂破權歸實壞假	是 名 大 身 亦復如是 此 謂 破 權 歸 實 壞 假 
T45n1857_001:0147c04	歸真。譬如金師銷金為器。滅相混融以通大	歸 真 譬 如 金 師 銷 金 為 器 滅 相 混 融 以 通 大 
