X32n0618_001:0298c04	 大成科序	 大 成 科 序 
X32n0618_001:0304a53	三一行明為五濁故說小(是故)	三 一 行 明 為 五 濁 故 說 小 是 故 
X32n0618_001:0304a54	四一行半明為大故施小(我雖)	四 一 行 半 明 為 大 故 施 小 我 雖 
X32n0618_001:0304a55	五二行頌諸佛不虗(我有)	五 二 行 頌 諸 佛 不 虗 我 有 
X32n0618_001:0304a56	二廿七行半頌過去佛章(二)	二 廿 七 行 半 頌 過 去 佛 章 二 
X32n0618_001:0304a57	初三行略頌開顯(過去)	初 三 行 略 頌 開 顯 過 去 
X32n0618_001:0304a58	二廿四行半廣頌開顯(二)	二 廿 四 行 半 廣 頌 開 顯 二 
X32n0618_001:0304a59	初一行半總明方便助顯(又諸)	初 一 行 半 總 明 方 便 助 顯 又 諸 
X32n0618_001:0304a60	二二十三行別明開顯之相(二)	二 二 十 三 行 別 明 開 顯 之 相 二 
X32n0618_001:0304a61	初二十二行約眾善顯緣因功德(七)	初 二 十 二 行 約 眾 善 顯 緣 因 功 德 七 
X32n0618_001:0304a62	初二行約六度明開顯(若有)	初 二 行 約 六 度 明 開 顯 若 有 
X32n0618_001:0304a63	二一行約悲戀心明開顯(諸佛)	二 一 行 約 悲 戀 心 明 開 顯 諸 佛 
X32n0618_001:0304a64	三四行半約供舍利明開顯(諸佛)	三 四 行 半 約 供 舍 利 明 開 顯 諸 佛 
X32n0618_001:0304a65	四三行約造佛像明開顯(若人)	四 三 行 約 造 佛 像 明 開 顯 若 人 
X32n0618_001:0304a66	五三行半約畵像明開顯(彩畵)	五 三 行 半 約 畵 像 明 開 顯 彩 畵 
X32n0618_001:0304a67	六七行約供塔像明開顯(若人)	六 七 行 約 供 塔 像 明 開 顯 若 人 
X32n0618_001:0304a68	七一行約稱佛名明開顯(若人)	七 一 行 約 稱 佛 名 明 開 顯 若 人 
X32n0618_001:0304a69	二一行約聞經顯了因功德(於諸)	二 一 行 約 聞 經 顯 了 因 功 德 於 諸 
X32n0618_001:0304a70	三六行半頌未來佛章(二)	三 六 行 半 頌 未 來 佛 章 二 
X32n0618_001:0304a71	初一行開三(未來)	初 一 行 開 三 未 來 
X32n0618_001:0304a72	二五行半顯一(三)	二 五 行 半 顯 一 三 
X32n0618_001:0304a73	初一行半正明顯一(一切)	初 一 行 半 正 明 顯 一 一 切 
X32n0618_001:0304a74	二一行明佛本願(諸佛)	二 一 行 明 佛 本 願 諸 佛 
X32n0618_001:0304a75	三三行重明開顯(未來)	三 三 行 重 明 開 顯 未 來 
X32n0618_001:0304a76	四四行半頌現在佛章(三)	四 四 行 半 頌 現 在 佛 章 三 
X32n0618_001:0304a77	初一行半標出世意(天人)	初 一 行 半 標 出 世 意 天 人 
X32n0618_001:0304a78	二一行頌顯實(知第)	二 一 行 頌 顯 實 知 第 
X32n0618_001:0304a79	三二行頌開權(知眾)	三 二 行 頌 開 權 知 眾 
X32n0618_001:0305a01	二四十三行半頌釋迦佛章(二)	二 四 十 三 行 半 頌 釋 迦 佛 章 二 
X32n0618_001:0305a02	初二行總頌開權顯實(二)	初 二 行 總 頌 開 權 顯 實 二 
X32n0618_001:0305a03	初一行頌顯實(今我)	初 一 行 頌 顯 實 今 我 
X32n0618_001:0305a04	二一行頌開權(我以)	二 一 行 頌 開 權 我 以 
X32n0618_001:0305a05	二四十一行半別頌開顯六義(六)	二 四 十 一 行 半 別 頌 開 顯 六 義 六 
X32n0618_001:0305a06	初四行頌五濁(舍利)	初 四 行 頌 五 濁 舍 利 
X32n0618_001:0305a07	二十七行半頌施權(二)	二 十 七 行 半 頌 施 權 二 
X32n0618_001:0305a08	初六行半念用大乘擬宜不得(三)	初 六 行 半 念 用 大 乘 擬 宜 不 得 三 
X32n0618_001:0305a09	初一行半大乘擬宜(我始)	初 一 行 半 大 乘 擬 宜 我 始 
X32n0618_001:0305a10	二三行眾生無機(二)	二 三 行 眾 生 無 機 二 
X32n0618_001:0305a11	初一行障重不堪聞大(眾生)	初 一 行 障 重 不 堪 聞 大 眾 生 
X32n0618_001:0305a12	二二行梵王請佛說法(爾時)	二 二 行 梵 王 請 佛 說 法 爾 時 
X32n0618_001:0305a13	三二行念欲息化(我即)	三 二 行 念 欲 息 化 我 即 
X32n0618_001:0305a14	二十一行念同諸佛三乘隨宜(二)	二 十 一 行 念 同 諸 佛 三 乘 隨 宜 二 
X32n0618_001:0305a15	初十行明化得(四)	初 十 行 明 化 得 四 
X32n0618_001:0305a16	初一行明三乘擬宜(尋念)	初 一 行 明 三 乘 擬 宜 尋 念 
X32n0618_001:0305a17	二六行半明有小機(二)	二 六 行 半 明 有 小 機 二 
X32n0618_001:0305a18	初四行半明諸佛讚善(作是)	初 四 行 半 明 諸 佛 讚 善 作 是 
X32n0618_001:0305a19	二二行明釋迦酧順(舍利)	二 二 行 明 釋 迦 酧 順 舍 利 
X32n0618_001:0305a20	三一行半正明施化(思惟)	三 一 行 半 正 明 施 化 思 惟 
X32n0618_001:0305a21	四一行明受行悟入(是名)	四 一 行 明 受 行 悟 入 是 名 
X32n0618_001:0305a22	二一行釋疑(從久)	二 一 行 釋 疑 從 久 
X32n0618_001:0305a23	三六行頌顯實(四)	三 六 行 頌 顯 實 四 
X32n0618_001:0305a24	初二行大乘機動(舍利)	初 二 行 大 乘 機 動 舍 利 
X32n0618_001:0305a25	二二行一句明佛歡喜(我即)	二 二 行 一 句 明 佛 歡 喜 我 即 
X32n0618_001:0305a26	三三句正明顯實(於諸)	三 三 句 正 明 顯 實 於 諸 
X32n0618_001:0305a27	四一行受行悟入(菩薩)	四 一 行 受 行 悟 入 菩 薩 
X32n0618_001:0305a28	四五行半頌歎法希有(如三)	四 五 行 半 頌 歎 法 希 有 如 三 
X32n0618_001:0305a29	五二行半頌不虗(汝等)	五 二 行 半 頌 不 虗 汝 等 
X32n0618_001:0305a30	六六行頌揀偽敦信(二)	六 六 行 頌 揀 偽 敦 信 二 
X32n0618_001:0305a31	初三行揀偽(以五)	初 三 行 揀 偽 以 五 
X32n0618_001:0305a32	二三行敦信(舍利)	二 三 行 敦 信 舍 利 
X32n0618_001:0305a33	二身子領解○	二 身 子 領 解 
X32n0618_001:0305a34	三如來述成○	三 如 來 述 成 
X32n0618_001:0305a35	四與之授記○	四 與 之 授 記 
X32n0618_001:0305a36	五四眾歡喜○	五 四 眾 歡 喜 
X32n0618_001:0305a37	二喻說一周被中根○	二 喻 說 一 周 被 中 根 
X32n0618_001:0305a38	三因緣一周被下根○	三 因 緣 一 周 被 下 根 
X32n0618_001:0305a39	一正說法已竟。	一 正 說 法 已 竟 
X32n0618_001:0305a41	法華大成卷三科文	法 華 大 成 卷 三 科 文 
X32n0618_001:0305a43	譬喻品	譬 喻 品 
X32n0618_001:0305a45	○二身子領解(二)	 二 身 子 領 解 二 
X32n0618_001:0305a46	初經家敘置(爾時)	初 經 家 敘 置 爾 時 
X32n0618_001:0305a47	二身子自陳(二)	二 身 子 自 陳 二 
X32n0618_001:0305a48	初長行(五)	初 長 行 五 
X32n0618_001:0305a49	初總標聞法得解(今從)	初 總 標 聞 法 得 解 今 從 
X32n0618_001:0305a50	二明昔日之失顯今日之得(所以)	二 明 昔 日 之 失 顯 今 日 之 得 所 以 
X32n0618_001:0305a51	三明昔日之疑顯今日之解(世尊)	三 明 昔 日 之 疑 顯 今 日 之 解 世 尊 
X32n0618_001:0305a52	四明昔日疑悔今日疑悔盡斷(世尊)	四 明 昔 日 疑 悔 今 日 疑 悔 盡 斷 世 尊 
X32n0618_001:0305a53	五結成領解自肯成當(身意)	五 結 成 領 解 自 肯 成 當 身 意 
X32n0618_001:0305a54	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0305a55	初十六行半頌上長行(四)	初 十 六 行 半 頌 上 長 行 四 
X32n0618_001:0305a56	初一行頌總標聞法得解(爾時)	初 一 行 頌 總 標 聞 法 得 解 爾 時 
X32n0618_001:0305a57	二一行昔失今得(昔來)	二 一 行 昔 失 今 得 昔 來 
X32n0618_001:0305a58	三六行頌昔疑今解(我處)	三 六 行 頌 昔 疑 今 解 我 處 
X32n0618_001:0306a01	四八行頌昔悔今斷(我常)	四 八 行 頌 昔 悔 今 斷 我 常 
X32n0618_001:0306a02	二九行頌領前廣略開顯之文(初聞)	二 九 行 頌 領 前 廣 略 開 顯 之 文 初 聞 
X32n0618_001:0306a03	二身子領解已竟。	二 身 子 領 解 已 竟 
X32n0618_001:0306a05	○三如來述成(三)	 三 如 來 述 成 三 
X32n0618_001:0306a06	初昔曾教大(爾時)	初 昔 曾 教 大 爾 時 
X32n0618_001:0306a07	二中忘取小(舍利)	二 中 忘 取 小 舍 利 
X32n0618_001:0306a08	三還為說大(我今)	三 還 為 說 大 我 今 
X32n0618_001:0306a10	○四與之授記(二)	 四 與 之 授 記 二 
X32n0618_001:0306a11	初長行(十)	初 長 行 十 
X32n0618_001:0306a12	初明時節(舍利)	初 明 時 節 舍 利 
X32n0618_001:0306a13	二明行因(供養)	二 明 行 因 供 養 
X32n0618_001:0306a14	三明得果(當得)	三 明 得 果 當 得 
X32n0618_001:0306a15	四明國土(國名)	四 明 國 土 國 名 
X32n0618_001:0306a16	五明說法(華光)	五 明 說 法 華 光 
X32n0618_001:0306a17	六明劫號(其劫)	六 明 劫 號 其 劫 
X32n0618_001:0306a18	七明眾數(彼諸)	七 明 眾 數 彼 諸 
X32n0618_001:0306a19	八明壽量(舍利)	八 明 壽 量 舍 利 
X32n0618_001:0306a20	九轉記補處(華光)	九 轉 記 補 處 華 光 
X32n0618_001:0306a21	十法住久近(舍利)	十 法 住 久 近 舍 利 
X32n0618_001:0306a22	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0306a23	初十行頌上長行(十)	初 十 行 頌 上 長 行 十 
X32n0618_001:0306a24	初一行超頌得果(爾時)	初 一 行 超 頌 得 果 爾 時 
X32n0618_001:0306a25	二一行追頌行因(供養)	二 一 行 追 頌 行 因 供 養 
X32n0618_001:0306a26	三一句追頌時節(過無)	三 一 句 追 頌 時 節 過 無 
X32n0618_001:0306a27	四一句超頌劫號(劫名)	四 一 句 超 頌 劫 號 劫 名 
X32n0618_001:0306a28	五一行半頌國土(世界)	五 一 行 半 頌 國 土 世 界 
X32n0618_001:0306a29	六一行半頌眾數(彼國)	六 一 行 半 頌 眾 數 彼 國 
X32n0618_001:0306a30	七半行頌說法(如是)	七 半 行 頌 說 法 如 是 
X32n0618_001:0306a31	八二行頌壽量(佛為)	八 二 行 頌 壽 量 佛 為 
X32n0618_001:0306a32	九一行半頌法住久近(佛滅)	九 一 行 半 頌 法 住 久 近 佛 滅 
X32n0618_001:0306a33	十半行供養舍利(舍利)	十 半 行 供 養 舍 利 舍 利 
X32n0618_001:0306a34	二一行半頌結歎(華光)	二 一 行 半 頌 結 歎 華 光 
X32n0618_001:0306a36	○五四眾慶讚(二)	 五 四 眾 慶 讚 二 
X32n0618_001:0306a37	初長行(二)	初 長 行 二 
X32n0618_001:0306a38	初經家敘置(二)	初 經 家 敘 置 二 
X32n0618_001:0306a39	初敘眾喜(爾時)	初 敘 眾 喜 爾 時 
X32n0618_001:0306a40	二敘供養(各各)	二 敘 供 養 各 各 
X32n0618_001:0306a41	二四眾領解(而作)	二 四 眾 領 解 而 作 
X32n0618_001:0306a42	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0306a43	初二行頌上長行開顯(爾時)	初 二 行 頌 上 長 行 開 顯 爾 時 
X32n0618_001:0306a44	二四行半自述得解回向(我等)	二 四 行 半 自 述 得 解 回 向 我 等 
X32n0618_001:0306a45	初法說一周被上根已竟。	初 法 說 一 周 被 上 根 已 竟 
X32n0618_001:0306a47	○二喻說一周被中根(四)	 二 喻 說 一 周 被 中 根 四 
X32n0618_001:0306a48	初正說譬喻(二)	初 正 說 譬 喻 二 
X32n0618_001:0306a49	初身子代請(三)	初 身 子 代 請 三 
X32n0618_001:0306a50	初自述得記無疑(爾時)	初 自 述 得 記 無 疑 爾 時 
X32n0618_001:0306a51	二兼述同輩有惑(是諸)	二 兼 述 同 輩 有 惑 是 諸 
X32n0618_001:0306a52	三普為四眾代請(善哉)	三 普 為 四 眾 代 請 善 哉 
X32n0618_001:0306a53	二如來垂答(二)	二 如 來 垂 答 二 
X32n0618_001:0306a54	初抑揚發起(爾時)	初 抑 揚 發 起 爾 時 
X32n0618_001:0306a55	二正說譬喻(二)	二 正 說 譬 喻 二 
X32n0618_001:0306a56	初長行(二)	初 長 行 二 
X32n0618_001:0307a01	初喻說(二)	初 喻 說 二 
X32n0618_001:0307a02	初總喻(六)	初 總 喻 六 
X32n0618_001:0307a03	初長者喻(舍利)	初 長 者 喻 舍 利 
X32n0618_001:0307a04	二舍宅喻(其家)	二 舍 宅 喻 其 家 
X32n0618_001:0307a05	三一門喻(唯有)	三 一 門 喻 唯 有 
X32n0618_001:0307a06	四五百人喻(多諸)	四 五 百 人 喻 多 諸 
X32n0618_001:0307a07	五火起喻(堂閣)	五 火 起 喻 堂 閣 
X32n0618_001:0307a08	六三十子喻(長者)	六 三 十 子 喻 長 者 
X32n0618_001:0307a09	二別喻(四)	二 別 喻 四 
X32n0618_001:0307a10	初長者見火喻(長者)	初 長 者 見 火 喻 長 者 
X32n0618_001:0307a11	二捨几用車喻(二)	二 捨 几 用 車 喻 二 
X32n0618_001:0307a12	初捨几(三)	初 捨 几 三 
X32n0618_001:0307a13	初長者念救(舍利)	初 長 者 念 救 舍 利 
X32n0618_001:0307a14	二諸子不聽(父雖)	二 諸 子 不 聽 父 雖 
X32n0618_001:0307a15	三馳戲視父(但東)	三 馳 戲 視 父 但 東 
X32n0618_001:0307a16	二用車(四)	二 用 車 四 
X32n0618_001:0307a17	初擬宜三車喻(爾時)	初 擬 宜 三 車 喻 爾 時 
X32n0618_001:0307a18	二知子先心喻(父知)	二 知 子 先 心 喻 父 知 
X32n0618_001:0307a19	三歎美三車喻(三)	三 歎 美 三 車 喻 三 
X32n0618_001:0307a20	初勸脩轉(而告)	初 勸 脩 轉 而 告 
X32n0618_001:0307a21	二示相轉(如此)	二 示 相 轉 如 此 
X32n0618_001:0307a22	三作證轉(汝等)	三 作 證 轉 汝 等 
X32n0618_001:0307a23	四適子所願喻(爾時)	四 適 子 所 願 喻 爾 時 
X32n0618_001:0307a24	三等賜大車喻(四)	三 等 賜 大 車 喻 四 
X32n0618_001:0307a25	初父見子免難歡喜喻(是時)	初 父 見 子 免 難 歡 喜 喻 是 時 
X32n0618_001:0307a26	二諸子索車喻(時諸)	二 諸 子 索 車 喻 時 諸 
X32n0618_001:0307a27	三等賜諸子大車喻(三)	三 等 賜 諸 子 大 車 喻 三 
X32n0618_001:0307a28	初雙標子等車等(舍利)	初 雙 標 子 等 車 等 舍 利 
X32n0618_001:0307a29	二廣明車等(二)	二 廣 明 車 等 二 
X32n0618_001:0307a30	初明車之體相(其車)	初 明 車 之 體 相 其 車 
X32n0618_001:0307a31	二釋有車之由(所以)	二 釋 有 車 之 由 所 以 
X32n0618_001:0307a32	三廣明心等(二)	三 廣 明 心 等 二 
X32n0618_001:0307a33	初廣心等(而作)	初 廣 心 等 而 作 
X32n0618_001:0307a34	二釋心等(所以)	二 釋 心 等 所 以 
X32n0618_001:0307a35	四諸子得車歡喜喻(是時)	四 諸 子 得 車 歡 喜 喻 是 時 
X32n0618_001:0307a36	四長者不虗喻(三)	四 長 者 不 虗 喻 三 
X32n0618_001:0307a37	初如來垂問(舍利)	初 如 來 垂 問 舍 利 
X32n0618_001:0307a38	二舍利弗答(二)	二 舍 利 弗 答 二 
X32n0618_001:0307a39	初直答不虗(舍利)	初 直 答 不 虗 舍 利 
X32n0618_001:0307a40	二申明不虗之意(四)	二 申 明 不 虗 之 意 四 
X32n0618_001:0307a41	初免其火難不虛(是長)	初 免 其 火 難 不 虛 是 長 
X32n0618_001:0307a42	二結況以重奪輕不虛(況復)	二 結 況 以 重 奪 輕 不 虛 況 復 
X32n0618_001:0307a43	三不乖本心不虗(世尊)	三 不 乖 本 心 不 虗 世 尊 
X32n0618_001:0307a44	四結況過本所望不虗(何況)	四 結 況 過 本 所 望 不 虗 何 況 
X32n0618_001:0307a45	三如來歎善(佛告)	三 如 來 歎 善 佛 告 
X32n0618_001:0307a46	二法合(二)	二 法 合 二 
X32n0618_001:0307a47	初合總喻(六)	初 合 總 喻 六 
X32n0618_001:0307a48	初合長者喻(舍利)	初 合 長 者 喻 舍 利 
X32n0618_001:0307a49	二合五百人喻(大慈)	二 合 五 百 人 喻 大 慈 
X32n0618_001:0307a50	三合舍宅喻(而生)	三 合 舍 宅 喻 而 生 
X32n0618_001:0307a51	四合三十子喻(為度)	四 合 三 十 子 喻 為 度 
X32n0618_001:0307a52	五合火起喻(生老)	五 合 火 起 喻 生 老 
X32n0618_001:0307a53	六合一門喻(教化)	六 合 一 門 喻 教 化 
X32n0618_001:0307a54	二合別喻(四)	二 合 別 喻 四 
X32n0618_001:0307a55	初合長者見火喻(四)	初 合 長 者 見 火 喻 四 
X32n0618_001:0307a56	初合能見(見)	初 合 能 見 見 
X32n0618_001:0307a57	二合所見火(諸眾)	二 合 所 見 火 諸 眾 
X32n0618_001:0307a58	三合廣前所見(眾生)	三 合 廣 前 所 見 眾 生 
X32n0618_001:0307a59	四合長者驚怖(舍利)	四 合 長 者 驚 怖 舍 利 
X32n0618_001:0307a60	二合捨几用車喻(二)	二 合 捨 几 用 車 喻 二 
X32n0618_001:0307a61	初合捨几(二)	初 合 捨 几 二 
X32n0618_001:0307a62	初合長者念救(舍利)	初 合 長 者 念 救 舍 利 
X32n0618_001:0307a63	二合諸子不聽(所以)	二 合 諸 子 不 聽 所 以 
X32n0618_001:0307a64	二合用車(二)	二 合 用 車 二 
X32n0618_001:0307a65	初牒前三喻(舍利)	初 牒 前 三 喻 舍 利 
X32n0618_001:0308a01	二正合用車(四)	二 正 合 用 車 四 
X32n0618_001:0308a02	初合擬宜三車(如來)	初 合 擬 宜 三 車 如 來 
X32n0618_001:0308a03	二合知子先心(為說)	二 合 知 子 先 心 為 說 
X32n0618_001:0308a04	三合歎三車希有(三)	三 合 歎 三 車 希 有 三 
X32n0618_001:0308a05	初合示相轉(而作)	初 合 示 相 轉 而 作 
X32n0618_001:0308a06	二合作證轉(我今)	二 合 作 證 轉 我 今 
X32n0618_001:0308a07	三合勸修轉(汝等)	三 合 勸 修 轉 汝 等 
X32n0618_001:0308a08	四合適子所願(三)	四 合 適 子 所 願 三 
X32n0618_001:0308a09	初合羊車(舍利)	初 合 羊 車 舍 利 
X32n0618_001:0308a10	二合鹿車(若有)	二 合 鹿 車 若 有 
X32n0618_001:0308a11	三合牛車(若有)	三 合 牛 車 若 有 
X32n0618_001:0308a12	三合等賜大車喻(二)	三 合 等 賜 大 車 喻 二 
X32n0618_001:0308a13	初牒前二喻(舍利)	初 牒 前 二 喻 舍 利 
X32n0618_001:0308a14	二次合二喻(二)	二 次 合 二 喻 二 
X32n0618_001:0308a15	初合諸子免難(如來)	初 合 諸 子 免 難 如 來 
X32n0618_001:0308a16	二合等賜大車(三)	二 合 等 賜 大 車 三 
X32n0618_001:0308a17	初合釋有車之由(如來)	初 合 釋 有 車 之 由 如 來 
X32n0618_001:0308a18	二合廣明心等(是諸)	二 合 廣 明 心 等 是 諸 
X32n0618_001:0308a19	三合廣明車等(是諸)	三 合 廣 明 車 等 是 諸 
X32n0618_001:0308a20	四合長者不虗喻(二)	四 合 長 者 不 虗 喻 二 
X32n0618_001:0308a21	初先牒前喻(舍利)	初 先 牒 前 喻 舍 利 
X32n0618_001:0308a22	二正合不虗(如來)	二 正 合 不 虗 如 來 
X32n0618_001:0308a23	二偈頌○	二 偈 頌 
X32n0618_001:0308a24	二四子領解○	二 四 子 領 解 
X32n0618_001:0308a25	三如來述成○	三 如 來 述 成 
X32n0618_001:0308a26	四與之授記○	四 與 之 授 記 
X32n0618_001:0308a28	○二偈頌(二)	 二 偈 頌 二 
X32n0618_001:0308a29	初一百行頌上長行(二)	初 一 百 行 頌 上 長 行 二 
X32n0618_001:0308a30	初六十五行半頌喻說(二)	初 六 十 五 行 半 頌 喻 說 二 
X32n0618_001:0308a31	初三十三行頌總喻(四)	初 三 十 三 行 頌 總 喻 四 
X32n0618_001:0308a32	初一句頌長者喻(佛欲)	初 一 句 頌 長 者 喻 佛 欲 
X32n0618_001:0308a33	二三行一句頌家宅喻(有一)	二 三 行 一 句 頌 家 宅 喻 有 一 
X32n0618_001:0308a34	三二句頌五百人喻(有五)	三 二 句 頌 五 百 人 喻 有 五 
X32n0618_001:0308a35	四二十九行廣頌火起(四)	四 二 十 九 行 廣 頌 火 起 四 
X32n0618_001:0308a36	初廿二行頌明地上事喻欲界火起(四)	初 廿 二 行 頌 明 地 上 事 喻 欲 界 火 起 四 
X32n0618_001:0308a37	初明所燒之類(二)	初 明 所 燒 之 類 二 
X32n0618_001:0308a38	初正明所燒(二)	初 正 明 所 燒 二 
X32n0618_001:0308a39	初明禽獻被燒喻五鈍使眾生(二)	初 明 禽 獻 被 燒 喻 五 鈍 使 眾 生 二 
X32n0618_001:0308a40	初正喻五鈍(五)	初 正 喻 五 鈍 五 
X32n0618_001:0308a41	初二句頌喻慢使(鴟梟)	初 二 句 頌 喻 慢 使 鴟 梟 
X32n0618_001:0308a42	二二句頌喻瞋使(蚖蛇)	二 二 句 頌 喻 瞋 使 蚖 蛇 
X32n0618_001:0308a43	三二行頌喻癡使(守宮)	三 二 行 頌 喻 癡 使 守 宮 
X32n0618_001:0308a44	四二行頌喻貪使(狐狼)	四 二 行 頌 喻 貪 使 狐 狼 
X32n0618_001:0308a45	五二句頌喻疑使(鬪諍)	五 二 句 頌 喻 疑 使 鬪 諍 
X32n0618_001:0308a46	二二句頌結顯宅變(其舍)	二 二 句 頌 結 顯 宅 變 其 舍 
X32n0618_001:0308a47	二明鬼神被燒喻五利使眾生(二)	二 明 鬼 神 被 燒 喻 五 利 使 眾 生 二 
X32n0618_001:0308a48	初二句總明五利(處處)	初 二 句 總 明 五 利 處 處 
X32n0618_001:0308a49	二九行半別明五利(五)	二 九 行 半 別 明 五 利 五 
X32n0618_001:0308a50	初三行喻邪見(夜叉)	初 三 行 喻 邪 見 夜 叉 
X32n0618_001:0308a51	二二行半喻戒禁取(鳩槃)	二 二 行 半 喻 戒 禁 取 鳩 槃 
X32n0618_001:0308a52	三一行半喻身見(復有)	三 一 行 半 喻 身 見 復 有 
X32n0618_001:0308a53	四半行喻見取(復有)	四 半 行 喻 見 取 復 有 
X32n0618_001:0308a54	五二行喻邊見(復有)	五 二 行 喻 邊 見 復 有 
X32n0618_001:0308a55	二一行半總結所燒(夜叉)	二 一 行 半 總 結 所 燒 夜 叉 
X32n0618_001:0308a56	二一行明火起之由(是朽)	二 一 行 明 火 起 之 由 是 朽 
X32n0618_001:0308a57	三二行明起火之勢(於後)	三 二 行 明 起 火 之 勢 於 後 
X32n0618_001:0308a58	四一行半明被燒之相(諸鬼)	四 一 行 半 明 被 燒 之 相 諸 鬼 
X32n0618_001:0308a59	二三行半明穴中事喻色界火起(四)	二 三 行 半 明 穴 中 事 喻 色 界 火 起 四 
X32n0618_001:0308a60	初一行明所燒之類(惡獸)	初 一 行 明 所 燒 之 類 惡 獸 
X32n0618_001:0308a61	二一句明火起之由(薄福)	二 一 句 明 火 起 之 由 薄 福 
X32n0618_001:0308a62	三一句明火燒之勢(為火)	三 一 句 明 火 燒 之 勢 為 火 
X32n0618_001:0308a63	四二行明被燒之相(共相)	四 二 行 明 被 燒 之 相 共 相 
X32n0618_001:0308a64	三二行半明空中事喻無色界火起(二)	三 二 行 半 明 空 中 事 喻 無 色 界 火 起 二 
X32n0618_001:0308a65	初一行明所燒之類(蜈蚣)	初 一 行 明 所 燒 之 類 蜈 蚣 
X32n0618_001:0308a66	二一行半明所燒之相(鳩槃)	二 一 行 半 明 所 燒 之 相 鳩 槃 
X32n0618_001:0309a01	四一行總結眾難多端(其宅)	四 一 行 總 結 眾 難 多 端 其 宅 
X32n0618_001:0309a02	二卅二半行頌別喻(三)	二 卅 二 半 行 頌 別 喻 三 
X32n0618_001:0309a03	初二行半頌長者見火(三)	初 二 行 半 頌 長 者 見 火 三 
X32n0618_001:0309a04	初三句頌長者能見(是時)	初 三 句 頌 長 者 能 見 是 時 
X32n0618_001:0309a05	二一行一句頌所見(汝諸)	二 一 行 一 句 頌 所 見 汝 諸 
X32n0618_001:0309a06	三二句頌驚怖(長者)	三 二 句 頌 驚 怖 長 者 
X32n0618_001:0309a07	二十三行頌捨几用車喻(二)	二 十 三 行 頌 捨 几 用 車 喻 二 
X32n0618_001:0309a08	初五行半頌捨几(三)	初 五 行 半 頌 捨 几 三 
X32n0618_001:0309a09	初四行半頌長者念救(方宜)	初 四 行 半 頌 長 者 念 救 方 宜 
X32n0618_001:0309a10	二三句頌諸子不聽(諸子)	二 三 句 頌 諸 子 不 聽 諸 子 
X32n0618_001:0309a11	三一句頌馳戲視父(嬉戲)	三 一 句 頌 馳 戲 視 父 嬉 戲 
X32n0618_001:0309a12	二七行半頌用車(三)	二 七 行 半 頌 用 車 三 
X32n0618_001:0309a13	初三行頌擬宜三車(是時)	初 三 行 頌 擬 宜 三 車 是 時 
X32n0618_001:0309a14	二三行頌歎美三車希有(告諸)	二 三 行 頌 歎 美 三 車 希 有 告 諸 
X32n0618_001:0309a15	三一行半頌適子所願(諸子)	三 一 行 半 頌 適 子 所 願 諸 子 
X32n0618_001:0309a16	三十七行頌等賜大車喻(四)	三 十 七 行 頌 等 賜 大 車 喻 四 
X32n0618_001:0309a17	初五行頌免難歡喜(長者)	初 五 行 頌 免 難 歡 喜 長 者 
X32n0618_001:0309a18	二三行頌諸子索車(爾時)	二 三 行 頌 諸 子 索 車 爾 時 
X32n0618_001:0309a19	三七行半頌等賜大車(長者)	三 七 行 半 頌 等 賜 大 車 長 者 
X32n0618_001:0309a20	四一行半頌得事歡喜(諸子)	四 一 行 半 頌 得 事 歡 喜 諸 子 
X32n0618_001:0309a21	二三十四行半頌法合○	二 三 十 四 行 半 頌 法 合 
X32n0618_001:0309a22	二六十五行補頌二義○	二 六 十 五 行 補 頌 二 義 
X32n0618_001:0309a23	一喻說已竟。	一 喻 說 已 竟 
X32n0618_001:0309a25	○二卅四行半頌法合(二)	 二 卅 四 行 半 頌 法 合 二 
X32n0618_001:0309a26	初四行頌合總喻(告舍)	初 四 行 頌 合 總 喻 告 舍 
X32n0618_001:0309a27	二三十行半頌合別喻(四)	二 三 十 行 半 頌 合 別 喻 四 
X32n0618_001:0309a28	初三行頌合長者見火(如來)	初 三 行 頌 合 長 者 見 火 如 來 
X32n0618_001:0309a29	二四行頌合捨几用車(二)	二 四 行 頌 合 捨 几 用 車 二 
X32n0618_001:0309a30	初一行頌合捨几(雖復)	初 一 行 頌 合 捨 几 雖 復 
X32n0618_001:0309a31	二三行頌合用車(以是)	二 三 行 頌 合 用 車 以 是 
X32n0618_001:0309a32	三八行頌合等賜大車(二)	三 八 行 頌 合 等 賜 大 車 二 
X32n0618_001:0309a33	初五行頌合等賜(汝舍)	初 五 行 頌 合 等 賜 汝 舍 
X32n0618_001:0309a34	二三行頌合歡喜(得如)	二 三 行 頌 合 歡 喜 得 如 
X32n0618_001:0309a35	四十五行半頌合無虗妄(二)	四 十 五 行 半 頌 合 無 虗 妄 二 
X32n0618_001:0309a36	初三行半頌合不虗章門(告舍)	初 三 行 半 頌 合 不 虗 章 門 告 舍 
X32n0618_001:0309a37	二十二行頌合不虗(三)	二 十 二 行 頌 合 不 虗 三 
X32n0618_001:0309a38	初二行釋同皆是子理應平等(若有)	初 二 行 釋 同 皆 是 子 理 應 平 等 若 有 
