X26n0575_001:0965c04	略移	略 移 
X26n0575_001:0970b05	無始到至今。	無 始 到 至 今 
X26n0575_001:0970b06	甚深處&;玄妙理&;無人通曉&;	甚 深 處 玄 妙 理 無 人 通 曉 
X26n0575_001:0970b07	難開口&;不敢應承&;	難 開 口 不 敢 應 承 
X26n0575_001:0970b08	是無為&;難量難測&;	是 無 為 難 量 難 測 
X26n0575_001:0970b09	不可說&;即是真空&;	不 可 說 即 是 真 空 
X26n0575_001:0970b10	人難惺&;十分奧妙&;	人 難 惺 十 分 奧 妙 
X26n0575_001:0970b11	實難參&;幾箇知因&;	實 難 參 幾 箇 知 因 
X26n0575_001:0970b12	難下手&;本無一物&;	難 下 手 本 無 一 物 
X26n0575_001:0970b13	甚深處&;無底沒&;寸步難行&;	甚 深 處 無 底 沒 寸 步 難 行 
X26n0575_001:0970b14	解不開&;難信之法&;	解 不 開 難 信 之 法 
X26n0575_001:0970b15	若得了&;甚深處&;晝夜歡忻&;	若 得 了 甚 深 處 晝 夜 歡 忻 
X26n0575_001:0970b16	脚踏實地&;	脚 踏 實 地 
X26n0575_001:0970b17	立命安身&;	立 命 安 身 
X26n0575_001:0970b18	再不輪轉&;	再 不 輪 轉 
X26n0575_001:0970b19	無相家風&;	無 相 家 風 
X26n0575_001:0970b20	常生不滅&;	常 生 不 滅 
X26n0575_001:0970b21	不壞金身&;	不 壞 金 身 
X26n0575_001:0970b22	無邊聖境&;	無 邊 聖 境 
X26n0575_001:0970b23	受用無窮&;	受 用 無 窮 
X26n0575_001:0970b24	　虧明師　　說透了　　甚深之處	 虧 明 師 說 透 了 甚 深 之 處 
X26n0575_001:0970c01	　元是我　　清淨體　　一段靈明	 元 是 我 清 淨 體 一 段 靈 明 
X26n0575_001:0970c02	般若。二字。西天梵語也。東土翻為智慧。大凡為人須	般 若 二 字 西 天 梵 語 也 東 土 翻 為 智 慧 大 凡 為 人 須 
X26n0575_001:0970c03	要自生智慧。若無智慧。真是愚人。空過一生。甘伏死	要 自 生 智 慧 若 無 智 慧 真 是 愚 人 空 過 一 生 甘 伏 死 
X26n0575_001:0970c04	門。有一等無智之人。以聰明謂之智慧。大錯矣。且聰	門 有 一 等 無 智 之 人 以 聰 明 謂 之 智 慧 大 錯 矣 且 聰 
X26n0575_001:0970c05	明之人。賣弄精炁。役使心神。出言如飛龍俊鷂。行持	明 之 人 賣 弄 精 炁 役 使 心 神 出 言 如 飛 龍 俊 鷂 行 持 
X26n0575_001:0970c06	如跛鼈瘤龜。貪利圖名。紐粗作細。看世財如骨如髓。	如 跛 鼈 瘤 龜 貪 利 圖 名 紐 粗 作 細 看 世 財 如 骨 如 髓 
X26n0575_001:0970c07	棄性命若糞若土。只知明日後日。今年後年。不知老	棄 性 命 若 糞 若 土 只 知 明 日 後 日 今 年 後 年 不 知 老 
X26n0575_001:0970c08	之將至。死限臨頭。可惜空過時光。虗勞一世似此所	之 將 至 死 限 臨 頭 可 惜 空 過 時 光 虗 勞 一 世 似 此 所 
X26n0575_001:0970c09	為。生死輪迴。如何脫得。且有智慧之人。外行愚鹵。內	為 生死輪迴 如 何 脫 得 且 有 智 慧 之 人 外 行 愚 鹵 內 
X26n0575_001:0970c10	默安詳。識有生有死。悟無得而無失。常自諦觀。生從	默 安 詳 識 有 生 有 死 悟 無 得 而 無 失 常 自 諦 觀 生 從 
X26n0575_001:0970c11	何來。死從何往。發此一念。親近知識。參問至人。求出	何 來 死 從 何 往 發 此 一 念 親 近 知 識 參 問 至 人 求 出 
X26n0575_001:0970c12	世之法。迯生死之路。避過惡如避錐刀。顧性命如顧	世 之 法 迯 生 死 之 路 避 過 惡 如 避 錐 刀 顧 性 命 如 顧 
X26n0575_001:0970c13	寶貝。動則安人利物。亦不被境瞞。靜則入定觀空。更	寶 貝 動 則 安 人 利 物 亦 不 被 境 瞞 靜 則 入 定 觀 空 更 
X26n0575_001:0970c14	不滯莾蕩。如是之者。一旦果完。擺手還家。得大自在。	不 滯 莾 蕩 如 是 之 者 一 旦 果 完 擺 手 還 家 得 大 自 在 
X26n0575_001:0970c15	先師云。一日得還鄉。不作飄蓬客。釋云。撒手到家人	先 師 云 一 日 得 還 鄉 不 作 飄 蓬 客 釋 云 撒 手 到 家 人 
X26n0575_001:0970c16	不識。更無一物献尊堂。川老云。孤舟到岸。遠客還鄉。	不 識 更 無 一 物 献 尊 堂 川 老 云 孤 舟 到 岸 遠 客 還 鄉 
X26n0575_001:0970c17	且道如何是鄉。遠後十萬八千。近後不離當處。會得	且 道 如 何 是 鄉 遠 後 十 萬 八 千 近 後 不 離 當 處 會 得 
X26n0575_001:0970c18	麼。	麼 
X26n0575_001:0970c19	　智慧聰明總是心　　智人修內蠢傍尋	 智 慧 聰 明 總 是 心 智 人 修 內 蠢 傍 尋 
X26n0575_001:0970c20	　若人有智超三界　　無智愚夫生死臨	 若 人 有 智 超 三 界 無 智 愚 夫 生 死 臨 
X26n0575_001:0970c21	　般若有力智慧刀　　斬斷思愛出塵勞	 般 若 有 力 智 慧 刀 斬 斷 思 愛 出 塵 勞 
X26n0575_001:0970c22	　休等大限難底背　　無常殺鬼不相饒	 休 等 大 限 難 底 背 無 常 殺 鬼 不 相 饒 
X26n0575_001:0970c23	　守真志滿為綱紀　　齋戒嚴切自然高	 守 真 志 滿 為 綱 紀 齋 戒 嚴 切 自 然 高 
X26n0575_001:0970c24	　門口掛著生鉄面　　不順人情罪業消	 門 口 掛 著 生 鉄 面 不 順 人 情 罪 業 消 
X26n0575_001:0971a01	　智慧之人心不往　　外行愚鹵內安詳	 智 慧 之 人 心 不 往 外 行 愚 鹵 內 安 詳 
X26n0575_001:0971a02	　念念在道不放捨　　時時用意默默參	 念 念 在 道 不 放 捨 時 時 用 意 默 默 參 
X26n0575_001:0971a03	　功成行滿因緣至　　[囗@力]的一聲道現前	 功 成 行 滿 因 緣 至 [囗力] 的 一 聲 道 現 前 
X26n0575_001:0971a04	　橫遍十方無遮擋　　竪窮三際運用寬	 橫 遍 十 方 無 遮 擋 竪 窮 三 際 運 用 寬 
X26n0575_001:0971a05	波羅。二字。西天梵語也。東土翻為彼岸。且迷者有生	波 羅 二 字 西 天 梵 語 也 東 土 翻 為 彼 岸 且 迷 者 有 生 
X26n0575_001:0971a06	死。墮輪迴。只在此岸也。悟者超生死。脫輪迴。到彼岸	死 墮 輪 迴 只 在 此 岸 也 悟 者 超 生 死 脫 輪 迴 到 彼 岸 
X26n0575_001:0971a07	也。若要到彼岸。須是自生智慧。過此生死苦海。如人	也 若 要 到 彼 岸 須 是 自 生 智 慧 過 此 生 死 苦 海 如 人 
X26n0575_001:0971a08	過水。水深難過。須用船橋。或用木牌竹筏。多種方便。	過 水 水 深 難 過 須 用 船 橋 或 用 木 牌 竹 筏 多 種 方 便 
X26n0575_001:0971a09	盛載過此苦海而到彼岸。既達彼岸。前者船橋木牌	盛 載 過 此 苦 海 而 到 彼 岸 既 達 彼 岸 前 者 船 橋 木 牌 
X26n0575_001:0971a10	等物。盡皆無用。見性悟道者。亦復如是。大顛云。如盲	等 物 盡 皆 無 用 見 性 悟 道 者 亦復如是 大 顛 云 如 盲 
X26n0575_001:0971a11	人求醫。遠路不能自行。須假人牽。兼手中有杖。方可。	人 求 醫 遠 路 不 能 自 行 須 假 人 牽 兼 手 中 有 杖 方 可 
X26n0575_001:0971a12	無此二物。不能得到。既到醫家。醫師與他點眼。大見	無 此 二 物 不 能 得 到 既 到 醫 家 醫 師 與 他 點 眼 大 見 
X26n0575_001:0971a13	光明。其杖與牽人。都無用處。頓悟涅槃正道。亦復如	光 明 其 杖 與 牽 人 都 無 用 處 頓 悟 涅 槃 正 道 亦 復 如 
X26n0575_001:0971a14	是。且道甚是牽人柱杖。予今說破。信者便行。然後須	是 且 道 甚 是 牽 人 柱 杖 予 今 說 破 信 者 便 行 然 後 須 
X26n0575_001:0971a15	辦取內功。求見性之法。了生死大事。一日功圓。得見	辦 取 內 功 求 見 性 之 法 了 生 死 大 事 一 日 功 圓 得 見 
X26n0575_001:0971a16	本來面目。便是柱杖也。更要參訪明眼師。真大德。便	本 來 面 目 便 是 柱 杖 也 更 要 參 訪 明 眼 師 真 大 德 便 
X26n0575_001:0971a17	是醫人也。從前多種方便。盡皆無用。惟柱杖不可棄	是 醫 人 也 從 前 多 種 方 便 盡 皆 無 用 惟 柱 杖 不 可 棄 
X26n0575_001:0971a18	了。道云。得魚忘筌。得兔忘蹄。釋云。過河須用筏。到岸	了 道 云 得 魚 忘 筌 得 兔 忘 蹄 釋 云 過 河 須 用 筏 到 岸 
X26n0575_001:0971a19	不須船。儒云。得意忘言。得米忘田。旦道都教忘却。因	不 須 船 儒 云 得 意 忘 言 得 米 忘 田 旦 道 都 教 忘 却 因 
X26n0575_001:0971a20	甚只不教棄了柱杖。求到水窮山盡處。且存作伴過	甚 只 不 教 棄 了 柱 杖 求 到 水 窮 山 盡 處 且 存 作 伴 過 
X26n0575_001:0971a21	時光。理會也未。這根柱杖本無相。元與虗空無兩樣。	時 光 理 會 也 未 這 根 柱 杖 本 無 相 元 與 虗 空 無 兩 樣 
X26n0575_001:0971a22	若人提起透三天。徧界邪魔不敢望。	若 人 提 起 透 三 天 徧 界 邪 魔 不 敢 望 
X26n0575_001:0971a23	　波羅者　　上岸人　　脚踏實地	 波 羅 者 上 岸 人 脚 踏 實 地 
X26n0575_001:0971a24	　行善的　　出苦海　　不受塵淪	 行 善 的 出 苦 海 不 受 塵 淪 
X26n0575_001:0971b01	　參大道　　明性理　　還有好處	 參 大 道 明 性 理 還 有 好 處 
X26n0575_001:0971b02	　歸家者　　到本地　　立命安身	 歸 家 者 到 本 地 立 命 安 身 
X26n0575_001:0971b03	　三世佛　　都在此　　華嚴海會	 三 世 佛 都 在 此 華 嚴 海 會 
X26n0575_001:0971b04	　極樂國　　受風光　　無盡無窮	 極 樂 國 受 風 光 無 盡 無 窮 
X26n0575_001:0971b05	　思量起　　苦海裏　　翻波浪滾	 思 量 起 苦 海 裏 翻 波 浪 滾 
X26n0575_001:0971b06	　水又深　　無船渡　　不得逃生	 水 又 深 無 船 渡 不 得 逃 生 
X26n0575_001:0971b07	　晝夜家　　怕生死　　憂愁不盡	 晝 夜 家 怕 生 死 憂 愁 不 盡 
X26n0575_001:0971b08	　訪明師　　遇不著　　怎脫紅津	 訪 明 師 遇 不 著 怎 脫 紅 津 
X26n0575_001:0971b09	　見一人　　說佛法　　應聲高呌	 見 一 人 說 佛 法 應 聲 高 呌 
X26n0575_001:0971b10	　論無為　　談理義　　本性元因	 論 無 為 談 理 義 本 性 元 因 
X26n0575_001:0971b11	　言言真　　句句正　　單朋自己	 言 言 真 句 句 正 單 朋 自 己 
X26n0575_001:0971b12	　三教同　　合聖心　　與世無情	 三 教 同 合 聖 心 與 世 無 情 
X26n0575_001:0971b13	　這箇理　　是佛祖　　普光三昧	 這 箇 理 是 佛 祖 普 光 三 昧 
X26n0575_001:0971b14	　掃萬法　　劈玄門　　照破乾坤	 掃 萬 法 劈 玄 門 照 破 乾 坤 
X26n0575_001:0971b15	　心裏喜　　可信受　　別無一念	 心 裏 喜 可 信 受 別 無 一 念 
X26n0575_001:0971b16	　波羅蜜　　登彼岸　　纔得安心	 波 羅 蜜 登 彼 岸 纔 得 安 心 
X26n0575_001:0971b17	蜜多。二字。西天梵語也。東土翻為無極。且無極者。無	蜜 多 二 字 西 天 梵 語 也 東 土 翻 為 無 極 且 無 極 者 無 
X26n0575_001:0971b18	極而太極也○乃虗空妙道也。古云。無極而太極。太	極 而 太 極 也 乃 虗 空 妙 道 也 古 云 無 極 而 太 極 太 
X26n0575_001:0971b19	極分二儀。二儀生三才。三才生四象。四象生五行。因	極 分 二 儀 二 儀 生 三 才 三 才 生 四 象 四 象 生 五 行 因 
X26n0575_001:0971b20	有五行。漸漸滋生萬類。萬類盡在妙道之中包含也。	有 五 行 漸 漸 滋 生 萬 類 萬 類 盡 在 妙 道 之 中 包 含 也 
X26n0575_001:0971b21	今以蜜之一字。喻於虗空妙道。多者。比於諸品眾類。	今 以 蜜 之 一 字 喻 於 虗 空 妙 道 多 者 比 於 諸 品 眾 類 
X26n0575_001:0971b22	有情無情。皆屬道之含攝。且如蜂採百華。醞造成蜜。	有 情 無 情 皆 屬 道 之 含 攝 且 如 蜂 採 百 華 醞 造 成 蜜 
X26n0575_001:0971b23	未成之時。有醎酸甘苦辛之眾味。青黃赤白之眾色。	未 成 之 時 有 醎 酸 甘 苦 辛 之 眾 味 青 黃 赤 白 之 眾 色 
X26n0575_001:0971b24	其味不等。其色不一。一日功成蜜就。種種之味。釀成	其 味 不 等 其 色 不 一 一 日 功 成 蜜 就 種 種 之 味 釀 成 
X26n0575_001:0971c01	一味。般般之色。混同一色。馨香美味。一無差別。到此	一 味 般 般 之 色 混 同 一 色 馨 香 美 味 一 無 差 別 到 此 
X26n0575_001:0971c02	則蜂得養生。人得受用。修行之人。亦復如是。且如修	則 蜂 得 養 生 人 得 受 用 修 行 之 人 亦復如是 且 如 修 
X26n0575_001:0971c03	行之人。調伏身心。朝磨暮煉。功行未成之際。有慳貪	行 之 人 調 伏 身 心 朝 磨 暮 煉 功 行 未 成 之 際 有 慳 貪 
X26n0575_001:0971c04	心。利名心。嫉妬心。狼毒心。計較心。勝負心。貢高心。我	心 利 名 心 嫉 妬 心 狼 毒 心 計 較 心 勝 負 心 貢 高 心 我 
X26n0575_001:0971c05	慢心。殺害心。三毒心。怕怖心。邪匿心。妄想心。無明心。	慢 心 殺 害 心 三 毒 心 怕 怖 心 邪 匿 心 妄 想 心 無 明 心 
X26n0575_001:0971c06	愚濁心。不善心。哄人心。暴惡性。麤躁性。風火性。見趣	愚 濁 心 不 善 心 哄 人 心 暴 惡 性 麤 躁 性 風 火 性 見 趣 
X26n0575_001:0971c07	性。乖劣性。虗詐性。好閧性。撅強性。顛誑性。浮華性。謟	性 乖 劣 性 虗 詐 性 好 閧 性 撅 強 性 顛 誑 性 浮 華 性 謟 
X26n0575_001:0971c08	曲性。分別性。貪嗔性。恩愛性。返復性。自無始以來。一	曲 性 分 別 性 貪 嗔 性 恩 愛 性 返 復 性 自 無 始 以 來 一 
X26n0575_001:0971c09	切習性貪心八萬四千有餘也。說不能盡。智慧之人。	切 習 性 貪 心 八萬四千 有 餘 也 說 不 能 盡 智 慧 之 人 
X26n0575_001:0971c10	一刀兩斷。立志防身。窮根究本。功圓行滿。頑心自盡。	一 刀 兩 斷 立 志 防 身 窮 根 究 本 功 圓 行 滿 頑 心 自 盡 
X26n0575_001:0971c11	邪性以滅。顯出聖心真性。並無差別。獨露真常。得大	邪 性 以 滅 顯 出 聖 心 真 性 並 無 差 別 獨 露 真 常 得 大 
X26n0575_001:0971c12	自在。古德云。眾星朗朗。不如孤月獨明。道云。百川流	自 在 古 德 云 眾 星 朗 朗 不 如 孤 月 獨 明 道 云 百 川 流 
X26n0575_001:0971c13	有盡。一海納無窮。仙師云。千思萬慮終成妄。獨守一	有 盡 一 海 納 無 窮 仙 師 云 千 思 萬 慮 終 成 妄 獨 守 一 
X26n0575_001:0971c14	真道自親。且道如何得見一真。	真 道 自 親 且 道 如 何 得 見 一 真 
X26n0575_001:0971c15	　蜜多二守非等閑　　調理一切歸本源	 蜜 多 二 守 非 等 閑 調 理 一 切 歸 本 源 
X26n0575_001:0971c16	　用時嘗著心中美　　諸味不同一例甜	 用 時 嘗 著 心 中 美 諸 味 不 同 一 例 甜 
X26n0575_001:0971c17	　憐憫方便人盡喜　　溫良慈善敬奉寬	 憐 憫 方 便 人 盡 喜 溫 良 慈 善 敬 奉 寬 
X26n0575_001:0971c18	　達本性空隨緣分　　捨命承當可向前	 達 本 性 空 隨 緣 分 捨 命 承 當 可 向 前 
X26n0575_001:0971c19	　信心納受無極道　　大用不缺理義全	 信 心 納 受 無 極 道 大 用 不 缺 理 義 全 
X26n0575_001:0971c20	　鉄面無情生死斷　　疑心放下當時安	 鉄 面 無 情 生 死 斷 疑 心 放 下 當 時 安 
X26n0575_001:0971c21	　要了無常不打緊　　不發智慧甚是難	 要 了 無 常 不 打 緊 不 發 智 慧 甚 是 難 
X26n0575_001:0971c22	　順著六賊都惹禍　　心猿意馬最無端	 順 著 六 賊 都 惹 禍 心 猿 意 馬 最 無 端 
X26n0575_001:0971c23	　罪生一人難出苦　　休沉墜落著力參	 罪 生 一 人 難 出 苦 休 沉 墜 落 著 力 參 
X26n0575_001:0971c24	　恨儀不能加精進　　輕輕跳出是非龕	 恨 儀 不 能 加 精 進 輕 輕 跳 出 是 非 龕 
X26n0575_001:0972a01	時。者一字。當時也。為人在世。多有不惺。一時覺悟。明	時 者 一 字 當 時 也 為 人 在 世 多 有 不 惺 一 時 覺 悟 明 
X26n0575_001:0972a02	徹心地。識破萬緣是假。了知世事空華。直下迴光。便	徹 心 地 識 破 萬 緣 是 假 了 知 世 事 空 華 直 下 迴 光 便 
X26n0575_001:0972a03	得清淨。清淨自然合道。古德云。清風颯颯透心懷。此	得 清 淨 清 淨 自 然 合 道 古 德 云 清 風 颯 颯 透 心 懷 此 
X26n0575_001:0972a04	時快樂人難識。玄之又玄。妙之又妙。無東西南北。無	時 快 樂 人 難 識 玄 之 又 玄 妙 之 又 妙 無 東 西 南 北 無 
X26n0575_001:0972a05	四維上下。無過去未來現在。與虗空平等。與大道無	四 維 上 下 無 過去未來現在 與 虗 空 平 等 與 大 道 無 
X26n0575_001:0972a06	二。共歸一時。並無二處。川老云。時時。清風明月鎮相	二 共 歸 一 時 並 無 二 處 川 老 云 時 時 清 風 明 月 鎮 相 
X26n0575_001:0972a07	隨。挑紅李白薔薇紫。問著東君總不知。且道東君在	隨 挑 紅 李 白 薔 薇 紫 問 著 東 君 總 不 知 且 道 東 君 在 
X26n0575_001:0972a08	何處安身。○見麼。打不離。割不死。在桃紅李白。在薔	何 處 安 身 見 麼 打 不 離 割 不 死 在 桃 紅 李 白 在 薔 
X26n0575_001:0972a09	薇紫。呵呵。	薇 紫 呵 呵 
X26n0575_001:0972a10	　一時間　　尋思起　　人生在世	 一 時 間 尋 思 起 人 生 在 世 
X26n0575_001:0972a11	　求衣食　　晝夜忙　　不得消停	 求 衣 食 晝 夜 忙 不 得 消 停 
X26n0575_001:0972a12	　妄想心　　巴富貴　　爭名奪利	 妄 想 心 巴 富 貴 爭 名 奪 利 
X26n0575_001:0972a13	　逞剛強　　能紐揑　　使盡精神	 逞 剛 強 能 紐 揑 使 盡 精 神 
X26n0575_001:0972a14	　不赼意　　昧血心　　欺天越理	 不 赼 意 昧 血 心 欺 天 越 理 
X26n0575_001:0972a15	　一箇箇　　捨死命　　不顧殘生	 一 箇 箇 捨 死 命 不 顧 殘 生 
X26n0575_001:0972a16	　這今生　　得人身　　非同容易	 這 今 生 得 人 身 非 同 容 易 
X26n0575_001:0972a17	　遭刑限　　屈死鬼　　永不翻身	 遭 刑 限 屈 死 鬼 永 不 翻 身 
X26n0575_001:0972a18	　眼不瞎　　耳不聾　　從見榜樣	 眼 不 瞎 耳 不 聾 從 見 榜 樣 
X26n0575_001:0972a19	　休學他　　拙智人　　空過光陰	 休 學 他 拙 智 人 空 過 光 陰 
X26n0575_001:0972a20	　休等的　　大限到　　臨渴掘井	 休 等 的 大 限 到 臨 渴 掘 井 
X26n0575_001:0972a21	　那時間　　無常至　　怎得道停	 那 時 間 無 常 至 怎 得 道 停 
X26n0575_001:0972a22	　趂如今　　四大安　　堅心進步	 趂 如 今 四 大 安 堅 心 進 步 
X26n0575_001:0972a23	　身無病　　休無疾　　旱辦前程	 身 無 病 休 無 疾 旱 辦 前 程 
X26n0575_001:0972a24	　明的心　　見的性　　超凡越聖	 明 的 心 見 的 性 超 凡 越 聖 
X26n0575_001:0972b01	　自然得　　明珠顯　　體透玲瓏	 自 然 得 明 珠 顯 體 透 玲 瓏 
X26n0575_001:0972b02	　精裸裸　　一段光　　眼前放著	 精 裸 裸 一 段 光 眼 前 放 著 
X26n0575_001:0972b03	　明歷歷　　不復藏　　常現金身	 明 歷 歷 不 復 藏 常 現 金 身 
X26n0575_001:0972b04	　無晝夜　　放光明　　縱橫無礙	 無 晝 夜 放 光 明 縱 橫 無 礙 
X26n0575_001:0972b05	　到這般　　田地裏　　自有前程	 到 這 般 田 地 裏 自 有 前 程 
X26n0575_001:0972b06	　做道人　　立志氣　　出得苦海	 做 道 人 立 志 氣 出 得 苦 海 
X26n0575_001:0972b07	　到安養　　極樂國　　好處安身	 到 安 養 極 樂 國 好 處 安 身 
X26n0575_001:0972b08	照見五蘊皆空者。說四大不實。五蘊者。色受想行識	照 見 五 蘊 皆 空 者 說 四 大 不 實 五 蘊 者 色 受 想 行 識 
X26n0575_001:0972b09	也。此五等因積而不散。妄認色身是我。故長劫輪迴。	也 此 五 等 因 積 而 不 散 妄 認 色 身 是 我 故 長 劫 輪 迴 
X26n0575_001:0972b10	若人猛省。借此幻身。依教修行。常自返照。照見五蘊	若 人 猛 省 借 此 幻 身 依 教 修 行 常 自 返 照 照 見 五 蘊 
X26n0575_001:0972b11	淨盡。且道如何是色受想行識。怎生得此五蘊皆空。	淨 盡 且 道 如 何 是 色 受 想 行 識 怎 生 得 此 五 蘊 皆 空 
X26n0575_001:0972b12	予今直說分明。若有解語之者。休生疑惑。信受奉行。	予 今 直 說 分 明 若 有 解 語 之 者 休 生 疑 惑 信受奉行 
X26n0575_001:0972b13	必有契道之日。且色者。窒礙之義。若見境逢物。不著	必 有 契 道 之 日 且 色 者 窒 礙 之 義 若 見 境 逢 物 不 著 
X26n0575_001:0972b14	不染。是無窒礙也。色蘊自空也。受者。領納之義。若遇	不 染 是 無 窒 礙 也 色 蘊 自 空 也 受 者 領 納 之 義 若 遇 
X26n0575_001:0972b15	一切聲色境界。心不領納。得受蘊空也。想者。妄想思	一 切 聲 色 境 界 心 不 領 納 得 受 蘊 空 也 想 者 妄 想 思 
X26n0575_001:0972b16	慮之義。若過去不思。未來無想。現在自如。得想蘊空	慮 之 義 若 過 去 不 思 未 來 無 想 現 在 自 如 得 想 蘊 空 
X26n0575_001:0972b17	也。行者。心念不停。遷流之義。若十二時中。心不外遊。	也 行 者 心 念 不 停 遷 流 之 義 若 十 二 時 中 心 不 外 遊 
X26n0575_001:0972b18	念不煩亂。不被物轉。不被境留。一念不離當處。得行	念 不 煩 亂 不 被 物 轉 不 被 境 留 一 念 不 離 當 處 得 行 
X26n0575_001:0972b19	蘊空也。識者。別辯親疎之義。亦乃著物之理。若見一	蘊 空 也 識 者 別 辯 親 疎 之 義 亦 乃 著 物 之 理 若 見 一 
X26n0575_001:0972b20	切境物。一無分別辯認。一槩平等。見如不見。識如不	切 境 物 一 無 分 別 辯 認 一 槩 平 等 見 如 不 見 識 如 不 
X26n0575_001:0972b21	識。無親無疎。來則應之。去則不思。得識蘊空也。既得	識 無 親 無 疎 來 則 應 之 去 則 不 思 得 識 蘊 空 也 既 得 
X26n0575_001:0972b22	到此田地。自然照見五蘊皆空。六窓明淨。淨躶躶。赤	到 此 田 地 自 然 照 見 五 蘊 皆 空 六 窓 明 淨 淨 躶 躶 赤 
X26n0575_001:0972b23	洒洒。沒可把。又有甚四大五蘊名字。亦不可得。道云。	洒 洒 沒 可 把 又 有 甚 四 大 五 蘊 名 字 亦 不 可 得 道 云 
X26n0575_001:0972b24	惟見於空。釋云。虗空獨露。昔歌利王道獵。遇一仙人。	惟 見 於 空 釋 云 虗 空 獨 露 昔 歌 利 王 道 獵 遇 一 仙 人 
X26n0575_001:0972c01	問語不答。先卸左膞。次卸右膊。節節支解。仙人面無	問 語 不 答 先 卸 左 膞 次 卸 右 膊 節 節 支 解 仙 人 面 無 
X26n0575_001:0972c02	恐懼。並不改顏。又罽賓國王問獅子尊者曰。在此做	恐 懼 並 不 改 顏 又 罽 賓 國 王 問 獅 子 尊 者 曰 在 此 做 
X26n0575_001:0972c03	什麼。尊者答曰。在此蘊空。王問得蘊空否。尊者曰。已	什 麼 尊 者 答 曰 在 此 蘊 空 王 問 得 蘊 空 否 尊 者 曰 已 
X26n0575_001:0972c04	得蘊空法。王曰。求師頭得否。尊者曰。身非我有。何況	得 蘊 空 法 王 曰 求 師 頭 得 否 尊 者 曰 身 非 我 有 何 況 
X26n0575_001:0972c05	頭乎。又肇法師云。四大元無我。五蘊悉皆空。將頭臨	頭 乎 又 肇 法 師 云 四 大 元 無 我 五 蘊 悉 皆 空 將 頭 臨 
X26n0575_001:0972c06	白刃。猶如斬春風。又舍利弗見天女。問云。何不變却	白 刃 猶 如 斬 春 風 又 舍 利 弗 見 天 女 問 云 何 不 變 却 
X26n0575_001:0972c07	女身去。天女答曰。我十二年覔女身。了不可得。教我	女 身 去 天 女 答 曰 我 十 二 年 覔 女 身 了 不 可 得 教 我 
X26n0575_001:0972c08	變箇什麼。又鏡清和尚住院三年。本院土地。要見師	變 箇 什 麼 又 鏡 清 和 尚 住 院 三 年 本 院 土 地 要 見 師 
X26n0575_001:0972c09	顏不能也。又太古郝真人。在趙州橋下辦道。忽一夜	顏 不 能 也 又 太 古 郝 真 人 在 趙 州 橋 下 辦 道 忽 一 夜 
X26n0575_001:0972c10	聞眾鬼於河邊共語云。明日有一戴鐵帽人來替我。	聞 眾 鬼 於 河 邊 共 語 云 明 日 有 一 戴 鐵 帽 人 來 替 我 
X26n0575_001:0972c11	言訖。杳無言耗。至次日。將暮大雨忽作。見一人頭頂	言 訖 杳 無 言 耗 至 次 日 將 暮 大 雨 忽 作 見 一 人 頭 頂 
X26n0575_001:0972c12	一鐵鍋遮雨。至橋下。浴洗脚過橋。太古一見喝不可	一 鐵 鍋 遮 雨 至 橋 下 浴 洗 脚 過 橋 太 古 一 見 喝 不 可 
X26n0575_001:0972c13	洗。听真人之言。扶欄上橋而去。至夜眾鬼皆至。一鬼	洗 听 真 人 之 言 扶 欄 上 橋 而 去 至 夜 眾 鬼 皆 至 一 鬼 
X26n0575_001:0972c14	言。三年等得一箇替頭。被這先生破了。眾鬼欲害真	言 三 年 等 得 一 箇 替 頭 被 這 先 生 破 了 眾 鬼 欲 害 真 
X26n0575_001:0972c15	人。來往尋覔不見。不知真人在於何處。嗟嘆而去。真	人 來 往 尋 覔 不 見 不 知 真 人 在 於 何 處 嗟 嘆 而 去 真 
X26n0575_001:0972c16	人只在橋下。鬼不能得見。又弘覺和尚住庵。天廚送	人 只 在 橋 下 鬼 不 能 得 見 又 弘 覺 和 尚 住 庵 天 廚 送 
X26n0575_001:0972c17	供。後參洞山和尚。又來歸庵。天人三日送供不見庵	供 後 參 洞 山 和 尚 又 來 歸 庵 天 人 三 日 送 供 不 見 庵 
X26n0575_001:0972c18	主。庵主只在庵中。為何不見。這些上人。皆得圓頓之	主 庵 主 只 在 庵 中 為 何 不 見 這 些 上 人 皆 得 圓 頓 之 
X26n0575_001:0972c19	法。隱身之訣。神鬼俱不能得見。四大不實。色身非久。	法 隱 身 之 訣 神 鬼 俱 不 能 得 見 四 大 不 實 色 身 非 久 
X26n0575_001:0972c20	五蘊盡空。甚是本來面目。這一句從那裏得來。照見	五 蘊 盡 空 甚 是 本 來 面 目 這 一 句 從 那 裏 得 來 照 見 
X26n0575_001:0972c21	五蘊空底可是誰。	五 蘊 空 底 可 是 誰 
X26n0575_001:0972c22	　神仙得了五蘊空　　王問三次不應承	 神 仙 得 了 五 蘊 空 王 問 三 次 不 應 承 
X26n0575_001:0972c23	　君王惱怒屍殻壞　　顯出金剛不壞身	 君 王 惱 怒 屍 殻 壞 顯 出 金 剛 不 壞 身 
X26n0575_001:0972c24	　獅子尊者得蘊空　　君王相問我無身	 獅 子 尊 者 得 蘊 空 君 王 相 問 我 無 身 
