X88n1646_001:0180a04	 居士傳序	 居 士 傳 序 
X88n1646_018:0215c05	設齋。黃蘗運為首座。行者請施財。答曰財法二施等	設 齋 黃 蘗 運 為 首 座 行 者 請 施 財 答 曰 財 法 二 施 等 
X88n1646_018:0215c06	無差別。行者曰甚麼道爭消得贄嚫。便將出去。須臾	無 差 別 行 者 曰 甚 麼 道 爭 消 得 贄 嚫 便 將 出 去 須 臾 
X88n1646_018:0215c07	復入曰請施財。黃蘗曰。財法二施等無差別。乃嚫。行	復 入 曰 請 施 財 黃 蘗 曰 財 法 二 施 等 無 差 別 乃 嚫 行 
X88n1646_018:0215c08	者甞接待往來。有僧問曰行者接待不易。行者曰譬	者 甞 接 待 往 來 有 僧 問 曰 行 者 接 待 不 易 行 者 曰 譬 
X88n1646_018:0215c09	如餧驢餧馬。藥山令供養主行乞至行者家。行者問	如 餧 驢 餧 馬 藥 山 令 供 養 主 行 乞 至 行 者 家 行 者 問 
X88n1646_018:0215c10	從何來。曰藥山。行者曰來作麼。曰教化行者。曰將得	從 何 來 曰 藥 山 行 者 曰 來 作 麼 曰 教 化 行 者 曰 將 得 
X88n1646_018:0215c11	藥來麼。曰行者有甚麼病。行者便捨銀兩錠。歸舉呈。	藥 來 麼 曰 行 者 有 甚 麼 病 行 者 便 捨 銀 兩 錠 歸 舉 呈 
X88n1646_018:0215c12	藥山曰。速還之。子著賊了也。主即送還。行者曰。彼中	藥 山 曰 速 還 之 子 著 賊 了 也 主 即 送 還 行 者 曰 彼 中 
X88n1646_018:0215c13	有人。加銀施之。巖頭奯禪師甞舍行者家度夏。補衣	有 人 加 銀 施 之 巖 頭 奯 禪 師 甞 舍 行 者 家 度 夏 補 衣 
X88n1646_018:0215c14	次。行者趨過。巖頭以針作劄勢。行者整衣謝。妻問云	次 行 者 趨 過 巖 頭 以 針 作 劄 勢 行 者 整 衣 謝 妻 問 云 
X88n1646_018:0215c15	作麼。行者曰說不得。妻曰也要大家知。乃舉前話。妻	作 麼 行 者 曰 說 不 得 妻 曰 也 要 大 家 知 乃 舉 前 話 妻 
X88n1646_018:0215c16	頓悟乃云。此去三十年後。須知一回飲水一回咽。其	頓 悟 乃 云 此 去 三 十 年 後 須 知 一 回 飲 水 一 回 咽 其 
X88n1646_018:0215c17	女子聞之亦悟曰。誰知盡大地人性命被奯上座劄	女 子 聞 之 亦 悟 曰 誰 知 盡 大 地 人 性 命 被 奯 上 座 劄 
X88n1646_018:0215c18	將去也(五燈會元．先覺宗乘)。	將 去 也 五 燈 會 元 先 覺 宗 乘 
X88n1646_018:0215c19	張秀才名拙。謁石霜諸公。石霜問秀才何名。曰名拙。	張 秀 才 名 拙 謁 石 霜 諸 公 石 霜 問 秀 才 何 名 曰 名 拙 
X88n1646_018:0215c20	石霜曰。覓巧尚不可得。拙自何來。張忽有省。呈偈曰。	石 霜 曰 覓 巧 尚 不 可 得 拙 自 何 來 張 忽 有 省 呈 偈 曰 
X88n1646_018:0215c21	光明寂照徧河沙。凡聖含靈共我家。一念不生全體	光 明 寂 照 徧 河 沙 凡 聖 含 靈 共 我 家 一 念 不 生 全 體 
X88n1646_018:0215c22	現。六根纔動被雲遮。斷除煩惱重增病。趨向真如亦	現 六 根 纔 動 被 雲 遮 斷 除 煩 惱 重 增 病 趨 向 真 如 亦 
X88n1646_018:0215c23	是邪。隨順世緣無罣礙。涅槃生死等空華(五燈會元)。	是 邪 隨 順 世 緣 無 罣 礙 涅 槃 生 死 等 空 華 五 燈 會 元 
X88n1646_018:0215c24	知歸子曰。自曹溪之化行。而居士之究心祖道者多	知 歸 子 曰 自 曹 溪 之 化 行 而 居 士 之 究 心 祖 道 者 多 
X88n1646_018:0216a01	矣。予閱傳燈諸錄。錄諸子問答機緣如此。其他行事	矣 予 閱 傳 燈 諸 錄 錄 諸 子 問 答 機 緣 如 此 其 他 行 事 
X88n1646_019:0216a05	居士傳十九	居 士 傳 十 九 
X88n1646_019:0216a07	王摩詰柳子厚白樂天傳	王 摩 詰 柳 子 厚 白 樂 天 傳 
X88n1646_019:0216a08	王摩詰名維。世為祁縣人。後徙家於蒲。與弟縉俱有	王 摩 詰 名 維 世 為 祁 縣 人 後 徙 家 於 蒲 與 弟 縉 俱 有 
X88n1646_019:0216a09	俊才。開元九年擢進士第。歷官至監察御史。母博陵	俊 才 開 元 九 年 擢 進 士 第 歷 官 至 監 察 御 史 母 博 陵 
X88n1646_019:0216a10	縣君崔氏。持戒安禪。摩詰於藍田營山莊。為母經行	縣 君 崔 氏 持 戒 安 禪 摩 詰 於 藍 田 營 山 莊 為 母 經 行 
X88n1646_019:0216a11	之處。既卒。乃上表於朝。請施莊為寺。詔許之。天寶末	之 處 既 卒 乃 上 表 於 朝 請 施 莊 為 寺 詔 許 之 天 寶 末 
X88n1646_019:0216a12	為給事中。安祿山陷京師。為所得。以藥下痢佯瘖。祿	為 給 事 中 安 祿 山 陷 京 師 為 所 得 以 藥 下 痢 佯 瘖 祿 
X88n1646_019:0216a13	山迎置洛陽。迫為給事中。賊平論罪。時縉已官刑部	山 迎 置 洛 陽 迫 為 給 事 中 賊 平 論 罪 時 縉 已 官 刑 部 
X88n1646_019:0216a14	侍郎。請削官贖兄罪。乃左遷太子中允。累遷尚書右	侍 郎 請 削 官 贖 兄 罪 乃 左 遷 太 子 中 允 累 遷 尚 書 右 
X88n1646_019:0216a15	丞。在京師從薦福寺道光禪師遊。日飯數十名僧齋。	丞 在 京 師 從 薦 福 寺 道 光 禪 師 遊 日 飯 數 十 名 僧 齋 
X88n1646_019:0216a16	中無所有。唯藥鐺茶臼經案繩牀而已。居常不茹葷	中 無 所 有 唯 藥 鐺 茶 臼 經 案 繩 牀 而 已 居 常 不 茹 葷 
X88n1646_019:0216a17	血。不衣文綵。妻亡不再娶。三十年孤處一室。焚香獨	血 不 衣 文 綵 妻 亡 不 再 娶 三 十 年 孤 處 一 室 焚 香 獨 
X88n1646_019:0216a18	坐以禪誦為業。時與友人裴廸往來山莊。彈琴嘯咏	坐 以 禪 誦 為 業 時 與 友 人 裴 廸 往 來 山 莊 彈 琴 嘯 咏 
X88n1646_019:0216a19	樂之忘歸。同時有魏處士者。高不仕之節。屢徵不應。	樂 之 忘 歸 同 時 有 魏 處 士 者 高 不 仕 之 節 屢 徵 不 應 
X88n1646_019:0216a20	摩詰為書遺之曰。聖人知身之不足有也。故曰欲潔	摩 詰 為 書 遺 之 曰 聖 人 知 身 之 不 足 有 也 故 曰 欲 潔 
X88n1646_019:0216a21	其身而亂大倫。知名之無所著也。故曰欲使如來名	其 身 而 亂 大 倫 知 名 之 無 所 著 也 故 曰 欲 使 如 來 名 
X88n1646_019:0216a22	聲普聞。古之高者曰許由。聞堯讓。臨水而洗其耳。耳	聲 普 聞 古 之 高 者 曰 許 由 聞 堯 讓 臨 水 而 洗 其 耳 耳 
X88n1646_019:0216a23	非駐聲之地。聲無染耳之迹。惡外者垢內。病物者自	非 駐 聲 之 地 聲 無 染 耳 之 迹 惡 外 者 垢 內 病 物 者 自 
X88n1646_019:0216a24	我。豈入道者之門與。孔宣父云。我則異於是。無可無	我 豈 入 道 者 之 門 與 孔 宣 父 云 我 則 異 於 是 無 可 無 
X88n1646_019:0216b01	不可。願足下思可不可之旨。無守默以為絕塵。以不	不 可 願 足 下 思 可 不 可 之 旨 無 守 默 以 為 絕 塵 以 不 
X88n1646_019:0216b02	動為出世也。乾元二年七月有疾。以縉在鳳翔。索筆	動 為 出 世 也 乾 元 二 年 七 月 有 疾 以 縉 在 鳳 翔 索 筆 
X88n1646_019:0216b03	作別縉書。又與親故書數幅。多敦厲奉佛修心之旨。	作 別 縉 書 又 與 親 故 書 數 幅 多 敦 厲 奉 佛 修 心 之 旨 
X88n1646_019:0216b04	捨筆而逝(唐書．右丞文集)。	捨 筆 而 逝 唐 書 右 丞 文 集 
X88n1646_019:0216b05	柳子厚名宗元。河東人。早歲登進士第。舉博學宏詞	柳 子 厚 名 宗 元 河 東 人 早 歲 登 進 士 第 舉 博 學 宏 詞 
X88n1646_019:0216b06	科。授校書郎。調藍田尉。貞元末官監察御史。順宗即	科 授 校 書 郎 調 藍 田 尉 貞 元 末 官 監 察 御 史 順 宗 即 
X88n1646_019:0216b07	位。王叔文韋執誼用事。引入禁中議政。轉禮部員外	位 王 叔 文 韋 執 誼 用 事 引 入 禁 中 議 政 轉 禮 部 員 外 
X88n1646_019:0216b08	郎。俄而王韋敗。子厚貶邵州刺史。未至。貶永州司馬。	郎 俄 而 王 韋 敗 子 厚 貶 邵 州 刺 史 未 至 貶 永 州 司 馬 
X88n1646_019:0216b09	子厚自幼信佛。求其道積三十餘年。韓退之甞遺書	子 厚 自 幼 信 佛 求 其 道 積 三 十 餘 年 韓 退 之 甞 遺 書 
X88n1646_019:0216b10	規之。子厚答曰。浮屠之教。與易．論語合。雖聖人復生	規 之 子 厚 答 曰 浮 屠 之 教 與 易 論 語 合 雖 聖 人 復 生 
X88n1646_019:0216b11	不可得而斥也。既南遷。與諸禪人遊處。一時南方諸	不 可 得 而 斥 也 既 南 遷 與 諸 禪 人 遊 處 一 時 南 方 諸 
X88n1646_019:0216b12	大德碑銘之文多出其手。其為言尊尚戒律。翼贊經	大 德 碑 銘 之 文 多 出 其 手 其 為 言 尊 尚 戒 律 翼 贊 經 
X88n1646_019:0216b13	論。以豁達狂禪為戒。甞著文曰。東海若闡淨土法門。	論 以 豁 達 狂 禪 為 戒 甞 著 文 曰 東 海 若 闡 淨 土 法 門 
X88n1646_019:0216b14	其辭曰。東海若陸遊。登孟諸之阿。得二瓠焉。刳而振	其 辭 曰 東 海 若 陸 遊 登 孟 諸 之 阿 得 二 瓠 焉 刳 而 振 
X88n1646_019:0216b15	其犀以嬉取海水。雜糞壤蟯蚘而實之。臭不可當也。	其 犀 以 嬉 取 海 水 雜 糞 壤 蟯 蚘 而 實 之 臭 不 可 當 也 
X88n1646_019:0216b16	窒以密石。舉而投之海。逾時焉而過之曰。是故棄糞	窒 以 密 石 舉 而 投 之 海 逾 時 焉 而 過 之 曰 是 故 棄 糞 
X88n1646_019:0216b17	耶。其一徹聲而呼曰我大海也。東海若呀然笑曰。怪	耶 其 一 徹 聲 而 呼 曰 我 大 海 也 東 海 若 呀 然 笑 曰 怪 
X88n1646_019:0216b18	矣。今夫大海。其東無東。其西無西。其北無北。其南無	矣 今 夫 大 海 其 東 無 東 其 西 無 西 其 北 無 北 其 南 無 
X88n1646_019:0216b19	南。旦則浴日而出之。夜則韜列星涵太陰。揚陰火珠	南 旦 則 浴 日 而 出 之 夜 則 韜 列 星 涵 太 陰 揚 陰 火 珠 
X88n1646_019:0216b20	寶之光以為明。其塵霾不處也。必汩之西澨。故其大	寶 之 光 以 為 明 其 塵 霾 不 處 也 必 汩 之 西 澨 故 其 大 
X88n1646_019:0216b21	也深也潔也光明也。無我若者。今汝海之棄滴也。而	也 深 也 潔 也 光 明 也 無 我 若 者 今 汝 海 之 棄 滴 也 而 
X88n1646_019:0216b22	與糞壤同體。臭朽之與曹蟯蚘之與居其狹咫也。又	與 糞 壤 同 體 臭 朽 之 與 曹 蟯 蚘 之 與 居 其 狹 咫 也 又 
X88n1646_019:0216b23	冥暗若是而同之海。不亦羞而可憐也哉。子欲之乎。	冥 暗 若 是 而 同 之 海 不 亦 羞 而 可 憐 也 哉 子 欲 之 乎 
X88n1646_019:0216b24	吾將為汝抉石破瓠。盪羣穢於大荒之島。而同子於	吾 將 為 汝 抉 石 破 瓠 盪 羣 穢 於 大 荒 之 島 而 同 子 於 
X88n1646_019:0216c01	向之所陳者可乎。糞水泊然不悅曰。我固同矣。吾又	向 之 所 陳 者 可 乎 糞 水 泊 然 不 悅 曰 我 固 同 矣 吾 又 
X88n1646_019:0216c02	何求於若吾之性也亦若是而已矣。穢者自穢。不足	何 求 於 若 吾 之 性 也 亦 若 是 而 已 矣 穢 者 自 穢 不 足 
X88n1646_019:0216c03	以害吾潔。狹者自狹。不足以害吾廣。幽者自幽。不足	以 害 吾 潔 狹 者 自 狹 不 足 以 害 吾 廣 幽 者 自 幽 不 足 
X88n1646_019:0216c04	以害吾明。而穢亦海也。狹幽亦海也。突然而往。于然	以 害 吾 明 而 穢 亦 海 也 狹 幽 亦 海 也 突 然 而 往 于 然 
X88n1646_019:0216c05	而來。孰非海者。子去矣。無亂我。其一聞若之言。號而	而 來 孰 非 海 者 子 去 矣 無 亂 我 其 一 聞 若 之 言 號 而 
X88n1646_019:0216c06	祈曰。吾毒是久矣。吾以為是固然而不可易也。今子	祈 曰 吾 毒 是 久 矣 吾 以 為 是 固 然 而 不 可 易 也 今 子 
X88n1646_019:0216c07	告我以海之大。又目我以故海之棄糞也。吾愈急焉。	告 我 以 海 之 大 又 目 我 以 故 海 之 棄 糞 也 吾 愈 急 焉 
X88n1646_019:0216c08	涌吾沫不足以發其窒。旋吾波不足以穴瓠之腹也。	涌 吾 沫 不 足 以 發 其 窒 旋 吾 波 不 足 以 穴 瓠 之 腹 也 
X88n1646_019:0216c09	就能之窮歲月耳。願若幸而哀我哉。東海若乃抉石	就 能 之 窮 歲 月 耳 願 若 幸 而 哀 我 哉 東 海 若 乃 抉 石 
X88n1646_019:0216c10	破瓠投之孟諸之陸。盪其穢於大荒之島。而水復於	破 瓠 投 之 孟 諸 之 陸 盪 其 穢 於 大 荒 之 島 而 水 復 於 
X88n1646_019:0216c11	海。盡得向之所陳者焉。而向之一者終與臭腐處而	海 盡 得 向 之 所 陳 者 焉 而 向 之 一 者 終 與 臭 腐 處 而 
X88n1646_019:0216c12	不變也。今有為佛者。二人同出於毗盧遮那之海。而	不 變 也 今 有 為 佛 者 二 人 同 出 於 毗 盧 遮 那 之 海 而 
X88n1646_019:0216c13	汩於五濁之糞。而幽於三有之瓠。而窒於無明之石。	汩 於 五 濁 之 糞 而 幽 於 三 有 之 瓠 而 窒 於 無 明 之 石 
X88n1646_019:0216c14	雜於十二類之蟯蚘。人有問焉。其一人曰。我佛也。毗	雜 於 十 二 類 之 蟯 蚘 人 有 問 焉 其 一 人 曰 我 佛 也 毗 
X88n1646_019:0216c15	盧遮那五濁三有無明十二類皆空也。一切無善無	盧 遮 那 五 濁 三 有 無 明 十 二 類 皆 空 也 一 切 無 善 無 
X88n1646_019:0216c16	惡無因無果無修無證無佛無眾生皆無焉。吾何求	惡 無 因 無 果 無 修 無 證 無 佛 無 眾 生 皆 無 焉 吾 何 求 
X88n1646_019:0216c17	也。問者曰。子之所言性也。有事焉。夫性與事一而二	也 問 者 曰 子 之 所 言 性 也 有 事 焉 夫 性 與 事 一 而 二 
X88n1646_019:0216c18	二而一者也。若守而一定則大患者至矣。其人曰。子	二 而 一 者 也 若 守 而 一 定 則 大 患 者 至 矣 其 人 曰 子 
X88n1646_019:0216c19	去矣。無亂我。其一人曰。嘻。吾毒之久矣。吾盡吾力而	去 矣 無 亂 我 其 一 人 曰 嘻 吾 毒 之 久 矣 吾 盡 吾 力 而 
X88n1646_019:0216c20	不足以去無明。窮吾智而不足以超三有離五濁而	不 足 以 去 無 明 窮 吾 智 而 不 足 以 超 三 有 離 五 濁 而 
X88n1646_019:0216c21	異夫十二類也。就能之其大小劫之多不可知也。若	異 夫 十 二 類 也 就 能 之 其 大 小 劫 之 多 不 可 知 也 若 
X88n1646_019:0216c22	之何。問者乃為陳西方之事。使修念佛三昧一空有	之 何 問 者 乃 為 陳 西 方 之 事 使 修 念佛三昧 一 空 有 
X88n1646_019:0216c23	之說。於是聖人憐之。接而致之極樂之境。而得以去	之 說 於 是 聖 人 憐 之 接 而 致 之 極 樂 之 境 而 得 以 去 
X88n1646_019:0216c24	羣惡集萬行。居聖者之地同佛知見矣。向之一人者	羣 惡 集 萬 行 居 聖 者 之 地 同 佛 知 見 矣 向 之 一 人 者 
X88n1646_019:0217a01	終與十二類同而不變也。夫二人之相違也。不若二	終 與 十 二 類 同 而 不 變 也 夫 二 人 之 相 違 也 不 若 二 
X88n1646_019:0217a02	瓠之水哉。今不知去一而取一。甚矣其愚也。元和十	瓠 之 水 哉 今 不 知 去 一 而 取 一 甚 矣 其 愚 也 元 和 十 
X88n1646_019:0217a03	年遷柳州刺史。柳故夷子厚導以禮義。恤其孤獨。經	年 遷 柳 州 刺 史 柳 故 夷 子 厚 導 以 禮 義 恤 其 孤 獨 經 
X88n1646_019:0217a04	其生產嫁娶葬埋。各有條法。三年教化大行。柳民懷	其 生 產 嫁 娶 葬 埋 各 有 條 法 三 年 教 化 大 行 柳 民 懷 
X88n1646_019:0217a05	之。及卒。柳民為立廟羅池。事具韓退之羅池廟碑(柳州	之 及 卒 柳 民 為 立 廟 羅 池 事 具 韓 退 之 羅 池 廟 碑 柳 州 
X88n1646_019:0217a06	文集．唐書．昌黎文集)。	文 集 唐 書 昌 黎 文 集 
X88n1646_019:0217a07	白樂天名居易。太原下邽人。貞元中擢進士第。元和	白 樂 天 名 居 易 太 原 下 邽 人 貞 元 中 擢 進 士 第 元 和 
X88n1646_019:0217a08	中官左拾遺。彊直敢言。其所諫爭多軍國大體。憲宗	中 官 左 拾 遺 彊 直 敢 言 其 所 諫 爭 多 軍 國 大 體 憲 宗 
X88n1646_019:0217a09	屢納之。既而為宰相所忌。出為江表刺史。徙江州司	屢 納 之 既 而 為 宰 相 所 忌 出 為 江 表 刺 史 徙 江 州 司 
X88n1646_019:0217a10	馬。樂天好釋氏書。用以自理性情。能順適所遇。不以	馬 樂 天 好 釋 氏 書 用 以 自 理 性 情 能 順 適 所 遇 不 以 
X88n1646_019:0217a11	遷謫介意。立隱舍於廬山。與諸禪德遊處。或經月忘	遷 謫 介 意 立 隱 舍 於 廬 山 與 諸 禪 德 遊 處 或 經 月 忘 
X88n1646_019:0217a12	歸。長慶中為主客郎中知制誥。穆宗好畋遊。献續虞	歸 長 慶 中 為 主 客 郎 中 知 制 誥 穆 宗 好 畋 遊 献 續 虞 
X88n1646_019:0217a13	人箴以諷。時河朔亂。出師無功。樂天上言制御之策。	人 箴 以 諷 時 河 朔 亂 出 師 無 功 樂 天 上 言 制 御 之 策 
X88n1646_019:0217a14	不用。乃求外任出知杭州。太和二年為刑部侍郎。求	不 用 乃 求 外 任 出 知 杭 州 太 和 二 年 為 刑 部 侍 郎 求 
X88n1646_019:0217a15	為分司官。尋除太子賓客。會朋黨事起。樂天見時不	為 分 司 官 尋 除 太 子 賓 客 會 朋 黨 事 起 樂 天 見 時 不 
X88n1646_019:0217a16	可為。思退處散地以遠害。凡所居官未甞終秩。率以	可 為 思 退 處 散 地 以 遠 害 凡 所 居 官 未 甞 終 秩 率 以 
X88n1646_019:0217a17	病免。會昌中以刑部尚書致仕。與香山如滿禪師結	病 免 會 昌 中 以 刑 部 尚 書 致 仕 與 香 山 如 滿 禪 師 結 
X88n1646_019:0217a18	香火社。自稱香山居士。先是太和中樂天在東都長	香 火 社 自 稱 香 山 居 士 先 是 太 和 中 樂 天 在 東 都 長 
X88n1646_019:0217a19	壽寺受八戒。與僧俗百四十人畫彌勒上生圖。共發	壽 寺 受 八 戒 與 僧 俗 百 四 十 人 畫 彌 勒 上 生 圖 共 發 
X88n1646_019:0217a20	願生兜率內院。及晚歲得風痺疾。更捨錢三萬命工	願 生 兜 率 內 院 及 晚 歲 得 風 痺 疾 更 捨 錢 三 萬 命 工 
X88n1646_019:0217a21	畫西方極樂世界。高九尺廣丈有三尺。阿彌陀佛居	畫 西方極樂 世 界 高 九 尺 廣 丈 有 三 尺 阿 彌 陀 佛 居 
X88n1646_019:0217a22	中。觀音勢至執侍左右。百萬人天恭敬圍繞。樓臺伎	中 觀 音 勢 至 執 侍 左 右 百 萬 人 天 恭 敬 圍 繞 樓 臺 伎 
X88n1646_019:0217a23	樂水樹花鳥七寶莊嚴。具如經說。既成。復發願言。願	樂 水 樹 花 鳥 七 寶 莊 嚴 具 如 經 說 既 成 復 發 願 言 願 
X88n1646_019:0217a24	此功德回施一切眾生。一切眾生如我老者。如我病	此 功 德 回 施 一 切 眾 生 一 切 眾 生 如 我 老 者 如 我 病 
X88n1646_019:0217b01	者。願皆離苦得樂。斷惡修善。不越南部便覩西方。大	者 願 皆 離 苦 得 樂 斷 惡 修 善 不 越 南 部 便 覩 西 方 大 
X88n1646_019:0217b02	白毫光應念來感。青蓮上品隨願往生。以偈讚曰。極	白 毫 光 應 念 來 感 青 蓮 上 品 隨 願 往 生 以 偈 讚 曰 極 
X88n1646_019:0217b03	樂世界清淨土。無諸惡道及眾苦。願如我身病苦者。	樂 世 界 清 淨 土 無 諸 惡 道 及 眾 苦 願 如 我 身 病 苦 者 
X88n1646_019:0217b04	同生無量壽佛所。又自以生平湛樂文字。放言綺語	同 生 無 量 壽 佛 所 又 自 以 生 平 湛 樂 文 字 放 言 綺 語 
X88n1646_019:0217b05	往往有之。懼結來業。願以文字因緣回向實地。希於	往 往 有 之 懼 結 來 業 願 以 文 字 因 緣 回 向 實 地 希 於 
X88n1646_019:0217b06	來世讚歎佛乘勸轉法輪。乃作六偈唱於佛前。讚佛	來 世 讚 歎 佛 乘 勸 轉 法 輪 乃 作 六 偈 唱 於 佛 前 讚 佛 
X88n1646_019:0217b07	偈曰。十方世界。天上天下。我今盡知。無如佛者。堂堂	偈 曰 十方世界 天 上 天 下 我 今 盡 知 無 如 佛 者 堂 堂 
X88n1646_019:0217b08	巍巍。為天人師。故我禮足。讚歎歸依。讚法偈曰。過現	巍 巍 為 天 人 師 故 我 禮 足 讚 歎 歸 依 讚 法 偈 曰 過 現 
X88n1646_019:0217b09	當來。千萬億佛。皆因法成。法從經出。是大法輪。是大	當 來 千 萬 億 佛 皆 因 法 成 法 從 經 出 是 大 法 輪 是 大 
X88n1646_019:0217b10	寶藏。故我合掌。至心回向。讚僧偈曰。緣覺聲聞。諸大	寶 藏 故 我 合 掌 至 心 回 向 讚 僧 偈 曰 緣 覺 聲 聞 諸 大 
X88n1646_019:0217b11	沙門。漏盡果滿。眾中之尊。假和合力。求無上道。故我	沙 門 漏 盡 果 滿 眾 中 之 尊 假 和 合 力 求 無 上 道 故 我 
X88n1646_019:0217b12	稽首。和南僧寶。讚眾生偈曰。毛道凡夫。火宅眾生。胎	稽 首 和 南 僧 寶 讚 眾 生 偈 曰 毛道凡夫 火 宅 眾 生 胎 
X88n1646_019:0217b13	卵濕化。一切有情。善根苟種。佛果終成。我不輕汝。汝	卵 濕 化 一切有情 善 根 苟 種 佛 果 終 成 我 不 輕 汝 汝 
X88n1646_019:0217b14	無自輕。懺悔偈曰。無始劫來。所造諸罪。若輕若重。無	無 自 輕 懺 悔 偈 曰 無 始 劫 來 所 造 諸 罪 若 輕 若 重 無 
X88n1646_019:0217b15	大無小。我求其相。中間內外。了不可得。是名懺悔。發	大 無 小 我 求 其 相 中 間 內 外 了 不 可 得 是 名 懺 悔 發 
X88n1646_019:0217b16	願偈曰。煩惱願去。涅槃願住。十地願登。四生願度。佛	願 偈 曰 煩 惱 願 去 涅 槃 願 住 十 地 願 登 四 生 願 度 佛 
X88n1646_019:0217b17	出世時。願我得親。最先勸請。請轉法輪。佛滅度時。願	出 世 時 願 我 得 親 最 先 勸 請 請 轉 法 輪 佛 滅 度 時 願 
X88n1646_019:0217b18	我得值。最後供養。受菩提記。會昌六年卒。年七十五。	我 得 值 最 後 供 養 受 菩 提 記 會 昌 六 年 卒 年 七 十 五 
X88n1646_019:0217b19	遺命斂以衣一襲。送以車一乘。無用鹵簿葬。無以血	遺 命 斂 以 衣 一 襲 送 以 車 一 乘 無 用 鹵 簿 葬 無 以 血 
X88n1646_019:0217b20	食祭。無請太常謚。無建神道碑。可葬香山如滿禪師	食 祭 無 請 太 常 謚 無 建 神 道 碑 可 葬 香 山 如 滿 禪 師 
X88n1646_019:0217b21	塔側。家人從之。無子。以從孫嗣(唐書．長慶集)。	塔 側 家 人 從 之 無 子 以 從 孫 嗣 唐 書 長 慶 集 
X88n1646_019:0217b22	知歸子曰。摩詰．子厚並以文術鳴當時傳後世。然考	知 歸 子 曰 摩 詰 子 厚 並 以 文 術 鳴 當 時 傳 後 世 然 考 
X88n1646_019:0217b23	其生平。視白公有愧焉。迷陽迷陽。無傷吾行。古人所	其 生 平 視 白 公 有 愧 焉 迷 陽 迷 陽 無 傷 吾 行 古 人 所 
X88n1646_019:0217b24	為致悲者也。摩詰脫盖於輞川。子厚激誠於海若。驚	為 致 悲 者 也 摩 詰 脫 盖 於 輞 川 子 厚 激 誠 於 海 若 驚 
X88n1646_019:0217c01	心垢薉蟬蛻清虗。具此淨因理宜解脫。而子厚乃復	心 垢 薉 蟬 蛻 清 虗 具 此 淨 因 理 宜 解 脫 而 子 厚 乃 復 
X88n1646_019:0217c02	流連神趣。立威醉人亦獨何哉。	流 連 神 趣 立 威 醉 人 亦 獨 何 哉 
X88n1646_019:0217c03	汪大紳云。三人同傳而以白先生為指歸。此傳引	汪 大 紳 云 三 人 同 傳 而 以 白 先 生 為 指 歸 此 傳 引 
X88n1646_019:0217c04	人入勝處也。王柳名理妙絕。白先生則願力堅矣	人 入 勝 處 也 王 柳 名 理 妙 絕 白 先 生 則 願 力 堅 矣 
X88n1646_019:0217c05	○又云。知歸子贊已具隻眼者。二人生平卒不能	 又 云 知 歸 子 贊 已 具 隻 眼 者 二 人 生 平 卒 不 能 
X88n1646_019:0217c06	無愧者。知歸子亦曾究其因乎。以二人乃文人根	無 愧 者 知 歸 子 亦 曾 究 其 因 乎 以 二 人 乃 文 人 根 
X88n1646_019:0217c07	種故也。此等根種最不濟事。吾近來尚喜歸震川	種 故 也 此 等 根 種 最 不 濟 事 吾 近 來 尚 喜 歸 震 川 
X88n1646_019:0217c08	侯朝宗汪鈍翁諸先生文。并及湯臨川洪昉思曲	侯 朝 宗 汪 鈍 翁 諸 先 生 文 并 及 湯 臨 川 洪 昉 思 曲 
X88n1646_019:0217c09	子不濟事甚矣。真實學道人。案頭只宜看內外經	子 不 濟 事 甚 矣 真 實 學 道 人 案 頭 只 宜 看 內 外 經 
X88n1646_019:0217c10	典。先儒古德書。歷代史冊。及韓歐李杜詩文。乃無	典 先 儒 古 德 書 歷 代 史 冊 及 韓 歐 李 杜 詩 文 乃 無 
X88n1646_019:0217c11	一字入陰界。記取吾語。流連神趣語尤好。只為他	一 字 入 陰 界 記 取 吾 語 流 連 神 趣 語 尤 好 只 為 他 
X88n1646_019:0217c12	趣根深耳。趣根亦從文根得來。其為神者。以子厚	趣 根 深 耳 趣 根 亦 從 文 根 得 來 其 為 神 者 以 子 厚 
X88n1646_019:0217c13	生平孑直故也。去其趣而存其直。則生天矣。記取	生 平 孑 直 故 也 去 其 趣 而 存 其 直 則 生 天 矣 記 取 
X88n1646_020:0217c18	居士傳二十	居 士 傳 二 十 
X88n1646_020:0217c20	楊大年李公武傳	楊 大 年 李 公 武 傳 
X88n1646_020:0217c21	楊大年名億。浦城人也。少能文。年十一宋太宗召試	楊 大 年 名 億 浦 城 人 也 少 能 文 年 十 一 宋 太 宗 召 試 
X88n1646_020:0217c22	詩賦。授秘書省正字。真宗朝累遷至左司諫。咸平中	詩 賦 授 秘 書 省 正 字 真 宗 朝 累 遷 至 左 司 諫 咸 平 中 
X88n1646_020:0217c23	詔近臣議靈州棄守事。大年上書極言征戍之苦。棄	詔 近 臣 議 靈 州 棄 守 事 大 年 上 書 極 言 征 戍 之 苦 棄 
X88n1646_020:0217c24	之便。真宗立劉后。后所出微。朝臣以為不可。真宗欲	之 便 真 宗 立 劉 后 后 所 出 微 朝 臣 以 為 不 可 真 宗 欲 
X88n1646_020:0218a01	得大年草制。使丁謂諭旨。大年難之。謂曰。勉為之。不	得 大 年 草 制 使 丁 謂 諭 旨 大 年 難 之 謂 曰 勉 為 之 不 
