T85n2902_001:1435c08	法句經疏	法 句 經 疏 
T85n2902_001:1437c19	別證。何故乃言欲得菩提。當觀三處也。釋	別 證 何 故 乃 言 欲 得 菩 提 當 觀 三 處 也 釋 
T85n2902_001:1437c20	言。菩提體性實無隱顯。但以無明所覆有而	言 菩 提 體 性 實 無 隱 顯 但 以 無 明 所 覆 有 而 
T85n2902_001:1437c21	不覺。安須修觀始方剋證譬如虛空證性雖	不 覺 安 須 修 觀 始 方 剋 證 譬 如 虛 空 證 性 雖 
T85n2902_001:1437c22	淨然為烟雲塵霧之所隱蔽。不可以空體性	淨 然 為 烟 雲 塵 霧 之 所 隱 蔽 不 可 以 空 體 性 
T85n2902_001:1437c23	淨。即文彰不除而自現也。文言於三處中等	淨 即 文 彰 不 除 而 自 現 也 文 言 於 三 處 中 等 
T85n2902_001:1437c24	者。此三事無體。更相依持。離有離無。不生	者 此 三 事 無 體 更 相 依 持 離有離無 不 生 
T85n2902_001:1437c25	不滅。名為不實。不實性空稱為解脫也。勸修	不 滅 名 為 不 實 不 實 性 空 稱 為 解 脫 也 勸 修 
T85n2902_001:1437c26	意中教如實觀者。眼等虛妄誑或。犯夫無其	意 中 教 如 實 觀 者 眼 等 虛 妄 誑 或 犯 夫 無 其 
T85n2902_001:1437c27	性也。以無生為體故。今勸觀捨虛會實。色心	性 也 以 無 生 為 體 故 今 勸 觀 捨 虛 會 實 色 心 
T85n2902_001:1437c28	妄法更不現前。貪嗔等或自此衰喪。故智論	妄 法 更 不 現 前 貪 嗔 等 或 自 此 衰 喪 故 智 論 
T85n2902_001:1437c29	言。內外十二入皆是魔網。虛誑不實。於此中	言 內 外 十 二 入 皆 是 魔 網 虛 誑 不 實 於 此 中 
T85n2902_001:1438a01	生六種識。亦是魔網。虛誑不實。何者是實唯	生 六 種 識 亦 是 魔 網 虛 誑 不 實 何 者 是 實 唯 
T85n2902_001:1438a02	有不二之法。謂無眼無色乃至無意無法等。	有 不 二 之 法 謂 無 眼 無 色 乃 至 無 意 無 法 等 
T85n2902_001:1438a03	是名為實也。下正觀中但明眼色與心。餘者	是 名 為 實 也 下 正 觀 中 但 明 眼 色 與 心 餘 者 
T85n2902_001:1438a04	例令文別有三。初約無性辨空空。就因緣以	例 令 文 別 有 三 初 約 無 性 辨 空 空 就 因 緣 以 
T85n2902_001:1438a05	釋。第三善男子應作是念已下。據不住明空	釋 第 三 善 男 子 應 作 是 念 已 下 據 不 住 明 空 
T85n2902_001:1438a06	旨。言空者。空無有無一切分別悉不相應也。	旨 言 空 者 空 無 有 無 一 切 分 別 悉 不 相 應 也 
T85n2902_001:1438a07	前中初略述計情。第二申理正破。但執見不	前 中 初 略 述 計 情 第 二 申 理 正 破 但 執 見 不 
T85n2902_001:1438a08	同。汎說有三。初一是毘曇八計。謂淨色為眼。	同 汎 說 有 三 初 一 是 毘 曇 八 計 謂 淨 色 為 眼 
T85n2902_001:1438a09	非實天眼所見。是不障礙有對色。識住眼中	非 實 天 眼 所 見 是 不 障 礙 有 對 色 識 住 眼 中 
T85n2902_001:1438a10	以瞻諸塵。名自分眼見色。第二成實人計。識	以 瞻 諸 塵 名 自 分 眼 見 色 第 二 成 實 人 計 識 
T85n2902_001:1438a11	在眼門。分別青黃。即以識為見。第三大乘學	在 眼 門 分 別 青 黃 即 以 識 為 見 第 三 大 乘 學 
T85n2902_001:1438a12	者。隨文取義立。根塵和合方能見色。良由未	者 隨 文 取 義 立 根 塵 和 合 方 能 見 色 良 由 未 
T85n2902_001:1438a13	達深旨。各隨已執計法有性並云能見也。言	達 深 旨 各 隨 已 執 計 法 有 性 並 云 能 見 也 言 
T85n2902_001:1438a14	正破者。但根塵等法並依藏識。一心因緣幻起	正 破 者 但 根 塵 等 法 並 依 藏 識 一 心 因 緣 幻 起 
T85n2902_001:1438a15	意無自體。雖復為能見也。今言眼不自見者。	意 無 自 體 雖 復 為 能 見 也 今 言 眼 不 自 見 者 
T85n2902_001:1438a16	正是破辭。若謂眼有見性則未曾不見。開即	正 是 破 辭 若 謂 眼 有 見 性 則 未 曾 不 見 開 即 
T85n2902_001:1438a17	覩外青黃赤白可能見。自體既不自見。覺有	覩 外 青 黃 赤 白 可 能 見 自 體 既 不 自 見 覺 有 
T85n2902_001:1438a18	見塵立見。故論言。是眼則不能自見其己體。	見 塵 立 見 故 論 言 是 眼 則 不 能 自 見 其 己 體 
T85n2902_001:1438a19	若不能自見何能見餘物。又若不見自體。應	若 不 能 自 見 何 能 見 餘 物 又 若 不 見 自 體 應 
T85n2902_001:1438a20	自體非眼。然不見自體。而是眼者此則見非	自 體 非 眼 然 不 見 自 體 而 是 眼 者 此 則 見 非 
T85n2902_001:1438a21	是眼。云何名眼能見。若爾應有離見之眼離眼	是 眼 云 何 名 眼 能 見 若 爾 應 有 離 見 之 眼 離 眼 
T85n2902_001:1438a22	之見也。彼云。眼是不可見有對色。故不自見	之 見 也 彼 云 眼 是 不可見有對 色 故 不 自 見 
T85n2902_001:1438a23	者。若爾眼體既不為他所見。云何能見他。如	者 若 爾 眼 體 既 不 為 他 所 見 云 何 能 見 他 如 
T85n2902_001:1438a24	百論言。四大非現見。云何生現見。又眼不自	百 論 言 四 大 非 現 見 云 何 生 現 見 又 眼 不 自 
T85n2902_001:1438a25	見而能見他者。亦應半見半非見。半見可名	見 而 能 見 他 者 亦 應 半 見 半 非 見 半 見 可 名 
T85n2902_001:1438a26	眼。半不見應非眼。次破識見類。前可知故言	眼 半 不 見 應 非 眼 次 破 識 見 類 前 可 知 故 言 
T85n2902_001:1438a27	眼不自見。既不自見。故知無性空也。色不自	眼 不 自 見 既 不 自 見 故 知 無 性 空 也 色 不 自 
T85n2902_001:1438a28	名者。色體無心不自言。色對眼彰自。假吊色	名 者 色 體 無 心 不 自 言 色 對 眼 彰 自 假 吊 色 
T85n2902_001:1438a29	名。故知無性也。心無形質者。心若有體應有	名 故 知 無 性 也 心 無 形 質 者 心 若 有 體 應 有 
T85n2902_001:1438b01	所在。若言在內不應緣境方生。定居其外則	所 在 若 言 在 內 不 應 緣 境 方 生 定 居 其 外 則 
T85n2902_001:1438b02	身內無心。應同木石。內外推求莫知其所豈	身 內 無 心 應 同 木 石 內 外 推 求 莫 知 其 所 豈 
T85n2902_001:1438b03	有形質也。故起信論言。心無形求十方求之	有 形 質 也 故 起 信 論 言 心 無 形 求 十 方 求 之 
T85n2902_001:1438b04	終不可得。下第三總結。眼色無性則無所不	終 不 可 得 下 第 三 總 結 眼 色 無 性 則 無 所 不 
T85n2902_001:1438b05	在。故得眼住於內。色常處外。心無形質。的	在 故 得 眼 住 於 內 色 常 處 外 心 無 形 質 的 
T85n2902_001:1438b06	無所在也。下約因緣釋中有三。初明眼色相	無 所 在 也 下 約 因 緣 釋 中 有 三 初 明 眼 色 相 
T85n2902_001:1438b07	依二俱無體。二明眼色既空無所染著。三明	依 二 俱 無 體 二 明 眼 色 既 空 無所染著 三 明 
T85n2902_001:1438b08	菩薩可知因緣。寂滅不壞假名而說諸法實	菩 薩 可 知 因 緣 寂 滅 不 壞 假 名 而 說 諸 法 實 
T85n2902_001:1438b09	相。亦可明法性自爾。本來空寂眾生不達。計	相 亦 可 明 法性自爾 本 來 空 寂 眾 生 不 達 計 
T85n2902_001:1438b10	之為實。妄取色塵貪求無足也。前中初明眼	之 為 實 妄 取 色 塵 貪 求 無 足 也 前 中 初 明 眼 
T85n2902_001:1438b11	藉緣生所以為空。二明空眼所見色亦無實也。	藉 緣 生 所 以 為 空 二 明 空 眼 所 見 色 亦 無 實 也 
T85n2902_001:1438b12	初明眼不自見等者。但眼為見也。要藉五緣。	初 明 眼 不 自 見 等 者 但 眼 為 見 也 要 藉 五 緣 
T85n2902_001:1438b13	一賴根不壞以為所依。二有色塵現前在於可	一 賴 根 不 壞 以 為 所 依 二 有 色 塵 現 前 在 於 可 
T85n2902_001:1438b14	見。第三中間無擁衣假其空。第四塵無闇蔽	見 第 三 中 間 無 擁 衣 假 其 空 第 四 塵 無 闇 蔽 
T85n2902_001:1438b15	以明來照。第五意識不亂念欲取塵。一一諸	以 明 來 照 第 五 意 識 不 亂 念 欲 取 塵 一 一 諸 
T85n2902_001:1438b16	緣迭相依持。離有離無。不生不滅。何者眼不	緣 迭 相 依 持 離有離無 不生不滅 何 者 眼 不 
T85n2902_001:1438b17	自見。亦藉餘緣。不可為有緣。不獨生置依眼	自 見 亦 藉 餘 緣 不 可 為 有 緣 不 獨 生 置 依 眼 
T85n2902_001:1438b18	矚。豈得為無。非有故不生。非無故不滅。既	矚 豈 得 為 無 非 有 故 不 生 非 無 故 不 滅 既 
T85n2902_001:1438b19	離有離無。生滅俱泯。何得不空。故言眼不自	離有離無 生 滅 俱 泯 何 得 不 空 故 言 眼 不 自 
T85n2902_001:1438b20	見屬諸因緣等也。然既眼藉餘緣。見無自性。	見 屬 諸 因 緣 等 也 然 既 眼 藉 餘 緣 見 無 自 性 
T85n2902_001:1438b21	執眼能見理。恐為難緣。不自生賴眼方矚遍	執 眼 能 見 理 恐 為 難 緣 不 自 生 賴 眼 方 矚 遍 
T85n2902_001:1438b22	談色等。良為未說諸緣。無性名不自生。無	談 色 等 良 為 未 說 諸 緣 無 性 名 不 自 生 無 
T85n2902_001:1438b23	性則空。空無共者而言和合見塵義將安在。	性 則 空 空 無 共 者 而 言 和 合 見 塵 義 將 安 在 
T85n2902_001:1438b24	眼識既然。餘識亦爾。皆藉因託緣。方始覺聞。	眼 識 既 然 餘 識 亦 爾 皆 藉 因 託 緣 方 始 覺 聞 
T85n2902_001:1438b25	熾燃建立。未曾暫起也。下明色空中。初明對	熾 燃 建 立 未 曾 暫 起 也 下 明 色 空 中 初 明 對 
T85n2902_001:1438b26	眼為色。二釋空。眼所見體無實也。下明無染	眼 為 色 二 釋 空 眼 所 見 體 無 實 也 下 明 無 染 
T85n2902_001:1438b27	中。初明三事俱空故無所著。二例釋餘五也。	中 初 明 三 事 俱 空 故 無 所 著 二 例 釋 餘 五 也 
T85n2902_001:1438b28	言識空滅諸行者。識為初心。相等從生。識性	言 識 空 滅 諸 行 者 識 為 初 心 相 等 從 生 識 性 
T85n2902_001:1438b29	既空。所以諸行不起。亦可捨此取彼。稱之	既 空 所 以 諸 行 不 起 亦 可 捨 此 取 彼 稱 之 
T85n2902_001:1438c01	為行。昔由妄計有實緣令不住。今既悟達本	為 行 昔 由 妄 計 有 實 緣 令 不 住 今 既 悟 達 本 
T85n2902_001:1438c02	無則分別永亡。故言滅於諸行也。下明因緣	無 則 分 別 永 亡 故 言 滅 於 諸 行 也 下 明 因 緣 
T85n2902_001:1438c03	寂滅中有三。初明眼藉諸緣見無自性。雖恒	寂 滅 中 有 三 初 明 眼 藉 諸 緣 見 無 自 性 雖 恒 
T85n2902_001:1438c04	了境未曾有生色名。從眼名無自體名。終日	了 境 未 曾 有 生 色 名 從 眼 名 無 自 體 名 終 日 
T85n2902_001:1438c05	名不可為實。不可為實故則用時恒寂。恒見	名 不 可 為 實 不 可 為 實 故 則 用 時 恒 寂 恒 見 
T85n2902_001:1438c06	恒名故則寂時常用也。故言知眼屬緣乃至	恒 名 故 則 寂 時 常 用 也 故 言 知 眼 屬 緣 乃 至 
T85n2902_001:1438c07	名終日名猶為無名也。下第二明眼色既空	名 終 日 名 猶 為 無 名 也 下 第 二 明 眼 色 既 空 
T85n2902_001:1438c08	心亦叵得。眾生不達著之無厭。故言以斯空	心 亦 叵 得 眾 生 不 達 著 之 無 厭 故 言 以 斯 空 
T85n2902_001:1438c09	眼常看空色等也。下類釋可知也。下約不	眼 常 看 空 色 等 也 下 類 釋 可 知 也 下 約 不 
T85n2902_001:1438c10	住明空道理。而言一切諸法無住為性。非內	住 明 空 道 理 而 言 一切諸法 無 住 為 性 非 內 
T85n2902_001:1438c11	非外。不在中間。然以凡不之流分別未除執。	非 外 不 在 中 間 然 以 凡 不 之 流 分 別 未 除 執 
T85n2902_001:1438c12	眼為內情定住其內。色為外塵定在於外。故	眼 為 內 情 定 住 其 內 色 為 外 塵 定 在 於 外 故 
T85n2902_001:1438c13	今遍破眼不局內色亦非外。此雖破而不執。	今 遍 破 眼 不 局 內 色 亦 非 外 此 雖 破 而 不 執 
T85n2902_001:1438c14	言而無當也。又中初牒。次釋。後結釋中有二。	言 而 無 當 也 又 中 初 牒 次 釋 後 結 釋 中 有 二 
T85n2902_001:1438c15	初明眼色無住故空也。第二明心是無為相	初 明 眼 色 無 住 故 空 也 第 二 明 心 是 無 為 相 
T85n2902_001:1438c16	違不有眼住於內等者。眼若有性則定住於	違 不 有 眼 住 於 內 等 者 眼 若 有 性 則 定 住 於 
T85n2902_001:1438c17	內。色有自體則局在其外。然眼從緣起覩色	內 色 有 自 體 則 局 在 其 外 然 眼 從 緣 起 覩 色 
T85n2902_001:1438c18	便生。不定在內。則眼無自性。色亦無定。對眼	便 生 不 定 在 內 則 眼 無 自 性 色 亦 無 定 對 眼 
T85n2902_001:1438c19	為因。故知色無自體也。下第二明眼之與色	為 因 故 知 色 無 自 體 也 下 第 二 明 眼 之 與 色 
T85n2902_001:1438c20	若有自體者。則不藉緣生。故言眼是有作色	若 有 自 體 者 則 不 藉 緣 生 故 言 眼 是 有 作 色 
T85n2902_001:1438c21	亦有作也。心是無為不在有者。若謂心無所	亦 有 作 也 心 是 無 為 不 在 有 者 若 謂 心 無 所 
T85n2902_001:1438c22	在定為無者。不應緣有而生。然既對境則生。	在 定 為 無 者 不 應 緣 有 而 生 然 既 對 境 則 生 
T85n2902_001:1438c23	不可為無。而不自起。何得為有。非有故言無。	不 可 為 無 而 不 自 起 何 得 為 有 非 有 故 言 無 
T85n2902_001:1438c24	不欲是其無。非無故言有。不欲是其有。言無	不 欲 是 其 無 非 無 故 言 有 不 欲 是 其 有 言 無 
T85n2902_001:1438c25	不滯。有論者不累無。是以心不有。不可謂之	不 滯 有 論 者 不 累 無 是 以 心 不 有 不 可 謂 之 
T85n2902_001:1438c26	無。心不無不可謂之有。不有故心相都寂不	無 心 不 無 不 可 謂 之 有 不 有 故 心 相 都 寂 不 
T85n2902_001:1438c27	無故理無不契也。是故下第三總結眼色但空	無 故 理 無 不 契 也 是 故 下 第 三 總 結 眼 色 但 空 
T85n2902_001:1438c28	也。又如一人隨人見別不礙。於心色非定有。	也 又 如 一 人 隨 人 見 別 不 礙 於 心 色 非 定 有 
T85n2902_001:1438c29	心不定無好醜狀貌。餘人不改色。復不無心	心 不 定 無 好 醜 狀 貌 餘 人 不 改 色 復 不 無 心 
T85n2902_001:1439a01	非是有色之與心空無有無。一切分別迷不	非 是 有 色 之 與 心 空 無 有 無 一 切 分 別 迷 不 
T85n2902_001:1439a02	相應。所以虛通無礙也。自下大文第二舉喻	相 應 所 以 虛 通 無 礙 也 自 下 大 文 第 二 舉 喻 
T85n2902_001:1439a03	彰法。又中有三。初明炎隨陽於以水無實。	彰 法 又 中 有 三 初 明 炎 隨 陽 於 以 水 無 實 
T85n2902_001:1439a04	第二如凡夫已下舉夢所見究竟是空。第三若	第 二 如 凡 夫 已 下 舉 夢 所 見 究 竟 是 空 第 三 若 
T85n2902_001:1439a05	色已下廣引眾喻以通觀門。前中初喻。次合	色 已 下 廣 引 眾 喻 以 通 觀 門 前 中 初 喻 次 合 
T85n2902_001:1439a06	喻。中初明炎隨心變顯現以水。愚者不知自	喻 中 初 明 炎 隨 心 變 顯 現 以 水 愚 者 不 知 自 
T85n2902_001:1439a07	心現故走而向之。聖濟其濁水。從心生似而	心 現 故 走 而 向 之 聖 濟 其 濁 水 從 心 生 似 而 
T85n2902_001:1439a08	不實。逼之則無安可得乎。一切眾生亦復如	不 實 逼 之 則 無 安 可 得 乎 一 切 眾 生 亦 復 如 
T85n2902_001:1439a09	是。無始已來妄習名言重。自心識了隨重變	是 無始已來 妄 習 名 言 重 自 心 識 了 隨 重 變 
T85n2902_001:1439a10	顯現似塵。而復不知似而無實。熾然貪求造	顯 現 似 塵 而 復 不 知 似 而 無 實 熾 然 貪 求 造 
T85n2902_001:1439a11	業流轉。故言如炎似水。乃至轉近轉滅也。下	業 流 轉 故 言 如 炎 似 水 乃 至 轉 近 轉 滅 也 下 
T85n2902_001:1439a12	第二明智者呵責息其妄念也。下明合喻。色	第 二 明 智 者 呵 責 息 其 妄 念 也 下 明 合 喻 色 
T85n2902_001:1439a13	法似有狀如災水。愚者謂實妄生追求。色從	法 似 有 狀 如 災 水 愚 者 謂 實 妄 生 追 求 色 從 
T85n2902_001:1439a14	心現。體性自空。唐勞疲極。竟無所獲。故言	心 現 體 性 自 空 唐 勞 疲 極 竟 無 所 獲 故 言 
T85n2902_001:1439a15	色亦如是。凡謂有實乃至轉推轉減也。下合	色 亦 如 是 凡 謂 有 實 乃 至 轉 推 轉 減 也 下 合 
T85n2902_001:1439a16	上智者呵責。諸佛菩薩了知色性體空證之	上 智 者 呵 責 諸佛菩薩 了 知 色 性 體 空 證 之 
T85n2902_001:1439a17	相應。如炎邊經者。見彼凡夫貪求妄色愍而	相 應 如 炎 邊 經 者 見 彼 凡 夫 貪 求 妄 色 愍 而 
T85n2902_001:1439a18	呵之。明陰從緣生都無實法。但唯是似誑或	呵 之 明 陰 從 緣 生 都 無 實 法 但 唯 是 似 誑 或 
T85n2902_001:1439a19	愚夫。何故自為貪染流轉生死。故言證實相	愚 夫 何 故 自 為 貪 染 流轉生死 故 言 證 實 相 
T85n2902_001:1439a20	者知此陰中本來無色乃至若有智者妄渴心	者 知 此 陰 中 本 來 無 色 乃 至 若 有 智 者 妄 渴 心 
T85n2902_001:1439a21	息也。下明受等同色幻起無實。故言亦如是	息 也 下 明 受 等 同 色 幻 起 無 實 故 言 亦 如 是 
T85n2902_001:1439a22	也。下明夢譬。依智度論說。夢有五種。若身	也 下 明 夢 譬 依 智 度 論 說 夢 有 五 種 若 身 
T85n2902_001:1439a23	中不調。若熱氣多則夢見火見黃見赤。若冷	中 不 調 若 熱 氣 多 則 夢 見 火 見 黃 見 赤 若 冷 
T85n2902_001:1439a24	氣多則多見水見白。若風氣多則多見飛見	氣 多 則 多 見 水 見 白 若 風 氣 多 則 多 見 飛 見 
T85n2902_001:1439a25	黑。又所聞見事多。若思惟念故則夢見。或天	黑 又 所 聞 見 事 多 若 思 惟 念 故 則 夢 見 或 天 
T85n2902_001:1439a26	與夢。欲令知未來事故。是五種夢皆無事而	與 夢 欲 令 知 未 來 事 故 是 五 種 夢 皆 無 事 而 
T85n2902_001:1439a27	妄見也。眾生亦爾。身見力因緣故妄計我所	妄 見 也 眾 生 亦 爾 身 見 力 因 緣 故 妄 計 我 所 
T85n2902_001:1439a28	得。真如智覺已知無實也。文中初喻。後合喻。	得 真 如 智 覺 已 知 無 實 也 文 中 初 喻 後 合 喻 
T85n2902_001:1439a29	文有二。初明夢心妄見。謂之為實也。種種	文 有 二 初 明 夢 心 妄 見 謂 之 為 實 也 種 種 
T85n2902_001:1439b01	光明即身中不調。熱氣故。然又風氣偏多所中	光 明 即 身 中 不 調 熱 氣 故 然 又 風 氣 偏 多 所 中 
T85n2902_001:1439b02	見事多。或思惟故則夢見。飲食行至他方乃	見 事 多 或 思 惟 故 則 夢 見 飲 食 行 至 他 方 乃 
T85n2902_001:1439b03	至殺數千人等。故言譬如凡夫等也。及其下	至 殺 數 千 人 等 故 言 譬 如 凡 夫 等 也 及 其 下 
T85n2902_001:1439b04	二明夢覺塵無驗知所見從夢心而現也。又	二 明 夢 覺 塵 無 驗 知 所 見 從 夢 心 而 現 也 又 
T85n2902_001:1439b05	夢見自身遠行他所心緣善惡違順等者。但	夢 見 自 身 遠 行 他 所 心 緣 善 惡 違 順 等 者 但 
T85n2902_001:1439b06	於睡時身心上見更無別有。然以心隨或染	於 睡 時 身 心 上 見 更 無 別 有 然 以 心 隨 或 染 
T85n2902_001:1439b07	不覺妄念非實謂實。此義云何。如人夢中或	不 覺 妄 念 非 實 謂 實 此義云何 如 人 夢 中 或 
T85n2902_001:1439b08	見惡獸怨家種種逼迫驚怖之事。或復失聲叫	見 惡 獸 怨 家 種 種 逼 迫 驚 怖 之 事 或 復 失 聲 叫 
T85n2902_001:1439b09	而雨淚。傍人了知惡事所逼。遂觸而喚之。睡	而 雨 淚 傍 人 了 知 惡 事 所 逼 遂 觸 而 喚 之 睡 
T85n2902_001:1439b10	人便覺泣止聲亡。若如夢所見定有別身。遠	人 便 覺 泣 止 聲 亡 若 如夢所見 定 有 別 身 遠 
T85n2902_001:1439b11	行他處者。豈得此間纔喚聲振遠聞彼。身非	行 他 處 者 豈 得 此 間 纔 喚 聲 振 遠 聞 彼 身 非 
T85n2902_001:1439b12	此忽爾而覺也。又夢見二心定為異者。其人	此 忽 爾 而 覺 也 又 夢 見 二 心 定 為 異 者 其 人 
T85n2902_001:1439b13	覺已應無重緣夢所矚塵。又不覺而覺。方名	覺 已 應 無 重 緣 夢 所 矚 塵 又 不 覺 而 覺 方 名 
T85n2902_001:1439b14	為覺二心。若別覺何所覺。又覺者覺不覺。而	為 覺 二 心 若 別 覺 何 所 覺 又 覺 者 覺 不 覺 而 
T85n2902_001:1439b15	復不覺之外別有覺者亦可。或不自染染於心。	復 不 覺 之 外 別 有 覺 者 亦 可 或 不 自 染 染 於 心 
T85n2902_001:1439b16	心不隨染應染。染若心不隨染染自染者。則夢	心 不 隨 染 應 染 染 若 心 不 隨 染 染 自 染 者 則 夢 
T85n2902_001:1439b17	者常夢應無覺。我以此當知。睡夢兩身雖非	者 常 夢 應 無 覺 我 以 此 當 知 睡 夢 兩 身 雖 非 
T85n2902_001:1439b18	定一。然不是異。非定一故遂有安危不同。不	定 一 然 不 是 異 非 定 一 故 遂 有 安 危 不 同 不 
T85n2902_001:1439b19	是異故。所以觸而便覺。今時亦然。良由生死	是 異 故 所 以 觸 而 便 覺 今 時 亦 然 良 由 生 死 
T85n2902_001:1439b20	不離涅槃。無明迷故謂為外有。諸佛菩薩愍	不 離 涅 槃 無 明 迷 故 謂 為 外 有 諸佛菩薩 愍 
T85n2902_001:1439b21	而語之便悟。身心本來寂滅。若如凡所見定	而 語 之 便 悟 身 心 本 來 寂 滅 若 如 凡 所 見 定 
T85n2902_001:1439b22	為異者。則眾生永沈生死。竟無證聖之期。縱	為 異 者 則 眾 生 永 沈 生 死 竟 無 證 聖 之 期 縱 
T85n2902_001:1439b23	令慈氏振喚能仁復暉累聖重光亦無奈之	令 慈 氏 振 喚 能 仁 復 暉 累 聖 重 光 亦 無 奈 之 
T85n2902_001:1439b24	何。又論言雖復懃精進修行菩提道。若先非	何 又 論 言 雖 復 懃 精 進 修 行 菩 提 道 若 先 非 
T85n2902_001:1439b25	佛性不應得成佛。故知生死涅槃雖不是一竟	佛 性 不 應 得 成 佛 故 知 生死涅槃 雖 不 是 一 竟 
T85n2902_001:1439b26	無兩體。不是一故生死殊寂體。無二故均平	無 兩 體 不 是 一 故 生 死 殊 寂 體 無 二 故 均 平 
T85n2902_001:1439b27	一味也。又夢所見塵餘人不覩。將知並從夢	一 味 也 又 夢 所 見 塵 餘 人 不 覩 將 知 並 從 夢 
T85n2902_001:1439b28	心而現。今時亦然。各自緣諸塵境界互不相	心 而 現 今 時 亦 然 各 自 緣 諸 塵 境 界 互 不 相 
T85n2902_001:1439b29	見。故知唯心。故論言一切分別則分別自心	見 故 知 唯 心 故 論 言 一 切 分 別 則 分 別 自 心 
T85n2902_001:1439c01	故言及其覺也。身光尋滅及至尋無色相也。	故 言 及 其 覺 也 身 光 尋 滅 及 至 尋 無 色 相 也 
T85n2902_001:1439c02	下第二合喻。初明眾生無始積習無明。望之	下 第 二 合 喻 初 明 眾 生 無 始 積 習 無 明 望 之 
T85n2902_001:1439c03	如崖。覆蓋自心。事同於彼三界宅中無明。	如 崖 覆 蓋 自 心 事 同 於 彼 三 界 宅 中 無 明 
T85n2902_001:1439c04	夢裏妄見諸塵。謂之為實。此正合上譬。如	夢 裏 妄 見 諸 塵 謂 之 為 實 此 正 合 上 譬 如 
T85n2902_001:1439c05	凡夫夜夢見身等也。故言色亦如是乃至謂	凡 夫 夜 夢 見 身 等 也 故 言 色 亦 如 是 乃 至 謂 
T85n2902_001:1439c06	呼為實也。二明無明睡。覺了知三界唯是一	呼 為 實 也 二 明 無 明 睡 覺 了 知 三 界 唯 是 一 
T85n2902_001:1439c07	心。生死涅槃本性空寂。即合上及其覺也。身	心 生死涅槃 本 性 空 寂 即 合 上 及 其 覺 也 身 
T85n2902_001:1439c08	光尋滅等也。故言得道覺者。乃知虛妄等	光 尋 滅 等 也 故 言 得 道 覺 者 乃 知 虛 妄 等 
T85n2902_001:1439c09	也。	也 
T85n2902_001:1439c10	自下廣陳八喻以通觀門。文中初結上色空	自 下 廣 陳 八 喻 以 通 觀 門 文 中 初 結 上 色 空 
T85n2902_001:1439c11	類。收萬法故言若色如是等也。下正釋喻雖	類 收 萬 法 故 言 若 色 如 是 等 也 下 正 釋 喻 雖 
T85n2902_001:1439c12	有八義判為兩。初之四喻約依他性。顯現以	有 八 義 判 為 兩 初 之 四 喻 約 依 他 性 顯 現 以 
T85n2902_001:1439c13	塵。後之四喻就分別性。究竟是無。故攝論言。	塵 後 之 四 喻 就 分 別 性 究 竟 是 無 故 攝 論 言 
T85n2902_001:1439c14	幻等顯依他說無顯分別也。如谷嚮者。聲依	幻 等 顯 依 他 說 無 顯 分 別 也 如 谷 嚮 者 聲 依 
T85n2902_001:1439c15	空谷嚮應耳聞。屬諸因緣竟無自體。諸法亦	空 谷 嚮 應 耳 聞 屬 諸 因 緣 竟 無 自 體 諸 法 亦 
T85n2902_001:1439c16	然。因緣幻起究之無實。何得不空也。如芭堅	然 因 緣 幻 起 究 之 無 實 何 得 不 空 也 如 芭 堅 
T85n2902_001:1439c17	者。其樹無實。但有皮葉。望之似有。柝之則	者 其 樹 無 實 但 有 皮 葉 望 之 似 有 柝 之 則 
T85n2902_001:1439c18	空。諸法亦爾。誑人耳目理觀皆無。故道如芭	空 諸 法 亦 爾 誑 人 耳 目 理 觀 皆 無 故 道 如 芭 
T85n2902_001:1439c19	蕉無堅也。如水中月者。以月為因。用水為	蕉 無 堅 也 如水中月 者 以 月 為 因 用 水 為 
T85n2902_001:1439c20	緣。因緣具足遂令影現。但水無月。其影不生。	緣 因緣具足 遂 令 影 現 但 水 無 月 其 影 不 生 
T85n2902_001:1439c21	不從內出。唯月無水。亦無影現。不從外來。彼	不 從 內 出 唯 月 無 水 亦 無 影 現 不 從 外 來 彼 
T85n2902_001:1439c22	此無力。各不能現。豈有自體。和合共生。故	此 無 力 各 不 能 現 豈 有 自 體 和 合 共 生 故 
T85n2902_001:1439c23	論言。若破自性他性即破共義影。若有體應	論 言 若 破 自 性 他 性 即 破 共 義 影 若 有 體 應 
T85n2902_001:1439c24	有來出之處。愚人不了。執之為實。智者往觀	有 來 出 之 處 愚 人 不 了 執 之 為 實 智 者 往 觀 
T85n2902_001:1439c25	竟不可得。諸法亦然。但以無始無明起或為	竟 不 可 得 諸 法 亦 然 但 以 無 始 無 明 起 或 為 
T85n2902_001:1439c26	業。熏習藏識。即以無明或業為因。藏識為	業 熏 習 藏 識 即 以 無 明 或 業 為 因 藏 識 為 
T85n2902_001:1439c27	緣。因緣見故報相斯現。推而究之竟無來出	緣 因 緣 見 故 報 相 斯 現 推 而 究 之 竟 無 來 出 
T85n2902_001:1439c28	之處。豈得為實也。如空中花者。病眼因緣	之 處 豈 得 為 實 也 如 空 中 花 者 病 眼 因 緣 
T85n2902_001:1439c29	妄見空花。花無自體。但由病眼而現。離眼之	妄 見 空 花 花 無 自 體 但 由 病 眼 而 現 離 眼 之 
T85n2902_001:1440a01	外豈有一毫可得。萬法亦然。並由心現。此外	外 豈 有 一 毫 可 得 萬 法 亦 然 並 由 心 現 此 外 
