X26n0567_001:0929a03	摩訶般若波羅蜜多心經	摩訶般若波羅蜜 多 心 經 
X26n0567_001:0931b10	呪。此句。結用大義也。能除一切苦。真實不虗二句。	呪 此 句 結 用 大 義 也 能 除 一 切 苦 真 實 不 虗 二 句 
X26n0567_001:0931b11	總結般若之功。令眾決疑。頓信廣大甚深般若也。	總 結 般 若 之 功 令 眾 決 疑 頓 信 廣大甚深 般 若 也 
X26n0567_001:0931b12	能除有二義。謂如來說一切眾生。定有世閒輪迴	能 除 有 二 義 謂 如 來 說 一 切 眾 生 定 有 世 閒 輪 迴 
X26n0567_001:0931b13	等苦。非妄非虗又說以摩訶般若甚深之智。能除	等 苦 非 妄 非 虗 又 說 以 摩訶般若 甚 深 之 智 能 除 
X26n0567_001:0931b14	一切苦。非妄非虗。由是三世諸佛。知般若是大神	一 切 苦 非 妄 非 虗 由 是 三世諸佛 知 般 若 是 大 神 
X26n0567_001:0931b15	呪。乃至是無等等呪。復知此呪。能除一切苦。能得	呪 乃 至 是 無 等 等 呪 復 知 此 呪 能 除 一 切 苦 能 得 
X26n0567_001:0931b16	一切樂故。方說此般若波羅蜜多呪。	一 切 樂 故 方 說 此 般 若 波羅蜜多 呪 
X26n0567_001:0931b17	即說呪曰。揭諦揭諦波羅揭諦波羅僧揭諦菩提薩	即 說 呪 曰 揭 諦 揭 諦 波 羅 揭 諦 波 羅 僧 揭 諦 菩 提 薩 
X26n0567_001:0931b18	婆訶	婆 訶 
X26n0567_001:0931b19	此呪。不訓字解釋。乃五不翻中。尊重不翻也。忘文	此 呪 不 訓 字 解 釋 乃 五 不 翻 中 尊 重 不 翻 也 忘 文 
X26n0567_001:0931b20	絕義。不生情解。如摩尼寶鏡。體本無持無受。不妨	絕 義 不 生 情 解 如 摩 尼 寶 鏡 體 本 無 持 無 受 不 妨 
X26n0567_001:0931b21	萬像森羅。無法不持。無法不受。是以無受為受。無	萬 像 森 羅 無 法 不 持 無 法 不 受 是 以 無 受 為 受 無 
X26n0567_001:0931b22	持為持。鏡何受像。像何入鏡耶。○學般若人。當知	持 為 持 鏡 何 受 像 像 何 入 鏡 耶 學 般 若 人 當 知 
X26n0567_001:0931b23	本心本體。本來是佛。不假修成。不屬漸次。不落邊	本 心 本 體 本 來 是 佛 不 假 修 成 不 屬 漸 次 不 落 邊 
X26n0567_001:0931b24	見。無有一法可得。所謂本來無一物。何處惹塵埃。	見 無 有 一 法 可 得 所 謂 本 來 無 一 物 何 處 惹 塵 埃 
X26n0567_001:0931c01	故佛云。我於菩提。實無所得。默契而已。若人能觀	故 佛 云 我 於 菩 提 實 無 所 得 默 契 而 已 若 人 能 觀 
X26n0567_001:0931c02	五蘊皆空。四大無我。心本太虗。無往無來。湛然圓	五 蘊 皆 空 四 大 無 我 心 本 太 虗 無 往 無 來 湛 然 圓 
X26n0567_001:0931c03	寂。心境一如但能如是。直下頓了。不為三世所拘	寂 心 境 一 如 但 能 如 是 直 下 頓 了 不 為 三 世 所 拘 
X26n0567_001:0931c04	繫。便遠離一切苦厄。為出世人也。切不得有分毫	繫 便 遠 離 一 切 苦 厄 為 出 世 人 也 切 不 得 有 分 毫 
X26n0567_001:0931c05	趣向。若見勝妙善相來迎及種種現前。亦無心隨	趣 向 若 見 勝 妙 善 相 來 迎 及 種 種 現 前 亦 無 心 隨 
X26n0567_001:0931c06	去。若見惡相種種現前。亦無心怖畏。但自忘心。同	去 若 見 惡 相 種 種 現 前 亦 無 心 怖 畏 但 自 忘 心 同 
X26n0567_001:0931c07	於法界。便得自在。此即是要節也。○張拙因禪月	於 法 界 便 得 自 在 此 即 是 要 節 也 張 拙 因 禪 月 
X26n0567_001:0931c08	大師。指參石霜和尚。霜問秀才何姓。曰。姓張名拙。	大 師 指 參 石 霜 和 尚 霜 問 秀 才 何 姓 曰 姓 張 名 拙 
X26n0567_001:0931c09	霜曰。覓巧尚不可得。拙自何來。張忽省悟。隨呈偈	霜 曰 覓 巧 尚 不 可 得 拙 自 何 來 張 忽 省 悟 隨 呈 偈 
X26n0567_001:0931c10	曰。光明寂照徧河沙。凡聖含靈共一家。一念不生	曰 光 明 寂 照 徧 河 沙 凡 聖 含 靈 共 一 家 一 念 不 生 
X26n0567_001:0931c11	全體現。六根纔動被雲遮。破除煩惱重增病。趣向	全 體 現 六 根 纔 動 被 雲 遮 破 除 煩 惱 重 增 病 趣 向 
