T85n2815_001:1174a22	起信論註	起 信 論 註 
T85n2815_001:1176a03	耶者。訓翻無沒。謂如來藏。不生滅心雖隨無明而成生滅。如來藏體無滅沒故功德相無失沒。故法身妙用無隱	耶 者 訓 翻 無 沒 謂 如 來 藏 不 生 滅 心 雖 隨 無 明 而 成 生 滅 如 來 藏 體 無 滅 沒 故 功 德 相 無 失 沒 故 法 身 妙 用 無 隱 
T85n2815_001:1176a04	沒。故此三箇是前體大相大用大也。正名阿賴耶義。答黎耶賴耶義則是一。只猶語昔經重有異譯為藏。所成生滅	沒 故 此 三 箇 是 前 體 大 相 大 用 大 也 正 名 阿 賴 耶 義 答 黎 耶 賴 耶 義 則 是 一 只 猶 語 昔 經 重 有 異 譯 為 藏 所 成 生 滅 
T85n2815_001:1176a05	而為所熏。與前七識為因果故。能藏諸法於自體中。藏自體於諸法之中。又為我愛之所執藏。我見所攝故名為藏。	而 為 所 熏 與 前 七 識 為 因 果 故 能 藏 諸 法 於 自 體 中 藏 自 體 於 諸 法 之 中 又 為 我 愛 之 所 執 藏 我 見 所 攝 故 名 為 藏 
T85n2815_001:1176a06	離我見時無此名。故到七地菩薩為業識盡。故不執我故則得阿耶名任運自在。若唯生滅不異七識。若唯不生滅	離 我 見 時 無 此 名 故 到 七 地 菩 薩 為 業 識 盡 故 不 執 我 故 則 得 阿 耶 名 任 運 自 在 若 唯 生 滅 不 異 七 識 若 唯 不 生 滅 
T85n2815_001:1176a07	不異如來藏由。二和合成黎耶矣。若是阿黎識是七識家因果第八識所攝故。故第八識為因果也。此前七識第八	不 異 如 來 藏 由 二 和 合 成 黎 耶 矣 若 是 阿 黎 識 是 七 識 家 因 果 第 八 識 所 攝 故 故 第 八 識 為 因 果 也 此 前 七 識 第 八 
T85n2815_001:1176a08	阿黎識得坐故為因果也。亦名為主。此八識鈍是生滅故只名阿識不名為藏。若如來藏向歸真門故。故名藏。亦攝	阿 黎 識 得 坐 故 為 因 果 也 亦 名 為 主 此 八 識 鈍 是 生 滅 故 只 名 阿 識 不 名 為 藏 若 如 來 藏 向 歸 真 門 故 故 名 藏 亦 攝 
T85n2815_001:1176a09	藏一切生滅不生滅三大等義。攝在其中故名為藏)。	藏 一 切 生 滅 不 生 滅 三 大 等 義 攝 在 其 中 故 名 為 藏 
T85n2815_001:1176a10	上開章中直言覺不覺。覺者本覺眾性。不覺	上 開 章 中 直 言 覺 不 覺 覺 者 本 覺 眾 性 不 覺 
T85n2815_001:1176a11	者則屬始覺隨緣門中。隨緣門者生賊也。答。	者 則 屬 始 覺 隨 緣 門 中 隨 緣 門 者 生 賊 也 答 
T85n2815_001:1176a12	覺者約性德。	覺 者 約 性 德 
T85n2815_001:1176a13	論一切眾生本覺真如共諸佛體性一種　難	論 一 切 眾 生 本 覺 真 如 共 諸 佛 體 性 一 種 難 
T85n2815_001:1176a14	曰。一種未起智照則言覺義則屬性德。覺者	曰 一 種 未 起 智 照 則 言 覺 義 則 屬 性 德 覺 者 
T85n2815_001:1176a15	對染翻得名。下文則言本覺者。因此性德能	對 染 翻 得 名 下 文 則 言 本 覺 者 因 此 性 德 能 
T85n2815_001:1176a16	成果位則。是名本却歸本源。當顯始覺法身。	成 果 位 則 是 名 本 却 歸 本 源 當 顯 始 覺 法 身 
T85n2815_001:1176a17	是故德本覺名故(此明本覺。以了)此則明始覺也。	是 故 德 本 覺 名 故 此 明 本 覺 以 了 此 則 明 始 覺 也 
T85n2815_001:1176a18	論始覺義者對本覺義(述曰。此略明始覺也。言始覺者牒其名也。依本覺	論 始 覺 義 者 對 本 覺 義 述 曰 此 略 明 始 覺 也 言 始 覺 者 牒 其 名 也 依 本 覺 
T85n2815_001:1176a19	故有不覺者。明起始覺之所由也。依不覺故說有始覺者。正顯所起始覺之義。謂即本覺真淨心體隨無明緣動作妄	故 有 不 覺 者 明 起 始 覺 之 所 由 也 依 不 覺 故 說 有 始 覺 者 正 顯 所 起 始 覺 之 義 謂 即 本 覺 真 淨 心 體 隨 無 明 緣 動 作 妄 
T85n2815_001:1176a20	念故。依本覺有不覺也。而以本覺內熏力故漸有微覺。起	念 故 依 本 覺 有 不 覺 也 而 以 本 覺 內 熏 力 故 漸 有 微 覺 起 
T85n2815_001:1176a21	厭求等乃至究竟還同本覺。故依不覺有始覺也)。	厭 求 等 乃 至 究 竟 還 同 本 覺 故 依 不 覺 有 始 覺 也 
T85n2815_001:1176a22	論又以覺心源故名究竟覺不覺心原故非究	論 又 以 覺 心 源 故 名 究 竟 覺 不 覺 心 原 故 非 究 
T85n2815_001:1176a23	竟覺(述曰。上略明二覺。次下第二廣顯二覺。於中有二。先明始覺。後顯本覺。前中有三。初總標因果滿非	竟 覺 述 曰 上 略 明 二 覺 次 下 第 二 廣 顯 二 覺 於 中 有 二 先 明 始 覺 後 顯 本 覺 前 中 有 三 初 總 標 因 果 滿 非 
T85n2815_001:1176a24	滿覺。次廣寄四相釋成其義。後顯始覺不異本覺。此初也。言心源者有其二義。本覺真如為染心源。業相細念為	滿 覺 次 廣 寄 四 相 釋 成 其 義 後 顯 始 覺 不 異 本 覺 此 初 也 言 心 源 者 有 其 二 義 本 覺 真 如 為 染 心 源 業 相 細 念 為 
T85n2815_001:1176a25	諸染源。持業依主二釋皆通謂究竟位覺。本覺心本無所動。今無所靜覺。業識心本來無生。今無所減覺。此源者	諸 染 源 持 業 依 主 二 釋 皆 通 謂 究 竟 位 覺 本 覺 心 本 無 所 動 今 無 所 靜 覺 業 識 心 本來無生 今 無 所 減 覺 此 源 者 
T85n2815_001:1176a26	名究竟覺。即佛果位。縱有所覺未至。此源非究竟覺。即等覺前也)。	名 究 竟 覺 即 佛 果 位 縱 有 所 覺 未 至 此 源 非 究 竟 覺 即 等 覺 前 也 
T85n2815_001:1176a27	論若得無念者則知心相生住異滅以無念等	論 若 得 無 念 者 則 知 心 相 生住異滅 以 無 念 等 
T85n2815_001:1176b01	故　(述曰。此顯覺者之德。若妄未息不知一心本無相念。若至心源得於無念則知眾生體即無念。佛無念	故 述 曰 此 顯 覺 者 之 德 若 妄 未 息 不 知 一 心 本 無 相 念 若 至 心 源 得 於 無 念 則 知 眾 生 體 即 無 念 佛 無 念 
T85n2815_001:1176b02	體與彼平等故能遍知諸念無念。答前文四相。於漸覺位門則言眾未至究竟覺只緣無明未盡。真如門中本無相念	體 與 彼 平 等 故 能 遍 知 諸 念 無 念 答 前 文 四 相 於 漸 覺 位 門 則 言 眾 未 至 究 竟 覺 只 緣 無 明 未 盡 真 如 門 中 本 無 相 念 
T85n2815_001:1176b03	亦本覺不覺只緣妄未息。不知一心本無相念。答。若一切眾生若未息共佛體玄隔所以不知佛體無念。若至本真如	亦 本 覺 不 覺 只 緣 妄 未 息 不 知 一 心 本 無 相 念 答 若 一 切 眾 生 若 未 息 共 佛 體 玄 隔 所 以 不 知 佛 體 無 念 若 至 本 真 如 
T85n2815_001:1176b04	心源得於無念。則知眾生體即無念佛無念體與眾生體平等無別故知一切諸念本來無念)。	心 源 得 於 無 念 則 知 眾 生 體 即 無 念 佛 無 念 體 與 眾 生 體 平 等 無 別 故 知 一 切 諸 念 本 來 無 念 
T85n2815_001:1176b05	論而實無有始覺之異以四相俱時而有皆無	論 而 實 無 有 始 覺 之 異 以 四 相 俱 時 而 有 皆 無 
T85n2815_001:1176b06	自立本來平等同一覺故　(述曰。此即第三始不異本。文中標釋而實無有	自 立 本 來 平 等 同 一 覺 故 述 曰 此 即 第 三 始 不 異 本 文 中 標 釋 而 實 無 有 
T85n2815_001:1176b07	始覺異者。此標始覺不異本覺。以四相下釋成四義。以彼四相無別自體。可辯前後故言俱時。答　真如中更無有別	始 覺 異 者 此 標 始 覺 不 異 本 覺 以 四 相 下 釋 成 四 義 以 彼 四 相 無 別 自 體 可 辯 前 後 故 言 俱 時 答 真 如 中 更 無 有 別 
T85n2815_001:1176b08	地。四可得故言俱時。只依麤細念覺時有差別而有前後故言而有。離心無有俱時前後自性可立故言皆無自立。	地 四 可 得 故 言 俱 時 只 依 麤 細 念 覺 時 有 差 別 而 有 前 後 故 言 而 有 離 心 無 有 俱 時 前 後 自 性 可 立 故 言 皆 無 自 立 
T85n2815_001:1176b09	離心無性即同一覺故言本來同一覺等。此總意云。既覺四相說為始覺所無故能覺亦無。故無覺異於本覺)。	離 心 無 性 即 同 一 覺 故 言 本 來 同 一 覺 等 此 總 意 云 既 覺 四 相 說 為 始 覺 所 無 故 能 覺 亦 無 故 無 覺 異 於 本 覺 
T85n2815_001:1176b10	論復次本覺隨染分別生二種相與彼本覺不	論 復 次 本 覺 隨 染 分 別 生 二 種 相 與 彼 本 覺 不 
T85n2815_001:1176b11	相捨離　(述曰。廣始覺竟。下廣本覺。於中有二。先明隨染本覺。後顯性淨本覺　故　言本覺隨染分	相 捨 離 述 曰 廣 始 覺 竟 下 廣 本 覺 於 中 有 二 先 明 隨 染 本 覺 後 顯 性 淨 本 覺 故 言 本 覺 隨 染 分 
T85n2815_001:1176b12	別。既隨緣動故言生。雖隨緣生不失性淨故言與彼不相捨離。此所隨染既有二種故隨此染生下二相。言二染者	別 既 隨 緣 動 故 言 生 雖 隨 緣 生 不 失 性 淨 故 言 與 彼 不相捨離 此 所 隨 染 既 有 二 種 故 隨 此 染 生 下 二 相 言 二 染 者 
T85n2815_001:1176b13	一謂自染。即在因時由無明熏所起染相。二謂他染。即在果時與生同體。答。同體與眾生同體也。諸眾生染即依自	一 謂 自 染 即 在 因 時 由 無 明 熏 所 起 染 相 二 謂 他 染 即 在 果 時 與 生 同 體 答 同 體 與 眾 生 同 體 也 諸 眾 生 染 即 依 自 
T85n2815_001:1176b14	染生智淨相。以說從染得智淨故。由他染生不思業。以化染生起勝業故)。	染 生 智 淨 相 以 說 從 染 得 智 淨 故 由 他 染 生 不 思 業 以 化 染 生 起 勝 業 故 
T85n2815_001:1176b15	論云何為二一者智淨相二者不思議業相	論 云 何 為 二 一 者 智 淨 相 二 者 不 思 議 業 相 
T85n2815_001:1176b16	　(述曰。此列名也所言智者即始覺智淨。謂離染同於本覺果德作用故名為業。助下地測名不思議相者狀也。覺隨	 述 曰 此 列 名 也 所 言 智 者 即 始 覺 智 淨 謂 離 染 同 於 本 覺 果 德 作 用 故 名 為 業 助 下 地 測 名 不 思 議 相 者 狀 也 覺 隨 
T85n2815_001:1176b17	染有此當起二相狀故)。	染 有 此 當 起 二 相 狀 故 
T85n2815_001:1176b18	論智相者謂依法力熏習如實修行滿足方便	論 智 相 者 謂 依 法 力 熏 習 如實修行 滿 足 方 便 
T85n2815_001:1176b19	(述曰。次下第三依名辨相。於中有二。先明智淨相。後顯不思業相智。中有二。初直明淨相。後問答釋。然前中亦	 述 曰 次 下 第 三 依 名 辨 相 於 中 有 二 先 明 智 淨 相 後 顯 不 思 業 相 智 中 有 二 初 直 明 淨 相 後 問 答 釋 然 前 中 亦 
T85n2815_001:1176b20	二。先因後果。此因也。謂於地前依真如法內熏之力所流教法外聞力能修資糧加行善根故言依法力熏習。若登地	二 先因後果 此 因 也 謂 於 地 前 依 真 如 法 內 熏 之 力 所 流 教 法 外 聞 力 能 修 資 糧 加 行 善 根 故 言 依 法 力 熏 習 若 登 地 
T85n2815_001:1176b21	上契證真如。凡起諸行依真而修故言如實修行。漸漸修習超十地行至金剛位。因行既極名滿足方便。答。滿足則	上 契 證 真 如 凡 起 諸 行 依 真 而 修 故 言 如實修行 漸 漸 修 習 超 十 地 行 至 金 剛 位 因 行 既 極 名 滿 足 方 便 答 滿 足 則 
T85n2815_001:1176b22	是方便。則是滿足家之方便也)。	是 方 便 則 是 滿 足 家 之 方 便 也 
T85n2815_001:1176b23	論復次覺體相者有四種大義與虛空等猶如	論 復 次 覺 體 相 者 有 四 種 大 義 與虛空等 猶 如 
T85n2815_001:1176b24	淨鏡　(述曰。自下第二性淨本覺。於中有二。初總標。後別釋。此初也。前明本覺隨動之門故說隨染。	淨 鏡 述 曰 自 下 第 二 性 淨 本 覺 於 中 有 二 初 總 標 後 別 釋 此 初 也 前 明 本 覺 隨 動 之 門 故 說 隨 染 
T85n2815_001:1176b25	今明本覺不動之故說性淨。此二本既無別體。是顯本覺不動而動而不動也。答。波不離水。水不離波。正波時不	今 明 本 覺 不 動 之 故 說 性 淨 此 二 本 既 無 別 體 是 顯 本 覺 不 動 而 動 而 不 動 也 答 波 不 離 水 水 不 離 波 正 波 時 不 
T85n2815_001:1176b26	離水所以生滅則是真如。真如則是生滅。體非一故。故說不動而動。動而不動也)。	離 水 所 以 生 滅 則 是 真 如 真 如 則 是 生 滅 體 非 一 故 故 說 不 動 而 動 動 而 不 動 也 
T85n2815_001:1176c01	以覺體有四大淨義故與空等猶如淨鏡。本	以 覺 體 有 四 大 淨 義 故 與 空 等 猶 如 淨 鏡 本 
T85n2815_001:1176c02	覺四義下文當說。空四義者。第一空無一相	覺 四 義 下 文 當 說 空 四 義 者 第 一 空 無 一 相 
T85n2815_001:1176c03	能含一切物(答。第一空無一相能含一切物者。答。一切眾生體有垢故色像則不現。故言空無	能 含 一 切 物 答 第 一 空 無 一 相 能 含 一 切 物 者 答 一 切 眾 生 體 有 垢 故 色 像 則 不 現 故 言 空 無 
T85n2815_001:1176c04	一相)則能含一切物。答。眾生體若淨也。一切世	一 相 則 能 含 一 切 物 答 眾 生 體 若 淨 也 一 切 世 
T85n2815_001:1176c05	間境界悉於中現猶如於鏡鏡若有垢色像不	間 境 界 悉 於 中 現 猶 如 於 鏡 鏡 若 有 垢 色 像 不 
T85n2815_001:1176c06	現。鏡若淨一切色像悉於中現。問。第二空義	現 鏡 若 淨 一 切 色 像 悉 於 中 現 問 第 二 空 義 
T85n2815_001:1176c07	離垢顯淨空示現一切物(答。眾生心若離垢則能示現一切物世間)境	離 垢 顯 淨 空 示 現 一 切 物 答 眾 生 心 若 離 垢 則 能 示 現 一 切 物 世 間 境 
T85n2815_001:1176c08	界悉於中現。答。眾生心者猶如虛空。虛空中	界 悉 於 中 現 答 眾 生 心 者 猶如虛空 虛 空 中 
T85n2815_001:1176c09	若無雲無風塵則能一切間境界悉於中現。	若 無 雲 無 風 塵 則 能 一 切 間 境 界 悉 於 中 現 
T85n2815_001:1176c10	亦如淨鏡。問。第三之空義。鏡四義者。答。空	亦 如 淨 鏡 問 第 三 之 空 義 鏡 四 義 者 答 空 
T85n2815_001:1176c11	無外物體含眾像出垢諸塵垢現像為物用。	無 外 物 體 含 眾 像 出 垢 諸 塵 垢 現 像 為 物 用 
T85n2815_001:1176c12	答。空無外物者只是真如體中本來無妄相。	答 空 無 外 物 者 只 是 真 如 體 中 本 來 無 妄 相 
T85n2815_001:1176c13	妄相人真如體不得。只緣無妄故一切境界	妄 相 人 真 如 體 不 得 只 緣 無 妄 故 一切境界 
T85n2815_001:1176c14	向真如心上現來。故云體含眾像出離諸塵	向 真 如 心 上 現 來 故 云 體 含 眾 像 出 離 諸 塵 
T85n2815_001:1176c15	垢現像為物用者。答。眾若干種心總向真如	垢 現 像 為 物 用 者 答 眾 若 干 種 心 總 向 真 如 
T85n2815_001:1176c16	心上現來隨眾生心示現萬化皆能利益一切	心 上 現 來 隨 眾 生 心 示 現 萬 化 皆 能 利 益 一 切 
T85n2815_001:1176c17	眾生故名為物用。答第四空義了。由此空鏡	眾 生 故 名 為 物 用 答 第 四 空 義 了 由 此 空 鏡 
T85n2815_001:1176c18	以況於真。	以 況 於 真 
T85n2815_001:1176c19	猶如龜毛不現。鏡中妄法亦示真如體。上本	猶 如 龜 毛 不 現 鏡 中 妄 法 亦 示 真 如 體 上 本 
T85n2815_001:1176c20	來無妄故言無法可現。無可現故心境妄法	來 無 妄 故 言 無 法 可 現 無 可 現 故 心 境 妄 法 
T85n2815_001:1176c21	望於本覺非所覺照。覺望心境非能覺照。所	望 於 本 覺 非 所 覺 照 覺 望 心 境 非 能 覺 照 所 
T85n2815_001:1176c22	照既無能照無故。故言非覺照義也。此顯無	照 既 無 能 照 無 故 故 言 非 覺 照 義 也 此 顯 無 
T85n2815_001:1176c23	有遍計所執實質可現。非覺照(答。遍計所執者。一切眾著一切境	有 遍 計 所 執 實 質 可 現 非 覺 照 答 遍 計 所 執 者 一 切 眾 著 一 切 境 
T85n2815_001:1176c24	界種種分別者。則是真如者。則是無明也。故言遍計所執。真如法中覺所覺亦不可德。皆總是妄故言非覺照義。	界 種 種 分 別 者 則 是 真 如 者 則 是 無 明 也 故 言 遍 計 所 執 真 如 法 中 覺 所 覺 亦 不 可 德 皆 總 是 妄 故 言 非 覺 照 義 
T85n2815_001:1176c25	故實質可現者。如真法中無有一箇實質所現。猶如鏡中妄法不現。妄法總是虛幻實質者猶如實一箇妄法則言實	故 實 質 可 現 者 如 真 法 中 無 有 一 箇 實 質 所 現 猶 如 鏡 中 妄 法 不 現 妄 法 總 是 虛 幻 實 質 者 猶 如 實 一 箇 妄 法 則 言 實 
T85n2815_001:1176c26	質所現。猶如鏡中妄法不現故言非覺照義)。	質 所 現 猶 如 鏡 中 妄 法 不 現 故 言 非 覺 照 義 
T85n2815_001:1176c27	下言境界於　中現者准生滅門中覺中似有	下 言 境 界 於 中 現 者 准 生 滅 門 中 覺 中 似 有 
T85n2815_001:1176c28	妄法依他似現　亦不相違(答。他者妄也。故言依他似現亦不相違也)。	妄 法 依 他 似 現 亦 不 相 違 答 他 者 妄 也 故 言 依 他 似 現 亦 不 相 違 也 
T85n2815_001:1177a01	論二者因熏習鏡謂如實不空一切世間境界	論 二 者 因 熏 習 鏡 謂 如 實 不 空 一切世間 境 界 
T85n2815_001:1177a02	悉於中現不出不入不失不壞常住一心以一	悉 於 中 現 不出不入 不 失 不 壞 常 住 一 心 以 一 
T85n2815_001:1177a03	切法即真實性故又一切染法所不能染智體	切 法 即 真 實 性 故 又 一 切 染 法 所 不 能 染 智 體 
T85n2815_001:1177a04	不動具足無漏熏眾生故　述曰。此第二義	不 動 具 足 無 漏 熏 眾 生 故 述 曰 此 第 二 義 
T85n2815_001:1177a05	也。因熏鏡者標其名也。能生覺果名之為因。	也 因 熏 鏡 者 標 其 名 也 能 生 覺 果 名 之 為 因 
T85n2815_001:1177a06	此能內熏故名熏習。能現諸法故謂之鏡。次	此 能 內 熏 故 名 熏 習 能 現 諸 法 故 謂 之 鏡 次 
T85n2815_001:1177a07	下辨相文有三。節謂如實不空者出因體也。	下 辨 相 文 有 三 節 謂 如 實 不 空 者 出 因 體 也 
T85n2815_001:1177a08	以有無漏性功德相真實體故。故云如實不	以 有 無 漏 性 功 德 相 真 實 體 故 故 云 如 實 不 
T85n2815_001:1177a09	實如真異不言也。由不空故方能作彼始覺。	實 如 真 異 不 言 也 由 不 空 故 方 能 作 彼 始 覺 
T85n2815_001:1177a10	正因故不空者成因義也。以一切下釋其鏡	正 因 故 不 空 者 成 因 義 也 以 一 切 下 釋 其 鏡 
T85n2815_001:1177a11	義。謂一切法離此心外無別體性。猶如鏡中	義 謂 一 切 法 離 此 心 外 無 別 體 性 猶 如 鏡 中 
T85n2815_001:1177a12	能現影也。答。能影者猶如清淨水中能現波	能 現 影 也 答 能 影 者 猶 如 清 淨 水 中 能 現 波 
T85n2815_001:1177a13	相。雖現波相亦不壞清淨水性。真如是妄法	相 雖 現 波 相 亦 不 壞 清 淨 水 性 真 如 是 妄 法 
T85n2815_001:1177a14	中□□言不出者。明心待熏變現諸法而非	中 言 不 出 者 明 心 待 熏 變 現 諸 法 而 非 
T85n2815_001:1177a15	自出。所變餘不出心故。言入者謂心隨緣熏	自 出 所 變 餘 不 出 心 故 言 入 者 謂 心 隨 緣 熏 
T85n2815_001:1177a16	變現諸法故言此心能攝一切法。縱使隨緣	變 現 諸 法 故 言 此 心 能 攝 一 切 法 縱 使 隨 緣 
T85n2815_001:1177a17	變動亦不異真如。縱使變壞作生滅去亦不	變 動 亦 不 異 真 如 縱 使 變 壞 作 生 滅 去 亦 不 
T85n2815_001:1177a18	異真如。明日為熏成佛去時亦不□□異真	異 真 如 明 日 為 熏 成 佛 去 時 亦 不 異 真 
T85n2815_001:1177a19	如。此心一切真如生滅家因體也。雖見影染	如 此 心 一 切 真 如 生 滅 家 因 體 也 雖 見 影 染 
T85n2815_001:1177a20	體故言不失者。此皆真作體能諸法染淨法	體 故 言 不 失 者 此 皆 真 作 體 能 諸 法 染 淨 法 
T85n2815_001:1177a21	也。雖作生滅後動真性不可德。	也 雖 作 生 滅 後 動 真 性 不 可 德 
T85n2815_001:1177a22	論染心者有六種　述曰。次顯染心緣起之	論 染 心 者 有 六 種 述 曰 次 顯 染 心 緣 起 之 
T85n2815_001:1177a23	相。於中有二。初總標。後別釋。此初也。此即	相 於 中 有 二 初 總 標 後 別 釋 此 初 也 此 即 
T85n2815_001:1177a24	釋上無明所染有染心句。前文所言無明所	釋 上 無 明 所 染 有 染 心 句 前 文 所 言 無 明 所 
T85n2815_001:1177a25	染有其染心。此染心者有其六種。然其六染	染 有 其 染 心 此 染 心 者 有 其 六 種 然 其 六 染 
T85n2815_001:1177a26	即上意識及五種意。前明依因緣起義故。從	即 上 意 識 及 五 種 意 前 明 依 因 緣 起 義 故 從 
T85n2815_001:1177a27	細至麁而說次第　今欲兼辯治斷義故從麁	細 至 麁 而 說 次 第 今 欲 兼 辯 治 斷 義 故 從 麁 
T85n2815_001:1177a28	至細次第而明。故初第一執相應染。第六根	至 細 次 第 而 明 故 初 第 一 執 相 應 染 第 六 根 
T85n2815_001:1177a29	本業不相應染也。	本 業不相應 染 也 
T85n2815_001:1177b01	論云何為六一者執相應染依二乘解脫及信	論 云 何 為 六 一 者 執 相 應 染 依 二 乘 解 脫 及 信 
T85n2815_001:1177b02	相應地遠離故　及者兼三賢菩薩。此二乘	相 應 地 遠 離 故 及 者 兼 三 賢 菩 薩 此 二 乘 
T85n2815_001:1177b03	得二空門因力修未證真如。故言信相應地。	得 二 空 門 因 力 修 未 證 真 如 故 言 信 相 應 地 
T85n2815_001:1177b04	述曰。次下別別釋六染即分為六。問。何者	述 曰 次 下 別 別 釋 六 染 即 分 為 六 問 何 者 
T85n2815_001:1177b05	是六染。答。前文五種意。今兼取第識則名	是 六 染 答 前 文 五 種 意 今 兼 取 第 識 則 名 
T85n2815_001:1177b06	六染也。前文五意則從細至麁。今兼辯治	六 染 也 前 文 五 意 則 從 細 至 麁 今 兼 辯 治 
T85n2815_001:1177b07	斷義從麁至細從凡至聖分。分煩惱有麁有	斷 義 從 麁 至 細 從 凡 至 聖 分 分 煩 惱 有 麁 有 
T85n2815_001:1177b08	細。麁為分別細。為俱生因。此有麁有細。細煩	細 麁 為 分 別 細 為 俱 生 因 此 有 麁 有 細 細 煩 
T85n2815_001:1177b09	惱。十地菩薩是能斷。若是麁惡煩惱。凡夫	惱 十地菩薩 是 能 斷 若 是 麁 惡 煩 惱 凡 夫 
T85n2815_001:1177b10	能斷。問。何者是麁。如殺生切溢應是猛利麁	能 斷 問 何 者 是 麁 如 殺 生 切 溢 應 是 猛 利 麁 
T85n2815_001:1177b11	惡煩惱。凡夫若發心所是麁惡煩惱總能斷	惡 煩 惱 凡 夫 若 發 心 所 是 麁 惡 煩 惱 總 能 斷 
T85n2815_001:1177b12	故言凡夫能斷也。故言下下品煩惱上上品	故 言 凡 夫 能 斷 也 故 言 下 下 品 煩 惱 上 上 品 
T85n2815_001:1177b13	能上上品煩惱者。則是十地菩薩故言凡夫	能 上 上 品 煩 惱 者 則 是 十地菩薩 故 言 凡 夫 
T85n2815_001:1177b14	能斷也。此中第一執相應染即上意識我我	能 斷 也 此 中 第 一 執 相 應 染 即 上 意 識 我 我 
T85n2815_001:1177b15	所等麁執俱起名執相應忿。污淨心名之為	所 等 麁 執 俱 起 名 執 相 應 忿 污 淨 心 名 之 為 
T85n2815_001:1177b16	染。此及下二之義如下所明相應。若二乘人	染 此 及 下 二 之 義 如 下 所 明 相 應 若 二 乘 人 
T85n2815_001:1177b17	至無學位見修煩惱究竟能離故。此第一染	至 無 學 位 見 修 煩 惱 究 竟 能 離 故 此 第 一 染 
T85n2815_001:1177b18	菩薩人住信相成就無有退失名信相應。此	菩 薩 人 住 信 相 成 就 無 有 退 失 名 信 相 應 此 
T85n2815_001:1177b19	位菩薩得人空門見愛煩惱不現行(問。何者現行。一切上	位 菩 薩 得 人 空 門 見 愛 煩 惱 不 現 行 問 何 者 現 行 一 切 上 
T85n2815_001:1177b20	上麤煩惱不起故曰不現行。雖不現行種子未正遇緣則起也。)故云遠離非離隨	上 麤 煩 惱 不 起 故 曰 不 現 行 雖 不 現 行 種 子 未 正 遇 緣 則 起 也 故 云 遠 離 非 離 隨 
T85n2815_001:1177b21	眠(問。何者隨眠。答。二乘人強押伏煩惱種子阿黎耶識中隱在。猶如有眠臥時不煩惱不起。忽然教時煩惱還	眠 問 何 者 隨 眠 答 二 乘 人 強 押 伏 煩 惱 種 子 阿黎耶識 中 隱 在 猶 如 有 眠 臥 時 不 煩 惱 不 起 忽 然 教 時 煩 惱 還 
T85n2815_001:1177b22	在。過緣忽起者。猶如種子未正故曰隨眠。亦如二乘人)六識不行修得無色	在 過 緣 忽 起 者 猶 如 種 子 未 正 故 曰 隨 眠 亦 如 二 乘 人 六 識 不 行 修 得 無 色 
T85n2815_001:1177b23	界定則生無界中八萬大劫在。於定中福盡	界 定 則 生 無 界 中 八 萬 大 劫 在 於 定 中 福 盡 
T85n2815_001:1177b24	還墮於地獄。何以故。此先修定時有惡願故。	還 墮 於 地 獄 何 以 故 此 先 修 定 時 有 惡 願 故 
T85n2815_001:1177b25	於雖得定生無色界無猶先業惡業隨於身行	於 雖 得 定 生無色界 無 猶 先 業 惡 業 隨 於 身 行 
T85n2815_001:1177b26	種未亡故(問。有何惡願。答。先境之中修定時在壹樹下坐。其樹一切非矛作聲則向水可邊坐。其	種 未 亡 故 問 有 何 惡 願 答 先 境 之 中 修 定 時 在 壹 樹 下 坐 其 樹 一 切 非 矛 作 聲 則 向 水 可 邊 坐 其 
T85n2815_001:1177b27	水里切虫還作聲則起惡願。言願我捨此身作非矛惡夜叉。若非時食噉切非矛虫。若入水則食噉一切水里虫。雖	水 里 切 虫 還 作 聲 則 起 惡 願 言 願 我 捨 此 身 作 非 矛 惡 夜 叉 若 非 時 食 噉 切 非 矛 虫 若 入 水 則 食 噉 一 切 水 里 虫 雖 
T85n2815_001:1177b28	得定以善業因緣生無色天。八萬劫在其中。以惡願力故其中福盡還墮於地獄。還作夜叉。故曰隨眠種未亡故)。	得 定 以 善 業 因 緣 生 無 色 天 八 萬 劫 在 其 中 以 惡 願 力 故 其 中 福 盡 還 墮 於 地 獄 還 作 夜 叉 故 曰 隨 眠 種 未 亡 故 
T85n2815_001:1177c01	意在於此也(故遠者麤煩惱則離也。惡業種子等正故曰隨眠意在於此也。此第義了)	意 在 於 此 也 故 遠 者 麤 煩 惱 則 離 也 惡 業 種 子 等 正 故 曰 隨 眠 意 在 於 此 也 此 第 義 了 
T85n2815_001:1177c02	論二者不斷相應染依信相地修學方便漸漸	論 二 者 不 斷 相 應 染 依 信 相 地 修 學 方 便 漸 漸 
T85n2815_001:1177c03	能捨得淨心地究竟離故　述曰。此言不斷	能 捨 得 淨 心 地 究 竟 離 故 述 曰 此 言 不 斷 
T85n2815_001:1177c04	相應染者。即五意者從麁□二相續識也。中	相 應 染 者 即 五 意 者 從 麁 二 相 續 識 也 中 
T85n2815_001:1177c05	名相續。法執相續名為不斷。塵污淨心故名	名 相 續 法 執 相 續 名 為 不 斷 塵 污 淨 心 故 名 
T85n2815_001:1177c06	為染。初住已上三賢菩薩修學唯識尋思實	為 染 初 住 已 上 三 賢 菩 薩 修 學 唯 識 尋 思 實 
T85n2815_001:1177c07	智。何名唯識。唯者離四句絕百非真如名亦	智 何 名 唯 識 唯 者 離 四 句 絕 百 非 真 如 名 亦 
