X88n1658_001:0421a03	 諸天傳序	 諸 天 傳 序 
X88n1658_001:0423b23	老脩羅納舍支。使諸天忘身失首。華嚴云。有大象能	老 脩 羅 納 舍 支 使 諸 天 忘 身 失 首 華 嚴 云 有 大 象 能 
X88n1658_001:0423b24	化身與諸天娛樂。十地經云。第三地菩薩多作忉利	化 身 與 諸 天 娛 樂 十 地 經 云 第 三 地 菩 薩 多 作 忉 利 
X88n1658_001:0423c01	天王。天台云。阿含中帝釋是阿那含。若別圓教中帝	天 王 天 台 云 阿 含 中 帝 釋 是 阿 那 含 若 別 圓 教 中 帝 
X88n1658_001:0423c02	釋位住楞嚴三昧。未來成佛。號曰無著。西域記。佛下	釋 位 住 楞 嚴 三 昧 未 來 成 佛 號 曰 無 著 西 域 記 佛 下 
X88n1658_001:0423c03	忉利天時。作七寶金堦。在佛左邊執七寶盖侍佛而	忉 利 天 時 作 七 寶 金 堦 在 佛 左 邊 執 七 寶 盖 侍 佛 而 
X88n1658_001:0423c04	下。同與梵王請佛說法。佛於其宮中累說眾經。在佛	下 同 與 梵 王 請 佛 說 法 佛 於 其 宮 中 累 說 眾 經 在 佛 
X88n1658_001:0423c05	因中累為化人。或化師子鷹鴿以試其心。與阿脩羅	因 中 累 為 化 人 或 化 師 子 鷹 鴿 以 試 其 心 與 阿 脩 羅 
X88n1658_001:0423c06	戰。奔車而走。遇金翔鳥巢。見卵欲生。令御者回車。不	戰 奔 車 而 走 遇 金 翔 鳥 巢 見 卵 欲 生 令 御 者 回 車 不 
X88n1658_001:0423c07	肯傷之。至于誘人行施。種種示現。其事非一。要集云。	肯 傷 之 至 于 誘 人 行 施 種 種 示 現 其 事 非 一 要 集 云 
X88n1658_001:0423c08	帝釋為大迦葉從貧行乞。乃化為貧夫婦織席為生。	帝 釋 為 大 迦 葉 從 貧 行 乞 乃 化 為 貧 夫 婦 織 席 為 生 
X88n1658_001:0423c09	施食與迦葉。求其福而無厭。至于五衰相現。墮身驢	施 食 與 迦 葉 求 其 福 而 無 厭 至 于 五 衰 相 現 墮 身 驢 
X88n1658_001:0423c10	胎。聞人三歸。善心再生。還為帝釋而受天福。別譯阿	胎 聞 人 三 歸 善 心 再 生 還 為 帝 釋 而 受 天 福 別 譯 阿 
X88n1658_001:0423c11	含云。有一夜叉其形甚小。顏色黑惡。坐天帝座。三十	含 云 有 一 夜 叉 其 形 甚 小 顏 色 黑 惡 坐 天 帝 座 三 十 
X88n1658_001:0423c12	三天皆大瞋忿。天帝釋言。此名助瞋鬼也。即偏袒右	三 天 皆 大 瞋 忿 天 帝 釋 言 此 名 助 瞋 鬼 也 即 偏 袒 右 
X88n1658_001:0423c13	肩。手擎香爐語夜叉言。大仙。我是天帝釋。三自稱名。	肩 手 擎 香 爐 語 夜 叉 言 大 仙 我 是 天 帝 釋 三 自 稱 名 
X88n1658_001:0423c14	夜叉身形轉小。於是銷滅。是知雖處忉利之尊。而慈	夜 叉 身 形 轉 小 於 是 銷 滅 是 知 雖 處 忉 利 之 尊 而 慈 
X88n1658_001:0423c15	不傷物。求福不厭。五衰縱現。三歸還生。洎乎欲境非	不 傷 物 求 福 不 厭 五 衰 縱 現 三 歸 還 生 洎 乎 欲 境 非 
X88n1658_001:0423c16	常。身壽殊報。來崇佛會。請轉法輪。弘讚真乘。統攝諸	常 身 壽 殊 報 來 崇 佛 會 請 轉 法 輪 弘 讚 真 乘 統 攝 諸 
X88n1658_001:0423c17	趣。司察善惡。注籍死生。慈以折伏助瞋夜叉。勤以來	趣 司 察 善 惡 注 籍 死 生 慈 以 折 伏 助 瞋 夜 叉 勤 以 來 
X88n1658_001:0423c18	試修行菩薩。則設像崇敬必致禎祥。讚曰。	試 修 行 菩 薩 則 設 像 崇 敬 必 致 禎 祥 讚 曰 
X88n1658_001:0423c19	　成佛忉利下降時　　帝釋天王從靈儀	 成 佛 忉 利 下 降 時 帝 釋 天 王 從 靈 儀 
X88n1658_001:0423c20	　化現金堦三道布　　左邊寶盖手執持	 化 現 金 堦 三 道 布 左 邊 寶 盖 手 執 持 
X88n1658_001:0423c21	　此天住在須彌頂　　三十三人福共為	 此 天 住 在 須 彌 頂 三 十 三 人 福 共 為 
X88n1658_001:0423c22	　修橋造井摩竭國　　更兼佛墖建支提	 修 橋 造 井 摩 竭 國 更 兼 佛 墖 建 支 提 
X88n1658_001:0423c23	　昔因今感非常報　　乃為天主化邊維	 昔 因 今 感 非 常 報 乃 為 天 主 化 邊 維 
X88n1658_001:0423c24	　陞善法堂時教誡　　無邊天眾總歸依	 陞 善 法 堂 時 教 誡 無 邊 天 眾 總 歸 依 
X88n1658_001:0424a01	　三十二相如華璨　　身長一里實希奇	 三十二相 如 華 璨 身 長 一 里 實 希 奇 
X88n1658_001:0424a02	　人世百年為日夜　　彼壽千歲是年期	 人 世 百 年 為 日 夜 彼 壽 千 歲 是 年 期 
X88n1658_001:0424a03	　五欲之樂時不足　　化作脩羅納舍支	 五 欲 之 樂 時 不 足 化 作 脩 羅 納 舍 支 
X88n1658_001:0424a04	　曾墮驢胎興善念　　暫逢瞋鬼反生慈	 曾 墮 驢 胎 興 善 念 暫 逢 瞋 鬼 反 生 慈 
X88n1658_001:0424a05	　昔與梵王同請佛　　累於其處闡慈悲	 昔 與 梵 王 同 請 佛 累 於 其 處 闡 慈 悲 
X88n1658_001:0424a06	　每現化人行化事　　常司善惡運無私	 每 現 化 人 行 化 事 常 司 善 惡 運 無 私 
X88n1658_001:0424a07	　大哉世主堪崇奉　　庶希降鑒賜純禧	 大 哉 世 主 堪 崇 奉 庶 希 降 鑒 賜 純 禧 
X88n1658_001:0424a08	四天王總傳	四 天 王 總 傳 
X88n1658_001:0424a09	起世經云。須彌山半。四萬二千由旬。有四天王天所	起 世 經 云 須 彌 山 半 四 萬 二 千 由 旬 有 四天王天 所 
X88n1658_001:0424a10	居宮殿。此即六欲界之初天也。楞嚴云。諸世間人不	居 宮 殿 此 即 六 欲 界 之 初 天 也 楞 嚴 云 諸 世 間 人 不 
X88n1658_001:0424a11	求常住。未能捨諸妻妾恩愛。於邪淫中心不流逸。澄	求 常 住 未 能 捨 諸 妻 妾 恩 愛 於 邪 淫 中 心 不 流 逸 澄 
X88n1658_001:0424a12	瑩生明。命終之後。鄰於日月。如是一類。名四天王天。	瑩 生 明 命終之後 鄰 於 日 月 如 是 一 類 名 四天王天 
X88n1658_001:0424a13	增一阿含經云。須彌山半。有四種天。在彼居止。初生	增 一 阿 含 經 云 須 彌 山 半 有 四 種 天 在 彼 居 止 初 生 
X88n1658_001:0424a14	乃自然化現。在天膝上自然寶器盛天百味。食已長	乃 自 然 化 現 在 天 膝 上 自 然 寶 器 盛 天 百 味 食 已 長 
X88n1658_001:0424a15	大。與餘天等入池浴訖。詣香樹下。香樹曲躬取香塗	大 與 餘 天 等 入 池 浴 訖 詣 香 樹 下 香 樹 曲 躬 取 香 塗 
X88n1658_001:0424a16	身。復詣吉具衣樹取種種衣著。復詣莊嚴樹鬘樹器	身 復 詣 吉 具 衣 樹 取 種 種 衣 著 復 詣 莊 嚴 樹 鬘 樹 器 
X88n1658_001:0424a17	樹果樹樂樹隨意受用。視東忘西。視西忘東。無量快	樹 果 樹 樂 樹 隨 意 受 用 視 東 忘 西 視 西 忘 東 無 量 快 
X88n1658_001:0424a18	樂。身長半里。衣重半兩。壽以人間五十年為一晝夜。	樂 身 長 半 里 衣 重 半 兩 壽 以 人 間 五 十 年 為 一 晝 夜 
X88n1658_001:0424a19	三十日為一月。十二月為一年。以人間一萬八千年	三 十 日 為 一 月 十 二 月 為 一 年 以 人 間 一 萬 八 千 年 
X88n1658_001:0424a20	為一歲。如是滿五百歲。俱舍云。住欲界初天。依妙高	為 一 歲 如 是 滿 五 百 歲 俱 舍 云 住 欲 界 初 天 依 妙 高 
X88n1658_001:0424a21	山。四面第四層級去地萬踰繕那。四面背山。日月星	山 四 面 第 四 層 級 去 地 萬 踰 繕 那 四 面 背 山 日 月 星 
X88n1658_001:0424a22	辰皆是所部封邑。其王有四。光明經內。毗沙門天王	辰 皆 是 所 部 封 邑 其 王 有 四 光 明 經 內 毗 沙 門 天 王 
X88n1658_001:0424a23	主北方也。提頭賴吒天王主東方也。毗留勒叉天王	主 北 方 也 提 頭 賴 吒 天 王 主 東 方 也 毗 留 勒 叉 天 王 
X88n1658_001:0424a24	主南方也。毗留愽叉天王主西方也。佛言。過去已曾	主 南 方 也 毗 留 愽 叉 天 王 主 西 方 也 佛 言 過 去 已 曾 
X88n1658_001:0424b01	供養恭敬尊重讚歎無量百千萬億諸佛。於諸佛所	供養恭敬 尊 重 讚 歎 無量百千萬億 諸 佛 於 諸 佛 所 
X88n1658_001:0424b02	種諸善根說於正法。修行正法。以法治世。為人天王。	種 諸 善 根 說 於 正 法 修 行 正 法 以 法 治 世 為 人 天 王 
X88n1658_001:0424b03	若有人王能供養恭敬金光明經及說法者。隨是經	若 有 人 王 能 供養恭敬 金 光 明 經 及 說 法 者 隨 是 經 
X88n1658_001:0424b04	典所流布處而作擁護。令無留難。亦護國王及其人	典 所 流 布 處 而 作 擁 護 令 無 留 難 亦 護 國 王 及 其 人 
X88n1658_001:0424b05	民。除其患難悉令安穩。他方怨賊立使退散。乃至日	民 除 其 患 難 悉 令 安 穩 他 方 怨 賊 立 使 退 散 乃 至 日 
X88n1658_001:0424b06	月星宿不失常度。風雨隨時無諸災殃。人民豐實自	月 星 宿 不 失 常 度 風 雨 隨 時 無 諸 災 殃 人 民 豐 實 自 
X88n1658_001:0424b07	足於財。心無貪吝亦無嫉妬。等行十善。其人壽終。多	足 於 財 心 無 貪 吝 亦 無 嫉 妬 等 行 十 善 其 人 壽 終 多 
X88n1658_001:0424b08	生天上。又云。我等四王二十八部諸鬼神等。及無量	生 天 上 又 云 我 等 四 王 二 十 八 部 諸 鬼 神 等 及 無 量 
X88n1658_001:0424b09	百千鬼神。以淨天眼。常觀擁護此閻浮提。是故我等	百 千 鬼 神 以 淨 天 眼 常 觀 擁 護 此 閻 浮 提 是 故 我 等 
X88n1658_001:0424b10	名護世王。佛與四王。對揚文廣。略舉一二矣。毗婆沙	名 護 世 王 佛 與 四 王 對 揚 文 廣 略 舉 一 二 矣 毗 婆 沙 
X88n1658_001:0424b11	論云。佛初下生。四天王以天繒接太子身。置寶几。逾	論 云 佛 初 下 生 四 天 王 以 天 繒 接 太 子 身 置 寶 几 逾 
X88n1658_001:0424b12	城之時。四天王捧馬四足。本行經云。佛初成道。欲受	城 之 時 四 天 王 捧 馬 四 足 本 行 經 云 佛 初 成 道 欲 受 
X88n1658_001:0424b13	食故。四天王各献其鉢。佛總受之。按令成一。四楞如	食 故 四 天 王 各 献 其 鉢 佛 總 受 之 按 令 成 一 四 楞 如 
X88n1658_001:0424b14	舊。西域記。有寺多寶物収藏。以修其寺宇。塑四天王	舊 西 域 記 有 寺 多 寶 物 収 藏 以 修 其 寺 宇 塑 四 天 王 
X88n1658_001:0424b15	以護之。有突厥王貪其寶。故率眾來取。夢見天王以	以 護 之 有 突 厥 王 貪 其 寶 故 率 眾 來 取 夢 見 天 王 以 
X88n1658_001:0424b16	戟刺心。其心大痛至明而卒。于闐國王無子。求於天	戟 刺 心 其 心 大 痛 至 明 而 卒 于 闐 國 王 無 子 求 於 天 
X88n1658_001:0424b17	王。志誠無怠。感於自額裂而生一子。地生其乳。王収	王 志 誠 無 怠 感 於 自 額 裂 而 生 一 子 地 生 其 乳 王 収 
X88n1658_001:0424b18	養之。高僧傳。杯度持一葦圌至其齋家當路而放。主	養 之 高 僧 傳 杯 度 持 一 葦 圌 至 其 齋 家 當 路 而 放 主 
X88n1658_001:0424b19	人嫌之。數人舉之不動。乃見四小兒在內。問之。答曰。	人 嫌 之 數 人 舉 之 不 動 乃 見 四 小 兒 在 內 問 之 答 曰 
X88n1658_001:0424b20	四天王也。食畢杯度自舉而去。其輕如毛。分陀利經。	四 天 王 也 食 畢 杯 度 自 舉 而 去 其 輕 如 毛 分 陀 利 經 
X88n1658_001:0424b21	海濟婆羅門欲供養佛。時四天王令諸藥叉取旃檀	海 濟 婆 羅 門 欲 供 養 佛 時 四 天 王 令 諸 藥 叉 取 旃 檀 
X88n1658_001:0424b22	為薪。及諸上味助營七日之供。洎乎諸經弘護。其文	為 薪 及 諸 上 味 助 營 七 日 之 供 洎 乎 諸 經 弘 護 其 文 
X88n1658_001:0424b23	非一。然四王所統。或云各統八部。或云各主二部。四	非 一 然 四 王 所 統 或 云 各 統 八 部 或 云 各 主 二 部 四 
X88n1658_001:0424b24	天王經云。有三十二輔臣靈威。要略云。四王共有三	天 王 經 云 有 三 十 二 輔 臣 靈 威 要 略 云 四 王 共 有 三 
X88n1658_001:0424c01	十二將。孔雀經中。四王各領二十八將。金光明經乃	十 二 將 孔 雀 經 中 四 王 各 領 二 十 八 將 金 光 明 經 乃 
X88n1658_001:0424c02	云。我等四王各各自有五百鬼神。又云。及諸眷屬有	云 我 等 四 王 各 各 自 有 五 百 鬼 神 又 云 及 諸 眷 屬 有 
X88n1658_001:0424c03	無量百千鬼神擁護四方。令無灾禍。是知鬼神部類	無 量 百 千 鬼 神 擁 護 四 方 令 無 灾 禍 是 知 鬼 神 部 類 
X88n1658_001:0424c04	開合有殊。皆四王所統。於四方崇善之所。悉來守護。	開 合 有 殊 皆 四 王 所 統 於 四 方 崇 善 之 所 悉 來 守 護 
X88n1658_001:0424c05	令其安穩。暴惡之所。悉皆遠離。由遠離故。致興灾害。	令 其 安 穩 暴 惡 之 所 悉 皆 遠 離 由 遠 離 故 致 興 灾 害 
X88n1658_001:0424c06	其於賞善罰惡護國利民。可謂至矣力。觀其意。專在	其 於 賞 善 罰 惡 護 國 利 民 可 謂 至 矣 力 觀 其 意 專 在 
X88n1658_001:0424c07	護法。欲說聽流布。盖由居民若不安。正教難敷闡。自	護 法 欲 說 聽 流 布 盖 由 居 民 若 不 安 正 教 難 敷 闡 自 
X88n1658_001:0424c08	非大權。安能若示。至乎献如來鉢於成道之後。持杯	非 大 權 安 能 若 示 至 乎 献 如 來 鉢 於 成 道 之 後 持 杯 
X88n1658_001:0424c09	度圌於齋主之家。敗突厥之貪。生于闐之子。助營佛	度 圌 於 齋 主 之 家 敗 突 厥 之 貪 生 于 闐 之 子 助 營 佛 
X88n1658_001:0424c10	供。持護法門。則四王之功可謂大矣。故晉唐已來立	供 持 護 法 門 則 四 王 之 功 可 謂 大 矣 故 晉 唐 已 來 立 
X88n1658_001:0424c11	像崇奉。良可尚也。讚曰。	像 崇 奉 良 可 尚 也 讚 曰 
X88n1658_001:0424c12	　我佛成道受食時　　四王取鉢爭献持	 我 佛 成 道 受 食 時 四 王 取 鉢 爭 献 持 
X88n1658_001:0424c13	　是時一鉢化為四　　各各將奉釋迦師	 是 時 一 鉢 化 為 四 各 各 將 奉 釋 迦 師 
X88n1658_001:0424c14	　我佛手按還成一　　令其所願各無違	 我 佛 手 按 還 成 一 令 其 所 願 各 無 違 
X88n1658_001:0424c15	　此天住在須彌半　　第四層中分四圍	 此 天 住 在 須 彌 半 第 四 層 中 分 四 圍 
X88n1658_001:0424c16	　生者化形來膝上　　自然香樹及泉池	 生 者 化 形 來 膝 上 自 然 香 樹 及 泉 池 
X88n1658_001:0424c17	　身相脩長各半里　　輕鮮半兩以為衣	 身 相 脩 長 各 半 里 輕 鮮 半 兩 以 為 衣 
X88n1658_001:0424c18	　人世百年為兩日　　積之五百壽希奇	 人 世 百 年 為 兩 日 積 之 五 百 壽 希 奇 
X88n1658_001:0424c19	　日月星辰皆所統　　四方護世闡靈威	 日 月 星 辰 皆 所 統 四 方 護 世 闡 靈 威 
X88n1658_001:0424c20	　二十八部皆統領　　咸令降福免灾危	 二 十 八 部 皆 統 領 咸 令 降 福 免 灾 危 
X88n1658_001:0424c21	　可使國民常富樂　　流通正法布祥禧	 可 使 國 民 常 富 樂 流 通 正 法 布 祥 禧 
X88n1658_001:0424c22	　突厥懷貪心忽痛　　于闐無嗣額生兒	 突 厥 懷 貪 心 忽 痛 于 闐 無 嗣 額 生 兒 
X88n1658_001:0424c23	　高僧圌內形雖小　　海濟家中供倍滋	 高 僧 圌 內 形 雖 小 海 濟 家 中 供 倍 滋 
X88n1658_001:0424c24	　爰自晉唐咸俯仰　　每彰靈應赴虔祈	 爰 自 晉 唐 咸 俯 仰 每 彰 靈 應 赴 虔 祈 
X88n1658_001:0425a01	此分此四天王壽量身品及靈迹護法之功。不可分	此 分 此 四 天 王 壽 量 身 品 及 靈 迹 護 法 之 功 不 可 分 
X88n1658_001:0425a02	故。先總錄之。今乃各列其事而為別傳。	故 先 總 錄 之 今 乃 各 列 其 事 而 為 別 傳 
X88n1658_001:0425a03	北方天王傳	北 方 天 王 傳 
X88n1658_001:0425a04	梵語毗沙門。此翻多聞。福德之名。聞四方故。陀羅尼	梵 語 毗 沙 門 此 翻 多 聞 福 德 之 名 聞 四 方 故 陀 羅 尼 
X88n1658_001:0425a05	集云。父名羅婆陀。又云婆難陀。母名密闍盧。又云蘇	集 云 父 名 羅 婆 陀 又 云 婆 難 陀 母 名 密 闍 盧 又 云 蘇 
X88n1658_001:0425a06	富。四明云。西土以北方為上。由彼居多面東。以北為	富 四 明 云 西 土 以 北 方 為 上 由 彼 居 多 面 東 以 北 為 
X88n1658_001:0425a07	左。故光明中首以毗沙門天王為列也。其所居乃須	左 故 光 明 中 首 以 毗 沙 門 天 王 為 列 也 其 所 居 乃 須 
X88n1658_001:0425a08	彌山半之第四層之北也。智論云。北方天王護北鬱	彌 山 半 之 第 四 層 之 北 也 智 論 云 北 方 天 王 護 北 鬱 
X88n1658_001:0425a09	單越。亦兼餘洲。四埵之中乃水精埵。俱舍論云。黃金	單 越 亦 兼 餘 洲 四 埵 之 中 乃 水 精 埵 俱 舍 論 云 黃 金 
X88n1658_001:0425a10	埵。增一阿含云金銀城。中間毗沙門天王。將諸閱叉	埵 增 一 阿 含 云 金 銀 城 中 間 毗 沙 門 天 王 將 諸 閱 叉 
X88n1658_001:0425a11	眾。孔雀經云。北方有大天王。名曰多聞。是藥叉主。以	眾 孔 雀 經 云 北 方 有 大 天 王 名 曰 多 聞 是 藥 叉 主 以 
X88n1658_001:0425a12	無量百千藥叉而為眷屬。守護北方。彼有子孫兄弟	無 量 百 千 藥 叉 而 為 眷 屬 守 護 北 方 彼 有 子 孫 兄 弟 
X88n1658_001:0425a13	將軍大臣雜使。阿毗曇云。頻婆羅王死為北方天王	將 軍 大 臣 雜 使 阿 毗 曇 云 頻 婆 羅 王 死 為 北 方 天 王 
X88n1658_001:0425a14	長子。名曰祇那利沙。護持佛法。安慰眾生。陀羅尼集	長 子 名 曰 祇 那 利 沙 護 持 佛 法 安 慰 眾 生 陀 羅 尼 集 
X88n1658_001:0425a15	令作北方天王像法。其身量一肘。著種種天衣。嚴飾	令 作 北 方 天 王 像 法 其 身 量 一 肘 著 種 種 天 衣 嚴 飾 
X88n1658_001:0425a16	極令精妙。與身相稱。左手伸臂執矟拄地。右手屈肘	極 令 精 妙 與 身 相 稱 左 手 伸 臂 執 矟 拄 地 右 手 屈 肘 
X88n1658_001:0425a17	擎於佛墖。矟音朔。矛屬。長一丈八尺。唐立像儀。令身	擎 於 佛 墖 矟 音 朔 矛 屬 長 一 丈 八 尺 唐 立 像 儀 令 身 
X88n1658_001:0425a18	被金甲而足踏女人之肩下。作雲以擁之。或云乃其	被 金 甲 而 足 踏 女 人 之 肩 下 作 雲 以 擁 之 或 云 乃 其 
X88n1658_001:0425a19	母也。其手中執捉與前亦同。於其左右羅列八部。風	母 也 其 手 中 執 捉 與 前 亦 同 於 其 左 右 羅 列 八 部 風 
X88n1658_001:0425a20	水雷電諸鬼圍繞。其子祇那利沙。并九十一子前後	水 雷 電 諸 鬼 圍 繞 其 子 祇 那 利 沙 并 九 十 一 子 前 後 
X88n1658_001:0425a21	隨從。由唐天寶中。西番．大石．康居三國。兵圍西凉府。	隨 從 由 唐 天 寶 中 西 番 大 石 康 居 三 國 兵 圍 西 凉 府 
X88n1658_001:0425a22	詔不空三藏誦仁王密語。玄宗乃見神人五百員在	詔 不 空 三 藏 誦 仁 王 密 語 玄 宗 乃 見 神 人 五 百 員 在 
X88n1658_001:0425a23	乎殿庭。帝問不空。不空曰。毗沙門天王子領兵救安	乎 殿 庭 帝 問 不 空 不 空 曰 毗 沙 門 天 王 子 領 兵 救 安 
X88n1658_001:0425a24	西。請急設食發遣。四月二十日果奏。二月十二日城	西 請 急 設 食 發 遣 四 月 二 十 日 果 奏 二 月 十 二 日 城 
X88n1658_001:0425b01	東北三十里雲霧間。見神兵長偉。皷角喧鳴。山地崩	東 北 三 十 里 雲 霧 間 見 神 兵 長 偉 皷 角 喧 鳴 山 地 崩 
X88n1658_001:0425b02	震。番部驚潰。彼營疊中有鼠金色。咬弓弩弦皆絕。北	震 番 部 驚 潰 彼 營 疊 中 有 鼠 金 色 咬 弓 弩 弦 皆 絕 北 
X88n1658_001:0425b03	門樓有光明天王怒視。番師大奔。帝覧表。勑諸道城	門 樓 有 光 明 天 王 怒 視 番 師 大 奔 帝 覧 表 勑 諸 道 城 
X88n1658_001:0425b04	樓置天王像。此其始也。大論中北方領二部。一名夜	樓 置 天 王 像 此 其 始 也 大 論 中 北 方 領 二 部 一 名 夜 
X88n1658_001:0425b05	叉。此云輕徤。二名羅剎。此云可畏。若餘經中。開合總	叉 此 云 輕 徤 二 名 羅 剎 此 云 可 畏 若 餘 經 中 開 合 總 
X88n1658_001:0425b06	別或異。皆屬所統故也。又唐懿宗咸通三年。西川及	別 或 異 皆 屬 所 統 故 也 又 唐 懿 宗 咸 通 三 年 西 川 及 
X88n1658_001:0425b07	四州現僧相天王。皆有記錄。賢愚經云。有優婆夷誦	四 州 現 僧 相 天 王 皆 有 記 錄 賢 愚 經 云 有 優 婆 夷 誦 
X88n1658_001:0425b08	經。毗沙門天王從空而過。乃曰。姉妹。我與汝寶物。可	經 毗 沙 門 天 王 從 空 而 過 乃 曰 姉 妹 我 與 汝 寶 物 可 
X88n1658_001:0425b09	請舍利弗齋。當得勝福。洎其餘感通難以盡紀。然多	請 舍 利 弗 齋 當 得 勝 福 洎 其 餘 感 通 難 以 盡 紀 然 多 
X88n1658_001:0425b10	聞天王師鬼神而統八部。護世界而保國民。可謂顯	聞 天 王 師 鬼 神 而 統 八 部 護 世 界 而 保 國 民 可 謂 顯 
X88n1658_001:0425b11	矣。而國朝因唐制。凡立城寨必先立像。事固宜然。至	矣 而 國 朝 因 唐 制 凡 立 城 寨 必 先 立 像 事 固 宜 然 至 
X88n1658_001:0425b12	乎金鼠絕番部之弦。與寶增女人之福。凡所祈響。應	乎 金 鼠 絕 番 部 之 弦 與 寶 增 女 人 之 福 凡 所 祈 響 應 
X88n1658_001:0425b13	猶形聲。豈特西凉川蜀者乎。讚曰。	猶 形 聲 豈 特 西 凉 川 蜀 者 乎 讚 曰 
X88n1658_001:0425b14	　北方天王號多聞　　護世元首鬼神尊	 北 方 天 王 號 多 聞 護 世 元 首 鬼 神 尊 
X88n1658_001:0425b15	　須彌四層金埵住　　夜叉羅剎統其倫	 須 彌 四 層 金 埵 住 夜 叉 羅 剎 統 其 倫 
X88n1658_001:0425b16	　祇那利沙為的嗣　　無量兄弟及兒孫	 祇 那 利 沙 為 的 嗣 無 量 兄 弟 及 兒 孫 
X88n1658_001:0425b17	　設像儀令長一肘　　天衣種種稱其身	 設 像 儀 令 長 一 肘 天 衣 種 種 稱 其 身 
X88n1658_001:0425b18	　左手持矟令拄地　　右擎佛墖敬能仁	 左 手 持 矟 令 拄 地 右 擎 佛 墖 敬 能 仁 
X88n1658_001:0425b19	　曾向李唐垂化迹　　西凉脫難現威神	 曾 向 李 唐 垂 化 迹 西 凉 脫 難 現 威 神 
X88n1658_001:0425b20	　金鼠嚙弓弦盡絕　　山崩地吼震風霆	 金 鼠 嚙 弓 弦 盡 絕 山 崩 地 吼 震 風 霆 
X88n1658_001:0425b21	　城頭怒目番戎懼　　群兵潰散靜烟塵	 城 頭 怒 目 番 戎 懼 群 兵 潰 散 靜 烟 塵 
X88n1658_001:0425b22	　詔下國民皆立像　　至今城寨尚依遵	 詔 下 國 民 皆 立 像 至 今 城 寨 尚 依 遵 
X88n1658_001:0425b23	　或現僧形護西蜀　　或復乘空教女人	 或 現 僧 形 護 西 蜀 或 復 乘 空 教 女 人 
X88n1658_001:0425b24	　儻能恪志崇靈化　　定應降鑒賜殊勳	 儻 能 恪 志 崇 靈 化 定 應 降 鑒 賜 殊 勳 
X88n1658_001:0425c01	東方天王傳	東 方 天 王 傳 
X88n1658_001:0425c02	梵語提頭賴吒。此云持國。即護持國土也。陀羅尼集	梵 語 提 頭 賴 吒 此 云 持 國 即 護 持 國 土 也 陀 羅 尼 集 
X88n1658_001:0425c03	云。父名難陀。母名蜜闍盧。其所居也即須彌山半第	云 父 名 難 陀 母 名 蜜 闍 盧 其 所 居 也 即 須 彌 山 半 第 
X88n1658_001:0425c04	四層之東埵也。智論云。東方天王護東弗喻逮。亦兼	四 層 之 東 埵 也 智 論 云 東 方 天 王 護 東 弗 喻 逮 亦 兼 
X88n1658_001:0425c05	餘洲。住黃金埵。俱舍云。住白金埵。又云。諸琉璃城中	餘 洲 住 黃 金 埵 俱 舍 云 住 白 金 埵 又 云 諸 琉 璃 城 中 
X88n1658_001:0425c06	間提頭賴吒天王將諸乾沓和眾。智論明此天王領	間 提 頭 賴 吒 天 王 將 諸 乾 沓 和 眾 智 論 明 此 天 王 領 
X88n1658_001:0425c07	二部。一名乾闥婆。此翻尋香行。即天帝釋樂神也。二	二 部 一 名 乾 闥 婆 此 翻 尋 香 行 即 天 帝 釋 樂 神 也 二 
X88n1658_001:0425c08	名富單那。此翻臭鬼。或云主熱病鬼。孔雀經云。東方	名 富 單 那 此 翻 臭 鬼 或 云 主 熱 病 鬼 孔 雀 經 云 東 方 
X88n1658_001:0425c09	有大天王名曰持國。是彥達縛主。以無量百千彥達	有 大 天 王 名 曰 持 國 是 彥 達 縛 主 以 無 量 百 千 彥 達 
X88n1658_001:0425c10	縛而為眷屬。守護東方。彼有子孫兄弟軍將大臣雜	縛 而 為 眷 屬 守 護 東 方 彼 有 子 孫 兄 弟 軍 將 大 臣 雜 
X88n1658_001:0425c11	使。陀羅尼集云。此左手伸臂垂下把刀。右手屈臂向	使 陀 羅 尼 集 云 此 左 手 伸 臂 垂 下 把 刀 右 手 屈 臂 向 
X88n1658_001:0425c12	前仰手。掌中著寶珠。珠上出光。賞善罸惡。彰此神用。	前 仰 手 掌 中 著 寶 珠 珠 上 出 光 賞 善 罸 惡 彰 此 神 用 
X88n1658_001:0425c13	持世護國四王同功。而此特名持國。則持世得非如	持 世 護 國 四 王 同 功 而 此 特 名 持 國 則 持 世 得 非 如 
X88n1658_001:0425c14	經所謂。如諸國王所有土境。是持經者。若至其國。是	經 所 謂 如 諸 國 王 所 有 土 境 是 持 經 者 若 至 其 國 是 
X88n1658_001:0425c15	王應當往是人所聽受如是微妙經典。聞已歡喜。復	王 應 當 往 是 人 所 聽 受 如 是 微妙經典 聞 已 歡 喜 復 
X88n1658_001:0425c16	當護念。恭敬是人。我等四王復當勤心擁護是王及	當 護 念 恭 敬 是 人 我 等 四 王 復 當 勤 心 擁 護 是 王 及 
X88n1658_001:0425c17	國人民。為除衰患。令得安穩。則覧總成別以立其名。	國 人 民 為 除 衰 患 令 得 安 穩 則 覧 總 成 別 以 立 其 名 
X88n1658_001:0425c18	良由護法以護國者乎。讚曰。	良 由 護 法 以 護 國 者 乎 讚 曰 
X88n1658_001:0425c19	　東方天王號持國　　居白金埵護東洲	 東 方 天 王 號 持 國 居 白 金 埵 護 東 洲 
