T85n2738_001:0129b03	金剛經疏	金 剛 經 疏 
T85n2738_001:0131b28	別性通達空解脫門。能除肉煩惱。知依他性	別 性 通 達 空解脫門 能 除 肉 煩 惱 知 依 他 性 
T85n2738_001:0131b29	通達無願解脫門。能除皮煩惱。知真實性通	通 達 無願解脫門 能 除 皮 煩 惱 知 真 實 性 通 
T85n2738_001:0131c01	達無相解脫門。能除心煩惱。初解脫障　次禪	達 無相解脫門 能 除 心 煩 惱 初 解 脫 障 次 禪 
T85n2738_001:0131c02	定障。後一切智障。離此三障悟。於如如說如	定 障 後 一 切 智 障 離 此 三 障 悟 於 如 如 說 如 
T85n2738_001:0131c03	如故名如語也。不誑語者記三世事必無錯	如 故 名 如 語 也 不 誑 語 者 記 三 世 事 必 無 錯 
T85n2738_001:0131c04	謬。不同餘人有著不著。此四語皆從境得名	謬 不 同 餘 人 有 著 不 著 此 四 語 皆 從 境 得 名 
T85n2738_001:0131c05	也。	也 
T85n2738_001:0131c06	經曰。須菩提如來所得法此法無實無虛者。	經 曰 須 菩 提 如 來 所 得 法 此 法 無 實 無 虛 者 
T85n2738_001:0131c07	防過也。前既舉言以勸信。或畏守言而失道。	防 過 也 前 既 舉 言 以 勸 信 或 畏 守 言 而 失 道 
T85n2738_001:0131c08	為防彼故。今對治之。此法者即目如來言教	為 防 彼 故 今 對 治 之 此 法 者 即 目 如 來 言 教 
T85n2738_001:0131c09	之法。此法是佛法辨之所通。是佛辭辨之所	之 法 此 法 是 佛 法 辨 之 所 通 是 佛 辭 辨 之 所 
T85n2738_001:0131c10	說。與佛相應故。是如來所得法。夫道處無言。	說 與 佛 相 應 故 是 如 來 所 得 法 夫 道 處 無 言 
T85n2738_001:0131c11	守言則失道。所以此法無實。然言能示道離	守 言 則 失 道 所 以 此 法 無 實 然 言 能 示 道 離 
T85n2738_001:0131c12	言不見道。所以此法無虛言。能示道故。指月	言 不 見 道 所 以 此 法 無 虛 言 能 示 道 故 指 月 
T85n2738_001:0131c13	之譬。與道處無言故。捨船之喻作也。偈曰。	之 譬 與 道 處 無 言 故 捨 船 之 喻 作 也 偈 曰 
T85n2738_001:0131c14	　隨順彼實智　　說不實不虛	 隨 順 彼 實 智 說 不 實 不 虛 
T85n2738_001:0131c15	　如聞聲取證　　對治如是說	 如 聞 聲 取 證 對 治 如 是 說 
T85n2738_001:0131c16	上半立義。下半釋義。由如來言說。隨順實智	上 半 立 義 下 半 釋 義 由 如 來 言 說 隨 順 實 智 
T85n2738_001:0131c17	故不虛。證理無言故不實。如聞聲取證對治。	故 不 虛 證 理 無 言 故 不 實 如 聞 聲 取 證 對 治 
T85n2738_001:0131c18	如是說者。謂聽法之時。離於二取。為破執言。	如 是 說 者 謂 聽 法 之 時 離 於 二 取 為 破 執 言 
T85n2738_001:0131c19	是道非道故。言對治如是說也。故無著云。如	是 道 非 道 故 言 對 治 如 是 說 也 故 無 著 云 如 
T85n2738_001:0131c20	來正覺法及說於中無實無妄。無實者如言	來 正 覺 法 及 說 於 中 無 實 無 妄 無 實 者 如 言 
T85n2738_001:0131c21	說性非有故。案言說體虛自性空也。無妄者	說 性 非 有 故 案 言 說 體 虛 自 性 空 也 無 妄 者 
T85n2738_001:0131c22	不如言說自性有故。案言說雖空。所顯之理	不 如 言說自性 有 故 案 言 說 雖 空 所 顯 之 理 
T85n2738_001:0131c23	自性有也。真諦云。非實非虛者凡有三意。一	自 性 有 也 真 諦 云 非 實 非 虛 者 凡 有 三 意 一 
T85n2738_001:0131c24	了不了。二至不至。三顯實事。初意者。依了	了 不 了 二 至 不 至 三 顯 實 事 初 意 者 依 了 
T85n2738_001:0131c25	文取理即非虛。依不了文取理則非實。次意	文 取 理 即 非 虛 依 不 了 文 取 理 則 非 實 次 意 
T85n2738_001:0131c26	者。尋言能至道則非虛。道處離言故則非實。	者 尋 言 能 至 道 則 非 虛 道 處 離 言 故 則 非 實 
T85n2738_001:0131c27	後意者。言非實者。實是非實。言非虛者。實	後 意 者 言 非 實 者 實 是 非 實 言 非 虛 者 實 
T85n2738_001:0131c28	是非虛。虛實既實即顯□□實語也。然如來	是 非 虛 虛 實 既 實 即 顯 實 語 也 然 如 來 
T85n2738_001:0131c29	說法有實有虛。由四意四依□□□□嚴論	說 法 有 實 有 虛 由 四 意 四 依 嚴 論 
T85n2738_001:0132a01	說。一平等意。如說昔毘婆尸佛□□□□□	說 一 平 等 意 如 說 昔 毘 婆 尸 佛 
T85n2738_001:0132a02	如是等。案約法身因果平等。作如是說。二別	如 是 等 案 約 法 身 因 果 平 等 作如是說 二 別 
T85n2738_001:0132a03	義意。如說一切諸法無自性無生等。案前為	義 意 如 說 一切諸法 無 自 性 無 生 等 案 前 為 
T85n2738_001:0132a04	二乘說人無我。今為菩薩說法無我。然前說	二 乘 說 人 無 我 今 為 菩 薩 說 法 無 我 然 前 說 
T85n2738_001:0132a05	人無我者。意在別義法無我也。三別時意。如	人 無 我 者 意 在 別 義 法 無 我 也 三 別 時 意 如 
T85n2738_001:0132a06	說。若人願見阿彌陀佛皆得往生。此由別	說 若 人 願 見 阿 彌 陀 佛 皆 得 往 生 此 由 別 
T85n2738_001:0132a07	時得生故如是等。四別欲意。彼人有如是善	時 得 生 故 如 是 等 四 別 欲 意 彼 人 有 如 是 善 
T85n2738_001:0132a08	根。如來或讚或□□彼少□□是故如是等。	根 如 來 或 讚 或 彼 少 是 故 如 是 等 
T85n2738_001:0132a09	然此四□意者。事或實虛同以□□□意故	然 此 四 意 者 事 或 實 虛 同 以 意 故 
T85n2738_001:0132a10	名意也。立□□者為破八障。平等意者破輕	名 意 也 立 者 為 破 八 障 平 等 意 者 破 輕 
T85n2738_001:0132a11	佛障。有人云。為之□□爾生滅。生即有滅。佛	佛 障 有 人 云 為 之 爾 生 滅 生 即 有 滅 佛 
T85n2738_001:0132a12	與我同遂生輕慢。為破此□□平等意。過去	與 我 同 遂 生 輕 慢 為 破 此 平 等 意 過 去 
T85n2738_001:0132a13	毘婆尸佛即是我身。豈同汝生滅也。立別義	毘 婆 尸 佛 即 是 我 身 豈 同 汝 生 滅 也 立 別 義 
T85n2738_001:0132a14	意者。破輕法障。有人云。乃至嬰兒亦能見	意 者 破 輕 法 障 有 人 云 乃 至 嬰 兒 亦 能 見 
T85n2738_001:0132a15	色聞聲。解人意義法有何難。破此障故。說三	色 聞 聲 解 人 意 義 法 有 何 難 破 此 障 故 說 三 
T85n2738_001:0132a16	無性法入地方悟也。立別時意。破懈怠障。有	無 性 法 入 地 方 悟 也 立 別 時 意 破 懈 怠 障 有 
T85n2738_001:0132a17	人聞長時起行方生淨土。聞此即生懈怠。為	人 聞 長 時 起 行 方 生 淨 土 聞 此 即 生 懈 怠 為 
T85n2738_001:0132a18	破此障故。言□□□生不退也。立別欲意。破	破 此 障 故 言 生 不 退 也 立 別 欲 意 破 
T85n2738_001:0132a19	後五障。一破少欲障。□□已不持戒故。須毀	後 五 障 一 破 少 欲 障 已 不 持 戒 故 須 毀 
T85n2738_001:0132a20	施讚戒也。二破貪行障。謂貪□□境讚淨土	施 讚 戒 也 二 破 貪 行 障 謂 貪 境 讚 淨 土 
T85n2738_001:0132a21	也。三破慢行障。謂執自土為膝故。須□□	也 三 破 慢 行 障 謂 執 自 土 為 膝 故 須 
T85n2738_001:0132a22	妙淨土也。四破悔行障。謂推山壓佛不見臭	妙 淨 土 也 四 破 悔 行 障 謂 推 山 壓 佛 不 見 臭 
T85n2738_001:0132a23	□□生惱故。須說於佛起不饒益事得生善	 生 惱 故 須 說 於 佛 起 不饒益事 得 生 善 
T85n2738_001:0132a24	道。文□□佛事。此中應廣說。五為破不定障。	道 文 佛 事 此 中 應 廣 說 五 為 破 不 定 障 
T85n2738_001:0132a25	有執二乘不定作佛。為破此障。須說受記及	有 執 二 乘 不 定 作 佛 為 破 此 障 須 說 受 記 及 
T85n2738_001:0132a26	一乘也。於此五中。皆先□讚後毀故。言樂欲	一 乘 也 於 此 五 中 皆 先 讚 後 毀 故 言 樂 欲 
T85n2738_001:0132a27	意也。四依者。莊嚴論名四節。一令□節。教	意 也 四 依 者 莊 嚴 論 名 四 節 一 令 節 教 
T85n2738_001:0132a28	諸聲聞入於法義令不怖色等有故。案令悟	諸 聲 聞 入 於 法 義 令 不 怖 色 等 有 故 案 令 悟 
T85n2738_001:0132a29	人無我也。二相節。於分別等三性無體無起	人 無 我 也 二 相 節 於 分 別 等 三 性 無 體 無 起 
T85n2738_001:0132b01	自性清淨。說一切法故。案令菩薩悟法無我	自 性 清 淨 說 一 切 法 故 案 令 菩 薩 悟 法 無 我 
T85n2738_001:0132b02	也。三對治節。依斷諸過對治障故。案通為前	也 三 對 治 節 依 斷 諸 過 對 治 障 故 案 通 為 前 
T85n2738_001:0132b03	二人也。為小乘說□門令離四例。為大乘說	二 人 也 為 小 乘 說 門 令 離 四 例 為 大 乘 說 
T85n2738_001:0132b04	如如令離八例。四祕密節。依□深語迴語方	如 如 令 離 八 例 四 祕 密 節 依 深 語 迴 語 方 
T85n2738_001:0132b05	得義故。案為破外道□□□□□□不堅堅	得 義 故 案 為 破 外 道 不 堅 堅 
T85n2738_001:0132b06	固解善住於顛倒□為□□□□□□□□	固 解 善 住 於 顛 倒 為 
T85n2738_001:0132b07	不堅者本主煩惱。今乃目□□□□□□□	不 堅 者 本 主 煩 惱 今 乃 目 
T85n2738_001:0132b08	□□能於不堅中堅固即不出□□□□□	 能 於 不 堅 中 堅 固 即 不 出 
T85n2738_001:0132b09	□□□□□謂解也。顛倒者謂常樂□□□	 謂 解 也 顛 倒 者 謂 常 樂 
T85n2738_001:0132b10	□□□□□□□□即成聖者。良以善住之	 即 成 聖 者 良 以 善 住 之 
T85n2738_001:0132b11	名通□□□□□□□□□□若執例則名	名 通 若 執 例 則 名 
T85n2738_001:0132b12	凡解例則成聖□□□□□□□□□□煩	凡 解 例 則 成 聖 煩 
T85n2738_001:0132b13	惱所惱者煩惱之名目人法□□□□□□	惱 所 惱 者 煩 惱 之 名 目 人 法 
T85n2738_001:0132b14	□□□□□惱所惱故不出生死。菩薩為□□	 惱 所 惱 故 不 出 生 死 菩 薩 為 
T85n2738_001:0132b15	□□□□□□□□相名為受用。受用法樂	 相 名 為 受 用 受用法樂 
T85n2738_001:0132b16	故。故真諦云□□□□□□□□□實有不	故 故 真 諦 云 實 有 不 
T85n2738_001:0132b17	達。是真無由執著虛妄□□□□□□□□	達 是 真 無 由 執 著 虛 妄 
T85n2738_001:0132b18	□□見故。心有住著。以住著故不能得無	 見 故 心 有 住 著 以 住 著 故 不 能 得 無 
T85n2738_001:0132b19	□□□□□□□□□□遍不遍也。而言闇	 遍 不 遍 也 而 言 闇 
T85n2738_001:0132b20	者有三一闇二□□□□□□□□□□闇	者 有 三 一 闇 二 闇 
T85n2738_001:0132b21	日光能破大闇者二世□□□□□□□□	日 光 能 破 大 闇 者 二 世 
T85n2738_001:0132b22	□□□□謂生盲人曾有目者屬大□□□	 謂 生 盲 人 曾 有 目 者 屬 大 
T85n2738_001:0132b23	□□□□□□□□□皮肉心皮惑世間道	 皮 肉 心 皮 惑 世 間 道 
T85n2738_001:0132b24	能暫□故。但如闇□□□□□滅故。如大闇	能 暫 故 但 如 闇 滅 故 如 大 闇 
T85n2738_001:0132b25	心惑。准菩薩登地方能除□□□□□□闇	心 惑 准 菩 薩 登 地 方 能 除 闇 
T85n2738_001:0132b26	也。若菩薩心有住時。則墮十想不能證十七	也 若 菩 薩 心 有 住 時 則 墮 十 想 不 能 證 十 七 
T85n2738_001:0132b27	空□盲闇也。十想十七空如中邊論說。	空 盲 闇 也 十 想 十 七 空 如 中 邊 論 說 
T85n2738_001:0132b28	經曰。須菩提當來之世至受持讀誦者。從上	經 曰 須 菩 提 當來之世 至 受持讀誦 者 從 上 
T85n2738_001:0132b29	初恒已來大意主明經□自此訖於後問義旨	初 恒 已 來 大 意 主 明 經 自 此 訖 於 後 問 義 旨 
T85n2738_001:0132c01	為顯修行。修行兩重。一□修。二美業勸修。四	為 顯 修 行 修 行 兩 重 一 修 二 美 業 勸 修 四 
T85n2738_001:0132c02	重。一教因。二示果。三舉劣。四顯勝。此教因	重 一 教 因 二 示 果 三 舉 劣 四 顯 勝 此 教 因 
T85n2738_001:0132c03	也。能於此經修行處也。受持讀誦修行事也。	也 能 於 此 經 修 行 處 也 受持讀誦 修 行 事 也 
T85n2738_001:0132c04	修行有二種。一文二義。文有三種　一受二持	修 行 有 二 種 一 文 二 義 文 有 三 種 一 受 二 持 
T85n2738_001:0132c05	三讀誦。義亦有三。一從他聽聞。二內自思惟。	三 讀 誦 義 亦 有 三 一 從 他 聽 聞 二 內 自 思 惟 
T85n2738_001:0132c06	三如說修行。由此義故復成二德。一為說者	三 如說修行 由 此 義 故 復 成 二 德 一 為 說 者 
T85n2738_001:0132c07	能利他故。二為行者能自利故。由自利利他	能 利 他 故 二 為 行 者 能 自 利 故 由 自利利他 
T85n2738_001:0132c08	能顯法。有二種人有三種法。二者一顯能詮。	能 顯 法 有 二 種 人 有 三 種 法 二 者 一 顯 能 詮 
T85n2738_001:0132c09	謂十二部經。即是文字。二顯所詮。謂道及果。	謂 十二部經 即 是 文 字 二 顯 所 詮 謂 道 及 果 
T85n2738_001:0132c10	即修行義。人三者。一能持。二能說。三能行。	即 修 行 義 人 三 者 一 能 持 二 能 說 三 能 行 
T85n2738_001:0132c11	能行者自利成熟一自善根故。能說者利他	能 行 者 自 利 成 熟 一 自 善 根 故 能 說 者 利 他 
T85n2738_001:0132c12	成熟他善根故。能持者利自他。由自憶持為	成 熟 他 善 根 故 能 持 者 利 自 他 由 自 憶 持 為 
T85n2738_001:0132c13	他說故。然約文及義合有十種正行。一書寫。	他 說 故 然 約 文 及 義 合 有 十 種 正 行 一 書 寫 
T85n2738_001:0132c14	二供養。三傳流。四諦。五自讀。六憶持。七自	二 供 養 三 傳 流 四 諦 五 自 讀 六 憶 持 七 自 
