T51n2096_001:1052a17	天台山記	天 台 山 記 
T51n2096_001:1054a15	水石深。嶮不可登涉。事須登仙壇。取桐柏路	水 石 深 嶮 不 可 登 涉 事 須 登 仙 壇 取 桐 柏 路 
T51n2096_001:1054a16	方可得到。即平視瓊臺。而下望雙闕。而遊者	方 可 得 到 即 平 視 瓊 臺 而 下 望 雙 闕 而 遊 者 
T51n2096_001:1054a17	多怪瓊臺不在中天。雙闕不出雲表。猶在山	多 怪 瓊 臺 不 在 中 天 雙 闕 不 出 雲 表 猶 在 山 
T51n2096_001:1054a18	上觀之然也。若目下仰視。則瓊臺不啻中天。	上 觀 之 然 也 若 目 下 仰 視 則 瓊 臺 不 啻 中 天 
T51n2096_001:1054a19	雙闕五里俠雲溪而行。翠壁萬仞森倚相向。	雙 闕 五 里 俠 雲 溪 而 行 翠 壁 萬 仞 森 倚 相 向 
T51n2096_001:1054a20	奇花秀檉牙發芳桑珍禽雲獸。造楊清音。余	奇 花 秀 檉 牙 發 芳 桑 珍 禽 雲 獸 造 楊 清 音 余 
T51n2096_001:1054a21	曾尋瓊臺下雲溪泝流。北行三十里。或潺湲	曾 尋 瓊 臺 下 雲 溪 泝 流 北 行 三 十 里 或 潺 湲 
T51n2096_001:1054a22	淺漱。其平則三里五里。或潭洞院杳。其深	淺 漱 其 平 則 三 里 五 里 或 潭 洞 院 杳 其 深 
T51n2096_001:1054a23	則千丈萬丈。怪石[崁土+音][山/(?*ㄆ)]。水色明鮮。歷歷見	則 千 丈 萬 丈 怪 石 [崁土音][山ㄆ] 水 色 明 鮮 歷 歷 見 
T51n2096_001:1054a24	底。纖鱗莫隱。造之者不覺忘歸。非神仙之窟	底 纖 鱗 莫 隱 造 之 者 不 覺 忘 歸 非 神 仙 之 窟 
T51n2096_001:1054a25	宅。曷能若斯桐柏。東北五里有華林山居。水	宅 曷 能 若 斯 桐 柏 東 北 五 里 有 華 林 山 居 水 
T51n2096_001:1054a26	石清秀靈寂之境也(長慶初道士陳宗言修真之所)自觀北上一	石 清 秀 靈 寂 之 境 也 長 慶 初 道 士 陳 宗 言 修 真 之 所 自 觀 北 上 一 
T51n2096_001:1054a27	峯。可五里有方瀛山居。上有平地。傾餘前有	峯 可 五 里 有 方 瀛 山 居 上 有 平 地 傾 餘 前 有 
T51n2096_001:1054a28	池塘廣數敏畝。塘中有小洲島焉。有苛芰前	池 塘 廣 數 敏 畝 塘 中 有 小 洲 島 焉 有 苛 芰 前 
T51n2096_001:1054a29	眺望蒼岑。後聳雲。蓋即後峯名也。西接瓊臺	眺 望 蒼 岑 後 聳 雲 蓋 即 後 峯 名 也 西 接 瓊 臺 
T51n2096_001:1054b01	東近華林。即靈府。長慶元年定室於此。是天	東 近 華 林 即 靈 府 長 慶 元 年 定 室 於 此 是 天 
T51n2096_001:1054b02	台第二重。自方瀛上七里。有玉霄山居。平地	台 第 二 重 自 方 瀛 上 七 里 有 玉 霄 山 居 平 地 
T51n2096_001:1054b03	傾餘四山迴合。又邃若洞天也。即天台第三	傾 餘 四 山 迴 合 又 邃 若 洞 天 也 即 天 台 第 三 
T51n2096_001:1054b04	重。自玉霄東南行三里。有雙石磵列為高門。	重 自 玉 霄 東 南 行 三 里 有 雙 石 磵 列 為 高 門 
T51n2096_001:1054b05	可百餘仞。因呼為石門。桐柏觀北亦有上華	可 百 餘 仞 因 呼 為 石 門 桐 柏 觀 北 亦 有 上 華 
T51n2096_001:1054b06	頂路。路深邃梗澁。遊人罕。逢此行多取國清	頂 路 路 深 邃 梗 澁 遊 人 罕 逢 此 行 多 取 國 清 
T51n2096_001:1054b07	路上。自天台觀西行十五里。有白巖寺。寺去	路 上 自 天 台 觀 西 行 十 五 里 有 白 巖 寺 寺 去 
T51n2096_001:1054b08	縣三十里。宋末有僧普遼所見精舍。自天台	縣 三 十 里 宋 末 有 僧 普 遼 所 見 精 舍 自 天 台 
T51n2096_001:1054b09	觀東行一十五里。有赤城山。山高三百丈。周	觀 東 行 一 十 五 里 有 赤 城 山 山 高 三 百 丈 周 
T51n2096_001:1054b10	迴七里。即天台南門也。古今即是於國家醮	迴 七 里 即 天 台 南 門 也 古 今 即 是 於 國 家 醮 
T51n2096_001:1054b11	祭之所。其山積石石色赩然如朝霞。望之如	祭 之 所 其 山 積 石 石 色 赩 然 如 朝 霞 望 之 如 
T51n2096_001:1054b12	雉堞。故名赤城。亦名燒山。故賦云。赤城霞	雉 堞 故 名 赤 城 亦 名 燒 山 故 賦 云 赤 城 霞 
T51n2096_001:1054b13	起以建標。即此山也。半山有飛霞寺。即是梁	起 以 建 標 即 此 山 也 半 山 有 飛 霞 寺 即 是 梁 
T51n2096_001:1054b14	岳王母為居此寺也。今則癈矣。山下有石室。	岳 王 母 為 居 此 寺 也 今 則 癈 矣 山 下 有 石 室 
T51n2096_001:1054b15	道士居之。其中山趾有寺。曰中巖寺。即是西	道 士 居 之 其 中 山 趾 有 寺 曰 中 巖 寺 即 是 西 
T51n2096_001:1054b16	國高僧白道猷所立也。國清寺在縣北十里。	國 高 僧 白 道 猷 所 立 也 國 清 寺 在 縣 北 十 里 
T51n2096_001:1054b17	皆長松夾道至于寺。寺即　隋煬帝開皇十	皆 長 松 夾 道 至 于 寺 寺 即 隋 煬 帝 開 皇 十 
T51n2096_001:1054b18	八年。為智顗禪師所創也。寺有五峯。一八桂	八 年 為 智 顗 禪 師 所 創 也 寺 有 五 峯 一 八 桂 
T51n2096_001:1054b19	峯。二映霞峯。三靈芝峯。四靈禽峯。五祥	峯 二 映 霞 峯 三 靈 芝 峯 四 靈 禽 峯 五 祥 
T51n2096_001:1054b20	雲峯。雙澗迴抱天下四絕寺。國清第一絕也。	雲 峯 雙 澗 迴 抱 天 下 四 絕 寺 國 清 第 一 絕 也 
T51n2096_001:1054b21	寺上方兜率臺。臺東有石壇。中有泉。昔普明	寺 上 方 兜 率 臺 臺 東 有 石 壇 中 有 泉 昔 普 明 
T51n2096_001:1054b22	禪師將錫杖琢開。名錫杖泉。自國清寺。東北	禪 師 將 錫 杖 琢 開 名 錫 杖 泉 自 國 清 寺 東 北 
T51n2096_001:1054b23	一十五里。有禪林寺。寺本智顗禪師修禪於	一 十 五 里 有 禪 林 寺 寺 本 智 顗 禪 師 修 禪 於 
T51n2096_001:1054b24	此也。以貞元四年。使牒移黃巖縣癈禪林寺	此 也 以 貞 元 四 年 使 牒 移 黃 巖 縣 癈 禪 林 寺 
T51n2096_001:1054b25	額。來易於道場之名。寺東一十五里有香爐	額 來 易 於 道 場 之 名 寺 東 一 十 五 里 有 香 爐 
T51n2096_001:1054b26	峯。甚高嶮。峯上多有香柏檉桂之木相連。有	峯 甚 高 嶮 峯 上 多 有 香 柏 檉 桂 之 木 相 連 有 
T51n2096_001:1054b27	宴坐峯。其峯可高百餘丈。是智者大師降魔	宴 坐 峯 其 峯 可 高 百 餘 丈 是 智 者 大 師 降 魔 
T51n2096_001:1054b28	峯。後有神人送石屏峯於大師背後。至今存	峯 後 有 神 人 送 石 屏 峯 於 大 師 背 後 至 今 存 
T51n2096_001:1054b29	焉。峯下有龍潭。周迴一里。下注螺溪亦出縣	焉 峯 下 有 龍 潭 周 迴 一 里 下 注 螺 溪 亦 出 縣 
T51n2096_001:1054c01	大溪耳。寺西北上十里至陳田(昔有神人於此開田供智者大師朝	大 溪 耳 寺 西 北 上 十 里 至 陳 田 昔 有 神 人 於 此 開 田 供 智 者 大 師 朝 
T51n2096_001:1054c02	種暮收)自陳田可五里西入。一源甚平坦。號曰	種 暮 收 自 陳 田 可 五 里 西 入 一 源 甚 平 坦 號 曰 
T51n2096_001:1054c03	白砂。有僧居之。禪林寺西北上二十五里。乃	白 砂 有 僧 居 之 禪 林 寺 西 北 上 二 十 五 里 乃 
T51n2096_001:1054c04	至歇亭。即平昌孟公簡廉察浙東北一十里。	至 歇 亭 即 平 昌 孟 公 簡 廉 察 浙 東 北 一 十 里 
T51n2096_001:1054c05	乃至至靈墟令來。是智者禪院。即　白雲先	乃 至 至 靈 墟 令 來 是 智 者 禪 院 即 白 雲 先 
T51n2096_001:1054c06	生所居之處也。先生早歲從道始居。嵩華猶	生 所 居 之 處 也 先 生 早 歲 從 道 始 居 嵩 華 猶 
T51n2096_001:1054c07	雜。以風塵不任幽賞。迺東入台岳。雅愜素尚	雜 以 風 塵 不 任 幽 賞 迺 東 入 台 岳 雅 愜 素 尚 
T51n2096_001:1054c08	遂此建修真之所。真詔云。天台山中有不死	遂 此 建 修 真 之 所 真 詔 云 天 台 山 中 有 不 死 
T51n2096_001:1054c09	之卿。成禪之靈墟。常有黃雲覆之。此則其地	之 卿 成 禪 之 靈 墟 常 有 黃 雲 覆 之 此 則 其 地 
T51n2096_001:1054c10	也。故[這言+聿]思真之堂。兼號黃雲堂。堂有小澗。南	也 故 [這言聿] 思 真 之 堂 兼 號 黃 雲 堂 堂 有 小 澗 南 
T51n2096_001:1054c11	有崗。其勢迴合。崗前有平地。立壇一級。用石	有 崗 其 勢 迴 合 崗 前 有 平 地 立 壇 一 級 用 石 
T51n2096_001:1054c12	甃之。名白玄神。故先生靈墟頌云。堂號黃	甃 之 名 白 玄 神 故 先 生 靈 墟 頌 云 堂 號 黃 
T51n2096_001:1054c13	雲以真氣。壇名玄神。仰窺清景。東為練刑	雲 以 真 氣 壇 名 玄 神 仰 窺 清 景 東 為 練 刑 
T51n2096_001:1054c14	之室。吸引所居。南為鳳軫之臺。以吟風奏	之 室 吸 引 所 居 南 為 鳳 軫 之 臺 以 吟 風 奏 
T51n2096_001:1054c15	暢。西為朝神靜開啟祈依。北日龍章之閣。以	暢 西 為 朝 神 靜 開 啟 祈 依 北 日 龍 章 之 閣 以 
T51n2096_001:1054c16	瞻雲副墨。卑而不陋可待風雨。怙而不豐可	瞻 雲 副 墨 卑 而 不 陋 可 待 風 雨 怙 而 不 豐 可 
T51n2096_001:1054c17	全[止/虛]。白壇前十步。有大溪。發源華頂東南。	全 [止虛] 白 壇 前 十 步 有 大 溪 發 源 華 頂 東 南 
T51n2096_001:1054c18	流寧海界。又堂西十步有泉。其色味甘可以	流 寧 海 界 又 堂 西 十 步 有 泉 其 色 味 甘 可 以 
T51n2096_001:1054c19	愈疾。中間平地立別院。營大丹爐。修劍鏡。	愈 疾 中 間 平 地 立 別 院 營 大 丹 爐 修 劍 鏡 
T51n2096_001:1054c20	並皆克就。長松十株。修竹數傾。皆天師手	並 皆 克 就 長 松 十 株 修 竹 數 傾 皆 天 師 手 
T51n2096_001:1054c21	植。頻有詔。命先生皆不就。至叡宗景雲二年。	植 頻 有 詔 命 先 生 皆 不 就 至 叡 宗 景 雲 二 年 
T51n2096_001:1054c22	今兄承禕就山邀迓。詔書曰。練師德超河	今 兄 承 禕 就 山 邀 迓 詔 書 曰 練 師 德 超 河 
T51n2096_001:1054c23	上。道邁浮近。高遊碧落之[這言+(序予+手)]。獨步清源源	上 道 邁 浮 近 高 遊 碧 落 之 [這言序予手] 獨 步 清 源 源 
T51n2096_001:1054c24	境。朕初臨寶位。久藉微猷。雖非堯舜。丕圖	境 朕 初 臨 寶 位 久 藉 微 猷 雖 非 堯 舜 丕 圖 
T51n2096_001:1054c25	翹心齧缺軒轅御歷遙想崆峒緬。惟彼懷寧	翹 心 齧 缺 軒 轅 御 歷 遙 想 崆 峒 緬 惟 彼 懷 寧 
T51n2096_001:1054c26	妨此。顧朝欽夕佇。跡滯心飛欲遣使者迎。或	妨 此 顧 朝 欽 夕 佇 跡 滯 心 飛 欲 遣 使 者 迎 或 
T51n2096_001:1054c27	慮鍊師驚懼故。令承禕往詔。願與同來披[(尸@未)*又]	慮 鍊 師 驚 懼 故 令 承 禕 往 詔 願 與 同 來 披 [尸未又] 
T51n2096_001:1054c28	不遙無先此慮。先生無詔至京。帝問以理	不 遙 無 先 此 慮 先 生 無 詔 至 京 帝 問 以 理 
T51n2096_001:1054c29	身以清高。為貴理國則如何。先師對日。國猶	身 以 清 高 為 貴 理 國 則 如 何 先 師 對 日 國 猶 
T51n2096_001:1055a01	身也。身猶國也。老君曰。遊心於談。合氣於	身 也 身 猶 國 也 老 君 曰 遊 心 於 談 合 氣 於 
T51n2096_001:1055a02	漢。順物自然。而無私也。而天下治也。易曰。	漢 順 物 自 然 而 無 私 也 而 天 下 治 也 易 曰 
T51n2096_001:1055a03	大人與天地合。其德是知。天不言而信。不為	大 人 與 天 地 合 其 德 是 知 天 不 言 而 信 不 為 
T51n2096_001:1055a04	而成。無為之理家之道也。帝歎曰。廣成之言	而 成 無 為 之 理 家 之 道 也 帝 歎 曰 廣 成 之 言 
T51n2096_001:1055a05	何以加此。請歸山。帝賜寶琴一張。及霞紋。帔	何 以 加 此 請 歸 山 帝 賜 寶 琴 一 張 及 霞 紋 帔 
T51n2096_001:1055a06	中朝屬詞之士贈詩百餘人。帝遂置桐柏觀。	中 朝 屬 詞 之 士 贈 詩 百 餘 人 帝 遂 置 桐 柏 觀 
T51n2096_001:1055a07	諸先生居之。自靈墟南出二十里。有小莊在	諸 先 生 居 之 自 靈 墟 南 出 二 十 里 有 小 莊 在 
T51n2096_001:1055a08	歡溪也。梁高士顧歡曾居此。是名歡溪也。自	歡 溪 也 梁 高 士 顧 歡 曾 居 此 是 名 歡 溪 也 自 
T51n2096_001:1055a09	歇亭西行絃澗一十五里。至石橋。頭有小亭	歇 亭 西 行 絃 澗 一 十 五 里 至 石 橋 頭 有 小 亭 
T51n2096_001:1055a10	子。石橋色皆清。長七丈。南頭闊七尺。北頭闊	子 石 橋 色 皆 清 長 七 丈 南 頭 闊 七 尺 北 頭 闊 
T51n2096_001:1055a11	二尺。龍形龜背。架萬仞之壑。上有兩澗。合流	二 尺 龍 形 龜 背 架 萬 仞 之 壑 上 有 兩 澗 合 流 
T51n2096_001:1055a12	從橋下過。泄為瀑布。西流出剡縣界。從下仰	從 橋 下 過 泄 為 瀑 布 西 流 出 剡 縣 界 從 下 仰 
T51n2096_001:1055a13	視。若晴虹之飲澗。橋勢崯峭。水聲崩落。時有	視 若 晴 虹 之 飲 澗 橋 勢 崯 峭 水 聲 崩 落 時 有 
T51n2096_001:1055a14	過者目眩心悸。今遊人所見者正是北橋也。	過 者 目 眩 心 悸 今 遊 人 所 見 者 正 是 北 橋 也 
T51n2096_001:1055a15	是羅漢所居之所也。意為即小者則不知。大	是 羅 漢 所 居 之 所 也 意 為 即 小 者 則 不 知 大 
T51n2096_001:1055a16	者復在何處。蓋神仙冥隱。非常人所覩。從此	者 復 在 何 處 蓋 神 仙 冥 隱 非 常 人 所 覩 從 此 
T51n2096_001:1055a17	橋沿澗行一十五里。又有一石橋。中斷號為斷	橋 沿 澗 行 一 十 五 里 又 有 一 石 橋 中 斷 號 為 斷 
T51n2096_001:1055a18	橋也。自歇亭北上二十里。上華頂峯北天台	橋 也 自 歇 亭 北 上 二 十 里 上 華 頂 峯 北 天 台 
T51n2096_001:1055a19	山極高處也。常為雲霧霾翳。少有晴朗之時。	山 極 高 處 也 常 為 雲 霧 霾 翳 少 有 晴 朗 之 時 
T51n2096_001:1055a20	其高霖微。似寒先雲幽澗凝冴經夏不消。若	其 高 霖 微 似 寒 先 雲 幽 澗 凝 冴 經 夏 不 消 若 
T51n2096_001:1055a21	遇晴時。則朝觀日之所。設圖經云。白雲先生	遇 晴 時 則 朝 觀 日 之 所 設 圖 經 云 白 雲 先 生 
T51n2096_001:1055a22	從靈墟至華頂兩處。從來朝謁不絕。其上造	從 靈 墟 至 華 頂 兩 處 從 來 朝 謁 不 絕 其 上 造 
T51n2096_001:1055a23	天尊堂。並左右二室開竇以延日月。朝飡其	天 尊 堂 並 左 右 二 室 開 竇 以 延 日 月 朝 飡 其 
T51n2096_001:1055a24	光鑿龕以貯雲霧。夕吸其氣堂前立壇三級。	光 鑿 龕 以 貯 雲 霧 夕 吸 其 氣 堂 前 立 壇 三 級 
T51n2096_001:1055a25	堂內有石像。石磬上有鐵香爐並鍾。北壇久	堂 內 有 石 像 石 磬 上 有 鐵 香 爐 並 鍾 北 壇 久 
T51n2096_001:1055a26	為荒榛近亦修開也。堂東一十步。有甘泉。先	為 荒 榛 近 亦 修 開 也 堂 東 一 十 步 有 甘 泉 先 
T51n2096_001:1055a27	生住經二十八載。頻奉勅詔。先生多不就。有	生 住 經 二 十 八 載 頻 奉 勅 詔 先 生 多 不 就 有 
T51n2096_001:1055a28	表云。俗人貞隱猶許高棲。道士修真理宜遜	表 云 俗 人 貞 隱 猶 許 高 棲 道 士 修 真 理 宜 遜 
T51n2096_001:1055a29	遠。又詔云。雖阻彼懷宜從此旨請料來表無	遠 又 詔 云 雖 阻 彼 懷 宜 從 此 旨 請 料 來 表 無 
T51n2096_001:1055b01	或二三。開元十一年　玄宗皇帝追入內。先	或 二 三 開 元 十 一 年 玄 宗 皇 帝 追 入 內 先 
T51n2096_001:1055b02	生辭歸。帝以天台幽遠難以迎請。遂於上屋	生 辭 歸 帝 以 天 台 幽 遠 難 以 迎 請 遂 於 上 屋 
T51n2096_001:1055b03	山選形勝。特置陽臺觀居之。合靈墟華頂。無	山 選 形 勝 特 置 陽 臺 觀 居 之 合 靈 墟 華 頂 無 
T51n2096_001:1055b04	復堂宇。唯餘松竹。天氣晴望。見海水碧色。朕	復 堂 宇 唯 餘 松 竹 天 氣 晴 望 見 海 水 碧 色 朕 
T51n2096_001:1055b05	然與天同光。若清真之儔。則三山十洲髣髴	然 與 天 同 光 若 清 真 之 儔 則 三 山 十 洲 髣 髴 
T51n2096_001:1055b06	而覩。雲珮風笙條忽而聞。自華頂北直下甚	而 覩 雲 珮 風 笙 條 忽 而 聞 自 華 頂 北 直 下 甚 
T51n2096_001:1055b07	嶮阻。千崖萬壑千霖複磵。猿猱騰翥靈祇憑	嶮 阻 千 崖 萬 壑 千 霖 複 磵 猿 猱 騰 翥 靈 祇 憑 
T51n2096_001:1055b08	託非人迹所及。又去天台北門。在剡縣金靈	託 非 人 迹 所 及 又 去 天 台 北 門 在 剡 縣 金 靈 
T51n2096_001:1055b09	觀。觀前有香爐峯。峯下有小穴。可以窺之。	觀 觀 前 有 香 爐 峯 峯 下 有 小 穴 可 以 窺 之 
T51n2096_001:1055b10	則莫窮於深淺。自天台山西北有一峯。孤秀	則 莫 窮 於 深 淺 自 天 台 山 西 北 有 一 峯 孤 秀 
T51n2096_001:1055b11	迴拔與天台相對。曰天姥峯。峯下臨剡縣路。	迴 拔 與 天 台 相 對 曰 天 姥 峯 峯 下 臨 剡 縣 路 
T51n2096_001:1055b12	仰望宛在天表。舊屬臨海郡。令隷會稽。又有	仰 望 宛 在 天 表 舊 屬 臨 海 郡 令 隷 會 稽 又 有 
T51n2096_001:1055b13	大唾小唾二峯。去天姥唾為谷。天姥峯有石	大 唾 小 唾 二 峯 去 天 姥 唾 為 谷 天 姥 峯 有 石 
T51n2096_001:1055b14	橋。以天台相連。石壁上有刊字科斗文。亦高	橋 以 天 台 相 連 石 壁 上 有 刊 字 科 斗 文 亦 高 
T51n2096_001:1055b15	邈不可尋覓矣。月醮者聞笳簫鼓之聲。宋元	邈 不 可 尋 覓 矣 月 醮 者 聞 笳 簫 鼓 之 聲 宋 元 
T51n2096_001:1055b16	嘉中。臺遣盡工匠寫山狀於圓扇。以標[柩久+(厂@臾)]靈	嘉 中 臺 遣 盡 工 匠 寫 山 狀 於 圓 扇 以 標 [柩久厂臾] 靈 
T51n2096_001:1055b17	異。即夏禹時劉阮二人採藥遇仙之所也。古	異 即 夏 禹 時 劉 阮 二 人 採 藥 遇 仙 之 所 也 古 
T51n2096_001:1055b18	之剡人劉曰成阮肇入山遇仙於此。其事亦	之 剡 人 劉 曰 成 阮 肇 入 山 遇 仙 於 此 其 事 亦 
T51n2096_001:1055b19	具在本傳。又按。仙經云。此山有石橋。一所	具 在 本 傳 又 按 仙 經 云 此 山 有 石 橋 一 所 
T51n2096_001:1055b20	現二所不知其處。又云。多散仙人遇得橋即	現 二 所 不 知 其 處 又 云 多 散 仙 人 遇 得 橋 即 
T51n2096_001:1055b21	與相見。以此言之。即靈仙之橋也。非今常人	與 相 見 以 此 言 之 即 靈 仙 之 橋 也 非 今 常 人 
T51n2096_001:1055b22	見者。自非精誠玄達阻絕相偶。真仙亦不可	見 者 自 非 精 誠 玄 達 阻 絕 相 偶 真 仙 亦 不 可 
T51n2096_001:1055b23	得見。橋亦安可覩之。至於寄禽異獸千狀萬	得 見 橋 亦 安 可 覩 之 至 於 寄 禽 異 獸 千 狀 萬 
T51n2096_001:1055b24	類不可稱記。靈葩仙草潛產谷中。莫能名之。	類 不 可 稱 記 靈 葩 仙 草 潛 產 谷 中 莫 能 名 之 
T51n2096_001:1055b25	而五芝耀綵非真不遇。建木匿影。豈凡所觀。	而 五 芝 耀 綵 非 真 不 遇 建 木 匿 影 豈 凡 所 觀 
T51n2096_001:1055b26	靈府以元和十年自衝岳移居台嶺。定室方	靈 府 以 元 和 十 年 自 衝 岳 移 居 台 嶺 定 室 方 
T51n2096_001:1055b27	瀛。至寶曆初歲已逾爾閏修真之暇。聊採經	瀛 至 寶 曆 初 歲 已 逾 爾 閏 修 真 之 暇 聊 採 經 
T51n2096_001:1055b28	誥以述斯記。用彰靈焉。	誥 以 述 斯 記 用 彰 靈 焉 
T51n2096_001:1055b29	天台山記一卷	天 台 山 記 一 卷 
