X53n0837_001:0106a06	法宗原	法 宗 原 
X53n0837_001:0108b10	一中前十種色意處即是第二心王法處即攝色中	一 中 前 十 種 色 意 處 即 是 第 二 心 王 法 處 即 攝 色 中 
X53n0837_001:0108b11	無表四十六心所十四不相應行及三無為六十四	無 表 四 十 六 心 所 十 四 不相應行 及 三 無 為 六 十 四 
X53n0837_001:0108b12	法十八界者謂眼耳鼻舌身意色聲香味觸法眼識	法 十 八 界 者 謂 眼 耳 鼻 舌 身 意 色聲香味觸 法 眼 識 
X53n0837_001:0108b13	耳識鼻識舌識身識意識法種族義是界義於一身	耳 識 鼻 識 舌 識 身 識 意 識 法 種 族 義 是 界 義 於 一 身 
X53n0837_001:0108b14	中有十八類諸法種族名十八界眼耳鼻舌身色聲	中 有 十 八 類 諸 法 種 族 名 十 八 界 眼 耳 鼻 舌 身 色 聲 
X53n0837_001:0108b15	香味觸界如其次第色十一中前十種色意界及六	香 味 觸 界 如 其 次 第 色 十 一 中 前 十 種 色 意 界 及 六 
X53n0837_001:0108b16	識界即是心王法界如法處說。	識 界 即 是 心 王 法 界 如 法 處 說 
X53n0837_001:0108b17	第二諸門分別者略以百門分別七十五法二門分	第 二 諸 門 分 別 者 略 以 百 門 分 別 七十五法 二 門 分 
X53n0837_001:0108b18	別略有十七種色非色有見無見有對無對有漏無	別 略 有 十 七 種 色 非 色 有 見 無 見 有 對 無 對 有 漏 無 
X53n0837_001:0108b19	漏有為無為相應不相應有上無上四大所造非四	漏 有 為 無 為 相應不相應 有 上 無 上 四 大 所 造 非 四 
X53n0837_001:0108b20	大所造諦非諦有執受無執受有所緣無所緣異熟	大 所 造 諦 非 諦 有 執 受 無 執 受 有 所 緣 無 所 緣 異 熟 
X53n0837_001:0108b21	非異熟見非見積集非積集能斫所斫非能斫非所	非 異 熟 見 非 見 積 集 非 積 集 能 斫 所 斫 非 能 斫 非 所 
X53n0837_001:0108b22	斫根非根有異熟無異熟。色非色者可變礙故名	斫 根 非 根 有 異 熟 無 異 熟 色 非 色 者 可 變 礙 故 名 
X53n0837_001:0108b23	色與此相違名為非色七十五法中色十一是色五	色 與 此 相 違 名 為 非 色 七十五法 中 色 十 一 是 色 五 
X53n0837_001:0108b24	根五境可變礙故無表變礙生故餘六十四非色。	根 五 境 可 變 礙 故 無 表 變 礙 生 故 餘 六 十 四 非 色 
X53n0837_001:0108c01	有見無見者有彼眼見故名有見非有眼見名為無	有 見 無 見 者 有 彼 眼 見 故 名 有 見 非 有 眼 見 名 為 無 
X53n0837_001:0108c02	見七十五法中色名有見餘七十四法名無見雖慧	見 七十五法 中 色 名 有 見 餘 七 十 四 法 名 無 見 雖 慧 
X53n0837_001:0108c03	亦名為見此中且約眼說。有對無對者有障礙故	亦 名 為 見 此 中 且 約 眼 說 有 對 無 對 者 有 障 礙 故 
X53n0837_001:0108c04	名為有對與此相違名無對七十五法中五根五境	名 為 有 對 與 此 相 違 名 無 對 七十五法 中 五 根 五 境 
X53n0837_001:0108c05	名有對極微成故餘六十五法名無對非極微成故。	名 有 對 極 微 成 故 餘 六 十 五 法 名 無 對 非 極 微 成 故 
X53n0837_001:0108c06	有漏無漏者漏謂漏泄即諸煩惱漏隨增故名為	有漏無漏 者 漏 謂 漏 泄 即 諸 煩 惱 漏 隨 增 故 名 為 
X53n0837_001:0108c07	有漏與此相違名為無漏色十一中無表色通二種	有 漏 與 此 相 違 名 為 無 漏 色 十 一 中 無 表 色 通 二 種 
X53n0837_001:0108c08	若定共戒及散無表是有漏若道共戒是無漏餘十	若 定 共 戒 及 散 無 表 是 有 漏 若 道 共 戒 是 無 漏 餘 十 
X53n0837_001:0108c09	種唯有漏心王通二種四十六心所中大地法十大	種 唯 有 漏 心 王 通 二 種 四 十 六 心 所 中 大 地 法 十 大 
X53n0837_001:0108c10	善地法十尋伺此二十二通二種餘二十四唯有漏	善 地 法 十 尋 伺 此 二 十 二 通 二 種 餘 二 十 四 唯 有 漏 
X53n0837_001:0108c11	十四不相應中得四相通二種餘九種唯有漏三無	十 四 不 相 應 中 得 四 相 通 二 種 餘 九 種 唯 有 漏 三 無 
X53n0837_001:0108c12	為唯無漏有諍無諍等准此應知。有為無為者有	為 唯 無 漏 有 諍 無 諍 等 准 此 應 知 有 為 無 為 者 有 
X53n0837_001:0108c13	緣作名有為與此相違名無為七十五法中前七十	緣 作 名 有 為 與 此 相 違 名 無 為 七十五法 中 前 七 十 
X53n0837_001:0108c14	二是有為後三種是無為。相應不相應者時依行	二 是 有 為 後 三 種 是 無 為 相應不相應 者 時 依 行 
X53n0837_001:0108c15	緣事此五平等名曰相應同一剎那時同一所依根	緣 事 此 五 平 等 名 曰 相 應 同 一 剎 那 時 同 一 所 依 根 
X53n0837_001:0108c16	同一行相同一所緣同一體事故名曰相應與此相	同 一 行 相 同一所緣 同 一 體 事 故 名 曰 相 應 與 此 相 
X53n0837_001:0108c17	違名不相應七十五法中心心所法四十七種是相	違 名 不 相 應 七十五法 中 心心所法 四 十 七 種 是 相 
X53n0837_001:0108c18	應餘二十八是不相應。有上無上者有涅槃上故	應 餘 二 十 八 是 不 相 應 有 上 無 上 者 有 涅 槃 上 故 
X53n0837_001:0108c19	名有上與此相違名無上七十五法中七十四名有	名 有 上 與 此 相 違 名 無 上 七十五法 中 七 十 四 名 有 
X53n0837_001:0108c20	上擇滅名無上。四大種所造非四大種所造者體	上 擇 滅 名 無 上 四 大種所造 非 四 大種所造 者 體 
X53n0837_001:0108c21	寬廣故名大能生名種從四大生故名所造與此相	寬 廣 故 名 大 能 生 名 種 從 四 大 生 故 名 所 造 與 此 相 
X53n0837_001:0108c22	違名非四大種所造七十五法中眼等五根色聲香	違 名 非 四 大種所造 七十五法 中 眼 等 五 根 色 聲 香 
X53n0837_001:0108c23	味無表唯是所造觸通二種地水火風是大種七所	味 無 表 唯 是 所 造 觸 通 二 種 地水火風 是 大 種 七 所 
X53n0837_001:0108c24	造觸是所造餘六十四非大種所造。諦非諦者諦	造 觸 是 所 造 餘 六 十 四 非 大種所造 諦 非 諦 者 諦 
X53n0837_001:0109a01	謂諦實即苦集滅道與此相違名為非諦七十三是	謂 諦 實 即 苦集滅道 與 此 相 違 名 為 非 諦 七 十 三 是 
X53n0837_001:0109a02	諦虗空非擇滅非諦是無為故非苦集道攝是無記	諦 虗 空 非 擇 滅 非 諦 是 無 為 故 非 苦 集 道 攝 是 無 記 
X53n0837_001:0109a03	故非滅諦攝。有執受無執受者心心所法共所執	故 非 滅 諦 攝 有 執 受 無 執 受 者 心心所法 共 所 執 
X53n0837_001:0109a04	持攝為依處名有執受與此相違名無執受七十五	持 攝 為 依 處 名 有 執 受 與 此 相 違 名 無 執 受 七 十 五 
X53n0837_001:0109a05	法中九通二種眼等五根住現在世名有執受過去	法 中 九 通 二 種 眼 等 五 根 住 現 在 世 名 有 執 受 過 去 
X53n0837_001:0109a06	未來名無執受色香味觸住現在世不離五根名有	未 來 名 無 執 受 色香味觸 住 現 在 世 不 離 五 根 名 有 
X53n0837_001:0109a07	執受若住現在非不離根過去未來名無執受餘六	執 受 若 住 現 在 非 不 離 根 過去未來 名 無 執 受 餘 六 
X53n0837_001:0109a08	十六唯無執受。有所緣無所緣者心心所法是能	十 六 唯 無 執 受 有 所 緣 無 所 緣 者 心心所法 是 能 
X53n0837_001:0109a09	緣一切法是所緣有彼所緣名有所緣與此相違名	緣 一 切 法 是 所 緣 有 彼 所 緣 名 有 所 緣 與 此 相 違 名 
X53n0837_001:0109a10	無所緣七十五法中心心所法四十七種是有所緣	無 所 緣 七十五法 中 心心所法 四 十 七 種 是 有 所 緣 
X53n0837_001:0109a11	餘二十八名無所緣。異熟非異熟者體是無記從	餘 二 十 八 名 無 所 緣 異 熟 非 異 熟 者 體 是 無 記 從 
X53n0837_001:0109a12	異熟因生異類而熟故名異熟與此相違名非異熟	異 熟 因 生 異 類 而 熟 故 名 異 熟 與 此 相 違 名 非 異 熟 
X53n0837_001:0109a13	色十一中五根色香味觸通二種聲及無表非異熟	色 十 一 中 五 根 色香味觸 通 二 種 聲 及 無 表 非 異 熟 
X53n0837_001:0109a14	心王通二種四十六心所法中大地法十尋伺睡眠	心 王 通 二 種 四 十 六 心 所 法 中 大 地 法 十 尋 伺 睡 眠 
X53n0837_001:0109a15	此十三法皆通二種餘三十三非異熟不相應中得	此 十 三 法 皆 通 二 種 餘 三 十 三 非 異 熟 不 相 應 中 得 
X53n0837_001:0109a16	同分四相通二種無相異熟命根唯異熟非得二定	同 分 四 相 通 二 種 無 相 異 熟 命 根 唯 異 熟 非 得 二 定 
X53n0837_001:0109a17	名句文非異熟三無為非異熟。見非見者觀照推	名 句 文 非 異 熟 三 無 為 非 異 熟 見 非 見 者 觀 照 推 
X53n0837_001:0109a18	度隨應名見與此相違名為非見七十五法中慧通	度 隨 應 名 見 與 此 相 違 名 為 非 見 七十五法 中 慧 通 
X53n0837_001:0109a19	二種若是世俗正見等是見若是盡無生智等非見	二 種 若 是 世 俗 正 見 等 是 見 若 是 盡 無 生 智 等 非 見 
X53n0837_001:0109a20	眼唯是見餘七十三唯是非見。積集非積集者極	眼 唯 是 見 餘 七 十 三 唯 是 非 見 積 集 非 積 集 者 極 
X53n0837_001:0109a21	微名為積集與此相違名非積集七十五法中五根	微 名 為 積 集 與 此 相 違 名 非 積 集 七十五法 中 五 根 
X53n0837_001:0109a22	五境名為積集極微成故餘六十五皆非積集非極	五 境 名 為 積 集 極 微 成 故 餘 六 十 五 皆 非 積 集 非 極 
X53n0837_001:0109a23	微成故。能斫所斫非能斫非所斫者能研斧等所	微 成 故 能 斫 所 斫 非 能 斫 非 所 斫 者 能 研 斧 等 所 
X53n0837_001:0109a24	斫薪等七十五法中色香味觸通能所斫以成斧等	斫 薪 等 七十五法 中 色香味觸 通 能 所 斫 以 成 斧 等 
X53n0837_001:0109b01	及薪等故餘七十一非能所斫能稱所稱非能稱所	及 薪 等 故 餘 七 十 一 非 能 所 斫 能 稱 所 稱 非 能 稱 所 
X53n0837_001:0109b02	稱能燒所燒非能燒所燒應知亦爾。根非根者增	稱 能 燒 所 燒 非 能 燒 所 燒 應 知 亦 爾 根 非 根 者 增 
X53n0837_001:0109b03	上名根與此相違名為非根根謂二十二根眼根耳	上 名 根 與 此 相 違 名 為 非 根 根 謂 二十二根 眼 根 耳 
X53n0837_001:0109b04	根鼻根舌眼身根意根女根男根命根樂根苦根喜	根 鼻 根 舌 眼 身 根 意 根 女 根 男 根 命 根 樂 根 苦 根 喜 
X53n0837_001:0109b05	根憂根捨根信根勤根念根定根慧根未知當知根	根 憂 根 捨 根 信 根 勤 根 念 根 定 根 慧 根 未知當知根 
X53n0837_001:0109b06	已知根具知根七十五法中眼耳鼻舌身心王念定	已 知 根 具 知 根 七十五法 中 眼 耳 鼻 舌 身 心 王 念 定 
X53n0837_001:0109b07	慧受信勤命此十三是根餘六十二非根應知男女	慧 受 信 勤 命 此 十 三 是 根 餘 六 十 二 非 根 應 知 男 女 
X53n0837_001:0109b08	二根即是身根一分樂苦喜憂捨五即是受攝後三	二 根 即 是 身 根 一 分 樂 苦 喜 憂 捨 五 即 是 受 攝 後 三 
X53n0837_001:0109b09	即是信進念定慧喜樂捨心九法為體。有異熟無	即 是 信 進 念 定 慧 喜 樂 捨 心 九 法 為 體 有 異 熟 無 
X53n0837_001:0109b10	異熟者不善善有漏異熟無記無漏無異熟色十一	異 熟 者 不 善 善 有 漏 異 熟 無 記 無 漏 無 異 熟 色 十 一 
X53n0837_001:0109b11	中色聲無表通二種心王亦通二種四十六心所中	中 色 聲 無 表 通 二 種 心 王 亦 通 二 種 四 十 六 心 所 中 
X53n0837_001:0109b12	大不善地法二小煩惱地法中忿覆慳嫉惱害恨不	大不善地法 二 小煩惱地法 中 忿 覆 慳 嫉 惱 害 恨 不 
X53n0837_001:0109b13	定中惡作嗔此十一唯有異熟餘三十五通二種十	定 中 惡 作 嗔 此 十 一 唯 有 異 熟 餘 三 十 五 通 二 種 十 
X53n0837_001:0109b14	四不相應中得四相通二種二定有異熟餘七種無	四 不 相 應 中 得 四 相 通 二 種 二 定 有 異 熟 餘 七 種 無 
X53n0837_001:0109b15	異熟三無為無異熟。	異 熟 三 無 為 無 異 熟 
X53n0837_001:0109b16	三門分別略有二十種三性三界三斷三學有尋有	三 門 分 別 略 有 二 十 種 三 性 三 界 三 斷 三 學 有 尋 有 
X53n0837_001:0109b17	伺等三地三業三寶三藏戒等三學三戒有尋有伺	伺 等 三 地 三 業 三 寶 三 藏 戒 等 三 學 三 戒 有 尋 有 伺 
X53n0837_001:0109b18	等三定淨等三定三牟尼三清淨三惡行三妙行三	等 三 定 淨 等 三 定 三 牟 尼 三 清 淨 三 惡 行 三 妙 行 三 
X53n0837_001:0109b19	明三示導三種三摩地三解脫門。三性者一善二	明 三 示 導 三 種 三 摩 地 三解脫門 三 性 者 一 善 二 
X53n0837_001:0109b20	不善三無記善有七種一生得二聞三思四修五學	不 善 三 無 記 善 有 七 種 一 生 得 二 聞 三 思 四 修 五 學 
X53n0837_001:0109b21	六無學七勝義七中前四有漏後三無漏就有漏中	六 無 學 七 勝 義 七 中 前 四 有 漏 後 三 無 漏 就 有 漏 中 
X53n0837_001:0109b22	前一生得後三加行就無漏中前二有為後一無為	前 一 生 得 後 三 加 行 就 無 漏 中 前 二 有 為 後 一 無 為 
X53n0837_001:0109b23	不善唯一無記有二一有覆二無覆就無覆中有六	不 善 唯 一 無 記 有 二 一 有 覆 二 無 覆 就 無 覆 中 有 六 
X53n0837_001:0109b24	一異熟二威儀三工巧四通果五自性前四無記所	一 異 熟 二 威 儀 三 工 巧 四 通 果 五 自 性 前 四 無 記 所 
X53n0837_001:0109c01	不攝者皆名自性六勝義六中前五有為後一無為	不 攝 者 皆 名 自 性 六 勝 義 六 中 前 五 有 為 後 一 無 為 
X53n0837_001:0109c02	并前有覆總有七種善有七不善唯一無記有七總	并 前 有 覆 總 有 七 種 善 有 七 不 善 唯 一 無 記 有 七 總 
X53n0837_001:0109c03	有十五總括諸論所說盡以此十五分別七十五法	有 十 五 總 括 諸 論 所 說 盡 以 此 十 五 分 別 七十五法 
X53n0837_001:0109c04	色十一中色聲通三性善身語業是善惡身語業是	色 十 一 中 色 聲 通 三 性 善 身 語 業 是 善 惡 身 語 業 是 
X53n0837_001:0109c05	不善無記身語業及非業者是無記身業及非業色	不 善 無 記 身 語 業 及 非 業 者 是 無 記 身 業 及 非 業 色 
X53n0837_001:0109c06	是色語業及非業聲是聲善中通生得聞思以皆能	是 色 語 業 及 非 業 聲 是 聲 善 中 通 生 得 聞 思 以 皆 能 
X53n0837_001:0109c07	發身語業故無記中通有覆無覆有覆者謂初定修	發 身 語 業 故 無 記 中 通 有 覆 無 覆 有 覆 者 謂 初 定 修 
X53n0837_001:0109c08	斷有覆無記發身語業是有覆就無覆中色通異熟	斷 有覆無記 發 身 語 業 是 有 覆 就 無 覆 中 色 通 異 熟 
X53n0837_001:0109c09	威儀工巧通果自性聲通威儀工巧通果自性如生	威 儀 工 巧 通 果 自 性 聲 通 威 儀 工 巧 通 果 自 性 如 生 
X53n0837_001:0109c10	二定已上泛爾語時起初定威儀心發故聲通威儀	二 定 已 上 泛 爾 語 時 起 初 定 威 儀 心 發 故 聲 通 威 儀 
X53n0837_001:0109c11	五根香味觸唯是無覆就中五根通異熟自性若說	五 根 香 味 觸 唯 是 無 覆 就 中 五 根 通 異 熟 自 性 若 說 
X53n0837_001:0109c12	異熟因生者是異熟若是長養者是自性香味觸三	異 熟 因 生 者 是 異 熟 若 是 長 養 者 是 自 性 香 味 觸 三 
X53n0837_001:0109c13	通異熟威儀工巧通果自性若是長養香味觸三及	通 異 熟 威 儀 工 巧 通 果 自 性 若 是 長 養 香 味 觸 三 及 
X53n0837_001:0109c14	外香味觸三是自性無記以非異熟威儀工巧通果	外 香 味 觸 三 是 自 性 無 記 以 非 異 熟 威 儀 工 巧 通 果 
X53n0837_001:0109c15	攝故無表通善不善非無記無記心劣故不發無表	攝 故 無 表 通 善 不 善 非 無 記 無 記 心 劣 故 不 發 無 表 
X53n0837_001:0109c16	於善中通生得聞思修學無學生得聞思所發是散	於 善 中 通 生 得 聞 思 修 學 無 學 生 得 聞 思 所 發 是 散 
X53n0837_001:0109c17	無表修所發是定俱無表學無學所發是道俱無表	無 表 修 所 發 是 定 俱 無 表 學 無 學 所 發 是 道 俱 無 表 
X53n0837_001:0109c18	不善者唯散無表心王於十五中除勝義善自性無	不 善 者 唯 散 無 表 心 王 於 十 五 中 除 勝 義 善 自 性 無 
X53n0837_001:0109c19	記勝義無記通餘十二義准可知四十六心所法中	記 勝 義 無 記 通 餘 十 二 義 准 可 知 四 十 六 心 所 法 中 
X53n0837_001:0109c20	大地法十尋伺睡眠此十三通三性若大地法十尋	大 地 法 十 尋 伺 睡 眠 此 十 三 通 三 性 若 大 地 法 十 尋 
X53n0837_001:0109c21	伺善中通生得聞思修學無學無記中通有覆無覆	伺 善 中 通 生 得 聞 思 修 學 無 學 無 記 中 通 有 覆 無 覆 
X53n0837_001:0109c22	無覆中通異熟威儀工巧通果若睡眠善中唯生得	無 覆 中 通 異 熟 威 儀 工 巧 通 果 若 睡 眠 善 中 唯 生 得 
X53n0837_001:0109c23	眠心劣故不通聞等無記中通有覆無覆有覆者謂	眠 心 劣 故 不 通 聞 等 無 記 中 通 有 覆 無 覆 有 覆 者 謂 
X53n0837_001:0109c24	欲界身邊二見相應無覆者通異熟威儀工巧非通	欲 界 身邊二見 相 應 無 覆 者 通 異 熟 威 儀 工 巧 非 通 
X53n0837_001:0110a01	果非定果故大善地法十唯善善中通生得聞思修	果 非 定 果 故 大善地法 十 唯 善 善 中 通 生 得 聞 思 修 
X53n0837_001:0110a02	學無學大煩惱地法六通不善有覆若與不善相應	學 無 學 大煩惱地法 六 通 不善有覆 若 與 不 善 相 應 
X53n0837_001:0110a03	是不善若與欲界身邊二見及上二界諸惑相應是	是 不 善 若 與 欲 界 身邊二見 及 上 二 界 諸 惑 相 應 是 
X53n0837_001:0110a04	有覆大不善地法二小惑中忿覆慳嫉惱害恨及不	有 覆 大不善地法 二 小 惑 中 忿 覆 慳 嫉 惱 害 恨 及 不 
X53n0837_001:0110a05	定中嗔此十唯不善諂誑憍三及貪慢疑此六通不	定 中 嗔 此 十 唯 不 善 諂 誑 憍 三 及 貪 慢 疑 此 六 通 不 
X53n0837_001:0110a06	善有覆若欲界者是不善若上界者是有覆惡作通	善 有 覆 若 欲 界 者 是 不 善 若 上 界 者 是 有 覆 惡 作 通 
X53n0837_001:0110a07	善不善憂相應故不通無記若於威儀工功中悔者	善 不 善 憂 相 應 故 不 通 無 記 若 於 威 儀 工 功 中 悔 者 
X53n0837_001:0110a08	但是省察非是惡作善唯生得十四不相應中得四	但 是 省 察 非 是 惡 作 善 唯 生 得 十 四 不 相 應 中 得 四 
X53n0837_001:0110a09	相通三性善中通生得聞思修學無學無記中通有	相 通 三 性 善 中 通 生 得 聞 思 修 學 無 學 無 記 中 通 有 
X53n0837_001:0110a10	覆無覆無覆中通異熟威儀工巧通果自性二無心	覆 無 覆 無 覆 中 通 異 熟 威 儀 工 巧 通 果 自 性 二 無 心 
X53n0837_001:0110a11	定唯善謂修以是修善可等起故非得同分無想異	定 唯 善 謂 修 以 是 修 善 可 等 起 故 非 得 同 分 無 想 異 
X53n0837_001:0110a12	熟命根名句文身唯是無覆就中非得名句文唯是	熟 命 根 名句文身 唯 是 無 覆 就 中 非 得 名 句 文 唯 是 
X53n0837_001:0110a13	自性同分通異熟自性無想異熟命根唯異熟三無	自 性 同 分 通 異 熟 自 性 無 想 異 熟 命 根 唯 異 熟 三 無 
X53n0837_001:0110a14	為中擇滅是勝義善是善是常故虗空非擇滅是勝	為 中 擇 滅 是 勝 義 善 是 善 是 常 故 虗 空 非 擇 滅 是 勝 
X53n0837_001:0110a15	義無記。三界者一欲界二色界三無色界為欲界	義 無 記 三 界 者 一 欲 界 二 色 界 三 無 色 界 為 欲 界 
X53n0837_001:0110a16	惑繫名為欲界色無色界應知亦爾色十一中五根	惑 繫 名 為 欲界色無色界 應 知 亦 爾 色 十 一 中 五 根 
X53n0837_001:0110a17	色聲觸通欲色界香味唯欲界唯段食性故欲界有	色 聲 觸 通 欲 色 界 香 味 唯 欲 界 唯 段 食 性 故 欲 界 有 
X53n0837_001:0110a18	情身資段食故唯欲界上界有情不須段食故此香	情 身 資 段 食 故 唯 欲 界 上 界 有 情 不 須 段 食 故 此 香 
X53n0837_001:0110a19	味不通上界無表通欲色及不繫若散位無表是欲	味 不 通 上 界 無 表 通 欲 色 及 不 繫 若 散 位 無 表 是 欲 
X53n0837_001:0110a20	界繫若定俱無表是色界若道俱無表是不繫於色	界 繫 若 定 俱 無 表 是 色 界 若 道 俱 無 表 是 不 繫 於 色 
X53n0837_001:0110a21	界中無散無表以彼散心劣弱故但能發表不發無	界 中 無 散 無 表 以 彼 散 心 劣 弱 故 但 能 發 表 不 發 無 
X53n0837_001:0110a22	表無色界中無無表無有色故故此十一不通無色	表 無 色 界 中 無 無 表 無 有 色 故 故 此 十 一 不 通 無 色 
X53n0837_001:0110a23	五根五境唯有漏故不通不繫心王通三界及不繫	五 根 五 境 唯 有 漏 故 不 通 不 繫 心 王 通 三 界 及 不 繫 
X53n0837_001:0110a24	四十六心所法中大地法十大善地法十通三界及	四 十 六 心 所 法 中 大 地 法 十 大善地法 十 通 三 界 及 
X53n0837_001:0110b01	不繫有漏者三界繫無漏者是不繫大煩惱地法六	不 繫 有 漏 者 三 界 繫 無 漏 者 是 不 繫 大煩惱地法 六 
X53n0837_001:0110b02	小惑中憍不定中貪慢疑通三界繫大不善地法二	小 惑 中 憍 不 定 中 貪 慢 疑 通 三 界 繫 大不善地法 二 
X53n0837_001:0110b03	小惑中忿覆慳嫉惱害恨不定中嗔惡作睡眠此十	小 惑 中 忿 覆 慳 嫉 惱 害 恨 不 定 中 嗔 惡 作 睡 眠 此 十 
X53n0837_001:0110b04	二唯欲界前十唯不善故不通上界惡作憂相應故	二 唯 欲 界 前 十 唯 不 善 故 不 通 上 界 惡 作 憂 相 應 故 
X53n0837_001:0110b05	憂唯欲界故不通上界欲界有段食故有睡眠上界	憂 唯 欲 界 故 不 通 上 界 欲 界 有 段 食 故 有 睡 眠 上 界 
X53n0837_001:0110b06	無段食故無睡眠皆唯有漏故非不繫於小惑中諂	無 段 食 故 無 睡 眠 皆 唯 有 漏 故 非 不 繫 於 小 惑 中 諂 
X53n0837_001:0110b07	誑二法通欲色界就色界中諂誑二種唯在中間以	誑 二 法 通 欲 色 界 就 色 界 中 諂 誑 二 種 唯 在 中 間 以 
X53n0837_001:0110b08	大梵王處自梵眾忽被馬勝比丘所徵難故諂誑惑	大 梵 王 處 自 梵 眾 忽 被 馬 勝 比 丘 所 徵 難 故 諂 誑 惑 
X53n0837_001:0110b09	梵眾諂言愧謝馬勝止丘故有諂誑二定已上無眾	梵 眾 諂 言 愧 謝 馬 勝 止 丘 故 有 諂 誑 二 定 已 上 無 眾 
X53n0837_001:0110b10	相依如彼初定故無諂誑不定地中尋伺二法通欲	相 依 如 彼 初 定 故 無 諂 誑 不 定 地 中 尋 伺 二 法 通 欲 
X53n0837_001:0110b11	色界及不繫就色界中尋伺至初定伺亦至中間已	色 界 及 不 繫 就 色 界 中 尋 伺 至 初 定 伺 亦 至 中 間 已 
X53n0837_001:0110b12	上諸地漸離災患故無尋伺十四不相應中得四相	上 諸 地 漸 離 災 患 故 無 尋 伺 十 四 不 相 應 中 得 四 相 
X53n0837_001:0110b13	通三界繫及不繫有漏者三界繫無漏者是不繫非	通 三 界 繫 及 不 繫 有 漏 者 三 界 繫 無 漏 者 是 不 繫 非 
X53n0837_001:0110b14	得同分命根通三界名句文若說隨語二地繫欲界	得 同 分 命 根 通 三 界 名 句 文 若 說 隨 語 二 地 繫 欲 界 
X53n0837_001:0110b15	初定若說隨身五地繫謂欲四定取隨語繫者為正	初 定 若 說 隨 身 五 地 繫 謂 欲 四 定 取 隨 語 繫 者 為 正 
X53n0837_001:0110b16	雖有兩說皆通欲色無想異熟及無想定唯在色界	雖 有 兩 說 皆 通 欲 色 無 想 異 熟 及 無 想 定 唯 在 色 界 
X53n0837_001:0110b17	第四定故謂諸外道唯執第四無想異熟為真涅槃	第 四 定 故 謂 諸 外 道 唯 執 第 四 無 想 異 熟 為 真 涅 槃 
X53n0837_001:0110b18	為求無想果修無想定因故唯第四不通餘地滅盡	為 求 無 想 果 修 無 想 定 因 故 唯 第 四 不 通 餘 地 滅 盡 
X53n0837_001:0110b19	定唯無色界唯有頂故此滅盡定極微細心心所法	定 唯 無 色 界 唯 有 頂 故 此 滅 盡 定 極 微 細 心心所法 
X53n0837_001:0110b20	故唯有頂不通下地三無為非三界繫是無漏故。	故 唯 有 頂 不 通 下 地 三 無 為 非 三 界 繫 是 無 漏 故 
X53n0837_001:0110b21	三斷者一見斷二修斷三非斷八十八隨眠相應俱	三 斷 者 一 見 斷 二 修 斷 三 非 斷 八 十 八 隨 眠 相 應 俱 
X53n0837_001:0110b22	有及得名見所斷見諦斷故餘有漏修所斷數數修	有 及 得 名 見 所 斷 見 諦 斷 故 餘 有 漏 修 所 斷 數 數 修 
X53n0837_001:0110b23	習方能斷故體是無漏非見修所斷名非所斷也色	習 方 能 斷 故 體 是 無 漏 非 見修所斷 名 非 所 斷 也 色 
X53n0837_001:0110b24	十一中無表通修斷非斷散及定俱是修斷道俱是	十 一 中 無 表 通 修 斷 非 斷 散 及 定 俱 是 修 斷 道 俱 是 
X53n0837_001:0110c01	非斷餘十唯修斷心王通三斷四十六心所中大地	非 斷 餘 十 唯 修 斷 心 王 通 三 斷 四 十 六 心 所 中 大 地 
X53n0837_001:0110c02	法十尋伺通三斷大善地法十通修斷非斷大煩惱	法 十 尋 伺 通 三 斷 大善地法 十 通 修 斷 非 斷 大 煩 惱 
X53n0837_001:0110c03	地法六不善地法二不定中睡眠貪嗔慢通見斷修	地 法 六 不 善 地 法 二 不 定 中 睡 眠 貪 嗔 慢 通 見 斷 修 
X53n0837_001:0110c04	斷疑唯見斷小煩惱地法十及惡作唯修斷十四不	斷 疑 唯 見 斷 小煩惱地法 十 及 惡 作 唯 修 斷 十 四 不 
X53n0837_001:0110c05	相應中得四相通三斷餘九種唯修斷三無為唯非	相 應 中 得 四 相 通 三 斷 餘 九 種 唯 修 斷 三 無 為 唯 非 
X53n0837_001:0110c06	斷。三學者一學二無學三非學非無學學人身中	斷 三 學 者 一 學 二 無 學 三 非 學 非 無 學 學 人 身 中 
X53n0837_001:0110c07	有為無漏可進修習故名為學無學身中有為無漏	有 為 無 漏 可 進 修 習 故 名 為 學 無 學 身 中 有 為 無 漏 
X53n0837_001:0110c08	已滿足故名為無學一切有漏及三無為非是修學	已 滿 足 故 名 為 無 學 一切有漏 及 三 無 為 非 是 修 學 
X53n0837_001:0110c09	法故不名學亦非無學已滿足故不名無學故名非	法 故 不 名 學 亦 非 無 學 已 滿 足 故 不 名 無 學 故 名 非 
X53n0837_001:0110c10	學非無學有漏道雖亦學非是究竟故不名學色十	學 非 無 學 有 漏 道 雖 亦 學 非 是 究 竟 故 不 名 學 色 十 
X53n0837_001:0110c11	一中無表通三學道俱無表是學無學道俱及散唯	一 中 無 表 通 三 學 道 俱 無 表 是 學 無 學 道 俱 及 散 唯 
X53n0837_001:0110c12	非學非無學餘十唯非學非無學心王通三學四十	非 學 非 無 學 餘 十 唯 非 學 非 無 學 心 王 通 三 學 四 十 
X53n0837_001:0110c13	六心所法中大地法十大善地法十及尋伺通三學	六 心 所 法 中 大 地 法 十 大善地法 十 及 尋 伺 通 三 學 
