T85n2766_001:0306a04	藥師經疏	藥 師 經 疏 
T85n2766_001:0308a13	飡糜恒常骨立。或顛狂錯亂意識昏癡。入水	飡 糜 恒 常 骨 立 或 顛 狂 錯 亂 意 識 昏 癡 入 水 
T85n2766_001:0308a14	如歸赴火寧覺。或口閉如鉗舌強如石。搖頭	如 歸 赴 火 寧 覺 或 口 閉 如 鉗 舌 強 如 石 搖 頭 
T85n2766_001:0308a15	作語動眼為言。或腦裏一蛇除而復出心中	作 語 動 眼 為 言 或 腦 裏 一 蛇 除 而 復 出 心 中 
T85n2766_001:0308a16	二鬼針。而更生如此。病苦不可思議。雖凔天	二 鬼 針 而 更 生 如 此 病 苦 不可思議 雖 凔 天 
T85n2766_001:0308a17	妙饍無異鐵丸。地上甘蔗劇如銅汁。善神不	妙 饍 無 異 鐵 丸 地 上 甘 蔗 劇 如 銅 汁 善 神 不 
T85n2766_001:0308a18	祐惡鬼競逼。床炴火欲眠不得廗非爐炭願	祐 惡 鬼 競 逼 床 炴 火 欲 眠 不 得 廗 非 爐 炭 願 
T85n2766_001:0308a19	坐無因。如此諸病實為大苦　死苦者。蓋浮	坐 無 因 如 此 諸 病 實 為 大 苦 死 苦 者 蓋 浮 
T85n2766_001:0308a20	生在世徒唱百年長短參差終成謬說。或胎	生 在 世 徒 唱 百 年 長 短 參 差 終 成 謬 說 或 胎 
T85n2766_001:0308a21	中墮落盛年蕩逝。或絕命私門。或為刀官市。	中 墮 落 盛 年 蕩 逝 或 絕 命 私 門 或 為 刀 官 市 
T85n2766_001:0308a22	或墜足相川。或縊首荒谷。或裂體五車。或分	或 墜 足 相 川 或 縊 首 荒 谷 或 裂 體 五 車 或 分 
T85n2766_001:0308a23	骸四裔。或入水逢蛟。或遊山遇虎。或蘊中聽	骸 四 裔 或 入 水 逢 蛟 或 遊 山 遇 虎 或 蘊 中 聽 
T85n2766_001:0308a24	火。或懷清受餓。並由因果叢雜業報參差。雖	火 或 懷 清 受 餓 並 由 因 果 叢 雜 業 報 參 差 雖 
T85n2766_001:0308a25	曰百年誰蒙其一。是以笑聲未絕而哭嚮行	曰 百 年 誰 蒙 其 一 是 以 笑 聲 未 絕 而 哭 嚮 行 
T85n2766_001:0308a26	聞慶容纔移而哀賓已進。遂使繡愰障塵彫	聞 慶 容 纔 移 而 哀 賓 已 進 遂 使 繡 愰 障 塵 彫 
T85n2766_001:0308a27	階積草歌堂聚狩舞壂栖禽願本室而懷疑。	階 積 草 歌 堂 聚 狩 舞 壂 栖 禽 願 本 室 而 懷 疑 
T85n2766_001:0308a28	望虛靈而抱畏鍾心之受即見怨家結髮之	望 虛 靈 而 抱 畏 鍾 心 之 受 即 見 怨 家 結 髮 之 
T85n2766_001:0308a29	親。便成讎府當其平昔之時。或趍鏘朱閤雍	親 便 成 讎 府 當 其 平 昔 之 時 或 趍 鏘 朱 閤 雍 
T85n2766_001:0308b01	容紫閨搖玉珮於素裙。照金[狂王+召]於縣首榮心	容 紫 閨 搖 玉 珮 於 素 裙 照 金 [狂王召] 於 縣 首 榮 心 
T85n2766_001:0308b02	奪曰宦志陵雲。豈意且發高堂而暮沈丘隴	奪 曰 宦 志 陵 雲 豈 意 且 發 高 堂 而 暮 沈 丘 隴 
T85n2766_001:0308b03	螻蟻飡其軀骸地獄收其魂魄。於是刀鋒鏃	螻 蟻 飡 其 軀 骸 地 獄 收 其 魂 魄 於 是 刀 鋒 鏃 
T85n2766_001:0308b04	背劍刃穿胸鐵蟒纏腰銅蛇繞骨。長鉗出舌	背 劍 刃 穿 胸 鐵 蟒 纏 腰 銅 蛇 繞 骨 長 鉗 出 舌 
T85n2766_001:0308b05	利釘刺眼。冷氷徹髓熱炭煎皮。遂致觔碎鋸	利 釘 刺 眼 冷 氷 徹 髓 熱 炭 煎 皮 遂 致 觔 碎 鋸 
T85n2766_001:0308b06	齒之間血流磨床之外。或舒五藏於析邊。又	齒 之 間 血 流 磨 床 之 外 或 舒 五 藏 於 析 邊 又 
T85n2766_001:0308b07	懸四支於鉤側。牛頭八角觸肉灰離獄卒四	懸 四 支 於 鉤 側 牛 頭 八 角 觸 肉 灰 離 獄 卒 四 
T85n2766_001:0308b08	牙齒腦糜爛。雖復連年噉鐵不解長飢歷劫	牙 齒 腦 糜 爛 雖 復 連 年 噉 鐵 不 解 長 飢 歷 劫 
T85n2766_001:0308b09	欽銅寧知救永渴。此為此苦。亦實難當發心	欽 銅 寧 知 救 永 渴 此 為 此 苦 亦 實 難 當 發 心 
T85n2766_001:0308b10	自誓行十二願者。依地持論。是發菩提心。發	自 誓 行 十 二 願 者 依 地 持 論 是 發菩提心 發 
T85n2766_001:0308b11	心有四種。一者大悲發心。二者護法發心。三	心 有 四 種 一 者 大 悲 發 心 二 者 護 法 發 心 三 
T85n2766_001:0308b12	者觀身過患發心。四者求最勝果發心。大悲	者 觀 身 過 患 發 心 四 者 求 最 勝 果 發 心 大 悲 
T85n2766_001:0308b13	發心者。觀六道眾生俱有纏縛。以是之故發	發 心 者 觀 六 道 眾 生 俱 有 纏 縛 以 是 之 故 發 
T85n2766_001:0308b14	菩提心。地獄即有受罪之苦。畜生相殘食之	菩 提 心 地 獄 即 有 受 罪 之 苦 畜 生 相 殘 食 之 
T85n2766_001:0308b15	苦。餓鬼即有飢餓之苦。神有闕事之苦。人中	苦 餓 鬼 即 有 飢 餓 之 苦 神 有 闕 事 之 苦 人 中 
T85n2766_001:0308b16	即有求欲之苦。天中有捨報之苦。觀此眾生	即 有 求 欲 之 苦 天 中 有 捨 報 之 苦 觀 此 眾 生 
T85n2766_001:0308b17	俱沒苦海。雖欲求利不知出路。我今發心盡	俱 沒 苦 海 雖 欲 求 利 不 知 出 路 我 今 發 心 盡 
T85n2766_001:0308b18	欲證拔。是名大悲發心　第二護法發心者。	欲 證 拔 是 名 大 悲 發 心 第 二 護 法 發 心 者 
T85n2766_001:0308b19	法有三種。理教行也。法者是常。但時有通塞	法 有 三 種 理 教 行 也 法 者 是 常 但 時 有 通 塞 
T85n2766_001:0308b20	人行藏。或值世陵遲正化漸隱。虛言與賓教	人 行 藏 或 值 世 陵 遲 正 化 漸 隱 虛 言 與 賓 教 
T85n2766_001:0308b21	並流。險逕則與夢途爭徹。眾說紛如異端競	並 流 險 逕 則 與 夢 途 爭 徹 眾 說 紛 如 異 端 競 
T85n2766_001:0308b22	作聖雜逼真正道殆亂。菩薩作是念。我師釋	作 聖 雜 逼 真 正 道 殆 亂 菩 薩 作 是 念 我 師 釋 
T85n2766_001:0308b23	迦如來。於無量阿僧祇劫受諸懃苦。集此法	迦 如 來 於 無量阿僧祇劫 受 諸 懃 苦 集 此 法 
T85n2766_001:0308b24	寶欲使久住於世道利群生。如何一旦將知	寶 欲 使 久 住 於 世 道 利 群 生 如 何 一 旦 將 知 
T85n2766_001:0308b25	沈沒。我今為護法故發菩提心不惜身命。欲	沈 沒 我 今 為 護 法 故 發菩提心 不惜身命 欲 
T85n2766_001:0308b26	使大道隱而更彰悟昏世令諸世間得正見	使 大 道 隱 而 更 彰 悟 昏 世 令 諸 世 間 得 正 見 
T85n2766_001:0308b27	眼。是名菩薩護法發心　第三觀身遇患發	眼 是 名 菩 薩 護 法 發 心 第 三 觀 身 遇 患 發 
T85n2766_001:0308b28	心者。菩薩作是念。我此身者乃是生老病死	心 者 菩 薩 作 是 念 我 此 身 者 乃 是 生老病死 
T85n2766_001:0308b29	之宅。無常苦空之藪。身為受惱之起心為覺	之 宅 無 常 苦 空 之 藪 身 為 受 惱 之 起 心 為 覺 
T85n2766_001:0308c01	苦之主。處胎十月與不淨同居及其生也。則	苦 之 主 處 胎 十 月 與 不 淨 同 居 及 其 生 也 則 
T85n2766_001:0308c02	眾苦所集。或病苦痛切晝夜無聞。或恩愛別	眾 苦 所 集 或 病 苦 痛 切 晝 夜 無 聞 或 恩 愛 別 
T85n2766_001:0308c03	離怨憎合會成所求不得煩琬懊惱。或衣食	離 怨 憎 合 會 成 所 求 不 得 煩 琬 懊 惱 或 衣 食 
T85n2766_001:0308c04	不充。茲茲曉夕略說有八生老病死。恩愛別	不 充 茲 茲 曉 夕 略 說 有 八 生老病死 恩 愛 別 
T85n2766_001:0308c05	離怨憎合會求不得苦五盛陰苦。旋還六道	離 怨 憎 合 會 求不得苦 五 盛 陰 苦 旋 還 六 道 
T85n2766_001:0308c06	受此之苦莫知其齊。若不厭離何由可以我	受 此 之 苦 莫 知 其 齊 若 不 厭 離 何 由 可 以 我 
T85n2766_001:0308c07	今發心此眾苦難離而得離無上聖道難得而	今 發 心 此 眾 苦 難 離 而 得 離 無 上 聖 道 難 得 而 
T85n2766_001:0308c08	得證。是名觀身過患發心　第四求最勝果	得 證 是 名 觀 身 過 患 發 心 第 四 求 最 勝 果 
T85n2766_001:0308c09	發心者。諸佛平等有二種身。一者生身。其足	發 心 者 諸 佛 平 等 有 二 種 身 一 者 生 身 其 足 
T85n2766_001:0308c10	三十二相八十種好。端嚴殊特。世無疇類能	三十二相 八十種好 端 嚴 殊 特 世 無 疇 類 能 
T85n2766_001:0308c11	使惡心眾生見即和悅。豈況聽善之人覩而	使 惡 心 眾 生 見 即 和 悅 豈 況 聽 善 之 人 覩 而 
T85n2766_001:0308c12	無益。二者法身。充滿法界。具足十力四無所	無 益 二 者 法 身 充 滿 法 界 具 足 十 力 四 無 所 
T85n2766_001:0308c13	畏四無礙智十八不共法大慈大悲一切種	畏 四無礙智 十八不共法 大慈大悲 一 切 種 
T85n2766_001:0308c14	智。此者求離生死飢渴寒熱。絕六道之紛羇	智 此 者 求 離 生 死 飢 渴 寒 熱 絕 六 道 之 紛 羇 
T85n2766_001:0308c15	辭五住之煩穢。即是學者之所以折仰發心	辭 五 住 之 煩 穢 即 是 學 者 之 所 以 折 仰 發 心 
T85n2766_001:0308c16	者之玄期良由所捨處輕重。是名求最勝果	者 之 玄 期 良 由 所 捨 處 輕 重 是 名 求 最 勝 果 
T85n2766_001:0308c17	發心也　令一切眾生所求皆得。此下第三	發 心 也 令 一 切 眾 生 所 求 皆 得 此 下 第 三 
T85n2766_001:0308c18	雙結行願也　第一願者。此下正說段中。第	雙 結 行 願 也 第 一 願 者 此 下 正 說 段 中 第 
T85n2766_001:0308c19	二階單廣願亦是去其未得義明佛果。於已	二 階 單 廣 願 亦 是 去 其 未 得 義 明 佛 果 於 已 
T85n2766_001:0308c20	是未有所以願求。就理論行願買是一時所	是 未 有 所 以 願 求 就 理 論 行 願 買 是 一 時 所 
T85n2766_001:0308c21	以人先願後行者理推願先行。據後者何以	以 人 先 願 後 行 者 理 推 願 先 行 據 後 者 何 以 
T85n2766_001:0308c22	知之。常言願為慕廓行則闐滿故明願先行	知 之 常 言 願 為 慕 廓 行 則 闐 滿 故 明 願 先 行 
T85n2766_001:0308c23	在後也。就明願中大分為二。第一出願體。第	在 後 也 就 明 願 中 大 分 為 二 第 一 出 願 體 第 
T85n2766_001:0308c24	二結願令買。後就初明願中凡十二願。今為	二 結 願 令 買 後 就 初 明 願 中 凡 十 二 願 今 為 
T85n2766_001:0308c25	六雙。初上求佛果為一雙。第二功德智慧為	六 雙 初 上 求 佛 果 為 一 雙 第 二 功 德 智 慧 為 
T85n2766_001:0308c26	一雙。第三自行化他為一雙。第四就慈悲體	一 雙 第 三 自 行 化 他 為 一 雙 第 四 就 慈 悲 體 
T85n2766_001:0308c27	為一雙。第五制大魔化外道為一雙。第六就	為 一 雙 第 五 制 大 魔 化 外 道 為 一 雙 第 六 就 
T85n2766_001:0308c28	慈悲境為一雙也。今置後就初一雙中不自	慈 悲 境 為 一 雙 也 今 置 後 就 初 一 雙 中 不 自 
T85n2766_001:0308c29	分別以為兩異。何者初願願作穢土佛身。第	分 別 以 為 兩 異 何 者 初 願 願 作 穢 土 佛 身 第 
T85n2766_001:0309a01	二願願作淨土佛身。此二願是菩提善善報	二 願 願 作 淨 土 佛 身 此 二 願 是 菩 提 善 善 報 
T85n2766_001:0309a02	果身。就初求穢土身中復分為三。第一標數。	果 身 就 初 求 穢 土 身 中 復 分 為 三 第 一 標 數 
T85n2766_001:0309a03	第二興願。第三迴施眾生也。第一願者第標	第 二 興 願 第 三 迴 施 眾 生 也 第 一 願 者 第 標 
T85n2766_001:0309a04	數也使我來世。第二興願令一切眾生如我	數 也 使 我 來 世 第 二 興 願 令 一 切 眾 生 如 我 
T85n2766_001:0309a05	無異。第三迴施眾生也。第二願者。此一願願	無 異 第 三 迴 施 眾 生 也 第 二 願 者 此 一 願 願 
T85n2766_001:0309a06	作淨土佛身。就此願中凡有三別。第一標數。	作 淨 土 佛 身 就 此 願 中 凡 有 三 別 第 一 標 數 
T85n2766_001:0309a07	第二興願。第三施與眾生。第二願者。初標數	第 二 興 願 第 三 施 與 眾 生 第 二 願 者 初 標 數 
T85n2766_001:0309a08	使我來世第興願。就興願中復分為二。初第	使 我 來 世 第 興 願 就 興 願 中 復 分 為 二 初 第 
T85n2766_001:0309a09	一求未來報果。第二求未來習果也。自身猶	一 求 未 來 報 果 第 二 求 未 來 習 果 也 自 身 猶 
T85n2766_001:0309a10	如瑠璃淨無瑕穢。豈非淨土身。夫瑠璃之體	如 瑠 璃 淨 無 瑕 穢 豈 非 淨 土 身 夫 瑠 璃 之 體 
T85n2766_001:0309a11	淨。若無形像淨土之身有虛無之身無極之	淨 若 無 形 像 淨 土 之 身 有 虛 無 之 身 無 極 之 
T85n2766_001:0309a12	體也。功德魏魏。此第二明菩提善習果也。如	體 也 功 德 魏 魏 此 第 二 明 菩 提 善 習 果 也 如 
T85n2766_001:0309a13	日照世明智慧習果也。幽冥眾生悉蒙開曉。	日 照 世 明 智 慧 習 果 也 幽 冥 眾 生 悉 蒙 開 曉 
T85n2766_001:0309a14	第三下施眾生也。第三願者。此一雙明福德	第 三 下 施 眾 生 也 第 三 願 者 此 一 雙 明 福 德 
T85n2766_001:0309a15	莊嚴智慧。是其智慧莊嚴。此二莊嚴廣如別	莊 嚴 智 慧 是 其 智慧莊嚴 此 二 莊 嚴 廣 如 別 
T85n2766_001:0309a16	章。此應具論。然今且可釋其名字。其功德	章 此 應 具 論 然 今 且 可 釋 其 名 字 其 功 德 
T85n2766_001:0309a17	者亦名福德。福謂福利。善能資閏。福利行人	者 亦 名 福 德 福 謂 福 利 善 能 資 閏 福 利 行 人 
T85n2766_001:0309a18	故名為福。此福是其善行處德故名福德。如	故 名 為 福 此 福 是 其 善 行 處 德 故 名 福 德 如 
T85n2766_001:0309a19	清冷等是水家德。功謂功能。善有資閏利益	清 冷 等 是 水 家 德 功 謂 功 能 善 有 資 閏 利 益 
T85n2766_001:0309a20	之功故名為功。此功還是善行處德故名功	之 功 故 名 為 功 此 功 還 是 善 行 處 德 故 名 功 
T85n2766_001:0309a21	德。言智慧者依如毘曇決斷名智。對諸忍故。	德 言 智 慧 者 依 如 毘 曇 決 斷 名 智 對 諸 忍 故 
T85n2766_001:0309a22	若依成實。無著名智別想識故。通相以論知	若 依 成 實 無 著 名 智 別 想 識 故 通 相 以 論 知 
T85n2766_001:0309a23	法名智。觀達秤惠。此智與慧通釋一物隨義	法 名 智 觀 達 秤 惠 此 智 與 慧 通 釋 一 物 隨 義 
T85n2766_001:0309a24	別分非無差異。具相如何。依如地持知世諦	別 分 非 無 差 異 具 相 如 何 依 如 地 持 知 世 諦 
T85n2766_001:0309a25	者。名之為智。知第一義記以為惠。故彼之	者 名 之 為 智 知 第 一 義 記 以 為 惠 故 彼 之 
T85n2766_001:0309a26	言於一切法部分知者名智波羅蜜。於第一	言 於一切法 部 分 知 者 名 智波羅蜜 於 第 一 
T85n2766_001:0309a27	義開覺名波若波羅蜜。涅槃亦然。若依地論	義 開 覺 名 波 若 波 羅 蜜 涅 槃 亦 然 若 依 地 論 
T85n2766_001:0309a28	證第一義名隨智者。了達教法名隨惠者。皆	證 第 一 義 名 隨 智 者 了 達 教 法 名 隨 惠 者 皆 
T85n2766_001:0309a29	得無傷。此二經中名為莊嚴。亦名律儀。亦曰	得 無 傷 此 二 經 中 名 為 莊 嚴 亦 名 律 儀 亦 曰 
T85n2766_001:0309b01	助法。亦復說之為菩提。具言莊嚴者。如涅	助 法 亦 復 說 之 為 菩 提 具 言 莊 嚴 者 如 涅 
T85n2766_001:0309b02	槃說。能嚴行人故曰莊嚴。又復諸行共相莊	槃 說 能 嚴 行 人 故 曰 莊 嚴 又 復 諸 行 共 相 莊 
T85n2766_001:0309b03	飾亦曰莊嚴。如莊嚴具眾寶間錯。言律儀者。	飾 亦 曰 莊 嚴 如 莊 嚴 具 眾 寶 間 錯 言 律 儀 者 
T85n2766_001:0309b04	如地持說。此二內調故名為律。合法　秤儀。	如 地 持 說 此 二 內 調 故 名 為 律 合 法 秤 儀 
T85n2766_001:0309b05	言助法者。望果為言資順菩提故云助法。能	言 助 法 者 望 果 為 言 資 順 菩 提 故 云 助 法 能 
T85n2766_001:0309b06	為佛因故。復說之為菩提。具使我來世佛道	為 佛 因 故 復 說 之 為 菩 提 具 使 我 來 世 佛 道 
T85n2766_001:0309b07	成就。第一願求佛道魏魏堂堂。第二願成佛	成 就 第 一 願 求 佛 道 魏 魏 堂 堂 第 二 願 成 佛 
T85n2766_001:0309b08	已功德智慧之所莊嚴也云魏魏堂堂。此明	已 功 德 智 慧 之 所 莊 嚴 也 云 魏 魏 堂 堂 此 明 
T85n2766_001:0309b09	福德莊嚴明照世界。此四字辯智慧莊行者。	福德莊嚴 明 照 世 界 此 四 字 辯 智 慧 莊 行 者 
T85n2766_001:0309b10	見道第三下施眾生也。第五願者此下兩段。	見 道 第 三 下 施 眾 生 也 第 五 願 者 此 下 兩 段 
T85n2766_001:0309b11	自行化他以為一雙。初先自行。就明自行中	自 行 化 他 以 為 一 雙 初 先 自 行 就 明 自 行 中 
T85n2766_001:0309b12	但有兩段。第一標數。第二興願也。第五願	但 有 兩 段 第 一 標 數 第 二 興 願 也 第 五 願 
T85n2766_001:0309b13	者。第一標數。發大精進。第二興願。精進者	者 第 一 標 數 發大精進 第 二 興 願 精 進 者 
T85n2766_001:0309b14	昔有大杯樹多諸禽獸野火來燒三邊俱起。	昔 有 大 杯 樹 多 諸 禽 獸 野 火 來 燒 三 邊 俱 起 
T85n2766_001:0309b15	唯有一邊而隔一水眾獸窮逼逃命無地。我	唯 有 一 邊 而 隔 一 水 眾 獸 窮 逼 逃 命 無 地 我 
T85n2766_001:0309b16	爾時為大身多力鹿。以前脚跨一岸。以後脚	爾 時 為 大 身 多 力 鹿 以 前 脚 跨 一 岸 以 後 脚 
T85n2766_001:0309b17	距一岸。令眾獸蹈背上而度。皮肉盡壞。以慈	距 一 岸 令 眾 獸 蹈 背 上 而 度 皮 肉 盡 壞 以 慈 
T85n2766_001:0309b18	愍力忍之。至死最後。一兔來氣力以竭自強	愍 力 忍 之 至 死 最 後 一 兔 來 氣 力 以 竭 自 強 
T85n2766_001:0309b19	怒力。令得過之。背折墮水而死　就此願中分	怒 力 令 得 過 之 背 折 墮 水 而 死 就 此 願 中 分 
T85n2766_001:0309b20	為二別。初明持戒之始第二明持戒之終。發	為 二 別 初 明 持 戒 之 始 第 二 明 持 戒 之 終 發 
T85n2766_001:0309b21	心自誓明持戒之始。所以名戒為地者。經言	心 自 誓 明 持 戒 之 始 所 以 名 戒 為 地 者 經 言 
T85n2766_001:0309b22	或為平地能生眾善經戒不犯。此明持戒之	或 為 平 地 能 生 眾 善 經 戒 不 犯 此 明 持 戒 之 
T85n2766_001:0309b23	終也。第六願者。此明外化盲聾眾生。盲者	終 也 第 六 願 者 此 明 外 化 盲 聾 眾 生 盲 者 
T85n2766_001:0309b24	先世重罪。若破眾生眼。若出眾生眼。若破正	先 世 重 罪 若 破 眾 生 眼 若 出 眾 生 眼 若 破 正 
T85n2766_001:0309b25	見眼故。盲盜塔中珠火燈明亦盲。聾者何因	見 眼 故 盲 盜 塔 中 珠 火 燈 明 亦 盲 聾 者 何 因 
T85n2766_001:0309b26	緣故聾。答曰師文教訓不受不行而返瞋恚	緣 故 聾 答 曰 師 文 教 訓 不 受 不 行 而 返 瞋 恚 
T85n2766_001:0309b27	故聾。復次截眾生耳破眾生耳。若盜佛塔僧	故 聾 復 次 截 眾 生 耳 破 眾 生 耳 若 盜 佛 塔 僧 
T85n2766_001:0309b28	塔中物。及揵推鈴故得聾。啞者先世截他舌	塔 中 物 及 揵 推 鈴 故 得 聾 啞 者 先 世 截 他 舌 
T85n2766_001:0309b29	或塞其口。或與惡藥令不能語。或聞師教父	或 塞 其 口 或 與 惡 藥 令 不 能 語 或 聞 師 教 父 
T85n2766_001:0309c01	母語而不用言噵非故啞。狂者破他坐禪人	母 語 而 不 用 言 噵 非 故 啞 狂 者 破 他 坐 禪 人 
T85n2766_001:0309c02	破坐禪人含。如婆羅門失稻田其婦復死即	破 坐 禪 人 含 如 婆 羅 門 失 稻 田 其 婦 復 死 即 
T85n2766_001:0309c03	時狂教裸形而走。又如翅舍伽憍曇比丘尼。	時 狂 教 裸 形 而 走 又 如 翅 舍 伽 憍 曇 比 丘 尼 
T85n2766_001:0309c04	本白衣時七子皆死。大憂愁故失心狂發裸	本 白 衣 時 七 子 皆 死 大 憂 愁 故 失 心 狂 發 裸 
T85n2766_001:0309c05	者。問曰先言狂者得正今言裸者得衣除狂	者 問 曰 先 言 狂 者 得 正 今 言 裸 者 得 衣 除 狂 
T85n2766_001:0309c06	云何更有裸。答曰狂有二種。一者人皆知狂。	云 何 更 有 裸 答 曰 狂 有 二 種 一 者 人 皆 知 狂 
T85n2766_001:0309c07	二者惡邪故自裸人不知狂。如說南天竺國	二 者 惡 邪 故 自 裸 人 不 知 狂 如 說 南 天 竺 國 
T85n2766_001:0309c08	中有法師。高坐說五戒義。眾生多有外道來	中 有 法 師 高 坐 說 五 戒 義 眾 生 多 有 外 道 來 
T85n2766_001:0309c09	聽。是國王難曰。若如所說。有人施酒及自飲	聽 是 國 王 難 曰 若 如 所 說 有 人 施 酒 及 自 飲 
T85n2766_001:0309c10	酒得癡狂愚報。當今世人應狂者多正者少。	酒 得 癡 狂 愚 報 當 今 世 人 應 狂 者 多 正 者 少 
T85n2766_001:0309c11	而今狂者便少不狂者多。何以故爾。是時諸	而 今 狂 者 便 少 不 狂 者 多 何 以 故 爾 是 時 諸 
T85n2766_001:0309c12	外道輩言。善哉斯難甚深。是死禿高聲坐必	外 道 輩 言 善 哉 斯 難 甚 深 是 死 禿 高 聲 坐 必 
T85n2766_001:0309c13	不能答。以王利智故。是時法師以指指諸外	不 能 答 以 王 利 智 故 是 時 法 師 以 指 指 諸 外 
T85n2766_001:0309c14	道而更說飾餘事。王時即解諸外道語　諸外	道 而 更 說 飾 餘 事 王 時 即 解 諸 外 道 語 諸 外 
T85n2766_001:0309c15	道語王言。王難甚深。是不知答。恥所不知。	道 語 王 言 王 難 甚 深 是 不 知 答 恥 所 不 知 
T85n2766_001:0309c16	而但舉指更說餘事。王語外道高坐指答以	而 但 舉 指 更 說 餘 事 王 語 外 道 高 坐 指 答 以 
T85n2766_001:0309c17	訖持護汝故。不以言說而者指汝言汝等是	訖 持 護 汝 故 不 以 言 說 而 者 指 汝 言 汝 等 是 
T85n2766_001:0309c18	狂狂不少也。汝等以灰塗身俱形無恥。以人	狂 狂 不 少 也 汝 等 以 灰 塗 身 俱 形 無 恥 以 人 
T85n2766_001:0309c19	髑髏盛糞而食。拔頭髮臥刺上到懸勳鼻冬	髑 髏 盛 糞 而 食 拔 頭 髮 臥 刺 上 到 懸 勳 鼻 冬 
T85n2766_001:0309c20	則入水夏則火炙。如是種種所行非道皆是	則 入 水 夏 則 火 炙 如 是 種 種 所 行 非 道 皆 是 
T85n2766_001:0309c21	狂相。即是法師將護汝故指而不說。是名為	狂 相 即 是 法 師 將 護 汝 故 指 而 不 說 是 名 為 
T85n2766_001:0309c22	裸形狂。依如經論人之所行一不得少。昔有	裸 形 狂 依 如 經 論 人 之 所 行 一 不 得 少 昔 有 
T85n2766_001:0309c23	兄弟二人出家求道。一人持戒誦經坐禪。一	兄 弟 二 人 出 家 求 道 一 人 持 戒 誦 經 坐 禪 一 
T85n2766_001:0309c24	人廣求檀越修諸福業。至釋迦牟尼佛出世。	人 廣 求 檀 越 修 諸 福 業 至 釋 迦 牟 尼 佛 出 世 
T85n2766_001:0309c25	一人生長者家。一人作大白象力能破賊。長	一 人 生 長 者 家 一 人 作 大 白 象 力 能 破 賊 長 
T85n2766_001:0309c26	者出家學道得六神通。阿羅漢而以薄福乞	者 出家學道 得 六 神 通 阿 羅 漢 而 以 薄 福 乞 
T85n2766_001:0309c27	食難得。他日持鉢城乞食遍不能得到白象	食 難 得 他 日 持 鉢 城 乞 食 遍 不 能 得 到 白 象 
T85n2766_001:0309c28	廐見王供。象種種豐足。語此象言。我之與	廐 見 王 供 象 種 種 豐 足 語 此 象 言 我 之 與 
T85n2766_001:0309c29	汝俱是有罪逼。象即感結三日不食。守象人	汝 俱 是 有 罪 逼 象 即 感 結 三 日 不 食 守 象 人 
T85n2766_001:0310a01	怖求覓道人見而問言。汝作何術令王白象	怖 求 覓 道 人 見 而 問 言 汝 作 何 術 令 王 白 象 
T85n2766_001:0310a02	病不能食。答曰。此象是我先身時弟。共於迦	病 不 能 食 答 曰 此 象 是 我 先 身 時 弟 共 於 迦 
T85n2766_001:0310a03	葉佛時出家求道。我但持戒誦經坐禪不行	葉 佛 時 出 家 求 道 我 但 持 戒 誦 經 坐 禪 不 行 
T85n2766_001:0310a04	布施。弟但廣求檀越作諸福業布施不持戒	布 施 弟 但 廣 求 檀 越 作 諸 福 業 布 施 不 持 戒 
T85n2766_001:0310a05	不學。問以其不持戒誦經坐禪故今作此象。	不 學 問 以 其 不 持 戒 誦 經 坐 禪 故 今 作 此 象 
T85n2766_001:0310a06	大修布施故飲食備具種種豐足。我但行道	大 修 布 施 故 飲 食 備 具 種 種 豐 足 我 但 行 道 
T85n2766_001:0310a07	不修布施故。今雖得道乞食不能得。以是事	不 修 布 施 故 今 雖 得 道 乞 食 不 能 得 以 是 事 
T85n2766_001:0310a08	故因緣不同。病得愈者。病有二。一者內病	故 因 緣 不 同 病 得 愈 者 病 有 二 一 者 內 病 
T85n2766_001:0310a09	五藏不調結臥宿疹。二者外病奔者逸馬推押	五 藏 不 調 結 臥 宿 疹 二 者 外 病 奔 者 逸 馬 推 押 
T85n2766_001:0310a10	墮落兵刃刀杖種種諸病。亦有先業病者。問	墮 落 兵 刃 刀 杖 種 種 諸 病 亦 有 先 業 病 者 問 
T85n2766_001:0310a11	曰。以何因緣得病。答曰。先世好行鞭杖考掠	曰 以何因緣 得 病 答 曰 先 世 好 行 鞭 杖 考 掠 
T85n2766_001:0310a12	繫閉種種惱故。今世得病現世病不知將身	繫 閉 種 種 惱 故 今 世 得 病 現 世 病 不 知 將 身 
T85n2766_001:0310a13	飲食不節臥起無常。以是事故得種種病。如	飲 食 不 節 臥 起 無 常 以 是 事 故 得 種 種 病 如 
T85n2766_001:0310a14	是有四百四病。以佛神力故令病者得愈	是 有 四 百 四 病 以佛神力 故 令 病 者 得 愈 
T85n2766_001:0310a15	　形殘者得具足。云何名形殘。若有人先世破	 形 殘 者 得 具 足 云 何 名 形 殘 若 有 人 先 世 破 
T85n2766_001:0310a16	他身截其頭截手足。或破佛像及父母像故。	他 身 截 其 頭 截 手 足 或 破 佛 像 及 父 母 像 故 
T85n2766_001:0310a17	形殘不具足蒙佛大恩。皆得具足。譬如祇桓	形 殘 不 具 足 蒙 佛 大 恩 皆 得 具 足 譬 如 祇 桓 
T85n2766_001:0310a18	中如字揵極。秦言是波斯匿王。兄子端正勇	中 如 字 揵 極 秦 言 是 波 斯 匿 王 兄 子 端 正 勇 
