T48n2003_001:0139a03	碧巖錄序	碧 巖 錄 序 
T48n2003_002:0157b02	會也。門云。何不向上道將來。又住三年。雲門	會 也 門 云 何 不 向 上 道 將 來 又 住 三 年 雲 門 
T48n2003_002:0157b03	室中。垂大機辯。多半為他遠侍者。隨處入作。	室 中 垂 大 機 辯 多 半 為 他 遠 侍 者 隨 處 入 作 
T48n2003_002:0157b04	雲門凡有一言一句。都收在遠侍者處。香林	雲 門 凡 有 一 言 一 句 都 收 在 遠 侍 者 處 香 林 
T48n2003_002:0157b05	後歸蜀。初住導江水晶宮。後住青城香林。智	後 歸 蜀 初 住 導 江 水 晶 宮 後 住 青 城 香 林 智 
T48n2003_002:0157b06	門祚和尚。本浙人。盛聞香林道化。特來入蜀	門 祚 和 尚 本 浙 人 盛 聞 香 林 道 化 特 來 入 蜀 
T48n2003_002:0157b07	參禮。祚乃雪竇師也。雲門雖接人無數。當代	參 禮 祚 乃 雪 竇 師 也 雲 門 雖 接 人 無 數 當 代 
T48n2003_002:0157b08	道行者。只香林一派最盛。歸川住院四十年。	道 行 者 只 香 林 一 派 最 盛 歸 川 住 院 四 十 年 
T48n2003_002:0157b09	八十歲方遷化。嘗云。我四十年。方打成一片。	八 十 歲 方 遷 化 嘗 云 我 四 十 年 方 打 成 一 片 
T48n2003_002:0157b10	凡示眾云。大凡行脚。參尋知識。要帶眼行。須	凡 示 眾 云 大 凡 行 脚 參 尋 知 識 要 帶 眼 行 須 
T48n2003_002:0157b11	分緇素。看淺深始得。先須立志。而釋迦老子。	分 緇 素 看 淺 深 始 得 先 須 立 志 而 釋 迦 老 子 
T48n2003_002:0157b12	在因地時。發一言一念。皆是立志。後來僧問。	在 因 地 時 發 一 言 一 念 皆 是 立 志 後 來 僧 問 
T48n2003_002:0157b13	如何是室內一盞燈。林云。三人證龜成鼈。又	如 何 是 室 內 一 盞 燈 林 云 三 人 證 龜 成 鼈 又 
T48n2003_002:0157b14	問。如何是衲衣下事。林云。臘月火燒山。古來	問 如 何 是 衲 衣 下 事 林 云 臘 月 火 燒 山 古 來 
T48n2003_002:0157b15	答祖師意甚多。唯香林此一則坐斷天下人	答 祖 師 意 甚 多 唯 香 林 此 一 則 坐 斷 天 下 人 
T48n2003_002:0157b16	舌頭。無爾計較作道理處。僧問。如何是祖	舌 頭 無 爾 計 較 作 道 理 處 僧 問 如 何 是 祖 
T48n2003_002:0157b17	師西來意。林云。坐久成勞。可謂言無味句無	師 西 來 意 林 云 坐 久 成 勞 可 謂 言 無 味 句 無 
T48n2003_002:0157b18	味。無味之談。塞斷人口。無爾出氣處。要見便	味 無 味 之 談 塞 斷 人 口 無 爾 出 氣 處 要 見 便 
T48n2003_002:0157b19	見。若不見切忌作解會。香林曾遇作家來。所	見 若 不 見 切 忌 作 解 會 香 林 曾 遇 作 家 來 所 
T48n2003_002:0157b20	以有雲門手段。有三句體調。人多錯會道。祖	以 有 雲 門 手 段 有 三 句 體 調 人 多 錯 會 道 祖 
T48n2003_002:0157b21	師西來。九年面壁。豈不是坐久成勞。有什麼	師 西 來 九 年 面 壁 豈 不 是 坐 久 成 勞 有 什 麼 
T48n2003_002:0157b22	巴鼻。不見他古人得大自在處。他是脚踏實	巴 鼻 不 見 他 古 人 得 大 自 在 處 他 是 脚 踏 實 
T48n2003_002:0157b23	地。無許多佛法知見道理。臨時應用。所謂法	地 無 許 多 佛 法 知 見 道 理 臨 時 應 用 所 謂 法 
T48n2003_002:0157b24	隨法行。法幢隨處建立。雪竇因風吹火。傍指	隨 法 行 法 幢 隨 處 建 立 雪 竇 因 風 吹 火 傍 指 
T48n2003_002:0157b25	出一箇半箇。	出 一 箇 半 箇 
T48n2003_002:0157b26	一箇兩箇千萬箇(何不依而行之。如麻似粟。成群作隊作什麼)　脫却籠	一 箇 兩 箇 千 萬 箇 何 不 依 而 行 之 如 麻 似 粟 成 群 作 隊 作 什 麼 脫 却 籠 
T48n2003_002:0157b27	頭卸角馱(從今日去應須灑灑落落。還休得也未)　　左轉右轉隨後來	頭 卸 角 馱 從 今 日 去 應 須 灑 灑 落 落 還 休 得 也 未 左 轉 右 轉 隨 後 來 
T48n2003_002:0157b28	(猶自放不下。影影響響。便打)　　紫胡要打劉鐵磨(山僧拗折拄杖子。更不行此	 猶 自 放 不 下 影 影 響 響 便 打 紫 胡 要 打 劉 鐵 磨 山 僧 拗 折 拄 杖 子 更 不 行 此 
T48n2003_002:0157b29	令。賊過後張弓。便打。嶮)	令 賊 過 後 張 弓 便 打 嶮 
T48n2003_002:0157c01	雪竇直下如擊石火。似閃電光。拶出放教爾	雪 竇 直 下 如 擊 石 火 似 閃 電 光 拶 出 放 教 爾 
T48n2003_002:0157c02	見。聊聞舉著便會始得。也不妨是他屋裏兒	見 聊 聞 舉 著 便 會 始 得 也 不 妨 是 他 屋 裏 兒 
T48n2003_002:0157c03	孫。方能恁麼道。若能直下便恁麼會去。不妨	孫 方 能 恁 麼 道 若 能 直 下 便 恁 麼 會 去 不 妨 
T48n2003_002:0157c04	奇特。一箇兩箇千萬箇。脫却籠頭卸角馱。灑	奇 特 一 箇 兩 箇 千 萬 箇 脫 却 籠 頭 卸 角 馱 灑 
T48n2003_002:0157c05	灑落落。不被生死所染。不被聖凡情解所縛。	灑 落 落 不 被 生 死 所 染 不 被 聖 凡 情 解 所 縛 
T48n2003_002:0157c06	上無攀仰。下絕已躬。一如他香林雪竄相似。	上 無 攀 仰 下 絕 已 躬 一 如 他 香 林 雪 竄 相 似 
T48n2003_002:0157c07	何止只是千萬箇。直得盡大地人。悉皆如此。	何 止 只 是 千 萬 箇 直 得 盡 大 地 人 悉 皆 如 此 
T48n2003_002:0157c08	前佛後佛。也悉皆如此。苟或於言句中作解	前 佛 後 佛 也 悉 皆 如 此 苟 或 於 言 句 中 作 解 
T48n2003_002:0157c09	會。便似紫胡要打劉鐵磨相似。其實纔舉。和	會 便 似 紫 胡 要 打 劉 鐵 磨 相 似 其 實 纔 舉 和 
T48n2003_002:0157c10	聲便打。紫胡參南泉。與趙州岑大蟲同參。時	聲 便 打 紫 胡 參 南 泉 與 趙 州 岑 大 蟲 同 參 時 
T48n2003_002:0157c11	劉鐵磨在溈山下卓庵。諸方皆不柰何他。一	劉 鐵 磨 在 溈 山 下 卓 庵 諸 方 皆 不 柰 何 他 一 
T48n2003_002:0157c12	日紫胡得得去訪云。莫便是劉鐵磨否。磨云。	日 紫 胡 得 得 去 訪 云 莫 便 是 劉 鐵 磨 否 磨 云 
T48n2003_002:0157c13	不敢。胡云。左轉右轉。磨云。和尚莫顛倒。胡	不 敢 胡 云 左 轉 右 轉 磨 云 和 尚 莫 顛 倒 胡 
T48n2003_002:0157c14	和聲便打。香林答這僧問如何是祖師西來	和 聲 便 打 香 林 答 這 僧 問 如 何 是 祖 師 西 來 
T48n2003_002:0157c15	意。却云。坐久成勞。若恁麼會得。左轉右轉隨	意 却 云 坐 久 成 勞 若 恁 麼 會 得 左 轉 右 轉 隨 
T48n2003_002:0157c16	後來也。且道雪竇如此頌出。意作麼生。無事	後 來 也 且 道 雪 竇 如 此 頌 出 意 作 麼 生 無 事 
T48n2003_002:0157c17	好。試請舉看。	好 試 請 舉 看 
T48n2003_002:0157c18	【一八】舉。肅宗皇帝(本是代宗此誤)問忠國師。百年後所	 一 八 舉 肅 宗 皇 帝 本 是 代 宗 此 誤 問 忠 國 師 百 年 後 所 
T48n2003_002:0157c19	須何物(預搔待痒。果然起模畫樣。老老大大作這去就。不可指東作西)國師云。與	須 何 物 預 搔 待 痒 果 然 起 模 畫 樣 老 老 大 大 作 這 去 就 不 可 指 東 作 西 國 師 云 與 
T48n2003_002:0157c20	老僧作箇無縫塔(把不住)帝曰。請師塔樣(好與一剳)	老 僧 作 箇 無 縫 塔 把 不 住 帝 曰 請 師 塔 樣 好 與 一 剳 
T48n2003_002:0157c21	國師良久云。會麼(停囚長智。直得指東劃西。將南作北。直得口似匾檐)	國 師 良 久 云 會 麼 停 囚 長 智 直 得 指 東 劃 西 將 南 作 北 直 得 口 似 匾 檐 
T48n2003_002:0157c22	帝云。不會(賴值不會。當時更與一拶。教伊滿口含霜。却較些子)國師云。	帝 云 不 會 賴 值 不 會 當 時 更 與 一 拶 教 伊 滿 口 含 霜 却 較 些 子 國 師 云 
T48n2003_002:0157c23	吾有付法弟子耽源。却諳此事。請詔問之	吾 有 付 法 弟 子 耽 源 却 諳 此 事 請 詔 問 之 
T48n2003_002:0157c24	(賴值不掀倒禪床。何不與他本分草料。莫搽胡人好。放過一著)國師遷化後(可。惜	 賴 值 不 掀 倒 禪 床 何 不 與 他 本 分 草 料 莫 搽 胡 人 好 放 過 一 著 國 師 遷 化 後 可 惜 
T48n2003_002:0157c25	果然錯認定盤星)帝詔耽源。問此意如何(子承父業去也。落在第	果 然 錯 認 定 盤 星 帝 詔 耽 源 問 此 意 如 何 子 承 父 業 去 也 落 在 第 
T48n2003_002:0157c26	二頭第三頭)源云。湘之南潭之北(也是把不住。兩兩三三作什麼。半開	二 頭 第 三 頭 源 云 湘 之 南 潭 之 北 也 是 把 不 住 兩 兩 三 三 作 什 麼 半 開 
T48n2003_002:0157c27	半合)雪竇著語云。獨掌不浪鳴(一盲引眾盲。果然隨語生解。隨	半 合 雪 竇 著 語 云 獨 掌 不 浪 鳴 一 盲 引 眾 盲 果 然 隨 語 生 解 隨 
T48n2003_002:0157c28	邪逐惡作什麼)中有黃金。充一國(上是天下是地。無這箇消息。是誰分上事)	邪 逐 惡 作 什 麼 中 有 黃 金 充 一 國 上 是 天 下 是 地 無 這 箇 消 息 是 誰 分 上 事 
T48n2003_002:0158a01	雪竇著語云。山形拄杖子(拗折了也。也是起模畫樣)無影	雪 竇 著 語 云 山 形 拄 杖 子 拗 折 了 也 也 是 起 模 畫 樣 無 影 
T48n2003_002:0158a02	樹下合同船(祖師喪了也。闍黎道什麼)雪竇著語云。海晏	樹 下 合 同 船 祖 師 喪 了 也 闍 黎 道 什 麼 雪 竇 著 語 云 海 晏 
T48n2003_002:0158a03	河清(洪波浩渺白浪滔天。猶較些子)瑠璃殿上無知識(咄)雪	河 清 洪 波 浩 渺 白 浪 滔 天 猶 較 些 子 瑠 璃 殿 上 無 知 識 咄 雪 
T48n2003_002:0158a04	竇著語云。拈了也(賊過後張弓。言猶在耳)。	竇 著 語 云 拈 了 也 賊 過 後 張 弓 言 猶 在 耳 
T48n2003_002:0158a05	肅宗代宗。皆玄宗之子孫。為太子時。常愛參	肅 宗 代 宗 皆 玄 宗 之 子 孫 為 太 子 時 常 愛 參 
T48n2003_002:0158a06	禪。為國有巨盜。玄宗遂幸蜀。唐本都長安。為	禪 為 國 有 巨 盜 玄 宗 遂 幸 蜀 唐 本 都 長 安 為 
T48n2003_002:0158a07	安祿山僣據。後都洛陽。肅宗攝政。是時忠國	安 祿 山 僣 據 後 都 洛 陽 肅 宗 攝 政 是 時 忠 國 
T48n2003_002:0158a08	師。在鄧州白崖山住庵。今香嚴道場是也。四	師 在 鄧 州 白 崖 山 住 庵 今 香 嚴 道 場 是 也 四 
T48n2003_002:0158a09	十餘年不下山。道行聞于帝里。上元二年勅	十 餘 年 不 下 山 道 行 聞 于 帝 里 上 元 二 年 勅 
T48n2003_002:0158a10	中使。詔入內。待以師禮。甚敬重之。甞與帝演	中 使 詔 入 內 待 以 師 禮 甚 敬 重 之 甞 與 帝 演 
T48n2003_002:0158a11	無上道。師退朝。帝自攀車而送之。朝臣皆有	無 上 道 師 退 朝 帝 自 攀 車 而 送 之 朝 臣 皆 有 
T48n2003_002:0158a12	慍色。欲奏其不便。國師具他心通。而先見	慍 色 欲 奏 其 不 便 國 師 具 他 心 通 而 先 見 
T48n2003_002:0158a13	聖奏曰。我在天帝釋前。見粟散天子。如閃電	聖 奏 曰 我 在 天 帝 釋 前 見 粟 散 天 子 如 閃 電 
T48n2003_002:0158a14	光相似。帝愈加敬重。及代宗臨御。復延止光	光 相 似 帝 愈 加 敬 重 及 代 宗 臨 御 復 延 止 光 
T48n2003_002:0158a15	宅寺。十有六載。隨機說法。至大曆十年。遷	宅 寺 十 有 六 載 隨 機 說 法 至 大 曆 十 年 遷 
T48n2003_002:0158a16	化。山南府青銼山和尚。昔與國師同行。國師	化 山 南 府 青 銼 山 和 尚 昔 與 國 師 同 行 國 師 
T48n2003_002:0158a17	甞奏帝令詔他。三詔不起。常罵國師耽名愛	甞 奏 帝 令 詔 他 三 詔 不 起 常 罵 國 師 耽 名 愛 
T48n2003_002:0158a18	利。戀著人間。國師於他父于三朝中。為國師。	利 戀 著 人 間 國 師 於 他 父 于 三 朝 中 為 國 師 
T48n2003_002:0158a19	他家父子。一時參禪。據傳燈錄所考。此乃是	他 家 父 子 一 時 參 禪 據 傳 燈 錄 所 考 此 乃 是 
T48n2003_002:0158a20	代宗設問。若是問國師如何是十身調御。此	代 宗 設 問 若 是 問 國 師 如 何 是 十 身 調 御 此 
T48n2003_002:0158a21	却是肅宗問也。國師緣終。將入涅槃。乃辭代	却 是 肅 宗 問 也 國 師 緣 終 將 入 涅 槃 乃 辭 代 
T48n2003_002:0158a22	宗。代宗問曰。國師百年後。所須何物。也只是	宗 代 宗 問 曰 國 師 百 年 後 所 須 何 物 也 只 是 
T48n2003_002:0158a23	平常一箇問端。這老漢無風起浪。却道與老	平 常 一 箇 問 端 這 老 漢 無 風 起 浪 却 道 與 老 
T48n2003_002:0158a24	僧造箇無縫塔。且道白日青天如此作什麼。	僧 造 箇 無 縫 塔 且 道 白 日 青 天 如 此 作 什 麼 
T48n2003_002:0158a25	做箇塔便了。為什麼却道。做箇無縫塔。代宗	做 箇 塔 便 了 為 什 麼 却 道 做 箇 無 縫 塔 代 宗 
T48n2003_002:0158a26	也不妨作家。與爾一拶道。請師塔樣。國師良	也 不 妨 作 家 與 爾 一 拶 道 請 師 塔 樣 國 師 良 
T48n2003_002:0158a27	久云。會麼。奇怪這些子。最是難參。大小大國	久 云 會 麼 奇 怪 這 些 子 最 是 難 參 大 小 大 國 
T48n2003_002:0158a28	師。被他一拶。直得口似匾檐。然雖如此。若不	師 被 他 一 拶 直 得 口 似 匾 檐 然 雖 如 此 若 不 
T48n2003_002:0158a29	是這老漢。幾乎弄倒了。多少人道。國師不言	是 這 老 漢 幾 乎 弄 倒 了 多 少 人 道 國 師 不 言 
T48n2003_002:0158b01	處。便是塔樣。若恁麼會。遶磨一宗掃地而盡。	處 便 是 塔 樣 若 恁 麼 會 遶 磨 一 宗 掃 地 而 盡 
T48n2003_002:0158b02	若謂良久便是。啞子也合會禪。豈不見外道	若 謂 良 久 便 是 啞 子 也 合 會 禪 豈 不 見 外 道 
T48n2003_002:0158b03	問佛。不問有言不問無言世尊良久。外道禮	問 佛 不 問 有 言 不 問 無 言 世 尊 良 久 外 道 禮 
T48n2003_002:0158b04	拜。贊嘆曰。世尊大慈大悲。開我迷雲。令我得	拜 贊 嘆 曰 世 尊 大慈大悲 開 我 迷 雲 令 我 得 
T48n2003_002:0158b05	入。及外道去後。阿難問佛。外道有何所證。而	入 及 外 道 去 後 阿 難 問 佛 外 道 有 何 所 證 而 
T48n2003_002:0158b06	言得入。世尊云。如世良馬。見鞭影而行。人多	言 得 入 世 尊 云 如 世 良 馬 見 鞭 影 而 行 人 多 
T48n2003_002:0158b07	向良久處會。有什麼巴鼻。五祖先師拈云。前	向 良 久 處 會 有 什 麼 巴 鼻 五 祖 先 師 拈 云 前 
T48n2003_002:0158b08	面是珍珠瑪瑙。後面是瑪瑙珍珠。左邊是觀	面 是 珍 珠 瑪 瑙 後 面 是 瑪 瑙 珍 珠 左 邊 是 觀 
T48n2003_002:0158b09	音勢至。右邊是文殊普賢。中間有箇旛子。	音 勢 至 右 邊 是 文 殊 普 賢 中 間 有 箇 旛 子 
T48n2003_002:0158b10	被風吹著。道胡盧胡盧。國師云。會麼。帝曰。	被 風 吹 著 道 胡 盧 胡 盧 國 師 云 會 麼 帝 曰 
T48n2003_002:0158b11	不會。却較些子。且道這箇不會。與武帝不識。	不 會 却 較 些 子 且 道 這 箇 不 會 與 武 帝 不 識 
T48n2003_002:0158b12	是同是別。雖然似則似。是則未是。國師云。吾	是 同 是 別 雖 然 似 則 似 是 則 未 是 國 師 云 吾 
T48n2003_002:0158b13	有付法弟子耽源。却諳此事。請詔問之。雪	有 付 法 弟 子 耽 源 却 諳 此 事 請 詔 問 之 雪 
T48n2003_002:0158b14	竇拈云。獨掌不浪鳴。代宗不會則且置。耽源	竇 拈 云 獨 掌 不 浪 鳴 代 宗 不 會 則 且 置 耽 源 
T48n2003_002:0158b15	還會麼。只消道箇請師塔樣。盡大地人不柰	還 會 麼 只 消 道 箇 請 師 塔 樣 盡 大 地 人 不 柰 
T48n2003_002:0158b16	何。五祖先師拈云。爾是一國之師。為箇什麼	何 五 祖 先 師 拈 云 爾 是 一 國 之 師 為 箇 什 麼 
T48n2003_002:0158b17	不道却推與弟子。國師遷化後。帝詔耽源問	不 道 却 推 與 弟 子 國 師 遷 化 後 帝 詔 耽 源 問 
T48n2003_002:0158b18	此意如何。源便來為國師。胡言漢語說道理。	此 意 如 何 源 便 來 為 國 師 胡 言 漢 語 說 道 理 
T48n2003_002:0158b19	自然會他國師說話。只消一頌(祖庭事苑出齊時)湘之	自 然 會 他 國 師 說 話 只 消 一 頌 祖 庭 事 苑 出 齊 時 湘 之 
T48n2003_002:0158b20	南潭之北。中有黃金充一國。無影樹下合同	南 潭 之 北 中 有 黃 金 充 一 國 無 影 樹 下 合 同 
T48n2003_002:0158b21	船。瑠璃殿上無知識。耽源名應真。在國師處	船 瑠 璃 殿 上 無 知 識 耽 源 名 應 真 在 國 師 處 
T48n2003_002:0158b22	作侍者。後住吉州耽源寺。時仰山來參耽源。	作 侍 者 後 住 吉 州 耽 源 寺 時 仰 山 來 參 耽 源 
T48n2003_002:0158b23	源言重性惡不可犯。住不得。仰山先去參性	源 言 重 性 惡 不 可 犯 住 不 得 仰 山 先 去 參 性 
T48n2003_002:0158b24	空禪師。有僧問性空。如何是祖師西來意。空	空 禪 師 有 僧 問 性 空 如 何 是 祖 師 西 來 意 空 
T48n2003_002:0158b25	云。如人在千尺井中。不假寸繩出得此人。即	云 如 人 在 千 尺 井 中 不 假 寸 繩 出 得 此 人 即 
T48n2003_002:0158b26	答汝西來意。僧云。近日湖南暢和尚。亦為人	答 汝 西 來 意 僧 云 近 日 湖 南 暢 和 尚 亦 為 人 
T48n2003_002:0158b27	東語西話。空乃喚沙彌拽出這死屍著(沙彌仰山)山	東 語 西 話 空 乃 喚 沙 彌 拽 出 這 死 屍 著 沙 彌 仰 山 山 
T48n2003_002:0158b28	後舉問耽源。如何出得井中人。耽源曰。咄。癡	後 舉 問 耽 源 如 何 出 得 井 中 人 耽 源 曰 咄 癡 
T48n2003_002:0158b29	漢。誰在井中。仰山不契。後問溈山。山乃呼	漢 誰 在 井 中 仰 山 不 契 後 問 溈 山 山 乃 呼 
T48n2003_002:0158c01	慧寂。山應諾。溈云。出了也。仰山因此大悟。	慧 寂 山 應 諾 溈 云 出 了 也 仰 山 因 此 大 悟 
T48n2003_002:0158c02	云。我在耽源處得體。溈山處得用。也只是	云 我 在 耽 源 處 得 體 溈 山 處 得 用 也 只 是 
T48n2003_002:0158c03	這一箇頌子。引人邪解不少。人多錯會道。相	這 一 箇 頌 子 引 人 邪 解 不 少 人 多 錯 會 道 相 
T48n2003_002:0158c04	是相見。譚是譚論。中間有箇無縫塔。所以道。	是 相 見 譚 是 譚 論 中 間 有 箇 無 縫 塔 所 以 道 
T48n2003_002:0158c05	中有黃金充一國。帝與國師對答。便是無影	中 有 黃 金 充 一 國 帝 與 國 師 對 答 便 是 無 影 
T48n2003_002:0158c06	樹下合同船。帝不會。遂道瑠璃殿上無知識。	樹 下 合 同 船 帝 不 會 遂 道 瑠 璃 殿 上 無 知 識 
T48n2003_002:0158c07	又有底道。相是相州之南。潭是潭州之北。中	又 有 底 道 相 是 相 州 之 南 潭 是 潭 州 之 北 中 
T48n2003_002:0158c08	有黃金充一國。頌官家眨眼顧視云。這箇是	有 黃 金 充 一 國 頌 官 家 眨 眼 顧 視 云 這 箇 是 
T48n2003_002:0158c09	無縫塔。若恁麼會。不出情見。只如雪竇下四	無 縫 塔 若 恁 麼 會 不 出 情 見 只 如 雪 竇 下 四 
T48n2003_002:0158c10	轉語。又作麼生會。今人殊不知古人意。且道。	轉 語 又 作 麼 生 會 今 人 殊 不 知 古 人 意 且 道 
T48n2003_002:0158c11	湘之南。潭之北。爾作麼生會。中有黃金充一	湘 之 南 潭 之 北 爾 作 麼 生 會 中 有 黃 金 充 一 
T48n2003_002:0158c12	國。爾作麼生會。無影樹下合同船。爾作麼生	國 爾 作 麼 生 會 無 影 樹 下 合 同 船 爾 作 麼 生 
T48n2003_002:0158c13	會。瑠璃殿上無知識。爾作麼生會。若恁麼見	會 瑠 璃 殿 上 無 知 識 爾 作 麼 生 會 若 恁 麼 見 
T48n2003_002:0158c14	得。不妨慶快平生。湘之南潭之北。雪竇道。獨	得 不 妨 慶 快 平 生 湘 之 南 潭 之 北 雪 竇 道 獨 
T48n2003_002:0158c15	掌不浪鳴。不得已與爾說。中有黃金充一國。	掌 不 浪 鳴 不 得 已 與 爾 說 中 有 黃 金 充 一 國 
T48n2003_002:0158c16	雪竇道。山形拄杖子。古人道。識得拄杖子。一	雪 竇 道 山 形 拄 杖 子 古 人 道 識 得 拄 杖 子 一 
T48n2003_002:0158c17	生參學事畢。無影樹下合同船。雪竇道。海晏	生 參 學 事 畢 無 影 樹 下 合 同 船 雪 竇 道 海 晏 
T48n2003_002:0158c18	河清。一時豁開戶牖。八面玲瓏。瑠璃殿上	河 清 一 時 豁 開 戶 牖 八 面 玲 瓏 瑠 璃 殿 上 
T48n2003_002:0158c19	無知識。雪竇道。拈了也。一時與爾說了也。不	無 知 識 雪 竇 道 拈 了 也 一 時 與 爾 說 了 也 不 
T48n2003_002:0158c20	妨難見。見得也好。只是有些子錯認處。隨語	妨 難 見 見 得 也 好 只 是 有 些 子 錯 認 處 隨 語 
T48n2003_002:0158c21	生解。至末後道拈了也。却較些子。雪竇分明	生 解 至 末 後 道 拈 了 也 却 較 些 子 雪 竇 分 明 
T48n2003_002:0158c22	一時下語了。後面單頌箇無縫塔子。	一 時 下 語 了 後 面 單 頌 箇 無 縫 塔 子 
T48n2003_002:0158c23	無縫塔(這一縫。大小大。道什麼)　見還難(非眼可見。瞎)　澄潭不許	無 縫 塔 這 一 縫 大 小 大 道 什 麼 見 還 難 非 眼 可 見 瞎 澄 潭 不 許 
T48n2003_002:0158c24	蒼龍蟠(見麼。洪波浩渺。蒼龍向什處蟠。這裏直得摸索不著)　　層落落(莫眼花。	蒼 龍 蟠 見 麼 洪 波 浩 渺 蒼 龍 向 什 處 蟠 這 裏 直 得 摸 索 不 著 層 落 落 莫 眼 花 
T48n2003_002:0158c25	眼花作什麼)　　影團團(通身是眼。落七落八。兩兩三三舊路行。左轉右轉隨後來)　千	眼 花 作 什 麼 影 團 團 通 身 是 眼 落 七 落 八 兩 兩 三 三 舊 路 行 左 轉 右 轉 隨 後 來 千 
T48n2003_002:0158c26	古萬古與人看(見麼。瞎漢作麼生看。闍黎覷得見麼)	古 萬 古 與 人 看 見 麼 瞎 漢 作 麼 生 看 闍 黎 覷 得 見 麼 
T48n2003_002:0158c27	雪竇當頭道。無縫塔見還難。雖然獨露無私。	雪 竇 當 頭 道 無 縫 塔 見 還 難 雖 然 獨 露 無 私 
T48n2003_002:0158c28	則是要見時還難。雪竇忒殺慈悲。更向爾道。	則 是 要 見 時 還 難 雪 竇 忒 殺 慈 悲 更 向 爾 道 
T48n2003_002:0158c29	澄潭不許蒼龍蟠。五祖先師道。雪竇頌古一	澄 潭 不 許 蒼 龍 蟠 五 祖 先 師 道 雪 竇 頌 古 一 
T48n2003_002:0159a01	冊。我只愛他澄潭不許蒼龍蟠一句。猶較些	冊 我 只 愛 他 澄 潭 不 許 蒼 龍 蟠 一 句 猶 較 些 
T48n2003_002:0159a02	子。多少人去他國師良久處作活計。若恁麼	子 多 少 人 去 他 國 師 良 久 處 作 活 計 若 恁 麼 
T48n2003_002:0159a03	會。一時錯了也。不見道。臥龍不鑒止水。無處	會 一 時 錯 了 也 不 見 道 臥 龍 不 鑒 止 水 無 處 
T48n2003_002:0159a04	有月波澄。有處無風浪起。又道。臥龍長怖碧	有 月 波 澄 有 處 無 風 浪 起 又 道 臥 龍 長 怖 碧 
T48n2003_002:0159a05	潭清。若是這箇漢。直饒洪波浩渺。白浪滔天。	潭 清 若 是 這 箇 漢 直 饒 洪 波 浩 渺 白 浪 滔 天 
T48n2003_002:0159a06	亦不在裏許蟠。雪竇到此頌了。後頭著些子	亦 不 在 裏 許 蟠 雪 竇 到 此 頌 了 後 頭 著 些 子 
T48n2003_002:0159a07	眼目。琢出一箇無縫塔。隨後說道。層落落影	眼 目 琢 出 一 箇 無 縫 塔 隨 後 說 道 層 落 落 影 
T48n2003_002:0159a08	團團。千古萬古與人看。爾作麼生看。即今	團 團 千 古 萬 古 與 人 看 爾 作 麼 生 看 即 今 
T48n2003_002:0159a09	在什麼處。直饒爾見得分明。也莫錯認定盤	在 什 麼 處 直 饒 爾 見 得 分 明 也 莫 錯 認 定 盤 
T48n2003_002:0159a10	星。	星 
T48n2003_002:0159a11	垂示云。一塵舉大地收。一花開世界起。只如	垂 示 云 一 塵 舉 大 地 收 一 花 開 世 界 起 只 如 
T48n2003_002:0159a12	塵未舉花未開時。如何著眼。所以道。如斬一	塵 未 舉 花 未 開 時 如 何 著 眼 所 以 道 如 斬 一 
T48n2003_002:0159a13	綟絲。一斬一切斬。如染一綟絲。一染一切染。	綟 絲 一 斬 一 切 斬 如 染 一 綟 絲 一 染 一 切 染 
T48n2003_002:0159a14	只如今便將葛藤截斷。運出自己家珍。高低	只 如 今 便 將 葛 藤 截 斷 運 出 自 己 家 珍 高 低 
T48n2003_002:0159a15	普應。前後無差。各各現成。儻或未然。看取下	普 應 前 後 無 差 各 各 現 成 儻 或 未 然 看 取 下 
T48n2003_002:0159a16	文。	文 
T48n2003_002:0159a17	【一九】舉。俱胝和尚。凡有所問(有什麼消息。鈍根阿師)只竪	 一 九 舉 俱 胝 和 尚 凡 有 所 問 有 什 麼 消 息 鈍 根 阿 師 只 竪 
T48n2003_002:0159a18	一指(這老漢也要坐斷天下人舌頭。熱則普天普地熱。寒則普天普地寒。換却天下人舌頭)。	一 指 這 老 漢 也 要 坐 斷 天 下 人 舌 頭 熱 則 普 天 普 地 熱 寒 則 普 天 普 地 寒 換 却 天 下 人 舌 頭 
T48n2003_002:0159a19	若向指頭上會。則辜負俱胝。若不向指頭上	若 向 指 頭 上 會 則 辜 負 俱 胝 若 不 向 指 頭 上 
T48n2003_002:0159a20	會。則生鐵鑄就相似。會也恁麼去。不會也恁	會 則 生 鐵 鑄 就 相 似 會 也 恁 麼 去 不 會 也 恁 
T48n2003_002:0159a21	麼去。高也恁麼去。低也恁麼去。是也恁麼去。	麼 去 高 也 恁 麼 去 低 也 恁 麼 去 是 也 恁 麼 去 
T48n2003_002:0159a22	非也恁麼去。所以道。一塵纔起大地全收。一	非 也 恁 麼 去 所 以 道 一 塵 纔 起 大 地 全 收 一 
T48n2003_002:0159a23	花欲開世界便起。一毛頭獅子。百億毛頭現。	花 欲 開 世 界 便 起 一 毛 頭 獅 子 百 億 毛 頭 現 
T48n2003_002:0159a24	圓明道。寒則普天普地寒。熱則普天普地熱。	圓 明 道 寒 則 普 天 普 地 寒 熱 則 普 天 普 地 熱 
T48n2003_002:0159a25	山河大地。下徹黃泉。萬象森羅。上通霄漢。且	山 河 大 地 下 徹 黃 泉 萬 象 森 羅 上 通 霄 漢 且 
