T46n1914_001:0459a12	止觀大意	止 觀 大 意 
T46n1914_001:0461a22	觀惡即是道。豈有惡能蔽理。此義不然。若惡	觀 惡 即 是 道 豈 有 惡 能 蔽 理 此 義 不 然 若 惡 
T46n1914_001:0461a23	已成道道即法身。法身未契由即觀微故。先	已 成 道 道 即 法 身 法 身 未 契 由 即 觀 微 故 先 
T46n1914_001:0461a24	修事度以治事惡。事惡傾已理善可生。故修	修 事 度 以 治 事 惡 事 惡 傾 已 理 善 可 生 故 修 
T46n1914_001:0461a25	觀者。須以事惡檢。以六即判。理善明竟事惡	觀 者 須 以 事 惡 檢 以 六 即 判 理 善 明 竟 事 惡 
T46n1914_001:0461a26	必亡。須知理明位在何許。乃以小助大以偏	必 亡 須 知 理 明 位 在 何 許 乃 以 小 助 大 以 偏 
T46n1914_001:0461a27	助圓。況復更有轉治兼治具治第一義治等。	助 圓 況 復 更 有 轉 治 兼 治 具 治 第 一 義 治 等 
T46n1914_001:0461a28	非可卒盡。故諭云。又多僕從而侍衛之。若無	非 可 卒 盡 故 諭 云 又 多 僕 從 而 侍 衛 之 若 無 
T46n1914_001:0461a29	僕從傾覆何疑。中根用觀極至於此。八知次	僕 從 傾 覆 何 疑 中 根 用 觀 極 至 於 此 八 知 次 
T46n1914_001:0461b01	位者。下根障重非唯正助不明。却生上慢謂	位 者 下 根 障 重 非 唯 正 助 不 明 却 生 上 慢 謂 
T46n1914_001:0461b02	己均佛。未得謂得。未證謂證。須知次位使朱	己 均 佛 未 得 謂 得 未證謂證 須 知 次 位 使 朱 
T46n1914_001:0461b03	紫不濫。夫小大真似非證不明。故三世諸佛	紫 不 濫 夫 小 大 真 似 非 證 不 明 故 三世諸佛 
T46n1914_001:0461b04	皆明諸位。若未證得而謂證得。非唯失位却	皆 明 諸 位 若 未 證 得 而 謂 證 得 非 唯 失 位 却 
T46n1914_001:0461b05	墮泥犁。故小乘經中四禪比丘謂為四果。大	墮 泥 犁 故 小 乘 經 中 四 禪 比 丘 謂 為 四 果 大 
T46n1914_001:0461b06	乘經中魔與菩薩授跋致記。若生取著必同	乘 經 中 魔 與 菩 薩 授 跋 致 記 若 生 取 著 必 同 
T46n1914_001:0461b07	魔屬。尚夫人天何關至道。故大小經論咸明	魔 屬 尚 夫 人 天 何 關 至 道 故 大 小 經 論 咸 明 
T46n1914_001:0461b08	次位。又說深位勝妙功德。引接始行令欣慕	次 位 又 說 深 位 勝 妙 功 德 引 接 始 行 令 欣 慕 
T46n1914_001:0461b09	故。又有樂聞長遠之位。生增上信立難行行。	故 又 有 樂 聞 長 遠 之 位 生 增 上 信 立 難 行 行 
T46n1914_001:0461b10	破大煩惱見第一義。故諭云。遊於四方諭住	破 大 煩 惱 見 第 一 義 故 諭 云 遊 於 四 方 諭 住 
T46n1914_001:0461b11	等四。雖知次位不忍違順。須明安忍。九安忍	等 四 雖 知 次 位 不 忍 違 順 須 明 安 忍 九 安 忍 
T46n1914_001:0461b12	者。圓頓行人初入外凡。外招名利內動宿障。	者 圓 頓 行 人 初 入 外 凡 外 招 名 利 內 動 宿 障 
T46n1914_001:0461b13	宿障縱薄名利彌至。為眾圍繞廢損自行。因	宿 障 縱 薄 名 利 彌 至 為 眾 圍 繞 廢 損 自 行 因 
T46n1914_001:0461b14	茲破敗。豈能進道。外人視之猶謂大聖。如樹	茲 破 敗 豈 能 進 道 外 人 視 之 猶 謂 大 聖 如 樹 
T46n1914_001:0461b15	抱蝎表似內虛。唯當自勉不為所動得入內	抱 蝎 表 似 內 虛 唯 當 自 勉 不 為 所 動 得 入 內 
T46n1914_001:0461b16	凡。名為似位。若專住似位。名為法愛。十離法	凡 名 為 似 位 若 專 住 似 位 名 為 法 愛 十 離 法 
T46n1914_001:0461b17	愛者。已得相似六根互用。已破兩惑永無墜	愛 者 已 得 相 似 六 根 互 用 已 破 兩 惑 永 無 墜 
T46n1914_001:0461b18	苦。愛此似位。名為頂墮。不同小乘退為五逆。	苦 愛 此 似 位 名 為 頂 墮 不 同 小 乘 退 為 五 逆 
T46n1914_001:0461b19	以內外凡位諸教別故。若修離愛進入銅輪。	以 內 外 凡 位 諸 教 別 故 若 修 離 愛 進 入 銅 輪 
T46n1914_001:0461b20	名為十住。分身百界一多相即。身土既爾。己	名 為 十 住 分 身 百 界 一 多 相 即 身 土 既 爾 己 
T46n1914_001:0461b21	他亦然。十身利生四土攝物。初住功德具如	他 亦 然 十 身 利 生 四 土 攝 物 初 住 功 德 具 如 
T46n1914_001:0461b22	華嚴賢首品廣明。此上從第五卷初。盡第七	華 嚴 賢 首 品 廣 明 此 上 從 第 五 卷 初 盡 第 七 
T46n1914_001:0461b23	卷末。明正修行。始從初心終至初住。從第八	卷 末 明 正 修 行 始 從 初 心 終 至 初 住 從 第 八 
T46n1914_001:0461b24	卷去。明觀陰後更發宿習。用觀觀習。若用	卷 去 明 觀 陰 後 更 發 宿 習 用 觀 觀 習 若 用 
T46n1914_001:0461b25	上來十種觀法。未得入位。必發宿習。謂煩惱	上 來 十 種 觀 法 未 得 入 位 必 發 宿 習 謂 煩 惱 
T46n1914_001:0461b26	病患業相魔事。並在第八卷中。禪境在第九	病 患 業 相 魔 事 並 在 第 八 卷 中 禪 境 在 第 九 
T46n1914_001:0461b27	卷中。見境在第十卷中。餘有上慢兩教二乘	卷 中 見 境 在 第 十 卷 中 餘 有 上 慢 兩 教 二 乘 
T46n1914_001:0461b28	三教菩薩。時逼夏終。故略不說。以前諸文可	三 教 菩 薩 時 逼 夏 終 故 略 不 說 以 前 諸 文 可 
T46n1914_001:0461b29	比知故。宿習若起不可不識。先若知之。恣其	比 知 故 宿 習 若 起 不 可 不 識 先 若 知 之 恣 其 
T46n1914_001:0461c01	變怪。如此諸境發又不定。隨過去世若近若	變 怪 如 此 諸 境 發 又 不 定 隨 過 去 世 若 近 若 
T46n1914_001:0461c02	熟。此世現前。文中一往且從次第。凡有所起。	熟 此 世 現 前 文 中 一 往 且 從 次 第 凡 有 所 起 
T46n1914_001:0461c03	但以寂照而止觀之。令等法界一相無相。無	但 以 寂 照 而 止 觀 之 令 等 法 界 一相無相 無 
T46n1914_001:0461c04	不皆用十乘觀法。初言煩惱發者。謂無始已	不 皆 用 十 乘 觀 法 初 言 煩 惱 發 者 謂 無 始 已 
T46n1914_001:0461c05	來積集重惑。今因用觀。此惑過常不可控制。	來 積 集 重 惑 今 因 用 觀 此 惑 過 常 不 可 控 制 
T46n1914_001:0461c06	言病患者。由觀陰惑激動四大。識其元由。宜	言 病 患 者 由 觀 陰 惑 激 動 四 大 識 其 元 由 宜 
T46n1914_001:0461c07	用何治。或內觀力。或術或醫。然後用觀。言業	用 何 治 或 內 觀 力 或 術 或 醫 然 後 用 觀 言 業 
T46n1914_001:0461c08	相者。有漏之業或已受報。不復更發。或未受	相 者 有 漏 之 業 或 已 受 報 不 復 更 發 或 未 受 
T46n1914_001:0461c09	報。於靜心中忽然俱發。發相雖多不出蔽度。	報 於 靜 心 中 忽 然 俱 發 發 相 雖 多 不 出 蔽 度 
T46n1914_001:0461c10	各有六相。或因止生或因觀生。言魔事者。由	各 有 六 相 或 因 止 生 或 因 觀 生 言 魔 事 者 由 
T46n1914_001:0461c11	觀諸境惑雖未破。天魔猶恐出境空其宮殿。	觀 諸 境 惑 雖 未 破 天 魔 猶 恐 出 境 空 其 宮 殿 
T46n1914_001:0461c12	化其民屬與共戰諍。故民主皆來。即四魔中	化 其 民 屬 與 共 戰 諍 故 民 主 皆 來 即 四 魔 中 
T46n1914_001:0461c13	天子魔也。乃至人間[怡台+追]惕夜叉時媚等。鬼管	天 子 魔 也 乃 至 人 間 [怡台追] 惕 夜 叉 時 媚 等 鬼 管 
T46n1914_001:0461c14	屬天魔為其巡邏。防遏行者不許出界。故大	屬 天 魔 為 其 巡 邏 防 遏 行 者 不 許 出 界 故 大 
T46n1914_001:0461c15	品云。菩薩不說魔者。名菩薩旃陀羅。次禪發	品 云 菩 薩 不 說 魔 者 名 菩 薩 旃 陀 羅 次 禪 發 
T46n1914_001:0461c16	者。謂根本四禪特勝通明九想背捨乃至念佛	者 謂 根 本 四 禪 特 勝 通 明 九 想 背 捨 乃 至 念 佛 
T46n1914_001:0461c17	神通等。禪隨近熟者。而發其相。相最難知。次	神 通 等 禪 隨 近 熟 者 而 發 其 相 相 最 難 知 次 
T46n1914_001:0461c18	諸見者。乃至百四十見。言上慢者。既伏見已。	諸 見 者 乃 至 百 四 十 見 言 上 慢 者 既 伏 見 已 
T46n1914_001:0461c19	謂為深詣濫叨上位。是故須識。次二乘者。昔	謂 為 深 詣 濫 叨 上 位 是 故 須 識 次 二 乘 者 昔 
T46n1914_001:0461c20	發小志由慈習生。次菩薩者。三藏通別三菩	發 小 志 由 慈 習 生 次 菩 薩 者 三 藏 通 別 三 菩 
T46n1914_001:0461c21	薩心由習而現。如上諸境。並須觀力而調伏	薩 心 由 習 而 現 如 上 諸 境 並 須 觀 力 而 調 伏 
T46n1914_001:0461c22	之。並在本文。不可具抄。	之 並 在 本 文 不 可 具 抄 
T46n1914_001:0461c23	故一家觀法入道次第稍異諸說。以附諸經	故 一 家 觀 法 入 道 次 第 稍 異 諸 說 以 附 諸 經 
T46n1914_001:0461c24	成行相故。則內順觀道外扶教門。依而修	成 行 相 故 則 內 順 觀 道 外 扶 教 門 依 而 修 
T46n1914_001:0461c25	行必不空過。縱此生未獲為種亦疆。意氣博	行 必 不 空 過 縱 此 生 未 獲 為 種 亦 疆 意 氣 博 
T46n1914_001:0461c26	達該括包籠。盡未來際。不復改輒。若依之修	達 該 括 包 籠 盡未來際 不 復 改 輒 若 依 之 修 
T46n1914_001:0461c27	行。咸須口訣。方成一家行相。(湛然)所見暗短	行 咸 須 口 訣 方 成 一 家 行 相 湛 然 所 見 暗 短 
T46n1914_001:0461c28	稟承無功。本文三百餘紙。略此多有不周。雖	稟 承 無 功 本 文 三 百 餘 紙 略 此 多 有 不 周 雖 
T46n1914_001:0461c29	俛仰以赴嚴命。實恐失大師深旨。諸有不逮。	俛 仰 以 赴 嚴 命 實 恐 失 大 師 深 旨 諸 有 不 逮 
T46n1914_001:0462a01	敢望通恕云耳。	敢 望 通 恕 云 耳 
T46n1914_001:0462a02	止觀大意(竟)	止 觀 大 意 竟 
