T34n1722_001:0633b09	法華遊意	法 華 遊 意 
T34n1722_001:0637a28	至佛果者，為滅已而續、為不滅而續？若滅已	至 佛 果 者 為 滅 已 而 續 為 不 滅 而 續 若 滅 已 
T34n1722_001:0637a29	而續則有能續、無所續；若不滅而續者則有	而 續 則 有 能 續 無 所 續 若 不 滅 而 續 者 則 有 
T34n1722_001:0637b01	所續、無能續，云何續至佛果耶？以經論推之，	所 續 無 能 續 云 何 續 至 佛 果 耶 以 經 論 推 之 
T34n1722_001:0637b02	並無此因果與誰同異耶。二者、縱有此因果	並 無 此 因 果 與 誰 同 異 耶 二 者 縱 有 此 因 果 
T34n1722_001:0637b03	者，彼便謂道理有此因果則成有所得，經云	者 彼 便 謂 道 理 有 此 因 果 則 成 有 所 得 經 云 
T34n1722_001:0637b04	「有所得者無道無果」，以何為宗？又有所得者，	 有 所 得 者 無 道 無 果 以 何 為 宗 又 有 所 得 者 
T34n1722_001:0637b05	經云「不動不出」，都非乘義，云何用為經宗？《涅	經 云 不 動 不 出 都 非 乘 義 云 何 用 為 經 宗 涅 
T34n1722_001:0637b06	槃經》云「有所得者名為無明」，寧用無明為平	槃 經 云 有 所 得 者 名 為 無 明 寧 用 無 明 為 平 
T34n1722_001:0637b07	等大慧經宗？「有所得者名二十五有」，云何用	等 大 慧 經 宗 有 所 得 者 名 二十五有 云 何 用 
T34n1722_001:0637b08	二十五有為眾德經宗？問：《大品》與《涅槃》自可	二十五有 為 眾 德 經 宗 問 大 品 與 涅 槃 自 可 
T34n1722_001:0637b09	論有得、無得，《法華經》明低頭舉手一豪善之	論 有 得 無 得 法 華 經 明 低 頭 舉 手 一 豪 善 之 
T34n1722_001:0637b10	並皆成佛道，豈簡有得之善非一乘耶？答：得	並 皆 成 佛 道 豈 簡 有 得 之 善 非 一 乘 耶 答 得 
T34n1722_001:0637b11	與無得蓋是眾經之旨歸、聖觀之淵府，辨得	與 無 得 蓋 是 眾 經 之 旨 歸 聖 觀 之 淵 府 辨 得 
T34n1722_001:0637b12	失之根本、示佛教之偏正，豈不該羅《法花》？又	失 之 根 本 示 佛 教 之 偏 正 豈 不 該 羅 法 花 又 
T34n1722_001:0637b13	即此經文自辨得與無得，今略舉三文：一、	即 此 經 文 自 辨 得 與 無 得 今 略 舉 三 文 一 
T34n1722_001:0637b14	初開宗即云「我以無數方便引導眾生令離諸	初 開 宗 即 云 我 以 無數方便 引 導 眾 生 令 離 諸 
T34n1722_001:0637b15	著」，二者、後〈流通〉富樓那歎佛云「甚奇世尊以	著 二 者 後 流 通 富 樓 那 歎 佛 云 甚 奇 世 尊 以 
T34n1722_001:0637b16	智惠方便拔出眾生處處貪著」，處處貪著者	智 惠 方 便 拔 出 眾 生 處 處 貪 著 處 處 貪 著 者 
T34n1722_001:0637b17	著小著大、著三著一，故知此經正明無所得	著 小 著 大 著 三 著 一 故 知 此 經 正 明 無 所 得 
T34n1722_001:0637b18	也。又此經盛談寂滅，如云「是法不可示言辭	也 又 此 經 盛 談 寂 滅 如 云 是 法 不 可 示 言 辭 
T34n1722_001:0637b19	相寂滅」，又云「諸法從本來常自寂滅相」，寂滅	相 寂 滅 又 云 諸 法 從 本 來 常 自 寂 滅 相 寂 滅 
T34n1722_001:0637b20	相即是無得實相異名，不應言此經辨有所	相 即 是 無 得 實 相 異 名 不 應 言 此 經 辨 有 所 
T34n1722_001:0637b21	得也。三者、則用此經文責之，若言乘是因者，	得 也 三 者 則 用 此 經 文 責 之 若 言 乘 是 因 者 
T34n1722_001:0637b22	是義不然，今講《法花》宜以《法花》為證。《法花》明	是 義 不 然 今 講 法 花 宜 以 法 花 為 證 法 花 明 
T34n1722_001:0637b23	三車一車皆悉是果，故〈譬喻品〉云「今此三車	三 車 一 車 皆 悉 是 果 故 譬 喻 品 云 今 此 三 車 
T34n1722_001:0637b24	皆是在門外」，即三界外果德為車，故下合譬	皆 是 在 門 外 即 三 界 外 果 德 為 車 故 下 合 譬 
T34n1722_001:0637b25	談皆以果德合之，舉涅槃合羊車，舉自然惠	談 皆 以 果 德 合 之 舉 涅 槃 合 羊 車 舉 自 然 惠 
T34n1722_001:0637b26	合鹿車，舉佛果四德智合牛車，舉大涅槃	合 鹿 車 舉 佛 果 四 德 智 合 牛 車 舉 大 涅 槃 
T34n1722_001:0637b27	果德合大車，故云「皆以如來滅度而滅度之」，	果 德 合 大 車 故 云 皆 以 如 來 滅 度 而 滅 度 之 
T34n1722_001:0637b28	又舉佛果眾德以合大車，故云「悉與諸佛解	又 舉 佛 果 眾 德 以 合 大 車 故 云 悉 與 諸 佛 解 
T34n1722_001:0637b29	脫三昧」，故名等賜大車，則知三車一車皆	脫 三 昧 故 名 等 賜 大 車 則 知 三 車 一 車 皆 
T34n1722_001:0637c01	是果乘非因乘矣。又此經秤名「妙法」，妙法	是 果 乘 非 因 乘 矣 又 此 經 秤 名 妙 法 妙 法 
T34n1722_001:0637c02	者佛果德無不圓、累無不盡，故名為妙；因	者 佛 果 德 無 不 圓 累 無 不 盡 故 名 為 妙 因 
T34n1722_001:0637c03	德未圓、累猶未盡，不名為妙。則應以果為正	德 未 圓 累 猶 未 盡 不 名 為 妙 則 應 以 果 為 正 
T34n1722_001:0637c04	宗，因非正宗也。次問第二，若偏以佛果為	宗 因 非 正 宗 也 次 問 第 二 若 偏 以 佛 果 為 
T34n1722_001:0637c05	乘者，是亦不然。諸子求車，佛即賜車，諸子	乘 者 是 亦 不 然 諸 子 求 車 佛 即 賜 車 諸 子 
T34n1722_001:0637c06	得車即諸子得果，故云乘是寶車直至道場，	得 車 即 諸 子 得 果 故 云 乘 是 寶 車 直 至 道 場 
T34n1722_001:0637c07	即知以因為乘寧非乘也。又《大品》等經皆明	即 知 以 因 為 乘 寧 非 乘 也 又 大 品 等 經 皆 明 
T34n1722_001:0637c08	乘是因義，何得偏用果為乘耶？次破第三，因	乘 是 因 義 何 得 偏 用 果 為 乘 耶 次 破 第 三 因 
T34n1722_001:0637c09	果為宗，是亦不然。此經初分始終盛談果德，	果 為 宗 是 亦 不 然 此 經 初 分 始 終 盛 談 果 德 
T34n1722_001:0637c10	今略引三證：一者、開宗略說歎佛智惠甚深，	今 略 引 三 證 一 者 開 宗 略 說 歎 佛 智 惠 甚 深 
T34n1722_001:0637c11	二者、廣說開佛知見，三者、多寶證說歎大惠	二 者 廣 說 開 佛 知 見 三 者 多 寶 證 說 歎 大 惠 
T34n1722_001:0637c12	平等，故知初分始終盛談果德，非明因矣。以	平 等 故 知 初 分 始 終 盛 談 果 德 非 明 因 矣 以 
T34n1722_001:0637c13	此眾義求三家解釋並皆不成，故無可與同	此 眾 義 求 三 家 解 釋 並 皆 不 成 故 無 可 與 同 
T34n1722_001:0637c14	異。問：何故要須洗破諸計？答：若有因果等見	異 問 何 故 要 須 洗 破 諸 計 答 若 有 因 果 等 見 
T34n1722_001:0637c15	即是有所得，有所得名之為麁，不名為妙；有	即 是 有 所 得 有 所 得 名 之 為 麁 不 名 為 妙 有 
T34n1722_001:0637c16	所得名為非法，不名為法，有所得即是不淨	所 得 名 為 非 法 不 名 為 法 有 所 得 即 是 不 淨 
T34n1722_001:0637c17	染著，非是蓮花。今息因果等見即是無所得，	染 著 非 是 蓮 花 今 息 因 果 等 見 即 是 無 所 得 
T34n1722_001:0637c18	無所得故名曰妙法、稱為蓮花，故是經宗。問：	無 所 得 故 名 曰 妙 法 稱 為 蓮 花 故 是 經 宗 問 
T34n1722_001:0637c19	何以得知息有所得見即是妙法蓮花耶？答：	何 以 得 知 息 有所得見 即 是 妙 法 蓮 花 耶 答 
T34n1722_001:0637c20	今略引三證：一、《正觀論》云「從因緣品來推求	今 略 引 三 證 一 正 觀 論 云 從 因 緣 品 來 推 求 
T34n1722_001:0637c21	諸法，有亦無、無亦無、亦有亦無亦無、非有非	諸 法 有 亦 無 無 亦 無 亦 有 亦 無 亦 無 非 有 非 
T34n1722_001:0637c22	無亦無，是名名如、法性、實際、涅槃」，故知求有	無 亦 無 是 名 名 如 法 性 實 際 涅 槃 故 知 求 有 
T34n1722_001:0637c23	所得因果，不可得即是妙法。二者、《法花論》釋〈方	所 得 因 果 不 可 得 即 是 妙 法 二 者 法 花 論 釋 方 
T34n1722_001:0637c24	便品〉云「我以無數方便引導眾生令離諸著，	便 品 云 我 以 無數方便 引 導 眾 生 令 離 諸 著 
T34n1722_001:0637c25	著有四種：一者著界，謂三界等；二者著地，	著 有 四 種 一 者 著 界 謂 三 界 等 二 者 著 地 
T34n1722_001:0637c26	謂欲界地乃至滅盡定地；三者分著，謂在家	謂 欲 界 地 乃 至 滅 盡 定 地 三 者 分 著 謂 在 家 
T34n1722_001:0637c27	著五欲、出家著名利；四者乘著，著小乘、著	著 五 欲 出 家 著 名 利 四 者 乘 著 著 小 乘 著 
T34n1722_001:0637c28	大乘等」。故知有所著不名妙法，無所著即是	大 乘 等 故 知 有 所 著 不 名 妙 法 無 所 著 即 是 
T34n1722_001:0637c29	經宗。三者關中肇公《百論．序》云「蕭焉無寄理	經 宗 三 者 關 中 肇 公 百 論 序 云 蕭 焉 無 寄 理 
T34n1722_001:0638a01	自玄會，儻然靡據事不失真，變本之道著乎	自 玄 會 儻 然 靡 據 事 不 失 真 變 本 之 道 著 乎 
T34n1722_001:0638a02	茲矣」，故知心無所依著即是妙法，為此經宗	茲 矣 故 知 心 無 所 依 著 即 是 妙 法 為 此 經 宗 
T34n1722_001:0638a03	也。第二、取而不破者，要須前來破洗有所得	也 第 二 取 而 不 破 者 要 須 前 來 破 洗 有 所 得 
T34n1722_001:0638a04	執斷常心畢竟無遺，然後始得辨佛因緣假	執 斷 常 心 畢 竟 無 遺 然 後 始 得 辨 佛 因 緣 假 
T34n1722_001:0638a05	名方便用，若眾生應聞因為宗得悟即為說	名 方 便 用 若 眾 生 應 聞 因 為 宗 得 悟 即 為 說 
T34n1722_001:0638a06	因，應聞果為宗得悟者即為說果，應俱聞	因 應 聞 果 為 宗 得 悟 者 即 為 說 果 應 俱 聞 
T34n1722_001:0638a07	因果為宗得悟則為說因果。三世諸佛菩薩	因 果 為 宗 得 悟 則 為 說 因 果 三世諸佛 菩 薩 
T34n1722_001:0638a08	說經造論，意在眾生得悟為正宗，而教無定	說 經 造 論 意 在 眾 生 得 悟 為 正 宗 而 教 無 定 
T34n1722_001:0638a09	也。問：何以知然耶？答：凡引六證：一者、《文殊	也 問 何 以 知 然 耶 答 凡 引 六 證 一 者 文 殊 
T34n1722_001:0638a10	問經》云「十八部論及本二皆從大乘出，無是	問 經 云 十 八 部 論 及 本 二 皆 從 大 乘 出 無 是 
T34n1722_001:0638a11	亦無非，我說未來起」。二者、《大集經》云「雖	亦 無 非 我 說 未 來 起 二 者 大 集 經 云 雖 
T34n1722_001:0638a12	有五部不同，皆不妨如來法界及大涅槃」。三	有 五 部 不 同 皆 不 妨 如來法界 及 大 涅 槃 三 
T34n1722_001:0638a13	者、《攝大乘論》云「諸佛唯以利益為定而教無	者 攝 大 乘 論 云 諸 佛 唯 以 利 益 為 定 而 教 無 
T34n1722_001:0638a14	有定」。四者、《智度論》明，六家釋波若，論主不判	有 定 四 者 智 度 論 明 六 家 釋 波 若 論 主 不 判 
T34n1722_001:0638a15	其是非，以皆出佛口並能開道常益物故，無	其 是 非 以 皆 出 佛 口 並 能 開 道 常 益 物 故 無 
T34n1722_001:0638a16	非正經。五者、《中論．觀法品》云「諸法無決定相，	非 正 經 五 者 中 論 觀 法 品 云 諸 法 無 決 定 相 
T34n1722_001:0638a17	諸佛有無量方便，或說一切實、或說一切不	諸 佛 有 無量方便 或 說 一 切 實 或 說 一 切 不 
T34n1722_001:0638a18	實、亦實亦非實、非實非非實，四句並皆得道，	實 亦 實 亦 非 實 非 實 非 非 實 四 句 並 皆 得 道 
T34n1722_001:0638a19	皆是佛法」。六者、求那跋摩三藏遺文偈云「諸	皆 是 佛 法 六 者 求 那 跋 摩 三 藏 遺 文 偈 云 諸 
T34n1722_001:0638a20	論各異端，修行理無二，偏執有是非，達者無	論 各 異 端 修 行 理 無 二 偏 執 有 是 非 達 者 無 
T34n1722_001:0638a21	違諍」，故知適緣所宜教無定也。	違 諍 故 知 適 緣 所 宜 教 無 定 也 
T34n1722_001:0638a22	第三、亦立亦破者，因果等三雖出經文，非是	第 三 亦 立 亦 破 者 因 果 等 三 雖 出 經 文 非 是 
T34n1722_001:0638a23	正意，故須破之。所言立者，今一往對上三	正 意 故 須 破 之 所 言 立 者 今 一 往 對 上 三 
T34n1722_001:0638a24	師所明，此經以非因非果中道為體，因果等	師 所 明 此 經 以 非 因 非 果 中 道 為 體 因 果 等 
T34n1722_001:0638a25	為經大用。問：因果等為用、非因果為體，此出	為 經 大 用 問 因 果 等 為 用 非 因 果 為 體 此 出 
T34n1722_001:0638a26	何文？答：〈方便品〉中明如是大果報種種性相	何 文 答 方 便 品 中 明 如 是 大 果 報 種 種 性 相 
T34n1722_001:0638a27	義，此偈頌上因果之法；次偈即云「是法不可	義 此 偈 頌 上 因 果 之 法 次 偈 即 云 是 法 不 可 
T34n1722_001:0638a28	示，言辭相寂滅」，此偈即明非因果義。故知以	示 言 辭 相 寂 滅 此 偈 即 明 非 因 果 義 故 知 以 
T34n1722_001:0638a29	非因果為體、因果等為用。因果、非因果既爾，	非 因 果 為 體 因 果 等 為 用 因 果 非 因 果 既 爾 
T34n1722_001:0638b01	三一、近遠、權實亦然：非三非一為體，三一為	三 一 近 遠 權 實 亦 然 非 三 非 一 為 體 三 一 為 
T34n1722_001:0638b02	用；非近非遠為體，近遠為用；非權非實為體，	用 非 近 非 遠 為 體 近 遠 為 用 非 權 非 實 為 體 
T34n1722_001:0638b03	權實為用。然他義但得經用不識經體，既不	權 實 為 用 然 他 義 但 得 經 用 不 識 經 體 既 不 
T34n1722_001:0638b04	得體云何得用？設使得用用義不成。若執因	得 體 云 何 得 用 設 使 得 用 用 義 不 成 若 執 因 
T34n1722_001:0638b05	是乘者即斥於果，執果是乘者便破於因，各	是 乘 者 即 斥 於 果 執 果 是 乘 者 便 破 於 因 各 
T34n1722_001:0638b06	執因果即彈雙用因果。而此經始終具四句	執 因 果 即 彈 雙 用 因 果 而 此 經 始 終 具 四 句 
T34n1722_001:0638b07	明乘義：一者、因乘非果乘，即諸子乘此寶	明 乘 義 一 者 因 乘 非 果 乘 即 諸 子 乘 此 寶 
T34n1722_001:0638b08	車直至道場；二者、果乘非因乘，故云「佛自住	車 直 至 道 場 二 者 果 乘 非 因 乘 故 云 佛 自 住 
T34n1722_001:0638b09	大乘，如其所得法，定慧力莊嚴，以此度眾生」；	大 乘 如 其 所 得 法 定 慧 力 莊 嚴 以 此 度 眾 生 
T34n1722_001:0638b10	三者、雙用因果為乘，即含前二句；四者非	三 者 雙 用 因 果 為 乘 即 含 前 二 句 四 者 非 
T34n1722_001:0638b11	因非果為乘，謂「是法不可示，言辭相寂滅」。問：	因 非 果 為 乘 謂 是 法 不 可 示 言 辭 相 寂 滅 問 
T34n1722_001:0638b12	乘是運出義，非因非果云何是乘耶？答：說非	乘 是 運 出 義 非 因 非 果 云 何 是 乘 耶 答 說 非 
T34n1722_001:0638b13	因果令眾生出四句越百非，故名真運出義	因 果 令 眾 生 出 四 句 越 百 非 故 名 真 運 出 義 
T34n1722_001:0638b14	也。又經云「佛性有五種名」，五種名中名為一	也 又 經 云 佛 性 有 五 種 名 五 種 名 中 名 為 一 
T34n1722_001:0638b15	乘。而經既明佛性是非因果，一乘豈不得是	乘 而 經 既 明 佛 性 是 非 因 果 一 乘 豈 不 得 是 
T34n1722_001:0638b16	非因果耶？雖有三句四句為乘用，第四句為	非 因 果 耶 雖 有 三 句 四 句 為 乘 用 第 四 句 為 
T34n1722_001:0638b17	乘體，故說上三句歸於非因非果，第四句亦	乘 體 故 說 上 三 句 歸 於 非 因 非 果 第 四 句 亦 
T34n1722_001:0638b18	由非因非果故有因果等用也。問：古舊誰用	由 非 因 非 果 故 有 因 果 等 用 也 問 古 舊 誰 用 
T34n1722_001:0638b19	非因非果為經體耶？答：《注法花經》採江左安、	非 因 非 果 為 經 體 耶 答 注 法 花 經 採 江 左 安 
T34n1722_001:0638b20	林、一、遠，河右什、肇、融、恒，八師要說著於經	林 一 遠 河 右 什 肇 融 恒 八 師 要 說 著 於 經 
T34n1722_001:0638b21	序，故云「出宅求車何小何大，滅城採寶孰	序 故 云 出 宅 求 車 何 小 何 大 滅 城 採 寶 孰 
T34n1722_001:0638b22	近孰遠，教凝於三一之表，果玄乎丈六之外」	近 孰 遠 教 凝 於 三 一 之 表 果 玄 乎 丈 六 之 外 
T34n1722_001:0638b23	也。	也 
T34n1722_001:0638b24	第四、非破非立者，然實未曾有三家義之	第 四 非 破 非 立 者 然 實 未 曾 有 三 家 義 之 
T34n1722_001:0638b25	可破，亦未曾有今義之可立。若有破有立即	可 破 亦 未 曾 有 今 義 之 可 立 若 有 破 有 立 即 
T34n1722_001:0638b26	是可以言宣，何謂「諸法寂滅相不可以言宣」	是 可 以 言 宣 何 謂 諸 法 寂 滅 相 不 可 以 言 宣 
T34n1722_001:0638b27	耶？肇公《涅槃論》云「須菩提無言以顯道，釋	耶 肇 公 涅 槃 論 云 須 菩 提 無 言 以 顯 道 釋 
T34n1722_001:0638b28	梵絕聽以雨花，釋迦掩室於摩竭提，淨名杜	梵 絕 聽 以 雨 花 釋 迦 掩 室 於 摩 竭 提 淨 名 杜 
T34n1722_001:0638b29	口於毘耶離，故口以之而默。豈曰無辨？辨所	口 於 毘 耶 離 故 口 以 之 而 默 豈 曰 無 辨 辨 所 
T34n1722_001:0638c01	不能言」，即是《法花》「言辭相寂滅」，寂滅寧有破	不 能 言 即 是 法 花 言 辭 相 寂 滅 寂 滅 寧 有 破 
T34n1722_001:0638c02	立之可存耶？若能如此照達，即是《法花》之宗	立 之 可 存 耶 若 能 如 此 照 達 即 是 法 花 之 宗 
T34n1722_001:0638c03	旨也。斯之四句蓋經論之大宗，開道斥病之	旨 也 斯 之 四 句 蓋 經 論 之 大 宗 開 道 斥 病 之 
T34n1722_001:0638c04	妙術也，必須採之以貫通眾義。	妙 術 也 必 須 採 之 以 貫 通 眾 義 
T34n1722_001:0638c05	第三、釋經題目，更開七門：	第 三 釋 經 題 目 更 開 七 門 
T34n1722_001:0638c06	　一立名意門　二立名不同門　三轉不轉門	 一 立 名 意 門 二 立 名 不 同 門 三 轉 不 轉 門 
T34n1722_001:0638c07	　四具義多小門　五前後門　六翻譯門	 四 具 義 多 小 門 五 前 後 門 六 翻 譯 門 
T34n1722_001:0638c08	　七釋名門	 七 釋 名 門 
T34n1722_001:0638c09	第一、立名意門者，《涅槃經》云「低羅婆姨實不	第 一 立 名 意 門 者 涅 槃 經 云 低 羅 婆 姨 實 不 
T34n1722_001:0638c10	食油強名食油，涅槃亦爾，實無名相強名相	食 油 強 名 食 油 涅 槃 亦 爾 實 無 名 相 強 名 相 
T34n1722_001:0638c11	說」。涅槃即是法花之異名，涅槃既無名相強	說 涅 槃 即 是 法 花 之 異 名 涅 槃 既 無 名 相 強 
T34n1722_001:0638c12	名相說，法花亦無名相強名相說。所以強名	名 相 說 法 花 亦 無 名 相 強 名 相 說 所 以 強 名 
T34n1722_001:0638c13	相說者，欲令眾生因名以悟理、因理以起行、	相 說 者 欲 令 眾 生 因 名 以 悟 理 因 理 以 起 行 
T34n1722_001:0638c14	因行以得解脫故也。	因 行 以 得 解 脫 故 也 
T34n1722_001:0638c15	二、立名不同門者，眾經或佛自立名，或待弟	二 立 名 不 同 門 者 眾 經 或 佛 自 立 名 或 待 弟 
T34n1722_001:0638c16	子發問然後方立，或序品之中預前立名，	子 發 問 然 後 方 立 或 序 品 之 中 預 前 立 名 
T34n1722_001:0638c17	或正說之內方始立名字，或隨說一義即立	或 正 說 之 內 方 始 立 名 字 或 隨 說 一 義 即 立 
T34n1722_001:0638c18	名字，或說一經竟最後制名，或一經之內但	名 字 或 說 一 經 竟 最 後 制 名 或 一 經 之 內 但 
T34n1722_001:0638c19	標一題，或一經之內立於多名，或有眾經立	標 一 題 或 一 經 之 內 立 於 多 名 或 有 眾 經 立 
T34n1722_001:0638c20	於一名字，或有一部無別立名，立名不同略	於 一 名 字 或 有 一 部 無 別 立 名 立 名 不 同 略 
T34n1722_001:0638c21	有五雙十義，具如《淨名玄義》已廣述之。今此	有 五 雙 十 義 具 如 淨 名 玄 義 已 廣 述 之 今 此 
T34n1722_001:0638c22	《法花》是佛於正說中自立名字。若依經，佛但	 法 花 是 佛 於 正 說 中 自 立 名 字 若 依 經 佛 但 
T34n1722_001:0638c23	立一名；若《法花論》，明一部始終有十七種名	立 一 名 若 法 花 論 明 一 部 始 終 有 十 七 種 名 
T34n1722_001:0638c24	字，如彼廣說也。	字 如 彼 廣 說 也 
T34n1722_001:0638c25	三、轉不轉門者，一切佛經立名有二：一者、名	三 轉 不 轉 門 者 一 切 佛 經 立 名 有 二 一 者 名 
T34n1722_001:0638c26	字古今不轉，二者、隨佛出世名字改易。如《涅	字 古 今 不 轉 二 者 隨 佛 出 世 名 字 改 易 如 涅 
T34n1722_001:0638c27	槃》云「或名法鏡或云名甘露鼓」等，今此《法花	槃 云 或 名 法 鏡 或 云 名 甘 露 鼓 等 今 此 法 花 
T34n1722_001:0638c28	經》於二種中名字古今不轉，故大通智勝佛、	經 於 二 種 中 名 字 古 今 不 轉 故 大 通 智 勝 佛 
T34n1722_001:0638c29	威音王、二萬日月燈明，及釋迦佛所說，皆	威 音 王 二 萬 日 月 燈 明 及 釋 迦 佛 所 說 皆 
T34n1722_001:0639a01	稱妙法蓮花。所以有轉不轉門者，蓋是隨宜	稱 妙 法 蓮 花 所 以 有 轉 不 轉 門 者 蓋 是 隨 宜 
T34n1722_001:0639a02	不同，適時而說也。	不 同 適 時 而 說 也 
T34n1722_001:0639a03	四、具義多少門者，眾經立名多小無定，或一	四 具 義 多 少 門 者 眾 經 立 名 多 小 無 定 或 一 
T34n1722_001:0639a04	義立名，或二義立名，或三義標名。一義立	義 立 名 或 二 義 立 名 或 三 義 標 名 一 義 立 
T34n1722_001:0639a05	名者，或但人、但法、但處、但時、但事、但喻。但人	名 者 或 但 人 但 法 但 處 但 時 但 事 但 喻 但 人 
T34n1722_001:0639a06	者，《提謂》之流；但法者，如《涅槃》之例；但處者，如	者 提 謂 之 流 但 法 者 如 涅 槃 之 例 但 處 者 如 
T34n1722_001:0639a07	《楞伽》也，此翻為度處；但時者，即《時非時經》	 楞 伽 也 此 翻 為 度 處 但 時 者 即 時 非 時 經 
T34n1722_001:0639a08	也；但事者，謂《枯樹經》等也；但喻者，《金光明》等	也 但 事 者 謂 枯 樹 經 等 也 但 喻 者 金 光 明 等 
T34n1722_001:0639a09	也。二義立名者，或法譬雙舉，如《妙法蓮花》；或	也 二 義 立 名 者 或 法 譬 雙 舉 如 妙 法 蓮 花 或 
T34n1722_001:0639a10	人法俱題，如《維摩詰不思議解脫》等也。三	人 法 俱 題 如 維 摩 詰 不思議解脫 等 也 三 
T34n1722_001:0639a11	義立名者，如《勝鬘師子吼一乘大方便》，勝鬘	義 立 名 者 如 勝 鬘 師 子 吼 一 乘 大 方 便 勝 鬘 
T34n1722_001:0639a12	者謂為人名也，師子吼謂喻名，一乘大方便	者 謂 為 人 名 也 師 子 吼 謂 喻 名 一 乘 大 方 便 
T34n1722_001:0639a13	即法名也。	即 法 名 也 
T34n1722_001:0639a14	五、前後門者，依天竺梵本前皆無題，但云悉	五 前 後 門 者 依 天 竺 梵 本 前 皆 無 題 但 云 悉 
T34n1722_001:0639a15	曇，此言好法亦名成就，立名皆在經末。而	曇 此 言 好 法 亦 名 成 就 立 名 皆 在 經 末 而 
T34n1722_001:0639a16	迴後在初者，蓋是翻經之人隨震旦國法，欲	迴 後 在 初 者 蓋 是 翻 經 之 人 隨 震 旦 國 法 欲 
T34n1722_001:0639a17	令因名字不同識部類差別故也。	令 因 名 字 不 同 識 部 類 差 別 故 也 
T34n1722_001:0639a18	六、翻譯門者，依梵本云「薩達摩分陀利修多	六 翻 譯 門 者 依 梵 本 云 薩 達 摩 分 陀 利 修 多 
T34n1722_001:0639a19	羅」，竺法護翻薩為正，故云「正法花經」；晉羅什	羅 竺 法 護 翻 薩 為 正 故 云 正 法 花 經 晉 羅 什 
T34n1722_001:0639a20	翻薩為妙，故云「妙法蓮花經」，逕山慧遠雙用	翻 薩 為 妙 故 云 妙 法 蓮 花 經 逕 山 慧 遠 雙 用 
T34n1722_001:0639a21	前二，更加兩名，謂「真法好法」。今謂天竺一題	前 二 更 加 兩 名 謂 真 法 好 法 今 謂 天 竺 一 題 
T34n1722_001:0639a22	名具含眾義，譯經之人隨取一義故各別翻	名 具 含 眾 義 譯 經 之 人 隨 取 一 義 故 各 別 翻 
T34n1722_001:0639a23	之耳。所言具含多義者，然諸佛所行之道未	之 耳 所 言 具 含 多 義 者 然 諸 佛 所 行 之 道 未 
T34n1722_001:0639a24	曾邪正，為對內外二邪故立為正：一者、九	曾 邪 正 為 對 內 外 二 邪 故 立 為 正 一 者 九 
T34n1722_001:0639a25	十六種所說之法，稱之為邪，如來所說之法	十 六 種 所 說 之 法 稱 之 為 邪 如 來 所 說 之 法 
T34n1722_001:0639a26	目之為正，故對彼異道之邪明佛道為正。二	目 之 為 正 故 對 彼 異 道 之 邪 明 佛 道 為 正 二 
T34n1722_001:0639a27	者、昔執五乘之異，乖於一道，名之為邪。所以	者 昔 執 五 乘 之 異 乖 於 一 道 名 之 為 邪 所 以 
T34n1722_001:0639a28	然者，道尚無二，寧得有五？故執於五異乖於	然 者 道 尚 無 二 寧 得 有 五 故 執 於 五 異 乖 於 
T34n1722_001:0639a29	一道，故稱為邪。以對彼二邪故，明佛所行道，	一 道 故 稱 為 邪 以 對 彼 二 邪 故 明 佛 所 行 道 
T34n1722_001:0639b01	稱為正法。言妙法者，諸佛所行之道未曾	稱 為 正 法 言 妙 法 者 諸 佛 所 行 之 道 未 曾 
T34n1722_001:0639b02	麁妙，為對二麁故歎美為妙：一者、外道所說	麁 妙 為 對 二 麁 故 歎 美 為 妙 一 者 外 道 所 說 
T34n1722_001:0639b03	之法有字無義，是即淺近之法，故名為麁；	之 法 有 字 無 義 是 即 淺 近 之 法 故 名 為 麁 
T34n1722_001:0639b04	出世之法有字有義，目之為妙。二者、對五乘	出 世 之 法 有 字 有 義 目 之 為 妙 二 者 對 五 乘 
T34n1722_001:0639b05	之麁，故歎佛乘為妙。又五乘是方便之說故	之 麁 故 歎 佛 乘 為 妙 又 五 乘 是 方 便 之 說 故 
T34n1722_001:0639b06	稱為麁，一乘是真實之法故稱為妙。次言真	稱 為 麁 一 乘 是 真 實 之 法 故 稱 為 妙 次 言 真 
T34n1722_001:0639b07	法者亦有二義：一者、外道之法目之為偽，諸	法 者 亦 有 二 義 一 者 外 道 之 法 目 之 為 偽 諸 
T34n1722_001:0639b08	佛所行稱之為真。如《涅槃》云「是諸外道虛	佛 所 行 稱 之 為 真 如 涅 槃 云 是 諸 外 道 虛 
T34n1722_001:0639b09	假詐稱無有真諦」，故明佛法有於真諦。次對	假 詐 稱 無 有 真 諦 故 明 佛 法 有 於 真 諦 次 對 
T34n1722_001:0639b10	五乘之偽以辨一乘之真，故〈方便品〉云「唯此	五 乘 之 偽 以 辨 一 乘 之 真 故 方 便 品 云 唯 此 
T34n1722_001:0639b11	一事實，餘二則非真」，二尚非真，況五乘實耶？	一 事 實 餘 二 則 非 真 二 尚 非 真 況 五 乘 實 耶 
T34n1722_001:0639b12	言好法者亦有二：一、對外道邪見名為惡法，	言 好 法 者 亦 有 二 一 對 外道邪見 名 為 惡 法 
