T13n0402_001:0536c03	寶星經序	寶 星 經 序 
T13n0402_003:0548a05	「瞿曇姓種生，　　大仙依通者，	 瞿 曇 姓 種 生 大 仙 依 通 者 
T13n0402_003:0548a06	　聰慧住摩伽，　　今王舍城乞。	 聰 慧 住 摩 伽 今 王 舍 城 乞 
T13n0402_003:0548a07	　汝當堅固心，　　往共種種論，	 汝 當 堅 固 心 往 共 種 種 論 
T13n0402_003:0548a08	　汝極五神通，　　當決定自在。」	 汝 極 五 神 通 當 決 定 自 在 
T13n0402_003:0548a09	爾時，魔王說此偈已，即隱不現，還於魔宮自	爾 時 魔 王 說 此 偈 已 即 隱 不 現 還 於 魔 宮 自 
T13n0402_003:0548a10	眷屬所，說如是偈：	眷 屬 所 說 如 是 偈 
T13n0402_003:0548a11	「汝等今日我邊聽，　　我今思得無比知，	 汝 等 今 日 我 邊 聽 我 今 思 得 無 比 知 
T13n0402_003:0548a12	　釋子所攝所共語，　　神通加彼令具足。	 釋 子 所 攝 所 共 語 神 通 加 彼 令 具 足 
T13n0402_003:0548a13	　彼幻示現自境界，　　奪我魔之廣大力，	 彼 幻 示 現 自 境 界 奪 我 魔 之 廣 大 力 
T13n0402_003:0548a14	　如母向子常軟語，　　悉令弟子生喜樂，	 如 母 向 子 常 軟 語 悉 令 弟 子 生 喜 樂 
T13n0402_003:0548a15	　恒日初分入城邑，　　徐步攝持正威儀，	 恒 日 初 分 入 城 邑 徐 步 攝 持 正 威 儀 
T13n0402_003:0548a16	　弟子所行所斷欲，　　彼彼自當我捉持。	 弟 子 所 行 所 斷 欲 彼 彼 自 當 我 捉 持 
T13n0402_003:0548a17	　美妙歌舞現其前，　　令彼見聞生惑著，	 美 妙 歌 舞 現 其 前 令 彼 見 聞 生 惑 著 
T13n0402_003:0548a18	　弟子見聞惑著已，　　應惱釋迦大仙意。」	 弟 子 見 聞 惑 著 已 應 惱 釋 迦 大 仙 意 
T13n0402_003:0548a19	爾時眾中，復有一魔說如是偈：	爾 時 眾 中 復 有 一 魔 說 如 是 偈 
T13n0402_003:0548a20	「我今化現可畏事，　　師子駝象虎水牛，	 我 今 化 現 可 畏 事 師 子 駝 象 虎 水 牛 
T13n0402_003:0548a21	　速疾奔馳彼城邑，　　驚動現威雷震聲，	 速 疾 奔 馳 彼 城 邑 驚 動 現 威 雷 震 聲 
T13n0402_003:0548a22	　神通化現無量事，　　復現兵器逼其前，	 神 通 化 現 無 量 事 復 現 兵 器 逼 其 前 
T13n0402_003:0548a23	　彼彼所棄諸欲者，　　或時迷亂令忘失。」	 彼 彼 所 棄 諸 欲 者 或 時 迷 亂 令 忘 失 
T13n0402_003:0548a24	爾時眾中，復有一魔說如是偈：	爾 時 眾 中 復 有 一 魔 說 如 是 偈 
T13n0402_003:0548a25	「我今於彼四衢道，　　化作樓觀俠其前，	 我 今 於 彼 四 衢 道 化 作 樓 觀 俠 其 前 
T13n0402_003:0548a26	　種種奇形醜惡面，　　種種器仗逼動彼，	 種 種 奇 形 醜 惡 面 種 種 器 仗 逼 動 彼 
T13n0402_003:0548a27	　空中大聲雨刀劍，　　驚動可畏雷雹聲，	 空 中 大 聲 雨 刀 劍 驚 動 可 畏 雷 雹 聲 
T13n0402_003:0548a28	　於彼境界不自在，　　速令消滅不現前。」	 於 彼 境 界 不 自 在 速 令 消 滅 不 現 前 
T13n0402_003:0548a29	爾時，魔王以神通力一切嚴駕，廣作如上一	爾 時 魔 王 以 神 通 力 一 切 嚴 駕 廣 作 如 上 一 
T13n0402_003:0548b01	切境界；如來大慈威德力故，亦廣如彼種種	切 境 界 如 來 大 慈 威 德 力 故 亦 廣 如 彼 種 種 
T13n0402_003:0548b02	示現，即時變此三千大千佛之世界，令此地	示 現 即 時 變 此 三千大千 佛 之 世 界 令 此 地 
T13n0402_003:0548b03	性猶如金剛，一切魔力不能改轉，亦復不能	性 猶如金剛 一 切 魔 力 不 能 改 轉 亦 復 不 能 
T13n0402_003:0548b04	更作惡聲，及以火山四方猛焰，亦不能作非	更 作 惡 聲 及 以 火 山 四 方 猛 焰 亦 不 能 作 非 
T13n0402_003:0548b05	時黑雲及惡風氣。佛力持故，乃至無有一龍	時 黑 雲 及 惡 風 氣 佛 力 持 故 乃 至 無 有 一 龍 
T13n0402_003:0548b06	能運其身下一渧雨。	能 運 其 身 下 一 渧 雨 
T13n0402_003:0548b07	爾時，四大聲聞日初分時，著衣持鉢入王舍	爾 時 四 大 聲 聞 日 初 分 時 著衣持鉢 入 王 舍 
T13n0402_003:0548b08	大城乞食。時尊者舍利弗，於城南門值魔童	大 城 乞 食 時 尊 者 舍 利 弗 於 城 南 門 值 魔 童 
T13n0402_003:0548b09	子其數五十，第一端正妙色莊嚴大人子相，	子 其 數 五 十 第 一 端 正 妙 色 莊 嚴 大 人 子 相 
T13n0402_003:0548b10	同在街路歌舞而行，遙見尊者舍利弗來，即	同 在 街 路 歌 舞 而 行 遙 見 尊 者 舍 利 弗 來 即 
T13n0402_003:0548b11	前共持尊者兩手，謂尊者曰：「汝舞，沙門！汝歌，	前 共 持 尊 者 兩 手 謂 尊 者 曰 汝 舞 沙 門 汝 歌 
T13n0402_003:0548b12	沙門！」時舍利弗語童子言：「汝當諦聽！先所未	沙 門 時 舍 利 弗 語 童 子 言 汝 當 諦 聽 先 所 未 
T13n0402_003:0548b13	聞，當令汝聞。」即為童子，說如是偈：	聞 當 令 汝 聞 即 為 童 子 說 如 是 偈 
T13n0402_003:0548b14	「諸入可厭患，　　殺處常欺我，	 諸 入 可 厭 患 殺 處 常 欺 我 
T13n0402_003:0548b15	　我今厭患已，　　盡彼入邊際；	 我 今 厭 患 已 盡 彼 入 邊 際 
T13n0402_003:0548b16	　諸陰可厭患，　　殺處常欺我，	 諸 陰 可 厭 患 殺 處 常 欺 我 
T13n0402_003:0548b17	　我今厭患已，　　盡彼陰邊際。」	 我 今 厭 患 已 盡 彼 陰 邊 際 
T13n0402_003:0548b18	爾時，舍利弗為魔童子說此偈已，即說呪曰：	爾 時 舍 利 弗 為 魔 童 子 說 此 偈 已 即 說 呪 曰 
T13n0402_003:0548b19	「哆姪也他(一)　婆呵囉(二)　婆呵囉(三)　婆囉(四)	 哆 姪 也 他 一 婆 呵 囉 二 婆 呵 囉 三 婆 囉 四 
T13n0402_003:0548b20	　婆囉(五)　末利支婆呵(六)　薩遮婆呵(七)　阿	 婆 囉 五 末 利 支 婆 呵 六 薩 遮 婆 呵 七 阿 
T13n0402_003:0548b21	磨婆呵(八)　薩婆呵(九)」	磨 婆 呵 八 薩 婆 呵 九 
T13n0402_003:0548b22	爾時，舍利弗於歌音中說如是偈及陀羅尼，	爾 時 舍 利 弗 於 歌 音 中 說 如 是 偈 及 陀 羅 尼 
T13n0402_003:0548b23	時魔王童子五十人等，聞是法音得未曾	時 魔 王 童 子 五 十 人 等 聞 是 法 音 得 未 曾 
T13n0402_003:0548b24	有，甚大歡喜信心清淨，向舍利弗說如是	有 甚 大 歡 喜 信 心 清 淨 向 舍 利 弗 說 如 是 
T13n0402_003:0548b25	偈：	偈 
T13n0402_003:0548b26	「正導我等今懺悔，　　為世間親善說者，	 正 導 我 等 今 懺 悔 為 世 間 親 善 說 者 
T13n0402_003:0548b27	　說陰可畏教我離，　　令我於此常證見。」	 說 陰 可 畏 教 我 離 令 我 於 此 常 證 見 
T13n0402_003:0548b28	時魔童子說是偈已，頭面著地禮尊者足，便	時 魔 童 子 說 是 偈 已 頭 面 著 地 禮 尊 者 足 便 
T13n0402_003:0548b29	於道中共坐聽法。爾時，尊者大目揵連欲入	於 道 中 共 坐 聽 法 爾 時 尊 者 大 目 揵 連 欲 入 
T13n0402_003:0548c01	王舍大城乞食，於城東門見五十童子，乃至	王 舍 大 城 乞 食 於 城 東 門 見 五 十 童 子 乃 至 
T13n0402_003:0548c02	於歌音中，說如是偈：	於 歌 音 中 說 如 是 偈 
T13n0402_003:0548c03	「諸界可厭患，　　殺處常欺我，	 諸 界 可 厭 患 殺 處 常 欺 我 
T13n0402_003:0548c04	　我今厭患已，　　盡彼界邊際；	 我 今 厭 患 已 盡 彼 界 邊 際 
T13n0402_003:0548c05	　諸受可厭患，　　殺處常欺我，	 諸 受 可 厭 患 殺 處 常 欺 我 
T13n0402_003:0548c06	　我今厭患已，　　盡彼受邊際；	 我 今 厭 患 已 盡 彼 受 邊 際 
T13n0402_003:0548c07	　思惟可厭患，　　殺處常欺我，	 思 惟 可 厭 患 殺 處 常 欺 我 
T13n0402_003:0548c08	　我厭思惟已，　　盡思惟邊際；	 我 厭 思 惟 已 盡 思 惟 邊 際 
T13n0402_003:0548c09	　諸想可厭患，　　殺處常欺我，	 諸 想 可 厭 患 殺 處 常 欺 我 
T13n0402_003:0548c10	　我今厭患已，　　盡彼想邊際。」	 我 今 厭 患 已 盡 彼 想 邊 際 
T13n0402_003:0548c11	時，大目連於歌聲中說是偈已，復說呪曰：	時 大 目 連 於 歌 聲 中 說 是 偈 已 復 說 呪 曰 
T13n0402_003:0548c12	「多姪也他(一)　阿磨婆(二)　阿磨婆(三)　阿磨婆(四)	 多 姪 也 他 一 阿 磨 婆 二 阿 磨 婆 三 阿 磨 婆 四 
T13n0402_003:0548c13	　阿磨婆(五)　阿囉闍(六)　囉挐闍呵(七)　奢藐他(八)	 阿 磨 婆 五 阿 囉 闍 六 囉 挐 闍 呵 七 奢 藐 他 八 
T13n0402_003:0548c14	　奢藐他(九)　奢藐他(十)　他伽那婆摩(十一)　娑婆訶	 奢 藐 他 九 奢 藐 他 十 他 伽 那 婆 摩 十 一 娑 婆 訶 
T13n0402_003:0548c15	(十二)」	 十 二 
T13n0402_003:0548c16	爾時，長老大目揵連為魔童子說如是偈及	爾 時 長 老 大 目 揵 連 為 魔 童 子 說 如 是 偈 及 
T13n0402_003:0548c17	陀羅尼，時五十童子第一歡喜生淨信心，說	陀 羅 尼 時 五 十 童 子 第 一 歡 喜 生 淨 信 心 說 
T13n0402_003:0548c18	如是偈：	如 是 偈 
T13n0402_003:0548c19	「具足密神通，　　聖主牟尼子，	 具 足 密 神 通 聖 主 牟 尼 子 
T13n0402_003:0548c20	　生死道過患，　　法燈普照示，	 生 死 道 過 患 法 燈 普 照 示 
T13n0402_003:0548c21	　能斷諸過惡，　　故我生信樂，	 能 斷 諸 過 惡 故 我 生 信 樂 
T13n0402_003:0548c22	　今既歸依佛，　　法僧亦歸依。」	 今 既 歸 依 佛 法 僧 亦 歸 依 
T13n0402_003:0548c23	爾時，五十魔之童子，於街道中即便接足禮	爾 時 五 十 魔 之 童 子 於 街 道 中 即 便 接 足 禮 
T13n0402_003:0548c24	大目連，於彼前坐正儀聽法。	大 目 連 於 彼 前 坐 正 儀 聽 法 
T13n0402_003:0548c25	爾時，長老富樓那彌多羅尼子，於城北門入	爾 時 長 老 富 樓 那 彌 多 羅 尼 子 於 城 北 門 入 
T13n0402_003:0548c26	城乞食乃至街中，隨彼童子所唱歌聲，於歌	城 乞 食 乃 至 街 中 隨 彼 童 子 所 唱 歌 聲 於 歌 
T13n0402_003:0548c27	音中，說如是偈：	音 中 說 如 是 偈 
T13n0402_003:0548c28	「諸觸可厭患，　　殺處常欺我，	 諸 觸 可 厭 患 殺 處 常 欺 我 
T13n0402_003:0548c29	　我今厭彼觸，　　故盡觸邊際；	 我 今 厭 彼 觸 故 盡 觸 邊 際 
T13n0402_003:0549a01	　諸根增上主，　　殺處常欺我，	 諸 根 增 上 主 殺 處 常 欺 我 
T13n0402_003:0549a02	　我今厭增上，　　故盡增上邊；	 我 今 厭 增 上 故 盡 增 上 邊 
T13n0402_003:0549a03	　惑業常流轉，　　殺處常欺我，	 惑 業 常 流 轉 殺 處 常 欺 我 
T13n0402_003:0549a04	　我今厭惑業，　　盡惑業邊際；	 我 今 厭 惑 業 盡 惑 業 邊 際 
T13n0402_003:0549a05	　諸有可厭患，　　殺處常欺我，	 諸 有 可 厭 患 殺 處 常 欺 我 
T13n0402_003:0549a06	　我今厭諸有，　　盡諸有邊際。」	 我 今 厭 諸 有 盡 諸 有 邊 際 
T13n0402_003:0549a07	爾時，富樓那於歌音中為魔童子說此偈已，	爾 時 富 樓 那 於 歌 音 中 為 魔 童 子 說 此 偈 已 
T13n0402_003:0549a08	告童子曰：「人命輕速難可保住，猶如山水	告 童 子 曰 人 命 輕 速 難 可 保 住 猶 如 山 水 
T13n0402_003:0549a09	迅浪奔流，命甚於彼，愚癡凡夫都不覺知。復	迅 浪 奔 流 命 甚 於 彼 愚 癡 凡 夫 都 不 覺 知 復 
T13n0402_003:0549a10	次，童子！一切凡夫色酒所醉無覺知者，聲酒	次 童 子 一 切 凡 夫 色 酒 所 醉 無 覺 知 者 聲 酒 
T13n0402_003:0549a11	所醉無覺知者，香酒所醉無覺知者，味酒所	所 醉 無 覺 知 者 香 酒 所 醉 無 覺 知 者 味 酒 所 
T13n0402_003:0549a12	醉無覺知者，觸酒所醉無覺知者。復次，童子！	醉 無 覺 知 者 觸 酒 所 醉 無 覺 知 者 復 次 童 子 
T13n0402_003:0549a13	人命輕速甚彼山水，愚癡凡夫都不見知，法	人 命 輕 速 甚 彼 山 水 愚 癡 凡 夫 都 不 見 知 法 
T13n0402_003:0549a14	酒所醉無覺知者，陰酒所醉無覺知者，界酒	酒 所 醉 無 覺 知 者 陰 酒 所 醉 無 覺 知 者 界 酒 
T13n0402_003:0549a15	所醉無覺知者，封食所醉無覺知者，樂酒	所 醉 無 覺 知 者 封 食 所 醉 無 覺 知 者 樂 酒 
T13n0402_003:0549a16	所醉無覺知者，生酒所醉無覺知者，欲酒所	所 醉 無 覺 知 者 生 酒 所 醉 無 覺 知 者 欲 酒 所 
T13n0402_003:0549a17	醉無覺知者。復次，童子！人命輕速猶如山水	醉 無 覺 知 者 復 次 童 子 人 命 輕 速 猶 如 山 水 
T13n0402_003:0549a18	迅浪奔流，命甚於彼，愚癡凡夫都不見知，乃	迅 浪 奔 流 命 甚 於 彼 愚 癡 凡 夫 都 不 見 知 乃 
T13n0402_003:0549a19	至為彼一切情識取著之酒，為所迷醉都不	至 為 彼 一 切 情 識 取 著 之 酒 為 所 迷 醉 都 不 
T13n0402_003:0549a20	覺知。」即為童子，而說呪曰：	覺 知 即 為 童 子 而 說 呪 曰 
T13n0402_003:0549a21	「多姪也他(一)　揭伽婆(二)　揭伽婆(三)　揭伽婆(四)	 多 姪 也 他 一 揭 伽 婆 二 揭 伽 婆 三 揭 伽 婆 四 
T13n0402_003:0549a22	　門致尼(五)　阿伐多(六)　毘伐多(七)　呿伐多(八)　跋囉	 門 致 尼 五 阿 伐 多 六 毘 伐 多 七 呿 伐 多 八 跋 囉 
T13n0402_003:0549a23	磨阿囉他(九)　殊底伐多(十)　娑婆呵(十一)」	磨 阿 囉 他 九 殊 底 伐 多 十 娑 婆 呵 十 一 
T13n0402_003:0549a24	爾時，長老富樓那於歌聲中，為魔童子說如	爾 時 長 老 富 樓 那 於 歌 聲 中 為 魔 童 子 說 如 
T13n0402_003:0549a25	此偈及陀羅尼句，時彼五十童子第一歡喜	此 偈 及 陀 羅 尼 句 時 彼 五 十 童 子 第 一 歡 喜 
T13n0402_003:0549a26	生淨信心，說如是偈：	生 淨 信 心 說 如 是 偈 
T13n0402_003:0549a27	「汝今教我寂滅道，　　諸界猶如彼幻炎，	 汝 今 教 我 寂 滅 道 諸 界 猶 如 彼 幻 炎 
T13n0402_003:0549a28	　世間唯從分別生，　　故我身命歸三寶。」	 世 間 唯 從 分 別 生 故 我 身 命 歸 三 寶 
T13n0402_003:0549a29	爾時，五十魔之童子於街道中，即便接足禮	爾 時 五 十 魔 之 童 子 於 街 道 中 即 便 接 足 禮 
T13n0402_003:0549b01	富樓那，於彼前坐正儀聽法。	富 樓 那 於 彼 前 坐 正 儀 聽 法 
T13n0402_003:0549b02	爾時，長老須菩提於城西門入王舍城，次第	爾 時 長 老 須 菩 提 於 城 西 門 入 王 舍 城 次 第 
T13n0402_003:0549b03	乞食。於街道中逢值魔王五十童子，華年盛	乞 食 於 街 道 中 逢 值 魔 王 五 十 童 子 華 年 盛 
T13n0402_003:0549b04	美顏色端正，容止庠雅大人子相，共戲街道	美 顏 色 端 正 容 止 庠 雅 大 人 子 相 共 戲 街 道 
T13n0402_003:0549b05	歌舞而行。見須菩提即便趨往，各共捉彼尊	歌 舞 而 行 見 須 菩 提 即 便 趨 往 各 共 捉 彼 尊 
T13n0402_003:0549b06	者兩手，作如是言：「汝歌，沙門！汝舞，沙門！」須	者 兩 手 作如是言 汝 歌 沙 門 汝 舞 沙 門 須 
T13n0402_003:0549b07	菩提言：「諦聽！童子！汝先歌音所未聞者，當令	菩 提 言 諦 聽 童 子 汝 先 歌 音 所 未 聞 者 當 令 
T13n0402_003:0549b08	汝聞，汝且默然聽我歌聲。」時，須菩提即為	汝 聞 汝 且 默 然 聽 我 歌 聲 時 須 菩 提 即 為 
T13n0402_003:0549b09	童子，說如是偈：	童 子 說 如 是 偈 
T13n0402_003:0549b10	「一切有為法，　　動性皆無常，	 一 切 有 為 法 動 性 皆 無 常 
T13n0402_003:0549b11	　如彼幻泡炎，　　雖見不可得，	 如 彼 幻 泡 炎 雖 見 不 可 得 
T13n0402_003:0549b12	　速疾生滅法，　　唯智者乃知。	 速 疾 生 滅 法 唯 智 者 乃 知 
T13n0402_003:0549b13	　觸受是苦擔，　　愚癡者隨著，	 觸 受 是 苦 擔 愚 癡 者 隨 著 
T13n0402_003:0549b14	　有為逼迫苦，　　一切悉無我，	 有 為 逼 迫 苦 一 切 悉 無 我 
T13n0402_003:0549b15	　更無一知識，　　令脫於苦者。	 更 無 一 知 識 令 脫 於 苦 者 
T13n0402_003:0549b16	　如信菩提道，　　親近修一相，	 如 信 菩 提 道 親 近 修 一 相 
T13n0402_003:0549b17	　謂離諸法想，　　不淨及無我。	 謂 離 諸 法 想 不 淨 及 無 我 
T13n0402_003:0549b18	　一切行相應，　　無實無性相，	 一 切 行 相 應 無 實 無 性 相 
T13n0402_003:0549b19	　諸法無命養，　　無人無作者，	 諸 法 無 命 養 無 人 無 作 者 
T13n0402_003:0549b20	　汝捨魔諂意，　　發覺生淨信。	 汝 捨 魔 諂 意 發 覺 生 淨 信 
T13n0402_003:0549b21	　諸識依本起，　　如電依虛空，	 諸 識 依 本 起 如 電 依 虛 空 
T13n0402_003:0549b22	　觸受思無我，　　觀察無有實；	 觸 受 思 無 我 觀 察 無 有 實 
T13n0402_003:0549b23	　愚癡凡夫聚，　　此陰恒流轉，	 愚 癡 凡 夫 聚 此 陰 恒 流 轉 
T13n0402_003:0549b24	　淨心分別生，　　作者不可得。	 淨 心 分 別 生 作 者 不 可 得 
T13n0402_003:0549b25	　真際寂滅空，　　能離一切邊，	 真 際 寂 滅 空 能 離 一 切 邊 
T13n0402_003:0549b26	　此法無無明，　　故說菩提行，	 此 法 無 無 明 故 說 菩 提 行 
T13n0402_003:0549b27	　如彼大船師，　　普運到菩提。」	 如 彼 大 船 師 普 運 到 菩 提 
T13n0402_003:0549b28	爾時，長老須菩提為魔童子說此偈已，即說	爾 時 長 老 須 菩 提 為 魔 童 子 說 此 偈 已 即 說 
T13n0402_003:0549b29	呪曰：	呪 曰 
T13n0402_003:0549c01	「多姪也他(一)　蘇文第(二)　毘文第(三)　文陀(四)	 多 姪 也 他 一 蘇 文 第 二 毘 文 第 三 文 陀 四 
T13n0402_003:0549c02	　闍醯(五)　賜離(六)　賜離(七)　賜離(八)　阿婆賜離	 闍 醯 五 賜 離 六 賜 離 七 賜 離 八 阿 婆 賜 離 
T13n0402_003:0549c03	(九)　阿婆呵賜離(十)　多他多婆賜離(十一)　步多俱胝	 九 阿 婆 呵 賜 離 十 多 他 多 婆 賜 離 十 一 步 多 俱 胝 
T13n0402_003:0549c04	賜離(十二)　娑婆呵(十三)」	賜 離 十 二 娑 婆 呵 十 三 
T13n0402_003:0549c05	爾時，長老須菩提為此童子於歌聲中，說此	爾 時 長 老 須 菩 提 為 此 童 子 於 歌 聲 中 說 此 
T13n0402_003:0549c06	偈辭及陀羅尼句，時彼五十童子第一歡喜	偈 辭 及 陀 羅 尼 句 時 彼 五 十 童 子 第 一 歡 喜 
T13n0402_003:0549c07	生淨信心，說如是偈：	生 淨 信 心 說 如 是 偈 
T13n0402_003:0549c08	「我依惡知識，　　未聞如是法，	 我 依 惡 知 識 未 聞 如 是 法 
T13n0402_003:0549c09	　愚癡無智故，　　造作此惡業，	 愚 癡 無 智 故 造 作 此 惡 業 
T13n0402_003:0549c10	　我今發露悔，　　願尊證知我。	 我 今 發 露 悔 願 尊 證 知 我 
T13n0402_003:0549c11	　尊從勝法生，　　故我發大願，	 尊 從 勝 法 生 故 我 發 大 願 
T13n0402_003:0549c12	　願我得作佛，　　普利益世間。」	 願 我 得 作 佛 普 利 益 世 間 
T13n0402_003:0549c13	時五十童子，於街道中即便接足禮須菩提，	時 五 十 童 子 於 街 道 中 即 便 接 足 禮 須 菩 提 
T13n0402_003:0549c14	於彼前坐正儀聽法。	於 彼 前 坐 正 儀 聽 法 
T13n0402_003:0549c15	爾時，世尊以神通力，令此街道百由旬量，廣	爾 時 世 尊 以 神 通 力 令 此 街 道 百 由 旬 量 廣 
T13n0402_003:0549c16	博嚴淨而為示現。時舍利弗北面而坐，大目	博 嚴 淨 而 為 示 現 時 舍 利 弗 北 面 而 坐 大 目 
T13n0402_003:0549c17	揵連西面而坐，富樓那南面而坐，須菩提	揵 連 西 面 而 坐 富 樓 那 南 面 而 坐 須 菩 提 
T13n0402_003:0549c18	東面而坐，四人住處共半由旬。應時，於彼四	東 面 而 坐 四 人 住 處 共 半 由 旬 應 時 於 彼 四 
T13n0402_003:0549c19	大聲聞坐處地中現大蓮華，縱廣正等五十	大 聲 聞 坐 處 地 中 現 大 蓮 華 縱 廣 正 等 五 十 
T13n0402_003:0549c20	肘量，閻浮檀金為莖，青毘琉璃為葉，勝藏	肘 量 閻浮檀金 為 莖 青 毘 琉 璃 為 葉 勝 藏 
T13n0402_003:0549c21	寶為鬚，真珠為蘃，華氣芬馥過彼天香，如	寶 為 鬚 真 珠 為 蘃 華 氣 芬 馥 過 彼 天 香 如 
T13n0402_003:0549c22	此蓮花是出世間善根所生。從此蓮華出大	此 蓮 花 是 出 世 間 善 根 所 生 從 此 蓮 華 出 大 
T13n0402_003:0549c23	光明，普照三千大千世界，於彼街道其華上	光 明 普 照 三千大千世界 於 彼 街 道 其 華 上 
T13n0402_003:0549c24	踊，高三人量而為示現；乃至四天王天此	踊 高 三 人 量 而 為 示 現 乃 至 四天王天 此 
T13n0402_003:0549c25	蓮華現，以彼天量高五由旬而為示現；	蓮 華 現 以 彼 天 量 高 五 由 旬 而 為 示 現 
T13n0402_003:0550a01	三十三天此蓮華現，以彼天量高百由旬而	三十三天 此 蓮 華 現 以 彼 天 量 高 百 由 旬 而 
T13n0402_003:0550a02	為示現；乃至阿迦尼吒天此蓮華現，以彼天量	為 示 現 乃 至 阿 迦 尼 吒 天 此 蓮 華 現 以 彼 天 量 
T13n0402_003:0550a03	高半由旬以為示現，於蓮華葉宣示種種美	高 半 由 旬 以 為 示 現 於 蓮 華 葉 宣 示 種 種 美 
T13n0402_003:0550a04	妙句義，此地眾生及彼諸天，皆聞華中如此	妙 句 義 此 地 眾 生 及 彼 諸 天 皆 聞 華 中 如 此 
T13n0402_003:0550a05	偈頌：	偈 頌 
T13n0402_003:0550a06	「唯佛清淨生此剎，　　退彼魔王并軍眾，	 唯 佛 清 淨 生 此 剎 退 彼 魔 王 并 軍 眾 
T13n0402_003:0550a07	　佛勇猛故轉法輪，　　世間因此故無疑，	 佛 勇 猛 故 轉 法 輪 世 間 因 此 故 無 疑 
T13n0402_003:0550a08	　諸有聰慧解義論，　　知法求法求解脫。	 諸 有 聰 慧 解 義 論 知 法 求 法 求 解 脫 
T13n0402_003:0550a09	　一切世間聰叡人，　　優波俱利最為上，	 一切世間 聰 叡 人 優 波 俱 利 最 為 上 
T13n0402_003:0550a10	　此為導師已調伏，　　善巧說此妙大法。	 此 為 導 師 已 調 伏 善 巧 說 此 妙 大 法 
T13n0402_003:0550a11	　一切世間上供養，　　供養牟尼能說者，	 一切世間 上 供 養 供 養 牟 尼 能 說 者 
T13n0402_003:0550a12	　具三世智能善說，　　所學三學能開示，	 具 三 世 智 能 善 說 所 學 三 學 能 開 示 
T13n0402_003:0550a13	　能救世間人天者，　　無量法義令解知，	 能 救 世 間 人 天 者 無 量 法 義 令 解 知 
T13n0402_003:0550a14	　利益世間教善行，　　方便智燈照世間。	 利 益 世 間 教 善 行 方 便 智 燈 照 世 間 
T13n0402_003:0550a15	　巧說妙法斷三垢，　　智慧利益無疲倦，	 巧 說 妙 法 斷 三 垢 智 慧 利 益 無 疲 倦 
T13n0402_003:0550a16	　世間極苦令解脫，　　無明闇蔽諸眾生，	 世 間 極 苦 令 解 脫 無 明 闇 蔽 諸 眾 生 
T13n0402_003:0550a17	　能與法眼不顛倒，　　一切大眾普已會。	 能 與 法 眼 不 顛 倒 一 切 大 眾 普 已 會 
T13n0402_003:0550a18	　此佛不久師子吼，　　如來能示第一義，	 此 佛 不 久 師 子 吼 如 來 能 示 第 一 義 
T13n0402_003:0550a19	　妙色力具展轉說，　　見世沈沒大苦海，	 妙 色 力 具 展 轉 說 見 世 沈 沒 大 苦 海 
T13n0402_003:0550a20	　來處世間擊法鼓，　　六根護中住上護，	 來 處 世 間 擊 法 鼓 六 根 護 中 住 上 護 
T13n0402_003:0550a21	　此六隨行六通智，　　六度上法佛所說。	 此 六 隨 行 六 通 智 六 度 上 法 佛 所 說 
T13n0402_003:0550a22	　決定說此六種子，　　能殺六根居村者，	 決 定 說 此 六 種 子 能 殺 六 根 居 村 者 
T13n0402_003:0550a23	　六無上事所念者，　　佛調御主令彼念。」	 六 無 上 事 所 念 者 佛 調 御 主 令 彼 念 
T13n0402_003:0550a24	於蓮華中說是偈已，乃至於彼六欲諸天，於	於 蓮 華 中 說 是 偈 已 乃 至 於 彼 六 欲 諸 天 於 
T13n0402_003:0550a25	蓮華中復為諸天說如是偈：	蓮 華 中 復 為 諸 天 說 如 是 偈 
T13n0402_003:0550a26	「汝等和合遊，　　樂著貪諸欲，	 汝 等 和 合 遊 樂 著 貪 諸 欲 
T13n0402_003:0550a27	　放逸心迷醉，　　愛蓋之所覆，	 放 逸 心 迷 醉 愛 蓋 之 所 覆 
T13n0402_003:0550a28	　愚癡常樂著，　　諸欲酒所醉，	 愚 癡 常 樂 著 諸 欲 酒 所 醉 
T13n0402_003:0550a29	　以彼放逸故，　　不供養善逝。	 以 彼 放 逸 故 不 供 養 善 逝 
T13n0402_003:0550b01	　諸欲無常壞，　　如彼水中月，	 諸 欲 無 常 壞 如 彼 水 中 月 
T13n0402_003:0550b02	　死生堅牢羂，　　眾生無脫者，	 死 生 堅 牢 羂 眾 生 無 脫 者 
T13n0402_003:0550b03	　此等無所依，　　放逸著諸欲，	 此 等 無 所 依 放 逸 著 諸 欲 
T13n0402_003:0550b04	　以樂諸欲故，　　永不得涅槃。	 以 樂 諸 欲 故 永 不 得 涅 槃 
T13n0402_003:0550b05	　常處放逸地，　　與滅不相應，	 常 處 放 逸 地 與 滅 不 相 應 
T13n0402_003:0550b06	　不看先所作，　　為淨為不淨，	 不 看 先 所 作 為 淨 為 不 淨 
T13n0402_003:0550b07	　為業受老死，　　怖畏恒圍遶，	 為 業 受 老 死 怖 畏 恒 圍 遶 
T13n0402_003:0550b08	　汝等放逸故，　　三惡地所行。	 汝 等 放 逸 故 三 惡 地 所 行 
T13n0402_003:0550b09	　以施調繫心，　　恒修不放逸，	 以 施 調 繫 心 恒 修 不 放 逸 
T13n0402_003:0550b10	　先所作善業，　　應當勤護持，	 先 所 作 善 業 應 當 勤 護 持 
