T85n2859_001:1314b03	惠遠外傳	惠 遠 外 傳 
T85n2859_001:1316b10	智。浮名為二足。忽即有身而無知。忽即有智	智 浮 名 為 二 足 忽 即 有 身 而 無 知 忽 即 有 智 
T85n2859_001:1316b11	而無身。只此身智不愚相逢所已。沈輪惡道	而 無 身 只 此 身 智 不 愚 相 逢 所 已 沈 輪 惡 道 
T85n2859_001:1316b12	身智若也相逢。便乃生於佛道所。已大師有	身 智 若 也 相 逢 便 乃 生 於 佛 道 所 已 大 師 有 
T85n2859_001:1316b13	偈。	偈 
T85n2859_001:1316b14	身生智未生智生。身已老身恨智生遲智恨。	身 生 智 未 生 智 生 身 已 老 身 恨 智 生 遲 智 恨 
T85n2859_001:1316b15	身生早身智不相逢。曾經幾度老身智。若相	身 生 早 身 智 不 相 逢 曾 經 幾 度 老 身 智 若 相 
T85n2859_001:1316b16	逢即得成佛道。有此身智此即名為二足。第	逢 即 得 成 佛 道 有 此 身 智 此 即 名 為 二 足 第 
T85n2859_001:1316b17	八四足者。人生四大屬地水火風。四方四海	八 四 足 者 人 生 四 大 屬 地水火風 四 方 四 海 
T85n2859_001:1316b18	此即名為四足。第九多足者。萬法皆通是無	此 即 名 為 四 足 第 九 多 足 者 萬 法 皆 通 是 無 
T85n2859_001:1316b19	不會世間之事盡總皆之一切經書問無不	不 會 世 間 之 事 盡 總 皆 之 一 切 經 書 問 無 不 
T85n2859_001:1316b20	答。十二部尊經記在心中。此即名為多足。第	答 十 二 部 尊 經 記 在 心 中 此 即 名 為 多 足 第 
T85n2859_001:1316b21	十無足者。雖即為人是事不困不辯。東西與	十 無 足 者 雖 即 為 人 是 事 不 困 不 辯 東 西 與 
T85n2859_001:1316b22	畜生無異。此即名為無足。上來十類各各不	畜 生 無 異 此 即 名 為 無 足 上 來 十 類 各 各 不 
T85n2859_001:1316b23	同。更若有疑。任相公所問。相公聞語由如甘	同 更 若 有 疑 任 相 公 所 問 相 公 聞 語 由 如 甘 
T85n2859_001:1316b24	露入心。夫人開之也似醍醐灌頂。相公喚善	露 入 心 夫 人 開 之 也 似 醍 醐 灌 頂 相 公 喚 善 
T85n2859_001:1316b25	慶。近前適來。據汝宣揚也。不若於道安與我	慶 近 前 適 來 據 汝 宣 揚 也 不 若 於 道 安 與 我 
T85n2859_001:1316b26	更說少多。令我心開悟解得佛法分明。於是善	更 說 少 多 令 我 心 開 悟 解 得 佛 法 分 明 於 是 善 
T85n2859_001:1316b27	慶為相公說十二因緣。無明緣行行緣識識緣	慶 為 相 公 說 十二因緣 無明緣行 行 緣 識 識 緣 
T85n2859_001:1316b28	名色名色緣六入六入緣觸觸緣受受緣愛愛	名 色 名 色 緣 六 入 六 入 緣 觸 觸 緣 受 受 緣 愛 愛 
T85n2859_001:1316b29	緣取取緣有有緣生生緣老病死憂悲苦惱。無	緣 取 取 緣 有 有 緣 生 生 緣 老 病 死 憂 悲 苦 惱 無 
T85n2859_001:1316c01	名滅即行滅。即識滅即名色滅即六入滅即觸	名 滅 即 行 滅 即 識 滅 即 名 色 滅 即 六 入 滅 即 觸 
T85n2859_001:1316c02	滅即受滅即愛滅即取滅即生滅即老病死憂	滅 即 受 滅 即 愛 滅 即 取 滅 即 生 滅 即 老 病 死 憂 
T85n2859_001:1316c03	悲苦惱滅。此十二因緣相公聞之頻稱善哉。	悲 苦 惱 滅 此 十二因緣 相 公 聞 之 頻 稱 善 哉 
T85n2859_001:1316c04	夫人此時嘆念得無量福田。善慶此時遂下	夫 人 此 時 嘆 念 得 無 量 福 田 善 慶 此 時 遂 下 
T85n2859_001:1316c05	高坐啟相公。只如道安法師。如虛空中造立	高 坐 啟 相 公 只 如 道 安 法 師 如 虛 空 中 造 立 
T85n2859_001:1316c06	堂殿終不能成就。臨欲成就還當墮落。賤奴	堂 殿 終 不 能 成 就 臨 欲 成 就 還 當 墮 落 賤 奴 
T85n2859_001:1316c07	身雖為下賤。佛法一般衣服不同體無兩種。	身 雖 為 下 賤 佛 法 一 般 衣 服 不 同 體 無 兩 種 
T85n2859_001:1316c08	賤奴今者欲擬從相公於入寺中與法師道安	賤 奴 今 者 欲 擬 從 相 公 於 入 寺 中 與 法 師 道 安 
T85n2859_001:1316c09	同時。故義相公曰。汝若有心。吾也不障。於	同 時 故 義 相 公 曰 汝 若 有 心 吾 也 不 障 於 
T85n2859_001:1316c10	是相公與夫人令善慶西院內香湯沐浴重換	是 相 公 與 夫 人 令 善 慶 西 院 內 香 湯 沐 浴 重 換 
T85n2859_001:1316c11	衣裝放善慶。且歸房中歇息待來日。侵晨別	衣 裝 放 善 慶 且 歸 房 中 歇 息 待 來 日 侵 晨 別 
T85n2859_001:1316c12	有處分。善慶既歸房中。澄心淨意直至天明。	有 處 分 善 慶 既 歸 房 中 澄 心 淨 意 直 至 天 明 
T85n2859_001:1316c13	更無睡眠。須臾入朝之時。善慶亦從相公入	更 無 睡 眠 須 臾 入 朝 之 時 善 慶 亦 從 相 公 入 
T85n2859_001:1316c14	內。相公朝却退歸宅內歇息。遂喚善慶相公	內 相 公 朝 却 退 歸 宅 內 歇 息 遂 喚 善 慶 相 公 
T85n2859_001:1316c15	曰。是他道安是國內高僧。汝須子細思量。善	曰 是 他 道 安 是 國 內 高 僧 汝 須 子 細 思 量 善 
T85n2859_001:1316c16	慶啟相公曰。俗彥云。有語。入山不避狼虎者	慶 啟 相 公 曰 俗 彥 云 有 語 入 山 不 避 狼 虎 者 
T85n2859_001:1316c17	是樵父之勇也。入水不避蛟龍者是魚父之	是 樵 父 之 勇 也 入 水 不 避 蛟 龍 者 是 魚 父 之 
T85n2859_001:1316c18	勇也。但賤奴若得道安論義。如渴得漿如寒	勇 也 但 賤 奴 若 得 道 安 論 義 如 渴 得 漿 如 寒 
T85n2859_001:1316c19	得火。請相公高枕無憂。只時講降時便去。須	得 火 請 相 公 高 枕 無 憂 只 時 講 降 時 便 去 須 
T85n2859_001:1316c20	臾之間已至。相公先遣錢二百貫文。然後將	臾 之 間 已 至 相 公 先 遣 錢 二 百 貫 文 然 後 將 
T85n2859_001:1316c21	善慶來入寺內。其時聽眾如雲。施利若鍾聲。	善 慶 來 入 寺 內 其 時 聽 眾 如 雲 施 利 若 鍾 聲 
T85n2859_001:1316c22	既動即上講都講舉維那作梵。四眾瞻仰如	既 動 即 上 講 都 講 舉 維 那 作 梵 四 眾 瞻 仰 如 
T85n2859_001:1316c23	登靈鷲山中。道安欲擬忻心若座奄羅會上。	登 靈 鷲 山 中 道 安 欲 擬 忻 心 若 座 奄 羅 會 上 
T85n2859_001:1316c24	於是道安手把如意身座寶臺。廣焚無價寶	於 是 道 安 手 把 如 意 身 座 寶 臺 廣 焚 無 價 寶 
T85n2859_001:1316c25	香。即宣妙義。發聲乃唱。便舉經題云。大涅	香 即 宣 妙 義 發 聲 乃 唱 便 舉 經 題 云 大 涅 
T85n2859_001:1316c26	槃經如來壽量品第一。開經已了歎佛威儀。	槃 經 如 來 壽 量 品 第 一 開 經 已 了 歎 佛 威 儀 
T85n2859_001:1316c27	先表聖賢後談帝德。伏願今皇帝道應龍駼	先 表 聖 賢 後 談 帝 德 伏 願 今 皇 帝 道 應 龍 駼 
T85n2859_001:1316c28	德光金園握金鏡如曜九天從神光而臨八	德 光 金 園 握 金 鏡 如 曜 九 天 從 神 光 而 臨 八 
T85n2859_001:1316c29	表。願諸王太子金支永固玉葉恒春公主貴	表 願 諸 王 太 子 金 支 永 固 玉 葉 恒 春 公 主 貴 
T85n2859_001:1317a01	肥貞華永曜朝庭。卿相盡孝盡忠郡縣官寮	肥 貞 華 永 曜 朝 庭 卿 相 盡 孝 盡 忠 郡 縣 官 寮 
T85n2859_001:1317a02	唯清唯直。座下善男善女千災霧卷瘴逐雲	唯 清 唯 直 座 下 善 男 善 女 千 災 霧 卷 瘴 逐 雲 
T85n2859_001:1317a03	宵。災害不侵功德圓滿。三塗地獄悉苦停酸。	宵 災 害 不 侵 功 德 圓 滿 三 塗 地 獄 悉 苦 停 酸 
T85n2859_001:1317a04	法界眾生同霑此福。嘆之已了擬入經題。其	法 界 眾 生 同 霑 此 福 嘆 之 已 了 擬 入 經 題 其 
T85n2859_001:1317a05	時善慶亦其堂內起來高聲便喚止住經題。	時 善 慶 亦 其 堂 內 起 來 高 聲 便 喚 止 住 經 題 
T85n2859_001:1317a06	四眾見之無不驚愕。善慶漸近前來指云。道	四 眾 見 之 無 不 驚 愕 善 慶 漸 近 前 來 指 云 道 
T85n2859_001:1317a07	安上人大能說法。闍梨開經講讚。渲佛真宗	安 上 人 大 能 說 法 闍 梨 開 經 講 讚 渲 佛 真 宗 
T85n2859_001:1317a08	廣度愚迷。宣揚聖教文詞璨[王*蘭]。城內無雙利	廣 度 愚 迷 宣 揚 聖 教 文 詞 璨 [王蘭] 城 內 無 雙 利 
T85n2859_001:1317a09	益眾生。莫知其數。長於苦海。如作法船。結大	益 眾 生 莫 知 其 數 長 於 苦 海 如 作 法 船 結 大 
T85n2859_001:1317a10	果因渡人生死。未審所講是何經文。為諸眾	果 因 渡 人 生 死 未 審 所 講 是 何 經 文 為 諸 眾 
T85n2859_001:1317a11	生宣揚。何涉誰家章疏。演唱真宗欲委根元。	生 宣 揚 何 涉 誰 家 章 疏 演 唱 真 宗 欲 委 根 元 
T85n2859_001:1317a12	乞垂請說。法師講讚海內知名。人主稱傳國	乞 垂 請 說 法 師 講 讚 海 內 知 名 人 主 稱 傳 國 
T85n2859_001:1317a13	中第一。相公在此聊述聲揚暖道場將為法	中 第 一 相 公 在 此 聊 述 聲 揚 暖 道 場 將 為 法 
T85n2859_001:1317a14	樂。上人若垂大造立儀。將來不棄蒭堯。即當	樂 上 人 若 垂 大 造 立 儀 將 來 不 棄 蒭 堯 即 當 
T85n2859_001:1317a15	恩幸。於是道安聞語作色動容嘖善慶曰。亡	恩 幸 於 是 道 安 聞 語 作 色 動 容 嘖 善 慶 曰 亡 
T85n2859_001:1317a16	空便額我佛。如來妙典義理幽玄。佛法難思	空 便 額 我 佛 如 來 妙 典 義 理 幽 玄 佛 法 難 思 
T85n2859_001:1317a17	非君所會。不辭與汝解脫。似頑石安在水中。	非 君 所 會 不 辭 與 汝 解 脫 似 頑 石 安 在 水 中 
T85n2859_001:1317a18	水體姓本潤。頑石無由入得。汝見今身且為	水 體 姓 本 潤 頑 石 無 由 入 得 汝 見 今 身 且 為 
T85n2859_001:1317a19	下賤。如何即得自由佛法付囑。國王大臣智	下 賤 如 何 即 得 自 由 佛 法 付 囑 國 王 大 臣 智 
T85n2859_001:1317a20	者方能了義。汝可不聞道外書。言堪與言即	者 方 能 了 義 汝 可 不 聞 道 外 書 言 堪 與 言 即 
T85n2859_001:1317a21	言不堪與言失言。夫子留教上遣如思。不與	言 不 堪 與 言 失 言 夫 子 留 教 上 遣 如 思 不 與 
T85n2859_001:1317a22	儞下愚之人解脫。維那檢校莫遣喧囂。聽經	儞 下 愚 之 人 解 脫 維 那 檢 校 莫 遣 喧 囂 聽 經 
T85n2859_001:1317a23	時光可昔汝不解。低頭莫語用意專聽。上座	時 光 可 昔 汝 不 解 低 頭 莫 語 用 意 專 聽 上 座 
T85n2859_001:1317a24	講筵聽眾宣揚。普皆聞法不事在作一箇問	講 筵 聽 眾 宣 揚 普 皆 聞 法 不 事 在 作 一 箇 問 
T85n2859_001:1317a25	法之人。但知會下座者不逆其意。若是諸人	法 之 人 但 知 會 下 座 者 不 逆 其 意 若 是 諸 人 
T85n2859_001:1317a26	即怕儞。道安是他善慶阿誰怕儞。於是善慶	即 怕 儞 道 安 是 他 善 慶 阿 誰 怕 儞 於 是 善 慶 
T85n2859_001:1317a27	聞語轉更高聲。遙指道安怒聲責曰。闍梨去	聞 語 轉 更 高 聲 遙 指 道 安 怒 聲 責 曰 闍 梨 去 
T85n2859_001:1317a28	就也是一箇志道。宵像所出言問不合聖意。	就 也 是 一 箇 志 道 宵 像 所 出 言 問 不 合 聖 意 
T85n2859_001:1317a29	我如來留教經乃分明蠢動含靈皆霑佛性。	我 如 來 留 教 經 乃 分 明 蠢 動 含 靈 皆 霑 佛 性 
T85n2859_001:1317b01	公還誦金剛經以否。胎卵濕化十類四生有	公 還 誦 金 剛 經 以 否 胎 卵 濕 化 十 類 四 生 有 
T85n2859_001:1317b02	形無形有相無相皆得涅槃而言滅度。我乃	形 無 形 有 相 無 相 皆 得 涅 槃 而 言 滅 度 我 乃 
T85n2859_001:1317b03	是人豈得不合聞法。我為下賤。佛性無殊。緇	是 人 豈 得 不 合 聞 法 我 為 下 賤 佛 性 無 殊 緇 
T85n2859_001:1317b04	眠不同。法應無二。不見道孔丘雖聖著久迷	眠 不 同 法 應 無 二 不 見 道 孔 丘 雖 聖 著 久 迷 
T85n2859_001:1317b05	對曰之言大覺世尊上有金槍之難。維摩居士	對 曰 之 言 大 覺 世 尊 上 有 金 槍 之 難 維 摩 居 士 
T85n2859_001:1317b06	由遭光嚴童子唱責。忍辱仙人被歌利王割	由 遭 光 嚴 童 子 唱 責 忍 辱 仙 人 被 歌 利 王 割 
T85n2859_001:1317b07	截身體。君子不欺闇室蓋俗事之常談。賤奴	截 身 體 君 子 不 欺 闇 室 蓋 俗 事 之 常 談 賤 奴 
T85n2859_001:1317b08	擬問經文座主忘空便額。只如峻山却生毒	擬 問 經 文 座 主 忘 空 便 額 只 如 峻 山 却 生 毒 
T85n2859_001:1317b09	藥。淤埿之中乃生蓮華。彼布袋裏有明珠。錦	藥 淤 埿 之 中 乃 生 蓮 華 彼 布 袋 裏 有 明 珠 錦 
T85n2859_001:1317b10	袋裏成糠。何用座主莫望山採木以貌取之。	袋 裏 成 糠 何 用 座 主 莫 望 山 採 木 以 貌 取 之 
T85n2859_001:1317b11	若作如思還失其子羽。只如佛法大體均平。	若 作 如 思 還 失 其 子 羽 只 如 佛 法 大 體 均 平 
T85n2859_001:1317b12	似降甘澤普其總潤。不可平田殘草下頻滋。	似 降 甘 澤 普 其 總 潤 不 可 平 田 殘 草 下 頻 滋 
T85n2859_001:1317b13	沆坎丘陵不蒙惠澤。兩元平等自然莫殺。彼	沆 坎 丘 陵 不 蒙 惠 澤 兩 元 平 等 自 然 莫 殺 彼 
T85n2859_001:1317b14	我之心一切無異。不見藥王菩薩皆標四時	我 之 心 一 切 無 異 不 見 藥 王 菩 薩 皆 標 四 時 
T85n2859_001:1317b15	五菓。桃李皆從八節因地而生。藥草喻中分	五 菓 桃 李 皆 從 八 節 因 地 而 生 藥 草 喻 中 分 
T85n2859_001:1317b16	明乃說。大根大樹大枝大葉。各逐根基因地	明 乃 說 大 根 大 樹 大 枝 大 葉 各 逐 根 基 因 地 
T85n2859_001:1317b17	而所有不可不甘甜菓子兩便甘。甜苦澁菓	而 所 有 不 可 不 甘 甜 菓 子 兩 便 甘 甜 苦 澁 菓 
T85n2859_001:1317b18	子兩便苦澁。兩元一味受性自殊。但行平等	子 兩 便 苦 澁 兩 元 一 味 受 性 自 殊 但 行 平 等 
T85n2859_001:1317b19	之心法界自然安樂。相公在於座主莫謾生	之 心 法 界 自 然 安 樂 相 公 在 於 座 主 莫 謾 生 
T85n2859_001:1317b20	人但之好好立義將來願好相祗對。於是道	人 但 之 好 好 立 義 將 來 願 好 相 祗 對 於 是 道 
T85n2859_001:1317b21	安被數摩羅非常。恥見相公羞看四眾。遂攪	安 被 數 摩 羅 非 常 恥 見 相 公 羞 看 四 眾 遂 攪 
T85n2859_001:1317b22	典尺拋在一邊。漸近前來怒聲責曰。善慶汝	典 尺 拋 在 一 邊 漸 近 前 來 怒 聲 責 曰 善 慶 汝 
T85n2859_001:1317b23	豈不聞道鬪不著底死亦難當。豈緣一鼠之	豈 不 聞 道 鬪 不 著 底 死 亦 難 當 豈 緣 一 鼠 之 
T85n2859_001:1317b24	謙勞發千均之弩。汝若見吾之鼓不辭對答	謙 勞 發 千 均 之 弩 汝 若 見 吾 之 鼓 不 辭 對 答 
T85n2859_001:1317b25	往來。蟭蟟共鵰鳥如同飛對汝靈拋氣力解	往 來 蟭 蟟 共 鵰 鳥 如 同 飛 對 汝 靈 拋 氣 力 解 
T85n2859_001:1317b26	事低故。莫語用意專聽這遍。若不取我指撝	事 低 故 莫 語 用 意 專 聽 這 遍 若 不 取 我 指 撝 
T85n2859_001:1317b27	不免相公邊。請杖決了趁出寺門。不得聞經	不 免 相 公 邊 請 杖 決 了 趁 出 寺 門 不 得 聞 經 
T85n2859_001:1317b28	謾說抂詞。悔將何及。善慶聞語轉更高□。搖	謾 說 抂 詞 悔 將 何 及 善 慶 聞 語 轉 更 高 搖 
T85n2859_001:1317b29	指道安。許公輒行操次座主。身披法服常宣	指 道 安 許 公 輒 行 操 次 座 主 身 披 法 服 常 宣 
T85n2859_001:1317c01	直經。合興無量之心具六波羅蜜行發菩提	直 經 合 興 無 量 之 心 具 六波羅蜜 行 發 菩 提 
T85n2859_001:1317c02	心利益眾生出於三界。何得心無慈慜毒害	心 利 益 眾 生 出 於 三 界 何 得 心 無 慈 慜 毒 害 
T85n2859_001:1317c03	尤深。欺誑平人擬於相公邊。請杖據思行即	尤 深 欺 誑 平 人 擬 於 相 公 邊 請 杖 據 思 行 即 
T85n2859_001:1317c04	不合真宗。所出言辭何殊外道。闍梨自稱鵰	不 合 真 宗 所 出 言 辭 何 殊 外 道 闍 梨 自 稱 鵰 
T85n2859_001:1317c05	鳥直擬舉翼摩天。嘆他乃作蟭蟟栖宿常居	鳥 直 擬 舉 翼 摩 天 嘆 他 乃 作 蟭 蟟 栖 宿 常 居 
T85n2859_001:1317c06	小草。不見道心麁者失欺敲者忘意。況今朝	小 草 不 見 道 心 麁 者 失 欺 敲 者 忘 意 況 今 朝 
T85n2859_001:1317c07	莫語便須用意。莫難謾麁疎詞。理若乖便為	莫 語 便 須 用 意 莫 難 謾 麁 疎 詞 理 若 乖 便 為 
T85n2859_001:1317c08	弟子勞把繩故莫交失乎。若也祇對一一字	弟 子 勞 把 繩 故 莫 交 失 乎 若 也 祇 對 一 一 字 
T85n2859_001:1317c09	參差却到賤奴。向相公邊請杖就高座上。拽	參 差 却 到 賤 奴 向 相 公 邊 請 杖 就 高 座 上 拽 
T85n2859_001:1317c10	下決了趁出寺門。不得為眾宣揚莫言不道。	下 決 了 趁 出 寺 門 不 得 為 眾 宣 揚 莫 言 不 道 
T85n2859_001:1317c11	道安備難度口無詞。恥見相公羞看四眾。量	道 安 備 難 度 口 無 詞 恥 見 相 公 羞 看 四 眾 量 
T85n2859_001:1317c12	久之間乃喚善慶近前。上來言語總是共汝	久 之 間 乃 喚 善 慶 近 前 上 來 言 語 總 是 共 汝 
T85n2859_001:1317c13	作劇。汝也莫生頗我之心。吾也不見汝過。初	作 劇 汝 也 莫 生 頗 我 之 心 吾 也 不 見 汝 過 初 
T85n2859_001:1317c14	見汝說實載驚疑。將將為腦亂講延有煩聽	見 汝 說 實 載 驚 疑 將 將 為 腦 亂 講 延 有 煩 聽 
T85n2859_001:1317c15	眾。吾今知汝實是能人。若問經題吾能奉答。	眾 吾 今 知 汝 實 是 能 人 若 問 經 題 吾 能 奉 答 
T85n2859_001:1317c16	善慶曰。闍梨自稱却道莫生頗我之心。如來	善 慶 曰 闍 梨 自 稱 却 道 莫 生 頗 我 之 心 如 來 
T85n2859_001:1317c17	留教隨經皆因阿闍世尊談宣是人總會今言	留 教 隨 經 皆 因 阿 闍 世 尊 談 宣 是 人 總 會 今 言 
T85n2859_001:1317c18	許問不見敢有違。但知且問經名。後乃必當	許 問 不 見 敢 有 違 但 知 且 問 經 名 後 乃 必 當 
T85n2859_001:1317c19	有問。道安曰。商來問貧道所講經文當是大	有 問 道 安 曰 商 來 問 貧 道 所 講 經 文 當 是 大 
T85n2859_001:1317c20	涅槃經。善慶聞之分明記取。善慶問曰。何者	涅 槃 經 善 慶 聞 之 分 明 記 取 善 慶 問 曰 何 者 
T85n2859_001:1317c21	名為涅。何者名為槃。道安答曰。大者是廣	名 為 涅 何 者 名 為 槃 道 安 答 曰 大 者 是 廣 
T85n2859_001:1317c22	也。要廣利一切眾生。出於苦海。涅者是不	也 要 廣 利 一 切 眾 生 出 於 苦 海 涅 者 是 不 
T85n2859_001:1317c23	生之義。不生不滅即契真如。無去無來便為	生 之 義 不生不滅 即 契 真 如 無 去 無 來 便 為 
T85n2859_001:1317c24	佛性。槃之一字般運眾生出於三界令達彼	佛 性 槃 之 一 字 般 運 眾 生 出 於 三 界 令 達 彼 
T85n2859_001:1317c25	岸。善慶曰。上來三字義七般。善慶聞之切須	岸 善 慶 曰 上 來 三 字 義 七 般 善 慶 聞 之 切 須 
T85n2859_001:1317c26	記當。一者喻若春楊既動萬草皆生。不論淺	記 當 一 者 喻 若 春 楊 既 動 萬 草 皆 生 不 論 淺 
T85n2859_001:1317c27	谷深嵠處處盡皆也。發妙法經名記立如來	谷 深 嵠 處 處 盡 皆 也 發 妙 法 經 名 記 立 如 來 
T85n2859_001:1317c28	宣說流行眾生不揀高低。聞經例皆發善。二	宣 說 流 行 眾 生 不 揀 高 低 聞 經 例 皆 發 善 二 
T85n2859_001:1317c29	者喻如繩木之義。便即去邪歸正。三者喻蕩	者 喻 如 繩 木 之 義 便 即 去 邪 歸 正 三 者 喻 蕩 
T85n2859_001:1318a01	泉之義。湛湛不滅不流。經文長在世間流轉	泉 之 義 湛 湛 不 滅 不 流 經 文 長 在 世 間 流 轉 
T85n2859_001:1318a02	無休無歇。四者喻如江海能通萬斛之船。眾	無 休 無 歇 四 者 喻 如 江 海 能 通 萬 斛 之 船 眾 
T85n2859_001:1318a03	生欲過江潮第一須憑高掉。經文流轉於世	生 欲 過 江 潮 第 一 須 憑 高 掉 經 文 流 轉 於 世 
T85n2859_001:1318a04	間。能超出離之人欲擬進道修行。第一須憑	間 能 超 出 離 之 人 欲 擬 進 道 修 行 第 一 須 憑 
T85n2859_001:1318a05	經力。五者喻於天地覆載眾生若也。天地全	經 力 五 者 喻 於 天 地 覆 載 眾 生 若 也 天 地 全 
T85n2859_001:1318a06	無萬像憑。何如立涅槃經文。既有眾生於此	無 萬 像 憑 何 如 立 涅 槃 經 文 既 有 眾 生 於 此 
T85n2859_001:1318a07	修行若若也。經法全無憑行。何如出世。六者	修 行 若 若 也 經 法 全 無 憑 行 何 如 出 世 六 者 
T85n2859_001:1318a08	喻如經緯能成錦綵羅紈。直繞大絹與綾皆	喻 如 經 緯 能 成 錦 綵 羅 紈 直 繞 大 絹 與 綾 皆 
T85n2859_001:1318a09	總因他經緯妙法經名既立。修道者因此如	總 因 他 經 緯 妙 法 經 名 既 立 修 道 者 因 此 如 
T85n2859_001:1318a10	成直至無上菩提。盡總憑他經力。七者喻如	成 直 至 無上菩提 盡 總 憑 他 經 力 七 者 喻 如 
T85n2859_001:1318a11	路逕解通往來之人。欲行千里之人起發因	路 逕 解 通 往 來 之 人 欲 行 千 里 之 人 起 發 因 
T85n2859_001:1318a12	他通路眾生發心修道先須讀誦經文。所已	他 通 路 眾 生 發 心 修 道 先 須 讀 誦 經 文 所 已 
T85n2859_001:1318a13	後聖道從資取眾。上來七義各各不同。共識	後 聖 道 從 資 取 眾 上 來 七 義 各各不同 共 識 
T85n2859_001:1318a14	經之字。善慶聞之還須記取。善慶曰。經之一	經 之 字 善 慶 聞 之 還 須 記 取 善 慶 曰 經 之 一 
T85n2859_001:1318a15	字還有多般。更有經名已否。道安答曰。涅槃	字 還 有 多 般 更 有 經 名 已 否 道 安 答 曰 涅 槃 
T85n2859_001:1318a16	之義無量無邊。□說經名如何得盡。譬如世	之 義 無量無邊 說 經 名 如 何 得 盡 譬 如 世 
T85n2859_001:1318a17	間百姓萬戶千門憑何而處理遂乃立期州縣	間 百 姓 萬 戶 千 門 憑 何 而 處 理 遂 乃 立 期 州 縣 
T85n2859_001:1318a18	縣各自列土分疆。經之一字分宣萬法。因此	縣 各 自 列 土 分 疆 經 之 一 字 分 宣 萬 法 因 此 
T85n2859_001:1318a19	各異州縣。要藉官長妙法須立經名。三十縣	各 異 州 縣 要 藉 官 長 妙 法 須 立 經 名 三 十 縣 
T85n2859_001:1318a20	若無官人。百姓憑何而理。經文製其疏。抄者	若 無 官 人 百 姓 憑 何 而 理 經 文 製 其 疏 抄 者 
T85n2859_001:1318a21	梳也。譬如亂髮□其梳理。萬法既立經名。眾	梳 也 譬 如 亂 髮 其 梳 理 萬 法 既 立 經 名 眾 
T85n2859_001:1318a22	聖因茲成道。上來所答並總依經。更若有疑	聖 因 茲 成 道 上 來 所 答 並 總 依 經 更 若 有 疑 
T85n2859_001:1318a23	任君再問。善慶曰。經之七義且放。闍梨更	任 君 再 問 善 慶 曰 經 之 七 義 且 放 闍 梨 更 
T85n2859_001:1318a24	問少多許之已否。道安答曰。貧道天以人為	問 少 多 許 之 已 否 道 安 答 曰 貧 道 天 以 人 為 
T85n2859_001:1318a25	師。義若湧泉。法如流水。汝若要問。但請問	師 義 若 湧 泉 法 如 流 水 汝 若 要 問 但 請 問 
T85n2859_001:1318a26	之。今對與前疑速說。善慶曰。若夫佛法師書	之 今 對 與 前 疑 速 說 善 慶 曰 若 夫 佛 法 師 書 
T85n2859_001:1318a27	總歸依輕塵嶽墜露添流依莫惻其憑敬之□	總 歸 依 輕 塵 嶽 墜 露 添 流 依 莫 惻 其 憑 敬 之 
T85n2859_001:1318a28	窮其濟但賤奴。今問法師似螢光競日螗螂	窮 其 濟 但 賤 奴 今 問 法 師 似 螢 光 競 日 螗 螂 
T85n2859_001:1318a29	巨轍。自知鴻鳥敢登於鳳臺。雷音之下有鼓	巨 轍 自 知 鴻 鳥 敢 登 於 鳳 臺 雷 音 之 下 有 鼓 
T85n2859_001:1318b01	□鷄鳴。碧玉之前那逞寸鐵。只如佛性遍滿	 鷄 鳴 碧 玉 之 前 那 逞 寸 鐵 只 如 佛 性 遍 滿 
T85n2859_001:1318b02	有情。再問我佛如來以何為體。道安答曰。善	有 情 再 問 我 佛 如 來 以 何 為 體 道 安 答 曰 善 
T85n2859_001:1318b03	慶近前莫致謙詞。我佛以慈悲為體。善慶又	慶 近 前 莫 致 謙 詞 我 佛 以 慈 悲 為 體 善 慶 又 
T85n2859_001:1318b04	問曰。既言我佛慈悲為體。如何不度羼提眾	問 曰 既 言 我 佛 慈 悲 為 體 如 何 不 度 羼 提 眾 
T85n2859_001:1318b05	生。道安答曰。汝緣不會。聽我說著。羼提	生 道 安 答 曰 汝 緣 不 會 聽 我 說 著 羼 提 
T85n2859_001:1318b06	眾生緣自造惡業。譬如人家養一男。長大成	眾 生 緣 自 造 惡 業 譬 如 人 家 養 一 男 長 大 成 
T85n2859_001:1318b07	人竊盜。於鄉黨之內事既彰露。便被三十縣	人 竊 盜 於 鄉 黨 之 內 事 既 彰 露 便 被 三 十 縣 
T85n2859_001:1318b08	捉來遂即送人刑獄。受他考楚文案既成。招	捉 來 遂 即 送 人 刑 獄 受 他 考 楚 文 案 既 成 招 
T85n2859_001:1318b09	伏愆罪領上法場。看看是死父母雖有恩慈。	伏 愆 罪 領 上 法 場 看 看 是 死 父 母 雖 有 恩 慈 
T85n2859_001:1318b10	王法如何救得。我佛雖有慈悲。爭那佛力不	王 法 如 何 救 得 我 佛 雖 有 慈 悲 爭 那 佛 力 不 
T85n2859_001:1318b11	以他業力。如此之難為救度善慶問曰羼提	以 他 業 力 如 此 之 難 為 救 度 善 慶 問 曰 羼 提 
T85n2859_001:1318b12	眾生雖造惡業。我佛慈悲亦合救之。上來所	眾 生 雖 造 惡 業 我 佛 慈 悲 亦 合 救 之 上 來 所 
T85n2859_001:1318b13	說總屬外緣。我佛如來以何為性。道安答曰。	說 總 屬 外 緣 我 佛 如 來 以 何 為 性 道 安 答 曰 
