T08n0237_001:0762a04	金剛般若波羅蜜經	金 剛 般若波羅蜜經 
T08n0237_001:0764a20	非眾生。何以故？諸佛世尊遠離一切想故。「須	非 眾 生 何 以 故 諸佛世尊 遠 離 一 切 想 故 須 
T08n0237_001:0764a21	菩提！如來說實、說諦、說如、說非虛妄。復次，須	菩 提 如 來 說 實 說 諦 說 如 說 非 虛 妄 復 次 須 
T08n0237_001:0764a22	菩提！是法如來所覺，是法如來所說，是法	菩 提 是 法 如 來 所 覺 是 法 如 來 所 說 是 法 
T08n0237_001:0764a23	非實非虛。「須菩提！譬如有人，在於盲暗，如是	非 實 非 虛 須 菩 提 譬 如 有 人 在 於 盲 暗 如 是 
T08n0237_001:0764a24	當知菩薩墮相，行墮相施。須菩提！如人有目，	當 知 菩 薩 墮 相 行 墮 相 施 須 菩 提 如 人 有 目 
T08n0237_001:0764a25	夜已曉，晝日光照，見種種色，如是當知菩薩	夜 已 曉 晝 日 光 照 見 種 種 色 如 是 當 知 菩 薩 
T08n0237_001:0764a26	不墮於相，行無相施。	不 墮 於 相 行 無 相 施 
T08n0237_001:0764a27	「復次，須菩提！於未來世，若有善男子、善女人，	 復 次 須 菩 提 於未來世 若 有 善 男 子 善 女 人 
T08n0237_001:0764a28	受持讀誦修行，為他正說如是經典，如來悉	受持讀誦 修 行 為 他 正 說 如 是 經 典 如 來 悉 
T08n0237_001:0764a29	知是人，悉見是人，生長無量福德之聚。	知 是 人 悉 見 是 人 生 長 無量福德 之 聚 
T08n0237_001:0764b01	「復次，須菩提！若有善男子、善女人，於日前分	 復 次 須 菩 提 若 有 善 男 子 善 女 人 於 日 前 分 
T08n0237_001:0764b02	布施身命，如上所說諸河沙數；於日中分布	布 施 身 命 如上所說 諸 河 沙 數 於 日 中 分 布 
T08n0237_001:0764b03	施身命，於日後分布施身命，皆如上說諸河	施 身 命 於 日 後 分 布 施 身 命 皆 如 上 說 諸 河 
T08n0237_001:0764b04	沙數。如是無量百千萬億劫，以身命布施。若	沙 數 如 是 無量百千萬億 劫 以 身 命 布 施 若 
T08n0237_001:0764b05	復有人，聞此經典，不起誹謗，以是因緣，生福	復 有 人 聞 此 經 典 不 起 誹 謗 以是因緣 生 福 
T08n0237_001:0764b06	多彼無數無量。何況有人書寫受持讀誦，教	多 彼 無 數 無 量 何 況 有 人 書 寫 受持讀誦 教 
T08n0237_001:0764b07	他修行，為人廣說。	他 修 行 為 人 廣 說 
T08n0237_001:0764b08	「復次，須菩提！如是經典不可思量，無能與等。	 復 次 須 菩 提 如 是 經 典 不 可 思 量 無 能 與 等 
T08n0237_001:0764b09	如來但為憐愍利益能行無上乘，及行無等	如 來 但 為 憐 愍 利 益 能 行 無 上 乘 及 行 無 等 
T08n0237_001:0764b10	乘人說。若復有人，於未來世，受持讀誦，教他	乘 人 說 若 復 有 人 於未來世 受持讀誦 教 他 
T08n0237_001:0764b11	修行，正說是經。如來悉知是人，悉見是人，與	修 行 正 說 是 經 如 來 悉 知 是 人 悉 見 是 人 與 
T08n0237_001:0764b12	無數無量不可思議無等福聚而共相應。如	無 數 無 量 不可思議 無 等 福 聚 而 共 相 應 如 
T08n0237_001:0764b13	是等人，由我身分，則能荷負無上菩提。何以	是 等 人 由 我 身 分 則 能 荷 負 無上菩提 何 以 
T08n0237_001:0764b14	故？須菩提！如是經典，若下願樂人，及我見、	故 須 菩 提 如 是 經 典 若 下 願 樂 人 及 我 見 
T08n0237_001:0764b15	眾生見、壽者見、受者見，如此等人，能聽能修	眾 生 見 壽 者 見 受 者 見 如 此 等 人 能 聽 能 修 
T08n0237_001:0764b16	讀誦教他正說，無有是處。復次，須菩提！隨所	讀 誦 教 他 正 說 無 有 是 處 復 次 須 菩 提 隨 所 
T08n0237_001:0764b17	在處，顯說此經，一切世間天人阿修羅等，皆應	在 處 顯 說 此 經 一切世間 天 人 阿 修 羅 等 皆 應 
T08n0237_001:0764b18	供養，作禮右遶。當知此處於世間中即成支	供 養 作 禮 右 遶 當 知 此 處 於 世 間 中 即 成 支 
T08n0237_001:0764b19	提。「須菩提！若有善男子、善女人，受持讀誦教	提 須 菩 提 若 有 善 男 子 善 女 人 受持讀誦 教 
T08n0237_001:0764b20	他修行，正說如是等經。此人現身受輕賤等。	他 修 行 正 說 如 是 等 經 此 人 現 身 受 輕 賤 等 
T08n0237_001:0764b21	過去世中所造惡業，應感生後惡道果報。以	過 去 世 中 所 造 惡 業 應 感 生 後 惡 道 果 報 以 
T08n0237_001:0764b22	於現身受輕苦故，先世罪業及苦果報，則為	於 現 身 受 輕 苦 故 先 世 罪 業 及 苦 果 報 則 為 
T08n0237_001:0764b23	消滅，當得阿耨多羅三藐三菩提。「須菩提！我	消 滅 當 得阿耨多羅三藐三菩提 須 菩 提 我 
T08n0237_001:0764b24	憶往昔無數無量過於算數大劫，過去然燈	憶 往 昔 無 數 無 量 過 於 算 數 大 劫 過 去 然 燈 
T08n0237_001:0764b25	如來阿羅訶三藐三佛陀後八萬四千百千	如 來 阿 羅 訶 三藐三佛陀 後 八萬四千 百 千 
T08n0237_001:0764b26	俱胝諸佛如來已成佛竟，我皆承事供養恭	俱 胝 諸佛如來 已 成 佛 竟 我 皆 承事供養 恭 
T08n0237_001:0764b27	敬，無空過者。若復有人，於後末世五百歲時，	敬 無 空 過 者 若 復 有 人 於 後 末 世 五 百 歲 時 
T08n0237_001:0764b28	受持讀誦，教他修行，正說此經。須菩提！此人	受持讀誦 教 他 修 行 正 說 此 經 須 菩 提 此 人 
T08n0237_001:0764b29	所生福德之聚，以我往昔承事供養諸佛如	所 生 福 德 之 聚 以 我 往 昔 承事供養 諸 佛 如 
T08n0237_001:0764c01	來所得功德，比此功德，百分不及一，千萬億	來 所得功德 比 此 功 德 百 分 不 及 一 千 萬 億 
T08n0237_001:0764c02	分不及一，窮於算數不及其一，乃至威力品	分 不 及 一 窮 於 算 數 不 及 其 一 乃 至 威 力 品 
T08n0237_001:0764c03	類相應譬喻所不能及。「須菩提！若善男子、善	類 相 應 譬 喻 所 不 能 及 須 菩 提 若 善 男 子 善 
T08n0237_001:0764c04	女人，於後末世，受持讀誦如此等經，所得功	女 人 於 後 末 世 受持讀誦 如 此 等 經 所 得 功 
T08n0237_001:0764c05	德，我若具說，若有善男子、善女人，諦聽憶持	德 我 若 具 說 若 有 善 男 子 善 女 人 諦 聽 憶 持 
T08n0237_001:0764c06	爾所福聚，或心迷亂及以顛狂。復次，須菩提！	爾 所 福 聚 或 心 迷 亂 及 以 顛 狂 復 次 須 菩 提 
T08n0237_001:0764c07	如是經典不可思議，若人修行及得果報，亦	如 是 經 典 不可思議 若 人 修 行 及 得 果 報 亦 
T08n0237_001:0764c08	不可思議。」	不可思議 
T08n0237_001:0764c09	爾時須菩提白佛言：「世尊！善男子、善女人，發	爾 時 須 菩 提 白 佛 言 世 尊 善 男 子 善 女 人 發 
T08n0237_001:0764c10	阿耨多羅三藐三菩提心，行菩薩乘，云何應	阿耨多羅三藐三菩提 心 行 菩 薩 乘 云 何 應 
T08n0237_001:0764c11	住？云何修行？云何發起菩薩心？」佛告須菩	住 云 何 修 行 云 何 發 起 菩 薩 心 佛 告 須 菩 
T08n0237_001:0764c12	提：「善男子、善女人，發阿耨多羅三藐三菩提	提 善 男 子 善 女 人 發 阿耨多羅三藐三菩提 
T08n0237_001:0764c13	心者，當生如是心：『我應安置一切眾生，令入	心 者 當 生如是心 我 應 安 置 一 切 眾 生 令 入 
T08n0237_001:0764c14	無餘涅槃。如是般涅槃無量眾生已，無一眾	無餘涅槃 如 是 般 涅 槃 無 量 眾 生 已 無 一 眾 
T08n0237_001:0764c15	生被涅槃者。』何以故？須菩提！若菩薩有眾	生 被 涅 槃 者 何 以 故 須 菩 提 若 菩 薩 有 眾 
T08n0237_001:0764c16	生想，則不應說名為菩薩。何以故？須菩提！	生 想 則 不 應 說 名 為 菩 薩 何 以 故 須 菩 提 
T08n0237_001:0764c17	實無有法名為能行菩薩上乘。	實 無 有 法 名 為 能 行 菩 薩 上 乘 
T08n0237_001:0764c18	「須菩提！汝意云何？於然燈佛所，頗有一法	 須 菩 提 汝意云何 於 然 燈 佛 所 頗 有 一 法 
T08n0237_001:0764c19	如來所得，名阿耨多羅三藐三菩提不？」須菩	如 來 所 得 名 阿耨多羅三藐三菩提 不 須 菩 
T08n0237_001:0764c20	提言：「不得，世尊！於然燈佛所，無有一法如	提 言 不 得 世 尊 於 然 燈 佛 所 無 有 一 法 如 
T08n0237_001:0764c21	來所得，名阿耨多羅三藐三菩提。」佛言：「如是，	來 所 得 名 阿耨多羅三藐三菩提 佛 言 如 是 
T08n0237_001:0764c22	須菩提！如是。於然燈佛所，無有一法如來所	須 菩 提 如 是 於 然 燈 佛 所 無 有 一 法 如 來 所 
T08n0237_001:0764c23	得，名阿耨多羅三藐三菩提。須菩提！於然燈	得 名 阿耨多羅三藐三菩提 須 菩 提 於 然 燈 
T08n0237_001:0764c24	佛所，若有一法如來所得，名阿耨多羅三藐	佛 所 若 有 一 法 如 來 所 得 名 阿 耨 多 羅 三 藐 
T08n0237_001:0764c25	三菩提，然燈佛則不授我記：『婆羅門！汝於來	三 菩 提 然 燈 佛 則 不 授 我 記 婆 羅 門 汝 於 來 
T08n0237_001:0764c26	世，當得作佛，號釋迦牟尼，多陀阿伽度，阿羅訶，	世 當 得 作 佛 號 釋 迦 牟 尼 多 陀 阿 伽 度 阿 羅 訶 
T08n0237_001:0764c27	三藐三佛陀。』須菩提！由實無有法，如來所得，	三藐三佛陀 須 菩 提 由 實 無 有 法 如 來 所 得 
T08n0237_001:0764c28	名阿耨多羅三藐三菩提，是故然燈佛與我	名 阿耨多羅三藐三菩提 是 故 然 燈 佛 與 我 
T08n0237_001:0764c29	授記，作如是言：『婆羅門！汝於來世，當得作	授 記 作如是言 婆 羅 門 汝 於 來 世 當 得 作 
T08n0237_001:0765a01	佛，號釋迦牟尼，多陀阿伽度，阿羅訶，三藐三佛	佛 號 釋 迦 牟 尼 多 陀 阿 伽 度 阿 羅 訶 三藐三佛 
T08n0237_001:0765a02	陀。』何以故？須菩提！如來者，真如別名。「須菩	陀 何 以 故 須 菩 提 如 來 者 真 如 別 名 須 菩 
T08n0237_001:0765a03	提！若有人說：『如來得阿耨多羅三藐三菩提。』	提 若 有 人 說 如 來 得阿耨多羅三藐三菩提 
T08n0237_001:0765a04	是人不實語。何以故？須菩提！實無有法，如	是 人 不 實 語 何 以 故 須 菩 提 實 無 有 法 如 
T08n0237_001:0765a05	來所得，名阿耨多羅三藐三菩提。	來 所 得 名 阿耨多羅三藐三菩提 
T08n0237_001:0765a06	「須菩提！此法如來所得，無實無虛。是故如來	 須 菩 提 此 法 如 來 所 得 無 實 無 虛 是 故 如 來 
T08n0237_001:0765a07	說：『一切法皆是佛法。』須菩提！一切法者，非一	說 一 切 法 皆 是 佛 法 須 菩 提 一 切 法 者 非 一 
T08n0237_001:0765a08	切法故，如來說名一切法。「須菩提！譬如有人	切 法 故 如 來 說 名 一 切 法 須 菩 提 譬 如 有 人 
T08n0237_001:0765a09	遍身大身。」須菩提言：「世尊！是如來所說遍	遍 身 大 身 須 菩 提 言 世 尊 是 如 來 所 說 遍 
T08n0237_001:0765a10	身大身，則為非身，是故說名遍身大身。」佛	身 大 身 則 為 非 身 是 故 說 名 遍 身 大 身 佛 
T08n0237_001:0765a11	言：「如是，須菩提！如是，須菩提！若有菩薩說如	言 如 是 須 菩 提 如 是 須 菩 提 若 有 菩 薩 說 如 
T08n0237_001:0765a12	是言：『我當般涅槃一切眾生。』則不應說名為	是 言 我 當 般 涅 槃 一 切 眾 生 則 不 應 說 名 為 
T08n0237_001:0765a13	菩薩。須菩提！汝意云何？頗有一法名菩薩	菩 薩 須 菩 提 汝意云何 頗 有 一 法 名 菩 薩 
T08n0237_001:0765a14	不？」須菩提言：「無有，世尊！」佛言：「須菩提！是故	不 須 菩 提 言 無 有 世 尊 佛 言 須 菩 提 是 故 
T08n0237_001:0765a15	如來說：『一切法無我、無眾生、無壽者、無受者。』	如 來 說 一切法無我 無 眾 生 無 壽 者 無 受 者 
T08n0237_001:0765a16	須菩提！若有菩薩說如是言：『我當莊嚴清淨	須 菩 提 若 有 菩 薩 說 如 是 言 我 當 莊 嚴 清 淨 
T08n0237_001:0765a17	佛土。』如此菩薩說虛妄言。何以故？須菩提！莊	佛 土 如 此 菩 薩 說 虛 妄 言 何 以 故 須 菩 提 莊 
T08n0237_001:0765a18	嚴佛土者，如來說則非莊嚴，是故莊嚴清淨	嚴 佛 土 者 如 來 說 則 非 莊 嚴 是 故 莊 嚴 清 淨 
T08n0237_001:0765a19	佛土。須菩提！若菩薩信見諸法無我、諸法無	佛 土 須 菩 提 若 菩 薩 信 見 諸法無我 諸 法 無 
T08n0237_001:0765a20	我，如來應供正遍覺說：『是名菩薩，是名菩薩。』	我 如 來 應 供 正 遍 覺 說 是 名 菩 薩 是 名 菩 薩 
T08n0237_001:0765a21	「須菩提！汝意云何？如來有肉眼不？」須菩提	 須 菩 提 汝意云何 如 來 有 肉 眼 不 須 菩 提 
T08n0237_001:0765a22	言：「如是，世尊！如來有肉眼。」佛言：「須菩提！汝	言 如 是 世 尊 如 來 有 肉 眼 佛 言 須 菩 提 汝 
T08n0237_001:0765a23	意云何？如來有天眼不？」須菩提言：「如是，世	意 云 何 如 來 有 天 眼 不 須 菩 提 言 如 是 世 
T08n0237_001:0765a24	尊！如來有天眼。」佛言：「須菩提！汝意云何？如	尊 如 來 有 天 眼 佛 言 須 菩 提 汝意云何 如 
T08n0237_001:0765a25	來有慧眼不？」須菩提言：「如是，世尊！如來有	來 有 慧 眼 不 須 菩 提 言 如 是 世 尊 如 來 有 
T08n0237_001:0765a26	慧眼。」佛言：「須菩提！汝意云何？如來有法眼	慧 眼 佛 言 須 菩 提 汝意云何 如 來 有 法 眼 
T08n0237_001:0765a27	不？」須菩提言：「如是，世尊！如來有法眼。」佛	不 須 菩 提 言 如 是 世 尊 如 來 有 法 眼 佛 
T08n0237_001:0765a28	言：「須菩提！汝意云何？如來有佛眼不？」須菩	言 須 菩 提 汝意云何 如 來 有 佛 眼 不 須 菩 
T08n0237_001:0765a29	提言：「如是，世尊！如來有佛眼。」	提 言 如 是 世 尊 如 來 有 佛 眼 
T08n0237_001:0765b01	「須菩提！汝意云何？於恒伽江所有諸沙，如	 須 菩 提 汝意云何 於 恒 伽 江 所 有 諸 沙 如 
T08n0237_001:0765b02	其沙數所有恒伽，如諸恒伽所有沙數世界，	其 沙 數 所 有 恒 伽 如 諸 恒 伽 所 有 沙 數 世 界 
T08n0237_001:0765b03	如是，寧為多不？」須菩提言：「如是，世尊！此等	如 是 寧 為 多 不 須 菩 提 言 如 是 世 尊 此 等 
T08n0237_001:0765b04	世界，其數甚多。」佛言：「須菩提！爾所世界中，	世 界 其 數 甚 多 佛 言 須 菩 提 爾 所 世 界 中 
T08n0237_001:0765b05	所有眾生，我悉見知心相續住，有種種類。何	所 有 眾 生 我 悉 見 知 心 相 續 住 有 種 種 類 何 
T08n0237_001:0765b06	以故？須菩提！心相續住，如來說非續住，故	以 故 須 菩 提 心 相 續 住 如 來 說 非 續 住 故 
T08n0237_001:0765b07	說續住。何以故？須菩提！過去心不可得，未	說 續 住 何 以 故 須 菩 提 過 去 心 不 可 得 未 
T08n0237_001:0765b08	來心不可得，現在心不可得。「須菩提！汝意	來 心 不 可 得 現 在 心 不 可 得 須 菩 提 汝 意 
T08n0237_001:0765b09	云何？若有人以滿三千大千世界七寶，而用	云 何 若 有 人 以 滿 三千大千世界 七 寶 而 用 
T08n0237_001:0765b10	布施，是善男子、善女人，以是因緣，得福多不？」	布 施 是 善 男 子 善 女 人 以是因緣 得 福 多 不 
T08n0237_001:0765b11	須菩提言：「甚多，世尊！甚多，修伽陀！」佛言：「如	須 菩 提 言 甚 多 世 尊 甚 多 修 伽 陀 佛 言 如 
T08n0237_001:0765b12	是，須菩提！如是。彼善男子、善女人，以是因緣，	是 須 菩 提 如 是 彼 善 男 子 善 女 人 以是因緣 
T08n0237_001:0765b13	得福聚多。」佛言：「須菩提！若福德聚，但名為	得 福 聚 多 佛 言 須 菩 提 若 福 德 聚 但 名 為 
T08n0237_001:0765b14	聚，如來則不應說是福德聚、是福德聚。	聚 如 來 則 不 應 說 是 福 德 聚 是 福 德 聚 
T08n0237_001:0765b15	「須菩提！汝意云何？可以具足色身觀如來不？」	 須 菩 提 汝意云何 可 以 具足色身 觀 如 來 不 
T08n0237_001:0765b16	須菩提言：「不可，世尊！不可以具足色身觀	須 菩 提 言 不 可 世 尊 不 可 以 具足色身 觀 
T08n0237_001:0765b17	於如來。何以故？此具足色身，如來說非具足	於 如 來 何 以 故 此 具足色身 如 來 說 非 具 足 
T08n0237_001:0765b18	色身，是故如來說名具足色身。」佛言：「須菩	色 身 是 故 如 來 說 名 具足色身 佛 言 須 菩 
T08n0237_001:0765b19	提！汝意云何？可以具足諸相觀如來不？」須	提 汝意云何 可 以 具 足 諸 相 觀 如 來 不 須 
T08n0237_001:0765b20	菩提言：「不可，世尊！不可以具足諸相觀於如	菩 提 言 不 可 世 尊 不 可 以 具 足 諸 相 觀 於 如 
T08n0237_001:0765b21	來。何以故？此具足相，如來說非具足相，是	來 何 以 故 此 具 足 相 如 來 說 非 具 足 相 是 
T08n0237_001:0765b22	故如來說具足相。」佛言：「須菩提！汝意云何？	故 如 來 說 具 足 相 佛 言 須 菩 提 汝意云何 
T08n0237_001:0765b23	如來有如是意：『我今實說法。』耶？須菩提！若有	如 來 有 如 是 意 我 今 實 說 法 耶 須 菩 提 若 有 
T08n0237_001:0765b24	人言：『如來實能說法。』汝應當知，是人由非實	人 言 如 來 實 能 說 法 汝 應 當 知 是 人 由 非 實 
T08n0237_001:0765b25	有，及以邪執，起誹謗我。何以故？須菩提！說	有 及 以 邪 執 起 誹 謗 我 何 以 故 須 菩 提 說 
T08n0237_001:0765b26	法、說法，實無有法名為說法。」爾時須菩提白	法 說 法 實 無 有 法 名 為 說 法 爾 時 須 菩 提 白 
T08n0237_001:0765b27	佛言：「世尊！頗有眾生，於未來世，聽聞正說	佛 言 世 尊 頗 有 眾 生 於未來世 聽 聞 正 說 
T08n0237_001:0765b28	如是等相，此經章句，生實信不？」佛告須菩提：	如 是 等 相 此 經 章 句 生 實 信 不 佛 告 須 菩 提 
T08n0237_001:0765b29	「彼非眾生，非非眾生。何以故？須菩提！彼眾	 彼 非 眾 生 非 非 眾 生 何 以 故 須 菩 提 彼 眾 
T08n0237_001:0765c01	生者，如來說非眾生，非非眾生，故說眾生。	生 者 如 來 說 非 眾 生 非 非 眾 生 故 說 眾 生 
T08n0237_001:0765c02	「須菩提！汝意云何？頗有一法如來所得，名阿	 須 菩 提 汝意云何 頗 有 一 法 如 來 所 得 名 阿 
T08n0237_001:0765c03	耨多羅三藐三菩提不？」須菩提言：「不得，世	耨 多 羅 三藐三菩提 不 須 菩 提 言 不 得 世 
T08n0237_001:0765c04	尊！無有一法如來所得，名阿耨多羅三藐三	尊 無 有 一 法 如 來 所 得 名 阿 耨 多 羅 三 藐 三 
T08n0237_001:0765c05	菩提。」佛言：「如是，須菩提！如是。乃至無有如	菩 提 佛 言 如 是 須 菩 提 如 是 乃 至 無 有 如 
T08n0237_001:0765c06	微塵法，如來所捨，如來所得，是故說名阿耨	微 塵 法 如 來 所 捨 如 來 所 得 是 故 說 名 阿 耨 
T08n0237_001:0765c07	多羅三藐三菩提平等平等。復次，須菩提！諸	多 羅 三藐三菩提 平等平等 復 次 須 菩 提 諸 
T08n0237_001:0765c08	佛覺知，無有差別，是故說名阿耨多羅三藐	佛 覺 知 無有差別 是 故 說 名 阿 耨 多 羅 三 藐 
T08n0237_001:0765c09	三菩提。復次，須菩提！此法平等，無有高下，是	三 菩 提 復 次 須 菩 提 此 法 平 等 無有高下 是 
T08n0237_001:0765c10	名阿耨多羅三藐三菩提。復次，須菩提！由法	名 阿耨多羅三藐三菩提 復 次 須 菩 提 由 法 
T08n0237_001:0765c11	無我、無眾生、無壽者、無受者等，此法平等，故	無 我 無 眾 生 無 壽 者 無 受 者 等 此 法 平 等 故 
T08n0237_001:0765c12	名阿耨多羅三藐三菩提。復次，須菩提！由實	名 阿耨多羅三藐三菩提 復 次 須 菩 提 由 實 
T08n0237_001:0765c13	善法具足圓滿，得阿耨多羅三藐三菩提。須	善 法 具足圓滿 得阿耨多羅三藐三菩提 須 
T08n0237_001:0765c14	菩提！所言善法、善法者，如來說非法，故名	菩 提 所 言 善 法 善 法 者 如 來 說 非 法 故 名 
T08n0237_001:0765c15	善法。「須菩提！三千大千世界，所有諸須彌山	善 法 須 菩 提 三千大千世界 所 有 諸 須 彌 山 
T08n0237_001:0765c16	王，如是等七寶聚，滿此世界，有人持用布施。	王 如 是 等 七 寶 聚 滿 此 世 界 有 人 持用布施 
T08n0237_001:0765c17	若人從此般若波羅蜜經，乃至四句偈等，受	若 人 從 此 般若波羅蜜經 乃 至 四 句 偈 等 受 
T08n0237_001:0765c18	持讀誦為他正說，所得功德，以前功德比此	持 讀 誦 為 他 正 說 所得功德 以 前 功 德 比 此 
T08n0237_001:0765c19	功德，百分不及一，千萬億分不及一，窮於	功 德 百 分 不 及 一 千萬億分 不 及 一 窮 於 
T08n0237_001:0765c20	算數不及其一，乃至威力品類相應譬喻所	算 數 不 及 其 一 乃 至 威 力 品 類 相 應 譬 喻 所 
T08n0237_001:0765c21	不能及。「須菩提！汝意云何？如來作是念：『我	不 能 及 須 菩 提 汝意云何 如 來 作 是 念 我 
T08n0237_001:0765c22	度眾生。』耶？須菩提！汝今不應作如是念。何	度 眾 生 耶 須 菩 提 汝 今 不 應 作如是念 何 
T08n0237_001:0765c23	以故？實無眾生如來所度。須菩提！若有	以 故 實 無 眾 生 如 來 所 度 須 菩 提 若 有 
T08n0237_001:0765c24	眾生如來所度，即是我執、眾生執、壽者執、受	眾 生 如 來 所 度 即 是 我 執 眾 生 執 壽 者 執 受 
T08n0237_001:0765c25	者執。須菩提！此我等執，如來說非執，嬰兒	者 執 須 菩 提 此 我 等 執 如 來 說 非 執 嬰 兒 
T08n0237_001:0765c26	凡夫眾生之所執故。須菩提！嬰兒凡夫眾生	凡 夫 眾 生 之 所 執 故 須 菩 提 嬰 兒 凡 夫 眾 生 
T08n0237_001:0765c27	者，如來說非眾生，故說嬰兒凡夫眾生。須菩	者 如 來 說 非 眾 生 故 說 嬰 兒 凡 夫 眾 生 須 菩 
T08n0237_001:0765c28	提！汝意云何？可以具足相觀如來不？」須菩提	提 汝意云何 可 以 具 足 相 觀 如 來 不 須 菩 提 
T08n0237_001:0765c29	言：「如我解佛所說義，不以具足相應觀如來。」	言 如 我 解 佛 所 說 義 不 以 具 足 相 應 觀 如 來 
T08n0237_001:0765c30	佛言：「如是，須菩提！如是。不以具足相應觀如	佛 言 如 是 須 菩 提 如 是 不 以 具 足 相 應 觀 如 
T08n0237_001:0766a01	來。何以故？若以具足相觀如來者，轉輪聖	來 何 以 故 若 以 具 足 相 觀 如 來 者 轉 輪 聖 
T08n0237_001:0766a02	王應是如來，是故不以具足相應觀如來。」是	王 應 是 如 來 是 故 不 以 具 足 相 應 觀 如 來 是 
T08n0237_001:0766a03	時世尊而說偈言：	時 世 尊 而 說 偈 言 
T08n0237_001:0766a04	「若以色見我，　　以音聲求我，	 若 以 色 見 我 以 音 聲 求 我 
T08n0237_001:0766a05	　是人行邪道，　　不應得見我。	 是 人 行 邪 道 不 應 得 見 我 
T08n0237_001:0766a06	　由法應見佛，　　調御法為身，	 由 法 應 見 佛 調 御 法 為 身 
T08n0237_001:0766a07	　此法非識境，　　法如深難見。	 此 法 非 識 境 法 如 深 難 見 
T08n0237_001:0766a08	「須菩提！汝意云何？如來可以具足相得阿耨	 須 菩 提 汝意云何 如 來 可 以 具 足 相 得 阿 耨 
T08n0237_001:0766a09	多羅三藐三菩提不？須菩提！汝今不應作如	多 羅 三藐三菩提 不 須 菩 提 汝 今 不 應 作 如 
T08n0237_001:0766a10	是見：『如來以具足相得阿耨多羅三藐三菩	是 見 如 來 以 具 足 相 得 阿 耨 多 羅 三 藐 三 菩 
T08n0237_001:0766a11	提。』何以故？須菩提！如來不由具足相得阿	提 何 以 故 須 菩 提 如 來 不 由 具 足 相 得 阿 
T08n0237_001:0766a12	耨多羅三藐三菩提。須菩提！若汝作是念：『如	耨 多 羅 三藐三菩提 須 菩 提 若 汝 作 是 念 如 
T08n0237_001:0766a13	來有是說：「行菩薩乘人，有法可滅。」』須菩提！汝	來 有 是 說 行 菩 薩 乘 人 有 法 可 滅 須 菩 提 汝 
T08n0237_001:0766a14	莫作此見。何以故？如來不說行菩薩乘人有	莫 作 此 見 何 以 故 如 來 不 說 行 菩 薩 乘 人 有 
T08n0237_001:0766a15	法可滅，及以永斷。「須菩提！若有善男子、善女	法 可 滅 及 以 永 斷 須 菩 提 若 有 善 男 子 善 女 
T08n0237_001:0766a16	人，以滿恒伽沙等世界七寶，持用布施。若	人 以 滿 恒 伽 沙 等 世 界 七 寶 持用布施 若 
T08n0237_001:0766a17	有菩薩，於一切法無我、無生，得無生忍，以是	有 菩 薩 於一切法 無 我 無 生 得無生忍 以 是 
T08n0237_001:0766a18	因緣，所得福德最多於彼。須菩提！行大乘人，	因 緣 所 得 福 德 最 多 於 彼 須 菩 提 行 大 乘 人 
T08n0237_001:0766a19	不應執取福德之聚。」須菩提言：「此福德聚，可	不 應 執 取 福 德 之 聚 須 菩 提 言 此 福 德 聚 可 
T08n0237_001:0766a20	攝持不？」佛言：「須菩提！此福德聚，可得攝持，	攝 持 不 佛 言 須 菩 提 此 福 德 聚 可 得 攝 持 
T08n0237_001:0766a21	不可執取。是故說此福德之聚，應可攝持。	不 可 執 取 是 故 說 此 福 德 之 聚 應 可 攝 持 
T08n0237_001:0766a22	「須菩提！若有人言：『如來行住坐臥。』是人不解	 須 菩 提 若 有 人 言 如 來 行住坐臥 是 人 不 解 
T08n0237_001:0766a23	我所說義。何以故？須菩提！如來者，無所行	我 所 說 義 何 以 故 須 菩 提 如 來 者 無 所 行 
T08n0237_001:0766a24	去，亦無所從來，是故名如來應供正遍覺	去 亦 無所從來 是 故 名 如 來 應 供 正 遍 覺 
T08n0237_001:0766a25	知。「須菩提！若善男子、善女人，以三千大千	知 須 菩 提 若 善 男 子 善 女 人 以 三千大千 
T08n0237_001:0766a26	世界地大微塵，燒成灰末，合為墨丸，如微	世 界 地 大 微 塵 燒 成 灰 末 合 為 墨 丸 如 微 
T08n0237_001:0766a27	塵聚。須菩提！汝意云何？是隣虛聚，寧為多	塵 聚 須 菩 提 汝意云何 是 隣 虛 聚 寧 為 多 
T08n0237_001:0766a28	不？」須菩提言：「彼隣虛聚甚多。世尊！何以故？	不 須 菩 提 言 彼 隣 虛 聚 甚 多 世 尊 何 以 故 
T08n0237_001:0766a29	世尊！若隣虛聚是實有者，世尊則不應說名	世 尊 若 隣 虛 聚 是 實 有 者 世 尊 則 不 應 說 名 
T08n0237_001:0766b01	隣虛聚。何以故？世尊！所說此隣虛聚，如來說	隣 虛 聚 何 以 故 世 尊 所 說 此 隣 虛 聚 如 來 說 
T08n0237_001:0766b02	非隣虛聚，是故說名為隣虛聚。如來所說三	非 隣 虛 聚 是 故 說 名 為 隣 虛 聚 如 來 所 說 三 
T08n0237_001:0766b03	千大千世界，則非世界，故說三千大千世界。	千 大千世界 則 非 世 界 故 說 三千大千世界 
T08n0237_001:0766b04	何以故？世尊！若執世界為實有者，是聚一執。	何 以 故 世 尊 若 執 世 界 為 實 有 者 是 聚 一 執 
T08n0237_001:0766b05	此聚一執，如來說非執，故說聚一執。」佛世尊	此 聚 一 執 如 來 說 非 執 故 說 聚 一 執 佛 世 尊 
