X88n1645_001:0107a03	 六道集敘	 六 道 集 敘 
X88n1645_001:0113c08	屢來。光曰。我來欲使汝輩知罪福也。亦兼娛樂。阿母。	屢 來 光 曰 我 來 欲 使 汝 輩 知 罪 福 也 亦 兼 娛 樂 阿 母 
X88n1645_001:0113c09	琴音清妙。不類世聲。家人小大。悉得聞之。然聞其聲。	琴 音 清 妙 不 類 世 聲 家 人 小 大 悉 得 聞 之 然 聞 其 聲 
X88n1645_001:0113c10	如隔壁障。不得觀察也。惟信聞之。獨分明焉。有頃去。	如 隔 壁 障 不 得 觀 察 也 惟 信 聞 之 獨 分 明 焉 有 頃 去 
X88n1645_001:0113c11	信見光入一黑門。須臾來出。謂信曰。舅在此。日見榜	信 見 光 入 一 黑 門 須 臾 來 出 謂 信 曰 舅 在 此 日 見 榜 
X88n1645_001:0113c12	撻。楚痛難堪。我省視還也。舅生前犯殺罪。故受此報。	撻 楚 痛 難 堪 我 省 視 還 也 舅 生 前 犯 殺 罪 故 受 此 報 
X88n1645_001:0113c13	可告舅母。請僧[言*奉]經。當稍免脫。舅昔輕車將軍也(第七	可 告 舅 母 請 僧 [言奉] 經 當 稍 免 脫 舅 昔 輕 車 將 軍 也 第 七 
X88n1645_001:0113c14	梵天。即初禪天在六欲天上)。	梵 天 即 初 禪 天 在 六 欲 天 上 
X88n1645_001:0113c15	宋	宋 
X88n1645_001:0113c16	江陵○釋黃遷。年二十時。常寄江陵市西。楊道產家。	江 陵 釋 黃 遷 年 二 十 時 常 寄 江 陵 市 西 楊 道 產 家 
X88n1645_001:0113c17	行般舟。勤苦歲餘。因爾遂頗有感變。或一日之中。赴	行 般 舟 勤 苦 歲 餘 因 爾 遂 頗 有 感 變 或 一 日 之 中 赴 
X88n1645_001:0113c18	十餘處齋。雖復終日竟夜行道轉經。而家家悉見黃	十 餘 處 齋 雖 復 終 日 竟 夜 行 道 轉 經 而 家 家 悉 見 黃 
X88n1645_001:0113c19	遷在焉。眾稍敬異之。以為得道。孝建二年一日。自言	遷 在 焉 眾 稍 敬 異 之 以 為 得 道 孝 建 二 年 一 日 自 言 
X88n1645_001:0113c20	死期。謂道產曰。明夕吾當於君家過世。至日。道產設	死 期 謂 道 產 曰 明 夕 吾 當 於 君 家 過 世 至 日 道 產 設 
X88n1645_001:0113c21	八關然燈通夕。初夜中夜。遷猶豫眾行道。休然不異。	八 關 然 燈 通 夕 初 夜 中 夜 遷 猶 豫 眾 行 道 休 然 不 異 
X88n1645_001:0113c22	四更之後。乃稱疲而臥。顏色稍變。有頃而盡。闔境為	四 更 之 後 乃 稱 疲 而 臥 顏 色 稍 變 有 頃 而 盡 闔 境 為 
X88n1645_001:0113c23	設三七齋。起塔。塔今猶存。死後久之。現形多寶寺。謂	設 三 七 齋 起 塔 塔 今 猶 存 死 後 久 之 現 形 多 寶 寺 謂 
X88n1645_001:0113c24	曇珣道人云。明年二月二十三日。當與諸天共相迎	曇 珣 道 人 云 明 年 二 月 二 十 三 日 當 與 諸 天 共 相 迎 
X88n1645_001:0114a01	也。言已而去。曇珣即於長沙禪坊。設齋九十日。捨身	也 言 已 而 去 曇 珣 即 於 長 沙 禪 坊 設 齋 九 十 日 捨 身 
X88n1645_001:0114a02	布施。至其日苦乏氣。自知必終。大延道俗。盛設法會。	布 施 至 其 日 苦 乏 氣 自 知 必 終 大 延 道 俗 盛 設 法 會 
X88n1645_001:0114a03	三更中。呼問眾僧有聞見否。眾自不覺異也。珣曰。空	三 更 中 呼 問 眾 僧 有 聞 見 否 眾 自 不 覺 異 也 珣 曰 空 
X88n1645_001:0114a04	中有奏樂聲。馨煙甚異。黃遷之契。今其至矣。眾僧始	中 有 奏 樂 聲 馨 煙 甚 異 黃 遷 之 契 今 其 至 矣 眾 僧 始 
X88n1645_001:0114a05	還堂就席。而珣已盡(右五出冥祥記。此記十卷。齊朝王琰撰)。	還 堂 就 席 而 珣 已 盡 右 五 出 冥 祥 記 此 記 十 卷 齊 朝 王 琰 撰 
X88n1645_001:0114a06	酒泉郡○凡太守到郡無幾輒死。後有渤海陳裴。見	酒 泉 郡 凡 太 守 到 郡 無 幾 輒 死 後 有 渤 海 陳 裴 見 
X88n1645_001:0114a07	使此郡。裴憂愁不樂。就卜者占其吉凶。卜者曰。遠諸	使 此 郡 裴 憂 愁 不 樂 就 卜 者 占 其 吉 凶 卜 者 曰 遠 諸 
X88n1645_001:0114a08	侯。放伯裘。能解此者。則無憂。裴仍不解此語。卜者報	侯 放 伯 裘 能 解 此 者 則 無 憂 裴 仍 不 解 此 語 卜 者 報 
X88n1645_001:0114a09	曰。但去自當解之。裴既到官。侍監有王侯平。有史侯。	曰 但 去 自 當 解 之 裴 既 到 官 侍 監 有 王 侯 平 有 史 侯 
X88n1645_001:0114a10	董候等。裴心悟曰。此所謂諸候矣。乃遠之。即臥。思放	董 候 等 裴 心 悟 曰 此 所 謂 諸 候 矣 乃 遠 之 即 臥 思 放 
X88n1645_001:0114a11	伯裘之義。不知何謂。至夜半後。有物來上裴被上。裴	伯 裘 之 義 不 知 何 謂 至 夜 半 後 有 物 來 上 裴 被 上 裴 
X88n1645_001:0114a12	覺。以被冒取之。其物跳踉。訇訇作聲。外人聞。持火入。	覺 以 被 冒 取 之 其 物 跳 踉 訇 訇 作 聲 外 人 聞 持 火 入 
X88n1645_001:0114a13	欲殺之。魅乃言曰。我實無惡意。但欲試府君耳。聽一	欲 殺 之 魅 乃 言 曰 我 實 無 惡 意 但 欲 試 府 君 耳 聽 一 
X88n1645_001:0114a14	相赦。當深報府君恩。陳裴曰。汝為何物。而忽干犯太	相 赦 當 深 報 府 君 恩 陳 裴 曰 汝 為 何 物 而 忽 干 犯 太 
X88n1645_001:0114a15	守。魅曰。我本百歲狐也。今變為魅矣。垂化為神。而正	守 魅 曰 我 本 百 歲 狐 也 今 變 為 魅 矣 垂 化 為 神 而 正 
X88n1645_001:0114a16	觸府君威怒。甚遭困厄。聽一放我。我字伯裘。若府君	觸 府 君 威 怒 甚 遭 困 厄 聽 一 放 我 我 字 伯 裘 若 府 君 
X88n1645_001:0114a17	有急難。但呼我字。則自解矣。裴乃喜曰。卜謂放伯裘	有 急 難 但 呼 我 字 則 自 解 矣 裴 乃 喜 曰 卜 謂 放 伯 裘 
X88n1645_001:0114a18	之義是也。即便放之。小開被。忽然有赤光。如震電。從	之 義 是 也 即 便 放 之 小 開 被 忽 然 有 赤 光 如 震 電 從 
X88n1645_001:0114a19	戶出。明日夜。有敲戶者。裴問曰。誰。答曰。伯裘。問曰。何	戶 出 明 日 夜 有 敲 戶 者 裴 問 曰 誰 答 曰 伯 裘 問 曰 何 
X88n1645_001:0114a20	為。答曰。白事。問曰。白何事。答曰。此界有賊發奴也。裴	為 答 曰 白 事 問 曰 白 何 事 答 曰 此 界 有 賊 發 奴 也 裴 
X88n1645_001:0114a21	案發則驗。每事先以語裴。於是境界。無毫毛之奸。人	案 發 則 驗 每 事 先 以 語 裴 於 是 境 界 無 毫 毛 之 奸 人 
X88n1645_001:0114a22	咸謂聖君出。後經月餘主簿李音。共裴侍婢私通。既	咸 謂 聖 君 出 後 經 月 餘 主 簿 李 音 共 裴 侍 婢 私 通 既 
X88n1645_001:0114a23	而驚懼。慮伯裘來白。遂與諸侯謀殺裴。却謂傍無人。	而 驚 懼 慮 伯 裘 來 白 遂 與 諸 侯 謀 殺 裴 却 謂 傍 無 人 
X88n1645_001:0114a24	便使諸侯持杖直入。欲格殺之。裴惶怖。即呼伯裘。來	便 使 諸 侯 持 杖 直 入 欲 格 殺 之 裴 惶 怖 即 呼 伯 裘 來 
X88n1645_001:0114b01	救我。即有物如申一疋絳練。然作聲音。侯伏地失魂。	救 我 即 有 物 如 申 一 疋 絳 練 然 作 聲 音 侯 伏 地 失 魂 
X88n1645_001:0114b02	乃以次縛取之。考問來意。故皆服首。後月餘日。裘與	乃 以 次 縛 取 之 考 問 來 意 故 皆 服 首 後 月 餘 日 裘 與 
X88n1645_001:0114b03	裴辭曰。今得為神矣。當上天去。不復與府君相見往	裴 辭 曰 今 得 為 神 矣 當 上 天 去 不 復 與 府 君 相 見 往 
X88n1645_001:0114b04	來。遂去不見也(出搜神異記)。	來 遂 去 不 見 也 出 搜 神 異 記 
X88n1645_001:0114b05	梁	梁 
X88n1645_001:0114b06	武帝妃○妃郗氏。初生有赤光照室。器皿盡明。及長	武 帝 妃 妃 郗 氏 初 生 有 赤 光 照 室 器 皿 盡 明 及 長 
X88n1645_001:0114b07	性明慧。善隷書。讀史傳。女工之事。靡不閑習。宋齊間。	性 明 慧 善 隷 書 讀 史 傳 女 工 之 事 靡 不 閑 習 宋 齊 間 
X88n1645_001:0114b08	諸王求婚。父曄皆不許。後以適帝。生三女。帝為雍州	諸 王 求 婚 父 曄 皆 不 許 後 以 適 帝 生 三 女 帝 為 雍 州 
X88n1645_001:0114b09	刺史。而妃薨。其性酷妒。天監年。化為巨蟒。入於後宮。	刺 史 而 妃 薨 其 性 酷 妒 天 監 年 化 為 巨 蟒 入 於 後 宮 
X88n1645_001:0114b10	通夢於帝。帝體將不安。蟒輒激水騰涌。或現龍形。光	通 夢 於 帝 帝 體 將 不 安 蟒 輒 激 水 騰 涌 或 現 龍 形 光 
X88n1645_001:0114b11	彩照灼。時蟒作人語。啟帝曰。妾以生存。嫉妒大小。為	彩 照 灼 時 蟒 作 人 語 啟 帝 曰 妾 以 生 存 嫉 妒 大 小 為 
X88n1645_001:0114b12	性慘毒。損物害人。死為蠎身。無飲食饑窘困迫。又一	性 慘 毒 損 物 害 人 死 為 蠎 身 無 飲 食 饑 窘 困 迫 又 一 
X88n1645_001:0114b13	鱗甲內。有多蟲唼咬肌肉。痛苦甚劇。感帝昔眷念於	鱗 甲 內 有 多 蟲 唼 咬 肌 肉 痛 苦 甚 劇 感 帝 昔 眷 念 於 
X88n1645_001:0114b14	妾。故陳露於帝。祈一功德。以見拯拔。帝聞之感激。因	妾 故 陳 露 於 帝 祈 一 功 德 以 見 拯 拔 帝 聞 之 感 激 因 
X88n1645_001:0114b15	此露井上為殿。衣服委積。置銀轆轤。金瓶灌百味。以	此 露 井 上 為 殿 衣 服 委 積 置 銀 轆 轤 金 瓶 灌 百 味 以 
X88n1645_001:0114b16	祀之。帝乃大集沙門於殿。宣問何善能脫其苦。誌公	祀 之 帝 乃 大 集 沙 門 於 殿 宣 問 何 善 能 脫 其 苦 誌 公 
X88n1645_001:0114b17	對曰須禮佛懺滌。其愆可脫。於是帝與誌公。及名德	對 曰 須 禮 佛 懺 滌 其 愆 可 脫 於 是 帝 與 誌 公 及 名 德 
X88n1645_001:0114b18	沙門。搜索。大藏經文。採摭佛語。感彌勒題名。撰成懺	沙 門 搜 索 大 藏 經 文 採 摭 佛 語 感 彌 勒 題 名 撰 成 懺 
X88n1645_001:0114b19	文十卷。在宮修禮。忽聞異香馥郁。帝因仰觀。乃見一	文 十 卷 在 宮 修 禮 忽 聞 異 香 馥 郁 帝 因 仰 觀 乃 見 一 
X88n1645_001:0114b20	天人容儀端麗。謂帝曰。蒙帝功德。已脫蟒身。得生忉	天 人 容 儀 端 麗 謂 帝 曰 蒙 帝 功 德 已 脫 蟒 身 得 生 忉 
X88n1645_001:0114b21	利天上。今呈天身。以為證驗。殷勤致謝。言訖不見(出通	利 天 上 今 呈 天 身 以 為 證 驗 殷 勤 致 謝 言 訖 不 見 出 通 
X88n1645_001:0114b22	載并懺序)。	載 并 懺 序 
X88n1645_001:0114b23	蜀郡○龍淵寺。沙門慧韶姓陳。本頴川太丘人。少欲	蜀 郡 龍 淵 寺 沙 門 慧 韶 姓 陳 本 頴 川 太 丘 人 少 欲 
X88n1645_001:0114b24	多智。聦敏不羣。春秋五十四。卒於本寺。時成都民姓	多 智 聦 敏 不 羣 春 秋 五 十 四 卒 於 本 寺 時 成 都 民 姓 
X88n1645_001:0114c01	應名始豐。因病氣絕。而心尚煖。五日方醒。云。被攝至	應 名 始 豐 因 病 氣 絕 而 心 尚 煖 五 日 方 醒 云 被 攝 至 
X88n1645_001:0114c02	閻王所。聞處分云。迎韶法師。須臾便至。王下殿。合掌	閻 王 所 聞 處 分 云 迎 韶 法 師 須 臾 便 至 王 下 殿 合 掌 
X88n1645_001:0114c03	頂禮。更無言說。惟書文書。作一大政之字。韶出外。坐	頂 禮 更 無 言 說 惟 書 文 書 作 一 大 政 之 字 韶 出 外 坐 
X88n1645_001:0114c04	於曠路樹下。見一少童。以漆柳箕。擎一袈裟。令韶著	於 曠 路 樹 下 見 一 少 童 以 漆 柳 箕 擎 一 袈 裟 令 韶 著 
X88n1645_001:0114c05	之。有數十僧來迎。豐惟識和慈。二禪師。幢蓋列道。騰	之 有 數 十 僧 來 迎 豐 惟 識 和 慈 二 禪 師 幢 蓋 列 道 騰 
X88n1645_001:0114c06	虗而去。又當終夕。有安浦寺尼。久病悶絕。醒云。送韶	虗 而 去 又 當 終 夕 有 安 浦 寺 尼 久 病 悶 絕 醒 云 送 韶 
X88n1645_001:0114c07	法師。及五百僧。登七寶梯。到天宮殿。講堂中其地如	法 師 及 五 百 僧 登 七 寶 梯 到 天 宮 殿 講 堂 中 其 地 如 
X88n1645_001:0114c08	水精。牀席華整。亦有麈尾。几案蓮華池。韶就座談說	水 精 牀 席 華 整 亦 有 麈 尾 几 案 蓮 華 池 韶 就 座 談 說 
X88n1645_001:0114c09	少時便起。送別者令歸。其生滅冥祥。感見類此。以天	少 時 便 起 送 別 者 令 歸 其 生 滅 冥 祥 感 見 類 此 以 天 
X88n1645_001:0114c10	監二年七月三日卒(出續高僧傳)。	監 二 年 七 月 三 日 卒 出 續 高 僧 傳 
X88n1645_001:0114c11	元魏	元 魏 
X88n1645_001:0114c12	中天竺○沙門勒那。此云寶意。是西國人。徧通三藏。	中 天 竺 沙 門 勒 那 此 云 寶 意 是 西 國 人 徧 通 三 藏 
X88n1645_001:0114c13	妙入總持。以魏永平之初。來遊東夏。宣武皇帝。每請	妙 入 總 持 以 魏 永 平 之 初 來 遊 東 夏 宣 武 皇 帝 每 請 
X88n1645_001:0114c14	講華嚴經。披閱精義。無廢一日。正處高座。忽有一人	講 華 嚴 經 披 閱 精 義 無 廢 一 日 正 處 高 座 忽 有 一 人 
X88n1645_001:0114c15	持笏執名者。形如大官。云。奉天帝命。來請法師。講華	持 笏 執 名 者 形 如 大 官 云 奉 天 帝 命 來 請 法 師 講 華 
X88n1645_001:0114c16	嚴經。意曰。今此法席尚未停止。待訖經文。當來從命。	嚴 經 意 曰 今 此 法 席 尚 未 停 止 待 訖 經 文 當 來 從 命 
X88n1645_001:0114c17	既而法事將了。又見前使云。奉天帝命。故來下迎。意	既 而 法 事 將 了 又 見 前 使 云 奉 天 帝 命 故 來 下 迎 意 
X88n1645_001:0114c18	乃含笑熈怡。告眾辭訣。奄然卒於法座。都講等四人。	乃 含 笑 熈 怡 告 眾 辭 訣 奄 然 卒 於 法 座 都 講 等 四 人 
X88n1645_001:0114c19	亦同時殞。魏境道俗。聞見斯異。無不嗟歎。	亦 同 時 殞 魏 境 道 俗 聞 見 斯 異 無 不 嗟 歎 
X88n1645_001:0114c20	隋	隋 
X88n1645_001:0114c21	相州○鄴下寺。釋玄景。統解玄微。純講大乘。後因臥	相 州 鄴 下 寺 釋 玄 景 統 解 玄 微 純 講 大 乘 後 因 臥 
X88n1645_001:0114c22	疾三日。告侍人曰。玄景欲見彌勒佛。云何乃作夜摩	疾 三 日 告 侍 人 曰 玄 景 欲 見 彌 勒 佛 云 何 乃 作 夜 摩 
X88n1645_001:0114c23	天主。又云。賓客極多。事須看視。有問其故。答云。凡夫	天 主 又 云 賓 客 極 多 事 須 看 視 有 問 其 故 答 云 凡 夫 
X88n1645_001:0114c24	識想。何可檢校。向有天眾。欲來邀迎耳。爾後異香充	識 想 何 可 檢 校 向 有 天 眾 欲 來 邀 迎 耳 爾 後 異 香 充 
X88n1645_001:0115a01	戶。眾共聞之。又曰。吾欲去矣。當願生世。為善知識。遂	戶 眾 共 聞 之 又 曰 吾 欲 去 矣 當 願 生 世 為 善 知 識 遂 
X88n1645_001:0115a02	終於所住。即大業二年六月也。自生常立願云。沈骸	終 於 所 住 即 大 業 二 年 六 月 也 自 生 常 立 願 云 沈 骸 
X88n1645_001:0115a03	水中。及歿後。遵用前旨。葬於紫栢河。深瀅之中。三日	水 中 及 歿 後 遵 用 前 旨 葬 於 紫 栢 河 深 瀅 之 中 三 日 
X88n1645_001:0115a04	往觀。所沈之處。反成沙墳。極高峻。而水分派。道俗異	往 觀 所 沈 之 處 反 成 沙 墳 極 高 峻 而 水 分 派 道 俗 異 
X88n1645_001:0115a05	其雅瑞。傳跡于今(右二。出續高僧傳)。	其 雅 瑞 傳 跡 于 今 右 二 出 續 高 僧 傳 
X88n1645_001:0115a06	潞州○刺史辛彥之。建十五層浮圖。州人張元。暴死	潞 州 刺 史 辛 彥 之 建 十 五 層 浮 圖 州 人 張 元 暴 死 
X88n1645_001:0115a07	復甦云。神遊天上。見一堂極崇麗。天人曰。辛刺史有	復 甦 云 神 遊 天 上 見 一 堂 極 崇 麗 天 人 曰 辛 刺 史 有 
X88n1645_001:0115a08	大功德。作此堂以俟之。	大 功 德 作 此 堂 以 俟 之 
X88n1645_001:0115a09	海東○新羅國。玄光禪師。參南嶽。證法華三昧。師即	海 東 新 羅 國 玄 光 禪 師 參 南 嶽 證 法華三昧 師 即 
X88n1645_001:0115a10	禮辭南嶽。返錫江南。值本國海舶。遂獲附載。方及大	禮 辭 南 嶽 返 錫 江 南 值 本 國 海 舶 遂 獲 附 載 方 及 大 
X88n1645_001:0115a11	洋。忽覩采雲亂目。雅樂盈空。絳節霓旌。傳呼而至。空	洋 忽 覩 采 雲 亂 目 雅 樂 盈 空 絳 節 霓 旌 傳 呼 而 至 空 
X88n1645_001:0115a12	中聲云。天帝請海東玄光禪師。師拱手遜避。舟停不	中 聲 云 天 帝 請 海 東 玄 光 禪 師 師 拱 手 遜 避 舟 停 不 
X88n1645_001:0115a13	進。即見青衣恭迎入大宮闕。見羽衛陳列。鱗介繁錯。	進 即 見 青 衣 恭 迎 入 大 宮 闕 見 羽 衛 陳 列 鱗 介 繁 錯 
X88n1645_001:0115a14	間以鬼神。咸仰敬曰。天帝降我龍宮。請法師說已證	間 以 鬼 神 咸 仰 敬 曰 天 帝 降 我 龍 宮 請 法 師 說 已 證 
X88n1645_001:0115a15	法門。吾曹受益不少矣。既升殿。請陟高臺。天帝扣問。	法 門 吾 曹 受 益 不 少 矣 既 升 殿 請 陟 高 臺 天 帝 扣 問 
X88n1645_001:0115a16	師為開演經七日而畢。帝躬送別。向所乘舟。師復登	師 為 開 演 經 七 日 而 畢 帝 躬 送 別 向 所 乘 舟 師 復 登 
X88n1645_001:0115a17	之。舟遂泛泛而去(右二出統紀)。	之 舟 遂 泛 泛 而 去 右 二 出 統 紀 
X88n1645_001:0115a18	唐	唐 
X88n1645_001:0115a19	京師○大安國寺。子鄰法師。年少時。忽思歸覲二親。	京 師 大 安 國 寺 子 鄰 法 師 年 少 時 忽 思 歸 覲 二 親 
X88n1645_001:0115a20	其父喪明。母終已三載。因詣嶽廟。求知母之幽趣。即	其 父 喪 明 母 終 已 三 載 因 詣 嶽 廟 求 知 母 之 幽 趣 即 
X88n1645_001:0115a21	敷坐具。誦法華經。誓見天嶽王為期。其夜嶽王。果召	敷 坐 具 誦 法 華 經 誓 見 天 嶽 王 為 期 其 夜 嶽 王 果 召 
X88n1645_001:0115a22	鄰問。何故懇苦如是。鄰曰。母王氏。亡來已經除服。敢	鄰 問 何 故 懇 苦 如 是 鄰 曰 母 王 氏 亡 來 已 經 除 服 敢 
X88n1645_001:0115a23	問大王。母今何在。王顧簿吏。對曰。王氏現繫獄受苦。	問 大 王 母 今 何 在 王 顧 簿 吏 對 曰 王 氏 現 繫 獄 受 苦 
X88n1645_001:0115a24	鄰曰。我母何罪。王曰。生和尚時。食雞卵。又取白傅頭	鄰 曰 我 母 何 罪 王 曰 生 和 尚 時 食 雞 卵 又 取 白 傅 頭 
X88n1645_001:0115b01	瘡。坐是之故。職師之由。鄰悲號委頓。求王請免。曰。縶	瘡 坐 是 之 故 職 師 之 由 鄰 悲 號 委 頓 求 王 請 免 曰 縶 
X88n1645_001:0115b02	縻有分。放釋無門。然則為法師計。請往鄮山。禮阿育	縻 有 分 放 釋 無 門 然 則 為 法 師 計 請 往 鄮 山 禮 阿 育 
X88n1645_001:0115b03	王塔。或可原也。鄰詰朝。遵途。到會稽鄮陰山寺。叩頭	王 塔 或 可 原 也 鄰 詰 朝 遵 途 到 會 稽 鄮 陰 山 寺 叩 頭 
X88n1645_001:0115b04	哀訴。五輪著地。禮畢。數所投策。至四萬數。俄聞有呼	哀 訴 五 輪 著 地 禮 畢 數 所 投 策 至 四 萬 數 俄 聞 有 呼 
X88n1645_001:0115b05	鄰聲。若蔡順之解。望空。見雲氣中。母謝曰。承汝之力。	鄰 聲 若 蔡 順 之 解 望 空 見 雲 氣 中 母 謝 曰 承 汝 之 力 
X88n1645_001:0115b06	得生忉利天矣。故來報汝。倐然不見。先所禮處。今鄮	得 生 忉 利 天 矣 故 來 報 汝 倐 然 不 見 先 所 禮 處 今 鄮 
X88n1645_001:0115b07	山育王寺。後峰之翠微茅菴基。及池存焉(古人分娩食雞卵。尚	山 育 王 寺 後 峰 之 翠 微 茅 菴 基 及 池 存 焉 古 人 分 娩 食 雞 卵 尚 
X88n1645_001:0115b08	得重報。今人娩後多殺生命罪當如何。為母為子者。不可不知。鄮山在浙江寧波府城。東南四十里許。阿育王	得 重 報 今 人 娩 後 多 殺 生 命 罪 當 如 何 為 母 為 子 者 不 可 不 知 鄮 山 在 浙 江 寧 波 府 城 東 南 四 十 里 許 阿 育 王 
X88n1645_001:0115b09	塔。詳見第四卷中。○縶音執。絆也縻音縻繫也)。	塔 詳 見 第 四 卷 中 縶 音 執 絆 也 縻 音 縻 繫 也 
X88n1645_001:0115b10	壽州○紫金山。玄宗禪師。永嘉人。見紫金山。悅可自	壽 州 紫 金 山 玄 宗 禪 師 永 嘉 人 見 紫 金 山 悅 可 自 
X88n1645_001:0115b11	心。留行禪觀。此山先多虎暴。或噬行商。或傷樵子。避	心 留 行 禪 觀 此 山 先 多 虎 暴 或 噬 行 商 或 傷 樵 子 避 
X88n1645_001:0115b12	苛政者。哭婦甚哀。從宗卜居。哮噉絕跡。自邇入山者	苛 政 者 哭 婦 甚 哀 從 宗 卜 居 哮 噉 絕 跡 自 邇 入 山 者 
X88n1645_001:0115b13	無憚矣。一日禪徒擁集。見一老父。趨及座前。拜跪勤	無 憚 矣 一 日 禪 徒 擁 集 見 一 老 父 趨 及 座 前 拜 跪 勤 
X88n1645_001:0115b14	恪。宗曰。子何人耶。答云。我本虎也。在此山中。食噉眾	恪 宗 曰 子 何 人 耶 答 云 我 本 虎 也 在 此 山 中 食 噉 眾 
X88n1645_001:0115b15	生。因大師化此。冥迴我心。得脫業軀。已生天道。故來	生 因 大 師 化 此 冥 迴 我 心 得 脫 業 軀 已 生 天 道 故 來 
X88n1645_001:0115b16	報謝。折旋之頃。了無所見(右二出宋高僧傳)。	報 謝 折 旋 之 頃 了 無 所 見 右 二 出 宋 高 僧 傳 
X88n1645_001:0115b17	長安○西明寺。道宣律師者。德鏡玄流。業高清素。精	長 安 西 明 寺 道 宣 律 師 者 德 鏡 玄 流 業 高 清 素 精 
X88n1645_001:0115b18	誠苦行。畢命終身。棲遑問道。志在住持。綴緝儀範。二	誠 苦 行 畢 命 終 身 棲 遑 問 道 志 在 住 持 綴 緝 儀 範 二 
X88n1645_001:0115b19	百餘卷。結集高軌。屬有深旨。貞觀中。曾隱沁部雲室	百 餘 卷 結 集 高 軌 屬 有 深 旨 貞 觀 中 曾 隱 沁 部 雲 室 
X88n1645_001:0115b20	山。人睹天童給侍左右。於西明寺夜行道。足跌前階。	山 人 睹 天 童 給 侍 左 右 於 西 明 寺 夜 行 道 足 跌 前 階 
X88n1645_001:0115b21	有物扶持。履空無害。熟顧視之。乃少年也。律師遽問。	有 物 扶 持 履 空 無 害 熟 顧 視 之 乃 少 年 也 律 師 遽 問 
X88n1645_001:0115b22	何人夜中在此。少年曰。某非常人。乃北方多聞天王	何 人 夜 中 在 此 少 年 曰 某 非 常 人 乃 北 方 多 聞 天 王 
X88n1645_001:0115b23	之子那吒也。護法之故。擁護和尚。時之久矣。師曰。貧	之 子 那 吒 也 護 法 之 故 擁 護 和 尚 時 之 久 矣 師 曰 貧 
X88n1645_001:0115b24	道修行。無煩太子。太子威神自在。西域有可作佛事	道 修 行 無 煩 太 子 太 子 威 神 自 在 西 域 有 可 作 佛 事 
X88n1645_001:0115c01	者。願為致之。太子曰。某有釋迦佛牙。寶掌雖久。頭目	者 願 為 致 之 太 子 曰 某 有 釋 迦 佛 牙 寶 掌 雖 久 頭 目 
X88n1645_001:0115c02	猶捨。敢不奉獻。俄授於師。師保錄供養焉。粵以乾封	猶 捨 敢 不 奉 獻 俄 授 於 師 師 保 錄 供 養 焉 粵 以 乾 封 
X88n1645_001:0115c03	二年。仲春之節。身在京師。城南淨業寺。逐靜修道。年	二 年 仲 春 之 節 身 在 京 師 城 南 淨 業 寺 逐 靜 修 道 年 
X88n1645_001:0115c04	至桑榆。氣力將衰。專念四生。又思三會。忽以往緣。幽	至 桑 榆 氣 力 將 衰 專 念 四 生 又 思 三 會 忽 以 往 緣 幽 
X88n1645_001:0115c05	靈顧接。病漸瘳降。勵力殷仰。遂感冥應。時四天王至。	靈 顧 接 病 漸 瘳 降 勵 力 殷 仰 遂 感 冥 應 時 四 天 王 至 
X88n1645_001:0115c06	問訊律師。廣序賢劫四佛興世。涅槃遺跡等事。復有	問 訊 律 師 廣 序 賢 劫 四 佛 興 世 涅 槃 遺 跡 等 事 復 有 
X88n1645_001:0115c07	諸天。四王臣佐。至律師房門。似人行動。蹀足出聲。律	諸 天 四 王 臣 佐 至 律 師 房 門 似 人 行 動 蹀 足 出 聲 律 
X88n1645_001:0115c08	師問言。是誰。答言。弟子姓張名瓊。師問。何處檀越。答	師 問 言 是 誰 答 言 弟 子 姓 張 名 瓊 師 問 何 處 檀 越 答 
X88n1645_001:0115c09	言。是南方天王之第十五子。王有九十一子。英略神	言 是 南 方 天 王 之 第 十 五 子 王 有 九 十 一 子 英 略 神 
X88n1645_001:0115c10	武。各御邦都。所統海陸。道路區分。持犯界別。並親受	武 各 御 邦 都 所 統 海 陸 道 路 區 分 持 犯 界 別 並 親 受 
X88n1645_001:0115c11	佛教。護持善惡。使遺法載隆。積殖其功。常加守護。不	佛 教 護 持 善 惡 使 遺 法 載 隆 積 殖 其 功 常 加 守 護 不 
X88n1645_001:0115c12	徒設也。師曰。檀越既遺德劣。故來相看。何故門首不	徒 設 也 師 曰 檀 越 既 遺 德 劣 故 來 相 看 何 故 門 首 不 
X88n1645_001:0115c13	入。答云。弟子不得師教。不敢輒入。師云。願入就座。入	入 答 云 弟 子 不 得 師 教 不 敢 輒 入 師 云 願 入 就 座 入 
X88n1645_001:0115c14	已。禮敬伏座。問曰。檀越既篤信三寶。又受佛囑護持。	已 禮 敬 伏 座 問 曰 檀 越 既 篤 信 三 寶 又 受 佛 囑 護 持 
X88n1645_001:0115c15	善來相看。何不現形。答言。弟子報身。與餘人別。光色	善 來 相 看 何 不 現 形 答 言 弟 子 報 身 與 餘 人 別 光 色 
X88n1645_001:0115c16	又異。驚動眾心。共師言論足得。不勞現身。問曰。貧道	又 異 驚 動 眾 心 共 師 言 論 足 得 不 勞 現 身 問 曰 貧 道 
X88n1645_001:0115c17	入春已來。氣力漸弱。醫藥無效。未知報命遠近。答云。	入 春 已 來 氣 力 漸 弱 醫 藥 無 效 未 知 報 命 遠 近 答 云 
