X26n0574_001:0950c03	摩訶般若波羅蜜多心經	摩訶般若波羅蜜 多 心 經 
X26n0574_001:0953a24	過惡如避錐刀顧性命如顧寶貝動則安人利物	過 惡 如 避 錐 刀 顧 性 命 如 顧 寶 貝 動 則 安 人 利 物 
X26n0574_001:0953b01	亦不被境瞞靜則入定觀空更不滯莾蕩如是之	亦 不 被 境 瞞 靜 則 入 定 觀 空 更 不 滯 莾 蕩 如 是 之 
X26n0574_001:0953b02	者一旦果完擺手還家得大自在　先師云一日	者 一 旦 果 完 擺 手 還 家 得 大 自 在 先 師 云 一 日 
X26n0574_001:0953b03	得還鄉不作飄蓬客　釋云撒手到家人不識更	得 還 鄉 不 作 飄 蓬 客 釋 云 撒 手 到 家 人 不 識 更 
X26n0574_001:0953b04	無一物獻尊堂　川老云孤舟到岸遠客還鄉	無 一 物 獻 尊 堂 川 老 云 孤 舟 到 岸 遠 客 還 鄉 
X26n0574_001:0953b05	　且道如何是鄉　咄　遠後十萬八千　近後不	 且 道 如 何 是 鄉 咄 遠 後 十 萬 八 千 近 後 不 
X26n0574_001:0953b06	離當處　會得麼。	離 當 處 會 得 麼 
X26n0574_001:0953b07	　智慧聰明總是心　　智人脩內蠢傍尋	 智 慧 聰 明 總 是 心 智 人 脩 內 蠢 傍 尋 
X26n0574_001:0953b08	　若人有智超三界　　無智愚夫生死臨	 若 人 有 智 超 三 界 無 智 愚 夫 生 死 臨 
X26n0574_001:0953b09	波羅。	波 羅 
X26n0574_001:0953b10	波羅者西天梵語也東土翻為到彼岸　且迷者	波 羅 者 西 天 梵 語 也 東 土 翻 為 到 彼 岸 且 迷 者 
X26n0574_001:0953b11	有生死墮輪迴只在此岸也悟者超生死脫輪迴	有 生 死 墮 輪 迴 只 在 此 岸 也 悟 者 超 生 死 脫 輪 迴 
X26n0574_001:0953b12	到彼岸也若要到彼岸須是自生智慧過此生死	到 彼 岸 也 若 要 到 彼 岸 須 是 自 生 智 慧 過 此 生 死 
X26n0574_001:0953b13	苦海如人過水水深難過須用船橋或用木牌竹	苦 海 如 人 過 水 水 深 難 過 須 用 船 橋 或 用 木 牌 竹 
X26n0574_001:0953b14	筏多種方便盛載過此苦海而到彼岸既達彼岸	筏 多 種 方 便 盛 載 過 此 苦 海 而 到 彼 岸 既 達 彼 岸 
X26n0574_001:0953b15	前者船橋木牌等物盡皆無用見性悟道者亦復	前 者 船 橋 木 牌 等 物 盡 皆 無 用 見 性 悟 道 者 亦 復 
X26n0574_001:0953b16	如是　大顛云如盲人求醫遠路不能自行須假	如 是 大 顛 云 如 盲 人 求 醫 遠 路 不 能 自 行 須 假 
X26n0574_001:0953b17	人牽兼手中有杖方可無此二物不能得到既到	人 牽 兼 手 中 有 杖 方 可 無 此 二 物 不 能 得 到 既 到 
X26n0574_001:0953b18	醫家醫師與他點眼大見光明其杖與牽人都無	醫 家 醫 師 與 他 點 眼 大 見 光 明 其 杖 與 牽 人 都 無 
X26n0574_001:0953b19	用處頓悟涅槃正道亦復如是　且道甚是牽人	用 處 頓 悟 涅 槃 正 道 亦復如是 且 道 甚 是 牽 人 
X26n0574_001:0953b20	柱杖予今說破信者便行不得外行難成內功須	柱 杖 予 今 說 破 信 者 便 行 不 得 外 行 難 成 內 功 須 
X26n0574_001:0953b21	用廣作福田福至心靈自然有箇道徑只此便是	用 廣 作 福 田 福 至 心 靈 自 然 有 箇 道 徑 只 此 便 是 
X26n0574_001:0953b22	牽人也然後可以坐禪脩道辨取內功求見性之	牽 人 也 然 後 可 以 坐 禪 脩 道 辨 取 內 功 求 見 性 之 
X26n0574_001:0953b23	法了生死大事一日功圓得見本來面目便是柱	法 了 生 死 大 事 一 日 功 圓 得 見 本 來 面 目 便 是 柱 
X26n0574_001:0953b24	杖也更要參訪明眼師真大德高僧求其印證印	杖 也 更 要 參 訪 明 眼 師 真 大 德 高 僧 求 其 印 證 印 
X26n0574_001:0953c01	證師真便是醫人也一日頓悟從前多種方便盡	證 師 真 便 是 醫 人 也 一 日 頓 悟 從 前 多 種 方 便 盡 
X26n0574_001:0953c02	皆無用惟柱杖不可棄　道云得魚忘筌得兔忘	皆 無 用 惟 柱 杖 不 可 棄 道 云 得 魚 忘 筌 得 兔 忘 
X26n0574_001:0953c03	蹄　釋云過河須用筏到岸不須船　儒云得意	蹄 釋 云 過 河 須 用 筏 到 岸 不 須 船 儒 云 得 意 
X26n0574_001:0953c04	忘言得米忘田　且道都教忘却因甚只不教棄	忘 言 得 米 忘 田 且 道 都 教 忘 却 因 甚 只 不 教 棄 
X26n0574_001:0953c05	了柱杖　未到水窮山盡處　且存作伴過時光	了 柱 杖 未 到 水 窮 山 盡 處 且 存 作 伴 過 時 光 
X26n0574_001:0953c06	　理會也未。	 理 會 也 未 
X26n0574_001:0953c07	　這根柱杖本無相　　元與虗空無兩樣	 這 根 柱 杖 本 無 相 元 與 虗 空 無 兩 樣 
X26n0574_001:0953c08	　若人提起透三天　　遍界邪魔不敢望	 若 人 提 起 透 三 天 遍 界 邪 魔 不 敢 望 
X26n0574_001:0953c09	蜜多。	蜜 多 
X26n0574_001:0953c10	蜜多者西天梵語也東土翻為無極　且無極者	蜜 多 者 西 天 梵 語 也 東 土 翻 為 無 極 且 無 極 者 
X26n0574_001:0953c11	無極而太極者○乃虗空妙道也古云無極而太	無 極 而 太 極 者 乃 虗 空 妙 道 也 古 云 無 極 而 太 
X26n0574_001:0953c12	極太極分二儀二儀分三才三才生四象四象生	極 太 極 分 二 儀 二 儀 分 三 才 三 才 生 四 象 四 象 生 
X26n0574_001:0953c13	五行因有五行漸漸滋生萬類萬類盡在妙道之	五 行 因 有 五 行 漸 漸 滋 生 萬 類 萬 類 盡 在 妙 道 之 
X26n0574_001:0953c14	中包含也是以蜜之一字喻於虗空妙道多者比	中 包 含 也 是 以 蜜 之 一 字 喻 於 虗 空 妙 道 多 者 比 
X26n0574_001:0953c15	於諸品眾類有情無情皆屬道之含攝且如蜂採	於 諸 品 眾 類 有 情 無 情 皆 屬 道 之 含 攝 且 如 蜂 採 
X26n0574_001:0953c16	百華醞造成蜜未成之時有醎酸甘苦辛之眾味	百 華 醞 造 成 蜜 未 成 之 時 有 醎 酸 甘 苦 辛 之 眾 味 
X26n0574_001:0953c17	青黃赤白之眾色其味不等其色不一一日功成	青 黃 赤 白 之 眾 色 其 味 不 等 其 色 不 一 一 日 功 成 
X26n0574_001:0953c18	蜜就種種之味釀成一味般般之色混同一色馨	蜜 就 種 種 之 味 釀 成 一 味 般 般 之 色 混 同 一 色 馨 
X26n0574_001:0953c19	香美味一無差別到此則蜂得養生人得受用脩	香 美 味 一 無 差 別 到 此 則 蜂 得 養 生 人 得 受 用 脩 
X26n0574_001:0953c20	行之人亦復如是　且如脩行之人調伏身心朝	行 之 人 亦復如是 且 如 脩 行 之 人 調 伏 身 心 朝 
X26n0574_001:0953c21	磨暮煉功行未成之際有慳貪心利名心嫉妬心	磨 暮 煉 功 行 未 成 之 際 有 慳 貪 心 利 名 心 嫉 妬 心 
X26n0574_001:0953c22	計較心勝負心貢高心我慢心殺害心狼毒心三	計 較 心 勝 負 心 貢 高 心 我 慢 心 殺 害 心 狼 毒 心 三 
X26n0574_001:0953c23	毒心怕怖心邪心妄心無明黑暗心種種不善之	毒 心 怕 怖 心 邪 心 妄 心 無 明 黑 暗 心 種 種 不 善 之 
X26n0574_001:0953c24	心又有暴惡性麤躁性風吹性隨邪性愚濁性見	心 又 有 暴 惡 性 麤 躁 性 風 吹 性 隨 邪 性 愚 濁 性 見 
X26n0574_001:0954a01	趣性乖劣性虗詐性好閧性撅強性顛狂性浮華	趣 性 乖 劣 性 虗 詐 性 好 閧 性 撅 強 性 顛 狂 性 浮 華 
X26n0574_001:0954a02	性謟曲性自無始劫來一切習性八萬四千有餘	性 謟 曲 性 自 無 始 劫 來 一 切 習 性 八萬四千 有 餘 
X26n0574_001:0954a03	說不可盡一日功圓頑心自盡煆成一味清淨最	說 不 可 盡 一 日 功 圓 頑 心 自 盡 煆 成 一 味 清 淨 最 
X26n0574_001:0954a04	上無礙真心種種自和煉就一片萬劫不壞圓明	上 無 礙 真 心 種 種 自 和 煉 就 一 片 萬 劫 不 壞 圓 明 
X26n0574_001:0954a05	法性到此並無差別之心亦無異類之性眾惡自	法 性 到 此 並 無 差 別 之 心 亦 無 異 類 之 性 眾 惡 自 
X26n0574_001:0954a06	消眾惡自滅一真獨露得大自在　古德云眾星	消 眾 惡 自 滅 一 真 獨 露 得 大 自 在 古 德 云 眾 星 
X26n0574_001:0954a07	朗朗不如孤月獨明　道云百川流不盡一海納	朗 朗 不 如 孤 月 獨 明 道 云 百 川 流 不 盡 一 海 納 
X26n0574_001:0954a08	無窮　仙師云千思萬慮終成妄獨守一真道自	無 窮 仙 師 云 千 思 萬 慮 終 成 妄 獨 守 一 真 道 自 
X26n0574_001:0954a09	親　且道如何得見一真　咄　開眼被他瞞	親 且 道 如 何 得 見 一 真 咄 開 眼 被 他 瞞 
X26n0574_001:0954a10	　諸人拿不著　省也未。	 諸 人 拿 不 著 省 也 未 
X26n0574_001:0954a11	　若干種種恐難同　　休教差別走西東	 若 干 種 種 恐 難 同 休 教 差 別 走 西 東 
X26n0574_001:0954a12	　收來安放丹爐內　　煉得金烏一樣紅	 收 來 安 放 丹 爐 內 煉 得 金 烏 一 樣 紅 
X26n0574_001:0954a13	時。	時 
X26n0574_001:0954a14	時者正見之時也言見亦無可見言時未可定時	時 者 正 見 之 時 也 言 見 亦 無 可 見 言 時 未 可 定 時 
X26n0574_001:0954a15	　仙師云一陽纔動之時自有無窮消息　古德	 仙 師 云 一 陽 纔 動 之 時 自 有 無 窮 消 息 古 德 
X26n0574_001:0954a16	云清風颯颯透心懷此時快樂人難識　玄之又	云 清 風 颯 颯 透 心 懷 此 時 快 樂 人 難 識 玄 之 又 
X26n0574_001:0954a17	玄無東西南北無四維上下無過去未來見在	玄 無 東 西 南 北 無 四 維 上 下 無 過去未來 見 在 
X26n0574_001:0954a18	　虗空平等與大道混然無有二處共歸一時　川	 虗 空 平 等 與 大 道 混 然 無 有 二 處 共 歸 一 時 川 
X26n0574_001:0954a19	老云時時清風明月鎮相隨桃紅李白薔薇紫問	老 云 時 時 清 風 明 月 鎮 相 隨 桃 紅 李 白 薔 薇 紫 問 
X26n0574_001:0954a20	著東君總不知　且道東君在何處安身○見麼	著 東 君 總 不 知 且 道 東 君 在 何 處 安 身 見 麼 
X26n0574_001:0954a21	　打不離　割不死　在桃紅李白　在薔薇黃	 打 不 離 割 不 死 在 桃 紅 李 白 在 薔 薇 黃 
X26n0574_001:0954a22	紫　呵呵　模得著也未。	紫 呵 呵 模 得 著 也 未 
X26n0574_001:0954a23	　若問端的是何時　　清風明月自家知	 若 問 端 的 是 何 時 清 風 明 月 自 家 知 
X26n0574_001:0954a24	　東君昨夜傳消息　　綻出紅梅第一枝	 東 君 昨 夜 傳 消 息 綻 出 紅 梅 第 一 枝 
X26n0574_001:0954b01	照見五蘊皆空。	照 見 五 蘊 皆 空 
X26n0574_001:0954b02	五蘊者色受想行識也此五等因積習而不散妄	五 蘊 者 色 受 想 行 識 也 此 五 等 因 積 習 而 不 散 妄 
X26n0574_001:0954b03	認色身是我故長劫輪迴若人猛省借此幻身須	認 色 身 是 我 故 長 劫 輪 迴 若 人 猛 省 借 此 幻 身 須 
X26n0574_001:0954b04	教脩行常自返照照見五蘊淨盡清淨本然　且	教 脩 行 常 自 返 照 照 見 五 蘊 淨 盡 清 淨 本 然 且 
X26n0574_001:0954b05	道如何是色受想行識怎生得此五蘊皆空予今	道 如 何 是 色 受 想 行 識 怎 生 得 此 五 蘊 皆 空 予 今 
X26n0574_001:0954b06	直說分明若有解悟之者休生疑惑信受奉行必	直 說 分 明 若 有 解 悟 之 者 休 生 疑 惑 信受奉行 必 
X26n0574_001:0954b07	有契道之日且色者窒礙之義若見境逢物不著	有 契 道 之 日 且 色 者 窒 礙 之 義 若 見 境 逢 物 不 著 
X26n0574_001:0954b08	不染是無窒礙色蘊自空也受者領納之義若遇	不 染 是 無 窒 礙 色 蘊 自 空 也 受 者 領 納 之 義 若 遇 
X26n0574_001:0954b09	一切聲色境界心不領納得受蘊空也想者妄想	一 切 聲 色 境 界 心 不 領 納 得 受 蘊 空 也 想 者 妄 想 
X26n0574_001:0954b10	思慮之義若過去不思未來無想現在自如得想	思 慮 之 義 若 過 去 不 思 未 來 無 想 現 在 自 如 得 想 
X26n0574_001:0954b11	蘊空也行者心念不停遷流之義若十二時中心	蘊 空 也 行 者 心 念 不 停 遷 流 之 義 若 十 二 時 中 心 
X26n0574_001:0954b12	不外遊念不煩亂不被物轉不被境留一念不離	不 外 遊 念 不 煩 亂 不 被 物 轉 不 被 境 留 一 念 不 離 
X26n0574_001:0954b13	當處得行想空也識者別無親疎之義亦乃著物	當 處 得 行 想 空 也 識 者 別 無 親 疎 之 義 亦 乃 著 物 
X26n0574_001:0954b14	之理若見一切境物一無分別辨認一槩平等見	之 理 若 見 一 切 境 物 一 無 分 別 辨 認 一 槩 平 等 見 
X26n0574_001:0954b15	如不見識如不識無親無疎來則應之去則不思	如 不 見 識 如 不 識 無 親 無 疎 來 則 應 之 去 則 不 思 
X26n0574_001:0954b16	得識蘊空也既得到此田地自然照見五蘊皆空	得 識 蘊 空 也 既 得 到 此 田 地 自 然 照 見 五 蘊 皆 空 
X26n0574_001:0954b17	六窓明淨淨躶躶赤洒洒沒可把又有甚四大五	六 窓 明 淨 淨 躶 躶 赤 洒 洒 沒 可 把 又 有 甚 四 大 五 
X26n0574_001:0954b18	蘊名字亦不可得　道云惟見於空　釋云虗空	蘊 名 字 亦 不 可 得 道 云 惟 見 於 空 釋 云 虗 空 
X26n0574_001:0954b19	獨露　昔歌利王遊獵遇一仙人問語不答先却	獨 露 昔 歌 利 王 遊 獵 遇 一 仙 人 問 語 不 答 先 却 
X26n0574_001:0954b20	左膊次卸右膞節節支解仙人面無懼怒之色與	左 膊 次 卸 右 膞 節 節 支 解 仙 人 面 無 懼 怒 之 色 與 
X26n0574_001:0954b21	恒常一同並不改顏　罽賓國王問獅子尊者曰	恒 常 一 同 並 不 改 顏 罽 賓 國 王 問 獅 子 尊 者 曰 
X26n0574_001:0954b22	在此做什麼尊者答曰在此蘊空王問得蘊空否	在 此 做 什 麼 尊 者 答 曰 在 此 蘊 空 王 問 得 蘊 空 否 
X26n0574_001:0954b23	尊者答曰已得蘊空法王曰求師頭得否尊者答	尊 者 答 曰 已 得 蘊 空 法 王 曰 求 師 頭 得 否 尊 者 答 
X26n0574_001:0954b24	曰身非我有何況頭乎　又肇法師云四大元無	曰 身 非 我 有 何 況 頭 乎 又 肇 法 師 云 四 大 元 無 
X26n0574_001:0954c01	我五蘊悉皆空將頭臨白刃猶如斬春風　又舍	我 五 蘊 悉 皆 空 將 頭 臨 白 刃 猶 如 斬 春 風 又 舍 
X26n0574_001:0954c02	利弗見天女問云何不變却女身去天女答曰我	利 弗 見 天 女 問 云 何 不 變 却 女 身 去 天 女 答 曰 我 
X26n0574_001:0954c03	十二年覔女身了不可得教我變個什麼從上祖	十 二 年 覔 女 身 了 不 可 得 教 我 變 個 什 麼 從 上 祖 
X26n0574_001:0954c04	師皆得蘊空法　又鏡清和尚住院三年本院土	師 皆 得 蘊 空 法 又 鏡 清 和 尚 住 院 三 年 本 院 土 
X26n0574_001:0954c05	地要見師顏不能得　又太古郝真人在趙州橋	地 要 見 師 顏 不 能 得 又 太 古 郝 真 人 在 趙 州 橋 
X26n0574_001:0954c06	下辦道忽一夜聞眾鬼於河畔共語云明日有一	下 辦 道 忽 一 夜 聞 眾 鬼 於 河 畔 共 語 云 明 日 有 一 
X26n0574_001:0954c07	戴鐵帽人替我言訖杳無音耗至次日將暮大雨	戴 鐵 帽 人 替 我 言 訖 杳 無 音 耗 至 次 日 將 暮 大 雨 
X26n0574_001:0954c08	忽作見一人頭頂一鐵鍋遮雨至橋下欲洗脚過	忽 作 見 一 人 頭 頂 一 鐵 鍋 遮 雨 至 橋 下 欲 洗 脚 過 
X26n0574_001:0954c09	橋太古一見喝云不可洗其人聽真人之言扶欄	橋 太 古 一 見 喝 云 不 可 洗 其 人 聽 真 人 之 言 扶 欄 
X26n0574_001:0954c10	上橋而去至夜眾鬼皆至一鬼言我三年等得一	上 橋 而 去 至 夜 眾 鬼 皆 至 一 鬼 言 我 三 年 等 得 一 
X26n0574_001:0954c11	箇替頭被這先生將我底來破了眾鬼欲害真人	箇 替 頭 被 這 先 生 將 我 底 來 破 了 眾 鬼 欲 害 真 人 
X26n0574_001:0954c12	來往尋覔不得不知真人在於何處嗟嘆而去其	來 往 尋 覔 不 得 不 知 真 人 在 於 何 處 嗟 嘆 而 去 其 
X26n0574_001:0954c13	時真人只在橋下鬼不能見　又弘覺和尚住菴	時 真 人 只 在 橋 下 鬼 不 能 見 又 弘 覺 和 尚 住 菴 
X26n0574_001:0954c14	天厨送食及再參洞山和尚後皈菴天神三日送	天 厨 送 食 及 再 參 洞 山 和 尚 後 皈 菴 天 神 三 日 送 
X26n0574_001:0954c15	食到菴不見菴主菴主只在菴中為何不見皆得	食 到 菴 不 見 菴 主 菴 主 只 在 菴 中 為 何 不 見 皆 得 
X26n0574_001:0954c16	圓頓之法隱身之訣所以神鬼俱不得見　且道	圓 頓 之 法 隱 身 之 訣 所 以 神 鬼 俱 不 得 見 且 道 
X26n0574_001:0954c17	四大不實色身非有五蘊盡空甚是本來面目	四 大 不 實 色 身 非 有 五 蘊 盡 空 甚 是 本 來 面 目 
X26n0574_001:0954c18	　咄　這一句從那裏出來照見五蘊空底是阿誰	 咄 這 一 句 從 那 裏 出 來 照 見 五 蘊 空 底 是 阿 誰 
X26n0574_001:0954c19	　瞎漢當面蹉過　咦　一心只在絲綸上　不	 瞎 漢 當 面 蹉 過 咦 一 心 只 在 絲 綸 上 不 
X26n0574_001:0954c20	見蘆華對蓼紅○見麼。	見 蘆 華 對 蓼 紅 見 麼 
X26n0574_001:0954c21	　識破回頭便下功　　了然脫洒悟心空	 識 破 回 頭 便 下 功 了 然 脫 洒 悟 心 空 
X26n0574_001:0954c22	　從他四大都零落　　其中別有一神通	 從 他 四 大 都 零 落 其 中 別 有 一 神 通 
X26n0574_001:0954c23	度一切苦厄。	度 一 切 苦 厄 
X26n0574_001:0954c24	若得五蘊空便出生死界得免輪迴苦　太上云	若 得 五 蘊 空 便 出 生 死 界 得 免 輪 迴 苦 太 上 云 
X26n0574_001:0955a01	吾有大患為吾有身及吾無身吾有何患　釋云	吾 有 大 患 為 吾 有 身 及 吾 無 身 吾 有 何 患 釋 云 
X26n0574_001:0955a02	身是眾苦之本　儒云有身有患無執無憂　經	身 是 眾 苦 之 本 儒 云 有 身 有 患 無 執 無 憂 經 
X26n0574_001:0955a03	云三界無安猶如火宅眾苦充滿甚可怖畏若是	云 三 界 無 安 猶 如 火 宅 眾 苦 充 滿 甚 可 怖 畏 若 是 
X26n0574_001:0955a04	有智之人反照自己悟得自身皆虗幻非為真實	有 智 之 人 反 照 自 己 悟 得 自 身 皆 虗 幻 非 為 真 實 
X26n0574_001:0955a05	何況他物一日無常盡皆拋撒百無一用念念如	何 況 他 物 一 日 無 常 盡 皆 拋 撒 百 無 一 用 念 念 如 
X26n0574_001:0955a06	此心境自除襍念自少更須參訪知識親近智人	此 心 境 自 除 襍 念 自 少 更 須 參 訪 知 識 親 近 智 人 
X26n0574_001:0955a07	求出身之路了生死大事忽朝爆地一聲脫下漆	求 出 身 之 路 了 生 死 大 事 忽 朝 爆 地 一 聲 脫 下 漆 
X26n0574_001:0955a08	桶底便見本來面目　要見本來面目麼○　古	桶 底 便 見 本 來 面 目 要 見 本 來 面 目 麼 古 
X26n0574_001:0955a09	今無改變人自認不真。	今 無 改 變 人 自 認 不 真 
X26n0574_001:0955a10	　若得心空苦便無　　有何生死有何拘	 若 得 心 空 苦 便 無 有 何 生 死 有 何 拘 
X26n0574_001:0955a11	　一朝脫下胎用襖　　作箇逍遙大丈夫	 一 朝 脫 下 胎 用 襖 作 箇 逍 遙 大 丈 夫 
X26n0574_001:0955a12	舍利子。	舍 利 子 
X26n0574_001:0955a13	舍者屋舍也比四大五蘊色身利子者舍中之本	舍 者 屋 舍 也 比 四 大 五 蘊 色 身 利 子 者 舍 中 之 本 
X26n0574_001:0955a14	來一點真靈即主張形骸者是也如客店主人暫	來 一 點 真 靈 即 主 張 形 骸 者 是 也 如 客 店 主 人 暫 
X26n0574_001:0955a15	住主若離舍屋即倒塌利子常在只是換了房舍	住 主 若 離 舍 屋 即 倒 塌 利 子 常 在 只 是 換 了 房 舍 
X26n0574_001:0955a16	居住　道云身是氣之宅心是神之舍久而神氣	居 住 道 云 身 是 氣 之 宅 心 是 神 之 舍 久 而 神 氣 
X26n0574_001:0955a17	散又是移屋住　釋云無始劫來賃屋住至今誰	散 又 是 移 屋 住 釋 云 無 始 劫 來 賃 屋 住 至 今 誰 
X26n0574_001:0955a18	識主人公　藥山又云皮膚脫落盡惟有一真實	識 主 人 公 藥 山 又 云 皮 膚 脫 落 盡 惟 有 一 真 實 
X26n0574_001:0955a19	　要見真實底麼　還識這箇○也未　來來往	 要 見 真 實 底 麼 還 識 這 箇 也 未 來 來 往 
X26n0574_001:0955a20	往畿千遭只是世人模不著。	往 畿 千 遭 只 是 世 人 模 不 著 
X26n0574_001:0955a21	　莫道房兒又不多　　包藏天地及山河	 莫 道 房 兒 又 不 多 包 藏 天 地 及 山 河 
X26n0574_001:0955a22	　其中有箇真仙子　　不染纖塵鎮大羅	 其 中 有 箇 真 仙 子 不 染 纖 塵 鎮 大 羅 
X26n0574_001:0955a23	色不異空。	色不異空 
X26n0574_001:0955a24	道性無二色空一等只在目前應物現形人皆不	道 性 無 二 色 空 一 等 只 在 目 前 應 物 現 形 人 皆 不 
X26n0574_001:0955b01	識長者長空短者短空　方者方空圓者圓空白	識 長 者 長 空 短 者 短 空 方 者 方 空 圓 者 圓 空 白 
X26n0574_001:0955b02	者白空赤者赤空小者小空大者大空遠者遠空	者 白 空 赤 者 赤 空 小 者 小 空 大 者 大 空 遠 者 遠 空 
X26n0574_001:0955b03	近者近空　道云人人本有箇箇不無　釋云蠢	近 者 近 空 道 云 人 人 本 有 箇 箇 不 無 釋 云 蠢 
X26n0574_001:0955b04	物含靈皆有佛性　儒云一切含靈各具一太極	物 含 靈 皆 有 佛 性 儒 云 一 切 含 靈 各 具 一 太 極 
X26n0574_001:0955b05	　古德又云塵塵是道塵塵是佛　仙真云何物	 古 德 又 云 塵 塵 是 道 塵 塵 是 佛 仙 真 云 何 物 
X26n0574_001:0955b06	不稟道生何處不是道化隨處現形隨所自在道	不 稟 道 生 何 處 不 是 道 化 隨 處 現 形 隨 所 自 在 道 
X26n0574_001:0955b07	不遠人人自遠之反觀自身是色色中須有真空	不 遠 人 人 自 遠 之 反 觀 自 身 是 色 色 中 須 有 真 空 
X26n0574_001:0955b08	覺性應現種種相即是真空覺性所現　永嘉云	覺 性 應 現 種 種 相 即 是 真 空 覺 性 所 現 永 嘉 云 
X26n0574_001:0955b09	幻化空身即法身法身覺了無一物本源自性天	幻 化 空 身 即 法 身 法 身 覺 了 無 一 物 本 源 自 性 天 
X26n0574_001:0955b10	真佛　僊真云有形假相內包無相真形　寶公	真 佛 僊 真 云 有 形 假 相 內 包 無 相 真 形 寶 公 
X26n0574_001:0955b11	云有相身中無相身　咄　理會得麼　桃紅柳	云 有 相 身 中 無 相 身 咄 理 會 得 麼 桃 紅 柳 
X26n0574_001:0955b12	綠紅柳綠梅華白　總是東君造化成。	綠 紅 柳 綠 梅 華 白 總 是 東 君 造 化 成 
X26n0574_001:0955b13	　虗空造化自然工　　大地山河體混融	 虗 空 造 化 自 然 工 大 地 山 河 體 混 融 
X26n0574_001:0955b14	　隨處現形人不識　　自家昧了主人公	 隨 處 現 形 人 不 識 自 家 昧 了 主 人 公 
X26n0574_001:0955b15	空不異色。	空不異色 
X26n0574_001:0955b16	色空無一種世人自分別　道云大方無隅混然	色 空 無 一 種 世 人 自 分 別 道 云 大 方 無 隅 混 然 
X26n0574_001:0955b17	一體　釋云總三千界成一世界　儒云登東山	一 體 釋 云 總 三 千 界 成 一 世 界 儒 云 登 東 山 
X26n0574_001:0955b18	而小魯登泰山而小天下撒去蕃蘺何彼何此。	而 小 魯 登 泰 山 而 小 天 下 撒 去 蕃 蘺 何 彼 何 此 
X26n0574_001:0955b19	古云賢聖常行平等智不生分別相　三教賢聖	古 云 賢 聖 常 行 平 等 智 不 生 分 別 相 三 教 賢 聖 
X26n0574_001:0955b20	亦是空四生六道亦是空上至仙佛下至混蟲草	亦 是 空 四 生 六 道 亦 是 空 上 至 仙 佛 下 至 混 蟲 草 
X26n0574_001:0955b21	木各各元本總是空且大朴未散陰陽未判二儀	木 各 各 元 本 總 是 空 且 大 朴 未 散 陰 陽 未 判 二 儀 
X26n0574_001:0955b22	未分三才未立有甚作我元來皆一箇道理因大	未 分 三 才 未 立 有 甚 作 我 元 來 皆 一 箇 道 理 因 大 
X26n0574_001:0955b23	朴散天地合三才成立萬有滋生直至如今不能	朴 散 天 地 合 三 才 成 立 萬 有 滋 生 直 至 如 今 不 能 
X26n0574_001:0955b24	返本為何只因眾生執著不知元來是空迷己逐	返 本 為 何 只 因 眾 生 執 著 不 知 元 來 是 空 迷 己 逐 
X26n0574_001:0955c01	物心生倒見隨物流轉不能歸一機見不同著色	物 心 生 倒 見 隨 物 流 轉 不 能 歸 一 機 見 不 同 著 色 
X26n0574_001:0955c02	著空隨色空二見若人於此廓然悟空平等身心	著 空 隨 色 空 二 見 若 人 於 此 廓 然 悟 空 平 等 身 心 
X26n0574_001:0955c03	內外無餘不見空色不被物使不被境瞞一槩平	內 外 無 餘 不 見 空 色 不 被 物 使 不 被 境 瞞 一 槩 平 
X26n0574_001:0955c04	等有何一也便得歸一只這一也是多了重陽祖	等 有 何 一 也 便 得 歸 一 只 這 一 也 是 多 了 重 陽 祖 
X26n0574_001:0955c05	師云抱元守一是功夫地久天長一也無　古德	師 云 抱 元 守 一 是 功 夫 地 久 天 長 一 也 無 古 德 
X26n0574_001:0955c06	云萬法歸一一何歸一歸之處要君知　且道一	云 萬 法 歸 一 一 何 歸 一 歸 之 處 要 君 知 且 道 一 
X26n0574_001:0955c07	歸何處　咦　狗舔熱油鐺　理會麼。	歸 何 處 咦 狗 舔 熱 油 鐺 理 會 麼 
X26n0574_001:0955c08	　人牛不見杳無踪　　盡道空來不是空	 人 牛 不 見 杳 無 踪 盡 道 空 來 不 是 空 
X26n0574_001:0955c09	　一片白雲歸去也　　惟留明月照玄穹	 一 片 白 雲 歸 去 也 惟 留 明 月 照 玄 穹 
X26n0574_001:0955c10	色即是空。	色 即 是 空 
X26n0574_001:0955c11	空在色中世人難見眼是色不能見物只是真空	空 在 色 中 世 人 難 見 眼 是 色 不 能 見 物 只 是 真 空 
X26n0574_001:0955c12	妙性能見耳是色不能聽聲只是真空妙性能聽	妙 性 能 見 耳 是 色 不 能 聽 聲 只 是 真 空 妙 性 能 聽 
X26n0574_001:0955c13	鼻是色不能知香臭只是真空玅性能知舌是色	鼻 是 色 不 能 知 香 臭 只 是 真 空 玅 性 能 知 舌 是 色 
X26n0574_001:0955c14	不能言語只是真空妙性能言身是色不能覺觸	不 能 言 語 只 是 真 空 妙 性 能 言 身 是 色 不 能 覺 觸 
X26n0574_001:0955c15	只是真空妙性能覺觸脚是色不能行走只是真	只 是 真 空 妙 性 能 覺 觸 脚 是 色 不 能 行 走 只 是 真 
X26n0574_001:0955c16	空妙性能行走手是色不能拈掇只是真空妙性	空 妙 性 能 行 走 手 是 色 不 能 拈 掇 只 是 真 空 妙 性 
