X58n1010_001:0485c03	 勸發菩提心文序	 勸 發菩提心 文 序 
X58n1010_001:0488a14	提。一者能持禁戒淨。身口意護捨法門行。二者親近	提 一 者 能 持 禁 戒 淨 身 口 意 護 捨 法 門 行 二 者 親 近 
X58n1010_001:0488a15	修學大乘之人。與共同事。三者所有之物能一切捨。	修 學 大 乘 之 人 與 共 同 事 三 者 所 有 之 物 能 一 切 捨 
X58n1010_001:0488a16	以大悲心施於一切。四者一心願取種種莊嚴諸佛	以 大 悲 心 施 於 一 切 四 者 一 心 願 取 種 種 莊 嚴 諸 佛 
X58n1010_001:0488a17	世界。亦為調伏一切眾生。是名四法(出悲華經)。	世 界 亦 為 調 伏 一 切 眾 生 是 名 四 法 出 悲 華 經 
X58n1010_001:0488a18	次明發菩提心功德	次 明 發菩提心 功 德 
X58n1010_001:0488a19	天帝釋白法慧菩薩言。佛子菩薩初發菩提心所得	天 帝 釋 白 法 慧 菩 薩 言 佛 子 菩 薩 初發菩提心 所 得 
X58n1010_001:0488a20	功德其量幾何。法慧菩薩言。此義甚深。難說。難知。難	功 德 其 量 幾 何 法 慧 菩 薩 言 此 義 甚 深 難 說 難 知 難 
X58n1010_001:0488a21	分別。難信解。難證。難行。難通達。難思惟。難度量。難趣	分 別 難 信 解 難 證 難 行 難 通 達 難 思 惟 難 度 量 難 趣 
X58n1010_001:0488a22	入。雖然我當承佛威神之力而為汝說。佛子。假使有	入 雖 然 我 當 承佛威神 之 力 而 為 汝 說 佛 子 假 使 有 
X58n1010_001:0488a23	人以一切樂具供養東方阿僧祇世界所有眾生。經	人 以 一 切 樂 具 供 養 東 方 阿 僧 祇 世 界 所 有 眾 生 經 
X58n1010_001:0488a24	於一劫。然後教令淨持五戒。南西北方四維上下亦	於 一 劫 然 後 教 令 淨 持 五 戒 南 西 北 方 四 維 上 下 亦 
X58n1010_001:0488b01	復如是。此人功德寧為多否。天帝言。此人功德唯佛	復 如 是 此 人 功 德 寧 為 多 否 天 帝 言 此 人 功 德 唯 佛 
X58n1010_001:0488b02	能知。法慧言。此人功德比菩薩初發心功德。百分不	能 知 法 慧 言 此 人 功 德 比 菩 薩 初 發 心 功 德 百 分 不 
X58n1010_001:0488b03	及一。千分不及一。百千分不及一。如是億分．百億分．	及 一 千 分 不 及 一 百 千 分 不 及 一 如 是 億 分 百 億 分 
X58n1010_001:0488b04	千億分．百千億分．那由他億分．百那由他億分．千那	千 億 分 百 千 億 分 那 由 他 億 分 百 那 由 他 億 分 千 那 
X58n1010_001:0488b05	由他億分．百千那由他億分．百萬那由他億分．乃至	由 他 億 分 百 千 那 由 他 億 分 百 萬 那 由 他 億 分 乃 至 
X58n1010_001:0488b06	優波尼沙陀億分．亦不及一。佛子且置此喻。假使有	優 波 尼 沙 陀 億 分 亦 不 及 一 佛 子 且 置 此 喻 假 使 有 
X58n1010_001:0488b07	人以一切樂具供養十方阿僧祇世界所有眾生。經	人 以 一 切 樂 具 供 養 十 方 阿 僧 祇 世 界 所 有 眾 生 經 
X58n1010_001:0488b08	於百劫。然後教令修十善道。如是供養。經於千劫教	於 百 劫 然 後 教 令 修 十 善 道 如 是 供 養 經 於 千 劫 教 
X58n1010_001:0488b09	住四禪。經百千劫教住四無量心。經於億劫教住四	住 四 禪 經 百 千 劫 教 住 四無量心 經 於 億 劫 教 住 四 
X58n1010_001:0488b10	無色定。經百億劫教住須陀洹果。經於千億劫教住	無 色 定 經 百 億 劫 教 住 須陀洹果 經 於 千 億 劫 教 住 
X58n1010_001:0488b11	斯陀含果。經於百千億劫教住阿那含果。經於那由	斯陀含果 經 於 百 千 億 劫 教 住 阿那含果 經 於 那 由 
X58n1010_001:0488b12	他億劫教住阿羅漢果。經於百千那由他億劫教住	他 億 劫 教 住 阿羅漢果 經 於 百 千 那 由 他 億 劫 教 住 
X58n1010_001:0488b13	辟支佛道。是人功德寧為多否。天帝言。此人功德唯	辟支佛道 是 人 功 德 寧 為 多 否 天 帝 言 此 人 功 德 唯 
X58n1010_001:0488b14	佛能知。法慧菩薩言。此人功德比菩薩初發心功德	佛 能 知 法 慧 菩 薩 言 此 人 功 德 比 菩 薩 初 發 心 功 德 
X58n1010_001:0488b15	百分不及一。乃至優婆尼沙陀分亦不及一。何以故。	百 分 不 及 一 乃 至 優 婆 尼 沙 陀 分 亦 不 及 一 何 以 故 
X58n1010_001:0488b16	一切諸佛初發心時。不但為以一切樂具供養十方	一切諸佛 初 發 心 時 不 但 為 以 一 切 樂 具 供 養 十 方 
X58n1010_001:0488b17	十阿僧祇世界所有眾生。經於百劫。乃至百千那由	十 阿 僧 祇 世 界 所 有 眾 生 經 於 百 劫 乃 至 百 千 那 由 
X58n1010_001:0488b18	他億劫故。發菩提心不但為教爾所眾生。令修五戒．	他 億 劫 故 發菩提心 不 但 為 教 爾 所 眾 生 令 修 五 戒 
X58n1010_001:0488b19	十善業道．教住四禪．四無量．四無色定。教得須陀洹	十善業道 教 住 四 禪 四 無 量 四無色定 教 得 須 陀 洹 
X58n1010_001:0488b20	果．斯陀含果．阿那含果．阿羅漢果．辟支佛道故。發菩	果 斯陀含果 阿那含果 阿羅漢果 辟支佛道 故 發 菩 
X58n1010_001:0488b21	提心為令如來種性不斷故。為充徧一切世界故。為	提 心 為 令 如來種性 不 斷 故 為 充 徧 一切世界 故 為 
X58n1010_001:0488b22	度脫一切世界眾生故。為悉知一切世界成壞故。為	度 脫 一切世界 眾 生 故 為 悉 知 一切世界 成 壞 故 為 
X58n1010_001:0488b23	悉知一切世界中眾生垢淨故。為悉知一切世界自	悉 知 一切世界 中 眾 生 垢 淨 故 為 悉 知 一切世界 自 
X58n1010_001:0488b24	性清淨故。為悉知一切眾生心樂煩惱習氣故。為悉	性 清 淨 故 為 悉 知 一 切 眾 生 心 樂 煩惱習氣 故 為 悉 
X58n1010_001:0488c01	知一切眾生死此生彼故。為悉知一切眾生諸根方	知 一 切 眾 生 死此生彼 故 為 悉 知 一 切 眾 生 諸 根 方 
X58n1010_001:0488c02	便故。為悉知一切眾生心行故。為悉知一切眾生三	便 故 為 悉 知 一 切 眾 生 心 行 故 為 悉 知 一 切 眾 生 三 
X58n1010_001:0488c03	世智故。為悉知一切佛境界平等故。發於無上菩提	世 智 故 為 悉 知 一 切 佛 境 界 平 等 故 發 於 無上菩提 
X58n1010_001:0488c04	之心故。常為三世一切諸佛之所憶念。當得三世一	之 心 故 常 為 三 世 一切諸佛 之 所 憶 念 當 得 三 世 一 
X58n1010_001:0488c05	切諸佛與其妙法。即與三世一切諸佛體性平等。已	切 諸 佛 與 其 妙 法 即 與 三 世 一切諸佛 體 性 平 等 已 
X58n1010_001:0488c06	修三世一切諸佛助道之法。成就三世一切諸佛力	修 三 世 一切諸佛 助 道 之 法 成 就 三 世 一切諸佛 力 
X58n1010_001:0488c07	無所畏。莊嚴三世一切諸佛不共佛法。悉得法界一	無 所 畏 莊 嚴 三 世 一切諸佛 不共佛法 悉 得 法 界 一 
X58n1010_001:0488c08	切諸佛說法智慧。何以故。以是發心。當得佛故。應知	切 諸 佛 說 法 智 慧 何 以 故 以 是 發 心 當 得 佛 故 應 知 
X58n1010_001:0488c09	此人即與三世諸佛同等。即與三世諸佛境界平等。	此 人 即 與 三世諸佛 同 等 即 與 三世諸佛 境 界 平 等 
X58n1010_001:0488c10	即與三世諸佛功德平等。得如來一身無量身究竟	即 與 三世諸佛 功 德 平 等 得 如 來 一 身 無 量 身 究 竟 
X58n1010_001:0488c11	平等真實智慧。初發心時。即為十方一切諸佛所共	平 等 真 實 智 慧 初 發 心 時 即 為 十 方 一切諸佛 所 共 
X58n1010_001:0488c12	稱歎。即能說法教化。調伏一切世界所有眾生。即能	稱 歎 即 能 說 法 教 化 調 伏 一切世界 所 有 眾 生 即 能 
X58n1010_001:0488c13	震動一切世界。即能光照一切世界。即能息滅一切	震 動 一切世界 即 能 光 照 一切世界 即 能 息 滅 一 切 
X58n1010_001:0488c14	世界諸惡道苦。即能嚴淨一切世界。即能於一切世	世 界 諸 惡 道 苦 即 能 嚴 淨 一切世界 即 能 於 一 切 世 
X58n1010_001:0488c15	界中示現成佛。即能令一切眾生皆得歡喜心。即能	界 中 示 現 成 佛 即 能 令 一 切 眾 生 皆 得 歡 喜 心 即 能 
X58n1010_001:0488c16	入一切法界性。即能持一切佛種性。即能得一切佛	入 一 切 法 界 性 即 能 持 一 切 佛 種 性 即 能 得 一 切 佛 
X58n1010_001:0488c17	智慧光明。此初發心菩薩不於三世少有所得。若諸	智慧光明 此 初 發 心 菩 薩 不 於 三 世 少 有 所 得 若 諸 
X58n1010_001:0488c18	佛。若諸佛法。若諸菩薩。若諸菩薩法。若獨覺。若獨覺	佛 若 諸 佛 法 若 諸 菩 薩 若 諸 菩 薩 法 若 獨 覺 若 獨 覺 
X58n1010_001:0488c19	法。若聲聞。若聲聞法。若出世間。若出世間法。若眾生。	法 若 聲 聞 若 聲 聞 法 若 出 世 間 若 出世間法 若 眾 生 
X58n1010_001:0488c20	若眾生法。唯求一切智於諸法界心無所著。是名初	若 眾 生 法 唯 求 一 切 智 於 諸 法 界 心無所著 是 名 初 
X58n1010_001:0488c21	發阿耨多羅三藐三菩提心功德(出華嚴經發心功德品。此約初住菩	發 阿耨多羅三藐三菩提 心 功 德 出 華 嚴 經 發 心 功 德 品 此 約 初 住 菩 
X58n1010_001:0488c22	薩說。今凡夫位中是初發菩提心。至初住位中是成就菩提心也)。	薩 說 今 凡 夫 位 中 是 初發菩提心 至 初 住 位 中 是 成 就 菩 提 心 也 
X58n1010_001:0488c23	次通凡聖差別疑	次 通 凡 聖 差 別 疑 
X58n1010_001:0488c24	或曰。菩提大心。聖賢境界。固非凡夫淺識所能造擬	或 曰 菩 提 大 心 聖 賢 境 界 固 非 凡 夫 淺 識 所 能 造 擬 
X58n1010_001:0489a01	也。故菩薩初住。發大心。便能遊歷十方。廣作佛事。今	也 故 菩 薩 初 住 發 大 心 便 能 遊 歷 十 方 廣 作 佛 事 今 
X58n1010_001:0489a02	以大法勸諸凡夫。無乃根器不同乎。對曰。不然凡聖	以 大 法 勸 諸 凡 夫 無 乃 根 器 不 同 乎 對 曰 不 然 凡 聖 
X58n1010_001:0489a03	同源本無差別。一念迷倒自取沈淪。若悟性本圓明。	同 源 本 無 差 別 一 念 迷 倒 自 取 沈 淪 若 悟 性 本 圓 明 
X58n1010_001:0489a04	便與諸佛平等。性上起菩提心。以此修行即為菩薩	便 與 諸 佛 平 等 性 上 起 菩 提 心 以 此 修 行 即 為 菩 薩 
X58n1010_001:0489a05	(菩薩者大心眾生也)。何苦自薄而謂凡夫隔絕哉。且凡夫位中	 菩 薩 者 大 心 眾 生 也 何 苦 自 薄 而 謂 凡 夫 隔 絕 哉 且 凡 夫 位 中 
X58n1010_001:0489a06	三毒為本。今既誓捨財寶以化眾生。雖未盡行自然	三 毒 為 本 今 既 誓 捨 財 寶 以 化 眾 生 雖 未 盡 行 自 然 
X58n1010_001:0489a07	少貪。誓行四攝以化眾生。雖未盡行自然少瞋。誓修	少 貪 誓 行 四 攝 以 化 眾 生 雖 未 盡 行 自 然 少 瞋 誓 修 
X58n1010_001:0489a08	定慧以度眾生。雖未盡證自然少癡。三法在心便成	定 慧 以 度 眾 生 雖 未 盡 證 自 然 少 癡 三 法 在 心 便 成 
X58n1010_001:0489a09	法器。所以菩薩不斷煩惱唯興大悲威德。法門誠不	法 器 所 以 菩 薩 不 斷 煩 惱 唯 興 大 悲 威 德 法 門 誠 不 
X58n1010_001:0489a10	虗設。又何疑而不為哉。且凡夫發心是初發菩提心	虗 設 又 何 疑 而 不 為 哉 且 凡 夫 發 心 是 初發菩提心 
X58n1010_001:0489a11	也。初住發心是成就菩提心也。若待初住方發此心。	也 初 住 發 心 是 成 就 菩 提 心 也 若 待 初 住 方 發 此 心 
X58n1010_001:0489a12	初住之前當修何法。除此菩提正路。盡為生死因緣。	初 住 之 前 當 修 何 法 除 此 菩 提 正 路 盡 為 生 死 因 緣 
X58n1010_001:0489a13	但至輪回何由證入。故釋迦如來從初發心。即於無	但 至 輪 回 何 由 證 入 故 釋 迦 如 來 從 初 發 心 即 於 無 
X58n1010_001:0489a14	量生中事無量諸佛一切佛。所發菩提心直至然燈	量 生 中 事 無 量 諸 佛 一 切 佛 所 發菩提心 直 至 然 燈 
X58n1010_001:0489a15	佛前方受遠記。寶藏佛會始號大悲。固須千百生中	佛 前 方 受 遠 記 寶 藏 佛 會 始 號 大 悲 固 須 千 百 生 中 
X58n1010_001:0489a16	方得成就。所以勸諸道俗學我本師世尊。無以纔辨	方 得 成 就 所 以 勸 諸 道 俗 學 我 本 師 世 尊 無 以 纔 辨 
X58n1010_001:0489a17	教門。便為甚深法藏粗識心性。定言無上菩提須度	教 門 便 為 甚 深 法 藏 粗 識 心 性 定 言 無上菩提 須 度 
X58n1010_001:0489a18	一切眾生。須求一切種智。賢劫千佛皆種善根。自然	一 切 眾 生 須 求 一切種智 賢 劫 千 佛 皆 種 善 根 自 然 
X58n1010_001:0489a19	福智弘深。永作世間道首。普願大眾以此文示此郡	福 智 弘 深 永 作 世 間 道 首 普 願 大 眾 以 此 文 示 此 郡 
X58n1010_001:0489a20	及他州。與我有緣者見此文當發菩提心。欲發心時。	及 他 州 與 我 有 緣 者 見 此 文 當 發菩提心 欲 發 心 時 
X58n1010_001:0489a21	請先隨力捨財物。或投一齋供養三寶。或畫一像精	請 先 隨 力 捨 財 物 或 投 一 齋 供養三寶 或 畫 一 像 精 
X58n1010_001:0489a22	進道場。然後依此正文。虔發大願(準賢劫千佛經。一一佛於因地遇佛	進 道 場 然 後 依 此 正 文 虔 發 大 願 準 賢 劫 千 佛 經 一 一 佛 於 因 地 遇 佛 
X58n1010_001:0489a23	時。皆先以財寶乃至柳枝淨水等世尊供養。然後發菩提心。悲華經。寶海梵志。勸無量人天發菩提心。先令以	時 皆 先 以 財 寶 乃 至 柳 枝 淨 水 等 世 尊 供 養 然 後 發菩提心 悲 華 經 寶 海 梵 志 勸 無 量 人 天 發菩提心 先 令 以 
X58n1010_001:0489a24	物獻佛。然後啟願。佛佛道同。故須導稟)。	物 獻 佛 然 後 啟 願 佛 佛 道 同 故 須 導 稟 
X58n1010_001:0489b01	啟發之後。念念運心。便為成佛正因。宜自深加喜慶。	啟 發 之 後 念 念 運 心 便 為 成 佛 正 因 宜 自 深 加 喜 慶 
X58n1010_001:0489b02	道俗不乖於法侶。山川豈礙真智。幸因路人垂示姓	道 俗 不 乖 於 法 侶 山 川 豈 礙 真 智 幸 因 路 人 垂 示 姓 
X58n1010_001:0489b03	字。	字 
X58n1010_001:0489b04	開成三年六月二十日緜州刺史裴休記	開 成 三 年 六 月 二 十 日 緜 州 刺 史 裴 休 記 
X58n1010_001:0489b06	勸發菩提心文(終)	勸 發菩提心 文 終 
