T52n2110_001:0489c14	辯正論序	辯 正 論 序 
T52n2110_002:0499a26	天下。故得稱教。道非天子不得有風。既其	天 下 故 得 稱 教 道 非 天 子 不 得 有 風 既 其 
T52n2110_002:0499a27	無風。云何布化無風可化。不得別稱教也。據	無 風 云 何 布 化 無 風 可 化 不 得 別 稱 教 也 據 
T52n2110_002:0499a28	此而言。但有二教。縱稱有道制入儒流。又	此 而 言 但 有 二 教 縱 稱 有 道 制 入 儒 流 又 
T52n2110_002:0499a29	老子是俗人。未斷煩惱。有所言說。但序三皇	老 子 是 俗 人 未 斷 煩 惱 有 所 言 說 但 序 三 皇 
T52n2110_002:0499b01	之教化。河上公云。大道之世無為養神無事	之 教 化 河 上 公 云 大 道 之 世 無 為 養 神 無 事 
T52n2110_002:0499b02	安民。謂無所施為無所造作。日出而起。日入	安 民 謂 無 所 施 為 無 所 造 作 日 出 而 起 日 入 
T52n2110_002:0499b03	而止。名為大道。無別天尊住於天上。此謂道	而 止 名 為 大 道 無 別 天 尊 住 於 天 上 此 謂 道 
T52n2110_002:0499b04	是道理。淳和之氣亦無形相也。又葛仙公云。	是 道 理 淳 和 之 氣 亦 無 形 相 也 又 葛 仙 公 云 
T52n2110_002:0499b05	吾師姓波閱宗。字維那訶。西域人也。亦不云	吾 師 姓 波 閱 宗 字 維 那 訶 西 域 人 也 亦 不 云 
T52n2110_002:0499b06	天尊是我師也。	天 尊 是 我 師 也 
T52n2110_002:0499b07	儒生問曰。道以自然為宗。虛無為本。其證非	儒 生 問 曰 道 以 自 然 為 宗 虛 無 為 本 其 證 非 
T52n2110_002:0499b08	一。如太上玄妙經云。道曰自然者。道之真也。	一 如 太 上 玄 妙 經 云 道 曰 自 然 者 道 之 真 也 
T52n2110_002:0499b09	無為者。道之極也。虛無者。德之尊也。不視不	無 為 者 道 之 極 也 虛 無 者 德 之 尊 也 不 視 不 
T52n2110_002:0499b10	聽而抱其玄。無心無意若未生根。精聚化為	聽 而 抱 其 玄 無 心 無 意 若 未 生 根 精 聚 化 為 
T52n2110_002:0499b11	其身。又昇玄內教經云。太極真人問大道。以	其 身 又 昇 玄 內 教 經 云 太 極 真 人 問 大 道 以 
T52n2110_002:0499b12	何為身。生在何許。名之為道。通言。夫道玄	何 為 身 生 在 何 許 名 之 為 道 通 言 夫 道 玄 
T52n2110_002:0499b13	妙出於自然。生於無生先於無先。	妙 出 於 自 然 生 於 無 生 先 於 無 先 
T52n2110_002:0499b14	又靈寶自然經訣云。太上玄一真人曰。太上	又 靈 寶 自 然 經 訣 云 太 上 玄 一 真 人 曰 太 上 
T52n2110_002:0499b15	無極大道無上至真玄居虛無無形自然極虛	無 極 大 道 無 上 至 真 玄 居 虛 無 無 形 自 然 極 虛 
T52n2110_002:0499b16	無之上。上無復天下無復地。故曰無上至真	無 之 上 上 無 復 天 下 無 復 地 故 曰 無 上 至 真 
T52n2110_002:0499b17	大道。道雖虛無而能生一。為萬物之本也。通	大 道 道 雖 虛 無 而 能 生 一 為 萬 物 之 本 也 通 
T52n2110_002:0499b18	人問曰。道能生一。誰復生道。若道無從生。亦	人 問 曰 道 能 生 一 誰 復 生 道 若 道 無 從 生 亦 
T52n2110_002:0499b19	道不生一。若道不從他生。一亦不從道生。若	道 不 生 一 若 道 不 從 他 生 一 亦 不 從 道 生 若 
T52n2110_002:0499b20	道自生。一亦自生。一既不能自生。道亦不能	道 自 生 一 亦 自 生 一 既 不 能 自 生 道 亦 不 能 
T52n2110_002:0499b21	自生。若道自生道。亦道自法道。何故老子云。	自 生 若 道 自 生 道 亦 道 自 法 道 何 故 老 子 云 
T52n2110_002:0499b22	人法地。地法天。天法道。道法自然。既道不自	人 法 地 地 法 天 天 法 道 道 法 自 然 既 道 不 自 
T52n2110_002:0499b23	法而法自然。亦可道不自生從自然生。若道	法 而 法 自 然 亦 可 道 不 自 生 從 自 然 生 若 道 
T52n2110_002:0499b24	不從自然生。亦一不從道生。又一不及道從	不 從 自 然 生 亦 一 不 從 道 生 又 一 不 及 道 從 
T52n2110_002:0499b25	道生。亦可道不及自然從自然生。一從道生	道 生 亦 可 道 不 及 自 然 從 自 然 生 一 從 道 生 
T52n2110_002:0499b26	道得稱大。道從自然生亦可自然稱大。道不	道 得 稱 大 道 從 自 然 生 亦 可 自 然 稱 大 道 不 
T52n2110_002:0499b27	得稱大。若不稱大應云小道。若道望自然即	得 稱 大 若 不 稱 大 應 云 小 道 若 道 望 自 然 即 
T52n2110_002:0499b28	道法自然。自然即為道本。既道本於自然。即	道 法 自 然 自 然 即 為 道 本 既 道 本 於 自 然 即 
T52n2110_002:0499b29	自然是常道不得是常。今道既稱常自然亦	自 然 是 常 道 不 得 是 常 今 道 既 稱 常 自 然 亦 
T52n2110_002:0499c01	常。亦可道法自然自然亦應法道。若自然為	常 亦 可 道 法 自 然 自 然 亦 應 法 道 若 自 然 為 
T52n2110_002:0499c02	本道不得為本。自然為常道不得為常。若兩	本 道 不 得 為 本 自 然 為 常 道 不 得 為 常 若 兩 
T52n2110_002:0499c03	箇俱是常。亦兩箇俱相法。如其一法一不法。	箇 俱 是 常 亦 兩 箇 俱 相 法 如 其 一 法 一 不 法 
T52n2110_002:0499c04	亦一常一不常。若言俱常即俱自然。既有自	亦 一 常 一 不 常 若 言 俱 常 即 俱 自 然 既 有 自 
T52n2110_002:0499c05	然不自然。亦有常有無常。若自然為本道為	然 不 自 然 亦 有 常 有 無 常 若 自 然 為 本 道 為 
T52n2110_002:0499c06	迹。本迹俱稱常。亦可道為本天為迹。天道俱	迹 本 迹 俱 稱 常 亦 可 道 為 本 天 為 迹 天 道 俱 
T52n2110_002:0499c07	無常。今以道本對天迹。道常天無常。亦可	無 常 今 以 道 本 對 天 迹 道 常 天 無 常 亦 可 
T52n2110_002:0499c08	自然對道迹。道無常而自然常。若道即自然	自 然 對 道 迹 道 無 常 而 自 然 常 若 道 即 自 然 
T52n2110_002:0499c09	亦天即是道。若天體非道體即一常一無常。	亦 天 即 是 道 若 天 體 非 道 體 即 一 常 一 無 常 
T52n2110_002:0499c10	今亦可道體即自然體。同體亦同常。今道法	今 亦 可 道 體 即 自 然 體 同 體 亦 同 常 今 道 法 
T52n2110_002:0499c11	自然。云何得同體。既道法然不法還是然	自 然 云 何 得 同 體 既 道 法 然 不 法 還 是 然 
T52n2110_002:0499c12	常道無常。若有常異無常。可得無常非有常	常 道 無 常 若 有 常 異 無 常 可 得 無 常 非 有 常 
T52n2110_002:0499c13	無無常異常。何得令常異無常。由無常有	無 無 常 異 常 何 得 令 常 異 無 常 由 無 常 有 
T52n2110_002:0499c14	常。有常故無常。常法尚無有何得有無常。	常 有 常 故 無 常 常 法 尚 無 有 何 得 有 無 常 
T52n2110_002:0499c15	若離常有無常。因餘常有常亦離常無有常。	若 離 常 有 無 常 因 餘 常 有 常 亦 離 常 無 有 常 
T52n2110_002:0499c16	是故知無常常法既無有云何有無常道。若	是 故 知 無 常 常 法 既 無 有 云 何 有 無 常 道 若 
T52n2110_002:0499c17	稱常便為諸見之首。如其稱大復被域中所	稱 常 便 為 諸 見 之 首 如 其 稱 大 復 被 域 中 所 
T52n2110_002:0499c18	拘。鳥鼠二端何以自出。假令有道因藥成仙	拘 鳥 鼠 二 端 何 以 自 出 假 令 有 道 因 藥 成 仙 
T52n2110_002:0499c19	耳。故袁宏後漢紀郊祀志云。道家者流出於	耳 故 袁 宏 後 漢 紀 郊 祀 志 云 道 家 者 流 出 於 
T52n2110_002:0499c20	老子。以清虛淡泊為主姤善疾惡為教。禍福	老 子 以 清 虛 淡 泊 為 主 姤 善 疾 惡 為 教 禍 福 
T52n2110_002:0499c21	報應在一生之內。畜妻子用符書。其修行不	報 應 在 一 生 之 內 畜 妻 子 用 符 書 其 修 行 不 
T52n2110_002:0499c22	已。得至神仙也。	已 得 至 神 仙 也 
T52n2110_002:0499c23	通人曰。尋老君居世未捨俗塵。儀貌服章亦	通 人 曰 尋 老 君 居 世 未 捨 俗 塵 儀 貌 服 章 亦 
T52n2110_002:0499c24	無改異。不立館宇不領門徒。處柱下之微官。	無 改 異 不 立 館 宇 不 領 門 徒 處 柱 下 之 微 官 
T52n2110_002:0499c25	隱龍德而養性。和其光而避外患。同其事以	隱 龍 德 而 養 性 和 其 光 而 避 外 患 同 其 事 以 
T52n2110_002:0499c26	攝內生。愚者見之謂之愚。智者見之謂之智。	攝 內 生 愚 者 見 之 謂 之 愚 智 者 見 之 謂 之 智 
T52n2110_002:0499c27	非魯司寇。莫能識也。今之道士不遵其法。反	非 魯 司 寇 莫 能 識 也 今 之 道 士 不 遵 其 法 反 
T52n2110_002:0499c28	同張禹漫行章句。苟求潤屋冀得養身。棄五	同 張 禹 漫 行 章 句 苟 求 潤 屋 冀 得 養 身 棄 五 
T52n2110_002:0499c29	千之妙門。行三張之穢術。如茅山道士陶隱	千 之 妙 門 行 三 張 之 穢 術 如 茅 山 道 士 陶 隱 
T52n2110_002:0500a01	居撰眾醮儀凡十卷。從天地山川星辰嶽瀆。	居 撰 眾 醮 儀 凡 十 卷 從 天 地 山 川 星 辰 嶽 瀆 
T52n2110_002:0500a02	及安宅謝墓呼召魂神所營醮法。備列珍奇	及 安 宅 謝 墓 呼 召 魂 神 所 營 醮 法 備 列 珍 奇 
T52n2110_002:0500a03	廣班綾綵多用蒸魚鹿脯黃白蜜粄清酒雜	廣 班 綾 綵 多 用 蒸 魚 鹿 脯 黃 白 蜜 粄 清 酒 雜 
T52n2110_002:0500a04	果鹽豉油米等。先奏章請喚將軍吏兵。道士	果 鹽 豉 油 米 等 先 奏 章 請 喚 將 軍 吏 兵 道 士 
T52n2110_002:0500a05	等皆執手版。向神稱臣。叩頭再拜。求恩乞福。	等 皆 執 手 版 向 神 稱 臣 叩 頭 再 拜 求 恩 乞 福 
T52n2110_002:0500a06	與俗並同。既非出家具造邪業。然紫微太微	與 俗 並 同 既 非 出 家 具 造 邪 業 然 紫 微 太 微 
T52n2110_002:0500a07	少微等。總謂天皇三官。案古來先儒云。天皇	少 微 等 總 謂 天 皇 三 官 案 古 來 先 儒 云 天 皇 
T52n2110_002:0500a08	大帝者。是紫微尊神。一名曜魂寶即中央天	大 帝 者 是 紫 微 尊 神 一 名 曜 魂 寶 即 中 央 天 
T52n2110_002:0500a09	也。謂之北極。在鉤陳之內。為天之主。眾星所	也 謂 之 北 極 在 鉤 陳 之 內 為 天 之 主 眾 星 所 
T52n2110_002:0500a10	尊。左有天一神。右有太一神。為左右將。如	尊 左 有 天 一 神 右 有 太 一 神 為 左 右 將 如 
T52n2110_002:0500a11	今左右丞相也。主承事天皇。人命所屬。尊中	今 左 右 丞 相 也 主 承 事 天 皇 人 命 所 屬 尊 中 
T52n2110_002:0500a12	之尊。依尚書周禮。國家自有祭法。皆天子親	之 尊 依 尚 書 周 禮 國 家 自 有 祭 法 皆 天 子 親 
T52n2110_002:0500a13	所敬事。孝經云。周公有至孝之心。乃宗祀文	所 敬 事 孝 經 云 周 公 有 至 孝 之 心 乃 宗 祀 文 
T52n2110_002:0500a14	王於明堂以配上帝。郊祀后稷以配天。天謂	王 於 明 堂 以 配 上 帝 郊 祀 后 稷 以 配 天 天 謂 
T52n2110_002:0500a15	五方天。帝謂昊天上帝。以祖父配祭於明堂。	五 方 天 帝 謂 昊 天 上 帝 以 祖 父 配 祭 於 明 堂 
T52n2110_002:0500a16	及圓丘南郊等。本非道家之神。亦非道士所	及 圓 丘 南 郊 等 本 非 道 家 之 神 亦 非 道 士 所 
T52n2110_002:0500a17	行之法。云何今日乃用道士醮祭。大乖禮教。	行 之 法 云 何 今 日 乃 用 道 士 醮 祭 大 乖 禮 教 
T52n2110_002:0500a18	深恐天神不饗非禮。從漢末張陵以鬼道行	深 恐 天 神 不 饗 非 禮 從 漢 末 張 陵 以 鬼 道 行 
T52n2110_002:0500a19	化。遂有道士祭醮。爰及梁陳盛行於世。麁法	化 遂 有 道 士 祭 醮 爰 及 梁 陳 盛 行 於 世 麁 法 
T52n2110_002:0500a20	易染習俗生常。天下偽濫莫過於此。依周禮	易 染 習 俗 生 常 天 下 偽 濫 莫 過 於 此 依 周 禮 
T52n2110_002:0500a21	及郊特牲等。國家祭天自有儀式。醮者祭中	及 郊 特 牲 等 國 家 祭 天 自 有 儀 式 醮 者 祭 中 
T52n2110_002:0500a22	一名。盡爵曰醮。三史九流亦無道士。為國	一 名 盡 爵 曰 醮 三 史 九 流 亦 無 道 士 為 國 
T52n2110_002:0500a23	攘災奏章行醮也。昔武王病篤。周公請命。	攘 災 奏 章 行 醮 也 昔 武 王 病 篤 周 公 請 命 
T52n2110_002:0500a24	置壇設祭祈禱上天。不云告請道神徵喚	置 壇 設 祭 祈 禱 上 天 不 云 告 請 道 神 徵 喚 
T52n2110_002:0500a25	道士。若道神在天上。眾聖所尊壽殀吉凶。	道 士 若 道 神 在 天 上 眾 聖 所 尊 壽 殀 吉 凶 
T52n2110_002:0500a26	由其決斷。周公行祭敢不先之(尚書金縢篇云。武王病篤。周公	由 其 決 斷 周 公 行 祭 敢 不 先 之 尚 書 金 縢 篇 云 武 王 病 篤 周 公 
T52n2110_002:0500a27	立三壇。因大王王季文王請命於天。言旦多材多藝能事鬼神。言王不能事鬼神。若不救恐墜天寶命。公歸乃內	立 三 壇 因 大 王 王 季 文 王 請 命 於 天 言 旦 多 材 多 藝 能 事 鬼 神 言 王 不 能 事 鬼 神 若 不 救 恐 墜 天 寶 命 公 歸 乃 內 
T52n2110_002:0500a28	冊於金騰之匱。王翌日乃瘳。若道鬼神必尊人命所屬。周公豈敢不先求請。子細推勘虛謬可知也)若	冊 於 金 騰 之 匱 王 翌 日 乃 瘳 若 道 鬼 神 必 尊 人 命 所 屬 周 公 豈 敢 不 先 求 請 子 細 推 勘 虛 謬 可 知 也 若 
T52n2110_002:0500b01	言有者。書何不載。孔子云。獲罪於天。不云獲	言 有 者 書 何 不 載 孔 子 云 獲 罪 於 天 不 云 獲 
T52n2110_002:0500b02	罪於道。案五千文解節中經序云。令喜辟穀	罪 於 道 案 五 千 文 解 節 中 經 序 云 令 喜 辟 穀 
T52n2110_002:0500b03	斷米為粥三日一食。用上金錢九千唼白馬	斷 米 為 粥 三 日 一 食 用 上 金 錢 九 千 唼 白 馬 
T52n2110_002:0500b04	血。君子曰。老既慈仁。不應殺馬為誓。道稱	血 君 子 曰 老 既 慈 仁 不 應 殺 馬 為 誓 道 稱 
T52n2110_002:0500b05	無欲。何乃貪金說經。其一曰泥洹府解道可	無 欲 何 乃 貪 金 說 經 其 一 曰 泥 洹 府 解 道 可 
T52n2110_002:0500b06	道名可名萬物母有欲徼無欲妙。同出而異	道 名 可 名 萬 物 母 有 欲 徼 無 欲 妙 同 出 而 異 
T52n2110_002:0500b07	名眾妙之門淵兮似萬物之宗。其六曰人之	名 眾 妙 之 門 淵 兮 似 萬 物 之 宗 其 六 曰 人 之 
T52n2110_002:0500b08	府解谷神玄牝天地根綿綿若存等。道者謂	府 解 谷 神 玄 牝 天 地 根 綿 綿 若 存 等 道 者 謂 
T52n2110_002:0500b09	泥洹。君名者謂脾。母者謂丹田。泥洹者天德	泥 洹 君 名 者 謂 脾 母 者 謂 丹 田 泥 洹 者 天 德 
T52n2110_002:0500b10	也。其神所治在人頭中。歲五來下。下至丹田。	也 其 神 所 治 在 人 頭 中 歲 五 來 下 下 至 丹 田 
T52n2110_002:0500b11	老謂尹曰。脾者中黃一也。黃氣徘徊治於中	老 謂 尹 曰 脾 者 中 黃 一 也 黃 氣 徘 徊 治 於 中 
T52n2110_002:0500b12	宮。黃神長一尺。戴日履月名曰金藤主。常飲	宮 黃 神 長 一 尺 戴 日 履 月 名 曰 金 藤 主 常 飲 
T52n2110_002:0500b13	甘露食駏驉之脯。其神太白主之於日月。五	甘 露 食 駏 驉 之 脯 其 神 太 白 主 之 於 日 月 五 
T52n2110_002:0500b14	光覆之太一封之。青龍負之朱雀跱之。中有	光 覆 之 太 一 封 之 青 龍 負 之 朱 雀 跱 之 中 有 
T52n2110_002:0500b15	神一不可不思。又丹田者玄牝也。却著脊[月*呂]	神 一 不 可 不 思 又 丹 田 者 玄 牝 也 却 著 脊 [月呂] 
T52n2110_002:0500b16	治下元。中有神氣名小童子。行一來下。至丹	治 下 元 中 有 神 氣 名 小 童 子 行 一 來 下 至 丹 
T52n2110_002:0500b17	田灌鼻上去入泥洹。其妙謂虛無。其徼謂丹	田 灌 鼻 上 去 入 泥 洹 其 妙 謂 虛 無 其 徼 謂 丹 
T52n2110_002:0500b18	田。異名者謂諸精。其名有六。一曰精。二曰	田 異 名 者 謂 諸 精 其 名 有 六 一 曰 精 二 曰 
T52n2110_002:0500b19	溺。三曰汗。四曰血。五曰涕。六曰唾。故曰異	溺 三 曰 汗 四 曰 血 五 曰 涕 六 曰 唾 故 曰 異 
T52n2110_002:0500b20	名。玄又玄者。謂左右目。眾妙門者。謂人死無	名 玄 又 玄 者 謂 左 右 目 眾 妙 門 者 謂 人 死 無 
T52n2110_002:0500b21	氣。氣絕於口道冲而用之者。冲謂一也。道一	氣 氣 絕 於 口 道 冲 而 用 之 者 冲 謂 一 也 道 一 
T52n2110_002:0500b22	身常沖行之不盈。淵兮者謂口也。口有華池	身 常 沖 行 之 不 盈 淵 兮 者 謂 口 也 口 有 華 池 
T52n2110_002:0500b23	[口*束]唾而咽之。言津約滿口中。一行浸潤百二	[口束] 唾 而 咽 之 言 津 約 滿 口 中 一 行 浸 潤 百 二 
T52n2110_002:0500b24	十府。口不可滿若淵泉也。似萬物之宗者。謂	十 府 口 不 可 滿 若 淵 泉 也 似 萬 物 之 宗 者 謂 
T52n2110_002:0500b25	口飲食萬神於口也。谷神者。亦謂口也。神入	口 飲 食 萬 神 於 口 也 谷 神 者 亦 謂 口 也 神 入 
T52n2110_002:0500b26	口則生人也。玄牝者。謂鼻與口也。天地根者。	口 則 生 人 也 玄 牝 者 謂 鼻 與 口 也 天 地 根 者 
T52n2110_002:0500b27	謂口鼻為門神氣於中出入為生養根也。鼻	謂 口 鼻 為 門 神 氣 於 中 出 入 為 生 養 根 也 鼻 
T52n2110_002:0500b28	不言不語。其氣綿綿為天窓用之不勤也。凡	不 言 不 語 其 氣 綿 綿 為 天 窓 用 之 不 勤 也 凡 
T52n2110_002:0500b29	八十一章。總以三元甲子為第。所明旨趣大	八 十 一 章 總 以 三 元 甲 子 為 第 所 明 旨 趣 大 
T52n2110_002:0500c01	都與黃庭合契。皆在服氣養身及行房縮精	都 與 黃 庭 合 契 皆 在 服 氣 養 身 及 行 房 縮 精 
T52n2110_002:0500c02	之祕。為俗所重。非道所遵。但為詭說。非真行	之 祕 為 俗 所 重 非 道 所 遵 但 為 詭 說 非 真 行 
T52n2110_002:0500c03	也。以此求仙太為河漢。豈有嗜欲翻得長生。	也 以 此 求 仙 太 為 河 漢 豈 有 嗜 欲 翻 得 長 生 
T52n2110_002:0500c04	縱使延年終為罪本(黃庭云。上有黃庭。下有開元。前有幽關。後有命門。噓吸廬	縱 使 延 年 終 為 罪 本 黃 庭 云 上 有 黃 庭 下 有 開 元 前 有 幽 關 後 有 命 門 噓 吸 廬 
T52n2110_002:0500c05	外出入丹田。審能行之可以長生。黃庭中人衣朱衣關門牝籥閉兩扉。幽開夾之高巍巍丹田之中精氣微。玉	外 出 入 丹 田 審 能 行 之 可 以 長 生 黃 庭 中 人 衣 朱 衣 關 門 牝 籥 閉 兩 扉 幽 開 夾 之 高 巍 巍 丹 田 之 中 精 氣 微 玉 
T52n2110_002:0500c06	池清水上生肥。靈根堅固志不衰。中池有士服赤衣。橫下三寸神所居。中外相距重閉之。玄癰氣管受精符。	池 清 水 上 生 肥 靈 根 堅 固 志 不 衰 中 池 有 士 服 赤 衣 橫 下 三 寸 神 所 居 中 外 相 距 重 閉 之 玄 癰 氣 管 受 精 符 
T52n2110_002:0500c07	急固子精以自持。宅中有士裳衣絡。子能見之可不病。方寸之中謹蓋藏。精神還歸老復壯。使理長尺約其	急 固 子 精 以 自 持 宅 中 有 士 裳 衣 絡 子 能 見 之 可 不 病 方 寸 之 中 謹 蓋 藏 精 神 還 歸 老 復 壯 使 理 長 尺 約 其 
T52n2110_002:0500c08	上。子能守之可無恙呼吸廬門以自償。赤神之子中池立。下有長城玄谷邑。長生要助房中急。常存王房視	上 子 能 守 之 可 無 恙 呼 吸 廬 門 以 自 償 赤 神 之 子 中 池 立 下 有 長 城 玄 谷 邑 長 生 要 助 房 中 急 常 存 王 房 視 
T52n2110_002:0500c09	明。時念太倉不飢渴。閉子精路可長活。五行參差同根節。三五合氣要本一。抱珠懷玉和子室。仙人道士非有	明 時 念 太 倉 不 飢 渴 閉 子 精 路 可 長 活 五 行 參 差 同 根 節 三 五 合 氣 要 本 一 抱 珠 懷 玉 和 子 室 仙 人 道 士 非 有 
T52n2110_002:0500c10	神。積精所致專和仁。欲義相得開命門。常能行之可長生矣)陳思王辯道論云。	神 積 精 所 致 專 和 仁 欲 義 相 得 開 命 門 常 能 行 之 可 長 生 矣 陳 思 王 辯 道 論 云 
T52n2110_002:0500c11	夫神仙之書。道家之言。乃云傳說。上為辰尾	夫 神 仙 之 書 道 家 之 言 乃 云 傳 說 上 為 辰 尾 
T52n2110_002:0500c12	宿歲星降。下為東方朔淮南王。安誅於淮南	宿 歲 星 降 下 為 東 方 朔 淮 南 王 安 誅 於 淮 南 
T52n2110_002:0500c13	而謂之獲道輕舉。鉤弋死於雲陽而謂之尸	而 謂 之 獲 道 輕 舉 鉤 弋 死 於 雲 陽 而 謂 之 尸 
T52n2110_002:0500c14	逝柩空。其為虛妄甚矣哉。中興篤論之士有	逝 柩 空 其 為 虛 妄 甚 矣 哉 中 興 篤 論 之 士 有 
T52n2110_002:0500c15	桓君山者。其所著述多善劉子駿。嘗問言。人	桓 君 山 者 其 所 著 述 多 善 劉 子 駿 嘗 問 言 人 
T52n2110_002:0500c16	誠能抑嗜欲闔耳目可不衰竭乎。時庭下有	誠 能 抑 嗜 欲 闔 耳 目 可 不 衰 竭 乎 時 庭 下 有 
T52n2110_002:0500c17	一老榆。君山指而謂曰。此樹無情欲可忍無	一 老 榆 君 山 指 而 謂 曰 此 樹 無 情 欲 可 忍 無 
T52n2110_002:0500c18	耳目可闔。然猶枯槁腐朽。而子駿乃言可不	耳 目 可 闔 然 猶 枯 槁 腐 朽 而 子 駿 乃 言 可 不 
T52n2110_002:0500c19	衰竭非談也。君山援榆喻之未是也。何者余	衰 竭 非 談 也 君 山 援 榆 喻 之 未 是 也 何 者 余 
T52n2110_002:0500c20	前為王莽典樂。大夫樂記云。文帝得魏文侯	前 為 王 莽 典 樂 大 夫 樂 記 云 文 帝 得 魏 文 侯 
T52n2110_002:0500c21	樂人竇公。年百八十兩目盲。帝奇問之。何所	樂 人 竇 公 年 百 八 十 兩 目 盲 帝 奇 問 之 何 所 
T52n2110_002:0500c22	施行。對曰。臣年十三而失明。父母哀其不及	施 行 對 曰 臣 年 十 三 而 失 明 父 母 哀 其 不 及 
T52n2110_002:0500c23	事。教臣鼓琴。臣不能導引。不知壽得何力。君	事 教 臣 鼓 琴 臣 不 能 導 引 不 知 壽 得 何 力 君 
T52n2110_002:0500c24	山論之曰。頗得少盲專一內視精不外鑑之	山 論 之 曰 頗 得 少 盲 專 一 內 視 精 不 外 鑑 之 
T52n2110_002:0500c25	助也。先難子駿以內視無益。退論竇公便以	助 也 先 難 子 駿 以 內 視 無 益 退 論 竇 公 便 以 
T52n2110_002:0500c26	不外鑒證之。吾未見其定論也。君山又曰。方	不 外 鑒 證 之 吾 未 見 其 定 論 也 君 山 又 曰 方 
T52n2110_002:0500c27	士有董仲君。有罪繫獄。佯死數日。目陷虫出。	士 有 董 仲 君 有 罪 繫 獄 佯 死 數 日 目 陷 虫 出 
T52n2110_002:0501a01	死而復生。然後竟死。生之必死君子所達。夫	死 而 復 生 然 後 竟 死 生 之 必 死 君 子 所 達 夫 
T52n2110_002:0501a02	何喻乎。夫至神不過。天地不能使蟄虫夏逝	何 喻 乎 夫 至 神 不 過 天 地 不 能 使 蟄 虫 夏 逝 
T52n2110_002:0501a03	震雷冬發。時變則物動氣移而事應。彼仲君	震 雷 冬 發 時 變 則 物 動 氣 移 而 事 應 彼 仲 君 
T52n2110_002:0501a04	乃能藏其氣尸其體爛其膚出其虫無乃大怪	乃 能 藏 其 氣 尸 其 體 爛 其 膚 出 其 虫 無 乃 大 怪 
T52n2110_002:0501a05	乎。世有方士。吾王悉所招致。甘陵有甘始。廬	乎 世 有 方 士 吾 王 悉 所 招 致 甘 陵 有 甘 始 廬 
T52n2110_002:0501a06	江有左慈。陽城有郄儉。始能行氣導引。慈曉	江 有 左 慈 陽 城 有 郄 儉 始 能 行 氣 導 引 慈 曉 
T52n2110_002:0501a07	房中之術。儉善辟穀悉號三百歲。卒所以集	房 中 之 術 儉 善 辟 穀 悉 號 三 百 歲 卒 所 以 集 
T52n2110_002:0501a08	之於魏國者。誠恐斯人之徒。挾姦詭以欺眾。	之 於 魏 國 者 誠 恐 斯 人 之 徒 挾 姦 詭 以 欺 眾 
T52n2110_002:0501a09	行妖慝以惑民。故聚而禁之也。甘始者老而	行 妖 慝 以 惑 民 故 聚 而 禁 之 也 甘 始 者 老 而 
T52n2110_002:0501a10	有少容。自諸術士咸共歸之。然始辭繁寡實	有 少 容 自 諸 術 士 咸 共 歸 之 然 始 辭 繁 寡 實 
T52n2110_002:0501a11	頗切有怪言。若遭秦始皇漢武帝。則復徐市	頗 切 有 怪 言 若 遭 秦 始 皇 漢 武 帝 則 復 徐 市 
T52n2110_002:0501a12	欒大之徒矣。桀紂殊世而齊惡。姦人異代而	欒 大 之 徒 矣 桀 紂 殊 世 而 齊 惡 姦 人 異 代 而 
T52n2110_002:0501a13	等偽。乃如此耶。又世虛然有仙人之說。仙人	等 偽 乃 如 此 耶 又 世 虛 然 有 仙 人 之 說 仙 人 
T52n2110_002:0501a14	者黨猱猨之屬。與世人得道化為仙人乎。夫	者 黨 猱 猨 之 屬 與 世 人 得 道 化 為 仙 人 乎 夫 
T52n2110_002:0501a15	雉入海為鴿燕入海為蜃。當其徘徊其翼差池。	雉 入 海 為 鴿 燕 入 海 為 蜃 當 其 徘 徊 其 翼 差 池 
T52n2110_002:0501a16	其羽猶自識也。忽然自投神化體變。乃更與	其 羽 猶 自 識 也 忽 然 自 投 神 化 體 變 乃 更 與 
T52n2110_002:0501a17	黿鼈為群。豈復自識翔林薄巢垣屋之娛乎。	黿 鼈 為 群 豈 復 自 識 翔 林 薄 巢 垣 屋 之 娛 乎 
T52n2110_002:0501a18	而顧為匹夫所罔。納虛妄之辭。信眩惑之說。	而 顧 為 匹 夫 所 罔 納 虛 妄 之 辭 信 眩 惑 之 說 
T52n2110_002:0501a19	隆禮以招弗臣。傾產以供虛求。散王爵以榮	隆 禮 以 招 弗 臣 傾 產 以 供 虛 求 散 王 爵 以 榮 
T52n2110_002:0501a20	之。清閑館以居之。經年累稔終無一驗。或歿	之 清 閑 館 以 居 之 經 年 累 稔 終 無 一 驗 或 歿 
T52n2110_002:0501a21	於沙丘。或崩于五柞。臨時雖復誅其身滅其	於 沙 丘 或 崩 于 五 柞 臨 時 雖 復 誅 其 身 滅 其 
T52n2110_002:0501a22	族。紛然足為天下笑矣。然壽命長短骨體強	族 紛 然 足 為 天 下 笑 矣 然 壽 命 長 短 骨 體 強 
T52n2110_002:0501a23	劣。各有人焉。善養者終之。勞擾者半之。虛用	劣 各 有 人 焉 善 養 者 終 之 勞 擾 者 半 之 虛 用 
T52n2110_002:0501a24	者夭之。其斯謂矣。子可詳焉。儒生怳焉莫知	者 夭 之 其 斯 謂 矣 子 可 詳 焉 儒 生 怳 焉 莫 知 
