X68n1319_001:0523c06	 御製總序	 御 製 總 序 
X68n1319_011:0534c15	隱老和尚如是。龍池幻翁老和尚如是。濟宗上下諸	隱 老 和 尚 如 是 龍 池 幻 翁 老 和 尚 如 是 濟 宗 上 下 諸 
X68n1319_011:0534c16	祖如是。東土二三。西天四七如是。卓拄杖云。拄杖如	祖 如 是 東 土 二 三 西 天 四 七 如 是 卓 拄 杖 云 拄 杖 如 
X68n1319_011:0534c17	是。山僧如是。大眾如是。顧左右云。堂中喫糉子如是。	是 山 僧 如 是 大 眾 如 是 顧 左 右 云 堂 中 喫 糉 子 如 是 
X68n1319_011:0534c18	下座。	下 座 
X68n1319_011:0534c19	幻有大和尚誕日設供。師指真云。兀坐嘴盧都。教人	幻 有 大 和 尚 誕 日 設 供 師 指 真 云 兀 坐 嘴 盧 都 教 人 
X68n1319_011:0534c20	沒奈何箇老漢慣得其便。者裏透得過的。如龍得水。	沒 奈 何 箇 老 漢 慣 得 其 便 者 裏 透 得 過 的 如 龍 得 水 
X68n1319_011:0534c21	似虎靠山。有意氣時添意氣。不風流處也風流。而今	似 虎 靠 山 有 意 氣 時 添 意 氣 不 風 流 處 也 風 流 而 今 
X68n1319_011:0534c22	大明國裏稱為師翁後裔者。不啻百千萬億。究竟得	大 明 國 裏 稱 為 師 翁 後 裔 者 不 啻 百 千 萬 億 究 竟 得 
X68n1319_011:0534c23	大機。顯大用。堪為的骨兒孫者。能有幾人。某上座初	大 機 顯 大 用 堪 為 的 骨 兒 孫 者 能 有 幾 人 某 上 座 初 
X68n1319_011:0534c24	閱龍池語錄。見師翁云。世間多少不平之輩。務要別	閱 龍 池 語 錄 見 師 翁 云 世 間 多 少 不 平 之 輩 務 要 別 
X68n1319_011:0535a01	尋一箇人與我老釋迦比勝負。較優劣。還知我釋迦	尋 一 箇 人 與 我 老 釋 迦 比 勝 負 較 優 劣 還 知 我 釋 迦 
X68n1319_011:0535a02	如來是何等一箇面目麼。某上座便於此喪身失命。	如 來 是 何 等 一 箇 面 目 麼 某 上 座 便 於 此 喪 身 失 命 
X68n1319_011:0535a03	將謂師翁面目只如是。後來呈似先師。和尚受他許	將 謂 師 翁 面 目 只 如 是 後 來 呈 似 先 師 和 尚 受 他 許 
X68n1319_011:0535a04	多惡辣鉗錘。方知見與翁齊。減翁半德。見過於翁。方	多 惡 辣 鉗 錘 方 知 見 與 翁 齊 減 翁 半 德 見 過 於 翁 方 
X68n1319_011:0535a05	堪嗣續。從此脚跟下自解作活計。雖與師翁同條生。	堪 嗣 續 從 此 脚 跟 下 自 解 作 活 計 雖 與 師 翁 同 條 生 
X68n1319_011:0535a06	不與師翁同條死。師翁善為隱語云。人還知我釋迦	不 與 師 翁 同 條 死 師 翁 善 為 隱 語 云 人 還 知 我 釋 迦 
X68n1319_011:0535a07	如來是何等一箇面目。令某小瞎禿最初祇見師翁	如 來 是 何 等 一 箇 面 目 令 某 小 瞎 禿 最 初 祇 見 師 翁 
X68n1319_011:0535a08	殺人刀。未見師翁活人劍。今日某上座不妨顯示。令	殺 人 刀 未 見 師 翁 活 人 劍 今 日 某 上 座 不 妨 顯 示 令 
X68n1319_011:0535a09	見者聞者知我祖師門下亦有殺人刀。亦有活人劍。	見 者 聞 者 知 我 祖 師 門 下 亦 有 殺 人 刀 亦 有 活 人 劍 
X68n1319_011:0535a10	顧視左右云。若有問。如何是我師翁真面目。拈香云。	顧 視 左 右 云 若 有 問 如 何 是 我 師 翁 真 面 目 拈 香 云 
X68n1319_011:0535a11	急著眼。	急 著 眼 
X68n1319_011:0535a12	佛誕度僧上堂。師云。報恩新長老。今年纔廿四。黃面	佛 誕 度 僧 上 堂 師 云 報 恩 新 長 老 今 年 纔 廿 四 黃 面 
X68n1319_011:0535a13	老瞿曇。是吾最小子。古往今來。多少居曲彔牀的大	老 瞿 曇 是 吾 最 小 子 古 往 今 來 多 少 居 曲 彔 牀 的 大 
X68n1319_011:0535a14	善知識。凡於四月八日播弄瞿曇小老的矢臭氣則	善 知 識 凡 於 四 月 八 日 播 弄 瞿 曇 小 老 的 矢 臭 氣 則 
X68n1319_011:0535a15	有分。還曾夢見瞿曇的師麼。若向者裏緇素得。則不	有 分 還 曾 夢 見 瞿 曇 的 師 麼 若 向 者 裏 緇 素 得 則 不 
X68n1319_011:0535a16	論鬀髮不鬀髮。不虗親到報恩來。若者裏緇素不得。	論 鬀 髮 不 鬀 髮 不 虗 親 到 報 恩 來 若 者 裏 緇 素 不 得 
X68n1319_011:0535a17	直饒新報恩親手為他剗草。也未免對面白雲千萬	直 饒 新 報 恩 親 手 為 他 剗 草 也 未 免 對 面 白 雲 千 萬 
X68n1319_011:0535a18	里。驀喝一喝。下座。	里 驀 喝 一 喝 下 座 
X68n1319_011:0535a19	秋中行化上堂。師拈拄杖召眾云。終日與山僧同居	秋 中 行 化 上 堂 師 拈 拄 杖 召 眾 云 終 日 與 山 僧 同 居 
X68n1319_011:0535a20	共處。還識得山僧立地處也未。時常見山僧搖唇鼓	共 處 還 識 得 山 僧 立 地 處 也 未 時 常 見 山 僧 搖 唇 鼓 
X68n1319_011:0535a21	舌。還會得山僧真實相為處也未。若識得山僧立地	舌 還 會 得 山 僧 真 實 相 為 處 也 未 若 識 得 山 僧 立 地 
X68n1319_011:0535a22	處。則於此深山窮谷臥月披雲。却在十字街頭拖泥	處 則 於 此 深 山 窮 谷 臥 月 披 雲 却 在 十 字 街 頭 拖 泥 
X68n1319_011:0535a23	帶水。而十字街頭拖泥帶水。却在此深山窮谷臥月	帶 水 而 十 字 街 頭 拖 泥 帶 水 却 在 此 深 山 窮 谷 臥 月 
X68n1319_011:0535a24	披雲。若識得山僧真實相為處。則與大眾耳提面命	披 雲 若 識 得 山 僧 真 實 相 為 處 則 與 大 眾 耳 提 面 命 
X68n1319_011:0535b01	却千里萬里。而千里萬里未嘗不與大眾耳提面命。	却 千 里 萬 里 而 千 里 萬 里 未 嘗 不 與 大 眾 耳 提 面 命 
X68n1319_011:0535b02	還會麼。卓柱杖云。頂上一輪滿。清光何處無。	還 會 麼 卓 柱 杖 云 頂 上 一 輪 滿 清 光 何 處 無 
X68n1319_011:0535b03	元旦上堂。眾問話畢。師乃云。參禪流。聽我說。此事非	元 旦 上 堂 眾 問 話 畢 師 乃 云 參 禪 流 聽 我 說 此 事 非 
X68n1319_011:0535b04	常休倉卒。登山須到絕頂頭。入水須至最深窟。乾坤	常 休 倉 卒 登 山 須 到 絕 頂 頭 入 水 須 至 最 深 窟 乾 坤 
X68n1319_011:0535b05	寬廣實難知。滄海淵深豈易識。不識不知且止。透頂	寬 廣 實 難 知 滄 海 淵 深 豈 易 識 不 識 不 知 且 止 透 頂 
X68n1319_011:0535b06	透底一句作麼生道。草樹盡非前度色。藍田日暖玉	透 底 一 句 作 麼 生 道 草 樹 盡 非 前 度 色 藍 田 日 暖 玉 
X68n1319_011:0535b07	生光。	生 光 
X68n1319_011:0535b08	便舟化主領崑山眾居士請上堂。師顧左右云。毀形	便 舟 化 主 領 崑 山 眾 居 士 請 上 堂 師 顧 左 右 云 毀 形 
X68n1319_011:0535b09	易服作世外之士。直須不惜身命。飢寒困苦置之度	易 服 作 世 外 之 士 直 須 不惜身命 飢 寒 困 苦 置 之 度 
X68n1319_011:0535b10	外。顓究大事。圖報佛恩。所以古德示眾云。夫既出家。	外 顓 究 大 事 圖 報 佛 恩 所 以 古 德 示 眾 云 夫 既 出 家 
X68n1319_011:0535b11	如囚脫獄。於佛法中萬死一生。更莫棄捨。蓋慮後學	如 囚 脫 獄 於佛法中 萬 死 一 生 更 莫 棄 捨 蓋 慮 後 學 
X68n1319_011:0535b12	遇境界艱難。一時打不過。故爾苦口叮嚀。殊不知清	遇 境 界 艱 難 一 時 打 不 過 故 爾 苦 口 叮 嚀 殊 不 知 清 
X68n1319_011:0535b13	苦僧家本分。不獨今時如此。自古皆然。昔日大愚芝	苦 僧 家 本 分 不 獨 今 時 如 此 自 古 皆 然 昔 日 大 愚 芝 
X68n1319_011:0535b14	和尚常住澹薄。想與報恩差不多。而芝老和尚窮酸	和 尚 常 住 澹 薄 想 與 報 恩 差 不 多 而 芝 老 和 尚 窮 酸 
X68n1319_011:0535b15	直是窮酸到底。幾株宿菜也不令人好喫。嘗上堂云。	直 是 窮 酸 到 底 幾 株 宿 菜 也 不 令 人 好 喫 嘗 上 堂 云 
X68n1319_011:0535b16	大家相聚喫莖虀。喚作一莖虀。入地獄如箭射。報恩	大 家 相 聚 喫 莖 虀 喚 作 一 莖 虀 入 地 獄 如 箭 射 報 恩 
X68n1319_011:0535b17	者裏雖云澹薄。然山僧素願有食有法。令眾安止。近	者 裏 雖 云 澹 薄 然 山 僧 素 願 有 食 有 法 令 眾 安 止 近 
X68n1319_011:0535b18	因饑饉。安眾無方。直是食不下咽。坐臥不寧。幸有化	因 饑 饉 安 眾 無 方 直 是 食 不 下 咽 坐 臥 不 寧 幸 有 化 
X68n1319_011:0535b19	主發心在外。漸領信心檀越入山。且不要學他古人	主 發 心 在 外 漸 領 信 心 檀 越 入 山 且 不 要 學 他 古 人 
X68n1319_011:0535b20	見識。度量與麼小。口門與麼窄。大家相聚在此。澹薄	見 識 度 量 與 麼 小 口 門 與 麼 窄 大 家 相 聚 在 此 澹 薄 
X68n1319_011:0535b21	時澹薄。喫齋時喫齋。喚作喫齋。我等與施主皆共成	時 澹 薄 喫 齋 時 喫 齋 喚 作 喫 齋 我 等 與 施 主 皆 共 成 
X68n1319_011:0535b22	佛道。　問。如何是函葢乾坤句。　師云。滿院梅花香噴鼻。	佛 道 問 如 何 是 函 葢 乾 坤 句 師 云 滿 院 梅 花 香 噴 鼻 
X68n1319_011:0535b23	　進云。如何是截斷眾流句。　師云。近日厨房幾斷烟。　進	 進 云 如 何 是 截 斷 眾 流 句 師 云 近 日 厨 房 幾 斷 烟 進 
X68n1319_011:0535b24	云。如何是隨波逐浪句。　師云。禮拜著。　復舉。雪竇禪師	云 如 何 是 隨 波 逐 浪 句 師 云 禮 拜 著 復 舉 雪 竇 禪 師 
X68n1319_011:0535c01	云。客從遠方來。贈我徑寸璧。中有四箇字。字字無人	云 客 從 遠 方 來 贈 我 徑 寸 璧 中 有 四 箇 字 字 字 無 人 
X68n1319_011:0535c02	識。報恩亦有一偈。化主崑山歸。獻我數塊石。通身渾	識 報 恩 亦 有 一 偈 化 主 崑 山 歸 獻 我 數 塊 石 通 身 渾 
X68n1319_011:0535c03	是口。有眼誰不識。下座。	是 口 有 眼 誰 不 識 下 座 
X68n1319_011:0535c04	行化過清谿。明道蔡封翁就開封寺請上堂。師云。本	行 化 過 清 谿 明 道 蔡 封 翁 就 開 封 寺 請 上 堂 師 云 本 
X68n1319_011:0535c05	是真實人。共譚真實話。欲明真實事。須辦真實心。會	是 真 實 人 共 譚 真 實 話 欲 明 真 實 事 須 辦 真 實 心 會 
X68n1319_011:0535c06	中辦心真實的。出來互相酬唱。　問。臨濟問黃檗佛法	中 辦 心 真 實 的 出 來 互 相 酬 唱 問 臨 濟 問 黃 檗 佛 法 
X68n1319_011:0535c07	大意。黃檗便打。某甲問和尚佛法大意。和尚如何。　師	大 意 黃 檗 便 打 某 甲 問 和 尚 佛 法 大 意 和 尚 如 何 師 
X68n1319_011:0535c08	云。化長生米。　師迺云。佛祖出世為一大事因緣。人人	云 化 長 生 米 師 迺 云 佛 祖 出 世 為 一 大 事 因 緣 人 人 
X68n1319_011:0535c09	悟自妙心。得自寶藏。虗空不足以喻其久。宇宙不足	悟 自 妙 心 得 自 寶 藏 虗 空 不 足 以 喻 其 久 宇 宙 不 足 
X68n1319_011:0535c10	以喻其寬。岱嶽未可以為高。滄海未可以為深。取之	以 喻 其 寬 岱 嶽 未 可 以 為 高 滄 海 未 可 以 為 深 取 之 
X68n1319_011:0535c11	不竭。用之無窮。明道老居士。深受靈山付囑。欲為有	不 竭 用 之 無 窮 明 道 老 居 士 深 受 靈 山 付 囑 欲 為 有 
X68n1319_011:0535c12	情揭開迷封。悟自妙心。得自寶藏。特重建此開封古	情 揭 開 迷 封 悟 自 妙 心 得 自 寶 藏 特 重 建 此 開 封 古 
X68n1319_011:0535c13	剎。玉琳道人到來。特為舉揚。驀召眾云。我不輕於大	剎 玉 琳 道 人 到 來 特 為 舉 揚 驀 召 眾 云 我 不 輕 於 大 
X68n1319_011:0535c14	眾。大眾皆當作佛。下座。　蔡居士作禮云。弟子每對神	眾 大 眾 皆 當 作 佛 下 座 蔡 居 士 作 禮 云 弟 子 每 對 神 
X68n1319_011:0535c15	佛前發願。護持蔡鐸正念。禁止蔡鐸邪思。惟願臨欲	佛 前 發 願 護 持 蔡 鐸 正 念 禁 止 蔡 鐸 邪 思 惟 願 臨 欲 
X68n1319_011:0535c16	命終時。淨除一切諸障礙等。是否。　師云。即此誓願真	命 終 時 淨 除 一 切 諸 障 礙 等 是 否 師 云 即 此 誓 願 真 
X68n1319_011:0535c17	實。皆成佛道。士再禮謝。	實 皆 成 佛 道 士 再 禮 謝 
X68n1319_011:0535c18	誕日上堂。眾僧問話畢。師乃云。白雲千頃。老屋數間。	誕 日 上 堂 眾 僧 問 話 畢 師 乃 云 白 雲 千 頃 老 屋 數 間 
X68n1319_011:0535c19	一榻高眠。令土木瓦石為大眾轉大法輪者。是先師	一 榻 高 眠 令 土 木 瓦 石 為 大 眾 轉 大 法 輪 者 是 先 師 
X68n1319_011:0535c20	和尚向日家風。唐存翁合諸檀越。建大禪堂。十方聚	和 尚 向 日 家 風 唐 存 翁 合 諸 檀 越 建 大 禪 堂 十 方 聚 
X68n1319_011:0535c21	會。應時及節。請山僧說法者。是新報恩今日行履。且	會 應 時 及 節 請 山 僧 說 法 者 是 新 報 恩 今 日 行 履 且 
X68n1319_011:0535c22	道先和尚向日家風是。新報恩今日行履是。豎柱杖	道 先 和 尚 向 日 家 風 是 新 報 恩 今 日 行 履 是 豎 柱 杖 
X68n1319_011:0535c23	云。若也會得。釋迦不在前。彌勒不在後。大眾與諸佛	云 若 也 會 得 釋 迦 不 在 前 彌 勒 不 在 後 大 眾 與 諸 佛 
X68n1319_011:0535c24	同證一相三昧。山僧與大眾壽量無殊。若也不會。父	同 證 一 相 三 昧 山 僧 與 大 眾 壽 量 無 殊 若 也 不 會 父 
X68n1319_011:0536a01	少而子老。舉世所不信。擲柱杖。下座。	少 而 子 老 舉 世 所 不 信 擲 柱 杖 下 座 
X68n1319_011:0536a02	出坡上堂。問。歲將終。期已半。當人脚下事。請師相為。	出 坡 上 堂 問 歲 將 終 期 已 半 當 人 脚 下 事 請 師 相 為 
X68n1319_011:0536a03	師云。三十棒一棒也較不得。師乃云。報恩寺裏禪。盡	師 云 三 十 棒 一 棒 也 較 不 得 師 乃 云 報 恩 寺 裏 禪 盡 
X68n1319_011:0536a04	在衲僧邊。搬柴及運土。終日擔橫肩。下座。	在 衲 僧 邊 搬 柴 及 運 土 終 日 擔 橫 肩 下 座 
X68n1319_011:0536a05	上堂。師云。馬祖道一口吸盡西江水。慈悲之故。而有	上 堂 師 云 馬 祖 道 一 口 吸 盡 西 江 水 慈 悲 之 故 而 有 
X68n1319_011:0536a06	落草之譚。世尊道十方虗空生汝心中。猶如片雲點	落 草 之 譚 世 尊 道 十 方 虗 空 生 汝 心 中 猶 如 片 雲 點 
X68n1319_011:0536a07	太清裏。與麼會得。正好捉來朝打三千。暮打八百。有	太 清 裏 與 麼 會 得 正 好 捉 來 朝 打 三 千 暮 打 八 百 有 
X68n1319_011:0536a08	般漢迷頭認影。棄本逐末。以守箇昭昭靈靈為悟主	般 漢 迷 頭 認 影 棄 本 逐 末 以 守 箇 昭 昭 靈 靈 為 悟 主 
X68n1319_011:0536a09	人公。把舉足動步搖唇鼓舌的為常住心體。認六塵	人 公 把 舉 足 動 步 搖 唇 鼓 舌 的 為 常 住 心 體 認 六 塵 
X68n1319_011:0536a10	緣影為自心相。譬如病眼見空中華及第二月。百千	緣 影 為 自 心 相 譬 如 病 眼 見 空 中 華 及 第 二 月 百 千 
X68n1319_011:0536a11	澄清大海棄之。惟認一浮漚。迷中倍人。佛所深愍。世	澄 清 大 海 棄 之 惟 認 一 浮 漚 迷 中 倍 人 佛 所 深 愍 世 
X68n1319_011:0536a12	尊又示阿難云。如汝今者。承聽我法。此則因聲而有	尊 又 示 阿 難 云 如 汝 今 者 承 聽 我 法 此 則 因 聲 而 有 
X68n1319_011:0536a13	分別。縱離一切見聞覺知。內守幽閒。猶為法塵分別	分 別 縱 離 一 切 見聞覺知 內 守 幽 閒 猶 為 法 塵 分 別 
X68n1319_011:0536a14	影事。今時外道好笑殺人。既以曉得走路問話的為	影 事 今 時 外 道 好 笑 殺 人 既 以 曉 得 走 路 問 話 的 為 
X68n1319_011:0536a15	悟自心。更以識神空主人公也不可得。為末後無疑。	悟 自 心 更 以 識 神 空 主 人 公 也 不 可 得 為 末 後 無 疑 
X68n1319_011:0536a16	誰知數千年前盡被世尊痛呵明叱。有如斯舉。凡學	誰 知 數 千 年 前 盡 被 世 尊 痛 呵 明 叱 有 如 斯 舉 凡 學 
X68n1319_011:0536a17	者可弗見不善如探湯。猛看破浮幻身心。向一念未	者 可 弗 見 不 善 如 探 湯 猛 看 破 浮 幻 身 心 向 一 念 未 
X68n1319_011:0536a18	生前。當下證得廣大心體。連證之一字。亦不可得。便	生 前 當 下 證 得 廣 大 心 體 連 證 之 一 字 亦 不 可 得 便 
X68n1319_011:0536a19	識得一切佛祖廣大心體。方可出生出死。方可入死	識 得 一 切 佛 祖 廣 大 心 體 方 可 出 生 出 死 方 可 入 死 
X68n1319_011:0536a20	入生。事是恁麼事。人須恁麼人。苟不如斯。生死到來。	入 生 事 是 恁 麼 事 人 須 恁 麼 人 苟 不 如 斯 生 死 到 來 
X68n1319_011:0536a21	便驗真偽。　復舉。古德云。毫釐有差。天地懸隔。師驀豎	便 驗 真 偽 復 舉 古 德 云 毫 釐 有 差 天 地 懸 隔 師 驀 豎 
X68n1319_011:0536a22	如意召大眾云。還會麼。良久。擲如意云。萬古碧潭空	如 意 召 大 眾 云 還 會 麼 良 久 擲 如 意 云 萬 古 碧 潭 空 
X68n1319_011:0536a23	界月。再三撈摝始應知。	界 月 再 三 撈 摝 始 應 知 
X68n1319_011:0536a24	示眾	示 眾 
X68n1319_011:0536b01	示眾。舉。法眼禪師指凳子云。識得凳子。周匝有餘。雲	示 眾 舉 法 眼 禪 師 指 凳 子 云 識 得 凳 子 周 匝 有 餘 雲 
X68n1319_011:0536b02	門偃云。識得凳子。天地懸殊。天衣懷云。識得凳子。榆	門 偃 云 識 得 凳 子 天 地 懸 殊 天 衣 懷 云 識 得 凳 子 榆 
X68n1319_011:0536b03	楠木做。大慧杲云。識得凳子。好鬀頭洗脚。　師云。諸大	楠 木 做 大 慧 杲 云 識 得 凳 子 好 鬀 頭 洗 脚 師 云 諸 大 
X68n1319_011:0536b04	老與麼各出好手。放過則盡可居寶華王座。仔細檢	老 與 麼 各 出 好 手 放 過 則 盡 可 居 寶 華 王 座 仔 細 檢 
X68n1319_011:0536b05	點將來。合各與三十矮凳脚。	點 將 來 合 各 與 三 十 矮 凳 脚 
X68n1319_011:0536b06	因課誦示眾。師云。邇來魔彊法弱。亦以上無嚴師。故	因 課 誦 示 眾 師 云 邇 來 魔 彊 法 弱 亦 以 上 無 嚴 師 故 
X68n1319_011:0536b07	容邪謬之徒插足宗門。多是學宗旨。論宗旨。虗擬宗	容 邪 謬 之 徒 插 足 宗 門 多 是 學 宗 旨 論 宗 旨 虗 擬 宗 
X68n1319_011:0536b08	旨。一味妄穿妄鑿。妄卜妄度。從上綱宗。面目儼然。何	旨 一 味 妄 穿 妄 鑿 妄 卜 妄 度 從 上 綱 宗 面 目 儼 然 何 
X68n1319_011:0536b09	嘗夢見。所以言言會旨。步步迷宗。即如一等無慚愧	嘗 夢 見 所 以 言 言 會 旨 步 步 迷 宗 即 如 一 等 無 慚 愧 
X68n1319_011:0536b10	漢。妄稱自己亦是臨濟兒孫。開口便道。垂慈必有法。	漢 妄 稱 自 己 亦 是 臨 濟 兒 孫 開 口 便 道 垂 慈 必 有 法 
X68n1319_011:0536b11	無法不垂慈。臨濟宗有元有要。有權有實。有照有用。	無 法 不 垂 慈 臨 濟 宗 有 元 有 要 有 權 有 實 有 照 有 用 
X68n1319_011:0536b12	有主有賓。而竟把叢林正務及兩堂課誦皆曰此只	有 主 有 賓 而 竟 把 叢 林 正 務 及 兩 堂 課 誦 皆 曰 此 只 
X68n1319_011:0536b13	是應點故事。可將就些。必當少念佛。方像祖師門下	是 應 點 故 事 可 將 就 些 必 當 少 念 佛 方 像 祖 師 門 下 
X68n1319_011:0536b14	客。吁嗟乎。我不知此等人面皮厚多少。若道是泛常	客 吁 嗟 乎 我 不 知 此 等 人 面 皮 厚 多 少 若 道 是 泛 常 
X68n1319_011:0536b15	故事。有礙祖道。則直當不念。何得云少念及將就些。	故 事 有 礙 祖 道 則 直 當 不 念 何 得 云 少 念 及 將 就 些 
X68n1319_011:0536b16	若如此隨順俗套。將就故事。豈是大丈夫作人天眼	若 如 此 隨 順 俗 套 將 就 故 事 豈 是 大 丈 夫 作 人 天 眼 
X68n1319_011:0536b17	目。與佛祖為師者之所為耶。我今誠實指示此輩暗	目 與 佛 祖 為 師 者 之 所 為 耶 我 今 誠 實 指 示 此 輩 暗 
X68n1319_011:0536b18	短流俗阿師。且莫誇是祖師門下客。莫虗稱會宗旨。	短 流 俗 阿 師 且 莫 誇 是 祖 師 門 下 客 莫 虗 稱 會 宗 旨 
X68n1319_011:0536b19	莫別求所以為人。既欲明宗旨。且莫當面蹉過。莫拈	莫 別 求 所 以 為 人 既 欲 明 宗 旨 且 莫 當 面 蹉 過 莫 拈 
X68n1319_011:0536b20	一放一好。教你知報恩者裏即兩堂課誦。便有玄有	一 放 一 好 教 你 知 報 恩 者 裏 即 兩 堂 課 誦 便 有 玄 有 
X68n1319_011:0536b21	要。有權有實。有照有用。某上座有時一聲佛如金剛	要 有 權 有 實 有 照 有 用 某 上 座 有 時 一 聲 佛 如 金 剛 
X68n1319_011:0536b22	王寶劍。有時一聲佛如踞地獅子。有時一聲佛如探	王 寶 劍 有 時 一 聲 佛 如 踞 地 獅 子 有 時 一 聲 佛 如 探 
X68n1319_011:0536b23	竿影草。有時一聲佛不作一聲佛用。亦有殺。亦有活。	竿 影 草 有 時 一 聲 佛 不 作 一 聲 佛 用 亦 有 殺 亦 有 活 
X68n1319_011:0536b24	亦有縱。亦有奪。亦有主。亦有賓。亦如清涼池。亦如大	亦 有 縱 亦 有 奪 亦 有 主 亦 有 賓 亦 如 清 涼 池 亦 如 大 
X68n1319_011:0536c01	火聚。背之則受諸苦惱。觸之則燒却面門。饒人左之	火 聚 背 之 則 受諸苦惱 觸 之 則 燒 却 面 門 饒 人 左 之 
X68n1319_011:0536c02	右之。時進時退。或邪或正。或是或非。或行解相應不	右 之 時 進 時 退 或 邪 或 正 或 是 或 非 或 行 解 相 應 不 
X68n1319_011:0536c03	相應。或見地透脫不透脫。不消別施勘驗。只者兩堂	相 應 或 見 地 透 脫 不 透 脫 不 消 別 施 勘 驗 只 者 兩 堂 
X68n1319_011:0536c04	課誦。都料簡詳悉也。凡在報恩者。切莫以課誦出坡	課 誦 都 料 簡 詳 悉 也 凡 在 報 恩 者 切 莫 以 課 誦 出 坡 
X68n1319_011:0536c05	等為虗應故事。須知無不是佛祖之祕密法。無不是	等 為 虗 應 故 事 須 知 無 不 是 佛 祖 之 祕 密 法 無 不 是 
X68n1319_011:0536c06	佛祖之總持門。無不是佛祖之不傳心要。無不是佛	佛 祖 之 總 持 門 無 不 是 佛 祖 之 不 傳 心 要 無 不 是 佛 
X68n1319_011:0536c07	祖之自利利人捷徑。若道別有宗旨。別有佛法。別有	祖 之 自 利 利 人 捷 徑 若 道 別 有 宗 旨 別 有 佛 法 別 有 
X68n1319_011:0536c08	好知解。更欲假借趙州念佛潄口之說以圖避懶。妄	好 知 解 更 欲 假 借 趙 州 念 佛 潄 口 之 說 以 圖 避 懶 妄 
X68n1319_011:0536c09	擬議人。則先謗他趙州為不要人念佛。又以報恩念	擬 議 人 則 先 謗 他 趙 州 為 不 要 人 念 佛 又 以 報 恩 念 
X68n1319_011:0536c10	佛作念佛會。則真可憐生。你若果是箇人。能各出手	佛 作 念 佛 會 則 真 可 憐 生 你 若 果 是 箇 人 能 各 出 手 
X68n1319_011:0536c11	眼。別樣設施為人去。某上座自識得你。不要你類我。	眼 別 樣 設 施 為 人 去 某 上 座 自 識 得 你 不 要 你 類 我 
X68n1319_011:0536c12	若你等道必要恁麼。我又不恁麼也。祇如我恁麼。事	若 你 等 道 必 要 恁 麼 我 又 不 恁 麼 也 祇 如 我 恁 麼 事 
X68n1319_011:0536c13	無不具玄要。權實照用。主賓縱奪。你作麼生會。敢妄	無 不 具 玄 要 權 實 照 用 主 賓 縱 奪 你 作 麼 生 會 敢 妄 
X68n1319_011:0536c14	擬議耶。凡為魔所攝。毒氣深入者。一任你別去學佛	擬 議 耶 凡 為 魔 所 攝 毒 氣 深 入 者 一 任 你 別 去 學 佛 
X68n1319_011:0536c15	法。學宗旨。多生分別。異樣揀擇。他日眼開。自知負墮。	法 學 宗 旨 多 生 分 別 異 樣 揀 擇 他 日 眼 開 自 知 負 墮 
X68n1319_011:0536c16	如我同志真實學道者。切須立定脚跟。努力行持。莫	如 我 同 志 真 實 學 道 者 切 須 立 定 脚 跟 努 力 行 持 莫 
X68n1319_011:0536c17	為魔惑。其或獅子蟲。定不輕縱以亂清規。	為 魔 惑 其 或 獅 子 蟲 定 不 輕 縱 以 亂 清 規 
X68n1319_011:0536c18	羯磨夜示眾。師云。毀犯者。墮諸苦趣。執持者。報在人	羯 磨 夜 示 眾 師 云 毀 犯 者 墮 諸 苦 趣 執 持 者 報 在 人 
X68n1319_011:0536c19	天。且道既不毀犯。又不執持的。當生何處。良久。云。自	天 且 道 既 不 毀 犯 又 不 執 持 的 當 生 何 處 良 久 云 自 
X68n1319_011:0536c20	是不歸歸便得。故園風月有誰爭。便歸方丈。	是 不 歸 歸 便 得 故 園 風 月 有 誰 爭 便 歸 方 丈 
X68n1319_011:0536c21	示眾。舉。僧問慈明。閙中取靜時如何。明曰。頭枕布袋。	示 眾 舉 僧 問 慈 明 閙 中 取 靜 時 如 何 明 曰 頭 枕 布 袋 
X68n1319_011:0536c22	　師云。山僧若在座下。管教先南源不只恁麼休去。何	 師 云 山 僧 若 在 座 下 管 教 先 南 源 不 只 恁 麼 休 去 何 
X68n1319_011:0536c23	不進云。和尚莫世諦流布。且道先南源又且如何。	不 進 云 和 尚 莫 世 諦 流 布 且 道 先 南 源 又 且 如 何 
X68n1319_011:0536c24	示眾。師云。汝等諸人須信本來是佛。各須識取本來	示 眾 師 云 汝 等 諸 人 須 信 本 來 是 佛 各 須 識 取 本 來 
X68n1319_011:0537a01	面目。蹋著本地風光。若識得本來面目。黃金世界。白	面 目 蹋 著 本 地 風 光 若 識 得 本 來 面 目 黃 金 世 界 白 
X68n1319_011:0537a02	玉為身。栴檀叢林。栴檀圍繞。不然草木叢林時時凋	玉 為 身 栴 檀 叢 林 栴 檀 圍 繞 不 然 草 木 叢 林 時 時 凋 
X68n1319_011:0537a03	喪。眾禮拜。	喪 眾 禮 拜 
X68n1319_011:0537a04	示眾。舉。佛眼禪師上堂云。世人盡道路行難。本分真	示 眾 舉 佛 眼 禪 師 上 堂 云 世 人 盡 道 路 行 難 本 分 真 
X68n1319_011:0537a05	金入火看。煉去煉來金體淨。一槌打作玉欄杆。　師云。	金 入 火 看 煉 去 煉 來 金 體 淨 一 槌 打 作 玉 欄 杆 師 云 
