T85n2761_001:0253b02	勝鬘義記	勝 鬘 義 記 
T85n2761_001:0255b21	亦法也。何以故者。何以二乘木叉比尼即大	亦 法 也 何 以 故 者 何 以 二 乘 木 叉 比 尼 即 大 
T85n2761_001:0255b22	乘也。下釋以佛得成出家故知木叉即大乘	乘 也 下 釋 以 佛 得 成 出 家 故 知 木 叉 即 大 乘 
T85n2761_001:0255b23	也。次何故者。何以二乘無有別法可依出家	也 次 何 故 者 何 以 二 乘 無 有 別 法 可 依 出 家 
T85n2761_001:0255b24	也。釋意以依佛法知無別法。若二乘人別自	也 釋 意 以 依 佛 法 知 無 別 法 若 二 乘 人 別 自 
T85n2761_001:0255b25	有法。云何乃依大乘佛法也。阿羅漢歸依於	有 法 云 何 乃 依 大 乘 佛 法 也 阿 羅 漢 歸 依 於 
T85n2761_001:0255b26	佛法訖去涅槃界遠明於果入。昔言二乘有	佛 法 訖 去 涅 槃 界 遠 明 於 果 入 昔 言 二 乘 有 
T85n2761_001:0255b27	究竟法考尋其實方須仰求廣涉修塗向佛究	究 竟 法 考 尋 其 實 方 須 仰 求 廣 涉 修 塗 向 佛 究 
T85n2761_001:0255b28	竟。是以二果入一乘也。有恐怖者。昔言無	竟 是 以 二 果 入 一 乘 也 有 恐 怖 者 昔 言 無 
T85n2761_001:0255b29	舉眾惡悉除猶有怖懼知惡未盡也。何以故	舉 眾 惡 悉 除 猶 有 怖 懼 知 惡 未 盡 也 何 以 故 
T85n2761_001:0255c01	者。何以有怖也。於一切無行者。釋有怖意也。	者 何 以 有 怖 也 於 一 切 無 行 者 釋 有 怖 意 也 
T85n2761_001:0255c02	雖無分段生死惡行猶住怖地知未盡也。如	雖 無 分段生死 惡 行 猶 住 怖 地 知 未 盡 也 如 
T85n2761_001:0255c03	人執劍者。引事為況也。天魔如人生死如劍	人 執 劍 者 引 事 為 況 也 天 魔 如 人 生 死 如 劍 
T85n2761_001:0255c04	二乘如已也。無究竟樂者。二乘猶恐怖之苦	二 乘 如 已 也 無 究 竟 樂 者 二 乘 猶 恐 怖 之 苦 
T85n2761_001:0255c05	所得樂者少分未足也。何以故者。何以非是	所 得 樂 者 少 分 未 足 也 何 以 故 者 何 以 非 是 
T85n2761_001:0255c06	究竟樂者。世尊依不求依。釋所以非是究竟	究 竟 樂 者 世 尊 依 不 求 依 釋 所 以 非 是 究 竟 
T85n2761_001:0255c07	之意。世尊無畏以物作依。自不求出依二乘	之 意 世 尊 無 畏 以 物 作 依 自 不 求 出 依 二 乘 
T85n2761_001:0255c08	有畏求依如來不能以物作依處也。如眾生	有 畏 求 依 如 來 不 能 以 物 作 依 處 也 如 眾 生 
T85n2761_001:0255c09	無依彼彼恐怖者。引喻以況之也。人不依王。	無 依 彼 彼 恐 怖 者 引 喻 以 況 之 也 人 不 依 王 
T85n2761_001:0255c10	子不依父。人天五道不依於佛。終曰有畏處	子 不 依 父 人 天 五 道 不 依 於 佛 終 曰 有 畏 處 
T85n2761_001:0255c11	處無歡也。有餘生法不盡故有生者。明二乘	處 無 歡 也 有 餘 生 法 不 盡 故 有 生 者 明 二 乘 
T85n2761_001:0255c12	四智未是究竟。以不究故入一乘也。變易猶	四 智 未 是 究 竟 以 不 究 故 入 一 乘 也 變 易 猶 
T85n2761_001:0255c13	存。云何得言無生智乎。有餘梵行成故不純	存 云 何 得 言 無 生 智 乎 有 餘 梵 行 成 故 不 純 
T85n2761_001:0255c14	者。未得如來大般涅槃名餘梵行。二乘涅槃	者 未 得 如 來 大 般 涅 槃 名 餘 梵 行 二 乘 涅 槃 
T85n2761_001:0255c15	惡猶未盡不得名為純淨法也。釋非究竟無	惡 猶 未 盡 不 得 名 為 純 淨 法 也 釋 非 究 竟 無 
T85n2761_001:0255c16	餘智也。即不究竟當有所作者。方須修行不	餘 智 也 即 不 究 竟 當 有 所 作 者 方 須 修 行 不 
T85n2761_001:0255c17	得名為盡智也。不度彼故當有所斷者。無明	得 名 為 盡 智 也 不 度 彼 故 當 有 所 斷 者 無 明 
T85n2761_001:0255c18	住地此結須除不得名為無作智也。阿毘曇	住 地 此 結 須 除 不 得 名 為 無 作 智 也 阿 毘 曇 
T85n2761_001:0255c19	人略明二智。盡智無生智也。此經四智者無	人 略 明 二 智 盡 智 無 生 智 也 此 經 四 智 者 無 
T85n2761_001:0255c20	有異也。彼以因果合說為二。此以因果別故	有 異 也 彼 以 因 果 合 說 為 二 此 以 因 果 別 故 
T85n2761_001:0255c21	為四也。不成就一切功德者。釋有生句。有	為 四 也 不 成 就 一切功德 者 釋 有 生 句 有 
T85n2761_001:0255c22	量功德者。釋不純句。不思議功德者釋有所	量 功 德 者 釋 不 純 句 不 思 議 功 德 者 釋 有 所 
T85n2761_001:0255c23	作句。有餘過者釋當有所斷句也。言阿羅漢	作 句 有 餘 過 者 釋 當 有 所 斷 句 也 言 阿 羅 漢 
T85n2761_001:0255c24	辟支佛訖第一義乘解釋所以入一乘意文義	辟 支 佛 訖 第 一 義 乘 解 釋 所 以 入 一 乘 意 文 義 
T85n2761_001:0255c25	區別凡有八種。一明生死未除。二明煩惱不	區 別 凡 有 八 種 一 明 生 死 未 除 二 明 煩 惱 不 
T85n2761_001:0255c26	盡。三明受生法異。四明所知未周。五明所得	盡 三 明 受 生 法 異 四 明 所 知 未 周 五 明 所 得 
T85n2761_001:0255c27	未足。六明所斷不同。七明二智玄殊。八明三	未 足 六 明 所 斷 不 同 七 明 二 智 玄 殊 八 明 三 
T85n2761_001:0255c28	寶別也。從言阿羅漢辟支佛訖故說不受後	寶 別 也 從 言 阿 羅 漢 辟 支 佛 訖 故 說 不 受 後 
T85n2761_001:0255c29	有明生死未除。二乘之人雖無分段。猶有法	有 明 生 死 未 除 二 乘 之 人 雖 無 分 段 猶 有 法 
T85n2761_001:0256a01	身變易生死滅。此變易非一乘不能。是故應	身 變易生死 滅 此 變 易 非 一 乘 不 能 是 故 應 
T85n2761_001:0256a02	入一乘中也。從非盡一切煩惱訖最為大力	入 一 乘 中 也 從 非 盡 一切煩惱 訖 最 為 大 力 
T85n2761_001:0256a03	說煩惱不盡。二乘之人雖斷三界四住煩惱。	說 煩 惱 不 盡 二 乘 之 人 雖 斷 三 界 四 住 煩 惱 
T85n2761_001:0256a04	猶有無明住地煩惱。若欲斷者。功由一乘有	猶 有 無明住地 煩 惱 若 欲 斷 者 功 由 一 乘 有 
T85n2761_001:0256a05	而須除故知入也。從世尊又如取緣訖即是	而 須 除 故 知 入 也 從 世 尊 又 如 取 緣 訖 即 是 
T85n2761_001:0256a06	無明住地說受生法。二乘之人雖無四取。有	無明住地 說 受 生 法 二 乘 之 人 雖 無 四 取 有 
T85n2761_001:0256a07	漏善業猶有無明住地為緣。無漏善業以之	漏 善 業 猶 有 無明住地 為 緣 無 漏 善 業 以 之 
T85n2761_001:0256a08	為因。生其法行變易生死。除此生死一乘之	為 因 生 其 法 行 變易生死 除 此 生 死 一 乘 之 
T85n2761_001:0256a09	力故復入也。從世尊阿羅漢辟支佛最後身	力 故 復 入 也 從 世 尊 阿 羅 漢 辟 支 佛 最 後 身 
T85n2761_001:0256a10	菩薩訖修有餘道說所知不周。二乘之人雖	菩 薩 訖 修 有 餘 道 說 所 知 不 周 二 乘 之 人 雖 
T85n2761_001:0256a11	知三界四諦法。總未知三界外四真諦。若知	知 三 界 四 諦 法 總 未 知 三 界 外 四 真 諦 若 知 
T85n2761_001:0256a12	彼諦一乘乃究故復入也。一乘也。從是名得	彼 諦 一 乘 乃 究 故 復 入 也 一 乘 也 從 是 名 得 
T85n2761_001:0256a13	少分涅槃訖一味等味謂解脫味所得未足。	少分涅槃 訖 一 味 等 味 謂 解 脫 味 所 得 未 足 
T85n2761_001:0256a14	二乘之人經教言得無餘涅槃所得實。是有	二 乘 之 人 經 教 言 得 無餘涅槃 所 得 實 是 有 
T85n2761_001:0256a15	餘少分得無餘者。由行於一乘故知復入一	餘 少 分 得 無 餘 者 由 行 於 一 乘 故 知 復 入 一 
T85n2761_001:0256a16	乘中也。從世尊無明住地不斷不究竟訖一	乘 中 也 從 世 尊 無明住地 不 斷 不 究 竟 訖 一 
T85n2761_001:0256a17	向記。說明所斷不同。二乘之人已斷三界四	向 記 說 明 所 斷 不 同 二 乘 之 人 已 斷 三 界 四 
T85n2761_001:0256a18	住煩惱成阿羅漢果。菩薩斷除無明住地永	住 煩 惱 成 阿羅漢果 菩 薩 斷 除 無明住地 永 
T85n2761_001:0256a19	盡究竟得成佛果。聲聞辟支趣必佛地故復入	盡 究 竟 得 成 佛 果 聲 聞 辟 支 趣 必 佛 地 故 復 入 
T85n2761_001:0256a20	也。從世尊不受後有智有二種訖無邊不斷。	也 從 世 尊 不 受 後 有 智 有 二 種 訖 無 邊 不 斷 
T85n2761_001:0256a21	說二智玄殊。二乘之智知分段死盡。如來能	說 二 智 玄 殊 二 乘 之 智 知 分 段 死 盡 如 來 能 
T85n2761_001:0256a22	知變易死盡。分段死盡非究竟智。一切死盡	知 變 易 死 盡 分 段 死 盡 非 究 竟 智 一 切 死 盡 
T85n2761_001:0256a23	名究竟智。二人自知修學一乘仰求佛智故復	名 究 竟 智 二 人 自 知 修 學 一 乘 仰 求 佛 智 故 復 
T85n2761_001:0256a24	入也。從世尊如來無有限齊時住訖第一義。	入 也 從 世 尊 如 來 無 有 限 齊 時 住 訖 第 一 義 
T85n2761_001:0256a25	明三寶各別。二乘所依三寶所體別。復是無	明 三 寶 各 別 二 乘 所 依 三 寶 所 體 別 復 是 無 
T85n2761_001:0256a26	常菩薩所依三寶一體。又復是常。二乘之人	常 菩 薩 所 依 三 寶 一 體 又 復 是 常 二 乘 之 人 
T85n2761_001:0256a27	必依體一常住寶修行一乘求常住體故復入	必 依 體 一 常 住 寶 修 行 一 乘 求 常 住 體 故 復 入 
T85n2761_001:0256a28	也。觀察解脫者。自見勉離四住煩惱。分段死	也 觀 察 解 脫 者 自 見 勉 離 四 住 煩 惱 分 段 死 
T85n2761_001:0256a29	生四智。究竟者我生已盡行立作辨不受後	生 四 智 究 竟 者 我 生 已 盡 行 立 作 辨 不 受 後 
T85n2761_001:0256b01	有此四智也。分段死者盡故得此四名也。蘇	有 此 四 智 也 分 段 死 者 盡 故 得 此 四 名 也 蘇 
T85n2761_001:0256b02	息處者。無分段死故曰蘇息也。為餘不了義	息 處 者 無 分 段 死 故 曰 蘇 息 也 為 餘 不 了 義 
T85n2761_001:0256b03	說者。昔言二乘無餘究竟。此是方便引物之	說 者 昔 言 二 乘 無 餘 究 竟 此 是 方 便 引 物 之 
T85n2761_001:0256b04	釋也。分段死者。三界結縛不得自由。壽命長	釋 也 分 段 死 者 三 界 結 縛 不 得 自 由 壽 命 長 
T85n2761_001:0256b05	短界地同也。不思議者。法身無縛隨意住生	短 界 地 同 也 不 思 議 者 法 身 無 縛 隨 意 住 生 
T85n2761_001:0256b06	變化無方下愚不惻也。虛偽眾生者。不知四	變 化 無 方 下 愚 不 惻 也 虛 偽 眾 生 者 不 知 四 
T85n2761_001:0256b07	諦無無漏真智也。意生身者。知變神化念念	諦 無 無 漏 真 智 也 意 生 身 者 知 變 神 化 念 念 
T85n2761_001:0256b08	不信也。以分段死故者。以下應有無字也。我	不 信 也 以 分 段 死 故 者 以 下 應 有 無 字 也 我 
T85n2761_001:0256b09	生已盡者。無分段死受四智名也。明義訖故	生 已 盡 者 無 分 段 死 受 四 智 名 也 明 義 訖 故 
T85n2761_001:0256b10	是以結之煩惱有二種者。一是四住。二是無	是 以 結 之 煩惱有二 種 者 一 是 四 住 二 是 無 
T85n2761_001:0256b11	明住地煩惱也。謂住地煩惱及起煩惱者。自	明 住 地 煩 惱 也 謂 住 地 煩 惱 及 起 煩 惱 者 自 
T85n2761_001:0256b12	此以下字名煩惱義有其五名四住地。二名	此 以 下 字 名 煩 惱 義 有 其 五 名 四 住 地 二 名 
T85n2761_001:0256b13	起煩惱。三名恒沙。四名為上。五名無明住地。	起 煩 惱 三 名 恒 沙 四 名 為 上 五 名 無明住地 
T85n2761_001:0256b14	名雖有五體實有二。四住已起。是名異體一。	名 雖 有 五 體 實 有 二 四 住 已 起 是 名 異 體 一 
T85n2761_001:0256b15	無明住地是其二也。恒沙以上二總通有體界	無明住地 是 其 二 也 恒 沙 以 上 二 總 通 有 體 界 
T85n2761_001:0256b16	別故有其四。名永劫未除故名為住。能生後	別 故 有 其 四 名 永 劫 未 除 故 名 為 住 能 生 後 
T85n2761_001:0256b17	心名之為地。經心現在用名之為起。體眾念	心 名 之 為 地 經 心 現 在 用 名 之 為 起 體 眾 念 
T85n2761_001:0256b18	名恒沙。能感諸法名之為上也。非心起故名	名 恒 沙 能 感 諸 法 名 之 為 上 也 非 心 起 故 名 
T85n2761_001:0256b19	不相應。尋不覩故名無始。不識真理稱曰無	不 相 應 尋 不 覩 故 名 無 始 不 識 真 理 稱 曰 無 
T85n2761_001:0256b20	明。曠劫來有字之為住。能生不絕故名為地	明 曠 劫 來 有 字 之 為 住 能 生 不 絕 故 名 為 地 
T85n2761_001:0256b21	也。亦以體多名為恒沙。或諸法故名之為上	也 亦 以 體 多 名 為 恒 沙 或 諸 法 故 名 之 為 上 
T85n2761_001:0256b22	也。無明住地者。是煩惱習也。闇障八地至	也 無明住地 者 是 煩 惱 習 也 闇 障 八 地 至 
T85n2761_001:0256b23	于十地名為無明。法身大士但斷不起名不	于 十 地 名 為 無 明 法身大士 但 斷 不 起 名 不 
T85n2761_001:0256b24	相應。四住地後斷名之為住。以微在故還能	相 應 四 住 地 後 斷 名 之 為 住 以 微 在 故 還 能 
T85n2761_001:0256b25	生麁故名為地也。又一解云。是三界四住地	生 麁 故 名 為 地 也 又 一 解 云 是 三 界 四 住 地 
T85n2761_001:0256b26	結過去世者。不可逕心起現在用也。又復一	結 過 去 世 者 不 可 逕 心 起 現 在 用 也 又 復 一 
T85n2761_001:0256b27	解言。眾生之始必有神慮。慮有明昧。法有麁	解 言 眾 生 之 始 必 有 神 慮 慮 有 明 昧 法 有 麁 
T85n2761_001:0256b28	細。麁細之法悉皆應知。以心昧故遂得及麁。	細 麁 細 之 法 悉 皆 應 知 以 心 昧 故 遂 得 及 麁 
T85n2761_001:0256b29	一切麁法非心所緣性。此不知名為無明。不	一 切 麁 法 非 心 所 緣 性 此 不 知 名 為 無 明 不 
T85n2761_001:0256c01	經心慮名不相應也。最為大力者大有二種。	經 心 慮 名 不 相 應 也 最 為 大 力 者 大 有 二 種 
T85n2761_001:0256c02	一以難斷。二是或本所以授之。欲令人厭也。	一 以 難 斷 二 是 或 本 所 以 授 之 欲 令 人 厭 也 
T85n2761_001:0256c03	此三地者三乘地也。彼三種意生身者。未來	此 三 地 者 三 乘 地 也 彼 三種意生身 者 未 來 
T85n2761_001:0256c04	無量也。過現已有曰此。方將未受曰彼也。不	無 量 也 過 現 已 有 曰 此 方 將 未 受 曰 彼 也 不 
T85n2761_001:0256c05	同以異明受生前也。八地所斷者。所以說斷	同 以 異 明 受 生 前 也 八 地 所 斷 者 所 以 說 斷 
T85n2761_001:0256c06	者。明佛已斷故。受生三人未除故有生死也。	者 明 佛 已 斷 故 受 生 三 人 未 除 故 有 生 死 也 
T85n2761_001:0256c07	畫然無處佛地得名也。無漏不盡者。三人雖	畫 然 無 處 佛 地 得 名 也 無 漏 不 盡 者 三 人 雖 
T85n2761_001:0256c08	能無去結。漏未得。即盡故下文出之。即是	能 無 去 結 漏 未 得 即 盡 故 下 文 出 之 即 是 
T85n2761_001:0256c09	無明住地也。於彼彼法者。是無邊聖諦也。猶	無明住地 也 於 彼 彼 法 者 是 無 邊 聖 諦 也 猶 
T85n2761_001:0256c10	在分外。又非是一也。所應斷者者。是無明住	在 分 外 又 非 是 一 也 所 應 斷 者 者 是 無 明 住 
T85n2761_001:0256c11	地也。名有餘過解脫者。無分段死所得之處	地 也 名 有 餘 過 解 脫 者 無 分 段 死 所 得 之 處 
T85n2761_001:0256c12	未能永除也。有餘清淨者。雖四住未斷無明	未 能 永 除 也 有 餘 清 淨 者 雖 四 住 未 斷 無 明 
T85n2761_001:0256c13	住地煩惱也。成就有餘功德者。雖得十智諸	住 地 煩 惱 也 成 就 有 餘 功 德 者 雖 得 十 智 諸 
T85n2761_001:0256c14	善功德未得種智等也。知有餘苦乃至有餘	善 功 德 未 得 種 智 等 也 知 有 餘 苦 乃 至 有 餘 
T85n2761_001:0256c15	道者。先明所得三事。有餘次便說其所知不	道 者 先 明 所 得 三 事 有 餘 次 便 說 其 所 知 不 
T85n2761_001:0256c16	周也。是名得少涅槃者。滅除四住分段生死	周 也 是 名 得 少 涅 槃 者 滅 除 四 住 分段生死 
T85n2761_001:0256c17	得名涅槃體未滿足名為少分。知一切苦者。	得 名 涅 槃 體 未 滿 足 名 為 少 分 知 一 切 苦 者 
T85n2761_001:0256c18	麁法苦也。三諦同爾。所以明知者。智所周	麁 法 苦 也 三 諦 同 爾 所 以 明 知 者 智 所 周 
T85n2761_001:0256c19	悉所得涅槃必是滿足也。無常壞世間者。生	悉 所 得 涅 槃 必 是 滿 足 也 無 常 壞 世 間 者 生 
T85n2761_001:0256c20	死果報也。無常病世間者。生死因也。得常住	死 果 報 也 無 常 病 世 間 者 生 死 因 也 得 常 住 
T85n2761_001:0256c21	涅槃者。得佛滿足究竟涅槃也。於無覆護世	涅 槃 者 得 佛 滿 足 究竟涅槃 也 於 無 覆 護 世 
T85n2761_001:0256c22	間者。不免四魔也。無依世間者。生死之人不	間 者 不 免 四 魔 也 無 依 世 間 者 生 死 之 人 不 
T85n2761_001:0256c23	可依也。何以故者。何以如來能護可依也。法	可 依 也 何 以 故 者 何 以 如 來 能 護 可 依 也 法 
T85n2761_001:0256c24	無優劣者。十力無畏同無高下。智慧等者。種	無 優 劣 者 十 力 無 畏 同 無 高 下 智 慧 等 者 種 
T85n2761_001:0256c25	智無生智自然智無差別也。清淨等者。同無	智 無 生 智 自 然 智 無 差 別 也 清 淨 等 者 同 無 
T85n2761_001:0256c26	煩惱也。解脫等者無生死。三昧等昧者滿足	煩 惱 也 解 脫 等 者 無 生 死 三 昧 等 昧 者 滿 足 
T85n2761_001:0256c27	之地無勝如之異也。謂解脫味者。無累處齊	之 地 無 勝 如 之 異 也 謂 解 脫 味 者 無 累 處 齊 
T85n2761_001:0256c28	故言等也。若無明住地不斷不究竟者。將欲	故 言 等 也 若 無明住地 不 斷 不 究 竟 者 將 欲 
T85n2761_001:0256c29	明斷先說其過。不得一味者。不得佛解脫味	明 斷 先 說 其 過 不 得 一 味 者 不 得 佛 解 脫 味 
T85n2761_001:0257a01	也。是一過也。應斷不斷者。無明諸惑未得滅	也 是 一 過 也 應 斷 不 斷 者 無 明 諸 惑 未 得 滅 
T85n2761_001:0257a02	除。是二過也。應得不得者。不得萬善也。是三	除 是 二 過 也 應 得 不 得 者 不 得 萬 善 也 是 三 
T85n2761_001:0257a03	過也。應證不證者。不得證成佛法身。是四過	過 也 應 證 不 證 者 不 得 證 成 佛 法 身 是 四 過 
T85n2761_001:0257a04	也。是故無明住地積聚者。集上眾過也。又沒	也 是 故 無明住地 積 聚 者 集 上 眾 過 也 又 沒 
T85n2761_001:0257a05	無明體有眾多也。生一切修道者。修諸無漏	無 明 體 有 眾 多 也 生 一 切 修 道 者 修 諸 無 漏 
T85n2761_001:0257a06	也。此明能斷之智也。斷煩惱上煩惱者。此說	也 此 明 能 斷 之 智 也 斷 煩 惱 上 煩 惱 者 此 說 
T85n2761_001:0257a07	所斷也。上煩惱者。或障神慮不合明淨也。止	所 斷 也 上 煩 惱 者 或 障 神 慮 不 合 明 淨 也 止 
T85n2761_001:0257a08	是四依立止觀境之智。禪是四禪諸定。正受	是 四 依 立 止 觀 境 之 智 禪 是 四 禪 諸 定 正 受 
T85n2761_001:0257a09	是四正受。方便是涉求之智。智是實智。果是	是 四 正 受 方 便 是 涉 求 之 智 智 是 實 智 果 是 
T85n2761_001:0257a10	人天三果。道果得是人天三乘之因有或果	人 天 三 果 道 果 得 是 人 天 三 乘 之 因 有 或 果 
T85n2761_001:0257a11	力故。與得名力是十力。無畏是四無畏也。一	力 故 與 得 名 力 是 十 力 無 畏 是 四 無 畏 也 一 
T85n2761_001:0257a12	切皆是無明住地之所建立者。此明煩惱相	切 皆 是 無明住地 之 所 建 立 者 此 明 煩 惱 相 
T85n2761_001:0257a13	生之由。此經大意。以無明住地是眾結之原。	生 之 由 此 經 大 意 以 無明住地 是 眾 結 之 原 
T85n2761_001:0257a14	凡生之法先細後麁。斷結之道先麁後細。以	凡 生 之 法 先 細 後 麁 斷 結 之 道 先 麁 後 細 以 
T85n2761_001:0257a15	此二義得知無明住地生四住地也。無明住地	此 二 義 得 知 無明住地 生 四 住 地 也 無明住地 
T85n2761_001:0257a16	自相生者。金剛所斷以之為細。下至八地所	自 相 生 者 金 剛 所 斷 以 之 為 細 下 至 八 地 所 
T85n2761_001:0257a17	斷為麁。是以一豪有生下也。一切上煩惱起	斷 為 麁 是 以 一 豪 有 生 下 也 一 切 上 煩 惱 起 
T85n2761_001:0257a18	皆因無明住地緣無明住地者。上煩惱者通	皆 因 無明住地 緣 無明住地 者 上 煩 惱 者 通 
T85n2761_001:0257a19	在四住及無明住地。於四住地遠故為緣。於	在 四 住 及 無明住地 於 四 住 地 遠 故 為 緣 於 
T85n2761_001:0257a20	無明住地近故為因也。心不相應無始無明地	無明住地 近 故 為 因 也 心不相應 無 始 無 明 地 
T85n2761_001:0257a21	者。欲明斷故稱其名字。所持所建立者。稱說	者 欲 明 斷 故 稱 其 名 字 所 持 所 建 立 者 稱 說 
T85n2761_001:0257a22	其過也。一切煩惱四住恒沙起與無明也。上	其 過 也 一切煩惱 四 住 恒 沙 起 與 無 明 也 上 
T85n2761_001:0257a23	煩惱者。或諸法略說二除則五悉滅也。所得	煩 惱 者 或 諸 法 略 說 二 除 則 五 悉 滅 也 所 得 
T85n2761_001:0257a24	諸法通達無閡者。善解一切諸法理也。離一	諸 法 通 達 無 閡 者 善 解 一切諸法 理 也 離 一 
T85n2761_001:0257a25	切過惡者。無煩惱生死者也。得一切功德者。	切 過 惡 者 無 煩 惱 生 死 者 也 得 一切功德 者 
T85n2761_001:0257a26	萬善備具也。法王法主者。無明住地既斷滅	萬 善 備 具 也 法 王 法 主 者 無明住地 既 斷 滅 
T85n2761_001:0257a27	已則能具備。此三種義也。既具三義即得成	已 則 能 具 備 此 三 種 義 也 既 具 三 義 即 得 成 
T85n2761_001:0257a28	佛。絯法為王。勝物為主也。而得自在者。獨足	佛 絯 法 為 王 勝 物 為 主 也 而 得 自 在 者 獨 足 
T85n2761_001:0257a29	超勝不為物屈也。我生已盡訖不受後有。此	超 勝 不 為 物 屈 也 我 生 已 盡 訖 不 受 後 有 此 
T85n2761_001:0257b01	明如來具足四義。無餘究竟至極圓滿。非如	明 如 來 具 足 四 義 無 餘 究 竟 至 極 圓 滿 非 如 
T85n2761_001:0257b02	二乘有餘不足。是故世尊訖一向記說。結明	二 乘 有 餘 不 足 是 故 世 尊 訖 一 向 記 說 結 明 
T85n2761_001:0257b03	上來佛是究竟二乘未足。當理無虛定實之	上 來 佛 是 究 竟 二 乘 未 足 當 理 無 虛 定 實 之 
T85n2761_001:0257b04	說始可得稱無畏之言也。不受後有智有二	說 始 可 得 稱 無 畏 之 言 也 不 受 後 有 智 有 二 
T85n2761_001:0257b05	種者。此明二果。如來之智俱得名為不受後	種 者 此 明 二 果 如 來 之 智 俱 得 名 為 不 受 後 
T85n2761_001:0257b06	有也。謂如來以無上調御者。此下說師子吼	有 也 謂 如 來 以 無 上 調 御 者 此 下 說 師 子 吼 
T85n2761_001:0257b07	明如來智也。十號之中略說二也。降伏心過	明 如 來 智 也 十 號 之 中 略 說 二 也 降 伏 心 過 
T85n2761_001:0257b08	四魔者。除惡悉盡也。得如來法身者。所得滿	四 魔 者 除 惡 悉 盡 也 得 如來法身 者 所 得 滿 
T85n2761_001:0257b09	足也。一切爾炎者。是境界也。此明所知諸法	足 也 一 切 爾 炎 者 是 境 界 也 此 明 所 知 諸 法 
T85n2761_001:0257b10	因備。於上更無所作者。在佛地已更不修萬	因 備 於 上 更 無 所 作 者 在 佛 地 已 更 不 修 萬 
T85n2761_001:0257b11	善也。無所得地者。至足究竟更無所求也。無	善 也 無 所 得 地 者 至 足 究 竟 更 無 所 求 也 無 
T85n2761_001:0257b12	閡智觀者。是一切智也。不由於他者。是法悉	閡 智 觀 者 是 一 切 智 也 不 由 於 他 者 是 法 悉 
T85n2761_001:0257b13	知沒何所諮也。度生死畏者。明二乘人不受	知 沒 何 所 諮 也 度 生 死 畏 者 明 二 乘 人 不 受 
T85n2761_001:0257b14	後有智也。除分段生死故名為度。不更受生	後 有 智 也 除 分段生死 故 名 為 度 不 更 受 生 
T85n2761_001:0257b15	者。名不受後有也。次第得解脫樂者。分段除	者 名 不 受 後 有 也 次 第 得 解 脫 樂 者 分 段 除 
T85n2761_001:0257b16	已次得有餘涅槃也。又一解二乘微樂與如	已 次 得 有餘涅槃 也 又 一 解 二 乘 微 樂 與 如 
T85n2761_001:0257b17	來樂作次第也。得不受後有觀者。是智人異	來 樂 作 次 第 也 得 不 受 後 有 觀 者 是 智 人 異 
T85n2761_001:0257b18	名也。第一蘇息者。始得免難。初分段死。第一	名 也 第 一 蘇 息 者 始 得 免 難 初 分 段 死 第 一 
T85n2761_001:0257b19	少樂未得常去大樂也。又一解二乘自謂第	少 樂 未 得 常 去 大 樂 也 又 一 解 二 乘 自 謂 第 
T85n2761_001:0257b20	一勝法也。處涅槃地者。說蘇息處地。彼先所	一 勝 法 也 處 涅 槃 地 者 說 蘇 息 處 地 彼 先 所 
T85n2761_001:0257b21	得地者。如來初說四諦之時教。二乘斷三界	得 地 者 如 來 初 說 四 諦 之 時 教 二 乘 斷 三 界 
T85n2761_001:0257b22	四住結盡捨後邊身得無餘涅槃。昔來明此	四 住 結 盡 捨 後 邊 身 得 無餘涅槃 昔 來 明 此 
T85n2761_001:0257b23	謂為實名先所得地及至明處。猶有念念變	謂 為 實 名 先 所 得 地 及 至 明 處 猶 有 念 念 變 
T85n2761_001:0257b24	易生死便自覺知。是有餘地應當得無上菩	易 生 死 便 自 覺 知 是 有 餘 地 應 當 得 無 上 菩 
T85n2761_001:0257b25	提也。何以故者。勝鬘釋其應解之意。三乘既	提 也 何 以 故 者 勝 鬘 釋 其 應 解 之 意 三 乘 既 
T85n2761_001:0257b26	一窮自行之何容不知也。即是佛乘者。此明	一 窮 自 行 之 何 容 不 知 也 即 是 佛 乘 者 此 明 
T85n2761_001:0257b27	自智得佛之意。即是涅槃界者。道尊超勝名	自 智 得 佛 之 意 即 是 涅 槃 界 者 道 尊 超 勝 名 
T85n2761_001:0257b28	曰菩提。眾累悉除名為涅槃。備應眾求種曰	曰 菩 提 眾 累 悉 除 名 為 涅 槃 備 應 眾 求 種 曰 
T85n2761_001:0257b29	法身三義雖異其體一也。則究竟一乘者。得	法 身 三 義 雖 異 其 體 一 也 則 究 竟 一 乘 者 得 
T85n2761_001:0257c01	佛法身乘力便息。故知二乘未是極稱也。無	佛 法 身 乘 力 便 息 故 知 二 乘 未 是 極 稱 也 無 
T85n2761_001:0257c02	異如來無異法身者。此明如來法身一也。得	異 如 來 無 異 法 身 者 此 明 如來法身 一 也 得 
T85n2761_001:0257c03	究竟法身者究竟一乘者。舉二句欲明無邊	究 竟 法 身 者 究 竟 一 乘 者 舉 二 句 欲 明 無 邊 
T85n2761_001:0257c04	不斷也。佛體常住應現十方名曰無邊　無念	不 斷 也 佛 體 常 住 應 現 十 方 名 曰 無 邊 無 念 
T85n2761_001:0257c05	念盡滅故名不斷也。如來無有限齊時住後	念 盡 滅 故 名 不 斷 也 如 來 無 有 限 齊 時 住 後 
