X17n0327_001:0471c06	楞伽補遺	楞 伽 補 遺 
X17n0327_001:0474a06	也。大慧遂目日月。喻佛說法。應當與一切眾生說平	也 大 慧 遂 目 日 月 喻 佛 說 法 應 當 與 一 切 眾 生 說 平 
X17n0327_001:0474a07	等真實之法。何以世尊一向與二乘人。只說六識為	等 真 實 之 法 何 以 世 尊 一 向 與 二 乘 人 只 說 六 識 為 
X17n0327_001:0474a08	生死本。何故不說八識即真之真實法耶。佛答。目彼	生 死 本 何 故 不 說 八 識 即 真 之 真 實 法 耶 佛 答 目 彼 
X17n0327_001:0474a09	眾生心不真實。不堪受真實法耳。非不說也。譬如海	眾 生 心 不 真 實 不 堪 受 真 實 法 耳 非 不 說 也 譬 如 海 
X17n0327_001:0474a10	波下十句。喻顯其法元有頓漸之不同。故說亦因之	波 下 十 句 喻 顯 其 法 元 有 頓 漸 之 不 同 故 說 亦 因 之 
X17n0327_001:0474a11	建立。然說雖有頓漸。其實無有一定之次第。意謂。我	建 立 然 說 雖 有 頓 漸 其 實 無 有 一 定 之 次 第 意 謂 我 
X17n0327_001:0474a12	說六識漸時。未甞不兼帶八識而說。但眾生聞者不	說 六 識 漸 時 未 甞 不 兼 帶 八 識 而 說 但 眾 生 聞 者 不 
X17n0327_001:0474a13	解耳。又設画師喻。目明說法應當隨機先後次第建	解 耳 又 設 画 師 喻 目 明 說 法 應 當 隨 機 先 後 次 第 建 
X17n0327_001:0474a14	立也。彩色無文二句。喻法本離言。但為悅眾生。不得	立 也 彩 色 無 文 二 句 喻 法 本 離 言 但 為 悅 眾 生 不 得 
X17n0327_001:0474a15	不隨機施設。非我不說實也。下文更顯深義。謂不但	不 隨 機 施 設 非 我 不 說 實 也 下 文 更 顯 深 義 謂 不 但 
X17n0327_001:0474a16	說權法為不實。即說真實法亦無實法與人。目真實	說 權 法 為 不 實 即 說 真 實 法 亦 無 實 法 與 人 目 真 實 
X17n0327_001:0474a17	離名字種種皆如幻故。末後云。聲聞亦非分者。足徵	離 名 字 種 種 皆 如 幻 故 末 後 云 聲 聞 亦 非 分 者 足 徵 
X17n0327_001:0474a18	大慧意疑佛不與二乘說八識真實之法也。哀愍者	大 慧 意 疑 佛 不 與 二 乘 說 八 識 真 實 之 法 也 哀 愍 者 
X17n0327_001:0474a19	指佛。謂今日乃說自覺之境界也。	指 佛 謂 今 日 乃 說 自 覺 之 境 界 也 
X17n0327_001:0474a20	長行結示。欲知自心現量自覺境界。須要真實修行	長 行 結 示 欲 知 自心現量 自 覺 境 界 須 要 真 實 修 行 
X17n0327_001:0474a21	自悟乃可相應。非是說了便休。故後文示聖智三相。	自 悟 乃 可 相 應 非 是 說 了 便 休 故 後 文 示 聖 智 三 相 
X17n0327_001:0474a22	為修行之要。成立唯心第二番因果也。	為 修 行 之 要 成 立 唯 心 第 二 番 因 果 也 
X17n0327_001:0474a23	問曰。佛一往已為大慧開示八識因緣。已顯離心意	問 曰 佛 一 往 已 為 大 慧 開 示 八 識 因 緣 已 顯 離 心 意 
X17n0327_001:0474a24	識境界矣。而大慧至此。問聖智分別自性經。且云為	識 境 界 矣 而 大 慧 至 此 問 聖 智 分 別 自 性 經 且 云 為 
X17n0327_001:0474b01	百八句所依者。何也。答曰。此經直指一心。為正顯	百 八 句 所 依 者 何 也 答 曰 此 經 直 指 一 心 為 正 顯 
X17n0327_001:0474b02	五法三自性皆空八識二無我俱遣。以為宗體。目大	五 法 三 自 性 皆 空 八 識 二 無 我 俱 遣 以 為 宗 體 目 大 
X17n0327_001:0474b03	慧初目百八義請問者。乃通依五法自性八識無我	慧 初 目 百 八 義 請 問 者 乃 通 依 五 法 自 性 八 識 無 我 
X17n0327_001:0474b04	而問。皆屬迷悟邊事。故佛目目一切皆非。此直示一	而 問 皆 屬 迷 悟 邊 事 故 佛 目 目 一 切 皆 非 此 直 示 一 
X17n0327_001:0474b05	心真如。一法不立。是則五法自性八識無我。蕩絕無	心 真 如 一 法 不 立 是 則 五 法 自 性 八 識 無 我 蕩 絕 無 
X17n0327_001:0474b06	遺矣。故大慧隨問諸識生滅。言雖問諸識生滅。意實	遺 矣 故 大 慧 隨 問 諸 識 生 滅 言 雖 問 諸 識 生 滅 意 實 
X17n0327_001:0474b07	不知空遣。故佛為示生滅因緣。隨示目直觀藏識。教	不 知 空 遣 故 佛 為 示 生 滅 因 緣 隨 示 目 直 觀 藏 識 教 
X17n0327_001:0474b08	目離心意境界。是則八識之相已遣矣。尚不知五法	目 離 心 意 境 界 是 則 八 識 之 相 已 遣 矣 尚 不 知 五 法 
X17n0327_001:0474b09	自性無我因何建立如何空遣。故特問聖智事分別	自 性 無 我 因 何 建 立 如 何 空 遣 故 特 問 聖 智 事 分 別 
X17n0327_001:0474b10	自性經。意謂空此諸法。乃自覺聖智事。非三乘比智	自 性 經 意 謂 空 此 諸 法 乃 自覺聖智 事 非 三 乘 比 智 
X17n0327_001:0474b11	可能耳。言百八句分別所依者。正顯所問百八義。皆	可 能 耳 言 百 八 句 分別所依 者 正 顯 所 問 百 八 義 皆 
X17n0327_001:0474b12	依五法自性而問也。然舉果悳轉得如來法身者。乃	依 五 法 自 性 而 問 也 然 舉 果 悳 轉 得 如來法身 者 乃 
X17n0327_001:0474b13	躡上佛示離心意識所轉果悳。意在離此五法。乃得	躡 上 佛 示 離 心 意 識 所 轉 果 悳 意 在 離 此 五 法 乃 得 
X17n0327_001:0474b14	如上之果。是舉真果。目證真因也。此問意乃經中之	如 上 之 果 是 舉 真 果 目 證 真 因 也 此 問 意 乃 經 中 之 
X17n0327_001:0474b15	血脈。學者縱能通達文字。而不知血脈。亦無歸宿。此	血 脈 學 者 縱 能 通 達 文 字 而 不 知 血 脈 亦 無 歸 宿 此 
X17n0327_001:0474b16	旨甚微。故特示之。佛答中。即舉外道有無二見者。正	旨 甚 微 故 特 示 之 佛 答 中 即 舉 外 道 有無二見 者 正 
X17n0327_001:0474b17	顯外道不了唯心故。於名相上。橫計而生妄想。乃正	顯 外 道 不 了 唯 心 故 於 名 相 上 橫 計 而 生 妄 想 乃 正 
X17n0327_001:0474b18	破名相妄想也。	破 名 相 妄 想 也 
X17n0327_001:0474b19	離異不異者。謂妄想與名相元別故異。今妄想乃依	離 異 不 異 者 謂 妄 想 與 名 相 元 別 故 異 今 妄 想 乃 依 
X17n0327_001:0474b20	名相而起故不異。目有心境對待故也。今言離異不	名 相 而 起 故 不 異 目 有 心 境 對 待 故 也 今 言 離 異 不 
X17n0327_001:0474b21	異者。正教目遠離心境。絕諸對待。心境皆空。則五法	異 者 正 教 目 遠 離 心 境 絕 諸 對 待 心 境 皆 空 則 五 法 
X17n0327_001:0474b22	自性皆空矣。此正空名相妄想之要旨也。顯正智章	自 性 皆 空 矣 此 正 空 名 相 妄 想 之 要 旨 也 顯 正 智 章 
X17n0327_001:0474b23	中。目三佛說法頓漸以明正智者。蓋因前八識頌中。	中 目 三 佛 說 法 頓 漸 以 明 正 智 者 蓋 因 前 八 識 頌 中 
X17n0327_001:0474b24	大慧責佛既云唯心頓現一切諸法。則佛當為眾生	大 慧 責 佛 既 云 唯 心 頓 現 一切諸法 則 佛 當 為 眾 生 
X17n0327_001:0474c01	直說真實頓法可也。何以又說三乘漸法耶。佛答謂	直 說 真 實 頓 法 可 也 何 以 又 說 三 乘 漸 法 耶 佛 答 謂 
X17n0327_001:0474c02	因眾生心不真實。難與說實。恐其不信。則說之無益。	因 眾 生 心 不 真 實 難 與 說 實 恐 其 不 信 則 說 之 無 益 
X17n0327_001:0474c03	以隨機不同。不得不施漸法耳。故此顯說頓漸之所	以 隨 機 不 同 不 得 不 施 漸 法 耳 故 此 顯 說 頓 漸 之 所 
X17n0327_001:0474c04	以。目四漸喻機。以四頓喻佛。在佛。以平等大慧教化	以 目 四 漸 喻 機 以 四 頓 喻 佛 在 佛 以 平 等 大 慧 教 化 
X17n0327_001:0474c05	眾生。雖漸亦頓。在機。有利鈍不一。雖頓亦漸。故目法	眾 生 雖 漸 亦 頓 在 機 有 利 鈍 不 一 雖 頓 亦 漸 故 目 法 
X17n0327_001:0474c06	證佛。則有三身。故法亦有三乘。此化儀之必然者。以	證 佛 則 有 三 身 故 法 亦 有 三 乘 此 化 儀 之 必 然 者 以 
X17n0327_001:0474c07	眾生根本實智迷之而為自心現流。故淨現流以成	眾 生 根 本 實 智 迷 之 而 為 自 心 現 流 故 淨 現 流 以 成 
X17n0327_001:0474c08	正智。然迷雖頓。而淨則漸也。	正 智 然 迷 雖 頓 而 淨 則 漸 也 
X17n0327_001:0474c09	頓喻四中。明鏡喻頓示眾生一真法界清淨圓明心	頓 喻 四 中 明 鏡 喻 頓 示 眾 生 一 真 法 界 清 淨 圓 明 心 
X17n0327_001:0474c10	體。日月喻頓破眾生無明業識。顯示本有不思議業	體 日 月 喻 頓 破 眾 生 無 明 業 識 顯 示 本 有 不 思 議 業 
X17n0327_001:0474c11	用。藏識喻頓令自心眾生一時成熟。究竟佛果。自心	用 藏 識 喻 頓 令 自 心 眾 生 一 時 成 熟 究 竟 佛 果 自 心 
X17n0327_001:0474c12	所現根身器界。喻自心之眾生。法依佛喻頓目普光	所 現 根 身 器 界 喻 自 心 之 眾 生 法 依 佛 喻 頓 目 普 光 
X17n0327_001:0474c13	明智。炤一切眾生心地。頓令五性三乘。破滅無明。頓	明 智 炤 一 切 眾 生 心 地 頓 令 五 性 三 乘 破 滅 無 明 頓 
X17n0327_001:0474c14	見本有平等法身。三身佛說法。乃以法證佛也。法依	見 本 有 平 等 法 身 三 身 佛 說 法 乃 以 法 證 佛 也 法 依 
X17n0327_001:0474c15	佛者。乃依法身所垂之報身佛也。說緣生者。以顯緣	佛 者 乃 依 法 身 所 垂 之 報 身 佛 也 說 緣 生 者 以 顯 緣 
X17n0327_001:0474c16	生無性無性緣生。乃頓漸漸頓之法也。即華嚴經所	生 無 性 無 性 緣 生 乃 頓 漸 漸 頓 之 法 也 即 華 嚴 經 所 
X17n0327_001:0474c17	說四十二位。行布圓融之旨。法身佛說離心自性法。	說 四 十 二 位 行 布 圓 融 之 旨 法 身 佛 說 離 心 自 性 法 
X17n0327_001:0474c18	乃直示頓法也。化身佛所說。乃六度權行。單漸法也。	乃 直 示 頓 法 也 化 身 佛 所 說 乃 六 度 權 行 單 漸 法 也 
X17n0327_001:0474c19	結歸法身佛者。乃示此經為頓頓宗也。後聲聞外道	結 歸 法 身 佛 者 乃 示 此 經 為 頓 頓 宗 也 後 聲 聞 外 道 
X17n0327_001:0474c20	破邪因以顯正因。此又漸中之漸。意謂有機如此。不	破 邪 因 以 顯 正 因 此 又 漸 中 之 漸 意 謂 有 機 如 此 不 
X17n0327_001:0474c21	得不施漸之漸也。然在經文。其義甚隱。諦觀佛意經	得 不 施 漸 之 漸 也 然 在 經 文 其 義 甚 隱 諦 觀 佛 意 經 
X17n0327_001:0474c22	旨理實昭著。	旨 理 實 昭 著 
X17n0327_001:0474c23	破二種邪因。科在二乘。云即二乘邪因以示正因者。	破 二 種 邪 因 科 在 二 乘 云 即 二 乘 邪 因 以 示 正 因 者 
X17n0327_001:0474c24	目聲聞乃證聖智差別相。但示究竟故。即彼所證以	目 聲 聞 乃 證 聖 智 差 別 相 但 示 究 竟 故 即 彼 所 證 以 
X17n0327_001:0475a01	示究竟真因。故云即在外道。云目聖智破邪因者。目	示 究 竟 真 因 故 云 即 在 外 道 云 目 聖 智 破 邪 因 者 目 
X17n0327_001:0475a02	外道所計常不思議。乃別立異因。以無常為常故。佛	外 道 所 計 常 不 思 議 乃 別 立 異 因 以 無 常 為 常 故 佛 
X17n0327_001:0475a03	目真常聖智。破妄計。故云目。	目 真 常 聖 智 破 妄 計 故 云 目 
X17n0327_001:0475a04	舉果驗因者。謂舉今現證之果。目驗昔日之因也。目	舉 果 驗 因 者 謂 舉 今 現 證 之 果 目 驗 昔 日 之 因 也 目 
X17n0327_001:0475a05	聲聞所證涅槃。以非真滅為滅。足驗昔因未得聖智	聲 聞 所 證 涅 槃 以 非 真 滅 為 滅 足 驗 昔 因 未 得 聖 智 
X17n0327_001:0475a06	究竟相也。謂外道今取斷滅為果者。蓋昔以生法為	究 竟 相 也 謂 外 道 今 取 斷 滅 為 果 者 蓋 昔 以 生 法 為 
X17n0327_001:0475a07	不生。特以無常為常故。今墮斷滅之見耳。五無間種	不 生 特 以 無 常 為 常 故 今 墮 斷 滅 之 見 耳 五 無 間 種 
X17n0327_001:0475a08	性一章。重明為機稟佛性是一。因聞三乘之法名言	性 一 章 重 明 為 機 稟 佛 性 是 一 因 聞 三 乘 之 法 名 言 
X17n0327_001:0475a09	熏習故。種性有五。前頓漸章。明法一機異。故有三乘。	熏 習 故 種 性 有 五 前 頓 漸 章 明 法 一 機 異 故 有 三 乘 
X17n0327_001:0475a10	即一乘法分別說三者也。今五無間性。乃因聞前三	即 一 乘 法 分 別 說 三 者 也 今 五 無 間 性 乃 因 聞 前 三 
X17n0327_001:0475a11	乘法。不得離言之義。執文言熏習成種。此又顯機之	乘 法 不 得 離 言 之 義 執 文 言 熏 習 成 種 此 又 顯 機 之 
X17n0327_001:0475a12	所稟。佛性是一。故云無間。因熏各別故。有五種性耳	所 稟 佛 性 是 一 故 云 無 間 因 熏 各 別 故 有 五 種 性 耳 
X17n0327_001:0475a13	如來無間種性。有四種。一權教事六度。二乘乘空慧。	如 來 無 間 種 性 有 四 種 一 權 教 事 六 度 二 乘 乘 空 慧 
X17n0327_001:0475a14	三實教。四即圓教。四位菩薩釋者。諦觀經大明標如	三 實 教 四 即 圓 教 四 位 菩 薩 釋 者 諦 觀 經 大 明 標 如 
X17n0327_001:0475a15	來種性。意指如來果法。非說因位中故。若以菩薩釋	來 種 性 意 指 如 來 果 法 非 說 因 位 中 故 若 以 菩 薩 釋 
X17n0327_001:0475a16	之。失本指矣。蓋目直指一心真如。若悟唯心。即頓登	之 失 本 指 矣 蓋 目 直 指 一 心 真 如 若 悟 唯 心 即 頓 登 
X17n0327_001:0475a17	佛地。即圓教之三賢。此亦不立。況權教空慧乎。若目	佛 地 即 圓 教 之 三 賢 此 亦 不 立 況 權 教 空 慧 乎 若 目 
X17n0327_001:0475a18	前三位菩薩法釋之。則聞熏但成前三菩薩種性。非	前 三 位 菩 薩 法 釋 之 則 聞 熏 但 成 前 三 菩薩種性 非 
X17n0327_001:0475a19	如來種性矣。	如來種性 矣 
X17n0327_001:0475a20	結二無我末觀成得果一節。此結酬前請也。因大慧	結 二 無 我 末 觀 成 得 果 一 節 此 結 酬 前 請 也 因 大 慧 
X17n0327_001:0475a21	初聞分別自性。觀察無我。淨除妄想。炤明諸地。乃至	初 聞 分 別 自 性 觀 察 無 我 淨 除 妄 想 炤 明 諸 地 乃 至 
X17n0327_001:0475a22	逮得如來法身故。此開示五法自性二無我已畢。乃	逮 得 如來法身 故 此 開 示 五 法 自 性 二 無 我 已 畢 乃 
X17n0327_001:0475a23	顯真因。故即證成必得如來之果。勸今應當修學。乃	顯 真 因 故 即 證 成 必 得 如 來 之 果 勸 今 應 當 修 學 乃 
X17n0327_001:0475a24	總結四門。番顯正智如如。以空遣五法自性證二無	總 結 四 門 番 顯 正 智 如 如 以 空 遣 五 法 自 性 證 二 無 
X17n0327_001:0475b01	我。通示三番因果也。	我 通 示 三 番 因 果 也 
X17n0327_001:0475b02	結示五法自性二無我果相已竟。而大慧陡問建立	結 示 五 法 自 性 二 無 我 果 相 已 竟 而 大 慧 陡 問 建 立 
X17n0327_001:0475b03	誹謗二惡見者。何也。答因初問五法生起之由。世	誹 謗 二 惡 見 者 何 也 答 因 初 問 五 法 生 起 之 由 世 
X17n0327_001:0475b04	尊即說外道有無二見。為名相妄想之因。故今開示	尊 即 說 外 道 有無二見 為 名 相 妄 想 之 因 故 今 開 示 
X17n0327_001:0475b05	已明。今即問彼二種惡見從何而起也。佛答二種惡	已 明 今 即 問 彼 二 種 惡 見 從 何 而 起 也 佛 答 二 種 惡 
X17n0327_001:0475b06	見從非有而建立也。蓋非有乃無也。建立為有也。意	見 從 非 有 而 建 立 也 蓋 非 有 乃 無 也 建 立 為 有 也 意 
X17n0327_001:0475b07	謂外衟不達諸法本無。則目有為實有。及至壞滅。則	謂 外 衟 不 達 諸 法 本 無 則 目 有 為 實 有 及 至 壞 滅 則 
X17n0327_001:0475b08	目無為絕無。故有為建立。無乃誹謗。此二見所由生	目 無 為 絕 無 故 有 為 建 立 無 乃 誹 謗 此 二 見 所 由 生 
X17n0327_001:0475b09	也。此問來意幽潛。若不知來端。則經旨血脈不貫也。	也 此 問 來 意 幽 潛 若 不 知 來 端 則 經 旨 血 脈 不 貫 也 
X17n0327_001:0475b10	問曰。示二見已後。乃重都結前果者。何也。答曰。佛	問 曰 示 二 見 已 後 乃 重 都 結 前 果 者 何 也 答 曰 佛 
X17n0327_001:0475b11	意總顯唯心無外境界。其五法自性二無我等。從迷	意 總 顯 唯 心 無 外 境 界 其 五 法 自 性 二 無 我 等 從 迷 
X17n0327_001:0475b12	中來。皆因外衟有無二見。為生死本。是為大過。故今	中 來 皆 因 外 衟 有無二見 為 生 死 本 是 為 大 過 故 今 
X17n0327_001:0475b13	通遣已畢。乃結真因得果成佛之後。當單為眾生說	通 遣 已 畢 乃 結 真 因 得 果 成 佛 之 後 當 單 為 眾 生 說 
X17n0327_001:0475b14	唯心法。目破外衟有無二見為化儀。此所目為頓教	唯 心 法 目 破 外 衟 有無二見 為 化 儀 此 所 目 為 頓 教 
X17n0327_001:0475b15	法門。此經頓宗。但破外衟二乘偏邪之見。不說別斷	法 門 此 經 頓 宗 但 破 外 衟 二 乘 偏 邪 之 見 不 說 別 斷 
X17n0327_001:0475b16	煩惱。目識藏即如來藏故。但了妄想無性。則生死涅	煩 惱 目 識 藏 即 如 來 藏 故 但 了 妄 想 無 性 則 生 死 涅 
X17n0327_001:0475b17	槃平等。更無煩惱可斷。故但離二見。即頓證法身。故	槃 平 等 更 無 煩 惱 可 斷 故 但 離 二 見 即 頓 證 法 身 故 
X17n0327_001:0475b18	都結成四番因果也。	都 結 成 四 番 因 果 也 
X17n0327_001:0475b19	下第二卷	下 第 二 卷 
X17n0327_001:0475b20	問曰。顯理中示寂滅一心已歸究竟。然目如來藏并	問 曰 顯 理 中 示 寂 滅 一 心 已 歸 究 竟 然 目 如 來 藏 并 
X17n0327_001:0475b21	上一心總為顯理。且大慧又目外衟我見為問。似與	上 一 心 總 為 顯 理 且 大 慧 又 目 外 衟 我 見 為 問 似 與 
X17n0327_001:0475b22	一心之旨不同。何以總為一科。答曰。此有深旨。目	一 心 之 旨 不 同 何 以 總 為 一 科 答 曰 此 有 深 旨 目 
X17n0327_001:0475b23	經初夜叉王問佛。云何應捨有無。佛既答已。隨即示	經 初 夜 叉 王 問 佛 云 何 應 捨 有 無 佛 既 答 已 隨 即 示 
X17n0327_001:0475b24	云。寂滅者名為一心。一心者名如來藏。此則總標一	云 寂 滅 者 名 為 一 心 一 心 者 名 如 來 藏 此 則 總 標 一 
X17n0327_001:0475c01	經宗本。要顯寂滅一心。不屬迷悟。究竟不生。然所目	經 宗 本 要 顯 寂 滅 一 心 不 屬 迷 悟 究 竟 不 生 然 所 目 
X17n0327_001:0475c02	有聖凡生起者。皆如來藏隨染淨緣。轉變為生因耳。	有 聖 凡 生 起 者 皆 如 來 藏 隨 染 淨 緣 轉 變 為 生 因 耳 
X17n0327_001:0475c03	然前百八義一切皆非。目顯一心寂滅無生之旨矣。	然 前 百 八 義 一 切 皆 非 目 顯 一 心 寂 滅 無 生 之 旨 矣 
X17n0327_001:0475c04	次大慧隨問諸識有幾種生住滅。雖問識之生滅。然	次 大 慧 隨 問 諸 識 有 幾 種 生 住 滅 雖 問 識 之 生 滅 然 
X17n0327_001:0475c05	尚未審識生之因。且于一心究竟處。建立誹謗章中	尚 未 審 識 生 之 因 且 于 一 心 究 竟 處 建 立 誹 謗 章 中 
X17n0327_001:0475c06	云。非有因建立因。直說初識前無因。如此一心。豈不	云 非 有 因 建 立 因 直 說 初 識 前 無 因 如 此 一 心 豈 不 
X17n0327_001:0475c07	墮于畢竟斷滅耶。故此大慧隨問如來藏者。目前雖	墮 于 畢 竟 斷 滅 耶 故 此 大 慧 隨 問 如 來 藏 者 目 前 雖 
X17n0327_001:0475c08	明一心之旨。尚未明如來藏之義。方今將顯如來藏	明 一 心 之 旨 尚 未 明 如 來 藏 之 義 方 今 將 顯 如 來 藏 
X17n0327_001:0475c09	隨緣為染淨生法之因。要明識藏即如來藏故。後文	隨 緣 為 染 淨 生 法 之 因 要 明 識 藏 即 如 來 藏 故 後 文 
X17n0327_001:0475c10	如來藏為善不善因。目如來藏即前三種識中之真	如 來 藏 為 善 不 善 因 目 如 來 藏 即 前 三 種 識 中 之 真 
X17n0327_001:0475c11	識也。目此經不說無明為因生八識。直指如來藏即	識 也 目 此 經 不 說 無 明 為 因 生 八 識 直 指 如 來 藏 即 
X17n0327_001:0475c12	藏識。要顯妄即是真實。斯經之宗本也。不同諸教。然	藏 識 要 顯 妄 即 是 真 實 斯 經 之 宗 本 也 不 同 諸 教 然 
X17n0327_001:0475c13	大慧疑世尊說如來藏同外道我者。正是佛說阿陀	大 慧 疑 世 尊 說 如 來 藏 同 外 道 我 者 正 是 佛 說 阿 陀 
X17n0327_001:0475c14	那識甚微細。習氣種子成瀑流。我于凡愚不開演。恐	那 識 甚 微 細 習 氣 種 子 成 瀑 流 我 于 凡 愚 不 開 演 恐 
X17n0327_001:0475c15	彼分別執為我。目外衟向執藏識為神我故。今將目	彼 分 別 執 為 我 目 外 衟 向 執 藏 識 為 神 我 故 今 將 目 
X17n0327_001:0475c16	如來藏真我。目破彼計。是則外衟計有無二見。則前	如 來 藏 真 我 目 破 彼 計 是 則 外 衟 計 有無二見 則 前 
X17n0327_001:0475c17	目寂滅一心破之矣。向執我見未亡故。特目如來藏	目 寂 滅 一 心 破 之 矣 向 執 我 見 未 亡 故 特 目 如 來 藏 
X17n0327_001:0475c18	真我破之。目盡破彼計。圓滿一心故。總科為顯理究	真 我 破 之 目 盡 破 彼 計 圓 滿 一 心 故 總 科 為 顯 理 究 
X17n0327_001:0475c19	竟。義旨深潛。誠非麤浮可見也。細尋佛意。微玅難知	竟 義 旨 深 潛 誠 非 麤 浮 可 見 也 細 尋 佛 意 微 玅 難 知 
X17n0327_001:0475c20	總示正行章。破本無四句可離。頌中如是觀三有。究	總 示 正 行 章 破 本 無 四 句 可 離 頌 中 如 是 觀 三 有 究 
X17n0327_001:0475c21	竟得解脫。未後結云。為淨煩惱爾燄二種障故。譬如	竟 得 解 脫 未 後 結 云 為 淨 煩 惱 爾 燄 二 種 障 故 譬 如 
X17n0327_001:0475c22	商主。次第建立百八句無所有。足證前百八句。乃依	商 主 次 第 建 立 百 八 句 無 所 有 足 證 前 百 八 句 乃 依 
X17n0327_001:0475c23	三界作四句妄計而立。然無所有則皆非也。	三 界 作 四 句 妄 計 而 立 然 無 所 有 則 皆 非 也 
X17n0327_001:0475c24	問曰。當轉二性教中。一向說轉生死為涅槃。轉煩惱	問 曰 當 轉 二 性 教 中 一 向 說 轉 生 死 為 涅 槃 轉 煩 惱 
X17n0327_001:0476a01	成菩提。此中但說轉二自性者。何耶。答曰。此經不	成 菩 提 此 中 但 說 轉 二 自 性 者 何 耶 答 曰 此 經 不 
X17n0327_001:0476a02	同三乘別教。直指一心。不屬迷悟。目生死涅槃本來	同 三 乘 別 教 直 指 一 心 不 屬 迷 悟 目 生死涅槃 本 來 
X17n0327_001:0476a03	平等。更無可轉。但以外道不了言說性空。妄計言說	平 等 更 無 可 轉 但 以 外 道 不 了 言 說 性 空 妄 計 言 說 
X17n0327_001:0476a04	有實自性。起種種徧計。二乘不了諸法緣生無性。妄	有 實 自 性 起 種 種 徧 計 二 乘 不 了 諸 法 緣 生 無 性 妄 
X17n0327_001:0476a05	執諸法有實自性。以此二種障正知見。意謂。若了言	執 諸 法 有 實 自 性 以 此 二 種 障 正 知 見 意 謂 若 了 言 
X17n0327_001:0476a06	說性空。則徧計情亡。若了緣生無性。則依他泯性。二	說 性 空 則 徧 計 情 亡 若 了 緣 生 無 性 則 依 他 泯 性 二 
X17n0327_001:0476a07	計既亡。則圓成自顯。所目但轉二自性計著也。後廣	計 既 亡 則 圓 成 自 顯 所 目 但 轉 二 自 性 計 著 也 後 廣 
X17n0327_001:0476a08	辯四行禪。葢依此而立也。	辯 四 行 禪 葢 依 此 而 立 也 
X17n0327_001:0476a09	略示邪因果相章末。示感應二徵。結示果相。至究竟	略 示 邪 因 果 相 章 末 示 感 應 二 徵 結 示 果 相 至 究 竟 
X17n0327_001:0476a10	地。得灌頂位二加持者。此正示目真因所得之果。如	地 得 灌 頂 位 二 加 持 者 此 正 示 目 真 因 所 得 之 果 如 
X17n0327_001:0476a11	此方為真修也。	此 方 為 真 修 也 
X17n0327_001:0476a12	問曰。四種禪皆依惑亂為所觀者。何耶。答曰。目前	問 曰 四 種 禪 皆 依 惑 亂 為 所 觀 者 何 耶 答 曰 目 前 
X17n0327_001:0476a13	云惑亂起聖種性。及愚夫種性故。愚夫乃外道二乘。	云 惑 亂 起 聖 種 性 及 愚 夫 種 性 故 愚 夫 乃 外 道 二 乘 
X17n0327_001:0476a14	其禪皆惑亂也。觀察禪二種。目能觀正智。觀所觀惑	其 禪 皆 惑 亂 也 觀 察 禪 二 種 目 能 觀 正 智 觀 所 觀 惑 
X17n0327_001:0476a15	亂。目對待未泯。故為漸次。其攀緣如禪。然攀緣即惑	亂 目 對 待 未 泯 故 為 漸 次 其 攀 緣 如 禪 然 攀 緣 即 惑 
X17n0327_001:0476a16	亂也。乃名相妄想耳。觀名相妄想本如故。名攀緣如	亂 也 乃 名 相 妄 想 耳 觀 名 相 妄 想 本 如 故 名 攀 緣 如 
X17n0327_001:0476a17	禪。此二種禪。目分頓漸。名三乘禪。故觀察禪果相。則	禪 此 二 種 禪 目 分 頓 漸 名 三 乘 禪 故 觀 察 禪 果 相 則 
X17n0327_001:0476a18	從解行入初地。漸次上進。其攀緣如禪。則頓登八地。	從 解 行 入 初 地 漸 次 上 進 其 攀 緣 如 禪 則 頓 登 八 地 
X17n0327_001:0476a19	此頓漸之分也。然觀察義禪。能觀者正智。所觀者妄	此 頓 漸 之 分 也 然 觀察義禪 能 觀 者 正 智 所 觀 者 妄 
X17n0327_001:0476a20	想名相。故真妄雙舉。此乃對待而觀。故要離四句。目	想 名 相 故 真 妄 雙 舉 此 乃 對 待 而 觀 故 要 離 四 句 目 
X17n0327_001:0476a21	外道妄執四大名相。以妄想分別作四句見耳。其攀	外 道 妄 執 四 大 名 相 以 妄想分別 作 四 句 見 耳 其 攀 
X17n0327_001:0476a22	緣如禪。則直觀五陰本自如如。絕諸對待。故為頓悟。	緣 如 禪 則 直 觀 五 陰 本 自 如 如 絕 諸 對 待 故 為 頓 悟 
X17n0327_001:0476a23	于中主意。專破外道計四大造五陰。目神我為主諦。	于 中 主 意 專 破 外 道 計 四 大 造 五 陰 目 神 我 為 主 諦 
X17n0327_001:0476a24	若觀四大本空。五陰無我。即此五陰本自如如矣。	若 觀 四 大 本 空 五 陰 無 我 即 此 五 陰 本 自 如 如 矣 
X17n0327_001:0476b01	問曰。示正果中。說妄想識滅。名為涅槃。不說轉藏識。	問 曰 示 正 果 中 說 妄 想 識 滅 名 為 涅 槃 不 說 轉 藏 識 
X17n0327_001:0476b02	單說滅六識者。何也。答曰。此經宗旨。說識藏即如	單 說 滅 六 識 者 何 也 答 曰 此 經 宗 旨 說 識 藏 即 如 
X17n0327_001:0476b03	來藏。不必更轉其藏性。寂滅之體。所目不得顯現者。	來 藏 不 必 更 轉 其 藏 性 寂 滅 之 體 所 目 不 得 顯 現 者 
