X63n1234_001:0167c06	臨濟宗旨	臨 濟 宗 旨 
X63n1234_001:0169c18	味此語。苟認意度而已。譬如眾盲摸象。隨其所得為	味 此 語 苟 認 意 度 而 已 譬 如 眾 盲 摸 象 隨 其 所 得 為 
X63n1234_001:0169c19	是。故象偏為尾為蹄為腰為牙而全象隱矣。般若經	是 故 象 偏 為 尾 為 蹄 為 腰 為 牙 而 全 象 隱 矣 般 若 經 
X63n1234_001:0169c20	曰。無二無二分無別無斷故者真常也。非凝然一物	曰 無 二 無 二 分 無 別 無 斷 故 者 真 常 也 非 凝 然 一 物 
X63n1234_001:0169c21	卓然不變壞之真常也。舌相之至梵世。其可以情求	卓 然 不 變 壞 之 真 常 也 舌 相 之 至 梵 世 其 可 以 情 求 
X63n1234_001:0169c22	哉。唐僧玄奘至西竺見戒賢論師。賢時已一百六歲。	哉 唐 僧 玄 奘 至 西 竺 見 戒 賢 論 師 賢 時 已 一 百 六 歲 
X63n1234_001:0169c23	眾所宗向。號正法藏。弉修敬。訖賢使坐。問從何來。對	眾 所 宗 向 號 正 法 藏 弉 修 敬 訖 賢 使 坐 問 從 何 來 對 
X63n1234_001:0169c24	曰從支那國來。欲學瑜伽等論。於是賢流涕呼弟子。	曰 從 支 那 國 來 欲 學 瑜 伽 等 論 於 是 賢 流 涕 呼 弟 子 
X63n1234_001:0170a01	覺賢指以謂曰。我前所夢何如弟子。謂奘曰。和尚三	覺 賢 指 以 謂 曰 我 前 所 夢 何 如 弟 子 謂 奘 曰 和 尚 三 
X63n1234_001:0170a02	年前得疾危甚。如人以刀劃其腹。欲不食而死。夜夢	年 前 得 疾 危 甚 如 人 以 刀 劃 其 腹 欲 不 食 而 死 夜 夢 
X63n1234_001:0170a03	男子身金色曰。汝勿自厭其身。汝昔作貴。近多害物。	男 子 身 金 色 曰 汝 勿 自 厭 其 身 汝 昔 作 貴 近 多 害 物 
X63n1234_001:0170a04	命當自悔責。自盡何益。有支那國僧來此學法。已在	命 當 自 悔 責 自 盡 何 益 有 支 那 國 僧 來 此 學 法 已 在 
X63n1234_001:0170a05	塗矣。三年當至。以法惠彼。彼復流通。汝罪自滅。我曼	塗 矣 三 年 當 至 以 法 惠 彼 彼 復 流 通 汝 罪 自 滅 我 曼 
X63n1234_001:0170a06	殊室利也。故來曉汝耳。和尚疾損已三年。而闍梨果	殊 室 利 也 故 來 曉 汝 耳 和 尚 疾 損 已 三 年 而 闍 梨 果 
X63n1234_001:0170a07	至。前夢有徵也。子涉世多艱。蓋其夙障。聞曼殊室利	至 前 夢 有 徵 也 子 涉 世 多 艱 蓋 其 夙 障 聞 曼 殊 室 利 
X63n1234_001:0170a08	之言以法惠人。則罪自滅。故有撰述佛祖旨訣之意。	之 言 以 法 惠 人 則 罪 自 滅 故 有 撰 述 佛 祖 旨 訣 之 意 
X63n1234_001:0170a09	欲以惠人而自滅夙障耳。非有他求也。	欲 以 惠 人 而 自 滅 夙 障 耳 非 有 他 求 也 
X63n1234_001:0170a11	臨濟宗旨(終)	臨 濟 宗 旨 終 
