X54n0873_001:0330a03	 肇論序	 肇 論 序 
X54n0873_002:0338b05	寒熱於齒頰。此物不即名以就實也。如呼龜毛兔	寒 熱 於 齒 頰 此 物 不 即 名 以 就 實 也 如 呼 龜 毛 兔 
X54n0873_002:0338b06	角。豈有毛角以應求。此名不即物而履真。謂不就	角 豈 有 毛 角 以 應 求 此 名 不 即 物 而 履 真 謂 不 就 
X54n0873_002:0338b07	所呼而得實物也。是知名不就實。則有相之物皆	所 呼 而 得 實 物 也 是 知 名 不 就 實 則 有 相 之 物 皆 
X54n0873_002:0338b08	假名。物不履真。則無狀之體但虗稱。密嚴云。世間	假 名 物 不 履 真 則 無 狀 之 體 但 虗 稱 密 嚴 云 世 間 
X54n0873_002:0338b09	眾色法。但相無有餘。唯依相立名。是名無實事。物	眾 色 法 但 相 無 有 餘 唯 依 相 立 名 是 名 無 實 事 物 
X54n0873_002:0338b10	尚如此。況真諦無相。豈名言之可及乎。故下云。	尚 如 此 況 真 諦 無 相 豈 名 言 之 可 及 乎 故 下 云 
X54n0873_002:0338b11	然則真諦獨靜於名教之外。豈曰文言之能辨哉。然	然 則 真 諦 獨 靜 於 名 教 之 外 豈 曰 文 言 之 能 辨 哉 然 
X54n0873_002:0338b12	不能杜默。聊復厝言以擬之。試論之曰。	不 能 杜 默 聊 復 厝 言 以 擬 之 試 論 之 曰 
X54n0873_002:0338b13	真諦寂寥空廓。思議之所不及。離相離名。象數所	真 諦 寂 寥 空 廓 思 議 之 所 不 及 離 相 離 名 象 數 所 
X54n0873_002:0338b14	不能詮。迥出常情。故曰獨靜於名教之外。如此豈	不 能 詮 迥 出 常 情 故 曰 獨 靜 於 名 教 之 外 如 此 豈 
X54n0873_002:0338b15	語言文字所能辯哉。今為破迷執以顯正理。故不	語 言 文 字 所 能 辯 哉 今 為 破 迷 執 以 顯 正 理 故 不 
X54n0873_002:0338b16	能杜口緘默。聊復厝置其言以擬議之。略試論之	能 杜 口 緘 默 聊 復 厝 置 其 言 以 擬 議 之 略 試 論 之 
X54n0873_002:0338b17	耳。上敘意。下正論。	耳 上 敘 意 下 正 論 
X54n0873_002:0338b18	摩訶衍論云。諸法亦非有相。亦非無相。中論云。諸法	摩 訶 衍 論 云 諸 法 亦 非 有 相 亦 非 無 相 中 論 云 諸 法 
X54n0873_002:0338b19	不有不無者。第一真諦也。	不 有 不 無 者 第 一 真 諦 也 
X54n0873_002:0338b20	此引教定宗也。言諸法非有非無者。先立中道諦	此 引 教 定 宗 也 言 諸 法 非有非無 者 先 立 中 道 諦 
X54n0873_002:0338b21	體也。言不有者。即俗諦不有也。不無者。真諦不無	體 也 言 不 有 者 即 俗 諦 不 有 也 不 無 者 真 諦 不 無 
X54n0873_002:0338b22	也。以俗諦假有不真故空。真諦緣生故。不是實實	也 以 俗 諦 假 有 不 真 故 空 真 諦 緣 生 故 不 是 實 實 
X54n0873_002:0338b23	斷空。故題稱不真空。含有二義。此遮二邊以顯中	斷 空 故 題 稱 不 真 空 含 有 二 義 此 遮 二 邊 以 顯 中 
X54n0873_002:0338b24	也。故立論之初。引此二論以定綱宗。發明中道第	也 故 立 論 之 初 引 此 二 論 以 定 綱 宗 發 明 中 道 第 
X54n0873_002:0338c01	一義諦。不屬有無二邊也。下依宗斥邪。	一 義 諦 不 屬 有 無 二 邊 也 下 依 宗 斥 邪 
X54n0873_002:0338c02	尋夫不有不無者。豈謂滌除萬物。杜塞視聽。寂寥虗	尋 夫 不 有 不 無 者 豈 謂 滌 除 萬 物 杜 塞 視 聽 寂 寥 虗 
X54n0873_002:0338c03	豁。然後為真諦者乎。	豁 然 後 為 真 諦 者 乎 
X54n0873_002:0338c04	此斥邪謬。先破本無一宗也。以本無宗義。謂非有。	此 斥 邪 謬 先 破 本 無 一 宗 也 以 本 無 宗 義 謂 非 有 
X54n0873_002:0338c05	有亦無。非無。無亦無。有無俱絕。不達緣生千化之	有 亦 無 非 無 無 亦 無 有 無 俱 絕 不 達 緣 生 千 化 之 
X54n0873_002:0338c06	有。故墮斷空。以此斷空絕無一法。故云滌除萬物。	有 故 墮 斷 空 以 此 斷 空 絕 無 一 法 故 云 滌 除 萬 物 
X54n0873_002:0338c07	聞見俱泯。故云杜塞視聽。古人呼此為豁達空。故	聞 見 俱 泯 故 云 杜 塞 視 聽 古 人 呼 此 為 豁 達 空 故 
X54n0873_002:0338c08	云寂寥虗豁。意謂不有不無者。蓋是雙非二邊。以	云 寂 寥 虗 豁 意 謂 不 有 不 無 者 蓋 是 雙 非 二 邊 以 
X54n0873_002:0338c09	顯中道第一義諦。豈以豁達斷空為真諦乎。古德	顯 中 道 第一義諦 豈 以 豁 達 斷 空 為 真 諦 乎 古 德 
X54n0873_002:0338c10	云。寧起有見如須彌山。不起無見如芥子許。永嘉	云 寧 起 有 見 如須彌山 不 起 無 見 如 芥 子 許 永 嘉 
X54n0873_002:0338c11	云。豁達空。撥因果。莽莽蕩蕩招殃禍。以此一宗為	云 豁 達 空 撥 因 果 莽 莽 蕩 蕩 招 殃 禍 以 此 一 宗 為 
X54n0873_002:0338c12	害甚巨。眾聖所呵。正在所破。故論開端即痛斥之。	害 甚 巨 眾 聖 所 呵 正 在 所 破 故 論 開 端 即 痛 斥 之 
X54n0873_002:0338c13	急欲令人發起大乘正信也。下顯正義。	急 欲 令 人 發 起 大 乘 正 信 也 下 顯 正 義 
X54n0873_002:0338c14	誠以即物順通。故物莫之逆。(此顯正義。言非有者。在即物以順通其理。故物	誠 以 即 物 順 通 故 物 莫 之 逆 此 顯 正 義 言 非 有 者 在 即 物 以 順 通 其 理 故 物 
X54n0873_002:0338c15	物順理而不逆。是為非有)即偽即真。故性莫之易。(言諸法緣生虗假。故即假即真。	物 順 理 而 不 逆 是 為 非 有 即 偽 即 真 故 性 莫 之 易 言 諸 法 緣 生 虗 假 故 即 假 即 真 
X54n0873_002:0338c16	不必改易然後為真。若改易求真。是為析色非真空也。故為非無)性莫之易。故雖無	不 必 改 易 然 後 為 真 若 改 易 求 真 是 為 析 色 非 真 空 也 故 為 非 無 性 莫 之 易 故 雖 無 
X54n0873_002:0338c17	而有。(不是實無)物莫之逆。故雖有而無。(不是實有)雖有而無。所	而 有 不 是 實 無 物 莫 之 逆 故 雖 有 而 無 不 是 實 有 雖 有 而 無 所 
X54n0873_002:0338c18	謂非有。(結以不真故空)雖無而有。所謂非無。(結不是實空)如此。則	謂 非 有 結 以 不 真 故 空 雖 無 而 有 所 謂 非 無 結 不 是 實 空 如 此 則 
X54n0873_002:0338c19	非無物也。(言非是絕無。正破所執)物非真物。(但物非真物耳。正出論義)物非	非 無 物 也 言 非 是 絕 無 正 破 所 執 物 非 真 物 但 物 非 真 物 耳 正 出 論 義 物 非 
X54n0873_002:0338c20	真物。(非真。即題稱不真)故於何而可物(不可物。即題稱空義)。	真 物 非 真 即 題 稱 不 真 故 於 何 而 可 物 不 可 物 即 題 稱 空 義 
X54n0873_002:0338c21	反覆論議非有非無。以釋成不真空義。以破本無	反 覆 論 議 非有非無 以 釋 成 不 真 空 義 以 破 本 無 
X54n0873_002:0338c22	之妄計也。蓋即有以明空。是謂妙空。即空以明有。	之 妄 計 也 蓋 即 有 以 明 空 是 謂 妙 空 即 空 以 明 有 
X54n0873_002:0338c23	是謂妙有。不真一語。盡大乘空義。真諦之理。妙極	是 謂 妙 有 不 真 一 語 盡 大 乘 空 義 真 諦 之 理 妙 極 
X54n0873_002:0338c24	於斯。	於 斯 
X54n0873_002:0339a01	故經云。色之性空。非色敗空。以明夫聖人之於物也。	故 經 云 色 之 性 空 非 色 敗 空 以 明 夫 聖 人 之 於 物 也 
X54n0873_002:0339a02	即萬物之自虗。豈待宰割以求通哉。	即 萬 物 之 自 虗 豈 待 宰 割 以 求 通 哉 
X54n0873_002:0339a03	此下依宗廣辨。以明二諦無雙。以顯中道第一義	此 下 依 宗 廣 辨 以 明 二 諦 無 雙 以 顯 中 道 第 一 義 
X54n0873_002:0339a04	諦也。文有三段。初色空不二。次真俗不二。三有無	諦 也 文 有 三 段 初 色 空 不 二 次 真 俗 不 二 三 有 無 
X54n0873_002:0339a05	不二。今初。色性自空。在色即是空。非色敗為空。此	不 二 今 初 色 性 自 空 在 色 即 是 空 非 色 敗 為 空 此 
X54n0873_002:0339a06	正顯色空不二也。是故聖人即萬法以見性空。以	正 顯 色 空 不 二 也 是 故 聖 人 即 萬 法 以 見 性 空 以 
X54n0873_002:0339a07	萬法本性自空。故不待宰割分析然後為空也。彼	萬 法 本 性 自 空 故 不 待 宰 割 分 析 然 後 為 空 也 彼 
X54n0873_002:0339a08	計本無者。豈不淪於斷滅耶。	計 本 無 者 豈 不 淪 於 斷 滅 耶 
X54n0873_002:0339a09	是以寢疾有不真之談。超日有即虗之稱。然則三藏	是 以 寢 疾 有 不 真 之 談 超 日 有 即 虗 之 稱 然 則 三 藏 
X54n0873_002:0339a10	殊文。統之者一也。	殊 文 統 之 者 一 也 
X54n0873_002:0339a11	此引二經以證色空不二之義也。淨名云。菩薩病	此 引 二 經 以 證 色 空 不 二 之 義 也 淨 名 云 菩 薩 病 
X54n0873_002:0339a12	者。非真非有。超日明三昧經云。不有受。不保命。四	者 非 真 非 有 超 日 明 三 昧 經 云 不 有 受 不 保 命 四 
X54n0873_002:0339a13	大虗也。非但二經明色性空義。即三藏殊文。皆顯	大 虗 也 非 但 二 經 明 色 性 空 義 即 三 藏 殊 文 皆 顯 
X54n0873_002:0339a14	色空不二之旨。故曰統之者一也。	色 空 不 二 之 旨 故 曰 統 之 者 一 也 
X54n0873_002:0339a15	故放光云。第一真諦。無成無得。世俗諦故。便有成有	故 放 光 云 第 一 真 諦 無 成 無 得 世 俗 諦 故 便 有 成 有 
X54n0873_002:0339a16	得。	得 
X54n0873_002:0339a17	次明真俗不二也。先引經約成得以定二諦。以真	次 明 真 俗 不 二 也 先 引 經 約 成 得 以 定 二 諦 以 真 
X54n0873_002:0339a18	諦離緣。故無成得。俗諦緣生。故有成得。	諦 離 緣 故 無 成 得 俗 諦 緣 生 故 有 成 得 
X54n0873_002:0339a19	夫有得即是無得之偽號。無得即是有得之真名。	夫 有 得 即 是 無 得 之 偽 號 無 得 即 是 有 得 之 真 名 
X54n0873_002:0339a20	此約真偽以分真俗。以真俗諦緣生故假。故曰偽	此 約 真 偽 以 分 真 俗 以 真 俗 諦 緣 生 故 假 故 曰 偽 
X54n0873_002:0339a21	號。從無住本立一切法。故無得是有得真名。	號 從 無 住 本 立 一 切 法 故 無 得 是 有 得 真 名 
X54n0873_002:0339a22	真名故。雖真而非有。偽號故。雖偽而非無。	真 名 故 雖 真 而 非 有 偽 號 故 雖 偽 而 非 無 
X54n0873_002:0339a23	此下約雙非以明不二。先出所以。良由有依真立。	此 下 約 雙 非 以 明 不 二 先 出 所 以 良 由 有 依 真 立 
X54n0873_002:0339a24	故有而非有。真自隨緣。故無而不無。	故 有 而 非 有 真 自 隨 緣 故 無 而 不 無 
X54n0873_002:0339b01	是以言真未嘗有。(以物即真。故未嘗有)言偽未嘗無。(隨緣建立故不無)	是 以 言 真 未 嘗 有 以 物 即 真 故 未 嘗 有 言 偽 未 嘗 無 隨 緣 建 立 故 不 無 
X54n0873_002:0339b02	二言未始一。二理未始殊。(言異而旨一)故經云。真諦俗諦	二 言 未 始 一 二 理 未 始 殊 言 異 而 旨 一 故 經 云 真 諦 俗 諦 
X54n0873_002:0339b03	謂有異耶。答曰無異也。(正顯不二)此經直辯真諦以明非	謂 有 異 耶 答 曰 無 異 也 正 顯 不 二 此 經 直 辯 真 諦 以 明 非 
X54n0873_002:0339b04	有。俗諦以明非無。豈以諦二而二於物哉。	有 俗 諦 以 明 非 無 豈 以 諦 二 而 二 於 物 哉 
X54n0873_002:0339b05	放光已下。通明真俗不二之旨也。物。指中道理。古	放 光 已 下 通 明 真 俗 不 二 之 旨 也 物 指 中 道 理 古 
X54n0873_002:0339b06	德云。二諦並非雙。言單未曾各。宗門謂一雙孤鴈。	德 云 二 諦 並 非 雙 言 單 未 曾 各 宗 門 謂 一 雙 孤 鴈 
X54n0873_002:0339b07	搏地高飛。一對鴛鴦。池邊獨立。曹洞賓主五位。正	搏 地 高 飛 一 對 鴛 鴦 池 邊 獨 立 曹 洞 賓 主 五 位 正 
X54n0873_002:0339b08	偏兼帶。照用同時。雖發明向上。實顯理事混融。真	偏 兼 帶 照 用 同 時 雖 發 明 向 上 實 顯 理 事 混 融 真 
X54n0873_002:0339b09	俗不二之旨。苟悟即真。自然得大機用矣。	俗 不 二 之 旨 苟 悟 即 真 自 然 得 大 機 用 矣 
X54n0873_002:0339b10	然則萬物果有其所以不有。有其所以不無。	然 則 萬 物 果 有 其 所 以 不 有 有 其 所 以 不 無 
X54n0873_002:0339b11	此下三辨有無不二也。此以二語徵起。果。實也。謂	此 下 三 辨 有 無 不 二 也 此 以 二 語 徵 起 果 實 也 謂 
X54n0873_002:0339b12	萬物果有其不有。果有其不無耶。且徵定。下四句	萬 物 果 有 其 不 有 果 有 其 不 無 耶 且 徵 定 下 四 句 
X54n0873_002:0339b13	釋也。	釋 也 
X54n0873_002:0339b14	有其所以不有。故雖有而非有。有其所以不無。故雖	有 其 所 以 不 有 故 雖 有 而 非 有 有 其 所 以 不 無 故 雖 
X54n0873_002:0339b15	無而非無。	無 而 非 無 
X54n0873_002:0339b16	釋不有不無義也。謂果有真空。則幻有是假。故雖	釋 不 有 不 無 義 也 謂 果 有 真 空 則 幻 有 是 假 故 雖 
X54n0873_002:0339b17	有而不有。果有妙有。則無非斷滅。故雖無不無。故	有 而 不 有 果 有 妙 有 則 無 非 斷 滅 故 雖 無 不 無 故 
X54n0873_002:0339b18	下成正義。	下 成 正 義 
X54n0873_002:0339b19	雖無而非無。無者不絕虗。(非豁達斷空)雖有而非有。有者	雖 無 而 非 無 無 者 不 絕 虗 非 豁 達 斷 空 雖 有 而 非 有 有 者 
X54n0873_002:0339b20	非真有。(謂是緣生假有。故非實有)若有不即真。(謂不實有)無不夷跡。然	非 真 有 謂 是 緣 生 假 有 故 非 實 有 若 有 不 即 真 謂 不 實 有 無 不 夷 跡 然 
X54n0873_002:0339b21	則有無稱異。其致一也。	則 有 無 稱 異 其 致 一 也 
X54n0873_002:0339b22	此結成有無。總顯不二之義也。謂若有不是實有。	此 結 成 有 無 總 顯 不 二 之 義 也 謂 若 有 不 是 實 有 
X54n0873_002:0339b23	當即有以觀無。則無非實無。不必芟夷其跡。然後	當 即 有 以 觀 無 則 無 非 實 無 不 必 芟 夷 其 跡 然 後 
X54n0873_002:0339b24	為無也。若芟夷其跡。則為析色。若絕無。則墮斷滅。	為 無 也 若 芟 夷 其 跡 則 為 析 色 若 絕 無 則 墮 斷 滅 
X54n0873_002:0339c01	以真諦之理。本非有無。故稱異而致一也。上顯真	以 真 諦 之 理 本 非 有 無 故 稱 異 而 致 一 也 上 顯 真 
X54n0873_002:0339c02	俗不二。下引經斥迷。以攝歸真。	俗 不 二 下 引 經 斥 迷 以 攝 歸 真 
X54n0873_002:0339c03	故童子歎曰。說法不有亦不無。以因緣故諸法生。	故 童 子 歎 曰 說 法 不 有 亦 不 無 以 因 緣 故 諸 法 生 
X54n0873_002:0339c04	引經證成。攝歸真諦非有非無也。楞嚴云。真性有	引 經 證 成 攝 歸 真 諦 非有非無 也 楞 嚴 云 真 性 有 
X54n0873_002:0339c05	為空。緣生故如幻。無為無起滅。不實如空華。以從	為 空 緣 生 故 如 幻 無 為 無 起 滅 不 實 如 空 華 以 從 
X54n0873_002:0339c06	因緣。故非有無。	因 緣 故 非 有 無 
X54n0873_002:0339c07	瓔珞經云。轉法輪者。亦非有轉。亦非無轉。是謂轉無	瓔 珞 經 云 轉 法 輪 者 亦 非 有 轉 亦 非 無 轉 是 謂 轉 無 
X54n0873_002:0339c08	所轉。此乃眾經之微言也。	所 轉 此 乃 眾 經 之 微 言 也 
X54n0873_002:0339c09	良以說法非有非無。故法輪轉無所轉。諸大乘經	良 以 說 法 非有非無 故 法 輪 轉 無 所 轉 諸 大 乘 經 
X54n0873_002:0339c10	唯明此理。而人不達。妄執定有定無。故下斥破。	唯 明 此 理 而 人 不 達 妄 執 定 有 定 無 故 下 斥 破 
X54n0873_002:0339c11	何者。謂物無耶。則邪見非惑。謂物有耶。則常見為得。	何 者 謂 物 無 耶 則 邪 見 非 惑 謂 物 有 耶 則 常 見 為 得 
X54n0873_002:0339c12	將斥迷謬。先縱顯俱非也。謂法果實無。則執斷之	將 斥 迷 謬 先 縱 顯 俱 非 也 謂 法 果 實 無 則 執 斷 之 
X54n0873_002:0339c13	邪見非惑矣。若法果實有。則執常者為得矣。	邪 見 非 惑 矣 若 法 果 實 有 則 執 常 者 為 得 矣 
X54n0873_002:0339c14	以物非無。故邪見為惑。(此正破本無心無二宗)以物非有。故常	以 物 非 無 故 邪 見 為 惑 此 正 破 本 無 心 無 二 宗 以 物 非 有 故 常 
X54n0873_002:0339c15	見不得。(此破即色一宗)然則非有非無者。信真諦之談也。	見 不 得 此 破 即 色 一 宗 然 則 非有非無 者 信 真 諦 之 談 也 
X54n0873_002:0339c16	斥破迷謬。以攝歸真諦也。上約三種不二。反覆覈	斥 破 迷 謬 以 攝 歸 真 諦 也 上 約 三 種 不 二 反 覆 覈 
X54n0873_002:0339c17	論非有非無。以祛迷執。苟契雙非。不墮二邊。則真	論 非有非無 以 祛 迷 執 苟 契 雙 非 不墮二邊 則 真 
X54n0873_002:0339c18	諦自顯矣。	諦 自 顯 矣 
X54n0873_002:0339c19	故道行云。心亦不有亦不無。中觀云。物從因緣故不	故 道 行 云 心 亦 不 有 亦 不 無 中 觀 云 物 從 因 緣 故 不 
X54n0873_002:0339c20	有。緣起故不無。尋理即其然矣。	有 緣 起 故 不 無 尋 理 即 其 然 矣 
X54n0873_002:0339c21	此下至顯於茲矣一段。正顯不真空義。初引道行	此 下 至 顯 於 茲 矣 一 段 正 顯 不 真 空 義 初 引 道 行 
X54n0873_002:0339c22	立義。次引中觀。約緣生無性以明不真。論云。因緣	立 義 次 引 中 觀 約 緣 生 無 性 以 明 不 真 論 云 因 緣 
X54n0873_002:0339c23	所生法。我說即是空。亦名為假名。亦名中道義。以	所 生 法 我 說 即 是 空 亦 名 為 假 名 亦 名 中 道 義 以 
X54n0873_002:0339c24	從緣生是假。故不有。既從緣起。則本不有而今有	從 緣 生 是 假 故 不 有 既 從 緣 起 則 本 不 有 而 今 有 
X54n0873_002:0340a01	之。故云不無。由假故不真。為空。以緣起故不實無。	之 故 云 不 無 由 假 故 不 真 為 空 以 緣 起 故 不 實 無 
X54n0873_002:0340a02	故不是真空。	故 不 是 真 空 
X54n0873_002:0340a03	所以然者。(此下辨非有無)夫有若真(實也)有。有自(一向)常有。豈待	所 以 然 者 此 下 辨 非 有 無 夫 有 若 真 實 也 有 有 自 一 向 常 有 豈 待 
X54n0873_002:0340a04	緣(會聚)而後有哉。譬彼真無。無自常無。豈待緣而後無	緣 會 聚 而 後 有 哉 譬 彼 真 無 無 自 常 無 豈 待 緣 而 後 無 
X54n0873_002:0340a05	也。若有不自有。待緣而後有者。故知有非真(實也)有。有	也 若 有 不 自 有 待 緣 而 後 有 者 故 知 有 非 真 實 也 有 有 
X54n0873_002:0340a06	非真(實也)有。雖有不可謂之有矣。(上釋非有)不無者。夫無則	非 真 實 也 有 雖 有 不 可 謂 之 有 矣 上 釋 非 有 不 無 者 夫 無 則 
X54n0873_002:0340a07	湛(凝也)然不動。(變也)可(許也)謂之無。萬物若無。則不應起。起	湛 凝 也 然 不 動 變 也 可 許 也 謂 之 無 萬 物 若 無 則 不 應 起 起 
X54n0873_002:0340a08	則非無。以明緣起故不無也。	則 非 無 以 明 緣 起 故 不 無 也 
X54n0873_002:0340a09	此約因緣以明非有非無也。謂若有是實有。則一	此 約 因 緣 以 明 非有非無 也 謂 若 有 是 實 有 則 一 
X54n0873_002:0340a10	向自有。不待緣會而後有矣。譬彼真無亦不待緣。	向 自 有 不 待 緣 會 而 後 有 矣 譬 彼 真 無 亦 不 待 緣 
X54n0873_002:0340a11	今既待緣生。則非實有矣。若無則湛然不動。可謂	今 既 待 緣 生 則 非 實 有 矣 若 無 則 湛然不動 可 謂 
X54n0873_002:0340a12	之無。湛然者。以始教相宗。不許真如隨緣。謂凝然	之 無 湛 然 者 以 始 教 相 宗 不 許 真 如 隨 緣 謂 凝 然 
X54n0873_002:0340a13	不變。故論主出此文以破執無之見。意謂真如既	不 變 故 論 主 出 此 文 以 破 執 無 之 見 意 謂 真 如 既 
X54n0873_002:0340a14	已隨緣成一切法。則非凝然不變矣。以真如有不	已 隨 緣 成 一 切 法 則 非 凝 然 不 變 矣 以 真 如 有 不 
X54n0873_002:0340a15	變隨緣。隨緣不變二義。下引論證成。	變 隨 緣 隨 緣 不 變 二 義 下 引 論 證 成 
X54n0873_002:0340a16	故摩訶衍論云。一切諸法。一切因緣故應有。一切諸	故 摩 訶 衍 論 云 一切諸法 一切因緣 故 應 有 一 切 諸 
X54n0873_002:0340a17	法。一切因緣故不應有。一切無法。一切因緣故應有。	法 一切因緣 故 不 應 有 一 切 無 法 一切因緣 故 應 有 
X54n0873_002:0340a18	一切有法。一切因緣故不應有。(下斥異見)尋此有無之言。	一 切 有 法 一切因緣 故 不 應 有 下 斥 異 見 尋 此 有 無 之 言 
X54n0873_002:0340a19	豈直反論而已哉。	豈 直 反 論 而 已 哉 
X54n0873_002:0340a20	此引大論。重釋因緣義也。謂諸法既屬因緣。則本	此 引 大 論 重 釋 因 緣 義 也 謂 諸 法 既 屬 因 緣 則 本 
X54n0873_002:0340a21	非有無。是知無屬因緣。則非斷無。有屬因緣。則非	非 有 無 是 知 無 屬 因 緣 則 非 斷 無 有 屬 因 緣 則 非 
X54n0873_002:0340a22	實有。尋思此言。豈但相反之論而已哉。其意特顯	實 有 尋 思 此 言 豈 但 相 反 之 論 而 已 哉 其 意 特 顯 
X54n0873_002:0340a23	諸法非有非無義也。良以佛說因緣二字。破盡外	諸 法 非有非無 義 也 良 以 佛 說 因 緣 二 字 破 盡 外 
X54n0873_002:0340a24	道斷常之疑。故論宗此以斥異見。	道 斷 常 之 疑 故 論 宗 此 以 斥 異 見 
X54n0873_002:0340b01	若應有。即是有。不應言無。若應無。即是無。不應言有。	若 應 有 即 是 有 不 應 言 無 若 應 無 即 是 無 不 應 言 有 
X54n0873_002:0340b02	此言申相反意。謂法應是實有。則不當言無。若應	此 言 申 相 反 意 謂 法 應 是 實 有 則 不 當 言 無 若 應 
X54n0873_002:0340b03	是實無。則不當言有。今言非有非無者。正以假而	是 實 無 則 不 當 言 有 今 言 非有非無 者 正 以 假 而 
X54n0873_002:0340b04	非真。故言非有非無耳。下釋異同。	非 真 故 言 非有非無 耳 下 釋 異 同 
X54n0873_002:0340b05	言有。是為假有以明非無。借無以辨非有。此事一稱	言 有 是 為 假 有 以 明 非 無 借 無 以 辨 非 有 此 事 一 稱 
X54n0873_002:0340b06	二。其文有似不同。苟領其所同。則無異而不同。	二 其 文 有 似 不 同 苟 領 其 所 同 則 無 異 而 不 同 
X54n0873_002:0340b07	此釋異同以明不二也。今言有無者。但是假借有	此 釋 異 同 以 明 不 二 也 今 言 有 無 者 但 是 假 借 有 
X54n0873_002:0340b08	無。以明非無非有耳。非實有有無作實法也。其實	無 以 明 非 無 非 有 耳 非 實 有 有 無 作 實 法 也 其 實 
X54n0873_002:0340b09	一體。但稱說似有不同。苟能領會一真之理。則萬	一 體 但 稱 說 似 有 不 同 苟 能 領 會 一 真 之 理 則 萬 
X54n0873_002:0340b10	法唯真。無異而不同也。下顯不真空義。	法 唯 真 無 異 而 不 同 也 下 顯 不 真 空 義 
X54n0873_002:0340b11	然則萬法果有其所以不有。不可得而有。有其所以	然 則 萬 法 果 有 其 所 以 不 有 不 可 得 而 有 有 其 所 以 
X54n0873_002:0340b12	不無。不可得而無。	不 無 不 可 得 而 無 
X54n0873_002:0340b13	此辨雙非以顯不真空義也。謂萬法實不有。豈可	此 辨 雙 非 以 顯 不 真 空 義 也 謂 萬 法 實 不 有 豈 可 
X54n0873_002:0340b14	強執為有耶。諸法果不無。豈可強執為無耶。故不	強 執 為 有 耶 諸 法 果 不 無 豈 可 強 執 為 無 耶 故 不 
X54n0873_002:0340b15	可定執為有為無也。	可 定 執 為 有 為 無 也 
X54n0873_002:0340b16	何則。(徵釋雙非)欲言其有。有非真(實也)生。欲言其無。事象既	何 則 徵 釋 雙 非 欲 言 其 有 有 非 真 實 也 生 欲 言 其 無 事 象 既 
X54n0873_002:0340b17	形。象形不即無。非真非實有。然則不真空義。顯於茲	形 象 形 不 即 無 非 真 非 實 有 然 則 不 真 空 義 顯 於 茲 
X54n0873_002:0340b18	矣。	矣 
X54n0873_002:0340b19	此顯雙非。結歸不真空義。以呈觀體也。若言實有。	此 顯 雙 非 結 歸 不 真 空 義 以 呈 觀 體 也 若 言 實 有 
X54n0873_002:0340b20	則緣會而生。本自無生。故非真實生也。若言實無。	則 緣 會 而 生 本 自 無 生 故 非 真 實 生 也 若 言 實 無 
X54n0873_002:0340b21	則緣起即形。隨緣成事。則非實無也。二者皆非真	則 緣 起 即 形 隨 緣 成 事 則 非 實 無 也 二 者 皆 非 真 
X54n0873_002:0340b22	實。故題稱曰不真空。義顯於茲。良以不真故空。故	實 故 題 稱 曰 不 真 空 義 顯 於 茲 良 以 不 真 故 空 故 
X54n0873_002:0340b23	非實有絕無也。前約緣性無生以明不真竟。下約	非 實 有 絕 無 也 前 約 緣 性 無 生 以 明 不 真 竟 下 約 
X54n0873_002:0340b24	名實無當以明不真。	名 實 無 當 以 明 不 真 
X54n0873_002:0340c01	故放光云。諸法假號不真。譬如幻化人。非無幻化人。	故 放 光 云 諸 法 假 號 不 真 譬 如 幻 化 人 非 無 幻 化 人 
X54n0873_002:0340c02	幻化人。非真人也。	幻 化 人 非 真 人 也 
X54n0873_002:0340c03	此引經證成不真義也。彼經二十七云。須菩提。名	此 引 經 證 成 不 真 義 也 彼 經 二 十 七 云 須 菩 提 名 
X54n0873_002:0340c04	字者不真。假號為名。以假故不真。謂但非實有。非	字 者 不 真 假 號 為 名 以 假 故 不 真 謂 但 非 實 有 非 
X54n0873_002:0340c05	絕無也。故如幻化人。非無幻化人。但非真人耳。	絕 無 也 故 如 幻 化 人 非 無 幻 化 人 但 非 真 人 耳 
X54n0873_002:0340c06	夫以名求物。物無當名之實。以物求名。名無得物之	夫 以 名 求 物 物 無 當 名 之 實 以 物 求 名 名 無 得 物 之 
X54n0873_002:0340c07	功。	功 
X54n0873_002:0340c08	此以假名釋非有非無也。以名求物。如呼木賊地	此 以 假 名 釋 非有非無 也 以 名 求 物 如 呼 木 賊 地 
X54n0873_002:0340c09	龍等物。豈有真賊真龍以當其名耶。以物求名。如	龍 等 物 豈 有 真 賊 真 龍 以 當 其 名 耶 以 物 求 名 如 
X54n0873_002:0340c10	召火呼冰。豈實有寒熱以及齒頰耶。足知名實無	召 火 呼 冰 豈 實 有 寒 熱 以 及 齒 頰 耶 足 知 名 實 無 
X54n0873_002:0340c11	當。	當 
X54n0873_002:0340c12	物無當名之實。非物也。名無得物之功。非名也。是以	物 無 當 名 之 實 非 物 也 名 無 得 物 之 功 非 名 也 是 以 
X54n0873_002:0340c13	名不當實。實不當名。名實無當。萬物安在。	名 不 當 實 實 不 當 名 名 實 無 當 萬 物 安 在 
X54n0873_002:0340c14	名實無當。則名相元虗。求物而不可得。則妄想不	名 實 無 當 則 名 相 元 虗 求 物 而 不 可 得 則 妄 想 不 
X54n0873_002:0340c15	有。此心境兩空。真俗不立。中道之旨。於是乎顯矣。	有 此 心 境 兩 空 真 俗 不 立 中 道 之 旨 於 是 乎 顯 矣 
