X63n1255_001:0737b06	禪家龜鑑	禪 家 龜 鑑 
X63n1255_001:0739c21	昔仰山答溈山問云。涅槃經四十卷總是魔說。此	昔 仰 山 答 溈 山 問 云 涅 槃 經 四 十 卷 總 是 魔 說 此 
X63n1255_001:0739c22	仰山之正眼也。仰山又問行履處。溈山答曰只貴	仰 山 之 正 眼 也 仰 山 又 問 行 履 處 溈 山 答 曰 只 貴 
X63n1255_001:0739c23	子眼正。云此所以先開正眼而後說行履也。故云	子 眼 正 云 此 所 以 先 開 正 眼 而 後 說 行 履 也 故 云 
X63n1255_001:0739c24	若欲修行先須頓悟。	若 欲 修 行 先 須 頓 悟 
X63n1255_001:0740a01	願諸道者深信自心。不自屈不自高。	願 諸 道 者 深 信 自 心 不 自 屈 不 自 高 
X63n1255_001:0740a02	此心平等本無凡聖。然約人有迷悟凡聖也。因師	此 心 平 等 本 無 凡 聖 然 約 人 有 迷 悟 凡 聖 也 因 師 
X63n1255_001:0740a03	激發忽悟真我與佛無殊者頓也。此所以不自屈。	激 發 忽 悟 真 我 與 佛 無 殊 者 頓 也 此 所 以 不 自 屈 
X63n1255_001:0740a04	如云本來無一物也。因悟斷習轉凡成聖者漸也。	如 云 本 來 無 一 物 也 因 悟 斷 習 轉 凡 成 聖 者 漸 也 
X63n1255_001:0740a05	此所以不自高。如云時時勤拂拭也。屈者教學者	此 所 以 不 自 高 如 云 時 時 勤 拂 拭 也 屈 者 教 學 者 
X63n1255_001:0740a06	病也。高者禪學者病也。教學者不信禪門有悟入	病 也 高 者 禪 學 者 病 也 教 學 者 不 信 禪 門 有 悟 入 
X63n1255_001:0740a07	之秘訣。深滯權教別執真妄。不修觀行數佗珍寶。	之 秘 訣 深 滯 權 教 別 執 真 妄 不 修 觀 行 數 佗 珍 寶 
X63n1255_001:0740a08	故自生退屈也。禪學者不信教門有修斷之正路。	故 自 生 退 屈 也 禪 學 者 不 信 教 門 有 修 斷 之 正 路 
X63n1255_001:0740a09	染習雖起不生慚愧。果級雖初多有法慢。故發言	染 習 雖 起 不 生 慚 愧 果 級 雖 初 多 有 法 慢 故 發 言 
X63n1255_001:0740a10	過高也。是故得意修心者不自屈不自高也。	過 高 也 是 故 得 意 修 心 者 不 自 屈 不 自 高 也 
X63n1255_001:0740a11	評曰。不自屈不自高者。略舉初心。因該果海則	評 曰 不 自 屈 不 自 高 者 略 舉 初 心 因 該 果 海 則 
X63n1255_001:0740a12	雖信之一位也。廣舉菩薩。果徹因源則五十五	雖 信 之 一 位 也 廣 舉 菩 薩 果 徹 因 源 則 五 十 五 
X63n1255_001:0740a13	位也。	位 也 
X63n1255_001:0740a14	迷心修道但助無明。	迷 心 修 道 但 助 無 明 
X63n1255_001:0740a15	悟若未徹。修豈稱真哉。悟修之義。如膏明相賴目	悟 若 未 徹 修 豈 稱 真 哉 悟 修 之 義 如 膏 明 相 賴 目 
X63n1255_001:0740a16	足相資。	足 相 資 
X63n1255_001:0740a17	修行之要。但盡凡情別無聖解。	修 行 之 要 但 盡 凡 情 別 無 聖 解 
X63n1255_001:0740a18	病盡藥除。還是本人。	病 盡 藥 除 還 是 本 人 
X63n1255_001:0740a19	不用捨眾生心。但莫染污自性。求正法是邪。	不 用 捨 眾 生 心 但 莫 染 污 自 性 求 正 法 是 邪 
X63n1255_001:0740a20	捨者求者皆是染污也。	捨 者 求 者 皆 是 染 污 也 
X63n1255_001:0740a21	斷煩惱名二乘。煩惱不生名大涅槃。	斷 煩 惱 名 二 乘 煩 惱 不 生 名 大 涅 槃 
X63n1255_001:0740a22	斷者能所也。不生者無能所也。	斷 者 能 所 也 不 生 者 無 能 所 也 
X63n1255_001:0740a23	須虗懷自照。信一念緣起無生。	須 虗 懷 自 照 信 一 念 緣 起 無 生 
X63n1255_001:0740a24	此單明性起。	此 單 明 性 起 
X63n1255_001:0740b01	諦觀殺盜婬妄從一心上起。當處便寂。何須更斷。	諦 觀 殺 盜 婬 妄 從 一 心 上 起 當 處 便 寂 何 須 更 斷 
X63n1255_001:0740b02	此雙明性相。	此 雙 明 性 相 
X63n1255_001:0740b03	經云。不起一念名為永斷無明。又云念起即覺。	經 云 不 起 一 念 名 為 永 斷 無 明 又 云 念 起 即 覺 
X63n1255_001:0740b04	知幻即離不作方便。離幻即覺亦無漸次。	知 幻 即 離 不 作 方 便 離 幻 即 覺 亦 無 漸 次 
X63n1255_001:0740b05	心為幻師也。身為幻城也。世界幻衣也。名相幻食	心 為 幻 師 也 身 為 幻 城 也 世 界 幻 衣 也 名 相 幻 食 
X63n1255_001:0740b06	也。至於起心動念言妄言真。無非幻也。又無始幻	也 至 於 起 心 動 念 言 妄 言 真 無 非 幻 也 又 無 始 幻 
X63n1255_001:0740b07	無明皆從覺心生。幻幻如空花。幻滅名不動。故夢	無 明 皆 從 覺 心 生 幻 幻 如 空 花 幻 滅 名 不 動 故 夢 
X63n1255_001:0740b08	瘡求醫者。寤來無方便。知幻者亦如是。	瘡 求 醫 者 寤 來 無 方 便 知 幻 者 亦 如 是 
X63n1255_001:0740b09	眾生於無生中妄見生死涅槃。如見空花起滅。	眾 生 於 無 生 中 妄 見 生死涅槃 如 見 空 花 起 滅 
X63n1255_001:0740b10	性本無生故無生涅也。空本無花故無起滅也。見	性 本 無 生 故 無 生 涅 也 空 本 無 花 故 無 起 滅 也 見 
X63n1255_001:0740b11	生死者如見空花起也。見涅槃者如見空花滅也。	生 死 者 如 見 空 花 起 也 見 涅 槃 者 如 見 空 花 滅 也 
X63n1255_001:0740b12	然起本無起滅本無滅。於此二見不用窺詰。是故	然 起 本 無 起 滅 本 無 滅 於 此 二 見 不 用 窺 詰 是 故 
X63n1255_001:0740b13	思益經云。諸佛出世非為度眾生。只為度生死涅	思 益 經 云 諸佛出世 非 為 度 眾 生 只 為 度 生 死 涅 
X63n1255_001:0740b14	槃二見耳。	槃 二 見 耳 
X63n1255_001:0740b15	菩薩度眾生入滅度。又實無眾生得滅度。	菩 薩 度 眾 生 入 滅 度 又 實 無 眾 生 得 滅 度 
X63n1255_001:0740b16	菩薩只以念念為眾生也。了念體空者度眾生也。	菩 薩 只 以 念 念 為 眾 生 也 了 念 體 空 者 度 眾 生 也 
X63n1255_001:0740b17	念既空寂者實無眾生得滅度也。此上論信解。	念 既 空 寂 者 實 無 眾 生 得 滅 度 也 此 上 論 信 解 
X63n1255_001:0740b18	理雖頓悟。事非頓除。	理 雖 頓 悟 事 非 頓 除 
X63n1255_001:0740b19	文殊達天真。普賢明緣起。解似電光。行同窮子。此	文 殊 達 天 真 普 賢 明 緣 起 解 似 電 光 行 同 窮 子 此 
X63n1255_001:0740b20	下論修證。	下 論 修 證 
X63n1255_001:0740b21	帶婬修禪如蒸沙作飯。帶殺修禪如塞耳呌聲。帶偷	帶 婬 修 禪 如 蒸 沙 作 飯 帶 殺 修 禪 如 塞 耳 呌 聲 帶 偷 
X63n1255_001:0740b22	修禪如漏巵求滿。帶妄修禪如刻糞為香。縱有多智	修 禪 如 漏 巵 求 滿 帶 妄 修 禪 如 刻 糞 為 香 縱 有 多 智 
X63n1255_001:0740b23	皆成魔道。	皆 成 魔 道 
X63n1255_001:0740b24	此明修行軌則三無漏學也。小乘稟法為戒。粗治	此 明 修 行 軌 則 三 無 漏 學 也 小 乘 稟 法 為 戒 粗 治 
X63n1255_001:0740c01	其末。大乘攝心為戒。細絕其本。然則法戒無身犯。	其 末 大 乘 攝 心 為 戒 細 絕 其 本 然 則 法 戒 無 身 犯 
X63n1255_001:0740c02	心戒無思犯也。婬者斷清淨。殺者斷慈悲。盜者斷	心 戒 無 思 犯 也 婬 者 斷 清 淨 殺 者 斷 慈 悲 盜 者 斷 
X63n1255_001:0740c03	福德。妄者斷真實也。能成智慧縱得六神通。如不	福 德 妄 者 斷 真 實 也 能 成 智 慧 縱 得 六 神 通 如 不 
X63n1255_001:0740c04	斷殺盜婬妄。則必落魔道永失菩提正路矣。此四	斷 殺 盜 婬 妄 則 必 落 魔 道 永 失 菩 提 正 路 矣 此 四 
X63n1255_001:0740c05	戒百戒之根。故別明之使無思犯也。無憶曰戒。無	戒 百 戒 之 根 故 別 明 之 使 無 思 犯 也 無 憶 曰 戒 無 
X63n1255_001:0740c06	念曰定。莫妄曰慧。又戒為捉賊。定為縛賊。慧為殺	念 曰 定 莫 妄 曰 慧 又 戒 為 捉 賊 定 為 縛 賊 慧 為 殺 
X63n1255_001:0740c07	賊。又戒器完固。定水澄清。慧月方現。此三學者實	賊 又 戒 器 完 固 定 水 澄 清 慧 月 方 現 此 三 學 者 實 
X63n1255_001:0740c08	為萬法之源。故特明之使無諸漏也。　靈山會上	為 萬 法 之 源 故 特 明 之 使 無 諸 漏 也 靈 山 會 上 
X63n1255_001:0740c09	豈有無行佛。少林門下豈有妄語祖。	豈 有 無 行 佛 少 林 門 下 豈 有 妄 語 祖 
X63n1255_001:0740c10	無德之人不依佛戒不護三業。放逸懈怠輕慢佗人。	無 德 之 人 不 依 佛 戒 不 護 三 業 放逸懈怠 輕 慢 佗 人 
X63n1255_001:0740c11	輕量是非而為根本。	輕 量 是 非 而 為 根 本 
X63n1255_001:0740c12	一破心戒百過俱生。	一 破 心 戒 百 過 俱 生 
X63n1255_001:0740c13	評曰。如此魔徒。末法熾盛惱亂正法。學者詳之。	評 曰 如 此 魔 徒 末 法 熾 盛 惱 亂 正 法 學 者 詳 之 
X63n1255_001:0740c14	若不持戒。尚不得疥癩野干之身。況清淨菩提果可	若 不 持 戒 尚 不 得 疥 癩 野 干 之 身 況 清 淨 菩 提 果 可 
X63n1255_001:0740c15	冀乎。	冀 乎 
X63n1255_001:0740c16	重戒如佛佛常在焉。須草繫鵝珠以為先導。	重 戒 如 佛 佛 常 在 焉 須 草 繫 鵝 珠 以 為 先 導 
X63n1255_001:0740c17	欲脫生死先斷貪欲及諸愛渴。	欲 脫 生 死 先 斷 貪 欲 及 諸 愛 渴 
X63n1255_001:0740c18	愛為輪迴之本。欲為受生之緣。佛云。婬心不除塵	愛 為 輪 迴 之 本 欲 為 受 生 之 緣 佛 云 婬 心 不 除 塵 
X63n1255_001:0740c19	不可出。又云。恩愛一縛著率人入罪門。渴者情愛	不 可 出 又 云 恩 愛 一 縛 著 率 人 入 罪 門 渴 者 情 愛 
X63n1255_001:0740c20	之至切也。	之 至 切 也 
X63n1255_001:0740c21	無礙清淨慧。皆因禪定生。	無 礙 清 淨 慧 皆 因 禪 定 生 
X63n1255_001:0740c22	超凡入聖坐脫立亡者皆禪定之力也。故云欲求	超 凡 入 聖 坐 脫 立 亡 者 皆 禪 定 之 力 也 故 云 欲 求 
X63n1255_001:0740c23	聖道離此無路。	聖 道 離 此 無 路 
X63n1255_001:0740c24	心在定則能知世間生滅諸相。	心 在 定 則 能 知 世 間 生 滅 諸 相 
X63n1255_001:0741a01	虗隙日光纖埃擾擾。清潭水底影像昭昭。	虗 隙 日 光 纖 埃 擾 擾 清 潭 水 底 影 像 昭 昭 
X63n1255_001:0741a02	見境心不起名不生。不生名無念。無念名解脫。	見 境 心 不 起 名 不 生 不 生 名 無 念 無 念 名 解 脫 
X63n1255_001:0741a03	戒也定也慧也。舉一具三。不是單相。	戒 也 定 也 慧 也 舉 一 具 三 不 是 單 相 
X63n1255_001:0741a04	修道證滅是亦非真也。心法本寂乃真滅也。故曰諸	修 道 證 滅 是 亦 非 真 也 心 法 本 寂 乃 真 滅 也 故 曰 諸 
X63n1255_001:0741a05	法從本來。常自寂滅相。	法 從 本 來 常 自 寂 滅 相 
X63n1255_001:0741a06	眼不自見。見眼者妄也。故妙首思量。淨名杜默。此	眼 不 自 見 見 眼 者 妄 也 故 妙 首 思 量 淨 名 杜 默 此 
X63n1255_001:0741a07	下散舉細行。	下 散 舉 細 行 
X63n1255_001:0741a08	貧人來乞隨分施與。同體大悲是真布施。	貧 人 來 乞 隨 分 施 與 同 體 大 悲 是 真 布 施 
X63n1255_001:0741a09	自佗為一曰同體。空手來空手去。吾家活計。	自 佗 為 一 曰 同 體 空 手 來 空 手 去 吾 家 活 計 
X63n1255_001:0741a10	有人來害。當自攝心勿生嗔恨。一念嗔心起。百萬障	有 人 來 害 當 自 攝 心 勿 生 嗔 恨 一 念 嗔 心 起 百 萬 障 
X63n1255_001:0741a11	門開。	門 開 
X63n1255_001:0741a12	煩惱雖無量。嗔慢為甚。涅槃云。塗割兩無心。嗔如	煩 惱 雖 無 量 嗔 慢 為 甚 涅 槃 云 塗 割 兩 無 心 嗔 如 
X63n1255_001:0741a13	冷雲中霹靂起火來。	冷 雲 中 霹 靂 起 火 來 
X63n1255_001:0741a14	若無忍行。萬行不成。	若 無 忍 行 萬 行 不 成 
X63n1255_001:0741a15	行門雖無量。慈忍為根源。忍心如幻夢。辱境若龜	行 門 雖 無 量 慈 忍 為 根 源 忍 心 如 幻 夢 辱 境 若 龜 
X63n1255_001:0741a16	毛。	毛 
X63n1255_001:0741a17	守本真心第一精進。	守 本 真 心 第 一 精 進 
X63n1255_001:0741a18	若起精進心。是妄非精進。故云莫妄想莫妄想。懈	若 起 精 進 心 是 妄 非 精 進 故 云 莫 妄 想 莫 妄 想 懈 
X63n1255_001:0741a19	怠者常常望後。是自棄人也。	怠 者 常 常 望 後 是 自 棄 人 也 
X63n1255_001:0741a20	持呪者。現業易制自行可違。宿業難除必借神力。	持 呪 者 現 業 易 制 自 行 可 違 宿 業 難 除 必 借 神 力 
X63n1255_001:0741a21	摩登得果信不誣矣。故不持神呪遠離魔事者無	摩 登 得 果 信 不 誣 矣 故 不 持 神 呪 遠 離 魔 事 者 無 
X63n1255_001:0741a22	有是處。	有 是 處 
X63n1255_001:0741a23	禮拜者敬也伏也。恭敬真性。屈伏無明。	禮 拜 者 敬 也 伏 也 恭 敬 真 性 屈 伏 無 明 
X63n1255_001:0741a24	身口意清淨則佛出世。	身 口 意 清 淨 則 佛 出 世 
X63n1255_001:0741b01	念佛者在口曰誦。在心曰念。徒誦失念。於道無益。	念 佛 者 在 口 曰 誦 在 心 曰 念 徒 誦 失 念 於 道 無 益 
X63n1255_001:0741b02	阿彌陀佛六字法門。定出輪迴之捷徑也。心則緣	阿 彌 陀 佛 六 字 法 門 定 出 輪 迴 之 捷 徑 也 心 則 緣 
X63n1255_001:0741b03	佛境界憶持不忘。口則稱佛名號分明不亂。如是	佛 境 界 憶持不忘 口 則 稱 佛 名 號 分 明 不 亂 如 是 
X63n1255_001:0741b04	心口相應名曰念佛。	心 口 相 應 名 曰 念 佛 
X63n1255_001:0741b05	評曰。五祖云。守本真心勝念十方諸佛。六祖云。	評 曰 五 祖 云 守 本 真 心 勝 念 十方諸佛 六 祖 云 
X63n1255_001:0741b06	常念佗佛不免生死。守我本心即到彼岸。又云。	常 念 佗 佛 不 免 生 死 守 我 本 心 即 到 彼 岸 又 云 
X63n1255_001:0741b07	佛向性中作。莫向身外求。又云。迷人念佛求生。	佛 向 性 中 作 莫 向 身 外 求 又 云 迷 人 念 佛 求 生 
X63n1255_001:0741b08	悟人自淨其心。又云。大抵眾生悟心自度。佛不	悟 人 自 淨 其 心 又 云 大 抵 眾 生 悟 心 自 度 佛 不 
X63n1255_001:0741b09	能度眾生(云云)。如上諸德。直指本心別無方便	能 度 眾 生 云 云 如 上 諸 德 直 指 本 心 別 無 方 便 
X63n1255_001:0741b10	(方將一法便逗諸根)。理實如是。然迹門實有極樂世界。阿	 方 將 一 法 便 逗 諸 根 理 實 如 是 然 迹 門 實 有 極樂世界 阿 
X63n1255_001:0741b11	彌陀佛有四十八大願。凡念十聲者承此願力	彌 陀 佛 有 四 十 八 大 願 凡 念 十 聲 者 承 此 願 力 
X63n1255_001:0741b12	往生蓮胎徑脫輪迴。三世諸佛異口同音。十方	往 生 蓮 胎 徑 脫 輪 迴 三世諸佛 異口同音 十 方 
X63n1255_001:0741b13	菩薩同願往生。又況古今往生之人傳記昭昭。	菩 薩 同 願 往 生 又 況 古 今 往 生 之 人 傳 記 昭 昭 
X63n1255_001:0741b14	願諸行者慎勿錯認。勉之勉之。	願 諸 行 者 慎 勿 錯 認 勉 之 勉 之 
X63n1255_001:0741b15	梵語阿彌陀。此云無量壽。亦云無量光。十方三	梵 語 阿 彌 陀 此 云 無 量 壽 亦 云 無 量 光 十 方 三 
X63n1255_001:0741b16	世第一佛號也。因名法藏比丘。對世自在王佛	世 第 一 佛 號 也 因 名 法 藏 比 丘 對 世 自 在 王 佛 
X63n1255_001:0741b17	發四十八願云。我作佛時。十方無央數世界諸	發 四 十 八 願 云 我 作 佛 時 十 方 無 央 數 世 界 諸 
X63n1255_001:0741b18	天人民以至蜎飛蝡動之流。念我名十聲者必	天 人 民 以 至 蜎 飛 蝡 動 之 流 念 我 名 十 聲 者 必 
X63n1255_001:0741b19	生我剎中。不得是願。終不成佛(云云)。先聖云。唱	生 我 剎 中 不 得 是 願 終 不 成 佛 云 云 先 聖 云 唱 
X63n1255_001:0741b20	佛一聲天魔喪膽。名除鬼簿蓮出金池。又懺法	佛 一 聲 天 魔 喪 膽 名 除 鬼 簿 蓮 出 金 池 又 懺 法 
X63n1255_001:0741b21	云。自力佗力一遲一速。欲越海者。種樹作船遲	云 自 力 佗 力 一 遲 一 速 欲 越 海 者 種 樹 作 船 遲 
X63n1255_001:0741b22	也。比自力也。借船越海速也。比佛力也。又曰。世	也 比 自 力 也 借 船 越 海 速 也 比 佛 力 也 又 曰 世 
X63n1255_001:0741b23	間稚兒迫於水火高聲大呌。則父母聞之急走	間 稚 兒 迫 於 水 火 高 聲 大 呌 則 父 母 聞 之 急 走 
X63n1255_001:0741b24	救援。如人臨命終時高聲念佛。則佛具神通決	救 援 如 人 臨命終時 高 聲 念 佛 則 佛 具 神 通 決 
X63n1255_001:0741c01	定來迎爾。是故大聖慈悲勝於父母也。眾生生	定 來 迎 爾 是 故 大 聖 慈 悲 勝 於 父 母 也 眾 生 生 
X63n1255_001:0741c02	死甚於水火也。有人云。自心淨土。淨土不可生。	死 甚 於 水 火 也 有 人 云 自 心 淨 土 淨 土 不 可 生 
X63n1255_001:0741c03	自性彌陀。彌陀不可見。此言似是而非也。彼佛	自 性 彌 陀 彌 陀 不 可 見 此 言 似 是 而 非 也 彼 佛 
X63n1255_001:0741c04	無貪無嗔。我亦無貪嗔乎。彼佛變地獄作蓮花	無 貪 無 嗔 我 亦 無 貪 嗔 乎 彼 佛 變 地 獄 作 蓮 花 
X63n1255_001:0741c05	易於反掌。我則以業力常恐自墮於地獄。況變	易 於 反 掌 我 則 以 業 力 常 恐 自 墮 於 地 獄 況 變 
X63n1255_001:0741c06	作蓮花乎。彼佛觀無盡世界如在目前。我則隔	作 蓮 花 乎 彼 佛 觀 無 盡 世 界 如 在 目 前 我 則 隔 
X63n1255_001:0741c07	壁事猶不知。況見十方世界如目前乎。是故人	壁 事 猶 不 知 況 見 十方世界 如 目 前 乎 是 故 人 
X63n1255_001:0741c08	人性則雖佛。而行則眾生。論其相用天地懸	人 性 則 雖 佛 而 行 則 眾 生 論 其 相 用 天 地 懸 
X63n1255_001:0741c09	隔。圭峰云。設實頓悟終須漸行。誠哉是言也。然	隔 圭 峰 云 設 實 頓 悟 終 須 漸 行 誠 哉 是 言 也 然 
X63n1255_001:0741c10	則寄語自性彌陀者。豈有天生釋迦自然彌陀	則 寄 語 自 性 彌 陀 者 豈 有 天 生 釋 迦 自 然 彌 陀 
X63n1255_001:0741c11	耶。須自忖量。人豈不自知。臨命終時生死苦際	耶 須 自 忖 量 人 豈 不 自 知 臨命終時 生 死 苦 際 
X63n1255_001:0741c12	定得自在否。若不如是。莫以一時貢高却致永	定 得 自 在 否 若 不 如 是 莫 以 一 時 貢 高 却 致 永 
X63n1255_001:0741c13	劫沉墮。又馬鳴．龍樹悉是祖師。皆明垂言教深	劫 沉 墮 又 馬 鳴 龍 樹 悉 是 祖 師 皆 明 垂 言 教 深 
X63n1255_001:0741c14	勸往生。我何人哉不欲往生。又自云。西方去此	勸 往 生 我 何 人 哉 不 欲 往 生 又 自 云 西 方 去 此 
X63n1255_001:0741c15	遠夫十方(十惡)八千(八邪)。此為鈍根說相也。又云。西	遠 夫 十 方 十 惡 八 千 八 邪 此 為 鈍 根 說 相 也 又 云 西 
X63n1255_001:0741c16	方去此不遠。即心(眾生)是佛(彌陀)。此為利根說性也。	方 去 此 不 遠 即 心 眾 生 是 佛 彌 陀 此 為 利 根 說 性 也 
X63n1255_001:0741c17	教有權實。語有顯密。若解行相應者遠近俱通	教 有 權 實 語 有 顯 密 若 解 行 相 應 者 遠 近 俱 通 
X63n1255_001:0741c18	也。故祖師門下亦有或喚阿彌陀佛者(惠遠)。或喚	也 故 祖 師 門 下 亦 有 或 喚 阿 彌 陀 佛 者 惠 遠 或 喚 
X63n1255_001:0741c19	主人公者(瑞岩)。	主 人 公 者 瑞 岩 
X63n1255_001:0741c20	聽經有經耳之緣。隨喜之福。幻軀有盡。實行不亡。	聽 經 有 經 耳 之 緣 隨 喜 之 福 幻 軀 有 盡 實 行 不 亡 
X63n1255_001:0741c21	此明智學如食金剛勝施七寶。壽師云。聞而不信	此 明 智 學 如 食 金 剛 勝 施 七 寶 壽 師 云 聞 而 不 信 
X63n1255_001:0741c22	尚結佛種之因。學而不成猶益人天之福。	尚 結 佛 種 之 因 學 而 不 成 猶 益 人 天 之 福 
X63n1255_001:0741c23	看經若不向自己上做工夫。雖看盡萬藏猶無益也。	看 經 若 不 向 自 己 上 做 工 夫 雖 看 盡 萬 藏 猶 無 益 也 
X63n1255_001:0741c24	此明愚學如春禽晝啼秋蟲夜鳴。密師云。識字看	此 明 愚 學 如 春 禽 晝 啼 秋 蟲 夜 鳴 密 師 云 識 字 看 
X63n1255_001:0742a01	經元不證悟。銷文釋義唯熾貪嗔邪見。	經 元 不 證 悟 銷 文 釋 義 唯 熾 貪 嗔 邪 見 
X63n1255_001:0742a02	學未至於道。衒耀見聞徒以口舌辨利相勝者。如廁	學 未 至 於 道 衒 耀 見 聞 徒 以 口 舌 辨 利 相 勝 者 如 廁 
X63n1255_001:0742a03	屋塗丹雘。	屋 塗 丹 雘 
X63n1255_001:0742a04	別明末世愚學。學本修性。全習為人。是誠何心哉。	別 明 末 世 愚 學 學 本 修 性 全 習 為 人 是 誠 何 心 哉 
X63n1255_001:0742a05	出家人習外典。如以刀割泥。泥無所用而刀自傷焉。	出 家 人 習 外 典 如 以 刀 割 泥 泥 無 所 用 而 刀 自 傷 焉 
X63n1255_001:0742a06	門外長者子。還入火宅中。	門 外 長 者 子 還 入 火 宅 中 
X63n1255_001:0742a07	出家為僧豈細事乎。非求安逸也。非求溫飽也。非求	出 家 為 僧 豈 細 事 乎 非 求 安 逸 也 非 求 溫 飽 也 非 求 
X63n1255_001:0742a08	利名也。為生死也。為斷煩惱也。為續佛慧命也。為出	利 名 也 為 生 死 也 為 斷 煩 惱 也 為 續 佛 慧 命 也 為 出 
X63n1255_001:0742a09	三界度眾生也。	三 界 度 眾 生 也 
X63n1255_001:0742a10	可謂衝天大丈夫。	可 謂 衝 天 大 丈 夫 
X63n1255_001:0742a11	佛云。無常之火燒諸世間。又云。眾生苦火四面俱焚。	佛 云 無 常 之 火 燒 諸 世 間 又 云 眾 生 苦 火 四 面 俱 焚 
X63n1255_001:0742a12	又云。諸煩惱賊常伺殺人。道人宜自警悟。如救頭燃。	又 云 諸 煩 惱 賊 常 伺 殺 人 道 人 宜 自 警 悟 如 救 頭 燃 
X63n1255_001:0742a13	身有生老病死。界有成住壞空。心有生住異滅。此	身 有 生老病死 界 有 成 住 壞 空 心 有 生住異滅 此 
X63n1255_001:0742a14	無常苦火四面俱焚者也。謹白參玄人。光陰莫虗	無 常 苦 火 四 面 俱 焚 者 也 謹 白 參 玄 人 光 陰 莫 虗 
X63n1255_001:0742a15	度。	度 
X63n1255_001:0742a16	貪世浮名枉功勞形。營求世利業火加薪。	貪 世 浮 名 枉 功 勞 形 營 求 世 利 業 火 加 薪 
X63n1255_001:0742a17	貪世浮名者。有人詩云。鴻飛天末迹留沙。人去黃	貪 世 浮 名 者 有 人 詩 云 鴻 飛 天 末 迹 留 沙 人 去 黃 
X63n1255_001:0742a18	泉名在家。營求世利者。有人詩云。采得百花成蜜	泉 名 在 家 營 求 世 利 者 有 人 詩 云 采 得 百 花 成 蜜 
X63n1255_001:0742a19	後。不知辛苦為誰甜。枉功勞形者。鑿氷雕刻不用	後 不 知 辛 苦 為 誰 甜 枉 功 勞 形 者 鑿 氷 雕 刻 不 用 
X63n1255_001:0742a20	之巧也。業火加薪者。麤弊色香致火之具也。	之 巧 也 業 火 加 薪 者 麤 弊 色 香 致 火 之 具 也 
X63n1255_001:0742a21	名利衲子不如草衣野人。	名 利 衲 子 不 如 草 衣 野 人 
X63n1255_001:0742a22	唾金輪入雪山。千世尊不易之軌則。末世羊質虎	唾 金 輪 入 雪 山 千 世 尊 不 易 之 軌 則 末 世 羊 質 虎 
X63n1255_001:0742a23	皮之輩不識廉耻。望風隨勢陰媚取寵。噫其懲也	皮 之 輩 不 識 廉 耻 望 風 隨 勢 陰 媚 取 寵 噫 其 懲 也 
X63n1255_001:0742a24	夫。	夫 
X63n1255_001:0742b01	心染世利者阿附權門趨走風塵。返取笑於俗	心 染 世 利 者 阿 附 權 門 趨 走 風 塵 返 取 笑 於 俗 
X63n1255_001:0742b02	人。此衲子以羊質證此多行。以懲也夫三字結	人 此 衲 子 以 羊 質 證 此 多 行 以 懲 也 夫 三 字 結 
X63n1255_001:0742b03	之。此三字文出莊子。	之 此 三 字 文 出 莊 子 
X63n1255_001:0742b04	佛云。云何賊人。假我衣服。裨販如來。造種種業。	佛 云 云 何 賊 人 假 我 衣 服 裨 販 如 來 造 種 種 業 
X63n1255_001:0742b05	末法比丘有多般名字。或烏鼠僧。或啞羊僧。或禿	末 法 比 丘 有 多 般 名 字 或 烏 鼠 僧 或 啞 羊 僧 或 禿 
X63n1255_001:0742b06	居士。或地獄滓。或被袈裟賊。噫其所以以此。	居 士 或 地 獄 滓 或 被 袈 裟 賊 噫 其 所 以 以 此 
X63n1255_001:0742b07	裨販如來者。撥因果。排罪福。沸騰身口。迭起愛	裨 販 如 來 者 撥 因 果 排 罪 福 沸 騰 身 口 迭 起 愛 
X63n1255_001:0742b08	憎。可謂愍也。避僧避俗曰烏鼠。舌不說法曰啞	憎 可 謂 愍 也 避 僧 避 俗 曰 烏 鼠 舌 不 說 法 曰 啞 
X63n1255_001:0742b09	羊。僧形俗心曰禿居士。罪重不遷曰地獄滓。賣	羊 僧 形 俗 心 曰 禿 居 士 罪 重 不 遷 曰 地 獄 滓 賣 
X63n1255_001:0742b10	佛營生曰被袈裟賊。以被袈裟賊證此多名。以	佛 營 生 曰 被 袈 裟 賊 以 被 袈 裟 賊 證 此 多 名 以 
X63n1255_001:0742b11	此二字結之。此二字文出老子。	此 二 字 結 之 此 二 字 文 出 老 子 
X63n1255_001:0742b12	於戲。佛子一衣一食。莫非農夫之血織女苦。道眼未	於 戲 佛 子 一 衣 一 食 莫 非 農 夫 之 血 織 女 苦 道 眼 未 
X63n1255_001:0742b13	明。如何消得。	明 如 何 消 得 
X63n1255_001:0742b14	傳燈。一道人道眼未明故。身為木菌以還信施。	傳 燈 一 道 人 道 眼 未 明 故 身 為 木 菌 以 還 信 施 
X63n1255_001:0742b15	故曰要識披毛戴角底麼。即今虗受信施者是。有人	故 曰 要 識 披 毛 戴 角 底 麼 即 今 虗 受 信 施 者 是 有 人 
X63n1255_001:0742b16	未飢而食未寒而衣。是誠何心哉。都不思目前之樂。	未 飢 而 食 未 寒 而 衣 是 誠 何 心 哉 都 不 思 目 前 之 樂 
X63n1255_001:0742b17	便是身後之苦也。	便 是 身 後 之 苦 也 
