X14n0295_001:0624b03	 勸持敘	 勸 持 敘 
X14n0295_003:0638b24	阿難白佛言世尊如來(至)如水成冰冰還成水。	阿 難 白 佛 言 世 尊 如 來 至 如 水 成 冰 冰 還 成 水 
X14n0295_003:0638c01	佛告阿難。如汝所言。四大和合。發明世間種種變	佛 告 阿 難 如 汝 所 言 四 大 和 合 發 明 世 間 種 種 變 
X14n0295_003:0638c02	化。此實權教。雖說和合。都無實義。蓋彼四大性。果	化 此 實 權 教 雖 說 和 合 都 無 實 義 蓋 彼 四 大 性 果 
X14n0295_003:0638c03	非和合。則如虗空。不和諸色。殆不然也。若果和合。	非 和 合 則 如 虗 空 不 和 諸 色 殆 不 然 也 若 果 和 合 
X14n0295_003:0638c04	則同彼萬變。相成相續。展轉虗妄。如旋火輪。無有	則 同 彼 萬 變 相 成 相 續 展 轉 虗 妄 如 旋 火 輪 無 有 
X14n0295_003:0638c05	實體。又無休息。又不然也。且以大性非和非合之	實 體 又 無 休 息 又 不 然 也 且 以 大 性 非 和 非 合 之 
X14n0295_003:0638c06	理。設為譬喻。如水成冰。冰還成水。水何合而成冰。	理 設 為 譬 喻 如 水 成 冰 冰 還 成 水 水 何 合 而 成 冰 
X14n0295_003:0638c07	冰何和而成水。不因和合。循業發現。其相如此。	冰 何 和 而 成 水 不 因 和 合 循 業 發 現 其 相 如 此 
X14n0295_003:0638c08	△一地大	 一 地 大 
X14n0295_003:0638c09	汝觀地性麤為大地(至)但有言說都無實義。	汝 觀 地 性 麤 為 大 地 至 但有言說 都 無 實 義 
X14n0295_003:0638c10	汝觀大地。麤為大地。細為微塵。至鄰虗塵。析之極	汝 觀 大 地 麤 為 大 地 細 為 微 塵 至 鄰 虗 塵 析 之 極 
X14n0295_003:0638c11	微。極微之塵。猶有微色。名色邊際相。更析鄰虗而	微 極 微 之 塵 猶 有 微 色 名 色 邊 際 相 更 析 鄰 虗 而 
X14n0295_003:0638c12	為七分。即微色鄰虗。彼鄰虗者。即實空性。若此鄰	為 七 分 即 微 色 鄰 虗 彼 鄰 虗 者 即 實 空 性 若 此 鄰 
X14n0295_003:0638c13	虗析成虗空。當知虗空與出生色相。一鄰虗塵。用	虗 析 成 虗 空 當 知 虗 空 與 出 生 色 相 一 鄰 虗 塵 用 
X14n0295_003:0638c14	幾虗空。和合而有。又鄰虗析空。用幾色相。合成虗	幾 虗 空 和 合 而 有 又 鄰 虗 析 空 用 幾 色 相 合 成 虗 
X14n0295_003:0638c15	空。如是則知此變化諸相。非和合法。明矣。又若色	空 如 是 則 知 此 變 化 諸 相 非 和 合 法 明 矣 又 若 色 
X14n0295_003:0638c16	合。則純是一色。不得名之為空空。合則純是一空。	合 則 純 是 一 色 不 得 名 之 為 空 空 合 則 純 是 一 空 
X14n0295_003:0638c17	不得名之為色。色猶可析。空云何合耶。汝原不知	不 得 名 之 為 色 色 猶 可 析 空 云 何 合 耶 汝 原 不 知 
X14n0295_003:0638c18	如來藏中性色真空。性空真色。言空能性色。色亦	如 來 藏 中 性 色 真 空 性 空 真 色 言 空 能 性 色 色 亦 
X14n0295_003:0638c19	性空。性即性一切心之性。當作活看。空能性色者。	性 空 性 即 性 一 切 心 之 性 當 作 活 看 空 能 性 色 者 
X14n0295_003:0638c20	自無而有也。色亦性空者。自有還無也。性色故變	自 無 而 有 也 色 亦 性 空 者 自 有 還 無 也 性 色 故 變 
X14n0295_003:0638c21	化諸相。性空故塵析成空。然皆清淨本然。周循法	化 諸 相 性 空 故 塵 析 成 空 然 皆 清 淨 本 然 周 循 法 
X14n0295_003:0638c22	界。不消和合。隨眾心生。應所知量。循業發現。而世	界 不 消 和 合 隨 眾 心 生 應 所 知 量 循 業 發 現 而 世 
X14n0295_003:0638c23	間無知。惑為因緣。及自然性。皆是識心分別計度。	間 無 知 惑 為 因 緣 及 自 然 性 皆 是 識 心 分 別 計 度 
X14n0295_003:0638c24	但有言說。都無實義何者。如來藏中萬法一如。而	但有言說 都 無 實 義 何 者 如 來 藏 中 萬 法 一 如 而 
X14n0295_003:0639a01	循業似異。遂有七大之名。特體用異稱耳。性色真	循 業 似 異 遂 有 七 大 之 名 特 體 用 異 稱 耳 性 色 真 
X14n0295_003:0639a02	空。一如之體也。性空真色。即循發之用也。色本虗	空 一 如 之 體 也 性 空 真 色 即 循 發 之 用 也 色 本 虗 
X14n0295_003:0639a03	妄。亦以真言。以其體用不二。故相依而互舉。欲人	妄 亦 以 真 言 以 其 體 用 不 二 故 相 依 而 互 舉 欲 人 
X14n0295_003:0639a04	知其不離妙性耳。亦猶水之成冰。不離於水。眾生	知 其 不 離 妙 性 耳 亦 猶 水 之 成 冰 不 離 於 水 眾 生 
X14n0295_003:0639a05	背覺合塵。故發塵勞。然使滅塵合覺。則現真如心	背 覺 合 塵 故 發 塵 勞 然 使 滅 塵 合 覺 則 現 真 如 心 
X14n0295_003:0639a06	量。隨應循發。所謂萬法一如。意蓋如此。然觀相原	量 隨 應 循 發 所 謂 萬 法 一 如 意 蓋 如 此 然 觀 相 原 
X14n0295_003:0639a07	妄。無可指陳。觀性原空。惟覺妙明。理絕情謂。不容	妄 無 可 指 陳 觀 性 原 空 惟 覺 妙 明 理 絕 情 謂 不 容 
X14n0295_003:0639a08	妄度。所以擬心即差。動念即乖。但一切時中。不起	妄 度 所 以 擬 心 即 差 動 念 即 乖 但 一 切 時 中 不 起 
X14n0295_003:0639a09	妄念。不用識心。然後相應。	妄 念 不 用 識 心 然 後 相 應 
X14n0295_003:0639a10	△二火大	 二 火 大 
X14n0295_003:0639a11	阿難火性無我寄於諸緣(至)但有言說都無實義。	阿 難 火 性 無 我 寄 於 諸 緣 至 但有言說 都 無 實 義 
X14n0295_003:0639a12	阿難。火性無我。寄於諸緣。汝觀城中。求食之家。手	阿 難 火 性 無 我 寄 於 諸 緣 汝 觀 城 中 求 食 之 家 手 
X14n0295_003:0639a13	執陽燧。日前取火。然是火相。非和非合。蓋凡言和	執 陽 燧 日 前 取 火 然 是 火 相 非 和 非 合 蓋 凡 言 和 
X14n0295_003:0639a14	合者。詰之各有根本。如我與汝等一千二百五十	合 者 詰 之 各 有 根 本 如 我 與 汝 等 一 千二百五十 
X14n0295_003:0639a15	人和合一處眾。雖為一詰。其根本各有各字氏族。	人 和 合 一 處 眾 雖 為 一 詰 其 根 本 各 有 各 字 氏 族 
X14n0295_003:0639a16	若此火性因和合有。汝試詰之。各無根本。為從鏡	若 此 火 性 因 和 合 有 汝 試 詰 之 各 無 根 本 為 從 鏡 
X14n0295_003:0639a17	生。為從艾出。為於日來。若於日來。自能燒汝手中	生 為 從 艾 出 為 於 日 來 若 於 日 來 自 能 燒 汝 手 中 
X14n0295_003:0639a18	之艾。來處林木。皆應受焚。若於鏡出。自能於鏡。出	之 艾 來 處 林 木 皆 應 受 焚 若 於 鏡 出 自 能 於 鏡 出 
X14n0295_003:0639a19	然於艾。鏡何不鎔。紆汝手執。尚無熱相。若生於艾。	然 於 艾 鏡 何 不 鎔 紆 汝 手 執 尚 無 熱 相 若 生 於 艾 
X14n0295_003:0639a20	何假日鏡。光明相接。然後火生。若言非和非合。汝	何 假 日 鏡 光 明 相 接 然 後 火 生 若 言 非 和 非 合 汝 
X14n0295_003:0639a21	又諦觀。鏡因手執。日從天來。艾本地生。火從何方。	又 諦 觀 鏡 因 手 執 日 從 天 來 艾 本 地 生 火 從 何 方 
X14n0295_003:0639a22	遊歷於此。日鏡相遠。非和非合。不應火光。無從自	遊 歷 於 此 日 鏡 相 遠 非 和 非 合 不 應 火 光 無 從 自 
X14n0295_003:0639a23	生。汝猶不知。如來藏中性火真空。性空真火。清淨	生 汝 猶 不 知 如 來 藏 中 性 火 真 空 性 空 真 火 清 淨 
X14n0295_003:0639a24	本然。週遍法界。隨眾生心。應所知量。一處執鏡。一	本 然 週 遍 法 界 隨 眾 生 心 應 所 知 量 一 處 執 鏡 一 
X14n0295_003:0639b01	處火生。徧法界執。滿世間起。起徧世間。寧有方所。	處 火 生 徧 法 界 執 滿 世 間 起 起 徧 世 間 寧 有 方 所 
X14n0295_003:0639b02	循業發現。意葢如此。惑為因緣及自然性。是皆識	循 業 發 現 意 葢 如 此 惑 為 因 緣 及 自 然 性 是 皆 識 
X14n0295_003:0639b03	心分別計度。但有言說。初無實義。	心 分 別 計 度 但有言說 初 無 實 義 
X14n0295_003:0639b04	△三水大	 三 水 大 
X14n0295_003:0639b05	阿難水性不定流息無恒(至)但有言說都無實義。	阿 難 水 性 不 定 流 息 無 恒 至 但有言說 都 無 實 義 
X14n0295_003:0639b06	阿難。水性不定。流息無恒。如室羅城諸大幻師。求	阿 難 水 性 不 定 流 息 無 恒 如 室 羅 城 諸 大 幻 師 求 
X14n0295_003:0639b07	太陰精。合諸幻藥。於白月晝。手執方諸。承月中水。	太 陰 精 合 諸 幻 藥 於 白 月 晝 手 執 方 諸 承 月 中 水 
X14n0295_003:0639b08	此水為從珠出。為從空有。為從月來。若從月來。尚	此 水 為 從 珠 出 為 從 空 有 為 從 月 來 若 從 月 來 尚 
X14n0295_003:0639b09	能遠方。令珠出水。所經林木。皆應吐流。何以必待	能 遠 方 令 珠 出 水 所 經 林 木 皆 應 吐 流 何 以 必 待 
X14n0295_003:0639b10	方諸。林木不流。又似此水非從月降。若從珠出。此	方 諸 林 木 不 流 又 似 此 水 非 從 月 降 若 從 珠 出 此 
X14n0295_003:0639b11	珠常應流水。何待中宵對月。若從空生。空性無邊。	珠 常 應 流 水 何 待 中 宵 對 月 若 從 空 生 空 性 無 邊 
X14n0295_003:0639b12	水當無際。從人洎天。皆當汩沒。云何復有水陸空	水 當 無 際 從 人 洎 天 皆 當 汩 沒 云 何 復 有 水 陸 空 
X14n0295_003:0639b13	行。可見本然周遍。非和合矣。若言非和非合。汝更	行 可 見 本 然 周 遍 非 和 合 矣 若 言 非 和 非 合 汝 更 
X14n0295_003:0639b14	諦觀。月從天陟。珠因手持。承珠水盤。又是人造。水	諦 觀 月 從 天 陟 珠 因 手 持 承 珠 水 盤 又 是 人 造 水 
X14n0295_003:0639b15	從何方。流注於此。月珠相遠。非和非合。不應水精	從 何 方 流 注 於 此 月 珠 相 遠 非 和 非 合 不 應 水 精 
X14n0295_003:0639b16	無從自有。汝尚不知性水真空。性空真水。清淨本	無 從 自 有 汝 尚 不 知 性 水 真 空 性 空 真 水 清 淨 本 
X14n0295_003:0639b17	然。周遍法界。隨眾生心。應所知量。一處執珠。一處	然 周 遍 法 界 隨 眾 生 心 應 所 知 量 一 處 執 珠 一 處 
X14n0295_003:0639b18	水出。滿法界執。滿界水生。生滿世間。寧有方所。循	水 出 滿 法 界 執 滿 界 水 生 生 滿 世 間 寧 有 方 所 循 
X14n0295_003:0639b19	業發現。義蓋如此。惑為因緣及自然者。皆是識心	業 發 現 義 蓋 如 此 惑 為 因 緣 及 自 然 者 皆 是 識 心 
X14n0295_003:0639b20	分別計度。但有言說。都無實義。	分 別 計 度 但有言說 都 無 實 義 
X14n0295_003:0639b21	△四風大	 四 風 大 
X14n0295_003:0639b22	阿難風性無體動靜不常(至)但有言說都無實義。	阿 難 風 性 無 體 動 靜 不 常 至 但有言說 都 無 實 義 
X14n0295_003:0639b23	阿難。風性無體。動靜不常。汝整衣入眾。僧伽梨角。	阿 難 風 性 無 體 動 靜 不 常 汝 整 衣 入 眾 僧 伽 梨 角 
X14n0295_003:0639b24	動及傍人。則有微風拂面。此風為復從袈裟角出。	動 及 傍 人 則 有 微 風 拂 面 此 風 為 復 從 袈 裟 角 出 
X14n0295_003:0639c01	為發於虗空。及生彼人面。若從衣角。汝乃披風。其	為 發 於 虗 空 及 生 彼 人 面 若 從 衣 角 汝 乃 披 風 其 
X14n0295_003:0639c02	衣飛搖。應離汝體。我今垂衣而坐。汝看我衣。風何	衣 飛 搖 應 離 汝 體 我 今 垂 衣 而 坐 汝 看 我 衣 風 何 
X14n0295_003:0639c03	所在。若在虗空。汝衣不動。何因無拂。空性常住。風	所 在 若 在 虗 空 汝 衣 不 動 何 因 無 拂 空 性 常 住 風 
X14n0295_003:0639c04	應常生。若無風時。虗空當滅。滅風可見。滅空何狀。	應 常 生 若 無 風 時 虗 空 當 滅 滅 風 可 見 滅 空 何 狀 
X14n0295_003:0639c05	若有生滅。不名虗空。名為虗空。云何風出。若風自	若 有 生 滅 不 名 虗 空 名 為 虗 空 云 何 風 出 若 風 自 
X14n0295_003:0639c06	生披拂之面。從彼面生。當應拂汝。汝自整衣。云何	生 披 拂 之 面 從 彼 面 生 當 應 拂 汝 汝 自 整 衣 云 何 
X14n0295_003:0639c07	倒拂。若云非和合者。汝審諦觀。整衣在汝。面屬彼	倒 拂 若 云 非 和 合 者 汝 審 諦 觀 整 衣 在 汝 面 屬 彼 
X14n0295_003:0639c08	人。虗空寂然。不參流動。風自何方。風空性隔。非和	人 虗 空 寂 然 不 參 流 動 風 自 何 方 風 空 性 隔 非 和 
X14n0295_003:0639c09	非合。不應風性無從自有。求風何從。杳莫可究。信	非 合 不 應 風 性 無 從 自 有 求 風 何 從 杳 莫 可 究 信 
X14n0295_003:0639c10	謂本然周徧。循業發現。汝宛不知如來藏中性風	謂 本 然 周 徧 循 業 發 現 汝 宛 不 知 如 來 藏 中 性 風 
X14n0295_003:0639c11	真空。性空真風。清淨本然。周徧法界。隨眾生心。應	真 空 性 空 真 風 清 淨 本 然 周 徧 法 界 隨 眾 生 心 應 
X14n0295_003:0639c12	所知量。一人動衣。有微風出。徧界衣動。拂滿國土。	所 知 量 一 人 動 衣 有 微 風 出 徧 界 衣 動 拂 滿 國 土 
X14n0295_003:0639c13	周徧世間。寧有方所。循業發現。惑為因緣及自然	周 徧 世 間 寧 有 方 所 循 業 發 現 惑 為 因 緣 及 自 然 
X14n0295_003:0639c14	性者。皆是識心妄計分別。但有言說。都無實義。	性 者 皆 是 識 心 妄 計 分 別 但有言說 都 無 實 義 
X14n0295_003:0639c15	△五空大	 五 空 大 
X14n0295_003:0639c16	阿難空性無形因色顯發(至)但有言說都無實義。	阿 難 空 性 無 形 因 色 顯 發 至 但有言說 都 無 實 義 
X14n0295_003:0639c17	阿難。空性無形。因色顯發。如室筏羅。去河遙處。諸	阿 難 空 性 無 形 因 色 顯 發 如 室 筏 羅 去 河 遙 處 諸 
X14n0295_003:0639c18	剎利種新立安居。鑿井求水。出土一尺。於中則有	剎 利 種 新 立 安 居 鑿 井 求 水 出 土 一 尺 於 中 則 有 
X14n0295_003:0639c19	一尺虗空。出土一丈。還得虗空一丈。虗空淺深。隨	一 尺 虗 空 出 土 一 丈 還 得 虗 空 一 丈 虗 空 淺 深 隨 
X14n0295_003:0639c20	出多少。此空為復因土所出。因鑿所有。無因自生。	出 多 少 此 空 為 復 因 土 所 出 因 鑿 所 有 無 因 自 生 
X14n0295_003:0639c21	若無因而生。未鑿土前。何不無碍。惟見大地逈無	若 無 因 而 生 未 鑿 土 前 何 不 無 碍 惟 見 大 地 逈 無 
X14n0295_003:0639c22	通達。若因土出。則土出時。應見空入。若土先出。而	通 達 若 因 土 出 則 土 出 時 應 見 空 入 若 土 先 出 而 
X14n0295_003:0639c23	無空入。云何謂之空因土出。若無出入。則應空土	無 空 入 云 何 謂 之 空 因 土 出 若 無 出 入 則 應 空 土 
X14n0295_003:0639c24	合為一體。原無異因。土出之時。空何不出。若因鑿	合 為 一 體 原 無 異 因 土 出 之 時 空 何 不 出 若 因 鑿 
X14n0295_003:0640a01	出。則鑿自出空。應非出土不因鑿出。則鑿自出土。	出 則 鑿 自 出 空 應 非 出 土 不 因 鑿 出 則 鑿 自 出 土 
X14n0295_003:0640a02	云何見空。是即因不可離因亦非。汝復諦審諦觀。	云 何 見 空 是 即 因 不 可 離 因 亦 非 汝 復 諦 審 諦 觀 
X14n0295_003:0640a03	鑿從人手。隨方運轉。土因地移。如是虗空。因何所	鑿 從 人 手 隨 方 運 轉 土 因 地 移 如 是 虗 空 因 何 所 
X14n0295_003:0640a04	出。鑿者是實。空者是虗。虗實二者不相為用。然非	出 鑿 者 是 實 空 者 是 虗 虗 實 二 者 不 相 為 用 然 非 
X14n0295_003:0640a05	和非合。不應虗空無所從而自出也。以上巧辨。皆	和 非 合 不 應 虗 空 無 所 從 而 自 出 也 以 上 巧 辨 皆 
X14n0295_003:0640a06	遣識心妄計。而顯圓融真體。知此虗空。性圓周徧。	遣 識 心 妄 計 而 顯 圓 融 真 體 知 此 虗 空 性 圓 周 徧 
X14n0295_003:0640a07	本不動搖。當知現前地水火風。通名五大。均此圓	本 不 動 搖 當 知 現 前 地水火風 通 名 五 大 均 此 圓 
X14n0295_003:0640a08	融周徧。皆如來藏。本無生滅。非因非緣。亦非自然。	融 周 徧 皆 如 來 藏 本 無 生 滅 非 因 非 緣 亦 非 自 然 
X14n0295_003:0640a09	妄計忖度皆汝識神。非真實諦義。但爾弟阿難。汝	妄 計 忖 度 皆 汝 識 神 非 真 實 諦 義 但 爾 弟 阿 難 汝 
X14n0295_003:0640a10	心昏迷。不悟四大元如來藏。當觀虗空。為出為入。	心 昏 迷 不 悟 四 大 元 如 來 藏 當 觀 虗 空 為 出 為 入 
X14n0295_003:0640a11	為非出入。若悟虗空。性圓周徧。本無出入。即悟性	為 非 出 入 若 悟 虗 空 性 圓 周 徧 本 無 出 入 即 悟 性 
X14n0295_003:0640a12	真圓融。本無生滅矣。汝全不知如來藏中性覺真	真 圓 融 本 無 生 滅 矣 汝 全 不 知 如 來 藏 中 性 覺 真 
X14n0295_003:0640a13	空。性空真覺。清淨本然。周徧法界。隨眾生心。應所	空 性 空 真 覺 清 淨 本 然 周 徧 法 界 隨 眾 生 心 應 所 
X14n0295_003:0640a14	知量。如一井空。空生一井。十方虗空亦復如是。圓	知 量 如 一 井 空 空 生 一 井 十 方 虗 空 亦復如是 圓 
X14n0295_003:0640a15	滿十方。寧有方所。循業發現。義蓋如此。一井空喻	滿 十 方 寧 有 方 所 循 業 發 現 義 蓋 如 此 一 井 空 喻 
X14n0295_003:0640a16	一法性。十方空喻萬法性。由一觀萬。由自觀他。性	一 法 性 十 方 空 喻 萬 法 性 由 一 觀 萬 由 自 觀 他 性 
X14n0295_003:0640a17	無二別。特形器妄辨耳。	無 二 別 特 形 器 妄 辨 耳 
X14n0295_003:0640a18	△六見大	 六 見 大 
X14n0295_003:0640a19	阿難見覺無知因色空有(至)但有言說都無實義。	阿 難 見 覺 無 知 因 色 空 有 至 但有言說 都 無 實 義 
X14n0295_003:0640a20	阿難。見覺無知。因色空有。汝在祇陀林中。朝明夕	阿 難 見 覺 無 知 因 色 空 有 汝 在 祇 陀 林 中 朝 明 夕 
X14n0295_003:0640a21	昏。設居中宵。白月則光。黑月便暗。因見分析。則此	昏 設 居 中 宵 白 月 則 光 黑 月 便 暗 因 見 分 析 則 此 
X14n0295_003:0640a22	見為復與明暗相。并太虗空。為一體耶。非一體耶。	見 為 復 與 明 暗 相 并 太 虗 空 為 一 體 耶 非 一 體 耶 
X14n0295_003:0640a23	或同耶。非同耶。異耶。非異耶。若原一體。則明暗二	或 同 耶 非 同 耶 異 耶 非 異 耶 若 原 一 體 則 明 暗 二 
X14n0295_003:0640a24	體相奪。明時無暗。暗時無明。必一於明則明亡。必	體 相 奪 明 時 無 暗 暗 時 無 明 必 一 於 明 則 明 亡 必 
X14n0295_003:0640b01	一於暗則暗滅。云何既見於明。又復見暗。若明暗	一 於 暗 則 暗 滅 云 何 既 見 於 明 又 復 見 暗 若 明 暗 
X14n0295_003:0640b02	殊。見無生滅。則又不成一體矣。若此見精。與暗與	殊 見 無 生 滅 則 又 不 成 一 體 矣 若 此 見 精 與 暗 與 
X14n0295_003:0640b03	明非一體者。試離明暗與虗。分析見元。作何形相。	明 非 一 體 者 試 離 明 暗 與 虗 分 析 見 元 作 何 形 相 
X14n0295_003:0640b04	若明暗與虗。三事俱異。從何立見。是又非異體矣。	若 明 暗 與 虗 三 事 俱 異 從 何 立 見 是 又 非 異 體 矣 
X14n0295_003:0640b05	夫明暗相背。云何或同。離三無見。云何或異。分空	夫 明 暗 相 背 云 何 或 同 離 三 無 見 云 何 或 異 分 空 
X14n0295_003:0640b06	分見。本無邊畔。云何非同。見明見暗。性非遷改。云	分 見 本 無 邊 畔 云 何 非 同 見 明 見 暗 性 非 遷 改 云 
X14n0295_003:0640b07	何非異。汝更審諦審觀。明從太陽。暗從黑月。通屬	何 非 異 汝 更 審 諦 審 觀 明 從 太 陽 暗 從 黑 月 通 屬 
X14n0295_003:0640b08	盧空。壅歸大地。如是見精。因何所出。見覺空頑。非	盧 空 壅 歸 大 地 如 是 見 精 因 何 所 出 見 覺 空 頑 非 
X14n0295_003:0640b09	和非合。不應見精無所從而自出也。當知見性圓	和 非 合 不 應 見 精 無 所 從 而 自 出 也 當 知 見 性 圓 
X14n0295_003:0640b10	徧。本不動搖。亦無生滅。汝更沉淪不悟。汝之見聞	徧 本 不 動 搖 亦 無 生 滅 汝 更 沉 淪 不 悟 汝 之 見 聞 
X14n0295_003:0640b11	覺知。本如來藏。但觀此見聞覺知。為生為滅。為異	覺 知 本 如 來 藏 但 觀 此 見聞覺知 為 生 為 滅 為 異 
X14n0295_003:0640b12	為同。為非生滅。為非異同。蓋生滅同異。皆因妄塵。	為 同 為 非 生 滅 為 非 異 同 蓋 生 滅 同 異 皆 因 妄 塵 
X14n0295_003:0640b13	非生非異。不離妄計。離此妄計。即如來藏。汝曾不	非 生 非 異 不 離 妄 計 離 此 妄 計 即 如 來 藏 汝 曾 不 
X14n0295_003:0640b14	知如來藏中。性見覺明。覺精明見。清淨本然。周徧	知 如 來 藏 中 性 見 覺 明 覺 精 明 見 清 淨 本 然 周 徧 
X14n0295_003:0640b15	法界。隨眾生心。應所知量。如一見根。見周法界。聽	法 界 隨 眾 生 心 應 所 知 量 如 一 見 根 見 周 法 界 聽 
X14n0295_003:0640b16	齅甞觸。覺觸覺知。妙德瑩然。周徧法界。圓滿十虗。	齅 甞 觸 覺 觸 覺 知 妙 德 瑩 然 周 徧 法 界 圓 滿 十 虗 
X14n0295_003:0640b17	寧有方所。循業發現。世間無知。惑為因緣及自然	寧 有 方 所 循 業 發 現 世 間 無 知 惑 為 因 緣 及 自 然 
X14n0295_003:0640b18	性。皆是識心分別。但有言說。都無實義。	性 皆 是 識 心 分 別 但有言說 都 無 實 義 
X14n0295_003:0640b19	△七識大	 七 識 大 
X14n0295_003:0640b20	阿難識性無源因於六種(至)但有言說都無實義。	阿 難 識 性 無 源 因 於 六 種 至 但有言說 都 無 實 義 
X14n0295_003:0640b21	阿難。識性無緣。由於六種根塵妄出。汝今徧觀此	阿 難 識 性 無 緣 由 於 六 種 根 塵 妄 出 汝 今 徧 觀 此 
X14n0295_003:0640b22	會聖眾。用目循歷。猶如鏡中。無別分析。此為真性。	會 聖 眾 用 目 循 歷 猶 如 鏡 中 無 別 分 析 此 為 真 性 
X14n0295_003:0640b23	汝識於中次第標指。此是文殊。此富樓那。此識了	汝 識 於 中 次 第 標 指 此 是 文 殊 此 富 樓 那 此 識 了 
X14n0295_003:0640b24	知。為生於見耶。生於相耶。生於虗空耶。為無所因	知 為 生 於 見 耶 生 於 相 耶 生 於 虗 空 耶 為 無 所 因 
X14n0295_003:0640c01	突然而出耶。若云生於見中。如無明暗色空四種。	突 然 而 出 耶 若 云 生 於 見 中 如 無 明 暗 色 空 四 種 
X14n0295_003:0640c02	則無汝見。見性尚無。從何發識。可見生於見者。非	則 無 汝 見 見 性 尚 無 從 何 發 識 可 見 生 於 見 者 非 
X14n0295_003:0640c03	矣。若云生於相中。不從見生。既不見明。又不見暗。	矣 若 云 生 於 相 中 不 從 見 生 既 不 見 明 又 不 見 暗 
X14n0295_003:0640c04	明暗不矚。即無色空。彼相尚無。識從何發。可見生	明 暗 不 矚 即 無 色 空 彼 相 尚 無 識 從 何 發 可 見 生 
X14n0295_003:0640c05	於相者。非矣。若云非見非相。而生於虗空。非見則	於 相 者 非 矣 若 云 非 見 非 相 而 生 於 虗 空 非 見 則 
X14n0295_003:0640c06	無辨。非相則滅緣。處此二非之間。若云識生於空。	無 辨 非 相 則 滅 緣 處 此 二 非 之 間 若 云 識 生 於 空 
X14n0295_003:0640c07	則同於無辨。若云有識。又不同於物相。縱發汝識。	則 同 於 無 辨 若 云 有 識 又 不 同 於 物 相 縱 發 汝 識 
X14n0295_003:0640c08	欲別何物乎。可見非見非相而生於空者。又非矣。	欲 別 何 物 乎 可 見 非 見 非 相 而 生 於 空 者 又 非 矣 
X14n0295_003:0640c09	若云無所因突然而出。何不於晝日之中。突然別	若 云 無 所 因 突 然 而 出 何 不 於 晝 日 之 中 突 然 別 
X14n0295_003:0640c10	見明月乎。汝更細微詳審。見託汝睛。相推前境。可	見 明 月 乎 汝 更 細 微 詳 審 見 託 汝 睛 相 推 前 境 可 
X14n0295_003:0640c11	狀者成有。不相者成無。如是識緣由何所出耶。識	狀 者 成 有 不 相 者 成 無 如 是 識 緣 由 何 所 出 耶 識 
X14n0295_003:0640c12	動見澄。非和非合。聞聽覺知亦復如是。何謂識動	動 見 澄 非 和 非 合 聞 聽 覺 知 亦復如是 何 謂 識 動 
X14n0295_003:0640c13	見澄。識有分別。名之為動。見無分別。律之為澄。動	見 澄 識 有 分 別 名 之 為 動 見 無 分 別 律 之 為 澄 動 
X14n0295_003:0640c14	則搖其本然。澄則返其真純。如此非和非合。聞聽	則 搖 其 本 然 澄 則 返 其 真 純 如 此 非 和 非 合 聞 聽 
X14n0295_003:0640c15	覺知。例亦如是。皆非和合。又非自然。可見性真圓	覺 知 例 亦 如 是 皆 非 和 合 又 非 自 然 可 見 性 真 圓 
X14n0295_003:0640c16	滿湛然。不涉諸妄。本無所從。兼之七大。皆如來藏。	滿 湛 然 不 涉 諸 妄 本 無 所 從 兼 之 七 大 皆 如 來 藏 
X14n0295_003:0640c17	本無生滅。汝心粗浮。曾不了悟。識觀六處。識心為	本 無 生 滅 汝 心 粗 浮 曾 不 了 悟 識 觀 六 處 識 心 為 
X14n0295_003:0640c18	同為異。為空為有。為非同異。為非空有。蓋元不知	同 為 異 為 空 為 有 為 非 同 異 為 非 空 有 蓋 元 不 知 
X14n0295_003:0640c19	如來藏中。性識明知。覺明真識。妙覺湛然。徧周法	如 來 藏 中 性 識 明 知 覺 明 真 識 妙 覺 湛 然 徧 周 法 
X14n0295_003:0640c20	界。含吐十虗。寧有方所。循業發現。世間無知。惑為	界 含 吐 十 虗 寧 有 方 所 循 業 發 現 世 間 無 知 惑 為 
X14n0295_003:0640c21	因緣自然。皆是識心分別計度。但有言說。都無實	因 緣 自 然 皆 是 識 心 分 別 計 度 但有言說 都 無 實 
X14n0295_003:0640c22	義。性識明知。言性此識者。皆我之明知。明知即良	義 性 識 明 知 言 性 此 識 者 皆 我 之 明 知 明 知 即 良 
X14n0295_003:0640c23	知之義。覺明者識也。識雖覺明之咎。其體實真。故	知 之 義 覺 明 者 識 也 識 雖 覺 明 之 咎 其 體 實 真 故 
X14n0295_003:0640c24	曰覺明真識。體用不二。真妄一如。所以互舉。文中	曰 覺 明 真 識 體 用 不 二 真 妄 一 如 所 以 互 舉 文 中 
X14n0295_003:0641a01	初言汝元不知。次言猶。次言尚。次言宛。次言全。次	初 言 汝 元 不 知 次 言 猶 次 言 尚 次 言 宛 次 言 全 次 
X14n0295_003:0641a02	言曾。又復言元。皆有次第淺深。初言元不知者。言	言 曾 又 復 言 元 皆 有 次 第 淺 深 初 言 元 不 知 者 言 
X14n0295_003:0641a03	元本自迷。所以不知。再與明知。猶且不諭。故次言	元 本 自 迷 所 以 不 知 再 與 明 知 猶 且 不 諭 故 次 言 
X14n0295_003:0641a04	猶。後復與明。而益不知。故次言尚。轉不知故言宛。	猶 後 復 與 明 而 益 不 知 故 次 言 尚 轉 不 知 故 言 宛 
